0100000018	उत्पत्ति
07092000f7	अब, तपाईं र तपाईंका सेनाहरू रातको समयमा उठ्नुहोस्, र मैदानमा आक्रमण गर्नलाई तयार बस्‍नुहोस् ।
07092101d7	अनि बिहान, घाम उदाउने बित्तिकै, उठ्नुहोस् र सहरमा आक्रमण गर्नुहोस् । जब तिनी र तिनीसँग भएका मानिसहरू तपाईंको विरुद्धमा बाहिर आउँछन्, तब तिनीहरूलाई के गर्नुपर्छ त्यो गर्नुहोस् ।”
0709220143	यसैकारण अबीमेलेक, र उनीसँग भएका सबै मानिस रातको समयमा उठे, र शकेमलाई आक्रमण गर्नको निम्ति चार समुहमा विभाजित भई ढुकेर बसे ।
070923014d	एबेदका छोरा गाल बाहिर निस्के र सहरको ढोकामा खडा भए । अबीमेलेक र उनीसँग भएका मानिसहरू तिनीहरू लुकिरहेका ठाउँबाट बाहिर निस्के ।
07092401c4	जब गालले मानिसहरूलाई देखे, उनले जबूललाई भने, “हेर, मानिसहरू डाँडाका चुचुराबाट तल आउँदैछन्!” जबूलले तिनलाई भने, “तिमीले जे देख्दैछौ त्यो मानिसहरूजस्ता डाँडाका छाया हुन् ।”
0709250153	गालले फेरि बोले र यसो भने, “हेर, मानिसहरू तल मैदानको बिचमा आइरहेका छन् र एउटा समुहचाहिं जोखना हेर्नेको रूखको बाटो हुँदै आउँदैछ ।”
0709260242	अनि जबूलले तिनलाई भने, “तिम्रा घमण्डपूर्ण कुराहरू अब कहाँ छन्? तिमीले भन्थ्यौ, ‘अबीमेलेक को हो र हामीले किन त्यसको सेवा गर्नुपर्ने?’ तिमीले तुच्छ ठानेका मानिसहरू यी नै होइनन्? अब बाहिर जाऊ र तिनीहरूका विरुद्ध युद्ध लड ।”
07092700df	गाल बाहिर निस्के र तिनी शकेमका मानिसहरूका अगि-अगि गए, र तिनले अबीमेलेकसँग युद्ध लडे ।
07092800e5	अबीमेलेकले तिनलाई खेदे र गाल तिनको सामुबाट भागे । सहरको ढोकामा धेरै जना घाइते भएर मरे ।
07092900d8	अबीमेलेक अरूमाहमा बसे । जबूलले गाल र तिनका नातेदारहरूललाई शकेमबाट बाहिर निकाले ।
07092a00d9	अर्को दिन शकेमका मानिसहरू मैदानमा निस्के, र यस कुराको जानकारी अबीमेलेकलाई दिइयो ।
07092b01e4	तिनले आफ्ना मानिसहरू लिए, उनीहरूलाई तिन समुहमा बाँडे, र तिनीहरू मैदानमा आक्रमण गर्नलाई ढुकेर बसे । उनले हेरे र सहरबाट मानिसहरू बाहिर आइरहेका देखे, र उनले आक्रमण गरे र तिनीहरूलाई मारे ।
07092c0179	अबीमेलेक र उनीसँग भएका समुहहरूले आक्रमण गरेर सहरको ढोकालाई थुनिदिए । अरू दुई समुहले भने मैदानमा भएकाहरू सबैलाई आक्रमण गरे र तिनीहरूलाई मारे ।
07092d01b0	अबीमेलेक सहरको विरुद्ध दिनभर युद्ध लडे । तिनले त्यो सहरमाथि कब्जा गरे, र त्यहाँ भएका मानिसहरूलाई मारे । तिनले सहरका पर्खालहरूलाई भत्काइदिए र त्यसमाथि नून छरिदिए ।
07092e0100	शकेमका किल्लाका सबै अगुवाहरूले जब यो सुने, तब तिनीहरू एल-बरीतको मन्‍दिरको किल्‍लामा प्रवेश गरे ।
07092f00b8	सबै अगुवाहरू शकेमको किल्लामा भेला भएका छन् भनेर अबीमेलेकलाई बताइयो ।
070930024a	अबीमेलेक र तिनीसँग भएका सबै मानिसहरू माथि सल्मोन डाँडातर्फ गए । अबीमेलेकले एउटा बन्चरो लिएर हाँगाहरू काटे । तिनले ती आफ्ना काँधमा बोके र आफूसँग भएका मानिसहरूलाई आज्ञा गरे, “मैले जे गरेको देखिरहेका छौ, छिटो-छिटो त्यसै गर ।”
0709310238	यसैले हरेक व्‍यक्‍तिले हाँगाहरू काटे र अबीमेलेकको पछि लागे । तिनीहरूले ती किल्लाका पर्खालहरूमा अडाएर थुपारे, अनि त्यसमा आगो लगाइदिए, जसको कारणले शकेमको किल्लामा भएका सबै मानिसहरू, करीब एक हजार पुरुष र स्‍त्री मरे ।
07093200de	त्यसपछि अबीमेलेक तेबेसमा गए, र उनले तेबेसको विरूद्ध छाउनी हाले र त्यसलाई कब्जा गरे ।
07093301a4	तर त्यस सहरमा एउटा बलियो किल्ला थियो, अनि त्यस सहरका सबै पुरुष र स्‍त्री र सबै अगुवाहरू त्यहाँ भागेर भित्रबाट ढोका थुने । तब तिनीहरू त्यस किल्लाको टुप्पोमा गए ।
070934011a	अबीमेलेक त्‍यो किल्लामा आए र त्यसको विरुद्ध लडे, र त्यस किल्लालाई जलाउन भनेर तिनी त्यसको ढोकानजिक आइपुगे ।
0709350104	तर एउटी स्‍त्रीले अबीमेलेकको शिरमा जाँतोको माथिल्लो फक्‍लेटो झारी र त्यसले तिनको खप्पर फुट्‍यो ।
0709360273	त्यसपछि उनले आफ्नो हतियार बोक्‍ने जवान मानिसलाई झट्टै बोलाए र उसलाई भने, “आफ्‍नो तरवार झिकेर मलाई मार्, ताकि कसैले मेरो बारेमा यस्तो नभनोस्, ‘एउटी स्‍त्रीले त्यसलाई मारी ।’” त्यसैले तिनका जवान मानिसले तिनलाई तरवारले छेडिदिए, र तिनी मरे ।
07093700a9	जब इस्राएलका मानिसहरूले अबीमेलेक मरेको देखे, तिनीहरू घर फर्के ।
0709380134	यसरी परमप्रभुले अबीमेलेकले आफ्ना सत्तरी दाजुभाइहरूलाई मारेर आफ्ना बुबाको विरुद्ध गरेका दुष्‍टताको बदला लिनुभयो ।
0709390159	परमेश्‍वरले शकेमका मानिसहरूका दुष्‍टतालाई तिनीहरूकै टाउकोमा खन्याइदिनुभयो र तिनीहरूमाथि यरूब-बालका छोरा योतामको सराप पर्‍यो ।
070a010192	अबीमेलेकपछि, एफ्राइमको पहाडी देशको शामीरमा बसोबास गर्ने इस्साखारका एक जना मानिस, दोदोका नाति पुवाका छोरा तोला इस्राएललाई छुटकारा दिनको निम्ति खडा भए ।
070a0200d1	तिनले तेईस वर्षसम्म इस्राएलको न्याय गरे । तिनी मरे र तिनलाई शामीरमा दफन गरियो ।
070a0300b1	तिनी पछि गिलादी याईर आए । तिनले बाईस वर्षसम्म इस्राएलको न्याय गरे ।
070a040189	तिनका तिस जना छोराहरू थिए जो तिसवटा गधाहरूमा सवार हुन्थे र तिनीहरूका तिसवटा सहरहरू थिए, जसलाई आजको दिनसम्म हब्बात याईर भनिन्छ, जुन गिलाद देशमा पर्छ ।
070a05005e	याईर मरे र उनलाई कामोनमा दफन गरियो ।
070a06033b	इस्राएलका मानिसहरूले परमप्रभुको दृष्‍टिमा जे खराब थियो त्यही गरेका कुरामाथि तिनीहरूले झमै थप गरे र बाल देवताहरू र अश्तोरेत देवीहरू, अरामका देवताहरू, सीदोनका देवताहरू, मोआबका देवताहरू, अम्मोनका मानिसहरूका देवताहरू र पलिश्तीहरूका देवीहरूको पुजा गरे । तिनीहरूले परमप्रभुलाई त्यागे र फेरि उहाँको आराधना गरेनन् ।
070a070144	इस्राएलप्रति परमप्रभु रिसले क्रोधित हुनुभयो, र उहाँले तिनीहरूलाई पलिश्तीहरूका हातमा र अम्मोनीहरूका हातमा बेचिदिनुभयो ।
070a0801da	तिनीहरूले त्यस वर्ष इस्राएलका मानिसहरूलाई थिचोमिचो गरे अत्‍याचार गरे, र अठार वर्षसम्म तिनीहरूले यर्दनपारी एमोरीहरूको देश अर्थात् गिलादमा भएका सबै इस्राएलीमाथि अत्‍याचार गरे ।
070a0901a4	त्यसपछि अम्मोनीहरू यहूदाको विरुद्धमा, बेन्यामीनका विरुद्धमा, र एफ्राइमका घरानाको विरुद्ध युद्ध लड्नको निम्ति यर्दनपारि गए, ताकि इस्राएल धेरै नै व्याकुल भए ।
070a0a01de	तब इस्राएलका मानिसहरूले परमप्रभुलाई यसो भनेर पुकारा गरे, “हामीले तपाईंको विरुद्धमा पाप गरेका छौं, किनभने हामीले आफ्‍ना परमेश्‍वरलाई त्यागेका छौ र बाल देवताहरूको पुजा गरेका छौं ।”
070a0b0126	परमप्रभुले इस्राएलका मानिसहरूलाई भन्‍नुभयो, “के मैले तिमीहरूलाई मिश्रीहरू, एमोरीहरू, अम्मोनीहरू, पलिश्तीहरू,
070a0c01b3	र सीदोनीहरूबाट समत छुटकारा दिइनँ र? अमालेकीहरू र मिद्दानीहरूले तिमीहरूलाई अत्‍याचार गरे । तिमीहरूले मलाई पुकार्‍यौ, र मैले तिमीहरूलाई तिनीहरूका शक्तिबाट छुटाएँ ।
070a0d0158	तापनि तिमीहरूले मलाई त्याग्यौ र अरू देवताहरूलाई पुज्यौ । यसकारण, मैले तिमीहरूलाई छुटकारा दिने मौकाहरू म अब निरन्‍तर थपिरहनेछैन ।
070a0e0134	जाओ र तिमीहरूले पुजा गरेका देवताहरूलाई नै पुकारा गर । तिमीहरूमाथि समस्या आइपर्दा तिनीहरूले नै तिमीहरूलाई बचाऊन् ।”
070a0f01a4	इस्राएलका मानिसहरूले परमप्रभुलाई भने, “हामीले पाप गरेका छौं । तपाईंलाई जे असल लाग्छ त्यही हामीलाई गर्नुहोस् । कृपागरी आजको दिन मात्र हामीलाई बचाइदिनुहोस् ।”
070a100161	तिनीहरूले आफ्ना बिचमा भएका विदेशी देवताहरू त्यागे र परमप्रभुको आराधना गरे । तब परमप्रभुले इस्राएलको दुःखलाई अरू बढी सहन सक्‍नुभएन ।
070a11011b	अनि अम्मोनीहरू एकसाथ भेला भए र गिलादमा छाउनी हाले । इस्राएलीहरू एकसाथ भेला भए र मिस्पामा आफ्नो छाउनी हाले ।
070a120174	गिलादका मानिसहरूका अगुवाहरूले एक-अर्कामा यसो भने, “अम्मोनीहरूसँग युद्ध लड्न सुरु गर्ने मानिस को हो? ऊ नै गिलादमा बस्‍ने सबैका अगुवा हुनेछ ।”
070b010107	गिलादी यिप्‍ता एक जना शक्तिशाली योद्धा थिए, तर तिनी एक जना वेश्याका छोरा थिए । गिलाद तिनका पिता थिए ।
070b020273	गिलादकी पत्‍नीले पनि तिनका निम्‍ति अरू छोराहरू जन्माइन् । जब तिनकी पत्‍नीकी छोराहरू हुर्के, तिनीहरूले यिप्‍तालाई घर छोड्न बाध्‍य पारे र तिनलाई भने, “हाम्रो परिवारबाट तैंले केही पनि पैतृक अंश पाउनेछैनस् । तँ अर्कै स्‍त्रीको छोरा होस् ।”
070b03014a	यसैले यिप्‍ता आफ्ना दाजुभाइबाट भागे र तोब देशमा बसोबास गरे । हुर्दुङ्गे मानिसहरू यिप्‍तासँग मिले र उनीहरू आए र तिनीसँगै गए ।
070b0400b5	केही दिनपछि, अम्मोनका मानिसहरूले इस्राएलको विरुद्ध युद्ध सुरु गरे ।
070b05015d	जब अम्मोनका मानिसहरूले इस्राएलको विरुद्ध युद्ध गरे, तब गिलादका एल्डरहरू तोब देशबाट यिप्‍तालाई फर्काएर ल्याउनको निम्ति त्यहाँ गए ।
070b060124	तिनीहरूले यिप्‍तालाई भने, “आउनुहोस् र हाम्रो अगुवा हुनुहोस् ताकि हामी अम्मोनका मानिहरूसँग युद्ध लड्न सकौं ।”
070b0701f9	यिप्‍ताले गिलादका अगुवाहरूलाई भने, “तपाईंहरूले मलाई हेला गर्नुभयो र मेरो पिताको घर छोडेर जान मलाई बाध्‍ये पार्नुभयो । अब तपाईंहरू समस्यामा पर्नुहुँदा चाहिं तपाईंहरू मकहाँ किन आउनुहुन्‍छ?”
070b0801f0	गिलादका अगुवाहरूले यिप्‍तालाई भने, “त्यसकारण अब हामी तपाईंकहाँ फर्केका छौं । हामीसँग आउनुहोस् र अम्मोनका मानिसहरूसँग युद्ध गर्नुहोस्, र तपाईं नै गिलादमा बस्‍ने सबैका अगुवा हुनुहुनेछ ।”
070b0901f9	यिप्‍ताले गिलादका अगुवाहरूलाई भने, “अम्मोनका मानिसहरूसँग युद्ध गर्नलाई तपाईंहरूले मलाई फेरि घर लानुभयो भने, र परमप्रभुले हामीलाई तिनीहरूमाथि विजय दिनुभयो भने, म तपाईंहरूका अगुवा हुनेछु ।”
070b0a014c	गिलादका अगुवाहरूले यिप्‍तालाई भने, “हामीले जस्‍तो भन्‍छौं त्यस्‍तै गरेनौं भने हाम्रा बिचमा परमप्रभु नै साक्षी हुनुहुन्‍छ!”
070b0b01e5	यसैले यिप्‍ता गिलादका अगुवाहरूसँग गए, र मानिसहरूले तिनलाई आफूमाथि अगुवा र कमाण्‍डर बनाए । जब यिप्‍ता मिस्पामा परमप्रभुको सामु थिए, तब तिनले आफूले गरेका सबै प्रतिज्ञाहरू दोहोर्‍याए ।
070b0c01a4	अनि यिप्‍ताले अम्मोनका मानिसहरूका राजाकहाँ यसो भनेर दूतहरू पठाए, “हाम्रा बिचमा के कुराले द्वन्द भएको हो? हाम्रो देश कब्‍जा गर्न सेनासित तपाईं किन आउनुभएको छ?”
070b0d0223	अम्मोनका मानिसहरूका राजाले यिप्‍ताका दूतहरूलाई जवाफ दिए, “किनभने जब इस्राएल मिश्रदेशबाट आए, तब तिनीहरूले मेरो देशलाई अर्नोनदेखि यब्बोक हुँदै यर्दनसम्म कब्‍जा गरे । अब शान्तिसित ती जमिन फिर्ता दिनुहोस् ।”
070b0e009a	फेरि यिप्‍ताले अम्मोनका मानिसहरूका राजाकहाँ दूतहरू पठाए,
070b0f00f5	र तिनले भने, “यिप्‍ता यसो भन्छन्: इस्राएलले मोआब देश र अम्मोनका मानिसहरूका देशलाई लिएको थिएन,
070b1000d8	तर तिनीहरू मिश्रदेशबाट आए, र इस्राएल उजाड-स्‍थान हुँदै लाल समुद्रमा र कादेशमा गए ।
070b11024e	जब इस्राएलले यसो भनेर एदोमका राजालाई दूतहरू पठाए, ‘कृपया हामीलाई तपाईंको देशबाट भएर जान दिनुहोस्,’ एदोमका राजाले सुनेनन् । तिनीहरूले मोआबका राजाकहाँ पनि दूतहरू पठाए, तर तिनले इन्कार गरे । यसरी इस्राएलचाहिं कादेशमा नै बसे ।
070b12026d	त्यसपछि तिनीहरू उजाड-स्‍थानबाट गए र एदोम र मोआबको देशबाट टाढा गए, र तिनीहरू मोआब देशको पूर्वी ठाउँ हुँदै हिंडे र तिनीहरूले अर्नोनको अर्कोपट्टि छाउनी हाले । तर तिनीहरू मोआबको सिमानाभित्र गएनन्, किनकि अर्नोनचाहिं मोआबको सिमानामा थियो ।
070b1301c3	इस्राएलले हेश्बोनमा राज्‍य गर्ने एमोरीहरूका राजा सीहोनकहाँ दूतहरू पठाए । इस्राएलले उनलाई भने, ‘कृपया हामीलाई आफ्‍नो देशमा जानलाई तपाईंको देशको बाटो भएर जान दिनुहोस् ।’
070b1401fb	तर आफ्नो सिमानाभित्रबाट जानको निम्ति सीहोनले इस्राएलमाथि विश्‍वास गरेनन् । यसैले सीहोनले आफ्ना सबै सेना जाम्‍मा गरे र उनले तिनीहरूलाई यहसामा लगे, र त्यहाँ उनले इस्राएलको विरुद्ध युद्ध गरे ।
070b1501d9	तब इस्राएलका परमप्रभु परमेश्‍वरले सीहोन र तिनका सारा मानिसलाई इस्राएलको हातमा दिनुभयो र तिनीहरूले उनीहरूलाई परास्त गरे । यसैले इस्राएलले एमोरीहरूको देशको सबै जमिन अधिकार गरे ।
070b160122	तिनीहरूले एमोरीहरूका सिमानाभित्र अर्नोनदेखि यब्बोकसम्म, र उजाड-स्‍थानदेखि यर्दनसम्म हरेक कुरामा अधीन गरे ।
070b17018b	यसरी इस्राएलका परमप्रभु परमेश्‍वरले आफ्‍ना मानिस इस्राएलको सामुबाट एमोरीहरूलाई खेद्‍नुभएको हो, र के तपाईं अब उनीहरूको देशमाथि अधिकार गर्नुहुन्‍छ?
070b1801dc	के तपाईंहरूका देवता कमोशले तपाईंहरूलाई जुन देश दिन्छन्, त्यही तपाईंहरू लिनुहुन्‍छ होइन र? यसैले हाम्रा परमप्रभु परमेश्‍वरले जुन देश हामीलाई दिनुभएको छ, त्‍यो हामी अधिकार गर्छौं ।
070b190116	के अब तपाईं मोआबका राजा, सिप्पोरका छोरा बालकभन्दा असल हुनुहुन्‍छ र? के तिनले इस्राएलसँग बहस गर्ने आँट गरे?
070b1a01bd	जब इस्राएल हेश्बोन र त्यसका गाउँहरू, र अरोएर र त्यसका गाउँहरू, र अर्नोनका किनारका सबै सहरहरूमा तिन सय वर्षसम्‍म बसोबास गर्दा, तपाईंहरूले किन त्यस बेला ती फिर्ता लिनुभएन?
070b1b0203	मैले तपाईंहरूलाई केही गलत गरेको छैनँ, तर तपाईंहरूले मलाई आक्रमण गरेर मेरो खराबी गर्दै हुनुहुन्‍छ । न्यायकर्ता परमप्रभुले नै आज इस्राएलका मानिस र अम्मोनका मानिसहरूका बिचमा निर्णय गर्नुहुनेछ ।”
070b1c00c0	तर अम्मोनका मानिसहरूका राजाले यिप्‍ताले पठाएका चेतावनीलाई इन्कार गरे ।
070b1d015d	तब परमप्रभुको आत्मा यिप्‍तामाथि आउनुभयो, र तिनी गिलाद र मनश्शेबाट भएर गए, र गिलादको मिस्पाबाट भएर तिनी अम्मोनका मानिसहरूकहाँ पुगे ।
070b1e0102	यिप्‍ताले परमप्रभुसँग एउटा बाकल गरे र भने, “तपाईंले मलाई अम्मोनका मानिसहरूमाथि विजय दिनुभयो भने,
070b1f01bb	अम्मोनका मानिसहरूबाट म शान्‍तमा फर्केर आउँदा मेरा घरको ढोकाहरूबाट मलाई भेट्न जेसुकै कुरा बाहिर आए पनि त्‍यो परमप्रभुको हुनेछ, र त्‍यसलाई म होमबलिको रूपमा चढाउनेछु ।”
070b2000ee	यसैले अम्मोनीहरूसँग युद्ध गर्न यिप्‍ता तिनीहरूकहाँ गए, र परमप्रभुले उनलाई विजय दिनुभयो ।
070b2101be	तिनले तिनीहरूलाई आक्रमण गरे र अरोएरदेखि मिन्‍नीतसम्म बिसवटा सहर र हाबिल-करमीमसम्म ठुलो सङ्ख्यामा मारे । यसरी अम्मोनका मानिसहरूलाई इस्राएलका मानिसहरूको अधीनमा पारे ।
070b2201c2	यिप्‍ता आफ्नो घर मिस्पामा आए र त्यहाँ तिनकी छोरी तिनलाई भेट्न खैंजडी बजाउँदै र नाच्दै बाहिर आइन् । यिनी तिनकी एक मात्र छोरी थिइन्, र यिनीबाहेक तिनको अरू छोरा वा छोरी थिएन ।
070b230273	तिनले उनलाई देख्‍नेबित्तिकै, तिनले आफ्ना लुगाहरू च्याते र भने, “ओहो, मेरी छोरी! तिमीले मलाई दुःखले चुर पारेकी छ्‍यौ, र मलाई कष्‍ट दिने एउटा कारण तिमी भएकी छ्‍यौ! किनकि मैले परमप्रभुसँग एउटा भाकल गरेको छु, र मेरो भाकलबाट म पछि हट्न सक्दिनँ ।”
070b2401f7	उनले तिनलाई भनिन्, “मेरा बुबा, तपाईंले परमप्रभुसँग भाकल गर्नुभएको छ, तपाईंले प्रतिज्ञा गर्नुभएको हरेक कुरा मलाई गर्नुहोस्, किनभने परमप्रभुले तपाईंका शत्रु अम्मोनीहरूसँग बदला लिनुभएको छ ।”
070b250209	उनले आफ्नो बुबालाई भनिन्, “मेरो निम्ति यो प्रतिज्ञा पुरा होस् । मलाई दुई महिनाको लागि मात्र छोडिदिनुहोस्, ताकि म र मेरा सहेलीहरू तल पहाडहरूमा जान र आफ्नो कुमारी अवस्थाको मृत्युको निम्ति शोक पाऊँ ।”
070b2601b3	तिनले भने, “जाऊ ।” तिनले उनलाई दुई महिनाको निम्ति पठाइदिए । उनी र उनका सहेलीहरू तिनीसँग बिदा भए, र तिनीहरूले उनको कुमारी अवस्थाको मृत्युको निम्ति पहाडहरूमा शोक गरे ।
070b2701e1	दुई महिनाको अन्त्यमा उनी आफ्ना बुबाकहाँ फर्किन्, र आफूले गरेको भाकलअनुसार तिनले उनलाई गरे । यति बेलासम्‍म उनले कुनै मानिससित सहवास गरेकी थिइनन्, र इस्राएलमा एउटा यस्तो प्रचलन बन्यो,
070b280106	कि हरेक वर्ष इस्राएलका छोरीहरूले चार दिनसम्म गिलादी यिप्‍ताकी छोरीको कथालाई दोहोर्‍याउने गर्थे ।
070c010248	एफ्राइमका मानिसहरूका निम्ति एउटा बोलावट आयो । तिनीहरू सापोनको बाटो गए र यिप्‍तालाई भने, “अम्मोनका मानिसहरूसँग युद्ध गर्न तिमी किन गयौ र तिमीसँगै जान हामीलाई तिमीले किन बोलाएनौ? हामी तिम्रो घरलाई तिमीसँगै जलाइदिनेछौं ।”
070c020188	यिप्‍ताले तिनीहरूलाई भने, “म र मेरा मानिसहरू अम्मोनका मानिहरूसँग ठुलो झगडामा थियौं । जब मैले तिमीहरूलाई बोलाएँ, तिमीहरूले मलाई तिनीहरूबाट बचाएनौ ।
070c03021c	तिमीहरूले मलाई बचाउन नआएको जब मैले देखें, तब मैले आफ्‍नो प्राणलाई आफ्नै हातमा राखें र आम्मोनका मानिसहरूका विरुद्धमा गएँ, र परमप्रभुले मलाई विजय दिनुभयो । तिमीहरू आज मेरो विरुद्धमा युद्ध लड्न किन आएका छौ?”
070c04025e	यिप्‍ताले गिलादका सबै मानिसहरूलाई भेला गराए र एफ्राइमको विरुद्ध युद्ध लडे । गिलादका मानिसहरूले एफ्राइमका मानिसहरूलाई आक्रमण गरे किनभने तिनीहरूले यसो भने, “तिमीहरू, गिलादीहरू एफ्राइम— एफ्राइम र मनश्शेमाबाट भागेर गएकाहरू हौ ।”
070c050232	गिलादीहरूले एफ्राइमतर्फ जाने यर्दनका जँघारहरू कब्जा गरे । जब एफ्राइमका बाँचेकाहरूले यसो भने, “मलाई नदीपारि जान दिनुहोस्,” गिलादका मानिसहरूले त्यसलाई यस्तो भन्थे, “के तँ एफ्राइमी होस्?” त्यसले “होइनँ” भन्यो भने,
070c060278	अनि तिनीहरूले त्यसलाई भन्थे, “शिब्बोलेत भन्,” र उसले “सिब्बोलेत” भन्यो भने (किनकि उसले त्यो शब्द सही उच्‍चारण गर्न सक्दैनथियो), तब गिलादीहरूले त्यसलाई समाउँथे र उसलाई यर्दनको जँघारहरूमा मार्थे । त्यस बेला एफ्राइमका बयालिस हजार जना मारिए ।
070c07014f	यिप्‍ताले इस्राएलका न्यायकर्ता भएर छ वर्षसम्‍म सेवा गरे । तब गिलादी यिप्‍ता मरे र गिलादका सहरहरूमध्‍ये एउटा सहरमा दफन गरियो ।
070c0800ba	तिनीपछि, बेथलेहेमका इब्सानले इस्राएलमा न्यायकर्ताका रूपमा सेवा गरे ।
070c0901e2	तिनका तिस जना छोरा थिए । तिनले आफ्ना तिस जना छोरीहरूका विवाह गरिदिए, र आफ्ना छोराहरूका निम्ति बाहिरबाट अरू मानिसहरूका तिस जान छोरीहरू ल्याए । उनले सात वर्षसम्‍म इस्राएलको न्याय गरे ।
070c0a0070	इब्सान मरे र तिनलाई बेथलेहेममा दफन गरियो ।
070c0b0114	तिनीपछि जबूलूनी एलोनले इस्राएलमा न्यायकर्ताका रूपमा सेवा गरे । उनले दश वर्षसम्‍म इस्राएलको न्याय गरे ।
070c0c00a0	जबूलूनी एलोन मरे र उनलाई जबूलून देशको अय्यालोनमा दफन गरियो ।
070c0d00dd	तिनीपछि, पिरातोनी हिल्लेलका छोरा अब्दोनले इस्राएलमा न्यायकर्ताका रूपमा सेवा गरे ।
070c0e0138	उनका चालिस छोरा र तिस नातिहरू थिए । तिनीहरू सत्तरीवटा गधाहरूमा सवार हुन्थे, र तिनले इस्राएलमा आठ वर्षसम्‍म न्याय गरे ।
070c0f0120	पिरातोनी हिल्लेलका छोरा अब्दोन मरे र तिनलाई अमालेकीहरूको पहाडी देशमा एफ्राइमको पिरातोन इलाकामा दफन गरियो ।
070d010182	इस्राएलका मानिसहरूले फेरि परमप्रभुको दृष्‍टिमा जे कुरा खराब थियो त्यही गरे, र उहाँले तिनीहरूलाई पलिश्तीहरूका हातमा चालिस वर्षसम्म सुम्पनुभयो ।
070d02017d	त्यहाँ सोराबाट आएका दानको वंशका एक जना मानिस थिए, तिनको नाउँ मानोह थियो । तिनकी पत्‍नी गर्भवती हुन सकेकी थिइनन् र यसैले तिनले जन्म दिएकी थिइनन् ।
070d0301b2	परमप्रभुका एउटा दूत ती स्‍त्रीकहाँ देखा परे र तिनलाई भने, “तिमी गर्भवती हुन सकेकी छैनौ, र तिमीले जन्म दिएकी छैनौ, तर तिमी गर्भवती हुनेछौ र तिमीले एउटा छोरो जमाउनेछौ ।
070d0400aa	अब दाखमद्य वा कडा पेय नपिउन होसियार होऊ, र कुनै अशुद्ध कुरा नखाऊ ।
070d050220	हेर, तिमी गर्भवती हुनेछौ र एउटा छोरो जन्माउनेछौ । उसको कपालमा छुरा लाग्‍नेछैन, किनकि त्यो बालक गर्भदेखि नै परमेश्‍वरको निम्ति नाजिरी हुनेछ, र उसले इस्राएललाई पलिश्तीहरूका हातबाट छुटकारा दिन सुरु गर्नेछ ।”
070d060241	तब ती स्‍त्री आइन् र आफ्नो पतिलाई भनिन्, “परमप्रभुका एक जना मानिस मकहाँ आउनुभयो, र उहाँको मुहार परमेश्‍वरका दूतका झैं धेरै डरलाग्‍दो थियो । उहाँ कहाँबाट आउनुभएको हो भनेर मैले सोधिनँ, र उहाँले मलाई आफ्नो नाउँ भन्‍नुभएन ।
070d0702b6	उहाँले मलाई भन्‍नुभयो, ‘हेर, तिमी गर्भवती हुनेछौ, र तिमीले एउटा छोरो जन्माउनेछौ । यसैले दाखमद्य वा कडा पेय नपिउनू, र व्यवस्थाले अशुद्ध भनेर घोषणा गरेको कुनै कुरा नखानू, किनभने त्‍यो बालक तिम्रो गर्भदेखि उसको मृत्युको दिनसम्म नै परमप्रभुको निम्ति नाजिरी हुनेछ ।’”
070d08024c	त्यसपछि मानोहले परमप्रभुसँग प्रार्थना गरे र यसो भने, “हे, परमप्रभु, तपाईंले पठाउनुभएका परमेश्‍वरका मानिसलाई फेरि हामीकहाँ पठाइदिनुहोस् ताकि अब छिटै जन्मने बालकलाई हामीले के गर्नुपर्छ भनेर उहाँले हामीलाई सिकाउन सकून् ।”
070d090182	परमेश्‍वरले मानोहको पुकार सुन्‍नुभयो, र परमेश्‍वरका दूत फेरि ती स्‍त्रीकहाँ तिनी मैदानमा बसिरहँदा देखा परे । तर मानोह तिनका पति तिनीसँग थिएनन् ।
070d0a0163	यसैले ती स्‍त्री दौडेर गईन् र आफ्ना पतिलाई बताइन्, “हेर्नुहोस्, ती मानिस, जो मकहाँ हिजो आउनुभएको थियो उहाँ फेरि मकहाँ देखापर्नुभएको छ!”
070d0b0196	मानोह उठे र आफ्नी पत्‍नीको पछिपछि गए । जब तिनी ती मानिसकहाँ आए, तिनले भने, “के मेरी पत्‍नीसँग बोल्ने मानिस तपाईं नै हुनुहुन्छ?” ती मानिसले भने, “हो, मै हुँ ।”
070d0c0111	यसैले मानोहले भने, “तपाईंका वचन पुरा होऊन् । त्यो बालकको निम्ति नियमहरू के हुनेछन्, र उसको काम के हुनेछ?”
070d0d00f1	परमप्रभुका दूतले मानोहलाई भने, “मैले तिनलाई भनेका हरेक कुरा तिनले ध्यानपुर्वक गर्नुपर्छ ।
070d0e01ce	दाखको बोटबाट आउने केही पनि तिनले खानुहुँदैन, र तिनले दाखमद्य वा कडा पेय पिउन वा कुनै अशुद्ध कुरा खान नदिनू । मैले तिनलाई गर्नू भनी आज्ञा गरेका सबै कुरा तिनले पालना गर्नुपर्छ ।”
070d0f013a	मानोहले परमप्रभुका दूतलाई भने, “कृपया केही समय बस्‍नुहोस्, र तपाईंको निम्ति एउटा पाठो तयार गर्न हामीलाई समय मिल्नेछ ।”
