010000000e	Γένεσις
04200300ae	Αταρωθ καὶ Δαιβων καὶ Ιαζηρ καὶ Ναμβρα καὶ Εσεβων καὶ Ελεαλη καὶ Σεβαμα καὶ Ναβαυ καὶ Βαιαν
04200400cf	τὴν γῆν ἣν παρέδωκεν κύριος ἐνώπιον τῶν υἱῶν Ισραηλ γῆ κτηνοτρόφος ἐστίν καὶ τοῖς παισίν σου κτήνη ὑπάρχει
04200500f4	καὶ ἔλεγον εἰ εὕρομεν χάριν ἐνώπιόν σου δοθήτω ἡ γῆ αὕτη τοῖς οἰκέταις σου ἐν κατασχέσει καὶ μὴ διαβιβάσῃς ἡμᾶς τὸν Ιορδάνην
04200600ee	καὶ εἶπεν Μωυσῆς τοῖς υἱοῖς Γαδ καὶ τοῖς υἱοῖς Ρουβην οἱ ἀδελφοὶ ὑμῶν πορεύονται εἰς πόλεμον καὶ ὑμεῖς καθήσεσθε αὐτοῦ
04200700c5	καὶ ἵνα τί διαστρέφετε τὰς διανοίας τῶν υἱῶν Ισραηλ μὴ διαβῆναι εἰς τὴν γῆν ἣν κύριος δίδωσιν αὐτοῖς
04200800b2	οὐχ οὕτως ἐποίησαν οἱ πατέρες ὑμῶν ὅτε ἀπέστειλα αὐτοὺς ἐκ Καδης Βαρνη κατανοῆσαι τὴν γῆν
0420090125	καὶ ἀνέβησαν Φάραγγα βότρυος καὶ κατενόησαν τὴν γῆν καὶ ἀπέστησαν τὴν καρδίαν τῶν υἱῶν Ισραηλ ὅπως μὴ εἰσέλθωσιν εἰς τὴν γῆν ἣν ἔδωκεν κύριος αὐτοῖς
04200a0077	καὶ ὠργίσθη θυμῷ κύριος ἐν τῇ ἡμέρᾳ ἐκείνῃ καὶ ὤμοσεν λέγων
04200b018b	εἰ ὄψονται οἱ ἄνθρωποι οὗτοι οἱ ἀναβάντες ἐξ Αἰγύπτου ἀπὸ εἰκοσαετοῦς καὶ ἐπάνω οἱ ἐπιστάμενοι τὸ κακὸν καὶ τὸ ἀγαθὸν τὴν γῆν ἣν ὤμοσα τῷ Αβρααμ καὶ Ισαακ καὶ Ιακωβ οὐ γὰρ συνεπηκολούθησαν ὀπίσω μου
04200c00bf	πλὴν Χαλεβ υἱὸς Ιεφοννη ὁ διακεχωρισμένος καὶ Ἰησοῦς ὁ τοῦ Ναυη ὅτι συνεπηκολούθησεν ὀπίσω κυρίου
04200d0139	καὶ ὠργίσθη θυμῷ κύριος ἐπὶ τὸν Ισραηλ καὶ κατερρόμβευσεν αὐτοὺς ἐν τῇ ἐρήμῳ τεσσαράκοντα ἔτη ἕως ἐξανηλώθη πᾶσα ἡ γενεὰ οἱ ποιοῦντες τὰ πονηρὰ ἔναντι κυρίου
04200e00f6	ἰδοὺ ἀνέστητε ἀντὶ τῶν πατέρων ὑμῶν σύστρεμμα ἀνθρώπων ἁμαρτωλῶν προσθεῖναι ἔτι ἐπὶ τὸν θυμὸν τῆς ὀργῆς κυρίου ἐπὶ Ισραηλ
04200f00ec	ὅτι ἀποστραφήσεσθε ἀπ’ αὐτοῦ προσθεῖναι ἔτι καταλιπεῖν αὐτὸν ἐν τῇ ἐρήμῳ καὶ ἀνομήσετε εἰς ὅλην τὴν συναγωγὴν ταύτην
04201000ea	καὶ προσῆλθον αὐτῷ καὶ ἔλεγον ἐπαύλεις προβάτων οἰκοδομήσωμεν ὧδε τοῖς κτήνεσιν ἡμῶν καὶ πόλεις ταῖς ἀποσκευαῖς ἡμῶν
042011017b	καὶ ἡμεῖς ἐνοπλισάμενοι προφυλακὴ πρότεροι τῶν υἱῶν Ισραηλ ἕως ἂν ἀγάγωμεν αὐτοὺς εἰς τὸν ἑαυτῶν τόπον καὶ κατοικήσει ἡ ἀποσκευὴ ἡμῶν ἐν πόλεσιν τετειχισμέναις διὰ τοὺς κατοικοῦντας τὴν γῆν
04201200dd	οὐ μὴ ἀποστραφῶμεν εἰς τὰς οἰκίας ἡμῶν ἕως ἂν καταμερισθῶσιν οἱ υἱοὶ Ισραηλ ἕκαστος εἰς τὴν κληρονομίαν αὐτοῦ
042013011f	καὶ οὐκέτι κληρονομήσωμεν ἐν αὐτοῖς ἀπὸ τοῦ πέραν τοῦ Ιορδάνου καὶ ἐπέκεινα ὅτι ἀπέχομεν τοὺς κλήρους ἡμῶν ἐν τῷ πέραν τοῦ Ιορδάνου ἐν ἀνατολαῖς
04201400ce	καὶ εἶπεν πρὸς αὐτοὺς Μωυσῆς ἐὰν ποιήσητε κατὰ τὸ ῥῆμα τοῦτο ἐὰν ἐξοπλίσησθε ἔναντι κυρίου εἰς πόλεμον
04201500dd	καὶ παρελεύσεται ὑμῶν πᾶς ὁπλίτης τὸν Ιορδάνην ἔναντι κυρίου ἕως ἂν ἐκτριβῇ ὁ ἐχθρὸς αὐτοῦ ἀπὸ προσώπου αὐτοῦ
0420160147	καὶ κατακυριευθῇ ἡ γῆ ἔναντι κυρίου καὶ μετὰ ταῦτα ἀποστραφήσεσθε καὶ ἔσεσθε ἀθῷοι ἔναντι κυρίου καὶ ἀπὸ Ισραηλ καὶ ἔσται ἡ γῆ αὕτη ὑμῖν ἐν κατασχέσει ἔναντι κυρίου
04201700d8	ἐὰν δὲ μὴ ποιήσητε οὕτως ἁμαρτήσεσθε ἔναντι κυρίου καὶ γνώσεσθε τὴν ἁμαρτίαν ὑμῶν ὅταν ὑμᾶς καταλάβῃ τὰ κακά
0420180111	καὶ οἰκοδομήσετε ὑμῖν αὐτοῖς πόλεις τῇ ἀποσκευῇ ὑμῶν καὶ ἐπαύλεις τοῖς κτήνεσιν ὑμῶν καὶ τὸ ἐκπορευόμενον ἐκ τοῦ στόματος ὑμῶν ποιήσετε
04201900e6	καὶ εἶπαν οἱ υἱοὶ Ρουβην καὶ οἱ υἱοὶ Γαδ πρὸς Μωυσῆν λέγοντες οἱ παῖδές σου ποιήσουσιν καθὰ ὁ κύριος ἡμῶν ἐντέλλεται
04201a00b7	ἡ ἀποσκευὴ ἡμῶν καὶ αἱ γυναῖκες ἡμῶν καὶ πάντα τὰ κτήνη ἡμῶν ἔσονται ἐν ταῖς πόλεσιν Γαλααδ
04201b00ed	οἱ δὲ παῖδές σου παρελεύσονται πάντες ἐνωπλισμένοι καὶ ἐκτεταγμένοι ἔναντι κυρίου εἰς τὸν πόλεμον ὃν τρόπον ὁ κύριος λέγει
04201c00dc	καὶ συνέστησεν αὐτοῖς Μωυσῆς Ελεαζαρ τὸν ἱερέα καὶ Ἰησοῦν υἱὸν Ναυη καὶ τοὺς ἄρχοντας πατριῶν τῶν φυλῶν Ισραηλ
04201d01c3	καὶ εἶπεν πρὸς αὐτοὺς Μωυσῆς ἐὰν διαβῶσιν οἱ υἱοὶ Ρουβην καὶ οἱ υἱοὶ Γαδ μεθ’ ὑμῶν τὸν Ιορδάνην πᾶς ἐνωπλισμένος εἰς πόλεμον ἔναντι κυρίου καὶ κατακυριεύσητε τῆς γῆς ἀπέναντι ὑμῶν καὶ δώσετε αὐτοῖς τὴν γῆν Γαλααδ ἐν κατασχέσει
04201e01cd	ἐὰν δὲ μὴ διαβῶσιν ἐνωπλισμένοι μεθ’ ὑμῶν εἰς τὸν πόλεμον ἔναντι κυρίου καὶ διαβιβάσετε τὴν ἀποσκευὴν αὐτῶν καὶ τὰς γυναῖκας αὐτῶν καὶ τὰ κτήνη αὐτῶν πρότερα ὑμῶν εἰς γῆν Χανααν καὶ συγκατακληρονομηθήσονται ἐν ὑμῖν ἐν τῇ γῇ Χανααν
04201f00dd	καὶ ἀπεκρίθησαν οἱ υἱοὶ Ρουβην καὶ οἱ υἱοὶ Γαδ λέγοντες ὅσα ὁ κύριος λέγει τοῖς θεράπουσιν αὐτοῦ οὕτως ποιήσομεν
04202000e2	ἡμεῖς διαβησόμεθα ἐνωπλισμένοι ἔναντι κυρίου εἰς γῆν Χανααν καὶ δώσετε τὴν κατάσχεσιν ἡμῖν ἐν τῷ πέραν τοῦ Ιορδάνου
04202101e0	καὶ ἔδωκεν αὐτοῖς Μωυσῆς τοῖς υἱοῖς Γαδ καὶ τοῖς υἱοῖς Ρουβην καὶ τῷ ἡμίσει φυλῆς Μανασση υἱῶν Ιωσηφ τὴν βασιλείαν Σηων βασιλέως Αμορραίων καὶ τὴν βασιλείαν Ωγ βασιλέως τῆς Βασαν τὴν γῆν καὶ τὰς πόλεις σὺν τοῖς ὁρίοις αὐτῆς πόλεις τῆς γῆς κύκλῳ
0420220082	καὶ ᾠκοδόμησαν οἱ υἱοὶ Γαδ τὴν Δαιβων καὶ τὴν Αταρωθ καὶ τὴν Αροηρ
0420230058	καὶ τὴν Σωφαρ καὶ τὴν Ιαζηρ καὶ ὕψωσαν αὐτὰς
0420240086	καὶ τὴν Ναμβραν καὶ τὴν Βαιθαραν πόλεις ὀχυρὰς καὶ ἐπαύλεις προβάτων
0420250080	καὶ οἱ υἱοὶ Ρουβην ᾠκοδόμησαν τὴν Εσεβων καὶ Ελεαλη καὶ Καριαθαιμ
04202600f0	καὶ τὴν Βεελμεων περικεκυκλωμένας καὶ τὴν Σεβαμα καὶ ἐπωνόμασαν κατὰ τὰ ὀνόματα αὐτῶν τὰ ὀνόματα τῶν πόλεων ἃς ᾠκοδόμησαν
04202700e8	καὶ ἐπορεύθη υἱὸς Μαχιρ υἱοῦ Μανασση εἰς Γαλααδ καὶ ἔλαβεν αὐτὴν καὶ ἀπώλεσεν τὸν Αμορραῖον τὸν κατοικοῦντα ἐν αὐτῇ
0420280088	καὶ ἔδωκεν Μωυσῆς τὴν Γαλααδ τῷ Μαχιρ υἱῷ Μανασση καὶ κατῴκησεν ἐκεῖ
04202900c0	καὶ Ιαϊρ ὁ τοῦ Μανασση ἐπορεύθη καὶ ἔλαβεν τὰς ἐπαύλεις αὐτῶν καὶ ἐπωνόμασεν αὐτὰς ἐπαύλεις Ιαϊρ
04202a00da	καὶ Ναβαυ ἐπορεύθη καὶ ἔλαβεν τὴν Κανααθ καὶ τὰς κώμας αὐτῆς καὶ ἐπωνόμασεν αὐτὰς Ναβωθ ἐκ τοῦ ὀνόματος αὐτοῦ
04210100cf	καὶ οὗτοι σταθμοὶ τῶν υἱῶν Ισραηλ ὡς ἐξῆλθον ἐκ γῆς Αἰγύπτου σὺν δυνάμει αὐτῶν ἐν χειρὶ Μωυσῆ καὶ Ααρων
04210200ea	καὶ ἔγραψεν Μωυσῆς τὰς ἀπάρσεις αὐτῶν καὶ τοὺς σταθμοὺς αὐτῶν διὰ ῥήματος κυρίου καὶ οὗτοι σταθμοὶ τῆς πορείας αὐτῶν
0421030153	ἀπῆραν ἐκ Ραμεσση τῷ μηνὶ τῷ πρώτῳ τῇ πεντεκαιδεκάτῃ ἡμέρᾳ τοῦ μηνὸς τοῦ πρώτου τῇ ἐπαύριον τοῦ πασχα ἐξῆλθον οἱ υἱοὶ Ισραηλ ἐν χειρὶ ὑψηλῇ ἐναντίον πάντων τῶν Αἰγυπτίων
042104013d	καὶ οἱ Αἰγύπτιοι ἔθαπτον ἐξ αὑτῶν τοὺς τεθνηκότας πάντας οὓς ἐπάταξεν κύριος πᾶν πρωτότοκον ἐν γῇ Αἰγύπτῳ καὶ ἐν τοῖς θεοῖς αὐτῶν ἐποίησεν τὴν ἐκδίκησιν κύριος
042105007a	καὶ ἀπάραντες οἱ υἱοὶ Ισραηλ ἐκ Ραμεσση παρενέβαλον εἰς Σοκχωθ
0421060093	καὶ ἀπῆραν ἐκ Σοκχωθ καὶ παρενέβαλον εἰς Βουθαν ὅ ἐστιν μέρος τι τῆς ἐρήμου
04210700e0	καὶ ἀπῆραν ἐκ Βουθαν καὶ παρενέβαλον ἐπὶ στόμα Εϊρωθ ὅ ἐστιν ἀπέναντι Βεελσεπφων καὶ παρενέβαλον ἀπέναντι Μαγδώλου
0421080135	καὶ ἀπῆραν ἀπέναντι Εϊρωθ καὶ διέβησαν μέσον τῆς θαλάσσης εἰς τὴν ἔρημον καὶ ἐπορεύθησαν ὁδὸν τριῶν ἡμερῶν διὰ τῆς ἐρήμου αὐτοὶ καὶ παρενέβαλον ἐν Πικρίαις
0421090117	καὶ ἀπῆραν ἐκ Πικριῶν καὶ ἦλθον εἰς Αιλιμ καὶ ἐν Αιλιμ δώδεκα πηγαὶ ὑδάτων καὶ ἑβδομήκοντα στελέχη φοινίκων καὶ παρενέβαλον ἐκεῖ παρὰ τὸ ὕδωρ
04210a0070	καὶ ἀπῆραν ἐξ Αιλιμ καὶ παρενέβαλον ἐπὶ θάλασσαν ἐρυθράν
04210b0085	καὶ ἀπῆραν ἀπὸ θαλάσσης ἐρυθρᾶς καὶ παρενέβαλον εἰς τὴν ἔρημον Σιν
04210c006d	καὶ ἀπῆραν ἐκ τῆς ἐρήμου Σιν καὶ παρενέβαλον εἰς Ραφακα
04210d005b	καὶ ἀπῆραν ἐκ Ραφακα καὶ παρενέβαλον ἐν Αιλους
04210e00a2	καὶ ἀπῆραν ἐξ Αιλους καὶ παρενέβαλον ἐν Ραφιδιν καὶ οὐκ ἦν ὕδωρ τῷ λαῷ πιεῖν ἐκεῖ
04210f006c	καὶ ἀπῆραν ἐκ Ραφιδιν καὶ παρενέβαλον ἐν τῇ ἐρήμῳ Σινα
042110008d	καὶ ἀπῆραν ἐκ τῆς ἐρήμου Σινα καὶ παρενέβαλον ἐν Μνήμασιν τῆς ἐπιθυμίας
0421110073	καὶ ἀπῆραν ἐκ Μνημάτων ἐπιθυμίας καὶ παρενέβαλον ἐν Ασηρωθ
042112005b	καὶ ἀπῆραν ἐξ Ασηρωθ καὶ παρενέβαλον ἐν Ραθαμα
0421130066	καὶ ἀπῆραν ἐκ Ραθαμα καὶ παρενέβαλον ἐν Ρεμμων Φαρες
0421140066	καὶ ἀπῆραν ἐκ Ρεμμων Φαρες καὶ παρενέβαλον ἐν Λεμωνα
042115005b	καὶ ἀπῆραν ἐκ Λεμωνα καὶ παρενέβαλον εἰς Δεσσα
042116005f	καὶ ἀπῆραν ἐκ Δεσσα καὶ παρενέβαλον εἰς Μακελλαθ
042117005f	καὶ ἀπῆραν ἐκ Μακελλαθ καὶ παρενέβαλον εἰς Σαφαρ
042118005d	καὶ ἀπῆραν ἐκ Σαφαρ καὶ παρενέβαλον εἰς Χαραδαθ
0421190061	καὶ ἀπῆραν ἐκ Χαραδαθ καὶ παρενέβαλον εἰς Μακηλωθ
04211a005f	καὶ ἀπῆραν ἐκ Μακηλωθ καὶ παρενέβαλον εἰς Κατααθ
04211b005b	καὶ ἀπῆραν ἐκ Κατααθ καὶ παρενέβαλον εἰς Ταραθ
04211c005d	καὶ ἀπῆραν ἐκ Ταραθ καὶ παρενέβαλον εἰς Ματεκκα
04211d0061	καὶ ἀπῆραν ἐκ Ματεκκα καὶ παρενέβαλον εἰς Σελμωνα
04211e0067	καὶ ἀπῆραν ἐκ Σελμωνα καὶ παρενέβαλον εἰς Μασσουρουθ
04211f0065	καὶ ἀπῆραν ἐκ Μασσουρουθ καὶ παρενέβαλον εἰς Βαναια
042120006d	καὶ ἀπῆραν ἐκ Βαναια καὶ παρενέβαλον εἰς τὸ ὄρος Γαδγαδ
0421210073	καὶ ἀπῆραν ἐκ τοῦ ὄρους Γαδγαδ καὶ παρενέβαλον εἰς Ετεβαθα
042122005f	καὶ ἀπῆραν ἐξ Ετεβαθα καὶ παρενέβαλον εἰς Εβρωνα
0421230067	καὶ ἀπῆραν ἐξ Εβρωνα καὶ παρενέβαλον εἰς Γεσιωνγαβερ
0421240116	καὶ ἀπῆραν ἐκ Γεσιωνγαβερ καὶ παρενέβαλον ἐν τῇ ἐρήμῳ Σιν καὶ ἀπῆραν ἐκ τῆς ἐρήμου Σιν καὶ παρενέβαλον εἰς τὴν ἔρημον Φαραν αὕτη ἐστὶν Καδης
0421250083	καὶ ἀπῆραν ἐκ Καδης καὶ παρενέβαλον εἰς Ωρ τὸ ὄρος πλησίον γῆς Εδωμ
0421260149	καὶ ἀνέβη Ααρων ὁ ἱερεὺς διὰ προστάγματος κυρίου καὶ ἀπέθανεν ἐκεῖ ἐν τῷ τεσσαρακοστῷ ἔτει τῆς ἐξόδου τῶν υἱῶν Ισραηλ ἐκ γῆς Αἰγύπτου τῷ μηνὶ τῷ πέμπτῳ μιᾷ τοῦ μηνός
0421270096	καὶ Ααρων ἦν τριῶν καὶ εἴκοσι καὶ ἑκατὸν ἐτῶν ὅτε ἀπέθνῃσκεν ἐν Ωρ τῷ ὄρει
04212800c4	καὶ ἀκούσας ὁ Χανανις βασιλεὺς Αραδ καὶ οὗτος κατῴκει ἐν γῇ Χανααν ὅτε εἰσεπορεύοντο οἱ υἱοὶ Ισραηλ
042129006b	καὶ ἀπῆραν ἐξ Ωρ τοῦ ὄρους καὶ παρενέβαλον εἰς Σελμωνα
04212a005b	καὶ ἀπῆραν ἐκ Σελμωνα καὶ παρενέβαλον εἰς Φινω
04212b0055	καὶ ἀπῆραν ἐκ Φινω καὶ παρενέβαλον εἰς Ωβωθ
04212c008e	καὶ ἀπῆραν ἐξ Ωβωθ καὶ παρενέβαλον ἐν Γαι ἐν τῷ πέραν ἐπὶ τῶν ὁρίων Μωαβ
04212d005e	καὶ ἀπῆραν ἐκ Γαι καὶ παρενέβαλον εἰς Δαιβων Γαδ
04212e0075	καὶ ἀπῆραν ἐκ Δαιβων Γαδ καὶ παρενέβαλον ἐν Γελμων Δεβλαθαιμ
04212f00a2	καὶ ἀπῆραν ἐκ Γελμων Δεβλαθαιμ καὶ παρενέβαλον ἐπὶ τὰ ὄρη τὰ Αβαριμ ἀπέναντι Ναβαυ
04213000b0	καὶ ἀπῆραν ἀπὸ ὀρέων Αβαριμ καὶ παρενέβαλον ἐπὶ δυσμῶν Μωαβ ἐπὶ τοῦ Ιορδάνου κατὰ Ιεριχω
04213100a0	καὶ παρενέβαλον παρὰ τὸν Ιορδάνην ἀνὰ μέσον Αισιμωθ ἕως Βελσαττιμ κατὰ δυσμὰς Μωαβ
04213200a3	καὶ ἐλάλησεν κύριος πρὸς Μωυσῆν ἐπὶ δυσμῶν Μωαβ παρὰ τὸν Ιορδάνην κατὰ Ιεριχω λέγων
04213300b7	λάλησον τοῖς υἱοῖς Ισραηλ καὶ ἐρεῖς πρὸς αὐτούς ὑμεῖς διαβαίνετε τὸν Ιορδάνην εἰς γῆν Χανααν
0421340171	καὶ ἀπολεῖτε πάντας τοὺς κατοικοῦντας ἐν τῇ γῇ πρὸ προσώπου ὑμῶν καὶ ἐξαρεῖτε τὰς σκοπιὰς αὐτῶν καὶ πάντα τὰ εἴδωλα τὰ χωνευτὰ αὐτῶν ἀπολεῖτε αὐτὰ καὶ πάσας τὰς στήλας αὐτῶν ἐξαρεῖτε
04213500da	καὶ ἀπολεῖτε πάντας τοὺς κατοικοῦντας τὴν γῆν καὶ κατοικήσετε ἐν αὐτῇ ὑμῖν γὰρ δέδωκα τὴν γῆν αὐτῶν ἐν κλήρῳ
04213601ee	καὶ κατακληρονομήσετε τὴν γῆν αὐτῶν ἐν κλήρῳ κατὰ φυλὰς ὑμῶν τοῖς πλείοσιν πληθυνεῖτε τὴν κατάσχεσιν αὐτῶν καὶ τοῖς ἐλάττοσιν ἐλαττώσετε τὴν κατάσχεσιν αὐτῶν εἰς ὃ ἐὰν ἐξέλθῃ τὸ ὄνομα αὐτοῦ ἐκεῖ αὐτοῦ ἔσται κατὰ φυλὰς πατριῶν ὑμῶν κληρονομήσετε
04213701ca	ἐὰν δὲ μὴ ἀπολέσητε τοὺς κατοικοῦντας ἐπὶ τῆς γῆς ἀπὸ προσώπου ὑμῶν καὶ ἔσται οὓς ἐὰν καταλίπητε ἐξ αὐτῶν σκόλοπες ἐν τοῖς ὀφθαλμοῖς ὑμῶν καὶ βολίδες ἐν ταῖς πλευραῖς ὑμῶν καὶ ἐχθρεύσουσιν ἐπὶ τῆς γῆς ἐφ’ ἣν ὑμεῖς κατοικήσετε
042138006b	καὶ ἔσται καθότι διεγνώκειν ποιῆσαι αὐτούς ποιήσω ὑμῖν
0422010049	καὶ ἐλάλησεν κύριος πρὸς Μωυσῆν λέγων
042202012e	ἔντειλαι τοῖς υἱοῖς Ισραηλ καὶ ἐρεῖς πρὸς αὐτούς ὑμεῖς εἰσπορεύεσθε εἰς τὴν γῆν Χανααν αὕτη ἔσται ὑμῖν εἰς κληρονομίαν γῆ Χανααν σὺν τοῖς ὁρίοις αὐτῆς
042203012f	καὶ ἔσται ὑμῖν τὸ κλίτος τὸ πρὸς λίβα ἀπὸ ἐρήμου Σιν ἕως ἐχόμενον Εδωμ καὶ ἔσται ὑμῖν τὰ ὅρια πρὸς λίβα ἀπὸ μέρους τῆς θαλάσσης τῆς ἁλυκῆς ἀπὸ ἀνατολῶν
0422040177	καὶ κυκλώσει ὑμᾶς τὰ ὅρια ἀπὸ λιβὸς πρὸς ἀνάβασιν Ακραβιν καὶ παρελεύσεται Σεννα καὶ ἔσται ἡ διέξοδος αὐτοῦ πρὸς λίβα Καδης τοῦ Βαρνη καὶ ἐξελεύσεται εἰς ἔπαυλιν Αραδ καὶ παρελεύσεται Ασεμωνα
04220500a3	καὶ κυκλώσει τὰ ὅρια ἀπὸ Ασεμωνα χειμάρρουν Αἰγύπτου καὶ ἔσται ἡ διέξοδος ἡ θάλασσα
04220600c4	καὶ τὰ ὅρια τῆς θαλάσσης ἔσται ὑμῖν ἡ θάλασσα ἡ μεγάλη ὁριεῖ τοῦτο ἔσται ὑμῖν τὰ ὅρια τῆς θαλάσσης
04220700ea	καὶ τοῦτο ἔσται τὰ ὅρια ὑμῖν πρὸς βορρᾶν ἀπὸ τῆς θαλάσσης τῆς μεγάλης καταμετρήσετε ὑμῖν αὐτοῖς παρὰ τὸ ὄρος τὸ ὄρος
04220800e0	καὶ ἀπὸ τοῦ ὄρους τὸ ὄρος καταμετρήσετε αὐτοῖς εἰσπορευομένων εἰς Εμαθ καὶ ἔσται ἡ διέξοδος αὐτοῦ τὰ ὅρια Σαραδα
04220900c7	καὶ ἐξελεύσεται τὰ ὅρια Δεφρωνα καὶ ἔσται ἡ διέξοδος αὐτοῦ Ασερναιν τοῦτο ἔσται ὑμῖν ὅρια ἀπὸ βορρᾶ
04220a0088	καὶ καταμετρήσετε ὑμῖν αὐτοῖς τὰ ὅρια ἀνατολῶν ἀπὸ Ασερναιν Σεπφαμα
04220b0107	καὶ καταβήσεται τὰ ὅρια ἀπὸ Σεπφαμ Αρβηλα ἀπὸ ἀνατολῶν ἐπὶ πηγάς καὶ καταβήσεται τὰ ὅρια Βηλα ἐπὶ νώτου θαλάσσης Χεναρα ἀπὸ ἀνατολῶν
04220c00f4	καὶ καταβήσεται τὰ ὅρια ἐπὶ τὸν Ιορδάνην καὶ ἔσται ἡ διέξοδος θάλασσα ἡ ἁλυκή αὕτη ἔσται ὑμῖν ἡ γῆ καὶ τὰ ὅρια αὐτῆς κύκλῳ
04220d0176	καὶ ἐνετείλατο Μωυσῆς τοῖς υἱοῖς Ισραηλ λέγων αὕτη ἡ γῆ ἣν κατακληρονομήσετε αὐτὴν μετὰ κλήρου ὃν τρόπον συνέταξεν κύριος τῷ Μωυσῇ δοῦναι αὐτὴν ταῖς ἐννέα φυλαῖς καὶ τῷ ἡμίσει φυλῆς Μανασση
04220e00fd	ὅτι ἔλαβεν φυλὴ υἱῶν Ρουβην καὶ φυλὴ υἱῶν Γαδ κατ’ οἴκους πατριῶν αὐτῶν καὶ τὸ ἥμισυ φυλῆς Μανασση ἀπέλαβον τοὺς κλήρους αὐτῶν
04220f00d1	δύο φυλαὶ καὶ ἥμισυ φυλῆς ἔλαβον τοὺς κλήρους αὐτῶν πέραν τοῦ Ιορδάνου κατὰ Ιεριχω ἀπὸ νότου κατ’ ἀνατολάς
0422100049	καὶ ἐλάλησεν κύριος πρὸς Μωυσῆν λέγων
04221100c6	ταῦτα τὰ ὀνόματα τῶν ἀνδρῶν οἳ κληρονομήσουσιν ὑμῖν τὴν γῆν Ελεαζαρ ὁ ἱερεὺς καὶ Ἰησοῦς ὁ τοῦ Ναυη
042212007f	καὶ ἄρχοντα ἕνα ἐκ φυλῆς λήμψεσθε κατακληρονομῆσαι ὑμῖν τὴν γῆν
0422130084	καὶ ταῦτα τὰ ὀνόματα τῶν ἀνδρῶν τῆς φυλῆς Ιουδα Χαλεβ υἱὸς Ιεφοννη
0422140049	τῆς φυλῆς Συμεων Σαλαμιηλ υἱὸς Εμιουδ
0422150047	τῆς φυλῆς Βενιαμιν Ελδαδ υἱὸς Χασλων
0422160047	τῆς φυλῆς Δαν ἄρχων Βακχιρ υἱὸς Εγλι
042217006e	τῶν υἱῶν Ιωσηφ φυλῆς υἱῶν Μανασση ἄρχων Ανιηλ υἱὸς Ουφι
042218005e	τῆς φυλῆς υἱῶν Εφραιμ ἄρχων Καμουηλ υἱὸς Σαβαθα
0422190059	τῆς φυλῆς Ζαβουλων ἄρχων Ελισαφαν υἱὸς Φαρναχ
04221a005a	τῆς φυλῆς υἱῶν Ισσαχαρ ἄρχων Φαλτιηλ υἱὸς Οζα
04221b0056	τῆς φυλῆς υἱῶν Ασηρ ἄρχων Αχιωρ υἱὸς Σελεμι
04221c0059	τῆς φυλῆς Νεφθαλι ἄρχων Φαδαηλ υἱὸς Βεναμιουδ
04221d008a	οὗτοι οἷς ἐνετείλατο κύριος καταμερίσαι τοῖς υἱοῖς Ισραηλ ἐν γῇ Χανααν
04230100a3	καὶ ἐλάλησεν κύριος πρὸς Μωυσῆν ἐπὶ δυσμῶν Μωαβ παρὰ τὸν Ιορδάνην κατὰ Ιεριχω λέγων
0423020146	σύνταξον τοῖς υἱοῖς Ισραηλ καὶ δώσουσιν τοῖς Λευίταις ἀπὸ τῶν κλήρων κατασχέσεως αὐτῶν πόλεις κατοικεῖν καὶ τὰ προάστεια τῶν πόλεων κύκλῳ αὐτῶν δώσουσιν τοῖς Λευίταις
04230300f0	καὶ ἔσονται αὐτοῖς αἱ πόλεις κατοικεῖν καὶ τὰ ἀφορίσματα αὐτῶν ἔσται τοῖς κτήνεσιν αὐτῶν καὶ πᾶσι τοῖς τετράποσιν αὐτῶν
04230400d3	καὶ τὰ συγκυροῦντα τῶν πόλεων ἃς δώσετε τοῖς Λευίταις ἀπὸ τείχους τῆς πόλεως καὶ ἔξω δισχιλίους πήχεις κύκλῳ
0423050213	καὶ μετρήσεις ἔξω τῆς πόλεως τὸ κλίτος τὸ πρὸς ἀνατολὰς δισχιλίους πήχεις καὶ τὸ κλίτος τὸ πρὸς λίβα δισχιλίους πήχεις καὶ τὸ κλίτος τὸ πρὸς θάλασσαν δισχιλίους πήχεις καὶ τὸ κλίτος τὸ πρὸς βορρᾶν δισχιλίους πήχεις καὶ ἡ πόλις μέσον τούτου ἔσται ὑμῖν καὶ τὰ ὅμορα τῶν πόλεων
0423060120	καὶ τὰς πόλεις δώσετε τοῖς Λευίταις τὰς ἓξ πόλεις τῶν φυγαδευτηρίων ἃς δώσετε φεύγειν ἐκεῖ τῷ φονεύσαντι καὶ πρὸς ταύταις τεσσαράκοντα καὶ δύο πόλεις
04230700bb	πάσας τὰς πόλεις δώσετε τοῖς Λευίταις τεσσαράκοντα καὶ ὀκτὼ πόλεις ταύτας καὶ τὰ προάστεια αὐτῶν
042308018e	καὶ τὰς πόλεις ἃς δώσετε ἀπὸ τῆς κατασχέσεως υἱῶν Ισραηλ ἀπὸ τῶν τὰ πολλὰ πολλὰ καὶ ἀπὸ τῶν ἐλαττόνων ἐλάττω ἕκαστος κατὰ τὴν κληρονομίαν αὐτοῦ ἣν κληρονομήσουσιν δώσουσιν ἀπὸ τῶν πόλεων τοῖς Λευίταις
0423090049	καὶ ἐλάλησεν κύριος πρὸς Μωυσῆν λέγων
