1300000006	Psalms
134a090086	Bakadi kutumonisa kadi kumu kimosi kusiedi mimbikudi ko. Kadi mutu wumosi mu beto zebi keni nate thangu mbi mama mela tatamana bela e?
134a0a0084	Nate thangu mbi mbeni kela kusekinina, a Nzambi e? Nate thangu mbi mutu wundendidi kela lenzilanga dizina diaku mu zithangu zioso e?
134a0b006e	Bila mbi kangidi koko kuaku, koko kuaku ku lubakala e? Bonga kuawu mu mimfutu mi kukhutu kiaku ayi wuba bungi.
134a0c0054	Vayi ngeyo Nzambi, ngeyo ntinu ama tona muna tona; ngeyo weti nata phulusu va ntoto.
134a0d0050	Keti ngeyo wuvasa mbu mu lulendo luaku; wukosikisa mintu mi bisimbi bi minlangu;
134a0e0055	keti ngeyo wukosikisa mintu mi Leviatani, wumvana banga bidia kuidi bibulu bi dikanga
134a0f0083	Keti ngeyo wuzibula zitho zi minlangu ayi mimvuila mi minlangu Ngeyo wusikisa minlangu minneni miomi mieti kumba mu zithangu zioso.
134a10004a	Ngeyo vuidi muini, ayi ngeyo vuidi builu; ngeyo wuvanga ngondi ayi thangu.
134a11006c	Keti ngeyo wumana vanga zindilu zioso zi ntoto, ngeyo wuvanga tsungi yi muini wu ngolo ayi yi kiozi kingolo.
134a120059	Tebuka moyo buevi mbeni kalembo sekinina, a Yave, buevi bivungisi balenzila dizina diaku!
134a130079	Kadi yekula luzingu lu dibembi diaku kuidi bibulu bi nganzi ayi kadi thumbu zimbakana luzingu lu batu baku badi mu phasi.
134a14006a	Bengudila Nguizani aku thalu; bila bisuamunu biyindulungu makhemi bifulukidi mu bibuangu bitombi bi ntoto.
134a15005f	Kadi tala ti mutu wuyamusu kavutuka mu tsoni Bika nkua kiadi ayi nsukami bazitisa dizina diaku.
134a16005e	Telama a Nzambi! Wukinungisa! Tebukila moyo buevi bivungisi bilembo sekinina mu bilumbu bioso.
134a17006b	Kadi zimbakana biyoko bi bambeni ziaku divunzi di bambeni ziaku, diodi dilembo buelamanga thangu ka thangu.
134b0100b7	Nkunga Asafi kuidi pfumu minyimbidi “Kadi vonda”. Tueti kuvutudila matondo, a Nzambi. Tueli vutula matondo bila dizina diaku didi difikama batu balembo yolukila matsiminanga maku.
134b02004c	Ngeyo tubidi: “tsobudi thangu yifuana Keti minu ndieti sambisa mu bufuana.
134b03005b	Ntoto bu wulembo nikuka va kimosi ayi batu bandi boso Keti minu ndisimbidila makunzi mandi.
134b040076	Kuidi nkua luniemo, ndintuba: ‘Kadi kukiniemisanga ngolo’ Kuidi batu bambimbi: ‘lubika vumbula ziphoka zieno.’
134b050056	Lubika vumuna ziphoka zieno mu diambu di diyilu; bikanu tubila mu nonumuna madinga!”
134b060057	Kadi mutu wumosi tona ku Esite voti ku Wesite voti tona ku dikanga wulenda yayisa mutu.
134b070058	Vayi Nzambi niandi weti sambisa; niandi weti kulula wunkaka, niandi weti yayisa wunkaka.
134b08009c	Mu koko ku Yave muidi mbungu yiwala vinu kingolo ayi yisobokoso. Wulembo dukula kiawu ayi batu boso bambimbi badi va ntoto bela nua kiawu nate kuna dibomvi.
134b090062	Vayi minu, ndiela samunanga mawu mu thangu zioso. Ndiela yimbidila nzitusu kuidi Nzambi yi Yakobi.
134b0a0057	Ndiela zenga ziphoka zi batu boso bambimbi, vayi ziphoka zi batu basonga luela nanguku.
134c010079	Nkunga Asafi kuidi pfumu minyimbidi kayimbidila mu ngitala. Mu Yuda, Nzambi zabikini Dizina diandi didi dinneni mu Iseli.
134c02003e	Nzo andi yi ngoto yidi ku Salemi, buangu kiandi kidi ku Sioni.
134c030056	Kuna kakeludila madionga malembo lemi, nkaku ayi sabala, mbedi ayi binuanunu bi mvita.
134c04004b	Ngeyo lembo lezama mu kiezila, lutidi kinzuku viokila miongo miwedi bibulu.
134c050073	Makhesa mamana ku baziona bima, balembo leki tulu tuawu tutsuka, kadi wumosi mu binuani lenda tombula mioko miandi.
134c060076	Mu themunuꞌaku, a Nzambi yi Yakobi, ziphunda ayi matoma ma mvita bibibiodi biledi tulu tuvindu. Bileka tulu tuvindu.
134c07004f	Ngeyo veka, lembo monisa tsisi! Nani wulenda telama va meso maku ngeyo fuema e?
134c08004f	Tona kuna Diyilu wuwakikisa nzengolo; ntoto wumona tsisi ayi wutumbu dingalala;
134c090066	Thangu ngeyo, a Nzambi, wutelama mu diambu di sambisa ayi mu diambu di vukisa bankwa ziphasi va ntoto.
134c0a0065	Bukiedika nganzi aku kuidi batu yinnatini nzitusu; ayi bobo bavukidi mu nganzi aku, badi basimbudulu.
134c0b008e	Tambikanu zikhanu kuidi Yave Nzambi eno ayi dedikisanu ziawu! Bika baboso badi mu nzunga ki mintoto, banata bakaba kuidi mutu wowo widi tsisi.
134c0c0051	Niandi weti bula phevi minyadi, niandi tsisi beta kummona kuidi mintinu mi ntoto.
134d010086	Nkunga Asafi kuidi Yedutuni, pfumu wu minyimbidi. Ndiyamikina kuidi Nzambi mu diambu di lusadusu ndiyamikina kuidi Nzambi mu kunguila.
134d020074	Thangu ndiba mu ziphasi, nditomba Yave; va builu ndinonuna mioko miama mu kambu vonga; ayi muelꞌama wumanga bombo.
134d03005f	Ndietebukila moyo, a Nzambi, ayi ndikunga; ndiyindula mu tsi ntima ayi pheve ama yivonga ngolo.
134d04003e	Wekeba meso mama ma bika zibama, ndiba diaka mu phasi mu tuba.
134d05002b	Ndiyindula bilumbu bivioka, mimvu mi thama.
134d060067	Ndieti tebukila minkunga miama moyo va builu, Ntima ama uyindula ku tsi ntima ayi pheve ama yikiyuvula:
134d07004d	Pfumu wela tumbu loza kuandi mvimba e? Kalendi buela monisa nlemvo andi ko e?
134d080068	Luzolo luandi lungolo lusukidi kuandi mvimba e? Zitsila ziandi mu zithangu zioso zikitukidi zi phamba e?
134d09005d	Nzambi wuzimbikini kuandi buela monisa nlemvo e? Wuyimini kiadi kiandi mu diambu di nganzi e?
134d0a0066	Buna ndiyindula “mu diambu diadi ndiela singimina: mimvu mi koko ku lubakala ku Nzambi yizangama.”
134d0b005b	Ndiela tebukila moyo mavanga ma Yave, bukiedika ndiela tebukila moyo bikumu biaku bi thama.
134d0c0066	Ndiela yindulanga mu tsi ntima bisalu biaku bioso; ayi ndiela banzilanga mavanga maku moso ma lulendo.
134d0d0053	Zinzila ziaku, a Nzambi, zidi zinlongo; nzambi mbi widi wunneni banga Nzambi eto e?
134d0e0051	Ngeyo widi Nzambi yimvanganga bikumu; Ngeyo weti monisa lulendo luaku muidi batu.
134d0f004c	Mu koko kuaku ku lulendo wukuidila batu baku, nkuna wu Yakobi ayi wu Zozefi.
134d100066	Minlangu mimmona, ngeyo a Nzambi! Minlangu mimona ngeyo, ayi mikotadala zitsina zi minlangu zi nikuka.
134d11005f	Matuti madukula minlangu; diyilu diduma mu nzazi madionga maku matotuka ku ntuala ayi ku mbusa.
134d12005b	Zinzazi ziaku ziwakana mu kimbongila; zitsiemo zikienzula ntoto; ntoto wunikuka ayi wutita.
134d13006e	Nsolo aku wuviokila va khatitsika mbu, nzilꞌaku mu minlangu midi nguma, muna zithambi ziaku zisia monika ko.
134d140048	Wudiatisa batu baku banga nkangu wu mamemi, mu koko ku Moyize ayi Aloni.
134e010048	Nkunga Asafi. A batu bama, wanu malongi mama! Dimbanu mambu ma munu ama.
134e020057	Ndiela zibula munu ama mu tuba zingana ayi ndiela samuna mambu ma suama, mambu makhulu;
134e030039	momo tuwa ayi momo tuzaba ayi momo bakulu beto batukamba;
134e040090	Tulendi masuekila ko bana bawu; tuela samuna kuidi tsungi yinkuiza mavanga ma Yave mafueti zitusu, lulendo luandi ayi matsiminanga momo kavanga.
134e050078	Wuvana zithumunu mu diambu di Yakobi. Wukubika Mina mu Iseli, ayi wutumina bakulu beto muingi bamilonga kuidi bana bawu;
134e060078	buna tsungi yinkuiza, yela zaba mawu buela bana bobo babutuki ko ayi bawu mamvawu mu thangu awu bela yolukila bana bawu;
134e07006e	buna bela tula diana diawu mu Nzambi, ayi balendi zimbakana mavanga mandi ko, vayi bela keba zithumunu ziandi;
134e0800ab	Balendi ba banga bakulu bawu ko; tsungi yikambulu bulemvo, ayi tsungi yi matingu; bobo mintima misia ba mifuana ko kuidi Nzambi bobo pheve yisia yikuikama kuidi Nzambi ko.
134e09004d	Batu ba Efalayimi bobo baba ayi mimbasa, bavutuka ku mbusa mu lumbu ki mvita.
134e0a004e	Basi keba ko Nguizani yi Nzambi, ayi bamanga zingila boso buididi Mina miandi.
134e0b0037	Bazimbakana momo kavanga; matsiminanga momo kabamonisa.
134e0c004c	Wuvanga bikumu va ntuala bakulu bawu mu tsi yi Ezipite; mu zunga ki Tsowani.
134e0d0049	Wuvasa mbu ayi wuba viokila muawu; wutelimisa nlangu dio ngui banga baka.
134e0e004c	Wuba diatisa mu dituti va muini, ayi mu kiezila ki mbazu va builu bu mvimba.
134e0f0041	Wubasa matadi mu dikanga, ayi wuba vana nlangu wuwombo banga mbu;
134e100053	Wutotula mimvuila minlangu mu ditadi ayi wukumbisa minlangu banga minlangu minneni.
134e11005a	Vayi babuela tatamana sumuka diaka va ntualꞌandi; batinguna Nzambi Yizangama mu dikanga.
134e12004c	Batota Nzambi mu luzolo lungolo, mu lombanga mu kingolo bidia biobi batomba.
134e13004e	Batubidila Nzambi batuba: “Nzambi beki kuandi bu kubikila meza mu dikanga e?
134e1400b6	Bu kabula ditadi dingolo, mbadi nlangu wutotuka ayi mimvuila mikumba mu buwombo vayi buna wulendi kuandi kutuvana bidia e? Wulendi kuandi kubika zimbizi mu diambu di batu bandi e?”
134e150066	Yave bu kaba wa, wufuema ngolo, mbazu andi yilema mu diambu di Yakobi ayi miangu miandi mibuila Iseli.
134e16004e	Bila basia wilukila Nzambi ko, voti basia tula diana diawu mu khudulu andi ko.
134e170048	Muaki wuvana lutumunu kuidi matuti ma yilu ayi wuzibula mielo mi diyilu;
134e18004a	Wunokisa mana mu diambu di batu muingi badia; wuba vana zitheti zi diyilu.
134e190049	Batu badia dipha di zimbasi; wuba fidisila bidia bioso biobi balenda dia.
134e1a0057	Wuvevumuna phemo yi Esite mu diyilu. Wudiata ku ntuala phemo yi Sude mu lulendo luandi.
134e1b0053	Wuba nokisila zimbizi banga mbungi-mbungi; zinuni zieti dumuka banga nzielo yi mbu.
134e1c004d	Wuba buisila biawu va khatitsika ka kiawu; muyenda zinzo ziawu zioso zingoto.
134e1d0043	Badia nate bayukuta kuwombo; ayi wuba vana biobi baleba mu kingolo.
134e1e0051	Tuamina batamba bidia biobi baleba mu kingolo mbusa, buela bikidi mu miunu miawu.
134e1f006c	Nganzi yi Nzambi yi babuila; wuvonda bobo baluta ba zinitu zingolo mu bawu; wuvonda bana ba matoko ma Iseli.
134e200068	Ka diambu ko mambu moso momo, batatamana vola masumu ka diambu ko matsiminanga mandi, basia wilukila ko.
134e21003f	Buna wumanisa bilumbu biawu mu phamba ayi mimvu miawu mu tsisi.
134e220068	Kadika khumbu kaba kuba vondanga, tombanga baba kuntombanga, balukanga nsualu-nsualu diaka kuidi niandi.
134e230058	Batebuka moyo ti Nzambi niandi wuba dibanga diawu ayi Nzambi Yizangama niandi nkudi awu.
134e240049	Vayi buna bankamba mambu ma lueki mu miunu miawu bamvuna mu ludimi luawu.
134e250056	Mintima miawu misia ba mifuana kuidi niandi ko basia ba bakuikama ko mu Nguizani andi.
134e260098	Vayi niandi wuba nkua kiadi wuba lemvukila mambimbi mawu kasia babunga ko thangu ka thangu wudekula nganzi andi ayi kasia totula ko miangu miandi mioso.
134e270069	Wutebuka moyo ti baba minsuni kaka; phemo yeti vioka yoyi yilendi vutuka ko. Ayi wulendi buela vutuka ko.
134e280051	Zikhumbu ziwombo bantingunina mu dikanga, ayi bansoka mu bibuangu bikambulu batu.
134e29005c	Khumbu ka khumbu baba vutukilanga diaka tota Nzambi; bafuemisa mutu wunlongo wu Iseli kiadi.
134e2a005c	Basia tebukila ko moyo lulendo luandi mu lumbu kioki kaba kula mu mioko mi mutu wuba yamisa;
134e2b0068	mu lumbu kamonisa bidimbu bi bikumu biandi mu Ezipite, mambu mandi matsiminanga mu ndambu tsi yi Tsowani
134e2c0055	wukitula minlangu miawu menga; basia buela baka bumina mu mimvuila mi minlangu miawu.
134e2d0046	Wufidisa nkangu zinzinzi ziozi zibadia ayi zinguanga ziozi zi babunga.
134e2e004b	Wavana mimbutu miawu mu zitsola kuidi binzienzi biobi basala kuidi makhoko.
134e2f0064	Wumana bunga zindima ziawu zi vinu mu mvula yi matadi ayi minti miawu mi sikomole mu kiozi ki ngolo,
134e300056	wuyekula bibulu biawu kuidi mvula yi matadi ayi minkangu mi mamemi mawu kuidi lusiemo.
134e310058	Wuba fidisila nganzi andi yi mbazu, miangu miandi mi ngolo khakumusu, kimbeni weti bunga
134e320064	Wukubika nsolo mu diambu di nganzi andi kasia kuba tanina ko mu lufua; vayi wuba yekula mu minsongo;
134e330065	Wuvonda bana boso batheti bababakala ba Ezipiti mimbutu mitheti mi zingolo mu zinzo zi ngoto zi Hami.
134e340056	Vayi wutotula batu bandi banga mamemi; wuba tuadisa banga nkangu wu bibulu mu dikanga.
134e350053	Wuba diatisila mu luvovomo; diawu basia mona tsisi ko ayi mbu wumina bambeni ziawu.
134e360065	Buna wuba kotisa mu yenda tsi andi yinlongo; ku tsi yi mongo wowo koko kuandi ku lubakala kukibakila.
134e370076	Wukuka makanda ku ntualꞌawu; ayi wuba kabudila mintoto miawu banga kiuka wuvuandisa makanda ma Iseli mu zinzo ziawu.
134e380053	Vayi batota Nzambi ayi batinguna Nzambi Yizangama; basia keba zinzengolo ziandi ko.
134e390061	Banga madisa mawu basia ba bafuana ko ayi basia ba minu ko balendi tudulu diana ko banga wuvenga.
134e3a004f	Bamfuemisa mu bibuangu biawu bizangama balemisa kiphala kiandi mu bitumba biawu
134e3b003d	Nzambi bu kawa, buna wufuema ngolo wutumbu loza mvimba Iseli.
134e3c0041	Wuyekula, nzo ngoto mbuabununu yi Silo; nzo yoyo mu kakivuandisa;
134e3d0050	Wufidisa kesi yi lulendo luandi mu buvika, ayi kiezila kiandi mu mioko mi mbeni.
134e3e003c	Wuyekula batu bandi mu sabala, wufuemina ngolo kiuka kiandi.
134e3f0074	Mbazu yi zinisa bamatoko mawu, ayi bandumba ziawu ziozi zisia zaba babakala ko zisia baka ko minkunga mi makuela ko.
134e400058	Zinganga ziawu zinzambi zimana fuila mu sabala ayi mafuola mawu masia baka bu didila ko.
134e41005a	Buna Yave wukotuka banga mutu wuba wuleka, banga mutu kotukidi mu diambu di vinu kakololo.
134e420044	Wuvutula bambeni bandi ku manima; wuzifuisa zitsoni ka zisukanga ko.
134e43004b	Buna wuloza zinzo zi ngoto zi Zozefi, kasia sobula ko dikanda di Efalayimi;
134e44003b	Vayi wusobula dikanda di Yuda, mongo wu Sioni, wowo kazola.
134e450071	Wutunga buangu kiandi kinlongo banga bibuangu bizangama, banga ntoto wowo kakubika mu zithangu zioso zi kazimani.
134e460041	Wusobula Davidi kisadi kiandi ayi wumbonga mu ziphangu zi mamemi,
134e470071	Wumbongila vana vaba mamemi momo kaba sunga mu diambu di kaba nsungi wu batu bandi Yakobi, wu Iseli kiuka kiandi.
134e480051	Buna Davidi wuba nsungi awu mu ntima wufuana ayi wuba diatisila mu koko ku diela.
134f01007b	Nkunga Asafi. A Nzambi! Makanda mabulumukini kuika kiaku, Masumuna nzoꞌaku yinlongo, makitula Yelusalemi kunza ki matadi.
134f020076	Bavana zinitu zifua zi bisadi biaku banga bidia kuidi zinuni zi diyilu minsuni mi banlongo baku kuidi bibulu bi ntoto;
134f030054	Batengudi menga banga nlangu mu yendila Yelusalemi ayi kusia monika ko mutu mu zika.
134f040061	Tuyikidi bila ki lusembo kuidi bafikimini yeto; mvuezolo ayi kisekonono kuidi bobo batuzungididi.
134f05007a	Nate thangu mbi, a Yave? Wela fueminanga mu zithangu zioso e? Nate thangu mbi kiphala kiaku kiela leminanga banga mbazu e?
134f060069	Dukula miangu miaku kuidi makanda momo masia kuzaba ko, kuidi bipfumu biobi kabi telanga ko dizina diaku.
134f070043	Bila bameni dia Yakobi, ayi bamana tiolumuna tsi andi yikabutukila.
134f080072	Kadi kututangila masumu ma bakulu! Bika kiadi kiaku kiza nsualu kuidi beto bila tueka mu mabienga makambulu diana.
134f090088	Wutusadila, a Nzambi Mvulusi eto mu diambu di nkembo wu dizina diaku! Wutukuidi ayi wutulemvukila masumu meto mu diambu di dizina diaku!
134f0a00ac	Bila mbi makanda meti tubila: “Kuevi kuidi Nzambi e?” va ntuala meso meto, zabikisa va khatitsika makanda ti ngeyo weti vutula landi mu menga matenguka ma bisadi biaku,
134f0b0077	Bika kunga ku batu badi mu nloko kutula va ntualꞌaku. Mu zingolo zi koko kuaku, tanina bobo bazengolo nkanu wu lufua.
134f0c0061	Vutudila mu zikhumbu tsambuadi bifingu bi bobo batufikimini; tsembolo yoyi bawobudila ngeyo Yave.
134f0d008d	Buna beto batu baku, nkangu aku wu mamemi weti dikila; tuela kuzitisa mu zithangu zioso; mu tsungi ka tsungi, tuela yolukila minzitusu miaku.
13500100cf	Nkunga Asafi kuidi pfumu minyimbidi; kayimbidila mu “Lisi”. Bika wutuwila, a Nsungi Iseli, ngeyo wundiatisanga Zozefi banga nkangu wu mamemi; Ngeyo wumvuandanga va khatitsika ba Bakeluba, kienzula kuaku.
1350020054	Va ntuala Efalayimi, Benzami ayi Manase! Telimisa zingolo ziaku yiza ayi wutuvukisa.
1350030055	Wutuvutula banga bututuama bela, a Nzambi bika zizi kiaku kitukienzula muingi tuvuka.
1350040070	Yave, Nzambi nkua ngolo yoso, nate thangu mbi nganzi aku yela leminanga? Mu diambu di zitsambulu zi batu baku e?
1350050058	Ngeyo wuba dikila mu dipha di matsuela ayi ngeyo wuba nuikina matsuela mu mbungu yiwala.
135006005d	Wutukitula tho yi minzonza kuidi bobo bafikimini yeto ayi bambeni zieto zilembo kutusekinina.
1350070065	Wutuvutula banga bututuama bela, a Nzambi nkua ngolo yoso Bika zizi kiaku kitukienzula muingi tuvuka.
1350080053	Ngeyo wutumuna nti wu vinu ku Ezipite, wukuka makanda ma Bapakanu bosi wukuna wawu.
1350090046	Ngeyo wukubikila wawu ntoto ayi wawu wumenisa mianzi ayi wudukila tsi.
13500a0046	Miongo mifuku kuidi phonzi andi, sedeli mi lulendo kuidi matafi mandi.
13500b0049	Wufidisa mawu nate ku mbu ayi mintuidila miandi nate ku minlangu minneni.
13500c005e	Bila mbi wutiolumunini bibaka biandi e? Muingi batu boso bamviokila vana bavela makundi mandi.
13500d004b	Ngulu yi nsitu yeti kuyikesikisa; ayi bivangu bi zitsola bilembo dia biawu.
13500e0060	Wutuvutukila, a Nzambi nkua ngolo yoso ayi ku tsi tona ku diyilu ayi mona keba nti wawu wu vinu;
13500f0060	Muanzi wowo koko kuaku ku lubakala ku kuna, Muana wu bakala wowo wuyundula mu diambu diaku veka.
1350100055	Nti aku wu vinu wuzengulu, wuyokolo ku mbazu mu tsembolo aku, batu baku balembo bivi.
135011007b	Bika koko kuaku kuba vadi mutu wowo widi koko kuaku ku lubakala muana wubakala wu mutu wowo wuyundula mu diambu diaku veka.
1350120051	Buna tulendi buela kutatukila ko. Wutuzingisa diaka buna tuela tela dizina diaku.
135013005c	Wutuvutula banga bu tutuama bela, a Yave Nzambi. Bika zizi kiaku kitukienzula muingi tuvuka.
13510100a0	Nkunga Asafi kuidi pfumu minyimbidi; kayimbidila mu ngitala yi basi Ngati. Yimbidilanu Nzambi mu khini; niandi zingolo zieto! Yamikinanu kuidi Nzambi yi Yakobi!
1351020047	Tonanu miziki, sikanu zindungu; Bulanu minningu mu Ngitala ayi lu Lila.
1351030069	Sikanu phoka yi dimemi va ntotukila ngondi yi mona; ayi Ngondi bu yidi yiduka ayi mu lumbu ki nyengo eto!
135104004b	Yayi yidi nzengolo mu diambu di Iseli, ayi tsikudukusu yi Nzambi yi Yakobi,
135105007b	Wukindisa yawu banga nsiku mu diambu di Zozefi mu thangu kanuanisa tsi yi Ezipite… Kuna tuwa mbembo yoyi tusia sudika ko.
135106005e	Tubidi: “Ndibotudi mfuna wubedi va mavangiti mawu. Ayi babotudi pani kibedi mu mioko miandi.
135107006d	Mu ziphasi ziaku, ngeyo wutela ayi ndikula ndivana mvutu ku tsi dumu ki matuti nditota ku minlangu mi Meliba.
1351080051	Wanu beno batu bama, ayi ndiela kululubula: enati beno luzola ku ndimba, a Iseli.
135109005f	Kulendi ba kadi nzambi yi nzenza ko va khatitsikꞌaku. Kulendi buongimina nzambi yi nzenza ko!
13510a0066	Minu ndidi Yave, Nzambi, yoyi yilutotula mu tsi Ezipite; zibula bumboti munu aku ayi ndiela ku wuwesa.
13510b0043	Vayi batu bama basia zola ku ndimba ko; Iseli kasia kuthumukina ko.
13510c004c	Buna ndiba yekula mu mintima miawu mingolo; mu landakana zikhanu ziawu veka.
13510d004a	Enati batu bama bandima kuama, enati Iseli wuzola landakana zinzila ziama!
13510e006a	Nganu mu nsualu ndieka tumbu kuba yekudila bambeni ziawu ayi balula koko kuama kuidi bobo beti kuba lenda.
13510f0073	Bobo beti lenda Yave balenda kukikulula va ntualꞌandi ayi nganu thumbudulu awu yela zingilanga mu zithangu zioso;
1351100069	Vayi nganu ngeyo wudikulu mu ble yilutidi kitoko, mu niosi yintotukila mu ditadi, ndiela kuyukutisila.”
1352010068	Nkunga Asafi. Nzambi telimini va lukutukunu lunneni. Wulembo vani nzengolo va khatitsika “zinzambi”.
1352020070	Nate thangu mbi luela nuaninanga mutu kambulu wusonga ayi luela monisinanga thalu yi zizi kuidi batu bambimbi e?
1352030064	Nuanina mutu wulebakana ayi muana wusana. Luvanga malulama kuidi nsukami ayi kuidi mutu weti yamusu.
135204004f	Kulanu mutu wulebakana ayi nsukami; bika luba vukisa mu mioko mi batu bambimbi.
1352050079	Basi zaba kadi diambu ko ayi basudikanga kadi diambu ko; Mu tombi beti diatila; zifundasio zioso zi ntoto zilembo nikuka.
1352060050	Minu ndituba: “luidi zinzambi ayi beno boso luidi bana ba Nzambi yizangama.”
1352070042	Vayi luela fua banga batu boso, luela bua banga woso kuandi nyadi.
1352080044	Telama, a Nzambi, sambisa ntoto! Bila makanda moso madi kiuka kiaku.
1353010056	Nkunga Asafi. A Nzambi, kadi ba dio sui! Kadi kanga munu, a Nzambi ayi kadi dingalala!
135302005f	Tala, phila bambeni ziaku zilembo tudila divunzi; bobo beti kulenda balembo vumuna mintu miawu.
1353030068	Mu diela dimbimbi, balembo yendila batu baku manenga; balembo fiedi batu baku bobo weti belanga mayindu.
1353040070	Batuba: “yizanu, bika tuba bunga banga dikanda, mu diambu di dizina di Iseli dibika buela tebukulungu moyo”.
1353050050	Mu mabanza mamosi, bakutakana mu fiela, bavangi nguizani mu diambu di kunuanisa;
135306004d	Zinzo zi ngoto zi Edoni ayi zi basi Isimayeli, zi Mowabi ayi zi basi Hangali,
1353070041	Nguebali; Amoni, Amaleki basi Filisitini va kimosi ayi basi Tila;
1353080051	ka diambu ko Asili mamvawu bafubakana yawu, mu buela zingolo kuidi nkuna wu Loti.
1353090063	Wuba vangila banga bu wuvangila Madiani, banga bu wuvangila Sisela, ayi Yabini ku nlangu wu Kisoni;
13530a003a	bobo babiva ku Andoli; bobo bakituka banga mbozi va ntoto.
13530b0064	Kituka batu bawu banneni banga Olebi ayi Zeyebi, bana bawu boso ba mintinu banga Zeba ayi Tsalumuna,
13530c0046	Bobo batuba: “bika tuziona mintoto mi Nzambi mindikulungu bibulu!”
13530d0049	Wuba kitula banga kinzungidila; A Nzambi ama, banga biti va ntuala phemo;
13530e0044	banga mbazu yinzinisanga nsitu; banga nlaki wu mbazu wunyoka miongo!
13530f0052	Buna wuba kukila mu vuka kiaku ki phemo; wuba monisa tsisi mu vuka kiaku ki ngolo.
1353100045	Fuka bizizi biawu mu tsoni. Muingi batu batomba dizina diaku, a Yave!
1353110052	Bika bafua tsoni ayi bamona tsisi mu zithangu zioso; bika babiva mu kambu nzitusu.
1353120063	Bika wuba zabikisa ti ngeyo vuidi dizina di Yave; ti ngeyo kaka Nzambi yizangama va ntoto wumvimba.
13540100a6	Nkunga wu bana ba Kole kuidi pfumu minyimbidi; bayimbidila mu ngitale yi basi Ngati. A phila lueki luidi mu buangu kiaku kioki weti vuanda! A Nzambi, nkua ngolo yoso.
1354020092	Muelꞌama phuila widi ayi wulembo suki-suki mu diambu di luphangu lu Yave. Ntimꞌama ayi nsuni ama bilembo yamikina mu diambu di Nzambi yi moyo.
13540300be	Ka diambu ko dikuanga beki nzoꞌandi, ayi tsiodila mamvandi beki dianza diandi koko keti lundila bana bandi… buangu kifikimini ntalꞌaku A Yave nkua ngolo yoso, Ntinu ama ayi Nzambi ama!
135404004e	Lusakumunu kuidi bobo beti vuanda mu Nzo aku! Beti kuzitisa mu zithangu zioso.
1354050074	Lusakumunu kuidi batu bobo zingolo ziawu zidi mu ngeyo; bobo bakubika mintima miawu mu kuenda sambila ku Yelusalemi.
135406007f	Bu bamviokanga mu ndimba wu Baka, buna beti kuwukitula buangu ki zitho zi minlangu; mvula mamvandi wufukidila wawu mu bibuindi.
1354070051	Zingolo ziawu zieti buelama nate kadika mutu kammonika va ntuala Nzambi yi sioni.
135408004e	Wa lusambulu luama, a Yave, Nzambi nkua ngolo yoso, wundimba Nzambi yi Yakobi.
1354090042	Tala nkaku eto, a Nzambi Tadila mu nlemvo mutu aku wuvinda mafuta.
13540a00aa	Lumbu kimosi mu luphangu luaku kiviokidi mili di bilumbu kunkaka. Thidi kuama ba nsungi wu muelo mu nzo yi Nzambi ama ayi mu vuandanga mu zinzo zi ngoto zi batu bambimbi.
13540b009d	Bila Yave Nzambi niandi thangu ayi nkaku, Yave wela vana nlemvo ayi nzitusu, kadi kima kimosi kimboti kalendi yimina ko bobo bandiatilanga mu kambu tsembolo.
13540c0053	A Yave nkua ngolo yoso! Lusakumunu kuidi mutu wowo weti tula diana diandi mu ngeyo!
135501006e	Nkunga bana ba Kole kuidi pfumu minyimbidi. Wumonisa nlemvo kuidi ntoto aku; a Yave, wuvutula kiuka ki Yakobi.
135502003f	Wulemvukila mambimbi ma batu baku; ayi wufuka masumu mawu moso.
1355030047	Wutula miangu miaku mioso va ndambu ayi wuvutikisa ntima mu nganzi aku.
135504004d	Wutuvutula banga bo tutuama bela, a Nzambi Mvulusi eto, wutumoni diaka khini.
135505005b	Mawuba mu nganzi kuidi beto mu zithangu zioso e? Mawulambisa nganzi aku tsungi ka tsungi e?
1355060049	Wukadi buela tuvutudila luzingu muingi batu baku bamona khini mu ngeyo e?
1355070043	Wutumonisa luzolo luaku lu ngolo, a Yave, ayi wutuvani phulusu aku.
1355080088	Ndiela wa momo, Nzambi Yave kela tuba; veni zitsila zi ndembama kuidi batu bandi, kuidi banlongo bandi vayi buna babika vutukila kilawu.
1355090069	Kiedika, phulusu andi yifikimini babo beti kunkinzikanga mu diambu di nkembo andi wuzingila mu ntoto eto.
13550a0042	Luzolo ayi kikhuikizi bidengini; busonga ayi ndembama bibumbisini.
13550b0049	Kikhuikizi kitotukidi va ntoto ayi busonga buntala ku tsi tona ku diyilu.
13550c0058	Buna Yave mamvandi wela vana biobio bidi bimboti ayi ntoto eto wela buta mimbutu miandi.
13550d0058	Busonga buela kuntuaminina ku ntuala ayi buela kubika nzila mu diambu di bitambi biandi.
135601005b	Lusambulu lu Davidi. Wa, a Yave, ayi wuphani mvutu bila ndidi nkua kiadi ayi ndidi nsukami.
1356020069	Keba luzingu luama bila ndikiyekula kuidi ngeyo. Ngeyo Nzambi ama, vukisa kisadi kiaku kikusilanga diana.
1356030045	Bika wumbona kiadi, a Yave, Bila ngeyo ndieti tela mu lumbu kimvimba.
