2800000004	Mata
29010b0068	Kaa cinngalcinng nǝ kungy sii ma ghǝrazhigǝl taakiya, “Kǝgh zǝrara, ǝn wayakwaig ba vaivaiya.”
29010c005f	Zǝlamai tǝhala kwah biya, kaa langaan kǝ Shǝɗǝkwa Daadamazhigǝl kǝ Yesu damma tǝghala,
29010d00a1	hǝngaan kwul uufaɗ ba vaakwaha, fǝshgaan Shatanaha. Yesu ndzar ǝmtaɗ dǝ dǝg tǝghalaha, dlaɓa zarha ɓǝlga Daadamazhigǝla sarǝvsǝg da mǝlgarumǝlga.
29010e007f	Tǝhalakwa ɓǝlavdǝm Yuhwan ma guda bǝrfina, kaa dagal kǝ Yesu damma Galili taa ǝlbǝg maraw tǝghǝr kǝ Daadamazhigǝla.
29010f0092	Amaa, “Ɓagaaɓag sarta. Tlǝkǝsǝra Daadamazhigǝl hǝrzǝthǝrzǝg saaya. Pǝlampǝlǝg kǝ ghǝra, am fǝdghǝrǝt tǝ ǝlbǝg marawǝna.”
29011000cc	Ghuda dagal nǝ Yesu tǝvǝgh kǝ yuwahaiya Galili, kaa nǝghǝganǝghǝg kǝ iin kǝ Siman ard zǝrababbaan Andrawus, ar bǝla amshiyaha vaiya kilf ma yuwahaiya aɗaba ar ya dadda vaiya kilf nǝ iitǝra.
2901110063	Am Yesu taa kǝ iitǝra, “Gatamkwagatǝga, ǝn da nǝkurdalnǝg kǝ lii ɗaha uudah sa vakara.”
2901120068	Bat watswatsǝra, kaa ɗugarsɗuug kǝ iitǝr kǝ amshiyaha vaiya kilfatǝra, kaa gatǝgaan kǝ iitǝra.
29011300a7	Gavǝt ba nǝ iin da tǝvukw hǝɗikǝnana, kaa nǝghǝganǝghǝg kǝ iin kǝ zarha Zabadi, Yakuba ard Yuhwana. Ar ma pɛrayuwa, ar ɓadla amshiyaha vaiya kilfaatǝra.
29011400b8	Bat watswatsǝra kaa ɗahtǝrǝt kǝ iina, kaa ɗugarsɗuug kǝ iitǝr kǝ daddaatǝr Zabadi ma pɛrayu ǝmtaɗ dǝ lii hutsarant nǝ iitǝr kǝ ɓa tlǝra, kaa gataa Yesu kǝ iitǝra.
29011500a6	Yesu ard lii gatǝgaan daragha damma kǝssa Kafarnahuma. Ɓagaa ba Faciya Ngiiga, kaa daas kǝ iin damma guda dzahava Yahudaha, kaa farzha tsagtǝr dǝgit kǝ uudaha.
2901160087	Kaa ɓa jappǝr kǝ iitǝr dǝ tsagaanana, aɗaba tsagatǝr dǝgit ba kalkala, gǝrgǝr dǝ ɗuuli tsag nǝ lii tsaga adzahadzaha Musa.
2901170077	Maay ma taaɗatǝr biya, kaa dǝgaadǝg kǝ uuda nǝ iin kwa dǝ shǝɗǝkw ghwaɗ damma guda dzahava, huulǝg taakiya,
29011800b0	“Au lambagh dǝ kǝmnd Yesu Uuda Nazaret? Agha sagau da ghyǝhha kǝmnda? Ən sǝrgasǝrga magha war nǝngnga. Kǝgh daddakwa Caccuwanacaccuwanan sahi vak Daadamazhigǝla.”
2901190078	Kaa cagaraacag nǝ Yesu kǝ gyi kǝ shǝɗǝkw ghwaɗǝna, amaa taa kǝ iina, “Ɗǝw amǝnga. Assagal ma uudanǝna.”
29011a0076	Kaa gajagantgajag ba dladlaɗ nǝ shǝɗǝkw ghwaɗǝn kǝ uudanǝna. Kaa huulǝg kǝ iin dlaɓa kaa tsugwa dagalaana.
29011b010e	Baɗǝm nǝ uudahi ndzar vaakwahiin ar ɓa jappǝr ba vaivaiya, baz ndava ghǝrahaatǝr kǝ iitǝr taakiya, “Au wa nǝ iini? Kwar kǝ daala tsaga dǝgit wanii? Tsaga dǝgit ba kalkala. Baz fǝtǝraafǝg kǝ iin kǝ shǝɗǝkw ghwaɗah kǝ ɓa dǝgiti naag nǝ iina.”
29011c0064	Caaricaari nǝghar bak cinngalcinng nǝ ǝlbǝg tǝghǝr kǝ iin aanji taakwar mahuɗa haaya Galili.
29011d0077	Ba dǝ Sagala Yesu ǝmtaɗ Yakub ar dǝ Yuhwana ma guda dzahava, kaa daas kǝ iitǝr da vǝgyaz Bitrus ar dǝ Andrawus.
29011e0074	Babba uusa Bitrus hǝngan njǝkǝn fǝɗa. Bat watswatsǝra, kaa tagartag kǝ iitǝr kǝ Yesu kǝ ǝlbǝg tǝghǝra.
29011f0088	Kaa dagau kǝ iin da vakaana, hakyǝnan kǝ dǝvaan ciyanta. Kaa ɗugarsɗuug fǝɗiina, tǝhalakwaha bagtǝra nǝ uusǝn kǝ dǝgzǝga.
290120007f	Dǝghwaasa, tǝhala daaya faciya, kaa sǝdǝvsǝg kǝ uudah kǝ lii yangbi baɗǝm ard lii dǝ shǝɗkw ghwaɗ ma vǝghahaatra.
290121003c	Kaa dzahav kǝ lii ma kǝsiin baɗǝm tǝghaiya hǝnyahiina,
29012200e3	kaa mbahnambahǝg nǝ Yesu kǝ lii dǝ kuzah shahshaha. Lagudan baz shǝɗǝkw ghwaɗ mavǝgh kǝ uudaha ba ɗyaka. Ɗuwatǝrnai kǝ shǝɗkw ghwaɗah kǝ taaghai biya, aɗaba ar sǝrgasǝrg ghǝravaatǝr taaki ma war nǝ iina.
29012300ae	Dlakadur ba wurra, lakuti cag nǝ kǝsa, ciyitciig nǝ Yesu ɗugharsɗuug kǝ hǝnyaha, kaa dagal kǝ iin da vakavaki maay band war biya. Dzugwa kǝ iin kǝ zhigǝl vaakwaha.
2901240041	Kaa dagal kǝ Siman ǝmtaɗ dǝ tsaghwaha dagalaan da gatǝgaana.
2901250061	Tlararaa ba nǝ iitǝra, kaa tagaratag kǝ iitǝr taakiya, “Baɗǝm nǝ uudah ar gatakǝgha.”
29012600a6	Ngwangwug nǝ Yesu amaa, “Jiyam dagal damma gǝdzǝr kǝssahi kwa hɛffa, kiyava da taa ǝlbǝg maraw kǝskai vaakwah dlaɓa. Aɗaba sanhi mbakyarvad kwah naiya.”
29012700a9	Tǝhala kwaha kaa gwaivagwaig kǝ iin baɗǝm ma haaya Galili, taa ǝlbǝga Daadamazhigǝla ma guda dzahavaatǝra. Lagwdaan dlaɓ kǝ shǝɗkw ghwaɗah ma vǝgha uudaha.
2901280093	Mǝng nǝ uuda nǝ iin njǝkǝn vǝca sǝv sa vak Yesu, kǝla kǝ iin kǝ ghunja kaa ghalgaan taakiya, “Ma haighanthaiga, agha mbǝkwimbǝgga.”
2901290068	Kaa zhugardaalazhug kǝ Yesu, ɓǝlaraa kǝ dǝva, amaa taa kǝ iina, “Haiyanant haiga, mbambǝgga.”
29012a004e	Bat watswatsǝra kaa ɗugarsɗuug kǝ kuza vǝciina, kaa mbǝgambǝg kǝ iina.
29012b004f	Kaa ɓǝlgaraɓǝlǝg nǝ Yesu kǝ magiya ba vaivaiya, ɓǝlars kǝ iin dagala.
29012c0109	“Tagarbi aanji ndǝwar kǝ dǝgiti aa dzǝgardzǝg biya. Dǝga agha marda kǝ ghǝragh vak zhiil kǝsuufa, agha ɓaga kǝ kyulǝg bandkwa tagada Musa taakiya aa ɓagavɓag mbakyarvad caccuwagha. Ɓagnaɓag kwana kiyava fadghǝr kǝ uudah taakiya mbǝghambǝga.”
29012d0114	Dlakulva kwaha, kaa ba dagal kǝ ghwalvǝn kutǝgaana kǝ ɗuuli mbavǝna dǝ iina. Kwan wa fǝghǝra shǝɓav kǝ Yesu akwama dagal damma kwatlǝrǝn kǝ kǝssa, kaa ndza kǝ iin vakavaki maay ndǝwar biya. Bakǝvakwaha, ar fǝgarna ba sagau nǝ uuda da vakaan aanji takwara.
290201007e	Tǝhala hǝnngaha, kaa gwiya daas dlaɓ kǝ Yesu damma Kafarnahuma, kaa cinngacinng kǝ uudah taaki, sǝghaasǝg sa hǝnnyaha.
29020200c4	Uudahi dzaharvǝt vaakwahiina, ndzar baɗyak ba vaivaiya, rǝghǝtrǝghǝg vak mbakyarvad uudah hǝnnyaha, baz tǝghaiya wakyagh ndakwani, maadlai vakavak biya. Kaa tagtǝr ǝlbǝg maraw kǝ iina.
2902030053	Kaa lanngaan kǝ uudah uufaɗ kǝ uuda nǝ iin ǝmtsaǝmtsan nǝ vǝgha da vakaana.
29020400f0	Pletǝrvapilǝg daas dǝ vakai da vak Yesu mbakyarvad ɗyakǝra uudaha, kaa ba hurnahurg kǝ iitǝr kǝ ɗuul tǝ ghǝra gud kalkal dǝ Yesu. Wurarant ba nǝ iitǝr kǝ ghǝra gudǝna, kaa ɓǝlgaan kǝ iitǝr kǝ uudanǝn sii tǝ kǝjaana.
2902050091	Nǝghǝgha ba Yesu kǝ fadghǝratǝra, amaa taa kǝ daddakwa ǝmtsaǝmtsa nǝ vǝghna, “Zǝrara, ɓǝshakanaɓǝshig nǝ uud kǝ haipahagha.”
2902060067	Ndza mǝnng lii tsaga adzahadzaha Musa cihurgan vaakwahiina, ar dzama dǝgit ma ǝrviɗmahuɗahaatǝra,
29020700b4	Ar taakiya, “Aujilbǝg kǝ uudanǝn taaghai ǝndkwani? Kǝsghantkǝsǝg kǝ ghǝraan band Daadamazhigǝla. Warwa dǝ ndzǝɗa ɓǝsha haipah mamai ba Daadamazhigǝl pall biyi?”
29020800bf	Batwatswatsǝra, sǝrghaakasǝrg nǝ Yesu ma ǝrviɗmahuɗaana kǝ dǝgiti ar ɗunngɗunng nǝ iitǝr ma ǝrviɗmahuɗatǝra, amaa taa kǝ iitǝr, “Aujilbǝg kǝ sǝkuram dzama kwanahaanii?
29020900cb	Kwarwa juujiga, ngulǝm tagvar kǝ dadda kwa ǝmtsaǝmtsa nǝ ghyaba vǝgh pallǝn, taakiya, ‘Ɓǝshakanaɓǝshig nǝ uud kǝ haipahagh nii, nii taakiya, ciig kǝsantkǝsǝg kǝ kǝjagh dǝgdagalhi?’
29020a00a4	Manaa naagan mammaa sǝraaka taakiya Zǝra Uuda mǝnng dǝ ndzǝɗa ɓǝsha haipah ma duniya.” Mbakyarvad kwaha, amaa taa kǝ daddakwa ǝmtsaǝmtsa nǝ vǝghǝna,
29020b0055	“Amai kǝsǝkǝgha, ciiga, kǝssant kǝsǝg kǝ kǝjagha dǝg daas da hǝnnyaha.”
29020c00f9	Kaa ciig kǝ iina, kǝssant kǝ kǝjaana, kaa mǝla dagalaana. Baɗǝm nǝ uudaha ar vazǝgaana. Kwan wa fǝgharaa aanji war kǝ ɓa ajappǝra, kaa gala Daadamazhigǝl kǝ iitǝra ar taakiya, “Tapamndnabi kǝ nǝghǝg kǝ dǝgit ǝnd kwan biya.”
29020d008d	Kaa gwiya dagal kǝ Yesu dat ghaiya yuwa haiya Galili. Kaa sagau kǝ uudah baɗyak da vakaana, dlaɓa kaa tsagtǝrtsag kǝ iin kǝ dǝgitaha.
29020e00b8	Tǝghǝrdǝga dagala, kaa nǝghǝganǝghǝg kǝ iin kǝ Lawi zǝra Halfa cihurga vaka cauwa hadama. Am Yesu taa kǝ iina, “Gatkwagatǝga.” Ngal ba cigǝtciig kǝ iina, kaa gatarsa.
29020f0118	Davalitlǝrna, ndza kaf nǝ Yesu vǝgya Lawi. Kaa zǝgaan kǝ kyalǝma lii cauwa hadama ard kyalma yaa dadda haipah kǝ kaf ǝmtaɗ dǝ ii ard mbǝrzahaana, baɗyak ndzar gata Yesu. Ar cuhwaran ar zuu kaf ǝmtaɗ dǝ iina ar dǝ mbǝrzahaana, aɗaba uudah baɗyak wa gatargatǝga.
29021000ef	Nǝghara ba lii tsaga adzahadzaha Musa kwar Farisah kǝ Yesu za kaf dǝ yaa dadda haipaha ard lii dza hadama. Kaa ndavgarundavǝg kǝ iitǝr kǝ mbǝrzahaan taakiya, “Aujilbǝg kǝ iin za kaf dǝ lii dza hadama, ard yaa dadda haipahi?”
29021100c0	Cinngha ba nǝ Yesu ǝnd kwana, amaa taa kǝ iitǝra, “Mai lamba lii yanng dǝ dakut biya, bamma lii yanng biya. Sanhi sa ɗa lii dǝ jiir bi nai biya, sanhi mbakyarvad yaa dadda haipaha.”
29021200f6	Mbǝrzaha Yuhwan dadda tsuufǝga ard dǝga Farisah ar kǝssa ndǝla. Kaa sagau kǝ uudahiin sa ndava Yesu taakiya, “Aujilbǝg kǝ mbǝrzaha Yuhwan ard dǝgaha Farisah ar kǝssa andǝla, kwakyarva dau kǝ dǝgahagh ar maay kǝssa andǝl biyi?”
29021300ad	Ngwatǝrangug Yesu amaa, “Kǝsgaan nǝ tsaghwaha zhiila ghwuul kǝ andǝl akwamar ǝmtaɗ dǝ zhiila ghwuula? Maba ar ǝmtaɗ dǝ zhiila ghwuula ar maay kǝssa ndǝl biya.
2902140084	Mǝng sarti da sagauwa kwada kǝssav zhiila ghwuul dagal vakaatǝr ɗuuvtǝrsa. Ar da kǝssǝg ma sarta kwah nǝ iitǝr kǝ andǝla.
29021500b3	“Maay wa ghuda daala sǝɗav tlapant tǝ ǝnghura sǝɗava biya. Akwama dzǝghardzǝga, tǝhgaan daala sǝɗavǝn kǝ ǝnghura sǝɗaviina, badzǝgaan da jǝguujig kwandza wura.
2902160109	Maay wa ɗiya daala yuwa inabi ma ǝnghura ambǝla hǝlǝw biya. Akwama ɗiyavdǝmɗiiga, kaa ciig kǝ yuwa inabiyin ciɓna kǝ hǝluwǝn, da ɗiya dagal nǝ yuwa inabi, dlaɓa ambǝla hǝluwǝn da badzǝga. Daala yuwa inabi ɗǝyav bamma daala ambǝla hǝlǝwa.”
290217009c	Daghuvala faciya ngiiga Yahudaha, Yesu ar dǝ mbǝrzahaan ar ghudadagal ma guha hǝiya. Kaa kalgaan kǝ mbǝrzahaan kǝ kyalma ghǝra hǝiya tǝ ghǝrdǝga.
2902180076	Am Farisiyah taa kǝ Yesu, “Zharga, aujilbǝg kǝ mbǝrzahagh ɓa dǝgiti dzah kǝ ɓagaan davala ɗǝyakuɗǝgi?”
2902190097	Ngwatǝranngug Yesu amaa, “Mbats, tapamnabi karanta dǝgiti ɓaga nǝ Dauda sartakwa mbakǝn waiy ard tsaghwahaan dlaɓa maay dǝgzǝg vakatǝr biya?
29021a0100	Ma zamani ndza Abiyatar nǝ maal ba tinngtimng ma zhiila kǝsuufaha, kaa daas kǝ Dauda damma Vǝgya Daadamazhigǝla, zuu kǝ bruudi kwa favaan ba kǝngǝɗa, hǝyu kǝ zǝgaan aanji wara, bamma zhiila kǝsuufaha. Dlaɓa vǝltǝr baz tsaghwaha dagalaana”
29021b0082	Aiyam nǝ Yesu taa kǝ iitǝra, “Ɓagava kwakyarvad dǝ uud nǝ faciya ngiiga, ndǝrava bi nǝ uud kwakyarvad faciya ngiig biya.
29021c0045	Aɗabad kwaha, Zǝra Uuda, iin Yaazhigǝl baz dǝga faciya ngiiga.”
290301006d	Gwiya dagha ba nǝ Yesu damma guda dzahava. Vaakwahiina ndza mǝng nǝ uuda nǝ iin ǝmtsaǝmtsan dǝv palla.
29030200b5	Ma uudahi ndzar vaakwahiina, kyalmahaatǝra ndzarandzǝg ba ɗewwa ar zhargaan mbatak da mbǝgaan kǝ uuda nǝ iin daghuvala faciya ngiiga, kiyava tlǝkǝtlǝg kǝ iitǝr dǝ haipa.
290303005d	Am Yesu taa kǝ daddakwa ǝmtsaǝmtsan dǝvaana, “Assagal ghacaghacig tǝvuukw vaakwana.”
29030400d4	Kaa ndavtǝru ndavǝg kǝ Yesu amaa, “Haiyakiyamanthaig nǝ adzahadzaha Muus kǝ ɓa dǝgit maraw davala ngiig nii ɓagvǝna kǝladǝrhi? Ngǝdlǝvǝna shifǝgnii tsǝvanhi?” Maay wa mbǝɗghant ghaiyan biya.
2903050115	Kaa vaztǝrvazǝg kǝ Yesu ba da palla pal dǝ badzǝga rǝviɗmahuda, kaa hǝrsa rǝviɗ kǝ iin mbakyarvad dǝgdǝgka ǝrviɗ mahuɗaatǝra. Aiyama taa kǝ daddakwa ǝmtsaǝmtsa dǝvna, “Vǝllǝg kǝ dǝvagha.” Kaa vǝlgaan kǝ iina, kaa mbǝgambǝg kǝ dǝvaan ba fakya.
2903060070	Kaa ba dagal kǝ Farisiyaha da ɓa dabari ǝmtaɗ dǝ uudaha Hirudus kǝ ɗuuli ar da tsǝg nǝ iitǝr kǝ Yesu.
29030700a4	Kaa ciya dagal kǝ Yesu ar dǝ mbǝrzahaan ma kǝsiina, da tǝ ghaiya dǝlva Galili ba davaatǝra, dlaba kaa gatǝgaan kǝ uudah ba ɗyaka vaivaiya ma haaya Galili,
2903080092	ma kǝsa Wurshalima, ma Idumiya, ar dǝ lii kilga zaagha Judan, ar dǝ uudaha Taya ar dǝ Sidun. Aɗaba cinngaracinng kǝ dǝgitahi ɓag nǝ iina.
290309008f	Mbakyarvad ɗyakǝra uudaha, kaa tagtǝrtag nǝ Yesu kǝ mbǝrzahaana, aa sarardǝvsǝg kǝ perayu kwa ngyikwaha, haik kǝ tlagaan kǝ iitǝra.
29030a0066	Mbakyarvad mbǝghanambǝg kǝ uudah ba ɗyaka, baɗǝm lii dǝ kuzaha ar tlagakǝva kiyava tapǝgaana.
29030b0095	Baɗǝm sarti ar nǝghǝga shǝɗǝkw ghwaɗaha, ar nǝghaghǝr ba kǝ mbǝɗǝg tǝvuukwana ar huulǝg ar taakiya, “Agha Zǝra Daadamazhigǝla.”
29030c007b	Kaa ɓǝltǝraɓǝlǝg kǝ iin kǝ magi ba vaivai kǝ shǝɗǝkw ghwaɗah taakiya, aa tagararbi kǝ uudah man war nai biya.
29030d0068	Tǝhala kwaha, kaa dagat kǝ Yesu damma aghwa, ɗahant kǝ lii naag nǝ iina, kaa da vakaan kǝ iitǝra.
29030e00ce	Kaa dzǝrgaaka dzǝrǝg kǝ iin kǝ kǝlawa tar bu ma taatakatǝra (kwa ɗaatǝr nǝ iin dǝ Zǝrɓǝlgahaana). Aɗaba kiyava ndzǝgaan kǝ iitǝr ǝmtaɗ dǝ iina dlaɓa ɓǝltǝrǝt da taa ǝlbǝg marawa.
29030f003a	Da vǝltǝr dlaɓ kǝ ndzǝɗa lagwa shǝɗǝkw ghwaɗaha.
2903100056	Wan kǝlawatar buna dzǝrghaaka nǝ iina. Siman, (kwa fǝgharva Yesu kǝ ɗaag Bitrus)
290311006f	Yakubu zǝra Zabadi ar dǝ zǝrababaan Yuhwana, (kwa fatǝrva nǝ iin kǝ ɗaag Buwarnajis, zarha karazhigǝla)
2903120074	Andrawus, Filigus, Bartilumi, Matiyu, Tuma, Yakub zǝra Halfa, Tadiyus, Siman, kwa naagaan kǝ zaa vuukwa kǝssaana,
2903130024	Yahuda Iskariyuti, kwa vǝlǝt Yesu.
290314008b	Tǝhala kwaha kaa daas kǝ Yesu da hǝnnyaha, kaa gwiya dzahav dlaɓ kǝ uudaha baz za kaf pǝletǝrvaapilǝg kǝ Yesu ar dǝ mbǝrzahaana.
290315007f	Cinngara ba nǝ yaatǝr ndǝkwana, kaa dagau kǝ iitǝr da saa dǝ vakaiya, aɗaba yaatǝr ar taaki, “Nalnǝg kǝ valaaga.”
29031600a4	Am nǝ lii tsaga adzahadzaha Muusi saral ma Wurshalima, “Mǝng Baˈalzabul, Maala Shatanah ma vǝghaana. Tlakǝna vakaan kǝ ndzǝɗa lagwa shǝɗkw ghwaɗaha.”
2903170087	Kaa ɗahtǝrantɗahǝg Yesu kǝ uudahiin, kaa tagtǝr kǝ ǝlbǝg dǝ garav taakiya, “Lagwalagw Shatanah kǝ zǝraabaan Shatanaha?”
290318004f	Abi, ma tagwavǝmtagw nǝ kwarǝg hutsǝg buwa, kwan kǝ kwarǝga ghaciga biya.
2903190059	Band kwah dlaɓa, ma tagwavǝmtagw hǝnnyah hutsǝg buwa, kwan kǝ hǝnnyaha ghacig biya.
29031a006f	Dlaɓa akwama cigharantciig shatanah kǝ ghǝraana tagwvǝm hutsǝg buwa, ghacig biya. Sǝghaasǝgga halavuwan.
29031b00b2	Maay wa dzugwantdzugw kǝ daas damma vǝgya dadda ndzǝɗ hutsarva kǝ kadlangahaan biya, bamma viyit kǝ uudanǝn nguɗǝnan, Lakuti hutsǝgarvahutsǝg kǝ kadlangaha vǝgyaana.
29031c00ab	“Ən tagkurtag kǝ jiira, da ɓǝshǝvtǝrnaɓǝshǝg aanji hulfa kwar kǝ haipahi ɓagara nǝ uudaha, ar dǝ ǝlbǝga nenegahi ɓagarara nǝ iitǝr kǝ Daadamazhigǝla.
29031d00d0	Ai ciya, baɗǝm dadda kwa tagǝda ǝlbǝga nenǝg tǝ Shǝɗǝkw Daadamazhigǝla, da ɓǝshvarnaabi ba tangw damma zǝrazǝra biya. Ɓagaaɓag kǝ haipi kwada ɓǝshvarnaabi ba tangw damma zǝrazǝr biya.”
29031e004d	Tagaatag Yesu kwan mbakyarvad ar taakiya, “Dǝ shǝɗkw ghwaɗ nǝ iina.”
29031f0062	Kaa sagau kǝ babba Yesu ar dǝ zarha babbaan. Ar ghacan gyimala ar ɓǝlant kǝ uud da ɗaagaana.
29032000b8	Ndza mǝng nǝ uudah ba ɗyaka ar cahwargan faɗagaan tǝghǝr kǝ iina, am nǝ uuda nǝ iin taa kǝ iina, “Wai baabagh ard zarha baabagh ar ghacǝga gyimala ar naa nǝgha kǝgha.”
290321004d	Kaa ndavgaru ndavǝg kǝ Yesu taakiya, “War baabara, ard zarha baabarni?”
2903220069	Kaa vaztǝrvazǝg kǝ iin kǝ lii cahwarga tǝvǝgh kǝ iina, aiyama, “Wan nǝ baabara ard zaraabahara.
2903230072	Ba ɗǝm daddakwa ɓa dǝgiti naag Daadamazhigǝla, iin zǝraabara, iin nǝ dǝghwa baabara, iin dlaɓ baabara.”
29040100f7	Kaa gwiya tsagaan kǝ Yesu dlaɓ tǝ ghaiya dǝlva Galili. Uudahi faɗarvǝt da tǝghǝr kǝ iina ndzar ba ɗyaka, aɗabad kwaha, iin wa fǝghara daas kǝ iin damma pɛrrayiu cihuran ma vakaiya. Dzahava uudaha ar ghacigan tǝ ghaiya gardza zaagha.
2904020053	Kaa tsagtǝrtsag kǝ iin kǝ dǝgitah baɗyak tǝdvad garava. Amaa taa kǝ iitǝra,
2904030036	“Cinngamcinnga, dadda uusǝg dal da riig ma guhaana.
290404005c	Riig nǝ iina, kaa ɓalgalɓalǝg kyalma hulf da tǝ ɗuula, kaa sagau kǝ ɗiikah ar caggu.
2904050096	Kyalma hulfah ɓalal dat caccahǝlawa vakavaki maay haay ɗyak biya. Kaa laghǝra sagal kǝ iitǝr ba watswatsa aɗaba maay haay ɗyak vaakwahiin biya
2904060050	Ghut ba faciya, kaa fuugalfuug kǝ hǝiy ghulala, aɗaba badi bi kǝ tlali biya.
290407006c	Kyalǝm ɓalal damma takka, kaa ghubargaraa ghubarg kǝ takka kaa zǝgǝtzǝg kǝ takka tsarva kǝ ya zǝra.
29040800d3	Kyalǝm ɓalal dat haay marawa. Kaa laghǝra sagala kǝ iitǝr ar ghubaran ba marawa, kyalǝmaan yaa zǝr kulhǝkǝrɗ-kulhǝkǝrɗ, kwatlǝrǝn kul ǝngkwah ǝngkwaha, kyalǝm dlaɓa zǝr dǝrmǝk-dǝrmǝka.”
290409004c	Tǝhala kwaha amaa, “Baɗǝm dadda kwad dǝ hyimya cinngaana aa cinnga.”
29040a00a0	Ma sarta kwandza cǝhurgan nǝ Yesu ba daghwvǝna, kaa ghalgaan kǝ mbǝrzahaan kǝlawa tar buwa ard lii gatǝgaan maa tagtǝr kǝ dǝgiti tuuk vakai garavǝna.
29040b00c8	Aiyama taa kǝ iitǝra, “Hayakuranthaig nǝ uud am sǝra kǝ dǝgiti shǝɓashǝɓan tǝghǝr kǝ tlǝkǝssǝra Daadamazhigǝla. Lii maay makuram biya, aanji kwar kǝ dǝgita taggǝvtǝr bad garava.
29040c00c9	Iin wa nǝ iina, “‘Aanji ar ba vazǝgaana, ar nǝghǝga biya. Aanji ar cinngaana, ar nǝghǝgaaka biya. Aɗaba haik kǝ nǝghǝgaakanǝghǝg kǝ iitǝra, ar pǝla kǝ ghǝra ɓǝshivtǝrnana.’”
29040d0070	Aiyam Yesu taa kǝ iitǝra, “Mbats nǝghamakai kǝ garavǝn biya? Am da nǝghǝgaaka ndar kaci kǝ kyalǝmani?
29040e0037	Dadda riigna, ǝlbǝga Daadamazhigǝl wa riig nǝ iina.
29040f00c9	Hulfǝn ɓalal da tǝ ɗuulǝna, iitǝr garava lii cinngaracinng kǝ ǝlbǝga Daadamazhigǝla. Cinngara ba nǝ iitǝra, kaa sagau kǝ Shatanah hutsdan kǝ ǝlbǝgǝn riiyava ma rǝviɗ ma huɗaatǝrna.
29041000a2	Band kwah dlaɓ hulfǝn ɓalal dat caccahǝlawǝna, iin garava lii bad cinngacinngaatǝr kǝ ǝlbǝgǝna, kaa dlǝghgadlǝgh kǝ iitǝr bad ǝrviɗ ma huɗ palla.
29041100a7	Aɗaba ar maay tsau dǝ tlali biya, zǝlarmai vaivai biya. Akwama ciyitciig dlaɗ mbakyarvad ǝlbǝga Daadamazhigǝla, bat watswatsǝr kaa gwiya damma haal kǝ iitǝra
290412004a	Hulfi ɓalal damma takka, iin garava uudahi cinngaracinng kǝ ǝlbǝgiina.
29041300a9	Bakǝva kwaha kǝmma dǝga duniya, ard naa hyahha, ard kǝmma kyalǝma dǝgitaha, dagha damma ǝrviɗ ma huɗɗaatǝr tsatǝrvatsǝg kǝ ghubarg ba kwal yiiga kǝ zǝra.
2904140139	Hulfǝn ɓalal da tǝ haay marawna, iin garava lii cinngaracinng kǝ ǝlbǝga Daadamazhigǝla, ar dlǝghan, kaa ɓagaan iitǝr kǝ tlǝr dǝ vakaiya, kaa tlǝknatlǝg kǝ iitǝr kǝ yu tuuk vakaiya kyalǝm kul hǝkǝrɗ-kul hǝkǝrɗ, kwatlǝrǝn kul ǝngkwah ǝngkwaha, kyalǝm dlaɓa zǝr dǝrmǝk-dǝrmǝka.”
29041500bb	Am Yesu taa kǝ iitǝra, “Am sagau dǝ kaara jahuramb am humbara kǝ taas nii? Nii am fǝg mazha ngyil kǝ piin hii? Abi am hǝrtǝg tǝ dǝga hǝrtǝggaan nǝ uuram kǝ kaara jahuramb?
2904160078	Maay dǝgiti shǝɓashǝɓan kwa da sǝrvaaka biya. Dlaɓa maay nǝ dǝga gǝlgǝli kwada maay sagal dat ɓalaɓal biya.
290417003f	Baɗǝm dadda kwad dǝ hyǝmmiya cinngaana, aa cinngacinnga.”
290418009b	Amaa taa kǝ iitǝr dlaɓa, “Cinngamcinng ba maraw dǝgiya” “Darami agha kurǝg nǝng dǝ vakaiya, da kurak dǝ vakai nǝ uuda, da fǝkarna nǝ uuda.
290419007f	Baɗǝm dadda kwa dǝ dǝgita, fǝvarnaafǝga, kwa maay nǝ dǝgaan biya, aanji hǝɗikǝnǝn vakaana da kǝsvarǝvkǝsǝga.”
29041a0078	Kaa za vuukw kǝ Yesu taakiya, “Band kwan nǝ ndzǝgana tlǝkǝsǝra Daadamazhigǝla. Band uudi riiya hulf ma guhaana.
29041b0079	Tǝhala hǝngngaha, kaa fǝtsǝgalfǝtsǝg kǝ hulfǝn ghubarana, sǝrghai nǝ uuda nǝ iin kǝ dǝgiti ɓagavanǝn biya.
29041c0080	Haay sagal dǝ dǝgwaiya bad ghǝraana, ba zǝngwa ɓagga kǝ ghuuva, kaa ɓa ghǝra, tǝhala kwah kaa dǝg kǝ zǝr tǝ vakaiya
29041d0077	Ma tǝhaltǝhǝg nǝ dǝgwaiya, kaa kǝssant kǝ iin kǝ hǝvva kiyava ghudgaana, aɗaba ɓagaaɓag sarta ghudgaana.”
29041e0095	Kaa gwiya tagaan kǝ Yesu taakiya, “Kiyam da kurǝg dau kǝ tlǝkǝssǝra Daadamazhigǝli? Nii kiyam da gǝrǝg dǝ kwar kǝ garav kǝ ndzǝganani?
29041f0063	Da band dzakǝva hulfa zǝra mastad kwa iin wa mishshish ma hulfaha baɗǝm kwa riiyav damma haaya.
