0100000018	ကမ္ဘာ​ဦး
0a050400c1	ဒါဝိဒ် သည် နန်း ထိုင်သောအခါ အသက် သုံး ဆယ်ရှိ၏။ အနှစ် လေး ဆယ်စိုးစံ လေ၏။
0a050501b6	ဟေဗြုန် မြို့၌ နေ၍ ယုဒ ပြည်ကို ခုနစ် နှစ် နှင့် ခြောက် လ မင်း ပြု၏။ ယေရုရှလင် မြို့၌ နေ၍ ယုဒ ပြည်နှင့် ဣသရေလ ပြည်တရှောက်လုံး ကို အနှစ်သုံး ဆယ်သုံး နှစ် မင်း ပြု၏။
0a050602ee	တဖန် ရှင် ဘုရင်သည် မိမိ လူ တို့ကိုခေါ်၍၊ ပြည်သား ရင်းယေဗုသိ လူတို့ရှိရာယေရုရှလင် မြို့သို့ ချီ သွားလျှင် ၊ သူတို့က သင်သည် ဤ မြို့ထဲသို့မ ဝင် ရ။ မျက်စိ ကန်းသောသူနှင့် ခြေဆွံ့ သောသူတို့ကလည်း၊ ဒါဝိဒ် သည်ဤ မြို့ထဲသို့ မ ဝင် ရဟု ဆို ကာမျှနှင့် သင့် ကို ဆီးတား လိမ့်မည်ဟု ဆို ကြ၏။
0a050700d0	သို့ရာတွင် ဒါဝိဒ် သည် ဒါဝိဒ် မြို့ တည်းဟူသော ဇိအုန် ရဲတိုက် ကို တိုက် ယူလေ၏။
0a05080335	ထို နေ့၌ ဒါဝိဒ် က၊ အကြင်သူသည် ယေဗုသိ လူတို့ကို တိုက်ဖျက် ပြီးမှ ကျုံး ကိုလွန်၍၊ ဒါဝိဒ်သည် ဤနေရာ သို့ မ ဝင် ရဟု ဒါဝိဒ် အသက် ကို မုန်း လျက်ပြောဆို သောမျက်စိ ကန်းနှင့် ခြေဆွံ့ သောသူတို့ကို လုပ်ကြံ၏။ ထိုသူသည် ဗိုလ်ချုပ်ဖြစ်စေဟု အမိန့်တော်ရှိသည်အတိုင်း၊ ဇေရုယာသားယွာဘသည် အဦးတက်၍ ဗိုလ်ချုပ်အရာကိုခံရ၏။
0a05090161	ထိုနောက် ဒါဝိဒ် သည် ရဲတိုက် ၌ နေ ၍ ဒါဝိဒ် မြို့ ဟူသောအမည်ဖြင့် သမုတ် လေ၏။ မိလ္လော အရပ် ပတ်လည် ၌၎င်း ၊ အတွင်း ဘက်၌၎င်း တည်ဆောက် လေ၏။
0a050a012a	ဒါဝိဒ် သည် တိုးပွား ၍ အားကြီး သဖြင့် ကောင်းကင်ဗိုလ်ခြေ အရှင် ဘုရား သခင်ထာဝရဘုရား သည် သူ နှင့်အတူ ရှိတော်မူ၏။
0a050b0185	တုရု မင်းကြီး ဟိရံ သည် သံတမန် နှင့်တကွ အာရဇ် သစ်သား ၊ လက်သမား ၊ ပန်းရန်သမား တို့ကို ဒါဝိဒ် ထံသို့ စေလွှတ် ၍ သူတို့သည် နန်း တော်ကိုတည်ဆောက် ကြ၏။
0a050c01c9	ထာဝရဘုရား သည် ဒါဝိဒ်ကို ဣသရေလ ရှင်ဘုရင် အရာ ၌ ခန့်ထား တော်မူကြောင်း နှင့် မိမိ လူ ဣသရေလ အမျိုးအဘို့ အလိုငှါ၊ နိုင်ငံ ကို ချီးမြှောက် တော်မူကြောင်း ကို ဒါဝိဒ် သိမြင် ၏။
0a050d0179	ဒါဝိဒ် သည် ဟေဗြုန် မြို့မှ ပြောင်း သောနောက် ၊ ယေရုရှလင် မြို့သူမယားကြီး မယားငယ် တို့ကို ထပ်၍သိမ်းယူ သဖြင့် သား သမီး များတို့ကို မြင် လေ၏။
0a050e00e8	ယေရုရှလင် မြို့၌ ဒါဝိဒ်မြင် သော သားတို့ အမည် ကား၊ ရှမွာ ၊ ရှောဗပ် ၊ နာသန် ၊ ရှောလမုန်၊
0a050f004e	ဣဗဟာ ၊ ဧလိရွှ ၊ နေဖက် ၊ ယာဖျာ၊
0a05100053	ဧလိရှမာ ၊ ဧလျာဒ ၊ ဧလိဖလက် တည်း။
0a05110211	ဒါဝိဒ် ကို ဘိသိက် ပေး၍ ဣသရေလ ရှင်ဘုရင် အရာ ၌ခန့်ထားကြောင်း ကို ဖိလိတ္တိ လူတို့သည် ကြား လျှင် ၊ ထိုလူအပေါင်း တို့သည် ဒါဝိဒ် ကို ရှာ ၍လာ ကြ၏။ ထိုသိတင်းကိုဒါဝိဒ် သည် ကြား သောအခါ ရဲတိုက် သို့ သွား ၏။
0a0512009e	ဖိလိတ္တိ လူတို့သည် လာ ၍ ရေဖိမ် ချိုင့် ၌ အနှံ့အပြား နေကြ၏။
0a0513028e	ဒါဝိဒ် ကလည်း ၊ အကျွန်ုပ်သည် ဖိလိတ္တိ လူတို့ ရှိရာသို့ သွား ရပါမည်လော။ အကျွန်ုပ် လက် ၌ အပ် တော်မူ မည်လောဟု ထာဝရဘုရား ကို မေး လျှောက် လျှင် ၊ ထာဝရဘုရား ကသွား လော့။ ငါသည် ဖိလိတ္တိ လူတို့ကို သင့် လက် သို့ ဆက်ဆက်အပ် မည်ဟု မိန့် တော်မူသည်အတိုင်း၊
0a05140242	ဒါဝိဒ် သည် ဗာလပေရဇိမ် မြို့သို့ သွား ၍ သူ တို့ကိုလုပ်ကြံ ပြီးမှ ၊ ထာဝရဘုရား သည် ရေ ထ၍ ဖြိုဖျက် သကဲ့သို့ ၊ ငါ့ ရန်သူ တို့ကို ငါ့ ရှေ့ မှာ ဖြိုဖျက် တော်မူပြီဟုဆို လျက်၊ ထို အရပ် ကို ဗာလပေရဇိမ် အမည် ဖြင့် တွင်စေသတည်း။
0a05150117	ထို အရပ်၌ ဖိလိတ္တိလူများ ပစ်ထား သောရုပ်တု များကို၊ ဒါဝိဒ် နှင့် သူ ၏လူ တို့သည် ရှင်းရှင်းဖျက်ဆီး ကြ၏။
0a051600ab	တဖန် ဖိလိတ္တိ လူတို့သည် လာ ၍ ရေဖိမ် ချိုင့် ၌ အနှံ့အပြား နေကြ၏။
0a05170135	ဒါဝိဒ် သည်လည်း မေးလျှောက် သော်၊ ထာဝရဘုရား က၊ တည့်တည့်မ တက် ရ။ သူ တို့နောက် သို့ ဝိုင်း ၍ ပိုးစာ တောတဘက် ၌ ချီ ရမည်။
0a051801c9	ပိုးစာ ပင်ဖျား ၌ စစ်ချီ သံ ကိုကြား သောအခါ ကြိုးစားလော့။ ထိုအခါ ထာဝရဘုရား သည် ဖိလိတ္တိ တပ် ကို လုပ်ကြံ ခြင်းငှါ သင့် ရှေ့ မှာ ကြွသွား လိမ့်မည်ဟု မိန့် တော်မူသည်အတိုင်း၊
0a051900e8	ဒါဝိဒ် သည်ပြု ၍ ဖိလိတ္တိ လူတို့ကိုဂေဗ မြို့မှ သည် ဂါဇေရ မြို့တိုင်အောင် လုပ်ကြံ လေ၏။
0a060100cb	တဖန် ဒါဝိဒ် သည် ရွေးချယ် သောဣသရေလ လူသုံး သောင်းတို့ကို စုဝေး စေပြီးလျှင်၊
0a0602023f	ခေရုဗိမ် ကြားမှာကျိန်းဝပ် တော်မူသောကောင်းကင်ဗိုလ်ခြေ အရှင် ထာဝရဘုရား ၏ နာမ တော်နှင့် ဆိုင်သော ဘုရား သခင်၏သေတ္တာ တော်ကို ယုဒ ပြည် ဗာလာမြို့မှ ဆောင် ခဲ့ခြင်းငှါ ၊ မိမိ ၌ ပါသော သူ အပေါင်း တို့နှင့်တကွ ထ သွား လေ၏။
0a06030187	ဘုရား သခင်၏ သေတ္တာ တော်ကို လှည်း သစ် ပေါ် မှာတင် ၍ တောင် ပေါ် အဘိနဒပ် အိမ် ထဲက ထုတ် ကြ၏။ အဘိနဒပ် ၏သား ဩဇ နှင့် အဟိဩ တို့သည် လှည်း သစ် ကိုနှင် ရကြ၏။
0a060400da	ဩဇသည်ဘုရား သခင်၏ သေတ္တာ တော်အနား ၌၎င်း၊ အဟိဩ သည် သေတ္တာ တော်ရှေ့ ၌၎င်း သွား ကြ၏။
0a06050196	ဒါဝိဒ် နှင့် ဣသရေလ အမျိုးသား အပေါင်း တို့သည် စောင်း ၊ တယော ၊ ပတ်သာ ၊ နှဲခရာ ၊ ခွက်ကွင်း တို့ကို ကိုင်လျက်၊ ထာဝရဘုရား ရှေ့ တော်၌ အားထုတ်၍ တီးမှုတ် ကြ၏။
0a06060189	နာခုန်ကောက်နယ်သလင်းသို့ ရောက် သောအခါ ၊ နွား တို့သည် ဘုရားသခင်၏ သေတ္တာတော်ကို လှုပ်ရှား သောကြောင့် ၊ ဩဇ သည် လက်ကိုဆန့် ၍ သေတ္တာ တော်ကို ကိုင် ၏။
0a06070134	ထာဝရဘုရား သည် ဩဇ ကို အမျက် ထွက် ၍ သူ၏အပြစ် ကြောင့် ဘုရား သခင်ဒဏ်ခတ် တော်မူသဖြင့် ၊ သူသည်သေတ္တာ တော်နား မှာ သေ လေ၏။
0a0608016a	ဩဇ ကို ထာဝရဘုရား ဒဏ်ခတ် တော်မူသောကြောင့် ၊ ဒါဝိဒ် သည် ညှိုးငယ် သောစိတ်ရှိ၏။ ထို အရပ် သည် ယနေ့ တိုင်အောင် ပေရဇာဇ အမည် ဖြင့်တွင်သတည်း။
0a0609013b	ထို နေ့၌ ဒါဝိဒ် သည် ထာဝရဘုရား ကိုကြောက် ၍ ၊ ထာဝရဘုရား ၏ သေတ္တာ တော်သည် အဘယ်သို့ ငါ့ ထံသို့ ရောက် ရမည်နည်းဟု ဆို လျက်၊
0a060a011c	မိမိနေရာဒါဝိဒ် မြို့ ထဲသို့ သေတ္တာ တော်ကို မ ဆောင် ဘဲ ဂိတ္တိ လူဩဗဒေဒုံ အိမ် သို့ လမ်းလွဲ၍ ဆောင် သွားလေ၏။
0a060b01ae	ထာဝရဘုရား ၏သေတ္တာ တော်သည် သုံး လ ပတ်လုံးဂိတ္တိ လူဩဗဒေဒုံ အိမ် ၌ရှိ ၏။ ထာဝရဘုရား သည်လည်း ၊ ဩဗဒေဒုံ နှင့် အိမ်သူ အိမ်သားအပေါင်း တို့ကို ကောင်းကြီး ပေးတော်မူ၏။
0a060c027e	ထာဝရဘုရား သည် သေတ္တာ တော်ကြောင့် ဩဗဒေဒုံ နှင့် သူ ၌ ရှိသမျှ ကို ကောင်းကြီး ပေးတော်မူကြောင်းကို ဒါဝိဒ် မင်းကြီး ကြား သောအခါ ၊ တဖန် သွား ၍ ဘုရား သခင်၏ သေတ္တာ တော်ကိုဩဗဒေဒုံ အိမ် မှ ဒါဝိဒ် မြို့ သို့ ဝမ်းမြောက် သောစိတ်နှင့် ဆောင် ခဲ့လေ၏။
0a060d014e	ထာဝရဘုရား ၏ သေတ္တာ တော်ကို ထမ်း သောသူတို့သည်ခြောက် လှမ်း သွား ပြီးမှ ၊ နွား နှင့် ဆူဖြိုး သော အကောင်တို့ကို ယဇ် ပူဇော်လေ၏။
0a060e00d7	ဒါဝိဒ် သည်လည်း ပိတ် သင်တိုင်း ကိုဝတ် လျက်၊ ထာဝရဘုရား ရှေ့ တော်၌ အား ထုတ်၍က လေ၏။
0a060f0160	ထိုသို့ ဒါဝိဒ် နှင့် ဣသရေလ အမျိုးသား အပေါင်း တို့သည် ကြွေးကြော် လျက် ၊ တံပိုး မှုတ်လျက်၊ ထာဝရဘုရား ၏သေတ္တာ တော်ကို ဆောင် ခဲ့ကြ၏။
0a0610023d	ထာဝရဘုရား ၏သေတ္တာ တော်သည် ဒါဝိဒ် မြို့ ထဲသို့ဝင် သောအခါ ၊ ရှောလု ၏သမီး မိခါလ သည် ပြတင်းပေါက် ဖြင့် ကြည့် ၍၊ ဒါဝိဒ် မင်းကြီး သည် ထာဝရဘုရား ရှေ့ တော်၌ က လျက် ခုန် လျက်လာသည်ကိုမြင် ၍ စိတ် နှလုံးထဲ၌ မထီမဲ့မြင် ပြု၏။
0a061101d7	ထာဝရဘုရား ၏ သေတ္တာ တော်ကိုသွင်း ၍ ဒါဝိဒ် ဆောက်နှင့်သောတဲ အလယ် တွင် သူ့ နေရာ ၌ ထား ကြပြီးမှ ၊ ဒါဝိဒ် သည်မီး ရှို့ရာယဇ်နှင့် မိဿဟာယ ယဇ်တို့ကို ထာဝရဘုရား ရှေ့ တော်၌ ပူဇော် လေ၏။
0a061201b3	မီး ရှို့ရာယဇ်နှင့် မိဿဟာယ ယဇ်ပူဇော် ခြင်း အမှုကို ပြီးစီး စေသောအခါ ၊ ကောင်းကင်ဗိုလ်ခြေ အရှင် ထာဝရဘုရား ၏ နာမ တော်ကိုမြွက်၍ ပရိသတ် တို့ကို ကောင်းကြီး ပေးလေ၏။
0a061301ad	ဣသရေလ ပရိသတ် ယောက်ျား မိန်းမ အပေါင်း တို့အား မုန့် တပြား ၊ အမဲသား တတစ်၊ စပျစ်သီးပျဉ် တပြား စီ ဝေငှ ပြီးမှ ၊ လူ အပေါင်း တို့သည် မိမိ တို့နေရာ သို့ ပြန် သွားကြ၏။
0a06140376	ထိုနောက် ဒါဝိဒ် သည် နန်းတော်သား တို့ကို ကောင်းကြီး ပေးခြင်းငှါ သွား ၍ရောက်သောအခါ ၊ ရှောလု ၏သမီး မိခါလ သည် ဆီး ၍ကြိုလျက်၊ လျှပ်ပေါ် သောသူသည် အရှက်မရှိဘဲ ကိုယ်အဝတ်ကိုချွတ် သကဲ့သို့ ၊ ယနေ့ ကျွန် ယောက်ျား ကျွန် မိန်းမများရှေ့ တွင် အဝတ်တော်ကိုချွတ် သော ဣသရေလ ရှင် ဘုရင်သည်၊ ယနေ့ အဘယ်မျှ လောက်ဘုန်းကြီး တော်မူပါသည်တကားဟုဆို ၏။
0a06150282	ဒါဝိဒ် ကလည်း ၊ သင့် အဘ နှင့် သူ ၏ အဆွေအမျိုး အပေါင်း တို့၏ကိုယ်စား၊ ငါ့ ကိုရွေးကောက် ၍ ထာဝရဘုရား ၏လူ ၊ ဣသရေလ အမျိုးကို အုပ်စိုးသော မင်း အရာ၌ ခန့်ထား တော်မူသော ထာဝရဘုရား ရှေ့ တော်တွင် ပြုသည်မဟုတ်လော။ ထာဝရဘုရား ရှေ့ တော်တွင် ငါ ကခုန် မည်။
0a061601a5	ထိုမျှမက ၊ ငါသာ၍ ယုတ်မာ မည်။ ကိုယ် အထင်အတိုင်း ကိုယ်ကိုသာ၍နှိမ့်ချ မည်၊ သင်ပြော သော ကျွန် မများမူကား ၊ ငါ့ကိုချီးမွမ်း ကြလိမ့်မည်ဟု မိခါလ ကို ပြန်ပြော ၏။
0a0617008f	ရှောလု ၏သမီး မိခါလ သည် တသက်လုံးသား ကို မ ဘွား မမြင်ရ။
0a07010187	ထာဝရဘုရား သည် အရပ်ရပ် တို့၌ ရှိသောရန်သူ အပေါင်း တို့လက်မှ ကယ်လွှတ်တော်မူသောကျေးဇူးကို ရှင် ဘုရင်သည် ခံရ၍၊ နန်း တော်၌ ငြိမ်ဝပ် စွာ နေ ရသောအခါ။
0a07020198	ပရောဖက် နာသန် ကို ခေါ်၍၊ ကြည့်ရှု လော့။ ငါ သည် အာရဇ် သစ်သားအိမ် နှင့်နေ ၏။ ဘုရား သခင်၏ သေတ္တာ တော်မူကား၊ ကုလားကာ ဖြင့်သာ ကွယ်ကာလျက် နေ ရသည်ဟုဆို သော်၊
0a0703012c	နာသန် က၊ အကြံ တော်ရှိသမျှ အတွင်းပြု တော်မူပါ။ ထာဝရဘုရား သည် ကိုယ်တော် နှင့်အတူ ရှိတော်မူသည်ဟု ပြန်လျှောက် ၏။
0a070400a9	ထို ညဉ့် တွင် ထာဝရဘုရား ၏ နှုတ်ကပတ် တော်သည် နာသန် သို့ ရောက် ၍၊
0a07050128	ငါ့ ကျွန် ဒါဝိဒ် ထံသို့ သွား လော့။ ထာဝရဘုရား မိန့် တော်မူသည်ကား၊ သင် သည် ငါ နေ စရာဘို့ အိမ် ကို ဆောက် ရမည်လော။
0a07060169	ဣသရေလ အမျိုးသားတို့ကို အဲဂုတ္တု ပြည်မှ နှုတ်ဆောင် သောနေ့ ကစ၍ ယနေ့ တိုင်အောင် အိမ် နှင့် ငါမ နေ။ တဲ အမျိုးမျိုးနှင့် ငါလှည့်လည် ပြီ။
0a07070271	ဣသရေလ အမျိုးသားတို့နှင့် ငါလှည့်လည် ရာ အရပ်ရပ် တို့၌ ၊ ငါ ၏လူ ဣသရေလ အမျိုးကို ကျွေးမွေး စေခြင်းငှါ ၊ ငါစေခိုင်း သော ဣသရေလ တရားသူကြီး တစုံတယောက် အား၊ သင်သည် ငါ့ အဘို့ အာရဇ် သစ်သားအိမ် ကို အဘယ်ကြောင့် မ ဆောက် သနည်းဟု ငါဆို ဘူးသလော။
0a070801dc	ယခု မှာ ကောင်းကင်ဗိုလ်ခြေ အရှင် ထာဝရဘုရား မိန့် တော်မူသည်ကား၊ သိုး ထိန်းရာသိုးခြံ ထဲက သင့် ကိုငါ နှုတ်ယူ ၍၊ ငါ ၏လူ ဣသရေလ အမျိုးသားတို့ကို အုပ်စိုးသောမင်း အရာ၌ ငါခန့်ထားပြီ။
0a070901ca	သင်သွား လေရာရာ ၌ ငါလိုက် ၍ သင် ၏ ရန်သူ အပေါင်း တို့ကို သင့် ရှေ့ မှ ပယ်ရှား သဖြင့် ၊ မြေကြီး သား တို့တွင် လူကြီး ၏ဂုဏ် အသရေကဲ့သို့ သင် ၌ ကြီးစွာ သော ဂုဏ် အသရေကို ငါပေး ပြီ။
0a070a01d1	ထိုမှတပါး ငါ ၏လူ ဣသရေလ အမျိုးနေရာ အရပ်ကို ငါပြင်ဆင် ပြီ။ သူတို့သည် နောက်တဖန် မ ပြောင်း မလဲ မိမိ တို့နေရာ ၌ နေ စေခြင်းငှါ ငါမြဲမြံ စေမည်။ မ တရားသောသူတို့သည် ရှေး ကာလ၌ ၎င်း၊
0a070b0280	ငါ ၏လူ ဣသရေလ အမျိုးတွင် တရားသူကြီး တို့ကို ခန့်ထား သော ကာလ ၌၎င်း ၊ ညှဉ်းဆဲ သကဲ့သို့ နောက် တဖန်မ ညှဉ်းဆဲရ။ သင့် ကိုလည်း ရန်သူ အပေါင်း တို့လက်မှ ကယ်လွှတ်၍ ချမ်းသာ ပေးပြီ။ သင် ၏အမျိုးအနွယ် ကိုလည်း ငါတည် စေမည်ဟု ထာဝရဘုရား မိန့် တော်မူပြီ။
0a070c0187	သင် သည် အသက် ကာလစေ့ ၍ ဘိုးဘေး တို့နှင့်အတူ အိပ်ပျော် သောအခါ သင် ၏ရင်သွေး ၊ သင် မှ ဆင်းသက် သော သားကိုငါချီးမြှောက် ၍ သူ ၏နိုင်ငံ ကို တည်ထောင် မည်။
0a070d0104	ထိုသားသည် ငါ ၏နာမ အဘို့ အိမ် ကို ဆောက် လိမ့်မည်။ သူ ထိုင်သော ရာဇပလ္လင် ကို အစဉ်အမြဲ ငါတည် စေမည်။
0a070e01ba	ငါ သည် သူ ၏အဘ ဖြစ် မည်။ သူ သည်လည်း ငါ ၏သား ဖြစ် လိမ့်မည်။ သူသည် ဒုစရိုက် ကိုပြုလျှင် လူ သုံးတတ်သော ကြိမ်လုံး နှင့် ငါဆုံးမ မည်။ လူ သား ရိုက် တတ်သကဲ့သို့ ငါရိုက်မည်။
0a070f0102	သို့ရာတွင် သင့် ရှေ့ မှာ ငါပယ်ရှား သော ရှောလု ၌ ငါ ၏ကရုဏာ ကို နှုတ် သကဲ့သို့ သင်၏သား၌ ငါမ နှုတ်။
0a071001cf	သင် ၏အမျိုးအနွယ် နှင့် ၊ သင် ၏နိုင်ငံ သည် ငါ့ရှေ့ မှာ အစဉ်အမြဲ တည် လိမ့်မည်။ သင် ၏ရာဇပလ္လင် သည်လည်း အစဉ်အမြဲ တည် လိမ့်မည်ဟု ငါ့ ကျွန် ဒါဝိဒ် အား ပြော လော့ဟု မိန့် တော်မူ၏။
0a071100c4	ထို ဗျာဒိတ် တော်စကား အလုံးစုံ တို့ကို နာသန် သည် ဒါဝိဒ် အား ပြန်ပြော လေ၏။
0a071202a8	ထိုအခါ ဒါဝိဒ် မင်းကြီး သည် အထဲသို့ဝင် ၍ ထာဝရဘုရား ရှေ့ တော်၌ ထိုင် နေလျက် ၊ အိုအရှင် ထာဝရဘုရား ၊ အကျွန်ုပ် ကို ဤမျှ လောက်ချီးမြှောက် တော်မူ မည်အကြောင်း ၊ အကျွန်ုပ် သည် အဘယ်သို့ သောသူ ဖြစ်ပါသနည်း။ အကျွန်ုပ် အမျိုး သည် အဘယ်သို့ သောအမျိုး ဖြစ်ပါသနည်း။
0a0713029c	သို့ရာတွင် အိုအရှင် ထာဝရဘုရား ၊ ထို ကျေးဇူးတော်ကို သာမည ကျေးဇူးဟု ထင်မှတ်တော်မူသောကြောင့် ၊ ကိုယ်တော် ကျွန် ၏ အမျိုးအနွယ် ကို ကြာမြင့် စွာသောကာလနှင့် ယှဉ်လျက်မိန့် တော်မူပါသည်တကား။ အိုအရှင် ထာဝရဘုရား ၊ လူ တို့သည် ထိုသို့ စီရင်လေ့ရှိပါ သလော။
0a0714013f	ဒါဝိဒ် သည် အဘယ်သို့ တိုးတက် ၍ လျှောက် ရပါမည်နည်း။ အိုအရှင် ထာဝရဘုရား ၊ ကိုယ်တော် သည် ကိုယ်တော် ၏ကျွန် ကို သိ တော်မူ၏။
0a0715016e	နှုတ်ကပတ် တော်ကိုထောက်၍ ၊ အလို တော်ရှိသည်အတိုင်း ကိုယ်တော် ၏ကျွန် သိ ရမည်အကြောင်း၊ ဤ ကြီးစွာ သော အမှုအလုံးစုံ တို့ကို ပြု တော်မူပြီ။
0a071601df	သို့ဖြစ်၍ အိုထာဝရအရှင် ဘုရား သခင်၊ ကိုယ်တော်သည် ကြီးမြတ် တော်မူ၏။ အကျွန်ုပ် တို့ ကြား သမျှ အတိုင်း ကိုယ်တော် နှင့် တူသောဘုရား ၊ ကိုယ်တော် မှတပါး အခြားသော ဘုရားမည်မျှမ ရှိပါ။
0a071703ec	နာမ တော်ကို ထင်ရှားစေ၍ အဲဂုတ္တု ပြည်အစရှိသော အခြား သောပြည်များ၊ သူ တို့ဘုရား များတို့မှ ရွေးနှုတ် တော်မူသော ကိုယ်တော် ၏ လူမျိုး ရှေ့ တွင် လူမျိုးတော်အဘို့နှင့်ပြည် တော်အဘို့ ကြောက်မက် ဘွယ်သော အမှုကြီး တို့ကို ပြု ခြင်းငှါ ၊ ဘုရား သခင်ကြွ ၍ ကိုယ်တော် အဘို့ ရွေးနှုတ် တော်မူသော ကိုယ်တော် ၏လူ ဣသရေလ အမျိုးနှင့် တူသော လူမျိုး တစုံတမျိုး သည် မြေကြီး ပေါ် မှာ ရှိပါသလော။
0a07180204	အကြောင်းမူကား၊ ကိုယ်တော် ၏လူ ဣသရေလ အမျိုးကို အစဉ်အမြဲ ကိုယ်တော် ၏လူ ဖြစ်စေခြင်းငှါ၊ သူတို့ကို ကိုယ်တော် အဘို့ ခိုင်ခံ့ မြဲမြံစေ၍ ၊ ကိုယ်တော် ထာဝရဘုရား သည် သူ တို့၏ဘုရား သခင်ဖြစ် တော်မူ၏။
0a071901f7	ယခု မှာ အိုထာဝရ အရှင်ဘုရား သခင်၊ ကိုယ်တော် ကျွန် ၌ ၎င်း ၊ ကိုယ်တော်ကျွန်၏အမျိုးအနွယ် ၌ ၎င်း၊ မိန့် တော်မူသော စကား တော်ကို အစဉ်အမြဲ တည် စေတော်မူပါ။ မိန့် တော်မူသည်အတိုင်း ပြု တော်မူပါ။
0a071a0237	ကောင်းကင်ဗိုလ်ခြေ အရှင် ထာဝရဘုရား သည် ဣသရေလ အမျိုးကို အစိုးရသောဘုရား သခင်ဖြစ်တော်မူသည်ဟူ၍ နာမ တော်သည် အစဉ်အမြဲ ချီးမြှောက် ခြင်းရှိပါစေသော။ ကိုယ်တော် ကျွန် ဒါဝိဒ် ၏ အမျိုးအနွယ် သည် ရှေ့ တော်၌တည် ပါစေသော။
0a071b028a	အကြောင်း မူကား၊ ဣသရေလ အမျိုး၏ ဘုရား သခင် ကောင်းကင်ဗိုလ်ခြေ အရှင်ထာဝရဘုရား ၊ ကိုယ်တော် က၊ သင်၏အမျိုးအနွယ် ကို ငါတည် စေမည်ဟု ကိုယ်တော် ကျွန် အား ဗျာဒိတ် ပေးတော်မူသောကြောင့်၊ ကိုယ်တော် ကျွန် သည် ဤ ပဌနာ ကို ရှေ့တော်၌ ပြုချင်သောစိတ် ရှိ ပါ၏။
0a071c017b	ယခု လည်း အိုအရှင် ထာဝရဘုရား ၊ ကိုယ်တော် သည် ဘုရား သခင်မှန်တော်မူ၏။ စကား တော်လည်း မှန် ပါ၏။ ဤ ကျေးဇူး ကိုကိုယ်တော် ကျွန် ၌ ဂတိ ထားတော်မူပြီ။
0a071d031d	သို့ဖြစ်၍ ကိုယ်တော် ကျွန် ၏အမျိုးအနွယ် သည် ရှေ့ တော်၌ အစဉ်အမြဲ တည် ပါမည်အကြောင်း ၊ ကောင်းကြီး ပေးခြင်းငှါ နူးညွတ် သောစိတ်ရှိတော်မူပါ။ အိုအရှင် ထာဝရဘုရား ၊ အမိန့် တော်ရှိသည်အတိုင်း ကောင်းကြီး ပေးတော်မူသောမင်္ဂလာ ကို၊ ကိုယ်တော် ကျွန် ၏အမျိုးအနွယ် သည် အစဉ်အမြဲ ခံရပါစေသောဟု ဆုတောင်းသတည်း။
0a0801010e	ထိုနောက် ဒါဝိဒ် သည် ဖိလိတ္တိ လူတို့ကို လုပ်ကြံ ၍ အောင်မြင် သဖြင့် ၊ မေသေဂမ္မာမြို့ကို သိမ်းယူ လေ၏။
0a0802022d	မောဘ ပြည်ကိုလည်း လုပ်ကြံ ၍ ပြည်သားတို့ကို မြေ ပေါ် မှာ လှဲချ သဖြင့်၊ ကြိုး နှင့် တိုင်း လျက် သုံးစုတွင် နှစ် စုကိုသတ် ၏။ တစုကိုချမ်းသာ ပေး၏။ ထိုသို့ မောဘ အမျိုးသားတို့သည် ဒါဝိဒ် ၌ ကျွန် ခံ၍ အခွန် ဆက် ရကြ၏။
0a0803012d	ဇောဘ မင်းကြီး ရဟောဘ ၏သား ဟာဒဒေဇာ သည် ဥဖရတ် မြစ် နား မြေကိုသိမ်းယူခြင်းငှါ သွား သောအခါ ၊ ဒါဝိဒ် သည် တိုက်ဖျက် ၍၊
0a0804019f	ရထားတထောင် ၊ မြင်းစီး သူရဲခုနစ် ထောင်၊ ခြေသည် သူရဲနှစ် သောင်းကို ဘမ်းဆီး ၍ ရထား တရာ ကိုသိမ်းထား ပြီးမှ ၊ အခြားသောမြင်းရထား ရှိသမျှ တို့ကို ဖျက်ဆီး လေ၏။
0a08050161	ဒမာသက်မြို့နေ ရှုရိလူတို့သည် ဇောဘ မင်းကြီး ဟာဒဒေဇာ ကို စစ်ကူ သောအခါ ၊ ဒါဝိဒ် သည် ရှုရိ လူ နှစ်သောင်း နှစ်ထောင်တို့ကိုသတ်ပြီးမှ၊
0a0806019f	ရှုရိပြည် ဒမာသက်မြို့၌ မြို့စောင့် တပ်ကို ထား သဖြင့် ၊ ရှုရိ လူတို့သည် ဒါဝိဒ် ၌ ကျွန် ခံ၍ အခွန် ဆက် ရကြ၏။ ဒါဝိဒ် သွား လေရာရာ ၌ ထာဝရဘုရား စောင့်မ တော်မူ၏။
0a08070128	ဟာဒဒေဇာ ၏ ကျွန် တို့စွဲကိုင် သော ရွှေ ဒိုင်းလွှား များကို ဒါဝိဒ် သည်သိမ်း ၍ ယေရုရှလင် မြို့သို့ ဆောင်သွား ၏။
0a0808011a	ဟာဒဒေဇာ အစိုးရသောဘေတ မြို့နှင့် ဗေရောသဲ မြို့မှ ဒါဝိဒ် မင်းကြီး သည် များစွာ သောကြေးဝါ ကို သိမ်းသွား ၏။
