0100000008	Postanak
0b100b0087	A čim se zacari i sede na presto svoj, pobi sav dom Vasin, ne ostavi mu ni što uza zid mokri, i rodbinu njegovu i prijatelje njegove.
0b100c005b	Tako Zimrije zatre sav dom Vasin po reči Gospodnjoj koju reče za Vasu preko Juja proroka,
0b100d009c	za sve grehe Vasine i za grehe Ile, sina njegovog, kojima grešiše i kojima na greh navodiše Izrailja gneveći Gospoda Boga Izrailjevog taštinama svojim.
0b100e005c	A ostala dela Ilina i sve što je činio, nije li to zapisano u dnevniku careva Izrailjevih?
0b100f00a5	Godine dvadeset sedme carovanja Asinog nad Judom zacari se Zimrije, i carova sedam dana u Tersi; a narod tada stajaše u logoru kod Givetona, koji beše filistejski.
0b10100093	I narod što beše u logoru kad ču da je Zimrije digao bunu i cara ubio, isti dan sav Izrailj u logoru postavi carem nad Izrailjem Amrija vojvodu.
0b10110045	I Amrije i sav Izrailj s njim otidoše od Givetona i opkoliše Tersu.
0b10120066	A Zimrije kad vide gde osvojiše grad, otide u dvor carski, i zapali nad sobom dvor carski, te pogibe,
0b101300a0	za grehe svoje kojima je grešio čineći što je zlo pred Gospodom, hodeći putem Jerovoamovim i u grehu njegovom, kojim je grešio navodeći na greh Izrailja.
0b1014005f	A ostala dela Zimrijeva i buna koju podiže, nije li to zapisano u dnevniku careva Izrailjevih?
0b10150095	Tada se razdeli narod Izrailjev na dvoje: Polovina naroda prista za Tivnijom, sinom Ginatovim da ga učini carem, a druga polovina prista za Amrijem.
0b1016007d	Ali narod koji prista za Amrijem bi jači od naroda koji prista za Tivnijom sinom Gonatovim. I umre Tivnija, a carova Amrije.
0b1017008b	Trideset prve godine carovanja Asinog nad Judom poče carovati Amrije nad Izrailjem, i carova dvanaest godina; u Tersi carova šest godina.
0b10180095	I kupi goru samarijsku od Semera za dva talanta srebra, i sagradi grad na gori, i nazva grad koji sagradi Samarija po imenu Semera gospodara od gore.
0b1019005b	A Amrije činjaše što je zlo pred Gospodom, i gore činjaše od svih koji behu pre njega.
0b101a009c	Jer hođaše svim putevima Jerovoama sina Navatovog i u grehu njegovom, kojim je naveo na greh Izrailja gneveći Gospoda Boga Izrailjevog taštinama svojim.
0b101b007b	A ostala dela Amrijeva i sve što je činio, i junaštva koja je činio, nije li to zapisano u dnevniku careva Izrailjevih?
0b101c006a	I počinu Amrije kod otaca svojih, i bi pogreben u Samariji; a na njegovo se mesto zacari Ahav sin njegov.
0b101d00ac	I Ahav, sin Amrijev, poče carovati nad Izrailjem trideset osme godine carovanja Asinog nad Judom, i carova Ahav sin Amrijev nad Izrailjem u Samariji dvadeset i dve godine.
0b101e005c	I činjaše Ahav, sin Amrijev, što je zlo pred Gospodom, više od svih koji behu pre njega.
0b101f00af	I malo mu beše što hođaše u gresima Jerovoama, sina Navatovog, nego se još oženi Jezaveljom, kćerju Etvala cara sidonskog, i otide, te služaše Valu i klanjaše mu se.
0b1020003b	I načini oltar Valu u domu Valovom koji sazida u Samariji.
0b10210081	I načini Ahav gaj, i učini Ahav više od svih careva Izrailjevih koji behu pre njega, da bi razgnevio Gospoda Boga Izrailjevog.
0b102200b7	Za njegovog vremena Hil Vetiljanin sazida Jerihon. Na Avironu prvencu svom osnova ga, a na Seguvu mezimcu svom metnu mu vrata po reči Gospodnjoj, koju reče preko Isusa sina Navinog.
0b110100b6	Tada reče Ahavu Ilija Tesvićanin, jedan od naseljenika galadskih: Tako da je živ Gospod Bog Izrailjev, pred kojim stojim, ovih godina neće biti rose ni dažda dokle ja ne kažem.
0b1102002b	Potom dođe njemu reč Gospodnja govoreći:
0b1103004e	Idi odavde, i obrati se na istok, i sakrij se kod potoka Horata prema Jordanu.
0b11040041	I iz onog potoka pij, a gavranima sam zapovedio da te hrane onde.
0b11050068	I on otide i učini po reči Gospodnjoj, i otišavši stani se kod potoka Horata, koji je prema Jordanu.
0b11060050	I onde mu gavrani donošahu hleba i mesa jutrom i večerom, a iz potoka pijaše.
0b11070043	Ali posle godinu dana presahnu potok, jer ne beše dažda u zemlji.
0b1108002a	Tada dođe njemu reč Gospodnja govoreći:
0b1109005e	Ustani, idi u Sareptu sidonsku, i sedi onde; evo zapovedio sam onde ženi udovici da te hrani.
0b110a00a6	I ustavši otide u Sareptu; i kad dođe na vrata gradska, gle, žena udovica kupljaše onde drva; i on je dozva i reče joj: Donesi mi malo vode u sudu da se napijem.
0b110b0045	I ona pođe da donese; a on je viknu i reče: Donesi mi i hleba malo.
0b110c00cb	A ona reče: Tako da je živ Gospod Bog tvoj, nemam pečenog hleba do grst brašna u zdeli i malo ulja u krčagu; i eto kupim drvaca da otidem i zgotovim sebi i sinu svom, da pojedemo, pa onda da umremo.
0b110d0095	A Ilija reče joj: Ne boj se, idi, zgotovi kako si rekla; ali umesi prvo meni jedan kolačić od toga, i donesi mi, pa posle gotovi sebi i sinu svom.
0b110e0091	Jer ovako veli Gospod Bog Izrailjev: Brašno se iz zdele neće potrošiti niti će ulja u krčagu nestati dokle ne pusti Gospod dažda na zemlju.
0b110f0050	I ona otide i učini kako reče Ilija; i jede i ona i on i dom njen godinu dana;
0b11100066	brašno se iz zdele ne potroši niti ulja u krčagu nesta po reči Gospodnjoj, koju reče preko Ilije.
0b1111005e	A posle toga razbole se sin ženi domaćici, i bolest njegova bi vrlo teška, tako da izdahnu.
0b11120081	I ona reče Iliji: Šta je tebi do mene, čoveče Božji? Jesi li došao k meni da spomeneš bezakonje moje i da mi umoriš sina?
0b1113008b	A on joj reče: Daj mi sina svog. I uzevši ga iz naručja njenog odnese ga u gornju klet, gde on seđaše, i položi ga na postelju svoju.
0b1114007a	Tada zavapi ka Gospodu i reče: Gospode Bože moj, zar si i ovu udovicu kod koje sam gost tako ucvelio umorivši joj sina?
0b1115007a	I pruživši se nad detetom tri puta zavapi ka Gospodu govoreći: Gospode Bože moj, neka se povrati u dete duša njegova.
0b1116004b	I Gospod usliši glas Ilijin, te se povrati u dete duša njegova, i ožive.
0b11170078	A Ilija uzevši dete snese ga iz gornje kleti u kuću, i dade ga materi njegovoj, i reče Ilija: Vidi, živ je tvoj sin.
0b11180061	A žena reče Iliji: Sada znam da si čovek Božji i da je reč Gospodnja u tvojim ustima istina.
0b1201007c	Posle mnogo vremena, treće godine, dođe reč Gospodnja Iliji govoreći: Idi, pokaži se Ahavu, i pustiću dažd na zemlju.
0b12020042	I otide Ilija da se pokaže Ahavu, i beše velika glad u Samariji.
0b1203005d	I Ahav dozva Avdiju, koji beše upravitelj dvora njegovog; a Avdija se bojaše Gospoda veoma.
0b12040088	Jer kad Jezavelja ubijaše proroke Gospodnje, uze Avdija sto proroka, i sakri ih, po pedeset u jednu pećinu, i hrani ih hlebom i vodom.
0b12050090	I reče Ahav Avdiji: Pođi po zemlji na izvore i na potoke, eda bismo našli trave da sačuvamo u životu konje i mazge, da nam ne izgine stoka.
0b12060068	I podeliše među se zemlju kuda će ići; Ahav otide jednim putem sam, a Avdija otide drugim putem sam.
0b12070079	A kad Avdija beše na putu, gle, srete ga Ilija; i on ga pozna, i pade ničice, i reče: Jesi li ti, gospodaru moj Ilija?
0b1208003c	A on mu reče: Ja sam; idi, kaži gospodaru svom: Evo Ilije.
0b1209004f	A on reče: Šta sam zgrešio, da slugu svog predaš u ruke Ahavu da me pogubi?
0b120a00a9	Tako da je živ Gospod Bog tvoj, nema naroda ni carstva kuda nije slao gospodar moj da te traže; i rekoše: Nema ga. A on zakle carstva i narode da te ne mogu da nađu.
0b120b0038	A ti sada kažeš: Idi, kaži gospodaru svom: Evo Ilije.
0b120c00bc	A kad ja otidem od tebe, duh će te Gospodnji odneti, a ja neću znati kuda; pa da otidem i prokažem Ahavu, a on da te ne nađe, ubiće me; a sluga se tvoj boji Gospoda od mladosti svoje.
0b120d00b7	Nije li kazano gospodaru mom šta sam učinio kad Jezavelja ubijaše proroke Gospodnje? Kako sakrih stotinu proroka Gospodnjih, po pedeset u jednu pećinu, i hranih ih hlebom i vodom.
0b120e0043	A ti sada kažeš: Idi, kaži gospodaru svom: Evo Ilije. Ubiće me.
0b120f0060	A Ilija reče: Tako da je živ Gospod nad vojskama, pred kojim stojim, danas ću mu se pokazati.
0b12100041	Tada otide Avdija pred Ahava, i kaza mu; i Ahav otide pred Iliju.
0b12110059	A kad vide Ahav Iliju, reče mu Ahav: Jesi li ti onaj što nesreću donosiš na Izrailja?
0b1212007d	A on reče: Ne donosim ja nesreću na Izrailja, nego ti i dom oca tvog ostavivši zapovesti Gospodnje i pristavši za Valima.
0b121300b5	Nego sada pošalji i saberi k meni svega Izrailja na goru karmilsku, i četiri stotine i pedeset proroka Valovih i četiri stotine proroka iz luga, koji jedu za stolom Jezaveljinim.
0b12140050	I posla Ahav k svim sinovima Izrailjevim, i sabra one proroke na goru karmilsku.
0b121500b2	Tada pristupi Ilija ka svemu narodu i reče: Dokle ćete hramati na obe strane? Ako je Gospod Bog, idite za Njim; ako li je Val, idite za njim. Ali narod ne odgovori mu ni reči.
0b12160069	A Ilija reče narodu: Ja sam sam ostao prorok Gospodnji; a proroka Valovih ima četiri stotine i pedeset.
0b121700ce	Dajte nam dva junca, i neka oni izaberu sebi jednog, i neka ga iseku na komade i metnu na drva, ali oganj da ne podmeću; a ja ću prigotoviti drugog junca, i metnuću ga na drva, ali oganj neću podmetati.
0b1218009d	Tada prizovite ime svojih bogova, a ja ću prizvati ime Gospodnje, pa koji se Bog odazove ognjem onaj neka je Bog. I sav narod odgovori i reče: Dobro reče.
0b121900a1	Potom reče Ilija prorocima Valovim: Izaberite sebi jednog junca i prigotovite ga prvo, jer je vas više; i prizovite ime bogova svojih, ali ognja ne podmećite.
0b121a00cb	I uzeše junca, kog im dade, i prigotoviše, i stadoše prizivati ime Valovo od jutra do podne govoreći: Vale, usliši nas! Ali nikakvog glasa ni koga da odgovori. I skakahu oko oltara, koji načiniše.
0b121b00b3	A kad bi u podne, stade im se rugati Ilija govoreći: Vičite većma; jer je on bog! Valja da se nešto zamislio, ili je u poslu, ili na putu, ili može biti spava, da se probudi.
0b121c0063	A oni stadoše vikati glasno, i parati se nožima i šilima po svom običaju, dokle ih krv ne obli.
0b121d0086	A kad dođe podne, stadoše prorokovati dokle dođe vreme da se prinese dar, ali nikakvog glasa ni koga da odgovori, ni koga da čuje.
0b121e0084	Tada reče Ilija svemu narodu: Pristupite k meni. I pristupi k njemu sav narod. Tada on opravi oltar Gospodnji koji beše razvaljen.
0b121f007c	I uze Ilija dvanaest kamena prema broju plemena sinova Jakova, kome dođe reč Gospodnja govoreći: Izrailj će ti biti ime.
0b12200078	I načini od tog kamenja oltar u ime Gospodnje, i oko oltara iskopa opkop širok da bi se mogle posejati dve mere žita.
0b1221003a	I namesti drva, i junca isečenog na komade metnu na drva.
0b122200ba	I reče: Napunite četiri vedra vode, i izlijte na žrtvu i na drva. Pa opet reče: Učinite još jednom. I učiniše još jednom. Pa opet reče: Učinite i trećom. I učiniše trećom,
0b12230033	te voda poteče oko oltara, i napuni se opkop vode.
0b122400db	A kad bi vreme da se prinese žrtva, pristupi Ilija prorok i reče: Gospode Bože Avramov, Isakov i Izrailjev, neka danas poznadu da si Ti Bog u Izrailju i ja da sam Tvoj sluga, i da sam po Tvojoj reči učinio sve ovo.
0b1225006e	Usliši me, Gospode, usliši me, da bi poznao ovaj narod da si Ti Gospode Bog, kad opet obratiš srca njihova.
0b1226005f	Tada pade oganj Gospodnji i spali žrtvu paljenicu i drva i kamen i prah, i vodu u opkopu popi.
0b12270050	A narod kad to vide sav popada ničice, i rekoše: Gospod je Bog, Gospod je Bog.
0b1228008c	Tada im reče Ilija: Pohvatajte te proroke Valove da ni jedan ne uteče. I pohvataše ih, i Ilija ih odvede na potok Kison, i pokla ih onde.
0b1229003e	I reče Ilija Ahavu: Idi, jedi i pij, jer dolazi veliki dažd.
0b122a0077	I otide Ahav da jede i pije; a Ilija se pope na vrh Karmila, i saže se k zemlji i metnu lice svoje među kolena svoja.
0b122b007c	A momku svom reče: Idi, pogledaj put mora. A on otišavši pogleda, pa reče: Nema ništa. I reče mu: Idi opet sedam puta.
0b122c0092	A kad bi sedmi put, reče: Eno, mali oblak kao dlan čovečiji diže se od mora. Tada reče: Idi, reci Ahavu: Preži i idi, da te ne uhvati dažd.
0b122d0068	U tom se zamrači nebo od oblaka i vetra, i udari veliki dažd. A Ahav sedavši na kola otide u Jezrael.
0b122e005d	A ruka Gospodnja dođe nad Iliju, i on opasavši se otrča pred Ahavom dokle dođe u Jezrael.
0b13010059	A Ahav pripovedi Jezavelji sve što je učinio Ilija i kako je sve proroke isekao mačem.
0b1302009c	Tada Jezavelja posla glasnike k Iliji i poruči mu: Tako da učine bogovi i tako da dodadu, ako sutra u ovo doba ne učinim od tebe šta je od koga god tih.
0b13030064	A on videći to usta i otide duše svoje radi, i dođe u Virsaveju Judinu, i onde ostavi momka svog.
0b130400a1	A sam otide u pustinju dan hoda; i došav sede pod smreku, i zažele da umre, i reče: Dosta je već, Gospode, primi dušu moju, jer nisam bolji od otaca svojih.
0b13050051	Potom leže i zaspa pod smrekom. A gle, anđeo taknu ga i reče mu: Ustani, jedi.
0b1306006a	A on pogleda, i gle, čelo glave mu hleb na ugljenu pečen i krčag vode. I jede i napi se, pa leže opet.
0b1307005e	A anđeo Gospodnji dođe opet drugom, i taknu ga govoreći: Ustani, jedi, jer ti je put dalek.
0b13080085	A on ustavši jede i napi se; potom okrepivši se onim jelom ide četrdeset dana i četrdeset noći dokle dođe na goru Božju Horiv.
0b13090070	A onde uđe u jednu pećinu i zanoći u njoj; i gle, reč Gospodnja dođe mu govoreći: Šta ćeš ti tu, Ilija?
0b130a00d1	A on reče: Revnovah veoma za Gospoda Boga nad vojskama; jer sinovi Izrailjevi ostaviše zavet Tvoj, Tvoje oltare razvališe, i proroke Tvoje pobiše mačem; a ja ostah sam, pa traže dušu moju da mi je uzmu.
0b130b00ed	A On reče: Iziđi i stani na gori pred Gospodom. I gle, Gospod prolažaše, a pred Gospodom velik i jak vetar, koji brda razvaljivaše i stene razlamaše; ali Gospod ne beše u vetru; a iza vetra dođe trus; ali Gospod ne beše u trusu;
0b130c0059	a iza trusa dođe oganj; ali Gospod ne beše u ognju. A iza ognja dođe glas tih i tanak.
0b130d008f	A kad to ču Ilija, zakloni lice svoje plaštom i izašav stade na vratima od pećine. I gle, dođe mu glas govoreći: Šta ćeš ti tu, Ilija?
0b130e00d1	A on reče: Revnovah veoma za Gospoda Boga nad vojskama; jer sinovi Izrailjevi ostaviše zavet Tvoj, Tvoje oltare razvališe, i proroke Tvoje pobiše mačem; a ja ostah sam, pa traže dušu moju da mi je uzmu.
0b130f007b	Tada mu reče Gospod: Idi, vrati se svojim putem u pustinju damaštansku, i kad dođeš pomaži Azaila za cara nad Sirijom.
0b1310007f	A Juja, sina Nimsijinog, pomaži za cara nad Izrailjem, a Jelisija, sina Safatovog iz Avel-Meole pomaži za proroka mesto sebe.
0b13110072	Jer ko uteče od mača Azailovog njega će pogubiti Juj; a ko uteče od mača Jujevog njega će pogubiti Jelisije.
0b13120076	Ali sam ostavio u Izrailju sedam hiljada, koji ni jedan ne saviše kolena pred Valom, niti ga ustima svojim celivaše.
0b131300a3	I otide od njega i nađe Jelisija, sina Safatovog gde ore, i dvanaest jarmova pred njim, a sam beše kod dvanaestog; i idući mimo nj Ilija baci na nj plašt svoj.
0b1314009f	A on ostavi volove, i otrča za Ilijom i reče: Da celujem oca svog i mater svoju; pa ću ići za tobom. A on mu reče: Idi, vrati se, jer šta sam ti učinio?
0b131500a3	I on se vrati od njega, i uze jaram volova i zakla ih, i na drvima od pluga skuva meso i dade ga narodu, te jedoše; potom ustavši otide za Ilijom i služaše mu.
0b1401008e	A Ven-Adad car sirski skupi vojsku svoju, i imaše sa sobom trideset i dva cara, i konje i kola; i otišavši opkoli Samariju i stade je biti.
0b14020033	I posla poslanike k Ahavu, caru Izrailjevom u grad,
0b14030076	i poruči mu: Ovako veli Ven-Adad: Srebro tvoje i zlato tvoje moje je, tako i žene tvoje i tvoji lepi sinovi moji su.
0b14040065	A car Izrailjev odgovori i reče: Kao što si rekao, gospodaru moj care, ja sam tvoj i sve što imam.
0b1405009b	A poslanici opet dođoše i rekoše: Ovako veli Ven-Adad: Poslao sam k tebi i poručio: Srebro svoje i zlato svoje i žene svoje i sinove svoje da mi daš.
0b14060093	Zato ću sutra u ovo doba poslati sluge svoje k tebi da pregledaju kuću tvoju i kuće sluga tvojih, i šta ti je god milo, oni će uzeti i odneti.
0b140700c1	Tada dozva car Izrailjev sve starešine zemaljske i reče: Gledajte i vidite kako ovaj traži zlo; jer posla k meni po mene i po sinove moje i po srebro moje i po zlato moje, i ja mu ne branih.
0b14080044	A sve starešine i sav narod rekoše mu: Ne slušaj ga i ne pristaj.
0b140900be	I reče poslanicima Ven-Adadovim: Kažite caru gospodaru mom: Što si prvo poručio sluzi svom sve ću učiniti; ali ovo ne mogu učiniti. Tako otidoše poslanici i odnesoše mu taj odgovor.
0b140a00a6	A Ven-Adad posla k njemu i poruči: Tako da mi učine bogovi i tako dodadu! Neće biti dosta praha od Samarije da svemu narodu koji ide za mnom dopadne po jedna grst.
0b140b0069	A car Izrailjev odgovori i reče: Kažite: Neka se hvali onaj koji se opasuje kao onaj koji se raspasuje.
0b140c0069	A kad on to ču pijući s carevima pod šatorima, reče slugama svojim: Dižite se. I digoše se na grad.
0b140d00b2	Tada gle, pristupi jedan prorok k Ahavu caru Izrailjevom, i reče: Ovako veli Gospod: Vidiš li sve ovo mnoštvo? Evo, ja ću ti ga dati u ruke danas da poznaš da sam ja Gospod.
0b140e008b	A Ahav reče: Preko koga? A on reče: Ovako veli Gospod: Preko momaka knezova zemaljskih. Opet reče: Ko će zametnuti boj? A on reče: Ti.
0b140f009b	Tada prebroja momke knezova zemaljskih, i beše ih dvesta i trideset i dva; posle njih prebroja sav narod, sve sinove Izrailjeve, i beše ih sedam hiljada.
0b1410006b	I iziđoše u podne; a Ven-Adad pijući opi se u šatorima s trideset i dva cara koji mu dođoše u pomoć.
0b14110071	I iziđoše prvo momci knezova zemaljskih; a Ven-Adad posla, i javiše mu i rekoše: Iziđoše ljudi iz Samarije.
0b14120066	A on reče: Ako su izašli mira radi, pohvatajte ih žive; ako su izašli na boj, pohvatajte ih žive.
0b14130041	I iziđoše iz grada momci knezova zemaljskih, i vojska za njima.
0b14140081	I svaki ubi s kojim se sukobi, te Sirci pobegoše, a Izrailjci ih poteraše. I Ven-Adad, car sirski pobeže na konju s konjicima.
0b14150050	I car Izrailjev iziđe i pobi konje i kola, i učini velik pokolj među Sircima.
0b14160098	Potom dođe prorok k caru Izrailjevom i reče mu: Idi, budi hrabar; i promisli i vidi šta ćeš činiti, jer će do godine opet doći car sirski na te.
0b1417009c	A caru sirskom rekoše sluge njegove: Njihovi su bogovi gorski bogovi, zato nas nadjačaše; nego da se bijemo s njima u polju, za celo ćemo ih nadjačati.
0b14180054	Učini dakle ovako: Ukloni te careve s mesta njihovih, i postavi vojvode mesto njih.
0b141900c6	Pa skupi vojsku kakva je bila ona koja je izginula, i konje kakvi su bili oni konji, i kola kao ona kola; pa da se pobijemo s njima u polju; zacelo ćemo ih nadjačati. I posluša ih, i učini tako.
0b141a0053	A kad prođe godina, Ven-Adad prebroja Sirce, i pođe u Afek da vojuje na Izrailja.
0b141b00b6	A sinovi Izrailjevi prebrojaše se, i ponesavši hrane iziđoše pred njih. I stadoše u logor sinovi Izrailjevi prema njima, kao dva mala stada koza, a Sirci behu prekrilili zemlju.
0b141c00dd	Tada dođe čovek Božji, i progovori caru Izrailjevom, i reče: Ovako veli Gospod: Što Sirci rekoše da je Gospod gorski Bog a nije Bog poljski, zato ću ti dati u ruke sve ovo mnoštvo veliko da znate da sam ja Gospod.
0b141d0090	I stajahu u logoru jedni prema drugima sedam dana; a sedmog dana pobiše se, i sinovi Izrailjevi pobiše Siraca sto hiljada pešaka u jedan dan.
0b141e0090	A ostali pobegoše u grad Afek, i pade zid na dvadeset i sedam hiljada ljudi koji behu ostali. I Ven-Adad pobegav u grad uđe u najtajniju klet.
0b141f00dd	A sluge mu rekoše: Evo čuli smo da su carevi doma Izrailjevog milostivi carevi; da vežemo kostret oko sebe i da metnemo uzice sebi oko vratova, pa da iziđemo pred cara Izrailjevog, da ako ostavi u životu dušu tvoju.
0b142000c7	I vezaše kostret oko sebe, i metnuše uzice sebi oko vratova, i dođoše k caru Izrailjevom i rekoše: Sluga tvoj Ven-Adad veli: Ostavi u životu dušu moju. A on reče: Je li još živ? Brat mi je.
0b142100be	A ljudi uzeše to za dobar znak, i odmah da bi ga uhvatili za reč rekoše: Brat je tvoj Ven-Adad. A on reče: Idite, dovedite ga. Tada Ven-Adad iziđe k njemu; a on ga posadi na svoja kola.
0b142200df	Tada mu reče Ven-Adad: Gradove koje je uzeo otac moj tvom ocu, vratiću, i načini sebi ulice u Damasku kao što je otac moj učinio u Samariji. A on odgovori: S tom verom otpustiću te. I učini veru s njim, i otpusti ga.
0b14230067	Tada jedan između sinova proročkih reče drugom po reči Gospodnjoj: Bij me. Ali ga onaj ne hte biti.
0b14240092	A on mu reče: Što ne posluša glas Gospodnji, zato, evo kad otideš od mene, lav će te zaklati. I kad otide od njega, sukobi ga lav i zakla ga.
0b14250041	Opet, našav drugog reče mu: Bij me. A onaj ga izbi i izrani ga.
0b14260052	Tada otide prorok i stade na put kuda će car proći, i nagrdi se pepelom po licu.
0b142700e8	A kad car prolažaše, on viknu cara i reče: Tvoj sluga beše izašao u boj, a jedan došavši dovede mi čoveka i reče: Čuvaj ovog čoveka; ako li ga nestane, biće tvoja duša za njegovu dušu, ili ćeš platiti talanat srebra.
0b1428006f	A kad tvoj sluga imaše posla tamo amo, njega nesta. Tada mu reče car Izrailjev: To ti je sud, sam si odsudio.
0b14290050	A on brže ubrisa pepeo s lica, i car Izrailjev pozna ga da je jedan od proroka.
0b142a00a5	A on mu reče: Ovako veli Gospod: Što si pustio iz ruku čoveka kog sam ja osudio da se istrebi, duša će tvoja biti za njegovu dušu i narod tvoj za njegov narod.
0b142b004a	I otide car Izrailjev kući svojoj zlovoljan i ljutit, i dođe u Samariju.
0b1501006f	A posle ovih stvari dogodi se: Navutej Jezraeljanin imaše vinograd u Jezraelu do dvora Ahava cara samarijskog.
0b150200c4	I reče Ahav Navuteju govoreći: Daj mi svoj vinograd da načinim od njega vrt za zelje, jer je blizu dvora mog; a ja ću ti dati za nj bolji vinograd, ili ako voliš, daću ti u novcu šta vredi.
0b1503004c	A Navutej reče Ahavu: Sačuvaj Bože da bih ti dao nasledstvo otaca svojih.
0b150400cf	Tada Ahav dođe kući zlovoljan i ljutit radi reči koju mu reče Navutej Jezraeljanin govoreći: Ne dam ti nasledstvo otaca svojih. I leže na postelju svoju, i okrenu lice svoje na stranu, i ne jede hleba.
0b1505006b	Tada dođe k njemu Jezavelja, žena njegova i reče mu: Zašto je duša tvoja zlovoljna te ne jedeš hleba?
0b150600b6	A on joj reče: Jer govorih s Navutejem Jezraeljaninom i rekoh mu: Daj mi vinograd svoj za novce, ili ako voliš, daću ti drugi vinograd za taj. A on reče: Ne dam ti svoj vinograd.
0b15070093	Tada mu reče Jezavelja žena njegova: Ti li si car nad Izrailjem? Ustani, jedi hleba i budi veseo. Ja ću ti dati vinograd Navuteja Jezraeljanina.
0b150800a0	I napisa knjigu na ime Ahavovo, i zapečati je pečatom njegovim i posla knjigu starešinama i glavarima koji behu u gradu njegovom, koji nastavahu s Navutejem.
0b15090050	A u knjizi napisa ovo: Oglasite post, i posadite Navuteja među glavare narodne.
0b150a009e	I postavite dva nevaljala čoveka prema njemu, pa neka zasvedoče na nj govoreći: Hulio si na Boga i na cara. Tada ga izvedite i zaspite kamenjem, da pogine.
0b150b009c	I učiniše ljudi onog grada, starešine i glavari, koji življahu u gradu njegovom, kako im zapovedi Jezavelja, kako beše napisano u knjizi koju im posla.
0b150c003d	I oglasiše post, i posadiše Navuteja među glavare narodne.
0b150d00de	I dođoše dva nevaljala čoveka, i stadoše prema njemu; i svedočiše na Navuteja ti nevaljali ljudi pred narodom govoreći: Navutej je hulio na Boga i na cara. I izvedoše ga iza grada, i zasuše ga kamenjem, te pogibe.
0b150e0055	Potom poslaše k Jezavelji i poručiše joj: Zasut je kamenjem Navutej, i poginuo je.
0b150f00c2	A kad Jezavelja ču da je Navutej zasut kamenjem i poginuo, reče Ahavu Jezavelja: Ustani, uzmi vinograd Navuteja Jezraeljanina, koji ti ne hte dati za novce, jer Navutej nije živ nego je umro.
0b1510005d	A kad ču Ahav da je umro Navutej, usta i pođe u vinograd Navuteja Jezraeljanina da ga uzme.
0b15110038	Ali dođe reč Gospodnja k Iliji Tesvićaninu govoreći:
0b15120083	Ustani, iziđi na susret Ahavu, caru Izrailjevom, koji sedi u Samariji; eno ga u vinogradu Navutejevom, kuda je otišao da ga uzme.
0b151300b0	I reci mu i kaži: Ovako veli Gospod: Nisi li ubio i nisi li prisvojio? Pa mu kaži i reci: Ovako veli Gospod: Kako psi lizaše krv Navutejevu, tako će lizati psi i tvoju krv.
0b15140074	A Ahav reče Iliji: Nađe li me neprijatelju moj? A on reče: Nađoh, jer si se prodao da činiš zlo pred Gospodom.
0b15150085	Evo, pustiću zlo na te, i uzeću nasleđe tvoje, i istrebiću Ahavu i ono što uza zid mokri, i uhvaćenog i ostavljenog u Izrailju.
0b15160098	I učiniću s domom tvojim kao s domom Jerovoama, sina Navatovog i kao sa domom Vase, sina Ahijinog, što si me gnevio i što si naveo na greh Izrailja.
0b15170062	Takođe i za Jezavelju reče Gospod govoreći: Psi će izjesti Jezavelju ispod zidova jezraelskih.
0b1518005a	Ko Ahavov pogine u gradu izješće ga psi, a ko pogine u polju izješće ga ptice nebeske.
0b15190079	I ne bi takvog kao Ahav, koji se prodade da čini šta je zlo pred Gospodom, jer ga podgovaraše žena njegova Jezavelja.
0b151a0083	I počini vrlo grdna dela idući za gadnim bogovima sasvim kao što činiše Amoreji, koje izagna Gospod ispred sinova Izrailjevih.
0b151b0089	A kad Ahav ču te reči, razdre haljine svoje, i priveza kostret oko tela svog, i pošćaše, i spavaše u kostreti, i hođaše polagano.
0b151c0034	I dođe reč Gospodnja Iliji Tesvićaninu govoreći:
0b151d00b5	Jesi li video kako se Ahav ponizio preda mnom? Zato što se tako ponizio preda mnom, neću pustiti ono zlo za njegovog života; nego za sina njegovog pustiću ono zlo na dom njegov.
0b1601003c	I prođoše tri godine bez rata između Siraca i Izrailjaca.
0b1602003c	A treće godine dođe Josafat, car Judin k caru Izrailjevom.
0b1603007e	I reče car Izrailjev slugama svojim: Ne znate li da je naš Ramot u Galadu? A mi ne radimo da ga uzmemo iz ruku cara sirskog.
0b160400a9	I reče Josafatu: Hoćeš li ići sa mnom na vojsku na Ramot galadski? A Josafat reče caru Izrailjevom: Ja kao ti, narod moj kao tvoj narod, konji moji kao tvoji konji.
0b16050048	Još reče Josafat caru Izrailjevom: Upitaj danas šta će Gospod reći.
0b160600b7	Tada car Izrailjev sabra oko četiri stotine proroka, i reče im: Hoću li ići na vojsku na Ramot galadski ili ću se okaniti? A oni rekoše: Idi, jer će ga Gospod dati u ruke caru.
0b16070043	A Josafat reče: Ima li tu još koji prorok Gospodnji da ga pitamo?
0b160800d8	A car Izrailjev reče Josafatu: Ima još jedan čovek, preko kog bismo mogli upitati Gospoda; ali ja mrzim na nj, jer mi ne proriče dobra nego zlo; to je Miheja, sin Jemlin. A Josafat reče: Neka car ne govori tako.
0b1609005a	Tada car Izrailjev dozva jednog dvoranina, i reče mu: Brže dovedi Miheju, sina Jemlinog.
0b160a00a4	A car Izrailjev i Josafat car Judin seđahu svaki na svom prestolu obučeni u carske haljine na poljani kod vrata samarijskih, i svi proroci prorokovahu pred njima.
