010000000c	בראשית
071404008c	ויען האיש הלוי איש האשה הנרצחה--ויאמר הגבעתה אשר לבנימן באתי אני ופילגשי ללון
071405008b	ויקמו עלי בעלי הגבעה ויסבו עלי את הבית לילה אותי דמו להרג ואת פילגשי ענו ותמת
071406007e	ואחז בפילגשי ואנתחה ואשלחה בכל שדה נחלת ישראל כי עשו זמה ונבלה בישראל
0714070047	הנה כלכם בני ישראל--הבו לכם דבר ועצה הלם
071408006d	ויקם כל העם כאיש אחד לאמר לא נלך איש לאהלו ולא נסור איש לביתו
0714090046	ועתה--זה הדבר אשר נעשה לגבעה עליה בגורל
07140a00d9	ולקחנו עשרה אנשים למאה לכל שבטי ישראל ומאה לאלף ואלף לרבבה לקחת צדה לעם--לעשות לבואם לגבע בנימן ככל הנבלה אשר עשה בישראל
07140b004a	ויאסף כל איש ישראל אל העיר כאיש אחד חברים
07140c007f	וישלחו שבטי ישראל אנשים בכל שבטי בנימן לאמר מה הרעה הזאת אשר נהיתה בכם
07140d00c4	ועתה תנו את האנשים בני בליעל אשר בגבעה ונמיתם ונבערה רעה מישראל ולא אבו (בני) בנימן לשמע בקול אחיהם בני ישראל
07140e0068	ויאספו בני בנימן מן הערים הגבעתה לצאת למלחמה עם בני ישראל
07140f00ba	ויתפקדו בני בנימן ביום ההוא מהערים עשרים וששה אלף איש שלף חרב--לבד מישבי הגבעה התפקדו שבע מאות איש בחור
0714100086	מכל העם הזה שבע מאות איש בחור אטר יד ימינו כל זה קלע באבן אל השערה--ולא יחטא
071411007e	ואיש ישראל התפקדו לבד מבנימן ארבע מאות אלף איש שלף חרב כל זה איש מלחמה
07141200c8	ויקמו ויעלו בית אל וישאלו באלהים ויאמרו בני ישראל מי יעלה לנו בתחלה למלחמה עם בני בנימן ויאמר יהוה יהודה בתחלה
0714130042	ויקומו בני ישראל בבקר ויחנו על הגבעה
0714140078	ויצא איש ישראל למלחמה עם בנימן ויערכו אתם איש ישראל מלחמה אל הגבעה
0714150088	ויצאו בני בנימן מן הגבעה וישחיתו בישראל ביום ההוא שנים ועשרים אלף איש--ארצה
071416007a	ויתחזק העם איש ישראל ויספו לערך מלחמה במקום אשר ערכו שם ביום הראשון
07141700cd	ויעלו בני ישראל ויבכו לפני יהוה עד הערב וישאלו ביהוה לאמר האוסיף לגשת למלחמה עם בני בנימן אחי ויאמר יהוה עלו אליו
0714180047	ויקרבו בני ישראל אל בני בנימן ביום השני
07141900af	ויצא בנימן לקראתם מן הגבעה ביום השני וישחיתו בבני ישראל עוד שמנת עשר אלף איש ארצה כל אלה שלפי חרב
07141a00d3	ויעלו כל בני ישראל וכל העם ויבאו בית אל ויבכו וישבו שם לפני יהוה ויצומו ביום ההוא עד הערב ויעלו עלות ושלמים לפני יהוה
07141b0061	וישאלו בני ישראל ביהוה ושם ארון ברית האלהים בימים ההם
07141c00e6	ופינחס בן אלעזר בן אהרן עמד לפניו בימים ההם לאמר האוסף עוד לצאת למלחמה עם בני בנימן אחי אם אחדל ויאמר יהוה עלו כי מחר אתננו בידך
07141d0037	וישם ישראל ארבים אל הגבעה סביב
07141e0078	ויעלו בני ישראל אל בני בנימן ביום השלישי ויערכו אל הגבעה כפעם בפעם
07141f00ef	ויצאו בני בנימן לקראת העם הנתקו מן העיר ויחלו להכות מהעם חללים כפעם בפעם במסלות אשר אחת עלה בית אל ואחת גבעתה בשדה כשלשים איש בישראל
07142000a3	ויאמרו בני בנימן נגפים הם לפנינו כבראשנה ובני ישראל אמרו ננוסה ונתקנוהו מן העיר אל המסלות
0714210083	וכל איש ישראל קמו ממקומו ויערכו בבעל תמר וארב ישראל מגיח ממקמו ממערה גבע
07142200a3	ויבאו מנגד לגבעה עשרת אלפים איש בחור מכל ישראל והמלחמה כבדה והם לא ידעו כי נגעת עליהם הרעה
07142300bc	ויגף יהוה את בנימן לפני ישראל וישחיתו בני ישראל בבנימן ביום ההוא עשרים וחמשה אלף ומאה איש כל אלה שלף חרב
0714240097	ויראו בני בנימן כי נגפו ויתנו איש ישראל מקום לבנימן כי בטחו אל הארב אשר שמו אל הגבעה
071425006e	והארב החישו ויפשטו אל הגבעה וימשך הארב ויך את כל העיר לפי חרב
071426006c	והמועד היה לאיש ישראל--עם הארב הרב להעלותם משאת העשן מן העיר
07142700cd	ויהפך איש ישראל במלחמה ובנימן החל להכות חללים באיש ישראל כשלשים איש--כי אמרו אך נגוף נגף הוא לפנינו כמלחמה הראשנה
071428008d	והמשאת החלה לעלות מן העיר--עמוד עשן ויפן בנימן אחריו והנה עלה כליל העיר השמימה
0714290063	ואיש ישראל הפך ויבהל איש בנימן כי ראה כי נגעה עליו הרעה
07142a0095	ויפנו לפני איש ישראל אל דרך המדבר והמלחמה הדביקתהו ואשר מהערים משחיתים אותו בתוכו
07142b006a	כתרו את בנימן הרדיפהו מנוחה הדריכהו עד נכח הגבעה ממזרח שמש
07142c0056	ויפלו מבנימן שמנה עשר אלף איש את כל אלה אנשי חיל
07142d00bc	ויפנו וינסו המדברה אל סלע הרמון ויעללהו במסלות חמשת אלפים איש וידביקו אחריו עד גדעם ויכו ממנו אלפים איש
07142e008d	ויהי כל הנפלים מבנימן עשרים וחמשה אלף איש שלף חרב--ביום ההוא את כל אלה אנשי חיל
07142f0081	ויפנו וינסו המדברה אל סלע הרמון שש מאות איש וישבו בסלע רמון ארבעה חדשים
07143000b1	ואיש ישראל שבו אל בני בנימן ויכום לפי חרב מעיר מתם עד בהמה עד כל הנמצא גם כל הערים הנמצאות שלחו באש
0715010069	ואיש ישראל נשבע במצפה לאמר איש ממנו לא יתן בתו לבנימן לאשה
071502007e	ויבא העם בית אל וישבו שם עד הערב לפני האלהים וישאו קולם ויבכו בכי גדול
071503007d	ויאמרו--למה יהוה אלהי ישראל היתה זאת בישראל להפקד היום מישראל שבט אחד
0715040063	ויהי ממחרת וישכימו העם ויבנו שם מזבח ויעלו עלות ושלמים
07150500d8	ויאמרו בני ישראל מי אשר לא עלה בקהל מכל שבטי ישראל אל יהוה כי השבועה הגדולה היתה לאשר לא עלה אל יהוה המצפה לאמר--מות יומת
0715060071	וינחמו בני ישראל אל בנימן אחיו ויאמרו נגדע היום שבט אחד מישראל
0715070086	מה נעשה להם לנותרים לנשים ואנחנו נשבענו ביהוה לבלתי תת להם מבנותינו לנשים
07150800a8	ויאמרו--מי אחד משבטי ישראל אשר לא עלה אל יהוה המצפה והנה לא בא איש אל המחנה מיביש גלעד--אל הקהל
071509004c	ויתפקד העם והנה אין שם איש מיושבי יבש גלעד
07150a00c0	וישלחו שם העדה שנים עשר אלף איש--מבני החיל ויצוו אותם לאמר לכו והכיתם את יושבי יבש גלעד לפי חרב והנשים והטף
07150b0060	וזה הדבר אשר תעשו כל זכר וכל אשה ידעת משכב זכר--תחרימו
07150c00c3	וימצאו מיושבי יביש גלעד ארבע מאות נערה בתולה אשר לא ידעה איש למשכב זכר ויבאו אותם אל המחנה שלה אשר בארץ כנען
07150d0074	וישלחו כל העדה וידברו אל בני בנימן אשר בסלע רמון ויקראו להם שלום
07150e0083	וישב בנימן בעת ההיא ויתנו להם הנשים אשר חיו מנשי יבש גלעד ולא מצאו להם כן
07150f004e	והעם נחם לבנימן כי עשה יהוה פרץ בשבטי ישראל
071510006a	ויאמרו זקני העדה מה נעשה לנותרים לנשים כי נשמדה מבנימן אשה
0715110051	ויאמרו ירשת פליטה לבנימן ולא ימחה שבט מישראל
0715120092	ואנחנו לא נוכל לתת להם נשים--מבנותינו כי נשבעו בני ישראל לאמר ארור נתן אשה לבנימן
07151300ba	ויאמרו הנה חג יהוה בשלו מימים ימימה אשר מצפונה לבית אל מזרחה השמש למסלה העלה מבית אל שכמה--ומנגב ללבונה
0715140056	ויצו (ויצוו) את בני בנימן לאמר לכו וארבתם בכרמים
07151500c1	וראיתם והנה אם יצאו בנות שילו לחול במחלות ויצאתם מן הכרמים וחטפתם לכם איש אשתו מבנות שילו והלכתם ארץ בנימן
07151600e2	והיה כי יבאו אבותם או אחיהם לרוב (לריב) אלינו ואמרנו אליהם חנונו אותם--כי לא לקחנו איש אשתו במלחמה כי לא אתם נתתם להם כעת תאשמו
07151700bb	ויעשו כן בני בנימן וישאו נשים למספרם מן המחללות אשר גזלו וילכו וישובו אל נחלתם ויבנו את הערים וישבו בהם
0715180080	ויתהלכו משם בני ישראל בעת ההיא איש לשבטו ולמשפחתו ויצאו משם איש לנחלתו
0715190052	בימים ההם אין מלך בישראל איש הישר בעיניו יעשה
0800000006	רות
08010100a9	ויהי בימי שפט השפטים ויהי רעב בארץ וילך איש מבית לחם יהודה לגור בשדי מואב--הוא ואשתו ושני בניו
08010200b8	ושם האיש אלימלך ושם אשתו נעמי ושם שני בניו מחלון וכליון אפרתים--מבית לחם יהודה ויבאו שדי מואב ויהיו שם
0801030049	וימת אלימלך איש נעמי ותשאר היא ושני בניה
080104007a	וישאו להם נשים מאביות--שם האחת ערפה ושם השנית רות וישבו שם כעשר שנים
0801050067	וימתו גם שניהם מחלון וכליון ותשאר האשה משני ילדיה ומאישה
080106008e	ותקם היא וכלתיה ותשב משדי מואב כי שמעה בשדה מואב--כי פקד יהוה את עמו לתת להם לחם
0801070082	ותצא מן המקום אשר היתה שמה ושתי כלותיה עמה ותלכנה בדרך לשוב אל ארץ יהודה
08010800aa	ותאמר נעמי לשתי כלתיה לכנה שבנה אשה לבית אמה יעשה (יעש) יהוה עמכם חסד כאשר עשיתם עם המתים ועמדי
0801090078	יתן יהוה לכם ומצאן מנוחה אשה בית אישה ותשק להן ותשאנה קולן ותבכינה
08010a0031	ותאמרנה לה כי אתך נשוב לעמך
08010b007b	ותאמר נעמי שבנה בנתי למה תלכנה עמי העוד לי בנים במעי והיו לכם לאנשים
08010c009f	שבנה בנתי לכן כי זקנתי מהיות לאיש כי אמרתי יש לי תקוה--גם הייתי הלילה לאיש וגם ילדתי בנים
08010d00aa	הלהן תשברנה עד אשר יגדלו הלהן תעגנה לבלתי היות לאיש אל בנתי כי מר לי מאד מכם--כי יצאה בי יד יהוה
08010e005f	ותשנה קולן ותבכינה עוד ותשק ערפה לחמותה ורות דבקה בה
08010f005e	ותאמר הנה שבה יבמתך אל עמה ואל אלהיה שובי אחרי יבמתך
08011000ac	ותאמר רות אל תפגעי בי לעזבך לשוב מאחריך כי אל אשר תלכי אלך ובאשר תליני אלין--עמך עמי ואלהיך אלהי
0801110088	באשר תמותי אמות ושם אקבר כה יעשה יהוה לי וכה יוסיף--כי המות יפריד ביני ובינך
080112004e	ותרא כי מתאמצת היא ללכת אתה ותחדל לדבר אליה
080113009c	ותלכנה שתיהם עד בואנה בית לחם ויהי כבואנה בית לחם ותהם כל העיר עליהן ותאמרנה הזאת נעמי
0801140069	ותאמר אליהן אל תקראנה לי נעמי קראן לי מרא כי המר שדי לי מאד
0801150089	אני מלאה הלכתי וריקם השיבני יהוה למה תקראנה לי נעמי ויהוה ענה בי ושדי הרע לי
0801160091	ותשב נעמי ורות המואביה כלתה עמה השבה משדי מואב והמה באו בית לחם בתחלת קציר שערים
080201006d	ולנעמי מידע (מודע) לאישה איש גבור חיל--ממשפחת אלימלך ושמו בעז
08020200a7	ותאמר רות המואביה אל נעמי אלכה נא השדה ואלקטה בשבלים--אחר אשר אמצא חן בעיניו ותאמר לה לכי בתי
080203008c	ותלך ותבוא ותלקט בשדה אחרי הקצרים ויקר מקרה--חלקת השדה לבעז אשר ממשפחת אלימלך
0802040076	והנה בעז בא מבית לחם ויאמר לקוצרים יהוה עמכם ויאמרו לו יברכך יהוה
0802050054	ויאמר בעז לנערו הנצב על הקוצרים למי הנערה הזאת
0802060080	ויען הנער הנצב על הקוצרים--ויאמר נערה מואביה היא השבה עם נעמי משדי מואב
08020700a1	ותאמר אלקטה נא ואספתי בעמרים אחרי הקוצרים ותבוא ותעמוד מאז הבקר ועד עתה--זה שבתה הבית מעט
08020800a1	ויאמר בעז אל רות הלוא שמעת בתי אל תלכי ללקט בשדה אחר וגם לא תעבורי מזה וכה תדבקין עם נערתי
08020900cc	עיניך בשדה אשר יקצרון והלכת אחריהן--הלוא צויתי את הנערים לבלתי נגעך וצמת והלכת אל הכלים ושתית מאשר ישאבון הנערים
08020a008c	ותפל על פניה ותשתחו ארצה ותאמר אליו מדוע מצאתי חן בעיניך להכירני--ואנכי נכריה
08020b00e4	ויען בעז ויאמר לה--הגד הגד לי כל אשר עשית את חמותך אחרי מות אישך ותעזבי אביך ואמך וארץ מולדתך ותלכי אל עם אשר לא ידעת תמול שלשום
08020c0088	ישלם יהוה פעלך ותהי משכרתך שלמה מעם יהוה אלהי ישראל אשר באת לחסות תחת כנפיו
08020d0094	ותאמר אמצא חן בעיניך אדני כי נחמתני וכי דברת על לב שפחתך ואנכי לא אהיה כאחת שפחתיך
08020e00bb	ויאמר לה בעז לעת האכל גשי הלם ואכלת מן הלחם וטבלת פתך בחמץ ותשב מצד הקצרים ויצבט לה קלי ותאכל ותשבע ותתר
08020f0073	ותקם ללקט ויצו בעז את נעריו לאמר גם בין העמרים תלקט--ולא תכלימוה
080210005a	וגם של תשלו לה מן הצבתים ועזבתם ולקטה ולא תגערו בה
0802110060	ותלקט בשדה עד הערב ותחבט את אשר לקטה ויהי כאיפה שערים
0802120080	ותשא ותבוא העיר ותרא חמותה את אשר לקטה ותוצא ותתן לה את אשר הותרה משבעה
08021300d7	ותאמר לה חמותה איפה לקטת היום ואנה עשית--יהי מכירך ברוך ותגד לחמותה את אשר עשתה עמו ותאמר שם האיש אשר עשיתי עמו היום בעז
08021400be	ותאמר נעמי לכלתה ברוך הוא ליהוה אשר לא עזב חסדו את החיים ואת המתים ותאמר לה נעמי קרוב לנו האיש--מגאלנו הוא
0802150095	ותאמר רות המואביה גם כי אמר אלי עם הנערים אשר לי תדבקין עד אם כלו את כל הקציר אשר לי
080216007f	ותאמר נעמי אל רות כלתה טוב בתי כי תצאי עם נערותיו ולא יפגעו בך בשדה אחר
080217007b	ותדבק בנערות בעז ללקט--עד כלות קציר השערים וקציר החטים ותשב את חמותה
080301005d	ותאמר לה נעמי חמותה בתי הלא אבקש לך מנוח אשר ייטב לך
0803020081	ועתה הלא בעז מדעתנו אשר היית את נערותיו הנה הוא זרה את גרן השערים--הלילה
08030300a0	ורחצת וסכת ושמת שמלתך (שמלתיך) עליך--וירדתי (וירדת) הגרן אל תודעי לאיש עד כלתו לאכל ולשתות
08030400ae	ויהי בשכבו וידעת את המקום אשר ישכב שם ובאת וגלית מרגלתיו ושכבתי (ושכבת) והוא יגיד לך את אשר תעשין
080305003c	ותאמר אליה כל אשר תאמרי (אלי) אעשה
080306003c	ותרד הגרן ותעש ככל אשר צותה חמותה
0803070085	ויאכל בעז וישת וייטב לבו ויבא לשכב בקצה הערמה ותבא בלט ותגל מרגלתיו ותשכב
0803080063	ויהי בחצי הלילה ויחרד האיש וילפת והנה אשה שכבת מרגלתיו
080309006d	ויאמר מי את ותאמר אנכי רות אמתך ופרשת כנפך על אמתך כי גאל אתה
08030a00a5	ויאמר ברוכה את ליהוה בתי--היטבת חסדך האחרון מן הראשון לבלתי לכת אחרי הבחורים--אם דל ואם עשיר
08030b007d	ועתה בתי אל תיראי כל אשר תאמרי אעשה לך כי יודע כל שער עמי כי אשת חיל את
08030c0055	ועתה כי אמנם כי אם גאל אנכי וגם יש גאל קרוב ממני
08030d00a2	ליני הלילה והיה בבקר אם יגאלך טוב יגאל ואם לא יחפץ לגאלך וגאלתיך אנכי חי יהוה שכבי עד הבקר
08030e009b	ותשכב מרגלותו עד הבקר ותקם בטרום (בטרם) יכיר איש את רעהו ויאמר אל יודע כי באה האשה הגרן
08030f008c	ויאמר הבי המטפחת אשר עליך ואחזי בה--ותאחז בה וימד שש שערים וישת עליה ויבא העיר
080310006b	ותבוא אל חמותה ותאמר מי את בתי ותגד לה--את כל אשר עשה לה האיש
080311006f	ותאמר שש השערים האלה נתן לי כי אמר (אלי) אל תבואי ריקם אל חמותך
0803120083	ותאמר שבי בתי עד אשר תדעין איך יפל דבר כי לא ישקט האיש כי אם כלה הדבר היום
080401009a	ובעז עלה השער וישב שם והנה הגאל עבר אשר דבר בעז ויאמר סורה שבה פה פלני אלמני ויסר וישב
0804020053	ויקח עשרה אנשים מזקני העיר--ויאמר שבו פה וישבו
0804030075	ויאמר לגאל חלקת השדה אשר לאחינו לאלימלך מכרה נעמי השבה משדה מואב
0804040108	ואני אמרתי אגלה אזנך לאמר קנה נגד הישבים ונגד זקני עמי--אם תגאל גאל ואם לא יגאל הגידה לי ואדע (ואדעה) כי אין זולתך לגאול ואנכי אחריך ויאמר אנכי אגאל
08040500a9	ויאמר בעז ביום קנותך השדה מיד נעמי ומאת רות המואביה אשת המת קניתי (קנית)--להקים שם המת על נחלתו
080406009c	ויאמר הגאל לא אוכל לגאול (לגאל) לי--פן אשחית את נחלתי גאל לך אתה את גאלתי כי לא אוכל לגאל
08040700a7	וזאת לפנים בישראל על הגאלה ועל התמורה לקים כל דבר שלף איש נעלו ונתן לרעהו וזאת התעודה בישראל
080408003c	ויאמר הגאל לבעז קנה לך וישלף נעלו
08040900b3	ויאמר בעז לזקנים וכל העם עדים אתם היום כי קניתי את כל אשר לאלימלך ואת כל אשר לכליון ומחלון--מיד נעמי
08040a00cc	וגם את רות המאביה אשת מחלון קניתי לי לאשה להקים שם המת על נחלתו ולא יכרת שם המת מעם אחיו ומשער מקומו עדים אתם היום
08040b00f5	ויאמרו כל העם אשר בשער והזקנים--עדים יתן יהוה את האשה הבאה אל ביתך כרחל וכלאה אשר בנו שתיהם את בית ישראל ועשה חיל באפרתה וקרא שם בבית לחם
08040c0089	ויהי ביתך כבית פרץ אשר ילדה תמר ליהודה--מן הזרע אשר יתן יהוה לך מן הנערה הזאת
08040d0074	ויקח בעז את רות ותהי לו לאשה ויבא אליה ויתן יהוה לה הריון ותלד בן
08040e0084	ותאמרנה הנשים אל נעמי ברוך יהוה אשר לא השבית לך גאל היום ויקרא שמו בישראל
08040f0097	והיה לך למשיב נפש ולכלכל את שיבתך כי כלתך אשר אהבתך ילדתו אשר היא טובה לך משבעה בנים
0804100050	ותקח נעמי את הילד ותשתהו בחיקה ותהי לו לאמנת
0804110087	ותקראנה לו השכנות שם לאמר ילד בן לנעמי ותקראנה שמו עובד הוא אבי ישי אבי דוד
080412003e	ואלה תולדות פרץ פרץ הוליד את חצרון
0804130045	וחצרון הוליד את רם ורם הוליד את עמינדב
080414004f	ועמינדב הוליד את נחשון ונחשון הוליד את שלמה
0804150045	ושלמון הוליד את בעז ובעז הוליד את עובד
080416003f	ועבד הוליד את ישי וישי הוליד את דוד
090000000d	שמואל א
090101009e	ויהי איש אחד מן הרמתים צופים--מהר אפרים ושמו אלקנה בן ירחם בן אליהוא בן תחו בן צוף--אפרתי
0901020081	ולו שתי נשים--שם אחת חנה ושם השנית פננה ויהי לפננה ילדים ולחנה אין ילדים
09010300ba	ועלה האיש ההוא מעירו מימים ימימה להשתחות ולזבח ליהוה צבאות בשלה ושם שני בני עלי חפני ופנחס כהנים ליהוה
090104006f	ויהי היום ויזבח אלקנה ונתן לפננה אשתו ולכל בניה ובנותיה--מנות
090105005b	ולחנה יתן מנה אחת אפים כי את חנה אהב ויהוה סגר רחמה
090106005c	וכעסתה צרתה גם כעס בעבור הרעמה כי סגר יהוה בעד רחמה
090107006f	וכן יעשה שנה בשנה מדי עלתה בבית יהוה--כן תכעסנה ותבכה ולא תאכל
090108009e	ויאמר לה אלקנה אישה חנה למה תבכי ולמה לא תאכלי ולמה ירע לבבך הלוא אנכי טוב לך מעשרה בנים
0901090085	ותקם חנה אחרי אכלה בשלה ואחרי שתה ועלי הכהן ישב על הכסא על מזוזת היכל יהוה
09010a0043	והיא מרת נפש ותתפלל על יהוה ובכה תבכה
09010b00ff	ותדר נדר ותאמר יהוה צבאות אם ראה תראה בעני אמתך וזכרתני ולא תשכח את אמתך ונתתה לאמתך זרע אנשים--ונתתיו ליהוה כל ימי חייו ומורה לא יעלה על ראשו
09010c0053	והיה כי הרבתה להתפלל לפני יהוה ועלי שמר את פיה
09010d0078	וחנה היא מדברת על לבה--רק שפתיה נעות וקולה לא ישמע ויחשבה עלי לשכרה
09010e0059	ויאמר אליה עלי עד מתי תשתכרין הסירי את יינך מעליך
09010f0093	ותען חנה ותאמר לא אדני אשה קשת רוח אנכי ויין ושכר לא שתיתי ואשפך את נפשי לפני יהוה
0901100069	אל תתן את אמתך לפני בת בליעל כי מרב שיחי וכעסי דברתי עד הנה
0901110070	ויען עלי ויאמר לכי לשלום ואלהי ישראל יתן את שלתך אשר שאלת מעמו
090112007b	ותאמר תמצא שפחתך חן בעיניך ותלך האשה לדרכה ותאכל ופניה לא היו לה עוד
09011300a4	וישכמו בבקר וישתחוו לפני יהוה וישבו ויבאו אל ביתם הרמתה וידע אלקנה את חנה אשתו ויזכרה יהוה
090114007d	ויהי לתקפות הימים ותהר חנה ותלד בן ותקרא את שמו שמואל כי מיהוה שאלתיו
0901150067	ויעל האיש אלקנה וכל ביתו לזבח ליהוה את זבח הימים ואת נדרו
0901160091	וחנה לא עלתה כי אמרה לאישה עד יגמל הנער והבאתיו ונראה את פני יהוה וישב שם עד עולם
09011700be	ויאמר לה אלקנה אישה עשי הטוב בעיניך שבי עד גמלך אתו--אך יקם יהוה את דברו ותשב האשה ותינק את בנה עד גמלה אתו
090118009a	ותעלהו עמה כאשר גמלתו בפרים שלשה ואיפה אחת קמח ונבל יין ותבאהו בית יהוה שלו והנער נער
090119003d	וישחטו את הפר ויבאו את הנער אל עלי
09011a0075	ותאמר בי אדני חי נפשך אדני אני האשה הנצבת עמכה בזה להתפלל אל יהוה
09011b0065	אל הנער הזה התפללתי ויתן יהוה לי את שאלתי אשר שאלתי מעמו
09011c007f	וגם אנכי השאלתהו ליהוה כל הימים אשר היה הוא שאול ליהוה וישתחו שם ליהוה
090201008d	ותתפלל חנה ותאמר עלץ לבי ביהוה רמה קרני ביהוה רחב פי על אויבי כי שמחתי בישועתך
090202004e	אין קדוש כיהוה כי אין בלתך ואין צור כאלהינו
0902030085	אל תרבו תדברו גבהה גבהה יצא עתק מפיכם כי אל דעות יהוה ולא (ולו) נתכנו עללות
0902040039	קשת גברים חתים ונכשלים אזרו חיל
0902050071	שבעים בלחם נשכרו ורעבים חדלו עד עקרה ילדה שבעה ורבת בנים אמללה
0902060039	יהוה ממית ומחיה מוריד שאול ויעל
090207003b	יהוה מוריש ומעשיר משפיל אף מרומם
09020800ac	מקים מעפר דל מאשפת ירים אביון להושיב עם נדיבים וכסא כבוד ינחלם כי ליהוה מצקי ארץ וישת עליהם תבל
090209005c	רגלי חסידו ישמר ורשעים בחשך ידמו כי לא בכח יגבר איש
09020a008e	יהוה יחתו מריבו עלו בשמים ירעם--יהוה ידין אפסי ארץ ויתן עז למלכו וירם קרן משיחו
09020b0071	וילך אלקנה הרמתה על ביתו והנער היה משרת את יהוה את פני עלי הכהן
09020c003d	ובני עלי בני בליעל לא ידעו את יהוה
09020d008f	ומשפט הכהנים את העם--כל איש זבח זבח ובא נער הכהן כבשל הבשר והמזלג שלש השנים בידו
09020e00b2	והכה בכיור או בדוד או בקלחת או בפרור--כל אשר יעלה המזלג יקח הכהן בו ככה יעשו לכל ישראל הבאים שם בשלה
09020f00b0	גם בטרם יקטרון את החלב ובא נער הכהן ואמר לאיש הזבח תנה בשר לצלות לכהן ולא יקח ממך בשר מבשל כי אם חי
09021000b6	ויאמר אליו האיש קטר יקטירון כיום החלב וקח לך כאשר תאוה נפשך ואמר לו (לא) כי עתה תתן--ואם לא לקחתי בחזקה
0902110077	ותהי חטאת הנערים גדולה מאד את פני יהוה כי נאצו האנשים את מנחת יהוה
0902120048	ושמואל משרת את פני יהוה נער חגור אפוד בד
090213008a	ומעיל קטן תעשה לו אמו והעלתה לו מימים ימימה--בעלותה את אישה לזבח את זבח הימים
09021400ae	וברך עלי את אלקנה ואת אשתו ואמר ישם יהוה לך זרע מן האשה הזאת תחת השאלה אשר שאל ליהוה והלכו למקומו
0902150083	כי פקד יהוה את חנה ותהר ותלד שלשה בנים ושתי בנות ויגדל הנער שמואל עם יהוה
09021600a5	ועלי זקן מאד ושמע את כל אשר יעשון בניו לכל ישראל ואת אשר ישכבון את הנשים הצבאות פתח אהל מועד
0902170085	ויאמר להם למה תעשון כדברים האלה אשר אנכי שמע את דבריכם רעים מאת כל העם אלה
090218005d	אל בני כי לוא טובה השמעה אשר אנכי שמע מעברים עם יהוה
09021900b2	אם יחטא איש לאיש ופללו אלהים ואם ליהוה יחטא איש מי יתפלל לו ולא ישמעו לקול אביהם כי חפץ יהוה להמיתם
09021a0058	והנער שמואל הלך וגדל וטוב גם עם יהוה וגם עם אנשים
09021b00a8	ויבא איש אלהים אל עלי ויאמר אליו כה אמר יהוה הנגלה נגליתי אל בית אביך בהיותם במצרים לבית פרעה
09021c00c4	ובחר אתו מכל שבטי ישראל לי לכהן לעלות על מזבחי להקטיר קטרת לשאת אפוד לפני ואתנה לבית אביך את כל אשי בני ישראל
09021d00a8	למה תבעטו בזבחי ובמנחתי אשר צויתי מעון ותכבד את בניך ממני להבריאכם מראשית כל מנחת ישראל לעמי
09021e00d1	לכן נאם יהוה אלהי ישראל אמור אמרתי ביתך ובית אביך יתהלכו לפני עד עולם ועתה נאם יהוה חלילה לי כי מכבדי אכבד ובזי יקלו
09021f006f	הנה ימים באים וגדעתי את זרעך ואת זרע בית אביך--מהיות זקן בביתך
0902200073	והבטת צר מעון בכל אשר ייטיב את ישראל ולא יהיה זקן בביתך כל הימים
0902210096	ואיש לא אכרית לך מעם מזבחי לכלות את עיניך ולאדיב את נפשך וכל מרבית ביתך ימותו אנשים
0902220079	וזה לך האות אשר יבא אל שני בניך--אל חפני ופינחס ביום אחד ימותו שניהם
09022300a0	והקימתי לי כהן נאמן כאשר בלבבי ובנפשי יעשה ובניתי לו בית נאמן והתהלך לפני משיחי כל הימים
09022400ac	והיה כל הנותר בביתך יבוא להשתחות לו לאגורת כסף וככר לחם ואמר ספחני נא אל אחת הכהנות--לאכל פת לחם
0903010088	והנער שמואל משרת את יהוה לפני עלי ודבר יהוה היה יקר בימים ההם--אין חזון נפרץ
090302006d	ויהי ביום ההוא ועלי שכב במקומו ועינו החלו כהות לא יוכל לראות
0903030069	ונר אלהים טרם יכבה ושמואל שכב בהיכל יהוה אשר שם ארון אלהים
0903040037	ויקרא יהוה אל שמואל ויאמר הנני
0903050078	וירץ אל עלי ויאמר הנני כי קראת לי ויאמר לא קראתי שוב שכב וילך וישכב
09030600aa	ויסף יהוה קרא עוד שמואל ויקם שמואל וילך אל עלי ויאמר הנני כי קראת לי ויאמר לא קראתי בני שוב שכב
0903070053	ושמואל טרם ידע את יהוה וטרם יגלה אליו דבר יהוה
09030800a3	ויסף יהוה קרא שמואל בשלישת ויקם וילך אל עלי ויאמר הנני כי קראת לי ויבן עלי כי יהוה קרא לנער
09030900a6	ויאמר עלי לשמואל לך שכב והיה אם יקרא אליך ואמרת דבר יהוה כי שמע עבדך וילך שמואל וישכב במקומו
09030a0083	ויבא יהוה ויתיצב ויקרא כפעם בפעם שמואל שמואל ויאמר שמואל דבר כי שמע עבדך
09030b0083	ויאמר יהוה אל שמואל הנה אנכי עשה דבר בישראל אשר כל שמעו--תצלינה שתי אזניו
09030c0061	ביום ההוא אקים אל עלי את כל אשר דברתי אל ביתו--החל וכלה
09030d008d	והגדתי לו כי שפט אני את ביתו עד עולם--בעון אשר ידע כי מקללים להם בניו ולא כהה בם
09030e006f	ולכן נשבעתי לבית עלי אם יתכפר עון בית עלי בזבח ובמנחה--עד עולם
09030f0089	וישכב שמואל עד הבקר ויפתח את דלתות בית יהוה ושמואל ירא מהגיד את המראה אל עלי
