010000000b	Bhaa-bhaana
08020b00c7	Alawanimo o Boas, "Iaku padhamo kurangoa sagala giu ipewaumu i ina maniamu, pepuu samatena umanemu. Ingkoo upogaa tee mancuanamu tee ubholi tana laahiriamu tee umboore iwe sii i lipu indapo imataumu.
08020c00ce	Sio-siomo KAWASANA OPU abholosi bhari-bharia ipewaumu sumai. Tee sio-siomo KAWASANA OPU Aulataʼalana miana Israel adhawuakako fahala mobhari, roonamo ingkoo padhamo uumba to upeulu i tambena panina Incia!"
08020d008e	Pogauna Rut, "Tapanamo kalapena incamu i iaku, moomini iaku mencuana sala samia bhatuamu bhawine. Kalapena incamu apaunde-unde ngangarandaku."
08020e013a	Sakawana wakutuuna to akande, Boas apogau tee Rut, "Maimo iwe sii. Kandemea o roti sii tee upalondomea o rotimu i nuncana cuka sii." Sabutuna auncuramo incia i saripina manga mokarajaana sumai, kasiimpo Boas adhawuakea ompolena jelai mopadhana itunu to incia, tee o Rut akande sakawana amambosu, tee akobhilaa uka.
08020f00b9	Kasiimpo Rut alingkamo uka aene jelai. Boas asamea i manga mokarajaana, "Taroakea incia aene jelai moomini i tanga-tangana kampupuna jelai mopadhana motobhoke sumai, bholi umendeusakea.
080210006c	Helaakea uka saidhe-saidhe to incia minaaka i kabhokena jelai sumai mamudhaakana aenea. Bholi uʼamaraikia."
08021100da	Mboo sumaimo o Rut aene jelai i inawu sakawana konowia. Kasiimpo abhebhe manga laena jelai mopadhana ienena sumai mamudhaakana atorambasaka manga ompolena minaaka i laena. Jelai irombusakana kera-kera dhaangia 10 kilo.
08021200d6	Kasiimpomo incia ambuli i kota tee abhawa hasili ienena sumai tee asusuakea i ina maniana saopea kabharina ienena. Tee incia uka adhawuaka i ina maniana sumai o kinande inda momembalina ipepadhai wakutuuna akandea.
0802130100	Kasiimpo apogaumo ina maniana, "Iapai uenea tee iapai ukarajaa eo sii? Maasangia o mia mofaduliakako sumai apotibhaaka barakati!" Kasiimpo Rut apetulatulaakamea i ina maniana tee incema akarajaa, pogauna, "Eo sii iaku kukarajaa tee mia mokosaroakana Boas."
0802140100	Pogauna Naomi i ana maniana, "Sio-siomo incia abarakatia KAWASANA OPU inda mobhotukina kaasina saʼumurua to mia modhadhi tee uka almarhum umanemu." Pogauna Naomi uka i incia, "Mia incia sumai o witinaita makasu, sala samia mowaajibuna motolosina ingkita."
0802150099	Kasiimpomo Rut apogau, "Incia uka apogau tee iaku, 'Sadiamo i saripina manga bhawine mokarajaana i inawuku sakawana manga incia apadha atimpu inawuku.' "
08021600ad	Lawanina Naomi i Rut, "Salabhina ingkoo ukarajaa upobhawa tee manga bhawine mokarajaana i inawuna Boas, ancosala dhaangia moganggoko ande ukarajaa i inawuna mia mosagaanana.
08021700e2	Rampaakanamo sumai, Rut sadhaadhaana aose manga bhawine mokarajaana i inawuna Boas. Incia aene iwe sumai sakawana apadha o bulana timpua jelai tee gandum, tee kangengena timpua sumai o Rut sadhaadhaana amboore tee ina maniana.
0803010099	Pia-pia wakutuu sapadhana sumai, Naomi apogau i Rut, "Iaku tabeana kuʼusaha mamudhaakana umembali ukobhanua pendua tee upotibhaaka peulusa tee umasanaa.
0803020096	Buaka o Boas mokobhatuana bhawine iosemu sii-sii mencuana witinaita? Mataua, incia tangasaana atepi jelai malo sii i tampana papogaana ompolena jelai.
08030300b9	Sababuna sumai, pebhahomo tee upakemo mina-mina mawondu, pakemea o pakeamu tee ulingkamo i tampana papogaana ompolena jelai, maka bholi amatauko sakawana incia apadha akande tee asumpu.
08030400c1	Kamatea iapai o koleana. Ande incia atokolemo, lingkamo iwe sumai tee ubungkalemea o kakumuna, kasiimpo upotidhole i saripina aena. Sapadhana sumai incia bheapaumbaakako opea tabeana ipewaumu."
080305003a	Lawanina Rut, "Iaku bhekupewaua bhari-bharia ipogauakamu."
080306006b	Kasiimpo, alingkamo incia i tampana papogaana ompolena jelai, apewaua bhari-bharia isameaakana ina maniana.
08030700d4	Sapadhana akande tee asumpu o Boas amasanaamo incana, incia alingka apotidhole i tapana kabumbuna jelai sumai. Kasiimpo Rut apesuamo inda tee uuʼuuna. Abungkalemea o kakumuna Boas, kasiimpo apotidhole iwe sumai.
080308005c	Pontanga malo atokidhamo o Boas, wakutuuna abhalili akamatamo samia bhawine i saripina aena.
08030900b7	Incia aabha, "Incema ingkoo?" Lawanina, "Iaku o Rut, bhatuamu. Ingkoo satotuuna o witinai makasu almarhum umaneku, tabeana motolosiaku. Bhakesakea o panimu to apeuluaka bhatuamu sii."
08030a00fc	Kasiimpo Boas alawani "Sio-siomo KAWASANA OPU abarakatiko anaku! Sii-sii ingkoo ususuakaaku kaasi tee kalapena incamu, alabhi minaaka mopadhana ipewaumu mangengena, roonamo ingkoo inda upeelo mia mangura, malape rangkaea atawa o misikini, maka upiliku.
08030b009f	Rampaakanamo sumai, bholi umaeka anaku. Bhari-bharia iemanimu sumai bhekupewaua roonamo bhari-bharia miana kota sii amataua ande ingkoo samia bhawine momalape.
08030c00c5	Inciamo atotuu, iaku tabeana kutanggojawapuaka dhadhimu, sababuna iaku o witinaimu momakasuna motolosina dhadhimu. Maka dhaangiapo uka samia witinaiku momakasuna to atolosi dhadhimu minaaka i iaku.
08030d010f	Malo sii umbooremo iwe sii. Naile saeona bhekuabhaakea ara incia aunda atolosiko atawa inda. Ande incia aunda, taroakamo, maka ande inda aunda, sumaimo iaku kujanji tee KAWASANA OPU moudhanina janjiku, iaku bhekutolosiko. Sii-sii ingkoo pomalomo iwe sii sakawana saeona."
08030e00d8	Sabutuna pomalomo Rut iwe sumai i saripina aena Boas sakawana saeona, kasiimpo abhangumo incia mamudhaakana inda akamatea mia. Roonamo o Boas amendeu ande dhaangia o mia momataua ande o Rut aumba i tampa incia sumai.
08030f0126	Apogaumo uka o Boas i Rut, "Rambasakea o salendamu tee utaanakea iwe sii." Sabutuna o Rut arambasakamo salendana tee ataanakamea. Boas alalimo jelai i nuncana salenda sumai kera-kera rua pulu kilo. Kasiimpo incia aangkaakamea i bhawona awaana Rut. Sapadhana incia sumai o Boas alingkamo i kota.
0803100080	Sakawana o Rut i bhanua, ina maniana aabhamo, "Tuaapa ana?" Kasiimpo o Rut apetulatulaakamea bhari-bharia ipewauna Boas i incia.
0803110077	Pogauna uka, "Incia modhawuaku bhari-bharia jelai sii, tee apogau, 'Bholi umbuli i maniamu ande inda ubhawa opeopea.' "
080312009f	Kasiimpo apogaumo ina maniana, "Usabara ntagi anaku, sakawana umataua tuaapa o kapadhaana parakara sii, incia dhaanamo bheaʼurusua o parakara sii eo sii uka."
0804010191	Kasiimpo saeona sumai, Boas alingka i tampana poromu-romua amakasu i bhambana lawana kota tee auncura iwe sumai. Inda amangenge alalomo samia umane mokohakuna to motolosina dhadhina Naomi. O malona, Boas apaumba Rut ande o mia incia sii apowitinai makasu tee almarhum Elimelekh minaaka i Boas. Apogaumo o Boas i umane sumai, "Witinaiku, mai tauncura iwe sii!" Mia incia sumai asiimo, kasiimpo auncura.
080402007d	Kasiimpo Boas akembamo sapulu mia manga mancuanana Bait Lahim sumai tee apogau, "Uncuramo iwe sii." Sabutuna auncuramo manga.
0804030083	Kasiimpo apogaumo Boas i umane sumai, "Naomi mombulina minaaka i Tana Moab sumai bheaaso satidha tana pewauana witinaita Elimelekh.
0804040199	Iaku padhamo kufikiria salabhina o giu incia sumai kupaumbaakako. Ande uunda ualia tana sumai, alimea i aroana manga mia mouncurana iwe sii tee i aroana manga mancuanana Bait Lahim sii, maka ande umendeu, paumbaaku mamudhaakana kumataua, roonamo inda dhaangia o mia mokohakuna moalina tana incia sumai ande mencuana ingkita taruamia, sababuna sapadhana ingkoo kasiimpomo iaku." Lawanina, "Iaku kuunda kualia."
08040500f2	Maka o Boas apogau, "Wakutuuna uali tana sumai minaaka i limana Naomi, ingkoo uka upotibhaaka Rut, bhawine miana Moab sumai, iaiarona almarhum o anana Naomi. Sababuna o tana sumai tabeana sadhaadhaa amembali pewauana siwuluna almarhum sumai."
08040600c4	Alawanimo mia incia sumai, "Ande mboo sumai, inda kukapoia kualia. Sababuna iaku bhekupekadhaki tinaurakaku. Taroakamo ingkoo uali opea mowaajibuna ialimu sumai roonamo iaku inda amembali kualia."
08040700db	I zamani i piamo itu i Israel ande o mia aaso atawa apapobholosi manga pewauana, to apasahaaka hali incia sumai, kananeana o mia arambasaka sandalina kasiimpo adhawuakea i mia moalina atawa mopapobholosina tee pewauana.
0804080079	Kasiimpo o mia sumai apogau tee Boas, "Ingkoomo moalia," mia incia sumai arambasaka sandalina kasiimpo adhawuakea i Boas.
08040900ed	Boas apogau i manga mancuanana lipu tee bhari-bharia mia modhaangiana iwe sumai, "Eo sii ingkomiu umembali sakusii ande iaku padhamo kuali bhari-bharia pewauana Elimelekh tee manga anana, siitumo Kilyon tee Mahlon minaaka i limana Naomi.
08040a016a	Tee uka o Rut, bhawine miana Moab iaiarona Mahlon sumai amembalimo bhawineku. Tee mboo sumai o tana sumai sadhaadhaa amembali pewauana almarhum sumai tee siwuluna uka sadhaadhaa amboore iwe sii, mamudhaakana sarona mia incia sumai inda bheaila minaaka i tanga-tangana witinaina tee minaaka i raʼeatina kota sumai. Eo sii bhari-bharikomiu bheumembalimo sakusii."
08040b0174	Sabutuna bhari-bharia moumbana i bhambana lawana kota tee manga mancuanana lipu sumai apogau, "Ingkami o sakusiina. Sio-siomo KAWASANA OPU apamembali bhawine bhemopesuana i bhanuamu mboomo Rahel tee Lea mopalaahirina abhari ana to Yakub momembalina siwuluna miana Israel. Maasangia ingkoo utobarakati i tanga-tangana manga miana Efrata tee amatauko mia bhari i Bait Lahim.
08040c008e	Sio-siomo manga anaana idhawuakana KAWASANA OPU to ingkoo alaloi bhawine mangura sii bheamembali mboomo siwuluna Peres, anana Tamar tee Yuda."
08040d0088	Boas aalamo Rut tee apamembalia bhawinena. KAWASANA OPU abarakati Rut sabutuna incia abhawa-bhawamo kasiimpo apalaahiri samia ana umane.
08040e00d4	Kasiimpo apogaumo manga bhawine i kota sumai i Naomi, "Atopujimo KAWASANA OPU! Incia adhawukomo samia opua umane mokohakuna to atolosiko tee bheapatorusu saromu. Maasangia anaana sumai amataua mia bhari i Israel!
08040f00ea	Ana maniamu sumai amaasiakako mpuu. Incia adhawuko alabhi minaaka i opea momembalina idhawuakana pitu mia ana umane. Sii-sii incia adhawuakako uka samia opua umane, to mopadhadhina incamu tee modhambaakako i wakutuu ande umancuanamo."
080410005c	Naomi aalamo anaana sumai tee adhikaia i sangoana, kasiimpo adhambaakea tee amaasiakea mpuu.
08041100c2	Manga sarimbanuana adhawuakea saro to anaana sumai apoose apogau, "Naomi apalaahirimo samia ana umane." Manga incia asarongiakea Obed. Obed siimo o amana Isai, tee o Isai satotuuna o amana Daud.
080412002f	Siimo siwuluna Peres: Peres akoanaakamo Hezron.
0804130031	Hezron akoanaakamo Ram, Ram akoanaakamo Aminadab,
0804140039	Aminadab akoanaakamo Nahason, Nahason akoanaakamo Salmon,
080415002f	Salmon akoanaakamo Boas, Boas akoanaakamo Obed,
0804160032	Obed akoanaakamo Isai tee o Isai akoanaakamo Daud.
1100000005	Ester
11010100a2	Kajadia incia sii adhaangia i zamanina Ahasweros, siitumo Ahasweros momembalina rajana Persia tee Media to 127 angu poropinsi, minaaka i India sakawana i Etiopia.
110102007b	I zamani incia sumai, wakutuuna Raja Ahasweros tangasaana amboore tee aparintangi minaaka i malige i nuncana bentena Susan.
11010300cf	I talu taona pamarintana, raja apadhaangia kariaa to bhari-bharia manga kaogesana tee pagawena. Manga kapalana tantarana Persia tee Media, manga gubernuru, tee manga kaogesana poropinsi aumba i kariaa sumai.
1101040090	Nama mbula kangengena o raja apapematauaka karangkaeana maligena, tee uka kaogesana tee kamuliangina pamarintana i manga kakembana kariaa sumai.
11010500dc	Sapadhana incia sumai o raja apadhaangiamo uka kariaa to bhari-bharia raʼeatina modhaangiana i bentena Susan, malape rangkaea atawa misikini. Kariaa sumai kangengena pitu eo tee apadhaangiaia i tanalapa i aroana malige.
1101060185	Tanalapa i aroana malige abhelokiakea tee corocoro minaaka i kae lenan waranaa kakanda tee maputi, abhokeakea tee tali lenan moʼalusu tee i manga simbina apakaiakea pera motopasana i manga ariina bhatu pualam. Manga bhangko bulawa tee pera to manga kakemba adhikaia i bhawona lante. Lante sumai motobhelokina tee pualam maleʼi tee maputi, kulina muntia mokokila, tee bhatu pirus kakanda.
11010700ab	Giu isumpu apatalaakea i nuncana manga tonde bulawa moposalana saangu tee mosagaanana. Angguru i maligena Susan sumai ataralabhi-labhi apokana mboomo kalapena incana raja.
11010800a5	Manga kakemba asumpu peepeeluana incana roonamo o raja padhamo aposamea to bhari-bharia manga pagawena i maligena mamudhaakana manga incia aose peeluana samia-samia.
110109006c	I wakutuu incia sumai, Ratu Wasti apadhaangia kariaa uka to manga bhawine i nuncana maligena Raja Ahasweros.
11010a00bd	I eo pitu eona, wakutuuna raja akaunde-unde roonamo asumpu angguru, raja akembamo Mehuman, Bizta, Harbona, Bigta, Abagta, Zetar tee Karkas, siitumo pitu mia pagawe hususu molaianina karona,
11010b00af	to abhawa Ratu Wasti apoaro tee raja tee apake mahakota i bhaana. Raja gauna apatokamataaka kakesana ratu i manga raʼeati tee manga kaogesana roonamo ratu sumai amakesa mpuu.
11010c008e	Maka o Ratu Wasti amendeu aumba to aose parintana raja ipakawaakana manga pagawe hususu sumai. Sababuna sumai, raja apamuru tee aʼamara mpuu.
11010d0073	Raja aabha i manga ahalii mofahamuna hukumu tee adati, roonamo raja sadia aabha i manga ahaliina tutura tee hukumu.
11010e00df	Dhaangia pia-pia mia mopomatauna tee mopomakasuna tee raja siitumo: Karsena, Setar, Admata, Tarsis, Meres, Marsena tee Memukan, siitumo pitu mia o kaogesana Persia tee Media mokokauncuramakana malanga i nuncana pamarintana.
11010f00a7	"Opea tabeana bheipewauku to Ratu Wasti mboomo opea mopadhana ipatotapuaka i nuncana tutura, roonamo incia inda aose parintaku ipakawaakana manga pagawe hususu sumai?"
11011000d4	Kasiimpo Memukan alawani i aroana raja tee manga kaogesa sumai, "Ratu Wasti inda soo asala tee raja uka, maka tee bhari-bharia kaogesa tee bhari-bharia umane modhaangiana i saangua poropinsina Raja Ahasweros uka!
11011100d4	Pewauna ratu sumai bheamataua bhari-bharia bhawine, sabutuna manga incia bheapandaʼente umanena tee apogau, 'Raja Ahasweros aparintaakea mamudhaakana Ratu Wasti atobhawa i aroana raja, maka incia amendeu aumba.'
11011200a8	I eo sii uka bhawinena manga kaogesana Persia tee Media, morangona pewauna Ratu, bheapogau mboo sumai uka i manga kaogesana Raja, sabutuna bheabhari o kahina tee amara.
1101130162	Rampaakanamo sumai, ingkami taemani mamudhaakana uala kambotu ande o Ratu Wasti indamo amembali apokawa tee Raja. Kambotu incia sumai tabeana apamembalia saangu tutura i Persia tee i Media, mamudhaakana inda amembali ahobutia pendua. Sapadhana incia sumai, dhawuakamea o kauncuramakana Ratu Wasti i bhawine mosagaanana molabhina kalapena minaaka i incia.
11011400a3	Ande o kambotuna Raja sumai atoresamo i saangua pamarintana lipu momaoge sumai, sumaimo bhari-bharia bhawine bheahoromati umanena, malape rangkaea atawa misikini."
110115004d	Raja tee kaogesa asatujui pogauna Memukan, sumaimo o raja alausakamo apewaua.
110116013e	Incia alamboko manga sura parinta to bhari-bharia poropinsina pamarintana, antona sura sumai apokana tee pogau tee kaburina manga lipuna sumai sumbesumbere. Parinta incia sumai akooni, "Bhari-bharia umane tabeana akapalai bhanuana, tee manga mia momboorena i nuncana bhanuana tabeana apake pogauna lipuna umane sumai."
11020100ae	Sapadhana manga kajadia incia sumai, i wakutuuna amarana Raja Ahasweros auntomo, atoudhanimo incia i Wasti, tee opea mopadhana ipewauna tee kambotu mopadhana ialana to Wasti.
110202006b	Sumaimo apogaumo manga pagawe molaianina raja, "Taroakamo tapeeloakea kabuabua momakesana bhanguna to Raja.
110203018e	Raja tabeana aangka manga pagawena i bhari-bharia poropinsi i nuncana pamarintana to aromusaka kabuabua momakesana bhanguna. Manga kabuabua sumai ajagania i tampa mohususu to bhawine i malige i nuncana bentena Susan, tee ajagania samia pagawe hususuna Raja mokosarona Hegai. Hegai mojaganina manga bhawinena Raja. Kasiimpo manga incia tabeana adhambaakea tee mina-mina mawondu mamudhaakana amakesa.
1102040095	Dhaampomo, o kabuabua momalapena i matana Raja bheamembali ratu to abholosi Wasti." Giu incia sumai aabhia amalape tee asatujuia raja, tee apewaumea.
1102050094	I wakutuu incia sumai i bentena Susan dhaangia samia o miana Yahudi o sarona Mordekhai bin Yair bin Simei bin Kis. Incia minaaka i kaomuna Binyamin.
11020600cf	Incia uka amembali mia mototaangi i wakutuuna rajana Babel, Nebukadnezar, atalo Yerusalem. Kasiimpomo Mordekhai atobhawa atobhanaka tee rajana Yuda mokosarona Yekhonya, tee manga mia abhari mototaangina uka.
11020700f2	Mordekhai apotolidha tee samia kabuabua o sarona Hadasa tee isarongiaka uka Ester. Ester amangada o poningkarona tee amakesa o rouna. Roonamo rua miaia mancuanana Ester amatemo, sumaimo incia apekaoge tee adhambaaka Ester mboomo anana karona.
11020800b0	Satoresana parintana raja, abhari o kabuabua makesa aromusakea i nuncana bentena Susan, tee ajagania Hegai. Ester uka abhawea apesua i nuncana maligena raja tee ajagania Hegai.
110209015a	Hegai akamata Ester tee aabhia mia malape tee amaasiakea. Sabutuna o Hegai alausakamo adhawuakea mina-mina momawondu tee kinande hususu. Hegai adhawuakea uka pitu mia kabuabua motopilina to molaianina i malige hususu to bhawine minaaka i maligena raja. Kasiimpo Ester tee kabuabua molaiania apapindaia i tampa momalape i malige hususu to bhawine.
11020a006f	Ester inda apaumbaakea o kamiaana, ande incia satotuuna miana Yahudi, roonamo Mordekhai audhaniakea mboo sumai.
11020b008e	Saeo-saeo Mordekhai akambeli-mbeli i tanalapa i aroana malige mohususu to bhawine to amatauaka kadhaangiana tee opea bhemomembalina tee incia.
11020c0192	Manga kabuabua sumai tabeana adhawua mina-mina mawondu kangengena sapulu rua mbula mboomo tuturana to manga bhawine. Siitumo kangengena nama mbula mobhaa-bhaana manga incia apake mina damar momawondu tee nama mbulana sapadhana incia sumai manga incia apake mina mawondu irampai. Salapana wakutuuna manga kabuabua idhambaakana sumai aʼaahiri, bhari-bharia apotibhaaka palina to apoaro i Raja Ahasweros.
11020d00bf	Sakawana wakutuuna samia kabuabua apesuamo apoaro tee raja, mboo siimo tuturana: Opeapo uka iemanina tabeana adhawuakea to abhawea minaaka i tampa mohususu to bhawine i nuncana maligena raja.
11020e014f	Incia bheapesua i wakutuuna soonaeo, kasiimpo naile saeona incia bheambuli i tampa mobhaau mohususu to bhawine mosagaanana ijaganina Saasgas, samia pagawe hususu mojaganina manga gundina raja. Kasiimpo gundina sumai inda bheapesua uka to apoaro tee raja tabeana ande o raja apeelua, sumaimo incia bheakembaia tee bheagoraakea o sarona.
11020f0149	Sabutuna akawamo palina Ester to apokawa tee raja. Ester satotuuna anana Abihail tee witinaina Mordekhai mopadhana iangkana mboomo o anana karona. Roonamo amakesa, bhari-bharia mokamatea amente. Wakutuuna incia alingka apokawa tee raja, Ester apobhaju mboomo isusuakana tee iadhariakana Hegai, kapalana tampa mohususu to bhawine.
11021000a3	Kasiimpo Ester abhawea to apoaro tee Raja Ahasweros i nuncana maligena pamarintana i bula i sapulu mbulana, siitumo i bula Tebet, i tao i pitu taona raja aparinta.
110211010c	Ester apasanaa tee apaunde-unde raja alabhi minaaka i kabuabua mosagaanana. Sabutuna o raja amaasiakea alabhi minaaka i bhari-bharia kabuabua mosagaanana. Sumaimo raja apakanaakea mahakotana pamarintana i bhaana Ester tee alantia apamembalia ratu to abholosiaka Wasti.
11021200f3	Sapadhana incia sumai, raja apadhaangiamo kariaa maoge to kaogesana tee pagawena, siitumo kariaa kahoromatina to Ester. Raja uka indamo aemani balasitee i manga poropinsina tee abage-bageakea hadia ataralabhi-labhi, mboomo laengana samia raja.
110213006a	I wakutuuna manga kabuabua atoromusaka to rua mpearona, Mordekhai auncura i bhambana lawana maligena raja.
11021400bf	Ester indapo uka apaumbaakea o kamiaana, mboomo isameaakana Mordekhai to incia. Sababuna o Ester sadhaadhaa aose pogauna Mordekhai mboomo i wakutuuna incia dhaangiapo adhambaakea i piamo itu.
11021500df	Wakutuu incia sumai, Mordekhai tangasaana auncura i bhambana lawana maligena raja, rua mia pagawe hususuna raja mojaganina bhambana lawa siitumo, Bigtan tee Teres, ahaejatimo apekamate Raja Ahasweros, roonamo amapii incana.
110216008e	Giu incia sumai amataua Mordekhai tee alausaka apaumbaakea i Ester. Kasiimpo Ester apetulatulaakamea i raja tee opea imatauna Mordekhai sumai.
11021700ca	Wakutuuna giu incia sumai aparakisaaia, garaaka atotuu, sumaimo mia rua miaia sumai uka atoloe i arii sakawana amate. Kasiimpo kajadia incia sumai atoburi i nuncana boku tulatula mangenge i aroana raja.
110301012e	Sapadhana manga kajadia incia sumai, Raja Ahasweros aangkamo samia mokosarona Haman bin Hamedata amembali sapatina. Haman bin Hamedata satotuuna minaaka i siwuluna Agag. Raja aangkatakea tee apatotapuakea o kauncuramakana mamudhaakana alabhi kalangana minaaka i bhari-bharia kaogesana raja mosagaanana.
11030200d4	Bhari-bharia pagawena raja modhaangiana i bhambana lawana malige asuju sakawana i tana tee adhawu horomati i Haman, roonamo mboomo sumai iparintaakana raja to incia. Maka o Mordekhai amendeu asuju tee ahoromatia.
1103030093	Manga pagawena raja modhaangiana i bhambana lawana malige uka apogau i Mordekhai, "Pokia ingkoo inda uose parintana raja to asuju ahoromati Haman?"
1103040153	Saesaeo manga pagawena raja sumai audhaniaka Mordekhai, maka amendeu aperangoia, sabutuna manga incia apetulatulaakamea o hali incia sumai i Haman. Mordekhai padhamo apaumba manga pagawena raja sumai ande incia o miana Yahudi. Sumaimo, manga incia gauna bheakamatea opea ipewauna Haman ande o Mordekhai sadhaadhaa inda aose parintana raja.
1103050053	Wakutuuna Haman akamata Mordekhai inda asuju tee ahoromatia, aʼamaramo mpuu incia.
11030600fa	Sapadhana mia apaumbaakea o kamiaana Mordekhai i incia, sumaimo o Haman ahaejati to apabinasa bhari-bharia miana Yahudi, siitumo mia salipuna Mordekhai, i saangua pamarintana Ahasweros roonamo incia aabhi ahina o karona, ande soo apekamate Mordekhai.
110307016f	I bula bhaa-bhaana siitumo i bula Nisan, i tao sapulu rua taona Raja Ahasweros amembali raja, Haman atumpu mia to abhanaka bhatu undi mokosarona "Pur," i aroana. Manga incia aʼundia mamudhaakana apatotapuaka eo tee bula to apewauaka haejatina sumai. Sabutuna apatotapuakamea eo tee bulana, siitumo i eo sapulu talu eona i bula sapulu rua mbulana i nuncana bula Adar.
1103080154	Kasiimpo Haman apogaumo i Raja Ahasweros, "Raja, dhaangia saangu lipu mopogaa-gaana tee amboore i tanga-tangana manga liputa tee i saangua poropinsi i nuncana pamarintamu. Adatina manga incia aposala tee adatina manga lipu mosagaanana tee manga incia inda aose parintana rajana. Jadi, inda alaenga ande utaroaka manga incia apewau saincana.
110309010d	Ande ukamatea amalape ifikirimu, salabhina upalimbaakamea sura parinta to upabinasaaka manga incia. Iaku bhekupomea 340.000 kilo pera to manga pagawe moʼurusuna giu incia sumai, mamudhaakana manga pagawe sumai apapesuaia o pera sumai i nuncana dhingkanana doina Raja."
11030a00c9	Sarangona giu incia sumai, o raja ahobutimo singkaruna minaaka i kauna limana to apamembalia capu to apasahaaka manga kambotu tee adhawuakea i Haman bin Hamedata, miana Agag, musuna miana Yahudi sumai.
11030b0067	Pogauna raja i Haman, "Pera tee lipu sumai kudhawuakako. Upewaumo opea iabhimu amalape to manga incia."
11030c01af	Sabutuna akembamea manga jurutulisina raja i eo sapulu talu eona i bula bhaa-bhaana. Mboomo bhari-bharia iparintaakana Haman, manga incia uka aburi sura to manga wakilina raja, manga gubernuru mokapalaina saasaangu poropinsi tee manga kaogesana saasaangu lipu. Antona sura sumai atoburi i nuncana sumbesumbere pogau tee kaburina manga poropinsi sumai. Sura sumai atoburi tee sarona Raja Ahasweros tee acapuakea tee singkaruna raja.
11030d01a0	Manga sura sumai abhawea tee alambokoa madhei alaloi manga pande angkuna sura i saangua poropinsi. Antona sura sumai satotuuna o parinta to apahancuru, apekamate, tee apabinasa bhari-bharia miana Yahudi minaaka i momangurana sakawana i mancuana, tee uka manga anana tee manga bhawine i nuncana saeo uka, siitumo i eo sapulu talu eona i bula sapulu rua mbulana, i bula Adar, tee arampasi harataa pewauana manga incia.
11030e00a6	Antona sura incia sumai tabeana apamembalia tutura i saasaangu poropinsi tee apakolelea i bhari-bharia lipu mamudhaakana manga incia asiapu ande akawa eo incia sumai.
11030f0115	Manga pande angkuna sura apoagori alingka abhawa manga sura sumai i bhari-bharia poropinsi mboomo parintana raja, kasiimpo tutura sumai apakoleleakea uka i bentena Susan. Wakutuuna raja tee Haman tangasaana auncura asumpu, abagoeamo miana Kota Susan sarangona lele incia sumai.
11040100f2	Samatauna bhari-bharia opea momembalina, sumaimo Mordekhai abhenci pakeana, kasiimpo incia akumuti karona tee kae kadhu tee adhika ngawu i bhaana roonamo amaporo. Incia alingka apekatii-tii i kota apoose akakee-kee tee suara makaa tee amaasi.
110402009c	Sakawana i aroana bhambana lawana maligena raja, Mordekhai auntomo, roonamo inda amembali o mia apesua i bhambana lawana maligena raja ande apake kae kadhu.
11040300f2	I saasaangu poropinsi, i tampa iapaipo parinta tee tuturana raja sumai akawa, dhaangia tee kasukara momaoge i tanga-tangana miana Yahudi apoose apoasa, atangi, tee amaasi. Abhari o mia mobhakesakana kae kadhu tee ngawu to kalempesina koleana.
1104040100	Wakutuuna manga kabuabua molaianina i malige tee manga pagawe hususuna Ester aumba apaumbaakea opea ipewauna Mordekhai, amarewumo mpuu incana ratu. Incia alamboko pakea i Mordekhai to apakea to kabholosina kae kadhu i badana, maka Mordekhai inda atarimaia.
11040500af	Kasiimpomo Ester akemba Hatah, sala samia pagawe hususuna raja isusuna to alaiania. Atumpumea o Hatah to apokawa tee Mordekhai to amatauaka opea momembalina tee opea sababuna.
1104060073	Kasiimpo Hatah alingka apokawa tee Mordekhai i tanalapana kota modhaangiana i aroana bhambana lawana maligena raja.
11040700b0	Mordekhai uka apetulatulaakea i incia sagala giu inamisina tee saopea kabharina pera ijanjiakana Haman to adhawuaka Ahasweros mamudhaakana o raja atumpu apabinasa miana Yahudi.
1104080107	Mordekhai uka adhawuaka Hatah o kaburina tutura motopakolelena i Susan mokoantoakana parinta to apabinasaaka miana Yahudi. Mordekhai uka atumpu Hatah to adhawuaka kasamea incia sumai i Ester mamudhaakana o Ester alingka apokawa tee raja to aemani kaasi to lipuna.
1104090051	Kasiimpo Hatah alingka apokawa tee Ester to apakawaaka kasameana Mordekhai sumai.
11040a0045	Kasiimpo Ester atumpu Hatah apakawaaka kasamea incia sii i Mordekhai,
11040b01d7	"Bhari-bharia pagawena raja tee raʼeati modhaangiana i bhari-bharia poropinsi i nuncana pamarinta sii amataua, tangkanamo saangu o tutura to bhari-bharia umane atawa o bhawine mopesuana mopoarona tee raja i nuncana malige ande o mia sumai inda akembaia raja: sumaimo mia incia sumai bheatohukumu mate. Maka ande o raja apaulu katuko bulawana i mia mopoarona tee incia, sumaimo incia bheasalaamati. Maka iaku talu pulu eomo indapo uka akembaaku kupesua kupoaro tee raja."
11040c0036	Wakutuuna pogauna Ester sumai apaumbaakea i Mordekhai,
11040d00c9	sumaimo Mordekhai atumpu apakawaakea o kasamea incia sii to Ester, "Bholi ufikiria roonamo udhaangia i nuncana maligena raja, soomo ingkoo moʼamanina minaaka i tanga-tangana bhari-bharia miana Yahudi.
