0100000006	Senesi
07141400a2	Pea ʻalu kituʻa ʻae kau tangata ʻo ʻIsileli ke tauʻi ʻa Penisimani; pea naʻe fakanofo ʻae tau ʻae fānau ʻa ʻIsileli ke tauʻi ʻakinautolu ʻi Kipea.
07141500aa	Pea naʻe haʻu kituaʻā ʻae fānau ʻa Penisimani mei Kipea, ʻonau tā hifo ki he kelekele ʻi he kau ʻIsileli ʻi he ʻaho ko ia ʻae toko ua mano mo e toko ua afe.
071416009e	Pea naʻe fakaʻaiʻai ʻakinautolu ʻe he kau tangata ʻIsileli, ʻo toe fakalanga ʻae tau ʻi he potu ko ia naʻa nau tali teuteu ai ʻi he ʻuluaki ʻaho.
071417010d	(Pea naʻe ʻalu hake ʻae fānau ʻa ʻIsileli ʻo tangi ʻi he ʻao ʻo Sihova ʻo aʻu ki he efiafi, pea kole ʻae fakakaukau ʻia Sihova, ʻo pehē, “Te u toe ʻalu ke tauʻi ʻa Penisimani ko hoku tokoua?” Pea pehē ʻe Sihova, “ʻAlu hake ʻo tauʻi ia.”)
071418006f	Pea naʻe ʻunuʻunu atu ʻae fānau ʻa ʻIsileli ke tauʻi ʻae fānau ʻa Penisimani ʻi hono ua ʻoe ʻaho.
07141900ef	Pea naʻe ʻalu kituʻa ʻa Penisimani mei Kipea ke tauʻi ʻakinautolu ʻi hono ua ʻoe ʻaho, pea toe tā hifo ki he kelekele ʻi he fānau ʻa ʻIsileli ʻae tokotaha mano mo e toko ua afe; ko e kau toʻo heletā ʻakinautolu kotoa pē.
07141a0144	Pea naʻe toki ʻalu hake ʻae fānau kotoa pē ʻa ʻIsileli, mo e kakai kotoa pē, ʻo hoko ki he fale ʻoe ʻOtua, ʻo tangi, ʻonau nofo ʻi ai ʻi he ʻao ʻo Sihova, ʻo ʻaukai ʻi he ʻaho ko ia ʻo aʻu ki he efiafi, pea naʻe ʻatu ʻae ngaahi feilaulau tutu mo e ngaahi feilaulau fakalelei ʻi he ʻao ʻo Sihova.
07141b0086	Pea naʻe fehuʻi ʻae fānau ʻa ʻIsileli kia Sihova, (he naʻe ʻi ai ʻae puha ʻoe fuakava ʻoe ʻOtua ʻi he ngaahi ʻaho ko ia.
07141c0152	Pea naʻe tuʻu ʻi hono haʻohaʻonga ʻo ia ʻa Finiasi, ko e foha ʻo ʻEliesa, ko e foha ʻo ʻElone, ʻi he ngaahi ʻaho ko ia,) ʻo pehē, “Te u toe ʻalu kituʻa ke tauʻi ʻae fānau ʻa Penisimani ko hoku tokoua, pe te u tukuā?” Pea pehē ʻe Sihova, “ʻAlu hake; he te u tukuange ʻakinautolu ki ho nima ʻapongipongi.”
07141d0044	Pea naʻe fakatoka ʻae malumu ʻe ʻIsileli ke takatakai ʻa Kipea.
07141e00c0	Pea naʻe ʻalu hake ʻae fānau ʻa ʻIsileli ke tauʻi ʻae fānau ʻa Penisimani ʻi hono tolu ʻoe ʻaho, ʻonau fokotuʻu teuteu pē ʻakinautolu ki Kipea, ʻo hangē ko ia naʻa nau fai.
07141f016d	Pea naʻe ʻalu kituʻa ʻae fānau ʻa Penisimani ke tauʻi ʻae kakai, pea kuo matoho ʻakinautolu mei he kolo: pea naʻa nau kamata teʻia ʻae kakai, ʻo tāmateʻi, ʻo hangē ko ʻenau fuofua fai, ʻi he ngaahi hala lahi, (ʻa ia ko e hala ʻe taha ki he fale ʻoe ʻOtua, mo e taha ki Kipea ʻi he ngoue,) ko e kau tangata ʻIsileli ʻe toko tolungofulu nai.
07142000ef	Pea pehē ʻe he fānau ʻa Penisimani, “Kuo tā hifo ʻakinautolu ʻi hotau ʻao, ʻo hangē ko hono fuofua fai.” Ka naʻe pehē ʻe he fānau ʻa ʻIsileli, “Tau hola, pea tohoaki ʻakinautolu mei he kolo ki he ngaahi hala lahi.”
07142100ca	Pea naʻe tuʻu hake ʻae kau tangata kotoa pē mei honau potu, pea tali tau pe ʻakinautolu ʻi Peali tama: pea naʻe hiki ʻae malumu mei honau ngaahi potu, ʻio, mei he ngaahi ngoue mohuku ʻo Kipea,
07142200c9	Pea naʻa nau haʻu ke tauʻi ʻa Kipea ʻae kau tangata fili ʻe tokotaha mano mei ʻIsileli kotoa pē, pea naʻe fakamanavahē ʻae tau: ka naʻe ʻikai tenau ʻilo kuo ofi ʻae kovi kiate kinautolu.
07142300fc	Pea naʻe teʻia ʻa Penisimani ʻe Sihova ʻi he ʻao ʻo ʻIsileli: pea tāmateʻi ʻe he fānau ʻa ʻIsileli ʻi he ʻaho ko ia ʻae toko ua mano mo e toko nima afe mo e toko teau ʻi he kakai Penisimani: naʻe toʻo heletā ʻakinautolu kotoa pē.
07142400ee	Pea kuo mamata ʻae fānau ʻa Penisimani kuo teʻia ʻakinautolu: he naʻe matamata hola ʻae kau tangata ʻIsileli ʻi he ʻao ʻoe kau Penisimani, koeʻuhi naʻa nau falala ki he malumu naʻe toka ʻaia naʻa nau tuku ʻo ofi ki Kipea.
071425009f	Pea naʻe fai fakatoʻotoʻo ʻe he malumu, ʻo ʻoho atu ki Kipea; pea ʻalu atu pē ʻae malumu, ʻo teʻia ʻae kolo kotoa pē ʻaki ʻae mata ʻoe heletā.
07142600b3	Pea ko eni, naʻe ai ʻae fakaʻilonga naʻe fokotuʻu ʻe he kau tangata ʻIsileli mo e malumu, koeʻuhi ke nau tutu ʻae afi ke ulo lahi mo e ʻohuafi ke ʻalu hake mei he kolo.
0714270125	Pea ʻi he kamata hola ʻa ʻIsileli ʻi he tau, pea kamata taaʻi ʻakinautolu ʻe Penisimani, pea tāmateʻi ʻi he kau tangata ʻIsileli ʻae kau tangata ʻe toko tolungofulu nai: he naʻa nau pehē, “Ko e moʻoni kuo tā hifo ʻakinautolu ʻi hotau ʻao, ʻo hangē ko e ʻuluaki tau.”
07142800cc	Pea ʻi he kamata ʻalu hake ʻae ulo afi mei he kolo mo e ngaahi pou ʻohuafi, pea tangaki kimui ʻae kau Penisimani ʻo sio kimui ʻiate kinautolu, pea vakai, kuo ʻalu hake ki langi ʻae ulo ʻoe kolo.
071429007d	Pea ʻi he tafoki ʻae kakai ʻIsileli, naʻe ofo ʻae kau Penisimani: he naʻa nau vakai kuo hoko ʻae kovi kiate kinautolu.
07142a00dc	Ko ia naʻa nau fulituʻa, ki he kau tangata ʻIsileli ʻi he hala ki he toafa; ka naʻe lavaʻi ʻakinautolu ʻe he tau; pea mo kinautolu naʻe hola kituʻa mei he ngaahi kolo naʻa nau tāmateʻi ʻi honau lotolotonga.
07142b00ba	Naʻe pehē ʻenau ʻākilotoa ʻae kau Penisimani ʻo takatakai, pea tuli ʻakinautolu, ʻo malakaki faingofua hifo ʻakinautolu ʻo hangatonu ki Kipea ʻo hanga ki he hopoʻangalaʻā.
07142c0082	Pea naʻe tō ai ʻae kau tangata Penisimani ko e tokotaha mano mo e toko valu afe; ko e kau tangata toʻa ʻakinautolu kotoa pē.
07142d0104	Pea naʻa nau tafoki ʻo hola atu ki he toafa ki he maka ko Limoni: pea naʻa nau tāmateʻi ʻi he ngaahi hala lahi ʻae kau tangata ʻe toko nima afe; pea naʻe tuli mālohi ʻakinautolu ʻo aʻu ki Kitomi, pea naʻe tāmateʻi ʻae toko ua afe ʻokinautolu.
07142e00d1	Ko ia ko kinautolu kotoa pē naʻe tō ʻi he kakai Penisimani ʻi he ʻaho ko ia ko e kau tangata ʻe toko ua mano, mo e toko nima afe ʻaia naʻe toʻo heletā: ko e kau tangata toʻa ʻakinautolu kotoa pē.
07142f00a4	Ka naʻe tafoki ʻae kau tangata ʻe toko onongeau ʻo hola ki he toafa ʻo aʻu ki he maka ko Limoni, pea ne nau nofo ʻi he maka ko Limoni ʻi he māhina ʻe fā.
071430013a	Pea naʻe toe tafoki kimui ʻae kau tangata ʻo ʻIsileli ki he fānau ʻa Penisimani, ʻo teʻia ʻakinautolu ʻaki ʻae mata ʻoe heletā, ʻae kau tangata ʻoe kolo kotoa pē, mo e fanga manu, mo e meʻa kotoa pē naʻa nau ʻilo: pea naʻa nau tutu foki ʻae kolo kotoa pē naʻa nau hoko ki ai ʻaki ʻae afi.
07150100a9	Pea naʻe fuakava ʻae kau tangata ʻIsileli ʻi Misipa, ʻo pehē, “ʻOua naʻa ai ha tokotaha ʻiate kitautolu ʻe ʻatu hono ʻofefine kia Penisimani kenau mali.”
0715020087	Pea naʻe haʻu ʻae kakai ki he fale ʻoe ʻOtua, pea nofo ʻi ai ʻo aʻu ki he efiafi, pea naʻe hiki honau leʻo, ʻo tangi mamahi;
07150300af	Pea naʻa nau pehē, “ʻE Sihova ko e ʻOtua ʻo ʻIsileli, ko e hā kuo hoko ai ʻae meʻa ni ʻi ʻIsileli, koeʻuhi ke mole ai he ʻaho ni ha faʻahinga ʻi ʻIsileli?”
07150400c5	Pea naʻe hoko ʻo pehē ʻi he pongipongi hake, naʻe tuʻu ai ʻae kakai, pea fokotuʻu ʻi ai ʻae feilaulauʻanga, pea naʻe ʻatu ai ʻae ngaahi feilaulau tutu mo e ngaahi feilaulau fakalelei.
0715050125	Pea pehē ʻe he fānau ʻa ʻIsileli, “Ko hai ia ʻi he ngaahi faʻahinga ʻo ʻIsileli naʻe ʻikai ʻalu hake mo e fakataha lahi kia Sihova? He naʻa nau fai ʻae fuakava lahi koeʻuhi ko ia naʻe ʻikai ʻalu hake kia Sihova ki Misipa, ʻo pehē, ‘Ko e moʻoni ʻe tāmateʻi ia.’”
07150600a6	Pea naʻe fakatomala ʻe he fānau ʻa ʻIsileli koeʻuhi ko Penisimani ko honau tokoua, ʻonau pehē, “Kuo motuhi ha faʻahinga ʻe taha mei ʻIsileli he ʻaho ni.
07150700a9	Ko e hā te tau fai koeʻuhi ke maʻu honau uaifi ʻekinautolu ʻoku toe, he kuo tau fuakava ʻia Sihova ʻe ʻikai te tau foaki kenau mali mo hotau ngaahi ʻofefine?”
07150800dc	Pea naʻa nau pehē, “Ko hai ha tokotaha ʻoe faʻahinga ʻo ʻIsileli naʻe ʻikai ʻalu hake ki Misipa kia Sihova?” Pea vakai, naʻe ʻikai haʻu ha tokotaha ki he ʻapitanga mei Sepesi-Kiliati ki he fakataha lahi.
0715090060	He naʻe lau ʻae kakai, pea vakai, naʻe ʻikai ʻi ai ha taha mei he kakai ʻo Sepesi-Kiliati.
07150a00f9	Pea naʻe fekau ki ai ʻe he fakataha lahi ʻae kau tangata ʻe tokotaha mano naʻe mālohi lahi, pea naʻe fekau pehē kiate kinautolu, “ʻAlu, ʻo taaʻi ʻae kakai ʻo Sepesi-Kiliati ʻaki ʻae mata ʻoe heletā, ʻae kau fefine mo e fānau.”
07150b007d	Pea ko e meʻa ni ke mou fai, Te mou fakaʻauha ʻaupito ʻae tangata kotoa pē, mo e fefine kotoa pē kuo mohe mo e tangata.
07150c0105	Pea naʻa nau ʻilo ʻi he kakai ʻo Sepesi-Kiliati ʻae kau taʻahine tāupoʻou ʻe toko fāngeau, naʻe ʻikai tenau ʻilo ʻae tangata ʻi he mohe mo e tangata: pea naʻa nau ʻomi ʻakinautolu ki he ʻapitanga ki Sailo, ʻaia ʻoku ʻi he fonua ko Kēnani.
07150d009a	Pea naʻe ʻave ʻae lea mei he fakataha lahi ki he fānau ʻa Penisimani, naʻe [nofo] ʻi he maka ko Limoni, pea ko e lea fakamelino ia kiate kinautolu.
07150e00b7	Pea naʻe toe haʻu ʻa Penisimani he kuonga ko ia; pea naʻa nau ʻatu honau ngaahi uaifi ʻaia kuo nau fakamoʻui ʻi he kau fefine ʻo Sepesi-Kiliati: ka naʻe ʻikai tenau totofu.
07150f007e	Pea naʻe fakatomala ʻae kakai ʻia Penisimani, koeʻuhi kuo fai ʻe Sihova ha tautea ʻi he ngaahi faʻahinga ʻo ʻIsileli.
07151000bc	Pea naʻe toki pehē ʻe he kau mātuʻa ʻoe fakataha, “Ko e hā ha meʻa te tau fai koeʻuhi ke maʻu uaifi ʻakinautolu ʻoku toe, koeʻuhi kuo ʻauha ʻae kau fefine meia Penisimani?
0715110092	Pea naʻa nau pehē, Ke ʻai ha tofiʻa moʻonautolu kuo hao ʻia Penisimani, koeʻuhi ke ʻoua naʻa ʻauha ha faʻahinga ʻe taha ʻi ʻIsileli.
07151200ce	Ka ʻoku moʻoni ʻoku ʻikai ngofua ke tau ʻatu honau uaifi ʻi hotau ngaahi ʻofefine: he kuo fuakava ʻae fānau ʻa ʻIsileli, ʻo pehē, Ke malaʻia ia ʻaia ʻoku ne foaki ha uaifi kia Penisimani.”
0715130103	Pea naʻa nau pehē, “Vakai, ʻoku ai ʻae kātoanga maʻa Sihova ʻoku fai ʻi he taʻu kotoa pē ʻi Sailo,” ʻi he potu fakatokelau ʻo Peteli, ʻi he potu hahake ʻi he hala lahi ʻoku ʻalu hake mei Peteli ki Sikemi, pea ʻi he potu tonga ʻo Lepona.
0715140077	Ko ia naʻa nau fekau ai ki he fānau ʻa Penisimani, ʻo pehē, “ʻAlu ʻo toitoi, tatali ʻi he ngaahi ngoue vaine;
07151500fa	Pea sio, pea vakai, kapau ʻoku haʻu ʻae ngaahi ʻofefine ʻo Sailo ke meʻe ʻi he ngaahi meʻe, mou haʻu ai mei he ngaahi ngoue vaine, ʻo puke ke taki taha homou uaifi ʻi he ngaahi ʻofefine ʻo Sailo, pea mou ʻalu ki he fonua ʻo Penisimani.
071516015e	‘Pea ka haʻu ʻenau ngaahi tamai, pe ko honau ngaahi tuongaʻane ke ʻeke ia kiate kimautolu, te mau pehē kiate kinautolu, Mou fai ʻofa kiate kinautolu koeʻuhi ko kimautolu: koeʻuhi naʻe ʻikai te mau fakatoe kiate kinautolu taki taha hono uaifi ʻi he tau: pea naʻe ʻikai te mou foaki ʻakinautolu ʻi he kuonga ni, ke mou halaia ai.’”
0715170103	Pea naʻe fai pehē ʻe he fānau ʻa Penisimani, ʻo fili honau uaifi ʻo fakatatau ki honau lau, meiate kinautolu naʻe meʻe, ʻakinautolu naʻa nau puke: pea naʻa nau ʻalu ʻo toe hoko ki honau tofiʻa, ʻo toe teuteu ʻenau ngaahi kolo, pea nofo ki ai.
07151800c3	Pea naʻe ʻalu mei ai ʻae fānau ʻa ʻIsileli ʻi he kuonga ko ia, ʻae tangata taki taha ki hono faʻahinga pea ki hono kāinga, pea naʻe ʻalu mei ai ʻae tangata taki taha ki hono tofiʻa.
0715190091	‌ʻI he ngaahi ʻaho ko ia naʻe ʻikai ha tuʻi ʻi ʻIsileli: ka naʻe fai ʻe he tangata kotoa pē ʻaia naʻe lelei ʻi hono mata ʻoʻona.
0800000004	Lute
080101010d	Pea naʻe hoko ʻo pehē, ʻi he ngaahi ʻaho naʻe pule ai ʻae kau fakamaau, naʻe tō ʻae honge ki he fonua. Pea ko e tangata ʻe tokotaha ʻo Petelihema Siuta naʻe ʻalu ia ke ʻāunofo ʻi he fonua ʻo Moape, ʻa ia, mo hono uaifi, mo hono ongo foha ʻe toko ua.
08010200f2	Pea ko e hingoa ʻoe tangata ko ʻElimeleki, pea ko e hingoa ʻo hono uaifi ko Naomi, pea ko e hingoa ʻo hono ongo foha ko Maloni mo Kilioni, ko e kau ʻIfalemi ʻo Petelihema Siuta. Pea naʻa nau haʻu ki he fonua ko Moape, ʻo nofo ʻi ai.
0801030064	Pea naʻe pekia ʻa ʻElimeleki ko e husepāniti ʻo Naomi; pea naʻe nofo pe ia mo ʻene ongo tama.
08010400be	Pea naʻa na ʻomi hona uaifi mei he kau fefine Moape; ko e hingoa ʻoe tokotaha ko Opa, pea ko hono hingoa ʻoe tokotaha ko Lute: pea naʻa nau nonofo ʻi ai ʻi he taʻu ʻe hongofulu nai.
0801050088	Pea naʻe pekia ai ʻa Māloni mo Kilioni fakatouʻosi pē; pea naʻe toʻo pehē mei he fefine ʻa ʻene ongo tama mo hono husepāniti.
08010600e1	Pea naʻe tuʻu hake ia mo ʻene ongo taʻahine ʻi he fono, koeʻuhi ke hiki ia mei he fonua ko Moape: he kuo ne ongoʻi ʻi he fonua ko Moape kuo ʻaʻahi ʻe Sihova ki hono kakai ʻi he foaki kiate kinautolu ʻae meʻakai.
08010700ac	Ko ia naʻa ne ʻalu atu ai mei he potu naʻe ʻi ai ia, mo ʻene ongo taʻahine ʻi he fono mo ia; pea naʻa nau ʻalu atu pe ʻi he hala ke fononga ki he fonua ʻo Siuta.
08010800e7	Pea naʻe pehē ʻe Naomi ki heʻene ongo taʻahine ʻi he fono, “Mo ō fakatouʻosi pe ʻo foki atu taki taha ki he fale ʻo ʻene faʻē: ke fai ʻofa ʻa Sihova kiate kimoua, ʻo hangē ko ia kuo mo fai ki he pekia, pea mo au.
08010900b1	Ke tuku ʻe Sihova ke mo ʻilo ʻae fiemālie fakatouʻosi pe ʻi he fale ʻo homo husepāniti.” Pea naʻe toki ʻuma ia kiate kinaua; pea naʻa na hiki hona leʻo, ʻo tangi.
08010a0049	Pea naʻa na pehē kiate ia, “Ko e moʻoni te ma ō mo koe ki ho kakai.
08010b00b1	Pea naʻe pehē ʻe Naomi, “ʻA ʻeku ongo taʻahine mo foki atu: ko e hā te tau ō ai mo au? He ʻoku kei toe ha tama ʻi hoku fatu, koeʻuhi ke na hoko ko homo husepāniti?
08010c00f6	Mo foki atu ʻa ʻeku ongo taʻahine, pea ʻalu ʻi homo hala: he kuo u motuʻa fau ke toe maʻu ha husepāniti. Ka ne u pehē ʻeau, ʻOku ou ʻamanaki lelei, pea ka ne maʻu ʻeau ha husepāniti he poōni foki, pea u fanauʻi ʻae tama tangata;
08010d00f3	He te mo tatali ki ai ke ʻoua ke na tupu? Te mo faʻa tatali ki ai, pea ʻoua naʻa maʻu ha husepāniti? ʻE ʻikai, ʻa ʻeku ongo taʻahine; he ʻoku ou mamahi lahi koeʻuhi ko kimoua ʻi heʻene mafao mai ʻae nima ʻo Sihova kiate au.”
08010e0086	Pea naʻa na hiki hake hona leʻo, ʻo toe tangi: pea ʻuma ʻa Opa ki heʻene faʻē ʻi he fono; ka naʻe pikitai ʻa Lute kiate ia.
08010f00aa	Pea pehē ʻe ia, “Vakai, kuo toe liu atu ʻa ho tokoua ʻi he fono ki hono kakai, pea ki hono ngaahi ʻotua: ke ke foki koe ʻo muimui atu ki ho tokoua ʻi he fono.”
080110010f	Pea naʻe pehē ʻe Lute, “ʻOua naʻa ke kole ke u liʻaki koe, pe ke u foki mei heʻeku muimui ʻiate koe: he ko e potu ʻoku ke ʻalu ki ai, te ta ō ai; pea ko e potu te ke mohe ai, te ta mohe ai: ko ho kakai ʻe hoko ko hoku kakai, pea ko ho ʻOtua ko hoku ʻOtua:
08011100b2	Ko e potu te ke mate ai, te u mate ai, pea te u tanu ʻi ai: ke fai pehē ʻe Sihova kiate au, pea lahi hake, ʻo kapau ʻe ai ha meʻa te ta māvae ai mo koe ka ko e mate pe.”
080112005e	Pea ʻi heʻene vakai ʻoku loto mālohi pe ia ke na ō mo ia, naʻe tuku ʻene kei lea ki ai.
08011300c1	Pea ko ia, naʻa na ō ai ke na hoko ki Petelihema. Pea ʻi heʻena hoko ki Petelihema, pea pehē, naʻe ngatū ʻae kolo kotoa pē koeʻuhi ko kinaua, pea nau fepehēʻaki, “Ko Naomi eni?”
080114008e	Pea naʻe pehē ʻe ia kiate kinautolu, “ʻOua naʻa ui au ko Naomi kae ui au ko Mala: he kuo fai fakamamahi lahi kiate au ʻe he Māfimafi.
08011500cf	Naʻaku ʻalu kituʻa kuo u fonu, pea kuo toe ʻomi au ʻe Sihova ki ʻapi kuo u maha: pea koeʻumaʻā hoʻomou ui au ko Naomi, he kuo tukuakiʻi au ʻe Sihova, pea kuo fakamamahiʻi au ʻe he Māfimafi?”
08011600da	Ko ia naʻe liu mai ʻa Naomi, mo Lute ko e fefine Moape, ko ʻene tama ʻi he fono naʻe haʻu mo ia, ʻaia naʻe haʻu mei he fonua ko Moape: pea naʻa na hoko ki Petelihema ʻi he kamataʻanga ʻoe ututaʻu paʻale.
0802010095	Pea naʻe ʻia Naomi ha kāinga ʻo hono husepāniti, ko e tangata koloaʻia lahi ʻaupito, ʻi he fale ʻo ʻElimeleki, pea ko hono hingoa ko Poasi.
0802020114	Pea naʻe pehē ʻe Lute ko e fefine Moape kia Naomi, “Ke ke tuku au ke u ʻalu ni ki he ngoue, pea tufi ʻae ngaahi ʻuluʻi uite ʻo muimui ʻiate ia, ʻaia te u maʻu ai ʻae fiemālie ʻi hono ʻao.” Pea naʻe pehē ʻe ia kiate ia, “ʻĀ ʻeku tama, ke ke ʻalu.”
08020300c7	Pea naʻe ʻalu ia, pea hoko ʻo tufi ʻi he ngoue ʻo muimui ʻi he kau tuʻusi: pea tā ne mālie ʻia ʻene hoko ki he potu ʻoe ngoue naʻe ʻia Poasi, ʻaia naʻe ʻi he kāinga ʻo ʻElimeleki.
08020400ba	Pea, vakai, naʻe haʻu ʻa Poasi mei Petelihema, ʻo ne pehē ki he kau tuʻusi, “Ke ʻiate kimoutolu ʻa Sihova.” Pea naʻa nau tali ia ʻo pehē, “Ke tāpuaki koe ʻe Sihova.”
0802050072	Pea naʻe pehē ʻe Poasi ki heʻene tamaioʻeiki naʻe fakanofo ki he kau tuʻusi, “Ko e fefine ʻo hai eni?”
0802060095	Pea leaange ʻe he tamaioʻeiki naʻe fakanofo ki he kau tuʻusi ʻo ne pehē, “Ko e fefine Moape ia naʻe haʻu mo Naomi mei he fonua ko Moape:”
0802070120	Pea naʻe pehē ʻe ia, “ʻOku ou kole kiate kimoutolu, tuku au ke u tufi ʻo tānaki muimui ʻi he kau tuʻusi ʻi he lotolotonga ʻoe ngaahi ū: ko ia naʻe haʻu ai ia, pea kuo ne fai maʻuaipē ia, talu mei he pongipongi ki he feituʻulaʻā ni kuo ne afe siʻi pe ia ki he fale.”
08020800da	Pea naʻe pehē ai ʻe Poasi kia Lute, “ʻE hoku ʻofefine, ʻoku ʻikai te ke fanongo? ʻOua naʻa ke ʻalu ki ha ngoue kehe ke tufi, pea ʻoua naʻa ke ʻalu mei heni, ka ke nofomaʻu pe ʻo ofi ki hoku kau fefine:
080209010e	Ke ke sio pe ki he ngoue ʻoku nau tuʻusi, pea ke muimui ʻiate kinautolu: ʻikai kuo ʻosi ʻeku fekau ki he kau talavou ke ʻoua naʻa nau ala kiate koe? Pea ʻoka ke ka fieinu, ʻalu ki he ngaahi ʻaiʻanga inu ʻo inu, pea inu ʻaia kuo ʻutu ʻe he kau talavou.”
08020a00c8	Pea naʻe tōmapeʻe ia ki hono mata, pea punou ia ki he kelekele, ʻo ne pehē kiate ia, “Ko e hā kuo u ʻilo ai ʻae ʻofa ʻi ho ʻao, koeʻuhi ke ke fie tokanga ai kiate au, he ko e muli au?”
08020b013f	Pea naʻe tali ʻe Poasi ʻo ne pehē kiate ia, “Kuo fakahā ʻo lahi kiate au, ʻaia kotoa pē kuo ke fai ki hoʻo faʻē ʻi he fono, talu ʻae pekia ʻa ho husepāniti: pea mo hoʻo liʻaki hoʻo tamai mo hoʻo faʻē, pea mo e fonua naʻa ke tupu ai, pea kuo ke haʻu ki ha kakai naʻe ʻikai te ke tomuʻa ʻilo.
08020c00b3	Ke totongi ʻe Sihova ʻa hoʻo ngāue, pea ke foaki kiate koe ʻe Sihova ko e ʻOtua ʻo ʻIsileli ʻae totongi lahi, ʻaia ko e kapakau ʻoʻona kuo ke haʻu ke falala ki ai.”
08020d00e5	Pea naʻe pehē ʻe ia, “Tuku ke u ʻilo ʻae ʻofa ʻi he ʻao ʻo hoku ʻeiki; he kuo ke fakafiemālieʻi au, pea kuo tau hoʻo lea ki he loto ʻo hoʻo kaunanga, neongo ʻoku ʻikai te u hangē ha taha ʻi hoʻo kaunanga.”
08020e0116	Pea naʻe pehē ʻe Poasi kiate ia, ʻI he feituʻulaʻā kai ke ke haʻu ki heni, “Pea kai ʻi he mā, pea peke hoʻo konga mā ʻi he vaimahi.” Pea naʻe nofo ofi ia ki he kau tuʻusi: pea naʻa ne ʻatu kiate ia ʻae uite tunu, pea kai ʻe ia, pea mākona, pea naʻe toe.
08020f00ae	Pea ʻi heʻene tuʻu hake ke tufi, naʻe fekau ʻe Poasi ki heʻene kau talavou, ʻo pehē, “Tuku ia ke tufi ʻi he lotolotonga ʻoe ngaahi ū, pea ʻoua naʻa fakamā ia:
0802100089	pea tuku ke ngangana ʻae ngaahi faluku koeʻuhi ke ne maʻu ia, pea tuku ai pe ia, koeʻuhi ke ne tufi ia, pea ʻoua naʻa valoki ia.”
080211008d	Ko ia ne tufi ai ia ʻi he ngoue ko ia ʻo aʻu ki he efiafi pea naʻe tuki ʻe ia ʻaia kuo ne tufi: pea ko e efa nai ʻe taha ʻoe paʻale.
08021200d1	Pea naʻa ne toʻo hake ia, ʻo ʻalu ki he kolo: pea naʻe mamata ʻene faʻē ʻi he fono ki he meʻa naʻa ne tufi: pea ne ʻomi ia ʻo ʻatu ia kiate ia, ʻaia naʻa ne fakatoe, hili ʻene kai ʻo mākona.
080213015b	Pea naʻe pehē ʻe heʻene faʻē ʻi he fono kiate ia, “Naʻa ke tufi ki fē he ʻaho ni? Pea naʻa ke ngāue ki fē koe?” Ke monūʻia pe ia ʻaia naʻa ne tokangaʻi koe. Pea naʻa ne fakahā ki heʻene faʻē ʻi he fono ʻaia naʻa ne ngāue mo ia, ʻo ne pehē, “Ko e tangata naʻaku ngāue ʻi ai he ʻaho ni ko Poasi hono hingoa.”
0802140128	Pea naʻe pehē ʻe Naomi ki heʻene tama ʻi he fono, “Ke monūʻia pe ia ʻia Sihova, ʻaia ʻoku ʻikai tuku ʻene fai angaʻofa ki he moʻui, pea mo e mate.” Pea naʻe pehē ʻe Naomi kiate ia, “Ko e tangata kāinga ofi ia kiate kitaua, ko e tokotaha ʻo hota kāinga ʻoku ofi lahi.”
08021500b4	Pea naʻe pehē ʻe Lute ko e fefine Moape, naʻa ne pehē foki kiate au, “Ke ke fai maʻu pe ke ofi ki heʻeku kau talavou, ke ʻoua ke ʻosi ʻeku tuʻusi ʻeku taʻu kotoa.”
08021600d5	Pea naʻe pehē ʻe Naomi kia Lute ko ʻene tama ʻi he fono, “ʻA ʻeku tama, ʻOku lelei ia, koeʻuhi ke ke ʻalu kituʻa mo ʻene kau kaunanga, koeʻuhi ke ʻoua naʻa ʻilo koe ʻi ha ngoue kehe ʻe taha.”
08021700bc	Ko ia naʻe ʻalu maʻu pe ia mo e kau kaunanga ʻa Poasi, ke fai ʻene tufi ke ʻoua ke hili ʻae fetuku ʻae taʻu paʻale mo e taʻu uite: pea naʻe nofo ia mo ʻene faʻē ʻi he fono.
08030100a4	Pea pehē ʻe Naomi ko ʻene faʻē ʻi he fono kiate ia, “ʻA ʻeku tama, ʻikai ʻoku lelei ʻeku kumi ʻae fiemālie kiate koe, koeʻuhi ke lelei ai kiate koe?
080302009e	Pea ko eni, ʻikai ko hota kāinga ʻa Poasi, ʻae kau kaunanga ʻoʻona naʻa ke ʻi ai? Vakai, ʻoku tapili paʻale ʻe ia he poōni ʻi he potu hahaʻanga.
08030300ce	Ko ia ke ke kaukauʻi koe, pea ke tākai koe, pea ʻai ho ngaahi kofu kiate koe, pea ke ʻalu hifo ki he potu hahaʻanga: kaeʻoua naʻa ke fakahā atu koe ki he tangata, kaeʻoua ke ʻosi ʻene kai mo inu.
08030400d7	Pea ka tokoto hifo ia, pea ʻe pehē, Ke ke vakai ki he potu ʻaia ʻoku tokoto ai ia, pea ke ʻalu ki ai, pea toʻo ʻae kafu mei hono vaʻe, pea ke tokoto hifo; pea ʻe fakahā ʻe ia kiate koe ʻaia te ke fai.”
0803050059	Pea pehē ʻe ia kiate ia, “Ko e meʻa kotoa pē ʻoku ke tala kiate au te u fai ia.”
0803060089	Pea naʻe ʻalu hifo ia ki he potu hahaʻanga, pea ne fai ʻo hangē ko ia kotoa pē naʻe fekau ʻe heʻene faʻē ʻi he fono kiate ia.
