0100000018	ഉല്പത്തി
022401019c	ബെസലേലും, ഒഹൊലിയാബും, യഹോവ ജ്ഞാനവും ബുദ്ധിയും നല്കിയ സകലജ്ഞാനികളും, വിശുദ്ധമന്ദിരത്തിലെ ശുശ്രൂഷയ്ക്ക് യഹോവ കല്പിച്ചതുപോലെ സകലപ്രവൃത്തികളും ചെയ്യേണം.
02240201ba	അങ്ങനെ മോശെ ബെസലേലിനെയും ഒഹൊലിയാബിനെയും യഹോവ മനസ്സിൽ ജ്ഞാനം നല്കിയിരുന്ന എല്ലാവരെയും പ്രവൃത്തിയിൽ ചേരുവാൻ മനസ്സിൽ ഉത്സാഹം തോന്നിയ എല്ലാവരെയും വിളിച്ചുവരുത്തി.
022403023b	വിശുദ്ധമന്ദിരത്തിലെ ശുശ്രൂഷയുടെ പ്രവൃത്തി ചെയ്യുവാൻ യിസ്രായേൽ മക്കൾ കൊണ്ടുവന്ന വഴിപാട് ഒക്കെയും അവർ മോശെയുടെ പക്കൽനിന്ന് വാങ്ങി; എന്നാൽ അവർ പിന്നെയും രാവിലെതോറും സ്വമേധാദാനങ്ങൾ അവന്‍റെ അടുക്കൽ കൊണ്ടുവന്നു.
0224040153	അപ്പോൾ വിശുദ്ധമന്ദിരത്തിന്‍റെ പണിയിൽ ഏർപ്പെട്ടിരുന്ന ജ്ഞാനികൾ എല്ലാവരും അവർ ചെയ്തുകൊണ്ടിരുന്ന പണി നിർത്തി വന്ന് മോശെയോട്:
02240500f3	“യഹോവ ചെയ്യുവാൻ കല്പിച്ച ശുശ്രൂഷയ്ക്ക് വേണ്ടതിലധികമായി ജനം കൊണ്ടുവരുന്നു” എന്നു പറഞ്ഞു.
0224060242	അതിന് മോശെ: “പുരുഷന്മാരാകട്ടെ സ്ത്രീകളാകട്ടെ വിശുദ്ധമന്ദിരത്തിന്‍റെ ശുശ്രൂഷയുടെ ആവശ്യത്തിന് ഇനി വഴിപാട് കൊണ്ടുവരേണ്ട” എന്നു കല്പിച്ചു; അവർ അത് പാളയത്തിൽ പ്രസിദ്ധമാക്കി. അങ്ങനെ ജനം കൊണ്ടുവരുന്നത് നിർത്തിവച്ചു.
02240700e9	കൊണ്ടുവന്ന സാമാനങ്ങൾ സകല പ്രവൃത്തിയും ചെയ്യുവാൻ വേണ്ടുവോളവും അധികവും ഉണ്ടായിരുന്നു.
022408022a	പണി ചെയ്യുന്നവരിൽ ജ്ഞാനികളായ എല്ലാവരും പഞ്ഞിനൂൽ, ധൂമ്രനൂൽ, ചുവപ്പുനൂൽ എന്നിവകൊണ്ടുള്ള പത്തു മൂടുശീലകൊണ്ട് തിരുനിവാസം ഉണ്ടാക്കി; നെയ്ത്തുകാരന്‍റെ ചിത്രപ്പണിയായ കെരൂബുകൾ മൂടുശീലകളിൽ ഉണ്ടാക്കിയിരുന്നു.
0224090141	ഓരോ മൂടുശീലയ്ക്കും ഇരുപത്തെട്ട് മുഴം നീളവും നാലു മുഴം വീതിയും ഉണ്ടായിരുന്നു; എല്ലാ മൂടുശീലകൾക്കും ഒരേ അളവ് ആയിരുന്നു.
02240a0103	അഞ്ചു മൂടുശീലകൾ ഒന്നോടൊന്ന് ബന്ധിപ്പിച്ചു; മറ്റെ അഞ്ചു മൂടുശീലകളും ഒന്നോടൊന്ന് ബന്ധിപ്പിച്ചു.
02240b0223	അങ്ങനെ ബന്ധിപ്പിച്ചുണ്ടാക്കിയ ഒന്നാമത്തെ വിരിയുടെ അറ്റത്തുള്ള മൂടുശീലയുടെ വിളുമ്പിൽ നീലനൂൽകൊണ്ട് കണ്ണികൾ ഉണ്ടാക്കി; രണ്ടാമത്തെ വിരിയുടെ അറ്റത്തുള്ള മൂടുശീലയുടെ വിളുമ്പിലും അങ്ങനെ തന്നെ ഉണ്ടാക്കി.
02240c019b	ഒരു മൂടുശീലയിൽ അമ്പത് കണ്ണികൾ ഉണ്ടാക്കി; രണ്ടാമത്തെ വിരിയുടെ പുറത്തെ മൂടുശീലയുടെ വിളുമ്പിലും അമ്പത് കണ്ണികൾ ഉണ്ടാക്കി; കണ്ണികൾ നേർക്കുനേരെ ആയിരുന്നു.
02240d0174	അവൻ പൊന്നുകൊണ്ട് അമ്പത് കൊളുത്തുകളും ഉണ്ടാക്കി; കൊളുത്തുകൊണ്ട് മൂടുശീലകൾ ഒന്നോടൊന്ന് ബന്ധിപ്പിച്ചു; അങ്ങനെ തിരുനിവാസം ഒന്നായി തീർന്നു.
02240e0129	തിരുനിവാസത്തിന്മേൽ മൂടുവിരിയായി കോലാട്ടുരോമംകൊണ്ടുള്ള മൂടുശീലകൾ ഉണ്ടാക്കി, പതിനൊന്ന് മൂടുശീലകൾ ഉണ്ടാക്കി.
02240f0138	ഓരോ മൂടുശീലയ്ക്കും മുപ്പതു മുഴം നീളവും നാലു മുഴം വീതിയും ഉണ്ടായിരുന്നു; മൂടുശീല പതിനൊന്നിന്നും ഒരേ അളവ് ആയിരുന്നു.
02241000aa	അവൻ അഞ്ചു മൂടുശീല ഒന്നായും ആറു മൂടുശീല ഒന്നായും ബന്ധിപ്പിച്ചു.
0224110200	ഇങ്ങനെ ബന്ധിപ്പിച്ചുണ്ടാക്കിയ ഒന്നാമത്തെ വിരിയുടെ അറ്റത്തുള്ള മൂടുശീലയുടെ വിളുമ്പിൽ അമ്പത് കണ്ണികളും രണ്ടാമത്തെ വിരിയുടെ അറ്റത്തുള്ള മൂടുശീലയുടെ വിളുമ്പിൽ അമ്പത് കണ്ണികളും ഉണ്ടാക്കി.
0224120104	കൂടാരം ഒന്നായിരിക്കേണ്ടതിന് അത് ബന്ധിപ്പിക്കുവാൻ താമ്രംകൊണ്ട് അമ്പത് കൊളുത്തുകളും ഉണ്ടാക്കി.
0224130147	ചുവപ്പിച്ച ആട്ടുകൊറ്റന്തോൽകൊണ്ട് കൂടാരത്തിന് ഒരു പുറമൂടിയും അതിന്‍റെ മീതെ തഹശുതോൽകൊണ്ട് ഒരു പുറമൂടിയും അവൻ ഉണ്ടാക്കി.
02241400b7	ഖദിരമരംകൊണ്ട് തിരുനിവാസത്തിന് നേരെ നില്ക്കുന്ന പലകകളും ഉണ്ടാക്കി.
02241500b3	ഓരോ പലകയ്ക്കും പത്തുമുഴം നീളവും ഒന്നര മുഴം വീതിയും ഉണ്ടായിരുന്നു.
0224160151	ഓരോ പലകയ്ക്കും തമ്മിൽ ചേർന്നിരിക്കുന്ന രണ്ടു കുടുമകൾ ഉണ്ടായിരുന്നു; ഇങ്ങനെ തിരുനിവാസത്തിന്‍റെ എല്ലാ പലകയ്ക്കും ഉണ്ടാക്കി.
02241700a8	അവൻ തിരുനിവാസത്തിനായി തെക്കുവശത്തേക്ക് ഇരുപതു പലക ഉണ്ടാക്കി.
02241801ee	ഒരു പലകയുടെ അടിയിൽ രണ്ടു കുടുമയ്ക്ക് രണ്ടു ചുവടും മറ്റൊരു പലകയുടെ അടിയിൽ രണ്ടു കുടുമയ്ക്ക് രണ്ടു ചുവടും ഇങ്ങനെ ഇരുപതു പലകകളുടെയും അടിയിൽ വെള്ളികൊണ്ട് നാല്പത് ചുവടുകൾ അവൻ ഉണ്ടാക്കി.
02241900c9	തിരുനിവാസത്തിന്‍റെ മറുപുറത്ത് വടക്കുവശത്തേക്കും ഇരുപതു പലകകൾ ഉണ്ടാക്കി.
02241a0144	ഒരു പലകയുടെ അടിയിൽ രണ്ടു ചുവടും മറ്റൊരു പലകയുടെ അടിയിൽ രണ്ടു ചുവടും ഇങ്ങനെ അവയ്ക്ക് നാല്പത് വെള്ളിച്ചുവടുകൾ ഉണ്ടാക്കി.
02241b00a8	തിരുനിവാസത്തിന്‍റെ പടിഞ്ഞാറെ വശത്തേക്ക് ആറു പലകകൾ ഉണ്ടാക്കി.
02241c00c0	തിരുനിവാസത്തിന്‍റെ ഇരുവശത്തുമുള്ള കോണുകൾക്ക് ഈരണ്ടു പലകകൾ ഉണ്ടാക്കി.
02241d014b	അവ താഴെ രണ്ടായും മേലറ്റത്ത് ഒന്നാമത്തെ വളയംവരെ തമ്മിൽ ചേർന്ന് ഒറ്റയായും ഇരുന്നു. രണ്ടു മൂലയിലുള്ള രണ്ടിനും അങ്ങനെ ചെയ്തു.
02241e010b	ഇങ്ങനെ എട്ട് പലകകളും ഓരോ പലകയുടെ അടിയിൽ രണ്ടു ചുവട് വീതം പതിനാറു വെള്ളിച്ചുവടുകളും ഉണ്ടായിരുന്നു.
02241f0113	അവൻ ഖദിരമരംകൊണ്ട് അന്താഴങ്ങളും ഉണ്ടാക്കി; തിരുനിവാസത്തിന്‍റെ ഒരു വശത്തെ പലകയ്ക്ക് അഞ്ചു അന്താഴങ്ങൾ;
022420016f	തിരുനിവാസത്തിന്‍റെ മറുവശത്തെ പലകയ്ക്ക് അഞ്ചു അന്താഴങ്ങൾ; തിരുനിവാസത്തിന്‍റെ പടിഞ്ഞാറെ ഭാഗത്ത് പിൻവശത്തെ പലകയ്ക്ക് അഞ്ചു അന്താഴങ്ങൾ.
022421011d	നടുവിലത്തെ അന്താഴം പലകയുടെ ഒത്ത നടുവിൽ ഒരു അറ്റത്തുനിന്ന് മറ്റെ അറ്റംവരെ ചെല്ലുവാൻ തക്കവണ്ണം ഉണ്ടാക്കി.
0224220143	പലകകൾ പൊന്നുകൊണ്ട് പൊതിഞ്ഞു; അന്താഴം ഇടുവാനുള്ള അവയുടെ വളയങ്ങൾ പൊന്നുകൊണ്ട് ഉണ്ടാക്കി, അന്താഴം പൊന്നുകൊണ്ട് പൊതിഞ്ഞു.
02242301a6	നീലനൂൽ, ധൂമ്രനൂൽ, ചുവപ്പുനൂൽ, പഞ്ഞിനൂൽ എന്നിവകൊണ്ട് അവൻ ഒരു തിരശ്ശീലയും ഉണ്ടാക്കി: നെയ്ത്തുകാരന്‍റെ ചിത്രപ്പണിയായ കെരൂബുകൾ അവയിൽ ഉള്ളതായി അതിനെ ഉണ്ടാക്കി.
02242401b1	അതിന് ഖദിരമരംകൊണ്ട് നാലു തൂണുകളും ഉണ്ടാക്കി, പൊന്നുകൊണ്ട് പൊതിഞ്ഞു; അവയുടെ കൊളുത്തുകൾ പൊന്നുകൊണ്ട് ആയിരുന്നു; അവയ്ക്ക് വെള്ളികൊണ്ട് നാലു ചുവടുകൾ വാർപ്പിച്ചു.
0224250151	കൂടാരത്തിന്‍റെ വാതിലിന് നീലനൂൽ, ധൂമ്രനൂൽ, ചുവപ്പുനൂൽ, പഞ്ഞിനൂൽ എന്നിവകൊണ്ട് ചിത്രത്തയ്യൽക്കാരൻ്റെ പണിയുള്ള ഒരു മറശ്ശീലയും
02242601b7	അതിന് അഞ്ചു തൂണുകളും അവയ്ക്ക് കൊളുത്തും ഉണ്ടാക്കി; അവയുടെ കുമിഴുകളും മേൽചുറ്റുപടികളും പൊന്നുകൊണ്ട് പൊതിഞ്ഞു; എന്നാൽ അവയുടെ ചുവട് അഞ്ചും താമ്രംകൊണ്ട് ആയിരുന്നു.
0225010138	ബെസലേൽ ഖദിരമരംകൊണ്ട് പെട്ടകം ഉണ്ടാക്കി. അതിന് രണ്ടരമുഴം നീളവും ഒന്നര മുഴം വീതിയും ഒന്നര മുഴം ഉയരവും ഉണ്ടായിരുന്നു.
02250200fc	അതിന്‍റെ അകവും പുറവും പൊന്നുകൊണ്ട് പൊതിഞ്ഞു, അതിന് ചുറ്റും പൊന്നുകൊണ്ട് ഒരു വക്ക് ഉണ്ടാക്കി.
0225030127	അതിന്‍റെ നാലു കാലിനും ഇപ്പുറത്ത് രണ്ടു വളയങ്ങൾ അപ്പുറത്ത് രണ്ടു വളയങ്ങൾ ഇങ്ങനെ നാലു പൊൻവളയങ്ങൾ വാർപ്പിച്ചു.
02250400a2	അവൻ ഖദിരമരംകൊണ്ട് തണ്ടുകൾ ഉണ്ടാക്കി പൊന്നുകൊണ്ട് പൊതിഞ്ഞു.
02250500e9	പെട്ടകം ചുമക്കേണ്ടതിന് ആ തണ്ട് പെട്ടകത്തിന്‍റെ പാർശ്വങ്ങളിലുള്ള വളയങ്ങളിൽ ചെലുത്തി.
02250600fa	അവൻ തങ്കംകൊണ്ട് കൃപാസനം ഉണ്ടാക്കി; അതിന് രണ്ടര മുഴം നീളവും ഒന്നര മുഴം വീതിയും ഉണ്ടായിരുന്നു.
0225070122	അവൻ പൊന്നുകൊണ്ട് രണ്ടു കെരൂബുകളെ ഉണ്ടാക്കി കൃപാസനത്തിൻ്റെ രണ്ടു അറ്റത്തും അവയെ അടിപ്പുപണിയായി ഉണ്ടാക്കി.
022508017f	ഒരു കെരൂബ് ഒരു അറ്റത്തും മറ്റെ കെരൂബ് മറ്റെ അറ്റത്തും ഇങ്ങനെ കെരൂബുകളെ കൃപാസനത്തിൻ്റെ രണ്ടു അറ്റത്തും അതിൽനിന്ന് തന്നെ ഉള്ളവയായി ഉണ്ടാക്കി.
022509019f	കെരൂബുകൾ മുകളിലേക്ക് ചിറക് വിടർത്തി ചിറകുകൊണ്ട് കൃപാസനത്തെ മൂടുകയും തമ്മിൽ അഭിമുഖമായിരിക്കുകയും ചെയ്തു; കെരൂബുകളുടെ മുഖം കൃപാസനത്തിന് നേരെ ആയിരുന്നു.
02250a011e	അവൻ ഖദിരമരംകൊണ്ട് മേശ ഉണ്ടാക്കി. അതിന് രണ്ടു മുഴം നീളവും ഒരു മുഴം വീതിയും ഒന്നര മുഴം ഉയരവും ഉണ്ടായിരുന്നു.
02250b00b6	അത് തങ്കംകൊണ്ട് പൊതിഞ്ഞ് ചുറ്റും പൊന്നുകൊണ്ട് ഒരു വക്ക് ഉണ്ടാക്കി.
02250c0129	അതിന് ചുറ്റും നാലു വിരൽ വീതിയുള്ള ഒരു ചട്ടവും ഉണ്ടാക്കി. ചട്ടത്തിന് ചുറ്റും പൊന്നുകൊണ്ട് ഒരു വക്ക് ഉണ്ടാക്കി.
02250d00b7	അതിന് നാലു പൊൻവളയം വാർത്ത് നാലു കാലിൻ്റെയും ഓരോ പാർശ്വത്തിൽ തറച്ചു.
02250e00bb	മേശ ചുമക്കേണ്ടതിന് തണ്ടുകൾ ഇടുവാൻ വളയങ്ങൾ ചട്ടത്തോട് ചേർന്നിരുന്നു.
02250f00d6	മേശ ചുമക്കേണ്ടതിനുള്ള തണ്ടുകൾ ഖദിരമരംകൊണ്ട് ഉണ്ടാക്കി പൊന്നുകൊണ്ട് പൊതിഞ്ഞു.
0225100130	മേശമേലുള്ള ഉപകരണങ്ങളായ തളികകളും കരണ്ടികളും കിണ്ടികളും പകരുവാൻ ഉപയോഗിക്കുന്ന കുടങ്ങളും തങ്കംകൊണ്ട് ഉണ്ടാക്കി.
02251101b3	അവൻ തങ്കംകൊണ്ട് നിലവിളക്ക് ഉണ്ടാക്കി; വിളക്ക് അടിപ്പുപണിയായി ഉണ്ടാക്കി; അതിന്‍റെ ചുവടും തണ്ടും പുഷ്പപുടങ്ങളും മൊട്ടുകളും പൂക്കളും അതിൽനിന്ന് തന്നെ ആയിരുന്നു.
0225120187	നിലവിളക്കിൻ്റെ ഒരു വശത്തുനിന്ന് മൂന്നു ശാഖകൾ, അതിന്‍റെ മറ്റെ വശത്ത് നിന്നും മൂന്നു ശാഖകൾ, ഇങ്ങനെ ആറു ശാഖകൾ അതിന്‍റെ വശങ്ങളിൽനിന്ന് പുറപ്പെട്ടു.
0225130231	ഒരു ശാഖയിൽ ഓരോ മൊട്ടും ഓരോ പൂവുമായി ബദാംപൂപോലെ മൂന്നു പുഷ്പപുടവും മറ്റൊരു ശാഖയിൽ ഓരോ മൊട്ടും ഓരോ പൂവുമായി ബദാംപൂപോലെ മൂന്നു പുഷ്പപുടങ്ങളും ഇങ്ങനെ നിലവിളക്കിൽനിന്ന് പുറപ്പെട്ട ആറു ശാഖകളിലും ഉണ്ടായിരുന്നു.
02251400e8	വിളക്കുതണ്ടിൽ മൊട്ടുകളും പൂക്കളുമായി ബദാംപൂപോലെ നാലു പുഷ്പപുടങ്ങളും ഉണ്ടായിരുന്നു.
0225150248	അതിൽനിന്നുള്ള രണ്ടു ശാഖയ്ക്ക് കീഴെ ഒരു മൊട്ടും, അതിൽനിന്നുള്ള മറ്റെ രണ്ടു ശാഖയ്ക്ക് കീഴെ ഒരു മൊട്ടും, അതിൽനിന്നുള്ള ശേഷം രണ്ടു ശാഖയ്ക്ക് കീഴെ ഒരു മൊട്ടും, ഇങ്ങനെ അതിൽനിന്ന് പുറപ്പെടുന്ന ആറു ശാഖകളിലും ഉണ്ടായിരുന്നു.
0225160119	മൊട്ടുകളും ശാഖകളും അതിൽനിന്ന് തന്നെ ആയിരുന്നു; അത് മുഴുവനും തങ്കംകൊണ്ടുള്ള ഒറ്റ അടിപ്പുപണിയായിരുന്നു.
02251700f9	അവൻ അതിന്‍റെ ഏഴു ദീപങ്ങളും അതിന്‍റെ ചവണകളും കരിന്തിരിപ്പാത്രങ്ങളും തങ്കംകൊണ്ട് ഉണ്ടാക്കി.
02251800c2	ഒരു താലന്തു തങ്കംകൊണ്ട് അവൻ അതും അതിന്‍റെ ഉപകരണങ്ങളൊക്കെയും ഉണ്ടാക്കി.
02251901e0	അവൻ ഖദിരമരംകൊണ്ട് ധൂപപീഠം ഉണ്ടാക്കി; അത് ഒരു മുഴം നീളവും ഒരു മുഴം വീതിയും ഇങ്ങനെ സമചതുരം ആയിരുന്നു. അതിന് ഉയരം രണ്ടു മുഴം ആയിരുന്നു. അതിന്‍റെ കൊമ്പുകൾ അതിൽനിന്ന് തന്നെ ആയിരുന്നു.
02251a0169	അവൻ അതും അതിന്‍റെ മേല്പലകയും അതിന്‍റെ പാർശ്വങ്ങളും കൊമ്പുകളും തങ്കംകൊണ്ട് പൊതിഞ്ഞു; അതിന് ചുറ്റും പൊന്നുകൊണ്ട് ഒരു വക്ക് ഉണ്ടാക്കി.
02251b0124	അത് ചുമക്കേണ്ടതിന് തണ്ട് ചെലുത്തുവാൻ വക്കിന് കീഴെ രണ്ടു പാർശ്വത്തിലുള്ള ഓരോ കോണിലും ഓരോ പൊൻവളയം ഉണ്ടാക്കി.
02251c009e	ഖദിരമരംകൊണ്ട് തണ്ടുകളും ഉണ്ടാക്കി പൊന്നുകൊണ്ട് പൊതിഞ്ഞു.
02251d011e	അവൻ വിശുദ്ധമായ അഭിഷേകതൈലവും നല്ല സുഗന്ധമുള്ള നിർമ്മല ധൂപവർഗ്ഗവും തൈലക്കാരന്‍റെ വിദ്യപ്രകാരം ഉണ്ടാക്കി.
022601017c	അവൻ ഖദിരമരംകൊണ്ട് ഹോമയാഗപീഠം ഉണ്ടാക്കി; അത് അഞ്ചു മുഴം നീളവും അഞ്ചു മുഴം വീതിയും ഉള്ള സമചതുരമായിരുന്നു. അതിന്‍റെ ഉയരം മൂന്നു മുഴം ആയിരുന്നു.
0226020126	അതിന്‍റെ നാലു കോണിലും നാലു കൊമ്പ് ഉണ്ടാക്കി; കൊമ്പുകൾ അതിൽനിന്ന് തന്നെ ആയിരുന്നു. താമ്രംകൊണ്ട് അത് പൊതിഞ്ഞു.
0226030184	ചട്ടി, ചട്ടുകം, കലശം, മുൾകൊളുത്ത്, തീക്കലശം ഇങ്ങനെ പീഠത്തിന്‍റെ ഉപകരണങ്ങളൊക്കെയും ഉണ്ടാക്കി; അതിന്‍റെ ഉപകരണങ്ങൾ എല്ലാം താമ്രംകൊണ്ട് ഉണ്ടാക്കി.
022604013b	അവൻ യാഗപീഠത്തിന് വലപ്പണിയായ ഒരു താമ്രജാലം ഉണ്ടാക്കി; അത് താഴെ അതിന്‍റെ ചുറ്റുപടിക്ക് കീഴെ അതിന്‍റെ പകുതിയോളം എത്തി.
02260500b6	താമ്രജാലത്തിന്‍റെ നാലു അറ്റത്തിനും തണ്ട് ഇടുവാൻ നാലു വളയം വാർത്തു.
0226060098	ഖദിരമരംകൊണ്ട് തണ്ടുകൾ ഉണ്ടാക്കി താമ്രംകൊണ്ട് പൊതിഞ്ഞു.
022607013f	യാഗപീഠം ചുമക്കേണ്ടതിന് അതിന്‍റെ പാർശ്വങ്ങളിലുള്ള വളയങ്ങളിൽ ആ തണ്ടുകൾ കടത്തി; യാഗപീഠം പലകകൊണ്ട് പൊള്ളയായി ഉണ്ടാക്കി.
022608016e	സമാഗമനകൂടാരത്തിന്‍റെ വാതില്ക്കൽ സേവ ചെയ്തുവന്ന സ്ത്രീകളുടെ ദർപ്പണങ്ങൾ കൊണ്ടു അവൻ താമ്രത്തൊട്ടിയും അതിന്‍റെ താമ്രക്കാലും ഉണ്ടാക്കി.
0226090136	അവൻ പ്രാകാരവും ഉണ്ടാക്കി; തെക്കുവശത്തെ പ്രാകാരത്തിന് പിരിച്ച പഞ്ഞിനൂൽ കൊണ്ടുള്ള നൂറ് മുഴം മറശ്ശീല ഉണ്ടായിരുന്നു.
02260a0154	അതിന് ഇരുപതു തൂണുകളും തൂണുകൾക്ക് ഇരുപതു താമ്രച്ചുവടും ഉണ്ടായിരുന്നു. തൂണുകളുടെ കൊളുത്തും മേൽചുറ്റുപടിയും വെള്ളി ആയിരുന്നു.
02260b01a9	വടക്കുവശത്ത് നൂറ് മുഴം മറശ്ശീലയും അതിന് ഇരുപതു തൂണും തൂണുകൾക്ക് ഇരുപതു താമ്രച്ചുവടും ഉണ്ടായിരുന്നു; തൂണുകളുടെ കൊളുത്തും മേൽചുറ്റുപടിയും വെള്ളി ആയിരുന്നു.
02260c019d	പടിഞ്ഞാറുവശത്ത് അമ്പത് മുഴം മറശ്ശീലയും അതിന് പത്തു തൂണും തൂണുകൾക്ക് പത്തു ചുവടും ഉണ്ടായിരുന്നു; തൂണുകളുടെ കൊളുത്തും മേൽചുറ്റുപടിയും വെള്ളി ആയിരുന്നു.
02260d007a	കിഴക്കുവശത്ത് മറശ്ശീല അമ്പത് മുഴം ആയിരുന്നു.
02260e0124	വാതിലിന്‍റെ ഒരു വശത്ത് മറശ്ശീല പതിനഞ്ചു മുഴവും അതിന് മൂന്നു തൂണും അവയ്ക്ക് മൂന്നു ചുവടുകളും ഉണ്ടായിരുന്നു.
02260f01cb	മറ്റെവശത്തും അങ്ങനെ തന്നെ; ഇങ്ങനെ പ്രാകാരവാതിലിൻ്റെ ഇപ്പുറത്തും അപ്പുറത്തും പതിനഞ്ചു മുഴം മറശ്ശീലയും അവയ്ക്ക് മൂന്നു തൂണുകളും തൂണുകൾക്ക് മൂന്നു ചുവടും ഉണ്ടായിരുന്നു.
02261000d3	ചുറ്റും പ്രാകാരത്തിന്‍റെ മറശ്ശീല ഒക്കെയും പിരിച്ച പഞ്ഞിനൂൽകൊണ്ട് ആയിരുന്നു.
0226110219	തൂണുകൾക്കുള്ള ചുവട് താമ്രംകൊണ്ടും തൂണുകളുടെ കൊളുത്തും മേൽചുറ്റുപടിയും വെള്ളികൊണ്ടും കുമിഴുകൾ വെള്ളിപൊതിഞ്ഞവയും പ്രാകാരത്തിന്‍റെ തൂണുകൾ ഒക്കെയും വെള്ളികൊണ്ട് മേൽചുറ്റുപടിയുള്ളവയും ആയിരുന്നു.
02261201fb	എന്നാൽ പ്രാകാരവാതിലിൻ്റെ മറശ്ശീല നീലനൂൽ, ധൂമ്രനൂൽ, ചുവപ്പുനൂൽ, പിരിച്ച പഞ്ഞിനൂൽ എന്നിവകൊണ്ട് ചിത്രത്തയ്യൽപണി ആയിരുന്നു; അതിന്‍റെ നീളം ഇരുപതു മുഴവും അതിന്‍റെ ഉയരം അഞ്ചു മുഴവും ആയിരുന്നു.
0226130165	അതിന്‍റെ തൂണ് നാലും അവയുടെ ചുവട് നാലും താമ്രമായിരുന്നു; കൊളുത്തും കുമിഴുകൾ പൊതിഞ്ഞിരുന്ന തകിടും മേൽചുറ്റുപടിയും വെള്ളി ആയിരുന്നു.
02261400e3	തിരുനിവാസത്തിനും പ്രാകാരത്തിനും നാലു പുറവുമുള്ള കുറ്റികൾ എല്ലാം താമ്രം ആയിരുന്നു.
02261501d2	മോശെയുടെ കല്പന അനുസരിച്ച് പുരോഹിതനായ അഹരോന്‍റെ മകൻ ഈഥാമാർ മുഖാന്തരം ലേവ്യരുടെ ശുശ്രൂഷയാൽ കണക്ക് കൂട്ടിയതുപോലെ സാക്ഷ്യകൂടാരമെന്ന തിരുനിവാസത്തിനുണ്ടായ ചെലവ് എന്തെന്നാൽ:
0226160106	യെഹൂദാഗോത്രത്തിൽ ഹൂരിന്‍റെ മകനായ ഊരിയുടെ മകൻ ബെസലേൽ മോശെയോട് യഹോവ കല്പിച്ചതൊക്കെയും ഉണ്ടാക്കി.
022617021f	അവനോടുകൂടെ ദാൻഗോത്രത്തിൽ അഹീസാമാക്കിൻ്റെ മകനായി കൊത്തുപണിക്കാരനും കൌശലപ്പണിക്കാരനും നീലനൂൽ, ധൂമ്രനൂൽ, ചുവപ്പുനൂൽ, പഞ്ഞിനൂൽ എന്നിവകൊണ്ട് ചിത്രത്തയ്യൽപണി ചെയ്യുന്നവനുമായ ഒഹൊലിയാബും ഉണ്ടായിരുന്നു.
02261801f1	വിശുദ്ധമന്ദിരത്തിന്‍റെ സകലപ്രവൃത്തിയുടെയും പണിക്ക് വഴിപാടായി ഉപയോഗിച്ച പൊന്ന് വിശുദ്ധമന്ദിരത്തിലെ തൂക്കപ്രകാരം ആകെ ഇരുപത്തൊമ്പതു താലന്തും എഴുനൂറ്റിമുപ്പതു ശേക്കെലും ആയിരുന്നു.
0226190185	സഭയിൽ എണ്ണമെടുക്കപ്പെട്ടവരുടെ വെള്ളി വിശുദ്ധമന്ദിരത്തിലെ തൂക്കപ്രകാരം നൂറു താലന്തും ആയിരത്തി എഴുനൂറ്റി എഴുപത്തഞ്ച് (1,775) ശേക്കെലും ആയിരുന്നു.
02261a0287	ഇരുപതു വയസ്സും അതിന് മുകളിൽ പ്രായമുള്ളവരായി എണ്ണമെടുക്കപ്പെട്ടവരുടെ കൂട്ടത്തിൽ ഉൾപ്പെട്ട ആറുലക്ഷത്തിമൂവായിരത്തിഞ്ഞൂറ്റമ്പത് (6,03,550) പേരിൽ ഓരോരുത്തർക്കും ഓരോ ബെക്കാ വീതമായിരുന്നു; അത് വിശുദ്ധമന്ദിരത്തിലെ തൂക്കപ്രകാരം അര ശേക്കൽ ആകുന്നു.
02261b0184	വിശുദ്ധമന്ദിരത്തിന്‍റെ ചുവടുകളും മറശ്ശീലയുടെ ചുവടുകളും വാർക്കുന്നതിന് ഒരു ചുവടിന് ഒരു താലന്തു വീതം നൂറ് ചുവടിന് നൂറ് താലന്തു വെള്ളി ചെലവായി.
02261c0193	ശേഷിച്ച ആയിരത്തി എഴുനൂറ്റി എഴുപത്തഞ്ച് (1,775) ശേക്കെൽകൊണ്ട് അവൻ തൂണുകൾക്ക് കൊളുത്ത് ഉണ്ടാക്കുകയും കുമിഴ് പൊതികയും മേൽചുറ്റുപടി ഉണ്ടാക്കുകയും ചെയ്തു.
02261d00e5	വഴിപാടായി ലഭിച്ച താമ്രം എഴുപത് താലന്തും രണ്ടായിരത്തിനാനൂറ് (2,400) ശേക്കെലും ആയിരുന്നു.
02261e0166	അതുകൊണ്ട് അവൻ സമാഗമനകൂടാരത്തിന്‍റെ വാതിലിനുള്ള ചുവടുകളും താമ്രയാഗപീഠവും അതിന്‍റെ താമ്രജാലവും യാഗപീഠത്തിന്‍റെ എല്ലാ ഉപകരണങ്ങളും
02261f019d	ചുറ്റും പ്രാകാരത്തിന്‍റെ ചുവടുകളും പ്രാകാരവാതിലിനുള്ള ചുവടുകളും തിരുനിവാസത്തിന്‍റെ എല്ലാകുറ്റികളും ചുറ്റും പ്രാകാരത്തിന്‍റെ കുറ്റികളും ഉണ്ടാക്കി.
