2800000013	Matiwos Dooshishiyo
29051f008a	B́ danifwotswere, «Ash asho bí atsatsewo gifniyefetst n shuutso b́ sha'efere bek'fetsatniya ‹Kone ti ats bodi?› ni etiri?» bo et.
2905200044	Bíwere man k'altso koni b́ woto bek'osh wongr et aanat b́ s'iili.
2905210068	Máátsmanmo bi ats wottso b dantsotse shatoon k'ewefetsat b́ shinats dihat ari keewjamo bísh b keewi.
2905220064	Bíwere «T ni'e n imnetiyo neen kashire, jeenon amee, n gond bek'otsnowere kashowe,» bish b́ eti.
29052300cb	Iyesus man keewoke b́befere, ayhudiwots Ik' k'oni maa jishirwo gále waats ashuwots ayhudiwots Ik' k'oni maa jishf́mansh, «N naa'u k'irwtseraniyere! eshe haniyak eegoshe danifo n shambiriri?» bo eti.
290524005e	Iyesusmó man shisht ayhudiwots Ik' k'oni maa jishfmansh, «Amanowe bako shatk'aye!» bí eti.
290525006e	Iyesus P'et'rosnat Yak'obn, ando Yak'ob eshu Yohansiye okoon konúwor b́shutsoshoyde b́ warawok'o b́baziyi.
2905260076	Ayhudiwots Ik' k'oni maa jishfman mook bobodtsok'on, Iyesus ashuwots waac'refetst bo eepfere, bo kuheferowe b́ bek'i.
2905270064	Gítsomand kindtnu, «Wac'r jamannat eepan, eegoshe? Na'ú tokra b tokri bako k'irratsane,» bí et.
2905280095	Ashuwotsmo bí atsa bomiis', Iyesusmó bo jametsi mootse kishbazt, na'ú nihnat indun, b́ shuuts shairwotsi dek't na'ú beyiru maa kayots b́ kindi.
2905290073	Na'ú kisho dets dek't, «T'alita kumi!» bish bí et. Man etonwere «Nee na'a múk'na'une neesh tuuwe etfe,» eta.
29052a0075	Biwere tatse git nati na'a b wottsotse manóór hake bak sha'o dek' btuwi, hank'o b́ wotoro ashuwots ayidek' bo adi.
29052b006a	Iyesusmó wotts keewan konúwor b́danawok'owa koneshor keew k'ayere ett, «B meetwo bish imere!» bí et.
2906010059	Iyesus manoke kesht b́datsomand b́ weyi, b́ danifwotswere b́shuutso shoydek't boweyi.
2906020100	Sanbati aawon ayhudiwots Ik' k'oni mootse daniyo dek' b́twi, ash ayonwere manoke daatseyat bín bok'ebfera botesh, boowere «Ashaan keew jaman eewkneya b́daatsi? Eegi naari dane bísh imetsani? Adits keewanotsi aak'o k'aldek'tnya b́finiri?» ett bo adi.
29060300bc	Aaninwere dabt «Han Mariyam naay mit gashfoniyoshna? Yak'obsho, Yosasho, Yihudsho, Simonsho bo eshwi woshna? B́mishots hanoke nontoniyosha bofa'oni?» ett gac'at bín de'aniyere bo oori.
29060400a8	Iyesusmó, «Nebiyiyo k'osh dats ashoknee mango b́ datsiti, ernmó b́ took datsatse, b́ jagi datsatsnat b́ meyitsi ashuwots dagotsnmo gac'etwe,» ett boosh bíaany.
290605005c	Manokno k'ats shodetswotsats b́ kisho gedt kashiyoniye okoon adits finwotsi k'alo falratse.
290606006f	Ash asho amaneraniyere bo'ortsatse tuutso ayi dek't bí'adi, maniyakon Iyesus gál gálots ananatni b́ danifo.
2906070063	Tatse gitwotsi bíyok s'eegdek't git gito woshdek't b́woshi, kim shayirwotsatse alo boosh bí imi,
290608006e	Boamor weerindatse gumboniye okoon mish wotowa, k'arc'itono, gizono bo edots desh bode'aawok'o boon bí azazi.
2906090054	Boshowere hank'o bí eti, «It tufots c'aamo gerde'ere bako git kito dab kark'ayere,
29060a005a	Aawoknoor ash maa ikots it kindor, datsman itfakshfetsosh itkindts maamanitsne it tesheti.
29060b0088	Ashuwots iti ibiyo k'ayr it keewo k'ebono bok'azts jamoke it tufatsi k'undo tebk'rar keer k'ayamere, manwere bo ats gawe b́ wotitiye.»
29060c0046	Woshetswotswere manoke kesht, ash jamo naandrone bí'etetwok'o bodany.
29060d0044	Fo'eraw aywotsnowere bokishi, ay ashuwotsatso zeyito futt bokashiyi.
29060e00c7	Iyesus shútso eent jamoke daneb́wtstsotse, nugúso Herodiswor b́ jangman shishb́k'ri. Ik ik ashuwots, «Gupfo Yohans k'irotse tuure, manshe adits keew jamanotsi k'aliruwo bíne» boetfere botesh.
29060f006f	K'oshwotswere, «Bíwo Eliyasiye» bo etfera botesh, oortswotswere «Yotsi nebiywotsitsi ikok'oyiye» bo etiri.
2906100068	Herodismó jam man shisht, «Han b́biimb tk'ut'itso Yohansiye, hambe! bík'irotse k'az tuure,» bí et.
2906110086	Herodis bí'eshu Filip'os máátsu Herodyadi b́dek'tsosh, Yohansi biyatse tuutson detsidek't típmoo gedt́ bín tipitni b́ b́tesh.
2906120064	Yohans b́tipewere, Herodisish «Ni eshu máátsu dek'o nemotse aaliye!» err b́ keewfosha b́tesh.
290613004d	Herodiyadu mansh iirat Yohansi úd'iyosha b́geefo b́teshi, ernmó falratsa.
29061400c8	Herodiswere maniye shin Yohans kááwonat S'ayn b́woto b́ dantsotse bín sharfetsni b́ kotiifo. Herodis Yohans keewo b́ shishtsi taawo kic'a b́ kic'efo, b́woteferor geneeúwona bín b́ k'eebfo.
29061500b4	Herodis b́ shuweyi aawo mangiyosh naash naashwotssh, kes' jishirwotssh, Gelilitse fa'a daneets ik ikwotssh moonat ushon k'ani b́k'ri. Mannowere Herodiyad sheeng weero datsbdek'i.
29061600c8	Manno Herodiyad ni'i móónat ushi moots kindat k'afefetsat Herodisnat bínton teshts ibwotsi b gene'ushi, naashonwere na'úsh, «N geets keewo b́wottso b́wotiyalor taan aatwe neesh imetwe» bí et.
2906170055	«Dab t mengsti badonor b́wotiyal, ni'aatts jamo neesh imetwe!» ett bish b́ taari.
2906180073	Biwere bi'indok amaat, «Eego aatuta?» bieti, bi'indwere «‹Gupfo Yohans tooko taash imewe› err aatwe» bi et.
2906190079	Na'únwere manoor kááron naashomand aanat, «Gupfo Yohans tooko saniyots gerde and taash imeyish geefe,» etaat bi'ati.
29061a008d	Nugúsonwere keewmaanatse tuutso ayidek't shiyanbwtsi, wotowa bako s'eegets ashuwots shinatse b́ taartsotse bi attsman bish baziyo geeratse.
29061b0098	Mansh nuguso manoor kotiru kes' kes'fwotsitse, iko Yohans tooko k'ut'de b́ weetwok'o b́ wosh, kes'fonwere tipi maa manits amt Yohans tooko b́ k'ut'i,
29061c0055	K'ut'ets tokmano sahaniyots ged dek'wat na'úsh bí imi, na'únwere b indsh imbk'eri.
29061d0047	Yohans danifwotswere man bo shishtsok'on waat b́ duuno dek't bo duuki.
29061e006f	Wosheetsots boon woshetsoke aani waat Iyesus shinatse kakwe bowtsi, bo danitsonat bo k'alts jamo bísh bokeewi.
29061f00a8	Bíwere «Itiye itaal ash aaloke ikmaants amr muk'i kashde'ere,» bí eti, man bí'etwere b́maand weyirwonat amiruwon bo aytsotse misho dab bo metwoko bo t'ut'tsotsne.
290620003c	Mansh boaali wotosh jelbots kind dek't ash aalok k'az boami.
290621006d	Bo amfere ay ashuwots boon bek't danbok'r, kit kitotse kesht tufoon wos'fere boshino beshat book kakwebowtsi.
290622009e	Iyesus jelbutse b́ oot'or ay ashuwotsi b́ bek'i. Jints deshaw mereerwotskok'o bowottsotse boosh maac'o k'ewbwtsi, ay keewonowere boosh daniyo dek' b́ tuwi.
2906230073	Datso ilefere bí amtsotse b́ danifwotsi b́ maants t'int bísh hank'o bo et, «Hanokhaniye worwe, datsonwe ilere,
2906240075	Bo metwonu bí altsotse gúranatse fa'a gat'ariwotsnat gal galotse amr misho keew bodek'etwok'o hanotsi deenk'rowe.»
290625008a	Iyesusmó, «Bo bometwo boosh it imere» ett boosh bíaani. Bowere «Beree am bo meet misho git bal dinariyon kewde boosh imonowa?» boet.
2906260074	Bíwere, «Ambts mishe it detsi? Aab amr s'iilere,» bí eti, s'iiltnwere «Úts mishonat git mus'on fa'ee,» boeti.
2906270061	Iyesuswere ash ashosh kakuwe kakuwede'er, atts sismanats bo bezitwok'o b́ danifwotssh bí azazi.
2906280044	Mansh ashuwots ikok balo ikoko balk'atso kakuwe kakuweyat be bodek'i
29062900d5	Iyesuswere úts mishmannat git mus' manotsi k'aaú dek't daro maants kááw dek't s'iilt b́ deeri, mish mano tiitsdek't ashuwotssh bo kayitwok'o b́ danifwotssh bí ími, mank'o mus' gitwotsno jamwotssh b́ kayi.
29062a0015	Jamwots máát bowori
29062b0050	B́ danifwotswere meere oorts mishi tiish tisho tatse git mari s'eeno bo kaakwi.
29062c0037	Mishman maats nungshwots taawó úts kumok'oy b́ tesh.
29062d008a	Iyesus manór ashuwotssh ameree etfetst b́ danifwots jelbots wotde'e bak'ets Bete Sayd maants kimr b́shino bok'ut'itwok'o boon bíazazi.
29062e0041	Maniyere hakon bo atse k'aleyat Ik'o k'onosh guromants b́ keshi.
29062f0055	Datsonwere b́ ilor jelbu aats k'ari taalotsa b tesh, bímo bíyal datsatsa b́ tesh.
29063000dd	B́ danifwots bo shinatse jongiru jongatse tuutson jelbu joko maawt bo kic'efere bek'b́k'ri, t'úwotse jed'iy sa'atonat tatse git sa'ati dagotse aats k'aratse shaawefere bo maants b́ weyi, boyere beshar amosha b́ tesh.
2906310052	Ernmó bí aats k'ari abaatse shaawefere bí'amfere meyo boosh bíartsosh bo kuhi.
2906320069	Jamwots bín bo bek'tsok'on tekbowtsi. Bímó manoor, «Kup'ore shenúwotso! taane! shatk'ayere!» bíet,
290633005a	Jelbots kindt, bonton beb́dok'tsok'on jongo ned'b́wtsi, b́ danifwotsu ay dek't bo adí.
290634006e	Bo nibo dungwtsat, mishatse wotts adits keewman bo t'iwintsrawo ooratni bako, keewan boon adirawnk'e b́ tesh.
2906350057	Aats k'aro bo kimtsok'on, Genseret'its am bo bodi, jelbu datsats t'intsdek't tipbok'ri.
2906360040	Jelbu'abatse bo ot'tsok'ón manóór ashuwots Iyesusi danbok'ri.
2906370073	Bowere datsman gúratse hake bako wos'fetst Iyesus b́beyiru kááw jamok shodetswotsi es'ats kurdek't woo bo tuwi.
29063800c5	Bí amts jamoke gal galotse, kitotse, gat'ariyotsno shodtswotsi jebats kisht b́ shinats bo t'intsfera boteshi, b́ shemi jilo dab t'awiyosh bín bok'onfo, bíats bodts jamwotswere kasha bokashefo.
2907010074	Ferisawino eteetswotsnat Iyerusalemn waats Muse nemo danif ik ikwots Iyesusmaants waat bín gúúrdek't kakwebowtsi.
2907020064	Iyesus b́ danifwotsitse niwon bo s'aynawo man etonwere kisho bo masherawon misho bomaafere bobek'i.
2907030069	Ferisawino eteetswotsnat ayhudi eenashwotsn bo niwo koton sheengsh bo kisho bo masherawo marakno bo tesh.
2907040084	Mank'o gawiyon bo aanoro bo masherawo marakno, wanc'ono, korono, k'áázon dozets kac'onat es'on mashok'o wotts ayo bo nemo bokotfo.
29070500af	Hank'o b́wottsotse ferisawino eteetswotsnat Muse nemo danirwots, «N danifwots eenash eenashwots nemo tiitst, eegishe kisho bomasherawo misho bomeyiri?» ett Iyesusi bo aati.
2907060097	Bímó hank'o ett boosh bíaani, «It git alberetswotso! Isayas it jangosh, ‹Ash ashaaniye bo noon mec'rone taan bomangiri bako Bo nibo tiyatse woke!
2907070066	Ash niwo Ik'i nemok'o woshdek't danifetst k'awntsalosh taan bomangiyiri!› ett b́ keewts bek'o aree.
2907080030	«Mansh it Ik'i alo k'azat ash nema it kotiri.»
2907090059	Maniye hakon Iyesus hank'owa boosh bí et, «It nemo kotosha etaat Ik'i nemo it tiitsiri,
29070a0063	Muse, ‹N nihnat nindn mangiwe, aaninu b́ nihsh wee b́ indsh gondo keewit asho úd'ewe,› etre.
29070b009e	Itmó hank'owa it etfoni, ‹Ash iko b́ nihnat bíndsh k'alo bín geyits keew jamoniye K'urbani wotere› man etonwere ‹Ik'osh imk'rekee› boosh bí'etal,
29070c002e	B́ indnat b́ nihi tep'o k'azo falfe etetute.
29070d006e	Hank'onowere it took nemo k'otosha etaat Ik' aap'tso it gaakiri. Mank'onowere han artso ay keewe it k'aliri.»
29070e0065	Ash ashonowere aani b́ maants s'eegdek't, boosh hank'o bí eti, «It únets t'iwintsde taan k'ewere,
29070f0064	Ash kimshfoniye, ash gitsotse keshetwoniye bako, uratse ash gitsomaants kindirwoniye asho kimshrake!
2907100021	Eshe k'ebet waaz detstso k'ewe!»
2907110068	Iyesus ash asho k'azk'rat moots b́ kindtsok'on b́ danifwots aridek' b́ keewtsman biitso bín bo aati.
2907120091	Bíwere hank'o ett boosh bíaani, «Itwere han t'iwintsratsteya? Uratse ash atsi gitsomaants kindit keewo ash kimsho b́falawok'o itsh galeratsa?
290713007e	Maac' weeron beshar uromaantsa b́ kesheti bako nibomand amatse». Hannowere Iyesus meetu jamo s'ayin b́wottsok'o b́ daniyi.
2907140049	Manats dabt hank'owa bíet, «Ash kimishfwots ashnibotse keshf keewwotsi.
290715002c	Bowere, gond tewno, wido, úmp'o, ash úd'o,
290716008a	gobo, jaalo, weeri gondo, ash dirsho, shiraats jintsi woto, okooro, onoo, b́ tooko dambaan danbaan detso, kis' deshawo wotonat hanotsiye.
2907170044	Gond keew jaman ash nibotsne b́ keshfoniye, ashono b́ kimshfoni.»
290718009f	Iyesus manoke tuut T'iros kitu ganoke fa'a galots bíami, maa ikots kindit manoke b́ beyirwok'o konwor b́ danawok'o b́ geyi, wotowa bako ááshosh falratse.
2907190067	B na'ú kim shayiron detsets mááts iku Iyesus jango shishat manóór waat b́ tufi shishirots b dihi.
29071a0081	Máátsunwe Sirofinik'e dats ashu wotat Griki noon keewf ashi b tesh, biwere bna'ú atsotse fo'erawo b́kishish Iyesusi b́k'oni,
29071b005e	Iyesusmó, «Nana'i misho de'er kanwotssh imo woteratse aab shin nana'uwots worune,» bí eti.
29071c0082	Bi were «Aree tdoonzo, b́ woteferor kanwotswor mari shirotse wotde nana'o b́ mafere fed'ts mishi fed'o mafnale,» etaat biaani.
29071d0064	Mansh Iyesus, «N keewanatse tuutson fo'erawo n na'ú aatsótse keshre, éshe n gál amee!» bí et.
29071e0068	Biwere b galomaants bi aanór b na'ú fo'erawo fakshb́k'erere es' abaatse jeenon b k'eefere datsbdek'i.
29071f0072	Iyesus T'iros datsatse kesht k'az bíami, Sidon weeron amt Tats kita eteef datson Galil aats k'aromaants b́ weyi.
2907200064	Manoke gidik' wotat, aani dutso b́ maants dek't boweyi, b́ kishono bí ats b́ gedetwok'o bok'oni.
2907210080	Iyesuswere ashman ashotse k'aldek't bí aali dek' amt b́ jaabo ash man waazots gedt, s'udono tuf ett asho alberono b́ shuu'í,
2907220071	Daromaand kááw dek't s'iilt ah ett kasho wosht ashmansh «Eeftah!» bí et. B́ biitsonwere «K'eshewe!» etee.
2907230072	Manóró b́ waazo k'eshe b́wutsi, bíalberonwere bish b́ wutsi, ik kic'alono s'ayintsdek't keewo dek' b́ tuwi.
2907240089	Iyesus keewan konshor bokeewrawok'o ashuwotsi bí azazi, wotowa bako bokeewrawok'o bíazaztsoniye bogshdek't ay dek'tni bokewfo bo teshi.
2907250092	Shishts jamwotswere ay dek't adt, «Jam keewo sheengonee b́fiini! gidik'wotsu boshishetwok'o, dutswotswere bo keewitwok'owe b́ k'aliri!» bo et.
290801008b	Manoori aawwotsitse aani ay ashuwots kakwe bowtsi, bometwono deshatsno bo tesh, mann Iyesus b́ danifwotsi s'eegdek't boosh hank'o bí eti,
2908020061	«Ashaanots hamb, taanton keez aawo teshrnee, bometwo eegor bo deshawotse boosh t maac'o k'ewere,
2908030084	Hank'on bo k'ak'tsok'on bo gálomants ameree err t fakshiyal weerindatse maawniye bowtsiti, dab boyitse ik ikwots wokooke waaknee.»
2908040069	B́ danifwotswere, «Béré worwotse jam ashaanotssh bodet misho kone daatso faliti?» ett bísh bo aani.
2908050061	Iyesuswere, «Ambts misho detsfte?» ett boon bíaati, boowere, «Shawat misho detsfone» bo eti.
29080600ac	Ashuwots datsats beewne bíeti, shawat mishono dets dek't Ik'osh mango b́ ími, tiitsdek't ash ashosh bo imetwok'o b́ danifwotssh b́ ími, boowere ash ashosh bo t'intsi.
290807008c	Ay woterawo mus' nana'úwotsno detsfno botesh, mus' manots jangosho Ik'o b́údiyakon ash ashosh bo t'intsitwok'o b́ danifwotssh b́ keewi.
290808006c	Jam ashuwots máát bowori, méére oorts mishi tiish tishono kakut shawat een een maron s'eeno bo k'aaúwi.
2908090053	Maats ashuwotsu awd kumok'o wotituno botesh, Iyesus bono ameree ett faksh b́ k'ri.
29080a0051	Maniyere il b́ danifwotsnton jelbats wotdek't Dalmanut awrajo maants k'azbíami.
29080b0092	Ferisawino eteyirwotsitse Iyesus maants waat bínton moosho dek' botwi, bín fadosh gawt darotse adits keew iko boosh b́kitsitwok'o bín bo'aati.
29080c00af	Iyesus ah ett kashowosht, «Dúranatsi s'oot'o adits keewo bísh k'aleyish eegosh geefa? Aroniye itsh t keewiri, dúranatsi na'osh b́ jamon adits keewo kitseratse!» bí eti.
29080d0041	Boon k'az k'rat aani jelbats wotdek't bak'etsomand k'az b́ kimi.
29080e005d	B́ danifwots misho bo battsatse tuutson jelbotse ik mishuniye okoon eegor deshatsno bo tesh.
29080f0060	Iyesuswere «Ferisawino eteefwotsnat Herodis boot' shashatse it atso korde'ere,» ett bí azazi.
290810005b	Bowere «Han bí etir, daneraka misho no t'ut'tsosha b́wotiti» ett boatsatseyewo bokeewi.
29081100c8	Iyesusewere bo gawirwo dandek't hank'o boosh bí eti. «Misho no t'út'tsosha etaat eegoshe it gawiri? Andoor eegor t'iwintso falawwotsnat danawots itneya? It nibo andoor b́ dungtsok'oneya b́fa'oni?
290812005f	Ááwo detsfetsat be'aatsteya? Waazono detsfetsat shiyatsteya? Aak'oneya gaweyo itsh b́ k'azi?
2908130078	Úts misho úts kúm ashosh t titsor b́ ooro ambts mari s'eene it k'aaúwi?» Bo were «Tatse git mari s'eena» bo eti.
2908140094	«Mank'o shawat mishono awd kúm ashuwotssh t titsor oortso ambts mari s'eene it k'aaúwi?» Et boon bí aati. Bowere «Shawat mari s'eena» bo eti.
2908150038	Bíwere «Beree, andoor t'iwitsratsteya?» Bosh bí eti.
2908160074	Betesayid maantsowere ambobodtsok'on ashuwots dog iko Iyesus maants dek' boweyi, shodtsman b́ shuuítwok'o bok'oni.
29081700a2	Bíwere bek'falaw ashman b́ kisho detsdek't jishfere gálotse b́kishi, ashman ááwats s'udo tuf ett b́ kisho bíats gedt «Ik jago bek'irwiya?» ett bí aati.
2908180070	Ááw doogonu kááw dek't, «Ee ashuwots taash be'eyirune, ernmó shaíru mitwotsiye taash bo ariri,» bí eti.
2908190086	Ando aani Iyesus asho aawwotsats b́ kisho b́ gedi, manoor ashman t'iwitsdek' b́ s'iili, kashatnu jam keewo s'ayintsdek't b́ bek'i.
29081a0054	Maniye il Iyesus «Galots kindk'aye,» ett b́ galomand bí ametuwok'o fakshb́k'ri.
29081b00b9	Iyesusnat b́ danifwotsn Filip'os K'isariya eteyiru dats kayu ganoke fa'a galwots maants botwi, weeratse bobefere Iyesus, «Ash ashuwots taan koni etfnó?» Ett b́ danifwotsi bí aati.
29081c0082	Bowere, «Ik ikwots gupfo Yohansiye, k'atswots Eliyasiye, ando k'atswotswere nebiyiwotsitsi ikoniye etfne neesha,» ett bo aaniyi.
29081d005f	«Itmo taan koni etfte?» ett bí aati. P'et'roswe «Nee he, Ik'o futtso neene,» ett bí aani.
29081e004a	Iyesusere, «T jango konshor keewk'ayere,» ett kúp'shdek' boosh b́ izi.
29081f00e2	Iyesus b́ danifwotsi hank'o ett daniyo dek'́ b́twi. «Ash na'o ay gond bek'o daatso bísh geyife, eenashwotsoke, kahni naashwotsnat Muse nemo danifwotsoke gac'etwe, úd'etwe, ernmó keez aawoniye okoon k'iro da'ar twitwe.»
290820008d	Keewano bek'shdek't boosh b́keewi, manóór P'et'ros bín bíaali ash aalok s'eegdek't fayo b́tuwi. «Hank'ó et k'aye» eton bín b́ fay.
2908210090	Iyesusmó wongr ett aanat b́ danifwotsi s'ilt́ P'et'rosi, «Nee shed'anan t shutsomandan amee! nee ashka bako Ik'iko gawratsne!» ett b́ fay.
29082200af	Maniyere il Iyesus ash asho b́ danifwotsnton s'eegdek't boosh hank'o bí et, «T jafrats woo shuntso fa'e wotiyal b́ tooko juk'rowe, b́ mask'aliyono kurde'er tshuutso wowe,
290823007f	B́ kashu faridek'o geyiru jamo bin t'ut'etwe, s'uznmó t jangonat doo shishiyi jangosh b́ kasho beshide imetwo fari dek'etwe,
2908240050	Asho dats jamatsi gaal jamo daatsrr b́ kasho b́t'ut'al eege bísh b́ k'aliti?
290825003a	Asho b́ kashu woriyosh aak'o k'awntse dashosh b́ faliti?
29082600af	Haalirwotsnat morrets, dúranatsi s'oot'anots shinatse taanat tkeewi jangosh jitsitu jamosh, ash na'o tnih mangon S'ayin melakiwotston t wóór b́ jangosh taawere jitsitwe.»
290901009a	Manatse tuut Iyesus, «Itsh aroniye tietiri and hanoke fa'anotsitse ik ikwots Ik'i mengstú een angnon b́ woor bobek'fetsosh k'irrawots fa'ane» bí eti.
290902009c	Shirt aawoniye il Iyesus P'et'rosi, Yak'obnat Yohansn s'uzi b́ shutsats dek't, gur ayidek't eeno abaats kesh b́dek'i, bo shinatsno bí aro wone b́ wutsi.
290903007f	B́ shemonu ayidek't golbwutsi, dats jik'atse konwor mashtso mankok'o mayde'er s'ayintso b́falawokó b́ wotefetso nas'buutsi.
2909040046	Manoor Eeliyasnat Musen be'eyat Iyesusnton bokeewefere boosh bobe'eyi.
290905008c	P'et'rosuwe Iyesussh, «Danyirwono! hanoke beyo noosh sheenge, eshe iko neesh, iko Musesh, iko Eliyassh wotit keez gofwotsi awone» bí eti.
2909060050	B́danif keezwots ayidek't boshattsotse P'et'eros b́ keewirwo danatse b́teshi.
290907006d	Dawnonu waat boon degb́dek'i, dawnotsno, «T shunts na'o haniye! bín k'ewere!» etiru k'ááro b́ shiyeyi.
2909080050	Manóóro wongr ett aanat bo s'iile boganoke Iyesus s'uzi bako konnor be'aatsno.
2909090077	Guri abaatse bo oot'or Iyesus, «Ash na'o k'irotse b́ tuufetsosh it bek'tsan konshor keewk'ayere» ett boon bí azazi.
29090a007e	B́keewtsono k'ebdek't bo nibots detsbodek'i, wotowa bako «K'irotse tuwa etaan eega etek'úna?» ett bo atsatsewo bo keeweyi.
29090b0058	Bowere, «Muse nemo daniyirwots Eliyasiye shino weetwoni bo etir eegoshe?» ett bo aati.
29090c00b0	Bíwere hank'o ett boosh bíaanyi, «Arikee, Eliyasiyere shino weetwe, unono káátsitwe, ernmó, ash na'o mangts gondbek'o b́ dek'etwonat b́ gac'etwok'on guut'etso aawk'one?
29090d006c	Taamó Eliyasiye shino waare, b́ jangosh guut'etsok'on ashuwots boshuntsok'o bíats k'alrne» etirwe itsha.
29090e00ad	Iyesusnat b́ danif keezwotsn b́ danif ortswotsok aanat boowor ay ashuwots kakweyat boon gúúrdek't bo s'iili, Muse nemo danifwotsu b́ danifwotsnton bo moshfera bo teshi.
29090f0052	Ashjamo Iyesusi bobek'tsok'on adt bo tek'i, b́ maantsó wos't jamó bín bo aati.
2909100049	Iyesuswere, «Bonton itmoosheyir eegi jange b́ teshi?» ett boon bíaat.
2909110078	Ashuwots dagotse iko hank'o ett bí aani, «Danifono, gidik' woshts gond shayiron detsetso t na'onee n maants dek'waare,
29091200d4	Bíyatse b́ twoor bín dike b́dikfoni, b́ nonotse úmbo kisht b́ gasho b́ k'ashfoni, bí atsonwere duunok'o shuu'ini b́ wutsefoni, kim shayirmano bo kishish n danifwotsi aatre b́ teshi, ernmó falratsne.»
29091300a0	Iyesuswere hank'o boosh bí eti, «It amaneraw ashaanots! awrish b́ borfetsone itnton t beeti? Awrish b́ borfetsone iti t k'amiti? Aab na'o t maants dowere!»
29091400a1	Bowere na'o b́ maants dek'boweyi, kim shayirmanwere Iyesusi b́bek'tsok'on na'o dikdek't b́ s'ik'íyi, na'onwere datsats p'up'urefetst úmbó kisho dek'b́twi.
290915007e	Iyesuswere na'o nihsh, «Shodan awre hake bín b́ detsi?» et bí aati. Nihonwere hank'o ett bí aani, «Marmat'on detstniye.
290916007a	Úd'osho geeyat ayoto tawonat aatsots b́ fet'foni, ernmó k'alosh nfaliyal oona! noosh maac'o k'ewowe! nonowere tewu'e!»
290917004e	Iyesuswere, «N faliyala etfi? Amanit ashosh jam keewo faletwe!» bí bí eti.
290918006b	Manoor na'o nih, «Amanonere amanitwe, ernmó amano tmawituu jam keewatse nee taan faliwee!» ett b́ kuhi.
29091900ca	Iyesuswere ash ashuwots dimbirefetst bowaafe b́ bek'i, kim shayirmansh, «Nee dogonat gdik' wotts kim shayironó na'o atsotse n keshetwok'o anarnu bí atsots n kindrawok'o neen azazere!» ett b́ hadi.
29091a0090	Kim shayironúwere k'aari eenon k'eet'at, na'ono ay dek't b́ s'ik'iyakon b́ keshi, na'onúwere duunok'o wotb́wtstsosh aywotssh k'irk arbwtsi.
29091b0047	Ernmó Iyesus na'o kisho detsdek't tuuzbk'rí, na'onu tuut ned'b́wtsi.
29091c006f	Iyesuswere moots b́kindór b́ danifwots, «Eshe eegoshe kim shayiro noo kisho nomaawi?» ett bí aali boaati.
29091d006a	Bíwere, «Han naaro Ik' k'ononat s'oomiyon b́ wotiyala bako k'oshon eegonor keyatse.» et boosh bíaany.
29091e007a	Iyesusnat b́ danifwotsn beyokman k'azk'rat Gelil weeron boami, b́ beyokono konwor b́danetwok'o Iyesus geeratse b́tesh,
29091f00b7	Man b́wottsonwere Iyesus b́ danifwotssh, «Ash na'o ashuwots kishots besheyar ímetwe, bo were bín úd'itúne, úd'eyakonmo keezl aawots tuwitwe.» etfetst boon b́daniri b́ tesh.
2909200048	B́ danifwotsmó keewan t'iwintsde'atsno, bo aatrawok'oyisho shatbowtsi.
29092100a5	Iyesusnat b́ danifwots K'frnahom maants bo waa, Iyesus moots b́ kindihakon b́ danifwotssh, «Weratse waafetsat it mooshiru keewo eebi b́teshi?» et boon bíaati.
2909220071	Eree bomó s'ik et bobeyi, manwere weratse bo befere, «No únetsitse bogo kone?» et bo mooshfere boteshtsotsna.
29092300a5	Bíwere be b́dek'iyakon tatsegitwotsi s'eegdek't, «Konwor wotowa asho shintso wotosh b́geyiyal únoniyere shuuts wotáár únosho guuts woto bín geytwe» bí et.
2909240053	Na'í marmat' iko dek'wat bodagots ned'í bík'ri, gep'dek'tnu boosh hank'o bí et,
2909250080	«Nana'anotsitse ikok'o t shúútsosha err dek'etwo taano dek'etwe, taano dek'etu jamo taan b́woterawo taan woshtso dek'etwe.»
2909260087	Yohans Iyesussh, «Danifono ash ikoniye n shúútson fo'erawo b́kishfere nobek'i, ernmó, noonton wotob́k'aztsotse bazirone» bí et.
290927008d	Mannowere Iyesus hank'o bí et, «T shúútson adits keewo finefetsr manóór ti atsats gondo keewitwo bí altsotse k'ayk'rore, bazi k'ayere,
290928001e	Noon k'eferaw jamó nontoniye,
290929007c	Aroniye itsh ti etiri, Krstosk it wottsosh t shúútsosh dab́ aats ik brc'k'o itsh ishitwo b́ k'awntso t'ud'atsee» bíet.
29092a0091	«Konwor asho taan amaniru nana'a múk'anotsitse ikosh t'ug b́ wotoniyere di' shúts mango b́bimbats tífde'er aats k'arots b́ juwewo k'anefe.
29092b0094	Mansh n kishu neesh t'ugo bwotiyal k'ut'de juk'rowe! git kisho deshfetsr gahanemits n juwewoniye kish k'ut' wotar kash weero maants n kindo k'anefe.
29092c003f	Gahanem b́ shipir ash maafo k'irraka, b́ taawo tahraw beyoke.
29092d0095	N tufo neesh t'ugo b́ wotitkawotiyal, k'ut'de juk'rowe, git tufo deshfetsr gahanemits n juwewoniyere, dúr wotar kashomaants nkindo neesh k'anefe. [
29092e0035	Gahanem b́ shipro k'irrawo, b́ tawo tahraw beyoke.]
