010000000e	Kĩambĩrĩria
091a160074	Nake Daudi agĩcookia atĩrĩ, “Ĩ rĩĩrĩ itimũ rĩa mũthamaki. Reke ũmwe wa aanake acio aku oke arĩgĩĩre.
091a1700db	Jehova nĩwe ũrĩhaga o mũndũ nĩ ũndũ wa ũthingu wake, na wĩhokeku wake. Jehova nĩegũkũneanĩte moko-inĩ makwa ũmũthĩ, no niĩ ndingĩtambũrũkia guoko njũkĩrĩre ũrĩa mũitĩrĩrie maguta wa Jehova.
091a1800ad	Ti-itherũ o ta ũguo niĩ nyonete muoyo waku ũrĩ wa goro ũmũthĩ, Jehova arotũma muoyo wakwa o naguo woneke ũrĩ wa goro, na aahonokie kuuma mathĩĩna-inĩ mothe.”
091a1900da	Saũlũ agĩcooka akĩĩra Daudi atĩrĩ, “Ũrorathimwo, wee mũrũ wakwa, Daudi; nĩũgeeka maũndũ manene, na ti-itherũ nĩũkahootana.” Nĩ ũndũ ũcio Daudi agĩthiĩ, nake Saũlũ akĩhũndũka, akĩinũka.
091b010120	No rĩrĩ, Daudi agĩĩciiria atĩrĩ, “Mũthenya ũmwe nĩndĩrĩniinwo nĩ guoko gwa Saũlũ. Ũndũ ũrĩa mwega ingĩĩka nĩ kũũrĩra bũrũri wa Afilisti. Hĩndĩ ĩyo Saũlũ nĩagatiga kũnjaria kũndũ o na kũ thĩinĩ wa Isiraeli, na niĩ nĩngehonokia guoko-inĩ gwake.”
091b02008b	Nĩ ũndũ ũcio Daudi na andũ magana matandatũ arĩa maarĩ nake makiuma, magĩthiĩ kũrĩ Akishi mũrũ wa Maoku, mũthamaki wa Gathu.
091b0300db	Daudi na andũ ake magĩtũũrania na Akishi kũu Gathu. Mũndũ o mũndũ aarĩ na andũ a nyũmba yake, na Daudi aarĩ na atumia ake eerĩ: Ahinoamu wa Jezireeli, na Abigaili wa Karimeli, mũtumia wa ndigwa wa Nabali.
091b040055	Rĩrĩa Saũlũ eerirwo atĩ Daudi nĩorĩire Gathu, ndaacookire kũmũcaria rĩngĩ.
091b0500fe	Ningĩ Daudi akĩĩra Akishi atĩrĩ, “Angĩkorwo nĩnjĩtĩkĩrĩkĩte maitho-inĩ maku-rĩ, reke heo handũ itũũra-inĩ rĩmwe rĩa bũrũri ũyũ, ngatũũre kuo. Nĩ kĩĩ gĩgũtũma ndungata yaku ĩtũũre itũũra rĩa ũthamaki hamwe nawe?”
091b060081	Nĩ ũndũ ũcio Akishi akĩmũhe Zikilagi mũthenya o ro ũcio, narĩo rĩtũire rĩrĩ rĩa athamaki a Juda kuuma hĩndĩ ĩyo.
091b070040	Daudi agĩikara bũrũri wa Afilisti mwaka ũmwe na mĩeri ĩna.
091b0800d4	Na rĩrĩ, Daudi na andũ ake makĩambata magĩthiĩ magĩtharĩkĩra andũ a Geshuru, na Agirizi na Aamaleki. (Kuuma tene andũ acio maatũũraga thĩinĩ wa bũrũri ũrĩa ũthiĩte ũgakinya Shuri na Misiri.)
091b0900e1	Rĩrĩa rĩothe Daudi aatharĩkagĩra kũndũ, ndaatigagia mũndũ mũrũme kana mũndũ-wa-nja muoyo, aamoragaga agataha ngʼondu na ngʼombe, na ndigiri na ngamĩĩra, na nguo. Thuutha ũcio agacooka agathiĩ kũrĩ Akishi.
091b0a00eb	Rĩrĩa Akishi aamũũria atĩrĩ, “Uuma gũtharĩkĩra kũ ũmũthĩ?” Daudi akamwĩra atĩrĩ, “Nyuma gũtharĩkĩra Negevu kũu Juda,” kana “Gũtharĩkĩra Negevu ya Jerameeli,” kana “Gũtharĩkĩra Negevu ya Akeni.”
091b0b0117	Ndaatigirie mũndũ mũrũme kana mũndũ-wa-nja muoyo nĩguo matwarwo Gathu, nĩ ũndũ eeciiririe atĩrĩ, “Maahota gũtũcuukanĩrĩra moige atĩrĩ, ‘Ũũ nĩguo Daudi ekĩte.’” Na ũcio nĩguo warĩ mũtugo wake hĩndĩ ĩrĩa yothe aatũũrire bũrũri wa Afilisti.
091b0c00a1	Nake Akishi nĩehokete Daudi na akeĩraga atĩrĩ, “Nĩatuĩkĩte kĩndũ gĩthũũre kũrĩ andũ ake a Isiraeli, na egũtuĩka ndungata yakwa nginya tene.”
091c0100c6	Na rĩrĩ, matukũ-inĩ macio Afilisti makĩũngania mbũtũ ciao makarũe na Isiraeli. Akishi akĩĩra Daudi atĩrĩ, “No nginya ũmenye atĩ wee na andũ aku nĩmũgatwarana na niĩ ita-inĩ.”
091c0200d3	Daudi akĩmwĩra atĩrĩ, “Hĩndĩ ĩyo nĩguo ũrĩĩonera ũrĩa ndungata yaku ĩngĩhota gwĩka.” Akishi akĩmũcookeria atĩrĩ, “Ũguo nĩ wega, na niĩ nĩngũgũtua mũnangĩri wa hĩndĩ ciothe.”
091c0300b6	Hĩndĩ ĩyo Samũeli nĩakuĩte, na Isiraeli othe makamũcakaĩra na makamũthika itũũra-inĩ rĩake rĩa Rama. Saũlũ, nake nĩaingatĩte ago na aragũri makoima bũrũri ũcio.
091c04009a	Afilisti makĩũngana na magĩthiĩ makĩamba hema ciao kũu Shunemu, nake Saũlũ agĩcookanĩrĩria andũ a Isiraeli othe na akĩamba hema kũu Giliboa.
091c05006b	Hĩndĩ ĩrĩa Saũlũ, onire mbũtũ ya ita ya Afilisti, agĩĩtigĩra; ngoro yake ĩkĩiyũrwo nĩ guoya.
091c060076	Nake agĩtuĩria ũhoro kuuma kũrĩ Jehova, no Jehova ndaigana kũmũcookeria na irooto kana Urimu, o na kana anabii.
091c0700d4	Saũlũ agĩcooka akĩĩra ndungata ciake atĩrĩ, “Njarĩriai mũndũ-wa-nja mũragũri, nĩguo thiĩ ngatuĩrie ũhoro kuuma kũrĩ we.” Nao makiuga atĩrĩ, “Nĩ kũrĩ mũragũri ũmwe kũu Eni-Dori.”
091c0800f1	Nĩ ũndũ ũcio Saũlũ agĩkĩĩgarũra nĩguo ndakamenyeke, akĩĩhumba nguo ingĩ, na we na andũ eerĩ magĩthiĩ ũtukũ kũrĩ mũndũ-wa-nja ũcio. Akĩmwĩra atĩrĩ, “Ndagũrĩra na roho, na ũndehere mũndũ ũrĩa ngũgweta.”
091c0900de	No mũndũ-wa-nja ũcio akĩmwĩra atĩrĩ, “Ti-itherũ nĩũũĩ ũrĩa Saũlũ ekĩte, nĩaniinĩte ago na aragũri kuuma bũrũri ũyũ. Nĩ kĩĩ gĩtũmĩte wambĩre muoyo wakwa mũtego ũndehere gĩkuũ gĩakwa?”
091c0a00ab	Saũlũ akĩĩhĩta harĩ we na rĩĩtwa rĩa Jehova, akiuga atĩrĩ, “Ti-itherũ o ta ũrĩa Jehova atũũraga muoyo-rĩ, ndũkũherithio nĩ ũndũ wa ũndũ ũyũ.”
091c0b0085	Ningĩ mũndũ-wa-nja ũcio akĩmũũria atĩrĩ, “Nĩ mũndũ ũrĩkũ ngũkũrehithĩria?” Akiuga atĩrĩ, “Rehe Samũeli.”
091c0c009e	Hĩndĩ ĩrĩa mũndũ-wa-nja ũcio onire Samũeli, agĩkayũrũrũka na mũgambo mũnene, akĩĩra Saũlũ atĩrĩ, “Waheenia nĩkĩ? Wee nĩwe Saũlũ!”
091c0d0098	Mũthamaki nake akĩmwĩra atĩrĩ, “Tiga gwĩtigĩra. Nĩ kĩĩ ũroona?” Mũndũ-wa-nja ũcio akiuga atĩrĩ, “Ndĩrona roho uumĩte na thĩ.”
091c0e00f2	Akĩũria atĩrĩ, “Ahaana atĩa?” Nake akiuga atĩrĩ, “Nĩ mũndũ mũkũrũ ũraambata ehumbĩte nguo ndaaya.” Hĩndĩ ĩyo Saũlũ akĩmenya atĩ ũcio aarĩ Samũeli, akĩinamĩrĩra, agĩkoma na nda, agĩturumithia ũthiũ thĩ.
091c0f0148	Samũeli akĩũria Saũlũ atĩrĩ, “Nĩ kĩĩ gĩgũtũma ũũthĩĩnie, ũkandehithia gũkũ?” Saũlũ akiuga atĩrĩ, “Ndĩ mũnyamarĩku mũno. Afilisti nĩmararũa na niĩ, na Ngai nĩanjehereire, akaaga kũnjookeria ũhoro na njĩra ya anabii, kana ya irooto. Nĩ ũndũ ũcio ndagwĩta ũnjĩĩre ũrĩa ngwĩka.”
091c100073	Samũeli akiuga atĩrĩ, “Ũgũkĩnjũũria nĩkĩ, kuona atĩ rĩu Jehova nĩakwehereire na agatuĩka thũ yaku?
091c1100a2	Jehova nĩekĩte o ta ũrĩa oigire na kanua gakwa. Jehova nĩagũtunyĩte ũthamaki uume moko-inĩ maku, na akaũnengera mũndũ wa itũũra rĩaku, nĩwe Daudi.
091c120085	Nĩ ũndũ wee ndwathĩkĩire Jehova, kana ũgĩkinyĩria Amaleki mangʼũrĩ make mahiũ, nĩkĩo Jehova agwĩkĩte ũguo ũmũthĩ.
091c1300c8	Jehova nĩegũkũneana, wee hamwe na Isiraeli, kũrĩ Afilisti, na rũciũ wee na ariũ aku mũgaakorwo mũrĩ hamwe na niĩ. Jehova nĩagacooka aneane mbũtũ cia ita cia Isiraeli kũrĩ Afilisti.”
091c1400cc	O hĩndĩ ĩyo Saũlũ akĩgũa, agĩĩtambũrũkia thĩ aiyũrĩtwo nĩ guoya nĩ ũndũ wa ũhoro ũcio wa Samũeli. Hinya wake ũgĩthira, tondũ ndaarĩĩte kĩndũ mũthenya ũcio wothe o na ũtukũ.
091c1500f9	Hĩndĩ ĩrĩa mũndũ-wa-nja ũcio okire kũrĩ Saũlũ na akĩona ũrĩa aamakĩte, akĩmwĩra atĩrĩ, “Atĩrĩrĩ, ndungata yaku ya mũndũ-wa-nja nĩĩgwathĩkĩire. Ndatwarĩrĩria muoyo wakwa ũgwati-inĩ, ndeeka ũrĩa ũnjĩĩrire njĩke.
091c160080	Rĩu ndagũthaitha, thikĩrĩria ndungata yaku, ũreke ngũhe tũirio nĩguo ũrĩe ũgĩe na hinya ũhote gũthiĩ rũgendo.”
091c1700c0	Nake akĩrega, akiuga atĩrĩ, “Ndikũrĩa.” No andũ ake makĩnyiitanĩra hamwe na mũndũ-wa-nja ũcio, makĩmũringĩrĩria, nake akĩmaigua. Agĩũkĩra hau thĩ agĩikarĩra ũrĩrĩ.
091c1800a3	Mũndũ-wa-nja ũcio nĩ aarĩ na njaũ noru kũu nyũmba, ĩrĩa aathĩnjire o narua. Akĩoya mũtu, akĩũkanda na akĩruga mĩgate ĩtarĩ na ndawa ya kũimbia.
091c19006a	Agĩcooka agĩtwarĩra Saũlũ na andũ ake, nao makĩrĩa. Na ũtukũ o ro ũcio magĩũkĩra magĩthiĩ.
091d010097	Na rĩrĩ, Afilisti magĩcokanĩrĩria mbũtũ ciao cia ita kũu Afeku, nao Isiraeli makĩamba hema hakuhĩ na gĩthima kĩrĩa kĩarĩ kũu Jezireeli.
091d020090	Na rĩrĩa aathani a Afilisti maahĩtũkaga na ikundi ciao cia magana na cia ngiri, Daudi na andũ ake maathiiaga marĩ thuutha hamwe na Akishi.
091d03015f	Anene acio a ita rĩa Afilisti makĩũria atĩrĩ, “Nĩ atĩa ũhoro wa Ahibirania aya?” Akishi agĩcookia atĩrĩ, “Githĩ ũyũ ti Daudi, ũrĩa warĩ mũnene wa Saũlũ mũthamaki wa Isiraeli? Akoretwo arĩ hamwe na niĩ makĩria ma mwaka ũmwe na kuuma mũthenya ũrĩa oimire gwa Saũlũ, nginyagia ũmũthĩ, ndirĩ ndamuona na ihĩtia.”
091d040157	No anene a mbũtũ cia ita cia Afilisti makĩmũrakarĩra, makĩmwĩra atĩrĩ, “Ĩra mũndũ ũyũ ahũndũke nĩguo acooke handũ harĩa wamũheire. Ndegũthiĩ hamwe na ithuĩ mbaara-inĩ ndakae gũtũgarũrũka rĩrĩa tũrarũa. Nĩ ũndũ ũngĩ ũrĩkũ mũndũ ũyũ angĩĩka maiguithanie na mwathi wake, tiga kũũraga andũ aitũ?
091d0500a2	Githĩ ũyũ ti Daudi ũrĩa mainĩire nyĩmbo-inĩ ciao ũũ: “‘Saũlũ nĩeyũragĩire andũ ngiri nyingĩ, nake Daudi akooraga ngiri makũmi maingĩ’?”
091d06014c	Nĩ ũndũ ũcio Akishi agĩĩta Daudi, akĩmwĩra atĩrĩ, “Ti-itherũ o ta ũrĩa Jehova atũũraga muoyo, nĩũkoretwo ũrĩ mwĩhokeku, na no njigue wega tũgĩtungata hamwe nawe ita-inĩ. Kuuma mũthenya ũrĩa wokire kũrĩ niĩ nginya rĩu, ndirĩ ndoona ihĩtia rĩaku, no anene aya a mbũtũ cia ita matingĩgwĩtĩkĩra.
091d070050	Hũndũka ũthiĩ na thayũ; ndũgeeke ũndũ ũngĩrakaria anene a Afilisti.”
091d0800de	Daudi akĩũria atĩrĩ, “Nĩ atĩa njĩkĩte? Nĩ atĩa wonete mũũru na ndungata yaku kuuma mũthenya ũrĩa ndookire kũrĩ we nginya rĩu? Nĩ kĩĩ gĩkũgiria thiĩ ngarũe na thũ cia mũthamaki, mwathi wakwa?”
091d0900f7	Akishi akĩmũcookeria atĩrĩ, “Nĩnjũũĩ atĩ ũkoretwo ũrĩ mwega maitho-inĩ makwa ta mũraika wa Ngai; no rĩrĩ, anene a mbũtũ cia ita rĩa Afilisti moigĩte atĩrĩ, ‘Ũcio ndangĩĩtĩkĩrio atwarane na ithuĩ kũu mbaara-inĩ.’
091d0a008d	Rĩu rooka gũũkĩra rũciinĩ tene, hamwe na ndungata cia mwathi waku iria mũũkĩte nacio, na muume gũkũ rũciinĩ gũgĩthererũka.”
091d0b00a1	Nĩ ũndũ ũcio Daudi na andũ ake makĩrooka gũũkĩra rũciinĩ tene nĩguo macooke bũrũri-inĩ wa Afilisti, nao Afilisti makĩambata magĩthiĩ Jezireeli.
091e0100ac	Na rĩrĩ, Daudi na andũ ake maakinyire Zikilagi mũthenya wa gatatũ. Nao Amaleki magĩkorwo nĩ matharĩkĩire Negevu na Zikilagi. Nĩmahũrĩte Zikilagi na makarĩcina,
091e02009b	na nĩmatahĩte andũ-a-nja arĩa othe maarĩ kuo, andũ ethĩ o na arĩa akũrũ. Matiigana kũũraga mũndũ o na ũmwe, no nĩmamakuuire magĩthiĩ nao.
091e03007e	Rĩrĩa Daudi na andũ ake mookire Zikilagi, maakorire rĩcinĩtwo na mwaki, na atumia ao na ariũ ao na airĩtu ao magatahwo.
091e040066	Nĩ ũndũ ũcio Daudi na andũ ake makĩrĩra maanĩrĩire nginya makĩaga hinya wa kũrĩra rĩngĩ.
091e050080	Atumia a Daudi eerĩ nĩmatahĩtwo, Ahinoamu wa Jezireeli, na Abigaili ũrĩa warĩ mũtumia wa ndigwa wa Nabali kuuma Karimeli.
091e0600d3	Daudi akĩnyariirĩka mũno nĩ ũndũ andũ nĩmaciirĩire kũmũhũũra na mahiga; o mũndũ arĩ na marũrũ ngoro nĩ ũndũ wa aanake na airĩtu ake. No Daudi akĩgĩa na hinya thĩinĩ wa Jehova Ngai wake.
091e07008e	Daudi agĩcooka akĩĩra Abiatharu, mũthĩnjĩri-Ngai, mũrũ wa Ahimeleku atĩrĩ, “Ndeehera ebodi.” Nake Abiatharu akĩmũrehera ebodi,
091e080103	nake Daudi agĩtuĩria ũhoro kũrĩ Jehova, akĩũria atĩrĩ, “Nyingatithie mbũtũ ĩyo ĩtũtharĩkĩire? Nĩngũmĩkinyĩra?” Akĩmũcookeria atĩrĩ, “Mĩrũmĩrĩre, hatarĩ nganja nĩũkũmĩkinyĩra na nĩũkũhota gũcookia kĩrĩa gĩtahe.”
091e090079	Daudi na andũ magana matandatũ arĩa maarĩ hamwe nake magĩkinya Mũkuru wa Besori, harĩa amwe ao maatigirwo thuutha,
091e0a00a1	nĩgũkorwo andũ ta magana meerĩ maarĩ anogu mũno, makĩremwo nĩ kũringa mũkuru ũcio. No Daudi na andũ magana mana magĩthiĩ na mbere kũmarũmĩrĩra.
091e0b0074	Nao magĩkorerera Mũmisiri werũ-inĩ, makĩmũtwara kũrĩ Daudi. Makĩmũhe maaĩ ma kũnyua na irio cia kũrĩa,
091e0c00ca	na kĩenyũ kĩa ngũyũ hihe na imanjĩka igĩrĩ cia thabibũ nyũmithie. Akĩrĩa agĩcookwo nĩ hinya, nĩ ũndũ ndaarĩte irio kana akanyua maaĩ handũ ha mĩthenya ĩtatũ, ũtukũ na mũthenya.
091e0d00ca	Daudi akĩmũũria atĩrĩ, “We ũrĩ wa ũ na uumĩte kũ?” Agĩcookia atĩrĩ, “Ndĩ Mũmisiri, ngombo ya mũndũ Mũamaleki. Mwathi wakwa aandiganĩirie ndarũara, mĩthenya ĩtatũ ĩthirĩte.
091e0e0078	Nĩtwatharĩkĩire Negevu ya Akerethi, na rũgongo rwa bũrũri wa Juda, na Negevu ya Kalebu, na tũgĩcina Zikilagi.”
091e0f0129	Daudi akĩmũũria atĩrĩ, “Wahota kũndongoria ũnjikũrũkie kũrĩ mbũtũ ĩyo ĩraatharĩkĩire?” Mũndũ ũcio agĩcookia atĩrĩ, “Wĩhĩte na mwĩhĩtwa mbere ya Ngai atĩ ndũkũnjũraga, kana ũneane kũrĩ mwathi wakwa, na nĩngũgũtwara, tũikũrũke tũthiĩ kũrĩa marĩ.”
091e1000db	Agĩtongoria Daudi, magĩikũrũka, nao makĩmakora kũu, maharaganĩte bũrũri-inĩ ũcio, makĩrĩa na makĩnyua, magĩĩkenagia nĩ ũndũ wa ũrĩa maatahĩte indo nyingĩ kuuma bũrũri wa Afilisti, na kuuma Juda.
091e1100cc	Daudi akĩmahũũra kuuma hwaĩ-inĩ kũrĩ mairia nginya hwaĩ-inĩ wa mũthenya ũyũ ũngĩ, na gũtirĩ mũndũ o na ũmwe worire, tiga o aanake magana mana arĩa maahaicire ngamĩĩra ciao makĩũra.
091e120053	Daudi agĩcookia indo ciothe iria Aamaleki maakuuĩte, o hamwe na atumia ake eerĩ.
091e1300c7	Gũtirĩ kĩndũ o na kĩmwe kĩagire: mũndũ mwĩthĩ kana mũkũrũ, kamwana kana kairĩtu, indo iria ciothe ciatahĩtwo kana kĩndũ o gĩothe kĩrĩa maakuuĩte. Daudi agĩcookithia indo ciothe.
091e1400aa	Nake akĩoya ndũũru ciothe cia mbũri na ngʼombe, nao andũ ake magĩcitwara mbere ya mahiũ marĩa mangĩ, makiugaga atĩrĩ, “Ici nĩ indo iria Daudi aatahĩte.”
091e150110	Ningĩ Daudi agĩkinya harĩ andũ arĩa magana meerĩ arĩa maanogete mũno makaremwo nĩ kũmũrũmĩrĩra na magatigwo thuutha hau mũkuru-inĩ wa Besori. Magĩũka gũthagaana Daudi na andũ arĩa maarĩ nake. Rĩrĩa Daudi na andũ ake maakuhĩrĩirie, akĩmageithia.
091e160100	No andũ arĩa othe aaganu na arĩa a haaro thĩinĩ wa arũmĩrĩri a Daudi makiuga atĩrĩ, “Tondũ matiathiire hamwe na ithuĩ-rĩ, tũtikũgayana nao indo cia gũtahwo iria tũcookithĩtie. No rĩrĩ, o mũndũ no oe mũtumia wake na ciana athiĩ.”
091e1700af	Daudi agĩcookia atĩrĩ, “Aca, ariũ a baba, mũtingĩĩka ũguo na indo iria Jehova atũheete. Nĩatũgitĩire na akaneana mbũtũ iria ciatũũkĩrĩire moko-inĩ maitũ.
091e1800bf	Nũũ ũngĩthikĩrĩria ũguo mũroiga? Igai rĩa mũndũ ũrĩa watigirwo akĩrora indo rĩkũiganana na rĩa ũrĩa waikũrũkire agĩthiĩ mbaara-inĩ. Othe mekũgayana o ũndũ ũmwe.”
091e190080	Daudi agĩtua ũndũ ũcio ũtuĩke kĩrĩra na watho wa kũrũmagĩrĩrwo kũu Isiraeli kuuma mũthenya ũcio nginya ũmũthĩ.
091e1a00df	Rĩrĩa Daudi aakinyire Zikilagi, agĩtũmĩra athuuri a Juda arĩa maarĩ arata ake indo imwe cia iria ciatahĩtwo, akĩmeera atĩrĩ, “Gĩkĩ nĩ kĩheo kĩanyu harĩ indo iria itahĩtwo kuuma kũrĩ thũ cia Jehova.”
091e1b0042	Agĩcitũmĩra arĩa maarĩ Betheli, na Ramothu-Negevu, na Jatiri;
091e1c0033	na arĩa maarĩ Aroeri, na Sifimothu, na Eshitemoa,
091e1d003d	na Rakali; na arĩa maarĩ matũũra ma Ajerameeli, na Akeni;
091e1e0034	o na arĩa maarĩ Horoma, na Bori-Ashani, na Athaki,
091e1f0055	na Hebironi; na arĩa maarĩ kũndũ guothe kũrĩa Daudi na andũ ake moorũũrĩte.
091f010091	Na rĩrĩ, Afilisti makĩhũũrana na Isiraeli; nao andũ a Isiraeli makĩmoorĩra, na aingĩ ao makĩũragĩrwo kũu Kĩrĩma-inĩ kĩa Giliboa.
091f02007c	Afilisti makĩhatĩrĩria Saũlũ na ariũ ake mũno, na makĩũraga ariũ acio ake, Jonathani, na Abinadabu, na Malikishua.
091f030079	Na rĩrĩ, mbaara nĩyaneneheire Saũlũ mũno mũno, na rĩrĩa aikia a mĩguĩ maamũkinyĩrire, makĩmũguraria mũno.
091f04015c	Nake Saũlũ akĩĩra mũkuui wake wa indo cia mbaara atĩrĩ, “Comora rũhiũ rwaku rwa njora ũũthece naruo, nĩguo andũ aya mataruaga matigooke maatheece na maanyararithie.” No rĩrĩ, mũkuui ũcio wake wa indo cia mbaara agĩĩtigĩra mũno, akĩrega gwĩka ũguo; nĩ ũndũ ũcio Saũlũ akĩoya rũhiũ rwake rwa njora, akĩrũgwĩra.
091f05007b	Rĩrĩa mũkuui wake wa indo cia mbaara onire atĩ Saũlũ nĩakua-rĩ, o nake akĩgwĩra rũhiũ rwake rwa njora, agĩkua.
091f060088	Nĩ ũndũ ũcio Saũlũ, na ariũ ake atatũ, na mukuui wake wa indo cia mbaara, na andũ ake othe magĩkua hamwe mũthenya o ro ũcio.
091f07011b	Rĩrĩa andũ a Isiraeli arĩa maarĩ mwena ũcio ũngĩ wa kĩanda na arĩa maarĩ mũrĩmo wa Jorodani moonire atĩ mbũtũ ya ita ya Isiraeli nĩyoora, na atĩ Saũlũ na ariũ ake nĩmakuĩte-rĩ, magĩtiganĩria matũũra mao makĩũra. Nao Afilisti magĩthiĩ magĩtũũra kuo.
091f08008b	Mũthenya ũyũ ũngĩ, Afilisti magĩthiĩ kũbora ciimba, magĩkora Saũlũ na ariũ ake atatũ makuĩte kũu Kĩrĩma-inĩ kĩa Giliboa.
091f0900dd	Nao makĩmũtinia mũtwe na makĩoya indo ciake cia mbaara, magĩcooka magĩtũma andũ mathiĩ bũrũri wothe wa Afilisti makaanĩrĩre ũhoro ũcio thĩinĩ wa hekarũ ya mĩhianano yao ya kũhooywo, na kũrĩ andũ ao.
091f0a0086	Makĩiga indo cia Saũlũ cia mbaara thĩinĩ wa hekarũ ya Ashitarothu, na mwĩrĩ wake makĩwoherera rũthingo-inĩ rwa Bethi-Shani.
091f0b0052	No rĩrĩa andũ a Jabeshi-Gileadi maaiguire ũrĩa Afilisti meekĩte Saũlũ-rĩ,
091f0c00d5	njamba ciao cia ita igĩthiĩ ũtukũ wothe nginya Bethi-Shani. Makĩruta mwĩrĩ wa Saũlũ na ya ariũ ake atatũ kuuma rũthingo-inĩ rwa Bethi-Shani, na magĩthiĩ nayo Jabeshi, magĩcooka makĩmĩcinĩra kuo.
091f0d009c	Magĩcooka makĩoya mahĩndĩ macio mao na makĩmathika gĩtina-inĩ kĩa mũtĩ wa mũbinde kũu Jabeshi, na makĩĩhinga kũrĩa irio mĩthenya mũgwanja.
0a0000000a	2 Samũeli
0a01010089	Na rĩrĩ, thuutha wa gĩkuũ gĩa Saũlũ, Daudi agĩkorwo aacooka kuuma kũhoota Aamaleki na agĩikara kũu Zikilagi mĩthenya ĩĩrĩ.
0a010200ce	Mũthenya wa ĩtatũ-rĩ, hagĩũka mũndũ oimĩte kambĩ-inĩ ya Saũlũ, arĩ na nguo ndembũkangu na rũkũngũ mũtwe. Hĩndĩ ĩrĩa aakinyire harĩ Daudi, akĩĩgũithia thĩ nĩguo amũhe gĩtĩĩo.
0a01030095	Daudi akĩmũũria atĩrĩ, “Wee uumĩte kũ?” Nake akĩmũcookeria atĩrĩ, “Nĩ kũũra njũrĩte, ngoima kambĩ-inĩ ya andũ a Isiraeli.”
0a010400db	Daudi akĩmũũria atĩrĩ, “Kaĩ gwĩkĩkĩte atĩa? Ta njĩĩra.” Nake akĩmwĩra atĩrĩ, “Andũ nĩmorĩte makoima mbaara-inĩ. Na andũ aingĩ nĩmooragĩtwo. Nake Saũlũ na mũriũ Jonathani nĩmakuĩte.”
0a0105008c	Ningĩ Daudi akĩũria mwanake ũcio wamũreheire ũhoro ũcio atĩrĩ, “Ũmenyete atĩa atĩ Saũlũ na mũriũ Jonathani nĩmakuĩte?”
0a010600d9	Mwanake ũcio akĩmũcookeria atĩrĩ, “Ndĩrakorirwo ndĩ hau kĩrĩma-inĩ kĩa Giliboa, na hau nĩho ndĩronire Saũlũ, etiranĩtie na itimũ rĩake, akiriĩ gũkorererwo nĩ ngaari cia ita na ahaici a mbarathi.
0a01070070	Rĩrĩa eehũgũrire, akĩnyona, na akĩnjĩta, na niĩ ngĩmũũria atĩrĩ, ‘Ũngĩenda ngwĩkĩre atĩa?’
0a0108006a	“Nake akĩnjũũria atĩrĩ, ‘Wee ũrĩ ũ?’ “Ngĩmũcookeria atĩrĩ, ‘Niĩ ndĩ Mũamaleki.’
0a01090078	“Ningĩ akĩnjĩĩra atĩrĩ, ‘Ũka haha ũnjũrage! Niĩ ndĩ na ruo rũnene mũno rwa gĩkuũ, no ndĩ o muoyo.’
0a010a00f1	“Nĩ ũndũ ũcio ngĩthiĩ harĩ we, ngĩmũũraga, tondũ nĩndamenyire atĩ arĩkĩtie kũgũa ndekũhona. Ngĩruta thũmbĩ ĩrĩa yarĩ mũtwe wake, na mũrĩnga ũrĩa warĩ guoko gwake, na nĩcio indo iria ndarehera mwathi wakwa.”
0a010b005d	Hĩndĩ ĩyo Daudi na andũ othe arĩa maarĩ nake makĩnyiita nguo ciao, magĩcitembũranga.
0a010c00f0	Nao magĩcakaya, na makĩrĩra, o na makĩĩhinga kũrĩa irio nginya hwaĩ-inĩ, nĩ ũndũ wa Saũlũ na mũriũ Jonathani, o na nĩ ũndũ wa mbũtũ cia ita cia Jehova, na nyũmba ya Isiraeli, tondũ nĩmooragĩtwo na rũhiũ rwa njora.
0a010d00a5	Daudi akĩũria mwanake ũcio wamũreheire ũhoro atĩrĩ, “Wee uumĩte kũ?” Nake agĩcookia atĩrĩ, “Niĩ ndĩ mũriũ wa mũndũ wa kũngĩ, Mũamaleki.”
0a010e0088	Daudi akĩmũũria atĩrĩ, “Nĩ kĩĩ kĩragiririe wĩtigĩre gũtambũrũkia guoko gwaku ũũrage mũitĩrĩrie maguta wa Jehova?”
0a010f0073	Ningĩ Daudi agĩĩta ũmwe wa andũ ake, akĩmwĩra atĩrĩ, “Thiĩ, ũmũũrage!” Nake akĩmũringa, agĩkua.
0a011000d8	Nĩgũkorwo Daudi aamwĩĩrire atĩrĩ, “Thakame yaku ĩrogũcookerera. Kanua gaku we mwene nĩko kaaruta ũira wa gũgũũkĩrĩra, rĩrĩa uugire atĩrĩ, ‘Nĩndĩrooragire mũitĩrĩrie maguta wa Jehova.’”
0a01110035	Nake Daudi agĩcakaĩra Saũlũ na mũriũ Jonathani,
0a01120085	na agĩathana atĩ andũ a Juda marutwo icakaya rĩĩrĩ rĩĩtagwo rwĩmbo rwa ũta (narĩo rĩandĩkĩtwo Ibuku-inĩ rĩa Jasharu):
0a0113003b	“Wee Isiraeli, riiri waku ũũragĩtwo irĩma-inĩ ciaku.
0a01140023	“Ũhoro ũyũ ndũkaheanwo Gathu,
0a01150029	“Atĩrĩrĩ, inyuĩ irĩma cia Giliboa,
0a01160029	Kuuma kũrĩ thakame ya arĩa moragĩtwo,
0a01170018	“Saũlũ na Jonathani,
0a0118001d	“Inyuĩ airĩtu a Isiraeli,
