2900000005	Marka
29052b0086	Cun Jesuh nih hi thu hi hukhaw fiah ter lo dingin khoh ngaiin thu a pe hnei ih cuvai nu ih ei dingah thil pakhat khat pek a forh hnei.
2906010052	Jesuh cu cuvai hmun in a suahnak khua ah a feh ih a dungthluntu pawl nih an thlun.
29060200fd	Sabbath ni ah sinakok ah thu zirh a thok. A thuzirhmi a theitu mi tampi cu an mang a bang ngai ih, “Hivai pa nih hi thil pawl hi khoituʼn a ngah? A sinih pekmi hivai fitnak hi zangtu fitnak a i? Zangtin himang mangbangza hi teh a kut in a tuah thiam?
29060300c2	Ani cu Mary ih fapa, James, Joses, Judas le Simon le pawl ih upa, lettama pa khi a si lo maw? A naunu le khaw hiva kan sinah an um ve i lo maw?” tiah an ti. Cun an ni le nih Jesuh cu an hnong.
2906040088	Cun Jesuh nih an sinah, “Profet cu ama ih khua le ram, a sungkhat pawl le a sungkua hrello hmun dang ah cu an upat,” tiah a ti hnei.
290605006f	Cun cuvai hmun ah cun mifak temte tlunah a kut a suang ih a damter; cuvai hrello mangbangza zangkhaw a tuah lo.
290606005d	Cun an zuplonak ruangah Jesuh cu a mangbang. Cun a kaingkap khua pawl ah a feh ih thu a zirh.
2906070078	Cule minung hleinih cu a ko hnei ih pa nih panih in a thlah hnei. Cun thlarau sia pawl tlunih thuneih theinak a pe hnei.
29060800a3	Cule an sinah, “Nan khualtlotnak ah fiangṭhulh hrello zangkhaw keng hlah uh — caw i seh, khualtlotnak zal i seh, paisa bawm sungah paisa i seh, keng hlah uh.
2906090048	Kedap cu hru uh, asinain angki hlei keng hlah uh,” tiah thu a pe hnei.
29060a005d	Cun an sinah, “Inn sung nan luh cangcang in, nan feh sal hlan lo cuvai inn ah nan cam thok.
29060b00b0	Cun riah-inn nan ta cohlang lo ih nan thu nan ta ngai lo tu khua cu, an khua nan suah tak tikah, anma dokalhnak fiahpittu ah, nan ke ih leivut cu thingta uh,” tiah a ti hnei.
29060c0031	Curuangah an feh ih sirfaknak ding thu an phuang.
29060d004e	Khawsia tamngai an dawi suak ih mifak tamngai khaw hriak an culh ih an damter.
29060e00ff	Jesuh ih hmin a than tuk ruangah Siangpahrang Herod nih Jesuh ih thuhla cu a thei ve. Mi hrekkhat nih, “Baptisma petu Johan cu thihnak in a thosal. Curuangah hi mangbangza thil pawl tuahtheinak huham cu Jesuh sinah ṭuan a ṭuan i thok,” tiah an ti.
29060f009f	Mi dang pawl nih, “Elijah a si,” tiah an ti. Asinain mi dang pawl sei nih, “Profet a i, a sih lole profet pawl lakih pakhat khat mang a i,” tiah an ti.
2906100088	Asinain Herod nih cuvai thu a theih ve tikah, “A hngawng ka ṭhawh termi Johan a si kau, thihnak in a thosal si lai tu!” tiah a ti.
290611010e	Zangahtihle Herod ama rori nih a naupa Filip ih nupi Herodias ruangah mi a thlah ih Johan cu a tlai ter hnei, cule hri thawn khit pit in thawng thla dingin thu a pek dahmi a i. Zangruangah tih le Herod nih a nau pa Filip ih nupi Herodias cu nupi ah a ṭhit ruangah a i.
2906120079	Zangahtihle Johan nih Herod sinah, “Na naupa ih nupi na ṭhit cu daan nih a duh lo,” tiah a tih tak dah ruangah a i.
2906130052	Curuangah Herodias nih Johan cu a mit a kem ih thah a duh; Asinain a that thei lo.
29061400de	Zangruangah tih le Johan cu mi dingfel le mi thianghlim a i tih Herod nih a fiah ruangah a ṭih ih a hum. Herod nih Johan ih thu a theih tikah, thin buai ngai in a um, cule a thusipmi cu lungawi ngai in ngai a duh thotho.
29061500a5	Cun Herod nih a suahni lopnak ah bawi upa pawl, ralbawi pawl le Galilee peng ih upa pawl hrangah zanriah ei khatnak puai a tuah ih, Herodias cu tikcu remcang a ngah.
29061600c1	Herodias ih fanu cu a rong lut ih a lam, Herod le a mikhual pawl cu an lung a awi ngai. Cun Siangpahrang pa nih numi nute sinah cun, “Na duhmi hmahhmah cu ka hler la ta pe thok,” tiah a ti.
2906170082	Cun cuvai nute sinah, “Ka na hlerhmi poh cu ta ka pe thok, ka ram a hrek tiang khaw ta pe thok!” tiah siatti dingin thu a kam.
2906180087	Cun cuvai nute cu a feh ih a nu sinah, “Zangtu ka hler thok?” tiah a sut. Cun a nu nih, “Baptisma petu Johan ih lu,” tiah a ti.
290619009b	Cun cuvai nu cu zamrang ngai in siangpahrang pa sinah a feh lohli ih, “Baptisma petu Johan ih lu cu kheng thawn in ka pe lohli la ka duh,” tiah a hler.
29061a0093	Cun siangpahrang pa cu a riah a se ngai, asinain siatti dingin thu a kam cem ruangah le a mikhual pawl ruangah cuvai nu ih hlerhmi cu a el thei lo.
29061b008f	Siangpahrang pa nih mithattu a thlah lohli ih Johan ih lu la dingin thu a pe. Cuvai pa cu thawnginn songah a va feh ih Johan ih lu cu a va tan.
29061c0062	Cun Johan ih lu cu kheng thawn a keng ta ih numi nute cu a pe. Cule numi nute nih a nu sinah a pe.
29061d006b	Cuvai thu cu Johan ih dungthluntu pawl nih an fiah tikah, an feh ih a ruak cu an la, cule thlan ah an phum.
29061e0073	Cun a forhthlah pawl cu Jesuh sinah an hmuakkhawm fa ih an tuahmi hmahhmah le an zirhmi hmahhmah cu a zaten an sim.
29061f00bc	Cun ani nih an sinah, “Ram ṭhing ah nanma thawn hlang kan feh thok ih kan va cawlhnga thok,” tiah a ti hnei. Zangahtihle mi lut suak an tamtuk ruangah caw ei can rori hman an nei lo.
2906200034	Cun ram ṭhing la ah anma hlang lawng thawn an feh.
29062100a2	Mipi pawl nih an pawh lai cu an hmu ih hutu le an si tih an fiah tikah khua cangcang in ke thawn an zuang. Cule Jesuh le a dungthluntu pawl ih bat hlan ah an ban.
2906220092	Jesuh cu lawng sungin a suah tikah, miburpi cu a hmu hnei, cule khaltu nei lo tuu mang an ih ruangah a thinfak hnei. Cule thu tamngai a zirh hnei.
2906230079	Cun ni a sim i tikah, a dungthluntu pawl cu Jesuh sinah an feh ih, “Hi hmun hi ram ṭhing a i, ni le a sim ngai i cem.
2906240072	Mipi pawl hi, kiangkap ih lo le khua pawl ah thlah hnei la, ei ding thil zangtumaw tal leih fa seu,” tiah an ti.
29062500aa	Asinain Jesuh nih, “Ei ding cu nan nih pe uh,” tiah a sawn hnei. Cun an ni nih, “Ngun tangka 200 man in caw lei pit in mipi pawl hi kan pe thok maw?” tiah an sut.
290626009a	Cule ani nih an sinah, “Sang hlawm khawzat nan nei? Feh uhla zoh uh,” tiah a ti hnei. Cun an va zoh ih, “Sang hlawm nga le nga panih,” tiah an ti.
2906270069	Cule a dungthluntu pawl sinah, mipi pawl cu ta hring tlun ah a bur a bur in to ter dingah, thu a pe hnei.
2906280039	Curuangah mipi pawl cu zakhat bur, sawmnga bur tin an to.
29062900c0	Cun sang hlawm nga le nga panih cu a la ih, van la zoh in lungawithu a sim. Cule sang cu a seu ih mipi pawl zem dingah a dungthluntu pawl sinah a pe. Cun nga panih khaw cu an zate sinah a zem.
29062a0024	Cule an zaten an ei ih an khop ngai.
29062b0066	An hlahmi nga le sang nepnawi pawl cu a dungthluntu pawl nih an sar ih khoto hleinih a khat in an sar.
29062c0031	Cuvai sang eitu pawl cu pami hlang ah 5,000 an i.
29062d0098	Jesuh nih mipi pawl a tlun ter hnei laiah, tili ral ih Bethsaida khua ah feh khan dingin a dungthluntu pawl cu hmakhatte ah lawng sungah a lut ter hnei.
29062e0047	Cun Jesuh cu mipi pawl tlun hnukah, thla cam dingin tlang tlunah a kai.
29062f0059	Cun ni a sim i tikah, lawng cu tili laifang ah a um ih Jesuh cu tili kam ah ama kau a um.
29063000cb	Zil cu anma la ah a zuan ruangah, a dungthluntu pawl cu harsa ngaiin lawng an to cu a hmu hnei. Curuangah zingmaw khawvang hlan hrawngah tili tlunin an sinah a feh. An sin a tian tikah lattak hnei a tum.
2906310048	Cun ti tlunih a feh cu an hmuh tikah, muthla ah an tih ih an hek ciamco.
2906320098	Zangahtihle an zaten an hmu ih an ṭih tuk. Asinain hmakhatte ah Jesuh nih an sinah, “Thinphang hlah uh, kei ka si, ṭih hlah uh,” tiah a ti hnei.
290633006b	Cun a dungthluntu pawl sin lawng sungah a lut ih zil cu a dai. Cun dungthluntu pawl cu an mang a bang ngai.
2906340063	Zangahtihle an lung a ruh tuk ruangah mi 5,000 caw a darmi ih a tih duhsatnak khaw an fiahthiam lo.
2906350053	Cun tili an tan ngah tikah Gennesaret ah an ban, cule an lawng cu tikap ah an khit.
2906360049	Lawng sung in an ṭum tikah, mipi pawl nih Jesuh cu an fiah thiam lohli.
2906370092	Cun cuvai ram kiangkap pawl hmahhmah ah an zuang ih, Jesuh a um tih an fiahnak hmun cangcang ah mifak pawl cu an ihnak tangthah thawn an tian pit.
29063800d5	Cun Jesuh ih fehnak hmun khawte cang ah iseh, khawpi cang le lo tiangah khaw iseh, mifak pawl cu dawr hmun ah an tian pit. Jesuh ih hnipuan zimte tal tham ter dingah an hler. Cule a tham ngahtu hmahhmah cu an dam.
2907010066	Cun Jerusalem in a tiangmi Farasi pawl le daanthiam hrekkhat pawl cu Jesuh ih hram ah an hmuakkhawmfa.
290702007f	Cule Jesuh ih dungthluntu hrekkhat pawl cu an kut hnawm pi in caw an ei khi an hmu — cucu an kut an ṭawlfa lo, tinak a i. (
290703008d	Zangahtihle Farasi pawl le Judah mi hmahhmah nih, an pupa pawl ih dun le daan khoh ngai in an thlun ruangah, kut ṭawlfa loʼn caw an ei lo.
29070400cb	Cun dawr in an tlun tik khawah kholhfa hmasak loʼn zangkhaw an ei lo. Cule an pupa pawl ih dun le daan pawl: khuat ṭawl dan, khukheng ṭawl dan le ihkhun pawl thianfaih dan tivek pawl khaw an thlun.)
29070500ad	Cun Farasi pawl le daanthiam pawl nih Jesuh cu, “Zangruangah na dungthluntu pawl hi kan pupa pawl ih dun le daan thlun loʼn, kut hnawm pi thawn caw an ei?” tiah an sut.
29070600cc	Cun Jesuh nih an sinah, “Profet Isaiah nih, nan mitifater pawl ih thuhla a sip mi cu a dik taktak. Hitin a ngan: “‘Hi minung pawl nih an hmurka kau in ka na upat, Asinain an thinlung cun ka na hlat.
290707005e	Kei ka na biaknak cu a lakmen a i, minung ih daan pawl cu Pathian ih thurin mangin an zirh.’
290708004b	“Pathian ih thupek cu nan ram ih minung ih dun le daan sawn nan thlun.”
290709006a	Cun Jesuh nih an sinah, “Nan zirhsinmi dun le daan hngetkhoh dingah Pathian ih thupek sawn cu nan hnong.
29070a008a	Zangahtihle Moses nih, ‘Nan nu le nan pa cu upat uh,’ cule, ‘A nu le pa ṭonsia ih a be tu cu thah tengteng thok a i,’ tiah a ti.
29070b00b7	Asinain nan nih cu, ‘Mi pakhat khat nih a nu le a pa hrangah thil ṭha pakhat khat nei na kau in “Korban a tih” a sih ahcun (Korban tihmi cu Pathian sinih pekhlanmi tinak a i),
29070c0042	cuvai pa cu a nu le pa zohkhentu sihnak in a luat,’ tiah nan ti.
29070d008a	Nan zirhsinmi nan dun le daan hmangin, Pathian ih thu cu zanghmanlo ah nan tuah. Cule cuvai mang thil tamngai khaw nan tuah,” tiah a ti.
29070e0058	Cun Jesuh nih mipi pawl cu a ko hnei sal ih an sinah, “Nan zaten ka ngai uhla cing uh.
29070f008f	Lengla in sungla ih a lutmi thil pawl nih minung hi a hnawmter lo; Asinain sungla in a suakmi thil pawl nih a hnawmter sawn,” tiah a ti hnei.
2907110073	Jesuh cu mipi pawl ramta hnei pit in inn song a luh tikah, a dungthluntu pawl nih cuvai tahṭhipnak thu cu an sut.
290712007f	Jesuh nih an sinah, “Zangtin nan khaw nan cing ve cuang lo maw? Lengla in a lut mi zangtu thil khaw nih minung a hnawmter lo,
29071300e4	zangahtihle cuvai thil cu a thinlung sungah a lut lo ih, a pumpi sungah a lut sawn. Cule ekinn ah a suak colh sal, tih nan fiah lo maw?” tiah a ti hnei. (Aitin a tihnak cu caw hmahhmah hi ei thiang a i, tiah a tih duhnak a i.)
2907140044	Cun Jesuh nih, “Minung sungih a suakmi thil nih minung a hnawmter.
2907150060	Zangahtihle minung sungla ih a suakmi ruahnak ṭha lo, nupa sual tuahnak, lolak hlah, lainawng,
2907160091	ṭangṭawm sualnak, duhhamnak, sualralnak, mideu, taksa hiarnak, nahsuah iksiknak, midang thangsiatnak, puarthaunak, atthlakza thil tuahnak —
2907170059	aivai thil ṭha lo hmahhmah cu minung sungin a suak ih, minung a hnawmter,” tiah a ti.
29071800a7	Cun Jesuh cu cuvai hmun in a pok ih, Tai-ar khuapi hram la ah a feh. Cule inn pakhat sungah a lut ih hutukhaw ih an fiah ding a duh lo, asinain a thupfa thei cuang lo.
2907190090	Zangahtihle a fanu khawsia ih luhhnawh mi ih nu, nucang pakhat nih Jesuh a um tih a fiah ih a sinah a feh, cule hmakhatte ah a ke hram ah a bok.
29071a006e	Nucang nu cu Zentail mi Fonisia rammi a i. Cuvai nu nih a fanu sungih khawsia dawisuak dingah Jesuh cu a hler.
29071b008b	Jesuh nih a sinah, “Fale nih khop ngai in ei hmasak seu. Zangahtihle fale ih caw laksak pit in uico pek cu a ṭha thok lo,” tiah a ti.
29071c008c	Asinain cuvai nucang nu nih, “A i hrim, Bawipa, fale ih caw tlawktlau cu cabuai tangih uico pawl nih ei ve kau hmah uh ee,” tiah a sawn.
29071d007f	Cun Jesuh nih cuvai nu sinah, “Hivai na ṭonkam ruangah, na feh thei i, na fanu sung in khawsia cu a suak cem,” tiah a ti.
29071e0063	Cun cuvai nu cu inn a bat tikah, a fanu cu ihkhun tlunah it in a hmu. Khawsia cu a suak cem taktak.
29071f0063	Cun Jesuh cu Tai-ar peng a ramta ih Sidon peng pal pah pit in Dekhapolis ram Galilee Tili ah a feh.
2907200088	Cun naset le fiangngai ih ṭonthiamlo pa pakhat cu Jesuh sinah an tianpit. Cule cuvai pa ih tlunah a kut suang dingin Jesuh cu an hler.
290721009d	Cun Jesuh nih cuvai pa cu mipi pawl lak in hmun dang deuh ah a ṭhita ih, cuvai pa ih naa sungah a zung in a von tok, a cihrit a kha, cule a lei a tham sak.
290722006d	Cun van la zoh in a thawpi a suah ih, “Ephphatha!” tiah a ti. A sullam cu, “Hong fa seh!” tihnak a i.
2907230063	Cun cuvai pa ih naa cu a theng ih a lei talh dawntu cu a poih, cule fiangngai in a ṭon suak thei.
2907240073	Cun Jesuh nih mipi pawl cu hukhaw sim lo dingin thu a pe. Asinain a kham hnei tam deuhdeuh le tam sinsin in an sim.
29072500aa	Cun mipi pawl cu an khuaruah a har ngai ih, “Thil zangkim hi ṭha tuk in a tuah. Naset pawl cu an naa a theng ter ih ṭonthiamlo pawl khaw a ṭon ter,” tiah an ti.
2908010094	Cuvai can ah, minung tamngai cu an hmuakkhawm fa seisei ih ei ding zangkhaw an neih lo tikah, Jesuh nih a dungthluntu pawl cu a ko hnei ih an sinah,
2908020079	“Mipi pawl hi ka thinfak hnei tuk, zangahtihle ka sinah an umnak ni thum lai a rei i cem ih ei ding zangkhaw an nei lo.
29080300a0	Zangkhaw ei lo in ka tlun ter hnei asihle, lam lakah an caw ṭam in an ba colh thok. Zangahtihle mi hrekkhat cu lam hlapi in a tiangmi an i,” tiah a ti hnei.
290804007d	Cun a dungthluntu pawl nih, “Aimang ramṭhing lakah hutu nih minung hi zat hrangah caw a hrawl thei thok?” tiah an sawn.
2908050075	Jesuh nih an sinah, “Sang hlawm khawzat nan nei?” tiah a sut hnei. Cule an ni nih, “Hlawm sarih,” tiah an ti.
29080600d9	Cun Jesuh nih mipi pawl cu leilung ah to dingin thu a pe hnei. Cule sang hlawm sarih cu a la ih lungawithu a sip hnukah, a seu ih mipi pawl zem dingah a dungthluntu pawl sinah a pe. Cule an ni nih mipi pawl cu an zem.
2908070061	Nga fate te khaw temte an nei. Lungawithu a sip hnukah mipi pawl zem thotho dingin thu a pe hnei.
290808006b	Cun mipi pawl cu an ei ih an khop ngai. Cule an hlahmi nepnawi pawl cu an sar sal ih kho sarih khat an sar.
290809004d	Cun a eitu mipi pawl cu 4,000 hrawng an i. Jesuh cu mipi pawl a tlunter hnei.
29080a005d	Cule hmakhatte ah a dungthluntu pawl thawn lawng sung ah an lut ih Dalmanutha peng ah an feh.
29080b007e	Cun Farasi pawl cu an tiang ih Jesuh thawn thu-el fak an thok. Jesuh hneksaknak dingah, vancung ihsin hmuhsaknak tuah an hler.
29080c00c7	Asinain Jesuh cu a thawpi a suah ih, “Zangruangah tun san minung pawl hi hmuhsaknak nan hrawl? Thutak in nan ta sim, tun san minung pawl sinah zangtu hmuhsaknak khaw pek an i thok lo,” tiah a ti.
29080d004f	Cule Jesuh cu a feh ta hnei ih lawng sungah a lut. Cun tili khatla ralah a feh.
29080e005d	Cun dungthluntu pawl nih sang kentak an hmulh ih lawng sungah cun sang hlawm khat kau an nei.
29080f0068	Cule Jesuh nih an sinah, “Farasi pawl ih colh le Herod ih colh hi ralring lau cih,” tiah a cah hnei.
290810005e	Cule “sang kan neih lo ruangah aitin kan na ti si na pan,” tiah pakhat le pakhat an ti fa.
29081100a2	Jesuh nih an ṭonmi a thei hnei ih, an sinah, “Sang nan neih lo thu cu zangah nan rel ngelngo? Nan cing thiam lo maw, nan fiahfiang lo? Nan lung a ruh rih maw?
2908120050	Mit nei hmah pit in — nan hmu lo maw? Naa nei hmah pit in — nan thei lo maw?
29081300c1	Minung 5,000 hrang ah sang hlawm nga ka seu lai ah khin an hlahmi a nepnawi kho khawzat nan sar? tih khi nan cing i lo maw?” tiah a sut hnei. Anni nih a sinah, “Kho hleinih,” tiah an let.
29081400c6	Cun Jesuh nih an sinah, “minung 4,000 hrang ah sang hlawm sarih ka seu lai ah khi an hlahmi a nepnawi kho khawzat nan sar?” tiah a sut hnei. Cule an ni nih a sinah, “Kho sarih,” tiah an let.
2908150053	Cule Jesuh nih an sinah, “Cucu nan fiahthiam rih cuang lo maw?” tiah a ti hnei.
2908160064	Cun Bethsaida khua an ban. Mitkhang pa pakhat cu a sinah an tianpit ih tham dingah Jesuh cu an hler.
29081700c1	Cun Jesuh nih mitkhang pa cu a kut in a tlai ih khaw lengah a ṭhi ta. Cule a mit ah cihrit a khak ih a tlunah a kut a suang. Cun Jesuh nih a sinah, “Zangtu tal hmu thiam cim?” tiah a sut.
2908180072	Mitkhang pa cu tlun la a zoh ih, “Minung pawl ka hmu thei, asinain thingkuang feh deido mang an i,” tiah a ti.
2908190071	Cun Jesuh nih a mit cu a tham sak sal ih a mit cu a hrak. A mit cu a damsal ih zang hmahhmah fiangten a hmu thei.
29081a0054	Cule Jesuh nih, “Khaw sungah lut vai hlah,” tiah thu a pe ih inn ah a tlung ter.
29081b00b1	Cun Jesuh le a dungthluntu pawl cu Sisaria Filipi ih khawte pawl ah an feh. Jesuh nih lampi lakah a dungthluntu pawl cu, “Mi nih kei hi hutu tiah ka na ti?” tiah a sut hnei.
29081c00b7	A dungthluntu pawl nih a sinah, “Baptisma petu Johan a si, ta ti. Asinain mi hrekkhat nih Elijah a si, ta ti. Mi hrekkhat nih profet pakhat khat a si, tiah ta ti eng,” tiah an ti.
29081d0094	Cule Jesuh nih an sinah, “Asihle nan teh kei hi hutu tiah ka na ti?” tiah a sut hnei. Peter nih a sinah, “Nang cu Khrih na si,” tiah a sawn.
29081e0052	Cule Jesuh nih a thuhla cu hutukhaw sim lo dingah khoh ngaiin ralrinnak a pe hnei.
29081f00e3	Cun Jesuh nih a dungthluntu pawl thuzirh a thok. Minung fapa cu harnak tamngai a tuar thok ih upa pawl, puithiam upa pawl le daanthiam pawl nih an hnong thok. Cule an that thok ih ni thum hnukah a thosal thok, tiah a zirh hnei.
2908200079	Cun cuvai thu cu an sinah langhngan ngaiin a sim hnei. Cule Peter nih Jesuh cu hmun dang deuhah a ṭhita ih a mawhthluk.
29082100ba	Asinain Jesuh cu a her fa ih a dungthluntu pawl zoh hnei pah in Peter cu a tai, “Seihtan, ka dung la ah feh! Zangahtihle Pathian thil ruat loʼn minung thil sawn na ruat,” tiah a ti.
29082200bb	Cun Jesuh nih mipi pawl le a dungthluntu pawl cu a ko hnei ih, an sinah, “Hutu khaw ka dung ka na thlun duhtu cu ama le ma hnong fa seh, cule a thinglamtah phur in ka dung ka thlun seh.
29082300b7	Zangahtihle hutu poh khaw ama ih nunnak a rung duhtu cu a nunnak a hlo thok, asinain hutu poh khaw keimai hrang le thuthang ṭha ruangih a nunnak a hlotu cu a nunnak a run ngah thok.
290824006e	Zangahtihle mi pakhat nih leilung pumpi hi co in ama ih nunnak hlo hnik sehla, a hrangah zangtu hlawknak a um?
2908250030	A nunnak cu zangtu thawn in a lei thei sal thok?
29082600d4	Hutu khaw sualnak le rinumlonak ih a khatmi hivai san ah, kei le ka thu a zahpittu cu minung fapa nih a Pa ih sunlawinak le a thianghlim vancungmi pawl thawn an tian leh tikah a zahpit hnei ve thok,” tiah a ti.
29090100ba	Cun Jesuh nih an sinah, “Thutak in nan ta sim, hivai hmun ih a dingmi mi hrekkhat hi, Pathian ih Uknak cu huham thawn a tian an hmuh hlan lo, thihnak tep lo dingmi an um,” tiah a ti.
2909020092	Cun ni ruk hnukah, Jesuh nih Peter, James le Johan pawl cu tlang tlunah anma lawng a kai pit hnei. Cule Jesuh cu an hmai ah a muihmel a thleng fa.
2909030074	A hnipuan cu a tleu ih a var setak — leitlun ih thil sawptu hutu mang khaw nih cutluk var in an tuah thei thok lo.
290904004e	Cun an sinah Elijah cu Moses thawn an rong lang ih Jesuh thawn an be fa berbo.
29090500b2	Cule Peter nih Jesuh sinah, “Rabbi, aiva ih kan um hi a ṭha tuk. Thlam pathum in sa u sing, na hrangah pakhat, Moses hrangah pakhat, cule Elijah hrangah pakhat,” tiah a ti.
2909060049	Zangruangah tihle an ṭih tuk ih ṭon ding dang a fiah lo ruangah a si.
2909070089	Cun khawdur nih a ron khuh hnei ih khawdur sung in aw pakhat nih, “Hihi ka duhdawt ngaimi ka Fapa a si — a thu ngai uh!” tiah a ti.
2909080077	Cucangin dungthlutu pathum pawl cu an kiangkap an zoh lohli ih hutukhaw an hmu lo; Jesuh kau an hram ih a um cu an hmu.
290909009e	Tlang tlun in an rong ṭum laiah, “Minung Fapa thihnak ihsin a thawhsal hlan lo cu, an hmuh mi thilpawl hutukhaw sim lo dingah,” Jesuh nih thu a pe hnei.
29090a007f	Cuvai a thupekmi cu an thlun ih, “‘thihnak in thawhsal,’ tihmi cu zangtu khi i la na?” tiah pakhat le pakhat an sut fa.
29090b0065	Cule Jesuh sinah, “Zangruangah daanthiam pawl nih Elijah a tiang hmasak thok an ti?” tiah an sut.
29090c00d5	Cun Jesuh nih an sinah, “Elijah cu a tiang hmasa taktak thok ih zang hmahhmah a remṭhasal colh thok. Zangruangah Ca Thianghlim sungah, Minung Fapa cu harnak tamngai a tuar thok ih hnon a i thok, tiah ngan a i?
29090d0081	Thutak in nan ta sim, Elijah cu a tiang taktak cem, cule a thuhla an ngancia mangin, an duhduh in a tlunah an tuah,” tiah a ti.
29090e008c	Cun dungthluntu dang pawl sin an tian tikah, mipi tamngai nih an kulh ih daanthiam pawl le dungthluntu pawl thu an el fak ngelngo cu an hmu.
29090f0067	Cule mipi zate cu Jesuh an hmuh cangka in an mang a bang setak, cule ama hmuak dingin a sinah an zuang.
290910005c	Cun Jesuh nih a dungthluntu pawl sinah, “An ni thawn zangtu nan el fa?” tiah a sut hnei.
2909110088	Cule mipi lakin mi pakhat nih a sawn ih, “Sayapa, nan sinah ka fapa ka tian pit, zangahtihle thlarau sia nih ṭon thiam lo in a tuah.
29091200e0	Thlarau sia nih a molh cangcang in leilung ah a hlon fa, a ka in rabuan a suak, a ha a rial ih a ṭhong colh. Cule na dungthluntu pawl sinah, thlarau sia dawisuak dingin ka sim hnei naʼn, an dawisuak thei lo,” tiah a ti.
29091300ce	Cule Jesuh nih a sawn ih an sinah, “Aw zupnak nei lo a tun san minung pawl, nan sinah khawtik tiang ka um rih thok? Nan tlunah khawtik tiang ka thinsau thok? Cuvai pa cu ka sinah tianpit uh,” tiah a ti.
29091400a3	Cule cuvai pa cu Jesuh sinah an feh pit. Thlarau sia nih Jesuh a hmuh cangka in nappang pa cu a caih ter ih leilung ah a ngal, a tawng fa ih a ka in rabuan a suak.
2909150073	Cule Jesuh nih, “Hitin a sihnak hi rei cem im?” tiah a pa cu a sut. Cule a pa nih, “A nappan lai in a si cem.
290916008f	Vei tampi cu thlarau sia nih that dingin meisa sung le ti sungah a hlon. Na tuah theimi a sih ahcun kan thinfah la kan bawm hram,” tiah a ti.
2909170082	Jesuh nih a sinah, “Na tuah theimi a sih ahcun, tiah na ti. A zumtu hrang ahcun zang hmahhmah hi a cang thei colh,” tiah a ti.
290918005d	Hmakhatte ah nappang pa ih pa cu a hek ih, “Ka zum, ka zuplonak ka bawm hram,” tiah a ti.
29091900d4	Jesuh nih mipi pawl hmuakkhawm fa cu a hmuh hnei tikah, thlarau sia cu a tai ih, a sinah, “Naset le ṭon thiam lo nang thlarau sia, hivai nappang pa sungin suak la lut sal i hlah, tiah thu ta pe,” tiah a ti.
29091a00a3	Cule thlarau sia cu a hek ih nappang pa cu a caih ter hnukah a sungin a suak. Nappang pa cu mithi mangin a um ih, mi tampi nih, “Nappang pa a thi,” tiah an ti.
29091b004d	Asinain Jesuh nih a kut in nappang pa cu a la ih a han tho, cule a hang ding.
29091c007e	Cule Jesuh cu inn songah a lut ih a dungthluntu pawl nih a thupteʼn, “Zangah kan hmah kan dawisuak thei lo?” tiah an sut.
29091d0078	Cule Jesuh nih an sinah, “Thlacamnak lo cun, himang thlarau sia cu zangkhaw nih a dawisuak thei lo,” tiah a ti hnei.
29091e008e	Cun Jesuh le a dungthluntu pawl cu cuvai hmun ihsin an pok ih Galilee peng palpah in an feh. Cule Jesuh nih hutukhaw ih an fiah ding a duh lo.
29091f00b9	Zangahtihle a dungthluntu pawl thu a zirh hnei ih, an sinah, “Minung Fapa cu mi kut ah pek a i thok ih an that thok. Cule an thah hnuk ni thum hnukah a thosal thok,” tiah a ti hnei.
290920004f	Asinain zangtu a sim tih an cing thiam lo, a suh le an ṭih ih an sut ngam lo.
29092100aa	Cun Jesuh le a dungthluntu pawl cu Kapernaum khua an ban. Cule inn songih a um laiah, Jesuh nih an sinah, “Lampi lakah zangtu thu nan el fa ngelngo?” tiah a sut hnei.
2909220065	Asinain daiten an um colh, zangahtihle lampi lakih an el fakmi cu an lakah hutu a hnem bik tihmi a i.
29092300c9	Cun Jesuh cu a to, cule a dungthluntu hleinih cu a ko hnei ih, an sinah, “Hutukhaw hmasabik sih a duhtu cu mi hmahhmah lakah netabik a i thok ih, mi hmahhmah ih siahhlawh a i thok,” tiah a ti hnei.
2909240059	Jesuh nih nappang pa a ko ih an laifang ah a ding ter, cule a kut in a cawi ih, an sinah,
29092500c5	“Hutukhaw ka hmin in himang nappang pakhat a cohlangtu cu kei ka na cohlang a i. Cule hutukhaw ka na cohlangtu cu kei kau ka na cohlang i lo in, ka na thlahtu sawn a cohlang mi a i,” tiah a ti.
290926009d	Johan nih Jesuh sinah, “Sayapa, na hmin in thlarau sia a dawisuaktu mi pakhat kan hmu ih kan na thluntu a ih lo ruangah cuvai pa cu kan dawn,” tiah a ti.
290927006c	Asinain Jesuh nih, “Dawn hlah uh, zangahtihle ka hmin ih mangbangza a tuahtu cu nih ka na relsiat thok lo.
2909280034	Zangahtihle kan na dokalh lotu cu kan la ṭang a i.
2909290093	Zangahtihle thutak in nan ta sim, Khrih ih ta na ih ruangah ka hmin in din ding ti khuat khat ta petu cu, a tuah ṭhatman a sung hrimhrim thok lo.
29092a00b1	“Cun hutukhaw ka na zumtu hivai nappang pakhat khat a sual tertu cu a hngawng ah fang rialnak lungtum thlaih pit in tipi thuanthum sungah hlon fa sehla a hrangah a ṭha sawn.
