2800000005	Matej
281a170049	On odgovori: “Izdat će me onaj koji sa mnom umače kruh u istu zdjelu.
281a18009d	Jer ja, Sin Čovječji, moram umrijeti kao što piše u Svetome pismu. Ali teško onome koji izda Sina Čovječjega! Bilo bi mu bolje da se nije ni rodio!”
281a190060	I izdajnik Juda ga upita: “Učitelju, da nisam ja taj?” A Isus mu reče: “Sam si kazao.”
281a1a0084	Dok su blagovali, Isus uzme kruh, blagoslovi ga, razlomi te podijeli učenicima govoreći: “Uzmite i jedite! To je moje tijelo.”
281a1b0053	Zatim uzme čašu vina, zahvali Bogu i pruži njima govoreći: “Svi pijte iz nje!
281a1c005a	Ovo je moja krv, krv novoga Saveza, koja se prolijeva za oproštenje grijeha mnogih ljudi.
281a1d0072	I kažem vam: Neću više piti vina sve do onoga dana kada ću piti s vama novo vino u kraljevstvu svojega Oca.”
281a1e0039	Otpjevaju zatim psalme i zapute se prema Maslinskoj gori.
281a1f0084	Tada im Isus reče: “Noćas ćete me svi napustiti, jer u Svetome pismu piše: ‘Udarit ću pastira i ovce će se razbježati.’
281a200034	Ali kada uskrsnem, ići ću pred vama u Galileju.”
281a210046	Petar mu reče: “Napuste li te svi ostali, ja te neću napustiti!”
281a22007d	“Zaista ti kažem,” reče mu Isus, “još ove noći, prije nego što pijetao zakukuriče, triput ćeš me se odreći.”
281a23007a	“Neću!” odvrati Petar. “Makar morao s tobom i umrijeti, neću te se odreći!” Tako su se zaklinjali i svi ostali.
281a240076	Isus dođe s učenicima u maslinik nazvan Getsemani te reče učenicima: “Sjednite ovdje dok se ja odem pomoliti!”
281a250051	Povede sa sobom Petra i obojicu Zebedejevih sinova. Obuzmu ga žalost i tjeskoba.
281a260057	Tada im reče: “Duša mi je nasmrt shrvana tugom. Ostanite ovdje i bdijte sa mnom.”
281a270092	Ode malo dalje i padne ničice moleći se: “Oče moj! Ako je moguće, poštedi me ove čaše! Ipak, neka bude po tvojoj, a ne po mojoj volji.”
281a28006e	Zatim se vrati trojici učenika i nađe ih spavati te reče Petru: “Niste li mogli ni ure probdjeti sa mnom?
281a290065	Ostanite budni i molite se da vas ne bi svladala kušnja! Jer duh je spreman, ali je tijelo slabo.”
281a2a0085	Ode još jedanput i pomoli se: “Oče moj! Ako nije moguće da me poštediš te čaše, neka bude po tvojoj, a ne po mojoj volji.”
281a2b003c	I opet ih po povratku nađe spavati jer su im oči otežale.
281a2c003c	Opet ih ostavi i ode se treći put pomoliti istim riječima.
281a2d0084	Zatim se vrati k učenicima i reče im: “Još spavate i odmarate se? Kucnuo je čas! Sin Čovječji, predan je grešnicima u ruke.
281a2e0033	Ustanite! Hajdemo! Evo, moj je izdajnik već tu!”
281a2f00ae	Dok je još govorio, stigne Juda, jedan od Dvanaestorice, a s njime i svjetina naoružana mačevima i toljagama, koju su poslali svećenički poglavari i narodni starješine.
281a300047	Izdajica im je dao znak: “To je onaj kojega poljubim. Uhvatite ga.”
281a310045	On odmah priđe Isusu i reče: “Zdravo, Učitelju!” i poljubi ga.
281a320061	“Zašto si došao ovamo, prijatelju?” ukori ga Isus. Zatim podignu ruke na Isusa i uhvate ga.
281a330075	A jedan od onih koji su bili s Isusom maši se rukom te izvuče mač i njime odsiječe uho sluzi velikoga svećenika.
281a34005d	“Vrati mač u korice”, reče mu Isus, “jer tko se mača laća, od mača će i poginuti.
281a350072	Zar ne shvaćaš da mogu tražiti od Oca više od dvanaest legija anđela da nas zaštite i on bi ih odmah poslao?
281a360036	Ali da to učinim, kako bi se ispunilo Sveto pismo?”
281a37009c	Zatim reče svjetini: “Pošli ste na mene mačevima i toljagama kao na prevratnika! A svaki dan sam sjedio u Hramu i poučavao, pa me ipak niste uhvatili.
281a380086	Ali sve se ovo događa zato da bi se ispunilo ono što su o meni u Pismu napisali proroci.” Nato ga svi učenici napuste i pobjegnu.
281a390066	Isusa uhvate i odvedu ga velikomu svećeniku Kajfi kod kojega su se okupili pismoznanci i starješine.
281a3a0095	Petar je izdaleka slijedio Isusa do dvorišta palače velikog svećenika. On uđe u dvorište te sjedne sa slugama da vidi kako će sve to završiti.
281a3b0095	Unutra su svećenički poglavari i cijelo Veliko vijeće tražili su protiv Isusa kakvo lažno svjedočanstvo na temelju kojega bi ga mogli smaknuti.
281a3c0059	Ali nisu ga mogli pronaći iako su se javili mnogi lažni svjedoci. Napokon dođu dvojica
281a3d005f	i izjave: “Ovaj je rekao: ‘Mogu srušiti Božji hram i za tri dana ga opet izgraditi!’”
281a3e0067	Veliki svećenik zatim stane i upita Isusa: “Zar ništa ne odgovaraš na ove optužbe protiv tebe?”
281a3f0069	Isus je šutio. “Zakuni se živim Bogom i reci jesi li ti Krist, Božji Sin”, reče veliki svećenik.
281a40009e	“Sam si rekao”, odgovori Isus. “A ja vam kažem da ćete gledati Sina Čovječjega kako sjedi zdesna Svemogućemu i kako dolazi na nebeskim oblacima.”
281a410065	Nato veliki svećenik razdere svoju odjeću i reče: “Hulio je na Boga! Što će nam još svjedoci?
281a420039	Što kažete?” A oni odgovore: “Zaslužio je smrt!”
281a43003f	Zatim su Isusu pljuvali u lice i tukli ga. Neki su ga pljuskali
281a440036	govoreći: “Proreci nam tko te je udario, Kriste!”
281a45006f	Dok je Petar sjedio vani u dvorištu, priđe mu neka sluškinja i reče: “I ti si bio s Isusom Galilejcem!”
281a46003e	Petar to pred svima zaniječe: “Ne znam o čemu govoriš!”
281a470074	Kad je izišao u predvorje, spazi ga druga sluškinja i reče nazočnima: “Ovaj je bio s Isusom Nazarećaninom!”
281a480043	On opet zaniječe i još se zakune: “Ne poznajem tog čovjeka!”
281a490070	Ali ubrzo mu priđu ljudi koji su bili ondje. “Pa ti si doista jedan od njih! Odaje te galilejski naglasak.”
281a4a0062	Petar se stane kleti i zaklinjati: “Ja ne poznajem tog čovjeka!” I pijetao odmah zakukuriče.
281a4b00a6	On se tada sjeti što mu je Isus rekao: “Zaista ti kažem, prije nego što pijetao zakukuriče, triput ćeš me se odreći.” Iziđe iz dvorišta i gorko zaplače.
281b010079	Rano ujutro sastanu se na vijećanje svi svećenički poglavari i narodne starješine da se dogovore kako da ubiju Isusa.
281b02002f	Svežu ga i odvedu rimskome upravitelju Pilatu.
281b030099	Kada je Juda, njegov izdajica, vidio da su Isusa osudili na smrt, pokaje se i odnese trideset srebrnjaka natrag svećeničkim poglavarima i starješinama
281b040085	te im reče: “Zgriješio sam! Izdao sam nedužna čovjeka!” “Što se to nas tiče?” odgovore mu oni. “To je tvoja stvar!”
281b05003a	Juda nato baci srebrnjake u Hram, a zatim ode i objesi se.
281b06008b	Svećenički poglavari pokupe srebrnjake. “Ne smijemo ih staviti u hramsku blagajnu”, rekoše, “jer su isplaćeni za krvavo djelo.”
281b07005c	Zato se dogovore te za njih kupe lončarovu njivu da posluži kao groblje za ukop tuđinaca.
281b08002e	Zato se ta njiva još zove “Krvava njiva”.
281b090075	Tako se ispunilo Jeremijino proročanstvo: “Uzeli su trideset srebrnjaka— na toliko su ga procijenili Izraelci—
281b0a003d	i kupili su lončarovu njivu, kako je Gospodin zapovjedio.”
281b0b0082	Isusa dovedu pred rimskoga upravitelja Pilata. On ga upita: “Jesi li ti kralj Židova?” “Ti to kažeš”, odgovori mu Isus.
281b0c004d	Svećenički ga poglavari optuže za mnoge zločine, ali Isus nije odgovarao.
281b0d0044	Pilat ga stoga upita: “Zar ne čuješ kako te teško optužuju?”
281b0e0049	Ali Isus ne odgovori ni na jedno pitanje, što je Pilata veoma začudilo.
281b0f0093	Bio je, međutim, običaj da rimski upravitelj svake godine o blagdanu Pashe pusti na slobodu jednoga židovskog zatvorenika kojega narod zatraži.
281b10003a	U to je vrijeme jedan od zatvorenika bio zloglasni Baraba.
281b11009d	Kad se mnoštvo okupilo da zatraži da se pusti jedan zatvorenik, Pilat ih upita: “Koga hoćete da vam pustim? Barabu ili Isusa kojega nazivaju Mesijom?”
281b120031	Znao je, naime, da su ga predali sudu iz zavisti.
281b130097	Dok je Pilat sjedio na sudačkom stolcu, stigne mu poruka od njegove žene: “Okani se tog pravednika jer sam se noćas u snu namučila zbog njega!”
281b140071	Svećenički poglavari i starješine, međutim, nagovore svjetinu da zatraži slobodu za Barabu, a smrt za Isusa.
281b150070	Kad ih je zatim upravitelj upitao: “Koga od njih dvojice želite da vam pustim?” oni odgovore: “Barabu!”
281b16005a	“A što ću onda s Isusom kojega zovete Mesijom?” upita. “Raspni ga!” poviču oni.
281b17006b	“Zbog čega? Kakvo je zlo učinio?” upita Pilat. Ali oni su samo još glasnije vikali: “Raspni ga!”
281b1800c6	Kad je Pilat vidio da ništa ne koristi i da metež postaje sve gori, uzme vodu i pred svjetinom opere ruke govoreći: “Ja sam nevin od krvi ovoga čovjeka! Vi ćete za nju snositi odgovornost!”
281b190050	Nato sva svjetina poviče: “Neka njegova krv padne na nas i na našu djecu!”
281b1a0041	Pilat im tada pusti Barabu, a Isusa dade izbičevati, pa raspeti.
281b1b004e	Upraviteljevi vojnici odvedu Isusa u pretorij i sazovu oko njega cijelu četu.
281b1c0026	Svuku ga i zaogrnu grimiznim plaštem.
281b1d00a2	Spletu zatim krunu od trnja i stave mu je na glavu, a u ruku mu stave trsku kao žezlo. “Živio kralj Židova!” rugali su mu se i prigibali pred njim koljena.
281b1e0032	Pljuvali su po njemu i udarali ga trskom po glavi.
281b1f005f	Kad su mu se izrugali, skinu s njega plašt, odjenu ga u njegovu odjeću i odvedu da ga raspnu.
281b200053	Vodeći ga, sretnu nekoga Šimuna iz Cirene te ga primoraju da ponese Isusov križ.
281b21003d	Dođu do mjesta zvanoga Golgota (što znači: “lubanja”).
281b220043	Vojnici mu pruže vino sa žuči, ali kad ga okusi, nije htio piti.
281b23004c	Kad su ga raspeli, bace kocku te tako razdijele među sobom njegovu odjeću.
281b240024	Zatim su ondje sjedili i čuvali ga.
281b250058	Iznad glave su mu postavili natpis o njegovoj krivnji: “ovo je isus, kralj Židova.”
281b260052	S njime su raspeli i dvojicu prevratnika, jednoga njemu zdesna, a drugoga slijeva.
281b27002e	A prolaznici su ga ružili i odmahivali glavom
281b280085	govoreći: “Možeš srušiti Hram i sam ga opet izgraditi u tri dana, je li? Spasi onda sebe! Ako si Božji Sin, siđi s križa!”
281b29004c	Slično su mu se rugali i svećenički poglavari, pismoznanci i starješine:
281b2a0073	“Spasio je druge, a sebe ne može spasiti! Kralj Izraelov! Neka sada siđe s križa pa ćemo povjerovati u njega!
281b2b006e	Uzdao se u Boga! Neka ga Bog sada izbavi ako mu je on uistinu po volji! Tvrdio je: ‘Ja sam Božji Sin.’”
281b2c0039	Vrijeđali su ga čak i prevratnici raspeti skupa s njim.
281b2d003b	O podnevu po svoj zemlji nastane tama i potraje do tri ure.
281b2e0080	U tri sata Isus glasno poviče: “Eli, Eli, lema sabahtani!” (što znači: “Bože moj, Bože moj, zašto si me ostavio?”)
281b2f003c	“Zove Iliju!” rekoše neki od nazočnih kad su to čuli.
281b300062	Jedan od njih odmah pritrči, uzme spužvu, umoči ju u ocat i natakne na trsku te mu pruži piti.
281b310048	“Čekaj da vidimo hoće li doći Ilija da ga spasi”, kazaše ostali.
281b32002d	A Isus još jedanput glasno krikne i izdahne.
281b33005d	Nato se zastor u Hramu razdere napola od vrha do dna. Zemlja se potrese, špilje se raspuknu,
281b34003d	grobovi se otvore, a tijela mnogih umrlih pravednika uskrsnu.
281b350058	Nakon Isusova uskrsnuća oni iziđu iz grobova te odu u sveti grad i pokažu se mnogima.
281b360095	Kad su rimski stotnik i oni koji su s njime čuvali Isusa vidjeli potres i sve što se zbivalo, rekoše: “Ovaj je čovjek zaista bio Božji Sin!”
281b370063	Bile su tu i mnoge žene koje su promatrale izdaleka. Došle su iz Galileje za Isusom služeći mu.
281b38006a	Među njima su bile Marija Magdalena, Marija, majka Jakova mlađega i Josipa, te majka Zebedejevih sinova.
281b39005d	Uvečer dođe neki bogat čovjek iz Arimateje imenom Josip, koji je i sam bio Isusov učenik.
281b3a0055	On ode k Pilatu i zatraži da mu daju Isusovo tijelo. Pilat zapovjedi da tako učine.
281b3b002b	Josip uzme tijelo, umota ga u čisto platno
281b3c0053	i položi ga u svoj novi grob isklesan u stijeni. Navali na ulaz velik kamen i ode.
281b3d0050	Bile su ondje Marija iz Magdale i druga Marija i sjedile gledajući prema grobu.
281b3e0059	Sutradan, to je dan nakon Priprave, okupe se svećenički poglavari i farizeji kod Pilata
281b3f0075	te mu rekoše: “Gospodine, sjetili smo se da je onaj varalica za života rekao: ‘Nakon tri dana ću uskrsnuti.’
281b4000d4	Zapovjedi zato da grob bude pod stražom sve do trećega dana da ne dođu njegovi učenici, ukradu tijelo i kažu narodu: ‘Uskrsnuo je od mrtvih!’ Ako se to dogodi, ta će prijevara biti još gora od prve!”
281b41005c	Pilat im udovolji. “Postavite stražu”, reče. “Idite i osigurajte grob kako znate.”
281b42003f	Zatim odu i osiguraju grob—zapečate kamen i postave stražu.
281c01004c	U nedjelju rano ujutro Marija Magdalena i druga Marija dođu pogledati grob.
281c02006c	Odjednom nastane silan potres: anđeo Gospodnji siđe s neba, odvali kamen s ulaza u grob i sjedne na njega.
281c030043	Lice mu je bilo sjajno poput munje, a odjeća bijela poput snijega.
281c040040	Stražari se pred njim počnu tresti od straha i onesvijeste se.
281c05004c	Tada anđeo reče ženama: “Ne bojte se! Znam da tražite raspetoga Isusa.
281c060059	Ali on nije ovdje; uskrsnuo je kako vam je i rekao! Dođite vidjeti mjesto gdje je ležao
281c070099	pa brzo idite javiti njegovim učenicima da je uskrsnuo od mrtvih. Ide, eto, pred vama u Galileju. Ondje ćete ga vidjeti. Pamtite što sam vam rekao.”
281c080061	Silno uplašene ali presretne, žene žurno krenu s groba i otrče to javiti njegovim učenicima.
281c090071	Odjednom im u susret dođe Isus! “Zdravo!” reče im. One mu pritrče, obujme mu noge i ničice mu se poklone.
281c0a006e	“Ne bojte se”, reče im Isus. “Idite javiti mojoj braći da pođu u Galileju. Ondje ćemo se vidjeti.”
281c0b006c	Dok su žene odlazile, neki od stražara dođu u grad i jave svećeničkim poglavarima sve što se dogodilo.
281c0c005c	Oni se sastanu sa starješinama na vijećanje, a zatim uzmu mnogo novca i dadu ga vojnicima.
281c0d004e	“Recite: ‘Noću dok smo spavali došli su njegovi učenici i ukrali ga.’
281c0e005b	Ako za to čuje upravitelj, mi ćemo ga već uvjeriti i pobrinuti se da nemate problema.”
281c0f0071	Oni uzmu novac i postupe kako su ih uputili. To se pričanje razglasilo među Židovima i zadržalo sve do danas.
281c100045	Jedanaestorica pođu u Galileju, na goru, kamo im je zapovjedio Isus.
281c110049	Kad su ga ugledali, padnu pred njim ničice, ali neki su ipak posumnjali.
281c120047	Isus im priđe i reče im: “Dana mi je sva vlast na nebu i na zemlji.
281c13005e	Idite zato i učinite sve narode mojim učenicima krsteći ih u ime Oca i Sina i Svetoga Duha.
281c140067	Učite ih da ispunjavaju sve što sam vam zapovjedio! Ja sam s vama u sve dane do svršetka svijeta.”
2900000005	Marko
290101003d	Ovo je početak Radosne vijesti o Božjemu Sinu Isusu Kristu.
2901020071	U Knjizi proroka Izaije Bog je rekao: “Gledajte, šaljem pred vas svojega glasnika i on će vam pripraviti put.
290103006a	On je glas koji viče u pustinji: ‘Pripremite put za Gospodnji dolazak! Poravnajte za njega staze!’”
29010400b8	Taj glasnik bio je Ivan Krstitelj. Živio je u pustinji i propovijedao kako se ljudi trebaju krstiti da pokažu kako su se odvratili od svojih grijeha i obratili se Bogu da im oprosti.
290105009c	Ljudi iz Jeruzalema i iz cijele Judeje putovali su k njemu u pustinju da ga vide i čuju. Ispovijedali su svoje grijehe, a on ih je krstio u rijeci Jordanu.
2901060077	Ivanova odjeća bila je istkana od devine dlake, a bio je opasan kožnim pojasom. Hranio se skakavcima i divljim medom.
290107006a	Propovijedao je: “Uskoro dolazi netko veći od mene, toliko velik da mu ja nisam dostojan ni robom biti.
290108003c	Ja vas krstim vodom, ali on će vas krstiti Svetim Duhom.”
290109004f	Jednog dana dođe Isus iz Nazareta u Galileji i Ivan ga krsti u rijeci Jordanu.
29010a0064	Čim Isus iziđe iz vode, ugleda kako se otvaraju nebesa i kako Duh u obliku goluba silazi na njega.
29010b0042	Začuje se glas: “Ti si moj ljubljeni Sin! Ti si moja radost!”
29010c0033	Odmah nakon toga Duh nagna Isusa da ode u pustinju.
29010d0075	Tamo je ostao četrdeset dana i Sotona ga je kušao. Boravio je među divljim životinjama, a služili su mu anđeli.
29010e005e	Pošto je kralj Herod zatvorio Ivana, Isus ode u Galileju propovijedati Božju Radosnu vijest.
29010f0091	“Napokon je došlo vrijeme,” naviještao je, “blizu je Božje kraljevstvo! Odvratite se od svojih grijeha i povjerujte Radosnoj vijesti!”
2901100095	Jednoga dana, prolazeći obalom Galilejskog jezera, opazi Šimuna i njegova brata Andriju kako mrežama hvataju ribu jer su po zanimanju bili ribari.
2901110046	Reče im: “Pođite za mnom i ja ću vas učiniti ribarima ljudi!”.
2901120031	Oni smjesta ostave svoje mreže te pođu za njim.
2901130059	Malo dalje uz obalu ugleda Zebedejeve sinove Jakova i Ivana kako u lađici krpaju mreže.
290114005d	Pozove i njih, a oni odmah ostave svojeg oca Zebedeja u lađi s nadničarima i pođu za njim.
290115006f	Isus i njegovi sljedbenici stigoše u grad Kafarnaum. Odmah u subotu odu u sinagogu te je Isus ondje poučavao.
2901160075	Svi okupljeni bili su zadivljeni njegovim učenjem jer ih je poučavao kao onaj koji ima vlast, a ne kao pismoznanci.
2901170044	Tu se zatekao čovjek opsjednut nečistim duhom, koji počne vikati:
2901180072	“Zašto nas uznemiruješ, Isuse Nazarećanine? Zar si nas došao uništiti? Znam tko si: ti si Svetac Božji!”
2901190032	Isus mu zaprijeti: “Umukni i iziđi iz njega!”
29011a003d	Nato on krikne, žestoko protrese čovjeka i iziđe iz njega.
29011b00dd	Svi nazočni silno se zaprepaste i počnu raspravljati o tome što se dogodilo. “Kakvo je to novo učenje?” uzbuđeno su pitali. “Ima takvu silnu vlast! Čak se i nečisti duhovi pokoravaju njegovim zapovijedima!”
29011c004d	Vijest o tome što je učinio brzo se pronijela cijelom pokrajinom Galilejom.
29011d0057	Pošto iziđe iz sinagoge, Isus s Jakovom i Ivanom pođe u Šimunovu i Andrijinu kuću.
29011e004f	Ondje je Šimunova punica ležala u velikoj vrućici te to odmah kazaše Isusu.
29011f005d	On joj priđe, uhvati ju za ruku i podigne, a vrućica prestane. Žena stane ih posluživati.
2901200043	Uvečer, kad je sunce zašlo, dovedu mu sve bolesnike i opsjednute,
2901210023	pa se sav grad skupio pred vratima.
29012200b8	Isus je iscijelio brojne bolesnike od najrazličitijih bolesti i brojnim zlodusima zapovjedio da iziđu iz svojih žrtava. Ali nije dopustio zlodusima da govore jer su znali tko je on.
290123004e	Drugog jutra ustao je prije zore, povukao se na pusto mjesto i ondje se molio.
2901240024	Šimun i ostali krenu ga potražiti.
2901250031	Kad ga pronađu, rekoše mu: “Svi te traže!”
2901260070	On im odgovori: “Hajdemo i dalje, u druga mjesta. I njima moram propovijedati poruku. Zbog toga sam došao!”
2901270059	Tako je proputovao cijelu Galileju propovijedajući po sinagogama i istjerujući zloduhe.
290128006b	Jednom dođe k njemu neki gubavac, klekne pred njega i zamoli ga: “Ako hoćeš, možeš me iscijeliti!”
290129004c	Isus se sažali, ispruži ruku, dotakne ga i reče: “Hoću! Budi čist!”
29012a002b	Gube odmah nestane i čovjek postane čist.
29012b002a	Otpravljajući ga, Isus ga strogo upozori:
29012c009d	“Nikome o tomu ne govori, već idi ravno svećeniku te sa sobom ponesi žrtveni dar prema Mojsijevu zakonu kao javno svjedočanstvo svojeg ozdravljenja.”
29012d00ed	Ali čovjek ode i počne svima govoriti što mu se dogodilo; zbog toga Isusa opkoli toliko mnoštvo da više nije mogao javno ući u bilo koji grad, već se morao zadržavati vani, na samotnim mjestima. A ljudi su stizali sa svih strana.
2902010062	Nekoliko dana nakon toga vrati se u Kafarnaum, a vijest o njegovu dolasku brzo se pročuje gradom.
290202008e	U kući u kojoj je boravio okupilo se toliko ljudi da više nije bilo mjesta ni za koga, čak ni pred vratima. A on im je propovijedao Riječ.
2902030039	Uto dođu četvorica noseći uzetog čovjeka na nosilima.
2902040090	Kako nisu mogli kroz mnoštvo doći do Isusa, načine rupu u glinenom krovu nad njegovom glavom i spuste bolesnika na nosilima ravno pred Isusa.
2902050055	Kad Isus vidje njihovu vjeru, reče bolesniku: “Sinko, oprošteni su ti grijesi!”
2902060046	Ali neki židovski vjerski vođe koji su ondje sjedili rekoše u sebi:
290207005e	“Kako ovaj može tako govoriti! On huli! Tko može opraštati grijehe osim jedinoga Boga!”
2902080049	Isus duhom prozre njihove misli pa ih upita: “Zašto to smatrate hulom?
290209006f	Što je lakše reći uzetom čovjeku: ‘Grijesi su ti oprošteni’ ili ‘Ustani, uzmi svoja nosila i idi’?
29020a0079	Dokazat ću vam da ja, Sin Čovječji, imam vlast na zemlji opraštati grijehe.” Okrene se zatim prema uzetome i reče:
29020b0036	“Zapovijedam ti: ustani, uzmi nosila i idi kući!”
29020c0097	Čovjek smjesta ustane, uzme nosila i iziđe naočigled mnoštvu. Svi su se divili i slavili Boga govoreći: “Takvo što još nikad nismo vidjeli!”
29020d0052	Isus ponovno ode na obalu jezera. Poučavao je mnoštvo koje se okupilo oko njega.
29020e007e	Prolazeći tuda, opazi Levija, Alfejeva sina, kako ubire porez te ga pozove: “Pođi sa mnom!” Levi ustane i pođe za njim.
29020f00bf	Dok je Isus poslije bio u kući za stolom, došli su brojni ubirači poreza i grešnici i pridružili se njemu i njegovim učenicima. Mnogo takvih bilo je među onima koji su išli za Isusom.
29021000bf	No kad neki pismoznanci, farizeji, ugledaju Isusa kako jede s tim ozloglašenim ljudima, kazaše njegovim učenicima: “Zašto vaš učitelj jede s ubiračima poreza i drugim grešnicima?”
2902110080	Kad je Isus to čuo, reče im: “Ne treba liječnik zdravima, nego bolesnima. Nisam došao zvati pravednike, već grešnike.”
29021200ae	Ivanovi učenici i farizeji povremeno su postili. Jednoga dana neki ljudi dođu Isusu i upitaju ga: “Zašto Ivanovi učenici i farizeji poste, a tvoji učenici ne poste?”
2902130085	Isus im odgovori: “Mogu li uzvanici na svadbenoj večeri postiti dok su s mladoženjom? Ne mogu postiti dok je mladoženja s njima.
2902140046	Ali doći će dani kada će im ugrabiti mladoženju. Tada će postiti.
290215008b	Nitko ne krpa rupe na staroj odjeći zakrpom od još nesmočena platna. Zakrpa bi se skupila, razvukla tkaninu i napravila još veću rupu.
2902160090	Nitko ne ulijeva novo vino u stare mjehove jer bi se raspuknuli. Vino bi se prolilo, a mjehovi uništili. Novo se vino lijeva u nove mjehove.”
2902170065	Jedne su subote Isus i njegovi učenici prolazili poljem usjeva. Učenici počnu putem trgati klasje.
2902180079	Farizeji rekoše Isusu: “Zašto čine ono što je subotom zabranjeno? Zakonom je zabranjeno skupljati usjev subotom!”
290219008e	Ali Isus im odgovori: “Niste li nikada u Pismu čitali o tomu što je učinio kralj David kad su on i njegovi pratioci u nevolji ogladnjeli?
29021a00aa	Ušao je u Dom Božji (u to je doba veliki svećenik bio Ebijatar) i jeo prineseni kruh koji je dopušteno jesti samo svećenicima te ga je dao jesti i svojim pratiocima.
29021b003b	Subota je stvorena radi čovjeka, a ne čovjek radi subote.
29021c0032	Ja, Sin Čovječji, gospodar sam čak i subote.”
290301004f	Isus ponovno ode u tamošnju sinagogu. Ondje je bio neki čovjek usahnule ruke.
290302005f	Isusovi neprijatelji budno su pazili hoće li mu iscijeliti ruku u subotu da ga mogu optužiti.
2903030049	Isus reče čovjeku usahnule ruke: “Ustani i dođi ovamo na sredinu!”
290304006f	Zatim ih upita: “Je li subotom dopušteno činiti dobro ili zlo, život spasiti ili pogubiti?” Šutjeli su.
290305008f	Srdito ih pogleda duboko ožalošćen tvrdoćom njihovih srca te reče čovjeku: “Ispruži ruku!” On ju ispruži, a ruka mu postane zdrava.
290306003e	Farizeji se smjesta odu dogovoriti s herodovcima da ga smaknu.
2903070063	Isus i njegovi učenici odu na jezero, a za njima krene veliko mnoštvo iz cijele Galileje, Judeje,
29030800a8	Jeruzalema, Idumeje, s istočne strane Jordana, čak i iz okolice Tira i Sidona. Vijest o čudima koje je činio nadaleko se pročula, pa su ga dolazili osobno vidjeti.
290309006b	Isus reče učenicima da mu dovezu čamac koji će biti spreman ako se mnoštvo previše natisne oko njega.
29030a006c	Toga je dana mnoge iscijelio pa je na njega nahrupilo golemo mnoštvo bolesnika pokušavajući ga dotaknuti.
29030b006f	Kad bi ga vidjeli ljudi opsjednuti nečistim duhom, pali bi pred njim ničice i vikali: “Ti si Božji Sin!”
29030c002d	A on im je oštro zabranjivao da ga očituju.
29030d0054	Zatim ode u goru i pozove one koje je izabrao da mu se ondje pridruže te oni dođu.
29030e0061	Od njih odabere dvanaestoricu da ga prate i imenuje ih apostolima. Njih je poslao da propovijedau
29030f0025	i da imaju vlast istjerivati zloduhe.
2903100052	Evo imena Dvanaestorice što ih je izabrao: Šimun (kojemu je nadjenuo ime Petar),
2903110063	Jakov i Ivan (Zebedejevi sinovi, kojima je Isus dao nadimak Boanerges, to jest “Sinovi groma”),
290312009d	Andrija, Filip, Bartolomej, Matej, Toma, Jakov (Alfejev sin), Tadej, Šimun (član političke stranke koja se zalagala za nasilno svrgavanje rimske vlasti) i
290313002d	Juda Iškariotski (koji ga je poslije izdao).
290314005e	Kad se vratio u dom gdje je boravio, opet je nagrnulo toliko mnoštvo da nisu stigli ni jesti.
290315004e	Kad su za to čuli njegovi, dođu ga odvesti jer su govorili da je izvan sebe.
290316008e	Ali pismoznanci što su došli iz Jeruzalema rekoše da ga je opsjeo Beelzebub, poglavica zlih duhova, pa da uz njegovu pomoć izgoni zloduhe.
290317005c	Isus dozove ljude i počne im govoriti u prispodobama: “Kako može Sotona izgoniti Sotonu?
2903180031	Kraljevstvo koje je u sebi podvojeno propast će.
290319002c	Dom u kojemu vlada nesloga ne može opstati.
29031a0058	Ako se dakle Sotona bori sam protiv sebe, kako će se onda održati? Ne bi uspio u tome.
29031b0075	Ne možete ući u kuću snažnog čovjeka i opljačkati ga a da ga najprije ne svežete. Tek tada ga možete orobiti.
29031c004d	Zaista vam kažem da se svaki ljudski grijeh može oprostiti, pa čak i hula.
29031d004e	Ali hula na Svetoga Duha nikad se ne može oprostiti. To je vječni grijeh.”
29031e0032	To im reče jer su govorili da ima nečistog duha.
29031f0074	Stigli su onamo njegova majka i braća, stajali vani te mu po nekim ljudima poručili da iziđe razgovarati s njima.
2903200068	Oko njega je sjedilo mnoštvo kad mu rekoše: “Vani su ti majka, braća i sestre, žele te vidjeti.”
2903210038	On im odgovori: “Tko mi je majka? Tko su mi braća?”
2903220057	Pogleda ljude koji su sjedili u krugu oko njega, pa reče: “Ovo su mi majka i braća!
290323004a	Zaista, tko god čini Božju volju, taj mi je i brat, i sestra i majka.”
29040100ae	Isus opet počne poučavati na obali jezera. K njemu nagrne toliko ljudi da je ušao u lađicu na jezeru, sjeo u nju i odande propovijedao, a sve je mnoštvo ostalo na obali.
2904020045	Zatim stane poučavati ljude brojnim prispodobama. Evo jedne od njih:
2904030028	“Slušajte! Neki je ratar sijao sjeme.
2904040053	Dok ga je sijao po polju, nešto sjemena padne na stazu. Dođu ptice i pozobaju ga.
290405004d	Dio sjemena padne na kamenito tlo gdje je zemlja bila plitka, pa odmah nikne.
290406004c	Ali kad je granulo sunce, izgori i osuši se jer nije imalo duboka korijena.
2904070051	Dio sjemena padne u trnje pa ono poraste i uguši ga, tako da nije donijelo roda.
2904080071	Dio ga, napokon, padne na dobru zemlju i donese trideseterostruk, šezdeseterostruk, a neka čak i stostruk urod.
2904090022	Slušajte, kad već imate uši!”
