0100000008	Genesisy
09161600c6	Ary hoy Davida tamin’ i Abiatara: Fantatro androtr’ iny ihany fa tao Doega Edomita ka hilaza amin’ i Saoly tokoa; koa izaho no anton’ ny nahafaty ny olona rehetra tamin’ ny tarana-drainao.
091617007e	Tomoera etỳ amiko, ka aza matahotra; fa izay mikatsaka ny aiko no mikatsaka ny ainao koa; fa eto amiko no hahavoavonjy anao.
0917010078	Ary nisy nanambara tamin’ i Davida hoe: Indro, ny Filistina mamely an’ i Keila ka mamabo ny ao amin’ ny famoloana.
09170200a9	Ary Davida nanontany tamin’ i Jehovah hoe: Handeha hamely izao Filistina izao va aho? Ary hoy Jehovah tamin’ i Davida: Mandehana, asio ny Filistina, ka vonjeo Keila.
0917030092	Ary hoy ny olon’ i Davida taminy: He! atỳ Joda aza isika matahotra, koa mainka raha mankany Keila hiady amin’ ny miaramilan’ ny Filistina?
09170400a1	Dia nanontany tamin’ i Jehovah indray Davida. Ary Jehovah namaly azy hoe: Miaingà, midìna hankany Keila, fa Izaho no hanolotra ny Filistina ho eo an-tananao.
09170500b0	Dia lasa Davida sy ny olony nankany Keila ary niady tamin’ ny Filistina ka namabo ny ombiny sady nahafaty olona be dia be. Ary dia voavonjin’ i Davida ny mponina tao Keila.
091706007f	Ary raha nandositra nankany amin’ i Davida tany Keila Abiatara, zanak’ i Ahimeleka, dia nitondra efoda teny an-tànany izy.
09170700cd	Ary nambara tamin’ i Saoly fa tonga tao Keila Davida. Dia hoy Saoly: Andriamanitra efa nanolotra azy ho eo an-tanako, satria efa voahidy izy izao noho ny nidirany amin’ ny tanàna misy vavahady mihidy.
091708006d	Ary Saoly namory ny olona rehetra hidina hankany Keila hanafika ka hanao fahirano an’ i Davida sy ny olony.
0917090085	Ary fantatr’ i Davida fa Saoly namorona sain-dratsy hamelezana azy; dia hoy izy tamin’ i Abiatara mpisorona: Ento etỳ ny efoda.
09170a009f	Dia hoy Davida: Ry Jehovah, Andriamanitry ny Isiraely ô, efa ren’ ny mpanomponao tokoa fa Saoly mitady hankatỳ Keila mba handrava ny tanana noho ny amiko.
09170b00f2	Ka moa ny mponina etỳ Keila hanolotra ahy ho eo an-tànany va? Hidina etỳ va Saoly toy ny efa ren’ ny mpanomponao? Ry Jehovah, Andriamanitry ny Isiraely ô, mifona aminao aho, ambarao amin’ ny mpanomponao. Ary hoy Jehovah: Hidina izy.
09170c0083	Dia hoy Davida: Ny mponina etỳ Keila hanolotra ahy sy ny oloko ho eo an-tànan’ i Saoly va? Ary hoy Jehovah Hanolotra anao izy.
09170d00dd	Ary dia niainga Davida sy ny olony tokony ho enin-jato lahy ka niala tao Keila ary nandeha tamin’ izay azony naleha. Ary nolazaina tamin’ i Saoly fa efa nandositra niala tao Keila Davida, dia nijanona tsy nandeha izy.
09170e00dd	Ary Davida nitoetra tany an-efitra tao amin’ ny batery fiarovana sy nitoetra tany amin’ ny tany havoana tany an-efitr’ i Zifa. Ary Saoly nitady azy isan’ andro, fa Andriamanitra tsy nanolotra azy ho eo an-tànany.
09170f006c	Ary hitan’ i Davida fa Saoly nivoaka hitady ny ainy; fa Davida dia tany an-efitr’ i Zifa tany anaty ala.
0917100084	Ary Jonatana, zanak’ i Saoly, niainga, dia nankany amin’ i Davida tany an’ ala ka nampahery ny tànany tamin’ Andriamanitra.
09171100d1	Ary hoy izy tamin’ i Davida: Aza matahotra, fa tsy hahazo anao ny tànan’ i Saoly raiko; fa ianao no ho mpanjaka amin’ ny Isiraely, ary izaho no hanarakaraka anao, ary fantatr’ i Saoly raiko koa izany.
0917120088	Ary nanao fanekena teo anatrehan’ i Jehovah izy roa lahy; ary Davida dia nitoetra tany an’ ala, fa Jonatana kosa nankany an-tranony.
09171300cf	Ary niakatra nankany amin’ i Saoly tany Gibea ny Zifita ka nanao hoe: Tsy miery any aminay ao amin’ ny batery fiarovana any an’ ala, any amin’ ny havoana Hakila, izay atsimon’ ny efitra, va Davida?
091714008b	Koa ankehitriny, ry mpanjaka, araka ny fanirian’ ny fonao hidina, dia midìna ianao, fa azonay hatolotra eo an-tànan’ ny mpanjaka izy.
0917150050	Ary hoy Saoly: Hotahin’ i Jehovah anie ianareo; fa ianareo namindra fo tamiko.
0917160094	Masìna ianareo, mandehana, hevero indray, ka tsongoy tsara ny diany, ary fantaro izay nahita azy tany; fa manao saina lalina dia lalina, hono, izy.
09171700ea	Koa izahao sy fantaro tsara ny fierena rehetra izay iereny, dia miverena etỳ amiko indray hilaza marimarina, ary izaho dia hiaraka aminareo; koa raha mitoetra amin’ ny tany izy, dia hotadiaviko eran’ ny arivon’ i Joda rehetra.
091718009b	Dia niainga nankany Zifa ireo hialoha an’ i Saoly; fa Davida sy ny olony dia tany amin’ ny efitr’ i Maona, tamin’ ny tani-hay atsimon’ ny efitra.
0917190101	Ary nandeha Saoly sy ny mpanompony hitady azy. Ary nolazaina tamin’ i Davida izany, ka dia nidina tany amin’ ny harambato izy ka nitoetra tany an-efitr’ i Maona. Ary nony ren’ i Saoly izany, dia nanenjika an’ i Davida tany an-efitr’ i Maona izy.
09171a00fd	Ary Saoly nandeha tamin’ ny ilan’ ny tendrombohitra iray, fa Davida sy ny olony tamin’ ny ilany kosa; ary niezaka mafy handositra Davida noho ny tahony an’ i Saoly; fa Saoly sy ny olony saiky nahodidina an’ i Davida sy ny olony hisambotra azy.
09171b006e	Dia nisy iraka tonga tao amin’ i Saoly nanao hoe: Avia haingana ianao, fa ny Filistina efa manafika ny tany.
09171c00a6	Dia niverina Saoly tamin’ ny nanenjehany an’ i Davida ary nandeha niady tamin’ ny Filistina; ary ny anaran’ izany tany izany dia nataony hoe: Sela-hamalekota.
09171d0057	Ary Davida niakatra niala teo ka nitoetra tao amin’ ny batery fiarovana tany En-jedy.
091801007d	Ary rehefa niverina avy nanenjika ny Filistina Saoly, dia nisy nanambara taminy hoe; Indro, Davida any an-efitr’ i En-jedy.
091802009a	Ary Saoly naka telo arivo lahy voafantina tamin’ ny Isiraely rehetra ka lasa nitady an’ i Davida sy ny olony tany amin’ ny vatolampin’ ny osi-dia.
09180300a9	Ary tonga teo amin’ ny valan’ ondry tamoron-dalana izay nisy zohy izy, ka niditra tao Saoly mba hiavela; nefa Davida sy ny olony efa nipetraka tao anatin’ ny zohy.
09180400f3	Ary hoy ny olon’ i Davida taminy: Izao no andro nolazain’ i Jehovah taminao hoe: Indro, hatolotro eo an-tananao ny fahavalonao hataonao araka izay sitrakao. Dia nitsangana Davida ka nitsaitsaika nanapaka ny sisin’ ny kapôtin’ i Saoly.
0918050078	Nefa nony efa vita izany, dia namely an’ i Davida ny eritreriny noho ny nanapahany ny sisin’ ny kapôtin’ i Saoly,
09180600d3	ka hoy izy tamin’ ny olony: Sanatria amiko eo anatrehan’ i Jehovah, raha hanao izany zavatra izany amin’ ny tompoko izay voahosotr’ i Jehovah ka haninjitra ny tanako aminy, fa voahosotr’ i Jehovah izy.
09180700c0	Dia nampijanona ny mpanompony tamin’ izany teny izany Davida ka tsy namela azy hitsangana hamely an’ i Saoly. Ary Saoly nitsangana ka niala tao an-johy, dia nandeha tamin’ izay nalehany.
09180800e1	Ary rehefa afaka izany, dia mba nitsangana koa Davida ka niala tao an-johy koa, dia niantso an’ i Saoly ka nanao hoe: Ry mpanjaka tompoko ô! Ary nony nitodika azy Saoly, dia niondrika tamin’ ny tany Davida ka niankohoka.
0918090072	Ary hoy Davida tamin’ i Saoly: Nahoana ianao no maka vavan’ olona hoe: Indro, Davida mitady hanisy ratsy anao?
09180a0104	Indro, hitan’ ny masonao androany ny nanoloran’ i Jehovah anao ho eo an-tanako tao an-johy; ary nisy nilaza hevitra hamonoana anao, saingy niantra anao ny masoko, ka hoy izaho: Tsy haninjitra ny tanako amin’ ny tompoko aho, fa voahosotr’ i Jehovah izy.
09180b0139	Ary koa, ry ikaky ô, jereo dia jereo ange ny sisin’ ny kapôtinao etỳ an-tanako; fa raha nanapaka ny sisin’ ny kapôtinao aho, fa tsy nahafaty anao, dia izahao ka fantaro fa tsy misy faharatsiana na fahadisoana amin’ ny tanako, ary tsy nanota taminao aho, nefa ianao kosa mihaza ny aiko mba hahafaty azy.
09180c006e	Jehovah no hitsara ahy sy ianao, ary Jehovah no hamaly anao noho ny amiko, fa ny tanako tsy mba haninona anao.
09180d0086	Araka ny lazain’ ny ohabolan’ ny ntaolo hoe: Avy amin’ ny ratsy fanahy no ivoahan’ ny ratsy, nefa ny tanako tsy haninona anao.
09180e0067	Hitady an’ iza no nivoahan’ ny mpanjakan’ ny Isiraely? Iza no enjehinao? Amboa maty; parasy iray.
09180f007c	Aoka Jehovah no ho mpitsara, ka dia hitsara ahy sy ianao ary hijery sy handahatra ho ahy ka hanafaka ahy amin’ ny tananao.
09181000a4	Ary nony vita izany teny nataon’ i Davida tamin’ i Saoly izany, dia hoy Saoly: Feonao va izany, ry Davida zanako ô? Ary Saoly nanandratra ny feony ka nitomany;
0918110075	ary hoy izy tamin’ i Davida: Marina noho izaho ianao; fa ianao dia nanisy soa ahy, fa izaho kosa namaly ratsy anao.
091812008b	Ary ianao dia naneho androany ny nanaovanao soa tamiko, fa na dia natolotr’ i Jehovah teo an-tananao aza aho, dia tsy nahafaty ahy ianao.
091813009f	Fa moa raha misy olona mahazo ny fahavalony, havelany handeha soa aman-tsara va izy? Koa hovalian’ i Jehovah soa anie ianao noho ny nataonao tamiko androany.
091814007e	Ary, indro, ankehitriny fantatro fa ho mpanjaka tokoa ianao, ary ny fanjakan’ ny Isiraely ho tafatoetra tsara eo an-tananao.
09181500ac	Koa mianiàna amiko amin’ i Jehovah ianao ankehitriny fa tsy handringana ny taranako mandimby ahy ianao, ary tsy hovonoinao amin’ ny mpianakavin’ ny raiko ny anarako.
091816008b	Ary Davida dia nianiana tamin’ i Saoly; ary dia lasa nody Saoly, fa Davida sy ny olony kosa niakatra nankany amin’ ny batery fiarovana.
09190100a9	Ary maty Samoela; ary nivory ny Isiraely rehetra ka nisaona azy sy nandevina azy tao amin’ ny fonenany tao Rama. Ary Davida niainga ka nidina nankany an-efitra Parana.
091902009f	Ary nisy lehilahy tao Maona, ary tao Karmela ny fananany; mpanjatobe ralehilahy ka nanana ondry telo arivo sy osy arivo, ary nanety ny ondriny tao Karmela izy.
09190300c5	Nabala no anaran-dralehilahy; ary Abigaila no anaran’ ny vavy; vehivavy hendry sady tsara tarehy izy; fa ny lahy kosa saro-po sy ratsy amin’ izay ataony; ary isan’ ny taranak’ i Kaleba izy.
091904003f	Ary ren’ i Davida tany an-efitra fa Nabala manety ny ondriny.
09190500a0	Dia naniraka zatovo folo lahy Davida ka nanao taminy hoe: Miakara any Karmela ianareo, ary mankanesa any amin’ i Nabala, ka miarahabà azy amin’ ny anarako.
09190600a3	Ary izao no holazainareo aminy: trarantitra ianao, fiadanana anie ho anao, ary fiadanana ho amin’ ny ankohonanao, ary fiadanana ho amin’ izay anananao rehetra.
09190700c3	Ary ankehitriny efa reko fa manety ondry ianao; koa ny mpiandry ondrinao, izay tao aminay, tsy nasianay ratsy, ary tsy nisy very na inona na inona tamin’ ny andro rehetra nitoerany tao Karmela.
09190800d9	Anontanio ny zatovonao, fa hilaza aminao izy. Koa aoka hahita fitia eo imasonao ny zatovo (fa andro fifaliana no ihavianay); masìna ianao, mba omeo amin’ izay azon’ ny tananao ireto mpanomponao sy Davida zanakao.
091909009a	Ary rehefa tonga ny zatovon’ i Davida, dia niteny tamin’ i Nabala tamin’ ny anaran’ i Davida araka izany teny rehetra Izany izy, ka dia nipetraka.
09190a00a7	Fa Nabala namaly ny mpanompon’ i Davida hoe: Inona moa Davida? Ary inona moa ny zanak’ i Jese? Misy mpanompo maro ankehitriny izay milefa miala amin’ ny tompony.
09190b0097	Koa halaiko va ny mofoko sy ny ranoko ary ny zavatra izay efa novonoiko ho an’ ny mpanety ondriko, ka homeko izay olona tsy fantatro nihaviana akory?
09190c0096	Dia nihodina ny zatovon’ i Davida ka nankany amin’ izay nalehany; ary dia nody tany aminy indray izy ka nanambara izany teny rehetra izany taminy.
09190d016c	Ary hoy Davida tamin’ ny olony: Samia manao ny sabatrareo eo amin’ ny fehin-tsabany avy ianareo; ka dia samy nanao ny sabany teo amin’ ny fehin-tsabany avy ny olona, ary dia mba nanao ny sabany teo amin’ ny fehin-tsabany koa Davida; ary nisy tokony ho efa-jato lahy niakatra nanaraka an’ i Davida, ary roan-jato lahy kosa nipetraka teo amin’ ny entana.
09190e00c7	Ary Abigaila, vadin’ i Nabala, dia nilazan’ ny anankiray tamin’ ny zatovony hoe: Indro, Davida naniraka olona avy tany an-efitra mba hiarahaba ny tompontsika, nefa nisafoaka tamin’ ireny izy.
09190f00b8	Fa ireo lehilahy ireo dia nanao tsara tokoa taminay, ka tsy naninona tsy naninona izahay, ary tsy nisy zavatra very tamin’ izay andro nitoeranay tao aminy, fony tany an-tsaha izahay.
0919100061	Izy no mandanay andro aman’ alina tamin’ ny andro rehetra nitoeranay niandry ondry tao aminy.
09191100c3	Koa dia fantaro sy hevero ankehitriny izay hataonao; fa ratsy no ifofoan’ ny tompontsika mbamin’ ny ankohonany rehetra; fa Nabala dia tena ratsy fanahy, ka tsy misy olona mahazo miteny aminy.
09191200f1	Dia nandeha faingana Abigaila ka naka mofo roan-jato sy divay eran’ ny tavoara roa sy ondry dimy voavoatra sy lango indimin’ ny vata sy takela-boaloboka maina zato ary ampempan’ aviavy roan-jato, dia nasampiny tamin’ ny boriky izany.
091913007a	Ary hoy izy tamin’ ny zatovony: Mandehana eo alohako, indro, izaho hanaraka anareo; nefa Nabala vadiny tsy mba nilazany.
09191400ad	Ary tamin’ izany, nony nitaingina ny borikiny izy ka nidina tao amin’ ny takon’ ny havoana, dia indro, Davida sy ny olony nidina nanatona azy, ary izy nifanena taminy.
091915007b	Ary Davida efa nilaza hoe: Foana tokoa ny an-efitra, ka tsy nisy very na inona na inona; fa novaliany ratsy ny soa nataoko.
09191600ca	Mba hataon’ Andriamanitra toy izany anie ny fahavalon’ i Davida, eny, mihoatra noho izany aza, raha dia havelako hisy miangana na dia lehilahy iray aza izay mety ho azy ambara-pahazavan’ ny andro.
0919170089	Ary Abigaila, raha nahita an’ i Davida, dia niala faingana tamin’ ny boriky ary niankohoka teo anatrehan’ i Davida ka nitsaoka azy.
09191800ce	Dia niankohoka tamin’ ny tongony izy ka nanao hoe: Aoka ho ahy dia ho ahy ity heloka ity, tompokolahy; masìna ianao, avelao ny ankizivavinao hiteny eto anatrehanao, ka henoy ny tenin’ ny ankizivavinao.
09191900e9	Masìna ianao, aoka ny tompoko tsy hisaina io Nabala lehilahy tena ratsy fanahy io, fa araka ny anarany ihany no toeny; Nabala no anarany, ary hadalana no ao aminy; fa izaho ankizivavinao, tompoko, tsy mba nahita ny zatovo nirahinao.
09191a011c	Koa ankehitriny, tompoko, raha velona koa Jehovah, ary raha velona koa ny fanahinao, Jehovah efa niaro anao tsy hahazo heloka amin’ ny fandatsahan-drà ary tsy hamaly ho an’ ny tenanao; ary avelao ny fahavalonao sy izay mitady hanisy ratsy anao, tompoko, ho tahaka an’ i Nabala.
09191b006f	Ary izao saotra nentin’ ny ankizivavinao aminao izao, tompoko, dia aoka homena ny zatovo manaraka ny Tompoko.
09191c00de	Masìna ianao, mamelà ny fahadisoan’ ny ankizivavinao, fa Jehovah hampaharitra ny taranaky ny tompoko tokoa; fa ny tompoko miady ny adin’ i Jehovah, ary tsy misy ratsy ho hita aminao amin’ ny andro rehetra iainanao.
09191d0106	Nefa raha misy olona mitsangana hanenjika anao ka mitady ny ainao, dia hofehezina amin’ ny fehin’ aina ao amin’ i Jehovah Andriamanitra ny fanahin’ ny tompoko, fa ny fanahin’ ny fahavalonao kosa dia hatorany toy ny eo amin’ ny foitran’ antsamotady.
09191e0089	Ary amin’ izany, raha Jehovah mahavita amin’ ny tompoko araka ny soa rehetra nilazany anao ka manendry anao ho mpanapaka ny Isiraely,
09191f00dd	dia tsy ho alahelo na ho nenina amin’ ny fon’ ny tompoko izany, fa tsy nandatsa-drà foana ianao, na namaly ho an’ ny tenanao, tompoko; fa rehefa asian’ i Jehovah soa ny tompoko, dia mba tsarovy aho ankizivavinao.
0919200080	Ary hoy Davida tamin’ i Abigaila: Isaorana anie Jehovah, Andriamanitry ny Isiraely, Izay naniraka anao hihaona amiko androany.
09192100a3	Ary hotahiny anie ny fahendrenao, ary hotahiny anie ianao, izay niaro ahy androany tsy hahazo heloka amin’ ny fandatsahan-drà ary tsy hamaly ho an’ ny tenako.
09192200f8	Kanefa, raha velona koa Jehovah, Andriamanitry ny Isiraely, Izay niaro ahy tsy hanisy ratsy anao, raha tsy avy faingana hitsena ahy ianao toy izay, dia efa tsy nasiako niangana na dia lehilahy iray aza amin’ i Nabala ambara-pahazavan’ ny andro.
09192300c0	Ka dia noraisin’ i Davida teny an-tànany ilay zavatra nentiny, ary hoy izy taminy: Miakara soa aman-tsara ho any an-tranonao ianao; indro, efa nohenoiko ny feonao, ary nankasitrahako ianao.
0919240117	Ary Abigaila dia tonga tao amin’ i Nabala; kanjo, indro, nanao fanasana tao an-tranony izy tahaka ny fanasan’ ny mpanjaka, ary faly ny fon’ i Nabala tamin’ izany, ary mamo loatra izy, ka dia tsy nisy nambaran’ ny vavy taminy, na kely na be mandra-pahazavan’ ny andro.
0919250098	Ary nony maraina, ka afaka ny hamamoan’ i Nabala, dia nambaran’ ny vavy taminy izany zavatra izany, ka dia matihena ny fony ka tonga tahaka ny vato.
091926004a	Ary nony afaka hafoloana, dia nasian’ i Jehovah Nabala, ka dia maty izy.
091927014d	Ary nony ren’ i Davida fa maty Nabala, dia hoy izy: Isaorana anie Jehovah izay niady ho ahy ka nahafa-tondromaso ahy tamin’ i Nabala sy niaro ny mpanompony tsy hahatanteraka ny ratsy; fa ny ratsy nataon’ i Nabala dia nampodin’ i Jehovah ho eo an-dohany ihany. Ary Davida naniraka hiresaka amin’ i Abigaila hila azy ho vady.
0919280094	Ary nony tonga tany amin’ i Abigaila teo Karmela ny mpanompon’ i Davida, dia hoy izy: Davida naniraka anay hankatỳ aminao hila anao ho vadiny.
091929009a	Dia nitsangana izy ary niankohoka tamin’ ny tany ka nanao hoe: Indro, aoka ny ankizivavinao ho mpanompo hanasa ny tongotry ny mpanompon’ itompokolahy.
09192a0094	Ary Abigaila nitsangana faingana ka nitaingina boriky, ary ankizivaviny dimy no nanaraka azy; dia nanaraka ny irak’ i Davida izy, ka dia novadiny.
09192b0066	Ary Davida efa nanambady an’ i Ahinoama avy any Jezirela koa; ary samy novadiny avokoa izy roa vavy.
09192c0079	Fa Saoly efa nanome an’ i Mikala, zananivavy, vadin’ i Davida, ho vadin’ i Palty, zanak’ i Laisy, avy any Galima.
091a010088	Ary ny Zifita tonga tao amin’ i Saoly tany Gibea ka nanao hoe: Tsy miery any amin’ ny havoana Hakila manandrify ny efitra va Davida?
091a0200a8	Dia niainga Saoly nidina nankany an-efitr’ i Zifa, nitondra telo arivo lahy voafantina tamin’ ny Isiraely hanaraka azy hitady an’ i Davida any an-efitr’ i Zifa.
091a0300b3	Ary nitoby tao amin’ ny havoana Hakila manandrify ny efitra teo amoron-dalana izy. Fa Davida kosa nitoetra tany an-efitra, ary hitany fa tonga nanaraka azy tany an-efitra Saoly.
091a04003d	Dia naniraka mpisafo Davida, ka fantany fa tonga tokoa Saoly.
091a0500ff	Dia niainga Davida ka tonga teo amin’ ny nitobian’ i Saoly; ary hitan’ i Davida izay nandrian’ i Saoly sy Abnera, zanak’ i Nera, komandin’ ny miaramilany; fa Saoly nandry teo anatin’ ny sehatra-sariety, sady nitoby nanodidina azy ny vahoaka.
091a0600cb	Ary hoy Davida tamin’ i Ahimeleka Hetita sy Abisay, zanak’ i Zeroia, rahalahin’ i Joaba; Iza no hidina hiaraka amiko ho any amin’ i Saoly any an-toby? Dia hoy Abisay: Izaho hidina hiaraka aminao.
091a0700f2	Ary tonga tao amin’ ny vahoaka Davida sy Abisay nony alina; ary, indro, Saoly nandry ka natory teo anatin’ ny sehatra-sariety, ary ny lefony nitsatoka amin’ ny tany teo anilan’ ny lohany; fa Abnera sy ny vahoaka nandry manodidina azy.
091a0800e6	Ary hoy Abisay tamin’ i Davida: Efa voahidin’ Andriamanitra eo an-tananao ny fahavalonao izao; koa, masìna ianao, aoka holefoniko indray mandeha monja hataoko miboroaka amin’ ny tany izy, fa tsy hamely azy indroa akory aho.
091a090087	Fa hoy Davida tamin’ i Abisay: Aza mamono azy; fa iza no maninjitra ny tànany tamin’ ny voahosotr’ i Jehovah ka tsy nanan-tsiny?
091a0a00b0	Ary hoy koa Davida: Raha velona koa Jehovah, dia aoka Jehovah no hamely azy; na ho tonga ny androny, ka ho faty izy; na hirotsaka ho amin’ ny ady izy, ka any no hahafaty azy.
091a0b00dd	Sanatria amiko eo anatrehan’ i Jehovah, raha haninjitra ny tanako hamely ny voahosotr’ i Jehovah aho; fa masìna ianao, ny lefona eo anilan’ ny lohany sy ny tavoara fitondran-drano no alao, dia andeha isika handeha.
091a0c00e7	Dia nalain’ i Davida ny lefona sy ny tavoara izay teo anilan’ ny lohan’ i Saoly ka dia lasa izy, ary tsy nisy olona nahita, na nahalala, na nahatsiaro; fa natory izy rehetra, satria nataon’ i Jehovah renoky ny torimaso izy.
091a0d0093	Dia nita nankeny an-dafin-tsaha Davida ka nijanona teo an-tampon’ ny tendrombohitra lavidavitra (lavidavitra ihany ny elanelan’ izy roa tonta);
091a0e00b5	ary Davida niantso ny olona sy Abnera, zanak’ i Nera, hoe: Tsy mamaly va ianao, ry Abnera? Ary Abnera dia namaly hoe: Iza moa ianao, no miantso ho re eto anatrehan’ ny mpanjaka?
091a0f00ee	Ary hoy Davida tamin’ i Abnera: Tsy lehilahy mahery va ianao, ary iza no tahaka anao amin’ ny Isiraely? Koa nahoana ianao no tsy miambina ny mpanjaka tomponao? fa nisy anankiray tamin’ ny olona tonga teo hamono ny mpanjaka tomponao.
091a1000fe	Tsy mety izany nataonao izany. Raha velona koa Jehovah, dia tokony ho faty ianareo, satria tsy miambina ny tomponareo, ilay voahosotr’ i Jehovah Ary izahao ange, fa aiza moa ny lefon’ ny mpanjaka sy ny tavoara fitondran-drano teo anilan’ ny lohany?
091a11008c	Ary fantatr’ i Saoly ny feon’ i Davida ka hoy izy: Feonao moa izany, ry Davida zanako? Ary hoy Davida: Feoko tokoa, ry mpanjaka tompoko.
091a120077	Ary hoy koa izy: Nahoana ny tompoko no manenjika ny mpanompony? Inona no nataoko, ary inona no ratsy amin’ ny tanako?
091a13018d	Ary ankehitriny masìna ianao, ry mpanjaka tompoko, mihainoa ny tenin’ ny mpanomponao. Raha Jehovah no nanesika anao hamely ahy, dia aoka handray fanatitra mani-pofona Izy; fa raha zanak’ olona kosa, dia aoka ho voaozona eo anatrehan’ i Jehovah izy, satria efa nandroaka ahy androany tsy hanana anjara amin’ ny lova nomen’ i Jehovah izy ka nanao hoe: Mandehana, manompoa andriamani-kafa.
091a1400b6	Koa aza avela ho latsaka amin’ ny tany lavitra an’ i Jehovah ny rako; fa ny mpanjakan’ ny Isiraely nivoaka nitady parasy iray, tahaka ny manenjika tsipoy eny an-tendrombohitra.
091a1500b4	Ary hoy Saoly: Efa nanota aho: miverena, ry Davida zanako, fa tsy hanisy ratsy anao intsony aho, fa soa teo imasonao ny aiko androany; indro, efa nanao adala aho ka diso indrindra.
091a160068	Ary Davida namaly hoe: Indro ny lefon’ ny mpanjaka! koa asaovy misy zatovo anankiray mankety haka azy.
091a1700c1	Ny lehilahy izay nanoloran’ i Jehovah anao teo an-tànany androany dia hovaliany araka ny fahitsiany sy ny fahamarinany, fa tsy nety naninjitra ny tanako hamely ny voahosotr’ i Jehovah aho.
091a1800a1	Ary, indro, fa tahaka ny nanaovako ny aina ho lehibe androany no mba hanaovan’ i Jehovah ny aiko ho lehibe kosa ka hanafahany ahy amin’ ny fahoriana rehetra.
091a1900a4	Ary hoy Saoly tamin’ i Davida: Hotahina anie ianao, ry Davida zanako; hanao dia hanao ianao sady hahatontosa. Dia lasa Davida, fa Saoly kosa nitodi-doha hiverina.
091b01012e	Ary Davida nanao anakampo hoe; Mbola ho fatin’ ny tànan’ i Saoly ihany aho indray androany; tsy misy mahasoa ahy afa-tsy ny mandositra haingana any amin’ ny tanin’ ny Filistina, dia hamoy ahy Saoly ka tsy hitady ahy eran’ ny tanin’ ny Isiraely intsony, dia ho afaka amin’ ny tànany aho.
091b020083	Ary niainga Davida nandeha mbamin’ ny enin-jato lahy nanaraka azy nankany amin’ i Akisy, zanak’ i Maoka, mpanjakan’ i Gata.
091b0300d6	Ary nitoetra tao amin’ i Akisy tao Gata Davida, dia izy sy ny olony, samy nomban’ ny ankohonany avy, ary Davida mbamin’ ny adiny roa, dia Ahinoama Jezirelita sy Abigaila Karmelita, ilay novinadin’ i Nabala.
091b040066	Ary nambara tamin’ i Saoly fa Davida efa nandositra nankany Gata, ka dia tsy nitady azy intsony izy.
091b0500f5	Ary hoy Davida tamin’ i Akisy: Raha mahita fitia eo imasonao aho, aoka mba homena fonenana ao amin’ ny tanàna anankiray any an-tsaha aho mba honenako any, fa nahoana ny mpanomponao no hitoetra aminao eto amin’ ny renivohitry ny fanjakana?
091b06006d	Dia nomen’ i Akisy azy androtrizay Ziklaga; ka dia an’ ny mpanjakan’ ny Joda ambaraka androany Ziklaga.
091b070065	Ary ny andro nitoeran’ i Davida tany amin’ ny tanin’ ny Filistina dia herintaona sy efa-bolana.
091b0800c5	Ary Davida sy ny olony niakatra ka nanafika ny Gesorita sy ny Gizrita ary ny Amalekita; fa ireo nonina tamin’ ny tany hatrizay ela izay, dia hatrany akaikin’ i Sora, hatramin’ ny tany Egypta.
091b0900bd	Ary Davida namely ny tany, ka tsy nisy novelominy na lehilahy na vehivavy, sady namabo ondry aman’ osy sy omby sy boriky sy rameva ary fitafiana izy, dia niverina nankany amin’ i Akisy.
091b0a00ab	Ary hoy Akisy: Moa tsy nanafika va ianareo androany? Dia hoy Davida: Nanafika ny tany atsimo izay an’ i Joda sy izay an’ ny Jeramelita ary izay an’ ny Kenita izahay.
091b0b00fb	Ary tsy nisy novelomin’ i Davida ho entiny any Gata, na lehilahy na vehivavy; fa hoy izy: Andrao izahay lazainy hoe: Toy izany no nataon’ i Davida, ary toy izany no fanaony tamin’ ny andro rehetra nitoerany tany amin’ ny tanin’ ny Filistina.
091b0c0091	Ary Akisy nino an’ i Davida ka nanao hoe: Efa nampangidy hoditra ny tenany any amin’ ny Isiraely olony izy, ka dia ho mpanompoko mandrakizay.
091c0100c8	Ary tamin’ izany andro izany ny Filistina dia namory ny miaramilany hanafika ny Isiraely. Ary hoy Akisy tamin’ i Davida: Aoka ho fantatrao tsara fa hiara-mivoaka amiko hanafika ianao sy ny olonao.
091c0200c3	Ary hoy Davida tamin’ i Akisy: Amin’ izao dia ho fantatrao tokoa izay hain’ ny mpanomponao hatao. Ary hoy Akisy tamin’ i Davida: Noho izany dia hataoko mpiaro ny lohako mandrakizay ianao.
091c0300dd	(Ary efa maty Samoela, ka ny Isiraely rehetra efa nisaona azy sy nandevina azy tao Rama, dia tao an-tanànany. Ary efa noroahin’ i Saoly hiala amin’ ny tany izay nanao azy ho tsindrian-javatra sy ny mpanao hatsarana.)
091c04007d	Ary ny Filistina nivory, dia tonga ka nitoby tao Sonema; fa Saoly namory ny Isiraely rehetra, ka nitoby tao Gilboa kosa ireo.
091c050063	Ary Saoly, raha nahita ny miaramilan’ ny Filistina, dia raiki-tahotra sady niemponempona ny fony.
091c06008b	Ary Saoly dia nanontany tamin’ i Jehovah, fa Jehovah tsy namaly azy, na tamin’ ny nofy, na tamin’ ny Orima, na tamin’ ny mpaminany.
