280000000c	מתתיהו
29062600d3	ער אבער האט צו זיי געזאגט: וויפל ברויט האט איר? גייט און זעט. און דערוויסנדיק זיך, האבן זיי געזאגט: פינף, און צוויי פיש.
2906270093	און ער האט זיי באפוילן, אז אלע זאלן זיך אנידערזעצן חברותאווייז אויפן גרינעם גראז.
2906280078	און זיי האבן זיך אנידערגעזעצט אין שורות, צו הונדערט, און צו פופציק.
290629019e	און ער האט גענומען די פינף ברויט און די צוויי פיש, האט ארויפגעבליקט צום הימל, און געמאכט א ברכה, און צעבראכן די ברויטן; און האט זיי געגעבן צו די תלמידים, כדי זיי זאלן עס לייגן פאר זיי; אויך די צוויי פיש האט ער אויסגעטיילט צווישן אלע.
29062a004c	און אלע האבן געגעסן און זענען זאט געווארן.
29062b0081	און זיי האבן אויפגעהויבן פון די ברעקלעך צוועלף קערב פול, און פון די פיש.
29062c0074	און די, וואס האבן געגעסן די ברויטן, זענען געווען פינף טויזנט מאן.
29062d0130	און גלייך האט ער געצוואונגען זיינע תלמידים איינצושטייגן אין דעם שיפל, און אריבערצופארן פארויס אויף דער אנדערער זייט קיין בית‑צידה, ביז ער וועט אפלאזן דעם המון מענטשן.
29062e009b	און נאך דעם ווי ער האט זיך געזעגנט מיט זיי, איז ער אוועקגעגאנגען צום בארג תפילה צו טאן.
29062f00a0	און ווען עס איז געווארן אוונט, איז דאס שיפל געווען אינמיטן ים, און ער אליין אויף דער יבשה.
290630015a	און זעענדיק ווי זיי פייניקן זיך מיטן רודערן, ווארום דער ווינט איז געווען אנטקעגן זיי, איז ער געקומען צו זיי, ארום דעם פערטן משמר פון דער נאכט, גייענדיק אויפן ים, און האט זיי געוואלט פארבייגיין;
29063100c3	נאר ווי זיי האבן אים געזען ארומגיין אויפן ים, האבן זיי געמיינט, אז עס איז א געשפענסט, און האבן א געשריי געטאן;
29063200e2	ווארום אלע האבן אים געזען, און האבן זיך דערשראקן. ער אבער האט תיכף גערעדט מיט זיי, און צו זיי געזאגט: זייט געטרייסט; איך בין עס;
2906330110	שרעקט זיך נישט! און ער איז איינגעשטיגן צו זיי אינם שיפל, און דער ווינט האט זיך בארואיקט. און זיי זענען אין זיך זייער דערשטוינט געווארן, איבער יעדער מאס;
29063400a5	ווארום זיי האבן נישט פארשטאנען בנוגע די ברויטן, מחמת זייער הארץ איז געווען הארט (ווי שטיין).
2906350095	און אריבערשיפנדיק זיך צום לאנד, זענען זיי געקומען קיין גניסרת, און האבן פאראנקערט.
2906360079	און ווען זיי זענען אויסגעשטיגן פון שיפל, האט מען אים גלייך דערקענט,
2906370101	און מען איז ארומגעלאפן אין יענער גאנצער געגנט, און מען האט אנגעהויבן ארומצוטראגן די קראנקע אויף די בעטן, וואו מען האט געהערט, אז ער געפינט זיך.
29063801bf	און וואו נאר ער איז אריינגעגאנגען, אין דערפער, אדער אין שטעט, אדער אויפן לאנד, האט מען געלייגט די קראנקע אויף די מערקפלעצער, און מען האט אים געבעטן, אז זיי זאלן נאר אנרירן די זוים פון זיין מלבוש; און אלע, וואס האבן אים אנגערירט, זענען געהאלפן געווארן.
29070100b5	און עס האבן זיך פארזאמלט צו אים די פרושים, און אייניקע פון די סופרים, וואס זענען געקומען פון ירושלים;
29070200a9	און זיי האבן געזען, אז אייניקע פון זיינע תלמידים עסן ברויט מיט טמא הענט, דאס הייסט אומגעוואשן;
29070300ec	ווארום די פרושים און אלע יידן, אויב זיי וואשן זיך נישט די הענט ביז צום עלנבויגן, עסן זיי נישט, ווייל זיי האלטן די מסורה פון די זקנים;
2907040144	און ווען זיי קומען פון מארק, עסן זיי נישט, אָן זיך צו וואשן; און א סך אנדערע זאכן זענען פאראן, וואס זיי האבן איבערגענומען צו האלטן, טבילות פון טרינק געפעסן, און טעפ, און קופערנע כלים.
2907050100	און די פרושים און די סופרים האבן אים געפרעגט; פארוואס פירן זיך דיינע תלמידים נישט אויף לויט דער מסורה פון די זקנים, נאר עסן ברויט מיט טמא הענט?
2907060142	ער אבער האט צו זיי געזאגט; וואויל האט ישעיהו נבואות געזאגט וועגן אייך, צבועקעס, ווי עס שטייט געשריבן: דאס דאזיקע פאלק גיט מיר אפ כבוד מיט די ליפן, אבער זייער הארץ איז ווייט פון מיר.
2907070090	און אומזיסט דינען זיי מיך, ווייל זיי לערנען מצוות, וואס זענען געבאטן פון מענטשן.
290708005d	איר פארלאזט ה׳ס געבאט, און האלט די מסורה פון מענטשן.
2907090093	און האט צו זיי געזאגט: פיין מאכט איר בטל ה׳ס געבאט, כדי איר זאלט האלטן אייער מסורה.
29070a0102	ווארום משה האט געזאגט: דו זאלסט אפגעבן כבוד דיין פאטער און דיין מוטער, און דער, וואס פלוכט פאטער אדער מוטער, זאל געטייט ווערן. (שמות כ, יב; כא, יז.)
29070b00fb	איר אבער זאגט: אויב א מענטש וועט זאגן צום פאטער אדער צו דער מוטער: קרבן, דאס הייסט א מתנה צו ה׳, זאל זיין דאס וואס דו דארפסט פון מיר נהנה זיין;
29070c0078	לאזט איר אים שוין גארנישט מער טאן פאר דעם פאטער אדער פאר דער מוטער;
29070d00b5	איר מאכט צונישט ה׳ס ווארט דורך אייער מסורה, וועלכע איר האט איבערגעגעבן; און א סך אזעלכע זאכן טוט איר.
29070e00a8	און האט ווידער גערופן דעם עולם מענטשן צו זיך, און צו זיי געזאגט: הערט מיך אלע צו, און פארשטייט!
29070f012a	עס איז נישטא קיין זאך פון דרויסן פון דעם מענטשן, וואס אריינגייענדיק אין אים קען אים טמא מאכן; נאר דאס וואס קומט ארויס אויס דעם מענטשן איז עס, וואס איז מטמא דעם מענטשן.
2907100050	אויב עמיצער האט אויערן צום הערן, זאל ער הערן!
29071100c2	און ווען ער איז פונם המון מענטשן אריינגעקומען אין הויז אריין, האבן זיינע תלמידים אים געפרעגט וועגן דעם משל.
290712010c	און ער זאגט צו זיי, אזוי, אויך זענט איר אָן פארשטאנד? צי פארשטייט איר דען נישט, אז אלץ, וואס גייט אריין אין דעם מענטשן פונדרויסן, קען אים נישט טמא מאכן?
29071300e7	ווייל עס גייט נישט אריין אין הארצן, נאר אין בויך, און עס גייט ארויס אין בית הכסא אריין. אזוי ארום האט ער דערקלערט אלע שפייזן ריין.
2907140085	און האט געזאגט: וואס עס קומט ארויס פון דעם מענטשן, דאס איז דעם מענטשן מטמא.
29071500b8	ווארום פון אינעווייניק, אויס דעם הארצן פון די מענטשן, קומען ארויס די בייזע מחשבות, זנות, גנבות, רציחות,
29071600d0	ניאופים, געלט גייציקייט, שלעכטסקייטן, כיטרעקייט, צעלאזנקייט, א שלעכט אויג, חלול השם, גאווה, אומבאקימערטע נארישקייט;
290717008d	אלע די דאזיקע בייזע זאכן קומען ארויס פון אינעווייניק, און מאכן דעם מענטשן טמא.
2907180173	און ער האט זיך אויפגעהויבן, און איז פון דארטן אוועק צו די גרענעצן פון צור און צידון. און ווען ער איז אריינגעגאנגען אין א הויז, האט ער געוואלט, אז קיינער זאל עס נישט וויסן; און האט נישט געקענט בלייבן פארבארגן.
29071900f8	נאר תיכף האט א פרוי וועגן אים געהערט, וואס איר טעכטערל האט געהאט אן אומריינעם גייסט, און זי איז געקומען און איז אנידערגעפאלן צו זיינע פיס.
29071a00f9	די פרוי איז אבער געווען א גריכין, א סירא‑פעניצערין לויטן אפשטאם, און האט אים געבעטן, אז ער זאל ארויסטרייבן דעם בייזן גייסט פון איר טאכטער.
29071b0100	און ער האט צו איר געזאגט: לאז צוערשט די קינדער זאט ווערן; ווארום עס איז נישט שיין צו נעמען דאס ברויט פון די קינדער און עס ווארפן פאר די הינטלעך!
29071c00c3	זי אבער האט געענטפערט און זאגט צו אים: יא, האר; אפילו די הינטלעך אונטערן טיש עסן פון די ברעקלעך פון די קינדער!
29071d00bd	און ער האט געזאגט צו איר: צוליב דעם דאזיקן ווארט גיי דיר; דער בייזער גייסט איז שוין ארויס פון דיין טאכטער.
29071e00ed	און זי איז אוועקגעגאנגען צו זיך אהיים, און האט געפונען דאס קינד ליגן אויפן בעט, און דער בייזער גייסט איז שוין געווען ארויסגעגאנגען.
29071f00fb	און ער איז ווידער ארויסגעגאנגען פון די גרענעצן פון צור, און איז געגאנגען דורך צידון צום ים פון גליל, אינמיטן פון די גרענעצן פון די צען שטעט.
2907200104	און מען האט געברענגט צו טראגן צו אים איינעם, וואס איז געווען טויב און האט געשטאמלט; און מען האט אים געבעטן, אז ער זאל ארויפלייגן אויף אים די האנט.
290721011f	און ער האט אים אוועקגענומען פון דעם המון מענטשן אויף א זייט, האט אריינגעלייגט זיינע פינגער אין זיינע אויערן אריין, און האט אויסגעשפיגן און אנגערירט זיין צונג;
29072200a9	און ארויפבליקנדיק צום הימל, האט ער געגעבן א זיפץ, און זאגט צו אים; אפתח! דאס הייסט מאך דיך אויף!
29072300d2	און זיינע אויערן האבן זיך אויפגעעפנט, און גלייך האט זיך דאס באנד פון זיין צונג לויז געמאכט, און ער האט ריכטיג גערעדט.
29072400d5	און ער האט זיי באפוילן אז זיי זאלן עס קיינעם נישט זאגן; אבער וואס מער ער האט זיי באפוילן, אלץ מער האבן זיי עס פארשפרייט.
29072500ee	און זיי זענען געווען אויסער זיך פון שטוינען, און האבן געזאגט: ער האט אלץ וואויל געטאן; אפילו די טויבע מאכט ער הערן, און די שטומע רעדן!
2908010105	אין יענע טעג, ווען עס איז ווידער געווען א גרויסע מאסע מענטשן, און זיי האבן נישט געהאט וואס צו עסן, האט ער גערופן צו זיך די תלמידים, און זאגט צו זיי:
29080200c5	עס טוט מיר לייד אויף דער מאסע מענטשן, ווייל שוין דריי טעג זענען זיי ביי מיר געבליבן, און האבן נישט וואס צו עסן;
29080300d6	און אויב איך זאל זיי לאזן גיין אהיים פאסטנדיק, וועלן זיי פארשמאכטן אונטערוועגנס; ווייל א טייל זענען געקומען פון ווייט.
29080400c0	און זיינע תלמידים האבן אים געענטפערט: פונוואנען וועט מען דא אין דער מדבר קענען זעטיקן די דאזיקע מיט ברויט?
2908050078	און ער האט זיי געפרעגט: וויפל ברויטן האט איר? האבן זיי געזאגט: זיבן.
29080601a5	און ער האט באפוילן דעם המון מענטשן זיך אנידערצוזעצן אויף דער ערד; און האט גענומען די זיבן ברויטן, געמאכט א ברכה, האט זיי צעבראכן, און געגעבן צו זיינע תלמידים, אז זיי זאלן זיי אויסטיילן; און זיי האבן זיי צעטיילט (צווישן) דער מאסע מענטשן.
29080700d5	און זיי האבן געהאט אייניקע קליינע פישלעך; און ווען ער האט געמאכט א ברכה, האט ער געהייסן מען זאל אויך די דאזיקע צעטיילן.
29080800c1	און זיי האבן געגעסן, און זענען זאט געווארן; און האבן אויפגעהויבן, פון די איבערגעבליבענע ברעקלעך, זיבן קערב.
2908090076	און עס זענען געווען אן ערך פיר טויזנט; און ער האט זיי אוועקגעשיקט.
29080a00c9	און גלייך איז ער איינגעשטיגן אין דעם שיפל צוזאמען מיט זיינע תלמידים, און איז געקומען אין די געגנטן פון דלמנותא.
29080b00f3	און די פרושים זענען ארויסגעגאנגען, און האבן אנגעהויבן האלטן וויכוחים מיט אים, זוכנדיק פון אים א צייכן פון הימל, כדי אים אויסצופרואוון.
29080c0110	און ער האט טיף געזיפצט אין זיין גייסט, און געזאגט: וואס זוכט דאס דאזיקע דור א צייכן? באמת זאג איך אייך: קיין צייכן וועט נישט געגעבן ווערן דעם דאזיקן דור.
29080d00be	און האט זיי פארלאזט, און איז ווידער איינגעשטיגן אין דעם שיפל, און איז אריבערגעפארן אויף דער אנדערער זייט.
29080e00b4	און זיי האבן פארגעסן מיטצונעמען ברויט; און אחוץ איין לעבל האבן זיי נישט געהאט מער מיט זיך אינם שיפל.
29080f00d5	און ער האט זיי געווארנט, אזוי צו זאגן: גיט אכטונג, היט זיך פארן זויערטייג פון די פרושים און פארן זויערטייג פון הורדוסן!
290810009b	און זיי האבן עס איבערגערעדט איינער מיט דעם אנדערן: דאס איז ווייל האבן נישט קיין ברויט.
2908110162	און יהושע/ישוע האט עס באמערקט, און צו זיי געזאגט: פארוואס האט איר (אזעלכע) מחשבות, ווייל איר האט נישט קיין ברויט? צי פארשטייט איר נאך אלץ נישט און זענט נישט משיג? איז אייער הארץ נאך אלץ פארהארטעוועט?
290812008a	איר האט אויגן און זעט נישט, און אויערן און הערט נישט? און צי געדענקט איר נישט,
29081300e5	ווען איך האב צעבראכן די פינף ברויטן פאר די פינף טויזנט, וויפל קערב פול מיט ברעקלעך איר האט אויפגעקליבן? זאגן זיי צו אים: צוועלף!
29081400d3	און ווען די זיבן (ברויטן) פאר די פיר טויזנט, וויפל גרויסע קערב פול מיט ברעקלעך איר האט אויפגעקליבן? און זיי זאגן: זיבן!
2908150062	און ער האט צו זיי געזאגט: צי זענט איר נאך אלץ נישט משיג?
29081600c8	און זיי זענען געקומען קיין בית‑צידה. און מען האט געברענגט צו אים א בלינדן, און אים געבעטן, אז ער זאל אים אנרירן.
290817014d	און ער האט אנגענומען דעם בלינדן ביי דער האנט, און אים ארויסגעפירט אויסער דעם דארף; האט אים ארויפגעשפיגן אויף די אויגן, און ארויפגעלייגט די הענט אויף אים, און אים געפרעגט, צי ער זעט עפעס.
290818009b	און ער האט א בליק געטאן און געזאגט: איך זע די מענטשן; אז ווי ביימער זע איך זיי ארומגיין!
2908190114	נאך דעם האט ער ווידער ארויפגעלייגט די הענט אויף זיינע אויגן; און ער האט שארף געקוקט, און איז געהיילט געווארן, און האט אלץ געזען קלאר אפילו פונדערווייטנס.
29081a009d	און ער האט אים אוועקגעשיקט אהיים, און געזאגט: אין דעם דארף זאלסטו אפילו נישט אריינגיין!
29081b0157	און יהושע/ישוע איז ארויסגעגאנגען, און זיינע תלמידים, אין די דערפער אריין פון קסריה פון פיליפוס; און אונטערוועגנס האט ער געפרעגט זיינע תלמידים, זאגנדיק צו זיי: ווער זאגן די מענטשן, אז איך בין?
29081c00dd	און זיי האבן אים געענטפערט, אזוי צו זאגן: יוחנן פון דער (ירדן) מקווה; און אנדערע, אליהו; אנדערע אבער, אז איינער פון די נביאים.
29081d00bf	און ער האט זיי געפרעגט: איר אבער, ווער זאגט איר, אז איך בין? ענטפערנדיק זאגט פעטרוס צו אים: דו ביסט דער משיח!
29081e0087	און ער האט זיי שטרענג אנגעזאגט, אז זיי זאלן קיינעם נישט אויסזאגן וועגן אים.
29081f015d	און האט זיי אנגעהויבן צו לערנען, אז דער בר אנש מוז ליידן א סך, און פארווארפן ווערן פון די זקנים, און פון די הויפט כהנים, און פון די סופרים, און געטייט ווערן, און אין דריי טעג ארום ווידער אויפשטיין.
29082000d9	און ער האט דאס ווארט גערעדט אפן, נישט פארהוילן. און פעטרוס האט אים גענומען אויף א זייט, און אנגעהויב אנצושרייען אויף אים.
2908210172	ער אבער האט זיך אויסגעדרייט, און געקוקט אויף זיינע תלמידים, און האט אנגעשריגן אויף פעטרוסן, און זאגט: אוועק, הינטער מיר, שׂטן! ווייל דו האסט נישט אין זינען דאס, וואס איז שייך ה׳, נאר דאס, וואס איז שייך מענטשן!
2908220156	און האט צוגערופן צו זיך דעם המון מענטשן צוזאמען מיט זיינע תלמידים, און צו זיי געזאגט: אויב עמיצער וויל מיר נאכגיין, זאל ער זיך אליין פארלייקענען, און זאל ער נעמען זיין בוים. און מיר נאכפאלגן.
2908230106	ווארום ווער עס וויל ראטעווען זיין נפש, וועט עס פארלירן; ווער אבער עס וועט פארלירן זיין לעבן צוליב מיר און דער גוטער בשורה, דער וועט עס אפראטעווען.
2908240095	ווארום וואס לוינט זיך א מענטשן צו געווינען די גאנצע וועלט, און צו פארלירן זיין נפש?
2908250071	ווארום וואס פאר אן אויסלייז געלט זאל א מענטש געבן פאר זיין נפש?
2908260184	ווארום ווער עס וועט זיך שעמען מיט מיר און מיט מיינע ווערטער אין דעם דאזיקן נואפדיקן און זינדיקן דור, וועט דער בר אנש זיך אויך שעמען מיט אים, ווען ער וועט קומען אין דער הערלעכקייט פון זיין פאטער מיט די הייליקע מלאכים.
2909010149	און ער האט צו זיי געזאגט: באמת זאג איך אייך, עס זענען פאראן אייניקע, וואס שטייען דא, וועלכע וועלן נישט פארזוכן דעם טעם פון טויט, ביז זיי וועלן זען דאס קעניגרייך פון ה׳ געקומען מיט מאכט.
290902011c	און אין זעקס טעג ארום נעמט יהושע/ישוע מיט זיך פעטרוסן, און יעקבן, און יוחנן, און פירט זיי ארויף אויף א הויכן בארג איינע אליין; און ער האט זיך פארענדערט פאר זיי;
29090300c9	און זיינע קליידער זענען געווארן שטראלנדיק, זייער ווייס, ווי קיין וואלקער אויף דער ערד קען נישט אזוי ווייס מאכן.
29090400b6	און אליהו (הנביא) האט זיך צו זיי באוויזן צוזאמען מיט משה (רבינו), און זיי האבן גערעדט מיט יהושען/ישוען.
2909050126	און ענטפערנדיק זאגט פעטרוס צו יהושען/ישוען: רבי, עס איז גוט פאר אונדז דא צו זיין; און לאמיר מאכן דריי געצעלטן: פאר דיר איינס, און פאר משהן איינס, און פאר אליהו איינס;
2909060099	ווארום ער האט נישט געוואוסט, וואס ער זאל ענטפערן; ווארום זיי האבן זיך זייער געפארכטן.
29090700f6	און א וואלקן איז געקומען און האט זיי באשאטנט; און אויס דעם וואלקן איז געקומען א קול: דער דאזיקער איז מיין געליבטער זון, אים זאלט איר הערן!
29090800ab	און פלוצלונג, ארומקוקנדיק זיך, האבן זיי מער קיינעם נישט געזען, אחוץ יהושען/ישוען אליין מיט זיי.
290909013a	און ווען זיי זענען אראפגעגאנגען פונם בארג, האט ער זיי באפוילן, אז זיי זאלן קיינעם נישט דערציילן, וואס זיי האבן געזען, אחוץ ווען דער בר אנש וועט זיין אויפגעשטאנען פון די טויטע.
29090a00cb	און זיי האבן באהאלטן דאס ווארט, און האבן זיך געפרעגט איינס דאס אנדערע, וואס עס באטייט דאס אויפשטיין פון די טויטע.
29090b00a5	און האבן אים געפרעגט, אזוי צו זאגן: די סופרים זאגן, אז אליהו מוז קומען צום ערשט. (מלאכי ד, ה-ו.)
29090c0139	און ער האט צו זיי געזאגט: אליהו קומט טאקע צום ערשט, און שטעלט אלץ צוריק; און וויאזוי שטייט געשריבן וועגן דעם בר אנש אז ער וועט א סך ליידן און צונישט געמאכט ווערן? (ישעיהו נג, ג.)
29090d00f5	איך זאג אייך אבער, אז אליהו איז אויך שוין געקומען, און זיי האבן מיט אים געטאן, וואס זיי האבן געוואלט, אזוי ווי עס שטייט געשריבן וועגן אים.
29090e00c1	און קומענדיק צו די תלמידים, האבן זיי געזען א גרויסן המון מענטשן ארום זיי, און סופרים האלטן מיט זיי א וויכוח.
29090f00e3	און גלייך ווי דער המון מענטשן האבן אים דערזען, זענען זיי דערשטוינט געווארן, און זענען אים אקייגנגעלאפן און אים אפגעגעבן שלום.
290910006c	און ער האט זיי געפרעגט: איבער וואס האלט איר מיט זיי א וויכוח?
29091100c4	און איינער אויס דעם המון האט אים געענטפערט: רבי, איך האב געברענגט צו דיר מיין זון, וועלכער האט א שטומען גייסט;
2909120167	און וואו נאר ער כאפט אים אָן, רייסט ער אים, און ער שוימט פארן מויל, און קריצט מיט די ציין, און ווערט פארדארט; און איך האב שוין געזאגט דיינע תלמידים, אז זיי זאלן אים ארויסטרייבן; און זיי האבן נישט געקענט.
29091300fc	ער אבער ענטפערנדיק זאגט צו זיי: אָ, אומגלויביק דור! ווילאנג זאל איך נאך זיין מיט אייך? ביז ווען זאל איך אייך דערטראגן? ברענגט אים אהער צו מיר!
2909140139	און זיי האבן אים געברענגט צו אים; און ווי ער האט אים דערזען, האט דער גייסט אים גלייך א ריס געטאן; און ער איז אנידערגעפאלן אויף דער ערד, האט זיך געוואלגערט, שוימענדיק פארן מויל,
29091500d4	און ער האט געפרעגט זיין פאטער: ווילאנג איז שוין זינט דאס דאזיקע איז געשען צו אים? און ער האט געזאגט: פון קינדווייז אָן;
2909160123	און אפטמאל האט ער אים געווארפן אין פייער אריין און אין וואסער אריין, כדי ער זאל אים אומברענגען; נאר אויב דו ביסט עפעס בכוח, העלף אונדז, און דערבארם דיך אויף אונדז!
290917009f	יהושע/ישוע אבער האט צו אים געזאגט: אויב דו ביסט בכוח? אלץ איז מעגלעך פאר דעם, וואס גלויבט.
29091800a6	גלייך האט דער פאטער פון דעם יינגל א געשריי געטאן, און געזאגט: איך גלויב; העלף מיין אומגלויבן!
2909190184	און ווי יהושע/ישוע האט געזען, אז א המון מענטשן לויפט זיך צונויף, האט ער אנגעשריגן דעם אומריינעם גייסט, זאגנדיק צו אים: דו שטומער און טויבער גייסט, איך באפעל דיר: גיי פון אים ארויס, און זאלסט מער נישט אריינגיין אין אים!
29091a010b	און ער האט א געשריי געטאן, און האט אים זייער פיל געריסן, און איז ארויסגעגאנגען; און ער איז געווארן ווי טויט, אז א רבים האבן געזאגט, אז ער איז געשטארבן!
29091b00ad	יהושע/ישוע אבער האט אים אנגענומען ביי דער האנט, און אים אויפגעהויבן; און ער האט זיך אויפגעשטעלט.
29091c00fc	און ווען ער איז אריינגעגאנגען אינם הויז, האבן זיינע תלמידים, גאנץ אליין, אים געפרעגט: פארוואס זענען מיר נישט געווען בכוח אים ארויסצוטרייבן?
29091d00cf	און ער האט צו זיי געזאגט: דער דאזיקער מין (בייזע גייסטער) קען בשום אופן נישט ארויסגיין, אחוץ דורך תפילה און תעניתים.
29091e00c2	און זיי זענען פון דארטן אוועק, און זענען געגאנגען דורך גליל; און ער האט נישט געוואלט, אז עמיצער זאל עס וויסן.
29091f016c	ווארום ער האט געלערנט זיינע תלמידים, און צו זיי געזאגט: דער בר אנש וועט איבערגעגעבן ווערן אין די הענט פון מענטשן, און זיי וועלן אים טייטן; און זייענדיק געטייט, וועט ער אין דריי טעג ארום ווידער אויפשטיין.
2909200087	זיי אבער האבן נישט פארשטאנען דאס ווארט, און האבן זיך געפארכטן אים צו פרעגן.
29092100e7	און די זענען געקומען קיין כפר‑נחום; און זייענדיק אינם הויז, האט ער זיי געפרעגט: וועגן וואס האט איר זיך מתווכח געווען אויפן וועג?
29092200cd	זיי אבער האבן געשוויגן; ווייל אונטערוועגנס האבן זיי געהאלטן א וויכוח איינער מיטן אנדערן, ווער עס איז דער גרעסטער.
2909230113	און ער האט זיך אנידערגעזעצט, און האט גערופן די צוועלף; און זאגט צו זיי: אויב איינער וויל זיין דער ערשטער, זאל ער זיין דער לעצטער פון אלע, און אלעמענס משרת.
29092400d2	און האט גענומען א קינד, און עס אנידערגעשטעלט אין זייער מיט; און ער האט עס גענומען אויף זיינע ארעמס, און צו זיי געזאגט:
290925011f	ווער עס וועט אויפנעמען איינס פון אזעלכע קינדער אין מיין נאמען, דער נעמט מיך אויף; און ווער עס נעמט מיך אויף, דער נעמט נישט אויף מיך, נאר דעם, וואס האט מיך געשיקט.
2909260114	יוחנן האט צו אים געזאגט; רבי, מיר האבן געזען איינעם ארויסטרייבן בייזע גייסטער אין דיין נאמען; און מיר האבן עס אים פארווערט, ווייל ער פאלגט אונדז נישט נאך.
2909270144	יהושע/ישוע אבער האט געזאגט: איר זאלט אים נישט פארווערן! ווייל עס איז נישט פאראן קיין מענטש, וועלכער וועט טאן א וואונדער אין מיין נאמען, און וואס וועט גיך קענען רעדן שלעכטס אויף מיר.
2909280060	ווארום ווער עס איז נישט קעגן אונדז, דער איז פאר אונדז.
2909290122	ווארום ווער עס וועט אייך געבן צו טרינקען א טעפעלע וואסער, פון מיינעטוועגן, ווייל איר געהערט צום משיח, באמת זאג איך אייך, דער וועט בשום אופן נישט פארלירן זיין שכר.
29092a018f	און ווער עס וועט פארפירן צום שטרויכלען איינעם פון די דאזיקע קליינע, וואס גלויבן וואלט עס געווען פיל בעסער פאר אים אויב א גרויסער מילשטיין וואלט געלייגט געווארן אויף זיין האלדז, און ער וואלט געווארפן געווארן אין ים אריין.
29092b020c	און אויב דיין האנט פארפירט דיך צום שטרויכלען, האק זי אפ! עס איז בעסער פאר דיר אריינצוגיין אין לעבן אריין א קאליקע, ווי צו האבן דיינע ביידע הענט און צו גיין אין גיהנום אריין—אין דעם פייער, וואס לעשט זיך נישט אויס, וואו זייער ווארעם שטארבט נישט, און דאס פייער ווערט נישט פארלאשן. (ישעיהו סו, כד.)
29092d01a6	און אויב דיין פוס פארפירט דיך צום שטרויכלען, האק אים אפ! עס איז בעסער פאר דיר אריינצוגיין אין לעבן לאם, ווי צו האבן דיינע ביידע פיס און אריינגעווארפן צו ווערן אין גיהנום, וואו זייער ווארעם שטארבט נישט, און דאס פייער ווערט נישט פארלאשן.
29092f0154	און אויב דיין אויג פארפירט דיך צום שטרויכלען, נעם עס ארויס! עס איז בעסער פאר דיר אריינצוגיין אין ה׳ס קעניגרייך מיט איין אויג, ווי צו האבן צוויי אויגן און געווארפן צו ווערן אין גיהנום אריין,
2909300074	וואו זייער ווארעם שטארבט נישט, און דאס פייער ווערט נישט פארלאשן.
2909310058	ווארום יעדער איינער מוז געזאלצן ווערן מיט פייער.
29093200f7	דאס זאלץ איז גוט; אויב אבער דאס זאלץ ווערט אומגעזאלצן, מיט וואס וועט איר עס ווירצן? האט זאלץ אין זיך, און לעבט בשלום איינער מיט דעם אנדערן.
290a01015b	און ער איז אויפגעשטאנען פון דארטן, און איז געקומען צו די גרענעצן פון יהודה און פון עבר הירדן; און ווידער האבן המונים מענטשן זיך פארזאמלט ביי אים; און ווי געוויינטלעך, האט ער זיי ווידער געלערנט.
290a0200c7	און פרושים זענען צוגעקומען צו אים, און האבן אים געפרעגט, אויב א מאן מעג זיך גטן מיטן ווייב; אויספרואוונדיק אים.
290a030071	ער אבער האט ענטפערנדיק געזאגט צו זיי: וואס האט אייך משה געבאטן?
290a0400b7	און זיי האבן געזאגט: משה האט דערלויבט (איר) צו שרייבן א ספר כריתות (גט) און זי אוועקצושיקן. (דברים כד, א.)
290a0500d3	יהושע/ישוע אבער האט צו זיי געזאגט: צוליב דער פארהארטעוועטקייט פון אייער הארץ האט ער אייך אנגעשריבן דאס דאזיקע געבאט;
290a06008c	פון אנהויב פון דער באשאפונג אבער האט ה׳ זיי באשאפן זכר און נקבה. (בראשית א, כז.)
290a070097	דערפאר וועט א מענטש פארלאזן זיין פאטער און די מוטער, און זיך באהעפטן מיט זיין ווייב,
290a0800ab	און די צוויי וועלן זיין איין פלייש (בראשית ב, כד.); אזוי זענען זיי מער נישט צוויי, נאר איין פלייש.
290a090077	דעריבער וואס ה׳ האט מזווג געווען, דאס זאל קיין מענטש נישט צעשיידן!
290a0a0081	און אינם הויז האבן די תלמידים אים ווידער געפרעגט וועגן דער דאזיקער זאך.
290a0b00bd	און ער האט צו זיי געזאגט: ווער עס גט זיך מיט זיין ווייב, און האט חתונה מיט אן אנדערער, איז ער מזנה קעגן איר;
290a0c007f	און אויב זי גט זיך מיט איר מאן, און האט חתונה מיט אן אנדערן, טוט זי זנות.
290a0d00be	און מען האט צו אים געברענגט קליינע קינדער, כדי ער זאל זיי אנרירן; די תלמידים אבער האבן אנגעשריגן אויף זיי.
290a0e014f	און ווי יהושע/ישוע האט דאס געזען, האט עס אים פארדראסן, און ער האט צו זיי געזאגט: לאזט די קליינע קינדער קומען צו מיר; פארווערט עס זיי נישט; ווארום פאר זייערסגלייכן איז דאס קעניגרייך פון ה׳!
290a0f00e2	באמת זאג איך אייך: ווער עס וועט נישט אויפנעמען דאס קעניגרייך פון ה׳ ווי א קליין קינד, דער וועט בשום אופן נישט אריינגיין דערין!
290a100096	און האט זיי גענומען אויף זיינע ארעמס, און געבענטשט, ארויפלייגנדיק די הענט אויף זיי.
290a11015b	און בעת ער איז ארויסגעגאנגען אויפן וועג, איז אים איינער אקייגנגעלאפן, און איז אנידערגעפאלן פאר אים אויף די קני, און האט אים געפרעגט: רבי גוטער, וואס זאל איך טאן, כדי איך זאל ירשענען אייביק לעבן?
