2900000006	Marcos
29051a00a8	Maski nagpapagamut ya ha iba iban duktur, nagꞌiirap ya pun. Naubuhaꞌ laat ari arian na ha pagpapagamut na. Nuwa, ha halipa gumaling ya, lalu pun inlumalay hakit na.
29051b0098	Nabalitꞌan nay libun himalan ginawan Apu Jesus. Kaya nakipagdalêhêkhêkan ya ha tawtawu. Naku ya ha bukutan Apu Jesus taêmên madukpanaꞌ baru na.
29051c004b	Ta naihip babayi, “Nu madukpan kun diliyaꞌ baru na, gumalingakuy na.”
29051d006d	Hin nadukpan na ba barun Apu Jesus, biglan tinênggênaꞌ kanan pagdadaya buy natanam nan ginumaling yay na.
29051e0085	Agadanaman natanam Apu Jesus ya mayin inlumabas kanay kapangyarian. Kaya namalingay ya buy nagtanung, “Hita nandukpa ha baru ku?”
29051f007d	Ambala kanan tawtagahunul na, “Ha kadlan nakipagdalêhêkhêk kayu, angkaya kaw pun magtanung nu hita nandukpan baru yu?”
290520003e	Nuwa inêlêwꞌêlêw nay paligid, nu hita nandukpan baru na.
2905210084	Nuwa hay babayi, ta tanda nay nangyayari kana, nagdani yan nalilimu buy ginagalgal. Nagluhud ya kana, bayu innunghung kanay pêtêg.
2905220092	Pagkayari, ambala kanan Apu Jesus, “Anak, pinagaling kay nan kamung pananampalataya. Muli kay na. Ah kay na magꞌalala ta ala kay nan hakit.”
29052300a5	Kaban kanunghung pun Apu Jesus ya babayi, nalatêngaꞌ tawtawung ibat ha biyag Jairo. Ambala la kan Jairo, “Ah yuy na abalaênaꞌ Mistru ta natiyanay anak yu!”
2905240070	Nuwa hin nalêngên Apu Jesus ya innunghung la, ambala na kan Jairo, “Ah ka malimu, manampalataya kan dili.”
290525006e	Ah na pinaulayan manghunul kanay kanayun ha biyag Jairo, nu alwan hilan Pedro, mipatêlaꞌ Santiago buy Juan.
290526007a	Paglatêng la istu ha biyag Jairo, naakit Apu Jesus ya libun tawung nagkakaingay, mayin nananangih buy nanyêyêngêyêng.
2905270085	Pagpahuk na ha biyag, innunghung na ha libun tawu, “Kaya kawu nagkakaingay buy nananangih? Alwan natiyaꞌ anak, natutuluy dili.”
29052800a7	Pinagkakayliyan yan tawtawu. Hin pinalabas na hilan laat, inꞌawyun na diliyaꞌ bapa buy indun anak buy tatluy tagahunul na bayu hila nagpahuk ha pagꞌundagan anak.
290529006a	Dinukpan nay gamêt anak, ambala na, “Talitha kum.” Hay labay tutulun habatu, “Anak, mibangun ka.”
29052a007a	Agad, nibangunaꞌ anak buy nallyakuꞌ. Kaya labis nalgangaꞌ tawtawu ha nangyari. (Hay habatuy anak, labinluway tawun.)
29052b00a5	Nuwa mahigpit inꞌutuh kanlan Apu Jesus ya, “Andi yu sabin maski ha hitalagyumanaꞌ nangyari.” Pagkayari, ambalan Apu Jesus kanla, “Pakanên yuy nay anak.”
290601004b	Nuli hi Apu Jesus ha kanan sariling banwa. Hinumunul kanay tawtagahunul na.
2906020112	Paglatêng Allêw Pamamahinga, naku ya ha biyag pamititipunan Hawjudio buy nanudu ya istu. Nalgangaꞌ tawtawung nanlêngê kana buy ambala, “Haantu na kayan nakuway katalinuwan nan in? Buy hita katalinuwanaꞌ atiyaꞌ inꞌibi kana? Pakapakun ya nanggagawan makapagtaka?
29060300b5	Alwa nan hiyay karpintirun anak Maria, pawpatêl na hilan Santiago, Jose, Judas buy Simon? Alwa nan kayti mêt namimirmiyaꞌ pawpatêl nan babayi?” Kaya ah ya pinanlêlêngꞌan.
29060400b3	Ambalan Apu Jesus kanla, “Hay gihay tagapannunghung Apu Diyus, inggagalang maski haantu. Nuwa ha sarili nan banwa buy ha kanan kamagꞌanak buy ha pamilya, ah ya inggagalang.”
2906050090	Habatuy dahilan kaya uumnuy nagawa nan himala istu. Ta hay ginawa na tana, impatung nay gamêt na ha umnuy mayin hakit taêmên mapagaling hila.
2906060066	Nagtaka ya ha kawalꞌan lan pananampalataya. Inlibut Apu Jesus ya bawbaryu ta nangaral ya ha tawtawu.
2906070072	Binawêg nay labinluwaꞌ nan tagahunul ta inutuhan nan luwa luwa. Binyan hilan kapangyarihanaꞌ magpaalih anitu.
290608008e	Buy inbilin kanla, “Ah kawu mantan hitalagyuman ha kayung paliyaliyaku, maski hitalagyumanaꞌ maêkan, pira u bag. Mantan kawu tanan tukud.
2906090045	Maari kawun magsuut sandalyas, nuwa ah kawu mantan pagpalitaꞌ baru.
29060a0068	Nu pinatuluy kawu ha gihay biyag, baistu kawu tanan mamirmiꞌ angga ha magꞌalih kawu ha rugalaꞌ tu.
29060b0088	Nu ah kawu tanggapên u panlêngꞌan ha gihay rugal, magꞌalih kawu istu buy ipagpag yuy abu ha bitih yu bilang babala laban kanla.”
29060c0065	Kaya nagꞌalih hila takay mangaral ha tawtawu. Innunghung la, “Magsisi kawu ha kawkasalanan yu.”
29060d0073	Buy pinaalih lay madlan anitu ya sinumuklut ha tawtawu. Pinuyukan lan langisaꞌ dêlan mayin hakit buy ginumaling.
29060e00b3	Nabalitꞌan Herodes ya tungkul kan Apu Jesus ta kilalan kilala yay na maski haantu. Mayin umnuy nannununghung, “Hiya hi Juan, nabyay yan uman. Kaya nakakagawa yan hawhimala.”
29060f00bf	Ambalay naman kanayun, “Hiya hi Eliasaꞌ tagapannunghung Apu Diyus hinlagi.” Mayin nannununghung kanayun, “Giha ya ha tagapannunghung Apu Diyus, dapay tawtagapannunghung na hinlagi.”
2906100087	Nuwa hin nabalitꞌan Haring Herodesa habatuy innunghung tawtawu, ambala na, “Hi Juanaꞌ habayin, ya pinutuhan kun u nabyay uman.”
2906110068	Hinhatu kasi, pinupunan Juanaꞌ pakikitakpin Haring Herodes kan Herodias ya bayaw na, ya ahawan Felipe.
290612008a	Panay yan pinannununghungan Juan, “Alwan tamay kuwên muy ahawan patêl mu.” Kaya impadakêp Haring Herodes hi Juan buy impakulung na.
2906130070	Nangimkim puut hi Herodias kan Juan, ta labay nan ipapati. Nuwa ah na magawa. Ta ahê malabay hi Haring Herodes.
29061400b6	Nalilimu hi Haring Herodes kan Juan. Tanda nan matuynung buy banalaꞌ tawung ati, kaya impagtatanggul na. Maski naguguluy nakêm na ha tinutul Juan, natutula ya pun manlêngê kana.
2906150106	Nuwa inlumatêng mêtaꞌ pagkakatawunaꞌ inêêtêng Herodias. Kaallêwan hinhatun Haring Herodes kaya nagdaus yan mamhakaꞌ ukasyun. Kinumbida nay libun nanunungkulan ha Galilea, libun matagꞌay ha sawsundalung Romano, buy kanayun punaꞌ kilalan tawu istu.
29061600da	Hin urasanan kasiyaan, nagpahukaꞌ anakaꞌ dalagan Herodias ta naghayaw. Labisaꞌ tulan Haring Herodes buy bawbisita na, kaya ambalan Haring Herodes ha dalaga, “Mikikuwa ka kangkun maski hitalagyu, ibi ku kamu.”
290617006f	Buy impangaku na kana, “Hitamanaꞌ ipikikuwa mu kangku, ibi ku, maski kalahati pun kayamanan kaharian ku.”
290618008c	Kaya naglabas punaꞌ dalaga, nagtanung ha indu na, “Hita ipikikuwa ku kana?” Buy ambalan indu na, “Hay un Juan ya Tagapagbawtismu.”
290619009c	Kaya nagmadalin nagbalikaꞌ dalaga kan Haring Herodes, “Labay ku hapaêg mêt, ipaluntu yu ha bandihaduy un Juan ya Tagapagbawtismu buy ibi yu kangku.”
29061a0075	Labisaꞌ atin ingkalungkut Haring Herodes, nuwa ah ya makatanggi ha dalaga ta nangaku ya ha mangalêngên bawbisita.
29061b008e	Kaya agad nan impalakuy gihay sundalu ha bilangguan takay kuwênaꞌ un Juan. Nakuy sundalu istu ta tinupadanay inꞌutuh Haring Herodes kana.
29061c005c	Impaluntu nay un Juan ha bandihadu. Inꞌabut na ha dalaga ta inꞌibi nay naman ha indu na.
29061d005b	Hin nabalitꞌan libun tagahunul Juan ya nangyari, kinwa lay nawinin ati buy inꞌêlbêng.
29061e006c	Nagbalikaꞌ libun inutuhan Apu Jesus ya mangaral, ta ingkuwintu la kanay laataꞌ ginawa buy impangaral la.
29061f00e7	Ha kadlan tawung inlulumatêng buy nagꞌaalih, alay na hilan uras mangan man. Kaya ambalan Apu Jesus ha tawtagahunul na, “Ibwatan tamu punaꞌ libun tawung ati. Maku kitamu ha kalinangan taêmên makapagpahinga kawun sandali.”
290620003e	Kaya naghakay hila ha gihay bangka ta naku hila ha kalinangan.
29062100cd	Nuwa hin nagꞌalih hila, dêlan nakaakit buy nakakilala kanla. Kaya mabilisa naman naliyakuy tawtawu ibat ha iba iban banwa, palaku ha rugalaꞌ lakwun lan Apu Jesus. Buy nauna pun hilan inlumatêng istu.
290622009c	Kaya hin nagtabuy hi Apu Jesus ha bangka, naakit nay kadlan tawu. Kinaingalwan na hila, ta dapay hilan tupan alan pastul. Buy tinudwanan hilan dêlan bagay.
2906230082	Hin bandan hapunana, nagdani kan Apu Jesus ya libun tagahunul na. Buy ambala la, “Mistru, kalinangananay ati buy inyuyumabiyana.
290624004e	Paliyakunun yuy na hila ha kalagpak baryu taêmên makahaliw hilan maêkan.”
29062500b6	Nuwa ambalan Apu Jesus kanla, “Hakawuy mamakan kanla.” Tinumbay hila, “Mistru, manyaliw kami pun ipakan kanla? Pan abut walun buyanaꞌ alagan sahudaꞌ panyaliw maêkan la!”
290626009e	Tinanung hilan Apu Jesus, “Umnuy tinapayaꞌ dilag kayu? Balayên yu paraw.” Hin binalay la, ambala kan Apu Jesus, “Lilimay tinapay buy luluway isda.”
290627004d	Pagkayari, inutuhan na hila, “Paitnun yu hilan guru gurupu ha kalamunan.”
290628003f	Kaya nitnu hilan guru gurupu tig lilimampu buy tig gigihandaan.
2906290107	Kinwan Apu Jesus ya limay tinapay buy luway isda, bayu naningal ya ha langit ta nagpasalamat kan Apu Diyus. Kaban pinagbihꞌil bihꞌil nay tinapay, kinumadlay ati, inꞌibi na ha tawtagahunul na takay iibi ha libun tawu. Habatu mêtaꞌ ginawa na ha luway isda.
29062a0020	Nangan hilan laat buy nangabhuy.
29062b005d	Pagkayari lan nangan, tinipun lay nitlay tinapay buy isda ta nakapnu hilan labinluway baskit.
29062c0033	Hay nakapangan tawtinapay, liman libuy kaliyakiyan.
29062d00a5	Pagkayari, pinahakay agad Apu Jesus ya tawtagahunul na ha bangka ta pinaunay na hila ha banwan Betsaida, ha lipay dagat. Kaban hay libun tawuy naman, pinauli nay na.
29062e0058	Hin nakapagpatanda yay na ha libun tawu, hinumukpa yay na ha bungꞌuy takay manalangin.
29062f006c	Hin yabiyana, gigihan nanalangin hi Apu Jesus. Dilagaꞌ naman ha gitnan dagataꞌ bangkang tawtagahunul na.
29063000ba	Naakit nay tawtagahunul nan irap manyagwan, ta nakasalungat hila ha dawêp. Hin hawang hawanganaꞌ, nanghunul kanla hi Apu Jesus ya nalliyaliyaku ha babun lanêm. Lampasan na hana hila.
29063100d0	Nuwa, hin naakit tawtagahunul nan nalliyaliyaku ya ha babun lanêm, indap la anitu kaya nalimu hila buy nagbubungꞌu. Nuwa nannunghung agad hi Apu Jesus, “Hakuy ati, ah kawu malimu. Lakasan yuy luub yu.”
2906330055	Naghakay hi Apu Jesus ha bangka buy biglan tinênggênaꞌ dawêp. Kaya nalgang hila.
2906340083	Maski naakit la punaꞌ himalan ginawan Apu Jesus ha tinapay, alwa la pun natêtêbêkaꞌ kapangyarian na, ta matigasaꞌ pusu la.
2906350063	Hin nakabatahana hila ha dagat, nalatêng hila ha lutang Genesaret. Baistu lan insadsadaꞌ bangka.
2906360038	Pagtabuy la, agad nakilala hi Apu Jesus libun tawu istu.
2906370099	Kaya nagꞌaapura hilan naku ha palibut rugal. Haantu la man mabalitꞌan dilag hi Apu Jesus, gigintan la kanay libun mayin hakitaꞌ dilag ha kalapayan.
29063800fe	Nu haantu ya man maku, ha baryu, banwa u bukid, gigintan tawtawuy mayin hakit ha pinagtitipunan tawtawu. Nagmamakaingalu hila kan Apu Jesus, ambala la, “Mistru, nu maari madukpan yan hanay tampuh kayung baru.” Buy hay laat nakadukpa kana, ginumaling.
290701005f	Mayin nagdani kan Apu Jesus ya Pawpariseo buy libun tagapanudun kautuhanaꞌ ibat ha Jerusalem.
290702007e	Naakit lay umnuy tagahunul Apu Jesus, ah hila hinuhumunul ha nakaugaliyan ninunu la ta nanangan hilan ahê nagꞌuuyah gamêt.
2907030081	Hay Hawjudio laluy nay libun Pariseo, ahê pun mangan nu ahê pun magꞌuyah gamêt, bilang paghunul ha kaugaliyan kanlan ninunu.
29070400ee	Alwa pun hilan nanangan hitalagyumanaꞌ hinaliw la ha palingki anggan ah la pun ginagaway rituwal ha paglilinis. Madla pun hilan kaugaliyanaꞌ nambuh ati, pagꞌuuyah tawtasa, pagꞌuuyah pawpitsil buy pagꞌuuyah pamiantiyanaꞌ tansu.
29070500ae	Kaya tinanung yan Pawpariseo buy libun tagapanudun kautuhan, “Angkaya, ahê hinuhunul tawtagahunul muy libun kaugaliyan ninunu, ahê hila nagꞌuuyah gamêt bayu mangan.”
29070600c3	Tinumbay hi Apu Jesus kanla, “Pêtêgaꞌ impasulat Apu Diyus kan Isaias tungkul kayung pakitan tawun dili, ‘Inggagalangakun tawtawung ati ha bêbêy la dili, nuwa hay pusu la, madayu kangku.
290707004f	Alan alagay pagsamba la kangku, ta hay intutudu lay awꞌutuh dilin tawtawu.’
2907080049	Pinaulayan yuy utuh Apu Diyus ta hay hinuhunul yuy kaugaliyan tawtawu.”
2907090072	Ambalan Apu Jesus, “Mahampat kawun mamaulay libun utuh Apu Diyus takayꞌêmên mahunul yuy libun kaugaliyan yu.
29070a0080	Nambuh hin tinutul Moises, ‘Igalang yuy kayung mangatuwa’ buy ‘Hay mannunghung malaêt ha kanan mangatuwa, dapat patin!’
29070b0051	Nuwa intutudu yuy namanaꞌ hay ibi hana ha mangatuwa yu, ibi tana kan Apu Diyus.
29070c003f	Ah yuy na hila pinapaulayanaꞌ makatulung ha kanlan mangatuwa.
29070d008f	Ta ha paghunul yu ha kaugaliyanaꞌ minanaꞌ yu ha kayung ninunu, napaulayan yuy nay utuh Apu Diyus. Buy madla kaw pun ginagawan dapay ati.”
29070e0081	Binawêg uman Apu Jesus ya tawtawu buy ambala kanla, “Manlêngê kawun laat buy pakaihipin yun mahampataꞌ nunghungun ku kayu.
29070f0078	Alwan hay nagpapahuk ha bêbêy tawuy nagpaparumi kana ha pamalayan Apu Diyus nu alwan hay inlulumabas ha bêbêy na.”
2907100030	Hakawung libun nanlêlêngê pakaihipin yuy ati!
2907110084	Hin inibwatan nay dêlan tawu, nagpahuk ya ha biyag ta nagtanung kanay tawtagahunul na, “Hita labay tutulun pagꞌiitbuh bantu?”
290712008c	Ambalan Apu Jesus kanla, “Awta, kaya ah yu mêt natêbêk? Ta ah yu tanday hitalagyumanaꞌ kanên tawuy alwan habatuy makapagparumi kana?
29071300c4	Ta hitalagyumanaꞌ kanên na, alwan ha pusu nan nanaku nu alwan ha bituka na. Buy ilabas nay habatu.” Hin innunghungaꞌ atin Apu Jesus, impahayag na, “Puwidin kanênaꞌ laataꞌ maêkan.”
2907140061	Ambala na pun, “Hay nangingibat ha pusun tawu, habatuy nagpaparumi kana ha pamalayan Apu Diyus.
290715007e	Ta ha pusun tawu nangingibataꞌ mangalaêtaꞌ pagꞌiihip, nagꞌuudyuk kanan makitakêh ha alwa nan ahawa, manakaw, mamati,
290716009a	mamitêtêpêl, manyakim buy manggawan laataꞌ kamalaêtan nambuh pandaraya, kabastusan, pagkainggit, panghihira ha kaparihu, pagyayabang buy kamulalaan.
290717004f	Hay laat mangalaêtaꞌ ati, nangingibat ha pusun tawu buy nagpaparumi kana.”
29071800cb	Hin nagꞌalih hi Apu Jesus, naku ya ha rugal madani ha banwan Tiro. Paglatêng na istu, nakituluy ya ha gihay biyag. Ahê na hana labay ipatanda ha tawtawung dilag ya istu, kayan dili nabalitꞌan mêt.
290719010b	Nakun, mayin gihay babaying alwan Judio. Taga Fenicia ya, sakup Syria. Buy mayin anakaꞌ babayi, sinuklutan anitu. Hin matandan nan dilag hi Apu Jesus, agad nan inlaku. Ta naglukub ya ha bitihan na, bayu nagmakaingalu, “Apu Jesus, paalihin yuy anitu ha anak ku.”
29071b0096	Nuwa, tinumbay hi Apu Jesus ha gihay pagꞌiitbuh, “Dapat pun pakanênaꞌ anak ta alwan taman kuwênaꞌ maêkan anak ta itambuk ha dawdêwêng.”
29071c0087	Nuwa tinumbayaꞌ babayi, “Tama kawuy, Apu Jesus. Kayan dili, maski dawdêwêng ha hilung panganan, nanangan mumun nananabun anak.”
29071d0068	Kaya ambalan Apu Jesus kana, “Ha innunghung mun in, muli kay na ta nagꞌalihanay anitu ha anak mu.”
29071e0047	Nuli yay na, nalatêng nay anak na ha undagan, inibwatan yay nan anitu.
29071f007d	Pagbalik Apu Jesus ibat ha banwan Tiro, dinuman ya ha banwan Sidon buy ha Decapolis. Pagkayari, nagtuluy ya ha Dagat Galilea.
29072000ae	Baistu, gintan kanan tawtawuy gihay liyaking pipiyana bingi pun. Nakinunghung hila kan Apu Jesus, “Apu Jesus, ipatung yuy gamêt yu ha liyaki takayꞌêmên gumaling ya.”
2907210092	Indayu pun Apu Jesus ya liyaki ha tawtawu. Ta impahuk nay dawdaliri na ha luway têk liyaki. Bayu tinupayan nay daliri na ta impuyuk ha dilan ati.
2907220082	Naningal hi Apu Jesus ha langit, buy nakatipuhung inawanên buy ambala ha liyaki, “Effata!” Hay labay tutulun, “Mabuksan!”
290723003d	Nakalêngê agadaꞌ liyaki buy nakapannunghung yan mahampat.
2907240074	Pinagbilinan nay tawtawu, “Andi yu ipamalitay nangyari.” Nuwa maski innunghung na, lalu la pun ingkalataꞌ ati.
2907250093	Nalganganaꞌ libun tawu, buy ambala la, “Mahampataꞌ namanaꞌ laataꞌ ginagawa na! Nakapannunghunganay pawpipi, nakalêngêy nay bawbingi.”
2908010086	Pagkayarin umnuy allêw, nititipun umanaꞌ tawtawu kan Apu Jesus. Hin alay na hilan maêkan, binawêg nay tawtagahunul na, ambala na,
290802005e	“Naiingaluwaku ha tawtawung ati. Ta tatluy allêw kuy na hilan awyun, alay na hilan maêkan.
2908030066	Nu paulin kuy naman hilan bitilin, dat mahilu hila ha diyan ta madayu punaꞌ ibatan kanayun kanla.”
2908040076	Tinumbayaꞌ tawtagahunul na, “Haantu kitamun mangwan maêkan kayti ha kalinangan, maiibi ha kadlan tawtawung in?”
290805005b	Tinanung hilan Apu Jesus, “Umnuy tinapayaꞌ dilag bahên kayu?” Ambala la, “Pitu.”
29080600d7	Pinaitnun Apu Jesus ya tawtawu ha luta. Kinwa nay pituy tinapay bayu nagpasalamat kan Apu Diyus. Pagkayari, binihꞌil bihꞌil nay ati buy kinumadla. Bayu inꞌibi na ha tawtagahunul na buy impagꞌiibi ha tawtawu.
2908070081	Mayin mêt hilan umnuy mangkayêkaꞌ isda. Pinasalamatan mêt Apu Jesus ya habatu buy inꞌutuh nan ipagꞌiibi mêt ha tawtawu.
2908080053	Nangan hila buy nabhuy. Pagkayari, tinipun lay nitla ta nakapnu hilan pituy baskit.
2908090044	Apatalibun tawuy nakapangan. Pagkayari, pinauli hilay nan Apu Jesus.
29080a005d	Ta agad yan naghakay ha bangka awyunaꞌ tawtagahunul na. Bayu naku hila ha banwan Dalmanuta.
29080b00ce	Paglatêng la baistu, mayin nipanlumatêngaꞌ Pawpariseo ta nakipagtalu kan Apu Jesus. Labay yan subukan, kaya hiniling lan magpaakit yan himala ibat kan Apu Diyus takay mapapêtganaꞌ sugu yan Apu Diyus.
29080c00c2	Nuwa, nakatipuhung malalê hi Apu Jesus. Ambala na, “Angkaya nanangkap himalay tawtawu ha panawunaꞌ ati? Pakalêngꞌên yuy inunghung ku kayu, alan hitalagyumanaꞌ himalan ipaakit kayu.”
29080d0054	Pagkayari, inibwatan nay na hila. Naghakay ya ha bangka buy nagbatah ha lipay dagat.
29080e005c	Naliwan tawtagahunul Apu Jesus ya mantan dêlan tinapay. Gigihay baun lan tinapay ha bangka.
29080f0060	Nagbilin hi Apu Jesus kanla, “Magꞌingat kawu ha pampaalsan Pawpariseo buy Haring Herodes.”
2908100067	Ninununghungaꞌ tawtagahunul Apu Jesus, “Innunghung nay habatu ta ala kitamun gintanaꞌ tinapay.”
29081100c8	Tandan Apu Jesus nu hitalagyuy pinununghungan la, kaya innunghung na kanla, “Angkaya yu pinununghunganaꞌ ala kawun gintanaꞌ tinapay? Ah yu pun natatandan u natêtêbêk? Matigas punaꞌ pusu yu?
29081200ff	Mayin kawun mata, nuwa ah yu nanaakit. Mayin kawun têk, nuwa ah yu nalêlêngê. Naliwan yuy na hin pinagbihꞌil bihꞌil kuy limay tinapay para ha liman libuy tawu? Umnuy baskitaꞌ napnu yu ha nitlay tinapay?” Tinumbay hila, “Labinluway baskit!”
290814009b	“Hin pinagbihꞌil bihꞌil kuy pituy tinapay para ha apatalibuy tawu, umnuy baskitaꞌ napnu yu ha nitlay tinapay?” Tinumbay hila, “Pituy baskit!”
2908150055	Buy ambalan Apu Jesus kanla, “Ah yu pun natêtêbêkaꞌ labay kun tutulun kayu?”
29081600ad	Paglatêng la ha banwan Betsaida, mayin nantan gihay liyaking bulag kan Apu Jesus. Nagmakaingalu hila, “Apu Jesus ipatung yuy gamêt yu kana takayꞌêmên gumaling ya.”
29081700db	Kaya tinambay Apu Jesus ya liyaki palabas Betsaida. Paglatêng la ha mahawang, tinupayan nay gamêt na buy impuyuk na ha matan liyaki. Bayu impatung nay gamêt na ha liyaki buy nannunghung, “Mayin kay nan nanaakit?”
2908180071	Naningala liyaki buy ambala, “Nakakaakitakuy nan tawtawu, kayan dili dapay hilan pawpuun kayung nallyalyaku.”
2908190085	Kaya impatung uman Apu Jesus ya gamêt na ha matan liyaki. Pagkayari, namalay mahampataꞌ liyaki buy hinumawanganay kanan pamalayan.
29081a0052	Pinauli yay nan Apu Jesus nuwa binilinan ya, “Ah kay na magbalik ha Betsaida.”
29081b00c2	Naku hi Apu Jesus buy kanan tagahunul ha bawbaryun sakup banwan Cesarea ha Filipos. Kaban nalliyaliyaku hila, tinanung Apu Jesus ya kanan tawtagahunul, “Hitalagyuwaku kanuh ambalan tawtawu?”
29081c00fe	Tinumbay hila, “Mayin nannununghung, hakawu kanuh hi Juan ya Tagapagbawtismu. Mayin mêt nannununghung, hakawu kanuh hi Elias ya tagapannunghung Apu Diyus hinlagi. Hay kanayunanaman nannununghung, giha kaw mêt kanuh ha tawtagapannunghung Apu Diyus.”
29081d0081	Tinanung hilan Apu Jesus, “Nuwa para kayu, hitalagyuwaku?” Tinumbay hi Pedro, “Hakawuy Criston impangakun Tagapagligtas.”
29081e0055	Ambalan Apu Jesus kanla, “Ah yu ipatanda maski ha hitalagyumanaꞌ hakuy Cristo.”
29081f0111	Nagꞌumpisan mangaral hi Apu Jesus ha tawtagahunul na, “Hakuy nangibat ha langitaꞌ Inꞌanak Tawuy kaylangan magdanas madlan pagꞌiirap. Itakwilakun pawpuun Judio, libun namamaalan pari buy tawtagapanudun kautuhan. Ipapatiyaku, nuwa ha ikatlun allêw, mabyay uman.”
290820007f	Impaliwanag nay laataꞌ ati kanla. Hin malêngên Pedroy habatu, tinambay na hi Apu Jesus ha gihay pingit buy pinannunghungan.
29082100c9	Nuwa inumarap hi Apu Jesus ha kanan tawtagahunul buy ambala kan Pedro, “Magꞌalih ka kayti! Tinutuksu mu kun dapay kan hi Satanas! Hay iniihip muy alwan ha labay Apu Diyus nu alwan ha labay tawu!”
29082200f9	Pagkayari, binawêg nay tawtawu buy tawtagahunul na. Ambala na kanla, “Hitalagyumanaꞌ labay humunul kangku, dapat liwanan nay kanan sariling labay. Buy handa nan arapênaꞌ maski kamatiyan dapay pamamasan krus alang alang ha paghunul na kangku.
29082300c1	Ta hay tawung naghahangad magligtas kanan biyay, mawalꞌan ati. Nuwa hay tawung naghahangad magꞌalay kanan biyay alang alang kangku buy ha Mahampataꞌ Balita, magkarun biyay ya alan anggan.
2908240074	Hita mapalan gihay tawu nu mapakana manaꞌ laataꞌ bagay ha mundu, nuwa ah nay naman makuway biyay ya alan anggan?
290825003f	Ta alan maiibiyaꞌ tawu takay makuwa nay biyay ya alan anggan.
290826011f	Nu haku buy tawtudu kuy ikadêngꞌêy hitalagyuman, ha panawunaꞌ atin makasalananaꞌ tawtawu buy alwan tapat kan Apu Diyus, ikadêngꞌêy ku ya mêt nu hakuy nangibat ha langitaꞌ Inꞌanak Tawuy mapakayti, taglayaꞌ kapangyarian kangkun Bapa buy awyunaꞌ bawbanalaꞌ anghil.”
29090100a9	Ambalan Apu Jesus kanla, “Pakalêngꞌên yuy inunghung ku kayu. Mayin umnu kayuy ahê mati anggan ah la pun maakitaꞌ paghaharin Apu Diyus ya mayin kapangyarihan.”
29090200bb	Pagkalibah animaꞌ allêw, inꞌawyun Apu Jesus hilan Pedro, Santiago buy Juan ha gihay matagꞌayaꞌ bungꞌuy, kakapad la istu. Kaban nakabalay hila kan Apu Jesus nagbayuy kanan anyu.
2909030072	Nagin puting putiyaꞌ baru na, makasilaw balayên. Alan hitalagyuman kayti ha munduy makapagpaputin dapay habatu.
2909040053	Baistuy nagpakit kanla hi Elias buy hi Moises. Buy nakinunghung hila kan Apu Jesus.
29090500a8	Innunghung Pedro kan Apu Jesus, “Mistru, mahampataꞌ dilag kitamu kayti! Manggawa kamin tatluy atêp. Giha para kayu, gihay para kan Moises, gihay para kan Elias!”
2909060042	Nanunghung nay ati ta ha subran limu la, ah na tanday kanan sabin.
290907009d	Pagkayari, tinakpan hilan ulap. Buy mayin hilan nalêngêy busisaꞌ nangibat ha ulapaꞌ nannunghung. “Atiyaꞌ minamaal kun anak. Panlêngꞌan yu ya!”
290908004e	Agad hilan namalay ha paligid nuwa alay na hilan naakit nu alwan hi Apu Jesus.
29090900be	Hin palunghunanaꞌ hila ha bungꞌuy, kinanunghung hilan Apu Jesus, “Ah yu sabinaꞌ naakit yu ha hitalagyuman anggan hakuy nangibat ha langitaꞌ Inꞌanak Tawuy ahê pun nabyay uman.”
29090a0098	Kaya ah la innunghung ha hitalagyumanaꞌ pangyayarin ban tu. Hin kakapad lay na, ninununghung mêt hila nu hita labay nan nunghungun ha pagkabyay uman.
29090b0099	Nagtanung hila kan Apu Jesus, “Angkaya innunghung tawtagapanudun kautuhanaꞌ magbalik pun hi Elias bayu lumatêngaꞌ Criston impangakun Apu Diyus.”
29090c0197	Tinumbay ya kanla, “Pêtêgaꞌ habayin, kaylangan pun makalatêngaꞌ dapay kan Elias takayꞌêmên ihanday laataꞌ bagay. Nuwa sabin ku kayu, ‘Pêtêgaꞌ inlumatêngana hi Elias buy ginawan tawtawuy labay lan gawꞌên kana, dapay mêt ha nakasulat tungkul kana ha kasulatan.’ Nuwa, antakaya nasusulat mêt, hakuy nangibat ha langitaꞌ Inꞌanak Tawuy magtiis dêlan irap buy itakwil tawtawu?”
29090e00b9	Paglatêng lan Apu Jesus ha kanayun nan tawtagahunul, naakit lan dêlan tawuy nititipun baistu. Dilag mêt baistuy umnuy tawtagapanudun kautuhan, nakikiribati ha tawtagahunul Apu Jesus.
29090f0055	Hin naakit la hi Apu Jesus, nalgangaꞌ tawtawu buy palukhung nagdani ta namati kana.
2909100045	Tinanung Apu Jesus ya tawtagahunul na, “Hita pinagriribatian yu?”
2909110063	Mayin gihay liyaking tinumbay, “Mistru, gintan ku kayti ya anak kun liyaki ta pinapipi yan anitu.
29091200cc	Nu sinusuklutan yan anitu, natutumba ya, nagbubulay bêbêy na, nangêngêrtêkêtaꞌ ngêpên na buy naninigasaꞌ buun nawini na. Nakinunghungaku ha tagahunul yun paalihin lay anitu nuwa ah la kaya.”
2909130081	Ambalan Apu Jesus kanla, “Hakawung lawlahin alan pananampalataya! Anggan makanuwaku pun magtiis kayu? Gitan yu kaytiya anak.”
