0100000010	Яритилиш
06011000dd	Улар Йәшуаға җавап берип: — Сән бизгә әмир қилғанниң һәммисигә әмәл қилимиз, сән бизни қәйәргә әвәтсәң, шу йәргә баримиз.
0601110133	Биз һәммә ишта Мусаниң сөзигә қулақ салғинимиздәк саңа қулақ салимиз; бирдин-бир тилигимиз, Пәрвәрдигар Худайиң Муса билән биллә болғандәк сениң биләнму биллә болғай!
060112011b	Кимки сениң әмриңгә итаәтсизлик қилип, сән бизгә буйруған һәр қандақ сөзлириңгә қулақ салмиса, өлтүрүлиду! Сән пәқәтла җүръәтлик вә қәйсәр болғин, — деди.
0602010193	Әнди Нунниң оғли Йәшуа икки чарлиғучини Шиттимдин әвәткән болуп, уларға: — Силәр берип у зиминни, болупму Йерихо шәһирини чарлап келиңлар, деди. Шуниң билән улар у йәргә берип, Раһаб атлиқ бир паһишиниң өйигә кирип қонди.
06020200e8	Лекин бириси келип Йерихо падишасиға: — Бүгүн кечә Исраиллардин бир нәччә киши бу зиминни чарлиғили кәпту, дәп хәвәр йәткүзди.
0602030159	Шуниң билән Йерихо падишаси Раһабниң қешиға адәм әвәтип: — Сениң қешиңға келип, өйүңгә киргән шу кишиләрни бизгә тапшуруп бәргин, чүнки улар бу зиминниң һәр йерини пайлиғили кәпту, — деди.
0602040123	Лекин у аял у икки кишини елип чиқип йошуруп қойған еди; у җавап берип: — Дәрвәқә бу кишиләр мениң қешимға кәлди, лекин мән уларниң нәдин кәлгәнлигини билмидим;
0602050155	қараңғу чүшүп, қовуқни етидиған вақит кәлгәндә шундақ болдики, бу адәмләр чиқип кәтти. Мән уларниң қәйәргә кәткинини билмәймән. Уларни тездин қоғлисаңлар, чоқум йетишивалисиләр, — деди.
06020600d9	Лекин у аял уларни өгүзгә елип чиқип, өгүзниң үстидә рәтләп йейип қойған зиғир пахаллириниң астиға йошуруп қойған еди.
0602070157	У вақитта уларниң кәйнидин издәп қоғлиғучилар Иордан дәриясиниң йоли билән чиқип дәрия кечиклиригичә қоғлап барди. Уларни қоғлиғучилар шәһәрдин чиқиши биләнла, шәһәрниң қовуқи тақалди.
060208009f	Шу вақитта, у иккилән техи ухлашқа ятмиған еди, Раһаб өгүзгә чиқип уларниң қешиға берип
0602090165	уларға: — Пәрвәрдигарниң бу зиминни силәргә мирас қилип бәргәнлигини, шундақла силәрдин болған вәһимәңлар бизләргә чүшүп, бу зиминдикиләрниң һәммиси алдиңларда һалидин кетәй дегинини билимән;
06020a01de	чүнки биз силәр Мисирдин чиққиниңларда Пәрвәрдигарниң алдиңларда Қизил Деңизни қорутқанлиғини, шундақла силәрниң Иордан дәриясиниң у тәрипидики Аморийларниң икки падишаси Сиһон билән Огни қандақ қилғанлиғиңларни, уларни мутләқ йоқатқанлиғиңларни аңлидуқ.
06020b0147	Буни аңлап жүригимиз су болуп, силәрниң сәвәвиңлардин һәр қайсимизниң роһи чиқип кәтти. Чүнки Пәрвәрдигар Худайиңлар болса жуқурида, асманларниң һәмдә төвәндә йәрниң Худасидур.
06020c0294	Әнди силәрдин өтүнимәнки, мән силәргә көрсәткән һиммитим үчүн силәрму мениң атамниң җәмәтигә һиммәт қилишқа Пәрвәрдигарниң нами билән маңа қәсәм қилиңлар, шундақла ата-анамни, ака-ука, ача-сиңил қериндашлиримни вә уларға тәвә барлиғиға чеқилмаслиғиңлар, җенимизни тирик қалдуруп, өлүмдин қутқузушуңлар тоғрисида маңа бир капаләт бәлгүсини бериңлар, — деди.
06020e01e1	Иккилән униңға: — Әгәр сән бу ишимизни ашкарилап қоймисаң, силәр җениңлардин айрилсаңлар, бизму җенимиздин айрилғаймиз! Шуниңдәк шундақ болидуки, Пәрвәрдигар бизгә бу зиминни егә қилғузғанда, биз җәзмән силәргә меһриванларчә вә сәмимий муамилидә болимиз, деди.
06020f00f3	Шуниң билән аял уларни пәнҗиридин бир тана билән чүшүрүп қойди (чүнки униң өйи шәһәрниң сепилида болуп, у сепилниң үстидә олтиратти).
060210017a	Аял у иккисигә: — Қоғлиғучилар силәргә учрап қалмаслиғи үчүн, таққа чиқип, у йәрдә үч күн йошурунуп туруңлар; қоғлиғучилар шәһәргә қайтип кәлгәндин кейин, андин силәр өз йолуңларға маңсаңлар болиду, — деди.
06021100b9	Иккиси аялға: — Әгәр сән бизниң дегинимиздәк қилмисаң, сән бизгә қилғузған қәсәмдин халас болимиз: —
060212018e	Мана, биз зиминға киргән чағда, сән бизни чүшүрүшкә ишләткән бу қизил танини пәнҗиригә бағлап қойғин; андин ата-анаңни, ака-ука қериндашлириңни, шундақла атаңниң барлиқ җәмәтидикиләрни өйүңгә, өзүңгә жиғип җәм қилғин.
06021301a3	Шундақ болидуки, өйүңниң ишиклиридин ташқириға чиққан һәр киминиң қени өз бешида болиду; биз униңға мәсъул әмәсмиз; лекин бирәв өйүңдә сән билән биллә болған бирисиниң үстигә қол салса, ундақта униң қени бизниң бешимизға чүшкәй!
06021400aa	Әгәр сән бу ишимизни ашкарилап қойсаң, сән бизгә қилғузған бу қәсәмдин халас болимиз, — деди.
060215010b	Раһаб җавап берип: — Силәрниң дегиниңләрдәк болсун дәп, уларни йолға селип қойди. Улар кәткәндин кейин, аял пәнҗиригә у қизил танини бағлап қойди.
0602160129	У иккиси у йәрдин айрилип, таққа чиқип, қоғлиғучилар [шәһәргә] қайтип кәткичә у йәрдә үч күн турди. Қоғлиғучилар йол бойидики һәммә йәрни издәпму уларни тапалмиди.
0602170113	Андин бу иккиси тағдин чүшүп, қайтип маңди; улар дәриядин өтүп, Нунниң оғли Йәшуаниң қешиға келип, бешидин кәчүргәнлириниң һәммисини униңға дәп бәрди.
0602180118	Улар Йәшуаға: — Пәрвәрдигар дәрвәқә барлиқ зиминни қолимизға тапшурди; зиминда туруватқанларниң һәммиси бизниң түпәйлимиздин роһи чиқип кәтти, — деди.
0603010105	Йәшуа әтиси таң сәһәрдә туруп, пүткүл Исраил билән Шиттимдин айрилип Иордан дәриясиға кәлди; улар дәриядин өткичә шу йәрдә баргаһ тикип турди.
060302004b	Үч күн тошуп, сәрдарлар чедиргаһтин өтүп,
0603030167	хәлиққә әмир қилип: — Силәр Пәрвәрдигар Худайиңларниң әһдә сандуғини, йәни Лавийларниң уни көтирип маңғинини көргән һаман, турған орнуңлардин қозғилип, әһдә сандуғиниң кәйнидин әгишип меңиңлар.
0603040177	Лекин униң билән силәрниң арилиғиңларда икки миң гәз арилиқ қалсун; қайси йол билән маңидиғиниңларни билишиңлар үчүн, униңға йеқинлашмаңлар; чүнки силәр илгири мошу йол билән меңип бақмиғансиләр, — деди.
06030500df	Йәшуа хәлиққә: — Өзүңларни пак-муқәддәс қилиңлар, чүнки әтә Пәрвәрдигар араңларда мөҗизә-карамәтләрни көрситиду, — деди.
060306010c	Андин Йәшуа каһинларға: — Әһдә сандуғини көтирип хәлиқниң алдида дәриядин өтүңлар, дәп буйрувиди, улар әһдә сандуғини елип хәлиқниң алдида маңди.
060307015a	Пәрвәрдигар Йәшуаға сөз қилип: — Һәммә Исраилниң Мениң Муса билән биллә болғинимдәк, сениң биләнму биллә болидиғанлиғимни билиши үчүн бүгүндин етиварән сени уларниң нәзиридә чоң қилимән.
0603080113	Әнди сән әһдә сандуғини көтәргән каһинларға: — Силәр Иордан дәриясиниң сүйиниң бойиға йетип кәлгәндә, Иордан дәрияси ичидә туруңлар, — дегин, — деди.
06030900a1	Йәшуа Исраилларға: — Бу яққа келиңлар, Пәрвәрдигар Худайиңларниң сөзини аңлаңлар, деди.
06030a026b	Андин Йәшуа: — Мана, силәр шу иш арқилиқ мәңгүлүк һаят Тәңриниң араңларда екәнлигини, шундақла Униң силәрниң алдиңлардин Һиттийлар, Гиргашийлар, Аморийлар, Ⱪананийлар, Пәриззийлар, Һивийлар, Йәбусийларни һайдиветидиғанлиғини билисиләр — пүткүл йәр-зиминниң егисиниң әһдә сандуғи силәрниң алдиңларда Иордан дәрияси ичидин өткүзүлиду.
06030c00a5	әнди Исраилниң қәбилилиридин он икки адәмни таллаңлар, һәр қайси қәбилидин бирдин болсун;
06030d01d4	шундақ болидуки, пүткүл йәр-зиминниң Егиси болған Пәрвәрдигарниң әһдә сандуғини көтәргән каһинларниң тапини Иордан дәриясиниң сүйигә тәккәндә, Иордан дәриясиниң сүйи, йәни баш еқинидин еқип кәлгән сулар үзүп ташлинип, дәрия көтирилип дөң болиду, — деди.
06030e00ff	Әнди шундақ болдики, хәлиқ чедирлиридин чиқип Иордан дәриясидин өтмәкчи болғанда, әһдә сандуғини көтәргән каһинлар хәлиқниң алдида маңди;
06030f012c	әһдә сандуғини көтәргүчиләр Иордан дәриясиға йетип келип, путлири суға тегиши биләнла (орма вақтида Иордан дәриясиниң сүйи дәрияниң икки қирғиқидин тешип чиқиду),
06031001dd	жуқури еқиндики сулар хелә жирақтила, Зарәтанниң йенидики Адәм шәһириниң йенида тохтап, дөң болди; Арабаһ түзләңлиги бойидики деңизға, йәни «Шор Деңизи»ға еқип чүшүватқан кейинки еқими үзүлүп қалди; хәлиқ болса Йерихо шәһириниң удулидин [дәриядин] өтүп маңди.
0603110168	Пүткүл Исраил қуруқ йәрни дәссәп, барлиқ хәлиқ Иордан дәриясидин пүтүнләй өтүп болғичилик, Пәрвәрдигарниң әһдә сандуғини көтәргән каһинлар Иордан дәриясиниң оттурисида қуруқ йәрдә мәзмут турди.
06040100a0	Пүткүл хәлиқ Иордан дәриясидин тамамән өтүп болғанда, Пәрвәрдигар Йәшуаға сөз қилип: —
060402008c	Хәлиқниң арисидин он икки адәмни таллиғин, һәр қәбилидин бирдин адәм болсун,
0604030161	уларға: — Силәр Иордан дәриясиниң оттурисидин, каһинларниң путлири мәзмут турған җайдин он икки ташни елип, уларни көтирип келип өзүңлар бүгүн кечә баргаһ тикидиған йәргә қоюңлар, дегин, деди.
06040400be	Шуниң билән Йәшуа һәр қәбилидин бирдин адәмни, йәни Исраиллар арисидин таллиған он икки кишини чақирди;
060405017a	андин Йәшуа уларға: — Силәр Иордан дәриясиниң оттурисиға чүшүп Пәрвәрдигар Худайиңларниң әһдә сандуғиниң алдиға берип, Исраилниң он икки қәбилисиниң саниға мас һалда бирдин ташни елип мүрәңләргә қоюңлар.
060406010a	Чүнки бу араңларда бир әсләтмә-бәлгү болиду; кәлгүсидә балилириңлар: — Бу ташларниң силәргә немә әһмийити бар? — дәп сорап қалса, силәр уларға: —
06040701c4	Иордан дәриясиниң сулири Пәрвәрдигарниң әһдә сандуғиниң алдида үзүп қоюлди; [әһдә сандуғи] Иордан дәриясидин өткүзүлгәндә Иордан дәриясиниң сулири үзүп қоюлди; шуңа бу ташлар Исраилларға мәңгүлүк бир әсләтмә-бәлгү болиду, — дәп җавап берисиләр.
06040801b6	Шуниң билән Исраиллар Йәшуа уларға буйруғандәк қилди. Пәрвәрдигарниң Йәшуаға қилған әмри бойичә Исраилниң қәбилилириниң саниға мувапиқ Иордан дәриясиниң оттурисидин он икки ташни елип, қонидиған җайға көтирип берип, шу йәрдә қоюп қойди.
060409015b	Буниңдин башқа Йәшуа Иордан дәриясиниң оттурисида әһдә сандуғини көтәргән каһинларниң путлири мустәһкәм турған җайда он икки ташни тикләп қойди. Бу ташлар болса бүгүнгичә шу йәрдә туриду.
06040a01d9	Пәрвәрдигар Йәшуаға хәлиққә ейтишқа тапилиған барлиқ ишлар орунланғичилик, йәни Муса әслидә Йәшуаға буйруғанлириниң һәммиси беҗа кәлтүрүлгичә, әһдә сандуғини көтәргән каһинлар Иордан дәриясиниң оттурисида тохтап турди. Хәлиқ шу йәрдин тездин өтүвататти.
06040b00db	Шундақ болдики, барлиқ хәлиқ тамамән өтүп болғанда, Пәрвәрдигарниң [әһдә] сандуғи билән каһинлар хәлиқниң алдидин өтти.
06040c00fe	Рубәнләр билән Гадлар вә Манассәһниң йерим қәбилисидикиләрму Мусаниң уларға буйруғинидәк сәптә түзүп Исраилларниң алдида дәриядин өтти.
06040d00e6	Җәмий болуп қириқ миңчә қуралланған киши Пәрвәрдигарниң алдидин өтүп, Йерихо түзләңликлиригә келип, җәң қилишқа тәйяр турди.
06040e00e4	У күни Пәрвәрдигар Йәшуани пүткүл Исраилниң нәзиридә чоң қилди; улар униң пүтүн өмридә Мусадин қорққандәк униңдинму қорқти.
06040f003c	Пәрвәрдигар Йәшуаға сөз қилип: —
06041000ae	Һөкүм-гувалиқ сандуғини көтәргән каһинларға: — Иордан дәриясидин чиқиңлар, дәп буйруғин, деди.
0604110078	Шуңа Йәшуа каһинларға: — Иордан дәриясидин чиқиңлар, дәп буйруди.
06041201cc	Шундақ болдики, Пәрвәрдигарниң әһдә сандуғини көтәргән каһинлар Иордан дәриясиниң оттурисидин чиқип, путлириниң тапини қуруқлуқни дәссиши биләнла, Иордан дәриясиниң сүйи йәнә өз җайиға қайтип келип, авалқидәк икки қирғиқиғичә тешип еқишқа башлиди.
06041300ef	Хәлиқ болса биринчи айниң онинчи күни Иордан дәриясидин өтүп, Йерихониң шәрқиниң әң чәт тәрипидики Гилгалға келип чедиргаһ тикти.
06041400a9	Улар Иордан дәриясидин алғач кәлгән он икки ташни болса, Йәшуа уларни Гилгалда тикләп қойди;
06041500b1	андин Исраилларға: — Кейин балилириңлар өз атилиридин: — Бу ташларниң әһмийити немә, дәп сориса,
06041600cb	силәр балилириңларға мундақ уқтуруп қоюңлар: — «Исраил илгири қуруқ йәрни дәссәп Иордан дәриясидин өткән еди;
0604170159	чүнки Пәрвәрдигар Худайиңлар биз Қизил Деңиздин өткичә алдимизда униң сулирини қурутуп бәргәндәк, Пәрвәрдигар Худайиңлар силәр өткичә алдиңларда Иордан дәриясиниң сүйини қурутуп бәрди;
060418013f	йәр йүзидики барлиқ әлләр Пәрвәрдигарниң қолиниң қанчилик күчлүклүгини билсун, шундақла силәрниң Пәрвәрдигар Худайиңлардин һемишә қорқушуңлар үчүн У шундақ қилди» — деди.
060501024d	Шундақ болдики, Иордан дәриясиниң ғәрип тәрипидики Аморийларниң һәммә падишалири билән деңизниң йенидики Ⱪананийларниң һәммә падишалири Пәрвәрдигарниң Исраиллар өтүп кәткичә уларниң алдидин Иордан сулирини қандақ қурутуп бәргинини аңлиғанда, жүрәклири су болуп, Исраилларниң сәвәвидин уларниң роһи чиқай дәп қалди.
06050200ea	У вақитта Пәрвәрдигар Йәшуаға сөз қилип: — Сән чақмақ ташлиридин пичақларни ясап, Исраилларни иккинчи қетим хәтнә қилғин, деди.
06050300b7	Шуниң билән Йәшуа чақмақ ташлиридин пичақларни ясап, Исраилларни «Хәтнилик дөңлүги»дә хәтнә қилди.
060504011e	Йәшуаниң уларни хәтнә қилишиниң сәвәви шу едики, Мисирдин чиққан җәңгә яриғидәк һәммә әркәкләр Мисирдин чиққандин кейин чөллүкниң йолида өлүп түгигән еди.
060505013d	Чүнки Мисирдин чиққан барлиқ хәлиқ хәтнә қилинған болсиму, лекин Мисирдин чиқип чөллүкниң йолида жүргән вақитта Исраил арисида туғулғанларниң һәммиси хәтнисиз қалған еди;
0605060271	Чүнки әслидә Пәрвәрдигарниң авазиға қулақ салмиған, Мисирдин чиққан хәлиқ ичидики җәңгә яриғидәк барлиқ әркәкләр өлүп түгигичә Исраиллар қириқ жил чөлдә жүргән еди; Пәрвәрдигар уларға: — Силәрни Мән ата-бовилириңларға беришкә қәсәм билән вәдә қилған зиминни, йәни сүт билән һәсәл ақидиған жутни көргүчиләр қилмаймән, дәп қәсәм қилған еди.
06050700d5	Лекин Пәрвәрдигар уларниң орнини бастурған әвлатлири болса, йолда хәтнә қилинмиғачқа, Йәшуа өзи уларни хәтнә қилди.
0605080098	Барлиқ хәлиқ хәтнә қилинип, сақайғичилик чедирлирида, өз орунлиридин чиқмай турди.
0605090142	У вақитта Пәрвәрдигар Йәшуаға: — Бүгүн Мән Мисирниң ар-номусини үстүңлардин жумилитивәттим, деди. Шуниң билән у җайға «Гилгал» дәп нам қоюлуп, таки бүгүнгичә шундақ аталмақта.
06050a0115	Шуниң билән Исраиллар Гилгалда чедир тикип турди. Биринчи айниң он төртинчи күни ахшими Йерихо дияриниң түзләңликлиридә «өтүп кетиш һейти»ни өткүзди.
06050b00e1	«Өтүп кетиш һейти»ниң әтиси улар шу йәрниң ашлиқ мәһсулатлиридин йеди, җүмлидин шу күни петир нанларни вә қомачларни йеди.
06050c0160	Улар шу зиминниң ашлиқ мәһсулатлиридин йегәндин кейин, әтиси «манна»ниң чүшүши тохтиди. Шу вақиттин тартип Исраилларға һеч манна болмиди; шу жилда улар Қанаан зимининиң мәһсулатлиридин йеди.
06050d019b	Амма Йәшуа Йерихоға йеқин кәлгәндә, бешини көтирип қаривиди, мана униң алдида суғурулған қилични тутуп турған бир адәм туратти. Йәшуа униң қешиға берип униңдин: — Сән биз тәрәптиму, яки дүшмәнлиримиз тәрәптиму? — дәп сориди.
06050e0170	У җавап берип: — Яқ, ундақ әмәс, бәлки Мән Пәрвәрдигарниң қошунлириниң Сәрдари болуп кәлдим» — деди. Йәшуа йәргә дүм жиқилип сәҗдә қилип униңға: — Рәббимниң қулиға немә тапшуруқлири баркин? дәп сориди.
06050f00f9	Пәрвәрдигарниң қошуниниң Сәрдари Йәшуаға: — Путуңдики кәшиңни салғин, чүнки сән турған йәр муқәддәс җайдур, девиди, Йәшуа шундақ қилди.
06060100d4	Йерихо сепилиниң қовуқ-дәрвазилири Исраилларниң сәвәвидин мәһкәм етилип, һеч ким чиқалмайтти, һеч ким кирәлмәйтти.
06060200d1	Пәрвәрдигар Йәшуаға сөз қилип: — Мана, Мән Йерихо шәһирини, падишасини һәмдә батур җәңчилирини қолуңға тапшурдум.
06060300c4	Әнди силәр, йәни барлиқ җәңчиләр шәһәрни бир қетим айлинип меңиңлар; алтә күнгичә һәр күни шундақ қилиңлар.
060604015e	Һәмдә йәттә каһин әһдә сандуғиниң алдида қочқар мүңгүзидин етилгән йәттә бурғини көтирип маңсун; йәттинчи күнигә кәлгәндә силәр шәһәрни йәттә қетим айлинисиләр; каһинлар бурғиларни чалсун.
06060501c2	Шундақ болидуки, улар қочқар бурғилири билән созуп бир аваз чиқарғинида, барлиқ кишиләр бурғиниң авазини аңлап, қаттиқ тәнтәнә қилип товлисун; буниң билән шәһәрниң сепиллири тегидин өрүлүп чүшиду, һәр бир адәм алдиға қарап етилип кириду, — деди.
0606060163	Шуниң билән Нунниң оғли Йәшуа каһинларни чақирип уларға: — Силәр әһдә сандуғини көтирип меңиңлар; йәттә каһин Пәрвәрдигарниң әһдә сандуғиниң алдида йәттә қочқар бурғисини көтирип маңсун, деди
06060700ca	У хәлиққә: — Чиқип шәһәрни айлиниңлар; қураллиқ ләшкәрләр Пәрвәрдигарниң әһдә сандуғиниң алдида маңсун, деди.
0606080173	Йәшуа буни хәлиққә буйруғандин кейин, Пәрвәрдигарниң алдида йәттә қочқар бурғисини көтәргән йәттә каһин алдиға меңип бурғиларни чалди; Пәрвәрдигарниң әһдә сандуғи болса уларниң кәйнидин елип меңилди.
0606090110	Қураллиқ ләшкәрләр бурға челиватқан каһинларниң алдида маңди; әһдә сандуғиниң арқидин қоғдиғучи қошун әгишип маңди. Каһинлар маңғач бурға чалатти.
06060a0187	Йәшуа хәлиққә буйруп: — Мән силәргә: «Товлаңлар» демигичә нә товлимаңлар, нә авазиңларни чиқармаңлар, нә ағзиңлардин һеч бир сөзму чиқмисун; лекин силәргә «Товлаңлар» дегән күнидә, шу чағда товлаңлар, — дегән еди.
06060b00ea	Шу тәриқидә улар Пәрвәрдигарниң әһдә сандуғини көтирип шәһәрни бир айланди. Халайиқ чедиргаһқа қайтип келип, чедиргаһта қонди.
06060c009e	Әтиси Йәшуа таң сәһәрдә қопти, каһинларму Пәрвәрдигарниң әһдә сандуғини йәнә көтәрди;
06060d01ac	Пәрвәрдигарниң әһдә сандуғиниң алдида йәттә қочқар бурғисини көтәргән йәттә каһин алдиға меңип тохтимай челип маңатти; [каһинлар] маңғач бурға чалғанда, қураллиқ ләшкәрләр уларниң алдида маңди, арқидин қоғдиғучи қошун әгишип маңди.
06060e00e2	Иккинчи күниму улар шәһәрниң әтрапини бир қетим айлинип, йәнә чедиргаһқа йенип кәлди. Улар алтә күнгичә шундақ қилип турди.
06060f0114	Йәттинчи күни улар таң сәһәрдә қопуп, охшаш һаләттә йәттә қетим шәһәрниң әтрапини айланди; пәқәт шу күнила улар шәһәрниң әтрапини йәттә қетим айланди.
06061000fc	Йәттинчи қетим айлинип болуп, каһинлар бурға чалғанда Йәшуа хәлиққә: — Әнди товлаңлар! Чүнки Пәрвәрдигар шәһәрни силәргә тапшуруп бәрди!
060611019b	Лекин шәһәр вә униң ичидики барлиқ нәрсиләр Пәрвәрдигарға мутләқ аталғанлиғи үчүн [силәргә] «һарам»дур; пәқәт паһишә аял Раһаб билән униң пүтүн өйидикиләрла аман қалсун; чүнки у биз әвәткән әлчилиримизни йошуруп қойған еди.
06061201aa	Лекин силәр қандақла болмисун «һарам» дәп бекитилгән нәрсиләрдин өзүңларни тартиңлар; болмиса, «һарам» қилинған нәрсиләрдин елишиңлар билән өзүңларни һарам қилип, Исраилниң чедиргаһиниму һарам қилип униң үстигә апәт чүшүрисиләр.
060613010f	Амма барлиқ алтун-күмүч, мис вә төмүрдин болған нәрсиләр болса Пәрвәрдигарға муқәддәс қилинсун; улар Пәрвәрдигарниң ғәзнисигә киргүзулсун, — деди.
06061401a4	Шуниң билән хәлиқ товлишип, каһинлар бурға чалди. Шундақ болдики, хәлиқ бурға авазини аңлиғинида интайин қаттиқ товливиди, сепил тегидин өрүлүп чүшти; хәлиқ униң үстидин өтүп, һәр бири өз алдиға атлинип кирип, шәһәрни ишғал қилди.
06061500b9	Улар әр-аял болсун, қери-яш болсун, қой-кала вә ешәкләр болсун шәһәр ичидики һәммини қиличлап йоқатти.
0606160143	Йәшуа у зиминни чарлап кәлгән икки адәмгә: — Силәр у паһишә хотунниң өйигә кирип, униңға бәргән қәсимиңлар бойичә уни вә униңға тәвә болғанларниң һәммисини елип чиқиңлар, деди.
06061701a2	Шуниң билән икки чарлиғучи яш жигит кирип, Раһабни ата-аниси билән қериндашлириға қошуп һәммә нәрсилири билән елип чиқти; улар униң барлиқ уруқ-туққанлирини елип келип, уларни Исраилниң чедиргаһиниң сиртиға орунлаштуруп қойди.
060618015b	Халайиқ шәһәрни вә шәһәр ичидики һәммә нәрсиләрни от йеқип көйдүрүвәтти. Пәқәт алтун-күмүч, мис вә төмүрдин болған қача-қуча әсвапларни жиғип, Пәрвәрдигарниң өйиниң ғәзнисигә әкирип қойди.
0606190195	Лекин Йәшуа паһишә аял Раһабни, ата җәмәтидикиләрни вә униңға тәвә болғанлириниң һәммисини тирик сақлап қалди; у бүгүнгичә Исраил арисида туруватиду; чүнки у Йәшуа Йерихони чарлашқа әвәткән әлчиләрни йошуруп қойған еди.
06061a01d7	У чағда Йәшуа агаһ-бешарәт берип: — Бу Йерихо шәһирини қайтидин ясашқа қопқан киши Пәрвәрдигарниң алдида қарғиш астида болиду; у шәһәрниң улини салғанда тунҗа оғлидин айрилиду, шәһәрниң қовуқлирини орунлаштуридиған чағда кичик оғлидинму айрилиду, — деди.
06061b0093	Пәрвәрдигар Йәшуа билән биллә еди; униң нам-шөһрити пүткүл зиминға кәң тарқалди.
06070101ce	Лекин Исраил «һарам» нәрсиләр үстидә итаәтсизлик қилди; чүнки Йәһуда қәбилисидин болған Зәраһниң әвриси, Забдиниң нәвриси, Карминиң оғли Ақан дегән киши һарам дәп бекитилгән нәрсиләрдин алған еди. Буниң билән Пәрвәрдигарниң ғәзиви Исраилға қозғалди.
060702019a	Йәшуа Йериходин Бәйт-Әлниң шәриқ тәрипидики Бәйт-Авәнниң йенида болған Айи шәһиригә бир нәччә адәм әвәтип уларға: — У йәргә чиқип у зиминни чарлап келиңлар, дәп буйруди. Шуниң билән у адәмләр чиқип Айи зиминини чарлап кәлди.
06070301ac	Улар қайтип келип, Йәшуаға: — Һәммә хәлиқниң у йәргә беришиниң һаҗити йоқ екән, икки-үч миңчә адәм болсила Айиға һуҗум қилип [уни егиләләйду;] у йәрдә олтиришлиқ кишиләр аз болғачқа, пүткүл хәлиқни аварә қилип у йәргә әвәтмигин, — деди.
06070400b7	Шуниң билән хәлиқтин үч миңчә киши у йәргә чиқти; лекин булар Айиниң адәмлири алдидин қечип кетишти.
0607050194	Айиниң адәмлири улардин оттуз алтичә кишини уруп өлтүрди; қалғанларни сепил қовуқиниң алдидин Шебаримғичә қоғлап берип, у йәрдики даванда уларни уруп мәғлуп қилди. Андин хәлиқниң жүриги су болуп, қаттиқ сарасимгә чүшти.
060706012e	Йәшуа кийимлирини житип, Исраилниң ақсақаллири Пәрвәрдигарниң әһдә сандуғиниң алдида йәргә дүм жиқилип, башлириға топиларни чечип, у йәрдә кәч киргичә йетип қалди.
0607070181	Йәшуа: — Аһ, Рәб Пәрвәрдигар, сән бизни Аморийларниң қолиға тапшуруп һалак қилиш үчүн, бу хәлиқни немишкә Иордан дәриясиниң бу тәрипигә өткүзгәнсән? Биз Иордан дәриясиниң у тәрипидә туривәргән болсақ боптикән!
060708009f	Әй Рәббим! Исраил өз дүшмәнлириниң алдидин бурулуп қачқан йәрдә мән немиму дейәләймән?
060709014b	Ⱪананийлар, шундақла зиминда барлиқ туруватқанлар буни аңлиса бизни қапсивелип йәр йүзидин намимизни үзүп ташлайду; шу чағда Сән улуқ нам-шөһритиң үчүн немиләрни қилисән?! — деди.
06070a00ad	Лекин Пәрвәрдигар Йәшуаға җавап берип мундақ деди: — «Орнуңдин қоп! Немишкә шундақ дүм ятисән?
06070b0174	Исраил гуна қилди! Улар йәнә Мән уларға тапилиған әһдәмгә хилаплиқ қилип, һарам дәп бекитилгән нәрсиләрдин елип, оғрилиқ қилип, алдамчилиқ қилип һәм һарам бекитилгәнни өз маллириниң арисиға тиқип қойди.
06070c0212	Шуңа Исраиллар дүшмәнлириниң алдида тик туралмайду; улар өзлирини «һарам» қилип бекитип, мутләқ йоқитилишқа йүзләнгәчкә, дүшмәнлириниң алдидин бурулуп арқисиға қачиду. Әгәр силәр «һарам» дәп бекитилгәнни араңлардин тамамән йоқ қилмисаңлар, мундин кейин мән силәр билән биллә болмаймән.
06070d0204	Әнди сән туруп хәлиқни пак-муқәддәс қилип уларға: — «Әтә үчүн өзүңларни пак қилиңлар; чүнки Исраилниң Худаси Пәрвәрдигар шундақ дәйду: — Әй Исраил, сәндә «һарам» дәп бекитилгән нәрсә бардур; бу һарам нәрсини араңлардин йоқ қилмиғичилик дүшмәнлириңларниң алдида тик туралмайсиләр.
06070e0248	Әтә сәһәрдә силәр қәбилә бойичә һазир қилинисиләр; шундақ болидуки, Пәрвәрдигар бекиткән қәбилә җәмәт-җәмәти бойичә бирдин-бирдин алдиға кәлсун; Пәрвәрдигар бекиткән җәмәт аилә-аилә бойичә бирдин-бирдин һазир болуп алдиға кәлсун; андин Пәрвәрдигар бекиткән аилидики әркәкләр бирдин-бирдин алдиға келип һазир болсун.
06070f01df	Шундақ болидуки, һарам дәп бекитилгән нәрсини өз йенида сақлиған киши тепилғанда, Пәрвәрдигарниң әһдисигә хилаплиқ қилғанлиғи үчүн һәм шундақла Исраил ичидә рәзиллик садир қилғини үчүн у вә униңға барлиқ тәвә болғанлар отта көйдүрүлсун, — дәйду», дәп ейтқин».
06071000cd	Йәшуа әтиси таң сәһәрдә туруп Исраилни алдиға жиғип, қәбилә-қәбилини һазир қиливиди, Йәһуда қәбилиси бекитилди;
060711011b	у Йәһуданиң җәмәтлирини һазир қиливиди, Зарһийлар җәмәти бекитилди. У Зарһийлар җәмәтини аилә-аилә бойичә алдиға кәлтүрүвиди, Забди дегән киши бекитилди.
