2800000003	Mat
280d0f012a	Wirva gufǝrva udakhana a ɓengɓengǝf. Ən tsǝna ba tlimakh tar ad lava bi. A khaɗakhardu itar ad diyakh tar. Khek nǝgha nǝgha tsitar dǝ diyakh tar. Khek tsǝna tsǝna tsitar dǝ tlim tar tsǝgun. Wirva nagh ba itar katlgakatlǝn rǝvakhuɗ tar bi. Ka guyoghǝr itar da vakara mbakhatru kǝ.
280d10006f	Nǝg bark kǝ diyakhur wirvǝn nǝgha nǝgha kur din. Ndǝk yan tlimakhur tsugun wirvǝn tsǝna tsǝna kur din.
280d1100cd	Ən tǝkha kura tǝkha kǝ, zikǝn tlayangakh Yazhigǝl, zǝ li kalaliyakh, tsǝn na itar nǝgha dǝge ǝn nǝgha kur. Ai a nǝgha ba itar bi. Zǝ na tsǝna dǝge ǝn tsǝna kur. Ai a tsǝna ba itar bi.”
280d12002f	Auna dǝge tuku jakva lav dadak kwazdu khulfen.
280d1300f3	Da tsǝna kǝ udan ad lavǝn tǝghǝr kǝ tlǝksa gharazhigǝl, ǝn tǝ khalak yana a katlǝga bi, a nala ghila va khulfe a ɓalal ǝn tǝ ɗul. Tsǝnga kǝ udanen ad lav Yazhigǝl, ka sa Shatan, khutsala dǝ khulfe a tukhgud ǝn gufǝrva sar.
280d14006b	Khulfakhe balal da tǝ khayen tǝ fǝraɗ, in jakva ude benǝn tsǝna lav Yazhigǝl, ka chauga dǝ khwaɗg.
280d1500bc	Fatsiye a dagh ba tlǝl sar da khay char bi, baga tsin ad rǝv da tǝ sart khǝɗikǝn. Tsiyif kǝ dlaɗa, zǝ mbakhǝl ǝn tǝghǝr kǝ lav Yazhigǝle tsǝnin, kujaɗ kujaɗ ka mbǝɗgan.
280d1600df	Khulfe ɓaldagh da vake dǝ takakh tsugun, itar jakva udakhe tsǝnga lav Yazhigǝl. Ai wirva mbakhǝl nagh dǝg lard zǝ valaval way tluwandal ǝn lard, a gadlarkhe ad ɗaka kǝ khulfen. Khulfen tsuguna a bǝdu bad zǝr bi.
280d1700f8	Khulfe ɓalal da tǝ vak duɓan tsugun, in jakva ude tsǝnga lav Yazhigǝl katlgan tsugun. A mangan ad tlǝr din, tlǝm gǝmadu ad nuba khulfen. Yakhaya dǝrmǝk dǝrmǝk. Yakhaya kulǝnkwakh kulǝnkwakh. Yakhaya tsuguna kulkhǝkerɗ kulkhǝkǝrɗ.
280d18007a	Ka gwidǝn Yasu ad kwara tǝra tlǝrna jakv lav, ni, “Tlǝksa gharazhigǝla ghila ude tukhga khulf khwaran ǝn gukh sar.
280d19007d	Ən tǝ sarte ǝn khǝn khar udakh, ka dala dadak tlǝghum sar ka tukhgan ad khulf dlǝgh ǝn gukh lǝkamen. Ka tǝkaval sar.
280d1a0046	Ɗakala kǝ lǝkamen yigan ad zǝr. Dlǝghen tsuguna, sawal ǝn khuɗ.
280d1b00b1	“Ka sagh li man tlǝr dadak gukhen da vak sar. Ka nǝv itar tsin, ‘Dadmǝgha, atsuk khulf charan bakh tsa tukhga khǝn gukhaghena? A sawal ndar dlǝgh tsugun ǝn gukheni?’
280d1c009c	“Ka niya tsitar, ‘Dadak tlughumara kǝ mangain.’ Ka nǝv zar man tlǝrsar tsin. ‘Əna nagh kha dǝgal tsǝkǝnda da ndaɗdu ndaɗa dǝ dlǝghena?’
280d1d006b	“Ka niya tsitar, ‘Au, wirva nalabin dǝ kur ǝn ndaɗdu dlǝgha, ndǝɗamado ba zǝva lǝkam tsugun bi.
280d1e0104	A ɗuwam, ɗaka itar dagh zǝ lǝkam, da tǝ sarte da tsǝgdud lǝkam. Ən tǝ sarten da kwaratra ka kǝ li da tsǝgatsǝg, farsafǝg itar ndaɗdu dlǝgh chak, dzanǝf itar, ngwaɗana itar, ndaghana itar. Ka dzanǝf itar lǝkam, ɗiyakdagh ud da kuvurar.’”
280d1f0088	Ka gwidǝn Yasu ad kwaratra tlǝrna jakv lav, ni, “Tlǝksa gharazhigǝl ngwaɗa khulf mastad, ai ɓǝf udanen ka tukhgan ǝn gukh sar.
280d2000d0	Tsakhǝnmina in khǝɗikan ǝn khulfakh daghan. Ai da fǝtsawalina, ɗakalina, ka in da nǝga kǝ zikan ǝn tatak dǝgakhe ǝn ngaɓ. Da nǝga kǝ ufa zikan, ka da man mǝghakh ɗikakh ǝn tǝ gwalakh sar.”
280d2100c9	Ka gwidǝn batra tlǝrna jakva lava kǝ Yasu kwarne, “Tlǝksa gharazhigǝla ndǝkva yisti, ai dzǝgǝf nus khǝɗikǝn, kǝ khwaɗum ǝn khǝpi lǝkam daram khǝkǝrɗ, tlǝm tsiyif kǝ khǝpiyen.”
280d220088	A kwara tǝrkhai Yasu ad dǝgakhana daghan kǝ dzakhava udakh dǝ jakva lavakh. Na bǝn kwara tra lava ndǝk yan bi, akwa dǝ jakva lav.
280d2300c4	Dǝge a manga Yasu a righanǝf ad dǝge tsa kwarga Ishay tlayang. Avin, “Da ngura ghay ka kǝ kwar lava dǝ jakva lavakh. Dǝge tsa ɓǝghanud gul farsafǝg sar kǝ lard, da kwardu kwara kǝ.”
280d2400c6	Ən tǝ khal kǝ, ɗuwars dzakhava udakh kǝ Yasu, ka da da mǝgh. Ka saks kǝ furakh sar da vak sar. Nǝv itar tsin, “Kwara kǝnkhe kwara dǝge tuku jakva lav dlǝghe a fǝtsal ǝn gukh Lekam.”
280d25004b	Ka ngawa tǝrkhai, niya tsitar, “Dadake tukhga khulf khwaran, ka Zǝr Ud.
280d260073	Gukh tsuguna in Lard. Khulf khwarana itar udakhe da daks da tlǝksa Yazhigǝl. Dlǝgh tsuguna itar udakh ya Shatan.
280d270083	Dadak tlughume tukhga dlǝghena in wurdu. Sarta tsǝg khiyena, in fitsa mbasa lard. Li tsǝg khiyena itar zarɓǝlakh Yazhigǝl.”
280d280046	Ndǝkve dzakhud mas kǝ ndǝgha ndǝgh, da ndǝk yan fitsa mbasa lard.
280d2900d5	Ka Zǝr Ud da ɓǝlondagh ɓǝla ka zarɓǝlakh Yazhigǝlar, kǝ dzakha dzakha tsitar daghan dǝge tsǝn bakh udakh da man khaip, zǝ daghan li tsǝn man nguɗi nguɗi digitakh. Khutstral itar dǝgal ǝn tlǝksar.
280d2a0050	Ka tlǝvtǝrdagh itar da kara tsakai tsakai, vake da tudai tar dǝ kǝrɗ tliɗ,
280d2b0082	ǝn tǝ yanen kǝ sart, da wuɗa liye kanadi ngwaɗa fatsi ǝn tlǝksa Dad tar. Ɗeghwa ude dǝ tlim tsǝn lava, baru bǝgin tlim.
280d2c00bd	Tlǝksa gharazhigǝla ghila lemane a ɓǝghanud ǝn gukh, ai mbǝladu udan, ka gwidǝn ɓǝghanan. Wirva khwaɗga, ka dala sakwdu ad dǝgakh sare dinin daghan, ka sukwgan ad yanen kǝ gukh.
280d2d004e	Dakhkana, tlǝksa gharazhigǝla ghila zǝr kasuke ǝn gat kurakhe ndanga char.
280d2e0081	Mbǝladu tsin khwaran na kǝ chachaɗ fang, ka dala sakwdu ad dǝgakh sare dinin daghan, ka sukwgan ad ndangan ak chachaɗ kuren.
280d2f006a	Tsǝguna, Tlǝksa gharazhigǝla ghila sika vai kilfe ɓǝlavdagh da dǝlv, ai viyado ad kilfakh sikh sikh.
280d30009c	Righif tsin, ka ndǝɗado udakh da tǝ kalam gǝrdz, ndzakhgud, zaɓadalud khwarkhwaran na kǝ kilf, ɗidaghud da tughub, ka ɗiduwud dǝgal ade kwal khwar.
280d31008a	Da nǝga ndǝk yan fitsa mbasa lard. Da sǝgdagh zarɓǝlakh Yazhigǝl da takatak, kǝ zaɓadal nguɗi udakh sǝgawal ǝn li kanadi udakh.
280d32006d	Ka da tlǝvtǝrdagh tlǝva itar ad nguɗi udakhen da kara tsakai tsakai, vake da tuwda itar dǝ kǝrɗ tliɗ.
280d330076	Ka ndiɗatǝrwal Yasu, “A katlǝga nagh kur dǝgakhan tsagduwud daghana?” Nǝv itar tsin “Əm” A katlga kǝnd.
280d3400ea	Ka niya tsitar, “Wirva yan ɗeghwa dadak tsagdu ndzikha ndzikh Mus, ai tsagarduwud kǝ nǝga kǝ zǝr ɓǝla tlǝksa gharazhigǝl, ya ghila dadak mǝghe a dzǝgadal wuliwan zǝ mughuran na kǝ lǝman ǝn vake bǝgdin dǝgakh sar.”
280d350057	Udzala kǝ Yasu ǝn kwarakh inakhan na kǝ jakva lavakhen, ka ɗuwars ad yanen kǝ vak.
280d36011a	A do Yasu da kǝs sar. Sa tsin da vaken, ka da da gud dzakhava Yakhudakh, ka farsan ad tsaga tǝrdu tsag kǝ udakh. Ka ndawatǝrǝf kǝ liye a tsǝngan. Avitar ma, “A mbǝladu ǝn vara udan na dina kǝ kwalemlem ra? Tsǝguna a mbǝladu ǝn varin ndzǝɗa man dǝg ndawakakhani?”
280d370080	“Zǝr dadak tsakh mǝgh na baina biya? Bab sar ba Maryam biya? Yakub, Yusuvu, Siman, zǝ Yakhud saghrakh sar baitar kina biya?
280d380064	Daghan dǝghaw babakh sara ǝn giɗǝn vak mar baitar biya? Ai a mbǝladu dǝvarin ad dǝgakhani?”
280d390092	Ka bazala rǝv tsitar, ai nǝv Yasu tsitar, “Itsa dǝvara, nǝg ndanga kǝ tlayang Yazhigǝl. Ai uk ǝn ɗudǝn ǝn kǝs sar zǝ fǝta sarud.”
280d3a0050	A manga ba dǝ dǝg ndawakakh ǝn vin char bi, wirva kuɗ fadǝghǝro fǝga tar.
280e010088	Ən tǝ yanen kǝ sart, ka tsǝna tsǝna kǝ Khirudus Antifas dadake man tlǝksǝn Galili ad lave ǝn kwara udakh ǝn tǝghǝr kǝ Yasu.
280e020093	Ka niya kǝ li manara tlǝr, “Afka ina Yukhan dadak para uda. A tsiyavanǝf ǝn ngitl. Yan kǝ mangan nǝg dǝ ndzǝɗa manakh dǝg ndawakakh.”
280e030068	Wirva tsa kwarga Khirudus ad viga Yukhan kǝ kǝɗa da sal, wirva Khirudi nus zǝr bab ghǝrsar Filibus.
280e04007e	Wirva tsǝn tǝkhara tǝkha Yukhan gwil yan kǝ Khirudus kwarne, “Kalkal ba pǝrɗ Khirudi tsin kǝ nǝga kǝ nus sar bi.”
280e05007e	Tsa khǝnmina tsǝn nagha Khirudus ad kǝɗga Yukhan, ai ka gǝdzgan ad di udakh, wirva a ɓanǝf itar kwarne Yukhana tlayang.
280e0600b0	Gwiyoghǝr kǝ khǝna vǝge tsa yigdud Khirudusa, ka dzanda dugh Khirudi ad tsugw ǝn tǝvuk kǝ ghulabakhe sawal da vak khwaɗǝg. Tsugwa sarna kǝ zǝɗaru kǝ Khirudus char.
280e07005b	Wirva yan, ka manarkhai ad lanji zǝ waɗa kwarne, da barabǝg ad itsauɗa dǝge takaɗgin.
280e080098	Tǝkǝn bab sara, ka shakhanǝf ad dugh sar ad dǝge da kwarin. Ka ni, “Ba ka bǝgud ad ghǝr Yukhan dadak para ud ǝn mbanmban ǝn tǝvana kǝven.”
280e090094	Turug ghǝr kǝ shik, ai wirva waɗe a mangin da nǝga kǝ dǝg zhiru tsin ǝn tǝvuk kǝ ghulabakh sar. Ka kwargan ad barabǝg ad dǝge ǝn naghin.
280e0a0042	Ka talal ad ghay da gud sala, ǝntladǝghǝr ǝntlud ghǝr Yukhan.
280e0b0062	Ka ɓardǝghǝrud ghǝr saks ǝn mbanmban, barud kǝ zǝr dughen, khalakyana ka ɓara kǝ bab sar.
280e0c0074	Ka saks kǝ furakh Yukhan da zǝb gǝdzumba vǝgha sar, ka khǝɗane itar. Ka dǝgal tsitar kwararkhe itar kǝ Yasu.
280e0d0126	Tsǝna kǝ Yasu ad dǝge dzaughǝr dǝ Yukhan, ka tsiyawal ǝn tǝ vinen ka da da Peryu, ka dǝgal tsin da giɗa tukuɗa sar ǝn vake kwal nǝg kǝ ud. Ai tsǝna kǝ dzakhava udakh kwarne a ɗuda Yasu ad yanen kǝ vak, ka sǝgawal tsitar ǝn kǝsakh, ka dǝgala tsitar dǝ sig da vake dǝ Yasu.
280e0e008f	Sawala kǝ Yasu ǝn peryu, ka nǝghan ad dzakhava udakh zikǝn. Ka kwiɗ nǝv rǝv tsin, tsuguna ka mbakha tǝru ak li kwal yang ǝn tatak tar.
280e0f00d5	Ɓǝlga kǝ khagw, ka sa furakh sar da vak sar, nǝv itar tsin, “Vakna digi na tsawar bi, tsuguna a ɓǝlga khagw. Ɗuwatǝrs ɗuwa kǝ dzakhava udakhan dǝgal kǝ saku dǝg zuwa tsitar ǝn gǝdzar kǝsakhan.”
280e100067	Ka nǝv Yasu tsitar, “Uɗa lava tsitar dǝgal da tlǝrna vaki? Bamatra bǝg ad dǝge da zuwa itar.”
280e110057	Ka ngawarkhe itar kwarne, “Uk ɗumba brudi dliɓa zǝ kilf mits din kǝnd ǝn van.”
280e120014	Ka ni “A nakam.”
280e1300fc	Ka ndzakhamga ndzakhǝn tǝ dzuɓna niya kǝ udakhen. Ka ɓǝf ad brudina dliɓ zǝ kilfna mits, ka lando dǝ ghǝr da gharazhigǝl, ka kwarara us tsin kǝ Yazhigǝl. Ka kwachanan ad brudiyen baran kǝ furakh sar, ka bara furakh sar tsugun kǝ udakhen.
280e14007d	A zuwaru daghan tar, baghala itar. Ka dzakhanǝf furakh sar ad daghan dege tǝmgan. Ka raghanǝf ad tughwbakh kǝlatǝm mits.
280e150049	Ghwalvakhe zuwa a ɓa itar dǝb dliɓ. A tugwana bud nughwasa zǝ zar bi.
280e1600e9	Mbasu tsitar ma, ka kwara tǝrkhe Yasu kǝ furakh sar kǝ daks da peryu, kǝ dǝgal tsitar ǝn tǝvuk da tǝ tlǝrna ghǝdzǝva gadzak. In tsuguna dlaɓǝn ghits ǝn tǝ vin, kǝ da kwarara kwaza kǝ udakh daks ndan, kǝ dǝgal tsin.
280e170088	Tǝkhal kǝ kwazana dzakhava udakh tsin, ka dugo tsin da tǝ ghuɓ kǝ ɗǝgaw tukuɗa tukuɗ. Ɓǝlga kǝ khagwa, ǝn vin tǝkuɗa sar.
280e180097	Ən tǝ yanen kǝ sarta, bita pǝr yu zǝ ghay gǝrdz. Uk kaɗakaɗa kǝ ghǝɗkuta yu ad pǝr yuwen. Wirvǝn tlǝg tlǝga fuɗ ad pǝr yuwen da tǝlg.
280e190065	Kalkal karfi khǝkǝrɗ dǝ ghǝr kǝdl, ka sagh Yasu da vak furakh sar, ǝn dǝgǝn tǝghǝr kǝ yu.
280e1a0097	Nǝgha kǝ furakh sarna ad dǝga tsin ǝn tǝghǝr kǝ yuwa, ka gadzǝf itar char. “Ude sawal ǝn tǝ fik,” nǝv itar. Ka khula tsitar wirva gǝdz.
280e1b0073	Tǝvin tǝvina, ka kwaratǝra lava kǝ Yasu kwarne, “Tukhwamfǝkhe tukha, i ka fǝka, gǝdzmbiya.” Niya tsitar.
280e1c0071	Ka nǝv Bitrus tsin, “Dadzikan, ai da khin, khaya kanǝf khaya dǝgǝn tǝ ghǝr kǝ yu, kǝ saks da vakagh.”
280e1d0085	“Ausǝga,” nǝv Yasu tsin. Burkhwit ka tsiyawal Bitrus sǝgawal ǝn peryuwen, ka farsa dǝga tsin ǝn tǝ yu, dǝgal da vak Yasu.
280e1e008e	Ai vazga tsina a tsiyif fuɗ dǝ ndzǝɗa char, ka gǝdzǝf, ka farsa yu ad ndǝga ndǝg. Ka khula tsin, “Dadzikan katka katka” Niya tsin.
280e1f0095	Tǝvin tǝvina ka talal Yasu ad dǝv sar, ka viyado sǝgo. Ka niya tsin, “Kha dadak khǝtsa fadǝghǝro fǝg, wuɗa lava kwal khayakǝf tsǝkhi?”
280e200039	Da kǝ Yasu zǝ Bitrus da peryuwa, ka lǝɓukw nǝv fuɗ.
280e210065	Ka ɗabanǝf furakh sare tsǝn Peryu ad Yasu. Ka nǝv itar tsin, “Zǝr Yazhigǝl kha kaɗikaɗi.”
280e22004b	Ghǝdzǝvarghǝra tsitar ad dǝlva, ka sa itar da ǝntla khay ya Janisarat.
280e2300be	Ai katlga kǝ li kǝsen kwarne, atsuk Yasu, ka ɓal ghay tsitar kǝ kwarara kwara kǝ itsawar ǝntla khaya kǝsen daghan. Khalak yana ka zaɓardǝghǝr udakh kǝsen ad daghan liye kwal yang.
280e24008a	Ka tatlga itar, kǝ khaya tǝrnǝf khaya kǝ liye kwal yang kǝ gǝma itsa ghay gabag sar. Daghan li gǝma ghay gabag sara, a mbakhu itar.
280f010096	Dud ǝn kwarina, ka sasǝg kǝ yakhaya kǝ Farisakh zǝ yakhaya kǝ li tsagdu ndzikha ndzkh Mus ǝn Wurshalim, da vak Yasu. Ka ndiɗarwal itar kwarne,
280f020093	“Uɗa lava kǝ zar ɓǝlakhagh ǝn kala ndzikhe a bǝga dzidzakhǝndi? Wirva na itar ǝn par dǝv kǝda zu kaf ndǝkve tsagdu dzidzakhǝnd bi.”
280f030087	Ka ngawa tǝrkhai Yasu kwarne, “Uɗa lava tsǝkur ǝn kala ndzikha ndzikh Yazhigǝl, uk ǝn gatars kǝ dǝge tsagdu dzidzakhura kuri?
280f04008b	Afka nǝv Yazhigǝla, ‘Farghǝrfǝg kǝ dadagha zǝ babagh.’ Tsuguna ni, ‘Itsawar ǝn lakhga dad sar zǝ bab sar, kǝɗgud kǝmts.’
280f0500c8	Ai ǝn tsagdutsaga kur kwarne, ‘Da nǝg dǝge nagha udan ad mǝlaru mǝla kǝ dad sar zǝ bab sar din, “Ai ka avin tsugun, daghan dǝge tsa da mbǝladu kur ǝn vakar, a barkhe ka kǝ Yazhigǝl.”
280f060096	Wirva yana, atsuk barari ba mǝlaru mǝla kǝ dad bi nikur.’ Wirva yan, a nandal kur lav Yazhigǝl kǝ bat, kǝ nǝghda gatars kǝ ndzikha ndzikhur.
280f070056	Kuram nguɗiyakhan. Kalkal dǝge tsa kwarga Ishay tlayang ǝn tǝghǝr tsukur. Kwarne,
280f080053	“‘Udakhanna digi, uk ǝn fakghǝra dǝ ghay itar. Rǝvakhuɗ tara bita zǝ kǝ.
280f09005c	Ən ɗaba ka buti itar. Ən tsagdu ndzikha ndzikh udakh itar. Ən dleva lav Yazhigǝl.’”
280f0a0067	Khala kǝ yana, ka ɗakhtǝrkhai Yasu kǝ dzakhava udakh, niya tsitar, “Bambǝg tlim, ka diyarsa kur.
280f0b00a8	Dǝge ǝn da da ghay bǝn naud kǝ kwadlamb ǝn tǝvuk kǝ Yazhigǝl bi. Dǝge ǝn sǝgawal ǝn ghay kǝ dadak sar ǝn nandala kǝ kwadlamb ǝn tǝvuk kǝ Yazhigǝl.”
280f0c0093	Ka saks kǝ zar bǝlakh sar da vak sar, nǝv itar tsin, “Tsa tsǝkha kwarne a bazala rǝvakhuɗ kǝ Farisakh tsǝnga tsitar lavana kwarga kha?”
280f0d0079	Ka ngawatǝrkhai Yasu tsitar, “Itsera kǝ ufe Dadar ǝn gharazhigǝl ba kǝ njivgan bi, ka da ndaɗdu ndaɗud kutskuts.
280f0e00a0	Ɗuwamatǝrs ɗu, ngulfakh itar li mǝdlara ɗul kǝ ngulfakh. Daka ngulf ǝn mǝdlara ɗul kǝ ngulfa, afka bǝrdagha tara da mbǝɗa itar dǝgdagh da fika.”
280f0f0047	Ka nǝv Bitrus tsin, “Kwara kǝnkhai kwara dǝge tuku jakva lavan.”
280f10004c	“Atsuk dakhkana ghǝrur tsuguna a katlga ba kur biya?” Nǝv Yasu tsitar.
280f110087	“Ən tsa bakh kur kwarne, ɗeghwa dǝge da da ghay kǝ udan, ǝn dǝgdagh da khuɗ sar, kǝ dǝg mbasa ka da sǝgawal ǝn vǝgh sara?
280f120070	Ai dǝge sǝgawal ǝn ghaya ǝn sǝgawal ǝn rǝvakhuɗ. In dǝgakhe ǝn naud kǝ kwadlamb ǝn tǝvuk Yazhigǝl.
280f130099	Afke ǝn sǝgawal ǝn rǝvakhuɗ nguɗi nguɗi ɗaya ghǝra. Ndǝk za kǝɗ safa uda, gwaragwara, ǝrɗa, gǝla, dlaghawa fila zǝ bazardu ɗakha kǝ ud.
280f1400ab	Ina dǝgakhe ǝn naud kǝ kwadlamb ǝn tǝvuk kǝ Yazhigǝl. Ai zu kaf dǝ dǝv kwal paran ǝn tǝ dǝva dǝ ndzikh ba da naud kǝ kwadlamb ǝn tǝvuk kǝ Yazhigǝl bi.”
280f15005c	Ɗuwars kǝ Yasu ad yanen kǝ vak, ka dal da ǝntla khaya kǝsakhe khefa dǝ Taya zǝ Sidom.
280f1600b2	Dzagwdlam, ka sa nusen dugh ya Kanan ǝn giɗǝn khayen da vak Yasu. Ka tuwa tsin kwarne, “Dadzikan, Zǝr Dod, ziwakdal ziw. Ən bara dlaɗ sǝɗikw bǝzan kǝ dughwar char.”
280f1700b7	A kwararkhe ba Yasu ad tsauɗa kǝ nusen bi. Ka saks kǝ furakh Yasu da takaɗa takaɗ ad Yasu. Nǝv itar tsin, “Lakwars lakw, wirvǝn gatakiyams gat, ǝn mbakiyama mbǝg dǝ tu.”
280f180058	Ka ngawa tǝrkhe Yasu, ni, “Uk a ɓǝlokondagh wirva udakh ya Izraile a zaɗgan ud.”
280f190060	Ai ka saks kǝ nusen da tǝvuk sar, kǝlgan ad juguv. “Dadzikana, mǝlaku mǝla.” Niya tsin.
280f1a0057	Ka nǝv Yasu kǝ nusen, “Ən manawa ba bǝf ud kaf zara, ka barud kǝ ghǝdakh bi.”
280f1b00ae	Nǝv nusen tsin, “Lave kwarga kha na kalkal Dadzikan. Ai tsuguna, ghǝdakha ǝn zuwa zuwa itar, ad kwacha kafakhe ɓalal ǝn tǝ vǝlengakhe ǝn zuda li mǝghakh ad kaf.”
280f1c00b0	Ka ngawarkhe Yasu, niya tsin, “Awara nusna, fadǝghǝro fǝgagha nǝg dǝ ndzǝɗ, da manakha manud dǝge nakh.” Ən tǝ yanen kǝ sarta, ka mbu dugh sar ǝn tǝvin tǝvin.
280f1d0074	Ɗuda kǝ Yasu ad yanen kǝ vak, ka dǝgal tsin diwa kalam dǝlva Galili. Khalak yana ka ngalo da tǝ gil nndzǝgan.
280f1e00d4	Ka saks kǝ udakh zikǝn da vak sar. Zaɓardǝghǝr itar dǝ ghurɗikakha, zǝ ngulfakha, zǝ li ǝmtsa kalam vǝgha, zǝ tǝngakha, zǝ chalǝm li kwal yanga zikǝn. Ka bakhga itar ǝn tǝvuk sar. Ka mbakha tru.
280f1f00dd	Ka ndawatrǝf kǝ udakh vazga tsitar ad li kwal tǝkha kǝ kwarga lava ǝn kwarghai itar. Li mǝtsa vǝgha ka a mbakharu, ghurɗikakh ǝn dǝga itar, ngulfakh ǝn nǝgha nǝgha itar. Ka farghǝr itar kǝ Yazhigǝl Izrail.
280f200131	Dud ǝn kwarina, ka ɗakhtǝrkhai Yasu kǝ furakh sar saks da vak sar. Ka niya tsitar, “Ən ziwardal ziwa ka kǝ dlama khan, wirva khǝkǝrɗ khana tsitar ǝn vakar, tsuguna na dǝg zuwun vak tar bi. Nagh ba ka daks tsitar dǝ way bi, wirvǝn tǝkha itar kǝ ɗighǝr khar ǝn tǝ ɗul daks da mǝgh.”
280f210081	Nǝv furakh sar tsin, “Ən tǝghal ndǝkina, da mbǝladu ǝn makiyam ad dǝg zuwe da tǝkhud kǝ batran kǝ udakh pakina ra?”
280f220080	Ka ndiɗatǝrwal Yasu kwarne, “Ngǝrwa brudiye din kur ra?” Ka nǝv itar tsin, “Ɗumba uɗif zǝ mbisan na kǝ kilfakh.”
280f23003e	Ka bǝtra kǝ dzakhava udakh kǝ ndzakhga ndzakh ǝn tǝ khay.
280f2400ad	Ka ɓǝf ad ɗumba brudiyen uɗif zǝ kilfakhen, kwararkhai ad us kǝ Yazhigǝl, ka kwachanǝf, baran kǝ furakh sar. Ka bara furakh sar ad brudiyen zǝ kilfakhen kǝ udakh.
280f250065	Itsawara a zuwa, a baghala itar. Ka dzakhanǝf furakhen ad dǝg zuwe a tǝmgan, tugwǝb uɗif reghan.
280f260056	Udakhe zuwa ruwa, a ɓa itar ghwalvakh dǝb ufaɗ. A kǝdlga bud nughwasa zǝ zara bi.
280f270073	Ən tǝ khal kǝ ɗuwatǝrs ɗuwa kǝ Yasu ad dzakhava udakh, ka da da peryu, ka dǝgal da ǝntla khaya ya Magadan.
28100100b1	A sa Farisakha zǝ Sadukiyakh da vak Yasu kǝ nǝghda kurakura tsitar. Ka ndiɗarwal itar kǝ mana tra zikan na kǝ dǝg ndawake da mǝdla din kwarne a saudagh ǝn gharazhigǝl.
2810020090	Ka ngawa tǝrkhai ni, “Da dǝm fatsi da ɓǝl, da ka nǝgha tsǝkur khas khas ǝn tǝ gharazhigǝl, ka nikur, ‘Yauwa, na yu da tǝɗa bi.’
281003012c	Da ka sǝgo gwisǝl zǝ ghabag, da nǝgha tsǝkur khas khas ǝn tǝ gharazhigǝl, lusǝf kes, ka nikur ‘Da tǝɗa yu khan.’ Tǝkha kur kǝ tsan ad dǝgakhe da dzaughǝr ǝn tǝ dǝva dǝ giɗa kǝ fef gharazhigǝl, wur ka tǝkh ba kur kǝ katlga dǝge ǝn tuku jakǝvakh manasar kǝ kwargǝna bi.
28100400d4	Udakh kwargǝna li kwal khayanǝf dǝ Yazhigǝl itar, kǝladakh tsugun. Na kur nǝgha dǝg ndawak, ya na bud da mǝdla kura tlǝrna dǝg ndawak bi, akwa dǝg Yunan.” Khalak yana ka ɗuwatǝrs Yasu, dakaval sar.
281005007a	Darghǝra tsitar da tǝ tlǝrna ghǝdzva gadzak dǝlv, ka dzamana furakh sar kwarne a mbitsa tǝrghǝr sǝgawal dǝ brudi.
281006005e	Ka nǝv Yasu tsitar, “Ɗem nikur, ya tsukwamana ghǝr dǝ yista Farisakha zǝ Sadukiyakh.”
2810070074	Ka farsa ɗayakavu lav tsitar ǝn tatak tar kwarne, “Wirve a ɓadal ba kiyam ad brudi bi nagh ǝn kwarin adina?”
28100800c4	A katlga Yasu ad dǝge tsǝn kwara itar, wirva yana, ka ndiɗatǝrwal kwarne, “Uɗa lava tsǝkur ǝn ɗayakavu lav ǝn tǝbur kwarne, wirva na kur dǝ brudi biyi? Kuram li khǝtsa fadghǝrofǝg.
28100900a2	Dakhkana a katlga ba kur biya? A mbitsa kur ghǝrkh sarte tsa baghandala ka udakh dǝb dliɓ dǝ ɗumba brudi dliɓa? Tughwb ngǝrwa a dzanǝf kuram ake tǝmgani?
28100a0077	Awana ǝn sarte tsa baghandala ka udakh dǝb ufaɗ dǝ ɗumba brudi uɗif. Tughwb ngǝrwa a dzanǝf kuram ake tǝmgani?
28100b00b2	Uɗa kǝ mangan tsǝkur kwal katlgan kwarne ǝn kwara kura lav ǝn tǝghǝr kǝ brudi ba ka biyi? Ən kwara kura kwarne tsukwamana ghǝr dǝ yista Farisakh zǝ Sadukiyakh kǝ.”
28100c00cf	Ka katlga furakh sar kǝ Yasu kwarne, ǝn kwarǝn tǝghǝr kǝ yiste ǝn ɗiyud ǝn brudi bi. Tsukwamana ghǝr dǝ yisti na tsǝn kwarina, atsuk ǝn kwarǝn tǝghǝr kǝ tsagdutsaga Farisakha zǝ Sadukiyakh.
28100d007b	Soghǝr kǝ Yasu da kǝs ya Kesariya Filibiya, ka ndiɗatǝrwal kǝ furakh sar kwarne, “Warek ka Zǝr Ud vek udakh ra?”
28100e0093	Ka nǝv itar tsin, “Av yakhaya Yukhan dadak para ud, av yakhaya Ili tlayang, av yakhaya tsuguna Irmi tlayang, awana fang ǝn tatak tlayangakh.”
28100f002f	Niya tsitar, “Ai kur ma, warek kavek kuri?”
281010004e	Ka ngawarkhe Siman Bitrus kwarne, “Kha Masikhu, Zǝr Yazhigǝl dadak saf.”
2810110090	Ka nǝv Yasu tsin, “Dadak bark kha Siman zǝr Yukhan, wirva a sakha diwa ud dǝg sig ba ina kǝ jir bi. Dadare ǝn gharazigǝl kǝ kwara khai.
