2800000008	Maatoosa
290c090076	“Hiza, woyne atakilttiya goday waatanee? Yidi he kothe aawata wodhi onggidi, woyniya kothe oothiya hara asas immana.
290c0a00dd	‘Gimbbeyssati boridi ixxida shuchchay godaa xaphuwa minthiya, ubbaafe aadhdhiya shuchchu gidis. Hayssi Goday oothidabaa; qassi nu ayfiyaaskka malaalisiyabaa’ yaageyssa Geeshsha Maxaafaappe nabbabibeekketii?” yaagis.
290c0c00a6	Kahine halaqati, higge asttamaaretinne cimati Yesuusi he leemisuwa bantta bolla leemisidayssa erida gisho, iya oykkanaw koyidosona, shin asaas yayyidi, aggi bidosona.
290c0d007b	Qassi iya odaappe bala demmidi, iya oykkana mela, Farisaawetappenne Heroodisa baggatappe guutha asata iyaakko kiittidosona.
290c0e011b	Entti iyaakko yidi, “Asttamaariyaw, neeni tuma odetteyssanne asappe ase shaakkonnayssa nuuni eroos. Neeni ase dummayakka; qassi Xoossaa ogiya tumatethan tamaarssaasa. Nuuni Roome biittaa Kawuwa Qeesares giira giireyssi wogeyye woga gidennee? Giira giiranee agganee?” yaagidosona.
290c0f0064	Shin entta cubbotethaa Yesuusi eridi, “Tana ays paacetii? Ane issi santime tana bessite” yaagis.
290c100084	Entti iyaw ehidosona, “Ha malaynne sunthay oodeysee?” yaagidi entta oychchis. Entti, “Roome Kawuwa Qeesareyssa” yaagidosona.
290c110077	Yesuusi zaaridi, “Yaatikko, Qeesareyssa Qeesares, Xoossayssa Xoossaas immite” yaagin entti iyabaa malaalettidosona.
290c120070	Hayqqida asi denddenna giya Saduqaawetappe issi issi asati Yesuusakko yidi, hayssada yaagidi, iya oychchidosona.
290c1300ba	“Asttamaariyaw, Musey nuus higgiya xaafishe, ‘Machcho ekkida asi na7a yelonna hayqqiko, he hayqqidayssa ishay iya machchiw ekkidi, ba ishaas na7a yelanaw bessees’ yaageyssa xaafis.
290c140053	Beni wode laappun ishati de7eyssatappe bayray machcho ekkidi, na7a yelonna hayqqis.
290c15004e	Nam77anthoy iyo ekkis, ikka na7a yelonna hayqqis. Heedzanthoyka hessada hanis.
290c160068	Laappunatikka hessatho iyo ekkidi, na7a yelonna hayqqidosona. Ubbaafe guye, qassi he maccasiya hayqqasu.
290c170080	Yaatin, laappunati iyo ekkida gisho hayqqida asay hayqoppe denddiya gallas, iya enttafe awussas machcho gidanee?” yaagidosona.
290c18005c	Yesuusi zaaridi, “Hintte baley, Geeshsha Maxaafata woykko Xoossaa wolqqaa eronna gishossa!
290c190082	Hayqqida asay hayqoppe denddiya gallas, salon de7iya kiitanchchota mela gidanaappe attin adde asay ekkokona; macca asay gelekkona.
290c1a00d3	Shin hayqqidayssata dendduwabaa gidikko, Muse maxaafan xaafettida xuugettiya buuriyabaa odiya bessan, Xoossay Musekko, ‘Taani, Abrahaame Xoossaa, Yisaaqa Xoossaa, Yayqooba Xoossaa’ gidayssa nabbabibeekketii?
290c1b006e	Hessa gisho, I, paxa de7eyssata Xoossaafe attin hayqqidayssata Xoosse gidenna. Hintte daro balideta” yaagis.
290c1c00b4	Higge asttamaaretappe issoy entti palameyssa shiiqidi si7is. Qassi Yesuusi enttaw loythi zaaridayssa si7idi, “Kiita ubbaafe aadhdhiya kiitay awussee?” yaagidi Yesuusa oychchis.
290c1d007f	Yesuusi zaaridi, iya hayssada yaagis; “Kiita ubbaafe aadhdhiya kiitaa si7ite; ‘Isra7eele asaw, Goday nu Xoossay issi Godaa.
290c1e007c	Ne Godaa ne Xoossaa ne kumetha wozanappe, ne kumetha shemppuwafe, ne kumetha qofaappe, ne kumetha wolqqaafe dosa’ yaagees.
290c1f0096	Qassi kiita ubbaafe aadhdhiya nam77antho kiitay hayssa; ‘Ase ubbaa ne huu7iyada dosa’ yaageyssa; hayssatappe aadhdhiya hara kiiti baawa” yaagis.
290c20008d	Higge asttamaarey Yesuusakko, “Asttamaariyaw, tuma gadasa; neeni ‘Xoossay issi Xoossaa xalaala. Iyappe attin hari baawa’ gidayssi tuma.
290c2100b6	Xoossaa kumetha wozanappe, kumetha qofaappenne kumetha wolqqaafe doseysinne qassi ase ubbaa ba huu7iyada doseyssi, xuuggiya yarshshuwafenne hara yarshsho ubbaafe aadhdhees” yaagis.
290c2200c6	Yesuusi higge asttamaariya zaaroy aadhdhida eranchcho asa zaaro gididayssa be7idi, “Neeni Xoossaa kawotethaafe haakkabaakka” yaagis; hessafe guye, Yesuusa harabaa oychchanaw oonikka minnibeenna.
290c230073	Yesuusi Xoossa Keethan tamaarssishe, hayssada yaagis: “Higge asttamaareti Kiristtoosa woygidi Dawite na7a goonaa?
290c2400a9	Dawitey Geeshsha Ayyaanan kumidi, ‘Goday, ta Godaa, “Taani ne morkketa ne tohoy yedhdhiyaso oothana gakkanaw, hayssan taappe ushachcha baggara utta” gis’ yaagis.
290c2500a1	Dawitey ba huu7en Kiristtoosa, ‘Godaa’ gidi xeegikko, yaatin, Kiristtoosi waanidi, Dawite na7a gidii” yaagis. Daro asay Yesuusi geyssa ufayssan si7idosona.
290c2600a7	Yesuusi tamaarssishe, hayssada yaagis; “Higge asttamaaretappe naagettite; entti adussa ma7o ma7idi yuuyeyssanne giyankka asay entta bonchchidi sarotheyssa dosoosona.
290c270077	Entti Ayhude Woosa Keethatan daro lo77iya oydiya dosoosona; qassi asi banttana mokkiya bessan bonchcho bessi dosoosona.
290c28007a	Entti am77eta keethaa bonqidi, banttaw lo77o daananaw woosa adussoosona; entti ubbaafe aadhdhiya pirddaa ekkana” yaagis.
290c2900a5	Yesuusi Xoossa Keethan muxaata yeggiya saaxiniya matan uttidi, asay ba miishiya he saaxiniyan yeggeyssa be7is; daro dure asay daro miishiya he saaxiniyan yeggoosona.
290c2a0041	Issi manqo am77iya yada, nam77u bakkannata he saaxiniyan yeggasu.
290c2b0084	Yesuusi ba tamaareta xeegidi, “Taani hinttew tuma odays; muxaata saaxiniyan yeggida asa ubbaafe ha manqo am77iya darssada yeggasu.
290c2c0085	Ays giikko, harati ubbay bantaw palahida miishiyappe yeggidosona. Shin iya ba pacciyaafe, baw de7iya aquwaa kumethi immasu” yaagis.
290d01008d	Yesuusi Xoossa Keethafe keyishin, iya tamaaretappe issoy, “Asttamaariyaw, ha lo77o shuchchaanne ha lo77o shuchcha keethaa be7ay!” yaagis.
290d0200b0	Yesuusi zaaridi, “Ha gita shuchcha keethaa be7ay? Ha keethay shuchchi shuchcha bolla gimbbettida mela laalettonna attenna; issi shuchchika attonna ubbay laalettana” yaagis.
290d03008e	Yesuusi Xoossa keethafe hini baggara Shamaho Deriya bolla uttidashin, Phexiroosi, Yayqoobi, Yohaannisinne Inddiriyasi banttarkka iyaakko yidi,
290d040071	“Hayssi awude hananeekko, nuus oda; ha ubbay polettana wodiya erisiya malaatay aybee?” yaagidi oychchidosona.
290d05005c	Yesuusi qassi enttako hayssada yaagidi odis. “Hinttena oonikka balethonna mela naagettite.
290d06005e	Daro asati ta sunthan, ‘Taani Kiristtoosa’ yaagidi tamaarssishe yidi, daro asaa balethana.
290d070082	Matan de7iya olaanne haahon de7iya ola wore hintte si7iya wode hirggofite. Hessa melabay hananaw bessees, shin wurssethay buroona.
290d0800bc	Issi biittaa asay hara biitta asaara olettana; qassi issi kawotethay hara kawotethatara olettana; biittaa qaaxoy ubba bessan hanana; koshay daana, shin hessi ubbay yelo iqethas zooke mela.
290d0900f7	“Shin hinttee, hintte huu7en naagettite. Ays giikko, asi hinttena oykkidi, pirdda keethas aathi immana; qassi Ayhude Woosa Keethatankka hinttena lisson garaafana; deriya haareyssata sinthaninne kawota sinthan ta gisho hintte markkattanaw eqqana.
290d0a004c	Wurssethay gakkanaappe sinthe Wonggelay koyro dere ubbaas odettanaw bessees.
290d0b00d1	Entti hinttena pirdda keethi ehiya wodenne aathi immiya wode, woygidi odaneekko koyro hirggofite; he saatiyan Xoossay hinttew immiyabaa odite. Hinttenan Geeshsha Ayyaanay odetteesippe attin hinttena gidekketa.
290d0c0069	“Ishay ba ishaa, aaway ba na7aa wodhisana. Nayti banttana yelidayssata bolla denddidi, entta wodhisana.
290d0d0055	Asay ubbay hinttena ta sunthaa gisho ixxana, shin wurssethi gakkanaw minniday attana.
290d0e00bb	“Shin bashshaa tunatethay eqqanaw bessonna bessan eqqidashin hintte be7ana.” (Akeekiso: Hessi woy guusseeko nabbabeyssi akeeko!) “Yihuda biittan he wode de7eyssati deriyakko baqato.
290d0f004c	Keetha huu7en de7iya uraykka issibaa ekkanaw duge wodhdhidi, ba soo geloppo.
290d10002e	Gaden de7eyssi ba ma7uwa ekkanaw guye simmofo.
290d110049	He wode qanthatida maccasatasinne dhanthiya maccasatas daro un77a gidana.
290d120045	Shin hayssi ubbay haniya wodey balggo gidonna mela, Xoossaa woossite.
290d13008f	Ays giikko, Xoossay alamiya medhdhida wodiyappe doomidi, ha77i gakkanaw haniboonna metoynne sinthafekka hanonna metoy asa bolla he wode hanana.
290d140080	Goday he gallasata taybuwa guuthonaako, ase gididay oonikka attenna. Shin I ba doorida asa gisho, he gallasata taybuwa guuthees.
290d150081	“He wode oonikka hinttena, ‘Hekko, Kiristtoosi hayssan de7ees woykko Kiristtoosi hinin de7ees’ yaagikko, hessa ammanoppite.
290d1600a2	Worddanchcho Kiristtoosatinne worddo nabeti denddidi bantaw dandda7ettiko, hari attoshin Xoossay dooridayssatakka balethanaw malaatatanne malaalisiyabata bessana.
290d17003c	Shin hintte naagettite; taani hinttew ubbabaa kasetada odas.
290d180049	“Shin he wode he waayiyappe guye, away dhumana; ageenay poo7uwa aggana;
290d190046	xoolinttoti saloppe kunddana; qassi salon de7iya wolqqatikka qaaxxana.
290d1a0054	He wode Asa Na7ay, gita wolqqaranne bonchchuwara shaara giddora yishin entti be7ana.
290d1b0078	He wode taani kiitanchchota sa7a oyddu bagga kiittana; sa7a gaxappe saluwa gaxa gakkanaw, Xoossay doorida asa shiishana.
290d1c007e	“Leemisuwa balase mithaafe akeekite; balasiya aaciya wodenne I haythay cil77iya wode, torchchey matattidayssa hintte ereeta.
290d1d0056	Hessadakka, hintte he ubbabay haneyssa be7iya wode, I matidi pengge gakkidayssa erite.
290d1e0059	Taani hinttew tuma odays; ha ubbabay hanana gakkanaw hayssan de7iya asay ubbay hayqqenna.
290d1f003e	Saloynne sa7ay aadhdhana, shin ta qaalay ubbarakka aadhdhenna.
290d20008d	“Shin he gallasaanne he saatiya Aawa xalaalappe attin hari attoshin salon de7iya kiitanchchota gidin woykko Na7aa gidin oonikka erey baawa.
290d210046	He wodey awude gidaneekko, hintte eronna gisho, naagettitenne minnite.
290d2200aa	Ta yuussay ba keetha aggidi, oge biya uraa mela. Uray ba aylleta huu7en huu7en oosuwa immidi entta ba oosuwas aawa oothis; qassi naageysika minthidi naagana mela kiittis.
290d2300ab	“Hessa gisho, minnite. Ays giikko, keethaaway omarssi gidin woykko giddi bilahe gidin woykko kutto waaso gidin woykko wontta guura gidin awude yaanekko, hintte erekketa.
290d24004a	Hintte akeekonna I yidi hinttena dhiskkidi de7ishin demmonna mela minnite.
290d25003a	Taani hinttew odeyssa asa ubbaas odays; minnite” yaagis.
290e0100bd	Faasika Baale bonchchiya gallasaynne Uytha Baale bonchchiya gallasay gakkanaw nam77u gallasi attis. Kahine halaqatinne higge asttamaareti asi eronna Yesuusa oykkidi wodhdhiya oge koyoosona.
290e020058	“Asay ooshshaa kessonna mela Faasika bonchchiya gallasan hessa oothoko” yaagidosona.
290e030104	Yesuusi Bitaaniya kataman baro hargganchchuwa Simoona son gibira bolla uttidashin, issi maccasiya albasxiroose giya shuchchafe oosettida philqqaaxe kumetha narddoose giya daro al77o shitto ekkada yasu. He philqqaaxiya menthada shittuwa Yesuusa huu7iyan tigasu.
290e040055	He bessan de7iya asappe issoy issoy hanqettidi, “Ha shittoy mela coo iitey aybisse?
290e05009f	Ha shittuwa heedzu xeetu dinaaren bayzidi, miishiya manqotas immanaw dandda7ettees” yaagidi bantta giddon odettidosona. Yaatidi, he maccasiw daro boridosona.
290e06005a	Shin Yesuusi “Ha maccasiw aykkoka gooppite; iyo ays waaysetii? Iya taw lo77obaa oothasu.
290e07008c	Manqoti ubba wode hinttera de7oosona. Hintte koyida wode awudekka hintte entta maaddanaw dandda7eeta, shin taani ubba wode hinttera de7ikke.
290e080053	Iya ba dandda7idayssa oothasu; qassi tana moogos giigisanaw kasetada shitto tiyasu.
290e09007e	Taani hinttew tuma odays; sa7a ubban Wonggelaa odiyason awunkka, asay iyo akeekana mela ha iya oothidayssi odettana” yaagis.
290e0a0074	Tammanne nam77u tamaaretappe issoy Asqoroota Yihuda geetetteyssi Yesuusa kahine halaqatas aathi immanaw enttako bis.
290e0b007d	Entti hessa si7ida wode ufayttidi, “Nuuni new miishe immana” yaagidosona; Yihudi Yesuusa aathi immanaw injje wode koyees.
290e0c00d1	Uythaa miya gallas bonchchiya koyro gallas, Faasika kathaa maanaw maraze shukkiya wode, Yesuusa tamaareti iyakko, “Faasika bonchchiya gallas neeni maana kathaa nuuni aw bidi giigisino?” gidi oychchidosona.
290e0d009d	Yesuusi ba tamaaretappe nam77ata hayssada yaagidi kiittis: “Katamaa biite; hintte bishin, otora haathe tookkida issi uray hinttera gahettana; iya kaallite.
290e0e0084	I bidi geliya keethaawa, ‘Asttamaarey neekko, “Taani ta tamaaretara Faasika maanaw imatha kifiley awunee?” yaagees’ yaagite.
290e0f0068	Keethaaway hinttena pooqiya bolla de7iya giigi uttida dalgga kifile bessana; hessan giigisite” yaagis.
290e10006e	He nam77u tamaareti keyidi, katama bidosona; Yesuusi enttaw odidayssada demmidi, Faasika kathaa giigisidosona.
290e110041	Sa7ay omarssiya wode Yesuusi tammanne nam77u tamaaretara yaa bis.
290e120082	Entti uttidi kathi mishin, Yesuusi enttako, “Taani hinttew tuma odays; hinttefe issoy taara meyssi, tana aathi immana” yaagis.
290e13005f	Iya tamaareti dagammidi, bantta huu7en huu7en, “Tuma taneshsha?” yaagidi iya oychchidosona.
290e140076	Yesuusi zaaridi, “He uray hintte tammanne nam77atappe issuwa; I taara issife tushanaw ba uythaa shaatiyan yeddeyssa.
290e15009a	Asa Na7ay, Geeshsha Maxaafay hayqqana gidayssada hayqqana, shin Asa Na7aa, aathi immiya uraa ayye. He uray yelettonna attidaakko iyaw lo77oshin” yaagis.
290e160088	Entti miishin, Yesuusi uythaa ekkidi, Xoossaa galatis; he uythaa menthidi, ba tamaaretas immishe, “He7ite, hayssi ta ashuwa” yaagis.
290e17004c	Xuu7aa ekkidi, Xoossaa galatidi, enttaw immin ubbayka he xuu7appe uyidosona.
290e180047	Yesuusi, “Hayssi ooratha caaquwan daro asaa gisho gukkiya ta suuthaa.
290e190082	Taani hinttew tuma odays; taani Xoossaa kawotethan ooratha woyniya uyana gallasay gakkanaw zaarada ha woyniyappe uyikke” yaagis.
290e1a0038	Mazmure yexxidaappe guye, Shamaho Deriya bolla bidosona.
290e1b009b	Yesuusi enttako, “Hintte ubbay tana yeggi aggidi baqatana; Geeshsha Maxaafay, ‘Xoossay dorssa heemmeyssa wodhana, dorssati ubbay laalettana’ yaagees.
290e1c0051	Shin taani hayqoppe denddidaappe guye, hinttefe kasetada Galiila baana” yaagis.
290e1d005b	Phexiroosi zaaridi, “Entti ubbay nena yeggi aggidi baqatikkoka, ta nena aggike” yaagis.
290e1e008e	Yesuusi Phexiroosakko, “Taani new tuma odays; hachchi qamma kuttoy nam77u toho waassanaappe sinthe neeni tana heedzu toho kaddana” yaagis.
290e1f0099	Shin Phexiroosi kaseyssafe minthidi, “Taani hari attoshin, neera issife hayqqiyakokka, nena kaddike” yaagis. Qassi harati ubbatikka hessada gidosona.
290e20008a	Geetesemaane giya bessaa bidosona; Yesuusi ba tamaaretakko, “Taani Xoossaa woossada simmana gakkanaw hintte hayssan uttishite” yaagis.
290e21005a	Yesuusi Phexiroosa, Yayqoobanne Yohaannisa baara ekkidi bis; daro waayettisinne un77ettis.
290e22005e	Qassi enttako, “Taani hayqqana gakkanaw azzanas, hayssan gam77ishite; dhiskkofite” yaagis.
290e23007c	Guuthi sinthe shiiqidi, sa7an gufannidi, dandda7ettiyabaa gidikko, he waayiya saatey baappe aadhdhana mela, Xoossaa woossis.
290e24008d	Qassi, “Abbaa, ta Aawaw, ubbabay new dandda7ettees, ha waaye xuu7aa taappe digga. Shin ne sheney hanoppe attin ta sheney hanoppo” yaagis.
290e25009f	Yesuusi ba tamaaretakko simmi yidi, entti dhiskkidashin demmidi, Phexiroosakko, “Simoonaa, dhiskkadii? Neeni issi saatekka barkkada naaganaw dandda7abiikkii?
290e260084	Paacen hintte gelonna mela barkkidi naagitenne Xoossaa woossite. Hinttew lo77o amoy de7ees, shin hintte daaburanchcho asi” yaagis.
290e27002b	Qassika bidi kaseyssadakka Xoossaa woossis.
290e28008b	Ba tamaaretakko guye simmidi yaa wode, dhiskkidashin demmis. Entta ayfiyaa dhiskkoy goozi wothida gisho, iyaakko ay odettiyakokka erokkona.
290e2900ab	Heedzantho enttako yidi, “Ha77i gakkanawukka dhiskkeetinne shemppetii? Hiza, gidana; saatey gakkis; be7ite! Asa Na7ay, nagaranchcho asatas aadhdhi imettana wodey gakkis.
290e2a0043	Denddidi yedhdhite; be7ite, tana aathi immanayssi gakkis” yaagis.
290e2b00da	Yesuusi hessa buroo odishin, tammanne nam77u iya tamaaretappe issoy, Yihudi, ellesidi gakki wodhdhis. Qassi kahine halaqati, higge asttamaaretinne cimati kiittin, bisonne xam77a oykkida daro asay iyara issife yidosona.
290e2c0081	Yesuusa aathi immanayssi he daro asaas, “Taani yeerey iya; iya oykkidi, loythi naagidi, ekki efite” yaagidi malla odi wothis.
290e2d0061	Yihudi gakki wodhdhida mela Yesuusakko shiiqidi, “Asttamaariyaw” yaagidi Yesuusa yeeri ekkis.
290e2e0021	He daro asay Yesuusa oykkidosona.
290e2f006d	Shin matan eqqidayssatappe issoy ba bisuwa shoddidi kahine halaqaa aylliya shocidi, iya haytha qanxidi holis.
290e30007e	Yesuusi zaaridi, he shiiqida daro asaakko, “Tana pangga kessidi, pangga oykkeyssada oykkanaw bisonne xam77a oykkidi yidetii?
290e310097	Taani Xoossa Keethan tamaarssashe, gallas gallas hinttera de7iya wode tana oykkibeekketa, shin Geeshsha Maxaafay gidayssi polettanaw bessees” yaagis.
290e320032	Iya tamaareti ubbay iya yeggi aggidi baqatidosona.
290e330049	Laxana xalaala ma77ida issi naatetha uray Yesuusa kaalleyssa asay oykkis.
290e340035	Shin he uray laxana yeggi aggidi, xire kallo baqatis.
290e350070	Asay Yesuusa kahine halaqaa soo efidosona. Yan kahine halaqati, cimatinne higge asttamaareti shiiqidi de7oosona.
290e360066	Phexiroosi kahine halaqaa zabbaa gakkanaw haahon iya kaalli bidi yan naageyssatara uttidi tama kayees.
290e370070	Kahine halaqatinne shiiqida asay ubbay Yesuusa wodhanaw iya bolla markka koyidosona, shin aykkoka demmibookkona.
290e380054	Daro asati iya bolla worddo markkattidosona, shin entta markkatethay issino gidenna.
290e3900e7	Issi issi asati denddi eqqidi Yesuusa bolla, “I, ‘Taani asi keexida ha Xoossa Keetha laallada, asa kushen keexettiboonna hara Xoossa Keetha heedzu gallasa giddon keexana’ gishin nuuni si7ida” yaagidi worddo markkattidosona.
290e3b0036	Gidoshin, entta markkatethay hessankka issino gidenna.
290e3c0083	Kahine halaqay asa ubbaa sinthan denddi eqqidi, “Hayssati nena mootiya mootuwas ne zaariyabay baawe?” yaagidi Yesuusa oychchis.
290e3d0088	Shin Yesuusi si7i gis; aykkoka zaaribeenna. Kahine halaqay, “Anjjettida Xoossaa Na7ay, Kiristtoosi neneyye?” yaagidi zaari oychchis.
290e3e008e	Yesuusi zaaridi, “Ee tana, hintte Asa Na7ay, wolqqaama Xoossaafe ushachcha baggara uttidashin qassi saluwa shaarara yishin be7ana” yaagis.
290e3f0043	Kahine halaqay ba ma7uwa peedhidi, “Nuna hara markka ay koshshii?
290e400083	Hintte iya cashshaa si7ideta; hintte qofay aybee?” yaagis. Entti ubbay, “I hayqqanaw bessees” yaagidi iya bolla pirddidosona.
290e4100b4	Enttafe issoti issoti iya bolla cutethi oykkidosona. Iya ayfiyaa goozidi baqqishe, “Nena dechchiday oonee? Ane nuus oda!” yaagidosona. Naageyssati iya ekki efidi garaafidosona.
290e42006d	Phexiroosi kahine halaqaa zabban garssa baggara de7ishin, kahine halaqaa macca aylletappe issinniya yaa yasu.
290e43006c	Phexiroosi tama kayeyssa be7ada, tishshi ootha xeellada, “Neenikka Naazirete Yesuusara de7aasa” yaagasu.
290e44008c	Shin Phexiroosi, “Ne geyssi aybeekko ta erikke, taw akeekettenna” yaagidi kaddis. Yaagi simmidi zago keyaa wode sohuwara kuttoy waassis.
290e45006a	He aylliya Phexiroosa be7ada, iya matan eqqida asatakko, “Ha uraykka enttara de7ees” gada zaara odasu.
290e4600ad	Shin Phexiroosi qassika kaddis. Guuthi gam77ishin, matan eqqida asati nam77antho Phexiroosakko, “Neeni Galiila biitta asi gidiya gisho tuma enttara de7aasa” yaagidosona.
290e47005d	Shin Phexiroosi, “Taani hintte giya uraa erikke!” yaagidi bana qanggethinne caaqo oykkis.
290e4800b8	Sohuwara kuttoy nam77antho waassi aggis. Phexiroosi Yesuusi iyaakko, “Neeni kuttoy nam77u toho waassanaappe sinthe heedzu toho tana kaddana” iyaakko gidayssa akeekidi daro yeekkis.
290f0100ae	Wontta guura ellesidi kahine halaqati, cimati, higge asttamaaretinne Ayhude shanggoti ubbay shiiqidi maqettidosona. Entti Yesuusa qachchi efidi Philaaxoosas aathi immidosona.
290f020069	Philaaxoosi iyakko, “Neeni Ayhudeta kawo?” yaagidi oychchis. Yesuusi zaaridi, “Ne gadasa” yaagis.
290f03002c	Kahine halaqati Yesuusa daroban mootidosona.
290f040079	Shin Philaaxoosi zaaridi Yesuusakko, “New zaariyabay baawe? Entti ne bolla ay mela mootuwa ehiyakko be7ikki?” yaagis.
290f05003d	Shin Yesuusi harabaa zaaronna ixxin, Philaaxoosi malaalettis.
290f060063	Philaaxoosas Faasika Baale bonchchiya gallasan asay koyaa issi uraa qashoppe billiya meezey de7ees.
290f070066	He wode issi Barbbaana giya uray ooshshaa kessidi shemppo wodhida asatara issife qasho keethan de7ees.
290f080049	Shiiqida daro asay Philaaxoosi kaseyssada oothana mela iya oychchidosona.
290f090064	Philaaxoosi asa zaaridi, “Taani hinttew Ayhudeta kawuwa billanayssa koyeetii?” yaagidi oychchis.
290f0a0052	Hessa I giday, kahine halaqati Yesuusa qanaattidi aathi immidayssa eriya gishossa.
290f0b0074	Shin kahine halaqati Yesuusa gisho Barbbaana billanaada, he shiiqida asay Philaaxoosa woossana mela asa maqqidosona.
290f0c004e	Philaaxoosi zaaridi, “Yaatin, ha hintte Ayhude kawo geyssa waato?” yaagis.
290f0d004d	Asay Philaaxoosa bolla waassidi, “Masqaliya bolla iya kaqqa” yaagidosona.
290f0e0090	Philaaxoosi asaakko, “Ays? I ay iitabaa oothidee?” yaagis. Shin asay kaseyssafe gujji waassidi, “Masqaliya bolla iya kaqqa” yaagidosona.
290f0f008e	Philaaxoosi asaa ufayssanaw koyidi, Barbbaana asaas billis; yaatidi lisson Yesuusa garaafidi, masqaliya bolla kaqqana mela enttaw aathi immis.
290f100077	Hessafe guye, wotaaddareti Yesuusa deriya haareyssa ooso keetha ekki efidi, hara wotaaddareta ubbaa issife xeegidosona.
290f110057	Qassi zo7o afilaa iya mayzidosona; aguntha kalachcha giigisidi, iya huu7en wothidosona.
290f120056	Hessafe guye, iyakko, “Ayhudeta kawuwaw mirinaw kawota” yaagidi, iyaw ziggidosona.
290f13005c	Iya huu7iya xam77an shoccidosona; qassi iya bolla cuttidosona; gulbbatidi iyaw goynnidosona.
290f14007e	Iya toochchidayssafe guye zo7o afilaa iyappe qaari ekkidi, iya afilaa iya mayzidi masqaliya bolla iya kaqqanaw ekki efidosona.
290f150095	Entti bishe, Iskkinddirenne Rufosa aawa, Simoona giya Qerena biitta asi, gaxareppe katama yeyssara gahettidi, Yesuusa masqaliya wolqqan toossidosona.
290f160063	Yaatidi Golggotta giya bessaa Yesuusa efidosona. “Golggotta” guussay “Huu7e guugge” guussu.
290f170069	Sakoy si7ettonna mela karbbe giya dhaley walakettida woyne uyo gidi iyaw immidosona. Shin I uyonna ixxis.
290f180069	Entti masqaliya bolla iya kaqqidosona. Oona aybi gakkaneekko gidi iya afilaa shaakkidi saama yeggidosona.
290f19003d	Entti masqaliya bolla iya kaqqiya wode wonttafe heedzu saate.
290f1a004b	Entti, “Ayhudeta kawuwa” yaagidi iya mootiya xuufe xaafidi wothidosona.
290f1b0078	Yesuusara nam77u panggata issuwa iyappe ushachcha baggara hankkuwa iyappe haddirssa baggara masqaliya bolla kaqqidosona.
290f1c0055	Geeshsha Maxaafay, “Iitabaa oothida asatara I paydettis” geetettidayssi polettis.
290f1d00a1	Ogiyara aadhdhiya asay Yesuusa kadhidi, bantta huu7iya qaathiddi cayidosona; “Hekko! Xoossa Keetha laallada heedzu gallasa giddon keexeysso, ne huu7iya ashsha;
290f1e002d	ane masqaliya bollafe wodhdha” yaagidosona.
290f1f0084	Hessadakka, kahine halaqati higgiya tamaarsseyssatara issife Yesuusa toochchidi, “Harata ashshis, shin bana ashshanaw dandda7enna;
290f2000be	nuuni be7idi ammanana mela Kiristtoosi, Isra7eele Kawoy, ane masqaliya bollafe ha77i wodhdho” yaagidosona. Qassi hari attoshin, iyara masqaliya bolla kaqettidayssatikka iya toochchidosona.
290f210045	Usuppun saateppe doomidi, uddufun saate gakkanaw biitta ubbay dhumis.
290f2200a7	Uddufun saatiyan Yesuusi ba qaala dhoqqu oothidi, “Elohee, Elohee, laama sabaqitani?” yaagis. Hessa guussay, “Ta Xoossaw, ta Xoossaw, tana ays aggadi?” guussu.
290f230054	Hessan eqqida asappe issoy issoy hessa si7idi, “Hekko, Eliyaasa xeegees” yaagis.
290f2400cb	He asappe issoy woxxidi, ispponjjen caala woyne kunthis; hessa xam77a xeeran wothidi, “Naagite; Eliyaasi masqaliyappe iya wodhisanaw yaanekko ane be7oos” yaagidi Yesuusa doonaakko ushshanaw shiishis.
290f250030	Yesuusi ba qaala dhoqqu oothi waassidi, hayqqis.
290f26005b	Xoossa Keethan kaqettida magaraajjoy qommofe duge gakkanaw, nam77u keyidi daaketi wodhdhis.
290f27008b	Masqaliyappe sintha baggara yan eqqida issi mato halaqay, Yesuusi waanidi hayqqidaakko be7ida wode, “Ha uray tuma Xoossaa Na7a” yaagis.
290f280095	Hessa haahon eqqidi be7iya guutha maccasati de7oosona. Entta giddon Magdela Mayraama, kaaluwa Yayqoobanne Yoosa aayiya Mayraamanne Salooma de7oosona.
290f2900a0	He macca asati Yesuusi Galiilan de7iya wode iya kaallidayssatanne iya mokkidayssata qassi Yesuusara issife Yerusalaame bida hara daro macca asati yan de7oosona.
290f2a012c	Sa7ay omarssida wode, shiiqida asan bonchchettida Ayhude shanggotappe issoy, Yoosefa giya uray, Xoossaa kawotethay yaanayssa naagishe de7eyssi, Armmatiyasa katama asi de7eyssi yis. Wonttethe Sambbaatas giigettiya gallas gidida gisho, Yoosefi minnidi Philaaxoosakko bidi, Yesuusa ahaa ekkanaw woossis.
290f2c007d	Philaaxoosi Yesuusi hayqqidayssa si7ida wode malaalettis; mato halaqaa xeegidi, “I hayqqidi gam77idee?” yaagidi oychchis.
290f2d0050	Philaaxoosi Yesuusi hayqqidayssa mato halaqaappe si7idi iya ahaa Yoosefas immis.
290f2e00bd	Yoosefi moogo afila shammis; Yesuusa ahaa masqaliyappe wothidi, afilan xaaxidi, shuchchafe woocettida duufo giddon iya aha moogis. Qassi he duufuwa doonan gita shuchchu gonddorssidi wothis.
