2a00000004	Iluk
2a031e0095	Ilevi ngɛ ni ɔnɔ Isimiyon, Isimiyon ngɛ ni ɔnɔ Iyahuda, Iyahuda ngɛ ni ɔnɔ Isufu, Isufu ngɛ ni ɔnɔ Ijonam, Ijonam ngɛ ni ɔnɔ Iliyakim,
2a031f009b	Iliyakim ngɛ ni ɔnɔ Imeleya, Imeleya ngɛ ni ɔnɔ Imenna, Imenna ngɛ ni ɔnɔ Imattata, Imattata ngɛ ni ɔnɔ Inathan, Inattata ngɛ ni ɔnɔ Idouda,
2a0320008b	Idouda ngɛ ni ɔnɔ Ijesi, Ijesi ngɛ ni ɔnɔ Obed, Obed ngɛ ni ɔnɔ Iboaz, Iboaz ngɛ ni ɔnɔ Isalmon, Isalmon ngɛ ni ɔnɔ Inashon,
2a03210094	Inashon ngɛ ni ɔnɔ Amminadab, Amminadab ngɛ ni ɔnɔ Iram, Iram ngɛ ni ɔnɔ Ihezron, Ihezron ngɛ ni ɔnɔ Iperez, Iperez ngɛ ni ɔnɔ Ijuda,
2a03220091	Ijuda ngɛ ni ɔnɔ Iyakubu, Iyakubu ngɛ ni ɔnɔ Ishaku, Ishaku ngɛ ni ɔnɔ Ibraim, Ibraim ngɛ ni ɔnɔ Iterah, Iterah ngɛ ni ɔnɔ Inabor,
2a03230089	Inabor ngɛ ni ɔnɔ Iserug, Iserug ngɛ ni ɔnɔ Ireu, Ireu ngɛ ni ɔnɔ Ipeleg, Ipeleg ngɛ ni ɔnɔ Iber, Iber ngɛ ni ɔnɔ Ishelah,
2a0324008d	Ishelah ngɛ ni ɔnɔ Ikɛnan, Ikɛnan ngɛ ni ɔnɔ Arfaza, Arfaza ngɛ ni ɔnɔ Ishem, Ishem ngɛ ni ɔnɔ Inuu, Inuu ngɛ ni ɔnɔ Ilamek,
2a03250098	Ilamek ngɛ ni ɔnɔ Imetusela, Imetusela ngɛ ni ɔnɔ Enok, Enok ngɛ ni ɔnɔ Ijared, Ijared ngɛ ni ɔnɔ Imahalale Imahalale ngɛ ni ɔnɔ Ikɛnan,
2a0326006c	Ikenam ngɛ ni ɔnɔ Enosh, Enosh ngɛ ni ɔnɔ Iset, Iset ngɛ ni ɔnɔ Adamu, Adamu ngɛ ni ɔnɔ Ʊnʊng.
2a04010074	Iyesu shere ugro Ijodan ngɛ, ekǝ tirɛ ni Ʊring Ʊshisha, ɛkǝri Ʊring Ʊshisha ka kpara ngɛ kyaa idɔɔ rumo.
2a04020091	Bi ʊpʊrha wɔ Ishari ka marha ngɛ bi idɔɔ awri isi narhi. Bi idɔɔ awri dang akyana raa iririma, kyeba ba akurha ngɛ ihywunw ka kpin ngɛ.
2a0403005a	Ishari kasani ngɛ ni, “Uboshoo ɔnɔ Ʊnʊng sani ʊtari wen ni utere oshoo ʊmʊra.”
2a0404007e	Iyesu ko yoro ngɛ asani, “Ɔwori bidɔɔ ʊyaa ʊsha Ʊnʊng asani: ‘Saa ni ʊmʊramɔɔ eyeyimo orokru nʊ gya ba.’”
2a0405006d	Ishari ka kpara Ngɛ ke kya opyo owro sini ani ayaya bi ukro kǝyen Ngɛ kukum igumo eyesing ba anakywa naji.
2a04060073	Ishari kasani ngɛ ni, “Inu manw kukum ikrʊ kǝni igyang mo kukum. Amam yo kǝnawo ini shu ma arʊ sini iwa maa.
2a0407002f	Ubo kpukporo ɔdɔm, inu shoo inwɔ nokukum.”
2a0408008b	Iyesu kǝ yoro ngɛ asani, “Shinɛ ben Ishari kii ɔwori bi idɔɔ iring Ʊnʊng ni: ‘Ete ngɛ eyeyie ʊnʊ kpukporo asaa ʊtina.’”
2a04090099	Ishari ka kpara ngɛ kya Urushelima aka saa utiting kya ayaya ubyen Ʊnʊng, ka sani ɛngɛɛ ni, “Uboshoo ɔnɔ Ʊnʊng, funo baw upen kekya ibʊng”
2a040a0052	Kii ɔwori bi ʊyaa ʊsha Ʊnʊng ni: “Anu ma atina ngɛ bekai nwu aki asha nwu,
2a040b0036	Anu konw ni ivumo, aki ubekya ogyo ifraa bi ʊtari.”
2a040c004b	Iyesu ko yoro ngɛ, kasani, “Asini: ‘Bekya marha Ete Ʊnʊng nwu.’”
2a040d0058	Akywa sini Ishari kweri ʊmarha ngɛ aka shere ngɛ kekya opyo akywa sini anu pen apara.
2a040e0071	Iyesu ko sɔɔ ngɛ bi Igalili ɛtirɛ ni ikrʊ Ʊring Ʊnʊng. Ɛkǝri ʊring ngɛ ka fwa kukum apya ʊkʊkǝri.
2a040f003d	Aka sʊmɛr mo bi owro utuno Ayaudiya ikuyang kɔ dɔɔ ngɛ.
2a041000b1	Iyesu ka kya bi idɔɔ Inazaret apyang sini asi ɔkɔng ngɛ. Oshoo awri uwuro Ayaudiya aka raa idɔɔ owro utuno Ayaudiya kǝni sini ɛrɛn ʊsirha ni. Ekǝ shinɛ awaw ʊpara,
2a0411006e	Ʊyaa ʊsha Ishaya arʊ pɛrɛ onuo Ʊnʊng ʊmi sini amie. Nisini akʊ shireyo, oko rong owro sini ɔwori ni:
2a041200f4	“Ering Ete ni bayam, kii akarha akyu worom aki iya tana iring ididima eberi ara ayarha. Atumim itana arʊ sini afrimo bi ʊbɔrʊ eting aki epen ʊgya aki arʊ sini ani ofow epen urong, aki arʊ sini aku rong ayarha bi ivʊ orokru epen ʊgya,
2a04130043	Ojo tumam itana ni akywa fwa sini Ete nʊ sa arʊɔ ne nɛgbɛn.”
2a0414008e	Okɔ guno ɛkǝri ʊyaa ʊsha, ka nawa ɔnɔ ʊtina ɛkǝri owro utuno Ayaudiya ka kiki. Ikra orokru kukum bi ɛkǝri owro utuno ini bi owroo.
2a0415004a	Oko shoo ngɛ ʊtana moni, “Ɛchiyɛ iring Ʊnʊng tirɛ ba atungnyi.”
2a04160092	Kukummo ekǝ pɛrɛ ʊring ʊdʊdʊma bi ikywie kǝ jijire ngɛ ni ʊring sini ukuni bai idɔɔ onuo oko gyurho ni, “Sa ɔnɔ Isufu ngɛ wee?”
2a041700b6	Iyesu kasani mo ni, “Ikpɛrhi ngɛ ni nyi nʊ tanam igbra yen: ‘Avʊwa ikang ma ʊkanw ikrʊ!’ Inyi nʊ tanam, ‘Sa ben ba apyanw imi sini arʊ kung ʊsi bi Ikafarnahum.’”
2a0418006a	Oko shoo ngɛ ni ʊsani, “Itaniny ʊbrʊbrʊwɔɔ, arʊ tana onuo Ʊnʊng ene pen ngɛ ʊyirha ba apyaa.
2a041900ce	Iku tanany ʊbrʊbrʊwɔɔ ani erere sini ɛrimɛ mo kpomo agbugbrii bi Isrela ba akywa Iliya, akywa sini afri ayaya akarha avra ʊkpaa ɛnyɛɛ atarʊ ni uting ngɛ, akai ihywung ka kpaa be ɛkǝri ibʊng.
2a041a0093	Ʊnʊng kyana tuma ngɛ Iliya ngɛ eye she ararumo ngɛ ba, yip Ʊnʊng katuma ngɛ kekya owro erere sini ɛrimɛ ngɛ kpoo bi Izarifa bai Isidɔn,
2a041b00aa	kǝnawo arʊ udumo ʊkɔngnuwo napany bi Isrela ba akywa Elisha arʊ tana onuo Ʊnʊng, bi kǝn Ʊnʊng na ma ararumo ikrʊ, Inaaman ari Isiriya ngɛ eyeyie ami ikrʊ.”
2a041c0063	Akywa sini kukum orokru sini anu owro utuno Ayaudiya akung imi sini Iyesu peri, akata anang nagang.
2a041d0092	Ekǝ shinɛ ɔwɔɔ kya utumo apya okoo kya aya ʊtʊng ʊvra sini avuri ɛkǝri apya ngɛ kii ɛwɛi ʊtaa ivʊ ɛfɛn ni ikywirhikywi aki okpoo.
2a041e002d	Yip aka sara bidɔɔ ushi orokru ekyeng kyaa.
2a041f006c	Iyesu kǝ kyeng shuro ngɛ kyaa Ikafarnahum bidɔɔ apya Igalili, akasʊ mɛr orokru bi awri uwuro Ayaudiya.
2a04200040	Orokru kǝ jijire ni ʊmɛr ngɛ, kii ʊring ngɛ ni ikrʊ ngɛ.
2a04210062	Bidɔɔ owro utuno Ayaudiya opyo orokru nuwo sini ering ishari rii ngɛ. Aka taa akpa ayaya asani,
2a0422008e	“Shere arʊ, Iyesu ari Inazaret! Ʊwɛi ikying ni arʊ? Ʊbii ʊwaa ʊpɛrɛ arʊ? Ikperhi ʊni iyaa. Ʊnwʊɔ ʊni ami Ʊnʊng Ʊshisha!”
2a042300be	Iyesu ka tana ɛkǝri ʊring ubibi ʊraa ngɛ asani, “Shywi, kuno eshire ngɛ!” Ikpara dang ɛkǝri ʊring ishari ko gyo ɛkǝri orokru bi ibʊng be itemo kukum ko kuno wo bau saa unuru.
2a04240084	Kukum orokru ka jijire kasu sani opyomo, “Akina edei ʊring yo ni kǝn? Ni igumo kǝni ikrʊ atani ering ebebi okuno ekǝ kuno!”
2a04250057	Orokru ka su pɛrɛ ʊring sini Iyesu si ɛkǝri ʊring ka fwa kukum apyang ʊkʊkǝri.
2a042600a6	Iyesu sheri owro utuno Ayaudiya ngɛ aka kyeng kya ʊna Isimon. Akywa dang akwa kyerhe Isimon saa akru inama ngɛ kasi ipi nagang, ɔkɔ sɔrhɔ Iyesu ni ɛshɛ ngɛ.
2a0427009c	Iyesu ko kpukporo bayaa katana ɛkǝri udumo ni ushere ngɛ, ɛkǝri udumo kǝ shere ngɛ. Ba kywakywa dang ɛkǝri erere kǝ shinɛ akpin ukɛnemo ʊmʊra.
2a04280087	Akywa sini ʊnʊng ku raawo, orokru ko kuro ni kukum ari idumo ededei ba owro Iyesu. Aka saa avu baya kukina arʊ udumo aka mamo ikrʊ.
2a042900b1	Ʊshari ko kuno bi idɔɔ orokru napany asu takpa asani, “Ʊni Ɔnɔ Ʊnʊng ngɛ!” Iyesu katana moni ashwi akarhamɔ ngɛ ʊpya onuo, kii ekperhi asani ɛngɛɛ ni Ikristi.
2a042a00aa	Ni ʊbʊyɛrɛ ikywa Iyesu kǝ kyeng kya owro sini ani akpʊkpring. Orokru kasu pyerhe ngɛ akywa sini abi bo owro sini ɔnuo, oko sɔrhɔ ngɛ ani ebekya kyaa eshere mo.
2a042b007d	Iyesu ka sani mo ni, “Itɔɔyo Inu tana iring ididima igumo Ʊnʊng ki opyo apya kamo, kii imi sini Ʊnʊng tumim nyina.”
2a042c0056	Oko suno ngɛ ʊtana ʊring Ʊnʊng bi idɔɔ owro utuno Ayaudiya bi ibʊng Iyahudiya.
2a05010070	Upyu ʊnʊng sini Iyesu titing bi ikwo irɔng Ijennesaret orokru ko tuno ekǝkǝri ngɛ asu kung ʊring Ʊnʊng.
2a0502005b	Iyesu ko rong ɔgɔrʊ omung apari bo onuo omung arʊ abran sheriyo akyamo ukurho ukǝlimo.
2a050300b9	Iyesu ka raa bidɔɔ ʊgɔrʊ uying ʊmi Isimon ka sɔrhɔ ɛngɛɛ ni a taa avu ngɛ naji bau ʊtʊng ibʊng. Ikpara dang Iyesu ka kiki kasu mɛr orokru bidɔɔ ɛkǝri ʊgɔrʊ omung.
2a05040096	Akywa sini ɛkywɛri ʊpya onuo aka sani Isimon ngɛ, “Ojoying ni ɛkǝri ʊgɔrʊ omung kyaa owro sini ani ikwoo ngɛ efer ukǝli akpin utofuru.”
2a0505007b	Isimon ko yoro, “Avʊwa, arʊ sa ʊtʊna nagang kukum ating baw ʊkpin iririma. Uba sani kǝna Ini fen ɛkǝri ukǝli.”
2a05060046	Ni sini asi kǝna, aka kpin otofuru napany sini ukǝli mo kasu garamo.
2a05070093	Aka yirha orobyomo sini ani ʊwan ʊgɔrʊ omung ni ivu ni aba ɛshɛmɔ ngɛ, aka ba ɛtirɛ ɛkǝri ɔgɔrʊ apapari ɛtitirɛ sini atʊ mirimɔ.
2a0508007f	Akywa sini Isimon Ibitrus rii kǝn aka kpaa okpukporo ni orung bi ite Iyesu ka sani, “Kyanw eshirem, Ete; Ini arʊya ngɛ!”
2a0509003d	Kii Ingɛɛ kǝni orobyoo ejijire ni akai otofuru sini akpin,
2a050a00ab	kǝnawo Iyakubu kǝni Iyohana, ɔnɔ Izebedi, orobyoo ʊtina Ibitrus ejijire ngɛ kamo. Iyesu kasani Isimon ni, “Bekya kung Irung, bai kaimen men ʊni kpir orokru mo.”
2a050b0053	Aka wara ɔgɔrʊ omung mo ba bi ʊvra ibʊng, kǝshere kukum ʊmamɔ ko kroo ngɛ.
2a050c00c3	Akywa sini Iyesu ni bi idɔɔ opyo apya, opyo orokru ka ba arʊ sini udumo ʊkɔng koo. Ni sini erii Iyesu ngɛ aka kpaa ni itirite be ibʊng, ɔkɔ sɔrhɔ ngɛ, “Ete, uba yoro ʊmam ikrʊ.”
2a050d0079	Iyesu ka naa avu apya ɛkǝri orokru asani, “Iyoro, sa akrʊ.” Akywakywa dang ɛkǝri udumo ʊra owro kǝ shere ngɛ.
2a050e00b6	Iyesu kɔ wɔɔ atʊng asani “Bekya atana araru. Kya eyeyen ʊkanw eberi ogoku ubyen Ʊnʊng, ama ikara kǝni sini Imusa tii ogro ni imu kurho,” Inyina nuyen mo asani upen ikrʊ.
2a050f0077	Ʊring sini asi ka fwa ko kyu ubee bi idɔɔ anakywa, sini eshi orokru ka ba ʊkʊngwɔ adarha upen ikrʊ bai idumo mo.
2a05100043	Iyesu rɛn ukyaa owro sini orokru samɔ ngɛ aya ɔsɔrhɔ Ʊnʊng.
2a051100d6	Ʊpyu Ʊnʊng sini Iyesu ku mɛr, opyo Afarisiya kǝni avʊwa ʊmɛr ogro Imusa onuo akiki burha. A bi bai kukum apyang Igalili kǝni Iyahudiya adarhi Urushelima. Ikrʊ Ete ni kǝni Iyesu ngɛ imu ma arʊ ra ikrʊ.
2a05120068	Opyo orokru ko kong arʊ ʊra ba ba aya aban aka waw ʊraa ne ngɛ bidɔɔ ʊna ayara ngɛ bi ite Iyesu.
2a051300c6	Ni sini enepenmo ʊtʊra ʊsakǝna bekai ushi orokru, aka kirhamo ni ɛngɛɛ baya ʊbɔrʊ ka ta igara bi ʊsɔrɔ oko shuro ni ɛngɛɛ bi aya aban ngɛ abarating ushi orokru itituku bi ite Iyesu.
2a05140068	Ni sini Iyesu rii ʊma ʊbrʊbrʊmo. Aka sani ɛkǝri arʊ ʊra ni “Orokyorom apʊnanw ʊyanw ngɛ.”
2a051500cd	Ɛkǝri Afarisiya kǝni Avʊwa ʊmɛr ogro Imusa kasu wɔrɔfo bi idɔɔ opyomo ni, “Iyaa we aku pya onuo kǝni ʊtira ngɛ ni? Iyaa nʊ bra ʊpʊna ʊya ngɛ? Yip Ʊnʊng ngɛ eyeyie amaa ʊsa kǝna.”
2a05160069	Iyesu kperhi ʊwɔrɔfomo ngɛ oko gyurho mo asani “Ikisi nyi ku wɔrɔfo ʊring men bi idɔɔ ikywiny?
2a05170060	Ikinayo isayo iraa ʊpɛrɛ, asani: ‘Apʊnanw ʊyanw ngɛ,’ kii asani, ‘Shinɛ a kyanw?’
2a051800c6	Yip Iwei ni nyi kperhi ngɛ asani ɔnɔ orokru ni ikrʊ ʊpʊna ʊya ngɛ bi eyesing.” Ni kǝna akasani ɛkǝri arʊ ʊra sini anabraa ukyeng, “Itananw, shinɛ, akpara aban nwu akyanw ʊduna.”
2a05190068	Akywakywa dang ekǝ shinɛ bi itemo, ka kpara ima ʊsʊ yari ngɛ ka kyaa ʊduna asu dɔɔ Ʊnʊng ngɛ.
2a051a0080	Kukum orokru kǝ jijire kasu dɔɔ Ʊnʊng ngɛ. Aka kung irung ngɛ nagang asani, “Arʊ rong ʊʊma ujijire ededei echiye.”
2a051b00b2	Kǝ kywɛrɛ kǝna Iyesu ka kyaa esing ko rong arʊ yirha ogon sini a yirhi ʊtʊwa ngɛ ni Ilevi akiki bi ʊbɔrʊ ʊyirha ogon ngɛ Iyesu kasani ɛngɛɛ ni, “kroomi ngɛ.”
2a051c002f	Ilevi kǝshine, eshere ʊʊma kukum okroo ngɛ.
2a051d0087	Ilevi kǝ kyene Iyesu ngɛ ipara irirɛ bi idɔɔ ʊnaa, ushi arʊ yirha ogon ʊrʊrɛ kǝni opyoo arʊ kasu ra ʊmʊra kǝni omo ngɛ.
2a051e00ab	Yip Afarisiya kǝni avʊwa ʊmɛr ogro Imusa ka yen uwure mo bi ikywi ɔnɔ ʊmɛr Iyesu ni, “Ikisi inyi ku ra ʊmʊra asu sa kǝni arʊ yirha ogon adarha arʊya men?”
2a051f007b	Iyesu ko yoro mo, “Arʊ sini anakru ana waa ngɛ Avuwa ʊʊma ikang, arʊ sini asaa akrʊ ngɛ ɛwɛi avuwa ʊʊma ikang.
2a05200054	Ise bam ʊyirha arʊ sa nɛgbɛn, ibii ʊyirha arʊya aki etere eshere ʊya ngɛ.”
2a052100aa	Opyoo orokru kasani Iyesu ngɛ ni, “Ɔnɔ ʊmɛr Iyohana akirhi ukusoro kǝni ʊsɔrhɔ Ʊnʊng kǝnawo ɔnɔ mɛr Afarisiya. Yip ɔnwɔ karana asu ra kǝni ʊsawɔ?”
2a05220076	Iyesu ko yoro mo kasani “Inyi nʊ sa orokyoro arʊ sini owo lorho ubara ukusoro arʊ lorho ubara shoo kǝni ɔmɔɔ?
2a0523006d	Yip akywa yeba ba sini anu kpara orokru sini owo lorho ubara ngɛ baa owromo; ba awri dang moo anu kusoro.”
2a052400e2	Iyesu ka tana mo ushosho wen: “Baa arʊ sini anu gara ʊtʊgbɛ bi igbɛ isa onuro bi ititɛn. Arʊ sini abasa kǝna, anu bura ɛkǝri igbɛ isa ngɛ, kǝnawo ɛkǝri ʊtʊgbɛ bai igbɛ isa ʊnasu kyawo igbɛ iteny ngɛ ba.
2a052500bc	Kǝnawo baa ararʊ sini anu tere asira bidɔɔ obom ʊwɔwsɛtɛng. Aba sakǝna asira nʊ vɛrhɛ ɛkǝri obom ʊwɔw ɛtɛng ngɛ. Ɛkǝri asira nu kuno mo ɛkǝri obom ʊwɔw nʊ burayo.
2a0526004f	Itɔɔyɔ akʊna asira bidɔɔ obom ʊwɔw ʊsa kǝnawɔ kukum mo nʊ ki akrʊ.
2a05270071	Kǝnawɔ ba arʊ sini ɛbɛ kwɛrɛ ʊsa asira ɛtɛng anʊ waa ʊsa asa, kii asi ni, ‘Ɛtɛng ni agyang.’”
2a060100a0	Opyo awri uwuro Ayaudiya Iyesu kǝni ɔnɔ ʊmɛr ngɛ akasʊ wɔrɔ bi idɔɔ abya ogro, ɔnɔ ʊmɛr ngɛ kasu hywurha akywi ogro ekǝ wrem ikiri ngɛ asu ra.
2a06020062	Opyo Afarisiya ko gyurho, “Ikisi inyi kusa imisini isayo nɛmɛr ni ogro awri uwuro Ayaudiya?”
2a0603006e	Iyesu ko yoro mo kasani, “Inyi se parany imisini Idouda si bakywa sini ingɛɛ kǝni orobyoo akʊng ihywung?
2a06040094	Arii Ʊna Ʊnʊng ka kpara agbankrɔ imu pupuna, aka ra imisini isayo nɛmɛr, ogoku ubyen Ʊnʊng ngɛ eyeyie nushu ʊra, kojo ma orobyoo ipyoo.”
2a06050047	Iyesu ka tanamo ni, “Ɔnɔ orokru ngɛ ni Ete awri uwuro Ayaudiya.”
2a06060074	Bo opyo awri uwuro Ayaudiya Iyesu kakya owro utuno Ayaudiya kasu mɛr, opyo orokru sini avu amu raa rhie shoo burha.
2a060700a2	Afarisiya kǝni avʊwa ʊmɛr ogro Imusa nuwo akʊ roo asu yara ngɛ, orong kii anu ma ɛkǝri arʊ ra avu ikrʊ ʊnʊng uwuro Ayaudiya aki imo kpin ngɛ ni ʊya.
2a0608007d	Iyesu kperhi ʊwɔrɔfomo ngɛ aka sani ɛkǝri arʊ ra avuni, “shinɛ aba atiting bi ite ben.”Ekǝ shinɛ atiting burha.
2a060900b9	Iyesu ka sani ɔmɔ ni, “Iwɛi ugyurhony, ikimɔyɔ ogro Imusa tani arʊ, arʊ sa imisini inɛmɛr awri uwuro Ayaudiya? Asa ima ididima kii ima ibibi? Asa oforo ofo kii abura ngɛ?”
2a060a0085	Oko gyo ikra asu rongmo kukum, aka sani ɛkǝri arʊ ra avu ni, “Naa avunw.” Aka naa, avuɔ kasa akrʊ kǝni ushoyo ba akywaa ni.
2a060b0084	Ekǝri Afarisiya kǝni avuwa ʊmɛr ogro ka kung anang ngɛ nagang, oko sunomoo ʊpɛrɛ ni opyoomo ani ikimoyo imo nusa Iyesu ngɛ.
2a060c0080	Upyu ʊnʊng bi idɔɔ awri dang Iyesu ka kyaa ʊsɔrhɔ Ʊnʊng ki aya ukro, aka kpara eting okokuro akʊ sɔrhɔ Ʊnʊng ngɛ.
2a060d0072	Ni sini ikywa yeri aka yirha arʊ kroo ngɛ, ko woro arʊ atarhi na apari bi idɔɔmo aka yirhamɔni ɔnɔ ʊmɛr.
2a060e0078	Ʊpya atina ngɛ ni Isimon (arʊ sini ayirhi ngɛ ni Ibitrus), arupyaa Andirawus, Iyakubu, Iyohana, Ifilibus, Ibatalomi,
2a060f0059	Imatiyu, Itoma, kǝni Iyakubu, (ɔnɔ Ihaifa), Isimon arʊ sini ani arʊ waa ibʊng ngɛ,
2a0610005a	kǝni Iyahuda (ɔnɔ Iyakubu) kaba darha Iyahuda Iskariyoti (arʊ sini agbuni Iyesu ngɛ).
2a061100ef	Iyesu kata shuro ngɛ kǝni ɔmɔ kaya atiting bi opyo owroo sini asi neterh, ɔnɔ ʊmɛr ngɛ kukum kǝni akai orokru bai kukum owro bi Iyahudiya, kǝni Urushelima, kǝni a marha Ibung Itaya kǝni Isidɔn arʊ sini ani bi onuo ugro ʊrɛ
2a0612006c	Abii awa ba kuwɔ epen ikrʊ bai idumo ededei sini iku wuremo. Arʊ sini ering ebebi kuwuremo ma epen ikrʊ.
2a0613006c	Kukum orokru kasu sunomo ngɛ ʊwaa ʊpya Iyesu ngɛ kii ikrʊ kusu kuno bai owroo kasu mamo ikrʊ kukum mo.
2a06140074	Oko kong ɔnɔ ʊmɛr ngɛ ikra ka sani, “Ʊnʊng tany onuo adadʊma inyi ara ayarha, kii igumo Ʊnʊng ni inyiyo.
2a061500ac	Ʊnʊng tany onuo adadʊma inyi arʊ sini inyi kʊng ihywunw kaimen men, kii inyi nʊ ra oshuro. Ʊnʊng tany onuo adadʊma inyi arʊ su utei kaimen men, kii inyi nʊ sina.
2a06160084	Onuo adadʊma ni enyi, akywa sini orokru tirimɔ nyi, okyony bi itung, atirany ayirha ʊtʊwa nyi ere etetingmo, Bekai ɔnɔ orokru.
2a0617008b	“Inyi sumɛ ʊnʊng dang ofuno ni ɛmɛ kii ʊkara nyi ni ʊgrɔɔ bayaya, kii kǝnawo ɛkpɛrimɔ si ni arʊ tana onuo Ʊnʊng bai itee.
2a0618005b	“Yip okwo ne nyi arʊ shoo ni ima avu ngɛ, kii inyi kywɛrɛ ʊkʊng ididima kaimen men.
2a06190092	Okwo ne nyi arʊ sini inyi ra oshuro kaimen men, kii ihywunw nʊ rany. Okwo ne nyi arʊ su sina kaimen, kii inyi nʊ tei kǝni ʊbʊra ikywi ngɛ.
2a061a008a	Okwo ne inyi ikpara sini orokru kukum ku tana ʊring udidima bi ikywiny, kii kǝnawo ekperimo si ni arʊ pɛrɛ onuo Ʊnʊng upre eteting.
2a061b007b	“Yip kyeba eberi nyi arʊ sini inyi ku kung isini: Inyi waa arʊ sini atirimo nyi, asa arʊ sini ana waamɔ nyi nɛgbɛn.
2a061c006f	Yip arʊ sini ating onuo ebebi, inyi tamo onuo adadʊma arʊ sini akʊ sanw ibibi inyi sɔrhɔ Ʊnʊng bekaimo.
2a061d0080	Araru ba gyong bi uwen ʊtama utere ngɛ ʊwan ʊtama kawo. Araru ba kparanw igbɛ irɛ ngɛ bekya karha ngɛ ni imi dɔɔ ngɛ.
2a061e005f	Arʊ sini ɔbɔ sɔrhɔnw ʊmaa, arʊ sini aba kparanw iririma, bekya sani ngɛ ni ojuro amanw.
2a061f001a	Ima sini ʊwɛi ni orokru.
2a06200060	“Ikimoyɔ unupen ʊba waa arʊ sini ɛwɛinwʊ mɔ ko arʊya sa waa arʊ sini ɛwɛimɔ kamɔ.
2a06210071	Iboshoo arʊ sini a sanw nɛgbɛn mo ʊnʊ samɔ nɛgbɛn ʊsa kǝna nʊ manw iking? Kǝnawɔ arʊya sirhi kamɔ.
2a062200c5	Bushoo arʊ sini inyi ku ʊtira ikywi anushe ʊkpʊrany mo inyi ku mamo ita, ikimoyo inyi nupen bi sakǝna, kǝnawo ere eteting sema arʊya ʊta kǝni ʊkpɛrhi ngɛ asani anu kpura mo napʊpʊrhi.
2a062300fd	Inyi waa arʊ sini ana waamɔ nyi, inyi samɔ nɛgbɛn, inyi mamo ʊta, oworo ikywiny ngɛ. Ikpara dang inyi nʊpen ʊkara nyi napany baa ayaya, inyi nu shoo ɔnɔ Ʊnʊng Ayaya, kii Ʊnʊng ni ari agbagba ngɛ eberi arʊ na sirhi ija kǝni ari eteting.
2a06240035	Inyi kung okwo kǝni sini Ɛkpɛriny ni okwo ngɛ ni.
2a062500af	“Bekya kywa ararʊ iring, kii anasu kywamo nwu iring. Inyi bekya sani ararʊ ni aya, inyi kany anasʊ samɔni inyi ya, inyi pʊna ʊya orokru ngɛ, anu pʊna unyi ngɛ kany.
2a062600b4	Ma orokru Ʊnʊng nʊ maunw kanw ɛtitirɛ isong ojujuro ojo sanw ngɛ isu nirayo, anu sha ʊparha ɛshɛɛ akwunanw bi ivʊ. Kii isɔng sini ʊmarhi ngɛyɔ anʊ marhanw niyɔ.”
2a06270059	Iyesu ka tanamɔ ushosho wen ofow nuyen ofow itira? Apaparimɔ naw kpaamɔ kidɔɔ igara?
2a0628005c	Ɔnɔ ʊmɛr ne pri ngɛ avuwa, arʊ sini abakya mɛr nashisha anu shoo kǝni avuwa ngɛ ni.
2a06290063	“Ikisi uku rong isu sini ini bi ikra arupyanw. Yip uyuronwoo ni ukumo ʊshi sini ʊni bi ikraunw?
2a062a012c	Ʊnʊ sanenyewo ka sani arupyanw ni ‘Arupya, ting aki iworonw isu bi ikraunw,’ ekwere sini ʊnwɔ ʊnabranw urong ukumo ʊshi sini ʊni bidɔɔ ikraunw? Inyi arʊ pre eteting, inyi woro ukumo ʊshi sini ʊni bidɔɔ ikrany noru orong owro nashisha ko shoo nʊ uworo isu sini ini bi ikra arupyanw.
2a062b0058	“Ushi ududuma no sumowo ɔnɔ ebebi, kǝnawo ʊshi ubibi nosumowo osumo ɔnɔ adaduma.
2a062c0064	Ese kpɛrhi ʊshingɛ bi usumo ngɛ. Anau karhamo osumo uwee bi ʊshi akara, ko inabi bi ikyura oku.
2a062d00b0	Orokru adadʊma ese sa ima ididima bai idɔɔ ikywi ididima ngɛ. Kǝnawo ere ebebi se sa ʊring ubibi bai ikywi ibibi. Ima sini inidɔɔ orokru yen imisini inu kuno bi onuonw.
2a062e0050	“Ikisi inyi ku yirham ni ‘Ete, Ete,’ atiranyi ʊsa imi sini Isini inyi sa?
2a062f0047	Arʊ sini aba ba beberim akʊng ʊringmi a samɔ, inu yen nyi ushoo mo.
2a063000e8	Ani kǝni orokru sini akʊ vura ʊna, arʊ sini otumi ibʊng kyaa idɔɔ asa atari ngɛ aka sai ikpa ʊvʊra ngɛ, akywa sini ugro be tirɛ, ʊgyang ko kuno ogyoo ɛkǝri ʊbɔrʊ akana brayɔ ukono jurowo bekai sini avuri nɛgbɛn.
2a063100fa	Arʊ sini aba kung ʊringmi atira ngɛ ʊsa ʊtina ni ɔmɔ, ani kǝni orokru sini avuri ʊbɔrʊ ba ukyo tumo ibʊng asa atari ngɛ bai ikpa ʊvʊra, akywa sini ugro be tirɛ, ʊgyang ko kuno ogyoo ɛkǝri ʊbɔrʊ, ʊka kpaawo no prob abuburawo.”
2a0701005b	Ikpara sini Iyesu kywɛri ʊtana ʊring men kukum orokru sukuwɔ, aka raa ngɛ Ikafarnahum.
