2900000006	Markus
290e08006f	Nuhhiya shiɗtǝ i natna mbǝla sita. Thlǝriɗǝ fiɗetafa a tah'saɗǝ faɗengnǝ kǝ fari natficha thlohita.
290e090094	Kitchitkǝn mbwa'andi kuni, uf mbǝɗi nat nofcha ɓasǝ kusheng kashunda hur kishitǝ nat, nanda mbu i sǝt nuhhiya, kǝthlem kǝ kuɗukfichǝndi."
290e0a0087	Yahuda Iskaryoti ǝrta hur kimshecha Yǝso kumkǝngǝrǝnsǝ chap, ɗǝkna mbǝɗa Pǝktat Pǝristchǝkǝn kǝthlǝm kǝ hi'yangka ɗi.
290e0b009d	Sǝkkǝndǝ i yahtǝna sǝta naknda kwala, ndǝkǝn tahsaɗǝɗǝhiwa nani fǝrru hanɗǝɓǝlta. Mbǝnniyu ngagtǝ Yahuda kat mbayi natna hi'ya Yǝso kanda.
290e0c00cc	Saakǝ tǝrka farǝ chi njohǝm chohhǝmtala le nguchit mehnɗǝsa fi'en, le lǝ thlet fichǝ ɓurat hanshohrata, ndang kimshechi'enwa: "A ai yahtusi kǝ tahsukani mbǝt chi njohǝm chohhǝm talǝkǝnsi?"
290e0d007a	A thlǝnkǝn kimshechi'en chap ndagnna kaɗewa: "Ɗama hur hǝmta, nuni kǝmtǝ tǝ nifǝ mǝla rǝf ɓǝt ama, kurunindi,
290e0e008f	uf huri'i yimtǝn, ndangnguni lǝ hurikǝn wa: "Ndak malɗǝm wa a ai kǝtǝn romchi natti chi njohhǝm chohhǝmtala kanang tǝ kimshechengna?'
290e0f0072	Nan cheɗa kapat kǝnnda kuni afshi le taptǝficha kǝ tahsangficha. Mbǝnniyu natuni tahsǝ njohǝmkǝna kǝmsi."
290e10008e	Kimshechiyu malkǝdǝ mbǝnnihiyu pǝɗaknda hur hǝmta, ɗǝknda mbisandǝ uf ichi sǝka nda i mbutǝ Yǝso. Tahsangndǝ chohhǝmtalǝkǝnhi.
290e110055	Ɗiffitǝ hǝmta fara Yǝso tǝ kimshechi'en kum kǝngirǝnsǝ chap ɓaknda hurikǝn.
290e12007f	Kanda ɗar sǝm'ǝna, ndak Yǝso wa: "Kitchitkǝn nati mbwa'anda kuni, ǝrta hurnuni nan hi'itaɗi, le natani sǝm'ǝn tǝndi."
290e13007d	Kǝ sǝktǝ kimshechi'en kichu sǝɓkǝ hanɗekiketeng nandaɗi, tǝrƙaakǝnda sahandǝ ǝrtǝ ǝrta tǝ ndatwa: "Njang wa?"
290e140055	Ngǝrkǝnsuwa, ǝrta hurnuni kumkǝngǝrǝnsi chap le natani sǝmta hur tǝɓi ǝrta.
290e1500a0	Andiya hweya nifǝ nan ɓǝɗata, nda i yarandǝfichǝ kushengkǝnhi nattǝ kichu, ai kǝ mbǝɗa nifi yahkǝsa fǝr hweya nifa! Kweshkǝna ngǝtufichǝndǝwa."
290e160086	Naknda ɗar sǝm'ǝna, tǝrkǝn njohma saǝn usoko Fara, chichaǝnhi fǝrangna kimshechi'en, ndagna kandǝwa: "Thlama; leya faɗegna."
290e170054	Ɗiffitǝkǝn tǝrkǝn tǝpsat ama, a sǝkǝn usoko, a fǝrangna kanda sakndǝ ufnda
290e180035	"Leya fwarengna le thlerandiɗi kǝthlem nofchǝ oi."
290e19007f	"Tǝni mbwa'a kitchitkǝna kuni thlatǝ nakǝnya kǝ mban mwaawi sat ǝnwa magnga fari natisat yuwakǝnna hur mwanda Farǝ wa."
290e1a0034	In'kǝndǝ imsha, pǝɗaknda kish kǝ shohla Zaitun.
290e1b00a8	Kanda ɗar wita ndang Yǝso kandǝwa: "Uffuni nuni rahta maluni nji i'chitna. Nda i yarandǝ fichǝ ndatwa, 'Ni ɓǝlandǝ la hǝrǝmta, shohrechikǝn nanda wuwelǝhi.'
290e1c005c	Ɗǝk na mban tǝndandǝ wa ɗiffitǝ thlatengna tǝ shisshingta ni lata Galili mǝ kunang".
290e1d004e	Ndang Bitrussa Yǝso wa: "Njang ngi malǝsǝhiwa chika rahkǝ tahchikǝn nat."
290e1e0092	Ndang Yǝso Bitrus wa: "Kitchitkǝn nati mbu'uta fiɗǝkiya kǝ kukwara ɗektǝ chap nu kurɓadǝ halǝ indǝ mǝkkan tǝ ndat wa sǝnunǝ njiwa."
290e1f00a9	Chika tǝ kichu nak Bitrussa kurɓandǝ mbuta tǝ alchita ndatwa, chika tǝna ficha tǝkkandǝkǝmhi hwaa ngi tamta halǝ i'ndǝwa sǝnwisǝwowa!" Natnda ndakndǝ kichu.
290e20006f	Ndǝkǝn saatǝnda mbiɗǝ la atfǝchiwa Getsemani. Ndangna kimshechi'en wa: "Sokamhi mbiɗya, kǝ ɗi hwanda."
290e210055	Tǝrkǝn Bitrus, Yakubu tǝ Yohanna, tǝrkaakǝn sǝk ɓahtǝ ka'ǝn, mirfat'ennaɗi.
290e220063	Ndangnakandǝwa: "Shisshingtengna mǝlla nat pwanchǝ ka'ǝn. Thlaramhi mbiɗya kǝ nuni kǝlathi."
290e230072	Ɗǝkna mban nguɗeh hǝmkǝnhi hachaya nakna hwandǝ tǝ ndatwa: "Ma mbandǝsi mǝ niɗi pwene ti naka ɓatyuwa."
290e240091	Ndakǝnwa: "Papa, Papa, ǝnsǝ nak 'yang'yang nga mbǝɗekuwa. Tǝrran pwene tiɗaɗi fi'engnǝya. Chika tǝ kichu nga i yahti natu sǝtwa iu'wa.
290e2500c4	Ndǝkǝn ngǝrandǝn ina thlemat kimshechi'en ɗǝkna mbǝsandǝ kanda sa ɓweni. Ndangna Bitrus wa: "Bitrus, nanna sa ɓweni? Awi nguna mbǝlla soktǝ tolla a kǝlat chika i hanthliktǝ ǝrtǝwa?
290e26007e	Sokam tǝ tahasǝfa kǝ nuni hwanda kǝthlǝm mǝhǝmiɗuni hur yah'ichǝwa. Paɗ tir shemeɗa nat tǝkichu fatkǝn tǝrruwa."
290e270058	Ngǝrkǝnna ngǝrrandǝ'in kǝthlǝm kǝ hwanin, nakna ngǝrrandǝ shuni shuwuntǝn soh.
290e28009b	Ngǝrkǝna ɓata thlemat nanda ɓakna mbǝsandǝ kanda saɓweni, kǝthlǝm uf nda nǝhǝɗ ɓweni hwanichengnandǝ ka'ǝn, ɓahkǝndǝ i nan nda mbwa'anda.
290e2900b3	Ngǝrkǝna thlǝmatnanda i mǝkkatǝkǝn, ndangna kandǝwa: "Paaya mwakuni saɓweni kǝnuni yipta? Shik kichu, shee farǝkǝn. A fir fichi hweeya nifa kǝ hara fa ɓǝɓichitfata.
290e2a0036	Thla'ama, tama. nama, nifina hiiyandaɗaɗi mǝlanya!"
290e2b00dc	Chatkichuyu, kǝ nanna ngǝlandǝ mi'en, ɓak Yahuda ǝrta hur kumngǝrǝnsǝ chap tǝkǝn tǝ nofchǝ oi tǝ thlohcha tǝ sǝssalcha, pǝktat pǝristcha tǝ malɗǝmcha fa sakandǝ kusaɗi, tǝ pǝktechi thlenkǝ kanda.
290e2c0096	Kǝthlǝm nifi hi'yangngaɗiyu teppa mweshandǝ tǝ ndatwa: "Le natti mbǝnfatkǝnyu mǝlan naka nifǝkǝn. Kǝ kǝsangnguni kǝ pǝɗuni tǝnda har."
290e2d0058	Kǝ saatǝn ɗǝkna mbǝs Yǝso ndaǝnwa: "Lǝ hura'a." Nakna mbǝnfatkǝn tǝ kǝmmiya.
290e2e0022	Chatkichuyu njo'angnda kǝsangnda.
290e2f0067	Ərta hurnandǝ le nak kit, kǝtkǝn thlohtǝ'en chathlaǝn thlemata mafata kapat Pǝrist tǝkǝnnaɗi.
290e300060	Ndang Yǝso kandǝwa, ɓakuni tǝ thlohcha tǝ sǝssalcha kǝthlem kǝ kǝsikuni nda tǝni hara?
290e3100aa	Hanmunchikǝn kǝm nang tǝ kuni nja sakandaɗa hur kapat hura'a Fara, nattǝ kichu kǝsiwuniwa. Sǝk fichǝ kichuyu kǝthlǝm kǝ nǝhɗang fichǝ i mbutǝ laulawatkǝn.
290e320035	Mbǝnniyu ɓak kimshechi'ena cherǝndǝfa, rahkǝnda.
290e33003a	Han kimshasi tǝ ɗǝ supta fa, kuwurkǝn ndi. Njo'angnda,
290e340036	mǝllan mallaǝn ɗǝ supkǝna kanda, rahkǝn tamkwal.
290e3500a1	Mbǝnniyu Pǝɗak ndǝ tǝ Yǝso kǝ mbǝɗa kapat pǝrist. Nat pǝktat pǝristcha tǝ fambanicha tǝ malɗǝmcha fa sakandǝ kussa ɗi ngomkǝnda thlǝmmatkǝn.
290e360085	Bitrus nakan langnga nattǝkichu kuwurkǝnndi, kǝ hura'a kapat pǝrist tǝkǝn sokkǝnna thlemat fa pu hurikǝnhar nakna tǝk hwata.
290e3700be	Mbǝnniyu pǝktat pǝristcha tǝ pǝktat fasakmichǝ uf nda naknda kat sakǝt shuni nannda ɗǝftǝ kǝ ɗar Yǝso, kǝthlǝm kǝ mbǝsndǝ kǝ ɓǝlangnda, nattǝkichu mbǝsundǝ mbandǝwa.
290e38004d	Paɗ nofchǝ oi shuwunkǝ lekta ɗar i'ndi'en paɗ ɓu miyengnandǝ ǝrtǝwa.
290e390046	Ɗiffitǝkǝn paɗ thlaakǝ funǝ tǝ lektǝ kǝ ɗar i'ndi'en ndatwa:
290e3a0094	"Shikanindi ndatwa, 'ni hokkandǝ kapat hura'a Farǝhi le tintǝ fichǝ tǝ harcha, paɗ hur mundǝ mǝkkan ni tinnanda kwarkǝn nga tǝ harchǝwa."
290e3b002c	Chika tǝ kichu shundengnandǝ ɓu ǝrtǝwa.
290e3c00ab	A mbǝnniyu thlaakǝ kapat pǝrist thlarkǝnhi kit kǝ hurɗifitǝnanda sahaǝn mi Yǝso tǝ ndatwa: "Nga ngǝmtekusǝwowa? A ɗar witǝ i'chi mbutǝ ficha i'ndekuyawowa?"
290e3d0073	Ngaskǝn ɓa ngǝrawusǝwa. Ngǝrkǝ kapat pǝrist tǝkǝnna sahandǝ paɗ: "Sokǝn naka Kǝrǝsti, hweya Farǝwa?"
290e3e007f	Ndak Yǝso wa: "Njang." "Tǝpaɗ nuni nat hweya nifa ɗassa harsǝmta le nak mwanchin mǝla ɓatahaya hur afshi hur husomba'a."
290e3f006a	Ndǝkǝn thlǝthlahandǝ kapat pǝrist tǝkǝn njela'enaɗi, ndakǝnwa mǝnatma ngǝrkata mbǝɗ'en paɗi.
290e40006b	"Sǝkam witǝ njir faɗi sǝtǝn: "Mǝ nattuni?" Uf nda thlangndǝ kitahi tǝ ndatwa keekesi kǝ mǝrkaɗi.
290e4100a9	Chatkichuyu tǝrkaakǝ funa chaha yahtafa, kǝnangndǝ hwanichi'en, tǝtǝpangndǝfa, ndangndǝwa: "Mbwa'ana kani wun tǝpkǝsa." Fa pu kapat hurikǝnhar mbwaltakǝnndi.
290e420059	Bitrus mǝllan ndassa hachahaya fǝlhura'a, ɓak nuhhwee ǝrta hur mafecha kapat pǝrist.
290e43009e	Nakkǝn Bitrussa tǝk hwata, nakna kǝllandǝ ndakǝnwa: "Sokǝnma, kunang nak tǝ Yǝso Lǝnazarattaɗiyu." "Ndaǝnwa kunang nak tǝ Yǝso Lǝnazarattaɗiya.
290e440091	Paɗ halkǝn i'ndǝ ndakǝnwa: "Njang sǝnwi i natu shunda ɗarkǝnwa. Paɗ mbǝssawiwa!" Cheknakish kǝ mi mbanga. Chatkichuyu kukwarkǝ ɗekta.
290e450065	Mafat nuhhwaniyu nakǝnndi, ngǝrkǝn ndanda fichile kitkitta mbǝnniyuwa: "Nifiya mǝlla hur nanda."
290e46009f	Ngǝrkǝna halǝ i'nda. Toppǝ kicha paɗ fichile kitkityu ndangnda Bitruswa: "Kitchitkǝn sokǝn paɗ naku ǝrta hurnanda, kǝthlǝm sokǝn lǝ Galiliyawata."
290e470060	Nakna cherǝ i'ndi'en kǝnna nata at'i'chimi tǝ ndatwa: "Sǝnwi nifi natuni shunda ɗarkǝnwa."
290e4800e1	Chatkichuyu kukwarkǝ ɗekta i chapatǝkǝn. Kuɗukkǝ Bitrus tǝ shuni mbwa'andǝ Yǝso ndatwa: "Kǝ kukwara ɗǝktǝ chap nu kurɓandǝ halǝ i'ndǝ mǝkkan ndatwa sununǝ njiwa." Kǝ kuɗǝktǝn shuwunkǝn chat nakna tita.
290f0100e5	Kǝnat ɓǝta wenda mbingtǝ tung, pǝktat pǝristchikǝn tǝ pǝktat fambanicha tǝ malɗǝmchǝ fa sakandǝ kussa Musa ɗi, tǝ pǝktat fasakmicha tahsangndǝ hi. Ɗǝkǝn kǝnandǝɗǝ Yǝso pǝɗakndǝ tǝnda mbaniti Bilatus.
290f020074	Sahang Bilatus mi Yǝso tǝ ndatwa: "Sokǝn naka kutur Yahundawechǝwa?" Ngǝmaǝn'en tǝ ndatwa: "A mbwinǝ keeke."
290f030044	Nak pǝktat pǝristchikǝnna nata muh hanharkǝn kǝ ɗar i'chǝ oi.
290f040085	Ngǝrkǝ Bilatus sahami tǝ ndatwa: "Nga ngǝmtǝsi natu ngǝrtǝsǝwowa? Nu yakat kohat shuwunchi nannda mbutǝ kǝ ɗar i'ndekuyu."
290f050039	Yǝso paaya ngǝrausǝwa, pǝɗang ǝnnatkǝn Bilatus fa.
290f060057	Ma shee farǝ chohhǝmtala Bilatus lakalkǝn nifǝhi ǝrta hur pursunacha le sahtǝnda.
290f070050	Hur fa thlahur in'chi pursunayu yunǝsǝ mbǝlkǝfata le la atfichǝwa Barnabas.
290f080069	Ɓak ngom nofchǝ oi tǝrkaakǝndǝ hwanandǝ Bilatus kǝ saǝn kandǝ nda i'sǝntǝnhi tǝ sandǝ kanda.
290f090055	Ndǝkǝn ngǝmmandǝn engnanda: "Yahkunisi kǝ kallayi kutur Yahundawecha kuni hiwa?"
290f0a005b	Kǝthlem mbǝssaɗiwa tǝ nan'nda sǝrǝhndi, ndǝkǝn nat pǝktat pǝristchikǝna fǝrndi.
290f0b0059	Pǝktat pǝristchikǝn chikangndǝ nofchikǝn, kweshkǝn kǝkalaǝn Barnabassa kandǝ hi.
290f0c0059	Ngǝrkǝ Bilatussa ndanda kandǝwa: "Mǝnati sandǝ nifi lǝ atuniwa kutur Yahundachiya?"
290f0d0029	Ngǝrkǝndǝ hwata tǝ ndatwa: "Kukanhi!"
290f0e0099	Ndang Bilatussa kandǝwa: "Kǝthlem mi? witǝ ɓǝɓifat mǝ sǝtǝn?" Chika tǝ kichu thla'angndǝ mburat uf ndǝ tǝ alchita ndakndǝwa: "Kukamǝn hi!"
290f0f009b	Bilatus yahkǝnsa tǝra hur ngom nofchihiyu kalaǝn Barnabassa kandǝ hi. Ɗifitǝ tǝppi tǝpandǝ fathlǝrhwecha Yǝso fǝrangna kanda kǝ kukwangndǝhi.
290f100072	Pǝɗak fathlǝrhwechǝ tǝndi kǝ huri kuturichita, kǝ hur huri kuturichita, akndǝ tahǝt fathlǝrhwatkǝn nat.
290f11005e	Pangndǝ njeli kuturichit ngah nda am fi mbillehsheta, tahǝskǝndǝ fwa'in ndahha pangnda in.
290f120051	Tǝrkaakǝndǝ nda ǝnna: "Mbwarǝ shisshingta kǝ mbǝɗeku kutur Yahundawecha!"
290f130073	Naknda rǝrro'a ndǝffa'in tǝ sǝssala, naknda chahha yahta fa, tǝpaɗ naknda kopandǝhi wa tǝnnda fǝra mwanda.
290f1400a6	Kǝ mweshandǝndǝ njirndi, kǝtangndǝ njeli'ihi fi'en ngah nda am fi mbillehshetyu pangndǝ ikǝn. Pǝɗakndǝ tǝndǝ kǝthlem kǝ ɗǝnda kukwandǝhi ɗar palita.
290f1500d1	Kanda ɗar mbǝrtǝhi tǝ Yǝso mǝlla rǝf palitǝ'en, chat a nifiya lenat thlemkǝn wa Siman lǝ Sayirinta, shinnda Alekzanda tǝ Rufus, mǝla ɓata thlet hǝmta ɗǝfkǝndǝndi waat kǝtǝrǝn palita Yǝso.
290f160059	Pǝɗakndǝ tǝ ndi kǝ mbǝɗi lǝ atfichǝwa Golgota (sakatkǝn wa mbǝt tǝɓ i'nda").
290f17004d	A mbǝnniyu fǝrrangndǝ am'innabi le kurtandǝndǝhi tǝ mur, cherkǝn sata.
290f180079	Kukangndǝhi ɗar palita, sakangndǝ njela'en hi thlerǝnanda, naknda tata kǝthlem kǝ sǝnndǝ i'nat chikawuna mbǝsta.
290f190031	Kukangndǝhi tǝ hanthlǝktǝ hanherta i'ɓingta.
290f1a003c	A yarandǝ ǝnat sǝnkǝn kǝ ɗarkǝn: "Kutur Yahudawecha."
290f1b0052	Mbǝnniyu kukangndǝ hi tǝ harchǝ chap, ǝrta harsǝmtǝ'en ǝrta hishingtǝ'en.
290f1c0061	Leya ndǝkǝn na nǝhata laulawathi, ndakwa a thlǝkfichǝnda hur fa cherǝ thlǝn i mbutǝ kus."
290f1d00d4	Nat nofchi naka mbǝrtǝhi tǝ mbǝnniyu, naknda hǝhrandǝ i'nda kǝnnda shuwun ɓǝɓi icha ɗar Yǝso tǝ ndatwa: "Yu! sokǝn ti ndakwa, nu hokandǝ kappat hura'a Farǝhi paɗ kǝ tinangna hur munchǝ mǝkkan,
290f1e0039	hǝrkandǝn i'ndeku hacha, kǝ tǝrnahaya ɗar pali'iya!"
290f1f00ae	Kichu paɗ pǝktat pǝristcha tǝ malɗǝmcha fa sakandǝ kussa ɗi, lǝ naknda shuwun njirndi a thlerǝnanda, lǝ naknda ndatwa: "Hǝrkaɗǝfuna: "Ngu hǝrkandǝ i'ndi'enwa.
290f2000b5	Kǝ tǝr Kǝrǝsti haya kutur Isra'ilawecha, kǝ tǝrkahaya ɗar palikǝn chetchetya, tǝkichu natma nata kǝ fǝrǝmkita ɗarkǝn." Fichile kukandǝ fichikandǝ tǝndi i'erandǝfa.
290f210076	Hanthlǝktǝ kumkǝngǝrǝnsi chap i hur fara, ngǝlang hultǝ hachahaikǝn nat, kǝ hanthlǝktǝ mǝkan i farǝhufta.
290f220099	Kǝ saatǝ hanthliktǝ mǝkan, tik Yǝso tǝ kapat mburata, ndakǝnwa: "Eloi, Eloi, lama sabatani?" sakǝtkǝn wa: "Ai Fara, Ai Fara, mǝsǝk chertunji?"
290f230057	Fichile thlarkǝ nduk tǝndi kǝsǝktǝndǝ kichu ndakndǝwa: "Sǝkama mǝla at Iliya."
290f2400c6	Rahkǝ yuna hurnanda ɗǝkna tǝnnandǝ ǝn nda hussunnjela'a, tǝ am tamnda fakkǝna sǝssala, fǝrangna Yǝso kǝ san, ndakndǝwa, "Pwa'ama, kǝnǝm ma na Iliya ɓata tǝrandahaya ɗar pali'i'ya."
290f25004b	Chatkichu shuwunkǝ Yǝso tǝ kapat mburata, kanna kalǝ shisshingtǝ'enhi.
290f260055	Kuwuri kǝntǝ ficha kapat hura'a Fara thlahkǝn hi chap, thlata ɗarkǝn kǝ kakǝn.
290f270084	Kapat fathlǝehwechǝkǝn le nak kitta mbǝniyu a kǝlanda nakǝn mǝri'mǝrtǝn ndakǝnwa: "Kitchitkǝn nifiya hweya Farǝ nakǝn!"
290f280093	Nishchǝsi thlarkǝ langnga naka nat kanda nishchǝkǝn nda Maryamu le ɓaka a Magdala, Maryamu man Yakubu le nak nguɗɗeh mǝ Yusufu, tǝ Salomi.
290f29009f	Kandang kuwurkǝndǝ, naɗi natnda hachahai Galili, kwirndǝndǝ tǝpaɗ fǝrandǝ mwanda, tǝ yakat nishchi oiyu ɗǝfkǝndǝ kǝ Urshelimayu kanda mbǝnniyu.
290f2a0064	Sǝk farǝ hufta, ɓakna soktǝ kǝ farǝ tahasǝfa kǝthlǝm ishkichitkǝn farǝ yipta Yahudawecha,
290f2b00cf	Nifǝsi lǝ atfichǝwa Yusufu ɓakna hǝmǝt Armatiya, nakǝn ǝrta hur fichile lǝ fǝrandǝ fichǝ mwanda, lenaka pu mwanda Fara, sǝkǝn alchit hanɗǝkiketa ndǝkna mbǝnda Bilatus, sahaǝn murǝt Yǝso.
290f2c0099	Pǝɗang ǝnatkǝn Bilatus fa ndu a teppa mirri, thlǝnkǝn kǝ angfichile nak mwachina hur fathǝrhwechǝkǝn, sahaǝn miya: "Tǝkit Yǝso teppa mirwa?"
290f2d006b	Kǝ sǝktǝn kichu miya kapat fathlǝrhwechǝkǝn tǝ ndatwa teppa mirri, fǝraǝn murǝt fatkǝnna Yusufu.
290f2e00b4	Hiikǝ Yusufu njeli thlohmurta, tǝraǝn fata Yǝso haya, fwaɗaǝn tǝ njeli thlohmurundǝyu, ɗǝfkǝna hur kwata le retficha fa ngwiya. Pwatkǝn paplata ngǝlaǝn mi kwatkǝnsi.
290f2f0052	Maryamu le ɓaka a Magdala tǝ Maryamu man Yusufu neɗndǝ mbǝɗi hunandǝ ficha.
29100100bc	Kǝ mbǝrkǝ farǝ yipta Yahundawechǝ hi, Maryamu le ɓaka a Magdala, tǝ Maryamu man Yakubu, tǝ Salomi, hiikǝndi fiɗeɗi nat satǝ'en mbinchinfa kǝthlem kǝ ɗǝnda pa'anda Yǝso fa.
2910020045	A farǝ Lati ɓingtǝ tung, kǝnat fara cheta pǝɗaknda mi kwatkǝn.
2910030052	Nangnda ndandandani chiuwa: "Wun na pwatandǝ paplatkǝn engnǝmaɗa mi kwatkǝn?"
2910040053	Kǝ thla'andǝndǝ i'nda nak ndǝ paplatkǝn a teppa pwatafichaɗi nakǝn mwanchin.
2910050077	Kǝnannda yimta hur kwatkǝn, nakndǝ hwankimsha'a ɗas tǝ harsǝmta, tǝ heɗɗi njela'a pǝɗang ǝnatkǝn kandǝfa.
291006009b	Ndangna kandǝwa mǝ pǝɗa ǝnkunifǝwa nuni kat Yǝso Lǝnazaratta, le kukkwandǝfichǝhi. A thle'i, mǝlansa mbǝnniyuwa, kǝlama mbǝɗi hunandǝficha.
291007007f	Ɗama mbwa'amna kimshechi'en tǝ Bitrus, tǝndatwa nan lata Galili mǝ kandang, mbǝnniyu nuni nanndi nda i mbwa'a'ndǝnakuni."
29100800c0	Nishchǝkǝn paɗ shekɗa'indǝ kanda kandǝ saktatfa Cheknda kish tǝ rahta, a hurkwatkǝn fechengnanda rǝptǝfa shekɗa'indǝ kandǝ ka'ǝn. Mbwa'aundǝ ǝna nifuwa kǝthlǝm kanda lechita.
29100900ec	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) [Kǝ thlattin tǝ shisshingta fa ɓingtǝ tung a farǝ Lati, tǝrkaakǝn ɓata mbǝs Maryamu le ɓaka a Magdala, nuhi rǝktǝ Yǝso lǝwurchǝ muɗa fet'en.
29100a0080	Mǝlan paɗ ɗǝkna mbwa'anda fichile natndǝ tǝ Yǝso soh kana mǝrta ɗǝkna mbǝssandǝkanda sǝɓ hura tǝ paɗ kanda tita.
29100b005d	Kǝ sǝktǝndǝwa Yǝso mǝllan tǝ shisshingta fa, tǝpaɗ neɗtǝndi, cherkǝnda fǝrkitsi.
29100c0078	Ɗiffitǝ ndǝkǝn cheɗkǝn fat'enna mbǝnda funǝ chap hurnandǝ tǝ witǝ natsomǝn, kanda ɗar pǝɗata thlethǝmta.
29100d0073	Nofchi chapyu ngǝrangndǝ'in ɓaknda mbwa'anda tahchikǝn, chika tǝkichu fǝrundǝ kitsi kǝ ɗar i mbutǝndǝwa.
29100e0111	Ɗiffitǝ ndǝkǝn ɓak Yǝso mbǝs kimshechi'en kumkǝngǝrǝnsǝ ǝrta shokndǝhi kanda sǝm ɗǝsǝmta, ɓokkangna kandǝhi kǝ ɗar ɓah fǝrkitchiɗeng nanda, tǝ kwaakwaachit hanɗǝkiketa, kǝthlem cherndǝ fǝrkitta ɗar fichile naknda a ɗiffitǝ thla'i'thlattǝn.
29100f005c	Ndangna kandǝwa ɗama hur kishitǝ nat kǝ ɓassuni kwescha shunda kǝ mbǝɗa nofchǝ nat.
2910100065	Uf nifi fǝrkǝkit sangfichǝ baptisma nan hǝrǝkta, paɗ le cherkǝ fǝrkit na ficha fǝra pwancha.
2910110092	Na ficha nat sakǝt i'chiiya tǝ mbǝɗa fichile fǝrkǝkit: nanda chandǝ ɓǝɓi lǝwurchakissha hur thlemna, nanda shuwun yuwamichǝ somsomǝn,
291012009f	Nanda harǝ huthlǝnchahar tǝ paɗ chika witǝ ɓǝɓi i'natma sandǝ ngu tamta sa ǝnkanduwa; nanda sa harcha nofcha in fichile nak hahchin nanda kǝndaɗi."
2910130062	Ɗiffitǝ shuni shunandǝ Lǝmwandǝ Yǝso kanda, tǝrrang ficha afshi, sokkǝnna har sǝmta Fara.
29101400d6	Pǝɗak kimshechikǝnna nata ɓasǝ kwashchǝ shunda Fara chika ayi, Lǝmwanda nakna kǝsanda kandǝsi. Tǝ mbǝɗa ǝnnat sheka inchi nannda sǝtyu cheɗkǝnwa kweshcha shuni nannda ɓassǝyu ɓakna mbǝɗa Fara.]
2c00000018	Torchəkəna Fathləncha
2c01010085	Hur tǝrka ɗelwer engna, le yarutisi sokǝn Tiyofalus, yaraɗi ichihi nat tǝrkaatǝ Yǝso sǝta tǝ fichile tǝrkaatǝn sakandaɗi,
2c0102006f	kǝ fari tǝrtǝ fichinda afshi, ɗifitǝ fǝra kussa fathlǝnchi'en taɗtǝnhar tǝmbǝɗa Shemeɗ Chiɗchiɗ.
2c010300c9	Hur mundǝ kumchit fwaɗa, ɗifitǝ ɓahtǝ'enhi tǝ mǝrtǝ'en, kurɓaɗǝ cheɗa fat'enna kanda a mbachǝ somsomǝn ndatwa tǝkit a thlee tǝ shisshingtafa, paɗ mbwa'aɗǝ pathlǝ mwanda Fara kanda.
2c010400a1	Naɗi natǝn tǝ kandǝyu, ndangna kandǝwa: "Mǝ malindǝ Urshelima hiwa, kǝ pundǝ kǝ nǝhhǝɗ ɗǝfshuni ɗǝftǝ shinkǝn hiiyu, nda i mbwa'andǝna kanda,
2c01050072	Kǝthlǝm Yohanna sǝkǝn baptisma tǝ ama, a hanmunchǝ ɗimek nakficha sa baptisma kuni tǝ Shemeɗ Chiɗchiɗ."
2c0106007a	Kǝnat Yǝso humtǝhi tǝ fathlǝncha, sahangndǝwa: "Lǝmwanda, nakǝnya natu ngǝr fǝra kuturichit'ena Israila ɗǝwa?"
2c01070071	Ndangna kandǝwa: "Nga innuni kǝ sǝnuni thlet hanmunchǝ tǝ hanthlǝkchǝkǝnwa, papa ndak nak tǝ alchitkǝn.
2c010800ca	Nuni mbǝs alchita ma ɓeɗ Shemeɗ kǝ ɗar inchengnuni. Nakuni nat kǝ shetachengna, kǝ nuni mbwa'a pathlengna nofcha a hur Urshelima tǝ hachahai Yahudiya nat tǝ Samariya tǝ sǝrǝt kishitǝ nat."
2c01090087	Kǝ mbuutǝn kichu, kanda ɗar kǝlanda, tǝrangficha afshi kǝ hur husomba'a, ɓakna shekata hwanichengnanda mwa'unda ngǝr nanndǝwa.
2c010a0077	Kanda ɗar kǝlata afshi, mǝlan paɗ mǝla pǝɗata, ɓak nofchi chappa thlara thlǝmatnanda, tǝ njelechǝ heɗǝɗa.
2c010b00c5	Ndangnda kandǝwa: "Hishcha Galilicha, kǝthlǝmmǝ natuni kikit kǝnuni kǝlata afshi? Yǝso ti tǝrrandǝ ficha hurnuni kǝ afshiya, farǝyuna nan ngǝr ɓata nda i natuni pǝɗat'ena hur afshi."
2c010c0071	Thlaakǝnda malkǝndǝ shohla Zaitunhi ngǝrangndǝ'ina Urshelima nakǝn nga langngǝwa, witǝ nduk ka mel ǝrta.
2c010d00fa	Kǝ nannda sata hǝmǝtkǝn, tǝrkǝnda huri afshi kǝ mbǝɗi nanndǝ ɗǝndas. nda: Bitrus, Yohanna, Yakubu, Andarawus, Filibus, Toma, Bartalamawus tǝ Matiyu, Yakubu hweya Halfa tǝ Saminu lǝ mbat thlǝt inda punofcha ɗi tǝ Yahuza hweya Yakubu.
2c010e0082	Humkǝndǝhi natyu tǝ yarǝ ǝrta, naknda nata hwandǝ kǝnding, tǝ Maryamu man Yǝso tǝ nischǝ terchin tǝ hwanmanchǝ Yǝso.
