2800000009	ማቶሳ
2a082f00dd	ማችታ፥ እ ባዝ ቆንጭዳኖ ኤርደ ዎደ ጎቅተራ ይእ የሱሳ ቶህትላ አፋ ጎልእዳ። አኮስ ቦቼዛኮን ዋይዝ ኤልሲ ፋጸዛኮ አስ ኡባ ቲኖ ማርክꬍዳ።
2a08300061	ኤ፥ «ታ ናእተ፥ ነ አማንታ ነና ፋꬅዳ፤ ሳሮራ ቅቶ» ያጋይዳ።
2a083100ed	የሱሳ Ꮉጋ ኦህ Ꮉስካይዝን፥ አይሁደ ዎሳ ኬꬃ Ꮉላቃ፥ እያሮሳ ካራፓ ፈቲ አስ ይእ፥ «እያሮሳ፥ ነ ናእታ Ꮉይቂዳ፤ አስታማርዛ Ꮉሪ ላቢዝፐ» ያጋይዳ።
2a0832007b	የዝን የሱሳ ይኖ ስእ እያሮሳጎ፥ «ዣሽትፐ! አማኖ፥ ነ ናእታ ፋጾዳ» ያጋይዳ።
2a083300ba	የሱሳ እያሮሳ ካራ የልደ ዎደ ጴጥሮሳፓ፥ ዋሐንሳፓ፥ ያይቆባፓ፥ ናቲ አደፓን እንትፓ አትን መለ ገሎደ ጋር ኮይካያ።
2a083400bb	ይና በስተ የዘ አሱንꬅ ኡቡንꬅ ናትስ ይቅስንቲ ዬኮደር፥ የሱሳ፥ «ዬክፐተ! ናታ ገንትዳፕ አትን Ꮉይቂካያ» ያጋይዳ።
2a08350056	አሱንꬅ ናታ Ꮉይቂዳኖ ኤርደ ግሾ ኤ ኦህቶ ለቂ ሚጭዳ።
2a08360059	የዝን የሱሳ ናቲ ኩሽቶ አይኪ፥ «ናእተ ደንዶ» ያጋይዳ።
2a0837008d	ናእትስ ሸምፕታ ይእን ደንዲ ኤቅዳ። የሱሳ ኡንታጎ፥ «ኢስ ሙእዘ ባዝ እንጎተ» ያጋይዳ።
2a08380080	ናቲ አደራን እንትራ ጋማ ቆፕዳ። የዝን የሱሳ Ꮉኖ፥ «ኦደስን ኦህፐተ» ያጋይዳ።
2a090100b9	የሱሳ ታጶ ላምእ ሐዋሩንꬃና ፋጎ ጼጊ፥ ቱና አያና ከሶደ ጋራን Ꮉርገ ኡባ ፋꬆደ ጋር ዎልቃን አደትꬅ ዎልቃ እንግዳ።
2a0902006b	ጾዘ ካእቱሞ ባዝ ማርክꬋደ ፋና Ꮉርግንትዙንꬃና ፋꬆደ ፋና ኪትዳ።
2a090300b2	ኤ ኡንታጎ፥ «ጉፈ ማቅን ስልጰ ማቅን ካꬃ ማቅን ብራ ማቅን ላምእ ማእዘ አፉላ ማቅን ኦገስ ጋእ አኮን አይክፐተ።
2a09040069	ይና ካታምትፓ ይን ኬሳደ ዎንꬅስ ዛቆትꬅ ይን ገልደ በሳ ጋምኦተ።
2a090500be	ኦደን ይንታና ሞካንጽ እጽኮ ይና ካታምትፓ ከዝተራ ኡንትስ ኤርስዘ ማርካ ማቃደ ፋና ይን ቶህተ የዘ ጹርቶ ፍጺ ከዞተ።»
2a09060099	ኡንትን ኪትንትዳን ፋና ኬዚ ዎንገለ ኦህተራ ዱማ ዱማ ካራ ጋንጨ Ꮉርጋንቹንꬃና ፋꬅተራ አꬍዳ።
2a090700f1	ጋልላ ሳአ አህዘ ሄሮድሳ የሱሳራ ኦችንትደባዝቶ ሙሎ ስኤዘ ዎደ ይርግዳ። አኮስ ጋይኮ፥ ፈቲ ፈቲ አሱንꬅ ዋሐንሳ Ꮉይቆፓ ደንድካይዛራ አታማ ያጋይዳ።
2a090800a7	ባጉንꬅ፥ «ኤልያሳ በንትዳ» ጋነ፤ መሉንꬅ ማህ፥ «ዛጋ ናቡንꬃፓ ፈተ Ꮉይቆፓ ደንድዳ» ያጋእ ኦህንታነ።
2a090900e2	የዝን ሄሮድሳ፥ «ዋሐንሳ አፉርቶ ታ ጋችዚ ዎꬍዳ። ዬዝን፥ Ꮉንጋራ ያጋእንት ኤ ባዝ ኦህንትዘ፥ ኤ ኦደ?» ያጋእ የሱሳ ፋ ኣፍተ በአደስ ኮያነ።
2a090a00b9	ታጶ ላምእ ሐዋሩንꬅ ሱባ ማቂ ይእ፥ ኡን ኦችዳኖ ሙሎ የሱሳስ ኦህዳ። ኤ ኡንታና ኤኪ ቤተሳይዳ ካታማፓ ጋጻ ካንግዳ።
2a090b00c9	የዝን ጋማ አሱንꬅ የሱሳ ማቅዛኖ ኤሪ ኤዛ ካልዳ። ኤ ኡንታና ሞኪ ኤኪ ጾዘ ካእቱሞ ባዝ ታማርስዳ፤ ፋጾደስ ኮይዙንꬃና ፋꬅዳ።
2a090c0120	ሳአ ኡጉርደ ዎደ ታጶ ላምእ ሐዋሩንꬅ ኤጎ ሺቂ፥ «ኑ የዘ አኮ ባይዘ ሳአ ማቅደ ግሾ አሱንꬅ ዱማ ዱማ ካራ ጋንጨን ካታማን ቅቲ፥ ካꬃን አቅዘ በሲ ኮዮደ ፋና አሱንꬃና ሞይዞ» ያጋይዳ።
2a090d0114	የዝን ኤ፥ «ኡንትስ ሙእዘ ባዝ ይን እንጎተ» ያጋይዳ። ኡን፥ «ኑስ የዘ እችን ቦራን ላምእ ሞሎን ማቅደ ግሾ Ꮉንꬅ አሱንꬅስ ማቅዘ ካꬃ ኑኒ Ꮉንግ ዎንጋንጽኮ ማቆስ» ያጋይዳ።
2a090e00cb	ይና በስተ እችን ሙኩል ማቃደ ꬊራꬁንꬂ የነ። የሱሳ ፋ ታማሩንꬃጎ፥ «እችንታም እችንታም ሻኪ ሻኪ አሱንꬃና በትꬆተ» ያጋይዳ።
2a090f004e	ኤ ታማሩንꬅ፥ ኤ ኪትዳን ፋና አሱንꬃና በትꬅዳ።
2a091000b6	ኤ እችን ቦርቶን ላምእ ሞልቶ ኤኪ፥ ሳሎ ብእ፥ ጾዝ ጋላቲ፥ ባጽ አሱንꬃና ሙሎ የልꬆደ ፋና ፋ ታማሩንꬅስ እንግዳ።
2a09110069	ኡቡንꬅ ሙእ ምዥዳ። ኡንታፓ አትደ ታጶ ላምእ ሌማተ ኩሙꬅ ማቅዳ።
2a0912009f	ፈቲ ዎደ የሱሳ ፋ ጻላላ ዎሶደራ፥ ኤ ታማሩንꬅ ኤጎ ይእዳ። ኤ፥ «አሱንꬅ ታና ኦና ጋኤ?» ጋእ ኦጭዳ።
2a091300cb	ኡን ማህ «ፈተ ፈተ፥ ‹ጻማቅዘ ዋሐንሳ፥ ባጉንꬅ ኤልያሳ፥ መሉንꬅ ማህ፥ ዛጋ ናቡንꬃፓ ፈተ Ꮉይቆፓ ደንድዳ› ያጋነ» ያጋይዳ።
2a091400a3	ኤ ማህ፥ «ዬዝን ይን ታና ኦና ጋኤ» ያጋይዳ። ጴጥሮሳ፥ «ኔኒ ጾዛፓ ዶርንትደ ክርስቶሳ» ያጋእ ማህዳ።
2a09150048	የሱሳ Ꮉኖ ኦደስን ኦህፐተ ጋእ ምንꬂ ኦህዳ።
2a0916012a	ማህን የሱሳ፥ «አስ ናአይ ጋማ ማꬋ ኤኮዳ። ጋደ ጭሙንꬅስ፥ ካህኑንꬅ Ꮉላቁንꬅስን፥ ህገ አስታማሩንꬅ ካለ እጽንቶዳ። ኡን ኤዛ ዎꬎዳ፥ የዝን ኤ Ꮉይꬓንꬆ ቃማ Ꮉይቆፓ ደንዶዳ» ያጋይዳ።
2a091700a8	የሱሳ አሱንꬅ ኡቡንꬃጎ፥ «ታና ካሎደስ ኮይዘ ኦደን የዝኮ ፋና ካዶ፥ ፋ ማስቃልቶ ኡባ ቃማ ቶኪ ታና ካሎ።
2a09180099	ፋ ሸምፕቶ አሾደስ ኮይዘ ኡቡንꬅ እዞ ꬋብሳነ፥ ፋ ሸምፕቶ ታ ግሾ ጋእ ꬋብስዘ ኦደን እዞ አሻነ።
2a09190096	አስ አላመ ሙሎባዝ ደንግዛ፥ ማቅኮን ፋ ሸምፕቶ ꬋብስዘባዝ ዎይ ቆህዘ ባዝ ማቅኮ ኤዛ አኮ ማደ?
2a091a00ce	ኦደን ታ ግዳን ታ ቃልተን ዬልꬍኮ አስ ናአይ ፋ ቦንቾራ ይኒ ጋራ አዳይ ቦንቾራን ጌሽ ኪታንቹንꬅ ቦንቾራ የእዘ ዎደ እዘ ዬልꬎዳ።
2a091b009f	ታ ይንትስ ቱሮ ኦህነ፤ Ꮉነ ኤቅዱንꬅ ግዳፓ ጾዘ ካእቱሞ ብእካይዛራ Ꮉይቆሰ አሱንꬅ የነ» ያጋይዳ።
2a091c00ae	የሱሳ ይና ኦህቶ ኦህን፥ ኦስፉን ቃማፓ ሱባ ጴጥሮሳ፥ ያይቆባን ዋሐንሳን ፋራ ኤኪ ዎሶደስ ደረላ አፋ ከዝዳ።
2a091d0071	ኤ ዎሳላ አፋ የዝን ኤ ስንታ ላምንትዳ፤ አፉልታን አዋ ፋና ፎእ ቦጽዳ።
2a091e005d	ላምእ አሱንꬅ፥ ኡንትን ሙሴራን ኤልያሳራ ቦንቾራ በንቲ፥
2a091f008c	የሩሳላመ ፎልንቶደስ የዘ ባዝ፥ ይናን፥ ኤ Ꮉና አላምትፓ ሻክንቶደ ባዝ ኤራ ኦህንታነ።
2a092000ae	ጴጥሮሳን ኤራ የዙንꬅ ገንቲ አትን፥ ኡን ገንቶፓ ደንድዘ ዎደ ኤ ቦንችቶን ኤራ ኤቅደ ላምእ አሱንꬃና ብእዳ።
2a09210140	አሱንꬅ የሱሳፓ ሻክንት ቅቶደስ ይአደራ፥ ጴጥሮሳ የሱሳጎ፥ «ላꬆ፥ Ꮉነ የዛና ኑስ አኮ ጋር ሎኦ! ፈታ ኔስ፥ ፈታ ሙሴስ፥ ፈታ ኤልያሳስ ማህ Ꮉይꬕ ጋባ ጋቦዳ» ጋይዳ። የዝን ኤ ፋስ አኮ ጋኤዛኮን ኤሮስ።
2a09220086	ኤ ያጋእ ኦህንቶደራ ꬎነ ይእ ኡንታና ጎዝዳ። ታማሩንꬅ ꬎንቲ ግዳ ገልተራ ዣሽትዳ።
2a09230068	ꬎነ ግዳፓ፥ «ታ ዶርደ ናአይ Ꮉያ ኤዛ ስኦተ» ያጋዘ ኦꬂ ስንትዳ።
2a092400c3	የ ኦꬅዘ ስንትዳንፓ ሱባ የሱሳ ፋስ የዝተ በንትዳ። የ ዎደ ኡን ብእዳኖ ኦደስን ኦህካይዛራ፥ ፋ ዎዝንተ አይኪ ስእ ጋይዳ።
2a09250069	ዎንትስቶ ኡን ደርዘፓ ዎꬍዘ ዎደ ጋማ አሱንꬅ ይእ ኤራ የልንትዳ።
2a09260076	የ ዎደ አሱንꬅ ግዳፓ ፈቲ አስ፥ «አስታማርዛዮ፥ ታ ፈቲ ናአያ ይእ ቦኦያ።
2a0927009c	ቱና አያና ቆፕካይዝን አይኪ ዉይስዛነ፤ ጎፑንቶ ጮሽ ጉዱꬃነ፥ አሽቶ ቆህ ኡንእꬅ ኬሳደስ ኮዮስ።
2a0928006e	ነ ታማሩንꬅ ከሶደ ጋር ዎስዳ፥ የዝን ኡን ዳንዳእካያ» ያጋእ ዎስዳ።
2a092900d1	የሱሳ፥ «አማኖ ባይዘ ዎቦ የለቱንꬆ፥ አይደ የሎደስ ታ ይንታራ የሳደ፥ ይንታና ዳንዳኦደ? ነ ናአያ Ꮉንግ Ꮉንካ ኤኪ ዮኦ» ያጋይዳ።
2a092a00de	ናአያ ኤኪ የእዘ ዎደ ቱና አያንዘ ሳአ ኦሊ ጉዲ ጎቅዝዳ። የዝን የሱሳ ቱና አያንዛ ካጪ ናአይፓ ኬስን ፋꬅዳ። ናአያን ናአይ አደስ እንግዳ።
2a092b00a9	አሱንꬅ ኡቡንꬅ ጾዘ ዳማ ዎልቅቶ ብእ ጋማ ቆፕዳ። ኡን ኤ ኦችደ ባዝተ ጋማ ቆፖደራ፥ የሱሳ ፋ ታማሩንꬃጎ፥
2a092c0097	«Ꮉኖ ታ ይንትስ ኦህዛኖ ሎይꬂ ስኦተ፤ አስ ናአይ አይሁዱንꬅ ኩሽተ አꬊ እንግንቶዳ» ያጋይዳ።
2a092d008a	የዝን ኤ ጋይዳና ኡንትስ ገልካይዘ ግሾ ኡን ቲሪካያ። ይኒ ግሾ፥ ማህ ኦጮደስ ዣሽትዳ።
2a092e0062	የሱሳ ታማሩንꬅ፥ «ኑ ግዳ ዳማ ማቃደ ኦደ?» ጋእ ላለ አይክዳ።
2a092f004e	የሱሳ ኡን ዎዝና ቆፍቶ ኤሪ ዦጋ ናአ ፋ ካለ ኤስ፥
2a093000d2	«Ꮉይ ዦጋ ናአያ ታ ሱንꬅተ ኤክዘ ኦደን ታና ኤካነ፥ ታና ኤክዘ ታና ኪተዛያ ኤካነ፥ ይን ኡቡንꬃፓ ኤርዛይ፥ ኤ ዳማ ማቃዳ» ያጋይዳ።
2a09310097	ዋሐንሳ፥ «ላꬆ፥ ፈቲ አስ ነ ሱንꬅተ ቱና አያና ኬሶደራ ብእ ኤ ኑራ ማቆሰ ግሾ ካይዳ» ያጋይዳ።
2a0932007b	የሱሳ ማህ፥ «ይንታና እጾሰ፥ ኤ ይን ባጋ። ይኒ ግሾ፥ ኤዛ ካይፐተ» ያጋይዳ።
2a09330073	የሱሳ ሳሎ ቅትዘ ዎደ ኡክደ ግሾ የሩሳላመ ቅቶደስ ቆፍቶ ምንꬂ ደንድዳ።
2a09340089	ሳማራ ሳአ የዘ ፈቲ ካራ ጋንጨ Ꮉንግተራ፥ ኡባ ባዝ ኤስ ጊግሳደ ፋና አስ የይጋ ኪትዳ።
2a09350077	የዝን ኤ Ꮉንግዛና የሩሳላመ ማቅዳኖ ኡን ኤርዘ ግሾ ኡን ኤዛ ሞኪ ኤክካያ።
2a093600ba	የሱሳ ታማሩንꬅ ያይቆባራን ዋሐንሳራን ይኖ ብእ፥ «ላꬆ፥ ሳሎፓ ታማ ዎꬊ ኡንታና ሞኦ ጋዉደ ፋና ነ ኮያነ?» ያጋይዳ።
2a093700da	የዝን የሱሳ ሱባ ማቂ ኡንታና ካጪ፥ [ይን ግዳ አኮ አያና የዛኮ ይን ኤሮስ። አስ ናአይ አስ አሾደስ ይእዳፕ አትን ꬋብሶደስ ባያ] ያጋይዳ።
2a0938003b	የይጋፓ ደንዲ መለ ካራ ጋንጨ ቅትዳ።
2a0939006f	ኡን ኦገራ Ꮉማደራ፥ ፈቲ አስ፥ «ነ ቅትዘ በሳ ኡባ ታ ካሎዳ» ያጋይዳ።
2a093a00a3	የሱሳ ማህ፥ «ዎርካናስ ዶቺ፥ ላንዳስ ኬꬂ የነ፥ የዝን አስ ናአይ ፋ ኦምቶ ሸምፕዘ በሲ ባያ» ያጋይዳ።
2a093b0090	Ꮉንካያን፥ «ነ ታና ካሎ» ያጋይዳ። የዝን አꬄ፥ «ላꬆ፥ ቲኒ ታ አዳያ ሞጊ የኦዳ» ያጋይዳ።
2a093c00b2	የዝን የሱሳ፥ «Ꮉይቆ የዙንꬅ Ꮉይቂዱንꬃና ሞጎደ ፋና ኡንትስ አሺ አሾ፤ ነ Ꮉንግ ጾዘ ካእቱሞ ሳባኮ» ያጋይዳ።
2a093d008d	ማህ መለ አስ፥ «ላꬆ፥ ታ ነና ካሎዳ፥ የዝን ቲኒ ታ ካራ አሱንꬃና ሳሮꬅ የኦዳ» ያጋይዳ።
2a093e0074	የሱሳ ማህ፥ «ኮፀ አይኪ ሱብ በእዘ ኦደን ጾዘ ካእቱሞስ ቤዞስ» ያጋይዳ።
2a0a0100dc	ይንፓ ሱባ፥ ላꬂ መለ ላፑን ታም ላምእ አሱንꬃና ዶርዳ። ኤ Ꮉማደስ ቆፕደ ካታምተን ካራ ጋንጨ ኡባ ቲኒ Ꮉማደ ጋራ ላምእ ላምእ ማህ ኪትዳ።
2a0a0200b7	የሱሳ ኡንታጎ፥ «ይኬ ሺቆደ ካꬃ ጋማ የዝን ኦችዙንꬅ ኤራꬅ። ማቅደ ግሾ፥ ካꬃ ላꬃይ ኦችዙንꬃና ኪቶደ ፋና ዎሶተ።
2a0a03005f	ይኬ፥ ቅቶተ፥ ዱሩንꬅ ፋና ሱꬉሙንꬅ ግዳ ይንታና ታ ዳኮዳ።
2a0a040089	ይን ቅትዘ ኦግትስ፥ ብራ ማቅኮን ካርጥተ ጫማ አይክፐተ። ኦገላ አፋ ኦደን ሳሮꬅፐተ።
2a0a050060	ይን ገልዘ ኬꬃ ኡባ ቲኒ፥ ‹ሳሮ Ꮉና ኬꬅትስ ማቀ› ያጋኦተ።
2a0a06009c	ሳሮ ካዽዘ አስ ይና በስተ የዝኮ፥ ይን ሳርታ እዘ ሸምፖዳ፤ ኮዮስ ጋይኮ ይን ሳርታ ይንትስ ማቃዳ።
2a0a0700c6	ኦችዘስ ዳሞዘ ቤዘ ግሾ ይን ገልደ ኬꬅተ ይንትስ ሺሽደባዝ ኡባ ሙእተራን ኡዥተራ እዘ ጋምኦተ። ፈተ ካራፓ ፈተ ካራ ዉትፐተ።
2a0a080080	አኮ ካታማን ይን ገልዘ ዎደ አሱንꬅ ይንታና ሞኪ፥ ይንትስ ሺሽደባዝ ኡባ ሞኦተ።
2a0a09008e	ይና ካታምተ የዘ Ꮉርግንትዙንꬃና ፋꬅተራ፥ ‹ጾዘ ካእቱሞ ይንታጎ ኡክዳ› ያጋእ ኦሆተ።
2a0a0a0085	የዝን ፈቲ ካታማ ገልዘ ዎደ አሱንꬅ ይንታና ሞካንጽ እጽኮ ቡጫላ ኬዚ Ꮉንጋራ ጋኦተ:
2a0a0b008a	‹ኑ ቶህትላ የዘ ይን ካታምት ጹርቶ ፍጻነ፥ የዝን ጾዘ ካእቱሞ ይንታጎ ኡክዳኖ ኤሮተ›
2a0a0c0093	ጾዘ ፍርዳ ቃማ Ꮉና ካታምትፓ ሶዶመ ካታማስ ፍርዳ ኤራꬅ ማቃዳኖ ታ ይንትስ ኦህነ» ያጋይዳ።
2a0a0d0139	ካሊ፥ የሱሳ፥ «ባደ ክኦራዚነ፥ ባደ ቤተሳይዳ፥ ባደ፥ ይን ግዳ ኦችንትደ ክለ ባዝታ ጢሮሳ ግዳን ስዶናን ኦችንተዛኮ እዘ የዘ አሱንꬅ አዛኖ አፉላ ማእ፥ ቡዶላ አፋ በቲ ዛጋ ማሮትꬅ ገሊ አቶድ የሻ።
2a0a0e0062	ይኒ ግሾ፥ ይንታፓ አꬊ ጢሮሳስን ስዶናስ ጾዘ ፍርድታ ኤሮዳ።
2a0a0f008d	ባደ ቅፍርናሆመ፥ ሳሎ የሎደስ ነና ꬎቅ ኦቾደስ ኮያነ? ነ ሱለ ስኦለ ኦልንቶዳ» ያጋይዳ።
2a0a1000cc	ማህን የሱሳ ፋ ታማሩንꬃጎ፥ «ይንታና ስእዘ ታና ስእነ፥ ይንታና ኤኮሳይ ታና ኤኮስ፥ ታና ኤኮሳይ ታና ኪተዛያ ኤኮስ» ያጋይዳ።
2a0a1100e5	ላፑን ታም ላምእ ታማሩንꬅ ኪትንትደ በስትፓ ጋማ ኡፋይትተራ ማቅዳ። የሱሳጎ ሺቂ፥ «ላꬆ፥ ነ ሱንꬅተ ቱና አያኑንꬅን ኑስ ኪትንትዳ» ያጋይዳ።
2a0a12005b	የሱሳ ኡንታጎ፥ «ጻላሄ ሳሎፓ ዳዳ ፋና ዎꬎደራ ታ ብእዳ።
2a0a1300b1	ይኬ፥ ሾሽን ማስማሶ የꬎደ ፋናን ሞርከ ዎልቃ ተቆደ ፋና ዎልቃ ይንትስ እንግዳ። ይንታና ቆሆደባዝ አኮን ባያ።
2a0a1400be	ማቅኮን፥ ይን ሱንꬅታ ሳሎ ማዝጋበ ጻፍንትደ ግሾ ኡፋይቶተፕ አትን ቱና አያኑንꬅ ኪትንትደ ግሾ ኡፋይትፐተ» ያጋይዳ።
2a0a150114	የ ዎደ የሱሳ ጌሽ አያናራ ኡፋይት፥ «ሳሎ ሳአ ላꬆ፥ Ꮉኖ ጭንጩንꬃፓን ኤሩንꬃፓ አቺ ታማርካይዙንꬅስ ቆንጭዝደ ግሾ ጋላትንቶ። ዬ ታ አዳዮ፥ ይኖ ነ ኦቾደስ ሎኦ ቆፋ ማቅዳ።
2a0a1600ec	«ኡባ ባዝታ ታ አደፓ ታስ እንግንትዳ። ናአይ ኦደ የዛኮ ሎይꬂ አደፓ አትን መለ ዎይ ናአይ ቆንጭሳደስ ኮይዘፓ መለ ኦደን አዳያ ኤርዘ ባያ» ያጋይዳ።
2a0a170079	ካሊ፥ የሱሳ ዱማ ፋ ታማሩንꬃጎ፥ «ይን በእዛኖ በእዙንꬅ አንጅንትዱንꬃና።
2a0a1800b4	ቱሮ ጋማ ናቡንꬅን ካቱንꬅ ይን በእዛኖን ስእዛኖ በአደስን ስኦደስ አሙꬍዳ፥ የዝን ብእካያ፥ ስእካያ» ያጋይዳ።
2a0a1900da	ይኬ፥ ፈቲ ዎደ ሙሴ ዎጋ ኤርዘ ፈቲ አꬄ ደንዲ የሱሳ ያጋእ ፋታና ኦቺ ኦጭዳ። «አስታማርዛዮ፥ መዽና ደኦ ላቶደስ ታኒ አኮ ኦቾ?» ያጋይዳ።
2a0a1a0068	የሱሳ፥ «ሙሴ ማጻፍተ ጻፍንትዳና ዋገ? ነ ዋይዝ ናባበ?» ያጋይዳ።
2a0a1b0104	አꬃይ ማህ፥ «‹ነ ላꬃ ነ ጾዛ፥ ነ ኩሙꬅ ዎዝናፓ፥ ነ ኩሙꬅ ሸምፖፓ፥ ነ ኩሙꬅ ዎልቃፓን ነ ኩሙꬅ ቆፋፓ ካꬎ። ማህ አስ ነ ዶꬅዛ ነ ኦምት ጋር ካꬎ› ያጋነ» ያጋይዳ።
2a0a1c0080	የሱሳ ኤጎ፥ «ነ ልከ ማህዳ፥ ኔንን ይኒ ጋራ ኦቾ። ነ መዽና ደኦ የሳዳ» ያጋይዳ።
2a0a1d0063	የዝን አꬄ ፋና ጽሎ ማሆደስ ኮይ፥ «ኤ ታ ዶꬅዘ ኦደ?» ያጋይዳ።
2a0a1e0126	ኤ ኦጭዳንስ የሱሳ ያጋእ ማሄ እንግዳ፥ «ፈቲ አስ የዛይ የሩሳላመ ካታማፓ ሱለ እያርኮ ካታማ ዎꬎደራ ኦገላ አፋ ፋኑንꬅ ኬዚ ጉድዳ። ኤ ማእቶ ጋሪ ኤኪ Ꮉይቆፓን ፋጻፓን ግዳ አሺ ቅትዳ።
2a0a1f0083	ሱባፓ፥ አይሁደ ካህነ ፈተ ይና ኦግትራ ፋ አ ጋእ አꬍተራ አꬃ ብእ ደሽ ጋእ አꬍዳ።
2a0a20006f	ማህ ፈቲ ሌወ የዛይ ይና በስቶ የሊተራ አꬃ ብእ መለ በሳራ አꬊ ቅትዳ።
2a0a21007b	የዝን፥ ፈቲ ሳማራ ጋደ አስ የዛይ ይና ኦግትራ ይእተራ አꬃ ብእ ኤስ ይቅስንቲ
2a0a2200dc	ኤጎ ሺቂ፥ ኤ Ꮉርግዘ በስትላ ዛይተን ዎይነን ጉጂ አጭዳ። ፋ Ꮉርዘላ በትꬂ ዛቆ አቅዘ ኬꬃ ካንግዳ። ይና በስተ ኤስ ኮሽዘ ባዝ ሙሎ ኦችዳ።
2a0a2300f7	ዎንትስቶ ላምእ ድናረ ኬሲ ዛቆ ሞክዘ ካርቲ አደስ እንግ፥ ‹ወይአ Ꮉይ አꬃ ሎይꬂ ቦኦ። ታ ኔስ እንግዳንፓ ካታራ ነ ኬስደ ባዝ ሙሎ ታ ኔስ ጭጎዳ› ያጋይዳ።
2a0a240075	«ይኬ፥ Ꮉንꬅ Ꮉይꬕ አሱንꬃፓ ፋኑንꬅ ጉድደ አꬄስ ዶꬅꬋደ ኔስ ኦና አዘ?»
2a0a25008b	አꬃይ ማህ፥ «ኤስ ይቅስንትዳያ» ጋይዳ። የሱሳ፥ «ኔንን Ꮉንግ ይኒ ጋራ ኦቾ» ያጋይዳ።
2a0a2600b0	የሱሳ ፋ ታማሩንꬃራ ኦገ Ꮉንግተራ ፈቲ ካራ ጋንጨ የልዳ። የይጋ ማርታ ጋእንትዘ ፈቲ ማችታ እዛ ፋ ካራ ሞክዳ።
2a0a27006e	ኢስን ማይራሞ ጋዘ ምሻ የነ፥ ማይራማ ቃላ ስእተ ላꬄ ቶሄ ካለ በትዳ።
2a0a280108	የዝን ማርታ ጋማ ኦቻራ ኡንእንት የሱሳጎ ሺቂ፥ «ላꬆ፥ ታ ምሽታ ኦችቶ ታ ጻላላስ አሺ በቲ አትን ታ ላቢዘ ዎደ ነ ብእተራ ስእ ጋነ? እዛ ታና ማዶደ ፋና ኦሆሶ» ያጋይዳ።
2a0a290084	የዝን ላꬂ Ꮉንጋራ ጋእ ማህዳ፥ «ማርታ፥ ማርታ፥ ኔኒ ጋማባዛር ኡንእንት ማꬍꬋነ።
2a0a2a008e	ማቅኮን፥ ኮሽዘ ፈትባዝ ጻላላ። ማይራማ ሎኦ ባዝ ዶርዳ፥ ይናን ኢፓ ኤክንቶስ» ያጋይዳ።
2a0b0100f0	ፈቲ ዎደ የሱሳ ፈቲ በሳ ዎሳነ። ዎሳ Ꮉስደ ዎደ ኤ ታማሩንꬃፓ ፈተ፥ «ላꬆ፥ ዋሐንሳ ፋ ታማሩንꬃና ዎሳ ታማርስደ ፋና ኔንን ኑና ዎሳ ታማርሶ» ያጋይዳ።
2a0b02009c	የሱሳ፥ «Ꮉንጋራ ያጋእ ዎሶተ፦ «‹ሳሎ የዘ ኑ አዳዮ ነ ጌሽ ሱንꬅታ አንጅንቶ፤ ነ ካእቱምታ ዮኦ።
2a0b03002b	ኑ Ꮉይኖ ቁምቶ ኑስ እንጎ።
2a0b0400a4	ኑና ቆህዱንꬃꬃ ኑኒ አቶ ጋዛን ፋና፥ ኑ ናጋርቶ አቶ ጋኦ፤ ፋታና ግዳ ኑና ገልꬅፐ›» ያጋዉተ ያጋይዳ።
2a0b0500dd	ካሊ፥ የሱሳ ፋ ታማሩንꬃጎ ያጋይዳ፦ «አዝዘስ ይንታፓ ፈተስ ላገ የነ። ኤ ግዲ ብላሄ ፋ ዶꬅዘ ካራ Ꮉንግ፥ ‹ዶꬆ፥ Ꮉይꬕ ሶሎ ታስ እንጎያ።
2a0b060070	ታስ ላገ ማቅደ ፈቲ አስ ኦገፓ ይእን፥ ኤስ ኣꬆደባዝ ꬋብዳ› ያጋዛኮ፥
2a0b070107	«ኤ ላግዘ ኬꬃ ግዳ የዛራ፥ ‹አደ ታና ዋይꬅፐ፥ ፉርꬅታ ጎርድንትዳ። ታ ናኡንꬅን ታራ ዳꬃላ አፋ ዎይእዳ። ይኒ ግሾ፥ ደንዲ ነ ኮይዘባዝ እማደስ ዳንዳኦስ› ያጋነነ?
2a0b0800b5	ታ ይንትስ ኦህነ፤ ላገትꬅት ግሾ ደንዲ እማደስ ኮያንጽ እጽኮን ዎሳራ ዋይꬅደ ግሾ ደንዲ ኮሽዘ ባዝ ሙሎ እንጋነ።
2a0b0900b9	«ይኒ ግሾ፥ ታኒ ይንትስ ኦህነ፤ ዎሶተ ይንትስ እንግንቶዳ፤ ኮዮተ ይን ደማዳ፤ ፉርꬃ ይእ ጼጎተ ይንትስ ቡጉንቶዳ።
2a0b0a0082	አኮስ ጋይኮ ዎስዘ ኡቡንꬅ ኤካነ፤ ኮይዘ ደንጋነ፤ ፉርꬃ ይእ ጼግዘስ ቡጉንታነ።
2a0b0b0053	«አዱንꬆ ይን ግዳፓ ናአ ሞሎ ዎስን ሾሽ እንግዘ ኦደ?
2a0b0c0035	ዎይ ጱጱለ ዎስን ማስማሶ እንጋነ?
