2800000004	Moti
2a042b00ab	montor Íba ye ítara re hoiyé de, “Añr ttu ar cóor ókkol ot óu Allar raijjor baabute tobolik gorár zorur, kiyólla-hoilé Añré hétolla beh difeṛá gíyeh.”
2a042c0049	Yárbaade Íba Yohúdiyar mujilíc-hána ókkol ot tobolik gorát accíl.
2a05010099	Ek din zeñtté Isá Genesáret Ḍiír kul ot tíyai accíl, manúc ókkole Íbar sairó ḍak ottu ṭélaṭeli gorí-gorí Allar kalam fúnat accíl.
2a0502006d	Íba ye ḍiír hañsa loi duiyán noow deikké, ziín ottu zailla ókkole lami ítarar zal dúifelat accíl.
2a050300ce	Íba héntu ekkán noow ot uiṭṭégoi, ziyán óilde Sáimon or, baade íba re noow gán kul ottu ekkágori duré loizaitó hoiyé. Tarfore Íba boói noow ttu tái manúc ókkol ore taalim diyat doijje.
2a05040084	Zeñtté Íba ttu taalim diya óiye, Íba ye Sáimon ore hoór de, “Noow gán mur fanít loizai ekkúf mas sai bolla zal félo.”
2a05050087	Sáimone zuwabe hoór de, “Úzur, añára raitbór meénnot gorí kessú nó fai. Toóu Tuñí zettót hoór, añí zal félaiyum.”
2a05060053	Ítara zal félaiye rár, edún mas foijjé zeén níki ítarar zal fáṛi zargoi.
2a050700d7	Hétunot ítara ítarar ze sáañti ókkol oinno noow ot asé ítara re icára gorí mataiyé, zeéne aái ítara re modot goré. Tói tará aái duní noow eddúr bóijje, zeén níki híin ḍufóm-ḍufóm óiye.
2a05080072	Híyan dekí Sáimon Fitore Isár foot fori hoór de, “Malik, añr héntu zoogói; añí toh gunágar manúc.”
2a05090082	Kiyólla-hoilé ítara hédun mas faiyé de hétolla íba edde íbar fúañti zetará accíl ítara beggún kúb taajup óigilgoi.
2a050a00ac	Héndilla, Zebedair fuain Yakub edde Yohánna yó, zetará accíl Sáimon or sáañti. Isá ye Sáimon ore hoór de, “No ḍoorac, ehón ottu lóti tui manúc dóribi.”
2a050b005a	Tarfore ítara ítarar noow gún kul ot ainné, aar hárr kessú eri Íbar fisáli doijje.
2a050c00d7	Ekbar Isá ekkán cóor ot accíl, héṛe kuruse furaiya ezzon manúc accíl. Yóggwa ye Isá re deikké rár, uúiñtoi fori Íba re fóriyat gorér de, “Ó Malik, Tuñí sailé añré pak-sáf gorí faribá.”
2a050d0094	Isá ye Nizor át barái yóggwa re dóri hoór de, “Añí saái; pak-sáf óizogoi.” Tói éhon or bútore yóggwa ttu kurus biyaram giiyégoi.
2a050e00eb	Baade Isá ye yóggwa re nicót goijjé de, “Yián honókiyo re no hoiyó, bólke zai nizoré imam or hañse dahógoi, aar tuñí pak-sáf óiyo de híyan maincór hañse gobá ó fan, Muúsa ye hókum díye de hé kurbani dogói.”
2a050f00a4	Lekin Isár hóbor aró bicígori fóligiyoi, aar becábicí manúc ókkol Íbar hotá ókkol fúni bolla edde nizor biyaram ókkol ottu gom ói bolla aát tákito.
2a05100043	Montor Íba Nize egazá-egazá bocóti-sára zagat zai dua goittó.
2a05110113	Ek din zeñtté Isá ye taalim der, héṛe hoozzon Féroci edde Córiyot or alem ókkol boiṛá accíl, zetará aiccé de óilde Galil or fottí fara ttu, Yohúdiya ttu, edde Jerúsalem ottu. Aar biyaraimma ókkol ore gom gorí bolla Mabud or kudurut Isár fúañti accíl.
2a051200a1	Hé októt hodún maincé ek añtur manúc ore bisánat góri boói ainné; ítara kucíc goijjíl de, yóggwa re gór or bútore gólai Isár muúntu eri bolla.
2a051300ec	Montor zeñtté ítara manúc or zam olla bóuli yóggwa re bútore loizaibár rasta nó faa, hétunot ítara gór or sád or uore uiṭṭégoi, aar sáni bay yóggwa re bisána cóo manúc ókkol or mazéhale Isár muúntu lamaidiyé.
2a05140051	Ítarar iman dekí Isá ye hoór de “Dustó, tor guná maf gorídiya gíyeh.”
2a0515009d	Híyane alem ókkole edde Féroci ókkole báfat doijje de, “E Manúc cwa hon, zibá ye kuféri gorér? Siríf Alla bade guná maf gorífaroya hon asé?”
2a05160069	Isá ye ítarar báfani re zani, ítara re zuwabe hoór de, “Tuáñra dile-dile héndilla kiyá báfor?
2a05170061	Hoité hon nán aásan, ki ‘Tor guná maf gorídiya gíyeh,’ aar náki, ‘Uṛí áñṭ’?
2a051800ea	Lekin Añr ttu tuáñra re yián zanaidito monehoór, e duniyait guná maf goríbar kémota Manúc or Fua ttu asé.” Tói Íba ye añtur manúc cwa re hoór de, “Añí toré hoóir, uṭ, tor bisána tulí looi gór ot zaagói.”
2a05190090	Yóggwa éhon or bútore ítarar muúntu uiṭṭé, aar nize neṛi accíl de bisána wa tulí looi Allar taarif gorí-gorí gór ot giiyégoi.
2a051a008f	Híyane ítara beggún taajup óigiyoi, aar Allar taarif gorát doijje. Ítara kúb ḍooraizai hoór de, “Aijja añára harhána deikkí!”
2a051b00aa	Yárbaade Isá baárkule zai dekér de, Leévi nam or ézzon házana-tulóya házana tulé de gór ot boói táikke. Íba ye yóggwa re hoór de, “Añr fisáli doro.”
2a051c003e	Hétunot yóggwa hárr kessú eri uṛí Íbar fisáli doijje.
2a051d00be	Baade Leévi ye nizor gór ot Isá lla eggwá ḍoóñr hána goijjé; aar ítarar fúañti háito boiccé de héṛe házana-tulóya ókkol edde oinno manúc ókkol ḍoóñr ek dol accíl.
2a051e00be	Féroci ókkole edde ítarar alem ókkole Íbar ummot ókkol or hañse endilla cékayot gorát doijje, “Tuáñra házana-tulóyar edde gunágar ókkol or fúañti kiyá hána-fina hóo?”
2a051f0079	Isá ye ítara re zuwabe hoór de, “Araimma ókkol ottu toh ḍakṭor no lage, montor biyaraimma ókkol ottu beh lage.
2a0520005b	Añí touwár dawot dito aiccí de forhésgar ókkol ore no, bólke gunágar ókkol ore.”
2a052100b9	Ítara Isá re hoór de, “Yaháyar ummot ókkole toh egazá-egazá ruza raké edde dua goré, héndilla Férocir gúne yó goré, montor Tuáñr gúne toh hána-fina bad dede nái.”
2a05220064	Isá ye ítara re hoór de, “Dulá fúañti tákite kí tuáñra boiraitta re ruza rakái faribá?
2a05230079	Montor eén din aibó, zeñtté dulá re ítarar hañsóttu loiféla zaybo, héñtte ítara din híin ot ruza rakíbo.”
2a052400ef	Íba ye ítara re e meésal lan óu hoiyé, “Honókiye toh noya fucák ottu ekkágori fáṛi looi furan ekgwát tali dede nái; zodi dilé toh noya wa yó fáṛi zayboi, aar noya wa ttu loiyé de tali gán óu furan nwát no háṛibo.
2a052500bc	Héndilla, honókiye noya anggur or roc ore furan samarar hóillat raké de nái; zodi rakíle toh noya roc cúne hóilla gún fáṛifelai golizaybói, aar hóilla gún óu borbad zayboi.
2a05260042	Hétolla, noya anggur or roc ore noya samarar hóillat raká fore.
2a05270098	Honókiye toh furan anggur or roc hái baade noya anggur or roc háito azzu goré de nái, kiyólla-hoilé tee hoó de, ‘furan nún beh beétor.’”
2a06010095	Ekbar eén óiye, ebaadot-or-din Isá giyuñr kuñṛá báy zaar, aar Íbar ummot ókkole giyuñr túr ókkol tulí áte ḍoli-ḍoli háat doijje.
2a0602006c	Montor hodún Féroci ye hoór de, “Ebaadot-or-din ziyán goríbar maná, tuáñra híyan kiyá gorór?”
2a060300ab	Isá ye ítara re zuwabe hoór de, “Tuáñra kí yián úddwa nó foró, zeñtté Dawud edde íbar sáañti ókkol ottu búk laiggíl, héñtte íba ye kii goijjíl dé?
2a060400ce	Íba ye toh Allar gór ot góillegoi, aar Allar hañse peec goijjá ruṭi looi háail, ziín siríf imam ókkole bade ar honókiye háibar ezazot nái. Íba ye híin nizor sáañti ókkol ore yó diíl.”
2a06050057	Tarfore Isá ye ítara re hoór de, “Manúc or Fua óilde ebaadot-or-din or Malik.”
2a0606008c	Aró éggwa ebaadot-or-din Isá mujilíc-hánat góli taalim diyat doijje; héṛe ézzon endilla manúc accíl, zar den át tan fúaigiyoi.
2a06070098	Alem ókkole edde Féroci ókkole Íba ye ebaadot-or-din gom goré né háas nozor di saái táikke, zeéne ítara Íbar uore elzam lagaibár mouka faa.
2a0608008d	Montor Íba ye ítarar báfani re zani, át fúana manúc cwa re hoór de, “Uṛó, eṛé mazé tíyogai.” Tói yóggwa uṛí tíyaiye.
2a060900c1	Tarfore Isá ye ítara re hoór de, “Añí tuáñra re ekkán súwal gorí, ebaadot-or-din gom ham goríbar zayes asé né náki hóraf goríbar? Foran basaibár né náki hálak goríbar?”
2a060a00bf	Íba ye sairómikka ítara beggún or uzu saái, manúc cwa re hoór de, “Tuáñr át tan baró.” Tói yóggwa ye héndilla goijjé, hétunot yóggwar át tan agor ḍóilla gom óigiyoi.
2a060b0084	Montor ítara ttu bicí guccá uṛígiyoi, aar ezzon loi ezzone biyasana gorát doijjegoi de, ítara ttu Isá re kii gorá foribó.
2a060c0084	Hé din ókkol ot ek din, Isá dua gorí bolla eggwá faár or uore uiṭṭégoi, aar fura rait Allar hañse dua gorát haṛaiyé.
2a060d0086	Zeñtté din óiye, Íba ye Nizor ummot ókkol ore matai ítara ttu baró zon basíloiye, zetará re Íba ye sáhabi hoi lokób diyé.
2a060e007b	Ítara óilde: Sáimon zaré Íba ye Fitor nam diyé, edde íbar bái Enderiyas; aar Yakub, Yohánna, Filíp, Bartólomiyo,
2a060f0043	Moti, Tómas, Alfáiyas or fua Yakub, Sáimon zibá re Zélot hoó,
2a06100046	Yakub or fua Yohúdah, edde Yohúdah Iskáriyet zibá dóridoya óoil.
2a061100f5	Isá ítarar fúañti lami aái ekkán fúainna zagat tíyaiye; héṛe Íbar ḍoóñr ek dol ummot accíl, fúañti aró becábicí manúc ókkol óu accíl zetará óilde Yohúdiyar, Jerúsalem or, Ṭayár or, edde Sídon or doijjar hañsar,
2a06120094	zetará Íbar boiyan fúni bolla edde ítarar biyaram ottu gom ói bolla beh aiccé. Aar zetará re hóraf jine duk der, ítara re gom gorá gíyeh.
2a06130079	Manúc beggúne Íba re súibar kucíc goijjíl, kiyólla-hoilé Íba ttu taakot neeli zai beggún ore gom gorát doijje.
2a06140080	Isá ye Nizor ummot ókkol or uzu saái hoór de: “Mubarek tuáñra zetará gorif, kiyólla-hoilé Allar raijjo toh tuáñrar.
2a061500a0	Mubarek tuáñra zetará ehón búka, kiyólla-hoilé tuáñra re bóraidiya zaybo. Mubarek tuáñra zetará ehón hañdoór, kiyólla-hoilé tuáñra áñciba.
2a06160082	Mubarek tuáñra zeñtté maincé tuáñra re Manúc or Fuar zoriya nafórot goré, maárum goré, ínca goré, edde bodnam goré.
2a061700bb	“Hé din kúci goijjó, edde kúciye fál maijjo, kiyólla-hoilé fúno, asman ot tuáñra lla ḍoóñr boccíc asé. Héndilla toh ítarar bafdada ókkole nobi ókkol ore yó goittó.
2a06180074	Montor afsús tuáñrar uore zetará tuangor, kiyólla-hoilé tuáñra toh tuáñrar cúk beggún eṛé faifelaiyo.
2a061900cc	Afsús tuáñrar uore zetará yala feṭ bórai faroór, kiyólla-hoilé tuáñra búka óiba. Afsús tuáñrar uore zetará yala áñcor, kiyólla-hoilé tuáñra ferecan óiba edde hañdahaṛi goríba.
2a061a009c	Afsús tuáñrar uore zeñtté manúc beggúne tuáñrar nam goré, kiyólla-hoilé héndilla toh ítarar bafdada ókkole misá nobi ókkol ore yó goittó.
2a061b009d	“Lekin tuáñra zetará fúnor, Añí tuáñra re hoóir: nizor duccon ore muhábbot goijjó; zetará tuáñra re nafórot goré, ítara re bálai goijjó;
2a061c0077	zetará tuáñrar uore gozzob deh, ítara re borhot diyo; zetará tuáñra re bodsólluk goré, ítara lla dua goijjó.
2a061d00a7	Zee niki tuáñre ek galsaba sái suwar mare, ítare oh ḍák óu fíraidiyo; zee niki tuáñr saddor loizagói, ítare tuáñr kuruta yó loizaitó maná no goijjó.
2a061e006c	Zee niki tuáñr ttu mage, ítare diiyo; aar zee niki tuáñr jiníc loizagói, ítar ttu fírai no magiyó.
2a061f004b	Maincóre undilla goró zendilla tuáñra soó de, ítara tuáñre goróuk.
2a062000d1	“Zodi tuáñra cúdu tuáñra re muhábbot goré de ítara re muhábbot goró, tóoile súwab kiyólla faiba? Kiyólla-hoilé gunágar ókkole úddwa toh nizoré muhábbot goré de ítara re muhábbot goré.
2a062100a7	Aar zodi tuáñra cúdu tuáñra re bálai goré de ítara re bálai goró, tóoile súwab kiyólla faiba? Kiyólla-hoilé gunágar ókkole úddwa toh héndilla goré.
2a062200d4	Zodi tuáñra fírai faibar acá goró de hé manúc ítara re beh udár dóh, tóoile súwab kiyólla faiba? Kiyólla-hoilé gunágar ókkole úddwa toh gunágar ókkol ore udár déh, zeéne beggún fírai faa.
2a0623012d	Montor tuáñra nizor duccon ore muhábbot goró, ítarar bálai goró, aar kessú fírai faibar acá no gorí udár dóh; tói tuáñra lla boccíc ḍoóñr tákibo, aar tuáñra Alla Tálar fuain ṭóoriba, kiyólla-hoilé Íba Nize yó toh nacúkur edde hóraf manúc ókkol or uore rahám goré.
2a0624003d	Rahám dil ola ó, zendilla tuáñrar Baf óu rahám dil ola.
2a062500dd	“Ar ezzon or hosúri no doijjo, tói tuáñrar hosúri yó dóra no zaybo. Ar ezzon ore hosúrbon no ṭóoraiyo, tói tuáñra re yo hosúrbon ṭóora no zaybo. Maf gorídiyo, tói tuáñra re yó maf gorídiya zaybo.
2a062600d6	Diiyo, tói tuáñra re yó diiya zaybo. Sibi-sibi edde lari-lari baái fore fángori gom mafe tuáñrar kussát ḍálidiya zaybo. Kiyólla-hoilé tuáñra ze mafe doo, tuáñra re yó hé mafe beh diiya zaybo.”
2a0627008d	Isá ye ítara re e meésal lan óu diyé, “Ek añdá ye kí arek añdá re foñt dahái fare? Tará duní zon kí gañt ot no foribó né?
2a06280084	Cárit toh nizor ustat or túaro ḍoóñr no, lekin zar ttu niki furafuri cíkka óizagoi, íte nizor ustat or ḍóilla beh óibo.
2a06290081	“Tuñí tuáñr bái or suk ot asé de hál lan kiyá dekór, montor tuáñr nizor suk ot asé de hodda gán toh ót no gorór?
2a062a0135	Tuñí zettót tuáñr suk ot asé de hodda gán no dekór, tói tuñí tuáñr bái ore keéngori hoór de, ‘Bái, añí tuáñr suk ottu hál lan neelaifélai?’ Ó munafék! Age tuáñr nizor suk ottu hodda gán neelaifélo, baade tuáñr bái or suk ot asé de hál lan neelai bolla sáf góri dekíba.
2a062b0066	“Kiyólla-hoilé gom gas ot toh hóraf gula dóre de nái, aar hóraf gas ot gom gula dóre de nái.
2a062c009a	Ze honó gas ore yíbar gulaye beh siná zah. Kiyólla-hoilé maincé toh keñṛabon ottu ḍuñir gula no fare, yáh keñṛar záli ttu anggur no fare.
2a062d00c1	Gom manúce nizor dil or gom zomaiya ttu gom mún neela; aar hóraf manúce nizor dil or hóraf zomaiya ttu hóraf fun neela. Kiyólla-hoilé zar dil ziíne furaiya, nizor muké híin beh hoó.
2a062e006d	“Tuáñra zettót Añí ziín hoói híin amól no goró, tói Añré kiyólla, ‘Malik, Malik,’ ḍako?
2a062f006e	Zee niki Añr hañse aiyé aar Añr boiyan fúni amól goré, íte har ḍóilla de Añí tuáñra re daháir:
2a06300101	Íte óilde endilla ezzon manúc or ḍóilla, zee niki gór banaibárcot mur gori meṛi kurí cíl ot mazé buniyadi ḍáille. Zeñtté faníban aái hé gór gán ot dósadiye híyan ore lari nó fare, kiyólla-hoilé híyan toh mozbut gori bana giyéh.
2a06310104	Lekin zee niki fúni amól no goré, íte óilde endilla ezzon manúc or ḍóilla, zee niki honó buniyadi no ḍáli meṛir uore ekkán gór banaiyé. Tói zeñtté faníban aái hé gór gán ot dósadiye, híyan éhon or bútore fori ebbe nac óigiyoi.”
2a07010067	Zeñtté Isá ttu manúc cún ore híin beggún boiyan goijjá óiye, Íba Kaparnahúm cóor ot giiyé.
2a07020058	Héṛe ézzon ek cót fóous or cáap or bicí adorja gulam biyarame moron-moron óiye.
2a070300a2	Hé cáap pwá ye Isár baabute fúinne rár, Yohúdir hoozzon murubbi re Íbar hañse difeṛái Íba re aros goijjé de, aái yóggwar gulam mwa re gom goittó.
2a0704007b	Ítara Isár hañse aái Íba re becábicí fóriyat goijjé, eén hoói, “Hé manúc cwa Tuáñr e modot tán or laayek;
2a0705007c	kiyólla-hoilé yóggwa ye añárar koum ore muhábbot goré, aar añárar mujilíc-hána gán yóggwa ye beh banaidiyé.”
2a07060106	Hétunot Isá ítarar fúañti zaat doijje, lekin Íba zeñtté gór or hañsáhañsi foóñicce, cáap pwá ye hoozzon dustó difeṛái Íba re hoór de, “Malik, Nizoré ar duk no diyó, kiyólla-hoilé Tuñí añr gór or sal or nise aibár añí laayek no;
2a07070076	hétolla añí nizoré Tuáñr hañse aibár laayek bouli nó báfi. Siríf muké hoó, tói añr gulam gom óizayboi.
2a07080100	Kiyólla-hoilé añí nize yó ar ezzon or hókumot or tole así, aar fóous ókkol añr nise asé. Añí ezzon ore, ‘Zaa,’ hoilé, íte zaa, ar ezzon ore, ‘Ai,’ hoilé, íte aiyé, aar añr gulam ore, ‘Yián gor,’ hoilé, íte híyan goré.”
2a070900d1	Híyan fúni Isá taajup óigiyoi, aar zetará Íbar fisá dori accíl ítarar híkka fíri hoór de, “Añí tuáñra re hoóir, Añí ettór ḍoóñr iman Isráili ókkol or bútore úddwa loot nó fai.”
2a070a005a	Zetará re difeṛá gíyl ítara gór ot waafes aái, gulam mwa re gom óiya loot faiyé.
2a070b0085	Baade eén óiye, yárbaade Isá Nain nam or ekkán farat giiyé, fúañti Íbar ummot ókkol edde ḍoóñr ek dol manúc óu giíl.
2a070c00d3	Íba cóor or geiṭ or ḍáke foóñicce de októt, maincé eggwá muruda baáre loizar, íte óilde ítar maar lehár ek fua, aar maa wa accíl rari. Cóor ottu ḍoóñr ek dol manúc híbar fúañti accíl.
2a070d0066	Malik ottu híba re dekí, híba lla feṭfuijje, baade Íba ye híba re hoór de, “No hañdiyó.”
2a070e0094	Baade Íba ḍáke aái tabut twa súiye, aar muruda boói loizar de ítara tíyaigiyoi. Íba ye hoór de “Ó nojuan, Añí toré hoóir, uṭ!”
2a070f0075	Hétunot muruda wa uṛí boiccé aar hotá howát doijje. Baade Isá ye ítare ítar maar hañse waafes diifélaiye.
2a071000d5	Híyane manúc beggún or bútore ḍoor góligiyoi, aar ítara Allar taarif gorát doijje, eén hoói, “Añárar bútore eggwá ḍoóñr nobi uiṭṭé. Alla ye Nizor bonda ókkol ore modot goittó aiccé.”
2a0711005d	Íbar hé hóbor híyan Yohúdiya agagurat edde sairó ḍák or elaka beggún ot fóligiyoi.
2a07120044	Yaháyar ummot ókkole yóggwa re híin beggún or baabute zanaiyé.
2a071300c7	Tói Yaháya ye nizor duwá ummot ore matai, ítara re Malik or hañse yián fusár goittó difeṛáiye, “Tuñí aibár hotá asé de Íba né, aar náki añára ar ezzon olla entezar goittám?”
2a071400fe	Zeñtté manúc ítara Íbar hañse foóñicce, ítara hoór de, “Añára re bápṭismadoya Yaháya ye difeṛáiye deh, Tuáñr ttu yián fusár goittó, ‘Tuñí aibár hotá asé de Íba né, aar náki añára ar ezzon olla entezar goittám?’”
2a0715008a	Hé októt Íba ye boóut zon ore biyaram, afot, edde hóraf jin ottu basaiyé; Íba ye boóut zon añdá re yó dekíbar toóufik diiyé.
2a07160113	Íba ye ítara re zuwabe hoór de, “Zoo, tuáñra ziín deikkó edde fúinno híin Yaháya re zanogói, ki hoilé, añdá ye dekér, lenge áñṛer, kurus biyaraimma pak-sáf ór, náfange fúner, muruda zinda ór, edde gorif ókkol or hañse kúchóbor tobolik gorá zar.
2a07170038	Mubarek ubá, zee niki Añr baabute andacá no goré.”
2a071800b4	Zeñtté Yaháyar hóborgwa gún bacá lóiye, Íba ye manúc cún ore Yaháyar baabute howát doijje de, “Tuáñra moidan zagat kii saitó giíla dé? Boiyare lore de hóir né?
2a0719009c	Arnóile tuáñra kii saitó giíla dé? Barík hoor findá manúc né? Zetará dami-dami hoor fiñdí rongzuingga gorí sole, ítara toh razmohól ot éna.
2a071a0079	Tóoile tuáñra kii saitó giíla dé? Honó nobi né? Ói, Añí tuáñra re hoóir, nobir túaro ḍoóñr ézzon ore.
2a071b00ae	Yóggwa óilde ubá, zibár baabute pak-kalam ot endilla asé, ‘Soó, Añí Añr hóborgwa re Tuáñr age difeṛáir, zibá ye Tuáñr age Tuáñr foñt toiyar goríbo.’
2a071c00e2	Añí tuáñra re hoóir, mayafuain dor ttu zormo óiye de ítarar bútore bápṭismadoya Yaháyar túaro ḍoóñr honókiye nái; montor toóu úddwa Allar raijjot zee niki ebbe cóñṛo, íte yóggwar túaro ḍoóñr.”
2a071d0096	Zeñtté tamám manúc ókkole edde házana-tulóya ókkole híyan fúinne, ítara Yaháyar hañsóttu bápṭisma loi, Alla insáfwala de maniloiyé.
2a071e0097	Montor Féroci ókkole edde Córiyot or alem ókkole Yaháyar hañsóttu bápṭisma no loi, Alla ttu ítara lla accíl de moksót ore inkar gorídiye.
2a071f0065	Isá ye aró hoór de, “Añí e zobanar maincóre kii loi fúwan goittám? Ítara kiyór ḍóilla?
2a072000e6	Ítara undilla fuain dor ḍóilla, zetará bazar ot boói ezzon ore ezzone matai hoó de, ‘Tuáñra lla añára bací bazaiyí, montor tuáñra nó naso; tuáñra lla añára bilak or zari gaiyí, montor tuáñra nó hañdo.’
2a0721008c	Kiyólla-hoilé bápṭismadoya Yaháya aái zettót honó ruṭi edde anggur or roc ná háa, tuáñra hoó de, ‘Íba re búte faiyé.’
2a0722009b	Aar Manúc or Fua aái zettót háafiya gorér, tuáñra hoór de, ‘Soó, ezzon fitác edde córabkur, házana-tulóya edde gunágar ókkol or dustó.’
2a07230046	Lekin giyan sóiyi de híyan giyane soloya beggúne sábut goijjé.”
2a07240081	Féroci ókkol ottu ezzone Isá re nizor fúañti hána háito dawot diyé, tói Íba hé Féroci war gór ot zai háito boiccé.
2a072500b5	Hé cóor gán ot eggwá hóraf mayafua accíl; Isá Féroci war gór ot hána háar de híyan híba ye zani faijjé rár, híba ye fúañti fattór or háñrit góri añtor ainné,
2a072600da	aar Íbar fis ottu ṭéng or ḍáke tíyai, hañdi-hañdi Íbar ṭéng ore nizor suk or faní lói bízat doijje, baade nizor matár sul loi híin fuñsídiye edde Íbar ṭéng ot appá dí añtor gún ḍálidiye.
2a072700e4	Íba re dawot diyé de Féroci wa ye híyan deikké rár, yóggwa ye nizoré nize hoór de, “Zodi e Manúc cwa nobi óito, tóoile toh Ibá ye zainto, Nizoré hone edde hondilla mayafua ye dórer deh; mayafua wa toh hóraf.”
2a07280091	Hétunot Isá ye yóggwa re zuwabe hoór de, “Sáimon, Añr ttu tuáñre kessú hoibár asé.” Sáimone hoór de, “Ustat, hoói faribá.”
2a07290072	“Ezzon hozzo-dooya ttu dui zon hozzodár asé: ekzone loiyé fañs cót dinár, ar ekzone loiyé fonzaic dinár.
2a072a0099	Ítara zettót híin fúñzi no farer, yóggwa ye ítara duní zon or hozzo maf gorídiye. Tóoile ítara ttu yóggwa re hone bicí muhábbot goríbo?”
2a072b00a2	Sáimone zuwabe hoór de, “Añr kíyal mozin, zar niki bicí hozzo maf gorídiya gíyeh íte.” Íba ye yóggwa re hoór de “Tuñí sóiyi kíyal goijjó.”
2a072c0103	Baade mayafua war híkka fíri Íba ye Sáimon ore hoór de, “Tuñí e mayafua wa re dekór né? Añí toh tuáñr gór ot ailám; tuñí Añré foo dúi bolla faní nó doo, montor ibáh ye nizor suk or faní lói Añr foo bízai nizor sul loi fuñsídiye.
2a072d0071	Tuñí toh Añré appá nó doh, montor Añí bútore góilli lóti ibáh ye Añr foot appá díya bon nó goré.
2a072e004d	Tuñí Añr matát tel nó doh, montor ibáh ye Añr foot añtor ḍálidiye.
2a072f00ea	Hétolla Añí tuáñre hoóir, ibáh ttu bicí guná tákile yo, ibáhr hé guná híin maf gorídiya gíyeh, kiyólla-hoilé ibáh ye bicí muhábbot goijjé. Montor zaré hom maf gorídiya gíyeh, yóggwa ye hom muhábbot goré.”
2a0730004a	Baade Isá ye híba re hoór de, “Tuáñr guná maf gorídiya gíyeh.”
2a0731008b	Hétunot zetará Íbar fúañti hána háito boiccíl, ítara afós ot howáhoi gorér de, “Ibá hon, zibá ye guná úddwa maf goré?”
2a07320066	Lekin Íba ye mayafua wa re hoór de, “Tuáñr imane tuáñre basaiyé; cántir sáañte zoogói.”
2a080100a1	Yárbaade, Isá cóore-cóore edde fara-fara zai Allar raijjor baabute kúchóbor boiyan gorát edde tobolik gorát doijje. Baró zon nún Íbar fúañti accíl,
2a080200c5	hodún beṛiyáin óu accíl zetará re hóraf jin ókkol ottu edde ocúk ókkol ottu gom gorá gíyl; tará óilde: Moriyam, zibá re Makdálini ḍake, zibár bútottu háñt twa bút neeillíl;
2a0803008c	Joanna, zibá Hérud or uzir Kuzar or bou; Sosánna edde aró boóut beṛiyáin ókkol. Tará nizor cómbotti lói ítarar hédmot goittó.
2a0804007f	Ek din zeñtté fottí cóor ottu ḍoóñr ek dol manúc Isár hañse aái zoma óiye, Íba ye ítara re e meésal lan hoiyé:
2a080500bb	“Ezzon bis cíñṛoya bis cíñṭṭo neeillé. Yóggwa ye cíñṛer de októt, hodún bis rastarhañsat foijjíl; híin or uore úñran foijjíl, aar faik ókkole híin háifelaiye.
2a08060069	Hodún bis cíl or uore foijjíl, híine tocá nó faa ísafe barí uṛár fúañti-fúañti fúaigiyoi.
2a0807005d	Hodún bis keñṛabon ot foijjíl, fúañti keñṛabon barí uṛí híin ore sibi raikké.
2a080800c3	Lekin ar hodún bis gom zobin ot foijjíl; híin barí uiṭṭé, aar ek cót gun fósol dóijje.” Isá ye híin hoói baade guzori hoór de, “Zar ttu fúnibar han asé, yóggwa ye fúno.”
2a08090051	Isár ummot ókkole Íba ttu fusár gorér de, “E meésal lan or maáni kii?”
2a080a00c6	Íba ye hoór de, “Allar raijjor gufoni re zainto tuáñra re beh diya giyéh, montor oinno kiyó re meésal dí etollá howá zah, zeéne ‘ítara sailé yo no deké, aar fúnile yo no buzé.’
2a080b003e	“Meésal lan or maáni óilde yián: bis óilde Allar kalam.
2a080c00a1	Rastar hañsat foijjé de híin óilde uitará zetará fúne, montor Ibilíce aái ítarar dil ottu kalam loizagói, zeéne ítara iman nu ané aar nejat no faa.
2a080d00d9	Cíl zobin ot foijjé de híin óilde uitará, zetará kalam fúnile kúcir sáañte kobul goré; aar mozbut cíñyor nó gasá de hétolla kessú októ lla beh iman raké, montor entán ot fore de októt fissá mare.
2a080e00e6	Ze bis keñṛabon ot foijjé híin óilde uitará, zetará kalam fúne, montor zindigi haṛaité-haṛaité sintabáfaniye, dón-doulote, edde e zindigir ayaci-kúciye ítara re sibi raké, hétolla ítarar gula fagi no tooñre.
2a080f00ad	Lekin ze bis gom zobin ot foijjé híin óilde uitará, zetará cúndorgori edde gom dile kalam fúne, híin ore mozbut gori dóri raké, edde sobór or sáañte gula dóra.
2a081000ab	“Honókiye toh serak dórai tára lói záfai no raké, yáh falong or tole yó no raké, bólke boiṛónir uore éna raké, zeéne bútore aiyé de ítara foór deké.
2a08110090	Kiyólla-hoilé endilla surha kessú nái ziín zahér no óibo, aar endilla lukaiya yó kessú nái ziín zana no zaybo aar kúlahala no óibo.
2a081200d8	Hétolla tuáñra hondilla gori fúnor úñciyar, kiyólla-hoilé zar ttu niki asé, yóggwa re aró diiya zaybo; montor zar ttu niki nái, yóggwa ye nizor ttu ziín asé bóuli báfe híin úddwa loiféla zaybo.”
2a0813007f	Yárbaade Isár maa edde báiyain Íbar héṛe aiccé, montor maincór zam olla bóuli ítara Íbar íñyot foóñsi no farer.
2a08140076	Ezzone Íba re hóbor díye de, “Tuáñr maa edde báiyain baáre tíyai táikke, ítara Tuáñr llói milto sar.”
2a08150086	Montor Íba ye ítara re zuwab diyé de, “Añr maa edde báiyain óilde itará, zetará Allar kalam fúne edde híin amól goré.”
