010000000c	Olubereberye
0306070092	Awo kabona anaatangiririranga omuntu oyo mu maaso ga Mukama, era anaasonyiyibwanga mu bintu ebyo byonna by’anaabanga akoze n’azza omusango.”
030608001b	Mukama n’agamba Musa nti,
03060900d9	“Lagira Alooni ne batabani be nti: Lino lye tteeka ery’ebiweebwayo ebyokebwa. Ekiweebwayo ekyokebwa kinaabeeranga ku kyoto ekiro kyonna okutuusa enkeera, era omuliro gw’omu kyoto gunaabanga gwaka ebbanga lyonna.
03060a00cf	Awo kabona anaayambalanga ebyambalo bye ebya bafuta, ng’asooseemu eby’omunda ebya bafuta ku mubiri gwe, n’addira evvu eriri mu kyoto ery’ekiweebwayo ekyokebwa ku kyoto, n’alissa wabbali w’ekyoto.
03060b00a1	Aneeyambulangamu ebyambalo ebyo, n’ayambala ebyambalo ebirala, n’asitula evvu n’alitwala ebweru w’olusiisira mu kifo ekirongoofu eky’emikolo ng’egyo.
03060c00f1	Omuliro gunaasigalanga nga gwaka ebbanga lyonna, teguuzikirenga. Buli nkya kabona anaayongerangako enku ku kyoto; era anaatereezangako ekiweebwayo ekyokebwa ng’akitegese bulungi; era anaayokerangako amasavu ag’ebiweebwayo olw’emirembe.
03060d0045	Omuliro gunaasigalanga gwaka ku kyoto ebbanga lyonna; teguuzikirenga.
03060e0098	“Era lino ly’etteeka ery’ebiweebwayo eby’emmere ey’empeke. Batabani ba Alooni banaaleetanga ekiweebwayo ekyo awali Mukama mu maaso g’ekyoto.
03060f011c	Kabona anaayoolanga olubatu lw’obuwunga obulungi obw’ekiweebwayo eky’emmere y’empeke n’amafuta gaako ag’omuzeeyituuni n’obubaane bwonna, ebiri ku kiweebwayo ekyo, n’akyokya ku kyoto nga kye kitundu eky’ekijjukizo kyakyo, ne kivaamu evvumbe eddungi erisanyusa Mukama.
03061000a8	Batabani ba Alooni banaalyanga ekisigaddewo, naye nga tebaliiramu kizimbulukusa mu kifo ekyo ekitukuvu; banaakiriiranga mu luggya lw’Eweema ey’Okukuŋŋaanirangamu.
03061100d6	Tekiiyokerwengamu kizimbulukusa. Nkibawadde nga kye kinaabanga omugabo gwabwe ogw’oku biweebwayo byange ebyokebwa, kye kintu ekitukuvu ennyo okufaanana ng’ekiweebwayo olw’ekibi n’ekiweebwayo olw’omusango.
03061200cd	Buli mwana mulenzi ava mu Alooni anaayinzanga okukiryako, ng’etteeka ery’emirembe gyonna bwe ligamba erifa ku biweebwayo eri Mukama ebyokeddwa mu muliro. Buli anaabikwatangako anaafuukanga mutukuvu.”
030613001b	Mukama n’agamba Musa nti,
030614014e	“Kino ky’ekiweebwayo Alooni ne batabani be kye banaawangayo eri Mukama ku lunaku lwe banaafukibwangako amafuta ag’omuzeeyituuni: ekitundu eky’ekkumi ekya liita bbiri, nga kilo emu ey’obuwunga obulungi, nga kye kiweebwayo eky’emmere ey’empeke nga kisalirwa wakati ekitundu ekimu, enkya, n’ekitundu ekirala, akawungeezi.
03061500c5	Bunaafumbibwanga n’amafuta ag’omuzeeyituuni ku fulampeni, ne butabulwa bulungi, ne buweebwayo eri Mukama nga kye kiweebwayo eky’emmere ey’empeke, ekivaamu evvumbe eddungi erisanyusa Mukama.
03061600ca	Kabona ow’omu baana ba Alooni anaabanga afukiddwako amafuta ag’omuzeeyituuni okumusikira, y’anaakiwangayo eri Mukama ng’amateeka bwe galagira emirembe gyonna; ekiweebwayo kyonna kinaayokebwanga.
0306170078	Buli kiweebwayo kyonna eky’emmere ey’empeke kabona ky’anaawangayo kinaayokebwanga bulambalamba; tekiiriibwenga.”
030618001b	Mukama n’agamba Musa nti,
03061900d8	“Tegeeza Alooni ne batabani be nti bino bye biragiro eby’ekiweebwayo olw’ekibi. Ekiweebwayo olw’ekibi kinattirwanga mu maaso ga Mukama awo wennyini ebiweebwayo ebyokebwa we bittirwa; kiweebwayo kitukuvu nnyo.
03061a0081	Kabona anaakiwangayo olw’ekibi y’anaakiryanga. Kinaalirwanga mu kifo ekitukuvu mu luggya lwa Weema ey’Okukuŋŋaanirangamu.
03061b00ab	Buli ekinaakoonanga ku nnyama y’ekiweebwayo ekyo, kinaafuukanga kitukuvu; era ogumu ku musaayi gwakyo bwe gunaamansukiranga ekyambalo, kinaayozerwanga mu kifo ekitukuvu.
03061c0099	Ensaka ey’ebbumba mwe kinaafumbirwanga eneeyasibwanga; naye bwe kinaafumbirwanga mu nsaka ey’ekyuma, eneekuutibwanga n’emunyunguzibwamu n’amazzi.
03061d0047	Buli kabona omusajja anaayinzanga okukiryako; kiweebwayo kitukuvu nnyo.
03061e00b6	Naye ekiweebwayo olw’ekibi, omusaayi gwakyo nga guleeteddwako mu Weema ey’Okukuŋŋaanirangamu olw’okwetangirira mu kifo ekyo ekitukuvu, tekiiriibwenga, kyonna kinaayokebwanga.
0307010053	“‘Bino bye biragiro eby’ekiweebwayo olw’omusango; kinaabanga kitukuvu nnyo.
03070200a9	Ekiweebwayo olw’omusango kinattirwanga awo wennyini ekiweebwayo ekyokebwa we kittirwa, era omusaayi gwakyo gunaamansirwanga ku njuyi zonna ez’ekyoto okukyebungulula.
0307030055	Amasavu gaakyo gonna ganaawebwangayo: omukira ogwa ssava, amasavu agabikka ku byenda,
0307040075	ensigo zombi awamu n’amasavu agaziriko okuliraana ekiwato, n’ekibikka ku kibumba nga biggyibwako wamu n’ensigo.
0307050076	Kabona anaabyokeranga ku kyoto nga kye kiweebwayo eri Mukama ekyokeddwa mu muliro. Ekyo kye kiweebwayo olw’omusango.
030706006f	Buli kabona omusajja anaayinzanga okukiryako; kyokka kinaalirwanga mu kifo ekitukuvu. Kiweebwayo kitukuvu nnyo.
03070700b0	Ebiragiro ebikwata ku kiweebwayo olw’omusango bye bimu n’ebikwata ku kiweebwayo olw’ekibi. Kabona anaakozesanga ebiweebwayo ebyo olw’okutangiririra, y’anaabitwalanga.
030708006f	Kabona anaaweerangayo omuntu yenna ekiweebwayo kye ekyokebwa, y’aneesigalizanga eddiba ly’ekiweebwayo ekyo.
03070900ba	Era buli kiweebwayo eky’emmere ey’empeke ekinaafumbibwanga mu oveni n’ekyo kyonna ekinaateekerwateekerwanga ku fulampeni oba ku lukalango, kabona oyo akiwaddeyo y’anaakitwalanga.
03070a00c2	Era na buli kiweebwayo eky’empeke ekya buli ngeri, nga kitabuddwa mu mafuta ag’omuzeeyituuni oba nga kikalu kyereere, batabani ba Alooni be banaakitwalanga nga bakigabana kyenkanyi buli omu.
03070b005e	“‘Bino by’ebiragiro eby’ekiweebwayo olw’emirembe omuntu ky’anaawangayo eri Mukama.
03070c0139	“‘Bw’anaakiwangayo olw’okwebaza, ekiweebwayo ekyo anaakigattirangako zikkeeke ezitabuliddwamu amafuta ag’omuzeeyituuni kyokka nga temuli kizimbulukusa, n’obusukuuti obw’oluwewere nga busiigiddwako amafuta ag’omuzeeyituuni, ne zikkeeke ez’obuwunga obulungi ennyo nga zigoyeddwa bulungi mu mafuta.
03070d0073	Awamu n’ebiweebwayo bye olw’emirembe n’olw’okwebaza, anaaleeterangako emigaati emifumbe n’ekizimbulukusa.
03070e00c7	Ku buli kimu ku biweebwayo ebyo anaggyangako omugaati gumu n’aguwaayo ng’ekiweebwayo eri Mukama; kabona anaamansiranga omusaayi ogw’ekiweebwayo olw’emirembe y’anaatwalanga ekiweebwayo ekyo.
03070f00af	Ennyama y’ebiweebwayo by’omuntu oyo by’aleese olw’emirembe olw’okwebaza eneeriibwanga ku lunaku olwo lwennyini olw’ebiweebwayo bye ebyo; tekubangako gy’asuzaawo.
03071000d9	“‘Naye omuntu bw’anaawangayo ekiweebwayo olw’okutuukiriza obweyamo, oba olw’okweyagalira, kinaaliibwanga ku lunaku olwo lwennyini lw’akiwaddeyo; ekinaasigalangawo ku kiweebwayo ekyo kinaaliibwanga enkeera.
0307110061	Ennyama ey’ekiweebwayo eneefikkangawo n’etuusa ku lunaku olwokusatu eneeyokebwanga mu muliro.
0307120101	Ennyama y’ekiweebwayo ky’omuntu oyo olw’emirembe bw’eneeriibwanga ku lunaku olwokusatu, ekiweebwayo ekyo Mukama taakikkirizenga, n’oyo akiwaddeyo tekiimubalirwengako kubanga tekiibenga kirongoofu, ne buli anaakiryangako anaabanga azzizza omusango.
03071300b2	“‘Ennyama eneekoonanga ku kintu kyonna ekitali kirongoofu teeriibwenga, wabula eneeyokebwanga mu muliro; naye ku nnyama endala omuntu yenna omulongoofu anaayinzanga okulyako.
0307140090	Naye omuntu atali mulongoofu bw’anaalyanga ku nnyama ey’ekiweebwayo eri Mukama olw’emirembe, anaaboolebwanga nga takyabalirwa mu bantu be.
0307150119	Era omuntu yenna bw’anaakwatanga ku kintu ekitali kirongoofu, obanga kivudde mu muntu oba mu nsolo, oba ekintu kyonna ekikyayibwa ekitali kirongoofu, ate n’alya ku nnyama y’ekiweebwayo eri Mukama olw’emirembe, omuntu oyo anaaboolebwanga, nga takyabalirwa mu bantu be.’”
030716001b	Mukama n’agamba Musa nti,
0307170065	“Tegeeza abaana ba Isirayiri nti, ‘Temulyanga ku masavu ga nte, oba ag’endiga, oba ag’embuzi.
03071800b6	Amasavu g’ensolo efudde obufi yokka, n’amasavu g’eyo etaaguddwataaguddwa ensolo endala munaagakozesanga ku bintu ebirala byonna eby’omugaso, naye tekabatandanga ne mugalyako.
03071900a2	Kubanga buli muntu anaalyanga ku masavu ag’ensolo eneevangako ekiweebwayo eri Mukama ekyokeddwa mu muliro, anaaboolebwanga, nga takyabalirwa mu bantu ba Mukama.
03071a007f	Era buli kifo kyonna gye munaabeeranga, temuulyenga ku musaayi n’akatono, ne bwe gunaabanga ogw’ebinyonyi oba ogw’ensolo.
03071b0063	Omuntu yenna anaalyanga ku musaayi, omuntu oyo anaaboolebwanga, nga takyabalirwa mu bantu be.’”
03071c001b	Mukama n’agamba Musa nti,
03071d0092	“Tegeeza abaana ba Isirayiri nti, Omuntu anaaleetanga ekiweebwayo kye olw’emirembe eri Mukama, anaawangayo eri Mukama Katonda ekitundu kyakyo.
03071e00e6	Anaakisitulanga n’engalo ze n’akireeta eri Mukama Katonda nga kye kiweebwayo kye ekyokeddwa mu muliro. Amasavu n’ekifuba nabyo anaabireetanga, n’awuubawuuba ekifuba mu maaso ga Mukama, ng’ekyo kye kiweebwayo ekiwuubibwa.
03071f0058	Amasavu kabona anaagokyanga ku kyoto, naye ekifuba kinaabanga kya Alooni ne batabani be.
0307200071	Ekisambi ekya ddyo kinaawebwanga kabona nga gwe mugabo gwe oguvudde ku kiweebwayo ky’omuntu oyo olw’emirembe.
0307210093	Mutabani wa Alooni anaabanga awaddeyo omusaayi n’amasavu eby’ekiweebwayo olw’emirembe, y’anaafunanga ekisambi ekya ddyo nga gwe mugabo gwe.
03072200e9	Ku kiweebwayo olw’emirembe eky’abaana ba Isirayiri, nzigyeko ekifuba ekiwuubibwawuubibwa n’ekisambi, ne mbiwa kabona Alooni ne batabani be, nga gwe gunaabanga omugabo gwabwe ogunaavanga mu baana ba Isirayiri emirembe gyonna.”
03072300b6	Guno gwe mugabo nga guva ku biweebwayo eri Mukama Katonda ebyokeddwa mu muliro, ogwagerekerwa Alooni ne batabani be ku lunaku lwe baaleetebwa eri Mukama okumuweereza nga bakabona be.
03072400b3	Ku lunaku lwe baafukibwako amafuta ag’omuzeeyituuni, Mukama Katonda yalagira nti abaana ba Isirayiri babibawenga okubeeranga omugabo gwabwe, ogw’enkalakkalira emirembe gyonna.
03072500e2	Eryo lye tteeka n’ebiragiro ebifuga ebiweebwayo ebyokebwa, ebiweebwayo eby’emmere ey’empeke, n’ebiweebwayo olw’ekibi, n’ebiweebwayo olw’omusango, n’ebiweebwayo olw’okwawulibwa, n’ebiweebwayo olw’emirembe,
03072600a4	Mukama Katonda bye yawa Musa ku lusozi Sinaayi ku lunaku lwe yalagirirako abaana ba Isirayiri okuleeta ebiweebwayo byabwe eri Mukama Katonda, mu ddungu lya Sinaayi.
0308010027	Awo Mukama Katonda n’agamba Musa nti,
03080200d7	“Leeta Alooni ne batabani be, n’ebyambalo, n’amafuta ag’omuzeeyituuni ag’okwawula, ne seddume y’ente ey’ekiweebwayo olw’ekibi, n’endiga ennume bbiri, n’ekibbo ky’emigaati egitali mizimbulukuse;
030803004f	okuŋŋaanyize abantu bonna ku mulyango gwa Weema ey’Okukuŋŋaanirangamu.”
030804008d	Musa n’akola nga Mukama Katonda bwe yamulagira; abantu ne bakuŋŋaanira mu kibiina kinene ku mulyango gwa Weema ey’Okukuŋŋaanirangamu.
0308050054	Awo Musa n’agamba ekibiina nti, “Kino Mukama Katonda ky’atulagidde okukola.”
0308060048	Bw’atyo Musa n’aleeta Alooni ne batabani be n’abanaaza n’amazzi.
03080700c4	N’ayambaza Alooni ekkooti, n’amusiba olwesibyo, n’amwambaza omunagiro, n’amwambaza n’ekyambalo ekya efodi, n’amusibya olwesibyo lwa efodi olwalukibwa n’amagezi amangi, n’amunyweza.
030808004d	N’amuteekako ekyomukifuba, era mu kyomukifuba n’ateekamu Ulimu ne Sumimu.
0308090099	N’amusiba ekitambaala ku mutwe, ne mu maaso ku kitambaala n’assaako ekipande ekya zaabu, nga ye ngule entukuvu, nga Mukama Katonda bwe yalagira Musa.
03080a008e	Awo Musa n’addira amafuta ag’omuzeeyituuni ag’okwawula, n’agakozesa okwawula Weema ya Mukama, ne byonna ebibeeramu nabyo n’abyawula.
03080b008f	N’amansira agamu ku mafuta ku kyoto emirundi musanvu, n’ayawula ekyoto ne byonna ebikozesebwako, n’ebbensani ne mw’etuula, okubitukuza.
03080c0057	N’afuka agamu ku mafuta ag’okwawula ku mutwe gwa Alooni, n’amwawula, okumutukuza.
03080d0093	Awo Musa n’aleeta batabani ba Alooni n’abambaza amakooti, n’abasiba eneesibyo, n’abambaza enkuufiira, nga Mukama Katonda bwe yalagira Musa.
03080e0065	Awo n’aleeta seddume ey’ekiweebwayo olw’ekibi; Alooni ne batabani be ne bakwata ku mutwe gwayo.
03080f00db	Musa n’agitta, n’addira omusaayi gwayo n’agusiiga n’olugalo lwe ku mayembe ag’oku kyoto okukyebungulula, n’atukuza ekyoto. Omusaayi ogwasigalawo n’aguyiwa wansi w’ekyoto, n’akitukuza, okukitangiririra.
0308100090	Musa n’addira amasavu gonna agaali ku byenda, n’agaali gabisse ku kibumba, n’ensigo zombi n’amasavu gaazo, byonna n’abyokera ku kyoto.
030811008f	Naye seddume, n’eddiba lyayo, n’ennyama yaayo, n’obusa bwayo, n’abyokera mu muliro ebweru w’olusiisira, nga Mukama bwe yalagira Musa.
0308120069	Awo n’aleeta endiga ennume ey’ekiweebwayo ekyokebwa; Alooni ne batabani be ne bakwata ku mutwe gwayo.
0308130041	Musa n’agitta, n’amansira omusaayi gwayo buli wantu ku kyoto.
0308140066	Awo endiga ng’ewedde okusalwasalwa mu bifi, Musa n’ayokya ebifi ebyo n’omutwe gwayo n’amasavu.
03081500eb	Ebyenda n’amagulu nga biwedde okunaazibwa n’amazzi, Musa n’alyoka ayokya endiga yonna ku kyoto. Ekyo nga kye kiweebwayo ekyokye eky’akawoowo akasanyusa, nga kiweerwayo ku muliro eri Mukama, nga Mukama Katonda bwe yalagira Musa.
0308160093	Awo Musa n’aleeta endiga ennume eyookubiri, nga y’endiga ey’ekiweebwayo olw’okwawulibwa; Alooni ne batabani be ne bagikwata ku mutwe gwayo.
03081700d2	Musa n’alyoka agitta, n’addira ku musaayi gwayo n’agusiiga ku kasongezo k’okutu kwa Alooni okwa ddyo, ne ku kinkumu eky’engalo ye ey’omukono ogwa ddyo, ne ku kigere ekisajja eky’okugulu okwa ddyo.
030818012b	Batabani ba Alooni nabo ne baleetebwa, Musa n’asiiga omusaayi ku busongezo bw’amatu gaabwe aga ddyo, ne ku binkumu eby’engalo zaabwe ez’emikono gyabwe egya ddyo, ne ku bigere ebisajja eby’amagulu gaabwe aga ddyo. Musa n’addira omusaayi n’agumansira buli wantu ku kyoto okukyebungulula.
03081900ab	N’addira amasavu n’omukira ogwo omusava, n’amasavu gonna agaali ku byenda, n’agaali gabisse ku kibumba, n’ensigo zombi n’amasavu gaazo, n’ekisambi ekya ddyo;
03081a011d	n’alaba mu kibbo omubeera emigaati egitali mizimbulukuse egibeera mu maaso ga Mukama Katonda, n’aggyamu akagaati kamu akatali kazimbulukuse, n’akagaati akaakolebwa n’amafuta ag’omuzeeyituuni, n’akasukuuti ak’oluwewere kamu, n’abiteeka ku masavu ne ku kisambi ekya ddyo;
03081b008d	ebyo byonna n’abikwasa Alooni ne batabani be mu ngalo zaabwe, ne babiwuubawuuba mu maaso ga Mukama Katonda, nga kye kiweebwayo ekiwuubibwa.
03081c00d2	Awo Musa ebyo byonna n’abibaggyako, n’abyokera ku kyoto awamu n’ekiweebwayo ekyokebwa, nga kye kiweebwayo eri Mukama Katonda eky’okwawulibwa, ekyokebwa mu muliro ne muvaamu akawoowo akalungi akasanyusa.
03081d00be	Era Musa n’addira ekifuba n’akiwuubawuuba, nga kye kiweebwayo eri Mukama ekiwuubibwa. Guno nga gwe mugabo gwa Musa ku ndiga ennume ey’okwawulibwa, nga Mukama Katonda bwe yalagira Musa.
03081e00fe	Awo Musa n’addira ku mafuta ag’okwawula ne ku musaayi ogwali ku kyoto, n’amansira ku Alooni ne ku byambalo bye, ne ku batabani be awamu ne ku byambalo byabwe. Bw’atyo n’atukuza Alooni n’ebyambalo bye awamu ne batabani be n’ebyambalo byabwe.
03081f0125	Musa n’agamba Alooni ne batabani be nti, “Ennyama mugifumbire awo ku mulyango gw’Eweema ey’Okukuŋŋaanirangamu, era awo we muba mugiriira awamu n’emigaati egiri mu kibbo omuli ebiweebwayo olw’okwawulibwa, nga bwe nabalagira nga ŋŋamba nti, ‘Alooni ne batabani be baligirya.’
030820003d	Ebifisseewo ku nnyama ne ku migaati mujja kubyokya mu muliro.
03082100cc	Era temufulumanga okuva ku mulyango gwa Weema ey’Okukuŋŋaanirangamu okumala ennaku musanvu, okutuusa ng’ennaku zammwe ez’okwawulibwa zituukiridde, kubanga okubaawula kugenda kumala ennaku musanvu.
030822005c	Mukama alagidde nti nga bwe kikoleddwa leero bwe kinaakolebwanga bwe kityo okubatangiririra.
03082300bd	Mujja kubeera ku mulyango gwa Weema ey’Okukuŋŋaanirangamu emisana n’ekiro okumala ennaku musanvu, nga mukola ebyo Mukama by’abalagidde, si kulwa nga mufa; bwe ntyo bwe ndagiddwa.”
0308240067	Bwe batyo Alooni ne batabani be ne bakola ebyo byonna Mukama Katonda bye yalagira ng’abiyisa mu Musa.
030901005c	Ku lunaku olw’omunaana Musa n’ayita Alooni ne batabani be n’abakulembeze ba Isirayiri.
03090200c4	N’agamba Alooni nti, “Ddira ennyana eya sseddume eweebwayo olw’ekibi, n’endiga ennume olw’ekiweebwayo ekyokebwa, nga zombi teziriiko kamogo, oziweeyo ng’ekiweebwayo eri Mukama Katonda.
03090300d7	Ogambe abaana ba Isirayiri nti, ‘Muddire embuzi ennume eweebwayo olw’ekibi, n’ennyana n’omwana gw’endiga, nga zino zombi zaakamala omwaka gumu obukulu era nga teziriiko kamogo, nga za kiweebwayo ekyokebwa;
0309040119	era n’ente eya sseddume n’endiga ennume eby’ebiweebwayo olw’emirembe, n’ekiweebwayo eky’emmere ey’empeke nga mulimu amafuta ag’omuzeeyituuni, byonna mubiweeyo nga kye kiweebwayo eri Mukama Katonda; kubanga ku lunaku lwa leero Mukama Katonda ajja kubalabikira.’”
03090500b9	Bwe batyo ne baleeta byonna Musa bye yabalagira okuleeta mu maaso ga Weema ey’Okukuŋŋaanirangamu. Abantu bonna, kye kibiina ekinene, ne basembera ne bayimirira awali Mukama Katonda.
0309060084	Musa n’alyoka abagamba nti, “Kino kye kyo Mukama Katonda kye yabagambye okukola, era ekitiibwa kya Mukama kijja kubalabikira.”
03090700ff	Awo Musa n’agamba Alooni nti, “Sembera ku kyoto oweeyo ekiweebwayo kyo olw’ebyonoono byo, n’ekiweebwayo kyo ekyokebwa, olyoke weetangiririre awamu n’abantu era oleete ekiweebwayo eky’abantu; obatangiririre; nga Mukama Katonda bwe yalagidde.”
030908005c	Awo Alooni n’asembera ku kyoto, n’atta ennyana ey’ekiweebwayo kye olw’ebyonoono bye.
030909009d	Batabani ba Alooni ne bamuleetera omusaayi, n’annyika olunwe lwe mu musaayi n’agusiiga ku mayembe ag’oku kyoto, n’afuka omusaayi ku ntobo y’ekyoto.
03090a0094	N’addira amasavu n’ensigo n’ebibikka ku kibumba eby’omu kiweebwayo olw’ekibi, n’abyokera ku kyoto, nga Mukama Katonda bwe yalagira Musa.
03090b0040	Ennyama n’eddiba n’abyokera mu muliro ebweru w’olusiisira.
03090c0074	Alooni n’atta ekiweebwayo ekyokebwa; batabani be ne bamuleetera omusaayi, n’agumansira ku kyoto okukyebungulula.
03090d0066	Ne bamuleetera ebifi eby’ekiweebwayo ekyokebwa nga n’omutwe kweguli; byonna n’abyokera ku kyoto.
03090e0054	N’ayoza ebyenda n’amagulu, n’abyokera wamu n’ekiweebwayo ekyokebwa ku kyoto.
03090f00bf	Awo Alooni n’aleeta ekiweebwayo olw’abantu. Yaddira embuzi ey’ekiweebwayo olw’ebibi by’abantu n’agitta, n’agiwaayo ng’ekiweebwayo kye olw’ekibi, kye yasooka olw’ebibi bye.
0309100048	N’aleeta ekiweebwayo ekyokebwa n’akiwaayo ng’etteeka bwe liragira.
0309110091	N’aleeta ekiweebwayo eky’emmere ey’empeke, n’ayoolamu olubatu, n’akyokya ku kyoto okuliraana n’ekiweebwayo ekyokebwa eky’omu makya.
03091200c6	Ente ya sseddume n’endiga ennume nazo n’azitta, nga bye biweebwayo olw’emirembe eby’abantu; batabani ba Alooni ne bamuleetera omusaayi, n’agumansira ku kyoto okukyebungulula enjuuyi zonna.
030913009d	Naye amasavu ag’ente eya sseddume n’ago ag’endiga ennume, n’amasavu ag’oku mukira, n’ago agabikka ku byenda, n’ensigo, n’agabikka ku kibumba,
0309140055	ne bateeka amasavu gaabyo ku bifuba by’ensolo ezo, n’ayokya amasavu ago ku kyoto;
030915008f	naye ebifuba n’ekisambi ekya ddyo, Alooni n’abiwuubawuuba mu maaso ga Mukama Katonda nga kye kiweebwayo ekiwuubibwa, nga Musa bwe yalagira.
03091600d1	Awo Alooni n’awanikira abantu emikono gye, n’abasabira omukisa. Bw’atyo Alooni ng’amaze okuwaayo ekiweebwayo olw’ekibi, n’ekiweebwayo ekyokebwa, n’ekiweebwayo olw’emirembe, n’avaayo ku kyoto.
03091700a6	Musa ne Alooni ne bayingira mu Weema ey’Okukuŋŋaanirangamu. Bwe baafuluma ne basabira abantu omukisa, era ekitiibwa kya Mukama Katonda ne kirabikira abantu bonna.
03091800d6	Omuliro ne gujja nga guva eri Mukama Katonda ne gumalirawo ddala ekiweebwayo ekyokebwa n’amasavu ebyali ku kyoto. Awo abantu bonna bwe baakiraba ne baleekaana ne bagalamira wansi ng’amaaso gaabwe gali ku ttaka.
030a0100d7	Awo olwatuuka, batabani ba Alooni, Nadabu ne Abiku ne beetwalira buli omu ekyoterezo kye, ne bateekamu omuliro, ne bassaako obubaane, ne bawaayo eri Mukama Katonda omuliro ogutali mutukuvu, ne basobya ekiragiro kye.
030a020052	Omuliro ne guva eri Mukama ne gubookya, ne bafiira awo mu maaso ga Mukama Katonda.
030a0300e6	Awo Musa n’agamba Alooni nti, Kino Mukama Katonda kye yayogerako bwe yagamba nti, “‘Nzija kweyolekanga nga bwe ndi omutukuvu eri abo abansemberera, era nassibwangamu ekitiibwa abantu bonna.’” Alooni n’asirika busirisi.
030a0400d8	Awo Musa n’ayita Misayeri ne Erizafani, abaana ba Wuziyeeri kitaawe omuto owa Alooni, n’abagamba nti, “Mujje wano musitule emirambo gya baganda bammwe mugiggye wano awatukuvu mugitwale ebweru w’olusiisira.”
030a050085	Bwe batyo ne bajja ne basitula baganda baabwe abo nga bwe baali bayambadde ne babatwala ebweru w’olusiisira nga Musa bwe yabagamba.
030a060182	Awo Musa n’agamba Alooni, ne Eriyazaali ne Isamaali, batabani ba Alooni, nti, “Mmwe temusumulula nviiri zammwe okuzita ne zireebeeta era temuyuza byambalo byammwe nga mukungubaga, kubanga muyinza okufa, n’obusungu bwa Mukama Katonda buyinza okubuubuukira abantu bonna. Naye baganda bammwe, ye nnyumba yonna eya Isirayiri, babakaabire abo Mukama Katonda b’azikirizza n’omuliro.
030a0700ba	Era temuva ku mulyango gwa Weema ey’Okukuŋŋaanirangamu, temulwa kufa; kubanga muliko amafuta ag’omuzeeyituuni ga Mukama Katonda ag’okwawula.” Ne bakola nga Musa bwe yabalagira.
030a080029	Awo Mukama Katonda n’agamba Alooni nti,
030a0900fa	“Ggwe ne batabani bo bwe muyingiranga mu Weema ey’Okukuŋŋaanirangamu temunywanga envinnyo oba ekyokunywa ekirala kyonna ekitamiiza; bwe mulikikola temulirema kufa. Eryo linaabanga tteeka ery’enkalakkalira ne mu mirembe gyonna egigenda okujja.
030a0a004b	Mwawulengamu ebitukuvu n’ebyabulijjo, ebirongoofu n’ebitali birongoofu;
030a0b0077	era kibasaanidde okuyigirizanga abaana ba Isirayiri amateeka gonna Mukama Katonda g’abawadde ng’agayisa mu Musa.”
030a0c0113	Awo Musa n’agamba Alooni ne Eriyazaali ne Isamaali, batabani ba Alooni abaali basigaddewo, nti, “Mutwale ekiweebwayo eky’emmere ey’empeke ekyasigaddewo ku biweebwayo ebyokebwa eri Mukama Katonda nga si kizimbulukuse, mukiriire okumpi n’ekyoto kubanga kitukuvu nnyo.
030a0d00a3	Mukiriire mu kifo ekitukuvu, kubanga gwe mugabo gwo, era gwe mugabo gw’abatabani bo, nga guva ku kiweebwayo eri Mukama Katonda ekyokebwa; bwe ntyo bwe ndagiddwa.
030a0e012a	Naye ekifuba ekiwuubibwa n’ekisambi ekiweebwayo munaabiriira mu kifo kyonna kye munaalaba ekirongoofu; mubirye, ggwe ne batabani bo ne bawala bo b’oli nabo; kubanga bibaweereddwa ng’omugabo gwammwe, ggwe n’abaana bo, nga biva ku biweebwayo olw’emirembe ebiweereddwayo abaana ba Isirayiri.
030a0f011a	Ekisambi ekiweereddwayo n’ekifuba ekiwuubibwa, binaaleetebwa awamu n’amasavu ag’oku biweebwayo ebyokebwa, ne biwuubibwawuubibwa nga kye kiweebwayo ekiwuubibwa awali Mukama, era kinaabeeranga mugabo gwo awamu ne batabani bo emirembe gyonna; nga Mukama Katonda bw’alagidde.”
030a1000ce	Awo Musa n’abuuliriza ebyali bifudde ku mbuzi ey’ekiweebwayo olw’ekibi, n’avumbula nga baagyokezza dda, n’anyiigira batabani ba Alooni abaali basigaddewo, Eriyazaali ne Isamaali, n’ababuuza nti,
030a1100c2	“Lwaki ekiweebwayo ekyo olw’ekibi temwakiriiridde, wali awatukuvu? Kitukuvu nnyo. Kyabaweereddwa kiryoke kiggyiseeko abantu bonna ebibi byabwe, nga mmwe mubatangiririra awali Mukama Katonda.
030a120086	Ng’omusaayi gwayo bwe gutaatwaliddwa munda mu Kifo Ekitukuvu, embuzi eyo ddala mwandigiriiridde awo awatukuvu nga bwe nabalagira.”
030a130102	Awo Alooni n’addamu Musa nti, “Laba, olwa leero bawaddeyo eri Mukama Katonda ekiweebwayo olw’ebibi byabwe n’ekiweebwayo kyabwe ekyokebwa; naye era ebintu nga bino ne bingwako. Mukama Katonda yandisanyuse singa leero ndidde ekiweebwayo olw’ekibi?”
030a140030	Awo Musa bwe yawulira ebigambo ebyo n’amatira.
030b010031	Awo Mukama Katonda n’agamba Musa ne Alooni nti,
030b02006d	“Mutegeeze abaana ba Isirayiri nti bino bye biramu bye munaayinzanga okulya mu bisolo byonna eby’oku nsi.
030b03006c	Munaayinzanga okulya ensolo yonna erina ekigere ekyaseemu nga kyeyawulidde ddala, era ng’ezza obwenkulumu.
