280000000f	ମାତିଉ
2a092b0197	ଆବେଟ୍‌ ୱିଜେରେ ମାପୁରୁଦି ପେରିସାକ୍ତି ଉଣ୍ତିଙ୍ଗ୍‌ କାବାଆତାର୍‌ । ମାତର୍‌ ୱାନି କିତି ୱିଜୁ ପାଣିଦି ଉଣ୍ତିଙ୍ଗ୍‌ ୱିଜେରେ କାବା ଆନିୱାଲେ ଜିସୁ ୱାନି ସିସୁରିଙ୍ଗ୍‌ ଇର୍‌ଆନ୍‌,
2a092c011e	“ଇୟାୱିଜୁ ମାଟା ମି ଗିତଣିଆଙ୍ଗ୍‍ଁ ୱେନ୍‌ଡ୍ରୁ; ଇରିଙ୍ଗ୍‌ ମନୁସ୍ୟପୁତ୍ର ଲୋକା କିୟୁଦୁ ସର୍‍ପେ ଆଦେଙ୍ଗ୍‌ ସଲ୍‌ସିନାନ୍‌ ।”
2a092d0251	ମାତର୍‌ ସିସୁର୍‍ ଆୟାମାଟା ବୁଜାଦେଙ୍ଗ୍‌ ଆଟ୍‍ଏତାର୍‍, ମାରି ଆୟାକା ୱାରି ମାଣାନ୍‌ ମାର୍‍ଗିତା ମାର୍‌ଆତ୍‌, ଏଣ୍ତେସ୍‌ ଆକା ୱାର୍‌ ବୁଜାଦେଙ୍ଗ୍‌ ଆଟ୍‍ଏତିଙ୍ଗ୍‍ ବା, ମାରି ୱାର୍‌ ଆୟା ମାଟାଦି ବିସୟ୍‌ତାନ୍‌ ୱାନିଙ୍ଗ୍‌ ୱେନ୍‍ବାଦେଙ୍ଗ୍‍ ତିଲାଜି ମାର୍‌ଆର୍‌ ।
2a092e00c5	ୱାରି ମାଣାନ୍‌ ଏନ୍‌ ପେରିକାନ୍‌, ଆୟା ବିସୟ୍‌ତାନ୍‌ ୱାରି ଲୋଇ ୱାର୍‌ଗିଜି ସାତାର୍‌ ।
2a092f018e	ମାତର୍‌ ଜିସୁ ୱାରି ମୋନ୍‌ତୁ ୱାର୍‌ଗିଜିସାନିକା ନେସ୍‌ତାନ୍‌ନୋ ଅରେନ୍‍ ଇସ୍ରି କଡ଼ଦିଙ୍ଗ୍‌ ତାତାନ୍‍ ନୋ ନିଜେଦି ଲାକ୍‌ତୁ ନିଲ୍‍ପିସ୍‍ କିତାନ୍‍ନୋ ୱାରିଙ୍ଗ୍‌ ଇର୍‌ଆନ୍‌,
2a09300266	“ଏନ୍‌ଆପିନ୍‌ ନା ଦର୍‌ତାନ୍‌ ଇୟା ଇସ୍ରି କଡ଼ଦିଙ୍ଗ୍‌ ମାନାନାନ୍‍, ୱାନ୍‌ ନାଙ୍ଗିଁ ମାନାନାନ୍‍, ମାରି ଏନ୍‌ଆପିନ୍‌ ନାଙ୍ଗିଁ ମାନାନାନ୍‍, ୱାନ୍‌ ନା ପୋକ୍‌ତିମାନି ମାଲିକ୍‌ତିଙ୍ଗ୍‌ ମାନାନାନ୍‍; ଇରିଙ୍ଗ୍‌ ମି ୱିଜେରି ମାଣ୍‌କୁ ଏନ୍‌ ଇସ୍ରିକାନ୍‌, ୱାନ୍‌ ପେରିକାନ୍‌ ।”
2a093101ad	ଆବେଟ୍‌ ଜୋହନ ଇର୍‌ଆନ୍‌, “ଏ ଗୁରୁ, ମାପ୍‌ ଅରେନ୍‍ ୱାନିଙ୍ଗ୍‌ ନି ଦର୍‌ତାନ୍‌ ଦୁବା ଡ଼ିସିସ୍‍କିନିକା ସୁଡ଼ୁତାପ୍‍, ମାରି ୱାନ୍‌ ମା ଦଲ୍‍ତିକାନ୍‍ ଆଏନ୍‍ଆକା ୱାନିଙ୍ଗ୍‌ ତେବା କିତାପ୍‍ ।”
2a0932011d	ମାତର୍‌ ଜିସୁ ଜୋହନତିଙ୍ଗ୍‍ ଇର୍‌ଆନ୍‌, “ୱାନିଙ୍ଗ୍‌ ମନା କିମାଟ୍‌, ଇରିଙ୍ଗ୍‌ ଏନ୍‌ ମି ତରିନ୍‌ ଆଏନ୍‍, ୱାନ୍‌ ମି ତରିନ୍‌ ।”
2a09330191	ୱେନ୍‌କା ଏସ୍ତିୱାଲେ ଜିସୁଦି ଆଡ୍‍ଗିପୁର୍‍ ଡ଼ିସ୍‌ସି ମୁସ୍‌କୁପୁର୍‌ ସନି ୱେଡ଼ା ଆଜି ୱାଜି ମାର୍‌ଆତ୍‌, ନାସ୍ତିୱାଲେ ଜିସୁ ଜିରୁସାଲାମ୍‍ତୁ ସନ୍‌ଡ଼୍ରେଙ୍ଗ୍‌ ବଦାକିତାନ୍‍,
2a0934018c	ୱାନ୍‌ ୱାନି ଆଗ୍‌ଡ଼ି କାବୁର୍‌ ଅନିୱାରିଙ୍ଗ୍‍ ପୋକ୍‌ତାନ୍‌ । ୱାର୍‌ ସଲ୍‌ସି ୱାନି ଉଣ୍ତିଙ୍ଗ୍‌ ତିଆର୍‌ କିଦେଙ୍ଗ୍‌ ସମିରୋଣୟରିଦି ଉଣ୍ତ୍ରି ନାର୍‍ତୁ ସର୍‌ଆ ଡ଼ୁଗିତାର୍‌;
2a0935010e	ମାତର୍‌ ୱାନ୍‌ ଜିରୁସାଲାମ୍‍ତୁ ସନି ଉଣ୍ତିଙ୍ଗ୍‌ ବଦା କିତାମାନାନ୍‍ ଇଜି ନେସ୍‌ସି ୱାର୍‌ ୱାନିଙ୍ଗ୍‌ ମାନାଏତାର୍‍ ।
2a09360208	ଇକା ସୁଡ଼ୁଜି ଜାକୁବ ନି ଜୋହନ, ଇୟା ରିଏର୍‌ ସିସୁର୍‍ ଇର୍ହାର୍‌, “ପ୍ରବୁ, ଏଲିୟ୍‌ ବା ଏଣ୍ତେସ୍‌ କିତାମାର୍‍ଆନ୍‍, ଆୟାୱାଜା ବାଦଡ଼୍‍ତାନ୍‍ ସିସୁ ଆର୍‍ଜି ୱାରିଙ୍ଗ୍‌ ସାପିସ୍‌ କିପିତ୍‍, ଇକା ମାପ୍‌ ଇନାପ୍‍ ଇଜି ଇନିକା ନି ବଦା ନୋ?”
2a09370229	ମାତର୍‌ ୱାନ୍‌ ମାର୍‍ଜି ବେସ୍‍ସି ୱାରିଙ୍ଗ୍‌ ଲାଗାତାନ୍‍ ମାରି ଇର୍‌ଆନ୍‌, ମିର୍‌ ଏଣ୍ତେସ୍‌ ନାନି ଆତ୍ମାଦି ଲୋକୁ, ଇକା ନେସ୍‌ଏଜିନା । ମନୁସ୍ୟପୁତ୍ର ଲୋକାଦି ଜିବନ୍‌ ସାପିସ୍‌ କିଦେଙ୍ଗ୍ ରେଏଣ୍ତ୍‍ ମାତର୍‌ ରକିୟା କିଦେଙ୍ଗ୍‌ ୱାତାମାନାନ୍‍ ।
2a09380075	ତାନିୱେନ୍‍କା ୱାର୍‌ ମାରି ଉଣ୍ତ୍ରି ନାଟ ସରଆର୍‌ ।
2a0939011d	ୱାର୍‌ ସାରିଦୁ ସନିୱାଲେ ଅରେନ୍‍ ଲୋକୁ ଜିସୁଙ୍ଗୁଁ ଇର୍‌ଆନ୍‌, “ନିନ୍‌ ଏମେ ବାଡିଦୁ ସନି, ନାନ୍ ନି ୱେନ୍‌କା ୱେନ୍‌କା ୱାନା ।”
2a093a01ce	ଜିସୁ ୱାନିଙ୍ଗ୍‌ ଇର୍ହାନ୍‌, “ଗଲୁଦିଙ୍ଗ୍‍ ତେବାଦେଙ୍ଗ୍‍ ସାରାଆ ମାନାତ୍‌, ବାଦଡ଼୍‍ତି ପଟିଦିଙ୍ଗ୍‍ ତେବାଦେଙ୍ଗ୍‍ ଜାଲୁ ମାନାତ୍‌, ମାତର୍‌ ମନୁସ୍ୟପୁତ୍ରଦିଙ୍ଗ୍ ତାଲା ଇଡ୍‌ଦେଙ୍ଗ୍‌ ବାଡି ସିଲେତ୍‌ ।”
2a093b0195	ମାରି, ୱାନ୍‌ ମାରି ଅରେନ୍‍ୱାନିଙ୍ଗ୍‍ ଇର୍‌ଆନ୍‌, “ନା ୱେନ୍‌କା ରାଆ ।” ମାତର୍‌ ୱାନ୍‌ ଇର୍‌ଆନ୍‌, “ଆଗ୍‌ଡ଼ି ସଲ୍‍ସୋ ନା ବୁବେଙ୍ଗ୍‌ ମୁସ୍‍ତେଙ୍ଗ୍‍ ଇଜି ନାଙ୍ଗିଁ ସାରି ସିଦା ।”
2a093c01a2	ମାତର୍‌ ଜିସୁ ୱାନିଙ୍ଗ୍‌ ଇର୍‌ଆନ୍‌, “ସାତି ୱାରିଙ୍ଗ୍‌ ନିଜେ ନିଜେଦି ସାତି ଲୋକାଙ୍ଗ୍‌ ମୁସ୍‍ତେଙ୍ଗ୍‍ ଇଜି ଡ଼ିସ୍‍ତୁ, ଇରିଙ୍ଗ୍‌ ମିର୍‌ ସଲ୍‍ସୋ ମାପୁରୁଦି ରାଜି ପ୍ରଚାର୍‌ କିଦୁ ।”
2a093d019d	ମାରି ଅରେନ୍‍ ବା ଇର୍‌ଆନ୍‌, “ପ୍ରବୁ, ନାନ୍ ନି ୱେନ୍‌କା ୱାନା, ମାତର୍‌ ଆଗ୍‌ଡ଼ି ନା ଇଲ୍‌ତୁ ମାନି ଲୋକାମାଣ୍‌କୁ ନି ୱାଲେ ୱାନି ବିସୟ୍‌ ମାଡ଼ିସ୍‍କିଦେଙ୍ଗ୍‍ ନାଙ୍ଗିଁ ସାରି ସିଦା ।”
2a093e0156	ମାତର୍‌ ଜିସୁ ୱାନିଙ୍ଗ୍‌ ଇର୍ହାନ୍‌, “ଏନ୍‌ ନାଙ୍ଗେଲ୍‍ ମେଡ଼ିଦୁ କିୟୁ ଆସ୍‌ସି ୱେନ୍‌କା ବେସ୍‍ନାନ୍‍, ୱାନ୍‌ ମାପୁରୁଦି ରାଜିଦୁ ଜୋଗ୍‍ ସିଲେନ୍‌ ।”
2a0a010235	ଇୟା ୱେନ୍‌କା ପ୍ରବୁ ମାରି ସତୁରୁ ରୁଣ୍ତି ଲୋକାଙ୍ଗ୍‌ ବାସ୍‍ସିକିତାନ୍‍ ମାରି ନିଜେ ଏମେ ଏମେ ଗାଡ଼୍‌କାଙ୍ଗ୍‌ ମାରି ବାଡିଦୁ ସନ୍‌ଡ଼୍ରେଙ୍ଗ୍‌ ବଦାକିତାମାର୍ହାନ୍‍, ଆୟା ଆୟା ବାଡିଦୁ ରିଏର୍‌ ରିଏର୍‌ କିଜି ୱାରିଙ୍ଗ୍‌ ୱାନି ଆଗ୍‌ଡ଼ି ପୋକ୍‌ତାନ୍‌ ।
2a0a0201c6	ମାରି, ଜିସୁ ୱାରିଙ୍ଗ୍‌ ଇର୍ହାନ୍‌, ପାସି ନାଣ୍ତ, ମାତର୍‌ ପାଣିକିନିକାର୍‌ ଉଣା; ନିଜେଦି ପାସିକିଡ଼ିଇଦୁ ପାଣିକିନିୱାରିଙ୍ଗ୍‌ ପୋକ୍‌ନି ଉଣ୍ତିଙ୍ଗ୍‌ ପାସିକିଡ଼ିଇଦି ମାଲିକ୍‌ତି ଲାକ୍‌ତୁ ୱେର୍‍ତୁ ।
2a0a0300ea	ମିର୍‌ ସାନ୍‍ଡ୍ରୁ; ସୁଡ଼ୁଦୁ, ନୋରେସ୍‍କା ଲାକ୍‌ତୁ ମେଣ୍ତାପିଲେକା ୱାଜା ନାନ୍ ମିଙ୍ଗିଁ ପୋକ୍‍ସିନା ।
2a0a0400ec	ଡାବୁଙ୍ଗୁଁ ଆସ୍‌ନି ମଣି, ମଣି ମାରି ଜୁତେଙ୍ଗ୍‌ ଅମାଟ୍‌, ମାରି ସାରିଦୁ ଏଙ୍ଗ୍‌ବା ମାଡ଼ିସ୍‌ କିମାଟ୍‌ ।
2a0a0500f9	ମାରି, ଏମେ ଇଲ୍‌ତୁ ମିର୍‌ ଡ଼ୁଗ୍‍ନିଦେର୍‍, ଆଗ୍‌ଡ଼ି ଇନ୍‍ଡ୍ରୁ, ଇୟା ଇଲ୍‍ତି ଉଣ୍ତିଙ୍ଗ୍‌ ସାନ୍ତି ଆପିତ୍‌ ।
2a0a060199	ମାରି, ଆୟାବାଡିଦୁ ଜଦି ଅରେନ୍‍ ସାନ୍ତିଦି ଲୋକୁ ତେବାନାନ୍‌, ଆତିଙ୍ଗ୍‌ ମି ସାନ୍ତି ୱାନି ମୁସ୍‌କୁ ବାସାନାତ୍‍; ମାତର୍‌ ଜଦି ସିଲେତ୍‍, ଆଦେଙ୍ଗ୍‌ ଆକା ମି ଲାକ୍‌ତୁ ଡ଼େସିୱାନାତ୍‍ ।
2a0a0701de	ୱାରିମାନୁ ଆମାକା ମାନାତ୍‌, ଆକା ଉଣୁଜିତିନ୍‌ଜି ଆୟା ଇନ୍‌ଡ୍ର ମାନ୍‌ଡ଼୍ରୁ, ଇରିଙ୍ଗ୍‌ ପାଣିକିନିକାର୍‌ ନିଜେଦି କୁଲିଦି ଡାବୁଙ୍ଗୁଁ ପୋଇଦେଙ୍ଗ୍‍ ଜୋଗ୍‍ ମାନାତ୍‌ । ଇଲ୍‌କାଙ୍ଗ୍‌ ଇଲ୍‌କାଙ୍ଗ୍‌ ସଲ୍‍ମାଟ୍‍ ।
2a0a080133	ମାରି, ଏମେ ଗାଡ଼୍‌ତୁ ମିର୍‌ ଡ଼ୁଗ୍‍ନିଦେର୍‍ ମାରି ଲୋକୁ ମିଙ୍ଗିଁ ମାନାର୍‌, ଆବେ ମିଙ୍ଗିଁ ଆମାକା ଉଣ୍ତେଙ୍ଗ୍‌ ସିନାର୍‍, ଆକା ଉଣ୍ତୁ ।
2a0a09012e	ଆୟାବାଡିଦୁ ମାନି ରୋଗ୍‌ ଲୋକାଙ୍ଗ୍‌ ନେଗେଣ୍ତ୍‍ କିଦୁ, ମାରି ୱାରିଙ୍ଗ୍‌ ଇନ୍‍ଡ୍ରୁ, ମାପୁରୁଦି ରାଜି ମି ଲାକ୍‌ତୁ ଇଗା ୱାତାତ୍‌ନି ।
2a0a0a0113	ମାତର୍‌ ଏମେ ଗାଡ଼୍‌ତୁ ମିର୍‌ ଡ଼ୁଗ୍‍ନିଦେର୍‍ ମାରି ଲୋକୁ ମିଙ୍ଗିଁ ମାନାଏର୍‌, ଆୟା ଦୁଆର୍‍ଆଙ୍ଗାଁ ସଲ୍‌ସି ଇନ୍‍ଡ୍ରୁ,
2a0a0b01a7	ମି ଗାଡ଼୍‌ତି ଏମେ ଦୁଡ଼ି ମା ପାଦାମ୍‌କାଙ୍ଗ୍‌ କାସ୍‍ତାମାନାତ୍‍, ଆକାବା ମି ଉଣ୍ତିଙ୍ଗ୍‌ ସାଡ଼୍‍ସି ସିଜିନାପ୍‌; ମାତର୍‌ ମାପୁରୁଦି ରାଜି ଯେ ଇଗା ୱାତାତ୍‍, ଇକା ନେସ୍‌ସୋ ମାନ୍‌ଡ଼୍ରୁ ।
2a0a0c0112	ନାନ୍ ମିଙ୍ଗିଁ ଇଜିନା, ଆୟାନାଣ୍ତିଙ୍ଗ୍‍ରି ଆୟା ଗାଡ଼୍‌ତି ଦଣ୍ଡ୍‌ ବାଦ୍‌ଲୁ ସଦମ୍‍ତି ଦଣ୍ଡ୍‌ ଆଟ୍‍ତେଙ୍ଗ୍‍ ଆନାତ୍‌ ।
2a0a0d02fd	ଏ କୋରାଜିନ୍‌ ନି ଦସ୍‌ ଏସା ବୟଙ୍କର୍‍ ଆନାତ୍‌ ଏ ବେତ୍‍ସାଇଦାଦୁ ବା ନି ଦସ୍‌ ଏସା ବୟଙ୍କାର୍‍ ଆନାତ୍‌, ଇରିଙ୍ଗ୍‌ ମିବାନୁ ଏମେ ଏମେଦି ସାକ୍ତିଦି ପାଣି କିତାମାନା, ଆୟାୱିଜୁ ଜଦି ସୋର ନି ସିଦନ୍‍ତୁ କିଆଇଆତାତ୍‍ମାନ୍ଦି, ଆରିଙ୍ଗ୍‌ ୱାର୍‌ ଏସୋ ଆଗ୍‍ଡ଼ିରାନ୍‍ ବାସ୍‌ତେଙ୍ଗ୍‌ ଆରାଜି ନିର୍‍ତୁ ବାସ୍‌ସି ମନ୍‍ତିଙ୍ଗ୍‍ ଡ଼େପ୍‍ତାର୍‍ ମାନ୍ଦି ।
2a0a0e00db	ବିସାର୍‌ କିନି ନାଣ୍ଡିଙ୍ଗ୍ ମି ଦସ୍‌ ବାଦ୍‌ଲୁ ସୋର ନି ସିଦନ୍‍ତି ଦସ୍‌ ଆଟ୍‍ତେଙ୍ଗ୍‍ ଆନାତ୍‌ ।
2a0a0f0100	ମାରି, ଏ କପର୍‍ନାହୁମ୍‍, ନିନ୍‌ ଇନିକା ମୁସ୍‌କୁପୁର୍‍ ସାନ୍ଦି ପିର୍‌ଦେଙ୍ଗ୍‌ ଆଟ୍‌ନି? ନର୍କ ସାନ୍ଦି ଇଗା ସନି ।
2a0a1001d9	ଜିସୁ ୱାନି ସିସୁରିଙ୍ଗ୍‌ ଇର୍‌ଆନ୍‌, “ଏନ୍‌ ମି ମାଟା ୱେନାନ୍‌, ୱାନ୍‌ ନା ମାଟା ୱେନାନ୍‌, ମାରି ଏନ୍‌ ମିଙ୍ଗିଁ ମାନାଏନ୍‌, ୱାନ୍‌ ନାଙ୍ଗିଁ ମାନାଏନ୍‌, ୱାନ୍‌ ନା ପୋକ୍‌ତିମାନି ମାଲିକ୍‌ତିଙ୍ଗ୍‌ ମାନାଏନ୍‌ ।”
2a0a11014a	ଆୟାୱେନ୍‌କା ଆୟା ସତୁରି ରୁଣ୍ତି ସିସୁର୍‍ ୱେଡ଼ିକାଦାନ୍‌ ଡ଼େସିୱାଜି ଇର୍ହାର୍‌, “ପ୍ରବୁ, ଦୁବେଆଙ୍ଗ୍‌ଁ ବା ନି ଦର୍‌ତାନ୍‌ ମା ମାଟା ମାନାତେ ।”
2a0a12010a	ମାତର୍‌ ଜିସୁ ୱାରିଙ୍ଗ୍‌ ଇର୍‌ଆନ୍‌, “ମିର୍‍ସ୍‍ନିୱାଜା ମୁସ୍‌କୁପୁର୍‌ତାନ୍‌ ସୟତାନ୍ ଆର୍‍ନିକା ନାନ୍ ସୁଡ଼ୁତା ।
2a0a13022e	ସୁଡ଼ୁଦୁ, ନାନ୍ ମିଙ୍ଗିଁ ସାରାସ୍‍ ନି ସର୍‍କୁପି ମୁସ୍‌କୁ ବୁଲାଦେଙ୍ଗ୍‌ ଅଦିକାର୍‌ ସିତାମାନା, ମାରି ସାତ୍ରୁଦି ୱିଜୁ ସାକ୍ତି ମୁସ୍‌କୁ ବା ଅଦିକାର୍‌ ସିତାମାନା, ମାରି ଇନିକା ଏଣ୍ତେସ୍‌ କିଜି ମି ପାଣିଦିଙ୍ଗ୍‌ ସେଏଣ୍ଡ୍‌ କିଦେଙ୍ଗ୍‌ ଆଟ୍‍ଏତ୍‍ ।
2a0a140162	ତାଗ୍‍ଇଆତ୍ମମେଙ୍ଗ୍‌ ଜେ ମି ମାଟା ମାନାନେ, ଆବେ ୱେଡ଼ିକା ଆମାଟ୍‌, ମାତର୍‌ ମି ଦର୍‌ ଯେ ମୁସ୍‌କୁପୁର୍‌ ରାସାତାମାନାତ୍‌, ଆୟା ଉଣ୍ତିଙ୍ଗ୍‌ ୱେଡ଼ିକା ଆଦୁ ।”
2a0a1502d4	ଆୟାୱେନ୍‌କା ଜିସୁ ପବିତ୍ର ଆତ୍ମାଦିମାଣାନ୍‍ ୱେଡ଼ିକାଦାନ୍‌ ପୁରାଆଜି ଇର୍‌ଆନ୍‌, “ଏ ବୁବା, ମୁସ୍‌କୁପୁର୍‌ ମାରି ଦୁନିଆଦି ପ୍ରବୁ, ନିନ୍‌ ବୁଦିମାନି ଲୋକାମାଣ୍‌କୁ ଇୟାୱିଜୁ ବିସୟ୍‌ ମାର୍‍କ୍‍ସି ଇଡ୍‌ଜି ଇସ୍ରି କଡ଼ରିମାନୁ ୱେକ୍‌ତି, ଇୟାଉଣ୍ତିଙ୍ଗ୍‌ ନି ଦନ୍ୟବାଦ୍‌ କିଜିନା; ହୁଁ ବୁବା, ଇରିଙ୍ଗ୍‌ ଇକା ନି ନାଣ୍ତ ବଦା ।
2a0a1602ac	“ନା ବୁବାଦି ପାଣି ୱିଜୁ ନା କିୟୁଦୁ ସିତାମାନାନ୍‌; ମାରି, ମାରିନ୍‌ ଏନ୍‌, ଇକା ବୁବେଙ୍ଗ୍‌ ଡ଼ିସ୍‌ତିଙ୍ଗ୍‌ ଏନ୍‌ ନେସଏନ୍‍, ମାରି ବୁବା ଏନ୍‌, ଇକା ମାରିନ୍‍ତିଙ୍ଗ୍‍ ଡ଼ିସ୍‌ତିଙ୍ଗ୍‌ ଏନ୍‌ ନେସ୍‌ଏପ୍‌, ମାରି ମାରିନ୍‌ ଆମାୱାନି ଲାକ୍‌ତୁ ୱାନିଙ୍ଗ୍‌ ତର୍‌ତେଙ୍ଗ୍‍ଁ ବଦାକିନାନ୍‌, ୱାନ୍‌ ନେସ୍‌ନାନ୍‌ ।”
2a0a17013a	ମାରି, ଜିସୁ ସିସୁରି ତରିନ୍‌ ମାର୍‍ଜି ବେସ୍‍ସି ୱାରିଙ୍ଗ୍‌ ଇର୍‌ଆନ୍‌, “ମିର୍‌ ଇୟାୱିଜୁ ବିସୟ୍‌ ସୁଡ଼ୁତିମାନିଦେର୍‍ ଆକା ମିର୍‌ ଦନ୍ୟ ।
2a0a18028d	ନାନ୍ ମିଙ୍ଗିଁ ସତ୍‌ ଇଜିନା, ମିର୍‌ ଆମାକା ଆମାକା ସୁଡ଼ୁଜିନିଦେର୍‍, ଆୟାୱିଜୁ ଏସୋ ବାବବାଦିର୍ ମାରି ରାଜାର୍‌ ସୁଡ଼ୁଦେଙ୍ଗ୍‍ ବଦାକିତାର୍‌, ମାତର୍‌ ସୁଡ଼ୁଏତାର୍‍; ମାରି, ମିର୍‌ ଆମାକା ଆମାକା ୱେନ୍‌ଜିନିଦେର୍‌, ଆୟାୱିଜୁ ୱାର୍‌ ୱେନ୍‌ଡ୍ରେଙ୍ଗ୍‌ ବଦାକିତାର୍‌, ମାତର୍‌ ୱେନ୍‍ଏତାର୍‍ ।”
2a0a19018d	ମାରି, ସୁଡ଼ୁଦୁ, ଅରେନ୍‍ ଦାର୍ମୁଗୁରୁ ନିଙ୍ଗ୍‍ଜି ଜିସୁଙ୍ଗୁଁ ପରିକା କିଜି ୱେନ୍‌ବାତାନ୍‌, “ଏ ଗୁରୁ, ଏସ୍‌କାଙ୍ଗ୍‌ୱିଜିଇ ଜିବନ୍‌ତି ଅଦିକାରି ଆଦେଙ୍ଗ୍‌ ନାନ୍ ଇନିକା କିନା?”
2a0a1a00c8	ଆବେଟ୍‌ ଜିସୁ ଇର୍‌ଆନ୍‌, “ସାସ୍ତ୍ରଦୁ ଇନିକା ରାସାଏତ୍‌? ନିନ୍‌ ଏଣ୍ତେସ୍‌ ପଡ଼ାଜିନି?”
2a0a1b0208	ଜିସୁ ୱାନିଙ୍ଗ୍‌ ଇର୍ହାନ୍‌, “ନିନ୍‌ ନି ୱିଜୁ ଜିବନ୍‌, ୱିଜୁ ଜିବନ୍‌, ୱିଜୁ ସାକ୍ତି, ମାରି ୱିଜୁ ମନ୍‍ ସିଜି ପ୍ରବୁ ନି ମାପୁରୁଙ୍ଗୁଁ ଜିବନ୍‌ ନଆ; ମାରି, ମି ଲାକ୍‌ତୁରି ଲୋକାଙ୍ଗ୍‌ ନିଜେଦିଙ୍ଗ୍‍ ଜିବନ୍‌ନୋତି ୱାଜା ଜିବନ୍‍ନୋଦୁ ।”
2a0a1c00fa	ଆବେଟ୍‌ ଜିସୁ ୱାନିଙ୍ଗ୍‌ ଇର୍‌ଆନ୍‌, “ନିନ୍‌ ସତ୍‌ ଇର୍ହିମାନି; ଇକା କିଆ, ଆତିଙ୍ଗ୍‌ ନିନ୍‌ ଜିବନ୍‌ ପୋଇନି ।”
2a0a1d016c	ମାତର୍‌ ଦାର୍ମୁ ସାସ୍ତ୍ରି ନିଜେଦିଙ୍ଗ୍‍ ଦାର୍ମୁ ଲୋକୁ ଇଜି ତର୍‌ତେଙ୍ଗ୍‍ଁ ବଦାକିଜି ଜିସୁଙ୍ଗୁଁ ୱେନ୍‌ବାତାନ୍‌, “ଆରିଙ୍ଗ୍‌ ନା ଲାକ୍‌ତୁମାନିକାନ୍‌ ଏନ୍‌?”
2a0a1e026b	ଜିସୁ ଆୟା ମାଟା ଅସି ଇର୍ହାନ୍‌, “ଅରେନ୍‍ ଲୋକୁ ଜିରୁସାଲାମ୍‍ତାନ୍‍ ଜିରିହୋଦି ଗାଡ଼୍‌ତୁ ସଲ୍‍ପୁ ସଲ୍‍ପୁ ଡଙ୍ଗାଁରି କିଦୁ ସେର୍‍ତାନ୍‍ । ୱାର୍‌ ୱାନି ୱାତିଗନ୍ଦା ଡ଼ିବିସ୍‍ତାଅତାରୋ ମାରି ଡାକ୍‍ତାରୋ ୱାନିଙ୍ଗ୍‌ ଅଡ଼ପ୍‌ଜିବନ୍‌ମାନ୍‌ବୁ ଡାକ୍‌ତାର ଡ଼ିସ୍‍ତା ସରଆର୍‌ ।
2a0a1f0135	ଆୟାୱାଲେ ଅରେନ୍‍ ଜାଜକ ଆୟା ସାରି ସିଜି ସଲ୍‌ସି ମାର୍‌ଆନ୍‌, ମାରି ୱାନ୍‌ ୱାନିଙ୍ଗ୍‌ ସୁଡ଼ୁଜି ସାରିଦି ଆଇ ପାଡ଼୍‌କା ସିଜି ସର୍ହାନ୍‍ ।
2a0a2000f5	ଆୟାୱାଜା ଅରେନ୍‍ ଲେବି ବା ଆୟା ବାଡିଦୁ ୱାଜି ୱାନିଙ୍ଗ୍‌ ସୁଡ଼ୁଜି ସାରିଦି ଆଇ ପାଡ଼୍‌କା ସିଜି ସର୍‌ଆନ୍‌ ।
2a0a2100f9	ମାତର୍‌ ଅରେନ୍‍ ସମିରୋଣିୟ ଲୋକୁ ୱାନି ଲାକ୍‌ତୁ ୱାତାନ୍‌ନୋ ୱାନିଙ୍ଗ୍‌ ସୁଡ଼ୁଜି ନାଣ୍ତ ଦୁଃକ୍‌‍ କିତାନ୍‌,
2a0a220255	ମାରି ୱାନି ଲାକ୍‌ତୁ ସଲ୍‌ସି ୱାନି ଗାଉକାଙ୍ଗ୍‍ୱିଜୁ ନିୟୁ ଉସ୍‍ତାନ୍‍ ମାରି ଅଙ୍ଗୁର୍‍ରସ୍‍ ୱାକ୍‍ସି ଆୟାୱିଜୁ ଗାଉତୁ ତର୍‍ତାନ୍‍, ମାରି ୱାନିଙ୍ଗ୍‌ ୱାନି ଗଦ ମୁସ୍‌କୁ ବାସିସ୍‍କିଜି ୱାନିଙ୍ଗ୍‌ ଲୋକୁ ରମ୍‌ନି ଉଣ୍ତ୍ରି ଇଲ୍‌ତୁ ଅତାନ୍‌ନୋ ୱାନି ସେବା କିତାନ୍‌ ।
2a0a2301ee	ମାରିନାଣ୍ତିଙ୍ଗ୍‍ ୱାନ୍‌ ରୁଣ୍ତି ଡିନାରି ସପ୍‍ସି ଲୋକୁ ରମ୍‌ନି ଇଲ୍‍ତି ମାଲିକ୍‌ତିଙ୍ଗ୍‌ ସିଜି ଇର୍‌ଆନ୍‌, ୱେନି ସେବା କିଆ, ମାରି ଜଦି ନାଣ୍ତ ଡାବୁଙ୍ଗୁଁ କାର୍‌ସୁ ଆନେ, ଆକା ନାନ୍ ଡ଼େସିୱାନି ୱାଲେ ନିଙ୍ଗିଁ ସିନା ।”
2a0a2400f0	ଇୟା ମୁଏରି ଲୋଇ ଏନ୍‌ ଡଙ୍ଗାଁରି କିଦୁସେରିତି ମାର୍‍ଇ ଲୋକ୍‌ତି ପାଡ଼ିରି ଲୋକୁ ଇଜି ଅଡ଼୍‍ବିଜିନିଦେର୍‍?
