2800000007	Mathayo
2901170058	Npepo umunda gwogwa ahali umuntu wahijila paputilepao ali ni pepo ichafu, naakholaihalo,
2901180096	ayanga, “Tuli na henu ahabhombe nawe, uYesu wa Nazaleti? Uyinzile watwangamizye? Imenye uli winanu. Awe uuli mwaushe ulihovhe umwana wa Ngulubhi!”
290119003c	U Yesu aidamila ipepo nayanje, “Bhuma na hufume muhati!”
29011a0061	Na iloho ibhibhi vhiihagwisya paka pazhi nafume wa mwene lwulwo shalila wisa utisana ya pamwanya.
29011b0097	Awantu bhunti wa haswingaa, bhahabhuzanya na shila muntu, “Ili lwenu? Izinsundo phaa ilwali amuli? Hata ipepo azyamlila ipepo zyope zimwiente haa!”
29011c0049	Inongwa afumilane numwene zyahenela uwakati bhobho mhati yikowa Galilaya.
29011d0069	Ishi lelo bada yafume huzi panyi poto, bhahinjila khaya wa Simoni nu uAndeleya bhali nu Yakobo nu Yohana.
29011e005f	Ishi ukhoyi wakwe uSimoni ali agonile bhinu alinihoma, mala yiyo bhahabhula uYesu ihali zyakwe.
29011f005f	Bhisho aheza, ahakata ukhata ukhono, na ubhisye humwanya; homa ihaleha wa mwene, handa wabhele.
290120005e	Ulwebhe labhobho isanyapa liswile, bhaletelawa mwene abhali wa winu amabhasanyishilwe ni pepo.
2901210029	Ikaya yundi ibhongana pandwimo mundwango.
2901220079	Ahabhonwa bhundhi abhali bhanwinzeele ibhungo zinyinji, nakemele ipepo haga lehanga ipepo huje zhi yangaje pipo zwamenye.
2901230051	Abhuha na sha pwii sana, wali shahuli siku habhala pasa pabhoneha alabhanga uhwo.
2901240037	U Simoni na bhunti bhala abhalibhunthi bhahaza humwaze.
2901250030	Bhahumwaga handa bhule, “Bhunti bha huwanza”
290126006b	Abhabhula, “Salitubhale apanji nnzi yunti izyungula ili bhope oubho indumbilile. Shashisho inzile ipa.”
290127005b	Ahala ajenda mugali ya mwunti, abha azyugula mnyipoto zyabho mwunti nakemele vhepele ipepo.
2901280071	Uwikoma ahezawamwene. Ali ahulamba; ahafugamila amafugamo agabhala, “Khashele uwanza ugawezaa mbeshe mwinza.”
2901290058	Abuwagwa ni phana uYesu hagolozya ukhono gwakwe nahukhate habhala, “Nina. Uwe safi.”
29012a002c	Hashe lwene ukoma bhuhamwepa, ahabhasa safi.
29012b0033	U Yesu ahasunda hukhali shilaga shaulilo, ahabhola,
29012c00a2	“Uhakiswaje saga unyama muntu yaya hyanyunti, lelo shilaga, uwibhonesye wa puti, natowe dhabihu hunoyaje u Mose alajizye shasha awi yozye isha manyishe wane.”
29012d00ab	Lelo abhala aubhula kila muntu na wenezye ineno sana hata uYesu haga ayendela abhale humujini huwa bhuushe. Hivho pa falanga nabhantu abha heza wamwene abha bhafume wunti.
2902010052	Ahabhuya Kaperinaumu husiku indolwene ihuvhewa hujeinsiku nyishe lwene alihukhaya.
2902020085	Abhantu wabhinji sana waliwha bhunghine pala ha gahali shinafani mwakwe atieleile ya pala mu ndwango, nu Yesu ahayanga izwo wa bhene.
290203004f	Abhantu bhashe bhahinza wa mwene bhahata umuntu uwa polile; abhantu bhantenine.
29020400d1	Lelo pahakunwa hufishile alengane yau winji wantu bhahefwa bhasanyangulanya humwanya yinyuma pipo awantu walivhinji. Wakununwaga palitubhulailina bahiswa ishitandashila bhanyemulile umtu wa polile ali agonile.
2902050068	Halola umwoyo gwa mbanago, Yesu alibhule mutu ulayapolile, “mwanawani, ibhimbi zwaho zihombashilwe.”
2902060037	Lelo bhamo abhasimbi bhala khale bhawitosa humoyo gawo,
290207008d	“Bhahayanga moyo gao awezizye bhule ayanje eshi? Aliligaa! Bhaga umuntu huje awa uweefe idhambi isipokuwa Ungulubhi mwene mwene yawezya?”
2902080071	U Yesu awimenye amwo gwakwe izyabhasibhaga kati yabho. Abhabhula bhebho, “Lelo yenu mushebhabhisho moyo nginyu?
2902090090	Lwenu iphuphusho sana aayanje wa muntu uwapolile, 'Aje imbibhi zyaho usajilwe' ama ayanje' Imelila, ega ishigonelo nishitala shaho, ujenda jee?'
29020a0086	Lelo ili bhapate amanye aje Mwana wa Muntu ani uwamuzi uwa huhoshele umuntu imbibhizyaho zihoshilwe ahabhulau uwahobhushile uwapolile,
29020b003f	“Ibhula awe, bhuha, ega ishigonelo shaho, ubhalaje huliwe.”
29020c00b6	Ahemenlila phepo naweje ishigonelo shakwe, ahanje nda munyumba yashala muntu, esho bhundhi bhaswinga nahusalifwe Ungulubhi usisya, bhayanga “Shikulu, satulole inongwa na shiine.”
29020d0062	Ahashila andhele munshinje munshije idimi nikundi ilwa bhantu bhundhi bhala gawa mwene abhansunda.
29020e007a	Aliashizanya alola uLawi mwana Alfayo akhele isehemu yakusanya isongo abhula, ahaga “Nfhatanje.” Ahimenlhila nahudaje.
29020f00a2	Uwakati uYesu alwangai ishale munyumba ya Lawi bhabhuganyaga na wantu imbibhi bhaha bha bhalwanga nu Yesu nasudwe bhakwe, phepo phipo bhalibhinji bhali bhahudaga.
29021000b3	Ulwo asimbi, abhahali, Mafalisayo pabhahalola uYesu alwa na mbibhi adhele bhahunganya isongo, bhahabhula asunda abhakwe, “Lelo yenu anabhunganya isengo nata nabhomba imbibhi?”
29021100a7	U Yesu pahuvha isho ayanga, “Ishi awantu ahali bhiza amhele gao hawaziwa husiphitali; bhatu abhinu tuu bhabha waza saga ize. Awanzea bhiza abhihaki, lelo abhibhi.”
29021200a9	Asudwa awa Yohana na Amafalisayo wali haga bhalwa. Wamo bhalila bhabhulile henu asundwa abha Yohana na mafalisayo habhaleha alwe, lelo asundwa bhaho bhala habha ngalila?
29021300d2	U Yesu ahabhula, “Ishi uwa tanjile hushahe agawezya agalilaje alwe uwakati bhobho umwani sha nabhene? Khashele umwani shikukukulu shali pepo nao? Lelo walwalwunthi umwa khashele bhalinabho hawezihujefunje.”
2902140043	Insiku ziwhiza alo ubwana nashikulukulu paishila nhipopo bhaifunga.
2902150099	Numo umuntu uwamama umwenda ukulu mumwenda upha mu mwenda ukulu kulu, pakashinzavhe shashe piletu, nazembushe uluwiwi afumine ni lwolizaduhane shibhibhi.
29021600ba	Numo umuntu uwaponya ihobwa ipha muvhilhelo ivilazu, lelo ihobwa sibhavibazulanye vhonti vibhele nai hombwa navivho vibhabazushe nateje. Amana gakwe, nhviha imbwa ephwa muvilo ivipha.”
2902170089	Isiku limo uYesu ahashizanya pisiku ilwantu ye humagunda gamo gamo enya afundiwa bhakwe handa bhamo bhamo bhanda alwe amazhali ingingano.
2902180078	Na Amafarisayo bhabhabhula, “Enya, yenu bhamba gasa ganghigo ahandhu hasa haho inje yitalatibu pisiku ituye Sabato?”
290219006b	Habhabhula, “Sagamumanyile hala habhomba u Daudi pahazaga palini nizala— umwene nabhala ali nao umwene?
29021a00d2	Ishahabho munyumba ya Ngulubhi ulwa Abiathari pali puti ugosi ahalwa ibhumnda ilwa bhiewelwa pitazi— ilwa shali shizyonga ishitalatibu wamuntu wabhodhi ila waputu—-apele ga vimo vimo wabhala bhali nabho?”
29021b0062	U Yesu ayaga, “Sabato ihabhombilwe kwa ajili ya mwanadamu, saga wamwanadamu kwa ajili ya Sabato.
29021c0031	Isho Umwana wa Adamu ni Bwana, hata wi Sabato.”
2903010048	Antele ahijila muhati mwaputile muka mwali nu muntu uwikono ugwaupolile.
290302005c	Abhantu bhamo bhadagaga muphiphi huje bhenye khashele azahuponyeisi kuli Sabato aje bhatake.
2903030051	U Yesu ahabhula umuntu uwikhono ugwagupolile bhuha imilila pahati iyibhugaine.”
2903040085	Ishihabhala abhantu, “Jee shinza abho iliza lwaponwe pisiku li Sabato au ilwa joje; ulwa sikeli, au gasa?” Gawaziwa aponwe agoje.
2903050094	Bhamamhee ahabhenya wilwoyo asononoha pipoiliyaukhame wimoyo gao ahabhula muntu, “Goloswa ukhono gwaho.” Augoloswa nu Yesu aguponwa ukho gwakwe.
290306004f	Mafalisayo bhafumahuzi bhahabhomba zimozimo nu Mahelode aziade umwene nahugoje.
290307007a	Phipo uYesu, nasandwa bhakwe bhashila hunzumbi, ni mbhuga nhingosi iyabhantu ihabhadagaga ihafumaga hu Galilaya na Uyahudi
29030800a0	na fume Yelusalemu nafume indumaya na witanzi yi Yolodani na vhelane yitilo ni Sidoni, imbhuga ingosi, phihuvhwa shila hantu ahaga ahabhomba, bhabhiza wa mwene.
2903090069	Ahabhamhula asundwa bhakwe atayalisye itulyi idodo kwa ajili ya mwene phipo imbhuga, ili bhangaje husoje.
29030a0058	Pipo abhapo mwaga winji, ilikila mntu uwali na malamba anihu hufishile ili apata manzwe.
29030b007b	Paphunti ipepo ichafu panwalolaga zywa gwaga paka panzi witanzilwa kwe nalile, bhayangaga, “Awa uli Mwana wa Ngulubhi”.
29030c0029	Abhamlila abhasimisizya agamde awubhushe.
29030d0041	Abhala pamwanya pigamba, abhakuda abhanzaga, mbahabhala wa mwene.
29030e007b	Abhasalula ilongo limo na bhantu bhabhili(abhakaga atumwa), ili bhambe palushimo nu mwene ili awe zywaje atume alu bhilile,
29030f001c	na bhamlila azywefhe iphepo.
2903100045	Abhasalula ilongo nabhaji bhabhile uSimoni iyapela itawa ilya Petulo,
2903110073	Yakobo umwana wa Zebedayo, nu Yohana uholo wakwe uYakobo, apelilwe itawa ilwahuje Bonagesi, ibho ni bhana awungume,
2903120068	na Andeleya, Filipo, Bartholomayi, Mathayo, Tomaso, Yakobo, umwana wa Alfayo, thadato, Simoni Mkananayo,
2903130027	na uYuda Iskariote, ambaye asambushila.
290314006c	Nhipo ahabhala khaya, mbhuga ya bhantu bhahinzha bhunti nabho nanthele, saga bhahawezywa na hulwe imbumunda.
2903150070	Abhana bhakwe pabhuvha ahapango mhiho, bhahabhala hukhute leloinjele, zyakwe zulushile, “Amerukwa na akili”.
2903160070	Asimbi bhahenza afume mu Yelusalemu bhayanga, “Asangi ne Beelzebuli,” uwa tawali ni phepo awefwa amapepo”.
290317005b	Yesu abhakuga wamwene nana yanje navho hushifwani, “Haga pauli uSetano aha mwefya Setano?
2903180033	Utawala khaugabhanishe bhuwo, utawa uwo ungimilila.
290319003b	Inyumba khigabhanishe yiyo i nyumba iyosigawezya awemelele.
29031a0071	Ngashele uSetano ainushe shinje ishashivhi yuyo na gabhanishe, hangi mivhila, na azabhe afishile hu mwisho wakwe.
29031b009e	Lelo nomo uwagawezya hata umo awinjile muhati nyumba iya muntu uwikone nawivhe ivintu vhakwe bila hupinye umwanikhone nasoti khasha abhunga nyaje ivya nyumba.
29031c0059	Lyoli imbabhula ibhivhi zyunthi izywa bhanabha bhantu zyai hobhoshelwa, naligo gawayanga,
29031d0057	lelo uwiliga uhala uzelu hagaihoshe lwa na mwaha anu lozi uwimbivhih uwawila nawila.”
29031e0047	Yesu alilisema hili kwa sababu walikuwa wakisema, “Ana roho chafu”.
29031f004f	Pepo anyina naholo bhakwe bhahenza na bhemelele huzi. Bhahatuma umuntu, hukuje.
290320006c	Abhantu bhali bhinji bhalipepe numwene bhabhula, “unyina waho naholo bhaho bhali hunzi, bhahu waza awe”.
2903210035	Abhanjibula, “Yu nanu inyina wani na holo bhani?”
290322005a	Ahabhenya bhali bhakhele bhazyungulele, ahayanga, “Enya, ibha bhamaibhani na holo bhani!
2903230058	Ngunthi mapezi gakwe Unguluvhi, umuntu uyo holo wani, nanyirumbu wani na yumayi wani.”
29040100c0	Ahanda abha manyizywe mu shinjhe izhumbi. Ni bhunga ingosi ihubhungana ihazyhungula, ahinjila muhati inyitu li musumbi, ahakhala. Ibhuga yunthi ihali izywungulile mushinje munsumbi mu fukweni.
2904020049	Abhamanyizhwa inongwa inyinji huvifwani, ayanga wa bhene hunsundo zyakwe.
290403001d	Uvhi ikopba ihabhalile atote.
2904040044	Pali atota, zimo imbeyu zyalagala mwidala, inyonyizywahinza zywalya.
2904050076	Imbeyu zimo zywalaga mumwala, pasipali ninzhi inyinji iyaye. Mara zikanyauka, kwa sababu hazikuwa na udongo wakutosha.
290406004d	Lelo isanya palyahatukula, zywatenguha, lelo pheposazywali na kholo zyahumaa.
290407005d	Imbeyu zimo zywalagala pahati pamivhwa. Amivhwagazi puta, saga zhwasiga indundu zywa zwunthi.
2904080094	Imbeyu izwenje zhwalagala munzhi inyinza zhwapa indundu pazi wonjelela, zimo zihasagala along gatatu sana, zimo malogo tanda, na zimo malogo mia.”
290409003a	Ahayanga, “Wabhunti uwi makutu agahuvhwe, naayuvhaje!”
29040a006b	U Yesu pahavha mwene, bhala habha phiphi nu mwene bhala ilongo nabhantu bhantu bhahabhuzywa ehusu ivifwani.
29040b0085	Ahayanga wavhene, “Amwe mpewilwe utawala uwa Nguluvhi. Lelo bhala abhalihunzi shila hatu wayanje nivifwani, ili gawenya, ena wenya,
29040c0090	lelo hawenya, phepo pahuvhwa, lelo sahuvhwa wawenya, lelo sawenya wala hawe lewa nahuvhe, lelo gabhe bhagaluhananga Ungulubhi abhahoshelanga.”
29040d005b	Ahayanga wabhene, “Ishi samuwelewa ivifwani ivhi? Mugawezwa bhuli awelewe ifwani ivhinje?
29040e0014	Ikopha itotile izyo.
29040f0089	Lelo bhala bhalagala mushinjhe mwidala, papizywa lwatotilwe. Pala pabhahuvha, pepo uSetano ahiza naweje izywo lila lwatotilwe muhati yao.
2904100054	Na bhamo bhala bhatwa mumwala palyuvha izywa, shalubhilo shalulo bhalipola huwaushe.
2904110082	Sabhanakholo gangunthi muhahati yao, lelo vhajimba humuda ufupi. Amayimba na yushe wao paviweza hunongwa yizyo vhafiha bhambumila.
2904120031	Bhamo vhala bhatotwa kati yimivha bhahuvha izywo,
2904130077	lelo ayimba agamunzhi akhopelwe nishuma nivinyonya zwa mambo aganji, huhuwaingia nasupe izywo na limenwa apape amadudu.
2904140095	Na bhawili abhabhatotilwe munzhi inyinza. Bhalwuvha izywo nali pashele bhapapa amandundu: bhamo malongo gatatu bhamo malongo tanda bhamo mia moja.”
290415008b	U Yesu abhambula, “Je unaleta ta ndani ya nyumba nakuweka panzhi ishitundu, au pansi pashitala? Uleta muhati na bhishe pamwanya pakinara.
290416004b	Na hami hahabhajile afise asahagabhoneha, nahakuna siri iyasiga abhapazeru.
2904170027	Khawele uwimakutu gahuvhe ayuvhwaje!”
2904180083	Akawaambia, “Mubhanje maso na hala amuhuvhwa, alingane ishipimo shila ishampima ndio shisho shamwapimilwa shayonjelezewa hulimwe.
2904190068	Afutane aje uhula uwanao ayejelela vinji tee, ulakwasanao afume wamwe ene vyayegwa navila uvya navyo.”
29041a004f	Ayanga, “Utawala uwa Ngulubhi ufananasiwa nu muntu uwa vyala imbeyu mwilongo.
29041b0050	Pahagona adamula na shabwi imbeyu zyatiuha nakule, ikiwa haga hamanya shifumile.
29041c0059	Izhi ifumia imbeyu yiiyo asoti amatundu baada yipo uwezya, nanthele imbeyu izyazikhomile.
29041d0042	Lelo imbeyu ya payakho ma atwala inhengo, pipo avune hufishile.”
29041e0071	Ayaanga, “Tufwananiswe utawala wa Ngulubhi nahanthushi, au tumile hanthuuli amatumile hanthu uwuli awelezyezye?
29041f0058	Ili nishi imbeyu yiladai, lelo pihatotwaga hali hadodo sana kuko imbeyu zywunthi munshi.
29042000ac	Hata lula ulwitothilwe igosi sana kuliko vhu nthi ivha vitotilwe mubusitani ivheha inzamba ingosi nazi inyenji ziwezya akhale nabheshe ivhansu ali nganaje inzunda yakwe.”
2904210053	Amafano aminji amanyizywe ayanjile inongwa wa bhene, shinza ishabhawezizye awelewe,
290422005d	haga ayangaga anabho bila fwano. Lelo lula ulimwene, ahabha bhula asundwa bhakwe shila hantu.
2904230037	Lelo isiku ilwo ulwe vhela pawafishile, ayanga wabhene,
2904240089	“Sanli upande uwa bhili”. Pipo bhaileha ibhuga, bhahamwenga uYesu, uwakati bhuwo ahavha mwituli. Amatuli aganji galipandwimo numwene.
2904250051	Ihala ihali ihavhulungwe amawimbi gahijilaga muhati mwintuli na ituli nagamimile.
290426007c	Lelo uYesu yuyo alikuwa kwenye shetri, ali agonelile mwisoho. Bhahadamusya, bhayanga, “Wamwalimo, hangu saga ati tufwa?”
2904270066	Abhuha audamila ihala aibhula inzumbi, '“Ibhe shinza, huwaushe”. Ihala ihaleha, wahavha miee sana.
2904280038	Ayanga wa bhene, “Yenu mu hwogopa? Samulinima bado?”
2904290067	Bhahabha nihofu moyo gabho bhayangana vhene kwa vhene, “Unu yunanu antele, hata ihula ihumwogopa?”.
2905010036	Bhabhiza upande uwinje uwinsumbi ukowa ungwa hu Gelasi
2905020069	Gafula uwakati uYesu afumaga hunzhi iyituli, umuntu uwipepi ichafu anhiza wa mwene afume wazili inghugwa.
2905030058	Muntu uyo akhalaga wazili inghughwa. Numo untu uwa zigaga zaidi, numo hata hu manyololo.
290504009d	Apinyilwe ahabhalilo ahinji apinyilwe namanyololo. Alikata minyololo naphingo adadulaga ipbingo na gamanyololo gambuduhaga. Na numo uwanga nikhone nahu mene.
2905050050	Usiku nusanya shali hu ngungwa na huagamba, alilaga na wivhale na mawe amakhali.
2905060044	Pahalola uYesu litali, anyililile wa mwene naundame witazi wa mwene.
290507008b	Ahalila usauti igozi, “Uwaza ibhombele yenu, uYesu, Umwana wa Ngulubhi uwali Humwanya sana? Ihuwiniha wa Ngulubhi yuyo, ungandedavhwe.”
2905080048	Pipo ali abholile, “Huje ufume mwa muntu bhunu, awe wipepo imbivhi.”
2905090062	Wope abhuzya, “Itawa lwaho wi nanu?” Wope ajibule, “Itawa lwani Legion, pipo tuli bhinji.”
29050a0030	Amwiniha sana sana angande hutwale hunzi yikowa.
29050b003e	Ishi ikundi igosi ilinguluvhe zywa lwanga pamwanya paha gamba,
29050c0046	nabha mwiniha, bhayanga, “Tutume huguluvhe; tinjile muhati yavho.”
29050d00a1	Bhalisiwa; aroho achafu bhahafuma nawinjile muhati mungulivhi, bhape bhahanyilapanzipa gamba paka munsumbi zyabhezya afishe elufu zibhili bhatumbushila munzumbi.
29050e007c	Na bhala bhali bhaziliswa igumi bhatumbaga nafumine italifa abafumile ikhaya ni nsi pipo bhuhafwa abhale awenye ahahafumile.
29050f009e	Epo bhahinza wa Yesu na bhahalola umuntu uwayinjililwe namapepo—uwali ni jeshi—akhele panzi, bhakwatizye, abhoneha huhakili zyakwa halali bhope bhahogopa.
290510006e	Bhala bhalole hafumile wa muntu uwa hinjililwe ni pepo bhahabhula hafumile wa mwene ahafumile ahusu inguluvhi.
2905110027	Bhope bhada humwinishe ayepe mkoa gwao.
2905120065	Pali pawinjila muhati mwintoli umuntu uwahinjililwe nipepo amwiniha huje bha shilaje bhudhi nu mwene.
2905130080	Lelo haga amwitishile, lelo habhala, “Shilaga hunumba yaho nawabhantu bhao na bhabhule uwabhombile Bwana, iphana ilowapile.”
2905140061	Isho ahashila atanganza amambo amagosi uYesu agabhombile wamwene hu Dekapoli, ula muntu aswijile.
2905150068	Umuda uYesu palobhoa upande uwinje muhati mwituli ibhunga inyinji ihazywungulaga pati mushinje munsumbi.
290516005e	Uumo uwali longozi wasinagogi, ahitwaga Yailo, ahizile, pali alole, angwile pamagaga agamwene.
2905170091	Amwinishe sana amwiniha sana sana, ayanga, “Ulindu wani udodo abhezywa afwe. Ihulamba unyinze ubhishe amakhono pamwene apate ihafya hulamba.”
2905180053	Isho habhala nawo na ibhuga ingosi sana ihada gana bhavhelaga mpepe vhahunzwungula.
2905190042	Wali nu shi uli afuma ama danda amaha ilongo limo na maha gavhili.
29051a0093	Alavhile sana waganga abhinji atumila kila hatu anaho hutaisho sashahavha na hamo. Hata hivyo hakusaidika kwa chochote, lelo pipo ali ihali mbivhi.
29051b0064	Ahuvwa ihali huje uYesu. Aheza khosi wa mwene na pajendaga muhati mubhuga, apala zwa umwenda gwakwe.
29051c0048	Pipo alyanjile, “Khanapela nvuzywa amenda agakwe lwe, izavhe mwumi.”
29051d005e	Pahakhata, afume wakwe idanda iha leha awiyuvwa hula alavhewakwe huleha afume humalabha gakwe.
29051e0090	Mala Yesu agundua ndani yake mwenyewe huje ikhone lwa fuma. Agaluhana uhu nuhu mu phuga mwa bhantu navhuzye, “Yunanu uwagusa umwenda gwani?”
29051f0056	Asudwa bhakwe bhabhulile ulola ibhunga izywungulile nawe uyiga 'Yu nanu uwa ngusa?”'
290520002e	Lelo uYesu ahenya wondi wondi uwa bhombileili.
2905210079	Ushi, palole ilili fumile afume wa mwene ahogopa nateteme. Aheza nagwe pansi witazi lwakwe nahu bhute izywaziwili zyunti.
2905220074	Ayanga wa mwene, “Lendu, awamini waho huponizywe avhemwumi. Shilaga hu himani upone uponywe afume huvhinu waho.”
2905230081	Pali aliayanga, bhamo avhatu bhahinza afume walongozi uwi Sinagogi, bhayangaga, “Ulindu waho afwile. Henu uhumbula umwalimo?”
290524005c	U Yesu pahuvha avhyanga, ahabhula ulongozi uwi Sinagogi, “Unganje awogope. Aminiangatu.”
2905250059	Haga alusu yayunti alongozanye nawo, ila uPetulo, uYakobo, nu Yohana, uholo wakwe Yakobo.
290526004b	Bhahiza khaya walongozi wi Sinagogi wope ahalola ivhujo akhole sana nalile.
290527005f	Pahinza khaya, abhabhulile, “Henu musiliha antele yenu mlila? Umwahaga afwile ila agonile.”
2905280087	Bhaseshile, lelo umwene, abhafumya huzi, amwega uYisu wa mwana nunyina nabhala bhabhali palishimo numwene, ahijila muhati mwali umwana.
2905290061	Ahega ukhono ugwa mwana ahabhula, “Talitha koum,” ambayo huwayanje, “Lindu umwana bhuha.”
29052a0051	Umda ufupi umwana adamula na ajende (pipo alina maha ilogo limo naganji gavhili).
29052b006c	Gafula bhahakhatwa nushanga ougosi. Numo yayunthi uyiwaziwa amanye wili. Abha bhula peli ulendu ula ishalye.
290601003f	Na ahepa ipo nabhale humuji ni wabho asundwa abhakwe bhahadaga.
29060200e2	Ulutuyo palwahafiha, ali anza amanyizywe mwi Sinagogi. Abhantu abhinji bhahamuvhaga. Naswijiziwe bhahayaga, “Azwajile wihiizi izywa manyizwa?” “Liphana ashi ili ilwapewilwe?” “Abhomba amanjele iga humakhono gakwe?”
2906030098	“Ishi unu sawa selemala, umwana wa Maria uholo wabho aYakobo, Yose, Yuda na Simoni? Je adada bhakwe tukhalanabho mumu nanthi?” Hakufulaisha nu Yesu.
2906040075	U Yesu abhabhula, “Ukuwa haga akosa awogopwe, ilakati yikhaya yakwe na mubhamo muholo bhakwe na munyumba mwakwe.”
290605004f	Hagawezyaga abhombe amanjele epo, lelo abheha amakhono abhini bhashe abhaponwa.
290606004f	Ahaswiga sana pasaga wamini wabho. Ajendelela ikhaya izywapalamani ahamanyizya.
2906070078	Ahabha kuga asudwa bhakwe ilongo limo nabhantu bhabhili ahanda atume bhabhili bhabhili. Apela amulaka juu yipepo ichafu,
290608007a	na bhamulile bhaanganje aweje hahunti pabhajenda ila ulusansotu bhanganda aweje ibumunda wala ifhulushi wala ihela pahosi;
2906090035	lelo bhakwataje ishilato, lelo siyo amakanzu gabhili.
29060a004b	Ahabhabhula, “Nyumba yayundti iyamunza winjile, khalanji upa pamwaishila.
29060b007a	Ikhaya yayundti iyasi habhejela wala abhuvhe, shilaji pabhene, kunyu ntaji amakundi agamagaga genyu, bhawiloleje abene.”
29060c0041	Nabhope bhahashila bhatangazwa abhantu bhalambaje imbivhi zyabho.
29060d003c	Bhanyi ipepo inyinji, na bhapahaga amafuta abhinu bhaponaga.
29060e00b1	Utawala uHalode pahuvhwa ingo, afutane itawa lwa Yesu lwamanyishe sana. Bhamo bhayanga, “U Yohana uyabhozwa azyushile pipo isho inkuniimaanjele ibhomba imbombo mhati yakwe.”
29060f0074	Bhamo bhahayanga huje, “Unu yu Eliya,” Lelo bhamo bhayanga, “Unu yukuwa, uwali nishi bhala akuwa abhimandi.”
2906100054	Lelo uHalode pahuvhaigo ahayanga, “Ahaga uYohana, uwihandumule itwe azywushile.”
2906110096	Lelo Helode yuyo alajizwe huje uYohana akhatwe ahapinya nahubhishe mwigeleza hunongwa Herodia (ushi wa kuluwakwe Filipo) pipo lelo umwene ali agojile.
290612004c	Lelo uYohana ali abhulile uHerode, “Sagashizha aweje ushi uwa khulubho.”
2906130047	Lelo uHerodia ahanda huvhitililwe na azaga ahugoje, lelo haga awezizwe,
290614008f	lelo uHerode amwogupe uYohana; amenye muntu wana lwoli nzhelu ahaleha huwinza, pahendelela hu mwuvhe. Asulumana sana lelo ahamoga hutejelezywe.
2906150082	Po uhafi uwakati uwene pabhelaga isiku ilwa papwe Herode abhandalila atalamu abhakwe ishelehe, na adadamu nalongozi ami Galialaya.
29061600c4	Phipo ulendu wa Herodia ahinjila nacheze witazi wabhene, afulaiswa uHarode na jenyu abhakhile uwakati uwishalwe shalwevhela. Epo utawala abhula ulendu, “Undavhe hahondti uwaza nani izahupele.”
290617004d	Alapilizya huje, hahudi hubha ndavhe, izahupele, ahata inusu iyitala wani.”
290618005e	Afuma huzi avhuzya anyina wakwe, “Indavhe yenu?” Abhula, “Itwe ilwa Yohana uwa Wonza.”
290619005e	Shisho ahinjila watawala ahanda ayanje, “Iwaza muhati musahani, itwe lwa Yohana uyawozwa.”
29061a005d	Utawala aswiga sana, lelo ululapo ulwalapile na ajenyi, haga hawezywa hukhanile ilwa labhile.
29061b0074	Isho, mutawala ahatuma asinjala abha gulaga abhalajizywe abhale alilete itwelwa yahanaulizi abhatile adumule wijela.
29061c0046	Ahaleta itwe kwenye sahani na hupele ulindu ulindu apela unyina wakwe.
29061d0060	Asundwa bhakwe pabha huvha isho, bhahabhala abhale aweje ubhilyi gwakwe bhala asywile hunghugwa.
29061e0053	Atumwa bha bhungana witazi wa Yesu, bhabhula gunthi agabhombile na gabhamanyizyaga.
29061f007d	Wope abhabhula, “Izaji mwemwe pasili tutuye hashe.” Abhantu abhinji bhali bhahweza nashile wala habhapata inafusi iyolye.
290620002e	Bhinjila mumashuwa bhala amahali pasili bhene.
2906210076	Lelo bhahabha lola pabhashila bhahabhamanya abhahanyila lwimagaga upaka humiji guthi, bhope bhafiha shavhasili abhene.
2906220087	Pahafiha pwani, bhalola ibhuga ingosi bhahabhasajila, pipo bhali nishi ingole izwasazili nu ndimii. Ahanda abha manyizye amambo aminji.
2906230064	Abhazyo pahedelela sana, asudwa abhahemwizila bhaha bhula,”Ipa tuli mahali pisili umuda gubhalile.
290624003b	Ubhalaje bhashilaje aweze ishalye humiji hujiji ivipipi.”
2906250082	Lelo abhajibhula ayanga, “Bhapeli amwe ishalye.” Tugawezwa awepe nakale amabumunda angisamani na mimbili tubhapele hahalye?”
290626007e	Ahabhabhula,” Muna amabumunda galinga? Mubhale mwenye.” pabhavhaga bhahabhula, “Amabumunda gasanu ni samaji nsivhile.”
290627002d	Bhahamuliswa abhantu bhakhale mumasole amolo.
2906280032	Bhaha khazywa makundi; makundi mamia na amhamsini.
29062900a5	Ahenga amabumunda gasanu na samaki zibhili, na wenye humwanya, ahasanya aha pela asudwa waweke mbele ya umati. Bhabhishe nasamaki zibhili, na zitatu wabhathu bhuthi.
29062a0018	Bhahalya bhuthi bhayile.
29062b0057	Bhabhunganya amabumuda sangile, Vyaha mema ivitundu vhibhele, nivindumushila ivisamaki.
29062c002a	Bhali alume elufuzisanu abhalile amabunda.
29062d005c	Abhabhula huje bhande mashua bhabhale isemu iyinji, Bethsaida, uwakati abhalaga ulubhungano.
29062e002d	Pabha habha bhashila, abhala wi gamba alavhe.
29062f0057	Pawahahavha shalyevhela na mashua yabho ulwo ili pahati pazhumbi alimwene panzi inyumu.
2906300086	Ahalola bhatamiwa akhome makasiapipo ihala ihapingaga. Pahuhabha hupambazuha nashaphii abha bhalila, ajendaga amizi ahazaga ashizanye.
2906310051	Lelo pahalola ajenda amwanya iyimeze, bhapata uwasi wasi bhagazimu hata bhakhola.
