2800000008	Matteuse
2a12020061	Ta ütles: „Ühes linnas oli kohtunik, kes ei kartnud Jumalat ega hoolinud inimeste arvamusest.
2a1203006e	Selles linnas oli ka lesknaine, kes tuli alatasa tema juurde palvega: „Anna mulle õigus mu vastase üle!“
2a1204007a	Mõnda aega kohtunik keeldus. Aga lõpuks ta mõtles endamisi: „Kuigi ma ei karda Jumalat ega hooli inimeste arvamusest,
2a1205006f	siis kuna see lesk mind tüütab, vaatan, et ta saaks õiguse. Muidu vaevab ta mind oma mangumisega ära!““
2a1206003f	Ja Issand ütles: „Kuulake, mida ebaõiglane kohtunik ütleb!
2a1207008c	Kas siis Jumal ei peaks tegema õigust oma valitutele, kes tema poole kisendavad päevad ja ööd? Kas ta peaks viivitama neile vastamisega?
2a12080082	Ma ütlen teile, küll ta vaatab, et nad peagi õiguse saavad! Ometi, kui Inimese poeg tuleb, kas ta siis leiab usku maa pealt?“
2a12090097	Mõnele neist, kes olid kindlad, et nad on Jumala silmis laitmatud ja seetõttu suhtusid teistesse üleolevalt, rääkis Jeesus selle tähendamissõna:
2a120a0051	„Kaks meest läksid templisse palvetama, üks oli variser ja teine maksukoguja.
2a120b00b8	Variser tõusis püsti ja palvetas: „Jumal, ma tänan sind, et mina ei ole selline nagu muud inimesed: röövlid ja kurjategijad, abielurikkujad, ega ka selline nagu see maksukoguja.
2a120c004d	Mina paastun kaks korda nädalas ja maksan kümnist kõigest, mis ma saan.“
2a120d0099	Aga maksukoguja seisis eemal. Ta ei julgenud isegi taevasse vaadata, vaid lõi endale vastu rinda ja ütles: „Oh Jumal, ole mulle patusele armuline!“
2a120e00af	Ma ütlen teile, tema läks koju õigeks mõistetuna Jumala ees, mitte teine. Sest igaüht, kes ennast ise ülendab, alandatakse; aga kes ennast alandab, seda ülendatakse!“
2a120f0067	Inimesed tõid ka Jeesuse juurde lapsi, et ta neid puudutaks. Aga seda nähes jüngrid sõitlesid neid.
2a1210008d	Ent Jeesus kutsus lapsed enese juurde ja ütles: „Laske lapsed minu juurde tulla, ärge keelake neid, sest selliste päralt on Jumala riik.
2a1211005f	Tõesti, ma ütlen teile, kes Jumala riiki vastu ei võta nagu laps, ei pääse sinna sisse.“
2a12120066	Üks valitseja küsis Jeesuselt: „Hea Õpetaja, mida ma pean tegema, et ma päriksin igavese elu?“
2a1213005c	„Miks sa nimetad mind heaks?“ vastas Jeesus, „Keegi muu ei ole hea kui üks – Jumal.
2a1214006d	Käske sa tead: ära riku abielu, ära tapa, ära varasta, ära anna valetunnistust, austa oma isa ja ema!“
2a12150044	Tema aga ütles: „Seda kõike olen ma pidanud poisieast alates.“
2a121600a9	Seda kuuldes ütles Jeesus talle: „Üks asi on sul veel puudu: müü ära kõik, mis sul on, ja jaga vaestele, ja sul on siis aare taevas, ning tule, järgne mulle!“
2a1217003c	Aga seda kuuldes muutus ta kurvaks, sest ta oli väga rikas.
2a1218004e	Jeesus vaatas teda ja ütles: „Kui raske on rikastel pääseda Jumala riiki!
2a1219004e	Hõlpsam on kaamelil minna läbi nõelasilma kui rikkal minna Jumala riiki.“
2a121a003e	Ent kuulajad küsisid: „Kes siis võib saada päästetud?“
2a121b0047	Jeesus vastas: „Mis inimestele on võimatu, on Jumalale võimalik!“
2a121c0045	Peetrus ütles: „Me oleme kõigest loobunud, et sulle järgneda.“
2a121d00b2	„Tõesti, ma ütlen teile,“ vastas Jeesus, „ei ole kedagi, kes on loobunud kodust või naisest või vendadest ja õdedest või vanematest või lastest Jumala riigi pärast,
2a121e0052	kes mitmekordselt tagasi ei saaks sellel ajal ja tuleval ajastul igaveses elus.“
2a121f00a5	Jeesus võttis endaga kaksteist jüngrit ja ütles neile: „Me läheme üles Jeruusalemma ja seal täitub kõik see, mis prohvetid on kirjutanud Inimese Poja kohta!
2a12200053	Ta antakse rahvaste kätte. Teda teotatakse, solvatakse ja tema peale sülitatakse,
2a1221004a	nad peksavad teda ja tapavad ta. Ja kolmandal päeval tõuseb ta üles.“
2a1222006f	Jüngrid ei mõistnud sellest midagi. See sõna oli nende eest varjatud ja nad ei teadnud, millest ta räägib.
2a1223004e	Aga kui Jeesus Jeerikole lähenes, istus üks pime mees tee ääres ja kerjas.
2a1224003d	Kui ta kuulis rahvahulka möödumas, päris ta, mis lahti on.
2a12250035	Nad teatasid: „Naatsareti Jeesus läheb mööda!“
2a1226003f	Ja ta hüüdis: „Jeesus, Taaveti Poeg, halasta minu peale!“
2a1227007b	Möödujad sõitlesid teda ja käskisid tal vait olla, aga tema hüüdis seda enam: „Taaveti Poeg, halasta minu peale!“
2a12280064	Jeesus peatus ja käskis pimeda enda juurde tuua. Aga kui pime lähemale tuli, küsis Jeesus temalt:
2a12290052	„Mida sa tahad, et ma sulle teeksin?“ „Issand, ma tahan näha!“ vastas ta.
2a122a0054	Jeesus ütles talle: „Võta vastu oma nägemine! Sinu usk on su terveks teinud!“
2a122b0072	Otsekohe nägi ta jälle ja järgnes Jeesusele Jumalat kiites. Kui inimesed seda nägid, kiitsid ka nemad Jumalat.
2a13010034	Kui Jeesus jõudis Jeerikosse, läks ta sealt läbi.
2a13020049	Seal oli mees nimega Sakkeus; ta oli maksukogujate ülem ja ta oli rikas.
2a13030061	Sakkeus tahtis näha, kes Jeesus on, aga ei näinud üle rahvahulga, sest ta oli lühikest kasvu.
2a13040063	Ta jooksis ettepoole ja ronis metsviigipuu otsa, et teda näha, sest Jeesus pidi sealtkaudu minema.
2a1305007c	Kui Jeesus selle kohani jõudis, vaatas ta üles ja ütles: „Sakkeus, tule kohe alla! Ma pean täna sinu kodus peatuma!“
2a13060031	Sakkeus tuli alla ja võttis ta rõõmsalt vastu.
2a1307004d	Seda nähes nurisesid kõik: „Tema on patuse mehe juurde külla läinud!“
2a130800c9	Kuid Sakkeus ütles Issanda ette astudes: „Vaata, Issand! Siin ja praegu annan ma poole oma varandusest vaestele, ja kui oma olen kelleltki midagi välja petnud, maksan selle neljakordselt tagasi.“
2a1309006a	Siis Jeesus ütles temale: „Pääste on tulnud täna sellesse majja, sest ka see mees on Aabrahami poeg.
2a130a003b	Sest Inimese Poeg on tulnud otsima ja päästma kadunut.“
2a130b0095	Kui nad teda kuulasid, rääkis Jeesus veel ühe tähendamissõna, sest ta oli Jeruusalemma lähedal ja inimesed arvasid, et Jumala riik saabub kohe.
2a130c0078	Ta ütles: „Üks kõrgest soost mees reisis kaugele maale, et lasta end seal määrata kuningaks ja siis tulla tagasi.
2a130d0073	Niisiis ta kutsus kümme oma sulastest ja andis neile kümme naela raha: „Kaubelge seni, kuni ma tagasi tulen!“
2a130e0079	Aga tema alamad vihkasid teda ja läkitasid saadikud talle järele ütlema: „Me ei taha seda meest endale kuningaks!“
2a130f008e	Aga ta sai kuningaks ja läks tagasi koju. Ta käskis kutsuda need sulased, kellele ta oli raha andnud, et näha, kui palju nad olid teeninud.
2a13100049	Esimene tuli ja ütles: „Isand, sinu nael on kümme juurde teeninud.“
2a13110090	„Hästi tehtud, mu hea sulane!“ vastas peremees. „Kuna sa oled olnud ustav nii väheses, siis annan sulle meelevalla kümne linna üle.“
2a13120045	Teine tuli ja ütles: „Isand, sinu nael on viis juurde teeninud.“
2a1313003e	Peremees vastas sellelegi: „Sina valitse viie linna üle!“
2a13140066	Siis tuli järgmine sulane ja ütles: „Isand, siin on sinu nael, mida ma olen hoidnud taskurätikus.
2a13150072	Ma kartsin sind, sest sa oled karm mees. Sa võtad sealt, kuhu ei ole pannud, ja lõikad, mida sa ei külvanud.“
2a131600c2	Ta isand vastas: „Sinu enda sõnade põhjal ma mõistan su üle kohut, sa nurjatu sulane! Sa teadsid, et ma olen karm mees: võtan, kuhu ma ei ole pannud, ja lõikan, mida ma ei ole külvanud.
2a13170060	Miks sa siis ei pannud mu raha panka, et ma oleksin selle tagasi tulles kasuga tagasi saanud!“
2a1318006e	Ja ta ütles juuresolijaile: „Võtke tema nael tema käest ära ja andke sellele, kellel on kümme naela!“
2a13190036	„Isand,“ ütlesid nemad, „tal on juba kümme!“
2a131a0085	Ta vastas: „Ma ütlen teile, et igaühele, kellel on, antakse juurde, aga kellel ei ole, sellelt võetakse ära ka see, mis tal on.
2a131b0062	Aga need minu vaenlased, kes mind ei tahtnud enda kuningaks, tooge siia ja surmake minu ees!““
2a131c003f	Ja kui Jeesus oli seda kõnelnud, jätkas ta teed Jeruusalemma.
2a131d0088	Nii kui ta jõudis Betfage ja Betaania lähedale mäe juurde, mida nimetatakse Õlimäeks, läkitas ta kaks oma jüngritest ning ütles:
2a131e0086	„Minge külla, mis on teie ees. Seal te leiate kinniseotud sälu, kelle seljas ei ole keegi istunud. Siduge see lahti ja tooge siia!
2a131f0068	Kui keegi teilt küsib: „Miks te selle lahti seote?“, siis öelge: „Issandal on teda tarvis!““
2a13200050	Läkitatud läksid ja leidsid kõik täpselt nii, nagu Jeesus neile oli öelnud.
2a13210060	Aga kui nad sälu lahti sidusid, küsisid selle omanikud neilt: „Miks te sälu lahti seote?“
2a13220029	Ja nad vastasid: „Issand vajab teda!“
2a1323005e	Nad tõid ta Jeesuse juurde, heitsid oma kuued sälu peale ja panid Jeesuse tema selga istuma.
2a1324003d	Kui ta edasi liikus, laotasid inimesed oma rõivad tee peale.
2a132500b1	Aga kui ta jõudis kohani, kus tee läheb alla Õlimäe juurde, hakkas kogu jüngrite hulk rõõmustades valju häälega Jumalat kiitma kõigi imede eest, mida nad olid näinud:
2a13260063	„Õnnistatud olgu kuningas, kes tuleb Issanda nimel!“ „Rahu taevas ja au kõige kõrgemal!“
2a13270059	Mõned variserid rahva hulgast ütlesid Jeesusele: „Õpetaja, sõitle oma jüngreid!“
2a13280057	„Ma ütlen teile,“ vastas ta, „kui nemad vaikiksid, hakkaksid kivid kisendama!“
2a13290054	Nii kui Jeesus Jeruusalemma lähedale jõudis ja linna nägi, nuttis ta tema pärast
2a132a007a	ja ütles: „Kui ometi sinagi oleksid ära tundnud, mis sulle rahu toob – ent nüüd on see sinu silmade eest varjatud.
2a132b0082	Sest päevad tulevad sinu peale, mil su vaenlased rajavad sinu ümber valli ja piiravad su sisse ja ahistavad sind igast küljest.
2a132c0098	Nad teevad su maatasa, sinu ja su lapsed koos müüridega. Nad ei jäta kivi kivi peale, sest sa ei tundnud ära aega, millal Jumal sinu juurde tuli.“
2a132d0050	Jeesus läks templisse ja hakkas välja ajama neid, kes seal ostsid ja müüsid.
2a132e0078	Ta ütles neile: „Kirjutatud on: „Minu koda peab olema palvekoda“, aga teie olete teinud selle röövlikoopaks!“
2a132f0077	Jeesus õpetas templis päevast päeva; aga ülempreestrid, kirjatundjad ja rahvavanemad otsisid võimalust teda tappa.
2a13300067	Siiski ei leidnud nad ühtki viisi, sest inimesed olid kogu aeg tema ümber tähelepanelikult kuulamas.
2a1401008c	Ühel päeval, kui Jeesus rahvast templis õpetas ja evangeeliumi kuulutas, tulid ülempreestrid ja kirjatundjad koos vanematega tema juurde
2a14020067	ja küsisid: „Ütle, millise meelevallaga sa neid asju teed? Kes sulle selle meelevalla on andnud?“
2a1403003b	Jeesus vastas: „Mina tahan ka teie käest midagi küsida:
2a14040037	kas Johannese ristimine oli taevast või inimestest?“
2a1405006d	Nad aga arutasid omavahel: „Kui me ütleme, et taevast, siis ta küsib: „Miks te siis ei uskunud teda?“
2a14060081	Aga kui me ütleme, et inimestest, siis rahvas viskab meid kividega surnuks, sest nemad on veendunud, et Johannes oli prohvet.“
2a14070030	Nii nad vastasid: „Me ei tea, kust see oli.“
2a1408004f	Jeesus ütles: „Ega minagi ütle teile, millise meelevallaga ma seda teen.“
2a14090084	Ta jätkas ja rääkis rahvale selle tähendamissõna: „Üks mees istutas viinamäe ja andis selle rentnike kätte ja reisis ära.
2a140a00af	Viljakoristamise ajal läkitas ta sulase tööliste juurde, et need annaksid talle osa tema viinamäe viljast. Aga rentnikud peksid teda ja saatsid ta minema tühjade kätega.
2a140b0074	Ta saatis veel teise sulase, aga ka teda nad peksid, käitusid häbiväärselt ning saatsid minema tühjade kätega.
2a140c0048	Ta saatis veel kolmandagi, aga nad haavasid ka teda ja tõukasid välja.
2a140d0069	Siis mõtles viinamäe omanik: „Mis ma nüüd teen? Ma saadan oma armsa poja, ehk nad austavad teda.“
2a140e006a	Aga teda nähes arutasid rentnikud omavahel: „See on pärija! Tapame ta ära, et pärand saaks meile!“
2a140f005c	Nii nad viskasid ta viinamäelt välja ja tapsid. Mida nüüd viinamäe omanik teeb nendega?
2a1410007c	Ta tuleb ja tapab need rentnikud ja annab viinamäe teiste kätte.“ Seda kuuldes nad ütlesid: „Seda ei tohi juhtuda!“
2a14110090	Jeesus küsis neile otsa vaadates: „Mida siis tähendab see kirjasõna: „Kivi, mille ehitajad pidasid kõlbmatuks, on saanud nurgakiviks?“
2a1412006d	Igaüks, kes selle kivi peale kukub, kukub end puruks, ja kelle peale see kivi langeb, selle see purustab.“
2a141300a9	Kirjatundjad ja ülempreestrid otsisid võimalust teda kinni võtta, kuid nad kartsid inimesi. Nad said aru, et Jeesus oli selle tähendamissõna rääkinud nende kohta.
2a1414009d	Ja nad läkitasid Jeesust varitsema nuhid, kes teesklesid siiraid inimesi, et teda tabada sõnadelt ja teda ära anda maavalitseja võimusesse ja meelevalda.
2a14150093	Ja nuhid küsitlesid teda: „Õpetaja, me teame, et sa räägid ja õpetad õigesti ega ole erapoolik, vaid õpetad Jumala teed kooskõlas tõega.
2a14160031	Kas on õige maksta keisrile maksu või mitte?“
2a1417003d	Aga Jeesus nägi nende salakavaluse läbi ja ütles ta neile:
2a1418005a	„Näidake mulle teenarit! Kelle pilt ja kiri sellel on?“ „Keisri,“ vastasid nemad.
2a14190066	Jeesus ütles neile: „Andke siis keisrile, mis kuulub keisrile, ja Jumalale, mis kuulub Jumalale!“
2a141a0081	Ja nad ei saanud teda lõksu püüda sellega, mis ta oli avalikult öelnud. Ja olles hämmastunud tema vastusest, jäid nad vait.
2a141b0061	Jeesuse juurde astusid mõned saduserid, kes eitavad surnuist ülestõusmist, ja küsisid temalt:
2a141c00ad	„Õpetaja, Mooses on meile kirjutanud, et kui mehe vend sureb ja maha jääb naine, aga ei jää lapsi, siis peab see mees abielluma lesega ja vennale järglasi kasvatama.
2a141d0043	Oli kord seitse venda. Esimene neist võttis naise ja suri lasteta.
2a141e000a	Siis teine
2a141f005a	ja kolmas abiellusid temaga ja samamoodi kõik seitse surid, jätmata järele ühtki last.
2a14200016	Lõpuks suri ka naine.
2a1421005f	Kuidas on surnute ülestõusmisel: kelle naine ta on, sest kõik seitse olid temaga abielus?“
2a1422004b	Jeesus vastas: „Selle maailma inimesed võtavad naisi ja lähevad mehele.
2a1423007b	Kuid need, keda peetakse vääriliseks olema tulevases ajastus ja surnute ülestõusmises, ei võta naisi ega lähe mehele,
2a14240072	sest nad ei saa ka enam surra; nad on inglite sarnased. Nemad on Jumala lapsed, sest nad on ülestõusmise lapsed.
2a1425009a	Aga et surnud tõusevad üles, seda näitas isegi Mooses põleva põõsa loos, kui ta ütleb, et Issand on Aabrahami Jumal, Iisaki Jumal ja Jaakobi Jumal.
2a1426004b	Jumal ei ole surnute, vaid elavate Jumal, sest tema jaoks on kõik elus.“
2a14270041	Siis mõned kirjatundjad kostsid: „Hästi öeldud, Õpetaja!“
2a1428002a	Ja keegi ei tihanud rohkem midagi küsida.
2a14290048	Siis Jeesus ütles neile: „Miks öeldakse, et Messias on Taaveti poeg?
2a142a0060	Taavet ise ütleb Laulude raamatus: „Issand ütles minu Issandale: „Istu mu paremale käele,
2a142b003d	kuni ma panen sinu vaenlased su jalge alla jalajäriks.““
2a142c003e	Taavet hüüab teda Issandaks, kuidas ta siis on tema poeg?“
2a142d002d	Aga ta ütles kogu rahva kuuldes jüngritele:
2a142e00b6	„Hoiduge kirjatundjate eest! Neile meeldib kõndida lendlevates kuubedes ja nad armastavad aupaklikke tervitusi turuplatsidel ja esimesi istmeid sünagoogides ja aukohti pidulauas.
2a142f006f	Nad neelavad alla lesknaiste majad ja silmakirjaks peavad pikki palveid. Nad saavad seda rängema karistuse.“
2a1501004e	Kui Jeesus tõstis pilgu, nägi ta rikkaid oma ande templi ohvrikasti panemas.
2a1502003f	Ta nägi ka üht vaest lesknaist, kes pani sinna kaks leptonit.
2a1503005f	„Tõesti, ma ütlen teile,“ ütles ta, „see vaene lesknaine andis rohkem kui keegi teine.
2a15040055	Sest nemad panid oma küllusest, tema aga oma vaesusest kogu elatise, mis tal oli.“
2a15050092	Mõned tema jüngritest rääkisid templi kohta, et see on imeilusate kivide ning hinnaliste kingitustega Jumala jaoks kaunistatud. Jeesus ütles:
2a1506006b	„Tuleb aeg, kui sellest kõigest, mida te näete, ei jäeta kivi kivi peale, vaid kõik kistakse maha!“
2a15070066	„Õpetaja,“ küsisid nad, „millal see siis sünnib? Ja mis on tunnustäheks, et aeg on käes?“
2a150800a0	Ta vastas: „Vaadake, et teid ei petetaks! Sest paljud tulevad minu nimel, kinnitades: „Mina olen see!“ ja „Aeg on lähedal!“ Ärge minge nende järel!
2a15090081	Aga kui te kuulete sõdadest ja rahutustest, siis ärge kartke! Need asjad peavad enne sündima, kuid lõpp ei ole veel käes.“
2a150a0054	Siis ta ütles neile: „Rahvas tõuseb rahva vastu ja kuningriik kuningriigi vastu.
2a150b0061	Tuleb suuri maavärinaid ja näljahäda ja katku ning hirmsaid sündmusi ja tunnustähti taevast.
2a150c00c1	Aga enne seda kõike panevad nad oma käed teie külge ja kiusavad teid taga. Nad annavad teid ära sünagoogidesse ja vanglatesse, teid viiakse kuningate ja valitsejate ette minu nime pärast.
2a150d0022	Ja nii te saate minust tunnistada.
2a150e0042	Ärge muretsege enneaegu oma südames, mida vastata enda kaitseks.
2a150f0067	Sest mina annan teile sõnad ja tarkuse, mille vastu ei suuda seista ega rääkida ükski teie vastane.
2a15100067	Ka teie vanemad, vennad ja õed, sugulased ja sõbrad annavad teid ära ning tapavad mõned teie seast.
2a15110032	Ja teid vihkavad kõik inimesed minu nime pärast.
2a1512002a	Ent ükski juuksekarv ei hävi teie peast!
2a15130024	Seiske kindlalt, ja te võidate elu.
2a15140065	Aga kui te näete Jeruusalemma vaenlase vägede poolt piiratuna, siis teadke, et häving on lähedal.
2a15150085	Siis need, kes on Juudamaal, põgenegu mägedesse, ja need, kes on linnas, lahkugu kiiresti, ja need, kes on maal, ärgu mingu linna.
2a15160046	Sest need on kättemaksupäevad, et läheks täide, mis on kirjutatud.
2a1517007a	Häda neile, kes on lapseootel, ja neile, kes imetavad sellel ajal! Sest suur häda on maa peal ja viha selle rahva vastu!
2a1518008c	Ja nad langevad mõõga läbi ja nad viiakse vangi kõigi rahvaste sekka. Jeruusalemm jääb rahvaste tallata, kuni rahvaste aeg saab täis.
2a1519008a	Päikeses, kuus ja tähtedes nähakse ennustuse märke. Maa peal aga on rahvad ahastuses ja hädas mere möirgamise ja veevoogude pärast.
2a151a0067	Inimesed nõrkevad õudusest maa peale tulevate õnnetuste kartuses, sest taeva vägesid kõigutatakse.
2a151b0052	Ja sellel ajal nad näevad Inimese Poega tulemas pilvedes väe ja suure kirkusega.
2a151c006c	Aga kui see kõik hakkab sündima, siis sirutage ennast ja tõstke oma pead, sest teie lunastus läheneb!“
2a151d0048	Ta rääkis neile tähendamissõna: „Vaadake viigipuud ja kõiki puid!
2a151e0044	Kui pungad pakatavad, siis te võite ise näha, et suvi on lähedal.
2a151f005d	Nõnda ka teie, kui te näete kõike seda sündimas, siis teadke, et Jumala riik on lähedal.
2a1520004c	Tõesti, ma ütlen teile, see sugupõlv ei kao, kuni kõik see on sündinud.
2a15210033	Taevas ja maa kaovad, kuid minu sõnad ei kao iial.
2a15220088	Hoidke end, et teie süda ei oleks koormatud liigsöömise, joomingute ega elumuredega, et see päev ei püüaks teid ootamatult lõksu.
2a15230034	Sest see langeb kõikide peale, kes maa peal elavad!
2a1524007e	Valvake ja palvetage kogu aeg, et teid arvataks väärt põgenema kõige selle eest, mis tuleb, ja seisma Inimese Poja ees!“
2a15250069	Jeesus õpetas iga päev templis, õhtuti läks ta välja ning ööbis mäel, mida kutsutakse Õlimäeks,
2a1526003c	ja kõik inimesed tulid varahommikul teda templisse kuulama.
2a16010043	Saabumas oli hapnemata leibade püha, mida kutsutakse paasapühaks,
2a1602006a	ning ülempreestrid ja kirjatundjad otsisid viisi, kuidas Jeesusest lahti saada, sest nad kartsid rahvast.
2a16030059	Siis sisenes saatan Juudasesse, keda kutsuti Iskariotiks, kes oli üks kaheteistkümnest.
2a1604007e	Ja Juudas läks ülempreestrite ja templivalvurite juurde ning arutas nendega, kuidas ta saaks Jeesuse ära anda nende kätte.
2a1605004e	Neil oli selle üle hea meel ja nad leppisid kokku, et nad annavad talle raha.
2a16060061	Juudas nõustus ning hakkas otsima Jeesuse äraandmiseks võimalust, mil rahvast ei ole lähedal.
2a1607003d	Saabus hapnemata leibade püha, mil tuli ohverdada paasatall.
2a1608007e	Jeesus läkitas Peetruse ja Johannese ning ütles: „Minge ja tehke ettevalmistusi, et saaksime süüa paasa õhtusööki!“
2a1609003c	„Kus sa tahad, et me selle valmistaksime?“ küsisid nad.
2a160a006e	Ta vastas: „Kui te lähete linna sisse, tuleb teile vastu mees, kes kannab veekannu. Minge tema järel majja
2a160b0072	ja öelge peremehele: „Õpetaja küsib: Kus on külalistetuba, kus ma võiksin süüa paasat oma jüngritega?“
2a160c0056	Ta näitab teile suurt ülemist tuba kõige vajalikuga. Valmistage seal kõik ette!“
2a160d006a	Nad läksid ja leidsid asjad täpselt nii, nagu Jeesus neile oli öelnud. Ja nad valmistasid paasasöögi.
2a160e003b	Kui see tund saabus, istusid Jeesus ja tema apostlid lauda.
2a160f0064	Ta ütles neile: „Ma olen väga igatsenud seda paasasööki süüa koos teiega enne oma kannatusi.
2a1610005b	Sest ma ütlen teile, ma ei söö seda enam, kuni kõik on läinud täide Jumala riigis!“
2a16110051	Siis võttis ta karika, tänas ja ütles: „Võtke see ning jagage eneste vahel!
2a16120057	Sest ma ütlen teile, mina ei joo enam viinapuu viljast, enne kui tuleb Jumala riik.“
2a16130093	Ja ta võttis leiva, tänas ja murdis ning andis selle neile ja ütles: „See on minu ihu, mis teie eest antakse; seda tehke minu mälestuseks!“
2a1614007e	Selsamal kombel võttis ta pärast sööki karika ja ütles: „See karikas on uus leping minu veres, mis teie eest valatakse.
2a16150034	Aga selle käsi, kes mu ära annab, on minuga lauas.
2a16160064	Inimese poeg läheb küll ära, nii nagu see on määratud, aga häda sellele, kes ta ära annab!“
2a16170057	Nad hakkasid üksteiselt küsima, kes see küll peaks nende seast olema, kes seda teeb.
2a16180042	Samuti tõusis nende seas vaidlus selle üle, kes neist on suurim.
2a1619007a	Jeesus ütles neile: „Rahvaste kuningad peremehetsevad nende üle ja nende kallal võimutsejaid kutsutakse heategijaiks.
2a161a0067	Aga teie ei tohi sellised olla! Vaid suurim teie hulgas olgu nagu noorim, ja juht nagu see, kes teenib.
2a161b0092	Sest kumb on suurem, kas see, kes istub lauas, või see, kes teenib? Eks see, kes istub lauas? Ent mina olen teie hulgas nii nagu see, kes teenib.
2a161c003c	Teie olete need, kes on minu kõrval olnud minu katsumustes.
2a161d0046	Ja mina annan teile Kuningriigi, nõnda nagu minu Isa mulle on andnud,
2a161e008a	et te sööksite ja jooksite minu lauas minu riigis ja istuksite aujärgedel ja mõistaksite kohut Iisraeli kaheteistkümne suguharu üle!
2a161f0047	Siimon, Siimon, saatan on nõudnud luba sõeluda teid kõiki nagu nisu!
2a1620007b	Aga mina olen sinu eest palunud, Siimon, et su usk ära ei lõpeks, ja kui sa pärast pöördud, siis kinnita oma vendi!“
2a1621004d	Aga ta vastas: „Issand, ma olen valmis sinuga minema vanglasse ja surma!“
2a16220075	Jeesus vastas: „Ma ütlen sulle, Peetrus, enne kui kukk täna kireb, oled sa kolm korda salanud, et mind tunned!“
2a162300a2	Siis Jeesus küsis nende käest: „Kui ma läkitasin teid kukruta, kotita ja sandaalideta, kas teil oli millestki puudus?“ „Mitte millestki,“ vastasid nad.
2a16240092	Siis ta ütles neile: „Aga nüüd, kellel on kukkur, võtku see kaasa, samuti kott, ja kellel ei ole, see müügu ära oma kuub ja ostku mõõk!
2a162500a1	Sest ma ütlen teile, et minus peab minema täide, mis on kirjutatud: „Ta on ülekohtuste sekka arvatud.“ Jah, mis minu kohta on kirjutatud, on täitumas.“
2a16260057	Jüngrid ütlesid: „Issand, siin on kaks mõõka!“ „Sellest piisab!“ vastas ta.
2a16270053	Välja minnes läks Jeesus nagu tavaliselt Õlimäele ja jüngrid järgnesid talle.
2a16280054	Kui ta jõudis kohale, ütles ta neile: „Palvetage, et te ei satuks kiusatusse!“
2a16290049	Ta läks neist eemale kiviviske kaugusele, pani põlved maha ja palvetas:
2a162a0066	„Isa, kui sa tahad, võta see karikas minult ära; ometi täitugu mitte minu, vaid sinu tahtmine!“
2a162b002a	Siis ilmus ingel taevast ja kinnitas teda.
2a162c0069	Ja ahastuses olles palvetas ta veelgi pingsamalt, ja ta higi muutus nagu maha tilkuvateks verepiiskadeks.
2a162d0067	Kui ta palvetamast tõusis ja jüngrite juurde tagasi läks, leidis ta nad magamas kurbusest kurnatuna.
2a162e0064	„Miks te magate?“ küsis ta neilt. „Tõuske üles ja palvetage, et te ei satuks kiusatusse!“
2a162f00aa	Kui Jeesus alles rääkis, tuli üles rahvajõuk, ja see mees, keda kutsuti Juudaseks, üks neist kaheteistkümnest, juhtis neid. Ta astus Jeesuse juurde ja suudles teda.
2a16300052	Aga Jeesus küsis temalt: „Juudas, kas sa annad Inimese Poja suudlusega ära?“
2a16310072	Kui Jeesuse jüngrid nägid, mis on tulemas, küsisid nad: „Issand, kas me peaksime neid mõõkadega lööma?“
2a1632004b	Ja üks neist lõigi ülempreestri sulast, raiudes ära tema parema kõrva.
2a16330052	Jeesus vastas: „Aitab sellest!“ Ta puudutas mehe kõrva ja tegi selle terveks.
2a163400ad	Siis Jeesus ütles ülempreestritele, templivalvuritele ja rahvavanematele, kes olid talle järele tulnud: „Kas ma juhin mässu, et te olete tulnud mõõkade ja keppidega?
2a16350071	Ma olin iga päev teiega templis ja te ei pannud käsi mu külge. Kuid see on teie tund, kus valitseb pimedus.“
2a16360060	Nad võtsid Jeesuse kinni, viisid ta ära ja tõid ülempreestri majja. Peetrus järgnes eemalt.
2a16370061	Aga kui mõned inimesed sisehoovis tule süütasid ja maha istusid, istus ka Peetrus nende sekka.
2a16380081	Üks teenijatüdruk nägi teda tulevalgel istumas. Ta vaatas teda tähelepanelikult ja ütles: „See mees oli koos Jeesusega.“
2a16390032	Aga Peetrus salgas: „Naine, ma ei tunne teda.“
2a163a0076	Pisut hiljem nägi keegi teine teda ja ütles: „Ka sina oled üks neist.“ „Mees, mina ei ole,“ vastas Peetrus.
2a163b0067	Umbes tund aega hiljem kinnitas keegi teine: „Kindlasti oli see mees temaga, ta on ju galilealane.“
2a163c006b	Peetrus vastas: „Mees, ma ei tea, millest sa räägid.“ Ja otsekohe, kui ta alles rääkis, kires kukk.
2a163d00b2	Ning Issand pöördus ja vaatas Peetrusele otsa. Siis tuli Peetrusele meelde sõna, mis Issand oli talle öelnud: „Enne kui täna kukk kireb, salgad sina mu kolm korda ära.“
2a163e0027	Ja ta läks välja ja nuttis kibedasti.
2a163f0039	Aga mehed, kes Jeesust valvasid, pilkasid ja peksid teda.
2a16400050	Nad katsid kinni ta silmad ja nõudsid: „Prohveteeri! Kes sind praegu lõi?“
2a16410031	Ja palju muid solvavaid sõnu ütlesid nad talle.
2a1642005d	Koidikul kogunesid rahvavanemad, ülempreestrid ja kirjatundjad ning Jeesus viidi nende ette.
