2800000006	Matiyu
2a0c3b005d	A nikma hwiti ɗe, ka yil ɗa̱ka̱ lwisi ka̱ so se ka̱ ɓatl ilgwe sa̱ mboshik wu mas.”
2a0d0100c6	Ka̱ multi jwisi ɗe Yesu nisi ma hwit ga̱ɓa wu, yek ma̱jon ɗe sa̱ ni ka̱li wu dla̱mi Yesu ma̱n Galili jwe Bilatus laki yek sa̱ tlosi asa̱ na̱ma mboshti mba̱la sogo mal ta̱s tak Nya wu.
2a0d02008c	Yek Yesu nda̱kisi ɗe, “Na̱k ɗe ma̱n Galili ju ma̱sh nugo, ka̱ da̱ma̱n gwa we sa̱ pa̱l byas wul man naa mbala̱n mas a Galili a?
2a0d03006c	Ko njaa, a ni kii ma hwiti ɗe kume ka̱ ci atl gaa sogo nu ka̱n ka ma̱shi mas jwaka̱n na̱k gwasa̱n wu.
2a0d040082	Ko mbala̱n ɗe kutl cet wusupsi jwe tlal bii ndesi gaa a Siluwam yek sa̱ ma̱sh go sa̱ pa̱l byas wul man mas ma̱n Wurshelima?
2a0d05006c	Ko njaa, a ni kii ma hwiti, kume ka̱ ci atl gaa sogo nu ka̱n mas jwaka̱n ka ma̱shi na̱k gwasa̱n wu.”
2a0d0600c9	Yek Yesu cinga̱lisi ga̱ɓa gon ɗe, “Ma̱lgon pa̱l zhin yandi inabi gwasi yek ta̱ ɓak tlindi tula̱n a giɓi, yek ta̱ li ka̱ zhimi ta̱s kotl yandi tula̱mi ama yek ba̱ta̱ mbi ilgon dani so.
2a0d0700f2	Yek ta̱ wul ma̱lgwe zhimi nit ang wu ɗe, ‘Gin naa ɗe mekan ka̱ ɓal gee ɗe a na̱ma tulti ngot yandi a dani a ba̱ba mbi ilgon sowu. Yek laki ɗe ma̱ zak tlindi tula̱n ga̱n ka̱lu gwe ma ɓaka̱n yandi inabi ka̱li gwe? Wotl ka!’
2a0d080088	Yek ma̱lgwe zhimi nit ang wu wule, ‘Bagaa, ɓo zaki ta̱ po pa̱l gin ɗe na̱m ɗa̱ paa. Ba hwokit atl ɗa̱ zhila ka a wutit taki.
2a0d090043	Kume guli wu aka̱ zaki, kume guli sowu aka̱ laki a wotl ka.’”
2a0d0a005a	Gas gon Yesu na̱ma hwit ga̱ɓa mbala̱n ka̱lu motgaa ga̱ gwasa̱n gas shukti gwasa̱n.
2a0d0b009c	A kili gon ɗe ma̱zhe laki yek cwo tlet tli ka̱wu ni ka̱li, ta̱ ɓal ka̱ gin ɗe kutl cet wusupsi ata̱ ni kontami. A ba̱ta man takti gwas so ko njet.
2a0d0c007a	Yesu yenti wugo yek ta̱ mbet tet malti yek ta̱ wulti ɗe, “Kili mbala̱n, ka̱ mbi ndokti ɗa̱ka̱ cwo gwa ka̱wi.”
2a0d0d0058	Yek Yesu zi kilisi ang ten gaa, yek ninge tli gwas taki yek ta̱ ngusi ta̱sti ga̱ Nya.
2a0d0e011f	Yek mbadl lili bali ga̱ lu motgaami ɗe Yesu ndok ma̱lgon gas shukti gwasa̱n wu. Yek ta̱ wul mbala̱n ɗe, “Cin ɗe mukka ka̱n sa̱ ba̱la̱nnii ka̱n mba̱t ga̱ Musa ɗe ta̱n pa̱la̱n wul jina̱n, tula̱n ka̱ multi jwisi ta̱s ndokkii ama ba̱ ɗe gas shukti ga̱na̱n so.”
2a0d0f008f	Yek Yesu ballit ɗe, “Kii ma̱n pa̱lti riya, ka̱a̱ kul pa̱tl tla suk zhaki jwaka̱n aka̱ ta̱lasi ka̱lu gwe sa tla ze wu gas shukti sa?
2a0d10008c	Kili ga̱n ɗe ga̱s ga̱ Ibirahim gwe Sheɗan lakit cwo hal ta̱ ɓal ka̱ gin ɗe kutl cet wusupsi go mbun ɗe ta ndokti gas shukti sa?”
2a0d11008f	Ta̱ dla̱m nu wugo yek nsha ci mas ma̱n nget gwasi, yek naa mbala̱mi ngusi hwol tuki ɗe sa̱ yen wul cit ɓanti gwe Yesu na̱ma pa̱lti wu.
2a0d12006d	Yek Yesu wule, “Nii ka̱n kanti ga̱ Nya ɗe guu ka̱ mbadl ga̱ mbala̱n ni gwi, na̱ yek ba cinga̱li ye?
2a0d1300b1	Kanti ga̱ Nya ɗe guu ka̱ mbadl wo, na̱k gwe mbukla ka̱n ni, gwe ma̱lgon ɓak ka̱ zhin gwasi yek nali yek da̱n ɗe bal tlindi, yek yatl pa̱l bii jwasa̱n ten mil ami.”
2a0d140061	Yek Yesu po kum ga̱zi ɗa̱ɗe, “Na̱ yek ba cinga̱l Nya ɗe guu ka̱ mbadl ga̱ mbala̱n ye?
2a0d150068	Kanti ga̱ Nya ɗe guu ka̱ mbadl wo, na̱k yiis ka̱n ni gwe a modli la̱ski njet ka̱ apti a to wu.”
2a0d160070	Yek Yesu ɓa li a Wurshelima go yek ta̱ koɓi ɗa̱nka̱ kiɗi suk nak mil ba̱n ka ata̱ nisi ma hwit ga̱ɓa.
2a0d170059	Yek ma̱lgon ngemti ɗe, “Bagaa, ma̱jwe Nya a kissi go njet ka?” Yek ta̱ wulsi ɗe,
2a0d18007e	“Dloka̱ma̱nkii ta̱k koɓi tuka̱ ngaɓi dlabii na̱k ɗe mbala̱n wonti a ngwe ta̱s koɓi tuka̱li ama ba̱sa mani sowu.
2a0d1900f9	Kume baboomi tlinya yek ta̱ le dlabiimi ka̱wu, kaa dla̱l a deɓa̱l aka̱ ngusi ɓot dlabiimi aka̱ na̱ma ngemti gwas ɗe, ‘Bagaa, ɓulinii dlabiimi.’ “A paa ta̱ balli kii ɗe, ‘A yis kii so, aba̱ a yis lu gwe ka̱a̱ yil tet wu so.’
2a0d1a0086	“A paa ka̱a̱ wulti ɗe, ‘Mi ɗe ma̱ nguk wul yek ma̱ tla sukki wu aka̱ dla̱m ga̱ɓa ɗa̱n ten tantu ba̱n ga̱na̱n ka.’
2a0d1b0084	“A ta̱ po balli kii ɗe, ‘A yiskii so, a baa yis lu gwe ka̱ yil tet wu so. Tli ɗa̱ mala̱n ka kii ma̱n pa̱lti byas wul.’
2a0d1c00e1	“Kume ka̱a̱ yen ka̱ Ibirahim suk Ishaku suk Yakubu suk mas ma̱n dla̱mti ga̱ɓa ga̱ Nya ka̱ dlo ga̱ ma̱jwe kan Nya ɗe guu ka̱ mbadl gwasa̱n wu, a kii wo yek sa̱ mbolkii go, ka̱li ka̱n ka kuli aka̱ as ang bi.
2a0d1d00b8	Mbala̱n a yil tet tucina suk tet tukaali suk tet ten ang shinti suk ang yali ga̱ mas dii atli, asa̱ da̱n ka̱lu motgaa hwol tuki suk ma̱jwe kan Nya ɗe guu ka̱ mbadl gwasa̱n wu.
2a0d1e005b	Na̱ nu ka̱n ma̱jwe nde ba̱le wu a pal tukaali, ma̱jwe nde ka̱ kaali wu a pal cina.”
2a0d1f009c	Yesu ni nugo yek ma̱n Paresi jon li tet malti, yek sa̱ wulti ɗe, “Zigaa ɗa̱ ka̱lu ga̱n ka, na̱k ɗe Hiridus guu na̱ma ngot gwa ta̱s tloki wu.”
2a0d2000a6	Yek Yesu wulsi ɗe, “Lak wula̱n ma̱n byas mbadl wu ɗe, ‘Ase suk ayo wo ba yilli ma̱zhe ɗa̱ka̱ mbala̱n ka, a ba ndok mbala̱n pak. Tli wu ka̱n ba paki.’
2a0d2100ba	Mas na̱ nu ngetli ka̱n ni ɗe ta ci cina na̱ la̱t ka̱lu gwe ba li wu, ase suk ayo suk tli wu, na̱k ɗe sa man tlot ma̱n dla̱mti ga̱ɓa ga̱ Nya ka̱lu gon so se a Wurshelima wu.
2a0d2200f2	“Kii ma̱n Wurshelima ɗe ka̱a̱ tlo ma̱n dla̱mti ga̱ɓa ga̱ Nya yek ka̱ lak ma̱jwe sa̱ shinsi malkii na̱ ye wu, asa̱mi ɗe na̱mi ka̱n a lam mot gwaka̱n na̱k gwe a ana kol moo mil jwas ka̱ bibaku gwas wu, ama yek ka̱a̱ nge.
2a0d2300cc	Yekgu sa̱ zakikii lubii gwaka̱n wi koni. A ni kii ma hwiti ɗe, kaa po yena̱n so se gas gwe ka̱a̱ wule, ‘Ma̱n mbit hwa wul ga̱ Nya ka̱ɗe ma̱lgwe na̱ma tulti ka̱ shin ga̱ Bagaa Nya wu.’”
2a0e010099	Gas shukti ga̱ Ma̱n Yehuda, yek Yesu te ka̱ lubii ga̱ bali ga̱ ma̱n Paresi gon ta̱s nguk wul yek mbala̱n wutit gwel ta̱s yen ilgwe ta pa̱li wu.
2a0e020052	Yek ma̱lgon ka̱wu na̱ ang na̱ asa̱n gwasi mas kiɗi ka, ta̱ li tet mal Yesu.
2a0e030083	Yek Yesu ngem ma̱n yisti mba̱t ga̱ Musa suk ma̱n Paresi ɗe, “Mba̱t ga̱na̱n ba̱li ɗe ta̱ ndok mbala̱n gas shukti a?”
2a0e040072	Yek ba̱sa̱ wule ilgon so. Yek Yesu ta̱n ma̱n cwoɓi yek ta̱ ndokti yek ta̱ wulti ɗe, “Zigaa ilgon gwa.”
2a0e05008b	Yek Yesu ngem mbala̱mi ɗe, “Kume yen sogo tla gwaka̱n nda ka̱ shu gas shukti go, ka yilla̱t ka ba̱le-ba̱le so ɗe gas shukti a?”
2a0e060023	Yek ba̱sa̱ mbi ilga̱ dla̱mi so.
2a0e0700a0	Na̱k Yesu yen ma̱jon ka̱ mbala̱n jwe sa̱ mbesi ta̱s nguk wul wu na̱ma botlti hwa lu da̱nti ga̱ kiɗi mbala̱n wu, yek ta̱ cinga̱lisi ga̱ɓa gon ɗe,
2a0e08008a	“Kume ma̱lgon mbek ka̱lu motgaa hapti wu, ba̱k lak da̱n ka̱lu da̱nti ga̱ kiɗi mbala̱n so, gon asa̱ mbe ma̱lgwe nal man ki wu.
2a0e09009e	Ma̱lgwe mbekii mas jwaka̱n wu tul wugo, ta wule, ‘Tlinya ka ta̱k ba̱l lu,’ nsha a ciki na̱k ɗe ka pal ka̱lu da̱nti gwe ba̱ nal na̱k gon wu sowu.
2a0e0a00f0	Ama kume sa̱ mbek ka̱lu motgaa wugo aka̱ ngo lu da̱nti ga̱ ma̱jwe ba̱sa̱ ni ten bi ilgon sowu. Kume ma̱lgwe mbek wu tul wugo ta̱ wulki ɗe, ‘Yela̱n gini, li te ta̱k da̱n a nde.’ A laki, a ma̱jwe ni ka̱li wu yen nalti gwa.
2a0e0b0085	Mas ma̱lgwe nalli gaa gwas go mbala̱n a palla̱t ɗe ilgon so, ama ma̱lgwe palli gaa gwas ɗe ilgon sogo, mbala̱n a nalla̱ti.”
2a0e0c0148	Yek Yesu wul ma̱lgwe mbet ka̱lu motgaami wu ɗe, “Kume ka̱ ɓa mbe mbala̱n ta̱s nguk wul a lubii ɗakka sogo ka̱lu motgaa hwol tuk wu, ba̱k mbe yela̱n jwa suk yilkeni jwa suk ma̱jwa suk yela̱n da̱nti jwa ma̱n wul ang so, na̱k ɗe gas gon wo sa mbek ka̱lu motgaa gwasa̱n pak asa̱ pa̱lik ilgwe ka̱ pa̱lisi wu.
2a0e0d00b9	Ama kume ka̱ ɓa mbe ma̱jon ka̱lu motgaa hwol tuki go, aka̱ mbe ma̱jwe ba̱ ilgon nisi ɗa sowu suk ma̱jwe man la̱t na̱ asa̱n sowu, suk ma̱jwe tli gwasa̱n tla ka̱wu suk dwa.
2a0e0e00af	Na̱ nu ka̱n ka mbi hwa wul ga̱ Nya, na̱k ɗe si wo sa man ɓatlti gwa sowu. Nya ka ɓatlki gas gwe ma̱n pa̱lti zok wul a tlinya tot ka̱ gaa zukɗi gwasa̱n kaami wu.”
2a0e0f00ca	Yek ma̱lgon ɗe ta̱ ni suksi wu kumi nu wugo yek ta̱ wule, “Ma̱n mbit hwa wul ga̱ Nya ka̱ɗe ma̱lgwe a nguk wul ka̱ motgaa hwol tuki suk ma̱jwe kan Almasihu ɗe guu ka̱ mbadl gwasa̱n wu.”
2a0e10006e	Yek Yesu wulti ɗe, “Ma̱lgon ni ɗa, ta̱ mbe mbala̱n wonti ka̱lu bal motgaa ngukti wul gwe ta pa̱li wu.
2a0e11006f	Yek motgaami ɓalɗa̱ go yek ta̱ shin zhel gwasi ta̱s hwi ma̱jwe ta̱ mbesi ka̱lu motgaami wu ta̱s li te.
2a0e1200c7	Yek mas jwasa̱n sa̱ ngusi dla̱mti iljwe a laki a ba̱sa mbi la̱t ka̱lu motgaami sowu. Yek gwe nda ga̱ɓa wu wule, ‘Aya wul lu zhin, a lam la̱t yenti.’ Yek ta̱ wule ta̱ ma̱li tlo mbadli.
2a0e13007a	Yek gon po wule, ‘Aya wul tla gut zhin ɗe kutl, ba ta̱lasi ta̱s nda gut zhin, lak wul ma̱li ɗe ta̱s tlo mbadli.’
2a0e140051	Yek gon po wule, ‘Ka̱ multi jee ka̱n aya pa̱l pyal kili. Ba mbi la̱t so.’
2a0e150114	Yek zheli lak hwi baboomi mas ilgwe sa̱ hwit wu. Yek mbadl ga̱ baboomi lil i'e yek ta̱ wul zheli ɗe, ‘Li ka̱ ba̱mi aka̱ ma̱tl ɗa̱nka aka̱ mbe ma̱jwe ba̱ ilgon nisi ɗa̱ sowu suk ma̱jwe man la̱t na̱ asa̱n sowu suk ma̱jwe tli gwasa̱n tla ka̱wu suk dwa.’
2a0e160073	Yek ta̱ pal wugo, yek ta̱ wul baboomi ɗe, ‘Baboo, a pa̱l ilgwe ka̱ dla̱m wu yi, ama hal ninge naa lu yi.’
2a0e170070	Yek baboomi wulti ɗe, ‘Kop tantu ta̱k li ka̱ nak mil ba̱n ta̱k mbe mbala̱n teɗi ta̱ lwisi njika̱n.’
2a0e180094	A ni kii ma hwiti ɗe ma̱jwe sa̱ mbesi cina ka̱lu motgaami jo, gon a tul ɗe ta̱s la̱m ilga̱ nguki ga̱ motgaa hwol tuk gwe a pa̱li wu so.”
2a0e190051	Mbala̱n wonti na̱ma kopti ga̱ Yesu yek ta̱ balla̱t malsi yek ta̱ wulsi ɗe,
2a0e1a00c5	“Mas ma̱lgwe lam kopti gini a ba̱ta̱ nge aba gwasi suk ana gwasi suk kili gwasi suk mil jwasi suk yilkeni modli suk maani, yek ta̱ nge gaa gwas pak sogo, ta man da̱nti ɗe ma̱n kopti gi so.
2a0e1b005e	Mas ma̱lgwe kan bomti gwe ni ka̱ kopti gi sogo, ta̱ ɓo mbuk da̱nti ɗe ma̱n kopti gi so.
2a0e1c00ab	“Kume ka̱ lam kinti lubii ma̱n wulpi go, se ka̱ da̱mi yek ka̱ yen kangwe ka pa̱li wu suk wulpi gwe a kinik lubiimi wu, ko ilgwe nik ɗa̱ wu a kumik kinti lubiimi.
2a0e1d0050	Kume ka̱ lak zhila biimi yek ba̱ka̱ man pakti kinti sogo, mbala̱n a gitliki.
2a0e1e005c	Sa wule, ‘Ma̱lga̱n go ka̱dla̱n ka̱n, ta̱ nda kinti bii yek ba̱ta̱ man pakti so.’
2a0e1f00f0	“Sogo kume guu ga̱ ba̱n gon gwe ma̱n hapti dlo jwas wo zangu ɗe kutl wu a la dlanti suk guu ga̱ ba̱mi gon gwe ma̱n hapti dlo jwas wo zangu ɗe kutl ɗe lop wu. A ba̱ta da̱n ɗe ta̱s yeni ko ta mana̱n dlanti suk guu gwisi so so?
2a0e200073	Kume ta mani sogo, ata̱ shin mil shinti mal guumi, ata̱ yi dlenti, ta̱s ngo ta̱mti da̱nti ka̱ dlo gwas sukti.
2a0e210053	Nu ka̱n kume ka̱ zak mas wul jwaka̱n sogo, ka man da̱nti ɗe ma̱n kopti gi so.
2a0e220041	“Kwi wo hwa wul ka̱n, ama lilka̱ wugo, na̱ yek a la̱kmi ye?
2a0e23009e	Mbala̱n a po pa̱l ilgon na̱ nali so na̱k ɗe ba̱sa wuti wo ka̱ zhin sowu. Wutti ka̱n sa wut ka. Ma̱lgwe ka̱n kumti niɗɗa̱ wu, ha̱n ta̱s kumi.”
2a0f010070	Gas gon, ma̱n kanti wulpi boo suk ma̱jwe ba̱sa pa̱l hwa wul sowu tul mal Yesu wonti ta̱s kum ga̱ɓa gwasi.
2a0f02009e	Yek ma̱n Paresi suk ma̱n yisti mba̱t ga̱ Musa nda nala̱nti ɗe Yesu kan ma̱nda̱ki ga̱ ma̱jwe ba̱sa pa̱l hwa wul sowu ata̱ na̱ma ngukti wul suksi.
2a0f03001f	Yek Yesu hwisi ga̱ɓa gon ɗe,
2a0f0400c3	“Wok ka̱ kii gwe ɗe mba̱la ɗe kutl ɗe kutl a nit ɗa a ɗe na̱m gil ka, a ba̱ta zak kutl ɗe topsi na̱ topsi ka̱lu ɗe na̱m ka̱ me ata̱ la ngot ga̱ ɗe na̱m wu se ta̱ mbit so wo?
2a0f050037	Ta̱ mbit wugo ata̱ pa̱l hwol tuki ata̱ kanti a yal.
2a0f06008f	A ta̱ ta̱lat lubii apaa ta̱ mbe yela̱n jwasi suk yela̱n da̱nti ta̱s pa̱l hwol tuk sukti na̱k ɗe ta̱ mbi mba̱la gwas gwe gil ka̱wu.
2a0f0700d7	A ni kii ma hwiti ɗe, nu ka̱n Nya suk mil shinti jwas a pa̱l hwol tuki nal na̱ ma̱n byas wul ɗe na̱m gwe ci atl gaa mal Nya wu man ma̱n pa̱lti zok wul ɗe kutl ɗe topsi na̱ topsi jwe a po ci atl gaa sowu.
2a0f08009f	“Sogo ta̱ wulpi ni kili mbala̱n gon ɗa azurfa ɗe kutl, yek ɗe na̱m gil ka. Ta ɓa̱s wutu ata̱ taas gibboomi ka ata̱ ngwe mas lu gwe ni wu se ta mbi.
2a0f090085	Kume ta̱ mbi wugo, ta̱ mbe yela̱n jwasi suk yela̱n da̱nti ta̱s pa̱l hwol tuk sukti na̱k ɗe ta mbi wulpi gwas gwe gil ka̱wu.
2a0f0a0080	A ni kii ma hwiti ɗe, nu ka̱n ani ɗe wul hwol tuk mal Nya suk mil shinti jwasi ɗe ma̱n byas wul ɗe na̱m ci atl gaa wu.”
2a0f0b003c	Yek Yesu wule, “Ma̱lgon ni ɗa̱ ma̱n mil maani ɗe lop.
2a0f0c00c1	Yek ma̱ngaɓi wu wul aba gwasa̱n ɗe, ‘A lami ɗe ta̱k ba̱la̱n gi ka̱ ilgwe ka zaki ni kaal ɗa̱ ma̱shka̱n gwa wu ninge, ba ɓa̱ti ta̱k ma̱sh paa so.’ Yek abe huulisi wul jwasi.
2a0f0d0081	“La̱m multi wugo yek yeni yem wul jwasi mas yek ta̱ zigaa ka̱ atl gon dlenti, yek ta̱ lil mas wul jwas ka ten byas da̱nti.
2a0f0e0070	Yek wul jwas paki ka̱wu, yek bal kuza̱n gon te ka̱ ba̱mi, yek yeni te ka̱ bomti na̱k ɗe ilgon poyit sowu.
2a0f0f0057	Yek ta̱ ngo ilga̱ pa̱li mal ma̱lgon ka̱ ba̱mi yek ma̱li ba̱lti kyo alade gwasi.
2a0f100072	Yek ba̱sa̱ ba̱lti ilga̱ nguki so, yek ta̱ lami ɗe ta̱s nguk ilga̱ nguki ga̱ aladesi. Yek ba̱ta̱ mbi so.
2a0f1100d7	“Yek ta̱ lak pal ka̱ hwa daamti gwas wugo yek ta̱ wul ka̱ mbadl gwas ɗe, ‘Zhel ji aba gi na̱ma ngukti asa̱ na̱ma tlati, a ilga̱ nguki nisi ɗa nal, ama ami wo amikgu ten tlat kuza̱n wule ba ma̱shinni.
2a0f120053	Ba pal to mal aba gi ka aa wulti ɗe: Aba, a pa̱li Nya byas wul yek a pa̱lik pak.
2a0f13003c	A po mbuk da̱nti ɗe yen gwa so, kama̱n na̱k zhel gwa.’
2a0f1400b9	“Yek ta̱ nda tantu ka̱li taɓa to mal aba gwasi. “Ama yek abe yisti tet dlenti yek gonti gwas citi yek ta̱ tlinya na̱ apti yek ta̱ ngipti te dlo ka yek ta̱ ngusi swatti gwasi.
2a0f15006f	“Yek yeni wulti ɗe, ‘Aba, a pa̱li byas wul Nya yek a pa̱lik pak, a po mbuki ta̱k mbe ɗe yen gwa so.’
2a0f160077	“Yek abe wul zhel gwas ɗe, ‘La̱n na̱ apti ta̱k kama̱n luka̱l gwe mbun mani wu teɗi suk zobbe suk kapta̱lan.
2a0f17004a	Aka̱ dop tla gwe bas mani wu teɗi aka̱ mboshi ama̱ palla̱n hwol tuki.
2a0f180075	Na̱k ɗe yen gi go ta̱ ma̱shi yek ningo ta pal wi, ta̱ gilka yek ningo a mbit wi.’ Yek sa̱ pa̱l hwol tuk i'e.
2a0f190094	“A ba̱ ma̱nkolisi ni lubii so ata̱ ni ka̱ zhin, yek ta̱ pal wugo yek ta̱ ngusi kumti ɓot gan-gan suk wulti koo suk dlalti a lubii ɗaasika.
2a0f1a0045	Yek ta̱ mbe zhel gon gwasa̱n ta̱s kum ga̱s ilgwe na̱ma pa̱t wu?
2a0f1b00bf	Yek zheli wulti ɗe, ‘Ma̱ngaɓi gwa ka̱ pal wi, yek aba gwaka̱n laki yek sa̱ mbosh tla gwe bas mani wu ta̱ mbala̱n pa̱l hwol tuk sukti na̱k ɗe yilka gwa pal boo ka̱ ta̱mti wu.’
2a0f1c0078	“Yek mbadl lili ma̱nkolisi i'e yek ta̱ nge tet gibboo, yek abe yil tot gibboomi yek ta̱ ba̱lti bi ta̱s te gibboo.
2a0f1d010a	Yek ta̱ wule abe ɗe, ‘Yek na̱k gwe? Mas da̱nti gwe a da̱n sukki wu, a nikma pa̱lti wul na̱k zhel, a mas ilgwe ka̱ lami go a pa̱liki, ama ko ga̱ cin ɗe na̱m ka̱ pa̱li ilgon nu so, a ba̱ka̱ ba̱la̱n ko ta̱ yen mal ɗe ta mboshi a mo mbala̱n ji so.
2a0f1e0085	Ama yek yen gwa pal wi kaal ɗa̱ tlot wulpi gwa ka ten muka̱l modli, yek ka̱ mbe mbala̱n yek ka̱ mboshit tla gwe bas mani wu.’
2a0f1f0053	“Yek abe wulti ɗe, ‘Yen gini, ka̱ ni suk ami ko gasi, mas wul ji wo jwaka̱n.
2a0f20008f	Mbun ɗe ta̱n pa̱l hwol tuki na̱k ɗe yilka gwa ma̱shi yek ta̱ tli ɗa̱ka̱ ma̱shka̱n ka wu, ta̱ gili yek ningo ta̱ pal boo wu.’”
2a10010099	Yek Yesu wul ma̱n kopti jwas ɗe, “Ma̱n wul gon ni ɗa gwe kan ma̱lgwe a pa̱lit wulbo gwas wu, ama yek ta̱ lak kumi ɗe ma̱li nitma lilti wul ka.
2a100200ca	Yek baboomi mbet su gibboo ka, yek ta̱ wulti ɗe, ‘A kumi ɗe ka̱ nima lilti wul ka. Lak hwi kangwe ka̱ na̱ma pa̱lti wulbo gi wu ga̱ la̱shi, ka po da̱n ɗe ma̱n pa̱lti wul ga̱ boo gi so.’
2a100300a7	“Yek ma̱li wul ka̱ mbadl gwas ɗe, ‘Baboo gi mbola̱n wugo, ba pa̱n nii? Na̱k ɗe ba̱ nda̱lti kolti zhin ka̱ niɗɗa̱ sowu, a nsha ngemti wul ka cin wu.’
2a1004006f	Yek ta̱ po wule, ‘A yis ilgwe ba pa̱li ɗe ta̱ naa mbala̱n pa̱l ɗem na̱ ami a lubii ɗaasika wu wi.’
2a1005009f	“Yek ta̱ mbe mas ma̱jwe baboo gwas na̱ma kopti gwasa̱n duul wu, yek ta̱ ngem ma̱lgwe la̱t tet cina wu ɗe, ‘Na̱mi kan baboo gi na̱ma kopti gwa?’
2a1006009b	“Yek ta̱ wulti ɗe, ‘Ta̱ na̱ma kopti gi bunta̱n mili zamba̱l ɗe wusupsi.’ Yek ma̱li wulti ɗe, ‘Da̱m atli ta̱k lish zamba̱l ɗe wupsi.’
2a100700e4	“Yek ta̱ po ngem gon ɗa̱ɗe, ‘A kii hwa, na̱mi kan ta̱ na̱ma kopti gwa?’ “Yek ta̱ wulti ɗe, ‘Bal ngura zamba̱l ɗe na̱m ga̱ alkama.’ “Yek ta̱ wulti ɗe, ‘Kan wul lishti ta̱k lish kutl ɗe wusupsi.’
2a100800dc	“Yek baboomi kum ilgwe ma̱n pa̱lti wulbo gwas na̱ma pa̱lti wu wugo, yek ta̱ ta̱s byas ɓotlka̱n gwasi, na̱k ɗe mbala̱n ji ninge man pa̱t na̱ mbala̱n jwasa̱n ji se man ma̱jwe ni ka̱ cilti ga̱ Nya wu.”
2a100900ad	Yek Yesu po wule, “A ni kii ma hwiti, pa̱la̱n wul na̱ wul ang gwaka̱n ta̱k mbi yela̱n ɗa. Na̱ nu ka̱n kume wul gwaka̱n paki wugo sa pikii ɗem ka̱ boo ga̱ Nya.
2a100a0098	“Ma̱lgwe pa̱l gem ten ngipti nak'en wul go, ta man pa̱lti gem ten ngipti kakshe. Ma̱lgwe pa̱l gem ten nak'en wul sogo, ta mani ten kakshe so pak.
2a100b005a	A kume ka̱ pa̱l gem ten ngipti wul ji dii atl sogo, wok ka ba̱lkii hwa wul ga̱ Nya wo?
2a100c0053	A kume ka̱ pa̱l gem ten ngipti wul ji ma̱lgon sogo, wok ka ba̱lkii gwaka̱n wo?
2a100d00d6	“Mbala̱n a man da̱nti ɗe zhel ga̱ baboo ɗe lop so, a kume ta̱ pa̱li nu go, ta nge gon ata̱ lam gon, sogo a ta pa̱li hwa wul gon ata̱ mbul gon. Ka man da̱nti ɗe zhel ga̱ Nya suk zhel ga̱ wulpi so.”
2a100e0065	Na̱k ɗe ma̱n Paresi wo ma̱n lamti wulpi ka̱n i'e wu, yek sa̱ kumi nu wugo yek sa̱ desit njwaa.
2a100f00b1	Yek ta̱ wulsi ɗe, “Kik ɗe ma̱n lamti ɗe ta̱ mbala̱n yenki ɗe ma̱n zok mbadli, ama Nya yis mbadl gwaka̱n. Ilgwe mbala̱n yeni ɗe hwaɓi go, yek ka̱n Nya a ngeti.”
2a10100137	Yek Yesu po wul ma̱n Paresisi ɗa̱ɗe, “Mba̱t ga̱ Musa suk lishti ji ma̱n dla̱mti ga̱ɓa ga̱ Nya ka̱ ni ɗa, yek Yohana ma̱n baptisma tuli, ama na̱k sa̱ dla̱m ga̱ɓa ma̱n ta̱mti ten kangwe mbala̱n a kan Nya ɗe guu ka̱ mbadl gwasa̱n wu, yek mbala̱n na̱ma tlot gwasa̱n i'e ta̱s te giɓi.
2a10110053	Tlo nya suk dii atl a man pakti ama ko njet ka̱ mba̱t ga̱ Musa wo gon a paki so.
2a101200ab	“A ma̱lgwe huul suk kili gwasi yek ta̱ kan zopsi kili go ta̱ na̱ma pa̱t pa̱la̱n, a ma̱lgwe kan kili gwe huul suk kos gwas go, sa̱ na̱ma pa̱t pa̱la̱n pak.”
2a10130071	Yek Yesu wule, “Ma̱lgon ni ɗa̱ ma̱n wul, ata̱ lak luka̱l ma̱n wulpi ata̱ nguk hwa ilga̱ nguki ko gasi.
2a10140077	A ma̱lgon ni ten bi dlaboo gwasi asa̱ mbet ɗe Liazaru ma̱lgwe tli gwas wo mas usu wu a ma̱n ngemti wul ka̱ɗe ti.
2a10150074	A Liazaru ɓa̱t ilga̱ nguki gwe a lok sut ten lu ngukti ga̱ ma̱n wul wu, a kaɗi la̱pti usu gwe nit ten tli wu.
2a101600ca	“Ni nugo yek Liazaru lak ma̱shi yek mil shinti ji Nya sak kanti yek sa̱ ba̱lti hwa lu da̱nti ka̱ boo ga̱ Nya ka̱lu gwe Ibirahim ni wu. Yek ma̱n wul wu mago yek ta̱ lak ma̱shi yek sa̱ lepti.
2a10170080	Yek mbadl gwas li ka̱lu da̱nti ga̱ ma̱n ma̱shka̱n yek ta̱ da̱n ka̱ bomti, yek ta̱ yen Liazaru suk Ibirahim tet dlenti.
2a101800da	Yek ta̱ taki bi Ibirahim yek ta̱ wulti ɗe, ‘Aba Ibirahim, yen gonti gini, aka̱ shin Liazaru ta̱s lak yen ang gwas ka̱ ze ta̱s nak laki sut ten la̱ka ne ta kum nda̱ɗiti ka̱ bomti ka̱n ani i'e ka̱ wutu.’
