1300000007	Psaumes
2810050050	Les disciples, en passant à l'autre bord, avaient oublié de prendre des pains.
2810060053	Jésus leur dit: Gardez-vous avec soin du levain des pharisiens et des sadducéens.
2810070057	Ils pensaient et se disaient entre eux: C'est parce que nous n'avons pas pris de pains.
281008007a	Jésus, connaissant cela, leur dit: Gens de peu de foi, pourquoi pensez-vous que c'est parce que vous n'avez pas de pains?
281009008b	Ne comprenez-vous pas encore, et ne vous souvenez-vous pas des cinq pains des cinq mille hommes, et combien vous avez remporté de paniers;
28100a0058	ou des sept pains des quatre mille hommes, et combien vous avez remporté de corbeilles?
28100b0096	Comment ne comprenez-vous pas que ce n'est pas de pains que je parlais, quand je vous ai dit: Gardez-vous du levain des pharisiens et des sadducéens?
28100c0087	Alors ils comprirent qu'il ne leur avait pas dit de se garder du levain du pain, mais de la doctrine des pharisiens et des sadducéens.
28100d00a7	Étant arrivé sur le territoire de Césarée de Philippe, Jésus interrogea ses disciples en disant: Qui est le fils de l'homme, d'après ce que les hommes en disent?
28100e007c	Ils lui répondirent: Les uns disent que c'est Jean-Baptiste; les autres, Élie; d'autres, Jérémie ou l'un des prophètes.
28100f0033	Il leur dit: Mais vous, qui dites-vous que je suis?
281010004b	Simon Pierre, répondant, lui dit: Tu es le Christ, le Fils du Dieu vivant!
28101100a0	Alors Jésus lui dit: Tu es heureux, Simon, fils de Jona; car ce n'est pas la chair et le sang qui t'ont révélé cela, mais mon Père, qui est dans les cieux.
2810120091	Et moi, je te le déclare: Tu es Pierre, et sur cette pierre je bâtirai mon Église, et les portes des enfers ne prévaudront point contre elle.
28101300b2	Je te donnerai, les clefs du royaume des cieux; tout ce que tu lieras sur la terre sera lié dans les cieux, et tout ce que tu délieras sur la terre sera délié dans les cieux.
281014005c	Puis il enjoignit à ses disciples de ne dire à personne que lui, Jésus, était le Christ.
2810150107	Dès lors, Jésus commença à démontrer à ses disciples qu'il fallait qu'il allât à Jérusalem, qu'il y souffrît beaucoup de la part des anciens, des principaux sacrificateurs et des scribes, qu'il fût mis à mort, et qu'il ressuscitât le troisième jour.
281016008b	Alors Pierre, l'ayant pris à part, se mit à lui faire des reproches et à lui dire: A Dieu ne plaise. Seigneur, cela ne t'arrivera point!
281017009e	Mais Jésus, se tournant, dit à Pierre: Arrière de moi, Satan, tu m'es en scandale; car tu penses comme les hommes, et tes pensées ne viennent pas de Dieu.
2810180092	Alors Jésus dit à ses disciples: Si quelqu'un veut venir après moi, qu'il renonce à lui-même, qu'il se charge de sa croix, et qu'il me suive.
281019006d	Car celui qui voudra sauver sa vie la perdra; mais celui qui aura perdu sa vie à cause de moi la retrouvera.
28101a0080	Que servirait-il à un homme de gagner le monde entier, s'il perdait son âme? Ou que donnerait l'homme en échange de son âme?
28101b007e	Car le Fils de l'homme doit venir dans la gloire de son Père, avec ses anges, et alors il rendra à chacun selon ses oeuvres.
28101c009a	En vérité, je vous le déclare, quelques-uns de ceux qui sont ici présents ne mourront pas, qu'ils n'aient vu le Fils de l'homme venir dans son règne.
281101007f	Six jours après, Jésus prit avec lui Pierre, Jacques et Jean, son frère, et il les mena sur une haute montagne, à l'écart.
281102008e	Il fut transfiguré en leur présence: son visage devint resplendissant comme le soleil, et ses vêtements devinrent blancs comme la lumière.
2811030045	Et voici que Moïse et Élie leur apparurent, s'entretenant avec lui.
28110400b5	Alors Pierre, prenant la parole, dit à Jésus: Seigneur, il est bon pour nous d'être ici; si tu veux, j'y dresserai trois tentes, une pour toi, une pour Moïse, et une pour Élie.
28110500c5	Comme il parlait encore, une nuée lumineuse les couvrit; et on entendit une voix sortant de la nuée qui disait: Celui-ci est mon Fils bien-aimé, en qui j'ai mis toute mon affection; écoutez-le.
2811060072	Les disciples, entendant cette voix, tombèrent le visage contre terre, et ils furent saisis d'une grande crainte.
281107005d	Mais Jésus, s'étant approché, les toucha et leur dit: Levez-vous, et n'ayez point de peur.
2811080036	Alors, levant les yeux, ils ne virent que Jésus seul.
28110900af	Comme ils descendaient de la montagne, Jésus leur fit cette défense: Ne dites à personne ce que vous avez vu, jusqu'à ce que le Fils de l'homme soit ressuscité des morts.
28110a0079	Et ses disciples l'interrogèrent, disant: Pourquoi donc les scribes disent-ils qu'il faut qu'Élie vienne premièrement?
28110b004e	Il leur répondit: Il est vrai qu'Élie doit venir et rétablir toutes choses.
28110c00bc	Mais je vous dis qu'Élie est déjà venu, et ils ne l'ont pas reconnu; mais ils lui ont fait tout ce qu'ils ont voulu. C'est ainsi qu'à son tour le Fils de l'homme doit souffrir par eux.
28110d0050	Alors les disciples comprirent que c'était de Jean-Baptiste qu'il leur parlait.
28110e0062	Lorsqu'ils eurent rejoint la foule, un homme s'approcha, se jeta à genoux devant lui, et lui dit:
28110f0084	Seigneur, aie pitié de mon fils! Il est lunatique, et il souffre beaucoup; car il tombe souvent dans le feu, et souvent dans l'eau.
281110003e	Je l'ai amené à tes disciples; mais ils n'ont pu le guérir.
281111008c	Jésus répondit: Race incrédule et perverse, jusques à quand serai-je avec vous? Jusques à quand vous supporterai-je? Amenez-le-moi ici.
281112006c	Puis Jésus parla sévèrement au démon, qui sortit de l'enfant; dès cette heure-là, l'enfant fut guéri.
2811130081	Alors les disciples s'approchèrent de Jésus, et le prenant à part, ils lui dirent: Pourquoi n'avons-nous pu chasser ce démon?
2811140108	Il leur répondit: C'est parce que vous manquez de foi; car, je vous le dis en vérité, si vous aviez de la foi comme un grain de moutarde, vous diriez à cette montagne: Transporte-toi d'ici là, — et elle s'y transporterait; et rien ne vous serait impossible.
281115004a	[Mais cette sorte de démons ne sort que par la prière et par le jeûne,]
281116007c	Comme ils parcouraient ensemble la Galilée, Jésus leur dit: Le Fils de l'homme va être livré entre les mains des hommes,
281117006c	et ils le feront mourir; mais il ressuscitera le troisième jour. Alors les disciples furent fort affligés.
28111800a4	Quand ils furent arrivés à Capernaüm, ceux qui percevaient les didrachmes s'approchèrent de Pierre et lui dirent: Votre maître ne paie-t-il pas les didrachmes?
28111900e1	Il répondit: Il les paie. Quand il fut entré dans la maison, Jésus le prévint et lui dit: Que t'en semble, Simon? Les rois de la terre, de qui tirent-ils des tributs ou des impôts? Est-ce de leurs fils ou des étrangers?
28111a0050	Des étrangers, répondit Pierre. Jésus lui dit: Les fils en sont donc exempts!
28111b00e8	Toutefois, afin que nous ne les scandalisions pas, va-t-en à la mer, jette l'hameçon, et tire le premier poisson qui se prendra. En lui ouvrant la bouche, tu trouveras un statère; prends-le, et donne-le-leur pour moi et pour toi.
2812010074	A ce moment, les disciples s'approchèrent de Jésus et lui dirent: Qui est le plus grand dans le royaume des cieux?
281202003e	Jésus, ayant appelé un petit enfant, le mit au milieu d'eux,
281203009f	et il dit: En vérité, je vous le déclare, si vous ne changez et si vous ne devenez comme de petits enfants, vous n'entrerez point dans le royaume des cieux.
2812040063	Celui-là donc qui deviendra humble comme cet enfant, sera le plus grand dans le royaume des cieux.
281205003a	Et celui qui reçoit un tel enfant en mon nom, me reçoit.
28120600c5	Mais si quelqu'un fait tomber dans le péché l'un de ces petits qui croient en moi, il vaudrait mieux pour lui qu'on lui attachât au cou une meule de moulin, et qu'on le jetât au fond de la mer.
281207008f	Malheur au monde à cause des scandales! Car il est nécessaire qu'il arrive des scandales; mais malheur à l'homme par qui le scandale arrive!
28120800e7	Si donc ta main ou ton pied te fait tomber dans le péché, coupe-les et jette-les loin de toi; il vaut mieux que tu entres manchot ou boiteux dans la vie, que d'avoir deux mains ou deux pieds et d'être jeté dans le feu éternel.
28120900ce	Si ton oeil te fait tomber dans le péché, arrache-le et jette-le loin de toi! Il vaut mieux que tu entres dans la vie n'ayant qu'un oeil, que d'avoir deux yeux et d'être jeté dans le feu de la géhenne.
28120a009e	Gardez-vous de mépriser aucun de ces petits; car je vous dis que leurs anges, dans les cieux, voient sans cesse la face de mon Père, qui est dans les cieux.
28120b003e	[Car le fils de l'homme est venu sauver ce qui était perdu.].
28120c00bb	Que vous en semble? Si un homme a cent brebis et que l'une d'elles s'égare, ne laisse-t-il pas les quatre-vingt-dix-neuf dans les montagnes, pour aller chercher celle qui s'est égarée?
28120d008e	Et s'il lui arrive de la retrouver, en vérité, je vous le dis, il en a plus de joie que des quatre-vingt-dix-neuf qui ne sont pas égarées.
28120e006d	De même, ce n'est pas la volonté de votre Père, qui est dans les cieux, qu'un seul de ces petits périsse.
28120f0078	Si ton frère a péché contre toi, va et reprends-le entre toi et lui seul; s'il t'écoute, tu auras gagné ton frère.
2812100095	S'il ne t'écoute pas, prends encore avec toi une ou deux personnes, afin que toute l'affaire soit décidée sur la parole de deux ou trois témoins.
2812110088	S'il refuse de les écouter, dis-le à l'Eglise, et s'il refuse d'écouter l'Église, qu'il soit pour toi comme le païen et le péager.
28121200ac	En vérité, je vous le déclare, tout ce que vous aurez lié sur la terre sera lié dans le ciel, et tout ce que vous aurez délié sur la terre sera délié dans le ciel.
28121300a8	En vérité, je vous dis encore que si deux d'entre vous sur la terre s'accordent pour demander quoi que ce soit, ils l'obtiendront de mon Père qui est dans les cieux.
281214004b	Car là où deux ou trois sont réunis en mon nom, je suis au milieu d'eux.
28121500a0	Alors Pierre, s'étant approché, lui dit: Seigneur, combien de fois pardonnerai-je à mon frère, quand il aura péché contre moi? Sera-ce jusqu'à sept fois?
2812160065	Jésus lui répondit: Je ne te dis pas jusqu'à sept fois, mais jusqu'à soixante-dix fois sept fois.
2812170076	C'est pourquoi, il en est du royaume des cieux comme d'un roi qui voulut faire rendre leurs comptes à ses serviteurs.
2812180057	Quand il eut commencé à compter, on lui en amena un qui lui devait dix mille talents.
28121900a9	Comme ce serviteur n'avait pas de quoi payer, son maître commanda qu'il fût vendu, lui, sa femme et ses enfants, et tout ce qu'il avait, afin que la dette fût payée.
28121a007c	Le serviteur, tombant à ses pieds, se prosternait devant lui et lui disait: Aie patience envers moi, et je te paierai tout!
28121b005c	Alors le maître de ce serviteur, ému de compassion, le laissa aller et lui remit sa dette.
28121c00ac	Mais cet homme, étant sorti, rencontra l'un de ses compagnons de service, qui lui devait cent deniers; et, l'ayant saisi, il l'étranglait, en disant: Paie ce que tu dois!
28121d006b	Son compagnon, tombant à ses pieds, le suppliait et lui disait: Aie patience envers moi, et je te paierai!
28121e006b	Mais lui ne voulut pas; il s'en alla pour le faire mettre en prison, jusqu'à ce qu'il eût payé sa dette.
28121f0098	Ses compagnons, ayant vu ce qui s'était passé, en furent extrêmement attristés, et ils vinrent rapporter à leur maître tout ce qui était arrivé.
2812200085	Alors son maître le fit venir, et lui dit: Méchant serviteur, je t'ai remis toute ta dette, parce que tu m'as supplié de le faire;
2812210061	ne devais-tu pas avoir pitié de ton compagnon de service, comme j'ai eu moi-même pitié de toi?
2812220067	Et son maître, irrité, le livra aux bourreaux, jusqu'à ce qu'il eût payé tout ce qu'il lui devait.
2812230066	Ainsi vous fera mon Père céleste, si chacun de vous ne pardonne pas à son frère de tout son coeur.
281301008e	Or il arriva, quand Jésus eut achevé ces discours, qu'il partit de la Galilée et vint sur le territoire de la Judée, au delà du Jourdain.
281302003d	De grandes foules l'y suivirent, et il guérit leurs malades.
281303009a	Alors les pharisiens s'approchèrent pour le mettre à l'épreuve, et ils lui dirent: Est-il permis de répudier sa femme, pour quelque sujet que ce soit?
2813040063	Il leur répondit: N'avez-vous pas lu que le Créateur, au commencement, fit un homme et une femme,
2813050094	et qu'il dit: «C'est pourquoi, l'homme quittera son père et sa mère, et s'attachera à sa femme; et les deux ne feront plus qu'une seule chair»?
2813060065	Ainsi ils ne sont plus deux, mais une seule chair. Que l'homme ne sépare donc pas ce que Dieu a uni!
2813070074	Ils lui dirent: Pourquoi donc Moïse a-t-il commandé de donner à la femme une lettre de divorce pour la répudier?
28130800a1	Il leur répondit: C'est à cause de la dureté de votre coeur que Moïse vous a permis de répudier vos femmes; mais, au commencement, il n'en était pas ainsi.
2813090080	Or, je vous le déclare, quiconque répudie sa femme, si ce n'est pour inconduite, et en épouse une autre, commet un adultère.
28130a0077	Ses disciples lui dirent: Si telle est la condition de l'homme à l'égard de la femme, il vaut mieux ne pas se marier!
28130b0071	Il leur répondit: Tous ne sont pas capables d'accepter cette parole, mais seulement ceux à qui cela est donné.
28130c00fb	Car il y a des eunuques qui le sont dès le sein de leur mère; il y en a qui ont été faits eunuques par les hommes, et il y en a qui se sont faits eunuques eux-mêmes pour le royaume des cieux. Que celui qui peut recevoir cette parole, la reçoive!
28130d00a7	A ce moment, on lui présenta des petits enfants, afin qu'il leur imposât les mains et qu'il priât pour eux; et les disciples reprenaient ceux qui les présentaient.
28130e0099	Mais Jésus leur dit: Laissez venir à moi les petits enfants, et ne les en empêchez point; car le royaume des cieux est pour ceux qui leur ressemblent.
28130f0033	Et, leur ayant imposé les mains, il partit de là.
2813100065	Alors un homme s'approcha et lui dit: Maître, que dois-je faire de bon pour avoir la vie éternelle?
2813110087	Jésus lui dit: Pourquoi m'interroges-tu sur ce qui est bon? Un seul est bon. Si tu veux entrer dans la vie, observe les commandements.
28131200b1	— Lesquels? dit-il. — Jésus lui répondit: Ceux-ci: «Tu ne tueras point; tu ne commettras point d'adultère; tu ne déroberas point; tu ne diras point de faux témoignage;
2813130056	honore ton père et ta mère»; et aussi: «Tu aimeras ton prochain comme toi-même.»
2813140053	Le jeune homme lui dit: J'ai observé toutes ces choses; que me manque-t-il encore?
2813150095	Jésus lui dit: Si tu veux être parfait, va, vends ce que tu as, donne-le aux pauvres, et tu auras un trésor dans le ciel; puis, viens et suis-moi.
281316006b	Mais quand le jeune homme eut entendu cette parole, il s'en alla tout triste; car il avait de grands biens.
281317007e	Alors Jésus dit à ses disciples: En vérité, je vous le déclare, un riche entrera difficilement dans le royaume des cieux.
2813180092	Je vous le répète: Il est plus aisé qu'un chameau passe par le trou de l'aiguille, qu'il ne l'est à un riche d'entrer dans le royaume de Dieu.
2813190073	En entendant ces paroles, ses disciples furent extrêmement étonnés, et ils disaient: Qui donc peut être sauvé?
28131a0060	Jésus, les regardant, leur dit: Cela est impossible aux hommes; mais tout est possible à Dieu.
28131b0082	Alors Pierre, prenant la parole, lui dit: Et nous, nous avons tout quitté, et nous t'avons suivi; qu'avons-nous donc à attendre?
28131c0106	Jésus leur répondit: En vérité, je vous le déclare, au renouvellement de toutes choses, lorsque le Fils de l'homme sera assis sur le trône de sa gloire, vous qui m'avez suivi, vous serez de même assis sur douze trônes, jugeant les douze tribus d'Israël.
28131d00b5	Et quiconque aura quitté frères ou soeurs, ou père, ou mère, ou enfants, ou champs, ou maisons, à cause de mon nom, recevra beaucoup plus, et il héritera de la vie éternelle.
28131e005f	Mais plusieurs des premiers seront les derniers, et plusieurs des derniers seront les premiers.
2814010090	En effet, le royaume des cieux est semblable à un père de famille, qui sortit dès le point du jour, afin de louer des ouvriers pour sa vigne.
281402005d	Il convint avec les ouvriers de leur donner un denier par jour, et il les envoya à sa vigne.
281403006e	Il sortit encore vers la troisième heure, et il en vit d'autres qui se tenaient sur la place sans rien faire.
2814040067	Il leur dit: Allez, vous aussi, à la vigne, et je vous donnerai ce qui sera juste. Et ils y allèrent.
2814050055	Il sortit de nouveau vers la sixième et vers la neuvième heure, et il fit de même.
28140600a3	Étant sorti vers la onzième heure, il en trouva d'autres qui se tenaient sur la place, et il leur dit: Pourquoi vous tenez-vous ici tout le jour sans rien faire?
2814070067	Ils lui répondirent: Parce que personne ne nous a loués. Il leur dit: Allez, vous aussi, à la vigne.
28140800b2	Quand le soir fut venu, le maître de la vigne dit à son intendant: Appelle les ouvriers, et paie-leur le salaire, en commençant par les derniers et finissant par les premiers.
2814090043	Ceux de la onzième heure étant venus, reçurent chacun un denier.
28140a0078	Les premiers, venant à leur tour, s'attendaient à recevoir davantage; mais ils reçurent, eux aussi, chacun un denier.
28140b004c	En le recevant, ils murmuraient contre le père de famille, et ils disaient:
28140c008c	Ces derniers n'ont travaillé qu'une heure, et tu les as traités comme nous, qui avons supporté le labeur accablant du jour et la chaleur!
28140d0081	Mais il répondit à l'un d'eux: Mon ami, je ne te fais point de tort; n'avons-nous pas convenu ensemble que tu aurais un denier?
28140e0054	Prends ce qui est à toi, et va-t-en! Je veux donner à ce dernier autant qu'à toi.
28140f0072	Ne m'est-il pas permis de faire ce que je veux de ce qui m'appartient? Ou vois-tu de mauvais oeil que je sois bon?
281410004c	Ainsi les derniers seront les premiers, et les premiers seront les derniers.
281411005a	Jésus, montant à Jérusalem, prit à part ses douze disciples, et il leur dit en chemin:
2814120092	Voici que nous montons à Jérusalem; le Fils de l'homme sera livré aux principaux sacrificateurs et aux scribes, et ils le condamneront à mort.
281413008b	Ils le livreront aux Païens, pour qu'il soit exposé à la moquerie, battu de verges et crucifié; et le troisième jour, il ressuscitera.
2814140077	Alors la mère des fils de Zébédée s'approcha de lui avec ses fils, et elle se prosterna pour lui faire une demande.
281415009c	Jésus lui dit: Que veux-tu? Ordonne, lui dit-elle, que mes deux fils, que voilà, soient assis l'un à ta droite et l'autre à ta gauche, dans ton royaume.
2814160088	Jésus répondit: Vous ne savez pas ce que vous demandez. Pouvez-vous boire la coupe que je dois boire? Ils lui dirent: Nous le pouvons.
28141700bd	Il reprit: Il est vrai que vous boirez ma coupe; mais quant à être assis à ma droite ou à ma gauche, ce n'est pas à moi de l'accorder; ce sera pour ceux à qui mon Père l'a préparé.
281418005c	Les dix autres, qui avaient entendu cette demande, furent indignés contre les deux frères.
2814190090	Mais Jésus les appela et leur dit: Vous savez que les princes des nations les asservissent, et que les grands les tiennent sous leur puissance.
28141a006e	Il n'en sera pas ainsi parmi vous; au contraire, celui qui voudra être grand parmi vous sera votre serviteur,
28141b0043	et celui qui voudra être le premier parmi vous sera votre esclave.
28141c0083	C'est ainsi que le Fils de l'homme est venu, non pour être servi, mais pour servir, et donner sa vie pour la rançon de plusieurs.
28141d003f	Comme ils sortaient de Jérico, une grande foule suivit Jésus.
28141e009c	Et voici que deux aveugles, assis au bord du chemin, ayant entendu dire que Jésus passait, se mirent à crier: Seigneur, fils de David, aie pitié de nous!
28141f0074	La foule les reprit pour les faire taire; mais ils crièrent plus fort: Seigneur, Fils de David, aie pitié de nous!
281420004f	Jésus, s'arrêtant, les appela et leur dit: Que voulez-vous que je vous fasse?
281421003c	Ils lui répondirent; Seigneur, que nos yeux soient ouverts!
2814220070	Alors Jésus, ému de compassion, toucha leurs yeux; et aussitôt ils recouvrèrent la vue, et ils le suivirent.
281501008f	Comme ils approchaient de Jérusalem, et qu'ils étaient déjà à Bethphagé, près de la montagne des Oliviers, Jésus envoya deux disciples,
281502009d	en leur disant: Allez au village qui est devant vous; vous trouverez aussitôt une ânesse attachée, et un ânon avec elle; détachez-les et amenez-les-moi.
2815030069	Si l'on vous dit quelque chose, vous répondrez que le Seigneur en a besoin; et aussitôt on les enverra.
281504004a	Or, tout cela eut lieu, afin que cette parole du prophète fût accomplie:
2815050092	«Dites à la fille de Sion: Voici que ton roi vient à toi, débonnaire, monté sur un âne, sur un ânon, le petit de celle qui porte le joug.»
281506004e	Les disciples s'en allèrent donc et firent ce que Jésus leur avait ordonné.
2815070063	Ils amenèrent l'ânesse et l'ânon, et, ayant mis leurs vêtements dessus, ils l'y firent asseoir.
2815080087	Alors le peuple, en foule, étendit ses vêtements sur le chemin; d'autres coupaient des branches aux arbres et en jonchaient la route.
28150900b6	Et les foules qui marchaient devant lui comme celles qui suivaient, criaient: Hosanna au fils de David! Béni soit celui qui vient au nom du Seigneur! Hosanna au plus haut des cieux!
28150a0061	Quand il fut entré dans Jérusalem, toute la ville fut en émoi, et on disait: Qui est celui-ci?
28150b004c	Et la foule répondait: C'est Jésus, le prophète de Nazareth, en Galilée.
28150c00ae	Jésus entra dans le temple, et il en chassa tous ceux qui vendaient et qui achetaient; il renversa les tables des changeurs et les sièges de ceux qui vendaient les pigeons.
28150d0085	Puis il leur dit: Il est écrit: «Ma maison sera appelée une maison de prière»; mais vous, vous en faites une caverne de voleurs!
28150e0053	Alors des aveugles et des boiteux vinrent à lui dans le temple, et il les guérit.
28150f00b7	Mais les principaux sacrificateurs et les scribes, voyant les merveilles qu'il avait faites, et les enfants qui criaient dans le temple: Hosanna au Fils de David! en furent indignés,
28151000da	et ils lui dirent: Entends-tu ce que disent ces enfants? Jésus leur répondit: Oui. N'avez-vous donc jamais lu ces paroles: «Tu as tiré ta louange de la bouche des petits enfants et de ceux qui sont à la mamelle»?
2815110060	Puis, les ayant laissés, il sortit de la ville et s'en alla à Béthanie, où il passa la nuit.
2815120037	Le matin, comme il retournait à la ville, il eut faim.
28151300b4	Voyant un figuier sur le chemin, il s'en approcha; mais il n'y trouva que des feuilles, et il lui dit: Que jamais plus il ne naisse de toi aucun fruit! Aussitôt le figuier sécha.
281514006b	Les disciples, ayant vu cela, s'étonnèrent et dirent: Comment ce figuier est-il devenu sec en un instant?
2815150110	Jésus leur répondit: En vérité, je vous le déclare, si vous aviez de la foi, et que vous ne doutiez point, non seulement vous feriez ce qui a été fait au figuier, mais même si vous disiez à cette montagne: Soulève-toi et jette-toi dans la mer — cela se ferait.
2815160045	Et tout ce que vous demanderez avec foi, en priant, vous le recevrez.
28151700eb	Quand il fut entré dans le temple, les principaux sacrificateurs et les anciens du peuple s'approchèrent de lui, pendant qu'il enseignait, et ils lui dirent: Par quelle autorité fais-tu ces choses? Et qui t'a donné cette autorité?
281518009f	Jésus leur répondit: Je vous poserai, moi aussi, une question, et si vous m'y répondez, je vous dirai aussi en vertu de quelle autorité je fais ces choses.
28151900c0	Le baptême de Jean, d'où venait-il: du ciel ou des hommes? Or, ils raisonnaient ainsi entre eux: Si nous répondons: du ciel — il nous dira: Pourquoi donc n'avez-vous pas cru à sa parole?
28151a0073	Et si nous répondons: des hommes — nous avons à craindre le peuple; car tous regardent Jean comme un prophète.
28151b00a2	Ils répondirent donc à Jésus: Nous ne savons! Il leur dit à son tour: Et moi non plus, je ne vous dirai point en vertu de quelle autorité je fais ces choses.
28151c008e	Que vous semble-t-il de ceci? Un homme avait deux fils. Il s'adressa au premier et lui dit: Mon enfant, va aujourd'hui travailler à la vigne.
28151d006f	Il répondit: Oui, Seigneur! Et il n'y alla point. Puis le père vint à l'autre, et il lui dit la même chose.
28151e0050	Celui-ci répondit: Je ne veux pas! Mais plus tard, s'étant repenti, il y alla.
28151f00d4	Lequel des deux a fait la volonté du Père? Ils lui dirent: C'est le dernier. Jésus leur dit: En vérité, je vous le déclare, les péagers et les femmes de mauvaise vie vous devancent dans le royaume de Dieu!
28152000e0	Car Jean est venu à vous dans la voie de la justice, et vous ne l'avez point cru; mais les péagers et les femmes de mauvaise vie l'ont cru. Et vous, qui avez vu cela, vous ne vous êtes pas repentis ensuite pour le croire.
28152100ca	Ecoutez une autre parabole: Il y avait un père de famille qui planta une vigne. Il l'environna d'une haie, y creusa un pressoir et y bâtit une tour; puis il la loua à des vignerons et quitta le pays.
281522007d	Le temps de la récolte étant proche, il envoya ses serviteurs auprès des vignerons pour recueillir le produit de sa vigne.
2815230071	Les vignerons, ayant saisi les serviteurs, battirent l'un, tuèrent l'autre, et ils en lapidèrent un troisième.
281524006d	Il envoya encore d'autres serviteurs, en plus grand nombre que les premiers, et ils les traitèrent de même.
281525004c	Enfin, il leur envoya son propre fils, on disant: Ils respecteront mon fils!
2815260084	Mais quand les vignerons virent le fils, ils se dirent entre eux: C'est l'héritier. Allons! Tuons-le, et nous aurons son héritage.
281527004a	Puis l'ayant saisi, ils le jetèrent hors de la vigne, et ils le tuèrent.
281528004a	Quand donc le maître de la vigne viendra, que fera-t-il à ces vignerons?
28152900a1	Ils lui répondirent: Il fera périr misérablement ces misérables, et il louera la vigne à d'autres vignerons, qui lui en donneront les fruits dans la saison.
28152a00d3	Jésus leur dit: N'avez-vous jamais lu dans les Écritures: «La pierre rejetée par ceux qui bâtissaient est devenue la pierre de l'angle; c'est l'ouvrage du Seigneur, et c'est une merveille devant nos yeux»?
28152b0084	C'est pourquoi, je vous le déclare, le royaume de Dieu vous sera ôté, et il sera donné à une nation qui en produira les fruits.
28152c0060	Celui qui tombera sur cette pierre sera brisé, et celui sur qui elle tombera, elle l'écrasera.
28152d0074	Quand les principaux sacrificateurs et les pharisiens entendirent ces paraboles, ils comprirent qu'il parlait d'eux.
28152e0076	Ils cherchaient à se saisir de lui; mais ils avaient peur du peuple, parce qu'on regardait Jésus comme un prophète.
281601002e	Jésus, parlant encore en paraboles, leur dit:
2816020051	Le royaume des cieux est semblable à un roi qui célébra les noces de son fils.
2816030071	Il envoya ses serviteurs pour appeler ceux qui avaient été invités aux noces; mais ils ne voulurent pas venir.
28160400b4	Il envoya encore d'autres serviteurs avec cet ordre: Dites aux invités: J'ai préparé mon festin; mes boeufs et mes bêtes grasses sont tués, et tout est prêt; venez aux noces.
281605005d	Mais eux, n'en tenant aucun compte, s'en allèrent, l'un à son champ, l'autre à son trafic;
2816060046	les autres saisirent les serviteurs, les outragèrent et les tuèrent.
281607006b	Le roi se mit en colère, et, ayant envoyé ses troupes, il fit périr ces meurtriers et brûla leur ville.
2816080076	Puis il dit à ses serviteurs: Le festin des noces est prêt mais ceux qui étaient invités n'en étaient pas dignes.
2816090057	Allez donc dans tous les carrefours, et invitez aux noces tous ceux que vous trouverez.
28160a00ac	Ces serviteurs, étant allés par les chemins, rassemblèrent tous ceux qui s'y trouvèrent, tant mauvais que bons, en sorte que la salle des noces fut remplie de convives.
28160b0072	Le roi, entrant pour voir ceux qui étaient à table, aperçut un homme qui n'était pas vêtu d'un habit de noce.
28160c006f	Il lui dit: Mon ami, comment es-tu entré ici, sans avoir un habit de noce? Et cet homme eut la bouche fermée.
28160d00a2	Alors le roi dit aux serviteurs: Liez-le pieds et mains, et jetez-le dans les ténèbres du dehors; c'est là qu'il y aura des pleurs et des grincements de dents.
28160e0031	Car il y a beaucoup d'appelés, mais peu d'élus.
28160f0082	Alors les pharisiens, s'étant retirés, tinrent conseil, afin de trouver dans les propres paroles de Jésus un piège contre lui.
2816100100	Et ils lui envoyèrent leurs disciples, avec les hérodiens, pour lui dire: Maître, nous savons que tu es véridique, et que tu enseignes la voie de Dieu en toute vérité, sans te préoccuper de personne; car tu ne regardes pas à l'apparence des hommes.
281611005a	Dis-nous donc ce que tu penses de ceci: Est-il permis de payer l'impôt à César, ou non?
2816120050	Jésus, connaissant leur malice, répondit: Pourquoi me tentez-vous, hypocrites?
2816130045	Montrez-moi la monnaie de l'impôt! Ils lui présentèrent un denier.
2816140046	Et il leur dit: Cette effigie et cette inscription, de qui sont-elles?
2816150082	— Ils lui répondirent: de César. Alors il leur dit: Rendez donc à César ce qui est à César, et à Dieu ce qui est à Dieu.
281616005f	En entendant cette réponse, ils furent dans l'étonnement; et le laissant, ils s'en allèrent.
281617008b	Ce même jour, les sadducéens, qui disent qu'il n'y a point de résurrection, s'approchèrent de Jésus, et ils lui firent cette question:
2816180089	Maître, Moïse a dit: «Si quelqu'un meurt sans enfants, son frère épousera sa veuve, et il suscitera une postérité à son frère.»
281619008d	Or, il y avait parmi nous sept frères. Le premier se maria et mourut; et comme il n'avait point d'enfants, il laissa sa femme à son frère.
28161a0041	De même aussi le second, puis le troisième, jusqu'au septième.
28161b0027	Après eux tous, la femme mourut aussi.
28161c0067	Duquel des sept sera-t-elle donc la femme, lors de la résurrection, puisque tous l'ont eue pour femme?
28161d0084	Jésus leur répondit: Vous êtes dans l'erreur, parce que vous ne comprenez pas les Écritures, ni quelle est la puissance de Dieu!
28161e0089	Car, à la résurrection, on ne se marie pas, et on n'est pas donné en mariage; mais les ressuscités sont comme les anges dans le ciel.
28161f0057	Quant à la résurrection des morts, n'avez-vous pas lu la parole que Dieu vous a dite:
281620007d	«Je suis le Dieu d'Abraham, le Dieu d'Isaac et le Dieu de Jacob»? Il n'est pas le Dieu des morts, mais le Dieu des vivants.
