0100000009	1 Mosebog
0302030070	Men det, som overbliver af Madofret, skal høre Aron og hans Sønner til; det er højhelligt af Herrens Ildofre.
030204009f	Men vil han ofre Madoffer af det, som er bagt i Ovnen, da skal det være usyrede Kager af Mel, æltede med Olie, og usyrede tynde Kager, overstrøgne med Olie.
0302050067	Men dersom dit Offer er Madoffer, som er bagt i Pande, da skal det være Mel, blandet med Olie, usyret.
030206004d	Du skal bryde det i Stykker, og du skal øse Olie derpaa; det er et Madoffer.
0302070050	Men er dit Offer et Madoffer, kogt i Kedelen, da skal det laves af Mel med Olie.
030208008f	Og du skal fremføre det Madoffer, som laves deraf, for Herren, og man skal føre det hen til Præsten, og han skal bære det frem til Alteret.
0302090094	Og Præsten skal af samme Madoffer tage dets Ihukommelsesoffer og gøre et Røgoffer deraf paa Alteret; det er et Ildoffer, en sød Lugt for Herren.
03020a007d	Men det, som bliver tilovers af Madofret, skal høre Aron og hans Sønner til; det skal være højhelligt af Herrens Ildofre.
03020b0096	Alt det Madoffer, som I ville ofre til Herren, maa ikke tillaves med Surdejg; thi af Surdejg og af Honning skulle I ikke optænde Ildoffer for Herren.
03020c006c	Som en Førstegrødes Offer maa I ofre sligt til Herren; dog maa dette ikke komme paa Alteret til sød Lugt.
03020d008b	Og alt dit Madoffer skal du salte med Salt og ikke lade din Guds Pagtes Salt fattes paa dit Madoffer; du skal ofre Salt paa alle dine Ofre.
03020e0094	Men dersom du vil ofre den Førstegrødes Madoffer for Herren, da skal du ofre Aks, ristede ved Ilden, stødt Korn, til din Førstegrødes Madoffer.
03020f0047	Og du skal øse Olie derpaa og lægge Virak dertil, det er et Madoffer.
0302100097	Og Præsten skal lade dets Ihukommelsesoffer af dets stødte Korn og af Olien dertil, samt alt dets Virak gaa op i Røg; det er et Ildoffer for Herren.
0303010096	Men dersom hans Offer er et Takoffer, dersom han ofrer af stort Kvæg, enten Han eller Hun, da skal han ofre det, som er uden Lyde for Herrens Ansigt.
03030200ae	Og han skal lægge sin Haand paa sit Offers Hoved og slagte det for Forsamlingens Pauluns Dør; og Arons Sønner, Præsterne, skulle stænke Blodet paa Alteret rundt omkring.
0303030087	Og han skal ofre af samme Takoffer et Ildoffer til Herren, nemlig Fedtet, der skjuler Indvoldene, og alt Fedtet, som er paa Indvoldene,
0303040084	og de to Nyrer og Fedtet, som er paa dem, det som er oven for Lænderne; og han skal udtage Hinden over Leveren tillige med Nyrerne.
03030500a0	Og Arons Sønner skulle gøre et Røgoffer deraf paa Alteret, tillige med Brændofret, som er paa Veddet paa Ilden, det er et Ildoffer, en sød Lugt for Herren.
0303060069	Men er hans Offer af smaat Kvæg til et Takoffer for Herren, da skal han ofre en Han eller Hun uden Lyde.
0303070055	Dersom han ofrer et Faar til sit Offer, da skal han fremføre det for Herrens Ansigt.
030308009e	Og han skal lægge sin Haand paa sit Offers Hoved og slagte det for Forsamlingens Paulun, og Arons Sønner skulle stænke dets Blod paa Alteret rundt omkring.
03030900c0	Og han skal ofre af Takofret et Ildoffer for Herren, Fedtet deraf, den hele Stjert, lige ved Ryggen skal han aftage den, og Fedtet, som skjuler Indvoldene og alt Fedtet, som er paa Indvoldene,
03030a0084	og de to Nyrer og Fedtet, som er paa dem, det som er oven for Lænderne; og han skal udtage Hinden over Leveren tillige med Nyrerne.
03030b0057	Og Præsten skal gøre et Røgoffer deraf paa Alteret; det er Ildoffers Mad for Herren.
03030c004e	Men dersom hans Offer er en Ged, da skal han fremføre den for Herrens Ansigt,
03030d0098	og han skal lægge sin Haand paa dens Hoved og slagte den for Forsamlingens Paulun, og Arons Sønner skulle stænke dens Blod paa Alteret rundt omkring.
03030e0086	Og han skal ofre sit Offer deraf, et Ildoffer til Herren, nemlig Fedtet, som skjuler Indvoldene, og alt Fedtet, som er paa Indvoldene,
03030f0084	og de to Nyrer og Fedtet, som er paa dem, det som er oven for Lænderne; og han skal udtage Hinden over Leveren tillige med Nyrerne.
0303100079	Og Præsten skal gøre et Røgoffer deraf paa Alteret, det er Ildoffers Mad til en sød Lugt; alt Fedt hører Herren til.
0303110079	Det skal være en evig Skik hos eders Efterkommere, i alle eders Boliger: I skulle ikke æde noget Fedt eller noget Blod.
0304010023	Og Herren talede til Mose og sagde:
030402008b	Tal til Israels Børn og sig: Naar nogen synder af Vanvare imod noget af Herrens Bud, hvad der ikke skulde ske, og handler imod eet af dem,
03040300b3	dersom det er den salvede Præst, som synder til Skyld for Folket, da skal han fremføre for sin Synd, som han har syndet, en Tyrekalv, der er uden Lyde, for Herren som Syndoffer.
0304040092	Og han skal føre Tyren til Forsamlingens Pauluns Dør for Herrens Ansigt og lægge sin Haand paa Tyrens Hoved og slagte Tyren for Herrens Ansigt.
030405005e	Og Præsten, som er salvet, skal tage af Tyrens Blod og bringe det ind i Forsamlingens Paulun.
030406007e	Og Præsten skal dyppe sin Finger i Blodet og stænke af Blodet syv Gange for Herrens Ansigt, lige for Helligdommens Forhæng.
03040700e6	Og Præsten skal komme af Blodet paa Hornene af den vellugtende Røgelses Alter, for Herrens Ansigt, i Forsamlingens Paulun; og alt Tyrens øvrige Blod skal han udøse ved Brændofrets Alters Fod, foran Forsamlingens Pauluns Dør.
0304080083	Og alt Fedtet af Syndofrets Tyr skal han udtage deraf, nemlig Fedtet, som skjuler Indvoldene, og alt Fedtet, som er paa Indvoldene,
0304090085	og de to Nyrer og Fedtet, som er paa dem, det som er oven for Lænderne; men han skal udtage Hinden over Leveren tillige med Nyrerne,
03040a0068	ligesom det udtages af Takofrets Okse; og Præsten skal gøre et Røgoffer deraf paa Brændofrets Alter.
03040b0066	Men Huden af Tyren og alt dens Kød, med dens Hoved og med dens Skanker og dens Indvolde og dens Møg,
03040c00b4	ja, den hele Tyr skal han bringe uden for Lejren, til et rent Sted, der hvor Asken udslaas, og han skal brænde den paa Veddet i Ilden; den skal opbrændes der, hvor Asken udslaas.
03040d00bb	Og dersom al Israels Menighed forser sig, og Gerningen er skjult for Forsamlingens Øjne, at de have gjort noget imod eet af Herrens Bud, hvad der ikke skulde ske, og ere blevne skyldige,
03040e00ab	og Synden, hvormed de have forsyndet sig, siden bliver vitterlig: Da skal Forsamlingen ofre en ung Tyr til Syndoffer, og de skulle føre den frem for Forsamlingens Paulun.
03040f0089	Og de ældste af Menigheden skulle lægge deres Hænder paa Tyrens Hoved for Herrens Ansigt, og man skal slagte Tyren for Herrens Ansigt.
0304100052	Og Præsten, som er salvet, skal bringe af Tyrens Blod ind i Forsamlingens Paulun.
0304110065	Og Præsten skal dyppe sin Finger i Blodet og stænke syv Gange for Herrens Ansigt, foran Forhænget.
03041200de	Og han skal komme af Blodet paa Hornene af Alteret, som staar for Herrens Ansigt, i Forsamlingens Paulun; og alt det øvrige Blod skal han udøse ved Foden af Brændofrets Alter, som staar foran Forsamlingens Pauluns Dør.
0304130050	Og alt dens Fedt skal han udtage af den og gøre et Røgoffer deraf paa Alteret.
03041400a6	Og han skal gøre ved Tyren, ligesom han gjorde ved Syndofrets Tyr, saa skal han gøre ved den; og Præsten skal gøre Forligelse for dem, saa bliver det dem forladt.
0304150087	Og man skal føre Tyren uden for Lejren og opbrænde den, ligesom man opbrændte den første Tyr; det skal være Menighedens Syndoffer.
0304160081	Dersom en Fyrste synder, og gør noget imod eet af Herrens sin Guds Bud, hvad der ikke skulde ske, af Vanvare, og bliver skyldig:
0304170081	Naar hans Synd, med hvilken han syndede, bliver ham tilkendegiven, da skal han fremføre sit Offer, en Gedebuk, en Han uden Lyde.
0304180099	Og han skal lægge sin Haand paa Bukkens Hoved og slagte den paa det Sted, hvor man plejer at slagte Brændoffer for Herrens Ansigt; det er et Syndoffer.
03041900a4	Saa skal Præsten tage af Syndofrets Blod paa sin Finger og komme det paa Hornene af Brændofrets Alter og udøse dets øvrige Blod ved Foden af Brændofrets Alter.
03041a00b6	Men af alt dets Fedt skal han gøre et Røgoffer paa Alteret, ligesom af Fedtet af Takofret; og saa skal Præsten gøre Forligelse for ham, for hans Synd, saa bliver den ham forladt.
03041b0091	Men dersom nogen af Folket i Landet synder af Vanvare, saa at han gør noget mod eet af Herrens Bud, hvad der ikke skulde ske, og bliver skyldig:
03041c00a0	Naar hans Synd, hvormed han syndede, bliver ham tilkendegiven, da skal han fremføre sit Offer, en ung Ged, en Hun uden Lyde, for sin Synd, hvormed han syndede.
03041d005c	Og han skal lægge sin Haand paa Syndofrets Hoved og slagte Syndofret paa Brændofrets Sted.
03041e0091	Og Præsten skal tage af dets Blod paa sin Finger og komme det paa Hornene af Brændofrets Alter og udøse alt det øvrige Blod ved Alterets Fod.
03041f00eb	Men alt dets Fedt skal han aftage, ligesom Fedtet blev aftaget af Takofret, og Præsten skal gøre det til et Røgoffer paa Alteret, til en behagelig Lugt for Herren; og Præsten skal gøre Forligelse for ham, og det skal forlades ham.
0304200066	Men dersom han fører et Lam frem til sit Offer, til Syndoffer, da skal han fremføre en Hun uden Lyde
0304210070	og lægge sin Haand paa Syndofrets Hoved og slagte det til Syndoffer paa det Sted, hvor man slagter Brændoffer.
0304220096	Og Præsten skal tage af Syndofrets Blod paa sin Finger og komme paa Hornene af Brændofrets Alter, og han skal udøse alt dets Blod ved Alterets Fod.
0304230113	Men alt dets Fedt skal han aftage deraf, ligesom Fedtet blev aftaget af Takofrets Lam, og Præsten skal gøre et Røgoffer deraf paa Alteret, tillige med Herrens Ildofre; og Præsten skal gøre Forligelse for ham, for hans Synd, hvormed han syndede, og det skal forlades ham.
03050100c4	Og naar nogen synder, idet han hører Besværgelsens Røst, og han skal være Vidne, hvad enten han har set eller ved noget: Dersom han ikke giver det til Kende, saa skal han bære sin Misgerning.
03050200e8	Eller naar nogen rører ved nogen uren Ting, hvad enten det er ved et Aadsel af et urent Dyr eller ved et Aadsel af urent Kvæg eller ved et Aadsel af noget urent Kryb, og det er ham uvitterligt, da er han uren og er bleven skyldig.
03050300c0	Eller naar han rører ved et Menneske, som er urent ved hvilken som helst Urenhed, hvormed man kan blive uren, og det er uvitterligt for ham, og han faar det at vide, da er han bleven skyldig.
0305040119	Eller naar nogen sværger og taler ubetænksomt med sine Læber om at ville gøre noget ondt eller at gøre noget godt, efter alt det, som et Menneske ubetænksomt kan sværge paa, og det er uvitterligt for ham, og han faar det at vide, da er han bleven skyldig i en af disse Ting.
0305050065	Og det skal ske, naar nogen bliver skyldig i en af disse Ting og bekender, at han har syndet derimod,
03050600d1	da skal han for sin Skyld, formedelst sin Synd, hvormed han syndede, fremføre for Herren en Hun af Smaakvæg, et Lam eller en ung Ged, til Syndoffer; saa skal Præsten gøre Forligelse for ham, for hans Synd.
03050700b2	Men formaar hans Haand ikke et Lam, da skal han for sin Skyld, i hvad han syndede, fremføre to Turtelduer eller to Dueunger for Herren, een til Syndoffer og een til Brændoffer.
030508009f	Og han skal føre dem frem til Præsten, og han skal ofre den første, som er til Syndoffer og omvride Hovedet paa den lige ved Nakken, men ikke skille den ad.
0305090092	Og han skal stænke af Syndofrets Blod paa Alterets Væg, og det, som er tilovers af Blodet, skal udkrystes ved Alterets Fod; det er et Syndoffer.
03050a00ac	Men den anden skal han gøre til et Brændoffer paa sædvanlig Vis; og Præsten skal gøre Forligelse for ham, for hans Synd, hvormed han syndede, og den skal forlades ham.
03050b00fb	Men formaar hans Haand ikke to Turtelduer eller to Dueunger, da skal han fremføre som sit Offer for det, han syndede, Tiendeparten af en Epha Mel til Syndoffer; han skal ingen Olie komme derpaa, ej heller lægge Virak dertil; thi det er et Syndoffer.
03050c00cb	Og han skal fremføre det til Præsten, men Præsten skal tage sin Haand fuld deraf, til dets Ihukommelsesoffer, og gøre et Røgoffer deraf paa Alteret, tilligemed Herrens Ildoffer; det er et Syndoffer.
03050d00b5	Og Præsten skal gøre Forligelse for ham, for hans Synd, hvormed han syndede i en af disse Ting, og det skal forlades ham; og det øvrige skal høre Præsten til, ligesom Madofret.
03050e0023	Og Herren talede til Mose og sagde:
03050f00f1	Naar nogen forgriber sig og synder af Vanvare mod noget, som er Herren helliget, da skal han for sin Skyld fremføre for Herren en Væder uden Lyde af Smaakvæget, efter din Vurdering i Sølvsekler, efter Helligdommens Sekel, til Skyldoffer.
03051000d9	Og han skal give tilbage, hvad han har syndet mod det hellige, og lægge Femtedelen deraf dertil, og skal give Præsten det; og Præsten skal gøre Forligelse for ham med Skyldofrets Væder, saa skal det forlades ham.
030511009b	Og naar nogen synder og gør imod et af alle Herrens Bud, hvad ikke skulde ske, og vidste det ikke, og er bleven skyldig, da skal han bære sin Misgerning.
03051200e1	Og han skal fremføre en Væder uden Lyde af Faarene, efter din Vurdering, til et Skyldoffer, til Præsten; og Præsten skal gøre Forligelse for ham, for hans Vildfarelse, som han begik uvitterlig, saa skal det forlades ham.
0305130031	Det er et Skyldoffer, han var skyldig for Herren.
0306010023	Og Herren talede til Mose og sagde:
03060200e1	Naar nogen synder og forgriber sig saare imod Herren, ved at han lyver for sin Næste, angaaende det ham betroede eller det i hans Værge nedlagte, eller angaaende det røvede eller det, han har taget med Vold fra sin Næste;
0306030092	eller ved at han har fundet noget, som var tabt, og lyver om det og sværger paa Løgn i hvilken som helst Ting, et Menneske gør, og synder deri:
03060400eb	Da skal det ske, naar han saa synder og bliver skyldig, at han skal tilbagegive det røvede, som han har røvet, eller det med Vold tagne, som han har taget, eller det betroede, som var ham betroet, eller det tabte, som han har fundet,
03060500bc	eller alt, hvorom han har svoret paa Løgn: Han skal betale det med den fulde Sum og lægge den femte Part deraf dertil; den, hvem det tilhørte, skal han give det paa sit Skyldoffers Dag.
0306060088	Men for sin Skyld skal han fremføre til Herren en Væder uden Lyde af Smaakvæget, efter din Vurdering, til et Skyldoffer til Præsten.
030607009a	Og Præsten skal gøre Forligelse for ham for Herrens Ansigt, saa bliver det ham forladt for hvad som helst, han har gjort, hvorved han er bleven skyldig.
0306080023	Og Herren talede til Mose og sagde:
03060900c6	Byd Aron og hans Sønner og sig: Dette er Loven om Brændofret. Det er det, som skal opstige paa Ildstedet paa Alteret, den ganske Nat indtil om Morgenen; og Alterets Ild skal altid brænde paa det.
03060a00c8	Og Præsten skal iføre sig sit linnede Klædebon og drage linnede Underklæder paa sit Legeme, og han skal borttage Asken, naar Ilden har fortæret Brændofret paa Alteret, og lægge den ved Alteret.
03060b007f	Og han skal afføre sig sine Klæder og føre sig i andre Klæder, og han skal bære Asken ud, udenfor Lejren til et rent Sted.
03060c00db	Og Ilden paa Alteret skal brænde paa det, den skal ikke udslukkes; og Præsten skal antænde Ved derpaa hver Morgen, og han skal ordentlig lægge Brændofret derpaa og gøre et Røgoffer derpaa af det fede af Takofret.
03060d0043	Ilden skal stedse være optændt paa Alteret og maa ikke udslukkes.
03060e0068	Og dette er Loven om Madofret: Arons Sønner skulle føre det frem for Herrens Ansigt, lige for Alteret.
03060f00c6	Og en skal tage en Haandfuld af det, af Madofrets Mel og af Olien dertil og al Viraken, som er paa Madofret, og gøre et Røgoffer paa Alteret, til en sød Lugt, til et Ihukommelsesoffer for Herren.
03061000ad	Men Aron og hans Sønner skulle fortære det, som bliver tilovers; det skal ædes med usyrede Brød paa et helligt Sted, i Forsamlingens Pauluns Forgaard skulle de æde det.
0306110095	Det skal ikke bages med Surdejg, jeg har givet det til deres Del af mine Ildofre; det er en højhellig Ting, ligesom Syndofret og ligesom Skyldofret.
030612009d	Alt Mandkøn iblandt Arons Børn skal æde det, en evig Rettighed hos eders Efterkommere af Herrens Ildofre; hver den, som rører ved de Ting, bliver hellig.
0306130023	Og Herren talede til Mose og sagde:
03061400d4	Dette skal være det Offer, som Aron og hans Sønner skulle ofre Herren paa den Dag, han skal salves: Tiendeparten af en Epha Mel til Madoffer bestandig, Halvdelen deraf om Morgenen og Halvdelen deraf om Aftenen.
0306150092	Det skal laves i en Pande med Olie, du skal føre det æltet frem, du skal ofre det, bagt som et Madoffer i smaa Stykker, Herren til en sød Lugt.
030616009b	Og den Præst af hans Sønner, som bliver salvet i hans Sted, skal tillave det; det er en evig Skik, for Herren skal det altsammen gøres til et Røgoffer.
030617004b	Thi hvert Madoffer af en Præst skal være helt Offer, det skal ikke ædes.
0306180023	Og Herren talede til Mose og sagde:
03061900b8	Tal til Aron og til hans Sønner og sig: Dette er Loven om Syndofret. Paa det Sted, hvor Brændofret skal slagtes, skal Syndofret slagtes for Herrens Ansigt; det er en højhellig Ting.
03061a007c	Præsten, som gør et Syndoffer af det, skal æde det; det skal ædes paa et helligt Sted, i Forsamlingens Pauluns Forgaard.
03061b00aa	Hver den, som rører ved Kødet deraf, skal være hellig; og naar der stænkes af dets Blod paa et Klædebon, skal du to det, som overstænkes deraf, paa et helligt Sted.
03061c0081	Og det Lerkar, som det er kogt udi, skal sønderbrydes; men er det kogt i et Kobberkar, da skal dette skures og skylles med Vand.
03061d0048	Alt Mandkøn blandt Præsterne skal æde det; det er en højhellig Ting.
03061e00a9	Men hvert Syndoffer, af hvis Blod der bliver baaret ind i Forsamlingens Paulun, til at gøre Forligelse i Helligdommen, det skal ikke ædes, det skal opbrændes med Ild.
030701003b	Og dette er Loven om Skyldofret; det er en højhellig Ting.
0307020089	Paa det Sted, hvor de skulle slagte Brændofret, skulle de slagte Skyldofret, og man skal stænke Blodet deraf paa Alteret rundt omkring.
0307030055	Og alt Fedtet deraf skal man ofre, nemlig Stjerten og Fedtet, som skjuler Indvoldene,
0307040084	og de to Nyrer, og Fedtet, som er paa dem, det som er oven for Lænderne; og han skal udtage Hinden over Leveren tilligemed Nyrerne.
0307050069	Og Præsten skal gøre et Røgoffer af dem paa Alteret, som et Ildoffer for Herren; det er et Skyldoffer.
030706006d	Alt Mandkøn iblandt Præsterne skal æde det, det skal ædes paa et helligt Sted; det er en højhellig Ting.
0307070086	Ligesom Syndofret er, saa skal og Skyldofret være, der er een Lov for dem; det skal høre den Præst til, som gør Forligelse derved.
0307080070	Og den Præst, som ofrer nogens Brændoffer, den Præst skal Huden af det Brændoffer, han har ofret, høre til.
030709008a	Og ethvert Madoffer, som er bagt i Ovnen, og ethvert, som er lavet i Kedelen eller i Panden, det skal høre den Præst til, som ofrer det.
03070a0080	Og ethvert Madoffer, som er blandet med Olie, eller som er tørt, skal høre alle Arons Børn til, den ene saavel som den anden.
03070b003c	Og dette er Loven om Takofret, som man skal ofre for Herren.
03070c00d6	Vil man ofre det til Lovoffer, da skal man tillige med Lovofrets Slagtoffer bringe usyrede Kager blandede med Olie og usyrede tynde Kager, overstrøgne med Olie, og Mel, æltet til Kager, som ere blandede med Olie.
03070d006e	Tillige med Kager af syret Brød skal man bringe sit Offer, med Slagtofret, som hører til Takofrets Lovoffer.
03070e0086	Og man skal ofre deraf et Stykke af hver Offergave som en Gave til Herren; det skal høre den Præst til, som stænker Takofrets Blod.
03070f0093	Og Kødet af Slagtofret, som hører til nogens Takoffers Lovoffer, skal ædes paa hans Offers Dag; man skal intet lade blive deraf til om Morgenen.
03071000c3	Og dersom det Slagtoffer, som han ofrer, er et Løfteoffer eller et frivilligt Offer, da skal det ædes paa den samme Dag, han ofrer sit Offer, og den næste Dag skal det ædes, som levnes deraf.
030711004f	Men hvad der levnes af Ofrets Kød, skal paa den tredje Dag opbrændes med Ild.
03071200f8	Og dersom der alligevel ædes af hans Takoffers Kød paa den tredje Dag, da bliver han ikke behagelig; den, som ofrede det, ham skal det ikke? regnes til gode, det skal være en Vederstyggelighed; og den, som æder deraf, skal bære sin Misgerning.
030713009a	Og det Kød, som rører ved noget urent, skal ikke ædes, det skal opbrændes med Ild, men hvad Kødet ellers angaar, maa enhver, som er ren, æde Kødet.
0307140088	Og hver den, som æder Kødet af Takofret, som hører Herren til, medens hans Urenhed er paa ham, den Person skal udryddes fra sit Folk.
03071500e0	Og naar nogen rører ved noget urent, ved et urent Menneske eller ved et urent Dyr eller ved nogen som helst uren Vederstyggelighed og æder af Takofrets Kød, som hører Herren til, da skal den Person udryddes fra sit Folk.
0307160023	Og Herren talede til Mose og sagde:
0307170053	Tal til Israels Børn og sig: I skulle intet Fedt æde af Okse eller Lam eller Ged.
030718007f	Men Fedtet af Aadsel og Fedtet af det, som er revet, det maa benyttes til alle Haande Brug, men I skulle aldeles ikke æde det.
0307190086	Thi om nogen æder Fedtet af Dyr, af hvilke man skal ofre et Ildoffer for Herren, da skal den, som æder deraf, udryddes fra sit Folk.
03071a004e	Og I skulle intet Blod æde i alle eders Boliger, enten af Fugle eller af Dyr.
03071b0044	Enhver, som æder noget Blod, den Person skal udryddes fra sit Folk.
03071c0023	Og Herren talede til Mose og sagde:
03071d0099	Tal til Israels Børn og sig: Hvo som vil ofre sit Takoffers Slagtoffer for Herren, han skal fremføre sit Offer for Herren, af sit Takoffers Slagtoffer.
03071e009b	Hans Hænder skulle frembære Herrens Ildoffer; han skal frembære Fedtet tilligemed Brystet, Brystet, for at røre det med en Rørelse for Herrens Ansigt.
03071f006b	Og Præsten skal gøre et Røgoffer af Fedtet paa Alteret, men Brystet skal høre Aron og hans Sønner til.
0307200055	Og I skulle give Præsten den højre Bov som Offergave, af eders Takoffers Slagtofre.
0307210063	Den af Arons Sønner, som ofrer Blodet af Takofret og Fedtet, han skal have den højre Bov til Del.
03072200d1	Thi jeg har taget Brystet, som bliver rørt, og Boven, som bliver given, fra Israels Børn ud af deres Takofres Slagtofre og har givet Præsten Aron og hans Sønner dem, til en evig Rettighed af Israels Børn.
0307230094	Dette er Arons Salvelses og hans Sønners Salvelses Del af Herrens Ildofre, paa den Dag han førte dem frem for at gøre Præstetjeneste for Herren,
0307240086	den, som Herren bød at skulle gives dem, paa den Dag han salvede dem, af Israels Børn, til en evig Rettighed hos deres Efterkommere.
0307250072	Dette er Loven om Brændofret og om Madofret og om Syndofret og om Skyldofret og om Fyldelsesofret og om Takofret,
030726007a	som Herren befalede Mose paa Sinai Bjerg, paa: den Dag han befalede Israels Børn at ofre Herren deres Ofre, i Sinai Ørk.
0308010023	Og Herren talede til Mose og sagde:
030802007c	Tag Aron og hans Sønner med ham, og Klæderne og Salveolien og Syndofrets Tyr og de to Vædre og en Kurv med usyrede Brød,
030803003b	og lad al Menigheden samles ved Forsamlingens Pauluns Dør.
0308040062	Og Mose gjorde, som Herren befalede ham, og Menigheden forsamledes ved Forsamlingens Pauluns Dør.
030805004c	Og Mose sagde til Menigheden: Dette er det, som Herren har befalet at gøre.
0308060040	Og Mose førte Aron og hans Sønner frem, og toede dem med Vand.
03080700c3	Og han iførte ham Underkjortelen og ombandt ham med Bæltet og førte ham i Overkjortelen og gav ham Livkjortelen paa, og han ombandt ham med Livkjortelens Bælte og spændte den om ham med det.
030808004b	Og han satte Brystspannet paa ham, og lagde Urim og Thummim i Brystspannet.
0308090095	Og han satte Huen paa hans Hoved, og paa Huen foran over hans Pande satte han Guldpladen, det hellige Hovedsmykke, saa som Herren havde befalet Mose.
03080a005f	Og Mose tog Salveolien og salvede Tabernaklet og alle de Ting, som vare deri, og helligede dem.
03080b0085	Og han stænkede deraf paa Alteret syv Gange og salvede Alteret og alt Redskabet dertil, og Kedelen med dens Fod, for at hellige dem.
03080c004d	Og han øste af Salveolien paa Arons Hoved og salvede ham for at hellige ham.
03080d0093	Og Mose førte Arons Sønner frem og iførte dem Kjortler og ombandt dem med Bælte og bandt høje Huer paa dem, saa som Herren havde befalet Mose.
03080e0069	Og han førte Syndofrets Tyr frem, og Aron og hans Sønner lagde deres Hænder paa Syndofrets Tyrs Hoved.
03080f00e5	Og man slagtede den, og Mose tog Blodet og kom det paa Alterets Horn rundt omkring med sin Finger og gjorde Syndoffer for Alteret, og han udøste det øvrige Blod ved Alterets Fod og helligede det for at gøre Forligelse for det.
0308100094	Og han tog alt Fedtet, som var paa Indvoldene, og Hinden over Leveren og de to Nyrer og deres Fedt, og Mose lod det gøre til Røgoffer paa Alteret.
030811007a	Men Tyren og dens Hud og dens Kød og dens Møg opbrændte han med Ild uden for Lejren, saa som Herren havde befalet Mose.
0308120067	Og han lod Brændofrets Væder føre frem, og Aron og hans Sønner lagde Hænderne paa Væderens Hoved.
0308130048	Og man slagtede den, og Mose stænkede Blodet paa Alteret rundt omkring.
0308140073	Og han huggede Væderen i sine Stykker, og Mose lod gøre et Røgoffer af Hovedet og Stykkerne og Indvoldenes Fedt.
03081500d9	Og han toede Indvoldene og Skankerne med Vand, og Mose lod gøre et Røgoffer af den hele Væder paa Alteret; det var et Brændoffer til en sød Lugt, det var et Ildoffer for Herren, saa som Herren havde befalet Mose.
030816007b	Og han lod den anden Væder føre frem, Fyldelsens Væder, og Aron og hans Sønner lagde deres Hænder paa Væderens Hoved.
030817008f	Og man slagtede den, og Mose tog af dens Blod og smurte paa Arons højre Ørelæp og paa hans højre Tommelfinger og paa hans højre Tommeltaa.
03081800c8	Og han lod Arons Sønner komme frem, og Mose kom af Blodet paa deres højre Ørelæp og paa deres højre Tommelfinger og paa deres højre Tommeltaa, og Mose stænkede Blodet paa Alteret rundt omkring.
030819008a	Og han tog Fedtet og Stjerten og alt Fedtet, som var paa Indvoldene, og Hinden over Leveren og de to Nyrer og deres Fedt og den højre Bov
03081a00b8	og af Kurven med de usyrede Brød, som vare for Herrens Ansigt, tog han en usyret Kage og en Oliebrødskage og en tynd Kage, og han lagde det oven paa Fedtdelene og paa den højre Bov,
03081b0084	og han lagde det alt sammen paa Arons Hænder og hans Sønners Hænder, og han rørte disse Ting med en Rørelse for Herrens Ansigt.
03081c00ac	Og Mose tog dem af deres Hænder og gjorde et Røgoffer af dem paa Alteret, tilligemed Brændofret; det var Fyldelsesofret til en sød Lugt, det var et Ildoffer for Herren.
03081d0093	Og Mose tog Brystet og rørte det med en Rørelse for Herrens Ansigt; af Fyldelsens Væder fik Mose det til sin Del, som Herren havde befalet Mose.
03081e00f4	Og Mose tog af Salveolien og af Blodet, som var paa Alteret, og stænkede paa Aron, paa hans Klæder og paa hans Sønner og paa hans Sønners Klæder med ham; og han helligede Aron, hans Klæder og hans Sønner og hans Sønners Klæder med ham.
03081f00de	Og Mose sagde til Aron og hans Sønner: Koger Kødet ved Forsamlingens Pauluns Dør, og der skulle I æde det og Brødet, som er i Fyldelsens Kurv, som jeg har befalet, idet jeg sagde: Aron og hans Sønner skulle æde det.
0308200048	Men hvad der levnes af Kødet og af Brødet, skulle I opbrænde med Ild.
03082100a8	Og fra Forsamlingens Pauluns Dør skulle I ikke gaa ud i syv Dage, indtil den Dag, da Fyldelsens Dage for eder ere fuldendte; thi man skal fylde eders Haand i syv Dage.
0308220065	Som man har gjort paa denne Dag, saaledes befalede Herren at gøre, til at gøre Forligelse for eder.
03082300b4	Og for Forsamlingens Pauluns Dør skulle I blive Dag og Nat i syv Dage, og tage Vare paa, hvad Herren vil have varetaget, for at I ikke skulle dø; thi saaledes er det mig befalet.
030824005c	Og Aron og hans Sønner gjorde dette, nemlig alle de Ord, som Herren havde befalet ved Mose.
0309010064	Og det skete paa den ottende Dag, da kaldte Mose ad Aron og hans Sønner og ad de ældste af Israel.
0309020092	Og han sagde til Aron: Tag dig en Tyrekalv til Syndoffer og en Væder til Brændoffer, begge uden Lyde, og lad dem føres frem for Herrens Ansigt.
0309030081	Og tal til Israels Børn og sig: Tager en Gedebuk til Syndoffer og en Kalv og et Lam, begge aargamle, uden Lyde, til Brændoffer,
0309040094	og en Okse og en Væder til Takoffer, til at ofre for Herrens Ansigt, og et Madoffer blandet med Olie; thi Herren skal i Dag aabenbare sig for eder.
0309050088	Og de bragte det, som Mose havde befalet, hen foran Forsamlingens Paulun, og al Menigheden nærmede sig, og de stode for Herrens Ansigt.
0309060069	Da sagde Mose: Dette Ord, som Herren har befalet, skulle I gøre, saa skal Herrens Herlighed ses af eder.
