0100000019	ማዢንቲ ማፃኣፔ
021e0800ce	ሃሣ ዋንቶ ዋንቶዋ ፖዖ ፖዒሳኣና ዬያጉዲ ማዾንጎ፤ ሃይ ዑንጆ ዒንጎ ዒንጊፃ ሙካ ሾይንቶ ቢያና ጋፑዋዖ ማዺንታያ ማዓኒ ኮይሳኔ።
021e0900df	ዬኖ ዒንጎ ባኮ ዒንጎ ቤዞይዳ ላኣጊንቴ ዑንጄ፥ ቆልሞ ሹኪ ዒንጎ ዒንጊሢ፤ ሃሣ ሃኣኮይዳፓ ዒንጎ ባኣዚ ዒንጊፖ፤ ዎይኖ ዑዦዋ ዒኢካ ዋሂፖ።
021e0a0195	ዓኣሮኔ ሌዓ ሌዓ ፔቴና ጎሞ ጌኤሺፆም ሹኪንቴ ቆልሞ ሱጉፃፓ ዔኪ ዖይዶ ዻንኮንሢ ዑፆይዳ ጌሢ ዒንጎ ቤዜሎ ጌኤሾ ዎጎ ኩንሦንጎ፤ ዬይ ዎጋ ሙካ ሾይንቶ ቢያና ሌዓ ሌዓ ማዺንቶንጎ፤ ዬያይዲ ሃይ ዒንጎ ቤዛ ናንጊና ናንጋ ጎዳሢም ፔቶ ዱማዼያ ማዖንጎ» ጌዔኔ።
021e0b002a	ናንጊና ናንጋ ጎዳ ሙሴም፦
021e0c00ae	«ዒስራዔኤሌ ዴሮ ኔ ፓይዳ ዎዶና ዱማ ዱማ ዶርዓ ዔያቶ ዓርቁዋጉዲ ዴራ ፔኤኮ ሼምፖ ዛሎም ማዓ ባኣዚ ጪጎንጎ።
021e0d00fe	ዴሮ ባኣካ ፓይዲንታ ፔቴ ፔቴ ዓሳ ዓፒሎና ማዢንቴ፥ ታኣኮ ማኣሮይዳ ዒንጎም ዔርቴ ጎይፆ ላሆ ጊራኣሜ ማዓ ሹቺ ቢራ ታና፥ ናንጊና ናንጋ ጎዳሢም ዔኪ ሺኢሾንጎ፤
021e0e00aa	ዴሮ ፓይዶይዳ ጌላኒ ዳንዳዓሢ፥ ጌይፃ፦ ሌዓ ላማታሚ ኩሜሢና ዬያፓ ዑሣ ማዔሢ ቢያ ዬኖ ዒንጊፆ ዒንጎንጎ፤
021e0f00e7	ዔያታ ፔኤኮ ሼምፓሢ ዛሎ ዬኖ ዒንጎ ባኮ ዒንጋ ዎዶና ዖርጎጫሢታቴያ ማንቃሢ ሄኮ ጪጋንዳኣፓዓቴም ዖርጎጫሢኮ ጪጋ ሚርጌ፥ ማንቃሢሲ ዻካ ማዖፖ።
021e100117	ዬያ ዒንጊፆ ዒስራዔኤሌ ዴሮይዳፓ ቡኩሲ ዔኪ ዓፒሎና ማዢንቴ፥ ታኣኮ ማኣሮ ማዾም ፔኤሼ፤ ዬይ ዒንጊፃ ዔያቶኮ ሼምፓሢ ዛሎ ማዓንዳኔ፤ ታኣኒያ ዔያቶ ጶቂሢ ካፓንዳኔ» ጌዔኔ።
021e110031	ናንጊና ናንጋ ጎዳ ሃሣ ሙሴም፦
021e120133	«ዋኣሢ ማስቶ ሳኣኔ ሞኦኖ ዓንጎና ኮሺ፥ ቶኪ ዓኣ ሞኦኖ ዓንጎና ማዢንቴ ሳኣኖ ጌሦ ቤዞይዳ ጌሤ፤ ዬኖ ናንጊና ናንጋ ጎዳም ዒንጎ ባኮ ዒንጎ ቤዞና ዓፒሎና ማዢንቴ ማኣሮናኮ ሳዛ ጌሢ ዋኣሢ ዋሄ።
021e130071	ዓኣሮኔንታ ዒዛኮ ናኣቶንታ ዬያ ዋኣፆና ፔኤኮ ኩጮና ቶኮና ማስቶንጎ።
021e1400e7	ዬያ ዔያታ ማዻኒ ኮይሳሢ ዓፒሎና ማዢንቴ ማኣሮ ጌላንዳሢና ሙዖ ዒንጊፆ ዒንጎ ቤዞ ሺኢካንዳሢኮ ቤርታኬ፤ ያዺ ዔያታ ማዼቶ ሃይቢዳፓ ቶላንዳኔ፤
021e1500e2	ዬያሮ ዔያታ ሃይቁዋጉዲ ዔያቶኮ ቶኮና ኩጮና ዔያታ ማስቶንጎ፤ ዬይ፦ ዔያቶና ዔያቶኮ ጊንፃፓ ኬስካንዳ ዜርፃ ናንጊና ካፓንዳ ዎጌኬ» ጌዔኔ።
021e16002a	ናንጊና ናንጋ ጎዳ ሙሴም፦
021e1700cf	«ቃራ ሳውቃ ዼኤሻ፥ ላሆ ዶሎዜ ማዓንዳ ኬርቤ፥ ፔቴ ኮኦማ ማዓንዳ ቄሬፓ ጌይንታ ሚፆ ቁኡሮ፥ ፔቴ ኮኦማ ማዓንዳ ቃራ ሳውቃ ማኣቲ፥
021e1800f1	ላሆ ሙሊሢ ቤርጉዴ ጎዖ ዑንጆ ዔኬ፤ ዬይ ቢያሢ ዓፒሎና ማዢንቴ፥ ታኣኮ ማኣሮይዳ ዒንጊንቲ ዔርታሢጉዴያ ማዖንጎ፤ ዬያይዳ ዖይዶ ዶሎዜ ዛይቴ ዋሂጋፓ፥
021e190070	ሳውቃ ቲሺጉዲ ዱማዼ ዛይቴ ቲሺ ኮሼ፤ ዬይ ዱማዼ ዛይቴ ቲሺ ማዓንዳኔ።
021e1a0067	ዓፒሎና ማዢንቴ፥ ታኣኒ ዒንሢና ካኣማ ማኣሮ፥ ጫኣቁሞ ታኣቦቶ፥
021e1b00ac	ዼጌ ሎኦዦንታ ዬያ ዑፃ ዓኣ ባኮ ቢያ፥ ፖዖ ጌሦ ሻርኖንታ ዬያይዳ ጊኢጊሾ ባኮ፥ ዑንጆ ጩቢሳኒ ጊኢጊሾ ቤዞ፥
021e1c00af	ሚቺ ዒንጊንታ ባኮ ዒንጎ ቤዞንታ ዒኢካ ዓኣ ባኮ ቢያ፤ ዬያጉዲ ዋኣፆ ማስቶ ሳኣኖንታ ጌሦ ቤዞዋ ዬያና ቲሽኬ።
021e1d00c2	ዬያይዲ ሃንሢ ቢያ ኔ ዱማሲሢና ፔቶ ዱማዼያ ማሃንዳኔ፤ ዔያቶ ካኣማ ዓሲ ማዔቴያ ሜሌ ባኣዚ ቢያ ታኣም ዱማዼያ ማዓንዳኔ።
021e1e0072	ዓኣሮኔና ናኣቶና ቄኤሴ ማዒ ታኣም ማዻንዳጉዲ ዔያቶ ቲሽኪ ቄኤሴ ማሄ፤
021e1f00ac	ዒስራዔኤሌ ዴሮማኣ ሂዚ ጌዒ ኬኤዜ ‹ሃይ ታኣም ዱማዼ ቲዦ ዛይታ ሙካ ሾይንቶና ቢያ ታ ማዾም ማዓያ ማዖንጎ፤
021e2000b8	ጉሪ ዓይጎ ዓሲ ዑሢዳኣ ማዖም ቲሽኪንቶፖ፤ ዬያ ማላያ ሜሌ ቲሺ ኮሺፖቴ፤ ዬይ ዱማዼያ ማዔሢሮ ዒንሢና ኮሺ ዔሩዋቴ።
021e2100c4	ዬያ ማላ ቲሺ ኮሻሢ፤ ሃሣ ዬያ ቲዦይዳፓ ዔኪ ቄኤሴ ማዒባኣ ዓሲ ቲሽካሢ ታኣኮ ዴሮይዳፓ ፔቴሢ ማዒ ፓይዲንታዓኬ›» ጌዔኔ።
021e22011e	ናንጊና ናንጋ ጎዳ ሙሴም፦ «ፔቴ ፔቴሢኮ ዴኤሡማ ሄኮ ማዔያ ኮዦ ሳውቃ ዼኤሾ፤ ዬይያ፦ ፆዻያ ማዔ ማኣሢ፥ ኪቤይዳፓ ዔውታ ሳውቃ ቲሺ፥ ሳውቃ ማኣሢንታ ቃራ ሳውሞ ዓኣ ዑንጆዋ ዔኪ፥
021e2300af	ሳውቃ ዼኤሾ ኮሻ ዓሳ ኮሻሢጉዲ ቃራ ሳውሞ ዓኣ ዑንጄ ጊኢጊሼ። ጌኤሺ ሃሣ ዱማዼያ ማዓንዳጉዲ ሶኦጌ ጊዳ ዋሄ።
021e240111	ዬያይዳፓ ዻካ ዔኪ ዑዲ ሺኢቼስካፓ ታኣኒ ኔኤና ካኣማ፥ ዓፒሎና ማዢንቴ ማኣሮ ዔኪ ዓኣዺ ጫኣቁሞ ታኣቦቶኮ ቤርታ ጌሤ፤ ዬይ ዑንጃ ኮሺ ዑሣ ዓኣዼ ጌኤሺ ዱማዼያ ማዓንዳኔ።
021e2500a3	ዬያይዲ ዒንሢም ማዓ ሜሌ ዑንጄ ኮሺሢዳፓ ዒንሢና ካፑዋቴ፤ ታኣም ዱማዼያ ማዔሢሮ ዒንሢ ዬያ ዔሩዋቴ።
021e26009f	ዬያጉዴ ባኣዚ ማዺ ሳውሞና ዎዛዻኒ ማላ ዓሲ ዓኣቴ ታኣኮ ዴሮይዳፓ ፔቴሢ ማዒ ፓይዲንታዓኬ» ጌዔኔ።
021f01002a	ናንጊና ናንጋ ጎዳ ሙሴም፦
021f02009b	«ሃይሾ ታኣኒ ዪሁዳ ማኣራፓ ሁኡሬ ጎዖሢኮ ናኣዚ ናዖ ማዔሢ፥ ዑኡሬ ናኣዚ፥ ባስሊዔኤሌ ዶኦሬኔ፤
021f0300d7	ዓይጎ ባኣዚያ ማዖም ኩቺ ማዾ ሃኣማቶ ዔራንዳጉዲ ጶቂሥሢና ጪንጩሞና፤ ሃሣ ዔራ ማዓንዳጉዲ ታኣኮ ዓያኖንታ ዎልቄያ ታ ዒዛም ዒንጌኔ፤
021f0400ad	ዬያሮ ጪንጩሞና ማዾንዶ ጎይሢ ማሊ ኬሲ ዎርቄይዳፓ፥ ቢራና ሞኦኖ ዓንጎናይዳፓ ዱማ ዱማ ባኣዚ ዒ ኮሻንዳኔ።
021f0500a5	ዬያጉዲ ፓልሞም ማዓ ሚዛጶ ሹጮ ቆኦቂ ኮሻኒ፥ ሚሢያ ዓርሳኒ፥ ሜሌ ማዾ ቢያ ዔራቶና ማዻኒ ዒ ዳንዳዓኔ።
021f060129	ዒዛና ዎላ ሃሣ ማዻንዳጉዲ ዳኣኔ ማኣሮይዳፓ ዓይሳማኬ ናኣዚ ዔኤሊያቤ ታ ዶኦሬኔ፤ ታ ኔና ዓይሤ ባኮ ቢያ ዔያታ ማዻንዳጉዲ ኩቺ ሃኣማቶ ዓኣ ሜሌ ዓሶማኣ ቢያ ዼኤፒ ዔራቶ ታኣኒ ዒንጌኔ።
021f0700fc	ማዺንታንዳጉዲ ታ ዓይሤ ባካ ያዺኬ፦ ታኣኒ ዒንሢና ካኣማ ዓፒሎና ማዢንታ ማኣሮ፥ ጫኣቁሞ ታኣቦቶንታ ዎዾ ካሮንታ፥ ዓፒሎና ማዢንታ ማኣሮ ጋራ ማዾ ባኮ ቢያ፥
021f0800d3	ዼጌ ዳልጎ ሎኦዦንታ ዬያም ኮይሳ ባኮ፥ ጌኤዦ ዎርቃፓ ኮሺንታ ፖዖ ጌሦ ሻርኖና ዬያም ኮይሳ ባኮ ቢያ፥ ዑንጆ ዒንጊፃ ዒንጊንታ ቤዞ፥
021f090091	ሚቺ ዒንጎ ዒንጊፆም ማዓ ቤዞና ዬያም ኮይሳ ባኮ ቢያ፥ ዋኣፆ ማስቶ ሳኣኖንታ ጌሦ ቤዞንታ፥
021f0a0082	ዓኣሮኔና ዒዛኮ ናኣቶና ቄኤሴ ማዒ ማዻኣና ዔያታ ማኣዓንዳ ሚዛጶ ዱማዼ ማኣዓሢ፥
021f0b00c0	ቲዦ ዛይቶና ታኣም ዱማዼ ቤዞም ማዓ ኮዦ ሳውማ ዓኣ ዑንጆ፥ ዬያ ቢያ ባኮ ዔያታ ማዻንዳሢ ታ ኔና ዓይሤ ጎይፆማኬ» ጌዔኔ።
021f0c0034	ናንጊና ናንጋ ጎዳ ሙሴ ዓይሣዖ፦
021f0d019c	«ዒስራዔኤሌ ናኣቶም ሂዚ ጌዒ ኬኤዜ፦ ሃውሾ ኬሊ ማሂ ታ ዶኦሬ ቦንቾ ኬሎ ካፑዋቴ፤ ዓይጎሮ ጌዔቶ ዬይ ታኣኒ፥ ናንጊና ናንጋ ጎዳ ታኣም ዱማዼ ዴሬ ማሂ ዒንሢ ዶኦሬያ ማዒፆ ዔርዛያ ማዒ ሙካ ሾይንቶ ቢያይዳ ታኣና ዒንሢናኮ ባኣካ ዶዲ ናንጋንዳ ማላታ ማዔሢሮኬ።
021f0e00c0	ታኣም ዱማዼያ ማዔሢሮ ሃውሾ ኬሎ ቦንቾ ኬሊ ማሂ ቦንቹዋቴ፤ ዬያ ቦንቾ ኬሎ ካፑዋዖ ማዾ ኬሊ ማሃ ዓሲ ቢያ ዎዎዺንቶንጎ።
021f0f00e0	ዒንሢ ዒንሢኮ ማዾ ማዻንዳ ላሆ ኬሊ ዒንሢም ዓኣኔ፤ ላንካሳ ኬላ ጋዓንቴ ታኣም ዱማዼ ሃውሺሢ ኬሊኬ፤ ዬኖ ኬሎና ማዾ ማዻሢ ቢያ ዎዎዺንቶጎ።
021f100066	ዒስራዔኤሌ ዴራ ዬኖ ኬሎ ዶዲ ናንጋ ጫኣቁሞ ማላታ ማሂ ካፖንጎ፤
021f110147	ዬይ ታኣና ዒስራዔኤሌ ዴሮናኮ ባኣካ ናንጊና ዶዲ ናንጋ ማላታ ማዖንጎ፤ ዓይጎሮ ጌዔቶ ታኣኒ ናንጊና ናንጋ ጎዳ ጫሪንጮና ሳዖና ላሆ ኬሊዳ ማዢ ኩርሴስካፓ ላንካሳ ኬሌሎ ማዾ ታኣኒ ሃሼ ኬሎታሢሮኬ» ጌዔኔ።
021f1200d2	ናንጊና ናንጋ ጎዳ ሙሴና ሲና ዹኮይዳ ጌስቴስካፓ ፆኦሲ ፔኤሮ ፔ ዓይሢፆ ፃኣፔ ላምዖ ዓርሲንቴ፥ ማርኮ ማዓ ሹጮንሢ ሙሴም ዒንጌኔ።
0220010169	ሙሴ ዹኮይዳፓ ኬዱዋዖ ዒኢካ ሚርጌ ኔጌሢ ዴራ ዛጊ ፔቱሞና ዓኣሮኔ ኮራ ቡኪንታዖ፦ «ጊብፄ ዓጮይዳፓ ኑና ዔኪ ኬሴ፥ ሙሴ ጎዖሢ ዎዎይቴቴያ ኑ ዔሩዋሴ፤ ዬያሮ ኑኡኮ ቤርታ ቤርታ ዓኣዺ ኑና ዔኪ ዓኣዻንዳ ፆኦዞ ኑኡም ኮሼ» ጌዔኔ።
02200200b4	ዓኣሮኔያ፦ «ዒንሢኮ ላኣሎንታ ዓቲንቆንታ ዉዱሮ ናኣታኣ ፓልማ ዋዮ ዎርቆ ቢያ ቡኩሲ ታኣም ዔኪ ዬዑዋቴ» ጌዔኔ።
0220030071	ዬያሮ ዴራ ቢያ ዔያቶኮ ዓኣ ዎርቆ ዱንዶ ቢያ ኬሲ ዓኣሮኔም ዔኪ ሙኬኔ።
0220040151	ዒዚ ዬያ ዎርቆ ዱንዳሢ ቢያ ዔኪ ታሚዳ ዓጌኔ፤ ዬይ ዎርቃ ዓልቃዛ፥ ዎርቆ ዔኪ ዔኤቢኮ ጋርካ ዋሄስካፓ ናኣሪ ማሂ ማዢ ኬሴኔ። ዴራ፦ «ዒስራዔኤሌ ዓሲዮቴ! ጊብፄ ዓጮይዳፓ ኑና ዔኪ ኬሴ፥ ኑ ፆኦዛሢ ሃያኬ!» ጌዔኔ።
02200500eb	ዓኣሮኔ ዬያ ዛጋዖ ዎርቆና ማዢንቴ ናኣራሢኮ ቤርታ ዬያ ፆኦዞም ዒንጎ ቤሲ ኮሺ፦ «ዚሮ ናንጊና ናንጋ ጎዳ ቦንቾ ኬሊ ማዓንዳኔ» ጌዒ ዴሮም ኬኤዜኔ።
02200600fb	ዚሮ ጉቴሎ ጉቴ ዓሚ ቆልሞ ዔኪ ሙኪ ሚቺ ዒንጎ ዒንጊፆንታ ዻቂንታም ማዓ ፔቱሞና ሹኪ ዒንጎ ዒንጊፆዋ ሺኢሼኔ፤ ዒማና ዴራ ዴዒ ሙዒ ዑሽኬስካፓ ኮርጋኒ ዔቄኔ።
02200700cc	ዬያሮ ናንጊና ናንጋ ጎዳ ሙሴም፦ «ጊብፄ ዓጮይዳፓ ኔኤኒ ዔኪ ኬሴ ኔኤኮ ዴራ ፔና ዒኢሲ፥ ታናኣ ሃሼሢሮ ዑኬና ዔያቶ ባንሢ ኬዴ፤
0220080173	ዴራ ታ ዔያቶ ዓኣዻንዳጉዲ ዓይሤ ጎይፆይዳፓ ኔጉዋዖ ዻቢንቴኔ፤ ዎርቄ ሼኤሺ ማዦና ናኣሪ ማላታ ካኣሽኮ ፆኦዞ ማሂ ኮሺ ዔያታ ካኣሽኬኔ፤ ሚቺ ዒንጎ ባኣዚያ ዬያም ዒንጊ ‹ጊብፄ ዓጮይዳፓ ኑና ኬሴ፥ ኑኡኮ ፆኦዛ ሃያኬ› ዔያታ ጌዔኔ።
0220090048	ዴራ ዎዚጉዴ ዋይዚ ዒፃያታቶ ታ ዔያቶ ዔሬኔ፤
02200a00dd	ሃሢ ሃይሾ ታ ዔያቶ ዑፃ ሚርጌና ዻጋዺ ባይዛኒ ታ ዔያቶ ጊኢጌሢሮ ታኣኮ ዻጎ ማሃኒ ማሊፖ፤ ኔና ታኣኒ ጋዓንቴ ዳልጊ ዴሬ ማሃንዳኔ» ጌዔኔ።
02200b0123	ሙሴ ጋዓንቴ ፔ ፆኦዛሢ ማዔ ናንጊና ናንጋ ጎዳ ሺኢቃዖ፦ «ናንጊና ናንጋ ጎዳሢዮ! ኔኤኮ ዼኤፖ ቢታንቶና ዎልቆና ዓውሲ፥ ጊብፄ ዓጮይዳፓ ኔ ኬሴ ኔኤኮ ዴሮይዳ ሃያይዲ ኔ ዓይጋ ዻጋዻይ?
02200c0168	ጊብፄ ዓሳ ‹ሃያ ዓሶ ዔያቶኮ ፆኦሲ ጊብፄ ዓጮይዳፓ ዔኪ ኬሴሢ ዹኮይዳ ዔያቶ ዎዻኒና ፔቶ ባባይዛኒኬ› ጌዒ ኑና ሚኢጫንዳጉዲ ኔ ዓይጎሮ ማሌይ? ሃሢ ዻጎይዳፓ ዓቶም ጌይሢባንሢ ማዔ፤ ሃያ ቢያ ባይሲንቶ ኔኤኮ ዴሮ ዑፃ ሄሊሲፖ።
02200d0159	ኔኤኮ ዓይሎ ዓብራሃሜንታ ዪሳኣቄንታ ያይቆኦቤማኣ ማሌ፤ ዜርፆ ዔያቶኮ ጫሪንጫ ዉጫሢጉዲ ኔ ሚርጊሻኒና ኔ ዔያቶም ዒንጋኒ ጉሙርሴ ዓጬሎዋ ናንጊና ዔያቶ ዓጪ ማሂ ኔ ዔያቶም ዒንጋኒ ጫኣቄ ጫኣቁሞ ማሊ ጶቂሤ» ጌዔኔ።
02200e00c2	ዬያሮ ናንጊና ናንጋ ጎዳ ዻጎይዳፓ ዓቶም ጌይሢባንሢ ማዒ፥ ዔያቶ ዑፃ ዓጋኒ ማሌ ፑርቶ ዱማ ዱማ ዶርዓሢ ኬይሱዋዖ ሃሼኔ።
02200f008d	ዬካፓ ሙሴ ላምዖ ዛሎና ታጶ ዓይሢፃ ፃኣፒንቴ ላምዖ ዓርሲንቴ ሹጮንሢ ዔኪ ዹካፓ ኬዴኔ።
0220100072	ዬንሢ ዓርሲፆ ሹጮንሢ ኮሼሢና ጊዳ ዓኣ ዓይሢፆ ቆኦቂ ፃኣፔሢ ፆኦሲኬ።
022011007a	ዴራ ዣላሢ ዒያሱ ዋይዛዖ ሙሴ ኮራ፦ «ጉርዶይዳ ዖልዚ ጌሌጉዲ ጋዓኔ» ጌዔኔ።
02201200e7	ሙሴ ጋዓንቴ፦ «ሃይ ዋይዚንታሢ ኮሢ ዑኡሲ ማዓንዳኣፓዓቴም ዖልዚና ባሼ ዓሲኮ ሄርሺንቲ ዑኡሲ፤ ሃሣ ባሺንቴ ዴሬኮ ዒላቲ ዑኡሲያቱዋሴ» ጌዔኔ።
02201300d5	ሙሴ ጉርዶ ሙኪ ሄላዖ ፆኦዞ ማሂ ኮሾና ናኣሮማንታ ዴሮኮዋ ኮፆ ዛጋዖ ዒናፓ ዻጋዺ ዒ ዔኪ ሙኬ ዓርሲንቴ ሹጮንሢ ዹኮ ዴማ ዢቢ ሜንሤኔ።
02201400ce	ሃሣ ዔያታ ፆኦዞ ማሂ ኮሼ ናኣሮማ ዔኪ ታሚዳ ዓጊ ዓልቂሲ ሊኢቃዻንዳያ ሄላንዳኣና ጊኢጪ ዋኣሢና ሞሮራዖ ዒስራዔኤሌ ዴሮ ዑሼኔ።
02201500b1	ዒማና ዒዚ ዓኣሮኔ ኮራ፦ «ፔቶ ሃይ ዴራ ኔና ዎዎዴምዳይ፤ ሃያጉዴ ፑርታ ጎሜይዳ ዔኪ ኔ ዔያቶ ጌልዜሢ?» ጌዔኔ።
02201600b8	ዓኣሮኔ ማሃዖ፦ «ታ ጎዳሢዮ! ታ ዑፃ ዻጋዺፖ፤ ዴራ ፑርታ ባኣዚ ማዻኒ ዎያጉዴ ባቃና ዴንሤ ዓሲታቴያ ኔኤኒ ዔዔራኔ፤
02201700dd	ዔያታ ‹ጊብፄ ዓጮይዳፓ ኑና ዔኪ ኬሴ፥ ሙሴ ዎዎይቴቴያ ኑ ዔሩዋሴ፤ ዬያሮ ኑኡኮ ቤርታ ቤርታ ኑና ዔኪ ዓኣዻንዳ ፆኦዞ ኑኡም ኮሼ› ጋዓዛ፥
022018011d	ታኣኒያ ዔያቶኮ ዎርቆ ፓልማሢ ኬሲ ዔኪ ሙካንዳጉዲ ዓይሤም፥ ዔያታ ፔኤኮ ፓልማሢ ቢያ ዔኪ ሙኬኔ፤ ዬያ ፓልማሢ ቡኩሲ ዔኪ ታሚዳ ታኣኒ ዓጋዛ፥ ሃይ ናኣሮ ማላሢ ማዢንቲ ኬስኬኔ።»
022019007f	ዓኣሮኔ ዴሮ ዳኪ ሃሺሢና ዔያቶኮ ሞርካ ዔያቶ ሚኢጫንዳጉዲ ማሄሢያ ሙሴ ዛጌኔ።
02201a00f3	ዬያሮ ሙሴ ጉርዶ ጌሎ ካራ ዔቃዖ፦ «ናንጊና ናንጋ ጎዳ ዛላ ማዔዞንሢ ቢያ ሃኒ ታ ባንሢ ሙኩዋቴ!» ጌዒ ዑኡዞ ዼጊዲ ኬኤዛዛ፥ ሌዊ ዓሳ ቢያ ዒዛ ኮራ ቡኬኔ፤
02201b016b	ዒዚ ዔያቶም፦ «ዒንሢ ፔቴ ፔቴሢ ዒንሢኮ ጬንቾ ዓፓሮ ዔኪ ካራፓ ካሮ ሄላንዳኣና ጉርዶ ሃንቲ ዒንሢኮ ጌርሲንሢ፥ ዒንሢኮ ዒጊኖንታ ዒንሢኮ ዓሺኖዋ ዎዻንዳጉዲ ዒስራዔኤሌኮ ፆኦዛሢ ማዔ ናንጊና ናንጋ ጎዳ ዒንሢ ዓይሤኔ» ጌዔኔ።
02201c0061	ሌዊ ዓሳ ዬያ ጌይንቴሢ ዋይዚ ዬኖ ኬሎ ሃይሦ ሺያ ዓሲ ዎዼኔ።
02201d013b	ሙሴያ ሌዊ ዓሶም፦ «ሃኖ ዒንሢ፥ ዒንሢኮ ዓቲንቆ ናኣቶንታ ዒንሢኮ ጌርሲንሢያ ዎዺፆና ናንጊና ናንጋ ጎዳም ማዻ ቄኤሴ ማዒ ዒንሢና ዒንሢ ዱማሴሢሮ ናንጊና ናንጋ ጎዳ ዒንሢም ዓንጆ ዒንጌኔ» ጌዔኔ።
02201e0139	ዚሮ ጉቴሎ ሙሴ ዴሮም፦ «ፑርታ ዼኤፒ ዻቢንቲ ዒንሢ ዻቤኔ፤ ያዺ ማዔቴያ ናንጊና ናንጋ ጎዳ ጴዻ ዹኮ ሃሣ ላሚ ታኣኒ ኬስካንዳኔ፤ ጎዖንቴ ዒንሢኮ ጎሞ ዓቶም ጌይሳኒ ታ ዳንዳዓንዳኣናንዳኔ» ጌዔኔ።
02201f00be	ሙሴ ናንጊና ናንጋ ጎዳ ባንሢ ማዒ ዴንዲ፦ «ሃይ ዴራ ፑርታ ዻቢንቲ ዻቤኔ፥ ዎርቄና ኮሺንቴ ባኣዚ ፆኦዞ ማሂ ካኣሽኬኔ፤
02202000c5	ሃዳራ ዔያቶኮ ጎሞ ዓቶም ጌዔ፤ ኔ ዔያቶኮ ጎሞ ዓቶንጎ ጌይንዱዋያ ማዔቴ ኔኤኒ ፃኣፔ ማፃኣፓፓ ታ ሱንፆ ዑጪ ባይዜ» ጌዔኔ።
0220210089	ናንጊና ናንጋ ጎዳ ዒዛም፦ «ሱንፆ ታኣኒ ባይዛንዳሢ ጎሜ ማዼ ዓሶና ታና ዖዪሴ ዓሶኬ።
0220220137	ሃሢ ዓኣዺጋፓ ታ ኔኤም ኬኤዛ ቤዞ ዴሮ ዔኪ ዓኣዼ፤ ታኣኮ ኪኢታንቻሢ ኔኤኮ ቤርታ ቤርታ ኔና ዔኪ ዓኣዻንዳሢ ዔሬ፤ ጋዓንቴ ዎዳ ሄላዛ ሃያ ዴሮይዳ ዔያታ ማዼ ጎሞሮ ሜቶ ዓጊ ታኣኒ ዓታዓኬ» ጌዔኔ።
02202300c0	ዎርቆና ማዢንቴ ናኣሮ ፆኦዞ ዔያቶም ኮሻንዳጉዲ ዓኣሮኔ ዔያታ ሜታሴሢሮ ናንጊና ናንጋ ጎዳ ዴሮይዳ ፑርታ ዶርዖ ዳኬኔ።
022101011a	ናንጊና ናንጋ ጎዳ ሙሴም፦ «ኔኤና ጊብፄ ዓጫፓ ኔ ዔኪ ኬሴ ዴራ ቢያ ሃኖ ቤዛፓ ዔቂ፥ ዓብራሃሜም፥ ዪሳኣቄም፥ ያይቆኦቤና ዔያቶኮ ዜርፆናም ቢያ ታ ዒንጋኒ ጫኣቄ ዓጮ ዓኣዹዋቴ።
0221020124	ዒንሢኮ ቤርታ ቤርታ ዒንሢ ዔኪ ዓኣዻንዳያ ታኣኮ ኪኢታንቻሢ ታ ዳካንዳኔ፤ ካኣናኔ ዓሶ፥ ዓሞራ ዓሶ፥ ሄኤቴ ዓሶ፥ ፔርዜ ዓሶ፥ ሂዋዌና ዒያቡሳ ዓሶ ታ ዒንሢኮ ቤርታፓ ኬሲ ዳካንዳኔ።
02210300ed	ዒንሢ ዓኣዻ ቤዛ ዔኤሲና ዲኢቂና ኩሜ ማሊ ዓጪኬ፤ ጋዓንቴ ዒንሢ ዋይዚ ዒፃ ዓሲ ማዔሢሮ ታ ዒንሢ ጎይፃ ዎዺ ባይዙዋጉዲ ታ ዒንሢና ዓኣዻዓኬ» ጌዔኔ።
02210400b1	ዴራ ቢያ ዬያ ዖዪሳ ሃይሶ ዋይዛዖ ዒናፓ ዬኤኬኔ፤ ዒማፓ ዓርቃዖ ዓይጎዋ ፓልሞ ባኣዚ ፓልማኒ ዔያታ ኮዒባኣሴ።
0221050188	ናንጊና ናንጋ ጎዳ ዴሮም ሂዚ ጌዒ ኬኤዛንዳጉዲ ሙሴ ዓይሤኔ፦ «ዒንሢ ዋይዚ ዒፃ ዓሲኬ፤ ፔቴናታዖ ታ ዒንሢና ዎላ ዓኣዼቶ ጋፒሲ ታ ዒንሢ ባይዛንዳኔ፤ ሃሢ ዒንሢኮ ፓልሞ ባኮ ዒንሢ ዑፃፓ ጉሱዋቴ፤ ታ ዒንሢ ዎዎዳንዳታቴያ ሃጊ ታኣኒ ፔጋሳንዳኔ።»
0221060070	ዬያሮ ዒስራዔኤሌ ዴራ ሲና ዹኮ ሃሺ ዴንዴስካፓ ፓልሞ ባኮ ቢያ ጉሴኔ።
0221070159	ዒስራዔኤሌ ዴራ ዱንኪ ዴዓ ቤዞ ቢያይዳ፥ ሙሴ ዓፒሎና ማዢንቴ ማኣሮ ጉርዶይዳፓ ሃኪሲ ዾቃኔ፤ ዬይ ማኣራ፦ «ናንጊና ናንጋ ጎዳ ዴሮና ካኣማ ማኣሮ» ጌይንቴኔ፤ ናንጊና ናንጋ ጎዳሢና ጌስታኒ ኮዔሢ ቢያ ዒኢካ ዓኣዻኔ።
