2800000005	Matta
281c0e0050	A sǝk ngwamna laɓarɗiya, kan ƙǝm nan a isha a mbed nun, amanun sǝsarha.”
281c0f009e	Tǝrgha sodja yini ƙǝm thlǝ wuɗǝɓǝlɗa nda ǝna nda ƙǝla saghang nanda kanda. Ɗǝgha laɓar ɗaɗǝ inggun ahur Yahudaya, ɓagha ta weeri ɗaɓa ya.
281c10005f	Tǝrgha fatsahayini kumkap tal ɗǝnda Nggalili ɗǝ, tǝra nda wumnda sǝ ndangna Yeeso kanda.
281c110045	Nana ndan manang ngganda thlǝmnggǝn, amma fingya sǝ ngalgha ndǝn.
281c12005f	Ɓagha Yeeso ɓa ndanggǝn fatsahayighǝn, “Fǝreenda sǝsǝmnggit talara tǝ yi hweeɗe heu.
281c13008c	Tsaunǝn kee ɗaama ɗǝ, ɗun tsahang fiya ha heu, ǝnang mbaptisǝma nun kanda, hu thlǝm Pǝpa tǝ yi Wee, tǝ yi Sǝsǝna tǝ Peɗǝnda.
281c140084	Tsahaman kanda ha a ǝna taara nda tǝ ǝngya heu ndang ni kun. A sǝnunsǝ niyi tǝ kun ƙǝtsar ta mii ngwala ƙǝshiirha ɗǝ.”
2900000006	Markus
2901010041	Katǝra ɗeleewar tǝ Peɗǝnda aten Yeeso Ƙǝrǝsti, Wan Faara.
2901020086	Chirethleng nda hai hu ɗeleewar annabi Ishaya tǝ ndaarha, “Niya ˈwa thlǝn tǝ thlǝndǝna ɗǝ ma sa, na a takso kwamana ɗǝ”
2901030072	“Urarha a aah farha a kaheerha. ‘Taksaman kwamana Chinǝm sǝ pǝpǝnaman kwaman sarya ɗǝ a ndǝghǝn.’”
2901040075	Yahaya kyagha ɓa a kahedɗi nagha a ndang nda fiya a malangganda ɗimiyid ndan fananggǝn kanda yi chakh ɗimiyirha.
29010500ac	Kahad fiya na a chehweed Yahuda tǝ fiya heu na a Urshalima kyanda ɓa ɗǝnda thlǝmadghǝn ɗǝ. Malang nda ɗimiyid ndan ǝnangga Yahaya mbaptisǝma kanda a kufad Urdun.
2901060079	Yahaya kalɗǝ lukrha ǝnana nda tǝ was thlǝkhmu, ƙǝnanggǝn muwun tǝ paama, mbeeya tǝ ɗee ndǝna ǝnnadghǝn mii.
2901070087	Ndanggǝn fiya, “Na niifa sǝ ɓayi a samadna na tǝ sǝsǝmnda fa kalgha nggi mu, sahad pahamggǝn tsǝkki na a kwasang nggi hai wa.
2901080071	Ənanggi mbaptisǝma kun tǝ aama, amma ndǝghǝnggi nǝn a ǝnang mbaptisǝma kun tǝ sǝsǝna tǝ Peɗǝnda.”
2901090070	A hu sayidɗi kee ɓagha Yeeso ɓa a Nadzarat na hu chehweed Nggalili ǝnangga Yahaya mbaptisǝma a kufad Urdun.
29010a0083	Nana Yeeso a kyarha sǝ hu aamɗi kee, ƙǝlagha hai talara inɗaɗǝ nagha Sǝsǝn Faara a tǝraa tenggǝn hai ƙǝla tǝtiliurha.
29010b0057	Sǝk urarha nda a talara hai, “Sani Waana, nggǝmni niyi a tǝk mbǝnduwa fa kaan.”
29010c0039	Tsu kee tǝrangga Sǝsǝna tǝ Peɗǝnda a kaheerha ɗǝ,
29010d00a0	tsauka a kahedɗi yi ɓeena kumggit faɗa nagha sheetan a ƙǝƙǝrang nda. Ndǝghǝn a kahedɗi tǝ thlukkya yi heerha, nagha fathlǝngya Faara a ǝnang taara.
29010e006b	A kwasamadɗi muwang nanda Yahaya ahu porsǝna ɗǝ, ɗǝgha Yeeso Nggalili ɗǝ nagha a pǝr laɓar Faara.
29010f008c	Nagha a ndaarha, “Ɓad sayidɗa ɓa, kutǝryid Faara nduwusɗa ɓa. Malaman ɗimiyid nun fǝrƙǝkafek nun tǝ Laɓarɗi na Mbǝnggǝn.”
2901100088	Nduwusna Yeeso mii kufad Nggalili ɗǝ, na Siman nǝn tǝ wan man Andrawus a muk panggama a kufadɗi ƙǝsǝr kanda fa ƙǝs tǝngya ni.
290111005a	Ndangga Yeeso kanda, “Ɓama ɓa, mbuwama samadna, niya tsawang kun fa ƙǝs fiya ɓa.”
2901120041	Tsu a mbǝɗi kee malangganda panggamggi ndan mbu samadghǝn nda.
290113007a	Ɗǝnǝn mbeeɗǝ, na Yakubu nǝn tǝ wanman Yahaya wangya Dzabaɗi ahu kwambuwol, kanda a tangsang panggamnggi ndan ɗǝ.
2901140087	Nana Yeeso kanda aah kanda nǝn, mal chi ndan nda Dzabaɗi ahu kwambuwol ɗi tǝ fingya nafiya na a ɗang kanda sǝ mbu samadghǝn nda.
2901150073	Ɗǝnda Kafarnahum ɗǝ, nduwusna far yiɓǝd Yahudaya ɓa, kyagha Yeeso Ƙǝn Faara ɗǝ katǝranggǝn tsaharhaha.
290116009c	Nagha fiya ǝnwulteena a ten tsahadghǝn ha, ƙǝsǝr tsahanggǝn kanda ha ƙǝla niifa na tǝ ngyakhrha ha, mbǝ ƙǝla fa malǝmngya yi ɗeleewar Musa wa.
290117004d	Tǝrgha ahu ƙǝn hwan Faarɗan na niifa sǝ na tǝ ǝnkaheerha fa huhwaagha,
2901180078	ndǝghǝn, “Mana midwa tǝ kan, Yeeso tǝ Nadzarat? Ɓana ɓa ka ɓǝlangga kan wa? Sǝnɗi sa, na chahal yi Faara!”
2901190039	Yanangga Yeeso, “Nggǝlang miiwa! Kyosǝ a fadghǝn.”
29011a0044	Muwangga ǝnkaheedɗi hweeɗe hai, huhwaagha, kyagha sǝ a fadghǝn.
29011b009f	Fiya na a mbǝɗi ka ǝnwulteena na nda a ndang nda ndan, “Tur maniya? Weerinda tsaharhaha tǝ ngyakhrha! Nǝn yanang ǝnkaheeya na nda a takkwa miighǝn.”
29011c0035	Laɓarghǝn welɗaɗǝ ƙǝkar ahu chehweed Nggalili.
29011d0060	Kyana nda hai ahu Ƙǝn Faara, nda Yakubu tǝ Yahaya ɗǝnda wuri ki Mbiturus ɗǝ tǝ Andrawus.
29011e0053	Thlaɓǝr Mbiturus tǝnuwunda fadghǝn ɓee kalth hu sǝra, pǝrang nggǝnda Yeeso.
29011f0043	Ɗǝgha Yeeso thlǝmad nuɗaɗǝ, ƙǝs harghǝnǝn thlenggǝn sǝ.
2901200075	A figrha mukna yanfaara hai ɓagha fiya thlǝmad Yeeso ɓa tǝ nafiya na fandan ɓee tǝ fingya na tǝ ǝnkaheeya fa.
2901210031	Nafiya na ahu talɗi wuma nda kwatkirǝm ɗa ɓa.
29012200b9	Ƙǝnangga Yeeso fiya hangga na tǝ wanhaaya fa ɗǝɗamǝn-ɗǝɗamǝn. Kyanggǝn ǝnkaheeya sǝ hangga na a fad fiya, amma mbǝ malang ǝnkaheeyini kala nda sǝ wa ƙǝsǝr sǝn ndan.
2901230069	A tsar ƙǝrǝt, ka pit mbǝrha ɓa, thliigha Yeeso sǝ ɗǝgha mbǝrha ɗǝ na ɓǝɓee hwan Faara nǝn.
2901240036	Mbiturus tǝ ka wiyighǝn ɗǝnda ka kaɗadghǝn ɗǝ,
2901250039	walang nanda, ndang ngganda, “Fiya kahad a kaɗa sa!”
290126009a	Nggǝmangga Yeeso kanda, “Taama mbǝrha ɗǝ pak ahu talya ɗǝ na tsau tǝni ɗǝ pǝr laɓarɗi a mbǝɗi ƙǝm. Ndǝghǝnni ɓani ɓa ka manggǝn.”
2901270070	Wenggǝn chehweed Nggalili hai nagha a pǝr laɓar Faara ahu ƙǝn tsahad Yahudaya tǝ kyang nda ǝnkaheeya sǝ.
2901280092	Niifa na tǝ wanhad termeerha fa ɓagha thlǝmadghǝn ɓa ɓǝrgha hai tǝ waɗedghǝn hwanggǝnǝn, ndanggǝn, “A nggǝmna fa, tsaɓee ɗǝ.”
2901290074	Haɗangga niifɗi Yeeso fa, tǝrangga Yeeso harghǝn sǝ tsuwarghǝnǝn fa ndanggǝn, “Nggǝmɗifa, tsaɓuɗǝ.”
29012a003c	Tsu a mbǝɗi kee, kyagha termedɗa sǝ a fadghǝn ƙǝngga.
29012b0028	Ƙǝsgha Yeeso thlǝmadghǝn, ndanggǝn,
29012c00a4	“A pǝrang nan niifa wa. Amma ɗuwaɗǝ, a kyaɗang fadwa firis ǝna sataka na ƙǝla ndana ngyakhrha ɗeleewar Musa a kyaɗang ndaarha nǝn kanda tsabna ɗǝ.”
29012d00fd	A meghedghǝn kyagha niifɗa hai nagha a pǝrghǝn. Ndǝn ǝnagha ndǝn, ɓalwa Yeeso nggǝr kyarha hur tala hai a pǝpal amma ishgha a ƙǝsǝr wure a mbǝrha mbuwana niifa sǝ. Ko nanǝn kee na fiya naarha ɓarha thlǝmadghǝn ɓa a mbǝya ɓa hangga.
290201005a	Mǝngwaha wa, nggǝrgha Yeeso kyarha Kafarnahum hai, sǝkka fiya ndaarha ɓaɗǝ wure ɓa.
2902020066	Wumngga fiyaɓa, lǝɗang ngganda ƙǝnɗi ta mii kwatminda ɓa, a nagha a pǝrang laɓar Faara kanda.
2902030036	Ɓagha nafiya ɓa faɗa tǝ niifa mǝrna fadghǝn hai.
29020400ab	Walwa nda kwamana wa ƙǝsǝr ka hangnda fiya. Thlǝɓangganda ten ƙǝnɗa ɗǝ mǝmǝl tǝ man ten Yeeso fǝrghǝn nda hai tǝ ɗǝngǝlɗi hunangganda hai a mbed Yeeso.
2902050062	Nana Yeeso fǝrƙǝkafǝkkin ndan, ndanggǝn hadɗi na kath, “Waana chohonda ɗimiyidwa ɗǝ.”
2902060048	Nanǝn ya, fasǝngya ngyakhrha tǝ Farisaya kanda a numarha tǝ ndaarha,
2902070075	“Kama na niifɗi ndaarha kee ya? Tǝ sar farha ni! Mbǝ niifa sǝ na chakh ɗimiyirha wa ƙǝl Faara katenggǝn.”
290208006f	Tsu kee sǝngga Yeeso ǝnɗi nanda a numarha ahur ndan, ndanggǝn kanda, “Kama nun a numarha aten ǝngginiya?
290209008d	Yanggini pǝpa, ndanggǝm tǝ mǝrra fadɗa hai, ‘Chohonda ɗimiyidwa ɗǝ wa,’ nduwa ndam, ‘Thliusǝ, tǝrang ɗǝnggǝl wa wiu wa?’
29020a0082	Amma a sǝnunsǝ Wan niifa nǝghǝn tǝ sǝsǝmnda ha hu ƙǝshidɗiya yi chakh ɗimiya.” Ndanggǝn niifɗi mǝrna fadghǝn hai,
29020b003a	“Ndoyi, thliusǝ tǝrang ɗǝggǝl wa wiina wureɗǝ.”
29020c00b3	Thliigha sǝ tǝranggǝn ɗǝnggǝlghǝn kyagha hai a yid fiya heu. Ənɗiya fǝrang ɗǝ ǝnwulteena kanda na nda a fal Faara, na nda a ndaarha, “ˈWawum na tur ǝnɗiya wa.”
29020d0070	Nggǝrgha Yeeso ɗǝrha mii kufad Nggalili ɗǝ. Ɓagha fiya hangga thlǝmadghǝn ɓa, nagha a tsahang kanda ha.
29020e0087	Nanǝn a mbǝra ɗǝ, na Lawi nǝn wan Halfa tsau a thlǝ tsamnda. Ndanggǝn, “Mbuwu samadna.” Thliigha Lawi sǝ mbu samadghǝnǝn.
29020f00b0	Nana Yeeso a hǝb ǝnnarhami a minda ki Lawi, fa thlǝ tsamngya hangga tǝ fa “ɗimiya” na nda a hǝbrha tǝghǝn tǝ fatsahayighǝn, ƙǝsǝr fiya hangga mbuwa samadghǝn.
29021000d0	Nana fa sǝngya ɗeleewar Musa na Farisaya na nandan a hǝbrha tǝ fa “Ɗimiya” tǝ fa thlǝ tsamngya, tsahang mee nda fatsahayighǝn, “Kama nǝn a hǝbrha tǝ fa thlǝ tsamngya tǝ fa ‘Ɗimiya’?”
29021100a5	Sǝkna Yeeso kee ndanggǝn kanda, “Mbǝ nafiya na ƙǝkanglang kaɗa tǝ purha wa, Ƙǝl haaya. Ɓawi ka aah nafiya ɓa na a ǝna nggayirha wa, amma fa ɗimiya.”
29021200d5	Fatsahaya Yahaya tǝ Farisaya na nda kar aama. Ɓagha fingya thlǝmadghǝn ɓa tsahang mee nda Yeeso, “Mani ǝnagha ndǝn, fatsahaya Yahaya tǝ yi Farisaya kanda a kar aama, amma finayiwa mba nda ǝnaarha wa?”
290213009a	Nggǝmangga Yeeso kanda, “Pashiya wutsamnda na nda kar aama wutsamnda ɓalɗǝ a thlǝmad ndan wa? A ɓal wutsamnda a thlǝman ndan mba nda ǝnaarha wa.
2902140059	Na sayi ɓayi ɓana nda tǝrang wutsamndǝɗi ma kanda. A mbǝɗaniya ɓa nanda kar aama.
29021500c8	“Mbǝ niifa sǝ na njar ɓar kaɓarha ɓa mbuhanggǝnǝn suhurra lukrha fa wa. A ǝna ɗǝ kee, mbuhudɗi na tǝ kukwasharra ɓar kaɓadɗi nǝn njaara hai a fad luwudɗi kal yanɗa nǝn mu na kaar.
2902160104	Mbǝ niifa sǝ na irang weerǝnda aam inabi ahu suhurra samsami hai wa. A ǝna ɗǝ kee, na weerǝnda aam inabi ɗi ɗathlang nda samsami ɗa ɗǝ. Nǝn iraɗǝ, sǝbgha samsami ɗa ɗǝ. Kamɗǝ weerǝnda aam inabi nǝm irangnda ahur weerǝnda samsami hai.”
29021700c0	Na farɗa sǝ, far Yibrha Yahudaya, Yeeso tǝ fatsahayighǝn tǝrnda kwaman heerha; tǝrgha fatsahayighǝn kya ten ǝnnarhami nda na ƙǝla wan hwaliirha fahwang ngganda hai na nda a kiighǝn.
2902180061	Ndagha Farisaya, “Mani na fatsahayiwa ǝna ˈya kee, ˈyaɗana ngyakhrha Musa yi far Yibrha?”
2902190081	Nggǝmangga Yeeso kanda, “Karatang ngwanun ǝnɗi na hu ɗeleewar Faara ǝnana Ndauda tǝ nafighǝn na miirha a ƙǝs kanda wa?
29021a00a8	A thlakh mbǝd Abiyata mamnda firis, kyanǝn hu Ƙǝn Faara ɗǝ tǝrnǝn mburodi sǝ ɗǝfangna nda ɗǝ ka firis katenggǝn, kiigha ǝnangǝn pashiya wiyighǝn ha.”
29021b0054	Ndangga Yeeso kanda, “Əna nanda far yibrha ka niifa, mbǝ niifa ka far yibrha wa.
29021c0037	Nanǝn kee, Wan Niifa Chinǝm ni heu tǝ far Yibrha.”
2903010066	Na farɗa sǝ fadɗǝn, kyagha Yeeso Ƙǝn Faara ɗǝ, na niifa sǝ mǝrna harghǝn hai ahur ƙǝnɗi.
290302007d	Na nafiya sǝ na mindan a ƙǝsangganda Yeeso tǝ ɗimiyirha, ƙǝlaghǝn nda ha tǝnǝn a ƙǝnang nda niifɗi a far yibrha.
290303004f	Ndangga Yeeso niifɗi mǝrna harghǝn hai, “Thliusǝ ɓa isha a mbed fiya.”
29030400ad	Tǝrgha tsahangga Yeeso mee kanda, “Yanggini mǝmǝl a ǝnam a far Yibrha? Əna nggayirha nǝm wa nduwa mbǝlfeerha wa, a hǝrghanggǝm yibrha wa nduwa ɓǝlanggǝm wa?”
29030500d3	Ƙǝlangga Yeeso kanda tǝ sǝbrha hura tǝ ƙǝm ǝn kawani ka kakrakkid ten ndan. Ndanggǝn niifɗi, “Pǝpǝnang harwa ɗǝ.” Pǝpǝnanggǝn harghǝn ɗǝ, a mbǝɗi kee nggǝrgha harghǝn ɓa ƙǝla kaar.
2903060070	Tǝrgha Farisayini kya nda ƙǝshaaɗǝ ɗa nda ndikrha tǝ nafiya Hirdus na a kaɗa kwaman ɓǝllang nda Yeeso.
2903070057	Yeeso tǝ fatsahayighǝn ɗǝnda mii kufad Nggalili ɗǝ, fiya hangga mbuwa samadghǝn.
29030800a1	Hǝrǝm nanda sǝk ǝngya ǝnanǝn heu, fiya hangga ɓagha ɓa a Yahuda, tǝ Urshalima, tǝ Idomiya, tǝ fingya na a pǝm kufad Urdun, tǝ nafiya Taya tǝ Sidon.
2903090073	Ka hangnda fiya ndangga Yeeso fa tsahayighǝn a ɓang kombuwol nda ɓa na ngguchit amana fiya ˈyaɓang mbǝrha fa.
29030a0094	Ƙǝsǝr ˈwaɗǝ teena ƙǝnang ɗǝ fiya hangga, ndǝn ǝnagha ndǝn fingya na tǝ wanhaaya fa kanda a ˈwaarha mbee ɓa ka a tsǝwarghǝn nda fa.
29030b0078	Kala sayidɗi nana sǝsǝn mbǝlfeeya ndǝn, ƙǝl na nda fǝla hai a mbedghǝn na nda a ndaarha, “Wan Faara ni Sa.”
29030c0040	Amma ƙǝsɗǝ thlǝman ndan a pǝr ndan tǝ wunni ndǝghǝn wa.
29030d005a	Tǝrgha Yeeso wumnda sǝ, aah fingyayina nǝn ɓa na midghǝn, ɗǝnda thlǝmadghǝn ɗǝ.
29030e0095	Wurgha hasǝ ahur ndan Kum kap sǝri, aah kanda nǝn fathlǝnggighǝn, a tsawa nda tǝghǝn tǝ ƙǝm a nagha thlǝn kanda ka pǝr laɓar Faara ɗǝ,
29030f002f	tǝ wal ngyakhrha na kyangganda ǝnkaheeya sǝ.
290310004f	Kulo nafini kumkap sǝri wurnǝn ya. Siman, ɗǝfang na Yeeso thlǝma Mbiturus,
2903110076	Yakubu wan Dzabadi tǝ wanman na Yahaya. Ɗǝfangna Yeeso thlǝma kanda Mbuwadjis, ndaarha ni “Wangya Tǝrˈyana.”
2903120067	Andrawus, Filibus, Mbatalomi, Matta, Toma, Yakubu wan Halfa, Tandawus, Siman tǝ sǝrǝk chehweedghǝn.
2903130024	Tǝ Yahuda Iskaryoti, fǝrgha Yeeso.
2903140082	Tǝrgha Yeeso kyagha ahur minda hai, nggǝrgha fiya wumnda ɓa, ndǝghǝn tǝ fa tsahayighǝn mba nda wal kwaman ǝna ˈya mii wa.
2903150085	Sǝkna hurfayighǝn ǝnɗi nǝn a ǝnaarha, ɗǝnda ɗǝ ka a ƙǝsangganda, ƙǝsǝr na fiya a ndaarha, “Kyahar hutenggǝn hai.”
2903160097	Fa malǝmngya ngyakhrha ɓagha ɓa Urshalima ndaa nda, “Nǝghǝn tǝ Mbaˈaldzabul fa! Tǝ ngyakhrha Mbaˈaldzabul ni nǝn a kyang ǝnkaheeya sǝ.”
290317006a	Aagha Yeeso kanda ɓa thlǝghang karapu nǝn kanda sǝ, “Na sheetan ƙǝn na mbang kyang Sheetan sǝ?”
2903180039	A tsakh kutǝryirha hai sǝri, mbǝ kutǝryidɗi isha wa.
290319002d	A tsakh wure hai sǝri, mbǝ wuriɗi isha wa.
29031a0061	Ana Sheetan a yan altenggǝn tǝ ƙǝm tsakhka hai, mbǝ mbang isha wa. Ɓa ngwala ɓenggǝn ɓa.
29031b00c1	Ƙǝkafek, mbǝ niifa sǝ na kyarha minda ki niifa hai na kanglang wiigha tǝ ǝnggighǝn wa ƙǝl ma ˈwaɗǝ teena ƙǝnangɗǝ niifɗa hai na kanglang ˈwan. A mbanggǝn har karid wurighǝn.
29031c0064	“Niya pǝrang ƙǝkafek kun, ɗimiya na heu tǝ sarfaya ǝnana fiya na nda chahanggǝn kanda ɗǝ.
29031d0071	Amma kala niifa sargha Sǝsǝna tǝ Peɗǝnda mba tam chahanggǝn ɗǝ wa, ǝnaɗǝ ɗimiyirha yi pa kwanɗǝ.”
29031e0056	Thlǝkna Yeeso ndǝn kee ƙǝsǝr na nda a ndaarha, “Nǝghǝn tǝ ǝnkaheerha fa.”
29031f0069	Tǝrgha ɓagha man Yeeso ɓa tǝ wanmanggighǝn. Isha nda a ƙǝshi thlǝn farha nda ɗa nda aaghǝn ɓa.
2903200074	Fiya wumngga hai muwang nda maɗufu hai, ndang ngganda, “Muwa tǝ wanmanggiwa kanda a ƙǝshi kanda a kaɗa sa.”
2903210034	Tsakhmee nǝn, “Nda wunni iiya tǝ wanmanggina?”
290322005e	Tǝrgha ƙǝlanggǝn fiya muwangga maɗufu hai ndǝghǝn, “Kulo nda iiya ya tǝ wanmanggina!
2903230057	Kala niifa ǝnagha taara tǝ ˈya na mid Faara tsauɗǝ wan pa tǝ wan nya tǝ iiya.”
29040100c0	Yeeso nggǝrghǝn ɗǝrha mbeeɗǝ tǝ tsahang fiya ha a mii wuri aam Nggalili. Fiya wumngga thlǝmadghǝn ɓa mulnda hai kaan pa kyagha hu kombuwol hai fiya tsǝtsau a mii ƙǝkǝshɓang nda.
2904020050	Tsahang ɗǝ ǝngya kanda ha hangga tǝ karapuya. A hu tsahadghǝn ha ndǝghǝn,
290403003e	“Kama thlǝmarha hai! Tǝ huɗarha ɗǝɗǝ ka hǝfrha ɗǝ.
290404005d	Nanǝn aten wash wiidɗi, hǝrgha fingya hai aten kwamana, ɓagha wuɗikkya ɓa ɗamangganda.
2904050082	Hǝrgha fingya hǝreng keela hai, ka mbuwana chehweerha sǝ ngga kya nda sǝ ƙǝkar, ƙǝsǝr mbǝ chehweedghǝn kuɗimnggǝn wa.
290406004c	Amma tǝkna yanfaara hai, hwara nda ɗǝ, ƙǝsǝr kwa wanda thlaara hai wa.
2904070071	Fingya hǝra nda pathlang ndakhkya hai kya nda sǝ kal wanda farha hai a pathlang ndakhkini wa ko kanda ǝna wee.
29040800a0	Amma fingya hǝra nda hu chehweerha hai na ngga kyanda sǝ ǝna wee nda fingya katǝra kumnggit mahan-mahan, fingya ƙǝm kumnggit mikki-mikki har haru-haru.”
290409003a	Ndǝghǝn, “Yi na tǝ thlǝmad sǝkrha, sǝkƙǝnǝn.”
29040a006f	Sayidɗi nanǝn katenggǝn, kumkap sǝri ɗi tǝ fingya na a thlǝmadghǝn tsahang mee nda ha aten karapu yini.
29040b008b	Ndanggǝn kanda, “Nggǝmang nda kun fa na a sǝn ˈya nun na kutǝryid Faara ahurghǝn, fingya a mbǝ tǝ karapu wa mba nda sǝnggǝn wa.
29040c00b5	Tǝna nda, “‘Ƙǝlaarha ɗǝ, amma mba nda kukwalang hai wa, na nda sǝkƙǝn ƙǝm, amma mba nda sǝnang hai wa. Kam kyahar nda ɓa, chahang ɗimiyid ndan nda kanda ɗǝ!’”
29040d0069	Tǝrgha ndangga Yeeso kanda, “Ashe sǝnanggun karapu ɗa hai ya wa, ƙǝƙǝn nun sǝn fingya karapuya?
29040e002d	Tǝ hǝfǝdɗi, laɓar Faara ni nǝn a pǝra.
29040f0085	Wiidɗi hǝrgha aten kwamana hai nǝghǝn aten nafiya sǝkka laɓarɗi, amma ɓagha Sheetan ɓa tǝranggǝn laɓar ɗaɗǝ ahur ndan.
290410006d	Fingya, na nda ƙǝla wiirha hǝf nanda a hǝreng keela, sǝk nanda laɓarɗi thlǝghǝn nda tǝ hura pǝpet.
2904110091	Amma mbuwana thlar ndan sǝ, mǝngwanda ha wa. A hǝrǝm ɓillarha nduwa sǝsaarha ɓarha ɓa ƙǝsǝr ka laɓarɗi mba nda kwas kyaharra hai wa.
2904120051	Tǝ ƙǝm na fingya ƙǝla wiiya hǝrgha pathlang ndakhkya hai, sǝkka laɓarɗi;
290413008d	amma ƙǝsǝr ɓillad ƙǝshiirha, tǝ suna ƙǝna tǝ nggǝm ǝn ƙǝshiirha thluranggǝn laɓarɗi ahur ndan tsauka mbǝ ˈyani na ngga wa.
29041400bd	Wiiya hǝrgha hu chehweerha hai na ngga, nafiyani sǝkka laɓar Faara thlǝghǝnda fa tǝ chikrha katǝra kumnggit mahan-mahan, kumnggit mikki-mikki tǝ haru-haru aten ǝnɗi hǝf nanda.”
29041500a8	Ndangga Yeeso kanda, “ˈWad niifa ɓarha ɓa tǝ patilla tsǝɓanggǝn tǝ tǝɓa nduwa ɗǝfanggǝn kasǝra ɗǝ wa? Mbǝ nǝm ɗǝfang nda a mbǝd ɗǝfǝdghǝn wa?
290416006f	Mbǝ ˈyasǝ na ɓǝɓee mbuwa kyarha sǝ wa. Mbǝ ˈyasǝ ƙǝm na nggǝnggǝla mbuwa wa kyarha pǝpal ɓa wa.
2904170033	Kala niifa na tǝ thlǝmad sǝkrha sǝkƙǝnǝn.”
29041800a5	“Kwarama tǝ sǝk pathla nun naarha sǝkrha, tur tasau ƙǝƙǝrɗi nun a ƙǝƙǝrra sǝ, ndǝghǝnni na nda a ƙǝƙǝrang kunsǝ ƙǝm har kal yinun nǝn mu.”
2904190096	“Kala niifa na tǝ ˈya ha na nda a chighanggǝn, kala niifa ƙǝm mbuwa wa tǝ ˈya ha, yanɗi nanǝn tǝghǝn ha ƙǝm na nda a thlang nda hai.”
29041a005c	Nggǝrgha Yeeso ndaarha, “Na kutǝryid Faara kiya. Niifa washgha wiirha ahu hedghǝn ɗǝ.
29041b004f	Mǝngga ha, kyagha wiidɗa sǝ, sǝngwa sǝ tǝ katǝradghǝn hai ƙǝƙǝn wa.
29041c0056	Tǝ altenggǝn nagha a tsǝrha, katǝradghǝn hai tǝ kwaafa, ɗǝfgha hur iiwee nǝn.
29041d005e	A hǝrǝmɗǝ nakhɗaarha, nǝn a hwasang sǝ tǝ ɗǝhwasarha ƙǝsǝr tsǝ shifiirha hai.”
29041e006d	Nggǝrgha Yeeso ndaarha, “Tǝ ma nǝm sakh kutǝryid Faara, nduwa tǝ tur yanggi karapu nǝm sakhƙǝn sǝ?
29041f0051	Nǝghǝn ƙǝla wan parsǝna na wanggǝn ngguchit ahur wiiya na heu nǝm hǝfrha.
2904200086	A hǝfang ɗǝm hai nǝn tsǝrha tsauka ɗǝfrha manggǝn kal fingya nǝn na ahu hedɗi ǝnagha wuɗikkya ƙǝndan a wuhwaryighǝn.”
290421006d	Tǝ fingya karapuya ƙǝla yanɗiya hangga thlǝghangna Yeeso kanda sǝ, tǝ fingya na nda mbang sǝnang hai.
2904220076	Mbǝ ˈyasǝ nǝn thlǝghang kanda kula karapu wa. Amma sayidɗi nanǝn tǝ fatsahayighǝn nǝn fǝlanggǝn kanda hai.
290423005a	A farɗi tsǝna figrha hai, ndanggǝn fatsahayighǝn, “Tama pǝm wuri aamɗa ɗǝ ya.”
2904240085	Mal fiya nda a samarha, wii nda ɗǝ tǝghǝn ahu kombuwol ɗi nanǝn sǝ. Na fingya kombuwalya sǝ ƙǝm a mbǝɗi mbuwa samadghǝn.
290425005d	Thliigha ɓereu ˈyaara ɓa, nagha a pǝshang aama ahu kombuwol ndan ɓa takhka a timnda hai.
290426007a	Yeeso a ɓeena a samad kombuwol ɗi. Thlengga fatsahayighǝn sǝ ndang ngganda, “Mala, sǝngwa takh ɗǝm a mǝra wa?”
290427006b	Thliigha Yeeso sǝ, yananggǝn ɓereu ɗi, “Nggasu hai! Ishiu!” Isgha ɓereu ɗi, nggasgha mbǝrha hai.
2904280052	Tǝrgha ndanggǝn fatsahayighǝn, “Mani tǝrǝm nun? Ai fǝrƙǝkafekkid nun?”
2904290068	Tǝr ma nda kaan, tsahang mee nda ndan, “Wunniya? Na ɓereurha tǝ kufulla aama fǝrang mamnggirha!”
2905010050	Yeeso tǝ fatsahayighǝn ɗǝnda pǝm wuri aamɗa ɗǝ na a chehweed Nggarasina.
2905020078	Tǝrna Yeeso hai ahu kombuwol ɗi, na niifasǝ tǝ ǝnkaheerha fa, kyaghǝn ɓa a mbǝd ten kwaya hwathla Yeeso nǝn fa.
2905030063	Niifɗiya nǝn mǝnda ahur kwad mǝrya, mbǝ niifasǝ na mbang ƙǝnang hai ko tǝ wuyiwurra ni wa.
29050400cd	Ƙǝsǝr na nda yakh ƙǝnang nda hai nda harghǝn tǝ sarghǝn tǝ wuyiwurra, amma nǝn ɗahang nda ɗǝ hwasang nggǝn ɗǝɓǝlyina ɗǝ na a sarghǝn. Mbǝ niifasǝ na kanglang na mbang kǝsang hai wa.
290505007b	Nda yanfaara tǝ fǝɗigrha nǝn naarha aten kwaya, tǝ ten ferya, nagha ahuhwaarha tǝ thleng nda fadghǝn ɗǝ tǝ ferya.
290506003d	Nanǝn Yeeso ɗǝ inggun, ɗagha ɗǝ ɓǝra hai a mbedghǝn.
290507008e	Tǝranggǝn uradghǝn sǝ kaan huhwagha ndǝghǝn, “Mana midwa tǝ nggi, Yeeso, Wan Faara Amshi? Hwanni sa hu thlǝm Faara a sǝsenna wa!”
