1300000005	Psalm
28120f009e	Hat sich dein Bruder an dir versündigt, so geh zu ihm und stelle ihm unter vier Augen sein Unrecht vor. Hört er auf dich, so hast du deinen Bruder gewonnen.
28121000ae	Hört er nicht, so geh nochmals zu ihm in Begleitung eines oder zweier Brüder, damit jedes Wort, das gesprochen wird, durch zwei oder drei Zeugen festgestellt werden könne.
28121100ab	Will er aber nicht auf diese Brüder hören, so bring die Sache vor die Gemeinde. Und hört er auch auf die Gemeinde nicht, dann sieh ihn an wie einen Heiden und Zöllner.
2812120097	Wahrlich, ich sage euch: Was ihr auf Erden bindet, das soll im Himmel gebunden sein; und was ihr auf Erden löst, das soll auch im Himmel gelöst sein.
2812130092	Weiter sage ich euch: Wenn hier auf Erden zwei von euch einig sind, um etwas zu bitten, so soll es ihnen von meinem Vater im Himmel zuteil werden.
2812140060	Denn wo zwei oder drei in meinem Namen versammelt sind, da bin ich in ihrer Mitte gegenwärtig."
2812150092	Darauf trat Petrus zu ihm mit der Frage: "Herr, wenn sich mein Bruder gegen mich versündigt, wie oft muß ich ihm dann vergeben? Etwa siebenmal?"
2812160053	Jesus antwortete ihm: "Ich sage dir: nicht siebenmal, sondern siebzigmal siebenmal.
2812170054	Darum gleicht das Himmelreich einem König, der mit seinen Dienern abrechnen wollte.
2812180067	Als er mit der Abrechnung begann, ward ihm einer vorgeführt, der ihm zehntausend Talente schuldig war.
281219007e	Weil er aber nicht bezahlen konnte, ließ ihn der Herr mit Weib und Kind und all seiner Habe zur Deckung der Schuld verkaufen.
28121a0061	Da fiel ihm der Diener zu Füßen und bat: 'Hab nur Geduld mit mir, ich will dir alles bezahlen!'
28121b005f	Da hatte der Herr Erbarmen mit dem Diener: er gab ihn frei, und die Schuld erließ er ihm auch.
28121c00a8	Beim Hinausgehen traf nun dieser Diener einen anderen, der ihm hundert Silberlinge schuldete. Den packte er an der Gurgel und rief: 'Bezahle mir, was du schuldig bist!'
28121d0070	Da warf sich sein Mitdiener vor ihm nieder und bat ihn: 'Hab nur Geduld mit mir, ich will dir's schon bezahlen.'
28121e0078	Aber er wollte nicht, sondern nahm ihn mit sich und ließ ihn ins Gefängnis werfen, bis er seine Schuld bezahlt hätte.
28121f006f	Als das die anderen Diener sahen, wurden sie sehr betrübt; sie gingen zu ihrem Herrn und erzählten ihm alles.
281220007f	Da ließ der Herr den Diener rufen und sprach zu ihm: 'Du Bösewicht! Deine ganze Schuld habe ich dir auf dein Bitten erlassen.
281221006e	Hättest du dich da nicht auch über deinen Mitknecht erbarmen müssen, wie ich mich über dich erbarmt habe?'
281222006c	Und voll Zorn ließ ihn sein Herr den Folterknechten übergeben, bis er ihm die ganze Schuld bezahlt hätte.
2812230075	Ebenso wird auch mein himmlischer Vater mit euch verfahren, wenn ihr nicht allesamt von Herzen den Brüdern vergebt."
2813010073	Als Jesus diese Reden beendet hatte, verließ er Galiläa und zog durch das Ostjordanland in das Gebiet von Judäa.
2813020043	Eine große Volksmenge begleitete ihn, deren Kranke er dort heilte.
281303008e	Da traten Pharisäer zu ihm; die wollten ihm eine Falle stellen und fragten ihn: "Darf jemand sein Weib aus jedem beliebigen Grund entlassen?"
2813040073	Er antwortete: "Habt ihr nicht gelesen, daß der Schöpfer im Anfang die Menschen als Mann und Weib geschaffen hat?
281305008f	Und er hat gesagt: Deshalb wird ein Mann Vater und Mutter verlassen und sich aufs engste mit seinem Weib verbinden, und beide werden eins sein.
281306006b	Sie sind als nicht mehr zwei, sondern eins. Was nun Gott vereinigt hat, das soll der Mensch nicht trennen!"
2813070098	Sie sprachen zu ihm: "Warum hat denn Mose geboten, der Mann solle der Frau einen Scheidebrief ausstellen und dürfe sie dann aus seinem Haus entlassen?"
281308008b	Er antwortete ihnen: "Wegen eurer Herzenshärtigkeit hat euch Mose erlaubt, eure Frauen zu entlassen. Doch anfangs ist es nicht so gewesen.
28130900e4	Ich sage euch aber: "Wer sein Weib aus einem anderen Grund entläßt als wegen Unzucht und eine andere heiratet, der ist ein Ehebrecher. Und wer eine (von ihrem Mann) entlassene Frau zum Weib nimmt, der ist auch ein Ehebrecher."
28130a0071	Da sprachen die Jünger zu ihm: "Wenn es zwischen Mann und Weib so steht, dann ist es besser, nicht zu heiraten."
28130b005b	Er antwortete ihnen: "Nicht jeder ist dazu fähig, sonder der allein, dem es verliehen ist.
28130c0129	Es gibt Ehelose, die von Geburt an zur Ehe untüchtig sind, und es gibt Ehelose, denen durch Menschen die Fähigkeit zur Ehe genommen worden ist; aber es gibt auch Ehelose, die mit Rücksicht auf das Königreich der Himmel freiwillig auf die Ehe verzichtet haben. Wer dazu fähig ist, der tue es!"
28130d008d	Dann brachte man kleine Kinder zu ihm, damit er ihnen unter Gebet die Hände auflege. Die Jünger aber fuhren die Leute mit rauhen Worten an.
28130e0088	Doch Jesus sprach: "Laßt die kleinen Kinder zu mir kommen und hindert sie nicht daran! Denn gerade ihnen ist das Himmelreich bestimmt."
28130f0038	Dann legte er ihnen die Hände auf und verließ den Ort.
281310007f	Und siehe, einer trat an ihn heran und fragte: "Meister, was für ein gutes Werk muß ich tun, um das ewige Leben zu erlangen?"
2813110092	Er antwortete ihm: "Warum fragst du mich nach dem, was gut ist? Nur ein einziger ist gut. Willst du aber zum Leben eingehen, so halte die Gebote."
281312008d	Er sprach zu ihm: "Welche?" Jesus erwiderte: "Diese: Du sollst nicht morden, nicht ehebrechen, nicht stehlen, nicht falsches Zeugnis ablegen!
281313004f	Ehre Vater und Mutter! Und: du sollst deinen Nächsten lieben wie dich selbst."
2813140055	Der Jüngling sprach zu ihm: "Dies alles habe ich treu erfüllt. Was fehlt mir noch?"
28131500b5	Da antwortete ihm Jesus: "Willst du vollkommen sein, so gehe hin, verkaufe deine Habe und gib das Geld den Armen: so wirst du einen Schatz im Himmel haben; dann komm und folge mir!"
2813160057	Als der Jüngling das hörte, ging er traurig weg, denn er hatte ein großes Vermögen.
2813170076	Da sprach Jesus zu seinen Jüngern: "Wahrlich, ich sage euch: Ein Reicher kommt nur schwer ins Königreich der Himmel.
2813180066	Ja ich sage euch: Ein Kamel kommt leichter durch ein Nadelöhr als ein Reicher in Gottes Königreich."
281319006e	Als die Jünger das hörten, erschraken sie sehr und sprachen: "Ja, wer kann dann überhaupt gerettet werden?"
28131a0084	Jesus aber sah sie an und erwiderte: "Mit menschlicher Kraft ist das zwar nicht möglich; mit Gottes Hilfe aber ist alles möglich."
28131b0085	Da nahm Petrus das Wort und sprach zu ihm: "Sieh, wir haben alles aufgegeben und sind dir nachgefolgt. Welcher Lohn wird uns dafür?"
28131c0108	Jesus antwortete ihnen: "Wahrlich, ich sage euch: Wenn der Menschen zur Zeit der Wiedergeburt auf dem Thron seiner Herrlichkeit sitzt, dann sollt auch ihr, die ihr mir nachgefolgt seid, auf zwölf Thronen sitzen und die zwölf Stämme Israels als Herrscher leiten.
28131d00bf	Ja jeder, der Geschwister, Eltern, Weib und Kind oder Äcker und Häuser um meines Namens willen fahren läßt, der soll reichen Ersatz dafür empfangen und das ewige Leben als Erbe bekommen.
28131e0055	Doch in vielen Fällen werden die Ersten die Letzten und die Letzten die Ersten sein.
281401007e	Denn das Königreich der Himmel gleicht einem Hausherrn, der frühmorgens ausging, um Arbeiter für seinen Weinberg zu mieten.
2814020059	Er vereinbarte mit ihnen einen Silberling als Tagelohn und sandte sie in seinen Weinberg.
2814030060	Um die dritte Stunde ging er wieder aus und sah andere auf dem Marktplatz unbeschäftigt stehen;
281404005b	zu denen sprach er: 'Geht auch ihr in meinen Weinberg! Ich will euch geben, was recht ist.'
281405005c	Sie gingen hin. Wiederum ging er aus um die sechste und um die neunte Stunde und tat ebenso.
2814060094	Als er aber um die elfte Stunde nochmals ausging, fand er andere dastehen und sprach zu ihnen: 'Warum steht ihr hier den ganzen Tag unbeschäftigt?'
2814070075	Sie antworteten ihm: 'Es hat uns niemand in Arbeit genommen.' Er sprach zu ihnen: 'Geht auch ihr in meinen Weinberg!'
28140800a4	Am Abend aber sprach der Herr des Weinbergs zu seinem Verwalter: 'Rufe die Arbeiter und zahle ihnen den Lohn: fang bei den letzten an und höre bei den ersten auf!'
281409004c	Da kamen die Arbeiter der elften Stunde, und jeder empfing einen Silberling.
28140a0070	Als nun die ersten kamen, meinten sie, sie würden mehr empfangen; doch auch sie bekamen jeder einen Silberling.
28140b0036	Als sie den empfingen, murrten sie gegen den Hausherrn
28140c0099	und sagten: 'Diese letzten haben nur eine Stunde gearbeitet, und du hast sie uns gleichgestellt, die wir des ganzen Tages Last und Hitze ertragen haben.'
28140d007f	Er aber antwortete einem von ihnen: 'Mein Freund, ich tue dir nicht unrecht. Hast du nicht einen Silberling mit mir vereinbart?
28140e004e	Nimm dein Geld und geh! Ich will aber diesen letzten ebensoviel geben wie dir.
28140f0069	Darf ich etwa nicht mit meinem Geld machen, was ich will? Oder bist du neidisch, weil ich so gütig bin?'
2814100042	So werden die Letzten die Ersten und die Ersten die Letzten sein."
281411008a	Jesus zog dann weiter nach Jerusalem und hatte nur die Zwölf als besondere Begleiter bei sich. Während der Wanderung sprach er zu ihnen:
281412007c	"Jetzt gehen wir nach Jerusalem. Dort wird der Menschensohn den Hohenpriestern und den Schriftgelehrten überliefert werden.
28141300b0	Die werden ihn zum Tod verurteilen und ihn dann den Heiden überantworten, daß er verspottet, gegeißelt und gekreuzigt werde. Aber am dritten Tag wird er wieder auferstehen."
2814140060	Da trat die Frau des Zebedäus mit ihren Söhnen zu ihm und trug ihm fußfällig eine Bitte vor.
28141500a5	Er fragte sie: "Was wünschst du?" Sie sprach zu ihm: "Bestimme, daß meine beiden Söhne hier dereinst in deinem Königreich dir zur Rechten und zur Linken sitzen!"
2814160099	Jesus erwiderte: "Ihr versteht nicht, um was ihr bittet. Könnt ihr den Kelch trinken, den ich trinken soll?" Sie antworteten ihm: "Ja, das können wir."
28141700d9	Da sprach er zu ihnen: "Meinen Kelch sollt ihr freilich trinken. Aber die Sitze zu meiner Rechten und zu meiner Linken kann ich euch nicht verleihen; die werden nur denen zuteil, für die sie mein Vater bestimmt hat."
281418005a	Als die anderen Zehn dies hörten, äußerten sie ihren Unwillen über die beiden Brüder.
28141900b0	Da rief sie Jesus zu sich und sprach: "Ihr wißt, daß die Herrscher über die Völker unumschränkt gebieten, und daß die Großen ihre Untergebenen ihre Macht fühlen lassen.
28141a0065	So soll's bei euch nicht sein. Im Gegenteil: wer unter euch der groß sein will, der sei euer Diener;
28141b003c	und wer unter euch der Erste sein will, der sei euer Knecht.
28141c009c	So ist ja auch der Menschensohn nicht gekommen, um sich dienen zu lassen, sondern um selbst zu dienen und sein Leben dahinzugeben als Lösegeld für viele."
28141d0031	Als sie Jericho verließen, folgte ihm viel Volk.
28141e0086	Und sieh, es saßen zwei Blinde am Weg. Als sie hörten, Jesus käme vorbei, da riefen sie: "Herr, erbarme dich unser, du Davidssohn!"
28141f0092	Die Leute aber fuhren sie mit rauhen Worten an, sie sollten schweigen. doch sie riefen nur noch lauter: "Herr, erbarme dich unser, du Davidssohn!"
2814200052	Da blieb Jesus stehen, rief sie zu sich und fragte sie: "Was begehrt ihr von mir?"
281421003c	Sie antworteten ihm: "Herr, laß sich unsere Augen öffnen!"
2814220061	Da rührte Jesus voll Mitleid ihre Augen an, und sofort wurden sie wieder sehend und folgten ihm.
2815010066	Als sie in die Nähe von Jerusalem kamen, nach Bethphage, an den Ölberg, entsandte Jesus zwei Jünger
28150200c2	mit dem Auftrag: "Geht in das Dorf, das vor euch liegt! Dort werdet ihr gleich am Eingang eine Eselin angebunden finden und bei ihr ein Füllen. Bindet beide Tiere los und bringt sie her zu mir!
2815030076	Und will euch jemand dreinreden, so spracht: 'Der Herr bedarf ihrer' — dann wird er sie ohne weiteres ziehenlassen."
2815040044	Dies ist geschehen, damit sich der Ausspruch des Propheten erfülle:
2815050081	Sagt der Tochter Zion: Sieh, dein König kommt zu dir, voll Demut und auf einem Esel reitend, und zwar auf einem Lasttierfüllen.
2815060040	Die Jünger gingen hin und taten, wie ihnen Jesus geboten hatte:
281507006e	sie brachten die Eselin und das Füllen, legten ihre Mäntel auf der Tiere Rücken, und er setzte sich darauf.
2815080080	Sehr viele Leute aber breiteten ihre Mäntel auf den Weg, andere hieben Zweige von den Bäumen und streuten sie auf die Straße.
28150900c2	Und alle, die mit ihm gingen — vorn im Zug und hinterdrein —, die riefen laut: Heil dem Sohn Davids! Gesegnet sei, der da kommt im Namen des Herrn! Heil soll erschallen droben in der Höhe!"
28150a005e	Bei seinem Einzug in Jerusalem geriet die ganze Stadt in Aufregung; man fragte: "Wer ist das?"
28150b004b	Die Leute antworteten: "Das ist der Prophet Jesus aus Nazaret in Galiläa."
28150c00a8	Dann ging Jesus in den Tempel Gottes: er trieb alle hinaus, die im Tempel verkauften und kauften; er stieß die Tische der Wechsler und die Bänke der Taubenhändler um
28150d0081	und sprach zu ihnen: "Es steht geschrieben: Mein Haus soll ein Bethaus heißen; ihr aber habt eine Räuberhöhle daraus gemacht."
28150e0040	Dort im Tempel kamen Blinde und Lahme zu ihm, und er heilte sie.
28150f00ab	Als aber die Hohenpriester und Schriftgelehrten die Wunder sahen, die er tat, und hörten, wie die Kinder im Tempel riefen: "Heil dem Sohn Davids!", da wurden sie unwillig
28151000ba	und sprachen zu ihm: "Hörst du nicht, was die hier rufen?" Jesus antwortete ihnen: "Jawohl! Habt ihr denn nie das Wort gelesen: Aus Kinder- und Säuglingsmund hast du dir Lob bereitet?"
281511005c	Damit ließ er sie stehen und ging aus der Stadt hinaus nach Bethanien, wo er übernachtete.
281512003e	Frühmorgens bei der Rückkehr in die Stadt empfand er Hunger.
28151300da	Da sah er einen einzeln stehenden Feigenbaum am Wege. Auf den ging er zu, aber er fand nur Blätter daran. Da sprach er zu dem Baum: "In Zukunft sollst du niemals wieder Frucht tragen!" Sofort verdorrte der Feigenbaum.
281514006f	Bei diesem Anblick waren die Jünger verwundert und fragten: "Wie hat der Feigenbaum sofort verdorren können?"
2815150128	Jesus antwortete ihnen: "Wahrlich, ich sage euch: Wenn ihr Glauben hättet und nicht zweifeltet, so könntet ihr nicht nur dasselbe tun, was an dem Feigenbaum geschehen ist; sondern wenn ihr zu dem Berge dort sagtet: 'Heb dich von deiner Stelle und stürze dich ins Meer', so würde es geschehen.
2815160049	Ja alles, was ihr im Glauben im Gebet erfleht, das werdet ihr empfangen."
28151700c2	Als er wieder im Tempel war und dort lehrte, traten die Hohenpriester und die Ältesten des Volkes zu ihm mit der Frage: "Mit welchem Recht tust du dies, und wer hat dir das Recht dazu gegeben?"
2815180099	Jesus erwiderte ihnen: "Ich will euch auch eine Frage vorlegen; gebt ihr mir darauf Antwort, so will ich euch auch sagen, mit welchem Recht ich dies tue:
28151900bc	Woher stammte die Taufe des Johannes? Vom Himmel oder von Menschen?" Sie überlegten miteinander: "Sagen wir: 'vom Himmel', so wird er uns fragen: 'Warum habt ihr ihm denn nicht geglaubt?'
28151a007c	Antworten wir aber: 'von Menschen', so haben wir das Volk zu fürchten, denn das sieht allgemein Johannes als Propheten an."
28151b0089	Da erwiderten sie Jesus: "Wir wissen es nicht." Darauf sprach er zu ihnen: "So sage ich euch auch nicht, mit welchem Recht ich dies tue."
28151c0087	"Was meint ihr nun? Ein Mann hatte zwei Söhne. Er ging zu dem ersten und sagte: 'Mein Sohn, geh und arbeite heute in meinem Weinberg!'
28151d0036	Der erwiderte: 'Jawohl, Herr!' aber er ging nicht hin.
28151e00a6	Dann wandte sich der Vater mit denselben Worten an den zweiten Sohn. Der entgegnete: 'Ich habe keine Lust.' Nachher aber tat's ihm leid, und er ging und er ging doch.
28151f00ce	Wer von den beiden hat nun seines Vaters Willen ausgeführt?" Sie sprachen: "Der zweite." Da fuhr Jesus fort: "Wahrlich, ich sage euch: Die Zöllner und die Dirnen kommen eher in Gottes Königreich als ihr.
2815200116	Denn Johannes ist zu euch gekommen, um euch den rechten Weg zu zeigen; aber ihr habt ihm nicht geglaubt. Die Zöllner dagegen und die Dirnen haben ihm geglaubt. Ihr habt das zwar gesehen, doch anderes Sinnes seid ihr trotzdem nachher nicht geworden: ihr habt ihm nicht geglaubt.
28152100cf	Hört noch ein anderes Gleichnis: Ein Hausherr pflanzte einen Weinberg; er zog einen Zaun darum, grub eine Kelterkufe darin aus und baute einen Turm. Dann verpachtete er ihn an Winzer und ging außer Landes.
281522008a	Als sich nun die Zeit der Weinlese nahte, sandte er seine Knechte zu den Winzern, damit sie den Teil der Früchte abholten, der ihm zukam.
281523007d	Die Winzer aber ergriffen diese Knechte: den einen mißhandelten sie, den anderen erschlugen sie, den dritten steinigten sie.
2815240055	Dann sandte er andere Knechte, mehr als zuerst; doch mit diesen verfuhren sie ebenso.
2815250068	Zuletzt sandte er seinen Sohn zu ihnen, denn er dachte: vor meinem Sohn werden sie doch Ehrfurcht haben.
2815260094	Als aber die Winzer den Sohn sahen, sprachen sie untereinander: 'Ha, da kommt der Erbe! Auf! laßt uns ihn töten und sein Erbgut in Besitz nehmen!'
2815270046	Und sie ergriffen ihn, stießen ihn aus dem Weinberg und töteten ihn.
2815280046	Wenn nun der Weinbergsbesitzer kommt, was wird er diesen Winzern tun?"
28152900a0	Sie erwiderten ihm: "Er wird diese Übeltäter übel umbringen und seinen Weinberg anderen Winzern verpachten, die ihm die Früchte zur rechten Zeit abliefern."
28152a00ed	Jesus sprach zu ihnen: "(Allerdings!) Habt ihr denn niemals in der Schrift das Wort gelesen: Der Stein, den die Bauleute verworfen haben, der ist zum Eckstein geworden. Dies ist eine Tat des Herrn, und sie ist wunderbar in unseren Augen?
28152b0096	Darum sage ich euch: Gottes Königreich soll euch genommen und einem Volk gegeben werden, das auch die Früchte trägt, die diesem Reich Ehre machen."
28152d006a	Als die Hohenpriester und die Pharisäer seine Gleichnisse hörten, merkten sie, daß er von ihnen redete.
28152e0078	Da sannen sie darauf, ihn festzunehmen; aber sie fürchteten sich vor dem Volk, denn das hielt ihn für einen Propheten.
2816010044	Jesus nahm von neuem das Wort zu Gleichnisreden und sprach zu ihnen:
2816020050	"Das Himmelreich gleicht einem König, der seinem Sohn die Hochzeit ausrichtete.
281603007a	Er sandte seine Knechte aus, um die schon geladenen Gäste zur Hochzeit zu entbieten; aber sie hatten keine Lust zu kommen
28160400c9	Da sandte er nochmals andere Knechte mit dem Auftrag: 'Sagt den geladenen Gästen: Mein Frühmahl ist nun fertig, meine Ochsen und mein Mastvieh ist geschlachtet. Alles ist bereit, kommt zur Hochzeit!'
281605008a	Doch, ohne diese Botschaft zu beachten, gingen die einen von den Gästen auf dem Acker oder beim Handel ihren täglichen Geschäften nach.
281606005b	Die anderen aber ergriffen des Königs Knechte, verhöhnten sie, ja brachten sie ums Leben.
281607006f	Da ward der König zornig: er sandte seine Heere aus; die brachten diese Mörder um und verbrannten ihre Stadt.
2816080081	Dann sprach er zu seinen Knechten: 'Das Hochzeitsmahl ist fertig; doch die geladenen Gäste waren nicht wert, daran teilzunehmen.
2816090074	So geht denn vor die Stadt hinaus: dorthin, wo die Feldwege beginnen, und alle, die ihr findet, ladet zur Hochzeit!'
28160a00a1	Die Knechte gingen aus auf die Landstraßen, und alle die sie fanden, führten sie herbei: Böse sowohl wie Gute. Und der Hochzeitssaal füllte sich mit Gästen.
28160b006a	Nun trat der König ein, um sich die Gäste anzusehen. Da nahm er eine wahr, der trug kein Hochzeitskleid.
28160c006d	Und er sprach zu ihm: 'Mein Freund, wie hast du Einlaß finden können ohne Hochzeitskleid?' Er aber schwieg.
28160d00a2	Da sprach der König zu den Dienern: 'Bindet ihn an Händen und Füßen und werft ihn in die Finsternis hinaus!' Dort wird lautes Klagen und Zähneknirschen sein.
28160e003b	Denn viele sind berufen, aber nur wenige sind auserwählt."
28160f0065	Da gingen die Pharisäer hin und berieten sich, wie sie ihn in seinen eigenen Worten fangen könnten.
281610010f	Sie sandten deshalb ihre Schüler zu ihm, die von Anhängern des Herodes begleitet waren. Die sprachen zu ihm: "Meister, wir wissen, du bist aufrichtig und lehrst in aller Wahrheit Gottes Weg; dabei nimmst du auf niemand Rücksicht, denn Menschengunst gilt nicht bei dir.
281611004e	So sag uns denn, was meinst du: Darf man dem Kaiser Steuer zahlen oder nicht?"
281612005f	Jesus aber merkte ihre böse Absicht und sprach zu ihnen: "Was versucht ihr mich, ihr Heuchler?
2816130042	Zeigt mir die Steuermünze!" Da reichten sie ihm einen Silberling.
281614003a	Und er fragte sie: "Wessen Bild und Inschrift steht hier?"
2816150086	Sie antworteten ihm: "Des Kaisers." Da sprach er zu ihnen: "So gebt dem Kaiser, was dem Kaiser gebührt, und Gott, was Gott gebührt!"
2816160058	Über diese Antwort waren sie verwundert, und sie verließen ihn und gingen ihres Weges.
281617007e	An demselben Tag traten Sadduzäer zu ihm, die da behaupteten, es gebe keine Auferstehung, und legten ihm auch eine Frage vor.
28161800c5	"Meister", so sprachen sie, "Mose hat gesagt: Stirbt jemand kinderlos, so soll sein Bruder die verwitwete Schwägerin zum Weib nehmen und (mit ihr) seinem (verstorbenen) Bruder Nachkommen erwecken.
2816190077	Nun lebten unter uns sieben Brüder. Der erste freite und starb kinderlos: so hinterließ er seine Witwe seinem Bruder.
28161a0040	Ebenso ging es mit dem zweiten und dritten, ja mit allen sieben.
28161b0026	Zuletzt von allen starb auch die Frau.
28161c0076	Wem von diesen sieben wird sie nun bei der Auferstehung als Gattin angehören? Sie haben sie ja alle zur Frau gehabt."
28161d0062	Jesus antwortete ihnen: "Ihr seid im Irrtum, denn ihr kennt die Schriften nicht noch Gottes Macht.
28161e0066	Die Auferstandenen freien nicht und lassen sich nicht freien, sondern sind wie Gottes Engel im Himmel.
28161f0078	Was aber die Auferstehung der Toten betrifft, habt ihr da nicht gelesen, was Gott zu euch in dem bekannten Wort spricht:
2816200084	Ich bin der Gott Abrahams, der Gott Isaaks und der Gott Jakobs? Gott ist nun aber nicht ein Gott der Toten, sondern der Lebendigen."
281621003c	Das Volk, das diese Worte hörte, staunte über seine Lehre.
2816220062	Als die Pharisäer erfuhren, er habe die Sadduzäer zum Schweigen gebracht, versammelten sie sich.
2816230060	Einer aus ihrer Mitte, ein Gesetzeslehrer, wollte ihm eine Falle stellen und fragte ihn deshalb:
2816240036	"Meister, welches ist das wichtigste Gebot im Gesetz?"
2816250076	Er antwortete ihm: "Du sollst den Herrn, deinen Gott, lieben mit ganzem Herzen, mit ganzer Seele und mit allem Denken.
281626002b	Dies ist das wichtigste und höchste Gebot.
2816270060	Das andere aber, das ihm gleichsteht, lautet: Du sollst deinen Nächsten lieben wie dich selbst.
2816280045	In diesen beiden Geboten hängen das ganze Gesetz und die Propheten."
281629003a	Als dann die Pharisäer beisammen waren, fragte sie Jesus:
28162a0055	"Was denkt ihr über den Messias? Wessen Sohn ist er?" Sie antworteten ihm: "Davids."
28162b0068	Da sprach Jesus zu ihnen: "Wie kann ihn denn David, vom Geist erleuchtet, Herr nennen, in dem Ausspruch:
28162c006a	Der Herr hat gesagt zu meinem Herrn: Sitze du zu meiner Rechten, bis ich dir deine Feinde zu Füßen lege?
28162d004f	Wenn ihn nun David seinen Herrn nennt, wie kann er da zugleich sein Sohn sein?"
28162e006b	Darauf konnte ihm niemand ein Wort erwidern, und seitdem wagte auch keiner mehr, ihm eine Frage vorzulegen.
2817010038	Dann wandte sich Jesus an das Volk und an seine Jünger.
281702005e	"Moses Lehrstuhl", so begann er, "haben jetzt die Schriftgelehrten und die Pharisäer besetzt.
281703008c	Alles nun, was sie euch sagen, das tut und haltet! Nach ihren Werken aber sollt ihr euch nicht richten. Denn sie lehren anders, als sie tun.
28170400b3	Sie binden Bündel schwerer Lasten zusammen und legen sie den Leuten auf die Schulter; sie selbst aber haben keine Lust, diese Lasten auch nur mit einer Fingerspitze zu berühren.
281705007d	Bei all ihrem Tun wollen sie die öffentliche Aufmerksamkeit erregen: Sie tragen breite Gebetsriemen und lange Mantelquasten.
281706006e	Beim Mahl sitzen sie gern obenan, und in der gottesdienstlichen Versammlung wollen sie die Ehrenplätze haben;
2817070065	auf den Straßen soll man sie voll Ehrfurcht grüßen, und sie lassen sich den Namen 'Meister' geben.
2817080063	Ihr aber sollt euch nicht so nennen lassen; denn Einer ist euer Meister, und ihr seid alle Brüder.
2817090066	Ihr sollt auch niemand auf Erden euern 'Vater' nennen; denn Einer ist euer Vater: der Vater im Himmel.
28170a005a	Auch sollt ihr euch nicht 'Lehrer' nennen lassen; denn Einer ist euer Lehrer: der Messias.
28170b0032	Der Größte unter euch soll allen anderen dienen.
28170c006d	Wer sich selbst erhöht, der soll erniedrigt werden; und wer sich selbst erniedrigt, der soll erhöht werden.
28170d00c7	Weh euch, ihr Schriftgelehrten und Pharisäer, ihr Heuchler! Ihr schließt die Tür des Himmelreiches vor den Leuten zu. Ihr selbst geht nicht hinein und laßt auch die nicht ein, die es gern wollen.
28170f00e8	Weh euch, ihr Schriftgelehrten und Pharisäer, ihr Heuchler! Ihr zieht über Land und Meer, um einen einzigen Jünger zu gewinnen. Und ist euch das gelungen, so macht ihr ihn zu einem Kind der Hölle, das zweimal ärger ist als ihr!
2817100098	Weh euch, ihr blinden Führer! Ihr sagt: Wer bei dem Tempel schwört, des Eid gilt nichts. Wer aber bei dem Gold des Tempels schwört, der ist gebunden.
2817110072	Ihr Toren und ihr Blinden! Was steht denn höher: das Gold oder der Tempel, der doch dem Gold erst die Weihe gibt?
2817120090	Wer bei dem Altar schwört — so sagt ihr ferner —, des Eid gilt nichts. Wer aber bei der Opfergabe auf dem Altar schwört, der ist gebunden.
281713006d	Ihr Blinden! Was steht denn höher: die Opfergabe oder der Altar, der doch der Opfergabe erst die Weihe gibt?
2817140050	Wer also bei dem Altar schwört, der schwört bei ihm und allem, was darauf ist.
281715004f	Und wer beim Tempel schwört, der schwört bei ihm und dem, der darinnen wohnt.
2817160056	Und wer beim Himmel schwört, der schwört bei Gottes Thron und dem, der darauf sitzt.
281717011c	Weh euch, ihr Schriftgelehrten und Pharisäer, ihr Heuchler! Von Minze, Dill und Kümmel gebt ihr Zehnten, was aber im Gesetz viel höher steht: Gerechtigkeit, Barmherzigkeit und Treue — das laßt ihr außer acht. Dies solltet ihr vor allem üben, doch jenes auch nicht unterlassen.
281718004f	Ihr blinden Führer, die Mücke schafft ihr weg, und das Kamel verschluckt ihr!
28171900a3	Weh euch, ihr Schriftgelehrten und Pharisäer, ihr Heuchler! Die Becher und die Schüsseln haltet ihr von außen rein, inwendig aber sind sie voller Raub und Gier!
28171a0066	Du blinder Pharisäer, erst reinige den Becher drinnen, dann ist sein Äußeres schon von selber rein!
28171b005d	Weh euch, ihr Schriftgelehrten und Pharisäer, ihr Heuchler! Ihr gleicht getünchten Gräbern
28171c0067	So seht auch ihr von außen gerecht und ehrbar aus, inwendig aber seid ihr voller Heuchelei und Frevel.
28171d0091	Weh euch, ihr Schriftgelehrten und Pharisäer, ihr Heuchler! Ihr pflegt die Gräber der Propheten und schmückt die Grabdenkmäler der Gerechten,
28171e007b	und dabei rühmt ihr euch: 'Wenn wir unserer Väter Zeit gelebt, wir hätten nicht mit ihnen der Propheten Blut vergossen.'
28171f004d	Damit bezeugt ihr aber selbst, daß ihr die Söhne der Prophetenmörder seid!
2817200039	So macht denn ihr das Maß der Sünden eurer Väter voll!
2817210057	Ihr Schlangen und ihr Natternbrut, wie wollt ihr nur der Hölle Strafgericht entrinnen?
28172200a8	Darum seht: ich sende euch Propheten, Weise, Schriftgelehrte. Die einen werdet ihr in euern Versammlungshäusern geißeln und sie verfolgen von einer Stadt zur anderen.
28172300cf	So wird sich an euch rächen all das unschuldige Blut, das da vergossen ist auf Erden: Vom Blut des gerechten Abel an bis auf Sacharjas Blut, des Sohnes Berechjas, den ihr gemordet zwischen Tempel und Altar.
