2800000008	mathiḥ
2a05060040	atha jāle kṣipte bahumatsyapatanād ānāyaḥ pracchinnaḥ|
2a0507009d	tasmād upakarttum anyanausthān saṅgina āyātum iṅgitena samāhvayan tatasta āgatya matsyai rnaudvayaṁ prapūrayāmāsu ryai rnaudvayaṁ pramagnam|
2a05080089	tadā śimonpitarastad vilokya yīśoścaraṇayoḥ patitvā, he prabhohaṁ pāpī naro mama nikaṭād bhavān yātu, iti kathitavān|
2a050900b6	yato jāle patitānāṁ matsyānāṁ yūthāt śimon tatsaṅginaśca camatkṛtavantaḥ; śimonaḥ sahakāriṇau sivadeḥ putrau yākūb yohan cemau tādṛśau babhūvatuḥ|
2a050a0060	tadā yīśuḥ śimonaṁ jagāda mā bhaiṣīradyārabhya tvaṁ manuṣyadharo bhaviṣyasi|
2a050b0067	anantaraṁ sarvvāsu nausu tīram ānītāsu te sarvvān parityajya tasya paścādgāmino babhūvuḥ|
2a050c00ea	tataḥ paraṁ yīśau kasmiṁścit pure tiṣṭhati jana ekaḥ sarvvāṅgakuṣṭhastaṁ vilokya tasya samīpe nyubjaḥ patitvā savinayaṁ vaktumārebhe, he prabho yadi bhavānicchati tarhi māṁ pariṣkarttuṁ śaknoti|
2a050d009b	tadānīṁ sa pāṇiṁ prasāryya tadaṅgaṁ spṛśan babhāṣe tvaṁ pariṣkriyasveti mamecchāsti tatastatkṣaṇaṁ sa kuṣṭhāt muktaḥ|
2a050e00d7	paścāt sa tamājñāpayāmāsa kathāmimāṁ kasmaicid akathayitvā yājakasya samīpañca gatvā svaṁ darśaya, lokebhyo nijapariṣkṛtatvasya pramāṇadānāya mūsājñānusāreṇa dravyamutmṛjasva ca|
2a050f007e	tathāpi yīśoḥ sukhyāti rbahu vyāptumārebhe kiñca tasya kathāṁ śrotuṁ svīyarogebhyo moktuñca lokā ājagmuḥ|
2a0510002f	atha sa prāntaraṁ gatvā prārthayāñcakre|
2a0511010c	aparañca ekadā yīśurupadiśati, etarhi gālīlyihūdāpradeśayoḥ sarvvanagarebhyo yirūśālamaśca kiyantaḥ phirūśilokā vyavasthāpakāśca samāgatya tadantike samupaviviśuḥ, tasmin kāle lokānāmārogyakāraṇāt prabhoḥ prabhāvaḥ pracakāśe|
2a0512008d	paścāt kiyanto lokā ekaṁ pakṣāghātinaṁ khaṭvāyāṁ nidhāya yīśoḥ samīpamānetuṁ sammukhe sthāpayituñca vyāpriyanta|
2a051300bc	kintu bahujananivahasamvādhāt na śaknuvanto gṛhopari gatvā gṛhapṛṣṭhaṁ khanitvā taṁ pakṣāghātinaṁ sakhaṭvaṁ gṛhamadhye yīśoḥ sammukhe 'varohayāmāsuḥ|
2a05140081	tadā yīśusteṣām īdṛśaṁ viśvāsaṁ vilokya taṁ pakṣāghātinaṁ vyājahāra, he mānava tava pāpamakṣamyata|
2a051500b0	tasmād adhyāpakāḥ phirūśinaśca cittairitthaṁ pracintitavantaḥ, eṣa jana īśvaraṁ nindati koyaṁ? kevalamīśvaraṁ vinā pāpaṁ kṣantuṁ kaḥ śaknoti?
2a05160068	tadā yīśusteṣām itthaṁ cintanaṁ viditvā tebhyokathayad yūyaṁ manobhiḥ kuto vitarkayatha?
2a05170057	tava pāpakṣamā jātā yadvā tvamutthāya vraja etayo rmadhye kā kathā sukathyā?
2a051800ee	kintu pṛthivyāṁ pāpaṁ kṣantuṁ mānavasutasya sāmarthyamastīti yathā yūyaṁ jñātuṁ śaknutha tadarthaṁ (sa taṁ pakṣāghātinaṁ jagāda) uttiṣṭha svaśayyāṁ gṛhītvā gṛhaṁ yāhīti tvāmādiśāmi|
2a0519008d	tasmāt sa tatkṣaṇam utthāya sarvveṣāṁ sākṣāt nijaśayanīyaṁ gṛhītvā īśvaraṁ dhanyaṁ vadan nijaniveśanaṁ yayau|
2a051a008f	tasmāt sarvve vismaya prāptā manaḥsu bhītāśca vayamadyāsambhavakāryyāṇyadarśāma ityuktvā parameśvaraṁ dhanyaṁ proditāḥ|
2a051b0087	tataḥ paraṁ bahirgacchan karasañcayasthāne levināmānaṁ karasañcāyakaṁ dṛṣṭvā yīśustamabhidadhe mama paścādehi|
2a051c0044	tasmāt sa tatkṣaṇāt sarvvaṁ parityajya tasya paścādiyāya|
2a051d008e	anantaraṁ levi rnijagṛhe tadarthaṁ mahābhojyaṁ cakāra, tadā taiḥ sahāneke karasañcāyinastadanyalokāśca bhoktumupaviviśuḥ|
2a051e00d1	tasmāt kāraṇāt caṇḍālānāṁ pāpilokānāñca saṅge yūyaṁ kuto bhaṁgdhve pivatha ceti kathāṁ kathayitvā phirūśino'dhyāpakāśca tasya śiṣyaiḥ saha vāgyuddhaṁ karttumārebhire|
2a051f0068	tasmād yīśustān pratyavocad arogalokānāṁ cikitsakena prayojanaṁ nāsti kintu sarogāṇāmeva|
2a05200058	ahaṁ dhārmmikān āhvātuṁ nāgatosmi kintu manaḥ parāvarttayituṁ pāpina eva|
2a05210094	tataste procuḥ, yohanaḥ phirūśināñca śiṣyā vāraṁvāram upavasanti prārthayante ca kintu tava śiṣyāḥ kuto bhuñjate pivanti ca?
2a05220065	tadā sa tānācakhyau vare saṅge tiṣṭhati varasya sakhigaṇaṁ kimupavāsayituṁ śaknutha?
2a0523004a	kintu yadā teṣāṁ nikaṭād varo neṣyate tadā te samupavatsyanti|
2a052400be	soparamapi dṛṣṭāntaṁ kathayāmbabhūva purātanavastre kopi nutanavastraṁ na sīvyati yatastena sevanena jīrṇavastraṁ chidyate, nūtanapurātanavastrayo rmelañca na bhavati|
2a052500be	purātanyāṁ kutvāṁ kopi nutanaṁ drākṣārasaṁ na nidadhāti, yato navīnadrākṣārasasya tejasā purātanī kutū rvidīryyate tato drākṣārasaḥ patati kutūśca naśyati|
2a05260065	tato heto rnūtanyāṁ kutvāṁ navīnadrākṣārasaḥ nidhātavyastenobhayasya rakṣā bhavati|
2a05270081	aparañca purātanaṁ drākṣārasaṁ pītvā kopi nūtanaṁ na vāñchati, yataḥ sa vakti nūtanāt purātanam praśastam|
2a060100bb	acarañca parvvaṇo dvitīyadināt paraṁ prathamaviśrāmavāre śasyakṣetreṇa yīśorgamanakāle tasya śiṣyāḥ kaṇiśaṁ chittvā kareṣu marddayitvā khāditumārebhire|
2a06020068	tasmāt kiyantaḥ phirūśinastānavadan viśrāmavāre yat karmma na karttavyaṁ tat kutaḥ kurutha?
2a0603007d	yīśuḥ pratyuvāca dāyūd tasya saṅginaśca kṣudhārttāḥ kiṁ cakruḥ sa katham īśvarasya mandiraṁ praviśya
2a060400a3	ye darśanīyāḥ pūpā yājakān vinānyasya kasyāpyabhojanīyāstānānīya svayaṁ bubhaje saṅgibhyopi dadau tat kiṁ yuṣmābhiḥ kadāpi nāpāṭhi?
2a06050047	paścāt sa tānavadat manujasuto viśrāmavārasyāpi prabhu rbhavati|
2a0606008d	anantaram anyaviśrāmavāre sa bhajanagehaṁ praviśya samupadiśati| tadā tatsthāne śuṣkadakṣiṇakara ekaḥ pumān upatasthivān|
2a0607008e	tasmād adhyāpakāḥ phirūśinaśca tasmin doṣamāropayituṁ sa viśrāmavāre tasya svāsthyaṁ karoti naveti pratīkṣitumārebhire|
2a0608007f	tadā yīśusteṣāṁ cintāṁ viditvā taṁ śuṣkakaraṁ pumāṁsaṁ provāca, tvamutthāya madhyasthāne tiṣṭha|
2a060900d5	tasmāt tasmin utthitavati yīśustān vyājahāra, yuṣmān imāṁ kathāṁ pṛcchāmi, viśrāmavāre hitam ahitaṁ vā, prāṇarakṣaṇaṁ prāṇanāśanaṁ vā, eteṣāṁ kiṁ karmmakaraṇīyam?
2a060a009e	paścāt caturdikṣu sarvvān vilokya taṁ mānavaṁ babhāṣe, nijakaraṁ prasāraya; tatastena tathā kṛta itarakaravat tasya hastaḥ svasthobhavat|
2a060b0060	tasmāt te pracaṇḍakopānvitā yīśuṁ kiṁ kariṣyantīti parasparaṁ pramantritāḥ|
2a060c0069	tataḥ paraṁ sa parvvatamāruhyeśvaramuddiśya prārthayamānaḥ kṛtsnāṁ rātriṁ yāpitavān|
2a060d0043	atha dine sati sa sarvvān śiṣyān āhūtavān teṣāṁ madhye
2a060e0064	pitaranāmnā khyātaḥ śimon tasya bhrātā āndriyaśca yākūb yohan ca philip barthalamayaśca
2a060f004c	mathiḥ thomā ālphīyasya putro yākūb jvalantanāmnā khyātaḥ śimon
2a061000d0	ca yākūbo bhrātā yihūdāśca taṁ yaḥ parakareṣu samarpayiṣyati sa īṣkarīyotīyayihūdāścaitān dvādaśa janān manonītān kṛtvā sa jagrāha tathā prerita iti teṣāṁ nāma cakāra|
2a06110109	tataḥ paraṁ sa taiḥ saha parvvatādavaruhya upatyakāyāṁ tasthau tatastasya śiṣyasaṅgho yihūdādeśād yirūśālamaśca soraḥ sīdonaśca jaladhe rodhaso jananihāśca etya tasya kathāśravaṇārthaṁ rogamuktyarthañca tasya samīpe tasthuḥ|
2a06120044	amedhyabhūtagrastāśca tannikaṭamāgatya svāsthyaṁ prāpuḥ|
2a0613006c	sarvveṣāṁ svāsthyakaraṇaprabhāvasya prakāśitatvāt sarvve lokā etya taṁ spraṣṭuṁ yetire|
2a06140080	paścāt sa śiṣyān prati dṛṣṭiṁ kutvā jagāda, he daridrā yūyaṁ dhanyā yata īśvarīye rājye vo'dhikārosti|
2a06150086	he adhunā kṣudhitalokā yūyaṁ dhanyā yato yūyaṁ tarpsyatha; he iha rodino janā yūyaṁ dhanyā yato yūyaṁ hasiṣyatha|
2a061600b6	yadā lokā manuṣyasūno rnāmaheto ryuṣmān ṛtīyiṣyante pṛthak kṛtvā nindiṣyanti, adhamāniva yuṣmān svasamīpād dūrīkariṣyanti ca tadā yūyaṁ dhanyāḥ|
2a061700c9	svarge yuṣmākaṁ yatheṣṭaṁ phalaṁ bhaviṣyati, etadarthaṁ tasmin dine prollasata ānandena nṛtyata ca, teṣāṁ pūrvvapuruṣāśca bhaviṣyadvādinaḥ prati tathaiva vyavāharan|
2a0618006c	kintu hā hā dhanavanto yūyaṁ sukhaṁ prāpnuta| hanta paritṛptā yūyaṁ kṣudhitā bhaviṣyatha;
2a06190045	iha hasanto yūyaṁ vata yuṣmābhiḥ śocitavyaṁ roditavyañca|
2a061a00b4	sarvvailākai ryuṣmākaṁ sukhyātau kṛtāyāṁ yuṣmākaṁ durgati rbhaviṣyati yuṣmākaṁ pūrvvapuruṣā mṛṣābhaviṣyadvādinaḥ prati tadvat kṛtavantaḥ|
2a061b0084	he śrotāro yuṣmabhyamahaṁ kathayāmi, yūyaṁ śatruṣu prīyadhvaṁ ye ca yuṣmān dviṣanti teṣāmapi hitaṁ kuruta|
2a061c0079	ye ca yuṣmān śapanti tebhya āśiṣaṁ datta ye ca yuṣmān avamanyante teṣāṁ maṅgalaṁ prārthayadhvaṁ|
2a061d00de	yadi kaścit tava kapole capeṭāghātaṁ karoti tarhi taṁ prati kapolam anyaṁ parāvarttya sammukhīkuru punaśca yadi kaścit tava gātrīyavastraṁ harati tarhi taṁ paridheyavastram api grahītuṁ mā vāraya|
2a061e0052	yastvāṁ yācate tasmai dehi, yaśca tava sampattiṁ harati taṁ mā yācasva|
2a061f0059	parebhyaḥ svān prati yathācaraṇam apekṣadhve parān prati yūyamapi tathācarata|
2a06200092	ye janā yuṣmāsu prīyante kevalaṁ teṣu prīyamāṇeṣu yuṣmākaṁ kiṁ phalaṁ? pāpilokā api sveṣu prīyamāṇeṣu prīyante|
2a0621006b	yadi hitakāriṇa eva hitaṁ kurutha tarhi yuṣmākaṁ kiṁ phalaṁ? pāpilokā api tathā kurvvanti|
2a062200bc	yebhya ṛṇapariśodhasya prāptipratyāśāste kevalaṁ teṣu ṛṇe samarpite yuṣmākaṁ kiṁ phalaṁ? punaḥ prāptyāśayā pāpīlokā api pāpijaneṣu ṛṇam arpayanti|
2a0623013b	ato yūyaṁ ripuṣvapi prīyadhvaṁ, parahitaṁ kuruta ca; punaḥ prāptyāśāṁ tyaktvā ṛṇamarpayata, tathā kṛte yuṣmākaṁ mahāphalaṁ bhaviṣyati, yūyañca sarvvapradhānasya santānā iti khyātiṁ prāpsyatha, yato yuṣmākaṁ pitā kṛtaghnānāṁ durvṭattānāñca hitamācarati|
2a06240043	ata eva sa yathā dayālu ryūyamapi tādṛśā dayālavo bhavata|
2a062500ff	aparañca parān doṣiṇo mā kuruta tasmād yūyaṁ doṣīkṛtā na bhaviṣyatha; adaṇḍyān mā daṇḍayata tasmād yūyamapi daṇḍaṁ na prāpsyatha; pareṣāṁ doṣān kṣamadhvaṁ tasmād yuṣmākamapi doṣāḥ kṣamiṣyante|
2a06260110	dānānidatta tasmād yūyaṁ dānāni prāpsyatha, varañca lokāḥ parimāṇapātraṁ pradalayya sañcālya proñcālya paripūryya yuṣmākaṁ kroḍeṣu samarpayiṣyanti; yūyaṁ yena parimāṇena parimātha tenaiva parimāṇena yuṣmatkṛte parimāsyate|
2a062700a0	atha sa tebhyo dṛṣṭāntakathāmakathayat, andho janaḥ kimandhaṁ panthānaṁ darśayituṁ śaknoti? tasmād ubhāvapi kiṁ gartte na patiṣyataḥ?
2a06280060	guroḥ śiṣyo na śreṣṭhaḥ kintu śiṣye siddhe sati sa gurutulyo bhavituṁ śaknoti|
2a0629007a	aparañca tvaṁ svacakṣuṣi nāsām adṛṣṭvā tava bhrātuścakṣuṣi yattṛṇamasti tadeva kutaḥ paśyami?
2a062a012a	svacakṣuṣi yā nāsā vidyate tām ajñātvā, bhrātastava netrāt tṛṇaṁ bahiḥ karomīti vākyaṁ bhrātaraṁ kathaṁ vaktuṁ śaknoṣi? he kapaṭin pūrvvaṁ svanayanāt nāsāṁ bahiḥ kuru tato bhrātuścakṣuṣastṛṇaṁ bahiḥ karttuṁ sudṛṣṭiṁ prāpsyasi|
2a062b0095	anyañca uttamastaruḥ kadāpi phalamanuttamaṁ na phalati, anuttamataruśca phalamuttamaṁ na phalati kāraṇādataḥ phalaistaravo jñāyante|
2a062c0083	kaṇṭakipādapāt kopi uḍumbaraphalāni na pātayati tathā śṛgālakolivṛkṣādapi kopi drākṣāphalaṁ na pātayati|
2a062d011c	tadvat sādhuloko'ntaḥkaraṇarūpāt subhāṇḍāgārād uttamāni dravyāṇi bahiḥ karoti, duṣṭo lokaścāntaḥkaraṇarūpāt kubhāṇḍāgārāt kutsitāni dravyāṇi nirgamayati yato'ntaḥkaraṇānāṁ pūrṇabhāvānurūpāṇi vacāṁsi mukhānnirgacchanti|
2a062e0051	aparañca mamājñānurūpaṁ nācaritvā kuto māṁ prabho prabho iti vadatha?
2a062f0093	yaḥ kaścin mama nikaṭam āgatya mama kathā niśamya tadanurūpaṁ karmma karoti sa kasya sadṛśo bhavati tadahaṁ yuṣmān jñāpayāmi|
2a06300105	yo jano gabhīraṁ khanitvā pāṣāṇasthale bhittiṁ nirmmāya svagṛhaṁ racayati tena saha tasyopamā bhavati; yata āplāvijalametya tasya mūle vegena vahadapi tadgehaṁ lāḍayituṁ na śaknoti yatastasya bhittiḥ pāṣāṇopari tiṣṭhati|
2a063100ec	kintu yaḥ kaścin mama kathāḥ śrutvā tadanurūpaṁ nācarati sa bhittiṁ vinā mṛdupari gṛhanirmmātrā samāno bhavati; yata āplāvijalamāgatya vegena yadā vahati tadā tadgṛhaṁ patati tasya mahat patanaṁ jāyate|
2a07010074	tataḥ paraṁ sa lokānāṁ karṇagocare tān sarvvān upadeśān samāpya yadā kapharnāhūmpuraṁ praviśati
2a07020047	tadā śatasenāpateḥ priyadāsa eko mṛtakalpaḥ pīḍita āsīt|
2a070300a1	ataḥ senāpati ryīśo rvārttāṁ niśamya dāsasyārogyakaraṇāya tasyāgamanārthaṁ vinayakaraṇāya yihūdīyān kiyataḥ prācaḥ preṣayāmāsa|
2a0704006e	te yīśorantikaṁ gatvā vinayātiśayaṁ vaktumārebhire, sa senāpati rbhavatonugrahaṁ prāptum arhati|
2a0705005a	yataḥ sosmajjātīyeṣu lokeṣu prīyate tathāsmatkṛte bhajanagehaṁ nirmmitavān|
2a0706010b	tasmād yīśustaiḥ saha gatvā niveśanasya samīpaṁ prāpa, tadā sa śatasenāpati rvakṣyamāṇavākyaṁ taṁ vaktuṁ bandhūn prāhiṇot| he prabho svayaṁ śramo na karttavyo yad bhavatā madgehamadhye pādārpaṇaṁ kriyeta tadapyahaṁ nārhāmi,
2a07070099	kiñcāhaṁ bhavatsamīpaṁ yātumapi nātmānaṁ yogyaṁ buddhavān, tato bhavān vākyamātraṁ vadatu tenaiva mama dāsaḥ svastho bhaviṣyati|
2a070800e8	yasmād ahaṁ parādhīnopi mamādhīnā yāḥ senāḥ santi tāsām ekajanaṁ prati yāhīti mayā prokte sa yāti; tadanyaṁ prati āyāhīti prokte sa āyāti; tathā nijadāsaṁ prati etat kurvviti prokte sa tadeva karoti|
2a070900c9	yīśuridaṁ vākyaṁ śrutvā vismayaṁ yayau, mukhaṁ parāvartya paścādvarttino lokān babhāṣe ca, yuṣmānahaṁ vadāmi isrāyelo vaṁśamadhyepi viśvāsamīdṛśaṁ na prāpnavaṁ|
2a070a0058	tataste preṣitā gṛhaṁ gatvā taṁ pīḍitaṁ dāsaṁ svasthaṁ dadṛśuḥ|
2a070b006c	pare'hani sa nāyīnākhyaṁ nagaraṁ jagāma tasyāneke śiṣyā anye ca lokāstena sārddhaṁ yayuḥ|
2a070c00d5	teṣu tannagarasya dvārasannidhiṁ prāpteṣu kiyanto lokā ekaṁ mṛtamanujaṁ vahanto nagarasya bahiryānti, sa tanmāturekaputrastanmātā ca vidhavā; tayā sārddhaṁ tannagarīyā bahavo lokā āsan|
2a070d0090	prabhustāṁ vilokya sānukampaḥ kathayāmāsa, mā rodīḥ| sa samīpamitvā khaṭvāṁ pasparśa tasmād vāhakāḥ sthagitāstamyuḥ;
2a070e004c	tadā sa uvāca he yuvamanuṣya tvamuttiṣṭha, tvāmaham ājñāpayāmi|
2a070f0076	tasmāt sa mṛto janastatkṣaṇamutthāya kathāṁ prakathitaḥ; tato yīśustasya mātari taṁ samarpayāmāsa|
2a071000ba	tasmāt sarvve lokāḥ śaśaṅkire; eko mahābhaviṣyadvādī madhye'smākam samudait, īśvaraśca svalokānanvagṛhlāt kathāmimāṁ kathayitvā īśvaraṁ dhanyaṁ jagaduḥ|
2a07110064	tataḥ paraṁ samastaṁ yihūdādeśaṁ tasya caturdiksthadeśañca tasyaitatkīrtti rvyānaśe|
2a0712004d	tataḥ paraṁ yohanaḥ śiṣyeṣu taṁ tadvṛttāntaṁ jñāpitavatsu
2a071300e3	sa svaśiṣyāṇāṁ dvau janāvāhūya yīśuṁ prati vakṣyamāṇaṁ vākyaṁ vaktuṁ preṣayāmāsa, yasyāgamanam apekṣya tiṣṭhāmo vayaṁ kiṁ sa eva janastvaṁ? kiṁ vayamanyamapekṣya sthāsyāmaḥ?
2a071400ed	paścāttau mānavau gatvā kathayāmāsatuḥ, yasyāgamanam apekṣya tiṣṭhāmo vayaṁ, kiṁ saeva janastvaṁ? kiṁ vayamanyamapekṣya sthāsyāmaḥ? kathāmimāṁ tubhyaṁ kathayituṁ yohan majjaka āvāṁ preṣitavān|
2a0715009e	tasmin daṇḍe yīśūrogiṇo mahāvyādhimato duṣṭabhūtagrastāṁśca bahūn svasthān kṛtvā, anekāndhebhyaścakṣuṁṣi dattvā pratyuvāca,
2a0716011f	yuvāṁ vrajatam andhā netrāṇi khañjāścaraṇāni ca prāpnuvanti, kuṣṭhinaḥ pariṣkriyante, badhirāḥ śravaṇāni mṛtāśca jīvanāni prāpnuvanti, daridrāṇāṁ samīpeṣu susaṁvādaḥ pracāryyate, yaṁ prati vighnasvarūpohaṁ na bhavāmi sa dhanyaḥ,
2a07170048	etāni yāni paśyathaḥ śṛṇuthaśca tāni yohanaṁ jñāpayatam|
2a071800a2	tayo rdūtayo rgatayoḥ sato ryohani sa lokān vaktumupacakrame, yūyaṁ madhyeprāntaraṁ kiṁ draṣṭuṁ niragamata? kiṁ vāyunā kampitaṁ naḍaṁ?
2a071900d5	yūyaṁ kiṁ draṣṭuṁ niragamata? kiṁ sūkṣmavastraparidhāyinaṁ kamapi naraṁ? kintu ye sūkṣmamṛduvastrāṇi paridadhati sūttamāni dravyāṇi bhuñjate ca te rājadhānīṣu tiṣṭhanti|
2a071a00ae	tarhi yūyaṁ kiṁ draṣṭuṁ niragamata? kimekaṁ bhaviṣyadvādinaṁ? tadeva satyaṁ kintu sa pumān bhaviṣyadvādinopi śreṣṭha ityahaṁ yuṣmān vadāmi;
2a071b008e	paśya svakīyadūtantu tavāgra preṣayāmyahaṁ| gatvā tvadīyamārgantu sa hi pariṣkariṣyati| yadarthe lipiriyam āste sa eva yohan|
2a071c00da	ato yuṣmānahaṁ vadāmi striyā garbbhajātānāṁ bhaviṣyadvādināṁ madhye yohano majjakāt śreṣṭhaḥ kopi nāsti, tatrāpi īśvarasya rājye yaḥ sarvvasmāt kṣudraḥ sa yohanopi śreṣṭhaḥ|
2a071d0089	aparañca sarvve lokāḥ karamañcāyinaśca tasya vākyāni śrutvā yohanā majjanena majjitāḥ parameśvaraṁ nirdoṣaṁ menire|
2a071e006f	kintu phirūśino vyavasthāpakāśca tena na majjitāḥ svān pratīśvarasyopadeśaṁ niṣphalam akurvvan|
2a071f0055	atha prabhuḥ kathayāmāsa, idānīntanajanān kenopamāmi? te kasya sadṛśāḥ?
2a0720011d	ye bālakā vipaṇyām upaviśya parasparam āhūya vākyamidaṁ vadanti, vayaṁ yuṣmākaṁ nikaṭe vaṁśīravādiṣma, kintu yūyaṁ nānarttiṣṭa, vayaṁ yuṣmākaṁ nikaṭa arodiṣma, kintu yuyaṁ na vyalapiṣṭa, bālakairetādṛśaisteṣām upamā bhavati|
2a07210075	yato yohan majjaka āgatya pūpaṁ nākhādat drākṣārasañca nāpivat tasmād yūyaṁ vadatha, bhūtagrastoyam|
2a0722009a	tataḥ paraṁ mānavasuta āgatyākhādadapivañca tasmād yūyaṁ vadatha, khādakaḥ surāpaścāṇḍālapāpināṁ bandhureko jano dṛśyatām|
2a07230030	kintu jñānino jñānaṁ nirdoṣaṁ viduḥ|
2a07240075	paścādekaḥ phirūśī yīśuṁ bhojanāya nyamantrayat tataḥ sa tasya gṛhaṁ gatvā bhoktumupaviṣṭaḥ|
2a072500ab	etarhi tatphirūśino gṛhe yīśu rbhektum upāvekṣīt tacchrutvā tannagaravāsinī kāpi duṣṭā nārī pāṇḍaraprastarasya sampuṭake sugandhitailam ānīya
2a072600b4	tasya paścāt pādayoḥ sannidhau tasyau rudatī ca netrāmbubhistasya caraṇau prakṣālya nijakacairamārkṣīt, tatastasya caraṇau cumbitvā tena sugandhitailena mamarda|
2a072700c7	tasmāt sa nimantrayitā phirūśī manasā cintayāmāsa, yadyayaṁ bhaviṣyadvādī bhavet tarhi enaṁ spṛśati yā strī sā kā kīdṛśī ceti jñātuṁ śaknuyāt yataḥ sā duṣṭā|
2a0728007a	tadā yāśustaṁ jagāda, he śimon tvāṁ prati mama kiñcid vaktavyamasti; tasmāt sa babhāṣe, he guro tad vadatu|
2a0729008a	ekottamarṇasya dvāvadhamarṇāvāstāṁ, tayorekaḥ pañcaśatāni mudrāpādān aparaśca pañcāśat mudrāpādān dhārayāmāsa|
2a072a008c	tadanantaraṁ tayoḥ śodhyābhāvāt sa uttamarṇastayo rṛṇe cakṣame; tasmāt tayordvayoḥ kastasmin preṣyate bahu? tad brūhi|
2a072b008f	śimon pratyuvāca, mayā budhyate yasyādhikam ṛṇaṁ cakṣame sa iti; tato yīśustaṁ vyājahāra, tvaṁ yathārthaṁ vyacārayaḥ|
2a072c00eb	atha tāṁ nārīṁ prati vyāghuṭhya śimonamavocat, strīmimāṁ paśyasi? tava gṛhe mayyāgate tvaṁ pādaprakṣālanārthaṁ jalaṁ nādāḥ kintu yoṣideṣā nayanajalai rmama pādau prakṣālya keśairamārkṣīt|
2a072d006f	tvaṁ māṁ nācumbīḥ kintu yoṣideṣā svīyāgamanādārabhya madīyapādau cumbituṁ na vyaraṁsta|
2a072e0078	tvañca madīyottamāṅge kiñcidapi tailaṁ nāmardīḥ kintu yoṣideṣā mama caraṇau sugandhitailenāmarddīt|
2a072f0080	atastvāṁ vyāharāmi, etasyā bahu pāpamakṣamyata tato bahu prīyate kintu yasyālpapāpaṁ kṣamyate solpaṁ prīyate|
2a07300044	tataḥ paraṁ sa tāṁ babhāṣe, tvadīyaṁ pāpamakṣamyata|
2a07310074	tadā tena sārddhaṁ ye bhoktum upaviviśuste parasparaṁ vaktumārebhire, ayaṁ pāpaṁ kṣamate ka eṣaḥ?
2a07320061	kintu sa tāṁ nārīṁ jagāda, tava viśvāsastvāṁ paryyatrāsta tvaṁ kṣemeṇa vraja|
2a080100a8	aparañca yīśu rdvādaśabhiḥ śiṣyaiḥ sārddhaṁ nānānagareṣu nānāgrāmeṣu ca gacchan iśvarīyarājatvasya susaṁvādaṁ pracārayituṁ prārebhe|
2a08020094	tadā yasyāḥ sapta bhūtā niragacchan sā magdalīnīti vikhyātā mariyam herodrājasya gṛhādhipateḥ hoṣe rbhāryyā yohanā śūśānā
2a080300a0	prabhṛtayo yā bahvyaḥ striyaḥ duṣṭabhūtebhyo rogebhyaśca muktāḥ satyo nijavibhūtī rvyayitvā tamasevanta, tāḥ sarvvāstena sārddham āsan|
2a080400bb	anantaraṁ nānānagarebhyo bahavo lokā āgatya tasya samīpe'milan, tadā sa tebhya ekāṁ dṛṣṭāntakathāṁ kathayāmāsa| ekaḥ kṛṣībalo bījāni vaptuṁ bahirjagāma,
2a0805007b	tato vapanakāle katipayāni bījāni mārgapārśve petuḥ, tatastāni padatalai rdalitāni pakṣibhi rbhakṣitāni ca|
2a08060072	katipayāni bījāni pāṣāṇasthale patitāni yadyapi tānyaṅkuritāni tathāpi rasābhāvāt śuśuṣuḥ|
2a08070070	katipayāni bījāni kaṇṭakivanamadhye patitāni tataḥ kaṇṭakivanāni saṁvṛddhya tāni jagrasuḥ|
2a080800d7	tadanyāni katipayabījāni ca bhūmyāmuttamāyāṁ petustatastānyaṅkurayitvā śataguṇāni phalāni pheluḥ| sa imā kathāṁ kathayitvā proccaiḥ provāca, yasya śrotuṁ śrotre staḥ sa śṛṇotu|
2a08090056	tataḥ paraṁ śiṣyāstaṁ papracchurasya dṛṣṭāntasya kiṁ tātparyyaṁ?
2a080a00fe	tataḥ sa vyājahāra, īśvarīyarājyasya guhyāni jñātuṁ yuṣmabhyamadhikāro dīyate kintvanye yathā dṛṣṭvāpi na paśyanti śrutvāpi ma budhyante ca tadarthaṁ teṣāṁ purastāt tāḥ sarvvāḥ kathā dṛṣṭāntena kathyante|
2a080b0046	dṛṣṭāntasyāsyābhiprāyaḥ, īśvarīyakathā bījasvarūpā|
2a080c00ce	ye kathāmātraṁ śṛṇvanti kintu paścād viśvasya yathā paritrāṇaṁ na prāpnuvanti tadāśayena śaitānetya hṛdayātṛ tāṁ kathām apaharati ta eva mārgapārśvasthabhūmisvarūpāḥ|
2a080d00a4	ye kathaṁ śrutvā sānandaṁ gṛhlanti kintvabaddhamūlatvāt svalpakālamātraṁ pratītya parīkṣākāle bhraśyanti taeva pāṣāṇabhūmisvarūpāḥ|
2a080e009d	ye kathāṁ śrutvā yānti viṣayacintāyāṁ dhanalobhena ehikasukhe ca majjanta upayuktaphalāni na phalanti ta evoptabījakaṇṭakibhūsvarūpāḥ|
2a080f009b	kintu ye śrutvā saralaiḥ śuddhaiścāntaḥkaraṇaiḥ kathāṁ gṛhlanti dhairyyam avalambya phalānyutpādayanti ca ta evottamamṛtsvarūpāḥ|
2a081000b6	aparañca pradīpaṁ prajvālya kopi pātreṇa nācchādayati tathā khaṭvādhopi na sthāpayati, kintu dīpādhāroparyyeva sthāpayati, tasmāt praveśakā dīptiṁ paśyanti|
