2800000008	Mateusza
2a08360048	Wtedy Jezus wziął ją za rękę i powiedział: —Dziewczynko, wstań!
2a08370067	W tej samej chwili powróciło do niej życie i wstała. —Dajcie jej coś do jedzenia!—powiedział.
2a08380044	Rodzice oniemieli, a Jezus zabronił im opowiadać o tym wydarzeniu.
2a0901006a	Pewnego dnia Jezus zebrał Dwunastu i udzielił im mocy wypędzania demonów i leczenia wszelkich chorób.
2a09020054	Potem posłał ich, aby głosili nadejście królestwa Bożego i uzdrawiali chorych.
2a0903008f	—Niczego ze sobą nie bierzcie—mówił im—ani laski podróżnej, ani torby, ani żywności, ani pieniędzy, ani nawet ubrania na zmianę.
2a09040075	Gdy zatrzymacie się w jakimś miejscu, nie przenoście się z domu do domu, lecz cały czas mieszkajcie w tym samym.
2a09050094	A jeśli was nie przyjmą, odchodząc strząśnijcie kurz ze swoich stóp. Będzie to oznaczało, że pozostawiacie tych ludzi ich własnemu losowi.
2a09060050	Poszli więc i odwiedzali wsie, głosząc dobrą nowinę i uzdrawiając chorych.
2a090700ac	Tymczasem wieści o cudach dokonywanych przez Jezusa dotarły do Heroda Antypasa. Niepokoił się nimi, ponieważ niektórzy mówili, że to Jan Chrzciciel zmartwychwstał.
2a09080083	Inni uważali Jezusa za Eliasza, dawnego proroka. A byli też tacy, którzy twierdzili, że to jakiś inny zmartwychwstały prorok.
2a090900aa	—Przecież Jan został ścięty na mój rozkaz!—mówił Herod. —Kim więc jest człowiek, o którym słyszę te dziwne wieści? Dlatego bardzo chciał Go zobaczyć.
2a090a00a9	Gdy apostołowie powrócili, opowiedzieli Jezusowi o wszystkim, czego dokonali. Wtedy On postanowił zabrać ich do Betsaidy w poszukiwaniu jakiegoś ustronnego miejsca.
2a090b00bb	Tłumy zorientowały się jednak, dokąd poszli, i podążyły za nimi. Jezus życzliwie przyjął tych, którzy przyszli i nauczał ich o królestwie Bożym oraz uzdrawiał cierpiących.
2a090c00d4	Pod wieczór uczniowie zwrócili się do Niego: —Każ ludziom rozejść się do pobliskich wiosek i osad. Niech sobie kupią coś do jedzenia i poszukają miejsc na nocleg, bo na tym pustkowiu, nic nie znajdą.
2a090d00b9	—Wy dajcie im jeść—rzekł Jezus. —Ale co?!—wykrzyknęli. —Nic nie mamy! Tylko pięć chlebów i dwie ryby! Chyba nie chcesz, żebyśmy im wszystkim kupili coś do jedzenia?!
2a090e00a0	Samych mężczyzn było tam bowiem około pięciu tysięcy. Wtedy Jezus polecił uczniom: —Powiedzcie ludziom, aby usiedli w grupach po pięćdziesiąt osób.
2a090f002a	A gdy uczniowie podzielili tłum na grupy,
2a091000a4	Jezus wziął pięć chlebów i dwie ryby, popatrzył w niebo, podziękował za nie Bogu i połamał chleb na kawałki. Następnie podał go uczniom, a oni ludziom.
2a09110056	W ten sposób wszyscy najedli się do syta i zebrano jeszcze dwanaście koszy resztek.
2a0912008a	Pewnego dnia, gdy Jezus samotnie się modlił, w pobliżu byli tylko Jego uczniowie. Wtedy zapytał ich: —Za kogo ludzie Mnie uważają?
2a09130092	—Jedni sądzą, że jesteś Janem Chrzcicielem—odrzekli—drudzy, że Eliaszem lub jakimś innym dawnym prorokiem, który powstał z martwych.
2a09140068	—A wy? Za kogo Mnie uważacie?—zapytał ich wprost. —Jesteś Bożym Mesjaszem—powiedział Piotr.
2a09150033	—Nikomu o tym nie mówcie!—przykazał im Jezus.
2a091600b9	—Czekają Mnie straszne cierpienia. Zostanę odrzucony przez starszych, najwyższych kapłanów i innych przywódców religijnych. Zabiją Mnie, ale po trzech dniach zmartwychwstanę!
2a091700b8	Potem, już w obecności tłumów, powiedział: —Jeśli ktoś z was chce Mnie naśladować, niech przestanie myśleć wyłącznie o sobie. Niech weźmie swój krzyż i idzie ze Mną.
2a0918006d	Jeśli ktoś chce wygrać życie, przegra je. Ale kto przegra życie ze względu na Mnie, naprawdę je wygra.
2a0919004e	Co z tego, że ktoś zdobędzie cały świat, jeśli po drodze zatraci życie?
2a091a00bc	Kto wstydzi się Mnie i mojej nauki, tego i Ja, Syn Człowieczy, będę się wstydzić, gdy powrócę tu ze świętymi aniołami w blasku swojej chwały oraz otoczony chwałą mojego Ojca.
2a091b0064	Wierzcie Mi! Niektórzy z obecnych tu, jeszcze za swojego życia ujrzą potęgę królestwa Bożego!
2a091c0072	Około ośmiu dni później Jezus zabrał ze sobą Piotra, Jakuba oraz Jana i wszedł na górę, aby się modlić.
2a091d0064	Podczas modlitwy Jego twarz zajaśniała blaskiem, a Jego płaszcz stał się olśniewająco biały.
2a091e005c	Potem zjawili się dwaj mężczyźni i zaczęli z Nim rozmawiać. Byli to Mojżesz i Eliasz.
2a091f006a	Stali tak w aureoli chwały i rozmawiali o Jego śmierci, która miała wkrótce nastąpić w Jerozolimie.
2a092000a8	Tymczasem Piotr i jego towarzysze zdrzemnęli się. Po przebudzeniu zobaczyli Jezusa promieniejącego jasnością i chwałą oraz dwóch stojących przy Nim mężczyzn.
2a092100e2	Gdy Mojżesz i Eliasz oddalili się od Jezusa, Piotr, nie wiedząc z wrażenia, co mówi, zaproponował: —Mistrzu, jak dobrze, że tu jesteśmy! Jeśli chcesz, zbuduję trzy szałasy: dla Ciebie, dla Mojżesza i dla Eliasza.
2a0922004d	Ale zanim skończył, otoczył ich jasny obłok, a uczniowie przerazili się.
2a0923004d	Z obłoku zaś rozległ się głos: —Oto mój Syn, Wybrany! Słuchajcie Go!
2a0924009f	Gdy głos umilkł, stwierdzili, że poza Jezusem nie ma już nikogo. Przejęci uczniowie milczeli i przez długi czas nikomu nie opowiadali o tym, co widzieli.
2a09250053	Następnego dnia, gdy zeszli z góry, wyszedł im na spotkanie ogromny tłum ludzi.
2a09260061	—Nauczycielu!—odezwał się ktoś z zebranych. —Zechciej spojrzeć na mojego jedynego syna!
2a092700ab	Często napada go zły duch, a wtedy chłopiec przeraźliwie krzyczy i rzuca się na ziemię z pianą na ustach. Rzadko kiedy duch ten daje mu spokój, ciągle go dręczy.
2a0928004b	Prosiłem Twoich uczniów, żeby wypędzili demona, lecz oni nie potrafili.
2a092900e8	—Czemu jesteście tak przewrotni i wciąż nie wierzycie?—zwrócił się do nich Jezus. —Jak długo jeszcze muszę być z wami, żebyście wreszcie uwierzyli? Jak długo mam was znosić? Przyprowadź tu syna!—dodał do ojca.
2a092a00c8	Gdy chłopiec się zbliżał, zły duch znowu rzucił go na ziemię i zaczął nim gwałtownie targać. Wtedy Jezus rozkazał duchowi, żeby opuścił chłopca, i natychmiast chory został uzdrowiony.
2a092b00ae	Wszystkich zaś ogarnęło ogromne zdumienie na widok takiego działania mocy Bożej. Gdy tłumy wciąż jeszcze były zachwycone tym cudem, Jezus zwrócił się do uczniów:
2a092c0055	—Słuchajcie uważnie: Ja, Syn Człowieczy, zostanę wkrótce wydany w ręce ludzi.
2a092d0073	Uczniowie jednak nie rozumieli tego, bo było to na razie przed nimi ukryte, a bali się prosić Go o wyjaśnienie.
2a092e0062	Pewnego razu uczniowie posprzeczali się między sobą o to, który z nich będzie najważniejszy.
2a092f0050	Wtedy Jezus, znając ich myśli, zawołał jakieś dziecko, postawił przy sobie
2a093000eb	i powiedział: —Każdy, kto ze względu na Mnie przyjmie takie małe dziecko, ten przyjmie Mnie. A kto Mnie przyjmie, przyjmie samego Ojca, który Mnie posłał. W oczach Boga wielkim jest ten, kto potrafi stać się najmniej ważny.
2a093100a6	Wtedy Jan powiedział: —Mistrzu, spotkaliśmy człowieka, który w Twoim imieniu wypędza demony, i zabroniliśmy mu działać. Nie należy bowiem do naszego grona.
2a0932006d	—Nie zabraniajcie mu!—odparł Jezus. —Każdy, kto nie jest wam przeciwny, jest waszym sprzymierzeńcem.
2a0933006f	Im bardziej zbliżał się czas odejścia Jezusa do nieba, tym bardziej kierował się On w stronę Jerozolimy.
2a0934006a	Któregoś dnia wysłał przed sobą uczniów, aby przygotowali Mu nocleg w pewnej samarytańskiej wiosce.
2a0935007a	Mieszkańcy odmówili Mu jednak gościny, ponieważ szedł w kierunku Jerozolimy, a oni nie darzyli tego miasta sympatią.
2a09360097	Gdy Jakub i Jan to usłyszeli, z oburzeniem zwrócili się do Jezusa: —Mistrzu! Czy chcesz, abyśmy sprowadzili ogień z nieba i spalili tę wioskę?
2a09370026	Lecz Jezus surowo ich za to upomniał.
2a09380028	Potem udali się do innej miejscowości.
2a09390058	Podczas drogi ktoś powiedział do Jezusa: —Pójdę z Tobą, dokądkolwiek się udasz!
2a093a0088	—Lisy mają nory, a ptaki gniazda—odrzekł mu Jezus—lecz ja, Syn Człowieczy, nie mam własnego kąta, gdzie mógłbym odpocząć.
2a093b009f	Innym razem Jezus sam zwrócił się do pewnego człowieka: —Chodź ze Mną! —Panie—odpowiedział—pozwól mi tylko pójść i pochować zmarłego ojca!
2a093c0070	—Niech umarli grzebią umarłych—odpowiedział Jezus. —Ty zaś zajmij się głoszeniem królestwa Bożego.
2a093d0077	Ktoś inny z wędrujących powiedział: —Panie, pójdę z Tobą, lecz pozwól mi najpierw pożegnać się z rodziną.
2a093e0095	—Nie można prosto orać, oglądając się ciągle do tyłu—odpowiedział Jezus. —Kto tak czyni, nie nadaje się do pracy w królestwie Bożym.
2a0a010076	Potem Pan wybrał siedemdziesięciu uczniów i wysłał ich po dwóch do miast i wiosek, które zamierzał odwiedzić.
2a0a020087	—Żniwo jest wielkie—mówił im—a tak mało pracujących! Proście więc gospodarza, aby posłał więcej pracowników na żniwa.
2a0a03002d	Idźcie! Posyłam was jak owce między wilki.
2a0a0400b5	Nie bierzcie ze sobą pieniędzy ani torby podróżnej, ani nawet zapasowego obuwia. Wędrując, nie traćcie ani chwili, nawet na tradycyjne przywitanie się z napotkanymi ludźmi.
2a0a050036	Gdy odwiedzicie jakiś dom, życzcie wszystkim pokoju.
2a0a06005c	Jeśli to pobożni ludzie, odpowiedzą wam tym samym. Jeśli nie—pokój pozostanie z wami.
2a0a0700b9	Nie zmieniajcie miejsca pobytu, ale pozostańcie w jednym domu aż do opuszczenia tej miejscowości. Jedzcie tam i pijcie bez skrępowania, gdyż jako robotnicy macie prawo do zapłaty.
2a0a080047	W jakimkolwiek mieście was przyjmą, korzystajcie z ich gościnności.
2a0a090042	Uzdrawiajcie chorych i mówcie: „Nadchodzi królestwo Boże!”.
2a0a0a004e	Lecz jeśli gdzieś nie zostaniecie przyjęci, stańcie na rynku i powiedzcie:
2a0a0b0083	„Nawet kurz waszego miasta strząsamy z naszych stóp. Wiedzcie, że odrzucacie królestwo Boże, które było tak blisko was”.
2a0a0c0064	Mówię wam, że w dniu sądu grzesznym mieszkańcom Sodomy i Gomory będzie lżej niż temu miastu.
2a0a0d00ec	Następnie Jezus dodał: —Marny wasz los, Korozain i Betsaido! Gdyby cuda, których u was dokonałem, wydarzyły się wśród grzesznych mieszkańców Tyru i Sydonu, już dawno by się opamiętali, siedząc w worze pokutnym i popiele.
2a0a0e0050	Wiedzcie, że w dniu sądu mieszkańcom Tyru i Sydonu będzie łatwiej niż wam!
2a0a0f0050	A ty, Kafarnaum? Chcesz być wywyższone aż do nieba? Upadniesz aż do piekła!
2a0a100098	Potem powiedział do uczniów: —Kto was słucha, Mnie słucha. A kto się od was odwraca, odrzuca także Mnie, a tym samym Ojca, który Mnie posłał.
2a0a110099	Po pewnym czasie powróciło siedemdziesięciu uczniów i z radością oznajmiło: —Panie, ze względu na Ciebie nawet złe duchy były nam posłuszne!
2a0a12005b	—Tak, widziałem szatana spadającego z nieba z szybkością błyskawicy!—rzekł Jezus.
2a0a130081	—Dałem wam władzę nad wszelką jego mocą, abyście mogli chodzić po wężach i skorpionach, nie doznając żadnej krzywdy.
2a0a140099	Nie fascynujcie się jednak tym, że złe duchy są wam posłuszne. Cieszcie się raczej z tego, że wasze imiona wpisane są do księgi obywateli nieba.
2a0a1500ee	Następnie, napełniony radością Ducha Świętego, Jezus powiedział: —Uwielbiam Cię, Ojcze, Panie nieba i ziemi! Ty ukryłeś swoją prawdę przed mędrcami i znawcami, a objawiłeś ją prostym ludziom. Tego właśnie pragnąłeś!
2a0a1600c1	—Ojciec powierzył Mi całą prawdę—wyjaśniał Jezus zebranym. —Nikt nie zna Mnie, Syna, tylko mój Ojciec. I nikt nie zna mojego Ojca, tylko Ja, Syn oraz ten, komu zechcę Go objawić.
2a0a170086	Jakiś czas później, gdy byli już sami, rzekł do uczniów: —Bóg was ogromnie wyróżnił, pozwalając wam to wszystko widzieć.
2a0a180067	W przeszłości wielu proroków i władców pragnęło zobaczyć i usłyszeć to, co wy, ale nie mogli.
2a0a190090	Pewien przywódca religijny przyszedł do Jezusa i zadał Mu podchwytliwe pytanie: —Nauczycielu, co mam czynić, aby otrzymać życie wieczne?
2a0a1a004d	—Co na ten temat mówi Prawo Mojżesza? Co w nim czytasz?—zapytał Jezus.
2a0a1b00b1	—„Kochaj twojego Pana i Boga całym sercem, całą duszą, z całych swoich sił oraz całym umysłem, a bliźnich kochaj tak, jak kochasz samego siebie!”—odpowiedział.
2a0a1c0058	—Dobrze powiedziałeś—odrzekł Jezus. —Tak postępuj, a będziesz żył wiecznie!
2a0a1d004f	—A kto jest moim bliźnim?—zapytał rozmówca, chcąc się usprawiedliwić.
2a0a1e00d3	Wtedy Jezus opowiedział mu następującą historię: —Pewnego człowieka, idącego z Jerozolimy do Jerycha, napadli bandyci. Zdarli z niego odzież, pobili, okradli i bliskiego śmierci zostawili przy drodze.
2a0a1f0075	Przypadkiem przechodził tamtędy kapłan. Zauważył biedaka, lecz przeszedł na drugą stronę drogi i ominął go.
2a0a200046	Tak samo postąpił lewita, dozorca świątyni—po prostu minął go.
2a0a21008b	Przejeżdżał też tamtędy człowiek z pogardzanej przez wszystkich Samarii. Podszedł do rannego, popatrzył i zrobiło mu się go żal.
2a0a220099	Obmył jego rany winem i oliwą, przewiązał je, a potem posadził rannego na swojego osła i przewiózł go do zajazdu, gdzie dalej się nim zajmował.
2a0a2300a0	Następnego dnia wręczył gospodarzowi sporą sumę pieniędzy i poprosił: „Zaopiekuj się nim, a jeśli wydasz więcej—pokryję to w drodze powrotnej”.
2a0a240095	Kończąc opowieść, Jezus zwrócił się do rozmówcy: —Który z tych trzech, twoim zdaniem, okazał się bliźnim napadniętego przez bandytów?
2a0a250053	—Ten, który mu pomógł. —Więc i ty postępuj podobnie—odpowiedział Jezus.
2a0a260076	Kontynuując podróż do Jerozolimy, Jezus zatrzymał się w pewnej wiosce. Skorzystał z zaproszenia niejakiej Marty.
2a0a27003c	Jej siostra, Maria, usiadła u stóp Jezusa i słuchała Go.
2a0a2800e4	Marta zaś była bardzo zajęta przygotowaniem posiłku. W końcu podeszła do Niego i zapytała: —Czy nie razi Cię to, Panie, że moja siostra siedzi bezczynnie, podczas gdy ja mam tyle pracy? Powiedz jej, żeby mi pomogła!
2a0a29003d	—Droga Marto, zabiegasz o tak wiele rzeczy—rzekł do niej
2a0a2a0070	—a przecież tak naprawdę liczy się tylko jedno. To właśnie wybrała Maria i nie zostanie jej to odebrane.
2a0b0100ad	Pewnego dnia, gdy Jezus skończył modlitwę na osobności, jeden z uczniów poprosił Go: —Panie, naucz nas modlić się, tak jak Jan Chrzciciel nauczył swoich uczniów.
2a0b0200aa	Wtedy Jezus powiedział: —Gdy zwracacie się do Boga, mówcie: „Nasz Ojcze w niebie, niech Twoje święte imię będzie uwielbione i niech nadejdzie Twoje królestwo!
2a0b03001d	Zapewnij nam codzienny pokarm
2a0b04007d	i przebacz nasze grzechy, tak jak my przebaczamy tym, którzy zawinili wobec nas. Nie pozwól też, byśmy ulegli pokusie”.
2a0b05007e	Następnie dodał: —Załóżmy, że o północy ktoś z was idzie pod dom przyjaciela i woła: „Pożycz mi trochę chleba!
2a0b060049	Właśnie przyjechał do mnie gość, a nie mam czym go poczęstować”.
2a0b0700a3	Przyjaciel zaś odpowiada z łóżka: „Nie żądaj ode mnie, żebym teraz wstawał. Drzwi są już zamknięte i wszyscy śpimy. Tym razem nie mogę ci pomóc”.
2a0b0800ae	Zapewniam was, że gdyby nawet nie chciał mu pomóc ze względu na przyjaźń, to ze względu na jego uporczywe prośby w końcu wstanie i da mu tyle chleba, ile potrzebuje.
2a0b09006a	Podobnie jest z Bogiem. Proście więc, a dostaniecie; szukajcie, a znajdziecie; pukajcie, a otworzą wam!
2a0b0a0058	Każdy bowiem, kto prosi—dostaje, kto szuka—znajduje, a temu, kto puka—otwierają.
2a0b0b004b	Który z was, ojców, dałby swojemu dziecku węża, gdy ono prosi o rybę?
2a0b0c0024	Albo skorpiona, gdy poprosi o jajko?
2a0b0d0087	Skoro wy, źli ludzie, dajecie dzieciom to, co dobre, to tym bardziej wasz Ojciec w niebie da Ducha Świętego tym, którzy Go proszą.
2a0b0e007f	Pewnego dnia Jezus uwolnił od złego ducha niemego człowieka, który natychmiast odzyskał mowę. Tłum zaś wpadł w podziw,
2a0b0f005e	niektórzy jednak mówili: —Wypędza demony, bo Belzebub, władca demonów, mu w tym pomaga.
2a0b100050	Inni zaś chcieli Go wypróbować i oczekiwali jakiegoś znaku z nieba, od Boga.
2a0b11007e	Jezus znał ich myśli i odpowiedział: —Każde królestwo, które jest wewnętrznie skłócone, upadnie, a jego domy runą.
2a0b120098	Mówicie, że dzięki Belzebubowi uwalniam ludzi od złych duchów. Jeśli jednak szatan zwalcza siebie samego, to jak jego królestwo może przetrwać?
2a0b130067	Skoro ja wypędzam demony mocą Belzebuba, to dzięki komu robią to wasi synowie? To oni was osądzą!
2a0b14005a	Lecz jeśli wypędzam demony mocą Boga, znaczy to, że przyszło do was królestwo Boże.
2a0b15004e	Gdy jakiś uzbrojony siłacz pilnuje swojej własności, jest o nią spokojny.
2a0b16006a	Jeśli jednak pokona go ktoś mocniejszy, będzie mógł całkowicie go rozbroić i rozdać innym zdobycz.
2a0b17007d	Kto nie jest po mojej stronie, jest przeciwko Mnie, a kto ze Mną nie zbiera, ten rozprasza. Potem dodał takie ostrzeżenie:
2a0b1800ba	—Gdy demon wyjdzie z człowieka, błąka się po pustkowiach, szukając wytchnienia, ale go tam nie znajduje. Wówczas mówi sobie: „Wrócę do mojego domu, z którego wyszedłem”.
2a0b190044	Przychodzi więc i zastaje swój dawny dom wysprzątany i ozdobiony.
2a0b1a00a2	Przyprowadza więc ze sobą siedem innych demonów, gorszych od siebie, i razem zamieszkują. Wtedy stan takiego człowieka jest o wiele gorszy niż na początku.
2a0b1b0084	Gdy to mówił, jakaś kobieta z tłumu zawołała: —Szczęśliwa ta, która nosiła cię pod sercem i karmiła własną piersią!
2a0b1c0062	—Naprawdę szczęśliwi są ci—odparł Jezus—którzy słuchają słowa Bożego i żyją nim.
2a0b1d00a4	Widząc, że tłum ludzi coraz bardziej się powiększa, powiedział: —To złe pokolenie domaga się cudu. Ale nie zobaczy go, z wyjątkiem znaku proroka Jonasza.
2a0b1e0075	Jonasz był znakiem dla mieszkańców Niniwy. Podobnie Ja, Syn Człowieczy, będę Bożym znakiem dla tego pokolenia.
2a0b1f00be	Królowa Południa powstanie na sądzie i oskarży to pokolenie. Ona przybyła bowiem z końca świata, by słuchać mądrości Salomona. Wy zaś macie przed sobą kogoś większego niż on.
2a0b2000b8	Również mieszkańcy Niniwy podczas sądu wystąpią z oskarżeniem przeciw temu pokoleniu. Bo oni opamiętali się słuchając Jonasza, a do was mówi ktoś o wiele większy niż on.
2a0b21006e	Zapalonej lampy nie stawia się w ukryciu, ale na podwyższeniu, aby świeciła wszystkim, którzy są w domu.
2a0b22009d	Oko jest dla ciała jak lampa. Jeśli jest zdrowe, światło napełnia całe ciało. Jeśli jednak jest chore, całe ciało jest pogrążone w ciemnościach.
2a0b230041	Upewnij się więc, że masz w sobie światło, a nie ciemność!
2a0b24009c	Jeśli rozświetla cię światło i nie masz w sobie żadnych ciemnych zakamarków, całe twoje życie będzie promieniowało niczym jasno świecąca lampa.
2a0b25007e	Gdy Jezus skończył mówić, pewien faryzeusz zaprosił Go na obiad. Przybyli do domu, a Jezus od razu zajął swoje miejsce.
2a0b260051	Gospodarz zdziwił się, że przed posiłkiem nie dokonał obrzędu obmycia rąk.
2a0b27009e	Wtedy Jezus powiedział mu: —Wy, faryzeusze, dbacie usilnie o zewnętrzną czystość naczyń, ale wasze brudne wnętrze aż się lepi od chciwości i zła.
2a0b28005c	Nierozumni! Czy Bóg nie stworzył zarówno tego, co na zewnątrz, jak i tego, co w środku?
2a0b29004b	O wewnętrznej czystości najlepiej świadczy zaś szczodrość człowieka.
2a0b2a010f	Lecz marny wasz los, faryzeusze! Bo chociaż skrupulatnie dajecie Bogu dziesiątą część swoich najdrobniejszych nawet dochodów, to lekceważycie Bożą prawość i miłość. A to jest przecież najważniejsze, choć o dziesięcinie również nie należy zapominać.
2a0b2b006e	Marny wasz los, bo oczekujecie zaszczytnych miejsc w synagogach oraz wyrazów szacunku ze strony innych ludzi!
2a0b2c00aa	Marny wasz los, bo przypominacie opuszczone, niewidoczne groby! Przechodzący po nich ludzie nie mają nawet pojęcia, że stąpają po rozkładających się szczątkach.
2a0b2d0071	—Nauczycielu!—powiedział pewien obecny tam przywódca religijny. —Twoje słowa obrażają również i nas.
2a0b2e00a6	—Was także czeka marny los!—odpowiedział Jezus. —Wymyślacie bowiem niewykonalne obowiązki i narzucacie je innym, a sami palcem nie kiwniecie, aby im pomóc.
2a0b2f005d	Marny wasz los, bo stawiacie grobowce prorokom, których kiedyś zamordowali wasi przodkowie!
2a0b300035	Pochwalacie ich czyny, upamiętniając je nagrobkami.
2a0b310095	To o was powiedział Bóg w swojej mądrości: „Wyślę do nich proroków i posłańców, a oni jednych zabiją, a innych będą prześladować”.
2a0b320062	Spadnie na was wina za przelaną krew wszystkich Bożych proroków, zabitych od początku świata,
2a0b33009f	począwszy od Abla, aż po Zachariasza, zgładzonego między ołtarzem a miejscem świętym. Mówię wam: Kara za to wszystko spadnie na głowy tego pokolenia!
2a0b3400a3	Marny wasz los, przywódcy religijni! Ukryliście bowiem przed ludźmi klucz do bramy Bożej prawdy. Sami nie wchodzicie i innym nie pozwalacie przez nią wejść!
2a0b35008a	Gdy Jezus odszedł stamtąd, faryzeusze i przywódcy znienawidzili Go za te słowa. Od tej chwili stawiali Mu wiele podchwytliwych pytań,
2a0b36001d	by móc Go o coś oskarżyć.
2a0c010104	Tymczasem wokół Jezusa gromadziły się coraz większe tłumy—były to już tysiące ludzi, którzy z powodu ścisku aż deptali sobie po nogach. On zaś zwrócił się najpierw do uczniów: —Wystrzegajcie się kwasu faryzeuszy, którym jest ich obłuda!
2a0c020044	Nie ma bowiem niczego ukrytego, co ostatecznie nie wyszłoby na jaw.
2a0c030083	Cokolwiek powiedziano pod osłoną nocy, wyjdzie na jaw z nastaniem dnia, a co powiedziano na ucho, zostanie ogłoszone publicznie.
2a0c040076	Mówię wam jak przyjaciołom: Nie bójcie się tych, którzy uśmiercają ciało, lecz nie mogą zrobić nic więcej!
2a0c05009b	Powiem wam jednak, przed kim macie czuć trwogę: Lękajcie się Boga, który po śmierci może wtrącić człowieka do piekła! Miejcie dla Niego respekt!
2a0c060078	Ile kosztuje pięć wróbli? Można je kupić już za kilka drobnych monet. A jednak Bóg nie zapomina o żadnym z nich.
2a0c070087	Przecież On wie nawet, ile macie włosów na głowie! Nie bójcie się więc! Jesteście dla Niego cenniejsi niż całe stado wróbli.
2a0c0800a6	Mówię wam: Jeśli jakiś człowiek wyzna przed innymi ludźmi, że należy do Mnie, to i Ja, Syn Człowieczy, przyznam się do niego w obecności aniołów Bożych.
2a0c090059	Lecz jeśli ktoś wyprze się Mnie wobec ludzi, i Ja się go wyprę przed aniołami Boga.
2a0c0a00bf	Jeśli ktoś powiedziałby coś przeciwko Mnie, Synowi Człowieczemu, może otrzymać przebaczenie. Ale jeśli ktoś powiedziałby coś przeciwko Duchowi Świętemu, nie otrzyma przebaczenia.
2a0c0b00a6	Gdy jako moi uczniowie będziecie oskarżeni przed przełożonymi synagog lub przed innymi władzami, nie martwcie się o to, jak się bronić i co macie powiedzieć.
2a0c0c003c	Duch Święty pomoże wam wtedy znaleźć właściwe słowa.
2a0c0d008f	Tymczasem ktoś z tłumu zawołał: —Nauczycielu! Powiedz mojemu bratu, aby podzielił się ze mną majątkiem, który odziedziczył po ojcu!
2a0c0e0050	—Przyjacielu! Kto dał Mi prawo rozstrzygania waszych spraw?—odrzekł Jezus.
2a0c0f0094	—Potem, zwracając się do wszystkich, dodał: —Wystrzegajcie się wszelkiej chciwości, bo prawdziwe życie nie zależy od rzeczy materialnych!
2a0c10007a	Następnie opowiedział im taką przypowieść: —Pewien bogaty człowiek zebrał jednego roku szczególnie obfite plony.
2a0c11004c	Zastanawiał się więc: „Co tu robić? Nie mam gdzie tego pomieścić”.
2a0c120092	W końcu wpadł na pomysł: „Już wiem! Zburzę stare magazyny i zbuduję większe. W nich umieszczę tegoroczne zboże i wszystkie inne zbiory.
2a0c130096	A gdy to zrobię, usiądę i powiem sobie: ‚No, przyjacielu, zgromadziłeś zapasy na wiele lat. Teraz możesz jeść, pić i używać życia’”.
2a0c140067	Lecz Bóg rzekł do niego: „Głupcze! Umrzesz jeszcze tej nocy. Komu więc to wszystko zostawisz?”.
2a0c150066	Oto przykład głupiego człowieka, który gromadzi majątek na ziemi, a nie jest bogaty przed Bogiem.
2a0c160098	Potem, zwracając się do uczniów, Jezus rzekł: —Nie martwcie się o swoje życie—o to, co będziecie jeść, ani o ciało—w co się ubierzecie.
2a0c170025	Życie to nie tylko pokarm i ubranie.
2a0c180081	Spójrzcie na ptaki: Nie sieją ziarna, nie magazynują zapasów, a Bóg żywi je! Przecież wy jesteście ważniejsi od ptaków!
2a0c190067	Czy ktokolwiek, poprzez zamartwianie się, potrafi przedłużyć swoje życie choćby o jedną chwilę?
2a0c1a0069	Jeśli więc nie możecie uczynić tak drobnej rzeczy, to jaki jest sens martwić się o większe sprawy?
2a0c1b00bc	Uczcie się od polnych kwiatów: Nie pracują i nie troszczą się o swój ubiór. A zapewniam was, że nawet król Salomon, w całym swoim przepychu, nie był tak pięknie ubrany jak one.
2a0c1c00aa	Jeśli więc Bóg tak wspaniale ubiera polne kwiaty, które dzisiaj kwitną, a jutro więdną i idą na spalenie, to czy tym bardziej nie zatroszczy się o was, nieufni?!
2a0c1d003a	Nie martwcie się więc o to, co będziecie jeść i pić.
2a0c1e0058	O te sprawy zabiegają poganie. Wasz Ojciec w niebie dobrze wie, że tego potrzebujecie.
2a0c1f0056	Zabiegajcie więc o Jego królestwo, a wtedy Bóg zatroszczy się o pozostałe rzeczy.
2a0c20005e	Nie lękajcie się, choć jest was niewielu, bo Ojciec w niebie daje królestwo właśnie wam!
2a0c2100d8	Sprzedajcie to, co posiadacie, i rozdajcie potrzebującym! Wtedy wasze portfele staną się niezniszczalne i wasze bogactwa w niebie będą bezpieczne—nikt się nie włamie, aby je ukraść, i nic ich nie zniszczy.
2a0c22002f	Gdzie jest wasz skarb, tam będzie wasze serce.
2a0c230066	Bądźcie gotowi na mój powrót i czuwajcie—jak słudzy, będący w gotowości, z lampami w rękach
2a0c24006d	i oczekujący powrotu swojego pana z uczty weselnej. Gdy przybędzie i zapuka, natychmiast otworzą mu drzwi.
2a0c2500f8	A wtedy spotka ich wielki zaszczyt. Zapewniam was: ich pan się przebierze, zaprosi ich do uczty i sam będzie im usługiwał. Bez względu na to, czy przyjdzie o północy, czy nad ranem, wyróżni tych, których zastanie gotowych na jego powrót.
2a0c270074	Pomyślcie: Gdyby właściciel domu wiedział, kiedy złodziej przyjdzie go okraść, nie dopuściłby do włamania.
2a0c280053	Wy również musicie uważać, bo nie wiecie, kiedy ja, Syn Człowieczy, powrócę!
2a0c290059	—Panie—zapytał Piotr—czy tę opowieść kierujesz tylko do nas, czy do wszystkich?
