2800000007	Amatayo
2806090082	Bahi, henela nga chiipalikwa kujopa, ‘Atati bhitu bhammile kunani kulihunde kwa Annoongo, lihina linu lya kuhalala lilumbalilwe.
28060a0061	Umwenye gwinu guike. Upalyo gwinu gutendeke pamba pachilambo handa kunani kulihunde kwa Annoongo.
28060b0030	Ntupekee leleni chakulya chitu cha machobha goa.
28060c0053	Ntulekelele kulemwa kwitu, handa na twenga chitutenda kwaalekelela bhabhatulemwite.
28060d00a0	Nkotokutujingia mu malengelo, nambo ntulolekee kubhoka kwa bhenibhala abohu. Kwa kubhee Umwenye nga gwinu, na machili na ng'anyimo hata machobha goa. Elo.’”
28060e009e	“Ligongo handa mwalekejelinge bhandu kulemwa kwabhenji chibhantendile, na atati bhinu bha kunani kulihunde kwa Annoongo nga chibhapakunlekelela na mwangota.
28060f0096	Nambo handa mwangaalekelela bhandu kulemwa kwabhenji, na bhenabho Atati bhinu bha kunani kulihunde kwa Annoongo bhannekelelanga hopo kulemwa kwinu.”
28061000fa	Ayesu akapunda kulobhola, “Pampakutabha nkotokuhumalika handa akaandendemundu. Bhenaangota bhatenda kubheka lukenja pamiho jabhe ligongo bhabhonekane na bhandu kubhee bhatabhite. Nannobholelanga kweli, bhena angota bhatekupatanga ngwahupa jabhenji.
280611006b	Nambo mwenga pamtenda kutabha, nkue pamihon jinu na mpakale mahuta mu mutwe gwinu na mkwemule majunju ginu,
28061200ba	kubhee amundu bhoa bhala bhakoto kuhimanya yakubhehe ntabhite, ila bhamanyike tu kwa Atati bhabhe bhangabhonekana. Na bhenabho Atati bhinu bhabhabhona gachiite bhapakunpekea ngwahupa.”
28061300c0	Ayesu akapunda kwaalobholelanga, “Nkoto kuchibhekela hilebhe pambani pachilambo hikoko ya bhakuhalabiana na kuutu bhatenda kombola kujingila na kuhalabiana na akaabwihi kujingila na kujibha.
280614008d	Nchibhekele hilebhe kulihunde kwa Annoongo kwa kubhee hikoko na kuutu ngakombola kuhalibiana wala akaabwihi ngakombola kujiingila na kujibha.
2806150052	Maana penipala pajibhile ngokwe jinu, ngapena kabhele pagupakubhee ntima gwinu.”
280616005d	“Lio nga lumuli gwa mmele. Handa lio linu nga likoto, mmele gwinu goa gupakubhehe pa nhana.
28061700a7	Nambo handa lio linu nga libhou, mmele gwinu goa gupakubhee mu lubhendu. Bahi, handa nhana gugubhile nkati jinu nga lubhendu, bahi gonogwe nga lubhendu lwa kujogoa!”
28061800ff	“Ayesu akaalobholela bhaakwa amundu bhakombola kwaatumikila akaakolo bhabhele. Kwa kubhee bhapakwaachimwa bhamo na kwaapala bhenabho jwabhele, au bhapakubhee na bhamo na kwaabhelua bhenabho bhangi. Ngakombolanga kwaatumikila Annoongo pamo na hilebhe.”
280619010d	“Nga kwa maana nannobholelanga, nkoto kubhee na lipamba kwa ngani ja chakulya chichimpakulyee na ching'welo chichimpakung'wee, wala ngani ja ngobho yakuwala mu mimele jinunji. Bholi, umomi nga chakulya jikajabhe au kupunda echocho? Na mmele, bholi nga kupunda ngobho?
28061a00c3	Muilolange hijuni. Ngapandanga na kuuna, wala bhangakola ngokwe joha jela. Hata henela Atati bhinu bha kunani kwa Annoongo bhapakunpekea yakulyee. Bholi, mwangota ngabha bhammbone kupunda hijuni?
28061b007b	Nga aganiki nkati jinunji kwa kuchilagia bhakombola kuchijonjokea kutandamala kwabhe hata lichaa limo lya kutama kwabhe?”
28061c0093	“Ngani ja ngobho, ya niki kubhee na lipamba? Mugalolange malobha ga kumanyahi chigapunda kuhalala. Gateendahopo lihengo wala kuchihalakia ngobho.
28061d0091	Nambo ndendakunnobholelanga, hata Asolomoni bheene na kukola kwabhe hilebhe koha Annoongo bhangaaweka maha handa lilobha limo lyabhe lya gangani.
28061e00d4	Bahi, ikabhee Annoongo bhakagawekela mahamba ga kunng'onda, yakubhee leleni gabhile, malabhi gatenda kujoma na kulekelwa pamooto, bholi, ngabha bhapakuntendelanga maha muno? Bholi, mwangota mwangahobhalelanga!”
28061f0076	“Bahi, nkotokubhee na lipamba, ‘Tupakulyee niki?’ Au kabhele, ‘Tupakung'wee niki?’ Au ‘Tupakuwala niki!’
2806200097	Kwa kubhee genago goa gatenda kulolekewa na bhandu bhangaamanya Annoongo. Atati bhitu abhile kunani kwa Anoongo atenda kuhimanya hilebhe yoha tuhipala.
2806210090	Henela, nnyemekange kugulolekea Umwenye gwa Annoongo kupeta yoha na gaagapala Annoongo, na Annoongo bhapakumpekea genago goa na kunnyonjokeanga.
2806220097	Bahi, nkotokubhee na lipamba nnani ja malabhi, kwa kubhee malabhi jitekubhee na hilebhe yabhe. Kila lichobha litekubhee na hilebhe ya lichobha elyo.”
280701004b	“Nkotokwaahukumula bhandu bhangi, na mwangota mpakuhukumulwa na Annoongo,
28070200a6	maana chimpakunhukumula nnyinu na mwangota chimpakuhukumulwa, na chipemelo chela chela chimpakupemela bhandu nga chochocho Annoongo nga chibhapakunpemelanga mwangota.
280703008b	Kwaniki muchibhona chipande chichoko chichibhile mu lio lya anung'una bhinu, na kongo chipalapata chichibhile nkati ja lio linu ngachilola?
28070400a0	Nkombola bholi, kunnobholela anung'una bhinu, ‘Anung'una bhangu, nnende nimmoe chipande chichoko mu lio linu na kongo mwabhene nkweti chipalapata mu lio linu?
28070500b7	Mwe andendemundu! Nnyemeke kubhoa chipalapata chichibhile mu lio linu, penapo nga pampakombola kulola kweli chimpakwaabhoa chipande chichibhile nkati ja lio lya anung'una bhinu.’”
280706008c	“Nkoto kwaapekeanga bhandu hilebhe yammbone ya Annoongo, wala nkoto kwaajelea magolobhe hilebhe yammbone kwa kubhee bhapakuilebhatanga.”
280707007b	“Nnyopange, mwangota mpakupatanga, nnoleange na mwangota mpakupatanga, nng'ombange pannyango, na mwangota mpakujogolelwa.
280708008f	Kwa maana amundu bhoa bhala pabhajopa bhatendakwaapekea, na bhoa bhala bhabhalolekea bhapekewa, na bhoabhala bhang'omba pannyango bhajogolelwa.
280709005c	Bholi, bhabhi amundu nkati jinu handa mwana bhabhe bhaajopite nkate, bhapakwaapekea liganga?
28070a0030	Handa bhaajopite litobhi, bhapakwaapekea lijoka?
28070b00d0	Mwangota bhammilinge mwaabhou, nambo mmanyanga kwaapekea bhana bhinu hilebhe yammbone, nga henela Atati bhinu bhaabhile kunani kulihunde kwa Annoongo bhapakwaapekeanga yammbone muno bhenibhala bhabhaajopa.”
28070c00a6	“Mwatendelange bhandu bhangi handa chimpalanga bhantendelange bhantendele mwangota. Hejeje nga maana ja malagilo ga Amusa na majigano ga Akaalondoi bha Annoongo.”
28070d00cc	“Nnyingilange kupetela nnyango gwa kunying'inyala, ligongo ndela jijijaula kwahobheanga bhandu nga jitekupanuka, na nnyango gwa kujingila monomwe nga gutekupanuka, bhabhajaula mu ndela ejo nga bhajingi.
28070e00a3	Nambo ndela jijijaula mu umomi nga jakunying'inyala, na nnyango gwa kujingila monomwe nga gwakunying'inyala, nga bhandu kachoko bhakombola kujimanya jene ndela.”
28070f00ad	“Nchibhekange kutali na akaalondoi bha unami. Bhenaangota bhaikanga kwaachinunji bhabhi kubhonekana panja handa ngondolo, nambo nkati jabhe nga mamei gagahika kunhulaanga.
2807100084	Mpakubhamanyanga kwa hikubho yabhe. Bholi, bhandu bhakabhanga zabibu mu nkongo gwa miibha, au mbendembe mumkongo gwa mpengo? Ngabha!
2807110058	Bahi, nkongo gwammbone guogola matunda gammbone, na nkongo mbhou guogola matunda mabhou.
280712006d	Nkongo gwammbone ngakombola kuogola matunda gabhou, wala nkongo mmohu ngakombola kuogola matunda gammbone.”
280713004b	Kila nkongo gwangaogola matunda gammbone gupakueketwa na kulekelwa pamooto.
2807140043	Henela, mpakubhamanyanga akaalondoi bha unami kwa hikubho yabhenji.
28071500c5	“Ngabha kila mundu jwaangema nenga, ‘Hangwana, Hangwana,’ bhapakujingilanga mu Umwenye gwa kunani kwa Annoongo, ila bhenibhala bhabhapakupangananga chibhapala Atati bhangu bhabhabhile kunani.
28071600ec	Bhandu bhajingi bhapakunobholela nenga lichobha lyela lya kuhukumula, ‘Hangwana, Hangwana! Kwa lihina linu tukatangacha ngani jinu kwa bhandu, na kupetela lihina linu tukaabhoanga bhandu mahoka na kupangananga gajingi gakangachika!’
280717006e	Penapo mbakunnobholelanga, ‘Nimmanyanga hopo mwangota, mmokange kwaachangu, mwenga mwaangota akaabohu!’”
280718008f	“Henela, kila amundu bhabhajoha malobhe gangu na kugakamula, bhalandana na mundu jwaabhile na luunda, jwaachengite nyuumba panani ja liganga.
28071900ae	Handa hula jipakoma na loochi lukatweelela machi, na handa mboongo ngolongwa jipakuhika na kujipota jela nyuumba. Nambo jangagwee kwa kubhee jikachengwa panani pa liganga.”
28071a0098	“Nambo amundu bhoa bhala bhabhajoha malobhe gangu na kugaleka, bhatenda kulandana na amundu bhapoganike bhabhakachenga nyuumba jabhe panani jamihanga.
28071b009d	Hula jikakoma, machi gakatweelela mu loochi, na mboongo ngolongwa jikapoga na kujipota nyuumba ejo, nga jikagwee, na nhindo gwakwe gukibha nkolongwa muno.”
28071c007d	Ayesu pabhakajomola kulobhola malobhe genago, lilubhalo likolongwa lya bhandu bhakakangachanga kwa henela chikajigana bhandu.
28071d0066	Kwa kubhee bhakajigana handa amundu bhabhabhile na uwecho, wala ngabha bhabhajigana Malagilo ga Amusa.
280801005c	Ayesu pabhakatuluka kubhoka palitombi, lilubhalo likolongwa lya bhandu bhajingi likaakagula.
280802009b	Bahi, bhakahika amundu bhamo bhabhi atamwa mambujupuju, bhakaatindibhalila majugwa na kwaalobholela, “Hangwana, handa mpalite, nkombola kulamia nenga!”
2808030085	Ayesu bhakanyulula lubhoko lwabhe na kunkwaa na kulobhola, “Ndenda kupala! Nname.” Mala bhena amundu bhakalama mambujupuju gabhe.
28080400bc	Ngapena Ayesu bhakaalobholela, “Nnole nkoto kunnobholela mundu bhoabhala, nambo nnyaule kwa akaakung'i na kubhoa ngwahupa jijikahukumulikwa na Amusa ili kwaalangia yakubhee ntekulama.”
280805007f	Ayesu pabhakahika pannyini ku Kafalanaumu, akolo bhamo bha manyemba ga ku Lumi bhakaajendelela na kwaapembelela bhaanyangatile.
2808060068	Kongo bhabhi kulobhola, “Hangwana, antumichi bhangu bhatekugoloka kaaja atamwa muno na bhatekupola.”
2808070031	Ayesu bhakaalobholela, “Mbakuhika kwaalamia.”
28080800b8	Bhenabho akolo bha manyemba ga ku Lumi bhakaalobholela Ayesu, “Hangwana, ngapalikwa mwenga nnyingile mu nyuumba jangu. Nambo nlagie tu lilobhole limo na antumichi bhangu bhapakulama.
280809014a	Kwa kubhee nenga na mwene nga amundu nibhekitwe pahi ja mamulaka, ngweti manyemba pahi jangu. Handa mbakwaalobholela habhabha, ‘Nnyaule,’ na bhenabho bhakajaula. Na bhangi handa naalobholile, ‘Nhike,’ bhenabho bhatenda kuhika. Na handa mbakwaalobholela antumichi bhangu, ‘Npangane henela,’ na bhenabho bhapakungana.”
28080a00e5	Ayesu pabhakajoha genago, bhakakangacha muno, akabhalobholelanga bhandu bhabhakibha bhaakagula, “Ndendakunnobholelanga kweli, nangapata kwaabhona amundu bhoa bhala mu chilambo cha ku Isilaeli bhakuhobhalela muno handa bhenabho.
28080b00e0	Bahi ndendakunnobholelanga yakubhee bhandu bhajingi bhapakuhika kubhoka kuulabho na kuuwelo, na bhena angota bhapakutamanga ili bhalyee pamo na Aaibulahimu, na Aisaka, na Ayakobo mu Umwenye gwa kunani kulihunde kwa Annoongo.
28080c008f	Nambo bhenibhala yakubhee Umwenye gonogwe gwa Annoongo nga gwabhenji bhapakwaajeha panja, palubhendu, konokwe bhapakugutanga na kuyaga mino.”
28080d00ad	Kubhoka penapo Ayesu bhakaalobholela bhenabho akolo bha manyemba ga Ku Lumi, “Nnyaule kwaachinu na ibhee handa chinhobhalile.” Na antumichi bhabhe bhakalama muda gogogo.
28080e0072	Ayesu bhakahika kwaachabhe Apetulo, bhakaakolela hakibhabhe haikege bhagolwike pachindanda, bhatenda kulwala muno.
28080f0073	Bahi, Ayesu bhakaakamula lubhoko bhenibhala haikege, na bhakalama bhakajema na kujemeka kwabhekela tayali chakulya.
28081000ba	Pajikahika kimuo, bhakaaletela bhandu bhajingi bhabhakibha na mahoka, na bhenabho Ayesu bhakaakulumikiha mahoka gabhoke kwa bhandu. Kabhele bhakaalamia bhandu bhoa bhabhakibha akaatamwa.
28081100b8	Akatenda henela kupala genigala malobhe gaakalongela alondoi bhakeemitwa Aisaya galenganile, “Bhenabho bheene bhatekutupetula na kupongokewa kwitu, na bhatekuhipetula itamwa yitu.”
2808120099	Ayesu pabhakabhona lilubhalo likolongwa lya bhandu litekwaatindila, nga bhakaakulumikia bhabhachijigina bhabhe bhajombokange kujenda kuntundu ja litanda.
280813008e	Bhabhajigana bhamo bha Malagilo ga Amusa bhakaajendelela Ayesu na kwaalobholela, “Bhannyigana, nenga mbakunkagula koha kola kumpakujenda.”
280814008b	Ayesu bhakaajangula, “Mabwea gakweti macheembo, na hijuni hikweti hiyua, nambo amwana bha amundu bhakwetihopo chehemu ja kupomolelela.”
2808150086	Ngapena amundu bhamo nkati ja bhabhachijigana bhabhe bhakaalobholela Ayesu, “Hangwana, naanjinu nneke oti ngaachike Atati bhangu.”
2808160088	Nambo Ayesu bhakaalobholela, “Nkagule nenga! Nneke bhandu bhabhabhilinge handa bhajomwike bhachikane na bhandu handa bhabhawilinge.”
280817004e	Ayesu bhakakwela mu mtumbwi nkolongwa, na bhabhachijigana bhabhe bhakaakagula.
280818009f	Mala mboongo ngolongwa jikabhokela mulitanda, na mawimbi gakajemeka kugupukunyapukunya ntumbwi nkolongwa. Na muda gonogwe Ayesu bhabhi tangu bhagolwike lugono.
2808190072	Bhabhachijigana bhakaajendelela na kwaajimua, bhabhi kulobhola, “Hangwana ntuchobhole.” “Tutendakujomoka!”
28081a00b9	Ayesu akaajangulanga, “Mwe mwangota mmilinge na kuhobhalela kuchoko!” “Mboni ntenda kujogopanga?” Bahi, bhakajinuka na bhakajikalipila mboongo na mawimbi, na mboongo jikakotoka.
28081b008b	Bhandu bhoa bhakakangachanga, bhabhi kulobhola, “Nga mundu jwa namuna niki hojojo?” “Hata mawimbi na mboongo jitendakwaajohanikia!”
28081c0115	Ayesu pabhakahika ku chilambo cha bha Gadala, kuntundu ja litanda, na konokwe bhandu bhabhele bhabhakapoganikwa na mahoka gabhou bhakakongana nabho bhabhi kubhokanga kumakabuli. Bhandu habha bhakibha bhakalipa muno, hata pangabhee na amundu bhabhakajiga kupeta mu ndela jenejo.
28081d0091	Bhenaangota bhakajemeka kupotanga nyenye, “Mmi na niki na tweenga, mwe Mwana bha Annoongo? Bholi, ntekuhika kutulagia tangu muda gwangahika?”
28081e004b	Kubhandikila na penapo pakibha na magolobhe gajingi bhatendita kugaliyanga.
28081f0074	Bahi, genago mahoka gabhou gakaapembelela Ayesu, “Handa mpakutubhoa, bahi ntuluke tukagajingile magolobhe gala.”
28082000ec	Ayesu akaalobholelanga, “Nnyaulange, penapo bhakaabhoanga bhenibhala bhandu, na kujingila mumagolobhe gala. Lilubhalo lyoa lya magolobhe likabhutukila mu chihelelo chikolongwa, likajingila mu bahali, magolobhe goa gakawee na machi.”
28082100af	Bhenibhala bhandu bhabhalanga genigala magolobhe bhakabhutukanga na bhakajaula kunnyini, konokwe bhakakongolela ngani joha jijikapetela kwa bhenibhala bhandu bhabhi na mahoka.
2808220087	Kubhoka penapo bhandu bhoa bha pannyini bhakabhoka na kwaajendelela Ayesu, na pabhakaabhona bhakaapembelela bhabhoke pachilambo chabhe.
2809010056	Ayesu bhakakweela mu mtumbwi, na bhakajomboka litanda na kuhika mu chilambo chabhenji.
28090200f0	Ngapena bhandu bhajingi ngabhanneta mundu jwaapolite mmele goa, bhabhagonikwe nnani ja njeega. Ayesu pabhakabhona kuhobhalela kwabhenji, nga akaalobholela jonijola mundu jwaapolite, “Mwanangu nchipee ntima! Mabohu ginu gatekulekelelwa.”
280903008f	Bhandu bhangi bha bhenibhala bhabhamanyanga malagilo ga Amusa bhakajemekanga konyananga akaachinabhene, “Hojo mundu atekwaaponja Annoongo!”
280904006e	Ayesu akagamanya chibhatenda kuganikia, akaakonyanga, “Kwaniki ntendanga kuganikia mabohu mu mitima jinunji?
280905007b	Bholi, nga niki chichibhile changalimba, kulobhola, ‘Ntekulekelelwa mabohu ginu’ au kulobhola, ‘Nnyeme nnyaule?’”
28090600dc	Nambo, mbala muimanyange yakubhehe amwana bha amundu bhakombola kwaalekelela bhandu mabhou gabhe pamba pachilambo. Penapo akaalobholela jonojwe mundu jwapolite mmele, “Nnyimuke ntole njeega chinu, nnyaule kwaachinu.”
2809070045	Jonojwe mundu jwaapolite mmele bhakajimuka, na bhakajaula kwaachabhe.
2809080083	Bhandu bhoa mu lilubhalo lyela pabhakagalola genago bhakajogopanga, bhakaalumbalila Annoongo bhabhaapekie bhandu machili ga henela.
28090900d7	Ayesu bhakabhoka penapo, na pabhakajaula, bhakaabhona amundu bhamo bhakemitwa Amatayo, bhatamite panyuumba ja kutochela kodi, Ayesu bhakaalobholela, “Ngagule nenga.” Na bhenabho Amatayo bhakajema, na kwaakagula.
28090a009e	Ayesu pabhakibha kwaachabhe Amatayo kulyee chakulya, bhakutochanga kodi bhajingi na akaabohu bhakahikanga bhakatama na kulyee nabho na bhabhachijigana bhabhe.
28090b0097	Mafalisayo pabhakabhona genago, bhakaakonyanga bhabhachijigana bhabhe, “Kwaniki bhannyigana bhinu bhalyee pamo na bhandu bhabhabhilinge na mabohu?”
28090c0092	Ayesu pabhakajoha genago, bhakaalobholelanga, “Bhandu bhanga itamwa bhaapalanga hopo ang'anga, nambo bhenibhala akaatamwa nga bhaapala ang'anga.
28090d00b1	Bahi, nnyaulange nkachijigane maana ga malobhe aga, ‘Mbala kia, ngabha mbeeko,’ kwa maana nangahika kwaakemanga bhandu bhabhilinge bhammbone, nambo bhabhilinge na mabhou.”
28090e00b5	Penapo bhabhajichigana bha Ayohana ambatichaji bhakaajabhulila Ayesu, bhakaakonya, “Tweenga na Mafalisayo tutenda kutabha mala jijingi, kwa niki bhabhachijigana bhinu ngatabha?”
28090f0109	Ayesu bhakaajangulanga, “Bholi, akaageni bhabhalaalikwe ku ulombela bhapakuhumalanga na kutabha pabhabhee pamo na hangwana bha ulombela? Nga henela! Nambo muda gupakuhika hangwana bha ulombela chibhapakubhokekwa nkati jabhenji, gono muda nga pabhapakutabhanga.”
28091000b5	“Bhandu ngatotela chibhamba cha ngobho jiyono mu ngobho ja lolo. Handa bhatenditinge henela, jenejo ngobho ja lolo jipakujonjokeka lipobhole, na jenejo ngobho jipakuhalibika muno.
280911012e	Wala bhandu ngalekelanga divai jiyono mu mihuko jijilalite jijitotitwe na mambendela ga ngondolo. Handa bhatenditinge henela, divai hejo hipakuipapulana yeneyo mihuko jenejo, na divai jipakujitika na mihuko jipakupapuka. Divai jiyono jilekelwa mu mihuko miyono na henela divai na mihuko kubhee maha!”
28091200db	Ayesu pabhatendita kulobhola genago, akolo bhamo Annyahudi bhakahika, bhakaatindibhalila majugwa na kulobhola, “Amwali bhangu bhatekujomoka nangocheni. Nambo nhike nkaabhekele lubhoko lwinu na bhenabho bhapakulama.”
2809130049	Ayesu bhakajimuka na kujaula pamo na bhabhachijigana bhabhe bhakaakagula.
2809140091	Na pabhatendita kujaula haikege bhamo, atamwa ncholocholo kwa yaaka komi na jibhele, bhakaakagula Ayesu kuyeto, bhakamula mbendo ja ngobho jabhe.
280915005c	Kwakubhee bhakachilobholela muntima gwabhe, “Handa ngamwile tu ngobho jabhe, mbakulama.”
28091600a5	Ngapena Ayesu bhakatendebhuka bhakaabhona haikege, bhakaalobholela, “Amwali, nchipekee ntima! Kuhobhalela kwinu kutekunlamia.” Haikege bhenabho bhakalama popopo.
2809170076	Ngapena Ayesu pabhakahika kwaachakwe bhenibhala akolo. Na bhakaabhona bhandu bhagomba hipenga ya nguto na kuguta muno,
2809180068	bhakaalobholela, “Mmokange pamba! Amwali abha bhangawee, bhatekugoloka tu.” Nambo bhandu bhakaaheka.
2809190085	Bahi, lilubhalo lya bhandu pabhakaabhoanga panja, Ayesu bhakajingila nkati, bhakaakamula lubhoko bhena amwali, na bhenabho bhakajema.
28091a0035	Bhandu bhoa bha chilambo echo bhakajoanga ngani hejo.
28091b009a	Ayesu pabhakabhoka penapo, na pabhatendita kujenda, bhangalola bhabhele bhakaakagula kongo bhabhi kupotanga nyenye, “Amwana bha Adaudi, ntukolee kia!”
28091c00d3	Ayesu pabhakajingila mu nyuumba, bhangalola bhabhele bhakaajendelela Ayesu na bhakaakonya, “Bholi, nhobhalelanga kubhehe nenga ndenda kombola kunnamianga?” Na bhenaangota bhakaajangula, “Eloo, Hangwana.”
28091d006c	Penapo Ayesu bhakakwahanga miho gabhenji, bhakalobhola, “Na hibhee kwaachinunji handa chinhobhalilinge.”
28091e0089	Miho gabhenji ngagakajogoka kulola. Na bhenabho Ayesu bhakaakanikia muno, “Nkotokwaalobholelanga amundu bhoabhala chilebhe chenjeni.”
28091f005d	Nambo bhenaangota bhakabhokanga, bhakajaula kutandahaa ngani ya Ayesu mu chilambo chela choa.
2809200074	Bhandu pabhatendita kujenda kwaachabhe, bhangi bhakaaleta kwa Ayesu amundu bhangalongela ligongo bhakibha na mahoka.
28092100e1	Ayesu pabhakalibhoa lyenilyela lihoka, popopo bhenibhala amundu bhangalongela bhakajemeka kulongela kabhele. Bhandu bhakakachanga na kulobhola, “Chilebhe handa chenjeni changabhonekana mu chenje chilambo cha ku Isilaeli.”
280922006e	Nambo Mafalisayo bhakalobhola, “Amundu abha bhatenda kugabhoa mahoka kwa machili ga akolongwa bha mahoka.”
28092300c1	Ayesu bhakatyanga mu hilambo yoa na hijiji, na bhakajigana mu majuumba gabhenji ga konganilanga Bhayahudi, bhabhi kulongela Ngani Jammbone ja Umwenye gwa Annoongo, na kulamia bhandu itamwa yoa.
2809240080	Ayesu pabhakaabhonanga bhandu mabhoga mabhoga bhakaakole kia kwa kubhehe bhakibhanga na lipamba na bhangabhee bha kwaajangatila.
280925006b	Penapo bhakaalobholelanga bhabhachigana bhabhe, “Hilebhe ya kuhuna nga hijingi ila bhakuhuna na ngachoko.
2809260060	Mwajopange bhenabho bhabhakweti hilebhe ya kuhuna bhaatume bhandu bhakahunange hilebhe yabhe.”
280a01008e	Ayesu bhakaakema bhenibhala bhabhaajigana bhabhe komi na bhabhele, bhakapekeanga machili ga kubhoa mahoka na kalamia akaatamwa na hibhini yoa.
280a0200f6	Ganga nga mahina ga bhabhaajigana bhabhe bhabhakaakema akaatumi komi na bhabhele, bhabhakajemeka, Asimoni jwakemitwa Apetulo, na Aandulea bhabhakibha anung'una bhabhe Apetulo, Ayakobo mwana bha Azebedayo na anung'una bhabhe bhabhakemitwa Ayohana,
280a03006c	Afilipo na Abatolomayo, Atomaso na Amatayo bhabhakibha bhatocha kodi, Ayakobo mwana bha Aalufayo, na Atadei,
280a040042	Asimoni bha ku Kanaani, na Ayuda Isikaliote bhabhakaagaluka Ayesu.
280a0500b4	Ayesu akaatuma bhenabho akaatumi komi na bhabhele na kwaapekea Malagilo gangani, “Nkotokujaulanga kwa bhandu bhanga Bhayahudi, na wala nkotokujingilanga mu hilambo ya ku Samalia.
280a060063	Nambo nnyendange kwa bhandu bha chilambo cha ku Isilaeli bhenaangota nga handa ngondolo hiiyobhite.
280a070057	Nnyaulange nkaalobholelange bhandu, ‘Umwenye gwa kunani kwa Annoongo gubhandikile,’
280a080089	Nnamiange akaatamwa, mwayohange bhabhawilinge, mwalamiange bhabhabhile na mambujupuju, mmoange mahoka. Mpatitinge hiyoyo, mmoange hiyoyo.
280a090053	Nkotokupetulanga bunyu mu mihuko jinu, wala madini ga mbiya wala njeejeka ya chaba.
280a0a00ad	Nkotokupetulanga nhuko gwa kujopela hilebhe nndela, wala ngobho ya kutindiganya, wala ilatu, wala ntindio. Kwa kubhehe bhabhatenda lihengo bhapalikwa kupokela chichipalikwa.
280a0b0098	Pampakujingilanga pachilambo au chijiji choachela, munnoleange mundu jwaapakummpokelanga na handa bhammpokilinge ntamange monomwe mpaka pampakubhokanga.
280a0c005e	Pampakujingilanga mu nyuumba hejo, mwaalobholelange bhandu, ‘Kuhengwa kubhee na mwangota.’
280a0d0093	Handa akaakola nyuumba bhampokilinge amani jipakubhee na bhenaangota. Nambo handa bhangapokela bahi amani jinunji jipakummujilanga mwaachina bhene.
280a0e00d4	Handa mundu joajolas jwapakana kumpokelanga au kunnyohanikianga, bahi pampakubhoka mu nyuumba hejo au chilambo hecho, mpyatange lutukunda mumakongono ginu hibhee chilolelo kubhee bhakanitinge kwaapokela Annoongo.
280a0f00a3	Ndendakunnobholelanga kweli, bhandu bha namuna jenejo Annoongo bhapakwalagianga kupunda bhandu bhabhatamitanga chilambo cha ku Sodoma na chilambo cha ku Gomola.”
280a10009b	“Nangocheni, nenga ndendakuntumanga mwangota handa ngondolo pakati ja mamei. Mmangange na luunda handa lijoka na mmangange bhakutungamanika handa ngunda.
280a110095	Nchibhekange kutali bhandu bhapakuntaukanga bhapakunkamulanga na bhapakumpelekanga kuchebule na kumpotanga luyaakato mu majuumba gabhe ga kuchaalila.
280a120085	Bhapakumpelekanga nnoongi ja akaatabhala na manyewe ligongo lya nenga, mpate kwakongolela kwabhenji kwa bhandu bhangaamanya Annoongo.
280a130091	Nambo pampakupelekwanga mwangota kuchebule, nkoto kubhehe na lipamba kuganikia chichimpakulongela, kwa kubhehe mpakupekewa lilobhe lya kulongela.
280a140077	Kwa kubhehe ngabha mwangota bhampakulongelanga nambo bhapakulongela nga Mboomo ja Annoongo bhena nga Atati bhinunji.”
280a1500ac	“Amundu bhapakung'aluka anung'una bhabhe bhakomekwe, na bhenabho atati bhapakung'aluka mwana bhabhe, na bhenabho bhaana bhapakwaapotanga akaabhelei bhabhe na kwaakomanga.
280a160082	Bhandu bhoa bhapakunchimwanga mwangota ligongo lya lihina lyangu, nambo bhabhapakuchitimalika mpaka kupela, Annoongo bhapakwaokoa.
280a1700d1	Handa bhandu bhakampoteka muchilambo chimo, ntilange mpaka muchilambo chengi. Ndendakunnobholelanga kweli, ngajomolanga kutyanga mu hilambo yoa ya chilambo cha ku Isilaeli tangu Mwana bha Amundu bhangahika.”
280a180063	“Bhabhachijigana ngakombola kwaapunda bhabhanyigana bhabhe, na abhanda ngaapunda Hangwana bhabhe.
280a1900f5	Bhabhachijigana na bhabhee tu handa bhabhaajigana bhabhe na abhanda bhabhee bhabhe handa Hangwana bhabhe. Handa akolo bha nyuumba bhakemitwe akolo bha Abelizebuli, bholi! Bhandu bhangi bha nyuumba jabhe ngati bhapakemwanga mahina mabhou muno?”
280a1a00ba	“Henela nkotokwaajogopanga bhandu. Atenda kuhiyanga hilebhe hibhatendanga nambo muda gupakuhika bhandu bhapakugabhona genago gagabhatendanga na Kila jumo bhapakugamanya gagatekuchiiya.
280a1b0084	Genigala ninnobholilinge pajika jitu, mwalobhololange bhandu, na genigala ganannobholilinge kwa kunong'ona mwaalobholele kila mundu.
280a1c00d5	Nkotokwaajogopanga bhenibhala bhabhakombola kugukoma mmele gwinu, nambo ngakombola kujikoma mboomo jinu, nambo mwaajogope bhenibhala bhabhakombola kukoma mmele na mboomo jinunji mu mooto gwangahimika machobha goa.
280a1d006d	Njehe huuchwa kwa ulohi nchoko. Nambo jwaakwa hata jumo jwabhe jwapakugwee pahi pangali atati bhinu kuimanya.
280a1e0051	Nambo kwinunji mwangota, hata majunju mu mimutwe jinunji gatekubhalanganikwa goa.
280a1f005e	Henela nkotokujogopa, mwangota nga bha maana muno nnongi ja Annoongo kupeta hijuni hijingi.”
