2800000008	mathiḥ
2817240059	ahaṁ yuṣmānta tathyaṁ vadāmi, vidyamānē'smin puruṣē sarvvē varttiṣyantē|
281725012e	hē yirūśālam hē yirūśālam nagari tvaṁ bhaviṣyadvādinō hatavatī, tava samīpaṁ prēritāṁśca pāṣāṇairāhatavatī, yathā kukkuṭī śāvakān pakṣādhaḥ saṁgr̥hlāti, tathā tava santānān saṁgrahītuṁ ahaṁ bahuvāram aicchaṁ; kintu tvaṁ na samamanyathāḥ|
281726003e	paśyata yaṣmākaṁ vāsasthānam ucchinnaṁ tyakṣyatē|
28172700a1	ahaṁ yuṣmān tathyaṁ vadāmi, yaḥ paramēśvarasya nāmnāgacchati, sa dhanya iti vāṇīṁ yāvanna vadiṣyatha, tāvat māṁ puna rna drakṣyatha|
281801007c	anantaraṁ yīśu ryadā mandirād bahi rgacchati, tadānīṁ śiṣyāstaṁ mandiranirmmāṇaṁ darśayitumāgatāḥ|
28180200cb	tatō yīśustānuvāca, yūyaṁ kimētāni na paśyatha? yuṣmānahaṁ satyaṁ vadāmi, ētannicayanasya pāṣāṇaikamapyanyapāṣāṇēpari na sthāsyati sarvvāṇi bhūmisāt kāriṣyantē|
28180300dd	anantaraṁ tasmin jaitunaparvvatōpari samupaviṣṭē śiṣyāstasya samīpamāgatya guptaṁ papracchuḥ, ētā ghaṭanāḥ kadā bhaviṣyanti? bhavata āgamanasya yugāntasya ca kiṁ lakṣma? tadasmān vadatu|
281804004d	tadānīṁ yīśustānavōcat, avadhadvvaṁ, kōpi yuṣmān na bhramayēt|
2818050071	bahavō mama nāma gr̥hlanta āgamiṣyanti, khrīṣṭō'hamēvēti vācaṁ vadantō bahūn bhramayiṣyanti|
28180600ac	yūyañca saṁgrāmasya raṇasya cāḍambaraṁ śrōṣyatha, avadhadvvaṁ tēna cañcalā mā bhavata, ētānyavaśyaṁ ghaṭiṣyantē, kintu tadā yugāntō nahi|
281807009f	aparaṁ dēśasya vipakṣō dēśō rājyasya vipakṣō rājyaṁ bhaviṣyati, sthānē sthānē ca durbhikṣaṁ mahāmārī bhūkampaśca bhaviṣyanti,
281808001d	ētāni duḥkhōpakramāḥ|
28180900d1	tadānīṁ lōkā duḥkhaṁ bhōjayituṁ yuṣmān parakarēṣu samarpayiṣyanti haniṣyanti ca, tathā mama nāmakāraṇād yūyaṁ sarvvadēśīyamanujānāṁ samīpē ghr̥ṇārhā bhaviṣyatha|
28180a0074	bahuṣu vighnaṁ prāptavatsu parasparam r̥tīyāṁ kr̥tavatsu ca ēkō'paraṁ parakarēṣu samarpayiṣyati|
28180b004e	tathā bahavō mr̥ṣābhaviṣyadvādina upasthāya bahūn bhramayiṣyanti|
28180c004e	duṣkarmmaṇāṁ bāhulyāñca bahūnāṁ prēma śītalaṁ bhaviṣyati|
28180d0057	kintu yaḥ kaścit śēṣaṁ yāvad dhairyyamāśrayatē, saēva paritrāyiṣyatē|
28180e009f	aparaṁ sarvvadēśīyalōkān pratimākṣī bhavituṁ rājasya śubhasamācāraḥ sarvvajagati pracāriṣyatē, ētādr̥śi sati yugānta upasthāsyati|
28180f00af	atō yat sarvvanāśakr̥dghr̥ṇārhaṁ vastu dāniyēlbhaviṣyadvadinā prōktaṁ tad yadā puṇyasthānē sthāpitaṁ drakṣyatha, (yaḥ paṭhati, sa budhyatāṁ)
2818100052	tadānīṁ yē yihūdīyadēśē tiṣṭhanti, tē parvvatēṣu palāyantāṁ|
2818110064	yaḥ kaścid gr̥hapr̥ṣṭhē tiṣṭhati, sa gr̥hāt kimapi vastvānētum adhē nāvarōhēt|
2818120050	yaśca kṣētrē tiṣṭhati, sōpi vastramānētuṁ parāvr̥tya na yāyāt|
2818130047	tadānīṁ garbhiṇīstanyapāyayitrīṇāṁ durgati rbhaviṣyati|
281814006c	atō yaṣmākaṁ palāyanaṁ śītakālē viśrāmavārē vā yanna bhavēt, tadarthaṁ prārthayadhvam|
2818150090	ā jagadārambhād ētatkālaparyyanantaṁ yādr̥śaḥ kadāpi nābhavat na ca bhaviṣyati tādr̥śō mahāklēśastadānīm upasthāsyati|
28181600b7	tasya klēśasya samayō yadi hsvō na kriyēta, tarhi kasyāpi prāṇinō rakṣaṇaṁ bhavituṁ na śaknuyāt, kintu manōnītamanujānāṁ kr̥tē sa kālō hsvīkariṣyatē|
2818170097	aparañca paśyata, khrīṣṭō'tra vidyatē, vā tatra vidyatē, tadānīṁ yadī kaścid yuṣmāna iti vākyaṁ vadati, tathāpi tat na pratīt|
28181800cc	yatō bhāktakhrīṣṭā bhāktabhaviṣyadvādinaśca upasthāya yāni mahanti lakṣmāṇi citrakarmmāṇi ca prakāśayiṣyanti, tai ryadi sambhavēt tarhi manōnītamānavā api bhrāmiṣyantē|
2818190045	paśyata, ghaṭanātaḥ pūrvvaṁ yuṣmān vārttām avādiṣam|
28181a00a3	ataḥ paśyata, sa prāntarē vidyata iti vākyē kēnacit kathitēpi bahi rmā gacchata, vā paśyata, sōntaḥpurē vidyatē, ētadvākya uktēpi mā pratīta|
28181b0085	yatō yathā vidyut pūrvvadiśō nirgatya paścimadiśaṁ yāvat prakāśatē, tathā mānuṣaputrasyāpyāgamanaṁ bhaviṣyati|
28181c0035	yatra śavastiṣṭhati, tatrēva gr̥dhrā milanti|
28181d00c3	aparaṁ tasya klēśasamayasyāvyavahitaparatra sūryyasya tējō lōpsyatē, candramā jyōsnāṁ na kariṣyati, nabhasō nakṣatrāṇi patiṣyanti, gagaṇīyā grahāśca vicaliṣyanti|
28181e00dc	tadānīm ākāśamadhyē manujasutasya lakṣma darśiṣyatē, tatō nijaparākramēṇa mahātējasā ca mēghārūḍhaṁ manujasutaṁ nabhasāgacchantaṁ vilōkya pr̥thivyāḥ sarvvavaṁśīyā vilapiṣyanti|
28181f00b9	tadānīṁ sa mahāśabdāyamānatūryyā vādakān nijadūtān prahēṣyati, tē vyōmna ēkasīmātō'parasīmāṁ yāvat caturdiśastasya manōnītajanān ānīya mēlayiṣyanti|
28182000bf	uḍumbarapādapasya dr̥ṣṭāntaṁ śikṣadhvaṁ; yadā tasya navīnāḥ śākhā jāyantē, pallavādiśca nirgacchati, tadā nidāghakālaḥ savidhō bhavatīti yūyaṁ jānītha;
2818210050	tadvad ētā ghaṭanā dr̥ṣṭvā sa samayō dvāra upāsthād iti jānīta|
2818220074	yuṣmānahaṁ tathyaṁ vadāmi, idānīntanajanānāṁ gamanāt pūrvvamēva tāni sarvvāṇi ghaṭiṣyantē|
281823003e	nabhōmēdinyō rluptayōrapi mama vāk kadāpi na lōpsyatē|
2818240072	aparaṁ mama tātaṁ vinā mānuṣaḥ svargasthō dūtō vā kōpi taddinaṁ taddaṇḍañca na jñāpayati|
2818250067	aparaṁ nōhē vidyamānē yādr̥śamabhavat tādr̥śaṁ manujasutasyāgamanakālēpi bhaviṣyati|
28182600af	phalatō jalāplāvanāt pūrvvaṁ yaddinaṁ yāvat nōhaḥ pōtaṁ nārōhat, tāvatkālaṁ yathā manuṣyā bhōjanē pānē vivahanē vivāhanē ca pravr̥ttā āsan;
2818270097	aparam āplāvitōyamāgatya yāvat sakalamanujān plāvayitvā nānayat, tāvat tē yathā na vidāmāsuḥ, tathā manujasutāgamanēpi bhaviṣyati|
281828004b	tadā kṣētrasthitayōrdvayōrēkō dhāriṣyatē, aparastyājiṣyatē|
2818290061	tathā pēṣaṇyā piṁṣatyōrubhayō ryōṣitōrēkā dhāriṣyatē'parā tyājiṣyatē|
28182a007f	yuṣmākaṁ prabhuḥ kasmin daṇḍa āgamiṣyati, tad yuṣmābhi rnāvagamyatē, tasmāt jāgrataḥ santastiṣṭhata|
28182b0094	kutra yāmē stēna āgamiṣyatīti cēd gr̥hasthō jñātum aśakṣyat, tarhi jāgaritvā taṁ sandhiṁ karttitum avārayiṣyat tad jānīta|
28182c006e	yuṣmābhiravadhīyatāṁ, yatō yuṣmābhi ryatra na budhyatē, tatraiva daṇḍē manujasuta āyāsyati|
28182d0092	prabhu rnijaparivārān yathākālaṁ bhōjayituṁ yaṁ dāsam adhyakṣīkr̥tya sthāpayati, tādr̥śō viśvāsyō dhīmān dāsaḥ kaḥ?
28182e004d	prabhurāgatya yaṁ dāsaṁ tathācarantaṁ vīkṣatē, saēva dhanyaḥ|
28182f0051	yuṣmānahaṁ satyaṁ vadāmi, sa taṁ nijasarvvasvasyādhipaṁ kariṣyati|
281830004e	kintu prabhurāgantuṁ vilambata iti manasi cintayitvā yō duṣṭō dāsō
2818310052	'paradāsān praharttuṁ mattānāṁ saṅgē bhōktuṁ pātuñca pravarttatē,
2818320066	sa dāsō yadā nāpēkṣatē, yañca daṇḍaṁ na jānāti, tatkālaēva tatprabhurupasthāsyati|
2818330090	tadā taṁ daṇḍayitvā yatra sthānē rōdanaṁ dantagharṣaṇañcāsātē, tatra kapaṭibhiḥ sākaṁ taddaśāṁ nirūpayiṣyati|
2819010092	yā daśa kanyāḥ pradīpān gr̥hlatyō varaṁ sākṣāt karttuṁ bahiritāḥ, tābhistadā svargīyarājyasya sādr̥śyaṁ bhaviṣyati|
2819020047	tāsāṁ kanyānāṁ madhyē pañca sudhiyaḥ pañca durdhiya āsan|
281903004c	yā durdhiyastāḥ pradīpān saṅgē gr̥hītvā tailaṁ na jagr̥huḥ,
281904003e	kintu sudhiyaḥ pradīpān pātrēṇa tailañca jagr̥huḥ|
2819050050	anantaraṁ varē vilambitē tāḥ sarvvā nidrāviṣṭā nidrāṁ jagmuḥ|
2819060065	anantaram arddharātrē paśyata vara āgacchati, taṁ sākṣāt karttuṁ bahiryātēti janaravāt
2819070047	tāḥ sarvvāḥ kanyā utthāya pradīpān āsādayituṁ ārabhanta|
2819080060	tatō durdhiyaḥ sudhiya ūcuḥ, kiñcit tailaṁ datta, pradīpā asmākaṁ nirvvāṇāḥ|
28190900a8	kintu sudhiyaḥ pratyavadan, dattē yuṣmānasmāṁśca prati tailaṁ nyūnībhavēt, tasmād vikrētr̥ṇāṁ samīpaṁ gatvā svārthaṁ tailaṁ krīṇīta|
28190a0082	tadā tāsu krētuṁ gatāsu vara ājagāma, tatō yāḥ sajjitā āsan, tāstēna sākaṁ vivāhīyaṁ vēśma praviviśuḥ|
28190b0079	anantaraṁ dvārē ruddhē aparāḥ kanyā āgatya jagaduḥ, hē prabhō, hē prabhō, asmān prati dvāraṁ mōcaya|
28190c0040	kintu sa uktavān, tathyaṁ vadāmi, yuṣmānahaṁ na vēdmi|
28190d0081	atō jāgrataḥ santastiṣṭhata, manujasutaḥ kasmin dinē kasmin daṇḍē vāgamiṣyati, tad yuṣmābhi rna jñāyatē|
28190e0097	aparaṁ sa ētādr̥śaḥ kasyacit puṁsastulyaḥ, yō dūradēśaṁ prati yātrākālē nijadāsān āhūya tēṣāṁ svasvasāmarthyānurūpam
28190f00ae	ēkasmin mudrāṇāṁ pañca pōṭalikāḥ anyasmiṁśca dvē pōṭalikē aparasmiṁśca pōṭalikaikām itthaṁ pratijanaṁ samarpya svayaṁ pravāsaṁ gatavān|
2819100073	anantaraṁ yō dāsaḥ pañca pōṭalikāḥ labdhavān, sa gatvā vāṇijyaṁ vidhāya tā dviguṇīcakāra|
281911004d	yaśca dāsō dvē pōṭalikē alabhata, sōpi tā mudrā dviguṇīcakāra|
2819120087	kintu yō dāsa ēkāṁ pōṭalikāṁ labdhavān, sa gatvā bhūmiṁ khanitvā tanmadhyē nijaprabhōstā mudrā gōpayāñcakāra|
2819130078	tadanantaraṁ bahutithē kālē gatē tēṣāṁ dāsānāṁ prabhurāgatya tairdāsaiḥ samaṁ gaṇayāñcakāra|
28191400ce	tadānīṁ yaḥ pañca pōṭalikāḥ prāptavān sa tā dviguṇīkr̥tamudrā ānīya jagāda; hē prabhō, bhavatā mayi pañca pōṭalikāḥ samarpitāḥ, paśyatu, tā mayā dviguṇīkr̥tāḥ|
28191500cb	tadānīṁ tasya prabhustamuvāca, hē uttama viśvāsya dāsa, tvaṁ dhanyōsi, stōkēna viśvāsyō jātaḥ, tasmāt tvāṁ bahuvittādhipaṁ karōmi, tvaṁ svaprabhōḥ sukhasya bhāgī bhava|
281916009a	tatō yēna dvē pōṭalikē labdhē sōpyāgatya jagāda, hē prabhō, bhavatā mayi dvē pōṭalikē samarpitē, paśyatu tē mayā dviguṇīkr̥tē|
28191700cb	tēna tasya prabhustamavōcat, hē uttama viśvāsya dāsa, tvaṁ dhanyōsi, stōkēna viśvāsyō jātaḥ, tasmāt tvāṁ bahudraviṇādhipaṁ karōmi, tvaṁ nijaprabhōḥ sukhasya bhāgī bhava|
28191800dc	anantaraṁ ya ēkāṁ pōṭalikāṁ labdhavān, sa ētya kathitavān, hē prabhō, tvāṁ kaṭhinanaraṁ jñātavān, tvayā yatra nōptaṁ, tatraiva kr̥tyatē, yatra ca na kīrṇaṁ, tatraiva saṁgr̥hyatē|
281919007b	atōhaṁ saśaṅkaḥ san gatvā tava mudrā bhūmadhyē saṁgōpya sthāpitavān, paśya, tava yat tadēva gr̥hāṇa|
28191a00a6	tadā tasya prabhuḥ pratyavadat rē duṣṭālasa dāsa, yatrāhaṁ na vapāmi, tatra chinadmi, yatra ca na kirāmi, tatrēva saṁgr̥hlāmīti cēdajānāstarhi
28191b0071	vaṇikṣu mama vittārpaṇaṁ tavōcitamāsīt, yēnāhamāgatya vr̥dvyā sākaṁ mūlamudrāḥ prāpsyam|
28191c0059	atōsmāt tāṁ pōṭalikām ādāya yasya daśa pōṭalikāḥ santi tasminnarpayata|
28191d00ab	yēna vardvyatē tasminnaivārpiṣyatē, tasyaiva ca bāhulyaṁ bhaviṣyati, kintu yēna na vardvyatē, tasyāntikē yat kiñcana tiṣṭhati, tadapi punarnēṣyatē|
28191e0097	aparaṁ yūyaṁ tamakarmmaṇyaṁ dāsaṁ nītvā yatra sthānē krandanaṁ dantagharṣaṇañca vidyētē, tasmin bahirbhūtatamasi nikṣipata|
28191f007c	yadā manujasutaḥ pavitradūtān saṅginaḥ kr̥tvā nijaprabhāvēnāgatya nijatējōmayē siṁhāsanē nivēkṣyati,
28192000bc	tadā tatsammukhē sarvvajātīyā janā saṁmēliṣyanti| tatō mēṣapālakō yathā chāgēbhyō'vīn pr̥thak karōti tathā sōpyēkasmādanyam itthaṁ tān pr̥thaka kr̥tvāvīn
2819210034	dakṣiṇē chāgāṁśca vāmē sthāpayiṣyati|
28192200b5	tataḥ paraṁ rājā dakṣiṇasthitān mānavān vadiṣyati, āgacchata mattātasyānugrahabhājanāni, yuṣmatkr̥ta ā jagadārambhat yad rājyam āsāditaṁ tadadhikuruta|
2819230073	yatō bubhukṣitāya mahyaṁ bhōjyam adatta, pipāsitāya pēyamadatta, vidēśinaṁ māṁ svasthānamanayata,
281924008c	vastrahīnaṁ māṁ vasanaṁ paryyadhāpayata, pīḍītaṁ māṁ draṣṭumāgacchata, kārāsthañca māṁ vīkṣituma āgacchata|
2819250095	tadā dhārmmikāḥ prativadiṣyanti, hē prabhō, kadā tvāṁ kṣudhitaṁ vīkṣya vayamabhōjayāma? vā pipāsitaṁ vīkṣya apāyayāma?
281926007f	kadā vā tvāṁ vidēśinaṁ vilōkya svasthānamanayāma? kadā vā tvāṁ nagnaṁ vīkṣya vasanaṁ paryyadhāpayāma?
281927004e	kadā vā tvāṁ pīḍitaṁ kārāsthañca vīkṣya tvadantikamagacchāma?
28192800c0	tadānīṁ rājā tān prativadiṣyati, yuṣmānahaṁ satyaṁ vadāmi, mamaitēṣāṁ bhrātr̥ṇāṁ madhyē kañcanaikaṁ kṣudratamaṁ prati yad akuruta, tanmāṁ pratyakuruta|
28192900b6	paścāt sa vāmasthitān janān vadiṣyati, rē śāpagrastāḥ sarvvē, śaitānē tasya dūtēbhyaśca yō'nantavahnirāsādita āstē, yūyaṁ madantikāt tamagniṁ gacchata|
28192a0057	yatō kṣudhitāya mahyamāhāraṁ nādatta, pipāsitāya mahyaṁ pēyaṁ nādatta,
28192b00a0	vidēśinaṁ māṁ svasthānaṁ nānayata, vasanahīnaṁ māṁ vasanaṁ na paryyadhāpayata, pīḍitaṁ kārāsthañca māṁ vīkṣituṁ nāgacchata|
28192c00b9	tadā tē prativadiṣyanti, hē prabhō, kadā tvāṁ kṣudhitaṁ vā pipāsitaṁ vā vidēśinaṁ vā nagnaṁ vā pīḍitaṁ vā kārāsthaṁ vīkṣya tvāṁ nāsēvāmahi?
28192d00a1	tadā sa tān vadiṣyati, tathyamahaṁ yuṣmān bravīmi, yuṣmābhirēṣāṁ kañcana kṣōdiṣṭhaṁ prati yannākāri, tanmāṁ pratyēva nākāri|
28192e0054	paścādamyanantaśāstiṁ kintu dhārmmikā anantāyuṣaṁ bhōktuṁ yāsyanti|
281a010033	yīśurētān prastāvān samāpya śiṣyānūcē,
281a02008d	yuṣmābhi rjñātaṁ dinadvayāt paraṁ nistāramaha upasthāsyati, tatra manujasutaḥ kruśēna hantuṁ parakarēṣu samarpiṣyatē|
281a030072	tataḥ paraṁ pradhānayājakādhyāpakaprāñcaḥ kiyaphānāmnō mahāyājakasyāṭṭālikāyāṁ militvā
281a04004d	kēnōpāyēna yīśuṁ dhr̥tvā hantuṁ śaknuyuriti mantrayāñcakruḥ|
281a050064	kintu tairuktaṁ mahakālē na dharttavyaḥ, dhr̥tē prajānāṁ kalahēna bhavituṁ śakyatē|
281a060054	tatō baithaniyāpurē śimōnākhyasya kuṣṭhinō vēśmani yīśau tiṣṭhati
281a07007d	kācana yōṣā śvētōpalabhājanēna mahārghyaṁ sugandhi tailamānīya bhōjanāyōpaviśatastasya śirōbhyaṣēcat|
281a08004a	kintu tadālōkya tacchiṣyaiḥ kupitairuktaṁ, kuta itthamapavyayatē?
281a090057	cēdidaṁ vyakrēṣyata, tarhi bhūrimūlyaṁ prāpya daridrēbhyō vyatāriṣyata|
281a0a0082	yīśunā tadavagatya tē samuditāḥ, yōṣāmēnāṁ kutō duḥkhinīṁ kurutha, sā māṁ prati sādhu karmmākārṣīt|
281a0b0067	yuṣmākamaṁ samīpē daridrāḥ satatamēvāsatē, kintu yuṣmākamantikēhaṁ nāsē satataṁ|
281a0c0053	sā mama kāyōpari sugandhitailaṁ siktvā mama śmaśānadānakarmmākārṣīt|
281a0d00b8	atōhaṁ yuṣmān tathyaṁ vadāmi sarvvasmin jagati yatra yatraiṣa susamācāraḥ pracāriṣyatē, tatra tatraitasyā nāryyāḥ smaraṇārtham karmmēdaṁ pracāriṣyatē|
281a0e0086	tatō dvādaśaśiṣyāṇām īṣkariyōtīyayihūdānāmaka ēkaḥ śiṣyaḥ pradhānayājakānāmantikaṁ gatvā kathitavān,
281a0f0093	yadi yuṣmākaṁ karēṣu yīśuṁ samarpayāmi, tarhi kiṁ dāsyatha? tadānīṁ tē tasmai triṁśanmudrā dātuṁ sthirīkr̥tavantaḥ|
281a10004e	sa tadārabhya taṁ parakarēṣu samarpayituṁ suyōgaṁ cēṣṭitavān|
281a1100bd	anantaraṁ kiṇvaśūnyapūpaparvvaṇaḥ prathamēhni śiṣyā yīśum upagatya papracchuḥ bhavatkr̥tē kutra vayaṁ nistāramahabhōjyam āyōjayiṣyāmaḥ? bhavataḥ kēcchā?
281a1200b8	tadā sa gaditavān, madhyēnagaramamukapuṁsaḥ samīpaṁ vrajitvā vadata, guru rgaditavān, matkālaḥ savidhaḥ, saha śiṣyaistvadālayē nistāramahabhōjyaṁ bhōkṣyē|
281a13006f	tadā śiṣyā yīśōstādr̥śanidēśānurūpakarmma vidhāya tatra nistāramahabhōjyamāsādayāmāsuḥ|
281a140054	tataḥ sandhyāyāṁ satyāṁ dvādaśabhiḥ śiṣyaiḥ sākaṁ sa nyaviśat|
281a150071	aparaṁ bhuñjāna uktavān yuṣmān tathyaṁ vadāmi, yuṣmākamēkō māṁ parakarēṣu samarpayiṣyati|
281a160055	tadā tē'tīva duḥkhitā ēkaikaśō vaktumārēbhirē, hē prabhō, sa kimahaṁ?
281a170083	tataḥ sa jagāda, mayā sākaṁ yō janō bhōjanapātrē karaṁ saṁkṣipati, sa ēva māṁ parakarēṣu samarpayiṣyati|
281a1800cd	manujasutamadhi yādr̥śaṁ likhitamāstē, tadanurūpā tadgati rbhaviṣyati; kintu yēna puṁsā sa parakarēṣu samarpayiṣyatē, hā hā cēt sa nājaniṣyata, tadā tasya kṣēmamabhaviṣyat|
281a19009c	tadā yihūdānāmā yō janastaṁ parakarēṣu samarpayiṣyati, sa uktavān, hē gurō, sa kimahaṁ? tataḥ sa pratyuktavān, tvayā satyaṁ gaditam|
281a1a00b1	anantaraṁ tēṣāmaśanakālē yīśuḥ pūpamādāyēśvarīyaguṇānanūdya bhaṁktvā śiṣyēbhyaḥ pradāya jagāda, madvapuḥsvarūpamimaṁ gr̥hītvā khādata|
281a1b0084	paścāt sa kaṁsaṁ gr̥hlan īśvarīyaguṇānanūdya tēbhyaḥ pradāya kathitavān, sarvvai ryuṣmābhiranēna pātavyaṁ,
281a1c0064	yasmādanēkēṣāṁ pāpamarṣaṇāya pātitaṁ yanmannūtnaniyamarūpaśōṇitaṁ tadētat|
281a1d006c	aparamahaṁ nūtnagōstanīrasaṁ na pāsyāmi, tāvat gōstanīphalarasaṁ punaḥ kadāpi na pāsyāmi|
281a1e0047	paścāt tē gītamēkaṁ saṁgīya jaitunākhyagiriṁ gatavantaḥ|
281a1f010e	tadānīṁ yīśustānavōcat, asyāṁ rajanyāmahaṁ yuṣmākaṁ sarvvēṣāṁ vighnarūpō bhaviṣyāmi, yatō likhitamāstē, "mēṣāṇāṁ rakṣakō yastaṁ prahariṣyāmyahaṁ tataḥ| mēṣāṇāṁ nivahō nūnaṁ pravikīrṇō bhaviṣyati"||
281a20004f	kintu śmaśānāt samutthāya yuṣmākamagrē'haṁ gālīlaṁ gamiṣyāmi|
281a21006c	pitarastaṁ prōvāca, bhavāṁścēt sarvvēṣāṁ vighnarūpō bhavati, tathāpi mama na bhaviṣyati|
281a22009f	tatō yīśunā sa uktaḥ, tubhyamahaṁ tathyaṁ kathayāmi, yāminyāmasyāṁ caraṇāyudhasya ravāt pūrvvaṁ tvaṁ māṁ tri rnāṅgīkariṣyasi|
281a230097	tataḥ pitara uditavān, yadyapi tvayā samaṁ marttavyaṁ, tathāpi kadāpi tvāṁ na nāṅgīkariṣyāmi; tathaiva sarvvē śiṣyāścōcuḥ|
281a2400c5	anantaraṁ yīśuḥ śiṣyaiḥ sākaṁ gētśimānīnāmakaṁ sthānaṁ prasthāya tēbhyaḥ kathitavān, adaḥ sthānaṁ gatvā yāvadahaṁ prārthayiṣyē tāvad yūyamatrōpaviśata|
281a250070	paścāt sa pitaraṁ sivadiyasutau ca saṅginaḥ kr̥tvā gatavān, śōkākulō'tīva vyathitaśca babhūva|
281a26006d	tānavādīcca mr̥tiyātanēva matprāṇānāṁ yātanā jāyatē, yūyamatra mayā sārddhaṁ jāgr̥ta|
281a2700d1	tataḥ sa kiñciddūraṁ gatvādhōmukhaḥ patan prārthayāñcakrē, hē matpitaryadi bhavituṁ śaknōti, tarhi kaṁsō'yaṁ mattō dūraṁ yātu; kintu madicchāvat na bhavatu, tvadicchāvad bhavatu|
281a280094	tataḥ sa śiṣyānupētya tān nidratō nirīkṣya pitarāya kathayāmāsa, yūyaṁ mayā sākaṁ daṇḍamēkamapi jāgarituṁ nāśankuta?
281a29006b	parīkṣāyāṁ na patituṁ jāgr̥ta prārthayadhvañca; ātmā samudyatōsti, kintu vapu rdurbbalaṁ|
281a2a0098	sa dvitīyavāraṁ prārthayāñcakrē, hē mattāta, na pītē yadi kaṁsamidaṁ mattō dūraṁ yātuṁ na śaknōti, tarhi tvadicchāvad bhavatu|
281a2b005d	sa punarētya tān nidratō dadarśa, yatastēṣāṁ nētrāṇi nidrayā pūrṇānyāsan|
281a2c0058	paścāt sa tān vihāya vrajitvā tr̥tīyavāraṁ pūrvvavat kathayan prārthitavān|
281a2d00a4	tataḥ śiṣyānupāgatya gaditavān, sāmprataṁ śayānāḥ kiṁ viśrāmyatha? paśyata, samaya upāsthāt, manujasutaḥ pāpināṁ karēṣu samarpyatē|
281a2e006a	uttiṣṭhata, vayaṁ yāmaḥ, yō māṁ parakarēṣu masarpayiṣyati, paśyata, sa samīpamāyāti|
281a2f00bb	ētatkathākathanakālē dvādaśaśiṣyāṇāmēkō yihūdānāmakō mukhyayājakalōkaprācīnaiḥ prahitān asidhāriyaṣṭidhāriṇō manujān gr̥hītvā tatsamīpamupatasthau|
281a300096	asau parakarēṣvarpayitā pūrvvaṁ tān itthaṁ saṅkētayāmāsa, yamahaṁ cumbiṣyē, sō'sau manujaḥ, saēva yuṣmābhi rdhāryyatāṁ|
281a310051	tadā sa sapadi yīśumupāgatya hē gurō, praṇamāmītyuktvā taṁ cucumbē|
281a320063	tadā yīśustamuvāca, hē mitraṁ kimarthamāgatōsi? tadā tairāgatya yīśurākramya daghrē|
281a330094	tatō yīśōḥ saṅgināmēkaḥ karaṁ prasāryya kōṣādasiṁ bahiṣkr̥tya mahāyājakasya dāsamēkamāhatya tasya karṇaṁ cicchēda|
281a34007e	tatō yīśustaṁ jagāda, khaḍgaṁ svasthānē nidhēhi yatō yē yē janā asiṁ dhārayanti, taēvāsinā vinaśyanti|
281a3500c6	aparaṁ pitā yathā madantikaṁ svargīyadūtānāṁ dvādaśavāhinītō'dhikaṁ prahiṇuyāt mayā tamuddiśyēdānīmēva tathā prārthayituṁ na śakyatē, tvayā kimitthaṁ jñāyatē?
281a360060	tathā satītthaṁ ghaṭiṣyatē dharmmapustakasya yadidaṁ vākyaṁ tat kathaṁ sidhyēt?
281a3700d6	tadānīṁ yīśu rjananivahaṁ jagāda, yūyaṁ khaḍgayaṣṭīn ādāya māṁ kiṁ cauraṁ dharttumāyātāḥ? ahaṁ pratyahaṁ yuṣmābhiḥ sākamupaviśya samupādiśaṁ, tadā māṁ nādharata;
281a38007e	kintu bhaviṣyadvādināṁ vākyānāṁ saṁsiddhayē sarvvamētadabhūt|tadā sarvvē śiṣyāstaṁ vihāya palāyanta|
281a3900a1	anantaraṁ tē manujā yīśuṁ dhr̥tvā yatrādhyāpakaprāñcaḥ pariṣadaṁ kurvvanta upāviśan tatra kiyaphānāmakamahāyājakasyāntikaṁ ninyuḥ|
281a3a009c	kintu śēṣē kiṁ bhaviṣyatīti vēttuṁ pitarō dūrē tatpaścād vrajitvā mahāyājakasyāṭṭālikāṁ praviśya dāsaiḥ sahita upāviśat|
281a3b006c	tadānīṁ pradhānayājakaprācīnamantriṇaḥ sarvvē yīśuṁ hantuṁ mr̥ṣāsākṣyam alipsanta,
281a3c0054	kintu na lēbhirē| anēkēṣu mr̥ṣāsākṣiṣvāgatēṣvapi tanna prāpuḥ|
281a3d009e	śēṣē dvau mr̥ṣāsākṣiṇāvāgatya jagadatuḥ, pumānayamakathayat, ahamīśvaramandiraṁ bhaṁktvā dinatrayamadhyē tannirmmātuṁ śaknōmi|
281a3e0074	tadā mahāyājaka utthāya yīśum avādīt| tvaṁ kimapi na prativadasi? tvāmadhi kimētē sākṣyaṁ vadanti?
281a3f009e	kintu yīśu rmaunībhūya tasyau| tatō mahāyājaka uktavān, tvām amarēśvaranāmnā śapayāmi, tvamīśvarasya putrō'bhiṣiktō bhavasi navēti vada|
281a4000db	yīśuḥ pratyavadat, tvaṁ satyamuktavān; ahaṁ yuṣmān tathyaṁ vadāmi, itaḥparaṁ manujasutaṁ sarvvaśaktimatō dakṣiṇapārśvē sthātuṁ gagaṇasthaṁ jaladharānāruhyāyāntaṁ vīkṣadhvē|
281a4100c5	tadā mahāyājakō nijavasanaṁ chittvā jagāda, ēṣa īśvaraṁ ninditavān, asmākamaparasākṣyēṇa kiṁ prayōjanaṁ? paśyata, yūyamēvāsyāsyād īśvaranindāṁ śrutavantaḥ,
