010000000c	U̱r-Taku̱n
01131d008d	Se̱di Ru̱-u̱ ho̱k ko̱n-u̱s Ibrahi, wa yage̱ Ro̱t u̱r-fat. Wa ruut Ro̱t du̱gu̱ swadu̱ u̱r-ko̱b du̱ he̱e̱ne̱ bo̱-u̱t to̱.
01131e00c8	Da-u̱ tase̱ Ro̱t yage̱ bo̱-u̱ Zo̱war remu̱ zu̱ wa o̱ gye̱r-u̱ ne̱t-tu̱ o̱o̱ge̱ u̱ku̱n. Wa do̱'e̱ wa shu̱'u̱t u̱ do̱m-u̱ u̱r-ro̱r u-so' u̱ ya-u̱t-gwu̱p-u̱ wa ne̱ yu̱r.
01131f00e4	De̱ku̱n ho̱-de̱ yu̱-wu̱ya zu̱ hu̱no-u wa, “Campa-ne̱ zamu̱n u̱ gas-u̱ uno̱ da. In zaar u̱ kwu̱m-du̱ campa wu̱ do̱'e̱ ga-du̱ in u̱ka na nomte̱ da. Za m-tumb u̱so in do̱'e̱ no̱m-du̱ u̱r-wu̱' za yaag.
0113200086	Haane̱, yage̱ yu̱-u ya' wu̱n ke̱ wu̱n swa, se̱ yu̱-u roog u̱ wu̱n ne̱, ko̱ in u̱ cinu̱ go̱ du̱gu̱-du̱ u̱so-u in.”
01132100b0	Da-u̱ gye̱p-mu̱ no̱me̱, u̱n yu̱' wa ke̱ e̱ ho wa, se̱ yu̱-wu̱ya to wa roog u̱ wu̱n ne̱. Wu̱n nak da-u̱ gwu̱p-u̱ wu̱n ru̱te̱ da ko̱ da-u̱ wa yu̱ne̱ da.
01132200fe	Da-u̱ is gase̱ yu̱-wu̱ya zu̱ hu̱no-u wa, “Gyu̱p-ne̱, u̱m roogte̱ u̱ u̱so ri ne̱, yage̱ u̱ in sur m-ya wu̱n ke̱ u̱ da-o̱ m-gye̱p. Se̱ bo̱ cwa u̱ no̱ wa ne̱ roog u̱ wu̱n ne̱ ko̱ in u̱ cinu̱ yaag du̱gu̱-du̱ u̱so-u in.”
01132300b5	Se̱ u̱n wu̱' u̱so-u u̱n wa swa ke̱ e̱ ho wa u̱ gyu̱p-m mo̱. Se̱ du̱-dim to wa roog u̱ wa ne̱. Wu̱n nak da-u̱ gwu̱p-u̱ wu̱n ru̱te̱ da ko̱ da-u̱ wa yu̱ne̱ da.
011324006b	U̱ remu̱ iyane̱, ya-u̱t-gwu̱p-u̱ Ro̱t be̱e̱t u̱n no̱m me̱n-tu̱ uub du̱gu̱-du̱ u̱so-u u̱n.
0113250079	Yu̱-wu̱ya mu̱t ya-du̱ u̱r-campa, wa te̱'e̱ de̱ u̱r-dim Mowab, ya'ag-u̱ Mowab e̱ na fu̱ge̱ da-o̱ Mowab-ne̱.
01132600a9	Du̱-dim sur m-mat ya-du̱ u̱r-campa, wa te̱'e̱ wa u̱r-dim Amona. Wa na foge̱ ya-du̱ ne̱t-u̱t ri, ya'ag-u̱ Amona e̱ na fu̱ge̱ Amona-ne̱ u̱ haan da-u uno̱.
01140100f5	Ibrahi u̱ ne̱t-u̱t wa ne̱ e̱ yu̱ne̱ u̱n aru̱k, se̱ da-u̱ e̱ te̱ye̱ gas-u̱ do̱g-du̱ Ne̱giv. E̱ do̱'e̱ e̱ shu̱'u̱t u̱ te̱k-u̱ bo̱-tu̱ Kades u̱ Shur ne̱ u-da cashi. Se̱ wa shu̱'u̱t sha-mu̱ ham-u̱t bo̱-u̱ Gerar.
0114020092	U̱ku̱n Ibrahi ware̱ u̱t-ne̱t u̱zu̱ Saratu, “Hu̱no-u ri wa.” Se̱ Abime̱re̱k, faru̱k-u̱ Gerar, to̱m na fagu̱n Saratu wa ku̱b wa.
011403009a	M-gyu̱p Ru̱-u̱ haan u̱du̱ Abime̱re̱k u̱ bo' wa zu̱ wa, “Bo̱ u̱ wu̱ mare̱ ganse̱ u̱ remu̱ ne̱ta wu̱ bo̱ kabne̱, ne̱ta waku̱n wa.”
0114040085	Se̱di Abime̱re̱k haag u̱ kit-u̱ wu̱n da, se̱ wa zu̱, “U̱so-u̱ u-bu ri, ¿bo̱ ho̱ru̱sse̱te̱ ne̱t-tu̱ za u̱t-ba'as?
01140500b1	Ibrahi wa zu̱ me̱ hu̱no-u wa o̱, tu̱msu̱ Saratu u̱ hi-u̱r wa zu̱u̱g me̱ iya, ‘O̱ru̱ ri wa.’ U̱m to̱ u̱ sa'u wa jab gan, kom-u̱t ri zatte̱ u̱t-ba'as da.”
01140600bf	Se̱ Ru̱-u̱ zu̱ wu̱n, “E̱, u̱m nak u̱zu̱ bo̱ saag wa jab gan. O̱ wa'e̱ u̱m hooste̱ bo̱ no̱m-du̱ u̱t-ba'as u̱du̱ ri, tu̱msu̱ o̱ wa'e̱ u̱m hooste̱ bo̱ tamdu̱ wu̱n.
0114070121	U̱ da-o̱ muute̱ campa-u ya ne̱ta wa, wa no̱mu̱ bo̱ u̱s-to̱o̱g. Wa-warru̱ rem-su̱ u-Ru̱ wa, u̱ da-u o̱ bo̱ u̱t-no̱m u̱r-fat. Se̱di a-bo̱ gu̱gme̱ muutu̱ ne̱ta-u ya u̱du̱ campa wa, bo̱ nap u̱zu̱ bo̱ u̱ ne̱t-tu̱ u-bu-u ró ne̱ u̱t-be̱e̱t no̱ u̱t-mar.”
01140800ac	Da-u̱ is gase̱ u̱r-wu̱n te̱ te̱p Abime̱re̱k fog mo̱ro̱g-du̱ to̱k-ne̱ wa be̱e̱t. Da-u o̱ wa waru̱ e̱ no̱mu̱ na no̱me̱, u̱n hog u-gye̱r u̱n be̱e̱t.
011409010e	Se̱ Abime̱re̱k fog Ibrahi wa zu̱, “¿Yan-o̱ bo̱ no̱mu̱ it inya? ¿Yan ba'as-to̱ u̱m no̱mu̱ bo̱? Bo̱ haatu̱n me̱ tun-to̱ no̱m-u̱t yo̱-to̱ yatto̱ tunto̱ u̱ dak-u ri u̱ ne̱t-u̱t ri ne̱ u̱t-be̱e̱t. Bo̱ no̱ngu̱ me̱ no̱mtu̱ kame̱ da.”
01140a0058	Abime̱re̱k shit Ibrahi, “¿Remu̱ yan-o̱ bo̱ nomte̱ go̱-du̱ uno̱ no̱m-o̱?”
01140b009f	Ibrahi zu̱, “U̱m no̱mu̱g u̱s-dorog u̱zu̱, ‘Gye̱r u-Ru̱ zaar u̱du̱ ne̱t-tu̱ dinde̱ be-de̱ da, e̱ keru̱ ho̱-du̱ me̱ e̱ kab ne̱ta ri.’
01140c0070	U̱t-nip hu̱no̱ ri wa. U̱so-u it u̱ wa ne̱ o̱ u-gan, se̱di ko̱wan o̱ u̱ ino-u wa, se̱di u̱m gu̱ wa.
01140d00e5	Da-u̱ Ru̱-u̱ fagu̱ me̱ u̱m yage̱ bu-u̱ u̱so-u ri, u̱m zu̱ Saratu, ‘Ka bo̱ de̱ttte̱ u̱ ko̱su̱ me̱ u̱t-cwanu̱ ya, be-du̱ yu̱-u hu̱u̱te̱ u̱r-be̱e̱t, bo̱ zu̱ me̱ hu̱no-u ró wa u̱m o̱o̱ge̱.’”
01140e00cd	Se̱ Abime̱re̱k ku̱b e̱ke̱n u̱ te̱k-u̱ ban-tu̱ ca wa u̱ gwaar ne̱ u̱ na ne̱, tu̱msu̱ u̱ to̱k-ne̱ ne̱ta-ne̱ u̱ campa-ne̱, wa yasu̱ Ibrahi e̱, tu̱msu̱ wa mu̱tu̱n Saratu ne̱ta wa.
01140f0068	Abime̱re̱k zu̱ Ibrahi, “Dak-u ri ya u̱ku̱n u̱du̱ ró, shu̱'u̱te̱ u̱ be-du̱ citu̱ bo̱.”
01141000fe	Se̱ Abime̱re̱k zu̱ Saratu, “U̱m yaag campa ró kwam-u̱t pus-to̱ tu̱ shik u̱t-ko̱k u̱t-o̱p, remu̱ zu̱ u̱ shu̱'u̱t u̱s-nap u̱ ne̱t-tu̱ bo̱ o̱o̱ge̱ u̱ to̱ ne̱ u̱t-be̱e̱t u̱zu̱ bo̱ no̱mu̱g o̱ko̱n u̱ za so̱-o̱ da.”
01141100ad	Ibrahi no̱m u̱s-ko̱n u̱du̱ u-Ru̱, Ru̱-u̱ yu̱ Abime̱re̱k m-yar, u̱ ne̱t-u̱t wa ne̱ u̱ to̱k-u̱ wa ne̱, ne̱ta-ne̱, ko̱ e̱ kumu̱ mat-du̱ yaag tu̱msu̱,
01141200a2	remu̱ zu̱ Yawe wa'ag ne̱ta-ne̱ be̱e̱t i o̱o̱ge̱ u̱ bu-u Abime̱re̱k, u̱zu̱ e̱ za u̱r-mat da remu̱ zu̱ Abime̱re̱k kab-u̱g ne̱ta Ibrahi Saratu.
0115010051	Yawe este̱ u̱s-rem tu̱msu̱ wa no̱mu̱ Saratu no̱mu̱ wa zu̱ wa u̱t-no̱m.
0115020093	No̱ng ho̱n-ho̱n u̱ da-u̱ Ru̱-u̱ waru̱ Ibrahi, Saratu ku̱b me̱n-tu̱ ub, se̱ wa matu̱ Ibrahi ya-du̱ u̱r-campa u̱ da-u̱ wu̱-u̱r wa.
0115030036	Ibrahi te̱'e̱ ya-du̱ u̱r-campa wa u̱r-dim Ishaku.
0115040068	Da-u̱ Ishaku no̱me̱ m-roog u̱t-eer, Ibrahi no̱mu̱ wa u̱r-pe̱s u̱ka Ru̱-u̱ zu̱tte̱ wa no̱m.
0115050042	Ibrahi no̱ng u̱s-hak u̱t-shik u̱t-tan da-u̱ wa mate̱ Ishaku.
0115060071	Saratu zu̱, “Ru̱-u̱ wa'ag me̱ u̱t-nu̱mu̱s; ko̱wana ho̱ge̱ wa se̱gu̱ me̱ no̱m-du̱ u̱t-nu̱mu̱s.
0115070091	¿Wana tame̱ u̱t-zu̱ Ibrahi u̱zu̱ Saratu u̱ wu̱rgu̱ wa'? M-ha iyane̱ u̱m mak-tu̱ Ibrahi ya-du̱ u̱r-campa u̱ da-u̱ wu̱-u̱r wa.”
0115080075	Da-u̱ Ishaku rogme̱ na o̱ u̱ mo̱ttu̱ kasdu̱ wa u̱r-de̱, Ibrahi bu̱n mo̱ro̱g-u̱r yat-de̱ du̱ u̱r-so̱.
0115090097	De̱ku̱n ho̱-de̱, Ismaru wa'-u̱ Hajara wa dak-u̱ Masar o̱ ho̱r e̱ Ishaku, Saratu hyen Ismaru u̱ no̱mu̱ Ishaku nu̱mu̱s-tu̱ u̱s-ju̱ru̱m.
01150a009b	Se̱ Saratu zu̱ Ibrahi, “Buz to̱k-u̱ ne̱ta unwa e̱ wa'-u̱ wa ne̱, wa za re̱-du̱ no̱m-u̱ u̱t-kom ri u̱r-kot u̱ Ishaku wa'-u̱ ri ne̱ da!”
01150b0049	Rem-u̱s se̱ tu̱m jab-u̱ Ibrahi sok remu̱ zu̱ Ismaru wa'-u̱ rò wa.
01150c00eb	Se̱ Ru̱-u̱ zu̱ Ibrahi, “A jab-u̱ ró na u̱ remu̱ bu̱z-du̱ to̱k-u̱ ne̱ta unwa Hajara e̱ wa'-u̱ wa ne̱ da. No̱m no̱m-u̱ Saratu zu̱ bo̱ no̱m, remu̱ zu̱ du̱gu̱-du̱ Ishaku de̱ na do̱te̱ fag-du̱ ko̱-u̱r ró.
01150d0095	Se̱di me̱ u̱t-no̱m dak-u yat-o̱ du̱gu̱-du̱ wa'-u̱ to̱k-u̱ ne̱ta ró wa shu̱'u̱t u-dak, remu̱ zu̱ wa'-u̱ ró wa o̱o̱ge̱ ko̱wa.”
01150e012a	Se̱ Ibrahi yu̱ne̱ u̱r-wu̱n te̱p te̱p, wa ku̱b no̱m u̱t-re̱ u̱ kub-du̱ m-bu̱ ne̱, wa yasu̱ Hajara. Ibrahi su̱bgu̱ Hajara to̱ u̱t-kap, wa yasu̱ Hajara wa zu̱ wa aru̱k u̱ wa'-u̱ e̱ ne̱. Se̱ Hajara aru̱k, wa hu̱ u̱t-riig u̱r-do̱g du̱ o̱ dapu̱s bo̱-u̱ Be̱rshe̱ba.
01150f0070	Da-u̱ bu̱-mu̱ u̱r-kub tu̱se̱, se̱ Hajara ru̱st u̱r-ya u̱ kug-du̱ m-yara u̱ yaku̱n te-ya u̱r-do̱g.
01151000b8	Se̱ wa aru̱k, wa do̱'e̱ m-ra wa shu̱'u̱t u̱ka ra-mu̱ ta-u̱ u-ta, wa dorog u̱ jab-u̱ wa u̱zu̱, “U̱m za u̱ssa u̱m hyan mar-mu̱ wa'-u̱ ri da.” Se̱ wa hu̱ u̱s-kan.
01151100d2	Se̱di da-u̱ Ru̱-u̱ ho̱ge̱ kan-su̱ u̱r-ya, wa-to̱m u-Ru̱ fog Hajara. Wa zu̱, “Hajara, ¿yan-o̱ no̱me̱? A-bo̱ ho̱g u-gye̱r da, Ru̱-u̱ ho̱k kan-su̱ u̱r-ya u̱ be-du̱ de̱ o̱tte̱ m-ru̱t.
0115120084	De̱'e̱, bo̱ yu̱nu̱s wa'-u̱ wa, u̱ bo̱ par wa, remu̱ zu̱ du̱gu̱ ko̱-u̱r wa de̱, u̱m do̱te̱ kadu̱ dak-u yat-o̱.”
011513007d	Se̱ Ru̱-u̱ upus is-u̱ Hajara, wa hyen du-du̱ m-bu̱. Wa do̱'e̱ wa shu̱u̱s kub-du̱ m-bu̱ wa yu̱ ya-u̱r wa, wa so.
011514007c	Ru̱-u̱ o̱ u̱r-kot u̱ wa'-u̱ wa ne̱, wa nen. Wa nom u̱r-yu̱ u̱-me u̱r-do̱g wa shu̱'u̱t wa nap-mu̱ ta-u̱ u-ta.
011515006d	Da-u̱ wa o̱o̱ge̱ shu̱'u̱t do̱g-du̱ Paran, ino̱-u rò kwu̱mnu̱ wu̱n ne̱ta du̱gu̱ dak-u̱ Masar.
01151600d7	U̱ te̱k-u̱ da-u o̱, Abime̱re̱k e̱ Piko̱r yu̱-Yat-ya karma-ne̱ e̱ do̱'e̱ u̱du̱ Ibrahi. E̱ zu̱ wa, “Ru̱-u̱ o̱ u̱r-kot u̱ bo̱ ne̱ u̱ te̱k-u̱ no̱m-u̱ bo̱ o̱o̱ge̱ u̱t-no̱m u-be̱e̱t.
01151700fd	Remu̱ iyane̱, to̱n-de̱ u-Ru̱ ne̱ u̱zu̱ bo̱ zaru̱ re̱ ra-u ri da, u̱ ya'ag-u̱ ri ne̱, ko̱ a ko̱-u̱r ri ne̱. No̱mu̱ me̱ no̱m-u̱t so̱-to̱, u̱ dak-u ri ne̱ u̱ bo̱ o̱tte̱ shu̱'u̱t mu̱ u̱r-hamu̱t u̱ka u̱m nomte̱ bo̱.”
0115180023	Ibrahi zu̱, “U̱m to̱ndte̱.”
0115190095	Ibrahi haatu̱n Abime̱re̱k u̱s-kan u̱ mo̱ttu̱ du-du̱ m-bu̱ du̱ to̱k-ne̱ Abime̱re̱k ru̱mse̱ u̱r-be̱b du̱gu̱-du̱ to̱k-ne̱ Ibrahi.
01151a0084	Abime̱re̱k zu̱, “U̱m nak wu̱ no̱me̱ uno̱ no̱m-o̱ da. Bo̱ wargu̱ me̱ da, taku̱n-du̱ m-ho̱g-u̱ ri ya u̱ ya-o̱.”
01151b0073	Se̱ Ibrahi yu̱ Abime̱re̱k ban-du̱ ca u̱ gwaar ne̱ u̱ na ne̱, se̱ e̱ yu̱r e̱ no̱m este̱du̱ u̱s-rem.
01151c0043	Ibrahi du̱gu̱r ya'ag-u̱ ca ta'e̱r du̱gu̱ me̱ ban-du̱ ca wa.
01151d0066	Abime̱re̱k zu̱ Ibrahi, “¿Rem-u yan-o̱ bo̱ du̱gu̱rte̱ ine̱ yaag-u̱ ca-ye̱ u̱ war-e̱?”
01151e0057	Wa zu̱, “Kab ca e̱, e̱ shu̱'u̱t u̱s-nap u̱zu̱ me̱ wa kawe̱ du-u̱r re̱.”
01151f0063	Remu̱ iya na fu̱g dim-du̱ be-u̱r re̱ Be̱rshe̱ba, remu̱ zu̱ ku̱na e̱ nomte̱ u̱s-to̱nd.
01152000cd	Da-u̱ e̱ taase̱ no̱m-du̱ u̱s-to̱nd u̱ be-du̱ na zu̱ye̱ “Du-du̱ u̱s-to̱nd,” se̱ Abime̱re̱k e̱ Piko̱r yu̱-Yat-ya karma-ne̱, e̱ yu̱ne̱ e̱ aru̱k m-mu̱ u̱ dak-u̱ Firistiya-ne̱.
0115210081	Ibrahi ser u-te go̱-du̱ te-yu̱ m-yara u̱ Be̱rshe̱ba ku̱na wa fu̱kte̱ u̱ te̱k-u̱ dim-u̱r Yawe, u-Ru̱ u̱ za u̱r-ma.
0115220031	Se̱ Ibrahi shu̱'u̱t wa dak-u̱ Firistiya-ne̱.
011601009c	Da-u̱ na no̱me̱ u̱s-hak u-tát, se̱ Ru̱-u̱ re̱g ya-du̱ jab-u̱ Ibrahi, se̱ Ru̱-u̱ fu̱g wu̱n wa zu̱, “Ibrahi!” Ibrahi zu̱, “Me̱ ya.”
0116020112	Se̱ Ru̱-u̱ zu̱, “Kab wa'-u̱ ró, ya-du̱ u̱r-gan u̱ ró Ishaku, wu̱ bo̱ zege̱ u̱t-cwan, bo̱ aru̱k m-ha u̱ dak-u̱ na zu̱ye̱ Moriya. Bo̱ yasu̱ wu̱n u̱ku̱n sha-mu̱ ya-du̱ to̱o̱g u̱ do̱m-u̱ de̱ku̱n ro̱r-de̱ du̱ u̱m do̱'e̱ ko̱su̱ bo̱.”
01160300f3	Ibrahi yu̱ne̱ u̱r-wu̱n te̱p te̱p. Wa zo̱ng janka-u wa, wa zu̱ to̱k-ne̱ yu̱r u̱ do̱r wa, u̱ wa'-u̱ wa ne̱ Ishaku. Da-u̱ wa bu̱kre̱ u̱t-te tu̱ no̱m-du̱ to̱o̱g, se̱ e̱ he̱e̱se̱ m-ha u̱ be-du̱ Ru̱-u̱ waru̱ wu̱n.
011604005c	Da-u̱ e̱ no̱me̱ m-roog u̱t-tu̱t, Ibrahi jaku̱s is wa hyan be-u̱r re̱ du̱gu̱ m-ra.
01160500b0	Ibrahi zu̱ to̱k-ne̱ wa, “E̱stu̱n it u̱ ane̱ u-janka ne̱, it u̱ Ishaku do̱'e̱ m-ha u̱ ane̱ jit, it no̱mo̱n u̱t-huuk, it do̱'e̱ u̱t-mu̱u̱n u̱du̱ no̱.”
0116060077	Ibrahi to̱ksu̱ Ishaku u̱t-te tu̱ no̱m-du̱ to̱o̱g, wa ku̱b u-ra u-van ne̱, e̱ wane̱ aru̱k m-no̱k u̱r-kot.
01160700da	Ishaku bir wa got Ibrahi, wa zu̱, “U̱so-u ri.” Ibrahi zu̱, “Wa'-u̱ ri, me̱ ya.” Ishaku shit wa zu̱, “U̱m hyanu̱g u-ra, u̱t-te ne̱, se̱di u̱m hyanu̱g ca-yu̱ na do̱te̱ no̱m-du̱ to̱o̱g da.”
011608007a	Ibrahi shu̱s wa zu̱, “Wa'-u̱ ri, Ru̱-u̱ de̱ haatu̱n ca-yu̱ to̱o̱g.” Se̱ u̱n re shu̱ m-ha ne̱ u̱n yu̱r.
01160900b9	Da-u̱ u̱n teye̱ be-du̱ Ru̱-u̱ waru̱ wu̱n, Ibrahi no̱m u̱r-sak wa su̱k u̱t-te u-do̱m. Wa gu̱gru̱sse̱ wa'-u̱ wa Ishaku, wa su̱k wa u̱-do̱m u̱r-sak, u̱-do̱m u̱t-te.
01160a003e	Se̱ Ibrahi kabu̱n u-van, u̱ remu̱ wa pu̱nu̱t wa'-u̱ wa.
01160b0074	U̱ da-u o̱ wa-to̱m Yawe fog wu̱n du̱gu̱ do̱m u-ru̱, wa zu̱, “Ibrahi! Ibrahi!” Wa shu̱s, “Me̱ ya.”
01160c00be	Wa zu̱ wu̱n, “A-bo̱ ho̱ wa'-u̱ ró da, u̱ da-o̱ u̱m nak u̱zu̱ bo̱ wa u-gye̱r u-Ru̱ wa bo̱ o̱ye̱, remu̱ zu̱ bo̱ hooste̱ me̱ wa'-u̱ ró da, ya-du̱ u̱r-gan u̱ ró.”
01160d00bc	Se̱ Ibrahi jaku̱s u̱r-hi, wa hyu̱n kag-yu̱ u-ca kar-u̱s wa su̱rgu̱sse̱ u̱s-hir, se̱ Ibrahi do̱'e̱ wa maas ca-u ya, wa do̱'e̱ wa nom to̱o̱g u̱ ya u̱ swas-mu̱ wa'-u̱ wa.
01160e00a6	Ibrahi te̱'e̱ be-u̱r re̱ u̱r-dim, “Yawe de̱'e u̱t-ya.” Iya o̱ na fu̱gte̱ u̱ haan u̱ da-o̱, “U̱ do̱m-u̱ u̱r-ro̱r de̱ Yawe do̱te̱ u̱t-ya.”
01160f004b	Se̱ wa-to̱m Yawe sur m-fag Ibrahi du̱gu̱ do̱m u-ru̱, u-yu̱ru̱mse̱.
01161000fc	Se̱ wa Yawe zu̱, “Remu̱ zu̱ bo̱ ho̱k re̱m-u̱s ri bo̱ hoostu̱ me̱ wa'-u̱ ró da, ya-du̱ u̱r-gan-u̱ ró, u̱m no̱ng u̱s-to̱nd u̱ hi-du̱ war ri ne̱, me̱ wa'-u̱ bo̱ nu-u so̱-o̱ tu̱msu̱ ko̱-u̱r ró do̱'e̱ u̱t-no̱m u-tát.
01161100e7	Me̱ wa'-u̱ bo̱ nu-u so̱-o̱, u̱m wa ko̱-u̱r ró de̱ shu̱'u̱t u-tát u̱ka re̱ge̱r i do̱m u-ru̱, de̱ shu̱'u̱t tu̱msu̱ u̱ka hereg-mu̱ u-gi, ya'ag-u̱ ró de̱ re̱-du̱ dak-tu̱ hu̱u̱b-u̱t yo̱-to̱ ró m-gag.
0116120095	Du̱gu̱-du̱ ya'ag-u̱ ró de̱ ne̱t-tu̱ u-dak u̱t-be̱e̱t to̱ do̱te̱ u̱ kwu̱m-du̱ kom-u u-Ru̱ remu̱ zu̱ bo̱ do̱ro̱g rem-u̱s ri.”
01161300cd	Se̱ Ibrahi e̱ Ishaku mu̱u̱n u̱ be-du̱ to̱k-ne̱ wa o̱tte̱ e̱stu̱ u̱n, u̱nu̱ e̱ ne̱ aru̱k m-mu̱ u̱ Be̱rshe̱ba. Ku̱na Ibrahi retu̱ u-shu̱ u̱r-yu̱ ne̱ u̱ bo̱-u̱ u̱ Be̱rshe̱ba.
0116140073	Da-u̱ sure̱ m-waas, na waru̱ Ibrahi u̱zu̱, “Mirka mak-tu̱ Naho̱r hu̱no-u rò ya'ag-u̱ campa-ne̱ eer.”
011615006f	Wa u̱r-taku̱n na zu̱ wa Uz, hu̱no-u wa na zu̱ wa Buz, u̱ Ke̱muwe̱r (Ke̱muwe̱r wa o̱ u̱so-u̱ Aram),
0116160033	Ke̱sed, Hazo, Pirdas, Jidrab u̱ Be̱tuwe̱r ne̱.
011617005f	Be̱tuwe̱r wa matu̱ Rebeka, Mirka wa matu̱ hu̱no-u Ibrahi Naho̱r ya'ag-u̱ campa-ne̱ eer.
0116180096	Naho̱r mu̱t yaag nas du̱gu̱ ne̱ta wu̱ do̱, wu̱ na zu̱ye̱ Re̱ma, dim-tu̱ ya'ag-u̱ e̱ na zu̱: Teba, u̱ Gaham, u̱ Tahas, u̱ Maaka ne̱.
011701003d	Saratu no̱mu̱g u̱s-hak u-ko̱k u-gan u̱r-shik u̱s-ta'er.
01170200a9	Wa maru̱g u̱ bo̱-u̱ Kiriyat Arba (be-du̱ na fu̱ge̱ u̱ da-o̱ He̱bro̱n) dak-u̱ Kan'ana. Ibrahi no̱m u̱s-kan sok, wa no̱m u̱t-bomos u̱ remu̱ mar-m Saratu.
0117030069	Se̱ Ibrahi yage̱ u-du̱ ne̱ta wa, wa de̱'e wa no̱m u̱s-rem u̱ ne̱t-tu̱ He̱t-ne̱. Wa zu̱ u̱n,
0117040096	“Me̱ ham-u̱t wa u̱m o̱o̱ge̱ u̱du̱ no̱, babu̱n me̱ u̱r-ke̱ngi, u̱ de̱ shu̱'u̱t be-du̱ u-dok-u̱ ri ko̱ me̱ jwak-u̱ ne̱ta ri.”
011705002e	Ne̱t-tu̱ He̱t e̱ shasu̱ Ibrahi, e̱ zu̱,
011706010a	“U̱so u-bu it, e̱r rem-u̱s it, bo̱ ne̱t-u̱ yat-o̱ wa bo̱ o̱ye̱ it. Dag be-u̱r so̱-de̱ du̱ bo̱ u̱t-sa, bo̱ jwak ne̱ta ró u̱ku̱n. Waku̱n zaar u̱ te̱k-u̱ it wu̱ do̱'e̱ u̱t-zu̱ wa gu̱gu̱m ya-du̱ bo̱ be-du̱ jwak-du̱ ne̱ta ró da.”
011707003e	Se̱ Ibrahi he̱ u̱t-jwu̱n u̱-shu̱ ne̱t-tu̱ dak-u He̱t.
0117080089	Wa zu̱ u̱n, “Remu̱ zu̱ no̱ o̱ u̱ssa no̱ no̱mu̱ me̱ u̱r-se̱ge̱, u̱m o̱ u̱ssa no̱ ko̱nu̱ me̱ Eparo̱n wa'-u̱ Zohar.
0117090153	Wa babu̱ me̱ u-pu̱ku̱s u̱ jwak-du̱ u̱t-ne̱t u̱ Mape̱ra u̱ o̱o̱ge̱ u-ta u̱ madu̱ tak-u wa, shu̱tu̱n me̱ wu̱n wa babu̱ me̱ be-u̱r re̱ me̱ u̱t-to̱p no̱m-u̱ wa zu̱ u̱m to̱p. U̱m u̱t-sa ke̱ngi-u̱r re̱ u̱ka de̱ do̱te̱ shu̱'u̱t ke̱ngi-u̱r ri du̱ mo̱mmo du̱ jwak-du̱ me̱ u̱ ne̱t-tu̱ bu-u ri.”
01170a00ad	Eparo̱n o̱g u̱ shu̱'u̱t u̱ku̱n u̱r-kot u̱ ne̱t-tu̱ He̱t-ne̱. Wa zu̱ Ibrahi u̱ ho̱g-mu̱ ne̱t-tu̱ He̱t u̱t-be̱e̱t i haane̱ u̱ku̱n u̱ is-yu̱ u-bo̱.
01170b00c1	Se̱ wa zu̱ Ibrahi, “U̱so u-bu ri, iya-o̱ da, e̱r rem-u̱s ri. Me̱ ya bo̱ u̱r-ke̱ngi u-pu̱ku̱s ne̱, u̱ ane̱ u̱ shu̱ ne̱t-u̱t ri u̱t-be̱e̱t, bo̱ jwak u-du̱ ne̱ta ró.”
01170c003d	Ibrahi kwu̱ku̱t u̱t-jwu̱n u̱ shu̱ ne̱t-tu̱ dak-u o̱.
01170d012b	Se̱ wa no̱m rem-su̱ no̱m-u̱t to̱ u̱du̱ Eparo̱n u̱ ho̱g-mu̱ ne̱t-tu̱ o̱ u̱ku̱n u̱t-be̱e̱t, “U̱m ko̱no̱g no̱, a no̱ eese̱, me̱ to̱p-u̱ shik-u̱ be-u̱r re̱ u̱r-be̱e̱t remu̱ u̱m kum-u̱t be-du̱ u̱m do̱te̱ u̱ ha jwak-du̱ ne̱t-u̱t ri a e̱ mare̱ u̱ku̱n.”
01170e0020	Eparo̱n shasu̱ Ibrahi wa zu̱,
01170f00c7	“U̱so u-bu ri, e̱r me̱, be-u̱r re̱ teeg kwam-u̱t pus-to̱ tu̱ shik u̱t-ko̱k u̱t-nas, u̱ka shu̱'u̱t-u̱r yu̱-u shik-u̱ e̱ o̱ko̱n no̱m-o̱ o̱ da, do̱'e̱ bu̱ jwak ne̱ta ró.”
01171000e1	Ibrahi hog re̱m-u̱s Eparo̱n, wa to̱p wa no̱mu̱ wa zu̱ye̱ wa to̱p kwam-u̱t pus-to̱ tu̱ shik u̱t-ko̱k u̱t-nas iya na bu̱bte̱ u-tu̱rru̱. Wa no̱ng no̱m-u̱t to̱ u̱t-be̱e̱t u̱-shu̱ ne̱nge̱n-tu̱ He̱t.
01171100b8	Iya-o̱ tak-u Eparo̱n u̱ o̱ u̱ Mape̱ra u̱-dapu̱s Mamre, u̱ u̱r-dame̱ u-pu̱ku̱s ne̱, u̱s-te ne̱ u̱s-be̱e̱t su̱ o̱ bo̱r-yu̱ u-tak, shu̱'u̱t u̱ Ibrahi u-be̱e̱t.
011712006b	Se̱ be-u̱r re̱ shu̱'u̱t be-u̱r Ibrahi du̱ m-mo̱mmo̱ u̱ shu̱ ne̱nge̱n-tu̱ He̱t u̱ is u-bo̱.
