1300000004	Saam
140c18005e	Thlak meetkhqi kut ing thlang uk kawm saw, thlang thakdamkhqi taw tamnaa bibinaak ing dyt kaw.
140c19004f	Lyynaak kawlung ing thlang patang sak nawh, awih leek ing thlang awmhly sak hy.
140c1a0061	Thlakdyng taw a imceng ham hquikungna awm nawh, khawsak amak leekkhqi ing kqeeng-naak pha sak hy.
140c1b0074	Thaa ak ngak ing a qamsaa kah saa am keuh hy, cehlai thaa ak meet ing a taak khawh khui awhkaw lo nawh thlang pe hy.
140c1c0041	Dyngnaak lamawh hqingnaak awm nawh, ce lamawh thihnaak am awm hy.
140d010057	Capak cyi ing a pa ak awiyyn ngai nawh, thlang ak husit ingtaw toelthamnaak awi maa hy.
140d02007e	A huui awhkaw ak thaih leek awhkawng thlang ing ak thaih qah hu nawh, cehlai amak ypawm thlang ingtaw boeseet sai ce ngaih hy.
140d03009d	A hui am lai ak ngaihtaak thlang taw a hqingnaak khanawh ak ngaihtaak thlangna awm nawh, cehlai ak poek kaana awi ak saa paqaap qaap thlang taw plamtham kaw.
140d040076	Thlang thakdam kawpoek ing a hoei ngaihnaak ta lawt hy, cehlai ikaw am ta hy. Thlakmeet ingtaw a ngaih boeih ce hu hy.
140d05007e	Thlakdyng ingtaw amak thyym awi kqawn sawh na nawh, cehlai khawsak amak dyng thlang ingtaw chahnaak ing ming che phyih sak hy.
140d060070	Dyngnaak ing ak thyymna khawksaakhqi ce khoemdoenkhqi nawh, thawlhnaak ing thlakthawlhkhqi ce tluuk sak khqi hy.
140d070061	Boeina ak saa qu ikawm amak ta awm nawh, khawdengna ak saa qu ing khawhthem khawzah ak ta awm hy,
140d080070	Khawh ing ak taakung hqingnaak thawng thai nawh, cehlai khawdeng thlang ing thlang a theet vutnaak awi am za hy.
140d09005c	Thlakdyng a vaangnaak taw angqungtheng nawh, thlakchekhqi a maihchoei taw him pekna awm kaw.
140d0a0045	Ooekqunaak ing hqo thawhsak nawh, awi ak ngai venawh cyihnaak awm hy.
140d0b006b	Amak thyymna khawh huh taw phu amak tana qeeng zip kawm saw, bibi phu huh khawh taw pung khqoet khqoet kaw.
140d0c0063	Ngaih-uunaak a plam awh kawlung tlo nawh, cehlai ngaih-uunaak a soepnaak taw hqingnaak thingsii ni.
140d0d0062	Awi amak ngaikhqi ham thihnaak pha kawm saw, awipek ak kqihchah ak thlang taw kutdo pekna awm kaw.
140d0e006d	Thlakcyikhqi cawngpyinaak taw hqingnaak tuikuk amyihna awm nawh, thihnaak thaang awhkawng thlang loet sak hy.
140d0f0067	Zaaksiimnaak leek ing thlang mikhaileeknaak pe nawh; cehlai amak ypawm thlang a cehnaak lam taw kyi hy.
140d100051	Khawksiim thlang ingtaw cyihnaak ing bi sai nawh, thlakqaw ing a qawnaak zaan hy.
140d110058	Amak leek tamnaa taw zoseetnaak awh tlu thai nawh, ak ypawm dyihthing taw sadingnaak ni.
140d120062	Toelnaak amak ngai ing khawdeng chah phyi nawh, cehlai toelnaak ak haanaaking kyihcahnaak ham kaw.
140d130076	Ngaih-uunaak ak soepnaak taw kawlung ham aawi nawh, thlakche hamna seet sainaak awhkawng hu nawng ve sawhnaak kawi ni.
140d14004b	Thlakcyi pyinaak taw cyihnaakna awm nawh, thlakche pyinaak taw seetnaak ni.
140d150056	Thawlhnaak ing thlangthawlh hu hquut nawh, thlakdyng taw themleek ing thungna awm kaw.
140d160078	Thlakleek ing a tu a ca khqi hamna khawh taak pek khqi nawh, thlakche a khawh taw thlakdyngkhqi ham cun pekna ak awm ni.
140d17005e	Khawdeng a loma awh caang daw soeih moe, amak thyymna bibinaak ing phu amak tana zip boeih hy.
140d18005b	A ca ak sawhnaak thlang ing cumcik am hawna nawh, ak lungnaak thlang ing a ca ce toelna hy.
140d190053	Thlakdyng ing taw buh ak phyina ai nawh, cehlai thlakche taw buh cawih ing awm kaw.
140e010040	Nuk leek ing a im sa nawh, nuk che ingtaw a kut qoe ing hqee hy.
140e020049	Ak thyymna khaw ak sa ing Khawsa kqihchah nawh, thlakqaw ingtaw husit hy.
140e03005b	Thlakqaw am khaaawh oequnaak cumcik awm nawh, thlakcyikhqi am khaa ing a mimah hul khqi hy.
140e040070	Vaitaw amcai a ma awmnaak awh aihkawng caih nawh; cehlai vaitaw amcai ak tha awhkawng cangvui cangpai thaawt hy.
140e050054	Dyihthing ak thyym ing qaai am kqawn nawh, dyihthing amak thyym ing a qaai kqawn hy.
140e06006a	Thlang ak husit ing cyihnaak sui nawh, cehlai am hu hy; simthainaak ak ta khqi ham taw cyihnaak zoe ca hy.
140e070042	Thlakqaw venawh koeh awm, anih a venawh cyihnaak am hu ti kawp ti.
140e080062	Khawkpoekthai cyihnaak taw nimah khawsak sim qunaak ni. Thlakqawkhqi a qawnaak taw thailatnaak ni.
140e090076	Thlakqaw ingtaw thawlhnaak tlaihvawng pek ce ikawna am ngai nawh, cehlai thlakdyngkhqi venawh kawpoek leeknaak awm hy.
140e0a006b	Nik kawseetnaak ce nimah doeng ing ni simthai nawh, ni zeelnaak awm thlakchang ing am ni siim pyih khqi na.
140e0b0058	Khawsak amak leek a im taw hqee pekna awm kawm saw, thlakdyng a imca taw kau khqoet kaw.
140e0c0049	Thlang ak poeknaak awh ak thyymna ak dang thihnaak ing ak dyt lam awm hy.
140e0d0059	Qaihnaak awh awm kawseetnaak awm thai nawh, zeelmangnaak awm kokqangnaak ing dyt thai ny.
140e0e0071	Kawlung khuiawh hu ak nawng taw amah ngaihnaak ing bee nawh; thlak leek taw amah ingkaw amah kaw zeel qu sak kaw.
140e0f0059	Thlakqaw ing awi a hoei cangna nawh, thlang khawksiim ingtaw a lam ceh ak ceetna toek hy.
140e100054	Thlakcyi ing thawlh kqih nawh cehtaak hy; thlakqaw ingtaw lep nawh amah yp qu na hy.
140e11005e	Kaw ak so ing khawkpoek kaana bi sai kawm saw, seetnaak ak poek ak thlang taw sawh na kawm uh.
140e12005c	Thlakqaw ing qawnaak a qo pang kawm saw, khawksimthai thlang ingtaw cyihnaak lumyk pang kaw.
140e13006c	Thlakche taw thlakleek haiawh lut kawm saw, khawsak amak leek thlang taw thlakdyng ak chawmkeng awh dyi kaw.
140e14004f	Thlak khawdeng a imceng ing sawh na nawh, thlang ak boei ing pyi khawzah ta hy.
140e150058	U awm a imceng ak husit taw thawlh ak sai ni; khawdeng ak lungnaak taw thlang zoseen ni.
140e16007d	Theem amak leek ak poekkhqi ing lam am hang unawh aw? theemleek ak poekkhqi ingtaw lungnaak ingkaw ypawmnaak ce pang kawm uh.
140e170056	Bibinaak ing a phu ta nawh, cehlai hui am lai doeng awhkaw awi ing khawdengnaak pe hy.
140e180056	Thlakcyi a boei lumyk taw a khawhkham ni, thlakqaw a qawnaak taw qawnaak doeng awh ni.
140e190057	Dyihthing ak thyym ing thlang loet sak nawh, qaai ak kqawn ing thailatnaak cawn sak hy.
140e1a0062	Khawsa ak kqihchahnaak ing ziingnaak ak cak ta nawh, a cakhqi hamna awm thukzingnaak hynna awm hy.
140e1b007a	Khawsa kqihchahnaak taw hqingnaak tui a phytnaakna awm nawh, thihnaak dawng khui awhkawng thlang ak loet sakkungna awm hy.
140e1c0078	Pilnam thlang a doemnaak awh boei a boeimangnaak awm nawh, pilnam thlang a zawinaak awhtaw boei capa amangnaak qeeng hy.
140e1d0094	Kawso ak yh thai thlang taw zaaksimnaak ak dung soeih ak ta thai ak thlangna awm nawh, cehlai kawk tawi ak thlang ingtaw qawnaak ni ang dang sak hy.
140e1e005b	Kawlung sadingnaak taw pumsa hqingnaak na awm nawh, thlang yytnaak taw quh hawnnaak mai ni.
140e1f0079	Khawdeng ak thekhanaak taw amah ak Synkung a thekhanaak na awm nawh, cehlai khawdeng ak qeen ingtaw ak kyihcah thlang ni.
140e20006e	Thlakche taw a boe seetnaak awh tlu nawh, ak dyngna khawksaa thlang taw thihnaak khui awhkawng zingnak ta kaw.
140e210057	Khawkpoekthai ak takhqi kawlungawh cyihnaak awm nawh thlakqawkhqi ang lakawh pho pe hy.
140e22005c	Dyngnaak ing khawqam zoeksang nawh, cehlai thawlhnaak ing thlang boeih ham mingseet naak ni.
140e230070	Sangpahrang a lungnaak taw tamnaa cyi ak khanawh awm nawh, ak kawsonaak taw chah ak phyih sak ak khanawh awm hy.
140f01003e	Awih neem ing kawso qeem sak nawh, awih tlo ing kaw so sak hy.
140f02005b	Thlakcyi am lai ing cyihnaak awitak cawn sak nawh, thlakqaw am kha ing qawnaak dang sak hy.
140f030050	Boepa mik taw hyn boeih awh awm nawh, theem leek ingkaw theem che toek poepa hy.
140f04006c	Thlang ak qoei sak lai taw hqingnaak thingna awm nawh, thailatnaak ing ak bee lai taw kawlung patang sak hy.
140f05006d	Thlakqaw ingtaw a pa ak toelnaak husit nawh, cehlai toelnaak ak haanaak taw ngaihtaak ing khawksaa thlang ni.
140f060054	Thlakdyng imawh khawh khawzah awm nawh, thlakche khawboe phu taw kawpoek kyinaak ni.
140f070058	Thlakcyi a huui ing siimnaak pungtai sak nawh, thlakqaw kawlung ingtaw cemyih am sai hy.
140f08006f	Thlakche a hyih phum taw Khawsa ham tuih kawina awm nawh; thlakleek a hlacamnaak taw Khawsa ham kawzeelnaak ni.
140f090066	Thlakchekhqi lam taw Khawsa ham tuih kawina awm nawh, dyngnaak lamawh ak cetkhqi cetaw lungna khqi hy.
140f0a0069	Lamawh amak cetkhqi taw ak tlo soeih toelnaak ing qeeh nawh; toelthamnaak ak sawhnaak thlang taw thi kaw.
140f0b006d	Ceikhui ingkaw Abaddon ce Khawsa ing a huh pheng awhtaw thlang kawlung taw ikawmyih na nu ang dang hly pheng?
140f0c0054	Thlang ak thekha naak ing toelnaak am lungna nawh, thlakcyi venna awm am cet ti kaw.
140f0d005b	Kawlung awmhlynaak ing mikhai hlampan sak nawh, kawlung tlohnaak ing myihla kawseet sak hy.
140f0e0066	Khawkpoek thainaak kawlung ak ta ing cyinaak sui nawh, thlakqaw am kha ingtaw qawnaak doengawh awm hy.
140f0f0072	Kyinaak ak sawng ham khawnghii boeih ve se boeih nawh, kawlung ak nawmkhqi ham taw zeelnaak poei ing bee poepa hy.
140f100061	Patang doena theem khawzah taak ang lakawh Khawsa kqihnaak ing theem a khoeh taak ve leek bet hy.
140f110078	Sawhnaak kawlung ing vaitaw ak tha him nawh buh vel anglakawh lungnak a awmnaak awh an hah ing buh vel haih leek bet hy.
140f120060	Thlang am thin ak see ing hqehnaak coeng sak nawh, yhnaak ak ta thlang ingtaw kawso qeem sak hy.
140f13004d	Thlang thakdam a lamawh hling bee nawh, thlakmeet a lam taw kau nawh dyng hy.
140f140047	Capak cyi ing pa ak kaw zeel sak nawh, thlakqaw ingtaw a nu thee na hy.
140f150070	Cyihnaak amak ta khqi ham taw qawnaak ve a mi awmhlynaak na awm nawh, khawksiim thlang ingtaw a lam dyng sak hy.
140f16005e	Awi doet qu kaana bi sai ing am phu mah nawh, cehlai awi doet qunaak a kuum awh bibi coeng hy.
140f17004b	Amah a tym canawh awi doet hlatnaak ak thyym zaak taw ym ham kawi soeih hy.
140f180062	Thlakcyi ham hqingnaak lam taw a baang benna kawng nawh, kham lam Ceikhui lamawh ama ceh naak ham.
140f190057	Bawipa ing thlak oekqu a im ce khaai khoep kawm saw, nuhai a im khoeng taw cak sak kaw.
140f1a0066	Kawpoek amak leek taw Khawsa am tyih kawina awm nawh, kawpoek ak ciimkhqi kawpoek cetaw ym pekkhqi hy.
140f1b005e	Thlak kamvaa ing a imkhui patang pe hy, cehlai ang hyp kutdo ak sawhnaak thlang taw hqing kaw.
140f1c0057	Thlakdyng kawlung ing awi khin ngai hy, cehlai thlakche ingtaw awihche hlah sawqhat hy.
140f1d005e	Khawsa ing thlakche khqi ce lak hla khqi nawh thlakdyng khqi a cykcahnaak taw zaak pekkhqi hy.
140f1e0059	Mikhai hlampannaak ingawh kawlung awmhly sak nawh, awithangleek ing quhqawng cang sak hy.
140f1f0050	Hqingnaak pek toelthamnaak ak haanaak taw thlakcyikhqi a imkhui cakawna awm kaw.
140f20006d	Toelthamnaak amak haanaak taw ang myihla ak thekhanaak ni, zyihtoelnaak ak haanaak ingtaw zaaksimnaak hu kaw.
140f210068	Khawsa kqihchahnaak taw cyihnaak ak cawngpyikungna awm nawh; dungvoengnaak taw kyihcahna awmnaak hly ni.
1410010061	Kawpoek ing khawkhaannaak taw thlanghqing a hutna awm nawh, awi hlatnaak taw Bawipa venna kaw ni.
1410020064	Thlang ing amah poeknaak awh a lam boeih boeih thyym sak hy, cehlai Khawsa ingtaw kawlung ni a toek.
141003004f	Na bibi boeih Bawipa kutawh hal lah. Cawhtaw na ngaihnaak boeih ni soep pe kaw.
1410040084	Khawsa ing a hoei soepkep boeih ce Amah kawngaih amyihna a sai boeih ni, khawsak amak leekkhqi a zoseetnaak khawnghii awm sai pe hy.
141005006d	Ak oek qu kawlungkhqi boeih Bawipa ing tuih nawh, kawlung kutoet mai seiawm, a toel kaana am hlah ti kawm uh.
1410060076	Qeennaak ingkaw awitak ing thawlhnaak dip sak thai nawh, Khawsa kqihchahnaak ing thlang ngawh thawlh ceh taak thai hy.
141007005b	Khawsa ym kawina thlang ing khaw a sak awhtaw, a qaalkhqi mi qoepqui cana awm haih thai hy.
141008004e	Amak thyymna theem khawzah huh anglakawh ak thyymna theem a khoeh huh leek hy.
1410090067	Thlang, ak kawlung ing a sai ham kawi khawkhan moe, a khawngkham khqi boeih cetaw Khawsa ing a sawi ni.
14100a006c	Sangpahrang am hui lai awh ak thyym awitlyknaak awm nawh, am khakhui awhkawng amak thyym awi ap cawn ti kaw.
14100b0078	Ak thyym tahnaak ingkaw tehnaak taw Bawipa a koena awm nawh, tahnaak sawngsa khui awhkaw ak qih boeih awm Amah a sai ni.
14100c0069	Sangpahrangkhqi ing amak thyymna bibi tuih uhy, ngawlhdoelh ce dyngnaak ingawh cak sak ham ami ngaih awh.
14100d0052	Ak thyym hui am lai ce Sangpahrangkhqi ing ym unawh, awithyym kqawn ce lungna uhy.
14100e006a	Sangpahrang kawsonaak taw thihnaak a dyihthingna awm nawh, cehlai thlakcyi ingtaw ak kawsonaak dip sak hy.
14100f007d	Sangpahrang a mikhai a hlampannaak awh hqingnaak awm nawh, ak kawzeelnaak taw khawtlan coeng a hu awhkaw cingmai amyih na ni.
1410100069	Sui anglakawh cyihnaak taak ve leek soeih mah hy! Oeih, ngun lakawh zaaksimnaak tyk ve leek soeih mah hy!
1410110072	Thlakdyng a cehnaak lam ing thawlh qei hy; a lam ak ngaihtaak thlang taw a hqingnaak ak ngaihtaak thlangna awm hy.
1410120063	Oek qunaak taw plamthamnaak a hai benna cet nawh, soekloeknaak awm tluuknaak a hai benna ak cet ni.
1410130078	Thlak oek qu ingqawi thlang a khawh quk tei ak lakawh thlak khawdeng ingqawi thlak kaina phaih qu nawh awm leek ngai hy.
1410140068	Toelnaak awi ak ngai thlang taw a khawsak vaan kawm saw, Khawsa ak ypnaak thlang taw a zoseen thlang ni.
1410150055	Kawlung ak cyi taw khawksiim thlangna awm kawm saw, awih tui ing simnaak pung sak hy.
1410160078	Zaaksimnaak ve ak takkhqi ham taw hqingnak tui a phytnaak na awm nawh, thlakqawkhqi ham toelnaak ve qawnaak na coeng hy.
141017004f	Thlakcyi ak kawlung ing a huui cawngpyi nawh, am lai simnaak ing tawmsap pe hy.
1410180056	Awih leek taw khaawi amyihna, hqingnaak hamna aawi dikdik nawh, quh ham sadingnaak ni.
141019005a	Thlang kawpoek awh lam ak thyymna ak dang a boetnaak awh thihnaak lamna ak awm lam awm hy.
14101a004f	Bi ak bi ing awk ai ngaihnaak camawh bi sai nawh, phoen phyinaak hamna bibi hy.
14101b0050	Thlak so soek ing theem amak leek sai ham poek nawh, am khaawh maih ling awm hy.
14101c0056	Kawpoek amak leek ing hqehnaak syn nawh, thlang theetnaak ing beqoepkhqi kqeng sak hy.
14101d004d	Khawsak amak leek ing a imcengkhqi sykzoek nawh seetnaak lam panpyih khqi hy.
14101e0063	A mik ak hiim ing theem amak leek poeknaak ham hiim nawh, a huui ak cymbyp ing seetnaak pha sak hy.
14101f004e	Lukqawk sampai taw boeimangnaak lumyk ni; dyngnaak ing ni huh thaina a awm hy.
1410200077	Kawkdung thlang taw thlang thakawm lakawh leek ngaih nawh, kawso ak yhthai thlang taw khaw ak tlyk lakawh leek ngai hy.
1410210052	Taicung taw phai khanawh hlamna awm seiawm ak thyym laitlyknaak taw Bawipa koe ni.
1411010065	Khqah qu doena imkhuiawh poei ak beena ai anglakawh, qoepquinaak ing buhkak khangoet bai leek bet hy.
1411020064	Tamnaa ak cyi ing ming ak seet sakkung capa ce uk nawh, ciingnaakhqi a qo ce pang pyi khqi lawt kaw.
141103006b	Cak ciimnaak ham cak am, sui ciimnaak ham maih ling ing ciimna awm nawh, lingbyi taw Bawipa ing ni am ciim.
141104006a	Theem amak leek ak saikung ing thailatnaak ak awi ngai nawh, thlak thailat ing thlakche ak awi ce ngai hy.
141105008b	Khawdeng ak thekhanaak taw anih ak Synkung ak thekhanaak ni, thlang kyinaak a sawng awh ak awmhly ak thlang taw a toel kaana am awm ti kaw.
141106005d	Tucakhqi ve pacawngkhqi a boei lumyk na awm nawh, pakhqi taw cakhqi a boeimangnaak na awm hy.
1411070072	Awih kqawn thai ve thlakqaw ingqawi am qoepqui na nawh, qai awi kqawn ve Sangpahrang ingqawi am qoepqui khqoet hy.
1411080069	Kutdo ve ak dokung mikawh suilung amyihna awm nawh, a haai ang mangnaak ben hoeiawh saithainaak ce ta hy.
141109007e	Thlang a thawlhnaak ak thuhphah ing lungnaak dang sak nawh, cehlai thlang a thawlhnaak ak phokung ing beqoep qawi hqeh sak hy.
14110a004c	Thlakqaw a voei siim vyk lakawh thlakcyi hykpoet zyihtoel ing phu ta bet hy.
14110b0085	Thlang amak leek ing awi am ngaihnaak ben doengna mang nawh, cemyih thlang cetaw thlangqeen khaw amak ngai boei venna tyihna awm kaw.
14110c0062	Thlakqaw ak qaw huui ingqawi qhum anglakawh a ca a mi lawh pek phawm ingqawi qum ngaih awm bet hy.
14110d0061	Theem leek ce theem amak leek ing ak thung ak thlang taw seetnaak kaana a im am cawn taak ti kaw.
14110e0075	Oelh ngawngnaak ve tuile ak poek ing myih hy, cedawngawh khqah qunaak a awm hlanawh oelh ngawngnaak ce hu nawng taak.
14110f006e	Thlakthawlh cang lu ak phyih sak ingkaw thlakdyng thawlh ak phyih sak ak thlang ce Bawipa ing am tyih qawi ni.
141110005c	Cyihnaak amak ta thlakqaw kutawh ikaw ham nu cyihnaak thlaihnaak ham tangka pekna a awm kaw?
1411110060	Pyi leek ingtaw lungnaak ta poepa nawh, cawt taw kyinaak sawngawh a nik pyi ham ak thang law ni.
1411120057	Khawkpoeknaak thai amak ta ing a kut bei nawh, a imceng ham qii ak khoengkungna awm hy.
141113005b	Boekoek ak lungnak ing thawlh lungna nawm, ak chawmkeng ak sang sak ing seetnaak ce sui hy.
1411140071	Kawlung amak leek thlang a khawsak am vaan nawh; am kha ing thailatnaak awi ak kqawn poepa taw kyinaak sawng kaw.
141115007b	Thlakqaw ak ca naak taw amah ingkaw amah kawseetnaak ak pe quna awm nawh, thlakqaw ak ca naak pa ing kawzeelnaak am ta kaw.
141116005a	Kawlung zeelnaak taw sadingnaak na awm nawh, kawlung kawseetnaak taw quhqawng hawnnaak ni.
1411170043	Thlakche ing ak dyng awitlyknaak kawi sak hamna ak hyp kutdo lo hy.
141118006e	Cyihnaak taw simthainaak ak takhqi haiawh awm nawh, cyihnaak amak ta a mik ing khawdek a kelcawng dyna sui hy.
141119004e	Capa ak qaw ing a pa kawseetnaak pe nawh, ak canaak nu ham ngaihkyinaak pe hy.
14111a0054	Thlangdyng toelnaak kut thlak am leek nawh, ak thyymna awihtlykkumg vyyk am leek hy.
14111b0055	Awih kqawn ak ngaihtaak ing cyihnaak ta nawh, zaaksimnaak ak ta ing awm mylh mylh hy.
14111c007b	Thlakqaw awm a awm mylh mylh awhtaw thlang ing thlakcyi na ngai nawh, a huui a cymbyp awhtaw thlang ing khawksimna ngai hy.
1412010074	Thlang mi haiben ham ak maa ak thlang ing amah ak kawngaih kawi sui nawh, cyihnaak ak thyym boeih ce thaih boeih hy.
1412020052	Thlakcyi ing cyihnaak awh am zeel nawh, amah kawpoek ngaihnaak doengawh awmhly hy.
141203005b	Thekhanaak a awmnaak awh hepnaak awm nawh, ming seetnaak a awmnawh awh chahphyinaak awm hy.
1412040066	Thlang am kha awhkawng ak cawn awi taw tui amyihna dung nawh, cehlai cyihnaak taw tuihamyihna phyt hy.
1412050053	Laitlyknaak awh thlakdyng thawlh lu khqoeh sak hamna, ak bo mikhai toek am leek hy.
1412060047	Thlakqaw am kha ing thlang hqo pe nawh, am lai ing khqah qunaak khy hy.
141207005c	Thlakqaw am kha taw a qeengnaak kawina awm nawh, a huui taw a hqingnaak ham thaangna awm hy.
1412080049	Theet awi ve buh tui ant tui amyihna thlang kawlung a dungnaak dy lut hy.
141209003d	Bibi ak vaatsam thlang taw ak hqeekung ciingnapaca na awm hy.
14120a005a	Bawipa ming taw zingnaak vawngchung na awm nawh, thlakdyng ing zing na nawh a loetnaak ni.
14120b006e	Mangpa ham a khawhkham taw ang zingnaak na awm nawh, amah ak poeknaak awh vawngchung ak sang soeih na ngai hy.
14120c0067	Thlang kawlung ak oe qu ing thihnaak lam benna mang nawh, kawlung neemnaak ingtaw kyihcahnaak benna ni.
14120d004d	Ngaih zaak qu kaana thlak awi thuung maa taw qawnaak ingkaw chahphyihnaak ni.
14120e006e	Thlang a tloh awh kawlung ing am thin cak sak hy, cehlai kawlung ak tlo ingtaw ikawmyihna ang yh hly thai pai?
14120f0063	Ak zaaksimthai lingbyi ing zaaksimnaak thai ta nawh, thlakcyi ang haa ing simthainaak sui khawi hy.
1412100040	Thlang a kutdo ing a lam khui sak nawh, boei a haina ceh pyi hy.
1412110078	Ak cangnaak lammaana ak kqawn ing thlakdyng amyihna dang seiawm, a imceng ing law nawh, awi suu tlaih nawh pho khawi hy.
1412120046	Cung zyknaak ing awi dip sak nawh, ak tlung qawi awm hqaa sak qawi hy.
141213008a	Amamik qoep cingnapaca taw khawk chungnaak vawng ak cak lakawh kyi ngai nawh, awipungnaak taw qal tlung a awmnaak vawng chawh ing myih hy.
141214005f	Thlang ing am lai thaih ai nawh ak phyn phyi sak nawh; a hui am lai phu ing ak kaw qeep sak hy.
1412150063	Thlang am laiawh thihnaak ingkaw hqingnaak awm nawh, ak lungnaak thlang ing ak thaih qah ce ai kaw.
141216004c	Zu ak lo taw theem leek ak hu thlang ni, Khawsa venna kaw kawzeelnaak hu hy.
1412170052	Thlang khawdeng ing qeennaak thoeh nawh, mang ingtaw a tlung doena thlang voem hy.
141218005f	Pyi khawzah taak taw plam thamnaak ni, cehlai cingna anglakawh lungnaak ak tlo ngai pyi awm hy.
141301006a	Thailatnaak awi ak kqawn thlakqawna awm anglakawh thlak khawdeng, kawpoek leek ak toen na awm leek bet hy.
1413020057	Simnaak kaana ngaihnaak doeng awm am leek nawh, khawng khaam tawn aih awm tlunknaak ni.
141303004b	Thlakqaw a qawnaak ing a lam seet sak nawh, Khawsa awh ak kaw vuung sak hy.
141304004d	Khawh taak ing pyi khawzah ta nawh, khawdeng thlang taw a pyi ing centak kaw.
1413050061	Amak thyym dyihthingna ak dyi taw a toel kaana am awm kawm saw, qaai ak kqawn awm am loet ti kaw.
1413060063	Thlang khawzah ing ukkung kawzeelnaak sai thai nawh, kutdo ak pe thlang ing pyi khawzah ta thai hy.
14130700a8	Ak khawdeng cingnakhqi ing a mim cawt ce a mi sawhnaak awhtaw a pyikhqi ingtaw ikawmyihna nu a mi sawhnaak pai kaw! hquut nawh khy khqi seiawm qeeng taak boeih kawm uh.
141308004f	Cyihnaak ak ta ing a hqingnaak lungna nawh, simnaak ak ta ing theemleek hu kaw.
141309005b	Amak thyym dyihthingna ak dyi taw a toel kaana am awm kawm saw, qaai ak kqawn taw plam kaw.
14130a0070	Khawsak nawmnaak ve thlakqawi ingqawi am qoepqui nih nawh tamnaa ing a boei a uk awm am kawihvaih nak khqoet hy.
14130b005c	Cyihnaak ingawh thlang yh thainaak pe nawh, thlang a thawlh qeennaak taw a boeimang-naak ni.
14130c0082	Sangpahrang ak kawsonaak taw samthyn a kaawk ing myih nawh, cehlai ak kawzeelnaak taw saaitlim ak khan awhkaw daamtui ing myih hy.
14130d006a	Capa ak qaw taw a pa ham zoseetnaak na awm nawh, zuu, hqo ak lo poepa taw tuih poek ben tloei ing myih hy.
14130e005d	Im lo ingkaw khawhkham taw pa venna kaw qona awm nawh, zuu ak cyi taw Bawipa venna kaw qo ni.
14130f003f	Ngaknaak ing ih tui sak nawh, thlang thak-dam taw buh cawi kaw.
1413100055	Awi pek ak ngai ing a hqingnaak ngaihthyn nawh, a khawsak amak ngaihthyn taw thi kaw.
141311005d	Khawdeng ak lungnaak taw Khawsa kut ak zoe sak na awm nawh, theemleek a sai phu ce thung kaw.
1413120054	Ngaih-uunaak a awm tloek awh na capa ce toel lah, a hamna tlo kaw ti nawh koek poek.
1413130063	Kawkso thlang ing am thin tawi phu zaawk kaw, a nih ce hul tik seiawm na hul tlaih tlaih ngaih kaw.
1413140060	Thlang ing awi ak kqawn ce ngai nawh toelnaak ak awi ce do lah, a dytnaak ben nataw cyi kawp ti.
1413150058	Thlang ing khawkpoeknaak khawzah ta hy, ceseiawm Khawsa a khawkhannaak awh ni a soep hy.
141316005c	Amak boet thai lungnaak ni thlang ing a ngaih; qaai kqawn lakawh khawdengna awm leek bet hy.
1413170071	Khawsa kqihchahnaak ing hqingnaak pe nawh, ak ta boeih khawzeel ing awm kawm usaw, zoseetnaak ing am phakhqi kaw.
141318004d	Thlang thakdawh ing am khuiawh a kut tuun nawh am kha a thak hly awm ngak hy.
1413190091	Thlang ak thekhanaak ce vyyk lah, cawhtaw cyihnaak amak takhqi ing cyihnaak ta bet kawm uh, khaw ak poek thai thlang ce toel lah, cyi khqoet kaw.
14131a0071	A pa khawdeng sak nawh, a nu im awhkawng ak thlaa taw capa, thlang chah ak phyih sak, ming seetnaak ak pekung ni.
14131b0051	Ka capa, toelnaak awi am nang ngaihnaak hamna a nik cawngpyi ak awi ce koeh ngai.
14131c0052	Cemyih ak thlang ing ak thyym ce husit nawh amak leek theem ce am kha ing daih hy.
14131d0067	Toelnaak taw thlang ak thekhanaakkhqi ham saina awm nawh, thlaqaw am ting taw vyyknaak hamna ak awm ni.
1414010049	Misurtui ing thlang thekhanaak pe nawh, zuu ing awipungnaak coeng sak hy.
141402006c	Sangpahrang ak kawsonaak taw samthyn a kaawk ing myih nawh, kaw ak so sak taw amah a hqingnaak ak khawng ni.
1414030056	Kawsonaak ak qei thlang ing kyihcahnaak hu kawm saw, cehlai thlakqaw ingtaw hqo hu hy.
1414040079	Thlang thakdam ing khaw a dingawh lai a thawl ngak nawh; cedawngawh caang ah huiawh ai thoeh kawm saw, ikawawm am ta kaw.
1414050069	Kawlung khuiawh cainaak taw tui amyihna dung hlai hy, simnaak ak ta thlang ing ni ik-oeih a coeng sak hy.
141406003d	Thlak ypawmna kqawn qu mai kawm uh, ak ypawm tang unu ak awm?
141407004f	Thlakdyng, khawkpoek khawkhan thainaak ak ta a cakhqi taw thlang zoseenkhqi ni.
1414080078	Awitlyknaak awh Sangpahrang ing awi ak tlyk awh, a mik ing theem amak leek boeih ce khqaa ing zah amyihna zaap boeih hy.
141409005e	“Kak kawlung ciim sak nyng, thawlhnaak awhkawng ciimcaih nyng,” tinawh uing ak kqawn thai?
14140a004e	Tahnaak amak thym ingkaw tehnaak amak thym boeih Bawipa ing tyih qawi haih hy.
14140b0033	Nasen awm a bibi ing ak thym ak thawlh dang sak hy.
