0100000007	Jenesis
06120b00a7	Hanki Benzameni naga'mo'zama nagate nofite hu'zama mopama refko hu'za eri'nazana, Juda naga'ene Josefe naga'mokizmi mopamofo amu'nozmifi me'nea mopa erisantihare'naze.
06120c00d6	Noti kaziga mopazmimofo agema'amo'a Jodani tinteti agafa huteno vuno, Jeriko noti kaziga me'nea agonaramimofo asoparega vuno, agatereno zage ufre kaziga me'nea agonaramimpi ufreno ka'ma mopafi Bet Aveni uhanati'ne.
06120d0110	Anantetira mopamofo agema'amo'a rugitagino fenkamu sauti kaziga Luzi (menina Betelie nehaze) ran kumatega ne'onse agonarami me'nerega uramiteno, vuno sauti kaziga Bet Horon rankuma'mofo fenka kaziga tava'oma'are mago agonamofo agofetu me'nea rankuma Atarot Ada uhanati'ne.
06120e012d	Hagi anantetira mopamofo agema'amo'a rukrahe huno ana agonamofo zage ufre kaziga Bethoroni vu'ne. Anantetira mopamofo agema'amo'a sauti kaziga vuno Kiriat Ba'al (mago agi'a Kiriat Jearim) rankumate uhanati'ne, ana kumara Juda nagamokizmi ran kumare. E'i zage ufre kaziga ome atre'nea mopamofo agema'e.
06120f0097	Hagi sauti kaziga mopamofo agema'amo'ma agafama hu'neana, Kiriat Jearimi tavaonte zage ufre kazigati agafa huteno, eno Neptoa kampu'i tinte uhanati'ne.
0612100111	Hagi anantetira mago'ene isagamo'a uramino vuno Refaimi agupomofo noti kaziga Ben Hinomu aguporegama avugosa hunte'nea agonarega uramiteno, anantetira mopamofo agema'amo'a Jebusi vahe rankuma'mofo sauti kaziga agona tava'onte Hinomu agupofi vuvava huno En-Rogel uhanati'ne.
06121100e7	Hanki anantetira mopamofo agema'amo'a rukrahe huno noti kaziga vuno En-Semesi uhanatiteno, vuvava huno Adumimi agonarega avugosama hunte'nere Geliloti kumate uhanatiteno, anantetira vuvava huno Rubeni nemofo Bohani havere urami'ne.
061212008d	Anantetira mago'ene mopamofo agema'amo'a vuvava huno noti kaziga Bet Araba me'nea agonarega vuteno, vuno Jodani tima enevia agupofi urami'ne.
06121300c3	Hagi anantetira mopamofo agema'amo'a vuno Bet-Hogla noti kaziga me'nea agonarega vuteno, ugatereno kame kaziga Fri Hagerimofo noti kaziga ankenare Jodani timo'ma unefrere sauti kaziga uhanati'ne.
06121400b0	Hanki zage hanati kaziga omete mopamofo agema'amo'a, Jodani tinte uhanatine. E'i Benjamin naga'ma nagate nofite hu'zama erisantimahare'naza mopa ometre emetrema hu'nea agema'e.
0612150082	Hanki ama'i Benjamini naga'mo'zama nagate nofite'ma hu'za eri'naza rankumatamimofo zamagi'e, Jerikogi, Bet-Hoglagi, Emek-Kezizigi,
0612160023	Bet-Arabama, Zemaraimima, Betelima,
0612170018	Avimima, Parama, Oframa,
0612180083	Kefar-Amonima, Ofninima Gebane huno me'ne. Higeno ana makara 12fu'a rankumatami megeno, ne'onse kumatamimo megagi zmantetere hu'ne.
0612190063	Hagi ruga'a Benzameni naga'mo'zama mani'naza rankumatamimofo zamagi'a, Gibionima, Ramama, Birotima,
06121a001a	Mispama, Kefirama, Mozama,
06121b001d	Rekemima, Irpelima, Taralama,
06121c010a	Zelama, Jebusi vahe rankuma (menina Jerusalemie nehaze) Ha-Elefima, Gibeane Kiriati rankuma'enene, ana makara 14ni'a rankumatami megeno, ne'onse kumatamimo megagi zamante'tere hu'ne. E'i Benzameni naga'mo'zama nagate nofite'ma hu'zama erisantimahare'naza mopa me'ne.
06130100ec	Hanki nampa 2 mopare'ma satu zokago'ma re'za kazana, Simioni agi efore hige'za, Simioni naga'mo'za nagate nofite hu'za refko hu'za erisantihare'naze. Ana mopama erisantimahare'naza mopamo'a Juda naga'mokizmi mopamofo amu'nozamifi me'ne.
061302006d	Simioni naga'mozama erisantimahare'naza kumatmimofo zamagi'a ama'ine, Bersebama, mago agi'a (Sebae) Moladama,
061303001f	Hazar-Sualima, Balama, Ezemima,
061304001e	Eltoladima, Bethulima, Homama,
0613050028	Ziklagima, Bet-Makabotima, Hazar-Susama,
061306007d	Bet-Lebaotine, Saruheni kuma me'ne. Hagi ana makara 13ni'a ranra kumatmi megeno, ne'onse kumatamimo megagi zamantetere hu'ne.
0613070098	Hanki mago'ane 4'a ranra kumatami megeno, ne'onse kuma'ma megagiterema hu'nea kumatamima eri'nazana, Ainima, Rimonima, Eterima, Asani kuma'ene eri'naze.
06130800f7	Ana nehu'za ranra kuma'ene ne'onse megagi zmante'nea kumatamina miko eri vagarazageno vuno, fenkamu sauti kaziga Ba'alat Bea mago agi'a Nigevi kaziga Rame nehaza kumate uhanatige'za Simioni naga'moza nagate nofite hu'zama erisantimahare'naza mope.
06130900cb	Hanki Juda nagara ra mopa refko huzami'nagu, Simioni naga'mo'za Juda naga'mokizmi mopafinti mago'a eri'naze. Ana hu'negu Simioni naga'mo'za Juda naga'mokizmi mopafi mago'a mopa erisantihare'za mani'naze.
06130a00c2	Hanki nampa 3 mopare'ma satu zokago'ma re'za kazana, Zebuluni agi efore higeno, Zebuluni naga'mo'za nagate nofite refko hu'za eri'naza mopazamimofo agema'amo'a vuno, Saridi rankumate uhanati'ne.
06130b00a0	Hagi zage fre kaziga mopamofo agema'amo'a Marala uhanatiteno, vuno Dabeseti tavaonte vuteno, vuno Jokneam kumamofo zage hanati kaziga osi ti me'nere uhanati'ne.
06130c0091	Hanki Sarititira mopamofo agema'amo'a rukrahe huno zage hanati kaziga Kislot-Tabori kaziga uhanatiteno, vuno Daberati uhanatino, Jafia mareri'ne.
06130d00c0	Anantetira mopamofo agema'amo'a zage hanati kaziga vuvava huno Gat Hefarine, Et Kazini rankuma trente vuteno, anantetira Rimmoni uhanatiteno, rukrahe'ma hiana Nea kaziga avugosa hunteno vu'ne.
06130e0083	Hanki noti kaziga mopamofo agema'amo'a rugagino, Hanaton rankumate uhanatiteno, vuvava huno Ifta-El agupoma ome atrete ome atre'ne.
06130f0111	Hanki ana maka Zebuluni naga nofi'moza'ma eri'naza ranra kumatamimofo zamagi'a amanahu me'ne, Katatima, Nahalalima, Simronima, Idalane, Betlehemu kuma'enena eri'naze. Hagi ana makara 12fu'a rankumatamine ne'onse kumatamima megagi zamanteterema hu'nea kumara erivagare'naze.
0613100098	Hanki ama ana ranra kumatamine tavao zamire'ma me'ne'a neonse kumatamina Zebuluni naga'mo'za nagate nofite refko hu'za zamagra'a mopa erisantihare'naze.
0613110094	Hanki nampa 4 moparema satu zokagoma re'za kazana, Isaka agi efore hige'za, Isaka naga'mo'za nagate nofite hu'za mopa refko hu'za erisantihare'naze.
0613120069	Hagi Isaka naga'mo'za eri'naza ranra kumatamimofo zamagi'a amanahu me'ne, Jesrilma, Kesulotima, Sunemima,
0613130022	Hafaraimima, Sionima, Anaharatima,
061314001d	Rabitima, Kisionima, Ebezima,
061315003e	Remetima, En-Ganimima, En-hadama, Bet-Pazezima hu'za eri'naze.
0613160117	Hagi Isaka naga'mo'zama eri'naza mopamofo agema'amo'a Tabori agonare vuteno, vuno Sahahazumane Bet-Semes rankuma trente uhanatiteno, vuno Jodani tinte ome atrege'za Isaka naga'mo'zama eri'nazana, 16ni'a ranra kuma'tamine tavaozamire'ma me'nea neonse kumataminena eri vagare'naze.
061317007f	Ama ana ranra kuma'tamine ne'onse kumatamina Isaka naga'mo'za nagate nofite hu'za zamagra'a suza refko hu'za erisantihare'naze.
0613180090	Hanki nampa 5fu mopare'ma satu zokagore'za kazana, Asa agi efore hige'za, Asa naga'mo'za nagate nofite hu'za mopa refko hu'za erisantihare'naze.
0613190082	Hagi Asa naga'mo'zama eri'naza mopa'afima me'nea ranra kumatamimofo zamagi'a amanahu hu'ne, Helkatima, Halima, Betenima, Aksafama,
06131a0089	Alamelekima, Amadine, Misali ran kuma'ene, zage fre kaziga mopamofo agema'amo'a Kameli agonane Siho Libnat rankuma tavaonte ome antre'ne.
06131b011c	Hanki anantetira mopamofo agema'amo'a ome rukrahe huno zage hanati kaziga Bet-Dagoni rankumate vuteno, Zebuluni naga mopane Ifta-El agupo tavaonte vuteno, vuvava huno noti kaziga Bet-Emekine, Neieli rankumate uhanatiteno, agatereno noti kaziga vuvava huno Kabuli rankumate uhanati'ne.
06131c006c	Hanki anantetira Ebronima, Rehobuma, Hamonine, Kana kumatamina agatereno ogantu Saidon rankumate uhanati'ne.
06131d0125	Hanki anantetira mopamofo agema'amo'a rukrahe huno Rama rankumate vuteno, Tairi rankuma'ma hanavenentake have kegina hugagi'naza kumate uhanati'ne. Anantetira mopamofo agema'amo'a rukrahe huno Hosa rankuma me'nerega avugosa hunteno vuno, Akzib kaziga Mediterenia ra hageri me'nere ome atre'ne.
06131e00c7	Hanki Asa naga'mo'zama mago'a mopama eri'nazana, Umane, Afekine, Rehobu rankuma'ene erizageno, ana makara 22'a ranra kuma me'negeno ne'onse kumatamina megagizmanteterema hu'neana, ana maka eri 'naze.
06131f0069	Hanki ana ranra kumatamine ne'onse kumatamina Asa naga'mo'za nagate nofite refko hu'za erisantihare'naze.
0613200093	Hanki nampa 6si mopare'ma satu zokagoma re'za kazana, Naftali agi'a efore higeno, Naftali naga'mo'za nagate nofite hu'za mopa refko hu'za eri'naze.
06132100ed	Hagi mopazamimofo agema'amo'a Herefi rankuma'ene Za'ananimima ko zafama me'nereti agafa huteno, vuno Adami Nekebi rankuma'ene Jabnili kumatrena agatereno vuteno, vuvava huno Lakumi rankumate uhanatiteno, Jodani ti ankenare ome vagare'ne.
0613220105	Hagi ana mopamofo agema'amo'a rukrahe'ma hiana, Aznot-Tabor rankumamofo zage fre kazigati rugitagino Hukok rankumate uhanati'ne. Higeno Zebuluni naga'mofo mopa sauti kaziga megeno, Asa naga'mofo mopa zage fre kaziga megeno, Jodani tina zage hanati kaziga me'ne.
0613230089	Hanki hankavenentake vihuma havereti'ma hu'naza rankumatamimofo zamagi'a amanahu me'ne, Zidimima, Zerima, Hamatima, Rakatima, Kineretima,
0613240018	Adama, Ramama, Hazorima,
061325001f	Kedesima, Edreima, En-Hazorima,
06132600cb	Ironima, Migdal-Elmama, Horemima, Bet-Anatine Bet-Semesine megeno ana makara, Naptali naga'mo'za 19ni'a ranra kumatamine ne'onse kumatamima tavao zamire'ma megagiterema hu'neana ana maka eri vagare'naze.
061327006d	Hagi ama ana ranra kumatamine ne'onse kumatamina Naftali naga'mo'za nagate nofite hu'za refko hu'za eri'naze.
061328008a	Hanki nampa 7ni mopare'ma satu zokagoma re'za kazana Dani agi efore higeno, Dani naga'mo'za nagate nofite hu'za mopa refko hu'za eri'naze.
0613290060	Hanki ranra kumama eri'naza kumatamimofo zamagi'a amanahu me'ne, Zorama, Estaolima, Ir-Semesima,
06132a0021	Sa'alabinima, Aijalonima, Itlama,
06132b001b	Elonima, Timnama, Ekronima,
06132c0021	Eltekema, Gibetonima, Ba'alatima,
06132d0025	Jehudima, Bene-Berakima Gat-Rimonima,
06132e0060	Mejakonima, Rakonima, Jopa ranku tavaonte'ma me'nea kumatamina ana maka Dani naga'moza eri'naze.
06132f015f	Hianagi Dani nagara henka ha' vahe'zamimo'za mopazamifintira zamahenati atre'naze. Ana hazage'za mareriza Lesemi vahera ha' huzamante'za ana maka vahera bainati kazinteti zamahe vaganere'za Lesemi rankumara Dani naga'moza eri'naze. Hagi Lesemi rankumapima manite'za ana kuma agi'a rekrahe hu'za nezamageho agire asamre'za Dani'e hu'za agi'a ante'naze.
0613300074	Hanki ama ana ranra kumatamine, neonse kumatamina Dani naga'mo'za nagate nofite hu'za refko hu'za erisantihare'naze.
0613310084	Hanki Israeli vahe'mo'za mopama refko hu'za nagate nofite hu'za erite'za, anampintira mopa refko hu'za Nuni nemofo Josuana ami'naze.
06133200bf	Ra Anumzamo'ma hu'nea kante ante'za Efraemi naga'mokizmi mopamofo agona asoparega Timnat-Sera me'nea rankuma Josua'a namiho hige'za, amizageno ana kumara eri kasefa huno rankuma kino mani'ne.
061333011f	Hanki pristi ne Eleazaki, Nuni nemofo Josua'ene ana maka naga'nofipinti'ma vugota hutere hu'naza kva vahe'mo'za Silo kumate atruhuza seli nomofo avuga manine'za, Ra Anumzamofo avure satu zokago re'za eri ama hu'za ana maka mopa nagate nofite refko hu'zmi vagarazage'za erisantihare'naze.
0614010039	Ana hutageno Ra Anumzamo'a amanage huno Josuana asami'ne,
06140200a6	Israeli vahe'mokizmia zamasamige'za vahe'mo'zama koro fre'za zamagu'ma ome vazi'naza rankumatamina Mosesema asamugeno tamasami'nea kante ante'za mago'a huhamprinteho.
06140300de	Hanki mago'mo'ma, vahe ahefri antahintahi omne'nena hantagama huno vahe'ma ahe frisuno'a, agra koro freno ana aguvazi kumatamimpi vuno umanisige'za, anama ahe fri'nesia vahe'mofo naga'mo'zama ahenaku'ma hanazana ohegahaze.
0614040101	Hagi ana ne'mo'ma koro'ma freno mago kuma'mofo ufre kahante'ma vanuno'a, agra ana kumamofo ufre kahante umani'neno, ana kumate ugota vahe'ene, agrama hu'nea zankura keaga eri fatgo hino. Anama hutesige'za atresageno ufreno ana kumapina zamagrane umanigahie.
061405014f	Hanki agrama hu'nea hazenkere'ma nona hunaku mago vahe'mo'ma rotagoma huno ana kumate'ma esige'za, ana kumate'ma ugota hu'naza kva vahe'mo'za anama hazenkema hu'nea nera avre omigahaze. Na'ankure agri ha' vahera omani'ne. Hianagi ahe frisue huno oheneanki, amne hantaga huno ahe fri'negu, ana kumapi vahe'mo'za ana nera kegava hunteho.
0614060125	Hanki agra ana kumapinke'za mani'nesige'za, ana kumapima nemaniza maka vahe zamavure keaga'a refko hugahaze. Hanki keaga'ama refko'ma hanageno'ma hazenkema omane'nesigeno'a, agra ana kumapinke mani'nesigeno, ana knafima ugagotama hu'nesia pristi nera fritesigeno, mopa agafa'arera ete vugahie.
0614070146	Hanki Ra Anumzamo'ma anankema hiana antahite'za, Naftali naga'mokizmi mopamofo agona asoparega, Galili kaziga me'nea kuma Kadesima, Efraemi naga mopamofo agonamofo asoparega me'nea kuma Sekemine, Juda nagamokizmi mopamofo agona asoparega me'nea kuma Kiriat-Arba (mago agi'a menina Hebronie nehaze) ana kumatami hu hampri'naze.
061408011e	Hanki Jeriko kumamofo zage hanatitega, Jodani timofo kantu kaziga, ka'ma mopama me'nerega Rubeni naga'mofo agupo moparega me'nea kumara Bezerima, Gileati kaziga Gati naga'mofo mopa me'nea kuma Ramotima, Basani kazigama Golani mopa Manase naga'mofo mopafima me'nea rankuma huhampri'naze.
0614090162	Hanki Israeli vahepinti mago'mo'o, ru vahe'ma tamagranema emani'nesaza vahepinti, mago'mo'ma, vahe ahefri antahintahima omne'ne'nigeno hantaga huno mago vahe'ma ahe frisuno'a, anama huhamprinte kumatamimpi koro freno umani'nesigeno, nona huno ahe frisue huno rotago huno'ma esimo'a, ahe ofrigahie. Na'ankure agra maka vahe zamavurera keagafina oraoti'ne.
061501007f	Hanki Livae nagate vugota hu'naza vahe'mo'za, pristi ne' Eleazane, Nuni nemofo Josuane Israeli vahete ugota hu'naza kva vahete,
06150200d7	Sailo kuma'ma Kenani mopafi me'nere e'za amanage hu'za zmasami'naze, Ra Anumzamo'a Mosesema asamino tagrikura rankuma'ene masave nentake tra'zama me'nesia mopane zaminke'za tra'zama nenaza afu zaminena maniho hu'ne.
06150300c1	Ana hu'negu Ra Anumzamo'ma hu'nea kante ante'za, Israeli vahe'mo'za zamagrama erisantimahare'naza mopafinti, tra'zamo'ma masavenentake hu'nea mopane, mago'a ranra kumara Livae nagara zami'naze.
0615040113	Hanki ese'ma satu zokago re'za kazana Kohati naga'mo'za erisaza rankuma ke'za erifore hu'naze. Hagi anama hute'za Juda naga'ma, Simioni naga'ma, Benzameni naga'mo'za 13ni'a ranra kuma refko hu'za, Livae naga'ma pristi ne' Aronimpinti'ma efore hu'naza Kohati nagara zami'naze.
061505009e	Hanki Efraemi naga'ma, Dani naga'ma, amu'nompinti'ma refkoma hu'naza Manase naga'mo'za mopama e'ori'naza Kohati nagara 10ni'a ranra kumatami refko huzmi'naze.
06150600a3	Hagi Isaka naga'ene, Asa naga'ene, Naftali naga'ene, Basanima nemaniza ruga'a Manase naga'mokizmi mopafinti 13ni'a rankumatami refko hu'za Gesoni nagara zami'naze.
0615070096	Hagi Rubeni naga'ene, Gati naga'ene, Zebuluni naga'mokizmi mopafinti 12fu'a ranra kumatamina refko hu'za Merari nagara, nagate nofite hu'za zami'naze.
06150800c5	E'ina hu'negu Ra Anumzamo'ma Mosesema asamine'a kante ante'za, Israeli vahe'mo'za, ana rankumatamine, tra'zama nenaza afutamima ante mopanena Livae nagara satu zokago re'za eri ama hu'za zami'naze.
0615090079	Hagi Juda naga'ene, Simioni naga'mokizmi mopafima me'nea rankumatamima refko hu'naza kumatamimofo zamagi'a amanahu me'ne.
06150a00ab	Hagi Livae naga'ma pristi ne' Aronimpinti'ma efore'ma hu'naza Kohati naga'mo'za kotazama satu zokago'ma razana, zamagri zamagimo efore hige'za ana rankuma'tamina eri'naze.
06150b012f	Hagi mago ran kuma'ma Israeli vahe'mo'zama Aroni naga'ma zami'nazana, Juda nagamokizmi mopamofo agona asoparega me'nea kuma Kiriat-Arbane (mago agia Hebronie) ana kuma'mofoma trazamo'a masavenke hukagi'nea mopa tra'zama nenaza afuzamima antesagu zami'naze. (Hagi Arba'a Anaki naga'mokizmi nezamageho'e.)
06150c0081	Hianagi Israeli naga'mofo rankumamofo tavaonte'ma me'nea ne'onse kumatamine mopanena, Jefune nemofo Kalepi agri mopa ko ami'naze.
06150d00dc	Hagi Aroni agehe'mo'za pristi eri'zama e'neriza nagara, kore fre'za vu'za zamagu'ma nevaziza Hebroni kuma'ene tra'zama nenaza afuzminema kegava hanaza mopane Libna kuma'ene, tra'zama nenaza afuzmima kegava hanaza mopane,
06150e0089	Jatiri rankuma'ene tra'zama nenaza afuzminema kegava hanaza mopane, Estemoa rankuma'ene, tra'zama nenaza afuzminema kegava hanaza mopane,
06150f0059	Holoni rankuma'ene, tra'zama nenaza afu'zminema kegava hanaza mopane, Debiri rankuma'ene,
06151000c4	Ainine, Jutane, Betsemes rankuma'ene zami'naze. Ama ana 9ni'a rankumara, afu'zamimo'zama tra'zamanesaza mopanena Simioni naga'ene Juda naga'mo'za zamagra'a mopafinti Aroni nagara refko huzmi'naze.
0615110038	Hagi Benzameni naga'mofo mopafintira, Gibionima, Gebama,
06151200b0	Anatotine, Almoni rankumaki hu'za ana makara 4'a ranra kumatamine, tava'ozamire'ma me'nea mopa tra'za nenaza afu zamimo'zama tra'zama nesaza mopa Aroni nagara refko huzmi'naze.
06151300b1	Hanki Aroni naga'ma pristi eri'zama eneriza naga'mo'za ana makara 13ni'a ranra kumatamine, tavao zamire'ma me'nea mopa afu zamimozama tra'zama nesaza mopanena ana maka eri'naze.
061514006e	Hanki Livae naga'pintira mago'a Kohati nagara, Efraemi naga mopafinti mago'a ranra kumatmina refko huzmi'naze.
061515009b	Hanki Israeli vahe'mo'za 4'a ranra kuma'ma zami'nazana, Efraemi naga'mokizmi agona asoparegama, koro fre'za ome zamagu'ma nevaziza rankuma Sekemima, Gezama
0615160087	Kibzaimima, Bet Horonine ana maka tavao zamire'ma me'nea mopa afu'zamimozama tra'zama nesaza mopane ana 4'a ranra kumazminena eri'naze.
0615170074	Hanki ana zanke hu'za Dani naga mopafinti'ma Kohati naga'ma ranra kuma'ma refko huzami'nazana, Eltekema, Gibetonima,
0615180070	Aijaronima, Gat-Rimonine, tavaozamire'ma me'nea mopa afu zamimo'zama tra'zama nesaza mopanena ana maka eri'naze.
06151900d4	Hanki Manase nagara tare mopa eri'nazankino, mago mopafi naga'mokizmi mopafintira, Ta'anakine, Gat Rimoni rankumatrene tava'ozanire'ma me'nea mopa afu zamimo'zama tra'zama nesaza mopanena Kohati nagara zami'naze.
06151a0095	Hanki Kohati naga'mo'za ana makara 10ni'a ranra kumatamine, tavao zamire'ma me'nea mopane afu zamimo'zama tra'zama nesaza mopanena ana maka eri'naze.
06151b0180	Hanki Livae naga'pinti mago nagara Gesomu nagakino, tare rankuma'ma zami'nazana, Manase naga'ma amu'nompinti refkoma hu'naza naga'mokizmi mopafinti refko hu'za, kore fre'za zamagu'ma ome nevaziza rankumara Basani mopafi me'nea Golani rankuma'ene, Be-Estarane tava'ozanire'ma me'nea mopa tra'zama nenaza afu zamimo'zama tra'zama nesaza mopanena ana maka Gesomu naga'mokizmia zami'naze.
06151c0063	Hanki Isaka naga mopafinti'ma Gesomu naga'ma 4'a ranra kuma'ma zami'nazana, Kishionima, Daberatima,
06151d007a	Zarmutima, En-Ganimine, ana maka tava'ozamire'ma me'nea mopa, afu zamimo'zama tra'zama nesaza mopanena ana maka zami'naze.
06151e005d	Hanki Asa naga mopafinti'ma Gesomu naga'ma 4'a ranra kuma'ma zami'nazana, Misalima, Abdonima,
06151f0081	Helkatima, Rehobune ana maka tava'ozamire'ma me'nea mopa, afu zamimo'zama tra'zama nesaza mopanena, 4'a ranra kuma'ene zami'naze.
061520013c	Hanki Israeli vahe'mo'za Naftali naga'mofo mopafinti 3'a ranra kuma Gesomu naga'ma refko huzami'nazana, zamagu'ma vazinagu kore freno ome fraki rankuma Galili mopafi me'neana Kades ran kumaki, Hamot-Dori kumaki, Katan rankuma'ene, ana maka tava'ozamire'ma me'nea mopa, afu zamimo'zama tra'zama nesaza mopa zami'naze.
06152100a1	Hanki Gesomu naga'moza ana makara 13ni'a ranra kumatamine, tavaozamire'ma meterema hu'nea mopa, afu zamimozama tra'zama nesaza mopanena ana maka eri vagare'naze.
061522008c	Hanki Livae naga'pinti mago nagara Merari nagakiza Israeli vahe'mo'za Jebuluni naga mopafinti ranra kuma'ma zami'nazana, Jokneamuma, Katama,
06152300b0	Dimnama, Nahalali rankuma'ene zami'naze. Hagi ana maka 4'a ranra kumatamine tava'ozamire'ma me'nea mopa afu zamimo'zama tra'zama nesaza mopanena ana maka Merari naga zami'naze.
061524006b	Hanki Rubeni naga mopafinti Israeli vahe'mo'za Merari nagama ranra kuma'ma zami'nazana, Bezerima, Jahazima,
0615250099	Kedemotima, Mefa'ati rankuma'ene zami'naze. Hagi ana makara 4'a ranra kumatamine afu zamimo'zama tra'zama nesaza mopanena ana maka Merari naga zami'naze.
06152600b7	Hanki Gati naga mopafinti'ma Israeli vahe'mo'zama Merari naga'ma ranra kuma'ma zami'nazana, kore fre'za zamagu'ma ome nevaziza rankuma Giliati kazigama me'neana Ramotima, Mahanaimima,
0615270095	Hesbonima, Jazeri rankumatre'na zami'naze. Hagi maka ana 4'a ranra kumatamine afu'zamimozama tra'zama nesaza mopanena ana maka Merari naga zami'naze.
0615280078	Hagi Livae naga'mo'za mopama erizage'za mopama e'ori'naza nagara Merari nagakiza zamagra 12fu'a ranra kumatami eri'naze.
0615290089	Hanki Israeli vahe'mo'zama maka mopama eri'nafintira 48'a ranra kuma'ene afu'zamimo'zama tra'zama nesaza mopanena Livae nagara zami'naze.
06152a007a	Hanki ana maka mago mago ranra kumatamimofona tava'ozamirera Livae naga'mo'zama afu'zamima antesaza mopa megagitere hu'ne.
06152b0090	E'ina huno Ra Anumzamo'a zmagehe'ima huvempa huno zamigahue hu'nea mopa ana maka Israeli vahera zamige'za, erisantihare'za ana mopafi mani'naze.
06152c0129	Ra Anumzamo'a Israeli vahera zamaza huno ha' vahe'zamia zamazampi zamavarentege'za, Israeli vahe'mo'za hara huzmagaterageno mago'mo'e huno hara huzmagateore'ne. Ana higeno Ra Anumzamo'a zamagehe'ima huvempama huzmante'nea kante anteno, maka kazigatira hara huozmantage'za mani fru hu'za mani'naze.
06152d0093	Hanki Ra Anumzamo'ma Israeli vahe'tema knare huvempa kema huzamante'nea ke'mo'a magore huno hantaga osuno, ana maka'zamo'a nena raga'a efore hu'ne.
0616010074	Anante Rubeni naga'ma Gati naga'ma, amu'nompinti refko hu'naza Manase nagara Josua'a kehige'za eme eri tru hazageno,
06160200be	amanage huno zamasami'ne, Ra Anumzamofo eri'za ne' Mosese'ma hihoma huno'ma huramante'nea zana ana maka hago huvagare'naze. Ana nehutma nagrama hihoma hu'na huankea ana maka amage ante'naze.
06160300be	Hanki korapa knareti eno menima ama knare'ma egetma, tamagra tamafuhe'ina zamatreta ofretma, Ra Anumzana tamagri Anumzamo'ma e'ina hugahaze huno'ma tami'nea eri'zana ana maka erivagare'naze.
06160400ff	Hanki menina Ra Anumzana tamagri Anumzamo huvempama hu'nea ke'a amage anteno tamafuhe'ina manigsa zami'ne. E'ina hu'negu Ra Anumzamofo eri'za ne' Mosese'ma tami'nea mopa zage hanati kaziga Jodani timofo kantu kaziga nonkumatamima mane'nea mopare vugahaze.
061605011a	Hianagi Ra Anumzamofo eri'za ne' Mosese'ma tami'nea kasegene tra kenena kegava huso'e hu'netma amage anteho. Ra Anumzana tamagri Anumzamofo avesinenteta, Agri avu'ava nevaririta, kasege'a amage nenteta, Agrane tragoteta mani'neta, maka tamagu tamenteti hutma Agri eri'zana erinteho.
0616060052	Anante Josua'a asomu ke huzamanteteno huzmantege'za seli nonkuma zamirega vu'naze.
061607015c	Hanki amu'nompinti'ma refkoma haza ruga'a Manase nagara Mosese'a Basani kazigati mago mopa ko zami'ne. Hanki Manase naga'ma amu'nompinti'ma refkoma hu'naza nagara Israeli vahe'mo'za'ma Jodani timofo zage fre kaziga mopama erinafinti Josua'a mopa zami'ne. Anama huteno'a Josua'a asomu ke huzamanteteno huzamantege'za seli nonkuma zamirega nevzageno,
0616080104	amanage huno zamasami'ne, tamagra rama'a feno zantamine bulimakao afu kevutamima, silvama, golima, bronsima, aenine, rama'a knare kukenanema, ha'ma hu zamagatereta eri'naza zantamina erita menina seli nonkuma tamirega vuta tamafuhe'zanena ome refko huta eriho.
06160900cc	Ana hutege'za, Rubeni naga'ma, Gati naga'ma, ruga'a Manase naga'mo'za Israeli vahera Kenani kaziga Sailo kumate zamatre'za, Ra Anumzamo'ma Mosese asami'nea kante ante'za eri'naza moparega Gileati vu'naze.
06160a00a3	Hanki Rubeni naga'ma, Gati naga'ma, ruga'a Manase naga'mo'zama Kenani Mopa atre'za Jodani ti tava'onte Geliloti ete'za, anante tusi'a kresramna vu ita tro hu'naze.
06160b0113	Hagi anama hazazana mago'a vahe'mo'za kete'za vu'za Israeli vahe'mokizmia ome zmasami'za, Rubeni naga'ma, Gati naga'ma, ruga'a Manase naga'mo'za vu'za Kenani mopama ome atretega Gelilotia, Jodani timofo tavaonte tagri mopa kaziga, Kresramana vu ita ome tro hu'naze hazage'za,
06160c007e	ana zamofo nanekema nentahi'za ana maka Israeli vahe'mo'za oti'za ha' huzmante'naku Sailo kumate eri tru hu'za trotra hu'naze.
06160d00aa	Hagi Israeli vahe'mo'za pristi ne' Eleazar nemofo Fineasina huntazageno, Rubenima, Gatima, amu'nompinti'ma refko hu'za vu'naza Manase naga'ma Gileatima mani'narega vu'ne.
06160e00df	Hanki Finiasi'enena 10ni'a vugagota kva vahetamine huzmantazage'za vu'naze. Ana vahera tauseni'a Israeli vahepima mago'mago naga'nofi'ma mani'nafintira vugagota hu'naza vahe'age, mago'mago huhamprintetere hazage'za vu'naze.
06160f0080	Hanki Rubeni naga'ma, Gati naga'ma, ruga'a Manase naga'ma hu'za Gileati kumate'ma mani'nare e'za amanage hu'za eme zamasmi'naze,
0616100111	ana maka Ra Anumzamofo kevu naga'mo'za amanage hu'za hu'naze. Na'ahigeta amanahu tamavu tamavara huta Ra Anumzamofona antahi omi'naze. Na'ahigeta Ra Anumzamofona tamefira humita ke'a rutagreta menina ama kresramna vu ita Ra Anumzamofoma ha'marente'zana tamagra tro hu'naze.
