0100000018	उत्पत्ति
01291600f3	ओळी हांव दिसरो सोपनो देख्यु, कि एकुत पुवा मा सात वार वारु आरु दाना सी भोरायली उम्बीया निकोळी।
01291700ef	ओळी काय देख्यु, कि पोछोळ आरु सात उम्बीया छूछी छूछी आरु पातळी आरु पुरवाई सि मुरझायली निकोळी।
012918015e	आरु इनी पातळी उम्बीया न हेनु सात वार वारु उम्बीया क गिळ गोय। यी हांव नजर बांदा काजे बताड़ीयो, बाखुन यो सोमाझाड़ने वाळो कोय नी मिळ्यो।”
012919011e	ती युसुफ न फिरोन सी कयो, फिरोन क सोपनो एकुत छे, परमेश्वर जो जाम कोरने चाहे, तेनाक हुयो फिरोन पोर प्रकट कोरलो छे।
01291a00df	चे सात वार वारु गाय सात साल छे; आरु चे सात वार वारु उम्बिया वी सार साल छे; सोपनो एकुत छे।
01291b015f	ओळी हेन्दरे पोछोळ जे कोमजुर आरु डगरी गाये निकोळी, आरु जे सात छूछी आरु पुरवाई सी मुरझायली होयली उम्बीया निकोळी, चे अकाल क सात साल होयसे।
01291c0113	यी चीत् वात् छे जी हांव फिरोन काजे कोय देदु, की परमेश्वर जो काम कोरने चाहाय, चो हुयो फिरोन काजे देखाड़लो छे।
01291d008d	सोमोळ, आखा मिसर देश मा सात साल ते घोनो सोटो ओनाज फोळसे।
01291e0111	एरे वाद सात साल काव क आवसे, आरु आखा मिसर देश मा मानसे इनी आखी कोमाई क विसरी जासे; आरु काव सी देश क नाश होयसे।
01291f00cb	आरु सुकाव (बहुतायत क कोमाई) देश मा ओळी फोम नी रोहसे काहकी काव घोने जोबोर होयसे।
0129200194	आरु फिरोन न जो यो सोपनो दुय वार देखलो छे एरो दाखलो योत छे कि योत छे कि यो वात परमेश्वर क भीनी सी नेवाड़ होय चुकलो छे, आरु परमेश्वर एनाक घोनो छाटोत पुरो कोरसे।
012921011f	ओतरान कोरिन हिमि फिरोन कुदाक समझदार आरु ओकोल वाळा मानुसक हेर कोरीन तेनाक मिसर देश पोर प्रधानमंत्री बोनावसे।
012922015f	फिरोन यो करे कि देश पोर होक क नेवाड़ कोरे, आरु जब लोगुन सुकाल क सात साल रोहे तोत्यार लोगुन हुयो मिसर देश क कोमाई क पांचवु वाटू लिया कोरे।
0129230148	आरु चे एनु वारला सालो मा सब भाती क खाने क चिज एकठो कोरे, आरु नगर नगर मा भण्डार घर भोजन क लिय, फिरोन क होकोम कोरीन ओकी गुळावी कोरे।
012924015d	आरु हुयो खानेन चिज काव क हेनु सात साल क लिय, जे मिसर देश मा आवसे, देश क भोजन क निमित्त राख राखे, जिनासी देश हेना काव सी सत्यानाश नी हो जाय।
012925007b	यी वात फिरोन आरु ओका आखा कामकोरनया क वारु लागी।
0129260136	ओतरान कोरिन फिरोन न आपस कामकोरन्या सी कोयो, “काय आमुक ओसो मानुष, जोसो यु छे, जेरेमा परमेश्वर क आत्मा रोहे छे, मिळ सोक छे?”
012927010d	ओळी फिरोन न युसुफ सी कोयो, परमेश्वर नजो तुसे ओतरो गियान आपलो छे, कि तार जोसो कुदु समझदार आरु ओकोलवाळु नी;
0129280170	ओतरान कोरीन तु मारा घोर क होकदार होयसे, आरु तारा हुकुम क ओनसारे मारी आखी प्रजा चालसे, केवल राजगाद्दी क वारामा हांव तार सी मोटू कोवाईस (प्ररि 7:10)
01292900c3	ओळी फिरोन न युसुफ सी कोयो, “सोमोळ, हांव तुसेक मिसर क आखा देश क उपोर होक आपो।”
01292a0178	ती फिरोन न आपसु हात सी मुँदी निकाळीन युसुफ क हात म पेराय देदु; आरु ओको घोना वारु मलमल क छिन्दरा पेराय देदा, आरु हेरा गोळा मा सोना क माला पेराय देदा;
01292b0198	आरु ओको आपसा दिसरा रथ पोर चोढाया; आरु मानसे हेरे ओगोळ ओगोळ यो पोरचार कोरता चाल्या, कि मान्डा टेकविन वान्दु आरु हुयो इनाक मिसर देश क पोर प्रधानमंत्री बोनायो।
01292c0110	ओळी फिरोन न युसुफ सी कोयो, “फिरोन ते मे छे, आरु आखा मिसर देश मा कोय वी तारा हुकुम क विगुर हात पाय नी हालवे।”
01292d0184	फिरोन न युसुफ क नाव सापनत पानेह पाड़्यु। आरु ओन नगर क याजक पोतीपेरा क पुराय आसनत सी ओकी इयाव कोराय देदो। आरु युसुफ आखा मिसर देश क मा दौर कोरने लाग्यु।
01292e014f	जब युसुफ मिसर क राजा फिरोन क ओगोळ उबो हुयो, ती हुयो तिस साल क हुतो। हुयो फिरोन क ओगोळ सी निकोळीन आखा मिसर देश मा दौरु कोरनर लाग्यु।
01292f0084	सुकाल क सातु साल मा धोरती बेसकी धान पाकाड़ती रोही।
0129300193	आरु युसुफ हेनु सात साल मा आखी भातीन क खानेन चीजे, जे मिसर देश मा होयती होती, एकठो कोरीन नगर क च्यारु मेर क खेतो क भोजन चीजो क हुयो हेना नगर मा एकठो कोरतो गोयो।
0129310193	ओस कोरीन युसुफ न धान क दरीया क रेत क जोसो घोनो सोटो सा टोका टोका गिनीन मेक लेदु, याँ लोगुन कि हुयो हेन्दरो गिननो छुड़ देदो; काहकी हुये निगिनाये ओसा होय गोयो।
01293200f3	काव क पेहला साल क आवने सी पेहेल युसुफ क दुय पुर्या, ओन क याजक पोतीपेरा क पुराय आसनत सी जन्म्या।
0129330107	“आरु युसुफ न आपसा मोटला क नाव मनश्शे पाड़्यु, कि परमेश्वर न मार सी मारो आखो घोरानो विसराड़ देदलु छे।”
01293400f5	दिसरा क नाव हुयो यो कोविन एपरेम पाड़्यु, कि मेसे दुख वेठने क देश मा परमेश्वर न फलवन्त कोरलु छे।
0129350066	आरु मिसर देश क सुकाल क सात साल सोर गोया।
0129360152	आरु युसुफ क कोहने क ओनसारे सात साल क लिय काव सुरु होय गोयु। आखा देशो मा काव पोड़ने लाग्यु; बाखुन आखा मिसर देश मा धान होतो। (प्रेरि 7:11)
01293701e4	जब मिसर क आखा देश भुके मोरने लाग्या; ती मानसे फिरोन सी आयड़ी आयड़ीन रुटा माँगने लाग्या; आरु हुये आखा मिसरी सी कोया कोरतलु, युसुफ क पास जावु; आरु जो काई हुयो तुमरे सी कोहे, चोत कोरु (प्रेरि 7:11)
012938017e	ओतरान कोरिन जब काव आखी कोळी पोर होय गोय, आरु मिसर देश मा काव क बेस जोबोर रुप होय गोयो; ती युसुफ सब भण्डारन घर क उगाड़ीन मिसरी लोगहन क ओन वोचने लाग्यु।
0129390131	ओतरान कोरिन आखी कोळी क मानसे मिसर मा ओन मुले लेने क लिय युसुफ क पास आवने लाग्या, काहकी आखी कोळी पोर बेस जोबोर काव होतु।
012a0100fb	जब याकुब न सोमळ्यो कि मिसर मा ओन छे, ती हुयो आपसा पुर्या सी कयो, “तुमु एक दिसरान मुय काय देख रोया।”
012a020184	ओळी हुयो कोयो, हांव सोमवलु छे की मिसर मा ओन छे; ओतरान कोरिन तुमु होंया जाईन आपने जुगु ओन मुले लि आवु, जेरेसे आपनु नी मोरजे, बाखुन जुवतला रोहजे (प्रेरि 7:12)
012a03007f	एने: युसुफ क दस भाई ओन मुले लेने क लिय मिसर क गोया।
012a04014c	बाखुन युसुफ क भाई बिन्यामीन क याकुब न यो विचारीन भाष्‍यो क भेळ नी मुकल्यो कि काहमाईन ओसो नि होये कि हेर पोर काहिन वेला आय पोड़े।
012a05011b	ओस कोरीन जे मानशे ओन मुले लिन आया ओका सात इस्राएल क पुर्या वी आया; काहकी कनान देश मा वी भारी काव होतु (प्रेरि 7:11)
012a06018d	युसुफ ते मिसर देश क आधिकारी होतु, आरु हेना देश क सब मानशो क हात हुयोत ओन वेचतो हुतो; ओतरान कोरिन जब युसुफ क भाई आया ती भिमा मुयोन भुरसे पोड़िन ओको वांद्या।
012a0701b5	हेनुक देखिन युसुफ न उळखी ते लेदु, बाखुन हेन्दरे ओगोळ भुळु बोनीन वातड़ु होईन हेनुक पुछ्यु, “तुमु का सी आय रोया?” हुये कोया, “हामु ते कनान देश सी ओन मुले लेने क लिय आवला छे।”
012a080093	युसुफ न आपसा भाई क उळखी लेदु, बाखुन हुये हेनाक नी उळख्या।
012a090167	ती युसुफ आपसा हेनु सोपना क फोम कोरिन जे हुये हेर वाराम देखला होता, हेनुक कोहने लाग्यु, “तुमु जासुस छे; एना देश न वेला क देखने क लिय आय रोया।”
012a0a00c8	हुये हेनाक कोया, “नि, नि, हे पोरबु, तारा दास खानेन चीजे मुले लेने क लिय आय रोया।
012a0b00bb	आमु आखा एकुत बाबान पुर्या छे, हामु सुदा मानशे छे, तारा दास जासुस नी होय।”
012a0c0098	हुयु हेनुक कोयु, “नी, तुमु एना देश क वेला देखनेत क आवला छे।”
012a0d0154	हुये कोया, “हामु तारा दास बारे भाईश छे, आरु कनान देशवासी एकुत मानुसक पुर्य छे, आरु नानलो एने टेमे आमरा बाबा क पास छे, आरु एक नी रोयु।”
012a0e00b0	ती युसुफ न हेनु सी कोयु हांव ते तुमरे सी कोय देदु, कि जासुस करनिया छे;
012a0f0138	इने रिते तुमु पारखाय जासु, फिरोन क जिवन क शपथ, जोत्यार लोगुन तुमरु नानलु भाईस याँ नी आवे ती लोगुन तुमु याँ सी जाय नि सोकु।
012a100243	ओतरान कोरिन आपसा मा सी एक क मुकली देवी कि चू तुमरा भाईस क लि आवे, आरु तुमु मानशो बान्दायन रोहसु; ओस कोरीन तुमरी वात पारखाय जासे कि तुमु छाचा छे की नी। कदाम तुमु खोरा नी निकोळ्या ती ते फिरोनन जीवण शपथ तुमु छाचीन जासुस कोवायसु।
012a110087	ती हुयु हेनुक तिन दाहड़ा लोगुन जेलखाना मा बुज रोयु।
012a1200ff	तिसरे दाहड़े युसुफ न हेन्दरे सी कोयु, “एक काम कोरु ती जीवतला रोहसु; काहकी हांव परमेश्वर क बिक मानो;
012a13016c	काहमाईन तुमु सुदा मानसे होय, ति तुमु आखा भाष्यो मा सी एक जन एना जेलखाना मा बादायलु रोहे; आरु तुमु आपसा घोरवाळा क भुक मिटावने क लिय ओन ली जावु।
012a14012d	आरु आपसा नानला भाई क मारे पास ली आवु; ओस कोरिन तुमरी वात खोरली कोहायसे, आरु तुमु मारे नी जासु।” ति हुये तोसोत कोर्या।
012a15026e	हेये हुयेत आपसा-आपसा कोया, “बेफीकुर आपना भाई क वारा मा गुनु छे, काहकी जोत्यार हुयु आपने सी गिड़गिड़ावीन विनती कोर्यु, ती वी आपनु यो देखीन, की हेरो जीवोन कोसो पिड़ा मा पोड़लो होसे, हेरी नी सोमळ्या; ओस कोरीन हामु वी हिमी इनी वेला मा पोड़ला छे।”
012a160178	रुबेन न हेरेसी कोयो, “काय हांव तुमरे सी नी कोयु होतु कि पुर्या क गुनावा मा बोनु? बाखुन तुमु नी सोमळ्या। देखु, हिमी तेरा लुहुय क बोदलु भुकती रोया।”
012a170121	युसुफ काजे आरु हेरी वात जी एक दुय बुलीन लारे होयती होती; इनासी हेनुक मालुलम नी हुयो कि हुयो हेन्दरी बुली सोमजे।
012a18018c	ती हुयो हेनका धड़ सी छेटो होईन रड़ने लाग्यो; हेनका पास पोछु आवीन आरु हेन्दरे सि वात कोरीन हेन्दरे मा सी शिमोन क नेवाड़ीन आरु ओको ओगोळ बोन्दी बोनाय लेदु।
012a1901bf	ती युसुफ न हुकुम आप्यो, की हेन्दरा थोयला ओनो सी भोर देवु आरु एक एक जन क थोयला मा ओका रिपिया वि मेक देवु, ओळी हेन्दरे वाट्ये क लिय खानेन चीज आपु। एने: हेन्दरे पुठी ओसोत कोर्या।
012a1a00a5	ती हुये आपसा ओनन थोयला आपसा गोदड़ा पोर मेलीन होंया सी चाल देदा।
012a1b0133	सराय मा जब एक न आपसा गोदड़ा क च्यारु आपने क लिय थोयलो उगाड़ियो, ती ओको रिपिया थोयला क मुयो पोर मेकलो हुतो देखा पोड़्यो।
012a1c0221	ती हुयो आपसा भाष्यो सी कोयो, “मारा रिपिया ते पोछा आप देदलो छे, देखु, हुयो मारा थोयला मा छे,” ती हेन्दरा जिवो मा जिव नी रोयु, आरु हुये एक दिसरा क आरु बिक सी ताकने लाग्या, आरु कोया, “परमेश्वर न यो आमरे सी काय कोरलु छे?”
012a1d00c8	ती हुये कनान देश मा आपसा बाबा याकुब क पास आया, आरु आपसी आखी वात क ओस कोरीन कोया:
012a1e0100	“जो मानुस हेना देश क स्वामी छे, हुयो आमुक घोनो वातड़ो क सात वात कोर्‌यो, आरु आमुक देश क भेदिया कोयो।
012a1f0086	ती हामु हेरेसी कोया, ‘हामु सुदा मानशे छे, भेदिया नी।
012a200111	हामु बारे भाईष एकुत बाबान पुर्या छे, एक ते जातु रोयु, बाखुन नानलु एने टेमे कनान देश मा आमरा बाबा क पास छे।’
012a2101c9	ती होयु मानुसन, जो हेना देश क स्वामी छे, आमुक कोयु, एनासी मालुम होय जाय की तुमु सुदा मानसे होय; तुमु आपसा मा सी एक क मारे पास छुड़िन आपसा घोरवाळा क भुख मिटावने क लिय थुड़ोक ली जावु,
012a2201b9	आरु आपसा नानला भाई क मारे पास ली आवु। ती मेसे विश्वास होय जाय कि तुमु भेदिया नी, सुदा मानशे छे। ओळी हांव तुमरा भाईष क तुमुक आप दीस, आरु तुमु एना देश मा लेनो देनो कोर सोकसु।”
012a2301d6	यो कोहीन हुये आपसा-आपसा थोयला सी ओन निकाळने लाग्या, ती, काय देख्या, की एक एक जन क रिपिया क थोयली ओकाज थोयला मा मेकली छे। ती रुप्या क थोयलिया क देखीन हुये आरु हेन्दरो बाबा बेस बिह गोयु।
012a240205	ती हेन्दरो बाबो याकुब न हेनु सि कोयो, “मेसेक तुमु विगुर ओवलियाद नु कोर देदा, देखु, युसुफ नी रोयु, आरु शिमोन वी नी आयु, आरु हिमी तुमु बिन्यामीन क वी ली जाने हिय रोया। यी आखी पीड़ा मारे उपोर आय पोड़ली छे।”
012a250197	रुबेन आपसा बाबा सी कोयु, “काहमाईन हांव हेनाक तारे पास नी लावो, ती मारा दुयु पुर्या क मार देजी; तु ओको मारा हातो मा सोप दे, हांव हेनाक तारेन्चा ओळी पुगाड़ दिस।”
012a260297	हुयो कोयो, “मारु पुर्यु तुमरे पुठी नी जासे; काहकी हेरु भाईस मोर गोयलु छे, आरु हुयो एखलो हिमी रोय गोयलो छे: ओतरान कोरिन जेने वाट्ये सी तुमु जासु, हेरेमा काहमाईन हेरे पोर काई वि पीड़ा आवे, ती तुमरे कारण हांव इना डाहवारा क टेमे मा शोक क सात अधोलोक मा उतरी जाईस।”
012b010065	देश मा काव आरु वी बेस जोबोर होयतो गोयो।
012b02014d	जव त्यो ओन जो हुये मिसर सी लि आया होता, सोर गोयो तो हेन्दरो बाबु न हेनुक कोयो, “ओळी जाईन आपने लिय थुड़ोक सो खानेन चीज मुले ली आवु।”
012b030153	ती यहुदा न हेनुसी कोयु, “हेयो मानुसन आमुक चेतावनी आपिन कोहलो, ‘काहमाईन तुमरो भाई तुमरे साते नी आवे, ती तुमु मारे ओगोळ नी आय पावसु।’
012b040106	ओतरान कोरिन काहमाईन तु आमरा भाई क आमरे साते नी मुकले, ति ते हामु जाईन तारे जुगु खानेनचीज मुले ली आवसु;
012b050180	बाखुन काहमाईन तु हेनाक नी मुकले, ती आमु नी जाजे, काहकी हेना मानुसन आमरे सी कोयो, काहमाईन तुमरो भाईश तुमरे साते नी होय, ती तुमु मारे ओगोळ नी आय पावसु।”
012b060109	ती इस्राएल न कोयो, “तुमु हेना मानुसक यो कोया की आमरु एक आरु भाईष छे, काहा मारेसी भुण्डो बर्ताव कोर्यु?”
012b0702a5	हुयो कोयो, “जब हुयो मानुसन आमरी आरु आमरे कुटुम्बयो क स्थिति क वारा मा इने रिते पुछ्यो, ‘काय तुमरु बाबु हिमी लोगुन जिवतलु छे? काई तुमरु काई आरु भाईष वी छे?’ ती हामु इनु सोवालो क ओनसारे हुयो वर्णन कोर्यु; ओळी हामु काय जानता हुता कि हुयो कोहसे, आपसा भाई क याँ ली आवु।”
012b0801ac	ओळी यहुदा न आपसा बाबा इस्राएल सी कोयो, “हेन पुर्या क मारे पुठी मुकली देवु, की हामु जात रोहजे; एनासी हामु, आरु तु, आरु आमरा बाळ बोच्‌चा मोर नी पावसे, बाखुन जुवतला रोहसे।
012b090177	हांव हेरु जामनी होयो; मारात हातो सि तु पोछू लावजी। काहमाईन हांव ओको तारे पास पुगाड़ीन ओगोळ नि उबो कोर दोम, ती ते हांव होमीसा क लिय गुनावु कोवाईस।
012b0a00ba	यदि हामु मानषो क वार नी कोरतु, ति हान्जु लोगुन दुय कावार पौछा आत रोहता।”
012b0b027a	ती हेन्दरु बाबु इस्राएल न हेनुक कोयु, “काहमाईन छाचीन ओसीत वात छे, ती यो कोरु; इना देश क वार वारु चीजो मासी काई काई आपना थोयला मा हेना मानुसक लिय भेंट ली जावु: जोसो थुड़ो सो डीग, आरु थुड़ो सो मधु, आरु काई गोंदायन्यो तेल, आरु गन्धरस, पिस्ते, आरु बादाम।
012b0c018c	ओळी आपना आपना सात दुना रिपिया ली जावु; आरु जे रुप्या तुमरा थोयला क मुयावा पोर मेकलो पोछो आप देदलो हुतो, तेनाक वी लेता जावु; काहमाईन यो विसरीन सी होयो होय।
012b0d007a	आपसा भाई क वी पुठी लीन हेना मानुसक पास ओळी जावु,
012b0e01bc	आरु जुरभोर्यु परमेश्वर हेना मानुसक तुमरे पोर गिन कोरसे, जेरेसे कि हुयो तुमरा दिसरा भाई क आरु बिन्यामीन क वी आवने देय: आरु काहमाईन हांव वीगुर ओवलियाद न होयो ती हयने देवु।”
012b0f0153	ती हेना मानषो न होयी भेंट, आरु दुय गुना रिपिया, आरु बिन्यामीन क वी पुठी लिज्या, आरु चाल देदा आरु मिसर मा पुगीन युसुफ क ओगोळ उबा होया।
012b1001c1	हेन्दरे पुठी बिन्यामीन क देखीन युसुफ न आपसा घोर क आधिकारी सी कोयु, “हेनु मानषो क घोर मा पुगाड़ देवु, आरु पशु मारिन खानेन तियारी कोरु; काहकी हुये मानसे सिरान मारे साते खासे।”
012b1100d0	ती हुये आधिकारी मानुस युसुफ क कोहनेन ओनसारे हेनु मानषो क युसुफ क घोर मा लि गोया।
012b1202d5	जोत्यार हुये युसुफ क घोर मा पुगाड़ देदा ती हुये आपसात बिहता जाईन कोहने लाग्या, “जो रिपिया पेहली वार आपना थोयला मा पोछा आप देदला होता, हेरे जुगु आपनुक माहाय बुलावलो छे; जेरेसे कि हुयो मानुस आपने पोर टुट पोड़े, आरु हेरे होको मा कोरीन आपसा दास बोनावे, आरु आपना गोदड़ा क वी हापकी लेय।”
012b1300b8	ती हुये युसुफ घोर क आधिकारी क धोड़े जाईन घर क झपला पोर ओसा कोहने लाग्या,
012b14009d	हे आमरा पोरबु, जोत्यार हामु पेहली कावा ओन मुले लेने आया हुता,
012b1501c3	ती हामु घर जानेन टेमे सराय मा पुगीन आमरा थोयला उगाड़्या, ती काय देख्या, की एक एक जन क पुरो पुरो रिपिया ओका थोयला क मुयावा पोर मेकला छे; एकालिय हामु ओको आपसा सात ओळी लिन आवला छे।
012b16011d	आरु दिसरा पोस्या वी खानेन चीज मुले लेने क लिय लावला छे; हामु नी जानजे क आमरा पोस्या थोयला मा कुन मेक देदो हुतो।
012b17022b	हुयो कोयो, “तुमरो वारलो होय, मा बिहयु: तुमरु परमेश्वर, जुळ तुमरु पिता क वी परमेश्वर छे, हुयोत तुमुक तुमरा थोयला मा धोन आप्यो होसे, तुमरा रुप्‌या ते मेसेक मिळी गोया हुता।” ओळी त्यो शिमोन क निकाळीन हेनका पुटी कोर देदो
012b18013c	ती हेना जन न हेनु मानषो क युसुफ क घोर मा लि जाईन पानी आप्यु, ती हुये आपसा पायो क धुया; ओळी हुये हेन्दरा गोदड़ा च्यारु आप्यो।
012b19013a	ती यो सोमळीन, की आज आमुक यात खानो छे, हुये युसुफ क आवने क टेमे लोगुन, यानी सिरान लोगुन, हेरे भेंट क एकठो तीयार कोरीन मेक्या।
012b1a012e	जोत्यार युसुफ घोर आयो ती तेनी भेंट क, जो हेन्दरा हातो मा होतो, ओका ओगोळ घोर मा ली गोया, आरु नेड़ा पोड़िन हेनाक वांदया।
012b1b0138	हुयो हेनुक हालचाल पुछ्यो आरु कोयो, काय तुमरु डुकरु बाबु, जेरी तुमु वात कोरला, वारलु छे की? काय होयु हांजु लोगुन जिवतलु छे?
012b1c0119	हुये कोया, “हाव तारु दास आमरु बाबु वारलु‌ छे आरु हिमि लोगुन जिवतलु छे।” ती हुये मुनको झुकाड़ीन ओळी वांद्या।
012b1d01f5	ती हुयो डुळा उचाकोरीन आरु आपसा सोगा भाईष बिन्यामीन क देखीन पुछ्यो, “काय तुमरु यु नानलु भाईश, जेरी वात तुमु मार सी कोर्या हुता, यु छे?” ओळी हुयो कोयो, “हे मारा पुर्या, परमेश्वर तारे पोर गिन कोरे।”
012b1e0168	ती आपसा भाईष क मोंगो सी मोन भोर आवने क कारण आरु यो विचारीन कि हांव काँ जाईन रोड़ो, युसुफ तोत्यारुत आपसा कोपरा मा गोयु, आरु चाँ रोड़ पोड़्यु।
012b1f00b7	ओळी आपसो मुय धुवीन निकोळी आरु, आरु आपसा क हुगु कोरीन कोयु, खानो निकावु।
012b200223	ती हुयो हेरे वाटू ओहोग, आरु भाष्यो वाटू वी ओलोग, आरु जे मिसरी हेरे साते खाता होता, हेन्दरे वाटू वी ओलोग, खानो निकाया; ओतरान कोरिन कि मिसरी इब्री क पुठी खानो नी खाय सोकतला, बाखुन मिसरी ओसो कोरनो घाड़ाय सोमझता हुता।
012b2101a3	ती युसुफ क भाई ओका ओगोळ, मोटा मोटा पेहेल, आरु नाना नाना पोछोल, आपसा-आपसा अवस्था क ओनसारे, वारी सी बोसाड़्या; यो देखीन हुये विस्मित होईन एक दिसरा भिनी भावने लाग्या।
012b2201ba	ती युसुफ आपसे ओगोळ सी खानेन चीजे चुटी चुटीन हेन्दरे पास ली मुकलने लाग्यु, आरु बिन्यामीन क आपसा भाष्यो सी पाँचगुना खानेनचीजे मिळी। आरु हुये ओका पुठी मन गोंहतो खादा पिदा।
012c01019b	ती हुयो आपसा घोर क आधिकारी क हुकुम आप्यो की, “एनु मानषो क थोयला मा जोतरो खानेन चीजे सोमाये तोतरो भोर देवु, आरु एक एक जन रिपिया क ओका थोयला क मुयावा पोर मेल देवु।
012c020139	आरु मारो चाँदी क कोटोरो नानास थोयला क मुयावा पोर ओका ओन क रुप्या क सात मेक देवु।” युसुफ क इनी हुकुम क ओनसारे हुये कोर्या।
012c030099	सोंदारे वेगात होयतात हुये मानुस आपसा गोदड़ा भेळ चाल देदा।
012c040238	हुये नगर सी निकोळ्यात हुया, आरु नाम्बे वीनी गोया होता कि युसुफ न आपसा घोर क आधिकारी सी कोयु हेनु मानषो क पोछोळ पोड, आरु हेनुक हेरीन कोह कि, तुमु वारला क बोदला मा बुराय काहा कोर्या? काहा तुमु म्हारा स्वामी क वाटको चुर लेदा?
012c050134	काय यी ची चीजे नी जेरेमा मारु स्वामी पितलु‌ छे, आरु जिना हुयो सातायली वातोक कोरे? तुमु यो जु कोरला छे ते वारु नी कोर्या।
012c06008e	ती हुयो हेनुक जाईन धोर्‌यो, आरु ओसीत वात हेन्दरे कोयु।
012c070100	हुये हेनासी कोया “हे मारा पोरबु, तु ओसी वात काहा कोवे छे? हामु वायदु कोरजे कि ओसो काम हामु नी कोरते।
012c0801d9	देख जे रुप्या आमरा थोयला क मुयावा पोर निकोळ्या हुता, जब आमु ओको कनान देश सी ली आवीन तुसे पोछो आप देदा, ती वारु, तारा स्वामी क घोर मा सी हामु काई चाँदी ने सोनो क चीजे कोसा चुराय सोकतला छे?
012c090115	तारा दास मा सी जेरे कुदा क पास हुयो निकोळे, ‍ चो मार नाख्यो जाय, आरु हामु वी आपसा हेना स्वामीन दास होय जासु।”
012c0a0142	घोरोन होकदारीयो कोयो, “तुमरोत कोहनो खोरो, जेरे जुळ हुयो वाटको निकोळे चो मारो दास होयसे; आरु तुमु मानुस विनगुनाळा कोहायसु।”
012c0b00ca	एर पोर हुये तावनी सी आपसा-आपसा थोयला उतारीन भीमा मेलीन थोयला उगाड़ने लाग्या।
012c0c012f	ती हुये हेरने लाग्या, आरु मोटला क थोयला सी लीन नानला क थोयला लोगुन हेर कोर्या: आरु कटोरा बिन्यामीन क थोयला मा मिळ्यो।
012c0d00e0	ती हुये दुख मा आपसा-आपसा छिन्दरा फाड़्या आरु आपसा आपस गोदड़ा पोर मेलीन नगर क जात रोया।
012c0e010b	जोत्यार यहुदा आरु ओका भाई युसुफ क घर पुग्या, आरु युसुफ होयाँत हुयो, ती हुये हेरे ओगोळ भुमी पोर पोड़्या।
012c0f012e	युसुफ न हेनुसी कोयो, “तुमु मानसे न कोसो काम कोरला छे? काय तुमु नी जानता हुता की मार सी मानुस सातायली वातक जान सोकतलो?”
012c100227	यहुदा न कोयो, “आमु मानषो आपसा स्वामी सी काय कोहे? हामु काय कोहीन आपसा क निर्दोषी कोहो? परमेश्वर न तारा दास क ओधोरोम क धोरीन लेदला छे। हामु, आरु जेरे पास कटोरो निकोळ्यो हुयो वी, आमु आखा की आखा आमरा स्वामीन दासुत छे।”
012c110175	हुयो कयो, “ओसो कोरनो मारसे नांबे रोहे, जेरे मानुसक पास कटोरो निकोळ्लो छे, चोत मारो दास होयसे; आरु तुमु मानुस आपसा बाबा क पास वारु रिते जात रोहु।”
012c1201a0	ती यहुदा ओका पास जाईन कोहने लाग्यो, “हे मारा पोरबु, तारा दास को आपसा पोरबु सी कोहने को हुकुम होय, आरु तारी रिस तारा दास पोर नी भोड़के; काहकी तु ते फिरोन के जोसो छे।
012c1300be	मारा पोरबु न आपसा दासो सी पुछ्‌यो हुयो, ‘काय तुमरु बाबु ने दिसरा भाईश छे?’
012c140211	आरु हामु आपसा पोरबु सी कोया, ‘हाव, आमरु ढुकरु बाबु छे, आरु ओका डाहवारा क एक नानो सोव पुर्‌यो वी छे, वाखुन ओको भाई मोर गोयलो छे, ओतरान कोरिन हुयो हेमी आपसी आईस क एखलोत रोय गोयो, आरु ओको बाबो ओको मोंग राखतो छे।’
012c1500b6	ती तु आपसा दासो सी कयो हुतो, ‘ओको मार पास ली आवु, जेरेसे हांव ओको देखो।’
012c160100	ति हामु आपसा पोरबु सि कोया हुता, ‘हुयो पुर्‌यो आपसा बाबा क नी छुड़ सोकतो; नी ते हेरो बाबो मोर जासे।’
012c17010d	आरु तु आपसा दास सी कोयो, ‘काहमाईन तुमरु नानलु भाइस तुमरे पुठी नी आवे, ती तुमु मारे ओगोळ ओळी नी आय पावसु।’
012c1800e8	ओतरान कोरिन जब हामु आमरा बाबा तारा दास क पास गोया, ती हामु हेरेसी आपसा पोरबु कि वाते कोया।
012c1900bb	ती आमरु बाबु न कोयु, ‘ओळी जाईन आपने जुगु थुड़ो सो खानेन चिज मुले ली आवु।’
012c1a01cb	हामु कोया, ‘हामु नु जाय सोकतला, हाव, काहमाईन आमरु नानलु भाईस आमरे पुठी रोहे, ती हामु जासु; काहली काहमाईन आमरु नानलु भाईस आमरे पुठी नी रोहे, ती हामु हेना मानुसक ओगोळ नी जाय पावसु।’
