2800000007	Maatosa
2a02050044	Izi xafistana bishin izas giigistada yelana matida Maaramira biddes.
2a0206002e	Izetikka heen dishin izis yelo wodey gakkides.
2a0207008b	Izaka koyro attumma na yeliddaysafe guye imathi aqqizza keeththan aqqizza soy bayndda gish naaza carqqara xaaxadda miiza gaaxotan zin7adus.
2a0208005a	Beettaleme achchan dorssa heemiza asati dorssa naagishe qammaara karen aqqizzayti deetees.
2a0209007b	Goda kiitanchaykka istako yides, Goda boncho poo7oykka ista lanqqen yuuyi aadhdhannas po7ides. Istika keehi dagammida gish,
2a020a0055	kiitanchay ista “babofite, wurso asas gidiza gita ufaysa miishshrachcho ekka yadis.
2a020b0062	Hach kawo Daawute katama Beettalemen shemppo dhaley yellettidees. Izikka Goda kirstosa geetettees.
2a020c0056	Cariqqara xaxeti zin7ida gaccino na demmanddista hessikka intes malaata gido gides.”
2a020d0040	Izarakka hara daro salo kiitanchati beettidda. Xoossa galatishe,
2a020e0060	bolla salon Xoossassi bonchoy gido sarotethaykka biitta bollan izi dosiza asas wursos gido gida.
2a020f00b1	Kiitanchati istafe shaakkettidi salo simmin dorsse heemizayti ba garsan issay issa “ane ha yite Goday nuus qonccisidaysanne haanddayssa Beistalame katama biiddi beyos” gida.
2a02100058	Istika elelli biiddi Maaramira, Yosefora mehe kath muziza gonggen zin7ida naara demmida.
2a02110054	Beyddaysafe guyyen Goda kiitanchay naaza gish istas yoottidayssa wursi zari yottida.
2a0212003c	Heemizayti yoottidayssa siyida asay wuri keehi malalettides.
2a02130049	Gido attin Maarama yoza wurssa ba wozinan wotha dentha qoppashe gam7adus.
2a0214009d	Heemizaytika handdays wurikka kiitanchay istas yoottida mala gididi beettidda gish siyidaysassine beyddayssas wursos Xoossa galatishenne bonchishshe simmida.
2a0215008b	naazi yelettin osppuntha gallassan qaxaretiza wodey gakin aayeya iza qanthatanappe kase kiitanchay gida mala Yesussa geetettidi suummidees.
2a021600ec	Muse woga mala isti geeyiza wodey wurini Yosefoyne Maarama guutha na Yesussa Godaa Xoossa sinthe shiishanas ekkidi Yerusaleme kezida. Hessika Goda wogan koyro yelettiza addey wuri Godas dumma gidana geetettidi Xafetidayssa polanaasinne,
2a02180074	qassekka Goda wogan nam77u wole kafotanne woykko nam77u wole kafo ciyista geetettiddayssa mala yarsho shiishanaassa.
2a021900ac	He wode Yerusaleme kataman xilloonne Xoossa babbiza issi Simona geetettiza asi dees, izikka Isra7eele nayta attotetha naagiza asane xillo ayyaanany iza bolla shemppida asa.
2a021a0050	Qassekka kirstossa beyontta dishe hayqqonta mala xillo ayyaanany izas qonccides.
2a021b00a5	Izika he wode xillo ayyaanany kaalethin maqqdase lasha gaath gelidees. Naaza aayeyiranne aawara Muse wogan bessizayssa polanaas guutha na Yesussa ekkidi gelida wode,
2a021c002d	Simonay naaza ekki idimmidi Xoossa galatishe,
2a021d00b7	“Godo, ne caaqqida qaala mala ha7i tani ne ayylleya ne ashshizzayssa ta ayfera beyidda gish hi7a tana saron ekka, asa wurso sinthan ne giigisida attotetha ha7i ta ta ayfera beyadis.
2a02200059	Haysika wurso deres geemmettidayssa qoncisiza poo7o, ne dere Isra7eleska boncho” gides.
2a02210034	Aawaynne aaya iza gish haasa7etida yozan malaletida.
2a022200bd	Simonaykka ista anjjidees, Maaramokka “daro asa wozina qofay qonccana mala haysi Isra7eelen diza darotas dhayosinne atethas, iza ixxizaytas qasse malaata gidana mala doorettides” gides.
2a0223005f	Qassekka darota wozina qofay qonccana mala naaza michay qara mashsha mala ne wozina phaliqqana.
2a02240080	Qassekka Aasseere bagafe Fanu7eele na Haana geetettiza cimmida nabey daysu, izaka ba koyro azinara laappun layth kumeth deyadus.
2a0225008c	Laythay izis osppun tammanne oydu layth gidana gakkanaas qammane gallas xoomashene woossashe maqqdaseppe shaakketonta am77etethan gam77adus.
2a02260070	He wodekka shiiqqada Xoossa galatadus. Yerusaleme wozetethi naagishe dizaytas wursos guutha naaza gish yootadus.
2a0227006b	Yoseforane Maaramira Goda wogan azazettidayssa polidi Galila awurajjan diza ba so Naazirete katama simmida.
2a0228006b	Guutha naazikka diccidi minni minni biddes, eratethankka kumides, Xoossa aaro keyatethaykka iza bolla dees.
2a02290044	Aawaynne aaya laythan laythan faaziga bonchannas Yerusaleme beettes.
2a022a0064	Naazas laythay tammanne nam77u layth kumida wode kase dose gididayssa mala faaziga bonchanna kezida.
2a022b007d	Faziga baaleza wursidi ba so simmishn guutha naazi, Yesussay Yerusalemen attides. Yelidaytikka izi attiddayssa eribeeyttenna.
2a022c00a4	Benara issife biza oge asara dees gishe issi gallassa oge bida. Gido attin izi istara baynddaysa eridi ba dabbota achchanne laggeta achchan dizakkonne giidi koyida.
2a022d0030	Koyi koyidi beettontta ixiin Yerusaleme simmida.
2a022e008a	Heezzu gallassafe guye maqqdasen tamarisizayta giddon uttidi siyishenne asata oychchishenne ista oychcha zarishe maqqdasen dishin demmida.
2a022f0041	Siyidayti wuri Yesussa akekkaninne iza zarozan daro malaalettida.
2a02300095	Yosefoyne Maarama iza beyida wode malaaletida. Maaramaka ta nazo ays hayssa mala oothadi? ne aawaynne taninne nena koyishe keehi metottettidos gadus.
2a0231005e	Izikka zaaridi tana ays koydettii? Tani ta aawa keeththan daanas bessizaysa eribeykketi gides.
2a0232002d	Gido attin istas izi yoottidayssi gelibeynna.
2a02330091	Heeppe simmin istara issife Naazirete wodhidi istas azazettishe deyidees. Aaya Maaramaka he haanida miishsha wurssa ba wozinan naagashe gam7adus.
2a0234004d	Yesussay cincatethan, geesaninne saban Xoossa sinthanne asa sinthan diccides.
2a03010113	Xiibaros geetettiza qeesarey kawottida tammanne ichachchantho laythan Phanxoossa Philaxosa gizays Yuda biitta haariza wode, Herdossay Galila biitta haariza wode, iza ishay piliphoossay, Ixuriyasanne Xirakkondose biitta haariza wode, Lisannyossay Sabilane biitta haariza wode,
2a0302006a	Haanaynne Qayafay waana qeeseta gidida wode Xoossa qaalay baazo biittan diza Zakarassa na Yanisakko yides.
2a03030080	Yaanisay Yordanose shoore achchan diza dereta wurson “inte nagara atto gaanas nagarappe simmidi xamaqqetite” gidi yoottides.
2a0304006e	Hessika qasse nabe Isayaasay bazon hizgidi wassiza asa koshinch “Godas oge giigissite baassidikka lo7ethite.
2a03050073	Shoobba biittay wuri kumana guutha zumayne gita zumay wuri ziq gaana geella ogey sitta moorettida ogey lo7o gidana.
2a03060079	Asa zerethi wuri ashshizza Xoossa woliqqa beyana giidi bazon wassiza asa qaala giireth” giidi ba maxaafan xaafida mala.
2a03070085	Yanisaykka iza kushen xamaqqistana yiza asas “inteno ha shoosha nayto yaana diza Xoossa hanqqofe haakkana mala ooni intena zoridee?
2a030800c0	Inte naggara oothoppe simmidayssa erisiza ootho oothite (Abramey nu aaway nuus dees) gusi aggitte gides. Xoossi bees giikko ha shuchchatappe Abrames na oothi denthaanas dandda7izayssa erite”
2a03090069	Beyxxey mith qanxanas miththa xaphon dees. Lo7o ayfe ayfontta iita mithi wuri qanxettidi taman yegistana.
2a030a0034	Asaykka “histtini ay oothooni” giidi oychchides.
2a030b0071	Yanisaykka asas “nam77u mayoy diza issi mayoy bayndda asas imo qassekka qumay dizaykka shaakkidi immo” gides.
2a030c0055	Qaraxa shiishizayttikka xamaqqistanaas yiidi “tamarisizayso nu ay oothino?” gida.
2a030d0045	Izikka “inte azazettidayssafe bollara qaraxa shiishoppite” gides.
2a030e00b0	Wotadarattikka “nuni qasse ay oothino” giidi oychchida. izikka “oona miishshakka gidin dafi ekkofite qassekka oonane wordon mootopite inte damozay intes giddana” gides.
2a030f003e	Asay Yanisa beyidi haysi kirstossa? giidi ba wozinan sidhides.
2a031000a6	Yanisaykka wursos “tani intena haathan xamaqays gido attin ta iza caamma birshaanas besoontta tappe aadhdhizaddey yaana. izi intena Xillo Ayaananne taman xamaqqana.
2a03110089	Kath suragiza layiday iza kushen dees. Balezza kumetha geeshshanna gistteza qasse di7en qollana gafezakka to7onta taman xuugana” gides.
2a0312005b	Yanissay asa hara dumma dumma zore qaalara minnithethi zorishe mishrachcho qaala yoottides.
2a0313008d	Gido attin Galila biitta haariza Herdoosay ba isha machcho Herooddiyaado ekkida gishine hara daro iita oothida gish Yanisay iza hanqqida gish
2a03140048	kase mooro bolla hara gujjidi Herdossay Yaanisa woyne keeththan yegides.
2a03150055	Asay xamaqqettidappe guyyen Yesussaykka xamaqqetides, izi woosishin saloy doyettides.
2a0316007e	Xillo Ayyaanaykka wole milattida iza bolla wodhides. “saloppe ta dosiza nay nena nenan tani ufa7istays” giza qaalay yides.
2a0317006b	Yesussay Xoossa ootho oykkishn laythay izas heezu tamu laytha mala gidana. Asaykka izi Yosefo na, Eelle na,
2a03180030	Maati na, Lewe na, Milki na, Yuda na, Yosefo na,
2a03190039	Matattiyu na, Amoxxe na, Nahome na, Isilime na, Naage na,
2a031a0035	Maate na, Matatiyo na, Semeye na, Yosefo na, Yuda na,
2a031b003f	Yoonane na, Reese na, zerubbaabeele na, Selatiyale na, Nere na,
2a031c0036	Milki na, hadi na, Yosa na, Qoosame na, Elimodamme na,
2a031d0035	Yose na, Elazare na, Yorame na, Maaxate na, Eelle na,
2a031e003b	Simoona na, Yuda na, Yosefo na, Yooname na, Eliyaqqeeme na,
2a031f002e	Meliya na, Maaxate na, Naatane na, Daawute na,
2a0320003e	Iseeye na, Iyobede na, Bo7eeze na, Selimoona na, Ne7asoone na,
2a03210046	Amnaddabe na, Aarame na, Aaronne na, Esrome na, Faareesse na, Yuda na,
2a03220036	Yaqoobe na, Yisaqqa na, Abrame na, tara na, Nakore na,
2a0323003a	Seerohe na, Raggawe na, Faaleeqqe na, Aabere na, Saala na,
2a0324003b	Qayneme na, Aarfakkisidde na, Seeme na, Nohe na, Lamehe na,
2a0325003f	Matosala na, Henokke na, Yarede na, Malali7eele na, Qaynane na,
2a03260035	Henosse na Seete na Addamme na, Xoossa na, milatides.
2a04010075	Yesussay Xillo Ayyaanaan kumidi Yordanose shooreppe simmida mala Xillo Ayyaanaany iza kaalethidi bazzo biitta efides.
2a0402006d	Heenkka xala7en oydu tamu gallassa paacetides. He paacetiza galassatan aykkokka monta gish wursethan gafides.
2a0403005a	Xala7eykka Yesussa ne Xoossa na gidikko ane hayssa shuchchay kath gidana mala azaza gides.
2a0404005c	Yesussaykka zaaridi asi kaththan xalla deenna geetettidi xafettides, giidi xala7es zaarides.
2a04050080	Hessafe kaallidi xala7ey Yesussa issi dhoqqa zuma bolla kessidi salo gufanthon diza kawotetha qiphphida ayfey xeelanas beesdine,
2a04060084	haysi ne beyizza biitta kawotetha duretethay wurikka taas imetides taka ta dosizaddes immanas dandda77iza gish, neeska immana gides.
2a04070045	Hesa gish ne kunddada taas goynnikko haysi wurikka nees gidana gides.
2a0408005e	Yesussaykka zaaridi ne Godaa Xoossaassi kunddada iza xalla woosa geettetidi xaafettides gides.
2a0409012b	Hessafekka Yesussa Yerusalemeni maqqdase xeera kessi essidi Xoossa maxaafan “nena naagana mala Xoossi ne gish ba kiitancha azazanna, ne toy shuuchchan qoxetonta mala kiitanchati ba kushera nena dhoqqu histi oykkana” geetettidi xaafettida gish ne Xoossa na gikikko ane hayssafe duge kundda gides.
2a040c0045	Yesussaykka “ne Godaa Xoossa paacofa” geetettides giidi zaarides.
2a040d0069	Xala7eykka ba paacanayisa wursidappe guyyen hara bees giiga wodey beettanashshe Yesussappe shaakkettides.
2a040e0072	Yesussaykka Xillo Ayyaanaan wolqan Galila simmides. Iza lo7o nashoy Galila achchan diza deretan wurson siyettides.
2a040f004f	Izikka mukkuraben tamaarisishin iza timirttey lo7in asay wurikka iza galatides.
2a0410008f	Heeppe ba yellettida katama Naazirete yiidi kase sanbbata gallas mukurabe geliza mala mukurabe gelidi Xoossa maxaafa nabbabanaas dendi eqqides.
2a04110035	Nabe Isayasa maxaafay izas imetin maxaafa doyida mala
2a0412011a	“Goda ayyaanaany ta bollan dees, manqotas mishrachcho qaala yootana mala tana tiyides, qachchetidaytas birsheteth, qooqqeti xeellana oge ta awajjana mala, metotettidayta aashsha na mala, dossettida Goda laytha awajja ta yootana mala tana kiittides” giza so demmida nabbabidinne,
2a04140070	maxaafa gordidi mukurabe naagizayssas zaari immidi uttides. Mukuraben dizayti wurikka iza tishsh oothi xeellida.
2a04150058	Izikka istas “haysi inte inte haythara siiyida maxaafa qaalay hach poletides” gides.
2a04160094	Asay wurikka iza gish lo7o xallala haasa7eetes. Qassekka iza duunappe keziza lo7o qaalappe denddidaysani malalettidi haysi Yosefo na gidennee? gida.
2a041700b4	Izikka dhale Godo nerka nena patha. Qifirnahomen neni oothishin nu siyidaysa hayssan ne katamankka ootha giza leemuso inte ta bolla malaatanayisas sidhey baa giidi istas yoottides.
2a0418004d	Qassekka ta intes tuma gays nabey ba yellettida deren bonchetti erenna gides.
2a04190157	Gidoattin ta intes tuma gays heezu laythinne baga gakanas saloy gordettin wolqama koshay biitta bolla hannida Elassa wode he laythatan daro azinay bayndda maccassati Isra7eele biittan deettes shin Elassay istafe isineykoka kiitetibeyna. Gidoattin Sidona giza biittan Serappta geetettiza kataman diza issi azinay bayndda maccaseyko kiitettides.
2a041b00a9	Nabe Elsa7e wode Isra7eele deren daro inchiracho harggizayti deetes shin Sooriya biitta asa gidida Ni7imaneppe attin he darotappe oonikka inchiracho harggefe paxibeyyna.
2a041c0039	Mukuraben dizayti wurikka hessa siiyidi daro hanqqettida.
2a041d0085	Be utidasooppe dendi eqqidi Yesussa katamappe kare kessidi duge zaari yedanaas ista katamaya oothettida dhoqqa zuma xeera ekki efida.
2a041e0039	Gido attin izi ista giddon shaakki yegidi aadhdhi biddes.
2a041f0079	Heeppekka Galila awurajjan diza Qifirnahome geetettiza katama wodhides. Heenkka sanbbata gallas daro asa tamarso oykides.
2a04200039	Izi Godatethara haasa7iza gish iza timirttan malalettida.
2a0421004c	Mukuraben tuna ayyaanaany oykida addey dees. Izikka ba qaala dhoqqu histtidi
2a0422009e	“Naazirete Yesussa ha7i ta waano? Nenara tana aazze gathidee? Ne yiday nuna dhaysanasee? Ne oonnakkoone ta erays ne Xoossa xillo gidikii?” giidi wassides.
2a042300a7	Yesussaykka tuna ayyaanaan ha addezappe co7u gaada keza giidi seerides tuna ayyaanaaykka daro asa sinthan addezza boollafe yegidi issi qohokka gathonta yedidi kezides.
2a0424009d	Asay wurikka malalettidi ba garsan issay issara aso haysi ay giza timirttee? Godatetharane wolqara iita ayyaanaan azazes istikka kezeetes giidi haasa7ettida.
2a04250026	Yesussa lo7o nashoyka wursoso gakides.
2a042600a3	Hessafe guye Yesussay mukurabeppe kezidi Simoona keeth gelides. Simoona bolottiya wolqama micha harggey oykin sakistada dishin Yesussa izo patharki giidi woossida.
2a04270072	Izika iziko shiiqqidi hokidi micha harggeza seerides. Micha harggeyka yedin heeraka denda eqqada imathata mokadus.
2a04280084	Away wulana gishin dumma dumma harggey oykida asa wursi izako ekki yida. Izikka hargiza asata wurso bolla ba kushe wothidi pathides.
2a042900d6	Tuna ayyaanaanti qassekka Yesussa “neni Xoossa na” gishenne waasishe daro asatappe kezida, gido attin izi ista seerides, tuna ayyaanaanti izi kirstosa gididayssa eriza gish isti isinoka haasa7ana mala koybeyna.
2a042a0094	Gadey woonitishn Yesussay issi poqqetha so biddes. Daro asaykka iza koyishe izi diza so gakides. Izi istafe shaakettidi bontta mala digganas koyida.
2a042b0088	Gido attin istas gede hara katama baada Xoossa kawotetha mishrachcho qaala yootanas taas besses, tani kiitettida gita qofay hessa gides.
2a042c002f	Izika Yihuda mukurabistan qaala guji yoottides.
2a05010061	Yesussay Gensereexxe abba lanqqen eqqidi Xoossa qaala tamaarisishin siiyiza asay iza kuni7isides.
2a0502007a	He wode nam77u wogoloti abba achchan dishin Yesussay be7ides. mole oykizayti wogolotappe wodhdhidi mole gitista meeceetes.
2a05030083	Yesussay wogolotappe Simoona wogolon gelidi biittafe gede abba gido shishanna mala oychidinne wogolo giddon uttidi asa tamaarsides.
2a0504006d	Tamaarsidi wursidape guye Simoona abbay ciimmatizaso shiiqqa mole oykanas inte giteza abba gido yegite gides.
2a05050079	Simoonay Yesussas zaaridi Godo qamma kumeth daaburi aqqiddi issinokka oykibeyko, gidoattin ne qaalan giteza yegana gides.
2a05060032	Yegida wode daro mole oykida. Giteyka daakettides.
2a05070090	Hara wogolon dizayti yiidi ista maaddana mala kushera wuti xeygida. Istika yiidi nam77u wogolota mole kunthida. Wogolotika duge miteteth oykida.
2a05080084	Simoona geettetiza Phexiroossay hessa beyidi Yesussa gulbate bolla kundidi Godo ta nagarancha gidida gish ta achchafe kichcha gides.
2a0509004d	Izi hessa giday izine izara dizayti oykida daro molezan malalettida gishassa.
2a050a0096	Qassekka Simoona laggeti zabidoosa nayti Yaqobeyne Yanisayka wuri malalettida. Yesussaykka Simoona babofa hayssafe guye ne asa oykizadde gidana gides.
2a050b004a	Istika wogolota biittako shiishshidi wursikka yegi7agidi Yesussa kaallida.
2a050c00d0	Yesussay katamatappe issineyin dishin inchirachcha harggey bolla wursi oykida issi asi he kataman dees. He urayka Yesussa beyidi iza sinthan kundidi “Godo ne koyko tana pathana danda7asa” giidi woossides.
2a050d005d	Yesussay ba kushe yedi bochchidi “ta dossadis paxa” gides. inchirachchay heeraka dhaydes.
2a050e00b0	Yesussay izas “hayssa oonaskka yootoppa, gido attin baada nena qeese halaqas bessa istas marka gidana mala ne geeyidayssas Musey azazida yarshoza shiishsha” giidi azazides.
2a050f009b	Gido attin iza gish asay haasa7iza worey kaseppe aakki aakki biddes. Keehi daro asay iza haasa7a siyanasinne bena sakiza harggefe paxanas izako shiiqidees.
2a0510003a	Yesussay daro wode asi bayndda poqqethaso biidi woossides.
2a051100a4	Yesussay tamaarsishin asay Galilappenne Yihudappe qassekka Yerusalemeppe yida Farsawetinne woga tamaarisizayti heen uttida. Izi pathana mala Goda wolqay izara dees.
2a05120086	He wode asay issi kumetha bollay silidi qaaxonta harggancha zaphara tooki ekki yiidi keethe gelthidi Yesussa sinthan wothanas paacida.
2a051300b1	Asa darotethafe dendidaysani keethe gelthanas xoonetida gish pude keeththa kaara bolla kezidinne kaara lukidi harggancha zaphara tooki ehidi asa giddora Yesussa sinthan wothida.
2a05140044	Yesussay ista amano beyidi hayso ne ne nagarappe maaristadasa gides.
2a051500a2	Muse woga xaafizaytine Farsaweti haysi Xoossa bolla xallatethan hayssatho haasa7izay izi oonee? Issi Xoossafe attin nagara maaranaas ooni danda7ize giidi qoppida.
2a05160054	Yesussay ista qofa erida gish “inte inte wozinan ays hessaththo qoppeti?” gides.
2a05170049	Neni nagarappe maaristadasa gusafenne dendada ba gusafe awayssi kawishee?
2a051800ba	Gido attin ta hayssa giday asa naas biitta bolla asa nagarappe maaranaas Godatethi dizaysa inte erana mala. Qassekka he sila ura “nena gays! eqqa dendada ne zapha tookada baa” gides.
2a05190062	Izi heeraka ista sinthan dendi eqqides. Kase ba zin7ida zapha tookidi Xoossa galatishe beso bides.
2a051a005b	He wode asi wuri malalettides. Xoossa galatishe hach malalisizaz be7ides giidi daro babida.
2a051b0081	Hessafe guye Yesussay heeppe kezi bides. Lewe giza issi qaraxa qanxisizaysi qaraxa qanxizason uttidaysa beyidi tana kaalla gides.
2a051c0021	Izika wursi aggidi iza kaallides.
2a051d0084	Leweyka Yesussassi ba keeththan gita diggisa diggisides. Qaraxa shiishiza daro asattinne hara asatikka istara issife maaddan uttida.
2a051e0082	Farsawetinne ista Xaafeti qaraxa shiishshizaytarane nagaranchatara issife aazas meeti giidi Yesussa kaallizayta bolla zigirettida.
2a051f0049	Yesussaykka istas hargganchatas attin paxa asas aakkime koshshenna gides.
2a0520004e	Taka nagaranchata maaretethako zaranaas attin xillota xeyganas yabeykke gides.
2a052100ad	Istika zaaridi Yanisa kaallizayti daro wode xoometesinne woosetes Farsawista kaallizaytikka izathokka oothetes. Nena kaallizayti gidikko wurso wode meettesinne uyettes gida.
2a05220066	Yesussaykka istas zaaridi mishray issife dishin diggissasi xeeysettidayta xoomisanaas bessizze? gides.
2a05230047	Gido attin mishray istafe shaakistana wodey yaana isti he wode xoomana.
2a05240096	Istas oorath mayoppe qanxi ekkidi gal77a mayo bolla wothi sikizaaddey deenna wothi sikkikko oorathazi gal77ara gaaggonta gish gal77aza daakkana gides.
2a052500dc	Woyneppe othetida oorath cajje gal77a ogoron kunthidi wothiza asi oonikka baawa wothiza gidikko woyneppe oothettida ooratha cajjey gal77aza daakana. Woyne cajjezikka biittan gukkana gal7a ogoroy sinthafe go7ontaz gidana.
2a05260040	Hessa gish ooratha woyne ushy ooratha ogoron gujjistanas besses.
2a05270071	Histikko caalla woyne ush uyidaappe guye caalontazi uyana koyizay ooninne deenna gaasoyka caallay lo7o giza gish.
2a0601007b	Issi sanbbata gallas Yesussay kaththa giddora aadhdhi bishin iza kaallizayti tiya xuphi ekkidi ba kushen shigechchi mishni,
2a06020057	Farsawistappe issi issi asati sanbbata gallas oothanas besoonttaysa ays oothetii? gida.
2a0603006d	Yesussaykka istas Daawuttey izara diza asati gafida wode Daawutey oothidaysa nabbabibeyketii? giidi zaarides.
2a0604006d	Izi Xoossa keeth gelidi qeeseti xalla maana mala azazettida dumma ukeetha bees miidi benara dizaytas immides.
2a0605003e	Qassekka Yesussay asa nay sanbbata Goda giidi istas yoottides.
2a06060068	Yesussaykka hara sanbbata gallas mukurabe gelidi tamarisishin oshacha kushey silida issi assi heen dees.
2a0607008d	Muse woga tamaarisizaytine Farsaweti Yesussa mootanas gaasso koyidi ane izi sanbbata gallassan addeza pathiko beyana giidi naagishe gam77ida.
2a06080070	Yesussaykka ista wozana qofa eridi kushey silida addeza wurso sinthan denda eqqa gides. addezzika dendi eqqides.
2a060900a3	Yesussaykka ista ta intena issi miish ane oychchays sanbbata gallas oothanas bessizay lo7o ootho woykko iita oothoo? Shemppo asho woykko dhaysoo? giidi oychchides.
2a060a009c	Qassekka Yesussay ba yuushon diza wursi yuushi xellidape guyyen addeza ne kushe piddisa gides. Addezzika Yesussay gida mala oothides. Iza kusheykka paxides.
2a060b005c	Gido attin asati hanqettida, Yesussa bollankka ay oothanas koshizakonne ba giddon zorettida.
2a060c0066	He gallassatappe issi gallas Yesussay woosanaas zuma bolla kezidi qamma kumeth Xoossa woosishe aqides.
2a060d0071	Gadey wonitishin bena kaallizayta xeeygidi istafe tammanne nam77anta doorides. Istaka hawarista giidi sunthidees.
2a060e0066	Istika Phexirosa giidi sunthida Simoonane iza isha Indirassa, Yaqobe, Yanisa, Pilphosa, Barttalemossa,
2a060f0049	Matosa, Toomassa, Ilfiyosa na Yaqobe, ba deres olatana giigetiza Simoona,
2a06100035	Yaqobe na Yudane Yesussa aathi immida asqqoroto Yuda.
2a061100d9	Yesussaykka istara issife zuma bollafe duge wodhdhidi denba son eqqides. Iza kaallizaytappe daro asay heen dees, Yihudappene Yerusalemeppe, qassekka Xirosappenne Sidona abba achchafe yida keehi daro asaykka heen dees.
2a06120066	Istika yiday Yesussay gizaysa siyanasinne harggefe paxannasa. tuna ayaanaykka wayssizayti wuri paxida.
2a0613005e	Wolqqayka izappe kezidi darota pathiza gish asay wuri iza bochchannas yides. ufaysanne gaasota
2a0614006e	Yesussaykka bena kaallizaytas hiz gides Xoossa kawotethay intes gidida gish inteno manqqoto inte anjettidayta,
2a06150083	Inte guyyeppe kaallanna gish ha7i gafizayto inte anjettidayta, inte guyyeppe miicana gish inteno ha7i yekkizayto inte anjettidayta,
2a0616006f	asay ta gish intena ixxishin, ba giddofe shaakkishin, borishin intena iita sunthara xeygishn inte anjettidayta,
2a06170071	Intes salon gita woytoy diza gish he wode ufaysan guppite, ays giiko ista aawati nabeta bolla hessaththo oothida.
2a06180040	Gido attin inteno dureto inte ha7i ufa77ettida gish intena ayye,
2a0619009c	inteno ha7i kalidayto intena ayye inte guyyeppe yeekkana, inte guyyeppe michistanasinne yeekkana gish inteno ha7i miicizayto intes ayye inte guyyepe yekana,
2a061a006f	asi wuri inte gish lo7o haasa7iza wode intena ayye ana, ays giiko ista aawati wordo nabetas hessa mala oothida.
2a061b006c	Gido attin ta yootizaysa siyizayto tani intes yootizay inte morketa siiqite, intena ixxizaytas lo7o oothite,
2a061c0035	intena qanggizayta anjite, intena qohizaytas woosite,
2a061d0080	issi shagalan baqqikko, nam77antho shagala gujja bessa, oonine ne bollara mayidaysa qaari ekkikko gaathara mayidaysakka diggofa.
2a061e004d	Nena woosiza wursos imma, ne miishsha ekkida assi zars immana mala oychchofa.
2a061f0044	asi intes oothanna mala inte koyizaysatho intekka hara asas oothite.
2a06200070	Nagaranchattikka bena siiqizayta siiqiza gish inte intena siiqizayta xalla siiqikko intes ay dumma anjjoy dizee?
2a0621007c	Inte intes lo7o oothizaytas xalla lo7o oothikko intes ay dumma anjjoy dizee? Ays giikko nagaranchattikka hessaththo oothiza.
2a062200b6	Tal7e ekkidi zaarana danda7etes gizaytas xalla inte tal7ikko inte hara ay dumma anjjo demmanee? Ays giiko nagaranchatika isti tal7idaysa sire zaaridi ekkanas nagaranchatas tal7etesi.
2a062300e9	Gido attin Xoossi bena galatontaytasinne iitatas keeha gidida mala inte morketa siiqite, lo7o oothite, guyyepe zaaridi ekkanas qoponta dishe tal7e immite, hessanika intes kushe zaaroy gita gidana, qassekka inte woga Xoossa na gidana.
2a06240032	Inte aaway keha gidida mala intekka kiyata gidite.
2a0625009d	Inte harata bolla pirdoppite inte bollakka pirdetena, inte bolla firday darontta mala harata bolla firda darssoppite, asas atto gite inteskka atto geetetana.
2a062600c0	Immite inteskka imettana, intes inte makkida miishshan simmidi makkistana gish naaqi baqqettiddi, yigettidi, kumidi woran gukanashe lo7o makkiza miishshan makettidi inte ki7on idiman imistana.
2a0627009d	Qassekka Yesussay istas leemuso hiz gidi yoottides “qooqqey qooqe kaalethanas danda7izee? kaalethikkokka nam77ati issay issara oykettidi ollan gelettennee?
2a0628006a	Tamaarey bena tamaarisizaddeppe aadhdhenna, gido attin lo7ethi tamaarida asi wuri ba astaamare mala gides.
2a06290057	Ne ayfe giddon diza tuussa xeellonta dashe ne isha ayfe giddon diza buura ays xellayii?
2a062a00e3	Ne ayfen diza tuussa beyontta ne isha tani ne ayfen diza buura ane kessays gaanas wosta danda7ayii? Neno milatisizayso koyrotada ne ayfen diza tuussa kessa, hessafe guye ne isha ayfen diza buura kessanas lo7etha xeellandasa.”
2a062b0045	Lo77o mithi iita ayfe ayfenna, qassekka iita mithi lo7o ayfe ayfenna.
2a062c007e	Mithi wurikka ba ayfe ayfen ereetes, agunthafe balase geettetiza miththa ayfey maaxettenna, laadeppe woyne ayfey qanxxettenna.
2a062d00a3	Lo77o asi ba wezina kumida lo7o miish kesses, iita asikka ba wezina kumida iita miishshafe iita kesses, asi wurikka ba wezina kumi palahidaysa ba duunan hassa7ees.
2a062e003d	Tani gizaysa oothekista shin ays tana “Godo Godo” geetii?
2a062f0106	Taako yiidine ta qaala siyyidi polizay wuri oonna milatizakkonne ta intena bessana, keethe keexanas ziq oothi bookkiddi shuchcha bollan ba keeth keexida asa milates. Haro haathi yiidi he keeththa suggides, gido attin minni keexetida gish qaathanas dandd7ibeynna.
2a063100bd	Gido attin ta qaala siiyidi polonta asi ba keeth lo77ethi bassonttanne garssan shuchcha yegontta keexida asa milates, haroykka keeththa sugin keethay heeraka kundidi iita lalethi laletides.
2a0701005b	Yesussay hessa wursikka dere sinthan yooti wursidaysafe guye Qifirnahome gizaso bi gelides.
2a07020079	Heen Qifirnahomen xeetu wotaddarata halaqqay dees he addezas izi siiqiza ashkkaaraay harggidi hayqqos shemppo bolla dees.
