2800000005	Mateu
29010e0066	Hanima yakukuta Iuano muka kumbuitika, Yesu uaile ku Ngalileya, mukuambulula muzimbu uacili ua Njambi,
29010f0087	kaha uahandekele nguendi, “Ntsimbu inalishulisisa, vumuene vua Njambi vuli muyehi, tengulukeni, kaha tsilieleni mu muzimbu uacili.”
290110009b	Kaha omo uakele nakuhita kumukulo ua cisali ca Ngalileya, uamuene Simoni na muanaye Anduleo valinakuta manda vuavo mu cisali, omuo vapuile vakakuta vantsi.
2901110055	Kaha Yesu uahandekele kuli vakevo nguendi, “Njikaveni njimipuise vakakuta vantu.”
2901120031	Kaha hajevene vasezele manda avo kaha vamukavele.
2901130082	Kaha omo uatualeleleho kuenda, uamuene Tiango muna Zembendeo na Iuano muanaye, vaje vakele mu vuato vuavo nakutungulula manda avo.
2901140070	Hajevene uavasanene kaha vasezele ishavo Zembendeo mu vuato hamo na vangamba vaje va vakumuine, kaha vamukavele.
290115007b	Yesu na vandongisi vauana vaile ku Kapenauma, kaha omo liapuile lia sapalalo uakovelele mu njivo ya malombelo na kulongesa.
2901160085	Kaha vakomokele hakulongesa kuendi, omuo uavalongesele ngue uje hali na nzili yakama, keti ngue muvakalongesela valongisi va mashiko.
290117004c	Hajevene mu njivo ya malombelo muakele yala uje uakele na cimbembesi cacipi,
2901180094	kaha uatambekele nguendi, “Utonda vika kuli yetu, Yesu ua ku Nazaleta? Uneja nakutunongesa ndi? Njakutantekeya yove uje Umo Uakulela ua Njambi.”
2901190046	Kaha Yesu uamutenukilile nguendi, “Holoka kuluu, huma muli ikeye!”
29011a005f	Kaha cimbembesi cacipi ca mupindisile, nakulila na lizi liakutambeka, kaha cahumine muli ikeye.
29011b00b3	Kaha vantu voshe valikomokelele, nakulihozola umo na mukuavo nguavo, “Nkuma cika eci? Cilongesa caciha! Na nzili yakama asa kushika cipue cimbembesi cacipi, kaha cimuononoka.”
29011c0057	Kaha hajevene lutsimo luendi lua tsimanene kumitambela yoshe ya ku zenguluka Ngalileya.
29011d0077	Hajevene Yesu uahumine mu njivo ya malombelo, kaha uakakovelele mu njivo ya Simoni na Anduleo, hamo na Tiango na Iuano.
29011e0074	Honi vaina mueno ya Simoni vakosele omuo vakele nakuvavala lisikasika, kaha hajevene valekesele Yesu kuvavala cendi.
29011f0064	Kaha uezile nakumukuata ku livoko, uamuhinduile, kaha masikasika amuecelele, uaputukile kuvapangela.
290120006c	Kaha ku cinguezi, omo litangua lia lahukile Yesu vamunehelele voshe vaka kuvavala na vaje vakele na mahamba.
290121003c	Kaha vantu voshe va mu nganda valikunguluile hamo ku cikolo.
2901220095	Yesu uakanguisile vavengi vaka kuvavala mishongo yakuliseza seza, nakuhumisa mahamba amengi, kaha katavesele mahamba kuhandeka, omuo vamutantekeyele.
2901230055	Kaha ku cimene mene Yesu uahindukile, nakuya ku cihela calikaliendi lika nakulombela.
2901240039	Kaha Simoni na vaje vakele nendi, vamukavele nakumutonda,
2901250050	Vamuuanene kaha vahandekele kuli ikeye nguavo, “Muntu uoshe alinakukutonda.”
2901260094	Kaha Yesu uahandekele kuli vakevo nguendi, “Tuyeni ku vimbonge via kulihata, linga njikambulule muzimbu nakuje naua, omuo eci cikeco njezilile.”
290127006c	Kaha uaile muoshe mu Ngalileya, nakuambulula muzimbu uacili mu vinjivo via malombelo avo nakuhumisa mahamba.
2901280092	Kaha uje yala uakele na mbumba uezile kuli ikeye nakumulambelela, uatsikamene nakuhandeka kuli ikeye nguendi, “Nga utonda, njipuise uakulela.”
290129006e	Yesu hakuivua ngozi, uoluele livoko liendi na kumukuata, nakuhandeka kuli ikeye nguendi, “Njitonda, lela.”
29012a0037	Kaha hajevene mbumba yamuhumine, kaha uapuile uakulela.
29012b0030	Uamunanguile cikuma, nakumuleka aye vuasi vuasi,
29012c00d6	nakumuleka nguendi, “Keti uhandeke cuma cimo kuli uoshe, vuno honi ya, linga ukalimuese yove vavenia kuli tusasendote, kaha ukahane nkombelo ije Mosesa uashikile ha kulela cove linga vupue vukaleho kuli vantu.”
29012d00de	Vuno honi uaile nakuhandeka oku nazituka, kaha muzimbu uashanduokelele kuoshe, linga Yesu keti akovela mu mbonge citona muelu, vuno honi uaile ku mitambela yeka ya lifuti, kaha vantu vakele nakuija kuli ikeye mu vintsimbu.
2902010070	Hanima ya matangua amandende, Yesu uahilukile naua mu Kapenauma, kaha vantu vovuile nguavo Yesu nahiluka kuimbo.
290202008a	Vantu vakungulukile muvuingi, kaha kukuakele cipue mulili umo uasaleleko uahi, cipue hambanza ya cikolo, kaha uambuluile lizi kuli vakevo.
2902030046	Vamo vamala vauana vambatele yala ua kalepa kaha vamunehele kuli Yesu.
29020400b1	Kaha omuo vahonouele kushuena kuli Yesu omuo ya civunga, kaha vatuvile mbengua ha ciluli mukemo vasoselele cije citala tala cije uje yala uakalepa ha kosele na kucineha ha mavu.
290205007b	Kaha omuo Yesu uamuene lutsilielo luavo, uahandekele kuli uje muka kalepa nguendi, “Munange vipi viove vanavisambuesa.”
2902060064	Nankuma vamo valongisi va lishiko vaje vatumamene kuje, vakele na kulihuozola mu mitima yavo nguavo,
2902070065	“Vika ou yala ahandekela ngacije? Alinakushaula! Iya asa kusambuesa vipi, vuno honi Njambi lika?”
2902080098	Hajevene Yesu mu cimbembesi uatantekeyele vivakele na kusinganieka mu mitima yavo, kaha uavehuile nguendi “Vikahoni muli na kulihozola mu mitima yeni?
2902090098	Cili cinapu cacasi, kuhandeka kuli muka kalepa nguove, ‘Vipi viove vanavisambesa,’ cipue kuhandeka nguove ‘Katuka, ambata citala tala cove uye’?
29020a009d	Vuno honi njitonda nguange mutantekeye ngueni Muna Muntu hali na nzili yakama ya kusambesa vupi hano ha mavu.” Uahandekele kuli uje yala ua kalepa nguendi,
29020b0044	“Njikuleka nguange, katuka, ambata citala tala cove uye kuimbo.”
29020c00ab	Kaha uakatukile, hajevene uambatele citala tala cendi nakuya oku vantu voshe vamumono, kaha vakomokele nakulemesa Njambi nguavo, “Kanda tumoneho cuma cakufua ngacije!”
29020d006f	Yesu uaile naua ku ngenge ya cisali, kaha civunga cakama cakungulukile kuli ikeye, kaha uaputukile kuvalongesa.
29020e00af	Kaha omuo uahitile, uamuene Levi muna Alufeya, natumama ku njivo yakutambuila lisimu, kaha Yesu uahandekele kuli ikeye nguendi, “Njikave.” Kaha Levi uakatukile nakumukava.
29020f0099	Kaha omuo uatumamene ku mesa mu njivo yendi, vuingi vuavakakutambula lisimu na vaka vupi vatumamene na Yesu na vandongisi vendi, omuo vavengi vamukavele.
29021000ce	Kaha valongisi va lishiko vaje vapuile Vafaliseo omo vamuene Yesu hali nakulia na vaka vupi na vakakutambula lisimu, vehuile vandongisi vendi nguavo, “Vika vialila na vakakutambula lisimu na vaka vupi?”
29021100cb	Kaha omo Yesu vovuile eci, uahandekele kuli vakevo nguendi, “Vaje kuvavavala kuvasa kutonda cimbanda, vuno honi kuvanga lika vaje vavavala, kunjezile nakusana vaje vaka vusunga, vuno honi vaka vupi.”
29021200e9	Omo vandongisi va Iuano na Vafaliseo valiuminine kulia, kaha vantu vamo vezile kuli Yesu nakumuihula nguavo, “Vatihoni vandongisi va Iuano na vandongisi va Vafaliseo valuimina kulia, vuno honi vandongisi vove kuva luimina kulia?”
29021300c2	Kaha Yesu uahandekele kuli vakevo nguendi, “Nkuma nga mungenzi neja ku ciuano ca vulo asa kuluimina kulia oku vavenia vulo hali navo ndi? Kuahi kuvasa kuluimina kulia nga vali na vavenia vulo.
290214005e	Vuno honi matangua akeja, omo vavenia vulo vakamuhumisa kuli vakevo, ambahoni valuimine kulia.
2902150091	“Naumo uahi asa kutongela citopeko ca ntanga yaiha ha kazaku kalaja, nga alinga ngoco, kaha citopeko cikatavula kazaku kalaja nakuseza mbengua.
29021600f0	Kaha naumo uahi ahaka viniu via viha mu vinjeke via vilambu via laja, nga alinga ngoco, kaha viniu vitavula vilambu, kaha na viniu vikahita, na vilambu naua navikevio vikapihia, vuno honi viniu viaviha viapande kukala mu vilambu viaviha.”
290217008d	Ha litangua limo lia sapalalo Yesu uahitile mu mehia a tiliku, kaha omo vakele nakuhita vandongisi vendi vaputukile kutomona mitue ya vinona.
290218007f	Kaha Vafaliseo vahandekele kuli ikeye nguavo, “Tala, vika valingila evi vivanavindika mu lishiko ha litangua lia sapalalo?”
290219008e	Kaha uahandekele kuli vakevo nguendi, “Kanda mutandeho vialingile Ndaviti, omo uatsile njala kaha uatondele kulia, ikeye navaje vakele navo,
29021a0100	uakovelele mu njivo ya Nambi, omo Aviyatale uapuile kasasendote uakama ha ntsimbu ije, kaha ualile mbolo ya cikombelo ca Njambi cije kucapuile lishiko kuli muntu uoshe kuvanga lika kuli tusasendote ku vilia, kaha naua uahaneneko nakuli vaje vakele navo.”
29021b006c	Kaha uahandekele kuli vakevo nguendi, “Sapalalo vaipangelele omuo muntu, keti muntu ivatangelele sapalalo,
29021c0030	kaha Muna Muntu ikeye vene Muene ya sapalalo.”
2903010053	Naua Yesu uakovelele mu njivo ya malombelo, muje muakele uje yala uakusekua livoko.
2903020065	Kaha vamutalelele linga vamone indi amukanguisa ha litangua lia sapalalo, linga vamuuaneneho mulonga.
2903030048	Kaha uahandekele kuli uje yala uakusekua livoko nguendi, “Ija kuno.”
29030400b7	Kaha uahandekele kuli vakevo nguendi, “Kuya ku lishiko lia Sapalalo, nkuma cinapu cacili kulinga muacili indi kuvulumuna, kuyoyesa muono indi kutsiha?” Vuno honi vaholokele kuluu.
29030500c6	Uavatalele oku te naniengua, nakulivua vusiua ha kukolesa mitima yavo, kaha uahandekele kuli uje yala uakusekua livoko nguendi, “Olola livoko liove.” Ualioluele, kaha livoko liendi liakangukile.
2903060066	Vafaliseo vatuhukilemo, kaha hajevene vakele na mpunga ya Helonde linga vauane ngila ya kumutsihilamo.
290307006e	Yesu na vandongisi vendi vahumine ku cisali, kaha civunga cakama caku Ngalileya neci ca ku Yundeya camukavele,
2903080096	naku Yelusalema naku Indumeya vamo musinia ya Yundau, vamo vahumine ku Tile na Sindone, civunga cakama omuo covuile vije vialingile vezile kuli ikeye.
290309005f	Kaha Yesu ualekele vandongisi vendi linga vamuvuahesele vuato omuo ya civunga kuteua vamutseka,
29030a0062	omuo ha kukanguisa vavengi, ngeci navaje voshe vakele na mishongo vamusindakanene linga vamukuate.
29030b008e	Kaha hali hoshe omo vaje vakele na vimbembesi via vipi vamumuene, vauililile ha mavu ku mesho endi nakutambeka nguavo, “Yove Muna Njambi.”
29030c002a	Kaha uavashika linga keti vamutantekeyese.
29030d0053	Kaha Yesu uaile helu lia munkinda, uasanene vaje vatondele, kaha vezile kuli ikeye.
29030e005b	Kaha uahanguile likumi na vavali, linga vakale nendi, ngeci avatume kuya nakuambulula lizi,
29030f002c	na kupua na nzili yakama yakuhumisa mahamba.
2903100049	Ava vakevo likumi na vavali vaje vahanguile, Simoni uje ya lukile Petulu,
290311007b	Tiango muna Zembendeo, na Iuano munaina ya Tiango, vaje valukile Mboanengesi, nkumbu yalio ngualio, “Vana va cililimo.”
2903120071	Anduleo, na Filipu, na Mbatolomeo, na Mateu, na Tomasi, na Tiango muna Alufeya, na Tandeo, na Simoni uaku Kanana,
2903130030	na Yundasa Sakaliote, uje uendele Yesu vungungu.
2903140067	Yesu na vandongisi vendi vakovelele mu njivo, kaha civunga caliuanene hamo naua, kaha vahonouele kulia.
2903150063	Kaha omo ntanga yendi yovuile ha cuma eci, vaile na kumuambata omuo vamuene nguavo, “Nazaluka.”
29031600ba	Kaha valongisi va lishiko vaje vasikumukile kuhuma ku Yelusalema vahandekele nguavo, “Vali nakumupangesa kuli Mbelezembulu, muene ua mahamba ikeye namuhana nzili yakuhumisa mahamba.”
2903170085	Kaha Yesu uavasanene linga veje kuli ikeye, kaha uahandekele kuli vakevo mu visimo nguendi, “Nkuma vati Satana asa kuhumisa Satana?
2903180049	Nga vumuene vulipanga hhakati kavuo vavenia, kaha vumuene vuje vukanonga.
2903190043	Kaha nga njivo ilipanga hhakati ikeyo vavenia, ije njivo kuikemana.
29031a0069	Kaha nga Satana aliluisa ikeye vavenia kaha alipanga, kahasa kuimana, vuno honi alinakuya ku mamanusuilo.
29031b0097	Kaha naumo uahi akovela mu njivo ya yala ua nzili nakupukula vitenga viendi, cakulivanga kuvanga akute uje yala ua nzili, ambahoni apukule njivo yendi.
29031c006f	“Cilivene, njihandeka kuli yove nguange, vupi vuoshe vua vantu vakavukonekela, nakushaula kuje kuvakahandeka,
29031d0068	vuno honi uoshe uje ashaula Cimbembesi Uakulela ku vakamukonekela, omuo nalingi vupi vuakuhona kuhua.”
29031e003a	omuo vahandekele nguavo, “Alina na Cimbembesi cacipi.”
29031f0056	Kaha vaina na vamuanaye vezile nakuimana hambanza nakumutumina muntu linga vakamusane.
2903200084	Kaha civunga cije camuzengelekele te vatumama, vahandekele kuli ikeye nguavo, “Vanoko na vamuanoko vali hambanza, mu kukutonda.”
290321003c	Kaha uavakumbuluile nguendi, “Veya vanana nava muanetu?”
2903220060	Kaha omuo uatalele vaje vamuzengelekele, uahandekele nguendi, “Ava vakevo vanana na vamuanetu!
290323004f	Uoshe uje alinga cizango ca Njambi, ikeye muanetu, na ndumbuange, na vanana.”
29040100d4	Kaha naua Yesu uaputukile kulongesa ku cikuma ca cisali. Kaha na civunga ca vantu calikunguluile kuli ikeye, kaha uakovelele nakutumama mu vuato ha cisali, kaha civunga coshe cakele ku cikuma ca cisali ha ntunda.
2904020060	Kaha uavalongesele viavingi mu visimo, kaha mu vilongesa viendi uahandekele kuli vakevo nguendi,
290403002a	“Ivuilileni! Muka kukuva uaile nakukuva.
2904040055	Kaha omo uakunine, imo mbuto yauilile kumukulo ua ngila, kaha tuzila vezile nakuilia.
290405006c	Imo mbuto yauililile ha mavue aje kuuakele na mavu amengi, kaha hajevene yasokele omuo kuhakele mavu amengi,
290406006e	kaha omuo litangua lia tuhukile vije vimbuto via jujuamene, omuo mizi kuyakovelele cikuma mu mavu kaha yomine.
290407005c	Ikuavo mbuto yauilile mu mingonga kaha mingonga yakolele nakuituva, kaha kuya hakele vinona.
29040800d6	Kaha vikuavo vimbuto viauililile mu mavu acili, kaha viahakele vinona viavingi, kaha viakolele nakulivuezelela kuima, vimo viemine makumi atatu, vikuavo viemine makumi atanu na limo, kaha vikuavo viemine cihita.”
290409004d	Kaha Yesu uahandekele kuli vakevo nguendi, “Uoshe hali na matuitui ovue.”
29040a0078	Omo uakele lika liendi, kaha vaje vakele kuyehi nendi hamo na vandongisi vendi likumi na vavali vamuhuile via ha visimo.
29040b009c	Kaha uahandekele kuli vakevo nguendi, “Kuli yeni vaje vavanahana vushueke vua vumuene vua Njambi, vuno honi kuli vaje vali hambanza vioshe vili mu visimo,
29040c0092	nankuma linga, “Vamone vuno honi keti vamonesese, kaha linga vovue, vuno honi keti vovuisise. Omo nga valingamo vakatenguluke na kuvasambesa.”
29040d0088	Kaha Yesu uahandekele kuli vakevo nguendi, “Nkuma kumuesi nakuvuisisa eci cisimo ndi? Kaha nkuma vatihoni mukevivuisisa visimo vioshe?
29040e0019	Muka kukuva akakuvu lizi.
29040f00b4	Ava vakevo vantu vanalifu ngue vimbuto vije viauilile kumukulo ua ngila, kuje lizi valikuva, kaha omo valivua, kaha hajevene Satana eja nakuambata lije lizi livanakuvu muli vakevo.
2904100072	Kaha vamo vantu vanapu ngue vimbuto vije vivakuvile ha mavue, omo vevua lizi, kaha hajevene valitambula nanzolela,
290411008a	kaha kuvesi na mizi muli vakevo, vuno honi kuvakasimbula nalio, kaha omo tuyando cipue mapakeso vikeja omuo ya lizi, kaha hajevene vakaua.
2904120056	Kaha vamo vanapu ngue vimbuto vije vivakuvile mu mingonga, ava vakevo vaje vevua lizi,
2904130082	vuno honi vakevo vaniunga via mavu na kuzanga vufuko, kaha nalishungu lia viuma vieka vikovela nakutuva lizi, kaha kulimi vushuka.
2904140093	Vuno honi vije vivakuvile mu mavu acili, vanapu vaje vevua lizi nakulitambula na kuima vushuka, makumi atatu na makumi atanu na limo, na cihita.”
29041500a4	Kaha Yesu uahandekele kuli vakevo nguendi, “Nkuma muntu akanehe ndeya nakuihaka muntsi lia liendeko, cipue muntsa muhela ndi? Nkuma kaihaka ha citumbiko cayo ndi?
2904160077	Omuo nacimo cahi cuma cakushueka, cihonoua kuija hakutoka, kaha naua nacimo cahi ca vushueke civahonoua kuneha ku ceke.
2904170027	Nga uoshe uje hali na matuitui evue.”
290418008f	Kaha uahandekele kuli vakevo nguendi, “Niungeni vimuli na kuivua, seteko muhana ikeyo vakamihana neni naua, vuno honi yeni vakamivuezelelako.
2904190061	Uoshe hali naviavingi vakamuvuezelelako, kaha uje kesi, cipue cije cali naco va kamutambulaco.”
29041a005b	Kaha Yesu uahandekele nguendi, “Vumuene vua Njambi vunapu ngue muntu akuva mbuto mu mavu,
29041b007f	cipue vene akosa tulo omo ahinduka vije vimbuto vimena na kukola vutsiki na mutania, vuno honi katantekeya muvili nakukolelamo.
29041c0043	Cakulivanga mavu akahaka cishati, kaha mutue, kaha vinona ku mitue.
29041d006a	Vuno honi omo vimbuto vinahi, hajevene uavitejele na mpoko ya kutejesa omuo ntsimbu ya kuteja yahetele.”
29041e007a	Kaha Yesu uahandekele nguendi, “Vumuene vua Njambi tukavusetekesa na vika, cipue cisimo muka tukalikuasesa hali vukevuo?
29041f0077	Vunapu ngue nona ya musalata, ije omo vaikuva mu mavu, kaha ikeyo yapua yaindende cikuma ku vimbuto vioshe via ha mavu.
29042000a8	Vuno honi omo vaikuva kaha ikakola na kupua yakama kupulakana viputa vioshe, kaha ikahaka mintango yakama, ngeci tuzila va muilu vapangelemo mashua mu cimbembe cayo.”
2904210062	Omuo ya visimo viavingi evi, Yesu uahandekele lizi kuli vakevo kuya nomu muvahaselele kulivuisisa.
2904220070	Kahandekele kuli vakevo kuakuhona cisimo, vuno honi kumukulo uakele nakulumbunuina vandongisi vendi viuma voshe.
2904230078	Ha litangua lije, omo capuile cinguezi, Yesu uahandekele kuli vandongisi vendi nguendi, “Tuyeni musinia lia cisali.”
2904240058	Kaha omo vasezele civunga vaile nakukovela nendi mu vuato. Kaha na mato eka akele nendi.
290425007a	Kaha linkimba liakama lia mpunzi liezile, kaha na mankimba aputukile kukovela mu vuato, kaha na vuato vuaputukile kushula.
29042600a8	Vuno honi Yesu uakele kuntongo uakosele tulo oku najendamena ha musato, kaha vamuhinduile nakuhandeka kuli ikeye nguavo, “Mulongisi, kuuazivukile nguove tutsa ndi?”
290427009d	Kaha uahindukile nakutenukila mpunzi, kaha uahandekele ku mankimba nguendi, “Ciyulo! Holoka!” Kaha mpunzi yaholokele, kaha kuakele kuholoka cakama kuluu.
2904280053	Kaha uahandekele kuli vakevo nguendi, “Vika muteua? Kumuesi na lutsilielo ndi?”
290429007a	Kaha vakele na liova, kaha vahandekele kuli umo na mukuavo nguavo, “Iya honi ou, cipue mpunzi na mankimba vimuivuila?”
2905010049	Yesu na vandongisi vendi vaile musinia lia cisali, ku lifuti lia Ngelasa.
2905020059	Kaha omo uahumine mu vuato, ualiuanene na yala ha vihilo uje uakele na cimbembesi cacipi,
2905030051	uakele nakukala ha vihilo, kaha na muntu uahi uasele kumukuta, cipue na malienge,
29050400b8	omuo lualuingi vakele nakumukuta na tukunju na malienge, vuno honi uakele nakuvatuzola malienge na kupokozola tukunju mu vimbazuvuila, kaha naumo uahi uakele na nzili ya ku muononuesa.
2905050063	Vutsiki na mutania uakele ha vihilo na ha minkinda oku alila, nakulivetuesa ikeye vavenia na mavue.
2905060047	Kaha omo uamuene Yesu kulahako, uashatukilile kuli ikeye na kumulemesa,
29050700a0	kaha ualilile na lizi liakutambeka nguendi, “Vika utonda kuli yange, Yesu, Muna Njambi ua Helu lia Vioshe? Njilomba mu lizina lia Njambi, keti unjiyandese.”
2905080055	Omuo uahandekele kuli ikeye nguendi, “Huma muli ou yala, yove cimbembesi cacipi!”
2905090070	Kaha Yesu ua muihuile nguendi, “Yove iya?” Kaha uamukumbuluile nguendi, “Yange civunga, omuo tuvavengi.”
29050a003b	Kaha vamulombele cikuma linga keti avasheke mu lifuti lije.
29050b0045	Nankuma kuakele vutanga vua vangulu vakele na kulia kuje ku munkinda,
29050c007e	kaha vije vimbembesi viavipi via mulombele nguavio, “Tushekele kuje ku vutanga vua vangulu, linga tukakovele muli vakevo.”
29050d00d3	Kaha uavatavesele. Kaha vije vimbembesi viavipi viamuhumine, kaha viakovelele mu vutanga vua vangulu, nankuma vangulu voshe vapuile makulukazi avali, kaha vashatukile nakukakovela mu cisali muje muvakanongelele.
29050e007c	Vaje tuniungi vateuele, kaha vakalekele vije vivamuene mu nganda na mu cifuti. Kaha vantu vezile nakumona vije vialingikile.
29050f00c8	Kaha vezile kuli Yesu, kaha vamuene uje yala uakele na vimbembesi viavipi natumama kuje, nazala vuino na mana acili anahiluka muli ikeye, yala uje uakele na vimbembesi viavingi viavipi, kaha vateuele.
2905100076	Kaha vaje vacimuene vahandekele vije vialingiuile kuli uje yala uakele na vimbembesi viavipi naku vutanga vua vangulu.
290511003c	Kaha vaputukile kulambelela Yesu linga ahume mu cihela cavo.
290512005f	Kaha omo uatondele ku kovela mu vuato, uje yala uakele na mahamba ua lombele linga akale nendi.
29051300a9	Vuno honi ua vianene, kaha uahandekele kuli ikeye nguendi, “Ya kuimbo kuli vavusamba vove, ukavalekese via nakulingila Muene, nomu muanakela nacikeketima hali yove.”
290514008f	Kaha uaile na kuputuka kuambulula mu Ndikapolisi (kulumbununa vinganda likumi) viuma vije viamulingilile Yesu. Kaha vantu voshe valikomokelele.
2905150084	Kaha omo Yesu uajavukile naua mu vuato kuya musinia ya cisali, civunga cakama ca vantu cakele nendi, kaha uakele kumukulo ya cisali.
2905160078	Kaha umo mukuluntu uamu njivo ya malombelo, lizina liendi ikeye Njailosi, omo uamuene Yesu uauililile ku viliato viendi,
2905170079	Ua mulambelele nguendi, “Munange ua mpuevo alinakutonda kutsa. Ija ukamusaleke mavoko ove, linga akanguke na kuyoya.”
290518003b	Kaha uaile nendi. Civunga cakama ca mukavele oku vamutseka.
2905190045	Kaha kuakele mpuevo uakele na kuhita maninga ha miaka likumi naivali,
29051a0099	uje uayandele cikuma ku vimbanda, uapihisile viuma vioshe viakele navio, vuno honi kakangukile, vuno honi mushongo uendi uatualeleho kuya kuintsi cikuma.
29051b0063	Kaha omo uovuile lutsimo lua Yesu, uamukavele munima yendi mu civunga na kumukuata ku kazaku kendi.
29051c005c	Omuo uahandekele nguendi, “Nga njikakuata cipue lika ku kazaku kendi kaha njikakanguka.”
29051d0064	Kaha hajevene aje maninga emanene, kaha uovuile mu muvila uendi nguendi nakanguka ku mushongo uendi.
29051e0093	Kaha Yesu uovuile nzili yahumine mu muli ikeye, kaha hajevene uatengulukilile ku civunga, nakuhandekele nguendi, “Iya nakuata ku kazaku kange?”
29051f0086	Kaha vandongisi vendi vahandekele kuli ikeye nguavo, “Unamono civunga cili nakukutseka vuno honi uhandeka nguove, Iya nanjikuata?”
2905200033	Kaha uatalele talele linga amone uje ualingile eci.
29052100a5	Vuno honi uje mpuevo ha kutantekeya cije calingiuile kuli ikeye, uezile kuli Yesu na liova oku alina kujaja nakuuila ku viliato viendi, na kumulekesa vusunga vuoshe.
2905220089	Kaha uahandekele kuli ikeye nguendi, “Munange ua mpuevo, lutsilielo luove luakukanguisa, ya mu ciyulo kaha kanguka ku mushongo uove.”
290523009c	Omo te acili nakuhandeka kuezile vantu kuhuma ku njivo ya mu kakuyula vamo vahandekele nguavo, “Munove ua mpuevo natsi. Vika uyandesela Mulongisi naua?”
290524009b	Vuno honi kahakeleko mangana kuli vije viva handekele, Yesu uahandekele kuli muka kuyula ua mu njivo ya malombelo nguendi, “Keti uteue, tsiliela lika.”
2905250059	Katavesele muntu uoshe kumukava kuvanga lika Petulu na Tiango na Iuano munaina ya Tiango.
2905260070	Omo vahetele ku njivo ya muka kuyula ua njivo ya malombelo, uamuene vitanga, na vantu valila nakukangoka cikuma.
290527007d	Kaha omo uakovelele, uahandekele kuli vakevo nguendi, “Vika mukangokela na kulila? Kanike katsile vuno honi nakosa tulo.”
2905280094	Kaha vamujolele. Kaha uavatuhuisile voshe hambanza, kaha uambatele vaishe ya muana na vanaye navaje vakele navo, kaha vaile muje muakele uje kanike.
2905290093	Uamukuatele ku livoko nakuhandeka kuli ikeye nguendi, “Talita kumi.” Kulumbununa, “Kanike ka mpuevo, njihandeka kuli yove nguange hinduka.”
29052a0071	Hajevene uje kanike ka mpuevo uahindukile na kuenda (uakele na miaka likumi na ivali), kaha voshe valikomokelele.
29052b007a	Kaha ua vasinkikile cikuma nguendi, keti kukale cipue umo napande kutantekeya eci, kaha uavalekele vamuhane viakulia alie.
2906010051	Kaha Yesu uahumine kuje na kuya ku lifuti liendi, na vandongisi vendi vamukavele.
29060200fb	Kaha ha litangua lia sapalalo uaputukile kulongesa mu njivo ya malombelo, kaha vavengi vamuivuile valikomokelele, nakuhandeka nguavo, “Ou yala kulihoni kuanauana evi vioshe? Mana muka vamuhanene ikeye? Vikomouesa muka viali nakupanga na mavoko endi!
29060300a8	Nkuma ou keti ikeye muka kushonga, muna Maliya na muanaye Tiango na Yosefa na Yundasa na Simoni ndi? Kaha vandumbueni kutuesi navo hano ndi?” Kaha vakevo vamuvianene.
2906040088	Kaha Yesu uahandekele kuli vakevo nguendi, “Kananguizi kuvamusingimika mu cifuti cendi, naku vantu vendi na mu njivo yendi vavenia.”
290605007c	Kaha kalingile vikomoueso viakama kuje, kuvanga lika kusaleka mavoko endi ku vantu vavandende vaka kuvavala na kuvakanguisa.
290606005c	Kaha ualikomokelele omuo hakuhona lutsiluelo luavo. Kaha uendanganene mu membo na kulongesa.
290607007d	Kaha uasanene vaje likumi na vavali uaputukile nakuvatuma vaye vali na vavali, nakuvahana nzili yakama ha vimbembesi viavipi.
290608008a	Uavashikile nguendi “Keti vambate cimo mu vungenzi vuavo kuvanga lika mbueti, kuakuhona mbolo, cipue njeke, cipue vimbongo mu miva yavo,
2906090038	vuno honi muzale vinkaku keti kuzala vikovelo vivali.”
29060a0051	kaha mu njivo yoshe mukovela, “tumamenimo kutuala noho mukahuma mu cihela cije.
29060b00a5	Kaha nga cihela coshe cije kuvamitambula na kuviana kumivuilila, omo mukahumamo, litotomoneni likungu lili kuviliato vieni linga vupue vukaleho vueni hali vakevo!”
29060c0039	Kaha vaile nakuambulula nguavo vantu vapande kutenguluka.
29060d0060	Kaha vahumisile mahamba vavengi, nakuvuavesa vantu vavengi vaka kuvavala na mazi nakuvakanguisa.
29060e00be	Omo muene Helonde uevuile nguendi lizina lia Yesu liatsimanene cikuma. Kaha vamo vahandekele nguavo, “Iuano mukakumbuitika na sanguka kuvatsi, mukemo eyi nzili ili nakupanga muli ikeye.”
29060f0092	Vuno honi vamo vahandekele nguavo, “Ikeye Eliya.” Veka naua nguavo, “Ikeye kananguizi, ngue ua vamo va vaje tunanguizi va Njambi va laja.”
2906100062	Vuno honi omo Helonde vovuile eci uahandekele nguendi, “Iuano uje njavatuile mutue nasanguka.”
290611009c	Omuo Helonde uatumine linga vakuate Iuano, na kumukuta na kumutuala mu kamenga, ualingile eci omuo ya Helondiya, mpuevo ya muanaye Filipu omuo uamuambatele.
290612005b	Omuo Iuano uahandekele kuli Helonde nguendi, “Keti lishiko kuambata mpuevo ya muanove.”
2906130055	Kaha Helondiya uakele na citela nendi, kaha uatondele kumutsiha vuno honi uahonouele,
29061400c9	omuo Helonde uateuele Iuano, omuo uatatentekeyele nguendi uapua ua vusunga na uakulela, kaha ua muniungile muacili. Omo vamuivuile, ualikomokelele mu mutima uendi, vuno honi cipue ngoco uamutolililile.
