280000000c	ମଥିଃ
2a0d0e0215	କିନ୍ତୁ ୱିଶ୍ରାମୱାରେ ଯୀଶୁନା ତସ୍ୟାଃ ସ୍ୱାସ୍ଥ୍ୟକରଣାଦ୍ ଭଜନଗେହସ୍ୟାଧିପତିଃ ପ୍ରକୁପ୍ୟ ଲୋକାନ୍ ଉୱାଚ, ଷଟ୍ସୁ ଦିନେଷୁ ଲୋକୈଃ କର୍ମ୍ମ କର୍ତ୍ତୱ୍ୟଂ ତସ୍ମାଦ୍ଧେତୋଃ ସ୍ୱାସ୍ଥ୍ୟାର୍ଥଂ ତେଷୁ ଦିନେଷୁ ଆଗଚ୍ଛତ, ୱିଶ୍ରାମୱାରେ ମାଗଚ୍ଛତ|
2a0d0f016a	ତଦା ପଭୁଃ ପ୍ରତ୍ୟୁୱାଚ ରେ କପଟିନୋ ଯୁଷ୍ମାକମ୍ ଏକୈକୋ ଜନୋ ୱିଶ୍ରାମୱାରେ ସ୍ୱୀଯଂ ସ୍ୱୀଯଂ ୱୃଷଭଂ ଗର୍ଦଭଂ ୱା ବନ୍ଧନାନ୍ମୋଚଯିତ୍ୱା ଜଲଂ ପାଯଯିତୁଂ କିଂ ନ ନଯତି?
2a0d10010a	ତର୍ହ୍ୟାଷ୍ଟାଦଶୱତ୍ସରାନ୍ ଯାୱତ୍ ଶୈତାନା ବଦ୍ଧା ଇବ୍ରାହୀମଃ ସନ୍ତତିରିଯଂ ନାରୀ କିଂ ୱିଶ୍ରାମୱାରେ ନ ମୋଚଯିତୱ୍ୟା?
2a0d110129	ଏଷୁ ୱାକ୍ୟେଷୁ କଥିତେଷୁ ତସ୍ୟ ୱିପକ୍ଷାଃ ସଲଜ୍ଜା ଜାତାଃ କିନ୍ତୁ ତେନ କୃତସର୍ୱ୍ୱମହାକର୍ମ୍ମକାରଣାତ୍ ଲୋକନିୱହଃ ସାନନ୍ଦୋଽଭୱତ୍|
2a0d1200a2	ଅନନ୍ତରଂ ସୋୱଦଦ୍ ଈଶ୍ୱରସ୍ୟ ରାଜ୍ୟଂ କସ୍ୟ ସଦୃଶଂ? କେନ ତଦୁପମାସ୍ୟାମି?
2a0d1301cb	ଯତ୍ ସର୍ଷପବୀଜଂ ଗୃହୀତ୍ୱା କଶ୍ଚିଜ୍ଜନ ଉଦ୍ୟାନ ଉପ୍ତୱାନ୍ ତଦ୍ ବୀଜମଙ୍କୁରିତଂ ସତ୍ ମହାୱୃକ୍ଷୋଽଜାଯତ, ତତସ୍ତସ୍ୟ ଶାଖାସୁ ୱିହାଯସୀଯୱିହଗା ଆଗତ୍ୟ ନ୍ୟୂଷୁଃ, ତଦ୍ରାଜ୍ୟଂ ତାଦୃଶେନ ସର୍ଷପବୀଜେନ ତୁଲ୍ୟଂ|
2a0d14015a	ପୁନଃ କଥଯାମାସ, ଈଶ୍ୱରସ୍ୟ ରାଜ୍ୟଂ କସ୍ୟ ସଦୃଶଂ ୱଦିଷ୍ୟାମି? ଯତ୍ କିଣ୍ୱଂ କାଚିତ୍ ସ୍ତ୍ରୀ ଗୃହୀତ୍ୱା ଦ୍ରୋଣତ୍ରଯପରିମିତଗୋଧୂମଚୂର୍ଣେଷୁ ସ୍ଥାପଯାମାସ,
2a0d1500e3	ତତଃ କ୍ରମେଣ ତତ୍ ସର୍ୱ୍ୱଗୋଧୂମଚୂର୍ଣଂ ୱ୍ୟାପ୍ନୋତି, ତସ୍ୟ କିଣ୍ୱସ୍ୟ ତୁଲ୍ୟମ୍ ଈଶ୍ୱରସ୍ୟ ରାଜ୍ୟଂ|
2a0d1600d8	ତତଃ ସ ଯିରୂଶାଲମ୍ନଗରଂ ପ୍ରତି ଯାତ୍ରାଂ କୃତ୍ୱା ନଗରେ ନଗରେ ଗ୍ରାମେ ଗ୍ରାମେ ସମୁପଦିଶନ୍ ଜଗାମ|
2a0d1700c8	ତଦା କଶ୍ଚିଜ୍ଜନସ୍ତଂ ପପ୍ରଚ୍ଛ, ହେ ପ୍ରଭୋ କିଂ କେୱଲମ୍ ଅଲ୍ପେ ଲୋକାଃ ପରିତ୍ରାସ୍ୟନ୍ତେ?
2a0d180151	ତତଃ ସ ଲୋକାନ୍ ଉୱାଚ, ସଂକୀର୍ଣଦ୍ୱାରେଣ ପ୍ରୱେଷ୍ଟୁଂ ଯତଘ୍ୱଂ, ଯତୋହଂ ଯୁଷ୍ମାନ୍ ୱଦାମି, ବହୱଃ ପ୍ରୱେଷ୍ଟୁଂ ଚେଷ୍ଟିଷ୍ୟନ୍ତେ କିନ୍ତୁ ନ ଶକ୍ଷ୍ୟନ୍ତି|
2a0d1901e0	ଗୃହପତିନୋତ୍ଥାଯ ଦ୍ୱାରେ ରୁଦ୍ଧେ ସତି ଯଦି ଯୂଯଂ ବହିଃ ସ୍ଥିତ୍ୱା ଦ୍ୱାରମାହତ୍ୟ ୱଦଥ, ହେ ପ୍ରଭୋ ହେ ପ୍ରଭୋ ଅସ୍ମତ୍କାରଣାଦ୍ ଦ୍ୱାରଂ ମୋଚଯତୁ, ତତଃ ସ ଇତି ପ୍ରତିୱକ୍ଷ୍ୟତି, ଯୂଯଂ କୁତ୍ରତ୍ୟା ଲୋକା ଇତ୍ୟହଂ ନ ଜାନାମି|
2a0d1a0102	ତଦା ଯୂଯଂ ୱଦିଷ୍ୟଥ, ତୱ ସାକ୍ଷାଦ୍ ୱଯଂ ଭେଜନଂ ପାନଞ୍ଚ କୃତୱନ୍ତଃ, ତ୍ୱଞ୍ଚାସ୍ମାକଂ ନଗରସ୍ୟ ପଥି ସମୁପଦିଷ୍ଟୱାନ୍|
2a0d1b0118	କିନ୍ତୁ ସ ୱକ୍ଷ୍ୟତି, ଯୁଷ୍ମାନହଂ ୱଦାମି, ଯୂଯଂ କୁତ୍ରତ୍ୟା ଲୋକା ଇତ୍ୟହଂ ନ ଜାନାମି; ହେ ଦୁରାଚାରିଣୋ ଯୂଯଂ ମତ୍ତୋ ଦୂରୀଭୱତ|
2a0d1c01a4	ତଦା ଇବ୍ରାହୀମଂ ଇସ୍ହାକଂ ଯାକୂବଞ୍ଚ ସର୍ୱ୍ୱଭୱିଷ୍ୟଦ୍ୱାଦିନଶ୍ଚ ଈଶ୍ୱରସ୍ୟ ରାଜ୍ୟଂ ପ୍ରାପ୍ତାନ୍ ସ୍ୱାଂଶ୍ଚ ବହିଷ୍କୃତାନ୍ ଦୃଷ୍ଟ୍ୱା ଯୂଯଂ ରୋଦନଂ ଦନ୍ତୈର୍ଦନ୍ତଘର୍ଷଣଞ୍ଚ କରିଷ୍ୟଥ|
2a0d1d00e2	ଅପରଞ୍ଚ ପୂର୍ୱ୍ୱପଶ୍ଚିମଦକ୍ଷିଣୋତ୍ତରଦିଗ୍ଭ୍ୟୋ ଲୋକା ଆଗତ୍ୟ ଈଶ୍ୱରସ୍ୟ ରାଜ୍ୟେ ନିୱତ୍ସ୍ୟନ୍ତି|
2a0d1e00c7	ପଶ୍ୟତେତ୍ଥଂ ଶେଷୀଯା ଲୋକା ଅଗ୍ରା ଭୱିଷ୍ୟନ୍ତି, ଅଗ୍ରୀଯା ଲୋକାଶ୍ଚ ଶେଷା ଭୱିଷ୍ୟନ୍ତି|
2a0d1f0144	ଅପରଞ୍ଚ ତସ୍ମିନ୍ ଦିନେ କିଯନ୍ତଃ ଫିରୂଶିନ ଆଗତ୍ୟ ଯୀଶୁଂ ପ୍ରୋଚୁଃ, ବହିର୍ଗଚ୍ଛ, ସ୍ଥାନାଦସ୍ମାତ୍ ପ୍ରସ୍ଥାନଂ କୁରୁ, ହେରୋଦ୍ ତ୍ୱାଂ ଜିଘାଂସତି|
2a0d200161	ତତଃ ସ ପ୍ରତ୍ୟୱୋଚତ୍ ପଶ୍ୟତାଦ୍ୟ ଶ୍ୱଶ୍ଚ ଭୂତାନ୍ ୱିହାପ୍ୟ ରୋଗିଣୋଽରୋଗିଣଃ କୃତ୍ୱା ତୃତୀଯେହ୍ନି ସେତ୍ସ୍ୟାମି, କଥାମେତାଂ ଯୂଯମିତ୍ୱା ତଂ ଭୂରିମାଯଂ ୱଦତ|
2a0d21013c	ତତ୍ରାପ୍ୟଦ୍ୟ ଶ୍ୱଃ ପରଶ୍ୱଶ୍ଚ ମଯା ଗମନାଗମନେ କର୍ତ୍ତୱ୍ୟେ, ଯତୋ ହେତୋ ର୍ୟିରୂଶାଲମୋ ବହିଃ କୁତ୍ରାପି କୋପି ଭୱିଷ୍ୟଦ୍ୱାଦୀ ନ ଘାନିଷ୍ୟତେ|
2a0d22022b	ହେ ଯିରୂଶାଲମ୍ ହେ ଯିରୂଶାଲମ୍ ତ୍ୱଂ ଭୱିଷ୍ୟଦ୍ୱାଦିନୋ ହଂସି ତୱାନ୍ତିକେ ପ୍ରେରିତାନ୍ ପ୍ରସ୍ତରୈର୍ମାରଯସି ଚ, ଯଥା କୁକ୍କୁଟୀ ନିଜପକ୍ଷାଧଃ ସ୍ୱଶାୱକାନ୍ ସଂଗୃହ୍ଲାତି, ତଥାହମପି ତୱ ଶିଶୂନ୍ ସଂଗ୍ରହୀତୁଂ କତିୱାରାନ୍ ଐଚ୍ଛଂ କିନ୍ତୁ ତ୍ୱଂ ନୈଚ୍ଛଃ|
2a0d2301ff	ପଶ୍ୟତ ଯୁଷ୍ମାକଂ ୱାସସ୍ଥାନାନି ପ୍ରୋଚ୍ଛିଦ୍ୟମାନାନି ପରିତ୍ୟକ୍ତାନି ଚ ଭୱିଷ୍ୟନ୍ତି; ଯୁଷ୍ମାନହଂ ଯଥାର୍ଥଂ ୱଦାମି, ଯଃ ପ୍ରଭୋ ର୍ନାମ୍ନାଗଚ୍ଛତି ସ ଧନ୍ୟ ଇତି ୱାଚଂ ଯାୱତ୍କାଲଂ ନ ୱଦିଷ୍ୟଥ, ତାୱତ୍କାଲଂ ଯୂଯଂ ମାଂ ନ ଦ୍ରକ୍ଷ୍ୟଥ|
2a0e0100f0	ଅନନ୍ତରଂ ୱିଶ୍ରାମୱାରେ ଯୀଶୌ ପ୍ରଧାନସ୍ୟ ଫିରୂଶିନୋ ଗୃହେ ଭୋକ୍ତୁଂ ଗତୱତି ତେ ତଂ ୱୀକ୍ଷିତୁମ୍ ଆରେଭିରେ|
2a0e020053	ତଦା ଜଲୋଦରୀ ତସ୍ୟ ସମ୍ମୁଖେ ସ୍ଥିତଃ|
2a0e03011e	ତତଃ ସ ୱ୍ୟୱସ୍ଥାପକାନ୍ ଫିରୂଶିନଶ୍ଚ ପପ୍ରଚ୍ଛ, ୱିଶ୍ରାମୱାରେ ସ୍ୱାସ୍ଥ୍ୟଂ କର୍ତ୍ତୱ୍ୟଂ ନ ୱା? ତତସ୍ତେ କିମପି ନ ପ୍ରତ୍ୟୂଚୁଃ|
2a0e040067	ତଦା ସ ତଂ ରୋଗିଣଂ ସ୍ୱସ୍ଥଂ କୃତ୍ୱା ୱିସସର୍ଜ;
2a0e050137	ତାନୁୱାଚ ଚ ଯୁଷ୍ମାକଂ କସ୍ୟଚିଦ୍ ଗର୍ଦ୍ଦଭୋ ୱୃଷଭୋ ୱା ଚେଦ୍ ଗର୍ତ୍ତେ ପତତି ତର୍ହି ୱିଶ୍ରାମୱାରେ ତତ୍କ୍ଷଣଂ ସ କିଂ ତଂ ନୋତ୍ଥାପଯିଷ୍ୟତି?
2a0e06007f	ତତସ୍ତେ କଥାଯା ଏତସ୍ୟାଃ କିମପି ପ୍ରତିୱକ୍ତୁଂ ନ ଶେକୁଃ|
2a0e0700d0	ଅପରଞ୍ଚ ପ୍ରଧାନସ୍ଥାନମନୋନୀତତ୍ୱକରଣଂ ୱିଲୋକ୍ୟ ସ ନିମନ୍ତ୍ରିତାନ୍ ଏତଦୁପଦେଶକଥାଂ ଜଗାଦ,
2a0e08011a	ତ୍ୱଂ ୱିୱାହାଦିଭୋଜ୍ୟେଷୁ ନିମନ୍ତ୍ରିତଃ ସନ୍ ପ୍ରଧାନସ୍ଥାନେ ମୋପାୱେକ୍ଷୀଃ| ତ୍ୱତ୍ତୋ ଗୌରୱାନ୍ୱିତନିମନ୍ତ୍ରିତଜନ ଆଯାତେ
2a0e090171	ନିମନ୍ତ୍ରଯିତାଗତ୍ୟ ମନୁଷ୍ୟାଯୈତସ୍ମୈ ସ୍ଥାନଂ ଦେହୀତି ୱାକ୍ୟଂ ଚେଦ୍ ୱକ୍ଷ୍ୟତି ତର୍ହି ତ୍ୱଂ ସଙ୍କୁଚିତୋ ଭୂତ୍ୱା ସ୍ଥାନ ଇତରସ୍ମିନ୍ ଉପୱେଷ୍ଟୁମ୍ ଉଦ୍ୟଂସ୍ୟସି|
2a0e0a01fe	ଅସ୍ମାତ୍ କାରଣାଦେୱ ତ୍ୱଂ ନିମନ୍ତ୍ରିତୋ ଗତ୍ୱାଽପ୍ରଧାନସ୍ଥାନ ଉପୱିଶ, ତତୋ ନିମନ୍ତ୍ରଯିତାଗତ୍ୟ ୱଦିଷ୍ୟତି, ହେ ବନ୍ଧୋ ପ୍ରୋଚ୍ଚସ୍ଥାନଂ ଗତ୍ୱୋପୱିଶ, ତଥା ସତି ଭୋଜନୋପୱିଷ୍ଟାନାଂ ସକଲାନାଂ ସାକ୍ଷାତ୍ ତ୍ୱଂ ମାନ୍ୟୋ ଭୱିଷ୍ୟସି|
2a0e0b00d9	ଯଃ କଶ୍ଚିତ୍ ସ୍ୱମୁନ୍ନମଯତି ସ ନମଯିଷ୍ୟତେ, କିନ୍ତୁ ଯଃ କଶ୍ଚିତ୍ ସ୍ୱଂ ନମଯତି ସ ଉନ୍ନମଯିଷ୍ୟତେ|
2a0e0c023f	ତଦା ସ ନିମନ୍ତ୍ରଯିତାରଂ ଜନମପି ଜଗାଦ, ମଧ୍ୟାହ୍ନେ ରାତ୍ରୌ ୱା ଭୋଜ୍ୟେ କୃତେ ନିଜବନ୍ଧୁଗଣୋ ୱା ଭ୍ରାତୃଗଣୋ ୱା ଜ୍ଞାତିଗଣୋ ୱା ଧନିଗଣୋ ୱା ସମୀପୱାସିଗଣୋ ୱା ଏତାନ୍ ନ ନିମନ୍ତ୍ରଯ, ତଥା କୃତେ ଚେତ୍ ତେ ତ୍ୱାଂ ନିମନ୍ତ୍ରଯିଷ୍ୟନ୍ତି, ତର୍ହି ପରିଶୋଧୋ ଭୱିଷ୍ୟତି|
2a0e0d00af	କିନ୍ତୁ ଯଦା ଭେଜ୍ୟଂ କରୋଷି ତଦା ଦରିଦ୍ରଶୁଷ୍କକରଖଞ୍ଜାନ୍ଧାନ୍ ନିମନ୍ତ୍ରଯ,
2a0e0e011f	ତତ ଆଶିଷଂ ଲପ୍ସ୍ୟସେ, ତେଷୁ ପରିଶୋଧଂ କର୍ତ୍ତୁମଶକ୍ନୁୱତ୍ସୁ ଶ୍ମଶାନାଦ୍ଧାର୍ମ୍ମିକାନାମୁତ୍ଥାନକାଲେ ତ୍ୱଂ ଫଲାଂ ଲପ୍ସ୍ୟସେ|
2a0e0f0115	ଅନନ୍ତରଂ ତାଂ କଥାଂ ନିଶମ୍ୟ ଭୋଜନୋପୱିଷ୍ଟଃ କଶ୍ଚିତ୍ କଥଯାମାସ, ଯୋ ଜନ ଈଶ୍ୱରସ୍ୟ ରାଜ୍ୟେ ଭୋକ୍ତୁଂ ଲପ୍ସ୍ୟତେ ସଏୱ ଧନ୍ୟଃ|
2a0e1000ad	ତତଃ ସ ଉୱାଚ, କଶ୍ଚିତ୍ ଜନୋ ରାତ୍ରୌ ଭେଜ୍ୟଂ କୃତ୍ୱା ବହୂନ୍ ନିମନ୍ତ୍ରଯାମାସ|
2a0e110136	ତତୋ ଭୋଜନସମଯେ ନିମନ୍ତ୍ରିତଲୋକାନ୍ ଆହ୍ୱାତୁଂ ଦାସଦ୍ୱାରା କଥଯାମାସ, ଖଦ୍ୟଦ୍ରୱ୍ୟାଣି ସର୍ୱ୍ୱାଣି ସମାସାଦିତାନି ସନ୍ତି, ଯୂଯମାଗଚ୍ଛତ|
2a0e1201b1	କିନ୍ତୁ ତେ ସର୍ୱ୍ୱ ଏକୈକଂ ଛଲଂ କୃତ୍ୱା କ୍ଷମାଂ ପ୍ରାର୍ଥଯାଞ୍ଚକ୍ରିରେ| ପ୍ରଥମୋ ଜନଃ କଥଯାମାସ, କ୍ଷେତ୍ରମେକଂ କ୍ରୀତୱାନହଂ ତଦେୱ ଦ୍ରଷ୍ଟୁଂ ମଯା ଗନ୍ତୱ୍ୟମ୍, ଅତଏୱ ମାଂ କ୍ଷନ୍ତୁଂ ତଂ ନିୱେଦଯ|
2a0e1300f8	ଅନ୍ୟୋ ଜନଃ କଥଯାମାସ, ଦଶୱୃଷାନହଂ କ୍ରୀତୱାନ୍ ତାନ୍ ପରୀକ୍ଷିତୁଂ ଯାମି ତସ୍ମାଦେୱ ମାଂ କ୍ଷନ୍ତୁଂ ତଂ ନିୱେଦଯ|
2a0e140099	ଅପରଃ କଥଯାମାସ, ୱ୍ୟୂଢୱାନହଂ ତସ୍ମାତ୍ କାରଣାଦ୍ ଯାତୁଂ ନ ଶକ୍ନୋମି|
2a0e15020f	ପଶ୍ଚାତ୍ ସ ଦାସୋ ଗତ୍ୱା ନିଜପ୍ରଭୋଃ ସାକ୍ଷାତ୍ ସର୍ୱ୍ୱୱୃତ୍ତାନ୍ତଂ ନିୱେଦଯାମାସ, ତତୋସୌ ଗୃହପତିଃ କୁପିତ୍ୱା ସ୍ୱଦାସଂ ୱ୍ୟାଜହାର, ତ୍ୱଂ ସତ୍ୱରଂ ନଗରସ୍ୟ ସନ୍ନିୱେଶାନ୍ ମାର୍ଗାଂଶ୍ଚ ଗତ୍ୱା ଦରିଦ୍ରଶୁଷ୍କକରଖଞ୍ଜାନ୍ଧାନ୍ ଅତ୍ରାନଯ|
2a0e1600b1	ତତୋ ଦାସୋଽୱଦତ୍, ହେ ପ୍ରଭୋ ଭୱତ ଆଜ୍ଞାନୁସାରେଣାକ୍ରିଯତ ତଥାପି ସ୍ଥାନମସ୍ତି|
2a0e170117	ତଦା ପ୍ରଭୁଃ ପୁନ ର୍ଦାସାଯାକଥଯତ୍, ରାଜପଥାନ୍ ୱୃକ୍ଷମୂଲାନି ଚ ଯାତ୍ୱା ମଦୀଯଗୃହପୂରଣାର୍ଥଂ ଲୋକାନାଗନ୍ତୁଂ ପ୍ରୱର୍ତ୍ତଯ|
2a0e1800ff	ଅହଂ ଯୁଷ୍ମଭ୍ୟଂ କଥଯାମି, ପୂର୍ୱ୍ୱନିମନ୍ତ୍ରିତାନମେକୋପି ମମାସ୍ୟ ରାତ୍ରିଭୋଜ୍ୟସ୍ୟାସ୍ୱାଦଂ ନ ପ୍ରାପ୍ସ୍ୟତି|
2a0e1900d4	ଅନନ୍ତରଂ ବହୁଷୁ ଲୋକେଷୁ ଯୀଶୋଃ ପଶ୍ଚାଦ୍ ୱ୍ରଜିତେଷୁ ସତ୍ସୁ ସ ୱ୍ୟାଘୁଟ୍ୟ ତେଭ୍ୟଃ କଥଯାମାସ,
2a0e1a01b0	ଯଃ କଶ୍ଚିନ୍ ମମ ସମୀପମ୍ ଆଗତ୍ୟ ସ୍ୱସ୍ୟ ମାତା ପିତା ପତ୍ନୀ ସନ୍ତାନା ଭ୍ରାତରୋ ଭଗିମ୍ୟୋ ନିଜପ୍ରାଣାଶ୍ଚ, ଏତେଭ୍ୟଃ ସର୍ୱ୍ୱେଭ୍ୟୋ ମଯ୍ୟଧିକଂ ପ୍ରେମ ନ କରୋତି, ସ ମମ ଶିଷ୍ୟୋ ଭୱିତୁଂ ନ ଶକ୍ଷ୍ୟତି|
2a0e1b00db	ଯଃ କଶ୍ଚିତ୍ ସ୍ୱୀଯଂ କ୍ରୁଶଂ ୱହନ୍ ମମ ପଶ୍ଚାନ୍ନ ଗଚ୍ଛତି, ସୋପି ମମ ଶିଷ୍ୟୋ ଭୱିତୁଂ ନ ଶକ୍ଷ୍ୟତି|
2a0e1c0172	ଦୁର୍ଗନିର୍ମ୍ମାଣେ କତିୱ୍ୟଯୋ ଭୱିଷ୍ୟତି, ତଥା ତସ୍ୟ ସମାପ୍ତିକରଣାର୍ଥଂ ସମ୍ପତ୍ତିରସ୍ତି ନ ୱା, ପ୍ରଥମମୁପୱିଶ୍ୟ ଏତନ୍ନ ଗଣଯତି, ଯୁଷ୍ମାକଂ ମଧ୍ୟ ଏତାଦୃଶଃ କୋସ୍ତି?
2a0e1d008c	ନୋଚେଦ୍ ଭିତ୍ତିଂ କୃତ୍ୱା ଶେଷେ ଯଦି ସମାପଯିତୁଂ ନ ଶକ୍ଷ୍ୟତି,
2a0e1e00ef	ତର୍ହି ମାନୁଷୋଯଂ ନିଚେତୁମ୍ ଆରଭତ ସମାପଯିତୁଂ ନାଶକ୍ନୋତ୍, ଇତି ୱ୍ୟାହୃତ୍ୟ ସର୍ୱ୍ୱେ ତମୁପହସିଷ୍ୟନ୍ତି|
2a0e1f0217	ଅପରଞ୍ଚ ଭିନ୍ନଭୂପତିନା ସହ ଯୁଦ୍ଧଂ କର୍ତ୍ତୁମ୍ ଉଦ୍ୟମ୍ୟ ଦଶସହସ୍ରାଣି ସୈନ୍ୟାନି ଗୃହୀତ୍ୱା ୱିଂଶତିସହସ୍ରେଃ ସୈନ୍ୟୈଃ ସହିତସ୍ୟ ସମୀପୱାସିନଃ ସମ୍ମୁଖଂ ଯାତୁଂ ଶକ୍ଷ୍ୟାମି ନ ୱେତି ପ୍ରଥମଂ ଉପୱିଶ୍ୟ ନ ୱିଚାରଯତି ଏତାଦୃଶୋ ଭୂମିପତିଃ କଃ?
2a0e2000ed	ଯଦି ନ ଶକ୍ନୋତି ତର୍ହି ରିପାୱତିଦୂରେ ତିଷ୍ଠତି ସତି ନିଜଦୂତଂ ପ୍ରେଷ୍ୟ ସନ୍ଧିଂ କର୍ତ୍ତୁଂ ପ୍ରାର୍ଥଯେତ|
2a0e210103	ତଦ୍ୱଦ୍ ଯୁଷ୍ମାକଂ ମଧ୍ୟେ ଯଃ କଶ୍ଚିନ୍ ମଦର୍ଥଂ ସର୍ୱ୍ୱସ୍ୱଂ ହାତୁଂ ନ ଶକ୍ନୋତି ସ ମମ ଶିଷ୍ୟୋ ଭୱିତୁଂ ନ ଶକ୍ଷ୍ୟତି|
2a0e220105	ଲୱଣମ୍ ଉତ୍ତମମ୍ ଇତି ସତ୍ୟଂ, କିନ୍ତୁ ଯଦି ଲୱଣସ୍ୟ ଲୱଣତ୍ୱମ୍ ଅପଗଚ୍ଛତି ତର୍ହି ତତ୍ କଥଂ ସ୍ୱାଦୁଯୁକ୍ତଂ ଭୱିଷ୍ୟତି?
2a0e23011f	ତଦ ଭୂମ୍ୟର୍ଥମ୍ ଆଲୱାଲରାଶ୍ୟର୍ଥମପି ଭଦ୍ରଂ ନ ଭୱତି; ଲୋକାସ୍ତଦ୍ ବହିଃ କ୍ଷିପନ୍ତି| ଯସ୍ୟ ଶ୍ରୋତୁଂ ଶ୍ରୋତ୍ରେ ସ୍ତଃ ସ ଶୃଣୋତୁ|
2a0f0100c0	ତଦା କରସଞ୍ଚାଯିନଃ ପାପିନଶ୍ଚ ଲୋକା ଉପଦେଶ୍କଥାଂ ଶ୍ରୋତୁଂ ଯୀଶୋଃ ସମୀପମ୍ ଆଗଚ୍ଛନ୍|
2a0f020113	ତତଃ ଫିରୂଶିନ ଉପାଧ୍ୟାଯାଶ୍ଚ ୱିୱଦମାନାଃ କଥଯାମାସୁଃ ଏଷ ମାନୁଷଃ ପାପିଭିଃ ସହ ପ୍ରଣଯଂ କୃତ୍ୱା ତୈଃ ସାର୍ଦ୍ଧଂ ଭୁଂକ୍ତେ|
2a0f03006c	ତଦା ସ ତେଭ୍ୟ ଇମାଂ ଦୃଷ୍ଟାନ୍ତକଥାଂ କଥିତୱାନ୍,
2a0f0401de	କସ୍ୟଚିତ୍ ଶତମେଷେଷୁ ତିଷ୍ଠତ୍ମୁ ତେଷାମେକଂ ସ ଯଦି ହାରଯତି ତର୍ହି ମଧ୍ୟେପ୍ରାନ୍ତରମ୍ ଏକୋନଶତମେଷାନ୍ ୱିହାଯ ହାରିତମେଷସ୍ୟ ଉଦ୍ଦେଶପ୍ରାପ୍ତିପର୍ୟ୍ୟନତଂ ନ ଗୱେଷଯତି, ଏତାଦୃଶୋ ଲୋକୋ ଯୁଷ୍ମାକଂ ମଧ୍ୟେ କ ଆସ୍ତେ?
2a0f050109	ତସ୍ୟୋଦ୍ଦେଶଂ ପ୍ରାପ୍ୟ ହୃଷ୍ଟମନାସ୍ତଂ ସ୍କନ୍ଧେ ନିଧାଯ ସ୍ୱସ୍ଥାନମ୍ ଆନୀଯ ବନ୍ଧୁବାନ୍ଧୱସମୀପୱାସିନ ଆହୂଯ ୱକ୍ତି,
2a0f060098	ହାରିତଂ ମେଷଂ ପ୍ରାପ୍ତୋହମ୍ ଅତୋ ହେତୋ ର୍ମଯା ସାର୍ଦ୍ଧମ୍ ଆନନ୍ଦତ|
2a0f0701db	ତଦ୍ୱଦହଂ ଯୁଷ୍ମାନ୍ ୱଦାମି, ଯେଷାଂ ମନଃପରାୱର୍ତ୍ତନସ୍ୟ ପ୍ରଯୋଜନଂ ନାସ୍ତି, ତାଦୃଶୈକୋନଶତଧାର୍ମ୍ମିକକାରଣାଦ୍ ଯ ଆନନ୍ଦସ୍ତସ୍ମାଦ୍ ଏକସ୍ୟ ମନଃପରିୱର୍ତ୍ତିନଃ ପାପିନଃ କାରଣାତ୍ ସ୍ୱର୍ଗେ ଽଧିକାନନ୍ଦୋ ଜାଯତେ|
2a0f08017e	ଅପରଞ୍ଚ ଦଶାନାଂ ରୂପ୍ୟଖଣ୍ଡାନାମ୍ ଏକଖଣ୍ଡେ ହାରିତେ ପ୍ରଦୀପଂ ପ୍ରଜ୍ୱାଲ୍ୟ ଗୃହଂ ସମ୍ମାର୍ଜ୍ୟ ତସ୍ୟ ପ୍ରାପ୍ତିଂ ଯାୱଦ୍ ଯତ୍ନେନ ନ ଗୱେଷଯତି, ଏତାଦୃଶୀ ଯୋଷିତ୍ କାସ୍ତେ?
2a0f090126	ପ୍ରାପ୍ତେ ସତି ବନ୍ଧୁବାନ୍ଧୱସମୀପୱାସିନୀରାହୂଯ କଥଯତି, ହାରିତଂ ରୂପ୍ୟଖଣ୍ଡଂ ପ୍ରାପ୍ତାହଂ ତସ୍ମାଦେୱ ମଯା ସାର୍ଦ୍ଧମ୍ ଆନନ୍ଦତ|
2a0f0a0109	ତଦ୍ୱଦହଂ ଯୁଷ୍ମାନ୍ ୱ୍ୟାହରାମି, ଏକେନ ପାପିନା ମନସି ପରିୱର୍ତ୍ତିତେ, ଈଶ୍ୱରସ୍ୟ ଦୂତାନାଂ ମଧ୍ୟେପ୍ୟାନନ୍ଦୋ ଜାଯତେ|
2a0f0b007c	ଅପରଞ୍ଚ ସ କଥଯାମାସ, କସ୍ୟଚିଦ୍ ଦ୍ୱୌ ପୁତ୍ରାୱାସ୍ତାଂ,
2a0f0c0178	ତଯୋଃ କନିଷ୍ଠଃ ପୁତ୍ରଃ ପିତ୍ରେ କଥଯାମାସ, ହେ ପିତସ୍ତୱ ସମ୍ପତ୍ତ୍ୟା ଯମଂଶଂ ପ୍ରାପ୍ସ୍ୟାମ୍ୟହଂ ୱିଭଜ୍ୟ ତଂ ଦେହି, ତତଃ ପିତା ନିଜାଂ ସମ୍ପତ୍ତିଂ ୱିଭଜ୍ୟ ତାଭ୍ୟାଂ ଦଦୌ|
