2800000004	Mata
2807010045	“Ga'a ba to keragya ko'eyawa karere ma̱re ga̱hin ta'a aye kerage,
280702006a	nde e kerage woto wunba̱ karere a̱nde an be keregya nde i ma̱'a̱ngi woto wuba̱ a̱nde an be ma'angya.
2807030057	Nago won tu ruka̱ka̱ owanbe kin rishe re woto wuba̱ awo ga̱'i utubi nan rishe rewo?
2807040069	Nago won to hyen woyan'on wo, an bo recengagya owanbe n rishe rewo, ewana ka gawo utubi go un rishe rewo?
280705008b	Gawo wuka̱ryo, riye to recenga utubi nan rishe rewo, naande bire ku hendi pa̱ri oderai na won to recenga owanbe nan rishe re woyan'on wo.
2807060095	“Ga'a ba to pana shaa ena shigere ciwu. ga'a ba ta'a to masangya arere na egewa ulu'ulu'u na̱hin. ma̱re a pondange a magetogya aye ha̱nda̱ganu.
2807070052	“Rushiga̱ ba an be pana, sara ba en tu ciga̱, emanga ba a̱no an be uciga̱ge.
2807080072	Naande woto wu rushigi ata pana wo, awo sa̱ri ta'a wuta̱ ciga̱, ta'a woto wo emani ta'a ata uciga̱ge wo a̱no.
280709003f	“A̱ure, she ba'a wo wu rushigi wu apoen a̱ pa̱ni wu otare?
28070a0035	ko ta'a she wu rushigi wu biwa̱, a pa̱ni wu ohwa'a?
28070b00aa	She ga̱hin, ato na omange etama na kenoko e yan'son na en to pana a'o na̱hin ena reme, naande Ashawa na̱hin anan tonran anan to pana iri na reme pa ato na sa̱ri pewa?
28070c0075	Nadea̱nno ena en saro ato aye dange, ga̱hin ta'a ke dange ga, enande ewanna go den attaura n tubisa̱ga̱ to atoma.
28070d0092	Gega̱ ba na̱no na suki, enande a̱no na hurin u'o ona ha̱nrin gu, on'yan na owa ta'a ona gome cewo tu huma̱ go, ato na tu huma̱ ogo a̱ yemi.
28070e0043	Nadea̱nno na behono ka ona suki go, ato na tu ciga̱ ogo ryawo go.
28070f007c	“Owana ba suku na atoma na tobya. anan to rage nan mewa na me a̱ta̱ka̱ na ita̱ma̱'in, ama nanmen nanwan a kerkece go.
280710007d	En to mapa ga n toma nanwan. An to yan'son to ceba oalkama nanmen na a̱sa̱pi ko ta'a riori re uka̱ma̱ma̱ nika̱rika̱ri?
2807110069	A̱nde ta'a kobe o'o na reme ota pana ri'ori re reme. O'o na reme cewo ta'a ota pana ri'ori re reme cewo.
2807120080	O'o na reme o rawon to yan'son to pana ri'ori reme cewo. A̱nde ta'a o'o na reme cewo o rawon to yan'son to pana ri'ori re reme.
2807130042	Ca o'o na pa̱ni ciwu ri'ori re reme an tu kire ogo a mashen nora.
280714002a	Nadea̱nno n toma nanwan go an to mapa ga.
2807150085	“Nca ko'eyawa awo tan hyan Ashawa, Ashawa, go won tu gega̱ n togoma to tonran, sede woto won den iri na Ashawa nan tonran an saro.
28071600a9	Ato cenmon an to hyan n hibi wa̱re, Ashawa, Ashawa, ashe ton den cewo anabci n rira̱'i rewo, n rira̱'i rewo ta'a to sortomange cewo npera a ton den iriri na yema̱gi?
280717004e	A̱bire nan tu bisa̱ ga nhyen nbe yan'cewo. Npa̱gi ba, ga̱hin ato na kenoko
2807180077	“Nadea̱nno woto hoge monran ma̱mi wa̱ shi'i mago n rekoko rewa wo ne'en she woto wu ma̱ egewa nonwan nisupa̱ go.
280719007e	Na̱ a̱shira̱ a kenya, opera uwa̱ kurke uwa̱ hupurgi egewa ca nande eya ken cewo, enaande a̱ shi'i egewa wa̱re nisupa̱.
28071a0075	Ama woto wo hoge monran ma̱mi wa̱ shi'i ciwu mago nanmen nonwan wo ne'en she topano tu ma̱ egewa nonwan n haro go.
28071b006a	Na̱ a̱shira̱ kenyan myanron me shini, ta'a opera uwa̱ hupirge uwa̱ ripi egewa wa̱re, eya kenange.”
28071c0043	Na Yesu hu tu hita̱ ma̱no, ato an den mamake n tubisa̱ga̱ ture,
28071d006d	Enaande wu bishi ga monran she woto awo omange a̱ta̱ra̱n, nshe ta'a shima̱la̱n she tubisa̱ga̱ to Mosa.
280801002c	Na Yesu ka̱ra̱ni nudu ato cenmon a rope wo
2808020066	yan'on woton koci wa rage pi Yesu wa̱ kuki bu wa hyen wo, “Ashawa she wun ra̱'a̱ni kon hogake.”
280803007c	Ayesu wa cewane ka'ara kauwa wa̱ a̱ta̱ni woton koci wure wa hyen “N ra̱'a̱ni,” “Maremake.”A̱birebire wa mahoge
28080400d2	Nande Ayesu wa hyen wo, “Benreka kure ku bishi ciwu ko'eyawa” Ama hura̱ ku bishi unbu nanwon pa Firist ku pa̱ni iwuki nde tubisa̱ga̱ to Mosa to hyen. En da a̱nno na an ma bisa̱ ato nhyen wo mahoge.”
280805007c	Na Yesu wu gegin Kaparnahun yan'on woto ototo wo ato na ma̱ka̱ri wo Roma wa rage pi Yesu wa̱ kuki wa̱ sa̱ri wa hyen wo.
280806004d	“Ashawa” Wogema wu mi wun pa̱re wu wa̱ci n egewa wu ruma̱gi ma'inna”
2808070035	A Yesu wa hyen wo, “N ne'enyan dewo n hogaka wo.”
28080800a9	Nande woto ototo wo ato na ma̱ka̱ri wure wo Roma wa̱ ra̱'a̱ni wa hyen Iyesu, “Ashawa, N doga cewo ko rage negewa na̱mi. Ama en dan monran wogema wumi won mohoga.
28080900a7	Ga̱mi n unbu na̱mi n ka'ara ka woto go n ne'en ta'a wogema n ka'ara ka̱mi. she n hyen woto na ‘Hura̱,’ a̱ huri, she n hyen wo ta'a, ‘Rage,’a rage ta'a.”
28080a00c2	Na Yesu wo hoge a̱nde naande wan de omamake, wa hyen ato nan toropa wo “Mahenda mago ma nan bi bisa̱ga̱ ko nanmen Israila n ta̱ cigi ciwu woto wo tomasana anmen to otope she to woto wonna.
28080b007b	N ne'en bi bisa̱ga̱, ato cenmon to rage arowa na kida̱ korya iri korya na Ibrahim na Ishaku na Yakubu n togoma to tonran
28080c004f	Ato na togoma a mashegan pa̱ri pa ici. pa̱re pa an to twan ngwa n marya a̱ne
28080d008b	nande Ayesu wa hyen woto ototo wo ato na ma̱ka̱ri ana ogesa ryaga en bon dan n to masana anmen towo.” a̱ bire wogema wo wa, wa mohoge.
28080e005e	Na Ayesu wo gegi n egewa na Bitrus wa̱ buri aniya na Bitrus wu wa̱ci n turu wa ange to'oawa.
28080f0048	Wa̱ a̱ta̱ni ka'ara kauwa wa mohoge wa̱ kuriki wan dange wo ena korya
2808100070	Na marona man den a owongane ato na omange npera cenmon wa sortomanga npera monran wa hogake ato na ruma̱ga̱gi
28081100a2	A̱ma̱re ka na an ma shintuma̱na̱ monran ma Wotoma Ishaya wu hici go tohyan: “N unbu nonwan go wa recenge ohoge cewo rato na̱tu wa umi egome gome na̱tu.”
2808120054	Na Ayesu wu hendi ato cenmon a peringa̱na̱ wo wa hyen ga a̱ ka̱ci hira̱ re nube
2808130079	Nande yan'on “Ka̱ma̱la̱n ka tubisa̱ga̱ to Mosa ka rage ka hyen wo, “Ka̱ma̱la̱n, nan bo ropa apa wun tu hura̱
28081400a3	Ayesu wa hyen ga, shejewo un shira̱mu she shewa. Kina̱na̱ ke tonran ta'a en tugurgu to shewa. Ama ga̱mi Ba'a wo woto n dawo pa̱ri pa nan to masana unbu na̱mi
2808150067	Yan'on woto wo moma'anga wa hyen wo, “Ashawa ga'a naande n hura̱ n mi ma̱ni ashawa na̱mi ana u.”
280816006f	Ayesu ta'a wa hyen wo, “N dope, ga'a ato na eshe man dopa ana rawo benhyan a̱ ma̱ni ayan'on nanwon na o'gi.
2808170038	Na Yesu wo gegi ohato ato na moma'anga nonwan a rope wo.
2808180081	She ata geshen cewo yan'on uriro na yemi uwa̱ kurke nube arasana na ma̱ni ma̱ ri tu gega̱ nanmen ohato ama Ayesu wan nan dawo
2808190059	Ato na moma'anga nonwan a̱ huri a retamaga wo a hyen, “Ashawa tu ringe tun tu uwa̱”
28081a008f	Wa hyen ga, “nago en ryansan?” Ga̱hin ato na tomasana anmen tu yemi ciwu?” nande wa kuriki wa̱ gusa̱ni opera n nube opera uwa̱ wa̱ci
28081b0072	Ato an ualajibi, a̱ rushigi a hyen, “Wobi iri na woto go wanna? awo opera n ma̱ni ma ube mata hoga wo ta'a?”
28081c00b2	N ba ka̱ci be'awo be cenge to Garasinawa ato rewu na omange npera a sorya apa ata bisa̱ ato, a̱ wuri wu, an neperen na̱ci pa woto rawo awon to yan'son tu huma̱ onyan wa̱re.
28081d005d	“Yegu won sara n ga̱tu, wo rage ko to ce'entoma gwa? pana she beka̱ni bi tu beta den cewo
28081e003f	Pa̱re ryawo ka yan'on ukutu na arere na egewa an dewa n rihuwo
28081f005e	Nande npera mya roki wu nhyan, she wo to sortoma ko to masan nanmen ukutu na arere na egewa re
280820007b	Wa hyen ga ryaga ba, nande a sore a gegi na arere na egewa, naande banban narere a̱ ma̱'ici a kyenan nube a̱ u n ma̱ni.
280821008a	A̱huwa̱ na arere na egewa ama ici tu hura̱ n ceso nanmen an tu hita̱ga̱ ena a̱ hendi, n niri na̱ cigi ato na omange nperan nan uru.
2808220065	Nande ca ato nan ceso a sorage a̱ huri a wuri Iyesu. Na a̱ hendi wu, a hyen wo a ga'i be'awo byawa.
280901003c	Na a Yesu wo pece ohato, wa̱ ka̱ci tu hura̱n ceso nonwan.
28090200d4	A̱bire a owangya Iyesu yan'on woto wu ruma̱ngi ma'inna wu wa̱ta̱ki n uturu. na Yesu hendi tomasana anmen twawa, wa hyen wo, “ba'a wu mi ga'a to na'an netama en dan anmen cende, a wo ciringa̱gi ciri'i towo.
2809030067	Ta'a yan'on shima̱la̱n she tubisa̱ga̱ to Mosa, sha hyen n shenmen shawa, woto wonna, wu ma̱ngashi,
2809040067	Ayesu ka naande wo yan'son etama nanwan, wa hyen ga yegu naande ayen netama na kenoko n shenmen shihin?
2809050078	Nce ena huri orara goma: ato hyan, ‘Awo ciringa̱gi ciri'i towo,’ ko ta'a awo hyan ‘Kurka̱ ku regi tohano towo’
28090600bf	Ama nen saro ke yan'son nhyen Ba'a wo woto wo omange a̱ta̱ra̱n nata ciringa̱gi ciri'i to kanniyan, ta'a wa hyen woto wure wu ruma̱ngi, “Ikurka̱, ku wa̱rigi etaro nanwon ku huri giye.
280907001f	Owa ka wa kurki wa̱ huri giye.
280908005d	Na ukutu u hendi a̱nde, ryansan rya kentane ga, a hewake Onhon, awo pa̱ni ato a̱ta̱ra̱n.
28090900bd	Na Ayesu ga̱'i pa̱re, wa̱ hendi yan'on woto awo rira̱'i rewa Amatiyu wo koreke, owa a Matiyu ka woto wo tora'aga ka̱gondo go. A Yesu wa hyen wo, “N dopya, wa̱ kurki ta'a wa rope wo.
28090a0097	She Ayesu won korya iri korya n egewa na Matiyu ato na tora'aga ka̱gondo nato naande ciri'i a rage a korkake pa̱ka̱ nonwan nato na moma'anga nonwan.
28090b00c0	Na a Farisiyawa a̱ hendi a̱nde, a̱ rushigi ato na moma'anga na Yesu a hyen, “Yegu naande woto ototo wuhin wan korya iri korya n woto wo tora'aga ka̱gondo pa̱ka̱ ta'a nato naande ciri'i
28090c0070	Na Yesu hoge a̱nno wa hyen ga, e rawo na ta̱ganu ato na ruma̱ngi ciwu n woto wu unibu, sede ato na ruma̱ngi.
28090d00b7	Ryaga ba ki ma̱ma̱'a̱ngi ena ma ange, ga̱mi ka ane'en na yanman go nen saro pihin, ba iwuki ba. Naande n dage cewo ohece na ato na omange kaye, ama pa ato naande ciri'i go n dage.
28090e00b5	A̱bire ato na moma'anga na Yohana wo baptisma a rage pi Yesu a̱ rushigi wu a hyen, “Yegu naande ga̱tu na Farisiyawa aton re'ore, ama ato na moma'anga nanwon a ca na'an rewa?”
28090f00c9	Ayesu wa̱ ra̱'a̱ni ga wa hyen, “Atoginto na u'a̱ngo a rawon ton da anmen shiri she u'a̱ngo u ta̱n pa̱ka̱ nanwan? Ai beka̱ni be ne'en na an tu umena̱ ga u'a̱ngo a̱bire be an ton da re'ore.
2809100095	“Woto wo rawo awon tu ta̱ga̱nu ewa na goshe n yade na̱son a̱ ta̱gi, enande a na̱son an ta handa ana goshe, hare tu a̱ni to hando tu ka̱hin.
280911010f	Woto wo rawo ta'a awon tu kuga̱ ma̱ni ma ina̱bi ma̱son n shemo she goshe, she a̱ kuga̱ni, shemo shen to komatongo, ma̱ni ma ina̱bi ta'a ma turi, sede a̱ kuga̱ni n shemo she son. She an de a̱nno ma̱ni ina̱bi ma rawon tu tura̱ ko ta'a shemo she komantango.”
28091200d8	She Ayesu wo tan monran ma̱re nanwan go a̱nde yan'on woto ototo wa rage pi Yesu wa̱ cibi arungurungu wa hyen wo, benanba nanba ba'a wumi wa̱'a̱ wu u. Ama rage tun huri ku a̱ta̱n bo n ka'ara kawo won ta ronkya.
2809130044	Ayesu ta'a wa̱ kurki wa rope wo pa̱ka̱ n ato na moma'anga nonwan.
280914007e	A̱bire ta'a yan'on wu'a̱ awo den nyan opa na rewu n tu hure ma̱hen'en wa peringe na bo'o na Yesu wa̱ a̱ta̱ni ewa nonwan.
2809150060	Nande wu'a̱ wure wa hyen nanmen nonwan, ko she ewa nonwan e bawa go n a̱ta̱ni, nen mohoga.”
2809160095	A̱bire Ayesu wa mangiyane wa hendi wu'a̱ wure wa hyen wo, “ba'a wumi ga'a mata etama, tomasana anmen towo to hogake” A̱bire ta'a be wa mohoge.
280917006a	Na Ayesu wuci egewa na woto ototo wure wa̱ hendi ato na rinhunrin pa̱ka̱ n kutu pa̱re a hwadane kwara.
2809180060	Wa hyen ga“N pa̱gi ba pa̱ri ai ba'a wota wu u ciwu ndawon go me wa̱ wa̱ci” a henge Yesu.
2809190060	Na a sortoma ukutu niji, a Yesu wa̱ gegi wa kentane ka'ara ka ba'a wure a̱bire ba'a ka ronkya.
28091a0033	Monran ma̱re ka ma̱ ci kobe be'awo be cenge ture.
28091b008a	Na Ayesu wo maheketane pa̱re ta'a yan'on a̱ruwa̱ rewu, a rope wo n tu'umena̱ bengoro a ange, “Gawo Ba'a wo Dauda hoga yanman na̱tu.
28091c00b6	Na Ayesu gegi ne yan'on egewa, a̱ruwa̱ wa̱re a rage pi Yesu wa hyen ga, e masane anmen nhyen n omange a̱ta̱ra̱n na nen be hogaka?” A̱ ra̱'a̱ni Yesu a hyen, “En Ashawa”
28091d0068	A̱bire a Yesu wa̱ a̱ta̱nga̱ni shishe shawa wa hyen ga, “Mande mahenda n to masana anmen tuhin.”
28091e0078	A̱bire shishe shawa she ma̱'ucigi. Ama Ayesu wa woshe ga ogago mahenda nhyen“Nde n hoge cewo mago pa woto wuba̱.”
28091f003b	Na a̱ huri ka a̱ hita̱gi mago kobe be'awo be cenge ture.
2809200079	Ayesu a̱ kurki gu a̱nde an tu hura̱ a owangya wo yan'on wuka̱mu awo omange npera nan gamangan bo tu hita̱ga̱ ndoma.
280921008a	Na a sortoman gya wo npera, wuka̱mu wure wa̱ hita̱gi ndoma, a̱bire ukutu owa de mamake, a hyan, “Tu ta̱ hen cewu anna n Israila.”
280922005f	Ta'a ato ototo na Farisiyawa a hyan, “Na ta̱ra̱n nan men pera go wan to sortomanga npera”
28092300ce	a Yesu wa peringina̱ n ceson ceson n shihira̱ wa ne'en tu bisa̱ga̱ n pa̱ri pa aduwa nanwan, wan to bansan monran ma rotome ma togoma to Onhon, wan ta'a to hogaka ka ga kobe shegoma n rara kamon nanwan.
280924008e	Na a Yesu wu hendi uru na ukutu wa hoge yanman nanwan n ma̱supo mawa, woto wo rawo ta'a wu beni ga a ne'en she ita̱ma̱'in na rawo wuhuwa̱.
280925006d	A̱bire a Yesu wa hyen ato na moma'anga non wan, “Uguwa̱ u yemi, ta'a ato nan ton da Uguwa̱ a̱ yen ciwu.
2809260046	Rushiga̱ ba Ashawa na Uguwa̱, aye tomangya nato na Uguwa̱ nahwa.”
280a0100ab	Ayesu wa hecegane ato na moma'anga nonwan opa na̱ rewu, wa̱ pa̱ni ga a̱ta̱ra̱n na to sortomanga ko'ebe nperan nan shiri, ta'a a hogake kobe shegoma n rara hoga rato.
280a0200af	Ta'a a̱ra̱'i na atoma wa̱re moma'anga opa na rewu, woto wo ka̱hin saminu awo ata hecega Bitrus n wotosuwa̱ wo wa Andarawus, na Yakubu ba'a wo zabadi wotosuwa̱ wo Yohana.
280a030073	Na Filibus na Batalomi na Toma na Amatiyu woto wo tora'aga Ka̱gondo na Yakubu ba'a wo Halpa, na Tadiyos na Yahuda,
280a040039	Na Saminu Baka'ane na Yahuda Iskariyoti awun ka̱ci Iyesu
280a0500a5	Ato opa na ato rewu wa̱re go Ayesu wo tomane wa̱ pa̱ni ga uno wa hyen“Kire ki gegi ciwu n cenge to ato nande cewo Ayahudawa, ko ta'a ko'ebe oceso na Samariyawa.
280a060029	Sede ki huri pa ato na Israila ana nangi.
280a07004d	Ke na'an tohano ke na'an bansan ke anga togoma to tonran to ne'enyan keto.’
280a080061	Ki kurtuma̱ ato na o'gi ke ce'enyanke ato nkoci ke sortoma npera, nde i bicigi a̱nde en to pana
280a090046	Ki ga̱'i tu ume nsara ko ezenare ko azurpa ko otagulla na̱bi na̱hin
280a0a007d	Ki ga'i tu ume okwasha na tohano, ko ewa na̱hin rewu ko ataka ko a̱ngo, woto won toma wu ha̱'in a̱ pa̱ni wu ocewa nonwan
280a0b0077	“Ko'ebe oceso ko a̱hira̱ ta'a na i gegi ki sa̱ri woto wo omange kaye ke na'an negewa nonwan hare ki ga̱'i pa̱re.
280a0c002c	She i gegi n egewa ke hyen ga ha̱nu ba dai.
280a0d007a	She a̱ ra̱'a̱ni nkuna̱n nan hin okamo na̱hin o nan'an pa̱re, she a̱ ra̱'a̱ni ciwu, okamo na̱hin o mokosha pihin.
280a0e0064	Ca egewa na eshe tohoga monran ma̱hin, she en to sora n oceso ki birka̱ki kurutu ko shewona shihin
280a0f0083	Mahenda mago man ne'en bi bisa̱ga̱ n hibi na shetara an ta hura̱ to hoga be'awo be cenge to Saduma n ta to Gomora n ceso wa̱re.
280a100090	Ewana n be tomane she ita̱ma̱'in nacenace na a̱kurwo. Naande a̱nno ke etange nshe ahwa'a, ta'a ke na'an nshe ato naca hacega nshe ka̱rkutu.
280a110076	Ke owane suku na ato, nande an be owana n pa̱ri pa shetara, aye owane ta'a n pa̱ri pa maromano mawa wa̱ta̱gi nwo'o
280a12008b	Sa̱bo na̱mi ta'a an be owana nekogo na ato ototo nan goma, na en ma bisa̱ ga monran ma rotome nekogo nanwan pa ato nande cewo Ayahudawa.
280a13006e	She aye kentane ki ga̱'i etama na monran ma in tu hita̱, beka̱ni bi ce an bi bisa̱ monran ma in tu hita̱.
280a14005c	Enande nce ga̱hin gu monran ama benhyan be onhon Ashawa bihin gu won monran nanmen ga̱hin.
280a150097	Wotosuwa̱ won to pana wotosuwa̱ wowa a kone wo, ashawa ta'a an to pana ba'a, a'o ta'a an ma̱kurka̱nu nato na ma̱ci ga hare a̱ kuwa̱ni a kone ga.
280a160063	Ko'eyawa ta'an be esa sa̱bo na rira̱'i rimi, ama woto pa̱ri anmen hare wa eyake, an tu ringe wu.
280a1700af	Sha ayi pinrin n ceso na ki ga̱ri tu hura̱n ceso na̱ba̱. Mahenda mago ma nen bisa̱ga̱, kahen ki hu tu peringa̱na̱ nceson ceso nan me Israila, Ba'a wo Woto won mokosha.
280a180066	woto wo moma'anga wo rawo awo huri ka̱ma̱la̱n kawa, ko ta'a wogema a̱ huri ashawa na egewa nonwan.
280a1900c6	Ma rogo woto wo moma'anga a na'an nshe ka̱ma̱la̱n kawa, wogema ta'a, a na'an nshe ashawa na egewa nonwan. She a hecegane ashawa na egewa Ba'alzabul to yegu ta'a an to hyan na ato na egewa wa̱re.
280a1a0093	Naandea̱nno ki ga̱'i to hoga ryansan ryawa, naande e rawo na uta̱ni ena a rawon tu uciga̱ ego, ta'a e rawo na ma̱so'in ena a rawon to yan'son.
280a1b006e	Enan bi bishi rihinrihin ki hici mago marara, ena ayi bishi natobe ta'a ki ba̱nshi mago n bikira̱n be egewa.
280a1c00c6	Ki re ke hoge cewo ryansan re ato nan to yan'son to kona woto, ama a rawon to yan'son to kona behono. Ma huri ke hoge ryansan re woto won to yan'son to kona to'oawa pa̱ka̱ n behono n egewa na ora.
280a1d006f	Nce a tan ka̱ta̱ n'na̱na̱n dewu ukobo uka̱, to ke rawo aken to kena n kida̱ ke Ashawa a rawon to yan'son.
280a1e0030	Ai ko tunjira̱ tu unbu na̱hin ma a ronce togo.
280a1f0043	Naandea̱nno ki ga̱'i to hoga ryansan, ai huri nna̱na̱n ma̱nde.
280a200079	“Ca woto wu ra̱'a̱ni nhyan owa a̱wu mi go nan to ra'a ta'a nhyan owa a̱wumi go nekogo na Ashawa na̱mi awon tonran.
280a210076	Woto wo hyan ta'a won yan'cewo nekogo na ato, ga̱mi ta'a nan to hyan n yan'cewo nekogo na Ashawa na̱mi a nan tonran.
280a220076	“Ga'a ba to anga nhyen n dage n owane okamo n kanniyan go. N owan cewo okamo n kanniyan, ama renbota rego ren owane.
280a23007c	N dage go n kwantan “‘woto na shawa nonwan rebonta, ba, a wa̱'a̱ na nanwan, wu'a̱ wo ba, a ta'a na ananwan na wa̱ri.
280a24003f	Ato nan nanmen negewa na woto go an to na'an rishiwu nonwan.’
280a2500e0	Ca woto wu huri tu ruwa̱ ashawa ko ananwan nonwan n ga̱mi, wu ha̱n'in ciwu an den woto wo moma'anga wumi, ta'a woto wu huri tu ruwa̱ ba'a wowa wa̱ri ko ba'a wowa wa̱'a̱, wu ha̱n'in ciwu an den woto wo moma'anga wumi.
280a260072	Ca ta'a woto wu umi ciwu kawo'o ka ton gyanran ka̱mi wan rope ba, wu ha̱n'in ciwu an den woto wo moma'anga wumi.
280a27007e	Woto wu rubin tu ringe behono bewa, won to rasa bego, ca ta'a woto wu ra̱shi behono bewa sa̱bo na̱mi, wun tu biciga̱ bego.
280a280061	“Ca woto wuyi ra̱'i, wun ra̱'i gu a̱nde, ca ta'a woto wun ra̱'i, wu ra̱'i woto won tomane.
280a2900b9	Ca woto wu ra̱'i Wotoma wo Onhon naande owa Wotoma go, wun tu ciga̱ ocewa na Wotoma, ca ta'a woto wu ra̱'i woto wo kaye naande owa woto wo kaye go, won to ra'a ocewa na woto wo kaye.
280a2a00c1	Ta'a she woto wuba̱ wu pa̱ni ko she keronkwa kika̱ ki ma̱ni ma horpi n woto wanna wo nennen enaande won de woto wo moma'anga wu mi gu, n bi bishi mahenda Onhon on topana wo ocewa nonwan.”
280b01009f	Na Ayesu wu hu ton dangya ato na moma'anga nonwan opa na rewu ogago wa̱ ga̱'i pa̱re wa̱ huri wan tu bisa̱ga̱ n to bansan nan ceson ceson nanmen n Galili.
280b020059	Na A yohana hoge ena Kristi won nenwan she won kurkuku, wa tomane ato na moma'anga nonwan
280b030062	A̱ rushige wo nhyen, “Gawo go woto wo ne'enyan dewo a̱ka̱ tu shi'a̱ a̱she n woto wuba̱?”
280b040058	Ayesu wa̱ ra̱'a̱ni ga wa hyen, “Ryaga ba ki bishi yohana ena e hoge aye hendi ta'a:
280b0500c6	A̱ruwa̱ a̱ hendi pa̱ri, ato na ma'inna ta'a an tohano, ato na omange nkoci ta'a a mohoge, a̱ka̱mu a hoge monran an tu kurtuma̱ ato na o'gi, a na'ange na ota̱gi to bansan to monran ma rotome.
280b060039	Uno na reme on pa woto wo waca marocega sa̱bo na̱mi.”
280b0700cc	Na ato na moma'anga na Yohana a̱ huri, Ayesu wa̱ rigi ukutu monran ma Yohana wo Baptisma wa hyen, “Yegu e sore to hyande n cenge tu ho'i? E sore to hyande anben na gensangage ana operan tu wuka̱ gwa?
280b0800b5	She nce a̱nno gu, yegu e sore to hyande? En netama nhyan en to hyanda woto wo mata'ane aronga na reme gwa? Ai ato nan na ne'en n kapara ka wogoma go ta mata'ana menwan nan remange.
280b090053	To yegu e sore to hyande? Wotoma wo Onhon? En, n bi bishi, wu huri Wotoma wo Onhon.
280b0a0086	A̱ure wo an range monran muwa ama hyan: “‘Nen to tomane Wotoma wumi a̱ wu ciga̱ni, awon bo nangana onyan she wota rage cewo.’
280b0b00cf	Mahenda mago ma nan bi bisa̱ga̱ nanmen nato ca ana a̱'a̱ a̱ ma̱ta̱ngi woto wo rawo awo sorya awo huri Iyohana wo baptisma uru, ama ca a̱nde, woto wu huri to na'an ryawo n togoma to tonran wu huri wu.
280b0c00d7	Nasorya nan n'yan nan Yohana wo baptisma hare ta rage benna togoma to tonran ton dewan to swa tupira̱n n tu kurtuma̱ shenmen, ato na tu kurtuma̱ shenmen ta'a an saron to kapshega togoma ture to Onhon nan shita̱.
280b0d0080	Enande tubisa̱ga̱ to Mosa na takada na atoma na Onhon a̱ hito monran ma togoma ture she an Yohana wo baptisma wota rage cewo.
280b0e005f	She ta'a en to ra'a to tomane tawa, Ayohana go won de a Iliya awo an de monran ma orewo nonwan.
280b0f0027	Woto wo omange atobe na to hoga a hoge.
280b100083	To niwo gu an to ma'ana nyan manna? Nshe a'o go ana koreke apa tunka̱ci n to sanga, an hece na ayan'on nanwan na togaro go a ange,
280b110061	“‘Tuyi hunra̱ngi rihunrin, ai hebe cewo cehewa, a ton pa̱ku na u'o a̱yi ta̱ ciwu ngwa.’
280b12005e	Ewana A yohana wo rage wa eshe korya e ryage ryage ni sogi sogi a hyan, ‘Wo omange npera.’
280b1300e2	Na Ba'a wo Woto wo rage wan korya wan toswa, aye hyan, ‘Hyanda ba woto wonna wu pici korya n to swa, wotoginto wo woto wo tora'aga ka̱gondo nato na “Ciri'i”’ Ca a̱nde an to mapanga toyanson to Onhon n toma nonwan.”
280b14008b	Nande Ayesu wa̱ ri tu gusa̱ nceson ceson na men wan de otoma na tohyanda na wan den nanmen, enaande ka ato wa̱re a eshe a ma̱shishingi.
280b1500e1	“Yana na̱hin, Korasin! yana na̱hin, Betsaida! Sha ana hyan otoma na tohyanda na an de pihin gu ana den n Taya pa̱ka̱ n Sidon, she ana ma̱shishingi hare a̱ mohopa̱ga̱ni mato a̱ ma̱pa̱ra̱gi shesoma n to'oawa tawa.
280b160058	Ama ni bisa̱ga̱ n hibi na shetara an tu hura̱ to hoga ato na Sidon na Taya n ga̱hin.
280b170109	Gawo ta'a Kaparnahun on netama na to hyan an bo hewaka tu hura̱ n tonran gwa? A'a, an bu wa̱ta̱ka̱ gu ato no esa go hare tu hura̱ apa ane'en na ato na o'gi. Otoma na tohyanda na an dange nanmen gawo sha ana hyan iwa̱re ana de n Sodom she o nan dewa hare yara.
280b180065	Ama ni bisa̱ga̱ n hibi na shetara an tu hura̱ to hoga yanman na ato be'awo bya Sodom n ga̱hin.”
280b1900c3	Na uhibi wa̱re gu Ayesu wo hyen “N bu kuni Ashawa, Ashawa naande tonran n kanniyan, enaande wu son'in iriri wanna pa ato na yan'son pa̱ka̱ nato na moma̱'a̱ngi, a̱ wu bishi a'o nan nennen.
280b1a002e	En, Ashawa, naande ena wu hura̱ni ore wa̱re.
280b1b0083	Ashawa na̱mi a̱ pa̱ni ca iriri. Woto wo rawo awo yan'son Ba'a wure ba̱nta̱ na Ashawa, ta'a n woto Ba'a wu ta̱ri a̱ bishi wu.
280b1c006c	“Rage ba pimi ca na̱hin ato nan ma̱supo ato na utumi n re'owana re aronga na monren, nen be pana ohorna.
280b1d00ea	Pana shi'unbu shihin n monran ma̱mi nshe nde bena'an beta pana bengoro be bewa pa utubi na toma, ki ma̱ma̱'a̱ngi ta'a pimi, enande ga̱mi woto wo yanman go, woto wu ra̱uga̱gi unbu ta'a, ta'a in tu ciga̱ ohorna n shenmen shihin.
280b1e0049	Enande cegema tumi nca to gome togo, aronga na̱mi ta'a a manren cewo.”
280c0100a8	N beka̱ni bire n hibi na a̱subi she Ayesu won to anyan shehwa she oalkama ato na moma'anga nonwan a hoge remonron a̱bire a̱ ri to harpaga resore re oalkama an korya
