0100000005	Dadaa
070615010d	Achiin duuba ergamaan Mootii Waan Maraa, qaccee ulee harka ifiititti qabateeruun foonii fi daabboo uukoo hin qanne san tuqe; ibiddi rassaa keessaa bobe'ee, foonii fi daabboo uukoo hin qanne san nyaatee fixe. Achiin duuba ergamaan Mootii Waan Maraa Giidewon biraa deeme.
07061600b9	Giidewon ergamaa Mootii Waan Maraa akka dhagge yennaa hubate, «Maalo'o, Gootta'a Mootii Waan Maraa, ani ergamaa keeti dura dhaabbadhee ila tiyyaan waan dhaggeef, naaf aanne'e!» jedhe.
070617005b	Mootiin Waan Maraa ammoo Giidewoniin, «Nageenni sii te'u! Hin sodaatin; hin duutu» jedhe.
07061800e8	Giidewon achitti Mootii Waan Maraatiif addee ciinca'aa ijaaree, «Mootiin Waan Maraa, Mootii Waan Maraa ka Nageyaa ti» jedhee moggaase. Addeen ciinca'aa sun haga adhaalle qachaa «Ofraa» jedhamu ka sanyii Abii'ezerii keessa jirti.
0706190100	Halkan san Mootiin Waan Maraa Giidewoniin, «Korommii abbaa keetiitii fi korommii dhibii ka woggaa torbaa fuudhi; addee ciinca'aa ta abbaan keeti Ba'aaliif ijaare diigiitii, utubaa waaqa dharaa ta, ‹Asheeraa› jedhantuu, ka cinaa san jiru butuchi jissi.
07061a00ec	Tuulaa bututa sanii irratti, Mootii Waan Maraa Waaqa keetiif addee ciinca'aa haala sirrii te'een ijaari; achiin duuba korma lammeesso'oo fuudhii qaliitii, qoraan utubaa Asheera'aa ka butuchitee jissite saniin, ciincaa dhikeessi» jedhe.
07061b00d9	Maarre Giidewon tajaajiltoota ifii keessaa nama kudhan fuudhee, akkuma Mootiin Waan Maraa isatti hime godhe. Inni guyya'aan tana godhiisaaf, maatii ifiitii fi worra qachaa sanii guddoo waan sodaateef, halkaniin godhe.
07061c00e7	Worri qachaa keessaa boruyyaa barii ganama yennaa ka'e, addeen ciinca'aa ta Ba'aalii diigantee, utubaan waaqa dharaa ta «Asheeraa» jedhantuu bututee, addee ciinca'aaf ijaarante irralle'etti, kormi lammeesso'oo ciinceffameeraayyu.
07061d008c	Isaan, «Tana ka godhe eennu?» jedhanee wol gagaafatane; guddoo qorqoraneen duuba tana ka godhe Giidewonii ilma Yo'aasii akka te'e beekane.
07061e00d7	Achiin duuba isaan Yo'aasiin, «Ilmi keeti addee ciinca'aa ta Ba'aalii diigee, utubaa waaqa dharaa ta, ‹Asheeraa› jedhantuu, ka addee ciinca'aa bira jiru waan butucheef, akka ijjeennuuf gad nuu baasi!» jedhane.
07061f0107	Yo'aas ammoo worra isa marsanee dhaabbataneeranu duudi'iin, «Isin Ba'aaliif falmitanii? Yookiin isaaf golii teetanii? Nami isaaf falmu duudiin boru ganama hin ijjeefama. Ba'aal waaqa yoo te'e, nama addee ciinca'aa butuchee jisse san inninuu falmatuu ti!» jedhe.
07062000d6	Tanaaf Giidewon addee ciinca'aa ta Ba'aalii butuchee waan jisseef, guyyaa sanii jalqabee, «Yiruub-Ba'aal» jedhamee waamame. Afaan Ibrootaatiin, «Yiruub-Ba'aal» jechuun, «Ba'aal ifumaafuu falmatuu ti» jechu'u.
07062100a6	Achiin duuba worri Miidiyaanii, worri Amaaleqiitii fi worri gara lafa baya adu'uu wolitti qabamee, laga Yordaanosii gamatti bu'ee, dhooqa Yizre'elii keessatti qubate.
0706220073	Ayyaanni Mootii Waan Maraa Giidewon irratti bu'e; innille sanyiin Abii'ezerii akka isa hordottuuf tultullaa afuufe.
07062300e0	Inni gosi Minaase'ee duudiin akka isa hordottuuf itti ergee waansise; inni ammalle gosa Asheeriititti, gosa Zebulooniitii fi gosa Niftaalemiititti erge; isaaniille Giidewonii fi namoota isaa woliin wol dhaggiisaaf ol bayane.
070624005e	Achiin duuba Giidewon Waaqaan, «Ati akkuma ani Israa'eloota harkuma kiyyaan baasuuf dubbatte,
07062500e4	kunoo ani rifeensa hoole'ee ka quxame eeddummee keessa hin keya; boru ganama latti marti goddee, rifeensa hoole'ee ka quxame san qofa irra fixeensi yoo jiraate, ati Israa'eloota harkuma kiyyaan akka baattu ani hin beeka» jedhe.
0706260098	Wonni kunille akkuma inni jedhe teete. Giidewon boruyyaa ganama ka'ee, rifeensa hoole'ee quxame san yennaa miice, bisaan qorii tokko guutu keessaa baye.
07062700c1	Achiin duuba Giidewon Waaqaan, «Ammalle gaaffii tokko si gaafadha, maganne'e natti hin aariin; rifeensi hoole'ee ka quxame sun gogee, lafa duudii irratti fixeensi akka itti bu'u godhi» jedhe.
0706280074	Halkan san Waaqi akkuma san godhe. Rifeensi hoole'ee ka quxame sun callaan gogee, lafa duudii irratti fixeensi bu'e.
07070100fa	Boruyyaa ganama Giidewon ka, «Yiruub-Ba'aal» jedhamee fi worri isa woliin jiru marti barii ganama ka'anee, madda Haarodii bira qubatane; worri Miidiyaanii ammoo, addee isaan qubatane irraa gara kaabaatitti, kooba Mooree bira dhooqa keessa qubatane.
07070200d3	Mootiin Waan Maraa Giidewoniin, «Worra Miidiyaanii harka isaaniititti dabarsee akka hin kennine, worri si woliin jiru heddu'u; Israa'elooti, ‹Hunnuma teennaan injifanne› jedhanee akka na irratti hin koorre,
07070300dd	‹Eennulle ka sodaatee sheephisu yoo jiraate, gaara Giil'aadii irraa ka'ee, gara mana ifii deebi'uu ti› jedhii lallabi» jedhe; tanaaf namooti kum diddamii lama gara manaa deebi'anee, namooti kum kudhan achitti hafane.
0707040128	Achiin duuba Mootiin Waan Maraa Giidewoniin, «Ammalle namooti si woliin jiranu akka malee heddu'u; isaan gara bisaanii gad geessi; anille achitti gargar siif hin fowa. Nami ani, ‹Inni si woliin deemuu ti› jedhu, deemuu ti; nami ani, ‹Inni si woliin hin deemin› jedhu, hin deemin» jedhe.
07070500a8	Giidewon namoota gara bisaanii geesse; Mootiin Waan Maraalle, «Nama akka sare'ee arraba ifiitiin bisaan laccisuu fi nama jilbiiffatee, bisaan unu gargar baasi» jedhe.
0707060065	Laakkossi worra ooboo harka ifiitiin bisaan unee dhibba sad; worri hafe marti ammoo jilbiiffatee une.
07070700e2	Mootiin Waan Maraa Giidewoniin, «Namoota dhibba sad, worra ooboo harka ifiitiin bisaan uneetiin, ani isin hin baasa; worra Miidiyaanii harka keessanitti dabarsee hin kenna; worri hafe marti gara mana ifii deebi'uu ti» jedhe.
07070800e5	Tanaaf Giidewon, galaa isaaniitii fi tultullaa isaanii irraa fuudhee gara mana isaanii isaan deebise; namoota dhibba sad san ammoo, ifi biratti hamburate; yennaa san worri Miidiyaanii isaaniin jala dhooqa keessatti qubateeraayyu.
070709008e	Halkanuma san Mootiin Waan Maraa Giidewoniin, «Ani worra Miidiyaanii harka keetitti dabarsee waan kennuuf, ka'iitii quttuma isaanii san loli.
07070a0052	Loliisa yoo sodaatte ammoo, tajaajilaa keeti Phuraa woliin gara quttumaa gad bu'i.
07070b00bf	Ati waan isaan jedhanu dhageetteen duuba, quttuma san loliisaaf jajjabeenna hin dhaggatta» jedhe. Achiin duuba Giidewon tajaajilaa ifii Phuraa woliin, gara qarqara quttuma sanii gad dhaqane.
07070c00e5	Worri Miidiyaanii, worri Amaaleqiitii fi kolbaan gara lafa baya adu'uu marti, akka heechaa awwaannisaa heddatanee, dhooqa keessa qubataneeraniiyyu; bacinni gaalota isaaniille akka maansa qarqara abbaaya'aa ka hin laakkowannee ti.
07070d00f5	Yennaa Giidewon achi geye, nami tokko oojjuu oojjate takka, jaala ifiititti himiisatti jiraayyu. Inni, «Ani oojju'uun daabboon garbu'uu gara quttuma keennaa konkolaattee, gara dunkaanaa dhuttee dhoottee garagalchite; dunkaaniille jidde» jedhe.
07070e00ea	Jaalli isaa deebisee, «Hiikkaan oojjuu tanaa shallaagaa Giidewonii ilma Yo'aasii nama Israa'elii ti malee, waan dhibi'itti hin hiikantu; Waaqi worra Miidiyaaniitii fi loltoota isaanii duudii harka isaatitti dabarsee kenneera» jedhe.
07070f00fd	Giidewon oojju'uu fi hiikkaa isi'ii yennaa dhage'e, jilbiiffatee Mootii Waan Maraatiif sagade. Achiin duuba gara quttuma Israa'elootaa deebi'ee, «Loltoota worra Miidiyaanii, Mootiin Waan Maraa harka keessanitti dabarsee waan kenneef, ka'a'a!» jedheen.
0707100089	Inni namoota dhibba sad san golii saditti qoodee, tultulla'aa fi okkotee duwwaa xassaa ifi keessaa qaddu, tokko tokkoo isaaniitiif kenne.
070711007e	Inni isaaniin, «Na ilaala'aatii, waan ani godhu godha'a; yennaa ani qarqara quttumaa gewu, akkuma ani godhu isinille godha'a.
07071200ae	Anii fi worri na woliin jiru tultullaa yennaa afuunnu, isinille adaala quttumaa maratti afuufaa, ‹Mootii Waan Maraatii fi Giidewoniif lola'a!› jedha'aatii iyya'a» jedhe.
07071300f2	Giidewonii fi namooti dhibbi tokko worri isa woliin jiru, halkan wodhakka'aan dura, worri eeddotaa ka halkan kutaa lammeesso'oo keessa eegu, jijjiiramaneen duuba dhufane; isaan tultullaa afuufanee, okkotoota harkatti qabataneeranu caccassane.
07071400d3	Maarre goliin sadiinuu tultullaa ifii afuuttee, okkotee san caccassitee, harka ifii bitaachatti xassaa, harka ifii middichatti tultullaa qabattee, «Mootii Waan Maraatii fi Giidewoniif hin lolla» jedhaa iyyite.
070715008c	Nami tokko tokkonuu adaala quttumaa maratti addee qabatee waan dhaabbateef, worri Miidiyaanii ka quttuma keessaa marti iyyaa iyyaa baqatane.
0707160150	Namooti Giidewonii dhibbi sadiin sun tultullaa ifii yennaa afuufane, Mootiin Waan Maraa loltooti Miidiyaanii shallaaga'aan akka wolitti ka'anu godhe; isaan shallaaga'aan wol lolanee, gara qachaa Zereera'aatitti fuula galane gara qachaa Bet-shitaahititti, achille'een haga meessaa qachaa Abeel-meholaa ka Xabaat bira jiruutitti baqatane.
070717007b	Israa'elootille gosa Niftaalemii, gosa Asheeriitii fi gosa Minaase'ee duudii keessaa waamamanee, worra Miidiyaanii ari'ane.
0707180131	Giidewon worra biyya koobittii Efreemii gubbaa le'u maratti namoota ergee, «Gara worra Miidiyaanii gad bu'a'aatii isaan lola'aatii, laga Yordaanosii haga Bet-baraatii adoo isaan hin qabatin dura qabadha'a» jedhe. Tanaaf namooti Efreemii marti waamamanee, laga Yordaanosii haga Bet-bara'aatitti qabatane.
070719016b	Isaan sooreyyii Miidiyaanii lamaan, Oreebii fi Ze'eeb booji'anee, Oreeb addee rassaa maqaa isaatiin, «Oreeb» jedhamee moggaafametti, Ze'eebille addee Cunfaa woyni'ii ta maqaa isaatiin, «Ze'eeb» jedhantee moggaafantetti ijjeesane; mataa Oreebiitii fi mataa Ze'eebii kutanee, gara Giidewonii, ka laga Yordaanosiitiin gama gara lafa baya adu'uu jirutti geessane.
07080100a6	Achiin duuba kolbaan Efreemii Giidewoniin, «Ati worra Miidiyaanii loliisaaf yennaa baate, maaf nu waamuu dhadde? Maaf akkas nu goote?» jedhanee guddoo isa komatane.
07080200bd	Inni ammoo isaaniin, «Ani ka huje irra, ka isin hujjane hin caaluu ree? Woxoon midhaan woyni'ii ka sanyiin Efreemii qocce, ka sanyiin Abii'ezerii qoccee galchite mara hin caalaa motii ree?
07080300d4	Waaqi sooreyyii gugurdoo worra Miidiyaanii lamaan, Oreebii fi Ze'eeb harka keessanitti dabarsee kenneera. Ani ammoo haga isin hujjane kana maan huje ree?» jedhe. Inni yennaa tana isaaniin jedhe, aarii caffatane.
0708040094	Giidewonii fi namooti dhibbi sad isa woliin jiranu, gara laga Yordaanosii dhufanee gamatti bu'ane; isaan dadhabanulle diinota ari'iisa hin lakkinne.
07080500db	Qachaa Suukootii yennaa geyane Giidewon namoota qachaa keessa jiranuun, «Namooti na gula yaa'anu kun dadhabaneeran; maganne'e sagalee kenna'aaf; anille mootota Miidiyaanii, Zeba'aa fi Zalmunaa ari'iisatti jira» jedhe.
070806008a	Qondaaltoti Suukootii ammoo, «Ati haga ammaa Zeba'aa fi Zalmunaa hin boojine, nuuti maaf sagalee loltoota keetiif kennina ree?» jedhane.
07080700ac	Maarre Giidewon, «Dansa'a! Mootiin Waan Maraa yennaa Zeba'aa fi Zalmunaa harka kiyyatti dabarsee kenne, qore'ee fi qumi'uuduu goomole'eetiin nafa keessan babbassa» jedhe.
070808009d	Achiin ka'ee Giidewon gara qachaa Pheeni'elii dhaqee, gaaffuma san isaan gaafate; namooti qachaa Pheeni'eliille deebuma kolbaan Suukootii deebitte deebisane.
070809008a	Maarre Giidewon kolbaa Pheeni'eliitiin, «Injifacha'aan yennaa deebi'u, xelleephoo qachaa keessan ittiin eegattanu tana hin diiga» jedhe.
07080a00f6	Yennaa san Zeba'aa fi Zalmunaan loltoota ifii woliin qachaa Qarqorii keessa jiraniiyyu. Loltooti kum dhibba tokkoo fi kum diddam waan ijjeefamaneef, loltoota kolbaa gara lafa baya adu'uu mara keessaa, loltoota gara kuma kudhanii shaniititti hafe.
07080b008b	Maarre Giidewon karaa worri hori'iin godaanu, ka Noba'aa fi Yogbehaa irraa gara baya adu'uu jiruu dhaqee, loltoota dedhuma jiranu san lole.
07080c008a	Moototi worra Miidiyaanii lamaanuu Zeba'aa fi Zalmunaan baqatane; Giidewon ammoo isaan ari'ee booji'e; loltoota isaaniille mara bararasse.
07080d004b	Giidewon ilmi Yo'aasii karaa Haaresitti dabaruun lola irraa yennaa deebi'e,
07080e00a2	namoota Suukootii keessaa dargaggeessa tokko qabee, qorqore; dargaggeessille maqaa qondaaltotaatii fi jaarsolee qachaa Suukootii torbaatamii fi torba barreesseef.
07080f0103	Achiin duuba Giidewon gara kolbaa qachaa Suukootii dhaqee, «Zeba'aa fi Zalmunaan ka isin marroo isaaniitiif, ‹Ati haga ammaa Zeba'aa fi Zalmunaa hin boojine, nuuti loltoota dadhaddeef maaf sagalee kennina ree?› jedhaa natti murgitanu, kunoo ti» jedheen.
0708100080	Saniin duuba inni, jaarsolee qachaa Suukootii fuudhee, qore'ee fi qumi'uudu'uun babbassee adabiisaan, kolbaa Suukootii barsiise.
070811005a	Inni xelleephoo qachaa Pheeni'eliille diigee, namoota qachaa san keessa jiranulle ijjeese.
07081200dc	Achiin duuba Giidewon Zeba'aa fi Zalmunaaniin, «Isin namoota attamii Taaboritti ijjeettane?» jedhee isaan gaafate. Isaan deebisanee, «Isaan si fakkaatan; tokko tokkoon isaaniituu ilmaan mooti'ii fakkaatan» jedhaneen.
07081300cf	Giidewon deebisee, «Isaan obboleeyyan tiyya, ilmaan haadha tiyyaa ti; dhugaa Mootii Waan Maraa ka jiraataa te'ee, adoo isin isaan ijjeesuu dhaddanee jiraattane, anille isin hin ijjeesuuyyu» isaaniin jedhe.
07081400a6	Achiin duuba inni Yeterii ilma ifii angafichaan, «Ka'iitii jara tana ijjeesi!» jedhe. Yeter ammoo mucaa diqqaa waan te'eef sodaatee, shallaagaa ifii hin buqqifanne.
07081500c9	Achiin duuba Zeba'aa fi Zalmunaan, «Jabeenni namaa haguma abbichaa ti; tanaaf atinuu ka'iitii nu ijjeesi» jennaan, Giidewon ka'ee isaan ijjeesee, meya seesaa ka morma gaala isaanii irra jiru fudhate.
07081600a2	Saniin duuba Israa'elooti Giidewoniin, «Harka worra Miidiyaanii jalaa waan nu baatteef, ati, ilmi keetii fi ilmi ilma keetii bulchitoota teenna te'a'a» jedhane.
070817007a	Giidewon deebisee, «Mootiin Waan Maraa isin bulchuu ti malee, ani isin hin bulchu; ilmi kiyyalle isin hin bulchu» jedhe.
07081800e2	Inni ammalle isaaniin, «Ani waan isin gaafadhu tokko qaba; tokko tokkoon keessan waan boojitane keessaa qubee worqi'ii ta gurraa naaf kenna'a» jedhe; qubee worqi'ii ta gurraa gurratti keyatiis aadaa worra Ishimaa'elootaa ti.
07081900b5	Isaanille deebisanee, «Gammadaan siif hin kennina» jedhanee, woyaa ifii lafatti afanee, tokko tokkoon isaaniituu waan booji'ane keessaa, qubee worqi'ii ta gurraa achi irra keyane.
07081a00e0	Qubeen worqi'ii ta gurraa ta Giidewon fudhate sun, seesa dhibii, seesa mormaa ka adda addaa, woyaa dhiillee moototi Miidiyaanii uffattu, akkasuma seesa morma gaalaatitti dirame adoo itti hin dabalin, gara kiiloo diddamaa ti.
07081b0102	Giidewon worqii san irraa woyaa hayyumma'aa ta qomaa hujee, qachaa ifii ka «Ofraa» jedhamu keessa keye. Israa'elooti martinuu Waaqaaf addatamuu dhabanee, woyaa hayyumma'aa ta qomaa san waaqonfatane; wonni kunille Giidewonii fi maatii isaatiif tiyyoo teete.
07081c00a1	Maarre worri Miidiyaanii worra Israa'elootaatiin injifatamane; deebi'aneelle mataa ol hin qabanne; bara Giidewonii keessa woggaa afurtama latti nageya dhaggatte.
07081d003a	Giidewon ilmi Yo'aasii gara mana ifii deebi'ee, achi le'e.
07081e003c	Inni niitota hedduu waan qabuuf, ilmaan torbaatama qabaayyu.
07081f0072	Gursumeettiin isaa ta Sheekem keessa leetu takkalle, ilma deetteef; innille maqaa isaa «Abiimelek» jedhee baase.
070820008e	Giidewon ilmi Yo'aasii guddatee dulloomee du'ee, qachaa Ofra'aa ka sanyii Abii'ezerii keessatti, addee awwaala abbaa ifii keessatti awwaalame.
070821008a	Akkuma Giidewon du'een, kolbaan Israa'elii Waaqaaf addatamuu dhaddee Ba'aal Waaqa dharaa waaqonfattee, Ba'aal-beriiti Waaqa ifii godhatte.
070822006d	Israa'elooti Mootii Waan Maraa Waaqa ifii, ka diinota adaala isaanii jiranu duudii jalaa isaan baase dedhane.
070823008d	Akkasuma isaan waan dansaa Giidewon ka «Yiruub-Ba'aal» jedhame, kolbaa Israa'eliitiif godhe maraaf, maatii isaatiif nama galataa hin teene.
070901006d	Ilmi Giidewonii Abiimelek gara qachaa Sheekemii, addee firri haadha isaa duudiin keessa le'u dhaqee, isaaniin
07090200ee	«Worra qachaa Sheekemii keessa le'u duudi'iin, ‹Ilmaan Giidewonii torbaatam marti, isin bulchitu woyya moo nami tokko callaan isin bulchu woyyaa?› jedha'aatii gaafadha'a. Ani dhiigaa fi foon keessan akka te'elle qaabadha'a» jedheen.
07090300a5	Firri haadha isaa marroo Abiimelekiitiif, namoota qachaa Sheekemiititti dubbatane; namooti Sheekemille, «Inni obboleessa» jedhanee, isa hordofiisaaf murteeffatane.
07090400ac	Isaan galma Ba'aal-beriitii keessaa, meetii torbaatama fuudhanee isaaf kennane; Abiimelekille namoota siyyaayye'ee fi boru-hinbeennee qaxaratee akka isa gula deemanu godhe.
07090500c8	Inni gara mana abbaa ifii ka qachaa Ofra'aa keessaa dhaqee, ilmaan Giidewonii, obboleeyyan ifii torbaatama dhakaa tokkocha irratti ijjeese; ilmi Giidewonii maandhichi Yotaam ammoo waan dhokateef hafe.
070906009d	Achiin duuba namooti Sheekemiitii fi Bet-Miilo'oo marti wolitti qabamanee, qilxaa Sheekem keessa ka utubaa dhaka'aa bira jirutti, Abiimelek mootii godhatane.
0709070087	Yotaam yennaa waan kana dhage'e, qaccee gaara Geriiziimiititti ol bayee, «Isin worra Sheekemii, na caqasa'a! Waaqille isin hin caqasa.
0709080088	Gaafa tokko mukooti wolitti qabamanee mootii ifi irratti moosifatiisaaf bayanee, muka ejersaatiin, ‹Nu irratti mootii te'i› jedhane.
070909008f	Muki ejersaa deebisee, ‹Isin bulchiisaaf jedhee, zayitii tiyya ta waaqotii fi namooti ulfinna ittiin dhaggatanu kennuu lakkisa ree?› jedhe.
07090a0056	Achiin duuba mukooti muka harru'uutiin, ‹Koyiitii nu irratti mootii te'i› jedhane.
07090b007a	Muki harru'uu ammoo deebisee, ‹Isin bulchiisaaf jedhee, midhaan mi'awa'aa fi dansaa kiyya buusuu lakkisaa ree?› jedhe.
07090c0058	«Achiin duuba mukooti muka woyni'iitiin, ‹Koyiitii nu irratti mootii te'i› jedhane.
07090d00a5	Muki woyni'ii ammoo deebisee, ‹Ani isin bulchiisaaf jedhee, midhaan kiyya ka daadhii woyni'iin te'ee waaqotaa fi namoota gammachiisu buusuu lakkisaa ree?› jedhe.
07090e0058	Maarre mukooti duudiin tusee qore'eetiin, ‹Koyiitii nu irratti mootii te'i› jedhane.
07090f00ef	Tuseen qore'eelle mukootaan, ‹Dhugumaan yoo mootii keessan na godhatiisa barbaaddane, kowa'aatii gaaddisa kiyya jalatti qubadha'a. Yoo tana hin godhin, ibiddi dameelee qore'ee tiyya keessaa bayee, hindheensa Libaanosii gubuu ti› jette.
07091000b8	«Tanaaf amma, Abiimelek yennaa mootii gootane qajeelumma'aa fi dhuga'aan yoo te'e, akkuma Giidewon isiniif godhe, isinille isaa fi maatii isaatiif waan dansaa yoo gootanee jiraattane,
0709110075	abbaan kiyya isiniif lolee, harka worra Miidiyaanii jalaa isin baasiisaaf, jiruu ifii dabarsee akka kenne qaabadha'a.
07091200db	Adha ammoo isin maatii abbaa kiyyaa irratti kaatanee, ilmaan isaa torbaatama dhakaa tokkocha irratti fixxanee, Abiimelek ka garbittii irraa dhalate obboleessa keessan waan te'eef, worra Sheekemii irratti mootii gootane.
070913009a	Amma yoona, wonni isin Giidewonii fi maatii isaatiif gootane, qajeelumma'aa fi dhuga'aan yoo teete, Abiimelekitti gammada'a; innille isinitti gammaduu ti.
07091400d7	Yoo tun hin te'in ammoo, Abiimelek irraa ibiddi ka'ee, worra Sheekemiitii fi worra Bet-Miilo'oo gubee fixuu ti; akkasuma ibiddi worra Sheekemiitii fi worra Bet-Miilo'oo irraa ka'ee, Abiimelek gubee fixuu ti» jedhe.
070915006f	Achiin duuba Yotaam obboleessa ifii Abiimelek waan sodaateef gara qachaa «Be'eer» jedhamuu baqatee achi le'e.
0709160030	Abiimelek haga woggaa sadii Israa'eloota bulche.
0709170082	Achiin duuba Waaqi, ayyaana hamaa ka Abiimelekii fi worra Sheekemii wolitti kaasu erge; worri Sheekemiille Abiimelek irratti ka'e.
07091800ce	Marroo dhiiga ilmaan Giidewonii torbaatamaa, ka dhangala'ee, Abiimelekii obboleeyyan ifii ijjeesee fi akka inni obboleeyyan ifii ijjeesu ka isa jajjabeesse, worra Sheekemii haluu bayiisaaf Waaqi tana godhe.
07091900c1	Tanaaf worri Sheekemii Abiimelek irratti ka'ee, qaccee gaaraa irratti namoota riphanee isa eeganu keyanee, namooti sun worra karaa san taru duudii saamane. Abiimelekille waan kana mara dhage'e.
07091a0080	Achiin duuba ilmi Ebeedii Ga'aal obboleeyyan ifii woliin gara qachaa Sheekemii dhufe; worri Sheekemiille isatti addii godhatane.
07091b00cd	Isaan duudiin gara fichaa woynii ifii dhaqanee, midhaan woyni'ii guuratanee daadhii woyni'ii cunfanee jila jilifatane. Achiin duuba isaan gara galma waaqa ifii seenanee nyaatanee unanee Abiimelek abaarane.
07091c00ea	Ilmi Ebeedii Ga'aal, «Nuuti worri sheekemii ka isa tajaajillu, Abiimelek eennu inni? Inni ilma Giidewonii, Zebulille ajajaan isaa gadii, namoota sanyii Hamoorii abbaa Sheekemii worra tajaajilanee motii? Nuuti maaf isa tajaajilla ree?
07091d009d	Kolbaa tana ka sooressu adoo na te'e Abiimelekiin, ‹Loltoota teeti mara waammadhuutii, bayii loli› jedhee, barcumaa isaa irraa isa hin buusaayyu» jedhe.
07091e0059	Zebul bulchaan qachaa sanii, waan ilmi Ebeedii Ga'aal jedhe yennaa dhage'e, aaree bobe'e.
07091f00b3	Inni Abiimelekii Arumaa keessa jirutti malaan namoota ergee, «Ilmi Ebeedi Ga'aalii fi obboleeyyan isaa gara qachaa Sheekemii dhufanee, namoota qacha'aa si irratti kakkaasaneeran;
070920005b	Tanaaf amma, atii fi loltooti teeti halkaniin baya'aatii, fichaa keessatti ripha'aa eega'a.
070921009b	Boru ganama yennaa aduun baatu, qachaa san ariiti'iin ilaala'a. Ga'aalii fi namooti isaa isin loliisaaf yennaa gad bayanu, haga dandeettane lola'a» jedhe.
0709220084	Maarre Abiimelekii fi loltootii isaa duudiin halkaniin ka'anee, golii afuritti qoodamanee, qachaa Sheekemii biratti riphanee eegane.
0709230092	Ilmi Ebeedii Ga'aal bayee, seensuma karra qacha'aa keessa dhaabbateeruun yennaa dhaggane, Abiimelekii fi loltooti isaa addee riphaneeranuu bayane.
07092400b6	Ga'aal yennaa isaan dhagge, Zebuliin, «Ilaal! Kolbaan qaccee gaaraa irraa gad bu'iisatti jirti» jedhe. Zebulille isaan, «Gaaddisa gaarota irraatitti kolbaa sitti fakkaate» jedhe.
0709250095	Ammalle Ga'aal, «Ilaal! Kolbaan hidha gaaraa irraa gad bu'iisatti jirti; goliin tokko ammoo, karaa qilxaa worra moruutiin dhufiisatti jirti» jedhe.
07092600c7	Achiin duuba Zebul isaan, «‹Akka isa tajaajilluuf Abiimelek eennu inni?› jettee ka ati bookkitte amma meet ree? Worri ati tuffatte isaan kanaa motii? Amma gad bayiitii isaan woliin loli» jedhe.
0709270049	Maarre Ga'aal worra Sheekemii sooressaa gad bayee, Abiimelek woliin lole.
070928007f	Abiimelek Ga'aal ari'e; Ga'aalille isa dura dheete; haga seensuma karra qacha'aa bira geyanutti worri hedduun madowanee jigane.
0709290079	Abiimelek Arumaa keessa le'e; Zebulille Ga'aalii fi obboleeyyan isaa qachaa Sheekemii keessa akka hin leene ari'ee baase.
07092a0054	Boruyyaa ganama worri Sheekemii gara fichaa ifii akka dhaqaaranu Abiimelek dhage'ee,
07092b00aa	loltoota ifii fudhatee, golii saditti qoodee, fichaa keessatti riphee isaan eege. Inni namooti qachaa keessaa bayaaranuun yennaa dhagge, addee riphee ka'ee isaan ijjeese.
07092c00e2	Abiimelekii fi goliin isa woliin jirtu, seensuma karra qacha'aa eegiisaaf ariifatanee bayanee balbala seensuma karra qacha'aa san dura dhaabbatane; goliin lama hattelle, namoota fichaa keessa jiranu maratti fiiganee ijjeesane.
07092d0099	Abiimelek guyyaa guutuu qachaa san lole; inni qachaa san qabatee; kolbaa qachaa san keessa jirtulle ijjeese; inni qachaa san diigee, soodda itti facaase.
07092e007b	Worri xelleephoo qachaa Sheekemii keessaa duudiin, yennaa waan kana dhage'ane, kushee galma Ba'aal-beriitii keessa seenane.
07092f003a	Abiimelekille akka isaan achitti wolitti qabamane dhage'e.
0709300114	Tanaaf inni loltoota isa woliin jirtu mara woliin gara gaara Zaalmonii ol bayee; agaraa fudhatee damee mukaa muree, gurmuu ifiititti kaafate. Achiin duuba worra isa gula deemuun, «Ariifadha'aatii waan ani godhuun dhaggitane, isinille ariifadha'aatii akkasuma godha'a» jedhe.
070931010a	Maarre nami marti damee mukaa muree, Abiimelek gula deeme; damee mukaa san kushe'etti irkisanee tuulanee, namooti adoo kushee san keessa jiranuu ibiddaan gubane; tanaaf worri xelleephoo Sheekemii keessa jiru duudiille, dhiirtii fi dubartooti gara kuma tokkoo du'ane.
070932004c	Achiin duuba Abiimelek gara qachaa Tebezii dhaqee, qachaa san marsee qabate.
07093300f2	Qachaa san keessa xelleephoon jadduun takka waan jirtuuf, worri qachaa sanii dhiirtii fi dubartiin marti, sooressitooti martinuu gara xelleephoo sanii baqatanee seenane; balbalalle gara keessaatiin ifitti cufatanee, xelleephoo irra ol bayane.
070934006b	Abiimelek adoo loluu xelleephoo san bira geyee, ibiddaan gubiisaaf gara seensuma xelleephoo sanii dhikaate.
070935006b	Dubartiin takka ammoo, ilmaachuu daaku'uu mataa Abiimelekiititti qolaansitee, buqqii mataa isaa buttuchite.
07093600f7	Yoosuma inni, dargaggeessa meya isaa ka woraanaa ba'ateeru waamee, «Akka kolbaan, ‹Dubartii takkatti isa ijjeese› akka naan hin jenne, shallaagaa keeti buqqifadhuutii na ijjeesi» jedheen. Tanaaf dargaggeessi shallaaga'aan hordee isa ijjeese.
0709370058	Israa'elooti Abiimelek akka du'e yennaa dhaggane, isaan martinuu gara mana ifii deemane.
