0100000006	Kinohi
0b0b20008f	Aka, ia ia no ka ohana hookahi no Davida ka'u kauwa, a no Ierusalema ke kulanakauhale a'u i koho ai mailoko mai o na ohana a pau o ka Iseraela:
0b0b210143	O No ka mea, ua haalele mai lakou ia'u, a ua hoomana ae ia Aseterota ke akua wahine o ko Sidona, ia Kemosa ke akua o ka Moaba, a ia Milekoma ke akua o na mamo a Amona, aole hoi i hele ma ko'u mau aoao, e hana i ka mea pono i ko'u mau maka, i ka malama i ko'u mau kanawai a me ko'u mau kapu, e like me Davida kona makuakane.
0b0b2200ec	Aole nae au e kaili honua ae i ke aupuni a pau mailoko ae o kona lima; aka, e hoomau auanei au i kona alii ana i na la a pau o kona ola ana, no Davida ka'u kauwa, a'u i koho ai no kona malama ana i ka'u mau kauoha a me ko'u mau kanawai.
0b0b230072	Aka, e kaili ae auanei au i ke aupuni mailoko ae o ka lima o kana keiki, a e haawi au ia ia oe, i na ohana he umi.
0b0b2400bd	A i kana keiki, hookahi ohana ka'u e haawi aku ai, i mau ai ke kukui no Davida ka'u kauwa, imua o ko'u alo ma Ierusalema, ke kulanakauhale a'u i koho ai no'u e waiho ai i ko'u inoa malaila.
0b0b25007b	A e lawe au ia oe, a e alii ae no oe mamuli o ka mea a pau a kou uhane e makemake ai, a e lilo no oe i alii no ka Iseraela.
0b0b26016c	Peneia auanei hoi, ina e hoolohe mai oe i ka mea a pau a'u e kauoha aku ai ia oe, a e hele hoi ma ko'u mau aoao, a hana hoi i ka mea pono i ko'u mau maka, i ka malama i ko'u mau kanawai, a me ka'u mau kauoha me Davida ka'u kauwa i hana'i; alaila owau pu auanei me oe, a e kukulu au i hale ku paa nou me ka'u i kukulu ai no Davida, a e haawi au i ka Iseraela ia oe.
0b0b27004f	No keia mea, e hookaumaha ai au i na mamo a Davida, aole hoi i na la a pau loa.
0b0b2800b0	A imi iho la o Solomona e pepehi ia Ieroboama; a ku ae la o Ieroboama iluna, a holo aku la i Aigupita io Sisaka la, ke alii o Aigupita, a noho ia ma Aigupita a make o Solomona.
0b0b290086	A o na hana e ae a Solomona, a me na mea a pau ana i hana'i, a me kona akamai, aole anei ia i kakauia ma ka buke o na hana a Solomona?
0b0b2a005f	A o na la i alii ai o Solomona ma Ierusalema maluna o ka Iseraela a pau he kanaha mau makahiki.
0b0b2b009c	A hiamoe iho la o Solomona me kona mau makua, a ua kanuia ma ke kulanakauhale o Davida kona makuakane, a alii ae la o Rehoboama kana keiki ma kona hakahaka.
0b0c010060	HELE aku la o Rehoboama i Sekema, no ka mea, ua hele ka Iseraela a pau i Sekema e hooalii ia ia.
0b0c0200bb	Eia hoi kekahi, a lohe mai la o Ieroboama ke keiki a Nebata e noho ana ia ma Aigupita, (no ka mea, ua holo aku la ia mai ke alo aku o Solomona a ke alii, a noho no Ieroboama ma Aigupita;)
0b0c030086	Hoouna aku la lakou a kii ia ia; a hele mai Ieroboama a me ke anaina a pau o ka Iseraela, a olelo aku la lakou ia Hehoboama, i aku la.
0b0c0400c3	Ua hookaumaha mai la kou makuakane i ka makou auamo; ano hoi e hoomama oe i ka hana ehaeha a kou makuakane, a me ka auamo kaumaha ana i kau mai ai maluna o makou, alaila e malama aku makou ia oe.
0b0c05006e	I mai la oia ia lakou, O hoi oukou i na la ekolu, alaila e hele hou mai io'u nei. Hoi aku la no hoi na kanaka.
0b0c0600c4	A kukakuka mai la o Rehoboama me na kanaka kahiko, ka poe i ku ma ke alo o Solomona kona makuakane, i kona wa e ola ana, ninau mai la, Pehea ia oukou e olelo mai ai e hai aku au i keia poe kanaka?
0b0c0700cd	Olelo aku la lakou ia ia, i aku la, Ina e hookahu oe no keia poe kanaka i keia la, a e malama ia lakou, a e hai aku ia lakou, me ka olelo i na huaolelo pono ia lakou, alaila lilo lakou i poe kauwa mau nau.
0b0c0800a2	Haalele ae la oia i ka olelo a ka poe kanaka kahiko, a lakou i haawi ai ia ia, a kukakuka mai la me na kanaka ui i nunui pu ae me ia, na mea i ku imua o kona alo:
0b0c0900d9	Olelo mai la hoi oia ia lakou, Heaha ka olelo a oukou e olelo mai ai, e hai aku ai kakou i keia poe kanaka, ka poe i olelo mai ia'u, i ka i aua mai, E hoomama oe i ka auamo a kou makuakane i kau mai ai maluna o makou?
0b0c0a0152	Olelo aku la hoi ia ia na kanaka ui i nunui pu ae me ia, i aku la, Penei oe e olelo aku ai i keia poe kanaka i olelo ae nei ia oe, i ka i ana'e, Ua hookaumaha mai la kou makuakane i ka makou auamo; aka, e hoomama mai oe ia mea ia makou; e olelo aku oe ia lakou peneia, E kela aku ka manoanoa o kuu limaiki i ko ka puhaka o ko'u makuakane.
0b0c0b00cb	Eia hoi ua hooili ka ko'u makuakane i ka auamo kaumaha maluna o oukou, o hoouka hou aku au ma ka oukou auamo; ua hahau ko'u makuakane ia oukou me na huipa, aka, e hahau aku au ia oukou me na moohueloawa.
0b0c0c00bb	Pela i hoi mai ai o Ieroboama a me ka poe kanaka a pau io Rehoboama la i ke kolu o ka la, e like me ka ke alii i hoomaopopo ai, i ka i ana mai, E hoi mai oukou io'u nei i ke kolu o ka la.
0b0c0d007a	Hai mai la ke alii i kanaka me ka oolea, a ua haalele aku i ka olelo a ka poe kanaka kahiko, a lakou i haawi aku ai ia ia;
0b0c0e0101	A olelo mai la hoi ia lakou mamuli o ka olelo a na kanaka ui, i mai la, Ua hookaumaha ko'u makuakane i ka oukou auamo, aka, e hoouka hou aku au ma ka oukou auamo; ua hahau ko'u makuakane ia oukou me na huipa, aka, e hahau aku wau ia oukou me na moohueloawa.
0b0c0f00b6	Aole hoi i hoolohe ke alii i kanaka, no ka mea, no ka Haku mai no ia, i hooko mai oia i kana olelo a Iehova i olelo mai ai ma ka lima o Ahiia no Silo, ia Ieroboama ke keiki a Nebata.
0b0c10014a	A ike ae la ka Iseraela a pau, i ka hoolohe ole mai o ke alii ia lakou, olelo aku la ka poe kanaka i ke alii, e i ana, Heaha ko makou kuleana iloko o Davida? aole hooilina iloko o ke keiki a Iese. I ko oukou mau halelewa, e ka Iseraela: ano hoi, e nana i kau ohana iho, e Davida. Pela i hoi ai ka Iseraela i ko lakou mau halelewa.
0b0c110069	A o na mamo a Iseraela e noho ana ma na kulanakauhale o Davida, ua alii ae la o Hehoboama maluna o lakou.
0b0c1200cc	Alaila hoouna ae la o Rehoboama ia Adorama, ka lunaauhau, a hailuku ka Iseraela a pau ia ia me na pohaku a make ia. Nolaila hele wikiwiki ae la o Rehoboama ke alii e ee ae i kona kaa, e holo i Ierusalema.
0b0c130040	Pela i kipi ai ka Iseraela i ka ohana a Davida a hiki i keia la.
0b0c1400e0	Eia kekahi, i ka lohe ana o ka Iseraela a pau, ua hoi mai o Ieroboama, kii aku la lakou ia ia e hele mai i ke anaina, a hooalii lakou ia ia maluna o ka Iseraela a pau. Aohe mea i hahai i ka ohana a Davida, o ka Iuda wale no.
0b0c15010b	A hoi mai o Rehoboama i Ierusalema, hoakoakoa mai la oia i ka ohana a pau a Iuda, a me ka ohana a Beniamina, hookahi haneri me kanawalu tausani kanaka i waeia, na kanaka kaua, e kaua aku i ka ohana a Iseraela e hoihoi mai i ke aupuni ia Rehoboama ke keiki a Solomona.
0b0c16004b	Aka, hiki mai ka olelo a ke Akua, ia Semaia, ke kanaka o ke Akua, i mai la,
0b0c17008c	E olelo aku ia Rehoboama ke keiki a Solomona, ke alii o Iuda, a i ka ohana a pau a Iuda, a me Beniamina, a me ke koena o na kanaka, e i aku,
0b0c180119	Ke i mai nei Iehova penei, Mai pii aku oukou, aole hoi e kaua aku i ko oukou poe hoahanau na mamo a Iseraela, e hoi kela kanaka keia kanaka i kona hale iho, no ka mea, no'u aku nei keia mea. Hoolohe aku la lakou i ka olelo a ka Haku, a huli lakou e hoi e like me ka olelo a Iehova.
0b0c190088	Alaila kukulu ae la o Ieroboama ia Sekema ma ka mauna Eperaima, a noho ae la malaila; a hele aku malaila aku, a kukulu ae la ia Penuela.
0b0c1a0058	I iho la o Ieroboama iloko o kona naau, Ano, e hoi aku ai ke aupuni i ka ohana a Davida.
0b0c1b00e8	Ina e pii ae keia poe kanaka e kaumaha ma ka hale o Iehova, ma Ierusalema, alaila e hoi ka naau o keia poe kanaka i ko lakou haku ia Rehoboama ke alii o Iuda, a e pepehi mai lakou ia'u, a e hoi hou aku ia Rehoboama i ke alii o Iuda.
0b0c1c00cc	Nolaila kuka iho la ke alii, a hana i na keikibipi gula elua, a i mai la oia ia lakou, He nui ko oukou hele ana i Ierusalema: Eia hoi kou mau akua, e Iseraela, i lawe mai ia oe mai ka aina mai o Aigupita.
0b0c1d004a	Kukulu ae la hoi oia i kekahi ma Betela, a waiho aku hoi i kekahi ma Dana.
0b0c1e0054	Lilo ae la keia mea i hewa, no ka mea, ua hele ae la na kanaka imua o kekahi i Dana.
0b0c1f0079	Hana iho la oia i hale no na wahi kiekie, a hoolilo ae la i kekahi mau makaainana i poe kahuna, aole o ko na mamo a Levi.
0b0c200135	Hana iho la hoi o Ieroboama i ka ahaaina i ka walu o ka malama i ka umikumamalima o ka la, e like me ka ahaaina maloko o Iuda, a kaumaha aku la maluna o ke kuahu. Pela oia i hana'i ma Betela, e kaumaha ana no na keikibipi ana i hana'i; a hoonoho aku la oia ma Betela i na kahuna o na wahi kiekie ana i hana'i.
0b0c210100	Pela oia i kaumaha ai ma ke kuahu ana i hana'i ma Betela i ka umikumamalima o ka la o ka walu o ka mahina, ana i noonoo ai ma kona naau; a ua hoomaopopo i ka ahaaina na ka poe mamo a Iseraela, a ua kaumaha aku la maluna o ke kuahu, a kuni hoi i ka mea ala.
0b0d010090	A IA hoi, hele ae la ke kanaka o ke Akua mailoko ae o Iuda ma ka olelo a Iehova, i Betela, e ku ana o Ieroboama ma ke kuahu e kuni i ka mea ala.
0b0d02013f	Kahea aku la oia i ke kuahu ma ka olelo a Iehova, i aku la, E ke kuahu, ke kuahu, ke i mai nei Iehova penei, Aia hoi, e hanau ana ke keiki na ka ohana a Davida, o Iosia kona inoa; a maluna iho ou e kaumaha ai oia i na kahuna pule o na wahi kiekie i kukuni i ka mea ala maluna ou, a e puhiia na iwi kanaka maluna iho ou.
0b0d03009c	A haawi ae la i ka hoailona ia la, i ae la, Eia ka hoailona a Iehova i olelo mai ai; Aia hoi, e naha ana ke kuahu, e helelei iho ka lehu, ka mea maluna ona.
0b0d04010d	Eia kekahi, i ka lohe ana o ke alii i ka olelo a ke kanaka o ke Akua, ka mea i kahea i ke kuahu, ma Betela, kikoo aku la o Ieroboama i kona lima mai ke kuahu aku, e i ana, E lalau ia ia. A maloo ae la kona lima ana i kikoo ai ia ia, aole hiki ia ia ke hoihoi ia ia iho.
0b0d050092	A ua naha ae la ke kuahu, a ua helelei iho ka lehu mai ke kuahu iho, e like me ka hoailona a ke kanaka o ke Akua i haawi ai, ma ka olelo a Iehova.
0b0d060110	Olelo mai la hoi ke alii, i mai la i ke kanaka o ke Akua, E nonoi aku oe i ka maka o Iehova kou Akua, a e pule aku no'u, i hoola hou ia mai ko'u lima no'u. A nonoi aku la ke kanaka o ke Akua ia Iehova, a ua hoola hou ia ko ke alii lima nona, a lilo hoi ia e like me mamua.
0b0d070088	Olelo mai la hoi ke alii i ke kanaka o ke Akua, E hele mai oe me au i ka hale, a e hooluolu ia oe iho, a e haawi aku au i ka makana nou.
0b0d0800b8	I aku la ua kanaka la o ke Akua i ke alii, Ina e haawi mai oe i ka hapalua o kou hale ia'u, aole au e komo me oe, aole hoi au e ai i ka berena, aole hoi au e inu i ka wai ma keia wahi.
0b0d0900a8	No ka mea, pela no i kauohaia mai ai au ma ka olelo a Iehova, i ka i ana mai, Mai ai i ka berena aole hoi e inu i ka wai, aole hoi e hoi mai ma ke ala ou i hele aku ai.
0b0d0a0058	Pela hoi i hele ai oia ma ke ala e, aole i hoi mai ma ke ala i hele aku ai oia i Betela.
0b0d0b00eb	E noho ana kekahi kaula kahiko ma Betela, a hele mai la kana mau keiki, a hai mai la ia ia i na hana a pau a ke kanaka o ke Akua i hana'i ia la ma Betela; o na olelo ana i olelo ai i ke alii, oia ka lakou i hai ai i ko lakou makuakane.
0b0d0c00ac	A olelo aku la ko lakou makuakane ia lakou, Ma ke ala hea i hele ai ia? Ua ike hoi kana mau keiki i ke ala i hele ai ke kanaka o ke Akua, i ka mea i hele mai, mai Iuda mai.
0b0d0d009d	I aku la hoi oia i kana mau keiki, E kau aku i ka noholio maluna o ka hoki no'u. Kau aku la hoi lakou i ka noho maluna o ka hoki nona, a holo oia maluna iho.
0b0d0e00c7	Hahai aku la oia mamuli o ke kanaka o ke Akua, a loaa oia ia ia e noho ana malalo ae o ka laau oka; a i aku la oia ia ia, O oe anei ke kanaka o ke Akua i hele mai mai Iuda mai? I mai la oia, Owau no.
0b0d0f0040	I aku la oia ia ia, E hele mai me au i ka hale e ai i ka berena.
0b0d100077	I mai la hoi oia, Aole e hiki ia'u ke hoi aku me oe, aole hoi au e ai i ka berena, aole hoi e inu i ka wai i keia wahi.
0b0d110098	No ka mea, ua oleloia mai ia'u ma ka olelo a Iehova, Mai ai i ka berena, aole hoi e inu i ka wai malaila, aole hoi e hoi mai ma ke ala ou e hele aku ai.
0b0d1200e7	Olelo aku la oia, He kaula no hoi au e like me oe, a ua olelo mai nei ka anela ia'u ma ka olelo a Iehova, i mai la, E hoihoi mai oe ia ia me oe iloko o kou hale e ai oia i ka berena, a inu hoi i ka wai. Hoopunipuni mai no ia ia ia.
0b0d13005a	Pela ia i hoi ai me ia, a ai iho la i ka berena maloko o kona hale, a ua inu hoi i ka wai.
0b0d14006d	Eia kekahi, i ko laua noho ana, i ka papaaina, hiki mai la ka olelo a Iehova i ke kaula nana ia i hoihoi mai.
0b0d1500db	A kahea aku la oia i ke kanaka o ke Akua i hele aku mai Iuda aku, i aku la, Ke i mai nei o Iehova penei, No ka mea, ua hookuli oe i ka waha o Iehova, aole oe i malama i ke kauoha a Iehova kou Akua i kauoha mai ai ia oe,
0b0d1600ce	Aka, ua hoi mai nei oe, a ua ai oe i ka berena, a ua inu hoi i ka wai ma keia wahi i olelo ai oia ia oe, Mai ai oe i ka berena, mai inu oe i ka wai; aole e hiki kou kupapau i ka halekupapau o kou mau makua.
0b0d1700a6	Eia hoi kekahi, mahope iho o kana ai ana i ka berena, a mahope iho o kona inu ana, kau aku la oia i ka noholio maluna o ka hoki nona, no ke kaula ana i hoihoi mai ai.
0b0d1800b9	A hele ae ia, halawai ka liona me ia, a pepehi mai la ia ia: a ua hooleiia kona kupapau ma ke alanui; a ku mai la ka hoki kokoke ia ia, a o ka liona kekahi i ku mai kokoke i ke kupapau.
0b0d1900c6	Aia hoi, maalo ae la na kanaka a ike ae la hoi i ke kupapau, i hooleiia i ke alanui, a e ku ana hoi ka liona kokoke i ke kupapau; a hele lakou a hai ma ke kulanakauhale i noho ai ke kaula elemakule.
0b0d1a0119	A i ka lohe ana o ke kaula nana ia i hoihoi ae mai ke ala ae, olelo ae la oia, O ke kanaka o ke Akua ia, ka mea i malama ole i ka olelo a Iehova; a ua haawi ae nei o Iehova ia ia i ka liona ka mea nana ia i uhae a i pepehi hoi, e like me ka olelo a Iehova ana i olelo mai ai ia ia.
0b0d1b007c	Kauoha ae la hoi oia i kana mau keiki, i ae la, E kau i ka noholio maluna o ka hoki no'u; kau aku la hoi lakou i ka noholio.
0b0d1c00b8	Holo aku la ia a loaa ia ia kona kupapau i hooleiia ma ke alanui, e ku ana no ka hoki a me ka liona kokoke i ke kupapau: aole i ai ka liona i ke kupapau, aole hoi i uhae aku i ka hoki.
0b0d1d00c4	Hapai ae la ke kaula i ke kupapau o ke kanaka o ke Akua, a kau aku la ia ia maluna o ka hoki, a hoihoi mai ia ia: a hoi mai hoi ke kaula elemakule i ke kulanakauhale, e uwe ae, a e kanu hoi ia ia.
0b0d1e0073	Hoomoe iho la oia i kona kupapau iloko o kona luakupapau iho, a uwe ae lakou ia ia, e olelo ana, Auwe kuu hoahanau!
0b0d1f00ec	Eia hoi kekahi, mahope iho o kona kanu ana ia ia, olelo ae la oia i kana mau keiki, i ae la, Aia make au, e kanu iho oukou ia'u maloko o ka halekupapau, kahi i kanuia'i ke kanaka o ke Akua, e waiho pu iho i ko'u mau iwi me kona mau iwi:
0b0d2000b4	No ka mea, o ka olelo ana i hea ku e aku ai i ke kuahu ma Betela ma ka olelo a Iehova, a i na hale a pau o na wahi kiekie maloko o na kulanakauhale o Samaria, e ko io auanei no ia.
0b0d2100e3	Mahope ae o keia mea, aole i huli ae o Ieroboama mai kona aoao hewa ae, aka, hoolilo ae la oia i na makaainana, i mau kahuna pule no na wahi kiekie; o ka mea makemake, oia kana i hoolaa ai, a lilo ia i kahuna no na wahi kiekie.
0b0d22006f	A lilo keia mea i hewa no ka ohana a Ieroboama, e oki aku ai, a e luku aku ai hoi ia mai ka ili o ka honua aku.
0b0e010034	I A manawa, mai iho la o Abiia ke keiki a Ieroboama.
0b0e020106	I ae la o Ieroboama i kana wahine, Ke noi aku nei au e ku ae oe iluna, a e hookamani wale ia oe iho i olo ai oe e ikeia o ka wahine a Ieroboama; a e hele aku i Silo: aia hoi malaila o Abiia ke kaula, ka mea i hai mai ia'u e alii ana au maluna o keia lahuikanaka.
0b0e0300a4	E lawe pu i kou lima i na papaa palaoa, a me na popo berena he umi, a me ka omole meli, a e hele aku io na la; a e hai mai oia ia oe i ka mea e loaa mai i ke keiki.
0b0e0400bf	Pela hoi i hana aku ai ka wahine a Ieroboama, ku ae la hoi ia iluna, a hele aku i Silo, a hiki i ka hale o Ahiia; aole nae i ike o Ahiia, no ka mea, ua paa kona mau maka i kona elemakule ana.
0b0e0500fd	I Mai la hoi o Iehova ia Ahiia, Aia hoi ke hele mai nei ka wahine a Ieroboama e ninau ia oe i kekahi mea no kana keiki; no ka mea, he mai no kona; penei, a penei hoi e olelo aku ai oe ia ia, no ka mea, eia keia, i kona komo aua'e e hana hoopunipuni oia.
0b0e0600f8	Eia keia, a i ka lohe ana o Ahiia i ke kamumu ana o kona mau wawae, i kona komo ana ma ka ipuka, i mai la oia, E komo mai oe, e ka wahine a Ieroboama, no ke aha la oe e hana hoopunipuni ai? no ka mea, ua hoounaia mai nei au ia oe me ka mea kaumaha.
0b0e0700d4	E hele oe, e olelo aku ia Ieroboama, Ke olelo mai nei o Iehova ke Akua o Iseraela, No ka mea, ua hookiekie aku au ia oe mai waena aku o na kanaka, a hoolilo hoi au ia oe i alii maluna o ko'u lahuikanaka Iseraela,
0b0e0800ff	A kaili ae hoi i ke aupuni mai ka ohana ae a Davida, a haawi hoi ia oe; aole hoi oe i hoohalike ae nei me Davida ka'u kauwa, ka mea i malama mai i ka'u mau kauoha, ka mea i hahai mai ia'u me kona naau a pau, e hana i ka mea wale no i pono i ko'u mau maka;
0b0e0900bd	Aka, pakela kau hana hewa ana mamua o ka na mea a pau mamua ou; a ua hele oe a hana i na akua e nou, a me na kii hooheheeia, e hoonaukiuki mai ia'u, a ua kiola mai oe ia'a i hope o kou kua.
0b0e0a0106	A e hoopopilikia au i ka ohana a Ieroboama, a e oki ae au i na kane mai o Ieroboama ae, a i ka mea paa a me ka mea paa ole iloko o ka Iseraela, a e lawe ae au i ke koena o ka ohana a Ieroboama, e like me ka lawe ana ae o ke kanaka i ke kipulu a pau loa ae la ia.
0b0e0b008d	O ka mea a Ieroboama e make iloko o ke kalanakauhale, oia ka na ilio e ai ai, a o ka mea e make ma ke kula, oia ka na manu o ka lewa e ai ai.
0b0e0c0061	E ku ae hoi oe, a e hele i kou hale, a komo kou mau wawae i ke kulanakauhale, e make no ke keiki.
0b0e0d00e4	A e uwe auanei ka Iseraela a pau nona, a e kanu hoi ia ia: no ka mea, oia wale no ka Ieroboama mea e hiki i ka luakupapau, no ka mea, iloko ona ua loaa'i ka mea pono ia Iehova ke Akua no ka Iseraela, iloko o ka hale o Ieroboama.
0b0e0e0084	A e hooku ae hoi o Iehova nona iho i alii maluna o ka Iseraela, nana e hooki i ka ohana a Ieroboama ia la: heaha la hoi? ina no ano.
0b0e0f012b	No ka mea, e hahau mai no Iehova i ka Iseraela, me he akaakai la i hooluliluiia iloko o ka wai, a e hehu ae oia i ka Iseraela mai loko ae o keia aina maikai ana i haawi mai ai i ko lakou mau makua, a e hoopuehu ae ma o aku o ka muliwai, no ka mea, ua hana lakou i na kii e hoonaukiuki ana ia Iehova.
0b0e100076	A e hookuu wale ae oia i ka Iseraela, no na hewa o Ieroboama, ka mea i lawehala, a i hoolilo i ka Iseraela e lawehala.
0b0e110076	A ku ae la ka wahine a Ieroboama, a hoi, a hele i Tireza; a hiki oia i ka paepae puka o ka hale, make iho la ke keiki.
0b0e120099	Kanu iho la hoi lakou ia ia: a uwe ae la ka Iseraela a pau ia ia, e like me ka Iehova olelo ana i olelo mai ai ma ka lima o kana kauwa, o Ahiia ke kaula.
0b0e13007b	A o na hana e ae a Ieroboama, o kona kaua ana, a o kona alii ana, ua kakauia ma ka buke o ka oihana a na lii o ka Iseraela.
0b0e14009b	A o na la i alii ai o Ieroboama, he iwakalua kumamalua mau makahiki: hiamoe iho la oia me kona mau makua, a alii ae la o Nadaba kana keiki i kona hakahaka.
0b0e15016e	Ua alii ae la o Rehoboama ke keiki a Solomona maloko o luda. He kanaha kumamakahi ko Rehoboama mau makahiki i ka wa i hoomaka ai i kona alii ana; a he umikumamahiku mau makahiki i alii ai oia iloko o Ierusalema, ke kulanakauhale a Iehova i koho ai iloko o na ohana a pau o ka Iseraela e waiho iho i kona inoa malaila. A o Naama ka inoa o kona makuwahine, o ka Amona.
0b0e1600ae	Hana hewa ae la ka Iuda, ma ke alo o Iehova, a hoonaukiuki ae la lakou ia ia, me ko lakou hewa a lakou i hoopakela ai imua o ka mea a pau a ko lakou mau makua i hana hewa ai.
0b0e1700a1	No ka mea, ua hana lakou no lakou iho i na wahi kiekie a me na kiiakua, a me na wahi hoomana maluna o na puu kiekie a pau, a malalo iho o na laau malumalu a pau.
0b0e18009d	A he poe moeaikane kekahi ma ka aina; a hana no lakou mamuli o na mea hoowahawahaia a pau o na lahuikanaka a Iehova i kiola aku ai imua o na mamo a Iseraela.
0b0e190077	Eia hoi kekahi i ka lima o ka makahiki o Rehoboama ke alii, hele ku e mai la ia Ierusalema o Sisaka ke alii o Aigupita.
0b0e1a00ae	Kaili ae la oia i na waiwai o ka hale o Iehova, a me ka waiwai o ko ke alii hale, ua pau ia i ka laweia e ia; a ua lawe pu aku hoi oia i na palekaua gula a Solomona i hana'i.
0b0e1b00a1	A ma ko lakou hakahaka, hana ae la o Rehoboama i na palekaua keleawe, a haawi ia mau mea i na lima o ka luna o ka poe koa e kiai ana i ka puka o ko ke alii hale.
0b0e1c0090	Eia Keia, i ke komo ana'e o ke alii i ka hale o Iehova, halihali aku na koa kiai ia mau mea, a hoihoi mai hoi ia iloko o ke keena o na koa kiai.
0b0e1d007f	A o na oihana e ae a Rehoboama, a me ka mea a pau ana i hana'i, aole anei ia i kakauia ma ka buke o na oihana a na alii o Iuda?
0b0e1e0046	He kaua no hoi iwaena o Rehoboama a me Ieroboama i na la a pau o laua.
0b0e1f00d5	Hiamoe iho la o Rehoboama me kona mau makua, a ua kanuia me kona mau makua maloko o ke kulanakauhale o Davida. A o Naama ka inoa o kona makuwahine, o ka Amona. A ua alii ae la o Abiama kana keiki ma kona hakahaka.
0b0f010065	I KA umikumamawalu o ka makahiki o Ieroboama ke keiki a Nebata, ua alii ae la o Abiama maluna o Iuda.
0b0f02006c	Ekolu makahiki i alii ai oia ma Ierusalema: a o Maaka ka inoa o kona makuwahine, ke kaikamahine a Abisaloma.
0b0f0300ab	Hele ae la hoi oia ma na hewa a pau o kona makuakane ana i hana'i mamua ona; aole hoi i hemolele kona naau ia Iehova kona Akua, e like me ka naau o Davida kona kupunakane.
0b0f040086	Aka, no Davida, haawi mai o Iehova kona Akua i kukui ia ia ma Ierusalema, e hooku i kana keiki mahope ona, a e hookupaa ia Ierusalema.
0b0f0500bd	No ka mea, ua hana iho la o Davida i ka mea pono i na maka o Iehova, aole ia i kapae i kekahi mea ana i kauoha mai ai ia ia i na la a pau o kona ola ana, koe wale no ka mea ia Uria ka Heti.
0b0f06004b	He kaua hoi iwaena o Rehoboama a me Ieroboama i na la a pau o kona ola ana.
0b0f0700a7	A o na oihana e ae a Abiama, a me ka mea a pau ana i hana'i, aole anei ia i kakauia ma ka buke o na oihana a na lii o Iuda. He kaua hoi iwaena o Abiama a me Ieroboama.
0b0f08009c	Hiamoe iho la hoi o Abiama me kona mau makua; a kanu ae la lakou ia ia iloko o ke kulanakauhale o Davida. A ua alii ae la o Asa kana keiki ma kona hakahaka.
0b0f090064	A i ka iwakalua o ka makahiki o Ieroboama ke alii o ka Iseraela, ua alii ae la o Asa, maluna o Iuda.
0b0f0a0080	Hookahi kanaha kumamakahi makahiki i alii ai oia ma Ierusalema; a o Maaka ka inoa o kona makuwahine, ke kaikamahine a Abisaloma.
0b0f0b0051	Hana iho la o Asa i ka mea pono i na maka o Iehova, e like me Davida kona kupuna.
0b0f0c0072	Lawe ae la hoi oia i na moeaikane, mai loko ae o ka aina, a hemo ia ia na kiiakua a pau a kona makuakane i hana'i.
0b0f0d00d8	A ua hookaawale ae la oia ia Maaka kona makuwahine i ole ai ia e alii wahine, no ka mea, ua hana oia i kiiakua ma kahi e hoomana'i. Hoopau ae la hoi o Asa i kona kiiakua; puhi ae la hoi oia ia ma ke kahawai Kederona.
0b0f0e0061	Aka, aole i hoopauia na wahi kiekie; he hemolele nae ka naau o Asa ia Iehova i kona mau la a pau.
0b0f0f0095	Lawe mai la hoi oia i na mea a kona kupuna i hoolaa ai, a me na mea ana i hoolaa ai iloko o ka hale o Iehova, i ke kala, i ke gula, a me na mea hana.
0b0f10004b	He kaua no hoi iwaena o Asa a me Baasa ke alii o ka Iseraela i na la a pau.
0b0f110090	Hele ae la o Baasa ke alii o ka Iseraela, a kukulu ae la ia Rama, i ole e ae oia i kekahi e puka aku a e komo mai paha io Asa la ke alii o Iuda.
0b0f12014d	Lalau iho la hoi o Asa i ke kala a me ke gula a pau e koe ana o ka waiwai o ka hale o Iehova a me ka waiwai o ka hale o ke alii, a haawi ae oia ia mau mea i ka lima o kana mau kauwa: a hoouna ae la o Asa ke alii ia lakou io Beneha-dada la ke keiki a Tiberimona, ke keiki a Heziona ke alii o Suria, e noho ana ma Damaseko, i ka i ana,
0b0f1300f5	He berita iwaena o kaua, a iwaena o ko'u makuakane a me kou makuakane: eia hoi ua hoouna aku nei au iou la i ka makana, he kala, a he gula; e hele mai oe e uhaki i kau olelo kuikahi me Baasa ke alii o ka Iseraela, i hele aku oia mai o'u aku nei.
0b0f1400ef	Hoolohe mai la o Benehadada ia Asa ke alii, a hoouna mai la oia i na luna o kona poe koa e ku e i na kulanakauhale o ka Iseraela, a pepehi iho la ia Iiona, a me Dana, a me Abelabetamaaka, a me Kinerota a pau, a me ka aina a pau o Napetali.
0b0f15006d	Eia hoi kekahi, i ka lohe ana ae o Baasa, haalele iho la oia i ke kukulu ana ia Rama, a noho no ia ma Tireza.
0b0f1600cc	Alaila kauoha mai la o Asa ke alii, ma Iuda a puni, aohe mea kaawale; a lawe ae la lakou i na pohaku o Rama, a me na laau ona; a, me ia mau mea i kukulu ai o Asa ke alii ia Geba ma Beniamina, a me Mizepa.
0b0f1700fe	A o na oihana e ae a pau a Asa, a me kona ikaika a pau, a me ka hana a pau ana i hana'i, a me na kulanakauhale ana i kukulu ai, aole anei i kakauia ma ka buke oihana a na alii o Iuda? Aka hoi, i ka wa i elemakule ai oia, he mai kona, ma kona mau kapuwai.
