0100000006	Mwanzo
0912010082	Baada ya Daudi kumaliza kuongea na Sauli, roho ya Yonathani ikaambatana na roho ya Daudi, naye akampenda kama nafsi yake mwenyewe.
0912020057	Kuanzia siku ile Sauli akamchukua Daudi naye hakumruhusu kurudi nyumbani mwa baba yake.
0912030050	Yonathani akafanya agano na Daudi kwa sababu alimpenda kama nafsi yake mwenyewe.
0912040090	Yonathani akavua joho alilokuwa amevaa na kumpa Daudi, pamoja na koti lake, silaha zake, hata pamoja na upanga wake, upinde wake na mshipi wake.
09120500a4	Lolote Sauli alilomtuma Daudi kufanya, alifanikiwa sana, hata Sauli akampa cheo cha juu katika jeshi. Jambo hili likawapendeza watu wote, hata maafisa wa Sauli pia.
09120600d3	Watu walipokuwa wanarudi nyumbani baada ya Daudi kumuua yule Mfilisti, wanawake wakaja kutoka pande zote za miji ya Israeli kumlaki Mfalme Sauli kwa kuimba na kucheza, kwa nyimbo za furaha na kwa matari na zeze.
091207005b	Walipokuwa wanacheza, wakaimba: “Sauli amewaua elfu zake, naye Daudi makumi elfu yake.”
09120800c6	Sauli akakasirika sana; sehemu hii ya kurudia rudia ya wimbo huu ilimkasirisha sana. Akafikiri kuwa, “Wamempa Daudi makumi elfu, lakini mimi wamenipa elfu tu. Apate nini zaidi isipokuwa ufalme?”
091209004a	Kuanzia wakati ule na kuendelea Sauli akawa na jicho la wivu juu ya Daudi.
09120a00cd	Kesho yake roho mbaya iliyoachiwa nafasi na Mungu ikaja kwa nguvu juu ya Sauli. Alikuwa akitabiri nyumbani mwake, wakati Daudi alikuwa akipiga kinubi, kama alivyozoea. Sauli alikuwa na mkuki mkononi mwake;
09120b007a	akautupa kwa nguvu, akijiambia mwenyewe, “Nitamchoma kwa mkuki abaki hapo ukutani.” Lakini Daudi akamkwepa mara mbili.
09120c0069	Sauli akamwogopa Daudi, kwa sababu Mwenyezi Mungu alikuwa pamoja na Daudi, lakini alikuwa amemwacha yeye.
09120d0090	Kwa hiyo Sauli akamwondoa Daudi mbele yake na kumpa kuwa kiongozi wa watu elfu moja, naye Daudi akatoka na kuingia akiongoza vikosi katika vita.
09120e006d	Katika kila kitu alichofanya, Daudi alipata mafanikio makubwa, kwa sababu Mwenyezi Mungu alikuwa pamoja naye.
09120f0038	Sauli alipoona jinsi alivyokuwa akifanikiwa, akamwogopa.
0912100064	Lakini Israeli wote na Yuda walimpenda Daudi, kwa sababu ndiye alikuwa akiwaongoza katika vita vyao.
091211010d	Sauli akamwambia Daudi, “Huyu hapa binti yangu mkubwa Merabu. Nitakupa umwoe, endapo tu utanitumikia kwa ushujaa na kupigana vita vya Mwenyezi Mungu.” Kwa maana Sauli alisema moyoni mwake, “Sitainua mkono wangu dhidi yake. Acha mkono wa Wafilisti uwe juu yake.”
0912120091	Lakini Daudi akamwambia Sauli, “Mimi ni nani, nayo jamaa yangu ni nini au ukoo wa baba yangu katika Israeli, kwamba mimi niwe mkwewe mfalme?”
0912130066	Basi ulipofika wakati wa Daudi kupewa Merabu, binti Sauli, huyo binti aliozwa kwa Adrieli, Mmeholathi.
0912140061	Basi Mikali binti Sauli alimpenda Daudi, nao walipomwambia Sauli kuhusu jambo hili, likampendeza.
09121500c9	Sauli akawaza, “Nitampa Daudi binti yangu, ili apate kuwa mtego kwake, ili mkono wa Wafilisti upate kuwa juu yake.” Hivyo Sauli akamwambia Daudi, “Sasa unayo nafasi ya pili ya kuwa mkwe wangu.”
09121600c7	Ndipo Sauli akawaagiza watumishi wake, akisema, “Zungumzeni na Daudi kwa siri na kumwambia, ‘Tazama, mfalme amependezwa nawe, nao watumishi wake wote wanakupenda. Basi na uwe mkwewe mfalme.’”
09121700af	Watumishi wa Sauli wakarudia hayo maneno kwa Daudi. Lakini Daudi akasema, “Je, mnafikiri ni jambo dogo kuwa mkwewe mfalme? Mimi ni mtu maskini tu, na nisiyejulikana sana.”
0912180037	Watumishi wa Sauli walipomweleza vile Daudi alivyosema,
09121900e5	Sauli akajibu, “Mwambieni Daudi, ‘Mfalme hataki zawadi nyingine kuwa mahari, isipokuwa magovi mia moja ya Wafilisti, ili kulipiza kisasi juu ya adui zake.’” Mawazo ya Sauli yalikuwa Daudi akaanguke mikononi mwa Wafilisti.
09121a0070	Watumishi walipomwambia Daudi mambo haya, ikampendeza kuwa mkwewe mfalme. Basi kabla siku iliyopangwa haijafika,
09121b00c3	Daudi na watu wake walitoka na kuwaua Wafilisti mia mbili. Akayaleta magovi yao na kupeleka hesabu kamilifu kwa mfalme, ili apate kuwa mkwewe mfalme. Ndipo Sauli akamwoza Daudi Mikali binti yake.
09121c006a	Sauli alipotambua kuwa Mwenyezi Mungu alikuwa pamoja na Daudi na kwamba Mikali binti yake anampenda Daudi,
09121d005a	Sauli akazidi kumwogopa Daudi, naye Sauli akabaki kuwa adui yake siku zote za maisha yake.
09121e00c1	Majemadari wa jeshi la Wafilisti waliendelea kupigana vita na kadiri walivyoendelea kupigana, Daudi akazidi kutenda kwa hekima kuliko maafisa wengine wa Sauli, nalo jina lake likajulikana sana.
091301007d	Sauli akamwambia mwanawe Yonathani na watumishi wake wote wamuue Daudi. Lakini Yonathani mwana wa Sauli alimpenda sana Daudi.
091302008e	Yonathani akamwonya Daudi, akisema, “Baba yangu Sauli anatafuta nafasi ya kukuua. Ujilinde kesho asubuhi, nenda mahali pa siri na ukae huko.
0913030077	Nitatoka na kukaa na baba yangu shambani mahali uliko. Nitazungumza naye juu yako, nami nitakueleza nitakachogundua.”
09130400b0	Yonathani akanena mema kuhusu Daudi kwa Sauli baba yake na kumwambia, “Mfalme asitende mabaya kwa mtumishi wake Daudi; hajakukosea, aliyoyafanya yamekuwa ya faida sana kwako.
09130500e9	Alihatarisha maisha yake alipomuua yule Mfilisti. Mwenyezi Mungu akajipatia ushindi mkubwa kwa ajili ya Israeli wote, nawe uliuona na ukafurahi. Kwa nini basi utende mabaya kwa mtu asiye na hatia kama Daudi kwa kumuua bila sababu?”
0913060066	Sauli akamsikiliza Yonathani na kuapa hivi: “Hakika kama Mwenyezi Mungu aishivyo, Daudi hatauawa.”
091307007d	Basi Yonathani akamwita Daudi na kumweleza mazungumzo yote. Akamleta kwa Sauli, naye Daudi akawa pamoja na Sauli kama kwanza.
0913080078	Vita vilitokea tena, naye Daudi akatoka na kupigana na Wafilisti. Akawapiga kwa nguvu nyingi hata wakakimbia mbele yake.
09130900ae	Lakini roho mbaya iliyoachiwa nafasi na Mwenyezi Mungu ikaja juu ya Sauli alipokuwa ameketi katika nyumba yake akiwa na mkuki mkononi mwake. Daudi alipokuwa anampigia kinubi,
09130a009f	Sauli akajaribu kumchomea Daudi ukutani kwa huo mkuki wake, lakini Daudi akauhepa huo mkuki wa Sauli ukakita ukutani. Usiku ule ule Daudi akakimbia na kuokoka.
09130b00bb	Sauli akatuma watu nyumbani mwa Daudi wailinde hiyo nyumba na kumuua asubuhi. Lakini Mikali, mkewe Daudi, akamwonya akisema, “Usipokimbia kuokoa maisha yako usiku huu, kesho utauawa.”
09130c004c	Basi Mikali akamteremsha Daudi kupitia dirishani, naye akakimbia na kuokoka.
09130d006f	Kisha Mikali akachukua kinyago, akakilaza kitandani, akakifunika kwa vazi na kukiwekea singa za mbuzi kichwani.
09130e004c	Sauli alipotuma watu kumkamata Daudi, Mikali akasema, “Yeye ni mgonjwa.”
09130f0079	Kisha Sauli akatuma watu tena kumwona Daudi naye akawaambia, “Mleteni kwangu juu ya kitanda chake ili nipate kumuua.”
0913100075	Lakini wale watu walipoingia, kumbe ni kinyago tu kilichokuwa kitandani, na kwenye kichwa kulikuwa na singa za mbuzi.
09131100ca	Sauli akamwambia Mikali, “Kwa nini umenidanganya mimi hivi na kumwacha adui yangu aende zake ili apate kuokoka?” Mikali akamwambia, “Yeye aliniambia, ‘Niache niende zangu. Kwa nini nikuue?’”
091312009f	Daudi alipokuwa amekimbia na kuokoka, alimwendea Samweli huko Rama na kumwambia yale yote Sauli alimfanyia. Ndipo Daudi na Samweli wakaenda Nayothi kukaa huko.
0913130043	Habari zikamfikia Sauli kusema: “Daudi yuko Nayothi huko Rama.”
09131400dd	Basi Sauli akatuma watu kumkamata Daudi, lakini walipoona kundi la manabii wakitoa unabii, wakiwa pamoja na Samweli akiwa amesimama hapo kama kiongozi wao, Roho wa Mungu akaja juu ya watu wa Sauli, nao pia wakatoa unabii.
0913150089	Sauli akaelezwa hilo, naye akapeleka watu wengine zaidi, nao wakatoa unabii pia. Sauli akatuma watu mara ya tatu, nao pia wakatoa unabii.
09131600c5	Mwishowe, yeye mwenyewe akaondoka kwenda Rama na kwenda hadi kwenye kile kisima kikubwa kilichoko huko Seku. Naye akauliza, “Wako wapi Samweli na Daudi?” Wakasema, “Wako Nayothi huko Rama.”
091317008e	Hivyo Sauli akaenda Nayothi huko Rama. Lakini Roho wa Mungu akaja juu yake hata yeye, akawa anatembea huku anatoa unabii hadi akafika Nayothi.
09131800b9	Akavua majoho yake na pia akatoa unabii mbele ya Samweli. Akalala hali hiyo ule mchana kutwa na usiku kucha. Hii ndiyo sababu watu husema, “Je, Sauli pia yumo miongoni mwa manabii?”
09140100c4	Kisha Daudi akakimbia kutoka Nayothi huko Rama akamwendea Yonathani na kumuuliza, “Kwani nimefanya nini? Kosa langu ni nini? Nimemkosea baba yako kwa jinsi gani, hata kwamba anajaribu kuniua?”
09140200a4	Yonathani akajibu, “La hasha! Hutakufa! Tazama, baba yangu hafanyi kitu chochote, kikubwa au kidogo, bila kuniambia mimi. Kwa nini anifiche hili? Sivyo ilivyo!”
091403011b	Lakini Daudi akaapa na kusema, “Baba yako anajua kabisa kwamba nimepata kibali mbele yako, naye amesema moyoni mwake, ‘Yonathani sharti asilijue hili, la sivyo atahuzunika.’ Lakini hakika kama Mwenyezi Mungu aishivyo na kama uishivyo, kuna hatua moja tu kati yangu na mauti.”
091404004c	Yonathani akamwambia Daudi, “Chochote unachotaka nifanye, nitakufanyia.”
09140500b8	Basi Daudi akamwambia Yonathani, “Angalia, kesho ni sikukuu ya Mwezi Mwandamo, nami inanipasa kula chakula pamoja na mfalme; lakini niache niende kujificha shambani hadi kesho kutwa.
09140600bf	Kama baba yako akiona ya kuwa sipo, mwambie, ‘Daudi aliniomba sana ruhusa kuwahi Bethlehemu, mji wake wa nyumbani, kwa sababu dhabihu ya mwaka inafanywa huko kwa ajili ya ukoo wake wote.’
0914070083	Akisema, ‘Ni vyema sana,’ basi mtumishi wako yu salama. Lakini akikasirika, unaweza kuwa na hakika kwamba anakusudia kunidhuru.
09140800b5	Kwako wewe, mtende wema mtumishi wako, kwa sababu mmeingia kwenye agano naye mbele za Mwenyezi Mungu. Nikiwa na hatia, basi niue wewe mwenyewe! Kwa nini unikabidhi kwa baba yako?”
0914090085	Yonathani akasema, “La hasha! Kama ningekuwa na kidokezo kidogo kwamba baba yangu amekusudia kukudhuru wewe, je, nisingekuambia?”
09140a005d	Daudi akamuuliza Yonathani, “Je, nani atakayeniambia kama baba yako atakujibu kwa ukali?”
09140b004d	Yonathani akamwambia, “Njoo, twende shambani.” Basi wakaenda huko pamoja.
09140c00f3	Kisha Yonathani akamwambia Daudi, “Ninakuahidi kwa jina la Mwenyezi Mungu, Mungu wa Israeli, hakika nitamchunguza baba yangu wakati kama huu kesho kutwa! Kama ameweka utaratibu wa kufaa kukuhusu wewe, je, sitakutumia ujumbe na kukufahamisha?
09140d00ca	Lakini ikiwa baba yangu amenuia kukudhuru, Mwenyezi Mungu na aniadhibu vikali zaidi iwapo sitakufahamisha na kukuaga uende salama. Mwenyezi Mungu na awe pamoja nawe kama alivyokuwa pamoja na baba yangu.
09140e0068	Lakini nitendee wema usiokoma kama ule wa Mwenyezi Mungu siku zote za maisha yangu, ili nisije nikauawa,
09140f0098	wala usiuondoe wema wako kwa jamaa yangu, hata kama ni wakati ule Mwenyezi Mungu atakapokuwa amekatilia mbali kila adui wa Daudi kutoka uso wa dunia.”
091410006d	Basi Yonathani akafanya agano na nyumba ya Daudi, akisema: “Mwenyezi Mungu na awaangamize adui za Daudi.”
0914110087	Naye Yonathani akamtaka Daudi athibitishe tena kiapo chake cha kumpenda, kwa sababu Yonathani alimpenda Daudi kama nafsi yake mwenyewe.
0914120084	Kisha Yonathani akamwambia Daudi, “Kesho ni sikukuu ya Mwezi Mwandamo. Itajulikana kwamba haupo kwa kuwa kiti chako kitakuwa wazi.
0914130081	Kesho kutwa, inapokaribia jioni, nenda mahali pale ulipojificha wakati tatizo hili lilipoanza na usubiri karibu na jiwe la Ezeli.
0914140049	Nitapiga mishale mitatu kando yake, kana kwamba nilienda kulenga shabaha.
09141500e2	Kisha nitamtuma mvulana na kumwambia, ‘Nenda ukaitafute mishale.’ Nikimwambia, ‘Tazama mishale iko upande huu wako! Uilete hapa,’ basi uje, kwa sababu hakika kama Mwenyezi Mungu aishivyo, wewe ni salama, hakuna hatari.
0914160091	Lakini nikimwambia huyo mvulana, ‘Angalia, mishale iko mbele yako,’ basi inakupasa uondoke, kwa sababu Mwenyezi Mungu amekuruhusu uende zako.
0914170070	Kuhusu yale tuliyozungumza wewe na mimi: kumbuka, Mwenyezi Mungu ndiye shahidi kati yako wewe na mimi milele.”
0914180060	Basi Daudi akajificha shambani, na sikukuu ya Mwezi Mwandamo ilipowadia, mfalme akaketi ili ale.
0914190099	Akaketi mahali pake pa kawaida karibu na ukuta, kuelekeana na Yonathani, naye Abneri akaketi karibu na Mfalme Sauli, lakini kiti cha Daudi kilikuwa wazi.
09141a00a8	Sauli hakusema chochote siku ile kwa kuwa alifikiri, “Kuna kitu cha lazima kimetokea kwa Daudi ambacho kimemfanya najisi asihudhurie karamu; hakika yeye yu najisi.”
09141b00b8	Lakini siku iliyofuata, siku ya pili ya mwezi, kiti cha Daudi kilikuwa wazi tena. Kisha Sauli akamwambia mwanawe Yonathani, “Kwa nini mwana wa Yese hajaja chakulani jana wala leo?”
09141c004a	Yonathani akamjibu, “Daudi alinisihi sana nimpe ruhusa aende Bethlehemu.
09141d00e1	Alisema, ‘Niruhusu niende, kwa sababu jamaa yetu wana dhabihu mjini, na ndugu yangu ameniagiza niwepo huko. Kama nimepata kibali mbele yako, niruhusu niende kuona ndugu zangu.’ Hii ndiyo sababu hakuja mezani pa mfalme.”
09141e00ce	Hasira ya Sauli ikawaka dhidi ya Yonathani na kumwambia, “Wewe mwana wa mwanamke mkaidi na mwasi! Je, sijui kuwa umekuwa upande wa mwana wa Yese kwa aibu yako mwenyewe na kwa aibu ya mama yako aliyekuzaa?
09141f0092	Maadamu mwana wa Yese angali anaishi katika dunia hii wewe wala ufalme wako hautasimama. Sasa tuma aitwe umlete kwangu, kwa kuwa ni lazima afe!”
091420004a	Yonathani akamuuliza baba yake, “Kwa nini auawe? Kwani amefanya nini?”
091421008b	Lakini Sauli akamtupia Yonathani mkuki wake kwa nguvu ili amuue. Hapo ndipo Yonathani alipotambua kwamba baba yake alikusudia kumuua Daudi.
09142200ba	Yonathani akainuka kutoka mezani kwa hasira kali. Siku ile ya pili ya mwezi hakula chakula, kwa kuwa alikuwa amehuzunishwa na vitendo vya aibu ambavyo baba yake alikuwa anamtendea Daudi.
0914230065	Kesho yake asubuhi Yonathani alienda shambani kukutana na Daudi. Alikuwa amefuatana na mvulana mdogo,
091424008f	naye Yonathani akamwambia yule mvulana, “Kimbia ukatafute mishale nitakayorusha.” Mvulana alipokuwa akikimbia, akarusha mishale mbele yake.
0914250080	Yule mvulana alipofika mahali pale mshale wa Yonathani ulikuwa umeanguka, Yonathani akamwita, “Je, mshale hauko mbele yako?”
0914260077	Yonathani akampigia kelele, “Harakisha, nenda haraka! Usisimame!” Mvulana akaokota mshale na kurudi kwa bwana wake.
0914270051	(Mvulana hakujua chochote kuhusu hayo yote; Yonathani na Daudi tu ndio waliojua.)
091428005a	Basi Yonathani akampa yule mvulana silaha zake na kumwambia, “Nenda, zirudishe mjini.”
09142900c9	Baada ya mvulana kwenda, Daudi akainuka kutoka upande wa kusini wa lile jiwe, naye akasujudu mara tatu mbele ya Yonathani. Kisha kila mmoja akambusu mwenzake, wakalia pamoja. Lakini Daudi akalia zaidi.
09142a0120	Yonathani akamwambia Daudi, “Nenda kwa amani, kwa kuwa tumeapiana kiapo cha urafiki kati yetu kwa jina la Mwenyezi Mungu, tukisema, ‘Mwenyezi Mungu ndiye shahidi kati yako na mimi, na kati ya wazao wako na wazao wangu milele.’” Kisha Daudi akaondoka, naye Yonathani akarudi mjini.
091501009f	Daudi akaenda Nobu, kwa Ahimeleki kuhani. Ahimeleki akatetemeka alipokutana naye, akamuuliza, “Kwa nini uko peke yako? Kwa nini hukufuatana na mtu yeyote?”
09150200ec	Daudi akamjibu Ahimeleki kuhani, akisema, “Mfalme ameniagiza shughuli fulani na kuniambia, ‘Mtu yeyote asijue chochote kuhusu kazi niliyokutuma kuifanya, wala maagizo niliyokupa!’ Kuhusu watu wangu, nimewaambia mahali pa kukutana.
0915030054	Sasa basi, una nini mkononi? Nipatie mikate mitano au chochote unachoweza kupata.”
091504009c	Lakini kuhani akamjibu Daudi, “Sina mkate wowote wa kawaida kwa sasa. Hata hivyo, ipo hapa mikate iliyowekwa wakfu, iwapo watu wamejitenga na wanawake.”
0915050100	Daudi akajibu, “Hakika tumejitenga na wanawake kwa siku hizi chache kama kawaida ya ninapotoka kwenda kwenye shughuli. Navyo vyombo vya wale vijana huwa ni vitakatifu hata kwenye safari ya kawaida, si zaidi sana leo vyombo vyao vitakuwa ni vitakatifu?”
09150600e0	Hivyo kuhani akampa ile mikate iliyowekwa wakfu, kwa kuwa hapakuwa na mikate mingine isipokuwa hiyo ya Wonesho, iliyokuwa imeondolewa hapo mbele za Mwenyezi Mungu na kubadilishwa na mingine yenye moto siku ile ilipoondolewa.
0915070094	Basi siku hiyo palikuwepo mmoja wa watumishi wa Sauli, aliyezuiliwa mbele za Mwenyezi Mungu; alikuwa Doegi Mwedomu, kiongozi wa wachungaji wa Sauli.
091508009e	Daudi akamuuliza Ahimeleki, “Je, unao mkuki au upanga hapa? Sikuleta upanga wala silaha nyingine yoyote, kwa sababu shughuli ya mfalme ilikuwa ya haraka.”
0915090111	Kuhani akajibu, “Upanga wa Goliathi Mfilisti, ambaye ulimuua katika Bonde la Ela, upo hapa, umefungwa katika kitambaa nyuma ya kizibau. Kama unauhitaji, uchukue, hakuna upanga mwingine hapa ila huo tu.” Daudi akasema, “Hakuna upanga mwingine kama huo. Nipatie huo.”
09150a0045	Siku ile Daudi akamkimbia Sauli na kwenda kwa Akishi mfalme wa Gathi.
09150b00d3	Nao watumishi wa Akishi wakamwambia, “Je, huyu si ndiye Daudi mfalme wa nchi? Je, huyu si ndiye yule ambaye wanaimba katika ngoma zao wakisema: “‘Sauli amewaua elfu zake, naye Daudi makumi elfu yake’?”
09150c004f	Daudi akayaweka maneno haya moyoni naye akamwogopa sana Akishi mfalme wa Gathi.
09150d00bd	Basi akajifanya mwendawazimu mbele yao; naye alipokuwa mikononi mwao, alitenda kama kichaa, akikwaruza kwa kutia alama juu ya milango ya lango, na kuachia mate kutiririka kwenye ndevu zake.
09150e005d	Akishi akawaambia watumishi wake, “Tazameni mtu huyu! Ana wazimu! Kwa nini mnamleta kwangu?
09150f00a6	Je, mimi nimepungukiwa na wenda wazimu kiasi kwamba mmeniletea mtu huyo hapa aendelee kufanya hivi mbele yangu? Je, ilikuwa ni lazima mtu huyo aje nyumbani mwangu?”
0916010091	Daudi akaondoka Gathi na kukimbilia kwenye pango la Adulamu. Ndugu zake na watu wa nyumba ya baba yake waliposikia habari hiyo, wakamwendea huko.
09160200a7	Wale wote waliokuwa katika dhiki au waliokuwa na madeni au wale ambao hawakuridhika wakamkusanyikia Daudi, naye akawa kiongozi wao. Watu wapatao mia nne walikuwa naye.
09160300b3	Kutoka huko Daudi akaenda Mispa iliyoko Moabu na kumwambia mfalme wa Moabu, “Naomba uwaruhusu baba yangu na mama yangu waje kukaa nawe hadi nijue nini Mungu atakachonifanyia.”
091604006d	Hivyo akawaacha wazazi wake wakae na mfalme wa Moabu, nao wakakaa naye muda wote ambao Daudi alikuwa ngomeni.
091605008c	Ndipo nabii Gadi akamwambia Daudi, “Usikae ngomeni. Nenda katika nchi ya Yuda.” Hivyo Daudi akaondoka na kwenda katika msitu wa Herethi.
09160600c9	Basi Sauli akasikia kwamba Daudi na watu wake wameonekana. Sauli akiwa na mkuki mkononi, alikuwa ameketi chini ya mti wa mkwaju kwenye kilima huko Gibea, maafisa wake wote wakiwa wamesimama kumzunguka.
09160700c1	Sauli akawaambia, “Sikilizeni enyi Wabenyamini! Je, mwana wa Yese atawapa ninyi nyote mashamba na mashamba ya mizabibu? Je, atawafanya ninyi nyote majemadari wa maelfu na majemadari wa mamia?
091608011f	Je, ndiyo sababu ninyi mkapanga hila mbaya dhidi yangu? Hakuna hata mmoja wenu ambaye ameniambia ni lini mwanangu alifanya agano na mwana wa Yese. Hapana hata mmoja wenu anayejishughulisha nami wala anayeniambia kwamba mwanangu amechochea mtumishi wangu kunivizia, kama afanyavyo leo.”
0916090092	Lakini Doegi Mwedomu, aliyekuwa akisimama na maafisa wa Sauli, akasema, “Nilimwona mwana wa Yese akija kwa Ahimeleki mwana wa Ahitubu huko Nobu.
09160a006d	Ahimeleki akamuuliza Mwenyezi Mungu kwa ajili yake; pia akampa vyakula na ule upanga wa Goliathi Mfilisti.”
09160b009a	Kisha mfalme akatuma watu wamwite kuhani Ahimeleki mwana wa Ahitubu, na jamaa yote ya baba yake, waliokuwa makuhani huko Nobu, nao wote wakaja kwa mfalme.
09160c0057	Sauli akasema, “Sikiliza sasa, mwana wa Ahitubu.” Akajibu, “Naam, bwana wangu.”
09160d00db	Sauli akamwambia, “Kwa nini umepanga njama dhidi yangu, wewe na mwana wa Yese, ukampa vyakula na upanga, tena, ulimuuliza Mungu kwa ajili yake na kwa sababu hiyo ameasi dhidi yangu na kunivizia, kama afanyavyo leo?”
09160e00c0	Ahimeleki akamjibu mfalme, “Ni nani miongoni mwa watumishi wako wote aliye mwaminifu kama Daudi, mkwewe mfalme, kiongozi wa walinzi wako na anayeheshimika sana katika watu wa nyumbani mwako?
09160f00e0	Je, siku hiyo ilikuwa ndiyo ya kwanza kumwomba Mungu kwa ajili yake? La hasha! Mfalme na usiwashutumu watumishi wako wala yeyote wa jamaa ya baba yake, kwa kuwa mtumishi wako hafahamu lolote kabisa kuhusu jambo hili lote.”
0916100058	Lakini mfalme akasema, “Ahimeleki, hakika utakufa, wewe na jamaa yote ya baba yako.”
0916110122	Ndipo mfalme akawaamuru walinzi wake waliokuwa kando yake: “Geukeni na kuwaua makuhani wa Mwenyezi Mungu, kwa sababu nao pia wamejiunga na Daudi. Walijua kuwa alikuwa anakimbia, wala hawakuniambia.” Lakini maafisa wa mfalme hawakuwa radhi kuinua mkono kuwaua makuhani wa Mwenyezi Mungu.
09161200b6	Kisha mfalme akamwagiza Doegi, “Wewe geuka ukawaue makuhani.” Hivyo basi Doegi Mwedomu, akageuka na kuwaua. Siku ile aliwaua watu themanini na watano waliovaa vizibau vya kitani.
0916130090	Pia akaupiga Nobu, mji wa makuhani kwa upanga, wakiwemo wanaume na wanawake, watoto na wale watoto wanaonyonya, ng’ombe, punda na kondoo wake.
0916140062	Lakini Abiathari, mwana wa Ahimeleki, mwana wa Ahitubu, akatoroka, akakimbia na kujiunga na Daudi.
0916150049	Abiathari akamwambia Daudi kuwa Sauli amewaua makuhani wa Mwenyezi Mungu.
09161600ae	Kisha Daudi akamwambia Abiathari: “Siku ile Doegi Mwedomu alipokuwa pale, nilijua atahakikisha amemwambia Sauli kuwa mimi ninawajibika kwa vifo vya jamaa yote ya baba yako.
0916170075	Kaa pamoja nami; usiogope. Mtu anayeutafuta uhai wako anautafuta uhai wangu pia. Ukiwa pamoja nami utakuwa salama.”
0917010076	Daudi alipoambiwa, “Tazama, Wafilisti wanapigana dhidi ya Keila, nao wanapokonya nafaka katika sakafu za kupuria,”
09170200a4	akauliza kwa Mwenyezi Mungu, akisema, “Je, niende na kuwashambulia hawa Wafilisti?” Mwenyezi Mungu akamjibu, “Nenda, washambulie Wafilisti na uuokoe Keila.”
0917030080	Lakini watu wa Daudi wakamwambia, “Hapa Yuda kwenyewe tunaogopa. Je, si zaidi tukienda Keila dhidi ya majeshi ya Wafilisti!”
0917040095	Daudi akauliza kwa Mwenyezi Mungu tena, naye Mwenyezi Mungu akamjibu akamwambia, “Shuka uende Keila, kwa kuwa nitawatia Wafilisti mkononi mwako.”
09170500a2	Basi Daudi na watu wake wakaenda Keila, wakapigana na Wafilisti na kutwaa wanyama wao wa kutosha. Daudi akawatia hasara kubwa Wafilisti na kuwaokoa watu wa Keila.
091706005d	Basi Abiathari mwana wa Ahimeleki alikuwa ameleta kizibau alipokimbilia kwa Daudi huko Keila.
09170700b9	Sauli akaambiwa kwamba Daudi alikuwa ameenda Keila, naye akasema, “Mungu amemtia mkononi mwangu, kwa kuwa Daudi amejifunga mwenyewe kwa kuingia kwenye mji wenye malango na makomeo.”
0917080071	Naye Sauli akayaita majeshi yake yote yaende vitani, kuishukia Keila ili kumzingira Daudi na watu wake kwa jeshi.
091709006c	Daudi alipojua kuwa Sauli alikuwa ana hila dhidi yake, akamwambia Abiathari kuhani, “Leta kile kizibau.”
09170a009c	Daudi akasema, “Ee Mwenyezi Mungu, Mungu wa Israeli, mtumishi wako amesikia kwa hakika kwamba Sauli anapanga kuja Keila na kuangamiza mji kwa ajili yangu.
09170b00d1	Je, watu wa Keila watanisalimisha kwake? Je, Sauli atateremka, kama mtumishi wako alivyosikia? Ee Mwenyezi Mungu, Mungu wa Israeli, mwambie mtumishi wako.” Naye Mwenyezi Mungu akasema, “Ndiyo, atashuka.”
09170c009b	Daudi akauliza tena, “Je watu wa Keila watanisalimisha mimi pamoja na watu wangu kwa Sauli?” Naye Mwenyezi Mungu akasema, “Ndiyo, watafanya hivyo.”
09170d00a4	Basi Daudi na watu wake wapatao mia sita wakaondoka Keila, wakawa wanaenda sehemu moja hadi nyingine. Sauli alipoambiwa Daudi ametoroka kutoka Keila, hakuenda huko.
09170e00a2	Daudi akakaa katika ngome za jangwani na katika vilima vya Jangwa la Zifu. Siku baada ya siku Sauli aliendelea kumsaka, lakini Mungu hakumtia Daudi mkononi mwake.
09170f0060	Daudi alipokuwa huko Horeshi katika Jangwa la Zifu, akajua kuwa Sauli alikuwa amekuja ili amuue.
0917100076	Naye Yonathani mwana wa Sauli akamwendea Daudi huko Horeshi na kumtia moyo kusimama imara katika imani yake kwa Mungu.
09171100aa	Akamwambia, “Usiogope, Daudi; baba yangu Sauli hatakutia mkononi mwake. Utakuwa mfalme juu ya Israeli, nami nitakuwa wa pili wako. Hata baba yangu Sauli anajua hili.”
0917120079	Wote wawili wakafanya agano mbele za Mwenyezi Mungu. Kisha Yonathani akaenda zake nyumbani, lakini Daudi akabaki Horeshi.
09171300a5	Basi Wazifu wakakwea kwa Sauli huko Gibea na kusema, “Je, Daudi hajifichi miongoni mwetu katika ngome huko Horeshi, katika kilima cha Hakila, kusini mwa Yeshimoni?
0917140071	Sasa, ee mfalme, uteremke wakati wowote unapoona vyema kufanya hivyo, sisi tutawajibika kumkabidhi kwa mfalme.”
091715003b	Sauli akajibu, “Mwenyezi Mungu awabariki kwa kunifikiria.
091716008b	Nendeni mkafanye maandalizi zaidi. Mkajue mahali Daudi huenda mara kwa mara, na nani amepata kumwona huko. Wananiambia yeye ni mjanja sana.
09171700ac	Jueni kila mahali anapojificha, kisha mrudi na kunipa taarifa kamili. Nami nitaenda pamoja nanyi; kama atakuwa katika eneo hilo, nitamsaka miongoni mwa koo zote za Yuda.”
