2800000006	Mateyo
2a0e0a00d5	Pesi nakuti watambwa, yinka ukakkale muchuuno chilaansi mubusena bulaansi, kuchitila kuti nasika sikukutamba akwaambile kuti, 'Mwenzuma yinka kujulu.' Aboobo ulapegwa bulemu mumenso aboonse mbokkede aabo aatafula.
2a0e0b0050	Nkaammbo woonse uulisumpula uyoofwiinsigwa, ayooyo ulifwiinsya uyoomsumpulwa.”
2a0e0c00cd	Alimwi Jesou wakati kuli ooyo wakamutabide, “Na wapa chisusulo na chilalilo, utatambi beenzinyokwe, nabanakwanu, na basimayakilane bako bavubide, nkaambo ayebo bazokutamba lubo mpayo uyoojana kubbadalwa.
2a0e0d0043	Pesi kuti wachita pobwe, tamba bachete, batyokede, balemene aboofu,
2a0e0e005c	mpawo uyoolongezegwa, nkaambo tabakonzyi kukubbadala pe. Uyoobbadalwa kububuke bwabalule.”
2a0e0f0095	Aawo umwi wabaabo bakakkede anguwe aatafula naakamvwa zintu eezi, wakamwaambila kuti, “Ulilongezezegwe ooyo uutakalye chinkwa mu bwami bwa Leza!”
2a0e10005c	Pesi Jesu wakati kulinguwe, “Umwi mwaalumi wakabaambiila chilalilo mpawo wakatamba biingi.
2a0e110070	Kuchiindi chachilalilo wakatuma mubelesi kuti akatedi kuli bakatambidwe, 'Amusike nkaambo zyoonse zyaba kabotu.'
2a0e12008d	Alimwi boonse bakatalika bukozyenie kubikka zikumbizyo. Mutaanzi wakati, 'Nawula muunda, aboobo ndeelede kuyowubona, nche nsilibambilide pe.'
2a0e130063	Umbi wakati 'Ndakawula zipani zyabasune zilimusanu, aboobo ndiya kukubasa, nche nsilibambilide pe.'
2a0e140054	Uumbi alakwe wakati, 'Ndakakwata mwanakazi, ndaabwiinga aboobo nsikonzyi pe kusika.'
2a0e1500e6	Mubelesi wakaboola akwaambila simalelo wakwe eezi zintu. Mpawo simalelo wang'anda wakanyema akwaambila mubelesi wakwe kuti, 'Yinka chakufwambaana aanze mumigwagwa amutuzila twamu dolopo, ukeete bafwaba, batyokede, boofu abalemene.
2a0e16004c	Mubelesi wakati 'Simalelo, nzuwalayilide zyachitwa, pesi mpubuchili busena.'
2a0e17007a	Simalelo wakati kumubelesi, 'Koya mumazila mapati amumubaya ukabakombelezye kuti basike, amwi ng'anda yangu yalikunoozula.
2a0e180065	Nkaambo ndati kulinduwe, tawo naba omwe wabaaba baalumi mbindatambide uyoolabila chakulya changu.'”
2a0e190045	Lino makamu aabantu akayinka aawe, lino wakabachebuka wati kulimbabo,
2a0e1a009d	“Na muntu waza kulindime, katasuli wisi, banyina, banakwe, bana bakwe banabakwabo abachizi bakwe, - iyii, abuumwi bwakwe - takonzyi pe kuba sikwiiya wangu.
2a0e1b0045	Kufumbwa uutabwezi chiingano chakwe takonzyi pe kuba soikwiiya wangu.
2a0e1c0082	Nkambo awumwi wenu ooyo uyeeya kuyaka bulambo, taakwe nanga wakkala aansi kuti abale nanka ulaazyo zyoonse ziyandikana kuti ayake?
2a0e1d0057	Pesi na wasya ntalisyo yakwe mpawo wazokachilwa kumaninsya, woonse unoolanga unomuseka,
2a0e1e0046	kati, 'Ooyu mwaalumi wakasanguna kuyaka pesi wakakachilwa kumaninsya.'
2a0e1f00e2	Nakuti ngwani mwami, uunga nayanda kuyolwana awumbi mwami, takookkala aansi ayandule mizeezo yakumugwasya kuti ulakonzya kumulwana kali aabasikulwana zyuulu zilikumi ooyo ngwalwana aawe kali aabasikulwana zyuulu makumi aabili?
2a0e20006b	Akuti nape, na imwi nkamu yabasinkondonyina kiichili kule, tatumi na sing'enda kuti akatule amjwi aluumuno.
2a0e21004d	Aboobo woonse utatakati zyoonse nzyali aazyo takonzyi pe kuba sikwiiya wangu.
2a0e22005c	Mwinyo mubotu, pesi kuti mwinyo wamana kulweela nga ulabweedezegwa biyeni kuti ulweele lubo?
2a0e230061	Tuuchikwe nchuuchibeleka naa akumuse naa manyowa. Ulasowegwa. Ooyo uulamatwi akumvwa, ngamvwe.”
2a0f010046	Loino boonse basimutelo abamwi basizibi bakalikuza kuzoswiilizya Jesu.
2a0f020081	Bloonse baFalisi abalembi bakatongooka chabo chabo, kabaamba kuti, “Ooyu mwaalumi ulatambula basizibi, alimwi ulalya ambabo.”
2a0f03002e	Jesu wakabaambila chikozyanisyo eechi, wakati,
2a0f0400bd	“Ngwani aakati kenu uunga ulaba aambelele zilimwaanda mpawo yomwe yasweekwa, aleke kusiya zili makumi musanu amakumi one alamusanu azine mulusaka, akuya kukuyanduula yomwe mane akayibone?
2a0f05002d	Mpawo nayijana uyooyipika aamakuko akubotelwa
2a0f060094	Naaboola kumuunzi wiita benziinyina ambayakilene aabo, akubaambila kuti, 'Amubotelwe antoomwe andime, nkaambo ndayibona mbelele yangu yakasweekede.'
2a0f0700a8	Ndiliikumwaambila kuti nikuba boobo, kuyooba lukondo kujulu aatala asizibi omwe wasanduka, kwiinda aabo balimakumi miusanu amakumi one alamusanu abane basandukide kale.
2a0f080096	Nakuti ngwani wachikayintu ulangodo zya siliva zilikumi, kuti kwasweeka yomwe, uunga ulaleka kumunika, kuyiila ng'anda akuyanduula loko mane akiijane?
2a0f090079	Nayijana ulayita beenzinyina ambayakilene aabo kaamba kuti, 'Amuboole tubotelwe nkaambo ndayibona nsiliva yandisweekede.'
2a0f0a006b	Nikuba boobo ndikumwaambila kuti kuli kukondwa kunembo lyabangelo ba Leza aatala asizibi omwe uusanduka.”
2a0f0b0044	Mpawo Jesu wakati, “Kwakali mwaalumi wakali aabana balombe babili,
2a0f0c007f	aawo mwana muniini wakati kuli wisi, “Ndeende, ndipe buvubi mumweelwe uulangene aandime.” Mpawo wakaaba buvubi aakati kabo.
2a0f0d0098	Kakutanayiknda mazuba miingi, mwana muniini wakabungania buvubi bwakwe wiinka aabo kunyika iilikule ooko wakakunyonyoona buvubi bwakwe mukupana bunjaka.
2a0f0e0056	Lino nakamaninsya zyoonse kwakaba nzala mpati munyika yoonse, mpawo wakatalika kubula.
2a0f0f006b	Wakayinka kuyolipeda kubelekela umwi wabantu bamuchisi eecho, wakakumutuma kusanina ngulube mumuunda wakwe.
2a0f10006a	Wakalikunoonga wajana kukondwa naalya tukuli twakali kuligwa ngulube nkaambo taakwe wakalikumupa chakulya.
2a0f11009e	Mpawo aawo mwana muniini ooyu nakaboola kumizeezo yakwe, wakati, 'Mbangane babelesi ba ndeende balikulya chakulya chizulila, mpawo me ndaano ndikufwa aanzala!
2a0f120055	Ndilanyampuka aano ndiye kuli ndeende ndikatedi, “Ndeende ndakabisizya julu anduwe.
2a0f130060	Nsichikwe bulemu bwakwiitwa kuti mndimwana wako; ndichite kuti ndibe uumwi wanbabelesi bako.'”
2a0f1400b2	Mpawo mwana miniini ooyo wakazwa kunyika nkwaakabede waboola kuli wisi. Aawo naakachili kulele kule alimwi wisi wakamubona wabotelwa, walkachijaana, wakumumbungatila akumumyonta.
2a0f150070	Mwana wakati kuli nguwe, 'Ndeende, ndakabisizya julu anduwe, nsichikwe bulemu bwakwiitwa kuti ndili mwana wako.'
2a0f160098	Wisi wakati kubabelesi bakwe, 'Mufwambaamne mwee te jansi bbotu kwiindilila, mumusasike, alimwi mubikke nweenwe kukuboko kwakwe, ansangu kumawulu aakwe.
2a0f170044	Mpawo mweete mwana wan'gombe uneneede mumujaye. Atupobole tubotelwe!
2a0f18004e	Nkaambo mwana wangu wakalisweekede, lino waboneka.' Mpawo bakatalika kubotelwa
2a0f19006f	Lino mwana wakwe mupati wakachili kumuunda. Aawo naakaboola akusika afwiifwi amuunzi, wakamvwa miimbo akuzyana.
2a0f1a0034	Wakayita umwi mubelesi wabuzya kuti zyaambanzi eezi.
2a0f1b0085	Mubelesi wakamwaambila kuti, 'Mwanike wako waboola kumuunzi alimwi wuso wajaya mwana wang'ombe uuneneede nkaambo waboola kali muumi.'
2a0f1c005a	Mwana mupati wakanyema alimwi taakanjila pe mukati, wisi wakazwa aanze, kuzo mukombelezya.
2a0f1d00db	Pesi mwana mupati wakasandula wisi wati, “Langa, eeyi minyaka myiingi yoonse ndakubelekela chabuzike, alimwi taakwe nindakatyola nuuba omwe mulawu wako, pesi taakwe nwakandipa mwana wampongo kuti ndibotelwe abeenzuma.
2a0f1e005c	Pesi mbaboola, ooyo wakakulya lubono lwako abasi bwaamu, wamujiila mwana wangombe uneneede.'
2a0f1f006b	Wisi wakamusandula kuti, “Mwanaangu ukkede koli aandime chiindi choonse, alimwi choonse changu nchichako.
2a0f20007a	Pesi chali chibotu kuti tubotelwe nkaambo mwanike wako ooyu wakalifwide; lino wapona; wakali sweekede alimwi waboneka.'”
2a1001009f	Alubo Jesu wakati kuli basikwiiya bakwe, “Kwalkali mwaalumi wakali muvubi, alimwi wakali aasilutwe wakwe, alimwi wakaambilwa kuti silutwe uli tatuula lwakwe.
2a100200b3	Aboobo muvubi wakamwiita silutwe wakwe wati kulinguwe, 'Niinzi eezi nzindiikumvwa aatala anduwe? Pa bupanduluzi aatala abusilutwe bwako, nkaambo tocheelede pe kuba silutwe wangu.'
2a100300ba	Pesi silutwe wakati mukaango kakwe, 'Ndichite biyeni, mbukunga simalelo wangu uyanda kunditolela buslutwe bwa mulimu wangu? Nsikwe manguzu pe aakusya alubo kulandipa nsoni kuyabukumbila.
2a10040066	Ndaziba kuti ndichite biuyeni, kuchitila kuti ndatandwa kuba siltwe bantu banditambule mumaanda aabo.'
2a1005008f	Mpawo silutwe wakiita bantu boonse bakali aazikwelete zyasimalelo wakwe, wakabuzya kuli wakusanguna wati, 'Ukweletede nzi kuli simalelo wangu?'
2a10060085	Wakati, 'Mwaanda wansazi zyamafuta aa oliva.' Mpawo wakati kulinguwe, 'Bwaza lugwalo lwako chakfwaambaana ulembe kuti makumi osanwe.'
2a100700aa	Mpawo silutwe wakati kuli umbi, 'Niinzi nchokweletede?' Wakati, 'Mwaanda wazyeelelelo zyamayila.' Wakati, 'Bweza lugwalo lwako, ulembe kuti makumi musanu amakumi otatwe.'
2a100800a5	Simalelo wakabotelwa asilutwe ooyu nkaambo wakachita anzila iitaluleme. Nkaambo bana banyika iino tabaluleme pe mukubeleka abananyina kwiinda mbubali bana ba mumuni.
2a10090075	Ndati kulindinywe, amulipangile bazolwani amali iitaluleme, kuchitila kuti niyoomana, bakamutambule mubuumi butamani.
2a100a006a	Ooyo uusyomekede muziniini ulizyomekede amuzipati, ayooyo uutasyomekede muziniini tasyomekede pe muzipati.
2a100b0051	Na tewasyomekede mukubelesya mali yabubi, ngwani uutakusyome abuvubi banchoonzyo?
2a100c004c	Alimwi na tewasyomekede mukubelesya mali yabamwi, ngwani uutakupe yako mali?
2a100d00b1	Taakwe mulanda uunga ulabelekela basimalelo babili, nkaambo ulakonzya kuyanda umwi atayandi umwi, na kulipeda kuli umwi alangile aansi umwi. Tokonzyi pe kuyanda Leza abuvubi.”
2a100e004c	Lino ba Falisi bakalikuyandisya mali nibakamvwa eezi zintu bakamunyanyansya.
2a100f00a1	Mpawo wakati kulimbabo, “Mulalilulamika kunembo lyabantu, pesi Leza uliizi myoyo yenu. Eecho chisumpulwa loko aakati kabantu tachikbotezyi pe kunembo lya Leza.
2a101000a0	Mulawu abasinsimi bakabeleka kuyoosika muchiindi chakusika kwa Joni. Kuzwa aawo, jwi lya bwami bwa Leza lilikukambawukwa, mpawo woonse muntu ulikweezya kunjila.
2a10110063	Pesi nchuuba kuti julu anyika zyiinde kwiinda kuti kamwi kabala kamulawu kakachale kakatakwe nguzu.
2a10120074	Umwi awumwi uuleka mwanakazi wakwe akukwata umbi wachita mamambe, ayooyo ukwata mwanakazi wakalekwa wachita mamambe.
2a10130092	Lino kwakali umwi mwaalumi muvubi wakali kukkala kazweete zizwaato zyamubala wantumbula zibotu alimwi wakalikubotelwa lubbe abuvubi bwakwe bupati.
2a10140059	Umwi sikukumbila wakalikutegwa Lazalo wakali kubikwa kumulyango wakwe, wakazwide zilonda,
2a10150088	wakalikukumbila biyo chakulya eecho chakali kuloka aatafula yamuvubi - kunze kwazeezyo bankala bakalikusika kuzomyanguta zilonda zyakwe.
2a1016008d	Chakachitika kuti sikukumbila wakafwa mpawo wakabwezwa abangelo wakukkazikwa kubbazu lya Abbulahamu. Muvubi wakafwa alakwe mpawo wakavwikkwa,
2a10170084	mpawo kali mu Hadesi kali koomba, wakanyampula menso aakwe walanga kujulu wakabona Abbulahamu kali kule a Lazalo kali akaango kakwe.
2a101800af	Mpawo wakakwiila wati, 'Taata Abbulahamu, ndifwide nsoni utume Lazalo, kuti akanike gala lyakanwe kakwe mumaanzi azootontozye lulimi lwangu, nkaambo ndapengaana mumulilo ooyu.
2a101900b7	Pesi Abbulahamu wakati, 'Mwanangu, yeeya kuti muchiindi chakupona kwako wakatambula zintu zyako zibotu, alakwe Lazalo zibi. Pesi lino pwajana kulyookezya ookuno iwe wanjila mumapenzi.
2a101a00be	Alimwi kunze kwazeezi, kulimugaano mupati uubikidwe aawa, chakuti ooyo uuyanda kutaaluka kazwa ookuno kaza ooko takokonzya pe, ayooyo uuyanda kutaluka kazwa ooko kaza ookuno takookonzya pe.'
2a101b005b	Mwaalumi muvubi wakati, 'Ndakukumbila, Taata Abbulahamu, kuti umutume kung'anda yandeende -
2a101c0080	nkaambo ndili aabana bakwesu balimusanu - kuti akabaambile, nkaambo ndiyoowa kuti abalabo bazooza okuno kubusena bwakupengaana.'
2a101d0042	Pesi Abbulahamu wakati, 'Bali a Mozesi abasinsimi; ababaswiilile.'
2a101e0078	Wakasandula mwaalumi muvubi wati, 'Pe, Taata Abbulahamu, pesi kuti kwayinka muntu wabka kubafu bayoosyoma, bayosanduka.'
2a101f007e	Pesi Abbulahamu wakati, 'Na kabatamuswiilili Mozesi abasinsimi, taakwe nibanga balamuswiilila ayooyo unooli wabuka kubafu.'”
2a11010070	Jesu wakati kulibasikwiiya bakwe, “Ninchobeni kuti kuloba zilebyo, pesi maawe kuliyoyo muzitakiinde mulinguwe!
2a11020084	Kuyoba mbubo kuti ziyo likaangwe munsingo yakwe alimwi akawaalwe mulwizi, kwiiknda kuti akeetelezya aaba banini kuti bakachite zibi.
2a11030061	Amulilange nyweebo nobeni. Kuti mweenzinyokwe wabisya, amumukalalile, na wasanduka amumulekelele.
2a1104008e	Na wakubisizya tuli musanu atubili abuzuba mpawo kalikuboola kulinduwe tulimusanu atubili, kaamba kuti, 'Ndasanduka,' weelede kumulekelela.”
2a11050038	Batumwa bakati ku Mwami, “Koyungizya lusyomo lwesu.”
2a110600ae	Mwami wakati, “Kansinga mwali aalusyomo luniini mbuli nseke yamusitada, mwalikunoti kulooyu musamu wamulubbeni, 'Konyukuka alimwi ukabyalwe mulwizi,' wali kunoomuswiilizya.
2a11070090	Pesi ngwani wenu uulamulanda uulima na uyembela mbelele, uwamba kuti kulinguwe elyo kanoli wasika kuzwa kumuunda, 'Sika lino ukkale aansi ulye'?
2a110800a5	Takoowamba na kuti, 'Ndibambila chakulya ndily, uwange lukumba kuzizwaato zyako mpawo undikutawukile mane ndimane kulya akunya. Ndamaninsya notazoolye akunywa webo'?
2a11090043	Tamulumbi pe mulanda nkaambo wamuchitila nzyamutuma, ulamulumba na?
2a110a008a	Akulindinywe mbukubede, na mwachita zyoonse nzimwatumwa, mweelede kuti “Tuli balanda bateelede pe, twachita biyo nzitweelede kuchita.”
2a110b0063	Kwakasika kuti kachiyobweenda kaya ku Jelusalema, wakalikuyabwiinda mumugaano wa Samaliya a Galili.
2a110c006d	Naakanjila mulilimwi gunzi, ooko wakatambulwa abamwi baalumi balikumi bakali aachipele. Bakiimina kule anguwe
2a110d0049	mpawo bakasumpula majwi aabo, bakati, Jesu, Mwami ba aluse kulindiswe.”
2a110e0085	Naakababona, wakati kulimbabo, “Amwiinke mukalitondeezye kubapayizi.” Mpawo chakachitika kuti nibakali kuyabwiinka bakasalazigwa.
2a110f0060	Umwi wabo naakabona kuti wakali waponesegwa, wakabweeda musule, ajwi pati kayabulumbayizya Leza.
2a1110003f	Wakafugama kumawulu aa Jesu akumupa kulumba. wakali mu Samaliya
2a1111005a	Jesu naakasandula, wakati, “teensi balikumi na basalazigwa? Balikuli bamwi musanu abane?
2a11120056	Tekwalikwe na bamwi beelede kuboola kuzopa bulemu kuli Leza kwiinda ooyu muzwamasi?”
2a11130043	Wwakati kulinguwe, “Nyampuka weende. Lusyomo lwako lwakuponia.”
2a11140082	Naakabuzigwa aba Falisi kuti bwami bwa Leza buyoosika lili, Jesu wakabasandula watgi, “Bwami bwa Leza tabusiki aakubulangisisya.
2a1115007b	Nakuti nimuyoomvwa kakutgwa, 'Amulange mbobu!, na 'Amulange mbobuya!', nkaambo amulange bwami bwa Leza buli mulindinywe.”
2a11160081	Wakati kuli basikwiiya bakwe, “Ayoosika mazuba ngimuykoolombozya kubona buzuba bomwe bwaMwana wa Muntu pesi tamukoyoobubona pe.
2a1117005e	Mpawo bayoti kulindinywe, 'Amulange, aano! Amulange, okuya!' Pesi tamukazwi pe kukuyobatobela,
2a1118008f	mbuli kalabi mbukamweka chakumunika kuzwa kulilimwi bbazu lya julu kakaboneka kulilimbi bbazu, mbatakabe alakwe Mwana wa Muntu mubuzuba bwakwe.
2a11190042	Pesi weelede kusyonsegwa kuzintu zyhiingi akukakwa aleeli zyalane.
2a111a004f	Mbuli muzyakachitika kumazuba aa Noah, ziyoochitika mumazuba aa Mwana wa Muntu.
2a111b009e	Bakali kulya, bakali kunywa, bakali kukwata, bakali kukwatwa, kuyoosika buunsi Noah mbwakanjila mubwaato - mpawo zaambangulwe lyakasika akubanyonyoona boonse.
2a111c007d	Ambubo mbuli mbuzyakachitika kumazuba aa Lot, bakali kulya, bakalikunywa, bakali kuula, bakali kuuzya, bakalikubyala akuyaka.
2a111d0063	Pesi mubuzuba Lot mbwaakazwa mu Sodomu, kwakawa mulilo wa salufa kuzwa kujulu wabanyonyoona boonse.
2a111e004a	Munzila njiyeeyo mbukutakabe mubuzuba bwa Mwana wa Muntu nataka yubununwe.
2a111f00a2	Mubuzuba oobo tamukaleeki ooyo uli aakaluli kang'anda kuti akaselele akeezye kugwisizya aanze zintu zyakwe zili mung'anda. Alubo tamukamuleki ulikumunda akaboole.
2a11200019	Amuyeye mukayintu wa Lot.
2a1121005f	Ooyo weezya kutabilila buumi bwakwe bulamuswekela pesi ooyo usweekelwa buumi bwakwe ulabubamba.
2a11220062	Ndamwaambila, muli oobo buzuba kunooli bantu babili aabulo, umwi uyoobwezwa, mpawo umwi uyoochala.
2a11230092	Kunooli banakazi babili balikutwa antoomwe. Umwi uykoobwezwa, umwi uyoochaala. - Muli Luka 17: 36, Malembe mabotu aachiindi taakwe munchali 36 pe.
2a112400b4	Kuyooba babili mumuunda, umwi uyoobwezwa umwi uyochaala. Bakamubuzya bati, “Ikuli, Mwami?” Mpawo wakati kulimbabo, “Aawo aanoli chidumbu, aawo makubi ayoobungana antoomwe.”
2a11250076	Bakamubuzya kuti, “Nkokuli Mwami?” Wakati kuli mbabo, “Oko kuli mutunta, nkonkuko kuyobungana makubi antomwe.”
2a12010053	Lino nakabambila chikozyano chitondezya mbubeelede kunokomba akuti batatyoki myoyo,
2a1202005b	wati, “Muli limwi dopolo kwakali mubetesi utakwe wakalikuyowa Leza nikuba kulemeka bantu.
2a1203006f	Lino kwakali mukamufu mudolopo eli, wakaliswini kaza kulinguwe, kati, 'Mundigwasizye makani angu asimulanduma'.
2a12040083	Lino wakaba achindi chilamfu katalikuyanda kumugasizya, pesi nikwakaba kayindi, wakalyambuuzya alikke wati, “Nikuba ngundilemeka,
2a1205008e	pesi mukamufu oyu wandikatazya, ndilamugwasizya kuti ajane lwangunuko kumakani akwe, kwiitila kuti atandisusubiki, kanoswini kandichindila”.
2a12060042	Mpawo Mwami wakati, “Muswilizye mbaamba mubetesi oyu siluuni”.
2a1207007e	Lino muyeeye kuti, Leza takonzyi na kubeteka chabululami kubsale bakwe, ibamulilila sikati amansiku? Ulachedwa na kubkutukila?
2a12080091	“Ndamwambila kuti, uyofwambana loko kulingula makani abo. Nikuba obo, nazobweda Mwana mulombe wa Muntu uzojana kakuchili lusyomo na munyika?”
2a1209006f	Elyo wakamba mukozyano oyu utobela kuli bamwi bakali kulisyom beni kuti baliluleme, abo bakali kunyansya bamwi,
2a120a0061	“Baluumi babili bakaya mun'anda yaLeza kuyookomba- umwi wakali muFalisi oyu umwi kali Simutelo.
2a120b00c6	MuFalisi wakayimikila wakomba kaamba zintu ezi atala lyabuumi bwakwe wati, 'Leza, ndilakulumba nkambo kakuti tandili mbuli bamwi pe babbi, bantu bataluleme pe, basibwamu, na bali mbuli Simutelo oyu.
2a120c0053	Ndilalyiimya tubili amviki. Ndilapa chipanzi chakkumi chazintu zyoonse nzindijana'.
2a120d009d	Pesi Simutelo, kayimvwi kulekule, tewakakonzya pe nikuba kusompya meso akwe kujulu, pesi wakawuma akaango kakwe wati, 'Leza, ndifwide luzyalo, me ndisizibi'.
2a120e00bf	Ndamwambila kuti oyu mwalumi wakajoka kun'anda yakwe kali walulamikwa kwiinda olya mweenzinyina, nkambo kufumbwa muntu ulisumpula uzofwinsigwa, pesi woonse muntu ulijosya ansi uzosumpulwa”.
2a120f005e	Bantu bakeeta bana banini kulinguwe kuti abaampe, pesi basikwiiya nibakababona bakabaambwiida.
2a12100084	Pesi Jesu wakabayita kulinguwe wati, “Muzumizye bana banini baze kuindime, alubo mutabakasyim pe. Nkambo bwami bwakujulu mbubwabo.
2a1211005f	Kasimpe ndamwambila, utakonzyi kutambula bwami bwaLeza mbuli mwana munini takwe kuyobunjila”.
2a1212006a	Umwi mwendelezi wakamubuzya wati, “Muyisi mubotu, ngandilachita biyeni kuti ndikajane buumi butamani?”
2a1213006c	Jesu wakati kulinguwe, “Nkamboonzinundaamba kuti ndilimubotu? Takwe muntu mubotu pe, kunze kwaLeza alikke.
2a12140061	Ulizi milawu yaamba kuti utachiti bwaamu, utajeyi, utabbi, utaambi manwa, lemeka uso abanyoko”.
2a1215004d	Mweendelezi wakati, “Yoonse eyi ndakayilondola kuzwa kandichili mulombe”.
2a121600c8	Lino Jesu nakamvwa obo, wakati kulinguwe, “Kuli chinti chimwi nchubulide. Weelede kuzya zintu zyoonse nzulaazyo mpawo wabila bachete, elyo uyooba achiybwedo chalubono kujulu mpawo uze unditobele”.
2a12170052	Lino mweendelezi oyu nakamvwa makani aya, wakawusa, nkambo wakali alubono lwiingi.
2a12180076	Elyo Jesu nakabona kuti wawusa loko wakati, “Nchiyumu loko kuli abo bajisi lubono lwiingi kunjila mubwami bwakujulu!
2a1219006d	Nkambo chilakonzeka kuti nkamela yiinde mumpuli yansunda kwiinda kuti muntu muvubi anjile mubwami bwaLeza”.
2a121a0049	Abo ibakamvwa makani aya bakati, “No mwati sa mpali unga uyofutulwa?”
2a121b0044	Jesu wakamwambila wati,” Zintu ziyumu kubantu nzyuuba kuliLeza.”
2a121c004d	Pita wakati, “Langa twakasiya zintu zyesu zyoonse mpawo twatobela nduwe”.
2a121d00b1	Jesu wakati kulimbabo, “Ndamwambila kasimpe kuti takwe muntu naba umwi wakasiya n'anda yakwe, naba banakazi bakwe, na banike bakwe, na bazyali, na bana nkambo kabwami bwaLeza,
2a121e0052	utakwe kuzojana zyindilide kuchiindi echino, amuchindi chibola, buumi butamani.”
2a121f00c8	Nakamaninsya kubunganizya bali kkumi ababili kulinguw, wakati kulimbabo, “Mulange tuya kuJelusalema, lino zyoonse zintu zyakalembwa abasinsimi atala a Mwana mulombe wa Muntu ziya kuyozuzikizigwa”.
2a12200062	Nkambo uyopenzegwa mumaboko Bamasi, mpawo bayomuwela, uyojatwa chamasampu, mpawo bakamuswide mate.
2a1221004b	Nibayomaninsya kumuuma, bayomujeya, mpawo mubuzuba bwatatu uyobuka lubo.”
2a12220077	Takwe nchibakamvwa pe kumakani aya, alubo eli lyakabasita, mpawo takwe nibakamvwisisisya pe zintu ezi zyakali kwaambwa.
2a12230064	Kwakaba kuti Jesu kaali waamba kusika muJelikko, umwi moofu wakalikkede kumbali aanzila, ulakumbila,
2a12240054	mpawo nakamvwa tyanga lyabantu bayabweenda, wakabuzya kuti chakali kuchitika niinzi.
2a12250034	Bakamambila kuti, “Ngu Jesu waNazaleta uyabweenda.
2a12260057	Mpawo mwalumi oyu moofu wakasompezya wati, “Jesu Mwana a Davida, ndifwide luzyalo”.
2a12270084	Bakali kweenda kumpela bakamwambwiida moofu oyu, bati, “Umuna”. Pesi wakasompezya loko, “Mwana wa Davida, ndifwide luzyalo”.
2a12280088	Jesu wakayimikila nji mpawo walayilila kuti mwalumi oyu ayeetwe kuli nguwe. Lino mwalumi oyu moofu nakaba afwiifwi, Jesu wakabuzya wati,
2a1229004a	“Uyanda kuti ndikuchitilenzi? Wakati, “Mwami ndiyanda kuti ndibone”.
2a122a003e	Jesu wakati kulinguwe, “Bona. Lusyomo lwako lwakuponesya”.
2a122b005e	Mpawo awo wakabona, wamutobela, kalemya Leza. Bantu boonse nibakabona ezi bakalumbayizya Leza.
2a1301002f	Jesu wakanjila alimwi wakali kwiinda mu Jeliko.
2a13020059	Amulamnge kwakali mwaalumi wakalikutegwa Zekias wakali simutelo alimwi kali muvubi mupati
2a1303006c	Wakali kweezya kubona kuti Jesu ngwa, pesi taakakonzya kumubona pe munkamu yabantu, nkaambo wakali mfwiifwi.
2a13040073	Nkinkaako wakachijaanina kunembo lyabantu waakutanta mumukuyu kuti amubone, nkaambo Jesu wakalikwiinda munzila eeyo
2a1305008e	Lino Jesu naakasika aawo wakalanga mujulu mawo wati kulinguwe, “Zekiyasi, seluka chakufwambaana, nkaambo sunu ndiyookkala mung'anda yako.”
2a1306003b	Aboobo wakaseluka chakufwambaana akumutambula chakubotelwa.
2a13070068	Lino bantu boonse nibazibona eezi, bakanyontooka, kabaamba kuti, “Waya kuyooswaya mwaalumi ulazibi.”
2a130800b2	Lino Zekiyasi wakayima wati ku Mwami, “Langa, Mwami, chisela chalubono lwangu ndilachipa bachete kuti na ndakeeneena kufumbwa muntu, ndilamujosezya kazipetedwe tume kumuulo.”
2a1309005e	Jesu wakati, “Sunu lufutuko lwasika kung'anda eeno, nkaambo alakwe ooyu mwana wa Abbulahamu.
2a130a004b	Nkaambo Mwana wa Muntu wakasika kuzooyandula akufutula bantu basweekede.”
2a130b00a6	Nibakachiswiilide eezi zintu, wakasngua kubaambila chikozyanisyo, nkaambo wakali afwiifwi a Jelusalemu, alimwi bakayeeya kuti bwami bwa Leza bwamba kuboneka mpawaawo.
2a130c0065	Aboobo wakati, “Umwi mwaalumi musongo wakayinka kunyika iilikule kuyotambula bwami mpawo akuyoboola
2a130d0078	Wakayita balanda bakwe bali kumi, mpawo wakabapa mali aalikumi akuti kulimbabo, 'Amuchite mabbindawuko mane ndikaboole.'
2a130e007d	Pesi basichisinyina bakalimusulide alomwi bakamutumina bantu bakamutobela, bakati, 'Tatuyandi pe kuti oyu waamlumi atutonge.'
2a130f00b3	Zyakachitika naakaboola lubo, kali watambula bwaami, wakalayilila kuti bayitwe babelesi bakwe aabo mbakapede mali, kuti azibe kuti nimpindunzi njibakajana mukuchita kwabo makwebo.
2a1310005d	Wakusanguna wakasika kunembo lyakwe wati, 'Mwami, mali yako yakazyala aambi mamali aalikumi.'
2a1311009d	Mwaalumi wabusongo wakati kulinguwe, 'Wakachita kabotu, omubelesi mubotu. Nkaambo wakasyomeka muzintu ziniini lino ndakupa manguzu aatla amadolopo aalikumi.'
2a1312004a	Wabili wakasika, wati, 'Mali yako, mwami, yakapanga aambi mali alimusanu.'
2a13130044	Mwaalumi uulemekeka wakati kulinguwe, 'Iwe tola madolopo alimusanu.'
2a13140055	Umwi alakwe wakasika, wati, 'Mwami, njeyi mali yako, ndakayibambide kabotu mumulembo,
