2900000007	ST MARK
2906070088	Kahchu keneti onketi matgha tyechi yehti, eonetye tsi yeteha onkyetatatye; kahchu yehnatsutti yayila yatanatsutti naghaghatai metselihi;
290608007a	Kahchu aychti atuli yatoolai kyatehchu, tghes zon; atu etsunzis, atu chu otles tyes ali, atu chu sooniya kooghele tasulla:
2906090044	Hoontyegho kyetlhi ahoo zon tatyez; kahchu atu onketi kestue taooya.
29060a0055	Kahchu toowela yehti, oolitah nito kwa kwighaachatetah, ayiti ahli achutahaz ti otsi.
29060b00f9	Kahchu atu ninaghatile ati, naghatitsukki ata chu, aisai iiti otsi achutaach ate, naghakye waghat otles ihe kooyeh ooghahtichi. Kwa hli anaghaisii, Otehchi aghatane Sodom yu Gomorrha yu oochu awohtyesi ohtye tane tsiochatihi dzine intyizon ayi tike.
29060c0049	Kahchu achughatestyetl, kahchu tane taghatih ketselihi ooghachatutii gha,
29060d005d	Kahchu natlon metselihi ghaghateha, kahchu kles ihe yakiyehkluk yatitiine, kahchu nayaghinta;
29060e00c8	Kahchu metihi tyiyi Herod otitsuk mewoyu; (atgheze tike okehe midizi khoochatiihe;) kahchu toowe ehti, John matukeghinkliti atai tustye otsi niiya, kahchu ayiwo mehe ohtye keochatichi eotatya aoontye.
29060f0069	Achune ghati, Elias atai, kahchu achune ghati atane tai atahwotine, ehlatine eontye atane tai atahwotine.
2906100055	Ootitsukchi Herod, toowe ehti, John ayi matsi hlihyitl ii: tsitike nesta tustyi otsi.
2906110096	Atai Herod ghochati ochiyateha, John chu niyatinti, kahchu tane kwechayihti tayaghesklu Herodias ihe, mekye Philip tsiyue ihe: atai inkah hlakootsila.
290612003b	Atai John ayehtii Herod, Atu wotezi nai awohi nekye tsiyue.
2906130051	Ayeoo Herodias tike ochehtune yesoohail akhai; ahwole atu hawootli iyu maaoontye:
29061400c5	Atai Herod John enejitieh, atayetioo tyeswe ghata, kahchu maghata oochu tane elieh teze, kahchu yama intityesha; kahchu yatitsukchi oontlon kehe keoachlon, kahchu kyenawolesilon ayiteh otitsuk ate.
29061500bb	Kootoo sookah nitsutooh dzinee khonioonizutooh Herod niyi dzinee khonioonizutooh hatleke eghohtai gha oola tametihi gha, simakunnis metihi tyiyi chu, kahchu haladi kha kakaoozuni Galilee;
29061600b9	Kooh kootoo Herodias matue kwiya tahtitla, kahchu yakeneli Herod chu, ayi yakasatai chu, metihi tyiyi toowe ehti ayi atyedi, Soodinkyet ooli sachinioonunisitassi, atuli necho matuhsesi.
2906170061	Kwete oochu ayehti, Atghaze ooli assyesi oochu gho soodinkyet ate, tghatichi ooli assi naslelasi.
290618006e	Kahchu hadesha totsi anna. Ye ooduskyet aoontye totsi ehtilon? Tsiyua so toowe ehti, John matukeghinkliti tsi.
2906190073	Iteteh kwete metihi tyiyi tsidesha, kahchu atakyet, kooh koosti atezon sahoalli tsa ihkye John matukeghinkliti tsi.
29061a0076	Kahchu ohtye metihi tyiyi atu kenelilon; hoontye ooli oochu ati ihe, kahchu aghatane ihe kookasata, atu yaza ootihyul.
29061b0077	Kwete chu metihi tyiyi otsideha teze, kahchu matsi naghahal yehtilon: kahchu otsidesha tane kwechayehti yetsi hlihyitl.
29061c004a	Kahchu yetsi nanioo tsakyeh, kahchu atyedi ghioo: ooh ayi atyedi to ghioo.
29061d006f	Kootoo yaotatichne oghatitsuk chi, yachihatestyetl kahchu yazeche nighatihtyi, kahchu natine kwati naghanihtyi.
29061e008d	Kahchu wochichatehane aghanetye intataghati Jesus aliiti otsihatestyetl, atghazi kitatati ooli, keooaachii, kahchu ooli tanegha ootatyechine.
29061f00b8	Kahchu toowehchu yehti, Tyetahtyel naghai tyinta oolite yaghi kemwehchi, kahchu oontsutli natahyih: kootoo natlon yuhchighatestyetl kahchu yiteghatestyetl, atulita ahwosits kuzza ooli.
2906200038	Kahchu naoonai ela tu chok ehkyeatachi ehkyeghaghityetl.
29062100d1	Kahchu tane kooya-ih achughatestyetlooh, kahchu natlone atakooyehti, kahchu tane natihti otsi atghe otsi ooghatehsut nito kwa otyiyi aghoo anetye oogha-i, kahchu tane tse nighanintyetl, aghanetye kiyunintyetl.
29062200a1	Kahchu Jesus hadesha natlone tane gha-ih, ohtye matsun tatihti kyehe indityesa, uspai etyieh uspai ghaghatane tane atu ayehi: kahchu tye yaghotatich natlon ooli.
29062300a0	Kootoo ayi dzinelon kwakoole tontyeto kloeh ooli, yaotatichne yachitestyetl, toowe yehtilon eh, Kemwehchi oolilon chodeh, kahchu kwa oonchadeh dzine kloeh ooli:
2906240082	Achuyadeha tike okehe otsighatatyel, kahchu nito kwa ootlonchi, kahchu ataheghatutlihi gha otles tyes: atuli ghatsitsi aghahi ihe.
29062500d4	Ateyatetlalon hoole toowehchu yehti ihe, Naghanilon kiyioohtai kooyanahli. Kahchu toowe kiyehti, Yaghe otsi tawotyeli ataghawothhi ila sooniya onkye keoneti ketyi sachunai ehtye otles tyesta, yaghine ghaoohchuti?
290626007e	Toowela ooli nayetilon, Taitya otles tyes ahiwo? oonkawahya. Kahchu ataghowatichi, toowela ghati, Hlahcheti, hluge chu onketi.
2906270036	Kooh yehtilon eonetye tsi tahtsi kloke tanepyeds tgha.
2906280077	Kahchu ghatye gheskyih inchake, keoneti ketyi tatehtsi inchinatatye, taghane chu hlahcheti ketyi inchinatatye tatehtsi.
29062900ce	Kahchu hlahcheti otles tyes niyatila hluge onketi chu, koohtike ookahtgha yatsi kahchu merci yehti, kahchu otles tyes yataghiyits, kahchu yaotatichne ghila yaniyulel gha; hluge onketi chu anetye tghaestich.
29062a002f	Aghanetye eghaghintalon, oochu tataghanastolon.
29062b005b	Kahchu keneti onketi matgha kloke asklu ghaisis tadesmanoo mechaghintai ihe, hluge ihe chu.
29062c0065	Kahchu yeghaghintaiine otles tyes oolitah hlahcheti keoneti keoneti ketyi sihlon enetyi sihlon tezoo.
29062d008f	Ieti tye kwete anetye ihe yutilon yaotatichne tachin elahkyeootyeli kha, kahchu taityechi otsighatuteligha haladih Bethsaida, achutehaton tane.
29062e0043	Kahchu kootoo achuteha, atai chu yitaityesha khis tsi yaootootyech.
29062f005a	Kahkachi aoocha tsi, tachin ela tatiche tsi tu chok taghalilooh, atane nunkuchi sahti ali.
290630008c	Kahchu yai ohtye keotichoo atowazu; intsita oolieh: oolitah hatlindo aoocha soo tane wohniyalon, tu chok khai niyalon, kahchu yaooyeassilon.
2906310066	Kiyainchi tu khai niya, kooh kooghati tane atsinde ali lontye kiyutih, kahchu ohtye oonighanityetllon:
2906320098	Aghanetye kiyai, kahchu atu oochu indighatyesalon. Kwete inchi ooghatatyech, kahchu toowela yehti, Ohtye soonahtye: suni asli aoontye; atu ooneghahtyel.
2906330068	Kahchu inkhadesha elahkye atine; kahchu intsi adezut: kahchu ohtye khawoghali, kahchu o-ochi khawoghali.
290634005c	Atu ayi indi ghati ihe ayi o-ochi keochaachi kehchi otles tyes: aghatane koodzye natsuttieh.
290635004e	Kootoo naghateskyi tsi, koonaghaghintyetl tike Gennesaret, kahchu tghaghiyetl.
2906360030	Tghaghihyetl tsi ela ehkye tsi, kwete atakiyeti,
2906370072	Kahchu kyeton ghatich aonetye ieti otusinkha, kahchu kyekyeyehtich ayi tyelisatyii tatihi, ali iteh oohatitsukooh.
29063800f2	Kahchu kwiyah assitih nito kwa chisinchi, nito kwa otyiyi koole, tike koole, nikiyityih ayi yatitine atghunni tiche koole, kahchu kichiniooghanunisit kikatutihi gha ghatye makestue maihe aghoo kiyuhchuti gha; yuhchutassihne anetye yaghitalon.
290701005c	KAHCHU anetye machichatyesha Phariseene, tahkine adesklesne chu, ha Jerusalem tsi ghatilhne.
290702009f	Kootoo kiyainchi tahkine yaotatichne aghatsitsoo otlestyes atu ka tila tyeghintyekoo, ayi tsati, kila aghoo atu tyetsaghintyek, tahkine atu tyeswe kooghatilon.
29070300a5	Aghatane Phariseene, Jewne chu atghe, oontlon chi taghila tyenaghatichoo zon aoontye, atu aghatsits athli, kooghatghoonoo yaootyi hatseto koola otehchi meetiootyeha.
29070400e0	Kahchu naghatichta ataghe tsi, atu natsun nootootihul ate, atu awoontsitsassi. Kahchu ooli natlon ooli nikitilaine o-otghooni, tsa nootoochatuhul kahchu mihe tu tsato chu, tanihkluchi satsoone tataoochayihi takehchestai chu.
29070500c5	Kahchu Phariseene chu yatiklesne chu, Taotya kiyehti, Yehoo gha mawotintichne atu nakyehchi indi gha tyes aoontye tane haladi otichne tane, ahwole otles tyes eghaghinta atu tahila tyeghaghintyekoo?
29070600af	Ateyatetla, kahchu toowe yehti, Oochu naghai nasetyilon Esaias naghani oontlon nahtahoo, takehnichatinkles akehe, Ayi tane oochu assaghati taaza ihe, ooh koodzye tontye saooh.
290707004b	Ghatye ahwole kooyaootastech tanegha ooghatatyechoo tane mihe chioochatihi.
2907080089	Tyinta saoo Nagha Tgha otiche, ooahtghoon tane yaghita kehe, nootghochadehulli mehtutsato tsa chu: kahchu ooli natlon ayi etye keoghaach.
2907090056	Kahchu toowe yehti, Oochu Nagha Tgha zake kyenaghali, maghahtai yu aoontye nagha onti.
29070a0083	Atane Moses kooehtii, Ohtye natgha chu noo chu tao-oncha; kooh hatyehlon ooline tatgha tsi to yu ketseliooh otih ate, chazuhelassi:
29070b0095	Ahwole naghai atahti aoontye hoontyeoo ooli tatgha koole to koole, Corban ayi, ayi tsati, kachiahi, yaghi ooli nakeoostich iyu aoontye; kao-ontsutti.
29070c004a	Kahchu atu otehchi machi nioonunahsit ooli yaaootli tatgha koole to koole;
29070d007b	Naghai hahte tsioone Nagha Tgha zake awahtla atuli kyewoti nagha oonti ihe, kanaooii: kahchu ayi etye natlon ooli keoaahch.
29070e005c	Kootoo chu aitye tane kawoti tsi, toowola yehti, Anahtye soozahtsoo naghani kahchu atahtsuk:
29070f007c	Atuli ayi tane matsun khitsi tatyezut ayi mazi ti achi chahtayuleassi: ahwole yetsi hayatehai ayi ali tane chahte ayihihchi.
290710003d	Ooline matsakhe oolitane iiti ootootsukissi, inkai ootootsuk.
290711006a	Kootoo tane oochu tyesha nito kwa, kwenaghacha yaotatichne taoontya yehtilon hleoontye akyehchi oochatihi.
290712008c	Kahchu toowe yehti, Kooka naghatsi toontooe aoontye? Atu kyenahtihela, ahtghazai ooli tsehtsi otsi kwetsutti tane, atu chahte ayili eyontye;
2907130063	Atu madzye tsi ihe ahakootyeh, ahwole mapat tsi, kahchu hatsat oochu sookah nininkyieh aitye etsun?
2907140052	Kahchu toowe ehti, ayi tane tsun tsi hadehtsutti, ayila tsahte ayihihchoonte tane.
2907150073	Koodzye ta otsi tane, ine tsi tatyestek ootye indi metselihi, soochachai chu, nakhochityeli chu, tlahchazaghai chu,
29071600b4	Atsunne achuneih chu, machachintyi chu, inditselihi chu, oochachiti chu, naoona-i indyetselihi chu, atai metselihi chu, atacho chunehliti chu, achachatachai chu, tsaoochayaghi chu.
2907170046	Anetye ooli metselihi kwetsut tane tsun tsi, ahwole tane tsahte ayila.
29071800a1	Ayiti otsi niiya, kahchu tghanatyesha Tyre yu Sidon yu, kahchu nito kwa ootanaghacha, kahchu koonoo atuline atawo-oti kootilon: ahwole atu nana-i iyu aoontyelon.
2907190071	Ehlaiti tsege matue ooli ayehii atsinde metselihi, ootitsuklon, kahchu yuhchideshalon kahchu makye keh nadsutlon:
29071a0089	Yaghi tsege Greek tane, Syrophenician ine tsi ihe otsi tazelh; kahchu yachinioonunisit hayatoohai gha atsinde metselihi matue zi ta otsi.
29071b0081	Ahwole Jesus toowe yehti, Inkai hatse tsito tatanooto; atu oochu tsito taghaotlese kooyehwawachutalli, koohchu kli tsi tsatulihi.
29071c007c	Kahchu ateyatetla kahchu toowela yehti, Ehye, aghaghintaihi: hoontye ooli takyeh yechihtati yue natunahtyeli kli tghaoohtsi.
29071d0052	Kahchu toowe yehti, Tidi sa ihe oodinta; atsinde metselihi natue tsun tsi hadesha.
29071e0065	Kooh niya tsi takwa, yihtyi atsinde metselihi hadesha tsi, koohchu matue takyeh ustyi keh tyelasatyi.
29071f0062	Kooh kahchu yitaityesha Tyre yu Sidon yu otsi, otsidesha tu chok tsi Galilee, taghaniya Decapolis.
290720006f	Kahchu kiyananioo hligi majih oontooehu, atu chu oochu ootatichoo; kahchu yachinioonunisit kooya katootihi gha.
2907210063	Kootoo otsi yatehti tane natlonti, kahchu yaji ta katihtich, kahchu ghizek, yetsoode chu katehtich;
2907220050	Kahchu yatsi ookahta, otyesta, kahchu toowe yehti, Ephphatha, ayi, Tahaootsitti.
2907230059	Itetyeh kwete maji ta hatachil, kahchu matsoode klule tihatuk, kahchu oochu otatich acha.
2907240066	Oochu atuline ataawoti yehtilon: ahwole otaihchi atuline satsih ataawotihi, otaihchi ohtye koohootyeh;
29072500a4	Kahchu o-ochi kao-oli toowe yehtie, Atghaze ooli tsiwohzon keoahchlon: oochu majioontoowene anayitla oochu ootootsuki gha, kahchu saintakline oochu ootootyechi gha.
2908010072	AYI dzine tane o-ochi natlone, kahchu atuli aghahi kiyutsitsi, Jesus yaotatichne tyechi yehti, kahchu toowe yehti,
2908020060	Satyaghisunni tane natlone, kooh kwa taiti dzinee sihaghahtyih, atuli chu aghahi ghatsitsi ooli.
2908030067	Achu kootyehaitye tagha kwa tsi yaghatipatooh, woianh oohatootsitassi, natlone tontye tsi otsighatelyu.
290804005e	Kahchu yaotatichne atetyataih, Tyechi otsi gha tayanooto tine tane otlestyes ihe chode kemweh?
2908050043	Kahchu Taitya otles tyes ahi yehtilon? kahchu toowe ghati, Taiuchi.
29080600b7	Tane tsi tsiwohzon tahtsi tike wozon: ayi ninayatila taiuchi otles tyes, kahchu merci ehti, kahchu yataghiyits, kahchu yaotatichne ghila oochu yaniyuleli; kwa kiyaniyila ine tane gha.
290807005b	Kahchu akiyehii tahke hluge yaintsutle: kahchu merci ehtilon, kooh ehtii ine gha nichuleli.
2908080081	Kahchu eghaghintalon oochu tataghanastolon: kahchu nachatanatyetl neghatila mechacheliih, taiuchi kloke ghaisis tghatatyesmanooh.
290809005a	Kahchu ine eghaghinta, oolita tiko keoneti keoneti ketyi enetyi silon: kahchu achudehalon.
29080a0049	Kwete ela kyiya yaotatichne chu, kahchu yuhchidesha chisinchi Dalmanutha.
29080b0073	Kahchu Phariseene yuhchihatestyetla, kwete kichi sooghatayehch, kiyinkhanata yakachi otsi ehtoole taoontya kiyehti.
29080c00ae	Kahchu ohtye hoontatachehlon matsinde otsi, toowe ehtie, Yehoo gha ine chi hlioolate kiyinkhanata ehtoole, kwa hli anaghaisii, atuli ehtoole naghachualassi tine maghestyekne.
29080d0045	Kahchu yechudesha, kwete elahkyiya taityechi otsi kahchu yitaityesha.
29080e0080	Mawotintichne iine kiyutoonaghatihlon otlestyes kitoolai, kahchu atuli aghahii elahkye ehlaiti zon otehchi otles tyes aghahilon.
29080f0068	Kahchu yechiwoteh. Tyeke khaghahta mehotles chihutli Phariseene, kahchu mehotles chihutli Herod natunne.
290810003a	Kahchu inchioohwatatyech, kooh atuli otles tyes assii ihe.
29081100a5	Jesus atawotihchi, toowe ehti, Yehoo gha inchiootahtyech aoontye atu otles tyes ahi? atu ka atawahtihala, atahtsuk koole? kooka naghadzye natatsutooh sahoohwaoontye?
290812005f	Naghatai chu ooli, atu ookanahtghaala? naghaji chu ooli, atu atahtsukila? atu chu kyejetahtila?
29081300b2	Kooya tseghila tsi hlahcheti otles tyes hlahcho ootatye keoneti keoneti ketyi enetyi, tanetyi kloke ghaisis tadesmanooh nachatanatyetl nita la? Toowe yehti, Keneti onketi matgha.
2908140099	Kahchu taiuchi aline kootghasitich tikooh keoneti keoneti ketyi enetyi, tanetyi kloke ghaisis tadesmanooh nitalala nachatanatyetli? Toowe yehti, Taiuchi.
2908150030	Toowehchu yehti, Yehoo gha atu atahtsak aoontye?
290816006e	Kahchu yuhchityesha Bethsaida tsi; kahchu kiyananihtyi teze mataituehi, kahchu kichiniooghanunisit yakatutihi.
2908170093	Kwa yila inchut ayi teze mataituehi, kahchu nito kwa tsi achuyetehti; kahchu yatai keghizek tsi, kahchu yakahtehtichoo, taoontya yehti ooli ghiila.
290818003d	Kwa yachi tahyatii, kahchu ehti, Tane ghussi tachin etotyeni.
290819006d	Kahchu yatai katehtich, kahchu yitige ookanahta yehti: kootoo oochu oontyei, kahchu aitye tane oochu ya-iine.
29081a0062	Kahchu yakwa tsi yeteha, toowe yehti ihe, Atu otsitaooya nito kwa, atuline chu tataoonti nito kwa.
29081b0091	Jesus hadesha, yaotatichne chu nito kwa tsi Caesarea Philippi; otsighatelu, Taootya yaotatichne tsi ehtilon kooh yehtiihe, Mea ali saghatya tane?
29081c007d	Kahchu toowela ghati, John tanetukeghinkliti tane ali: ahwole tahkine Elias ghati; kahchu achune atanetaihchi atawotine tane.
29081d006c	Kahchu toowe yehti, Ahwole mea ne ahlaoontye? Kahchu Peter ateyatetla kahchu toowela yehti, Nuni ayi Christ.
29081e0029	Kwa yatati atuli tsi hohohoontye atuneoo.
29081f00cc	Kahchu tyi yaotatich, teze chue atghazi ooli kawotoohunne, kahchu yenaooli hoola ale, taneghaotatichi metihi chok yu, adesklesne chu, kahchu tsazughelyu, taiti dzinee kaohtzut ate kahchu tsitike naootezi.
2908200051	Kahchu ehtii ayi zake tanenichi. Kahchu Peter nayanaun, kahchu tyi chuhootatyech.
29082100ce	Ahwole natanyesha tsi yaotatichne chu kanehtgha, Peter chuatatichlon, toowe ehti ihe, Satuchi otsidiya nuni atsinde metselihi: atu indi natih Nagha Tgha tsi tatyesuttih, yaghi zon ooli tane tsi tatyesuttih.
2908220099	Kootoo tane tsi tyechi ehti yaotatichne chu toowe yehti, Ooline sakehtayeh ati, inkai oochit atu tuti ninayatooalli matsookhatayaghi, kahchu nakehtuyesi.
290823008b	Ayih sye nayaghoohtalon kyehghata kehe, tghayatualassi; ayi tayadesooatai kyehghata kehe suni tsi kahchu otich oochu chu, ayi nayahoohtezi.
290824005a	Yechiha yatsi ewoyuesiha tane, tike okehe ootanatsut ateoo, tatsinde tghayaghatyeshai ate?
2908250022	Ooli sitah tyesooite taghatai tah?
29082600bb	Ooline siooyale tane zake chu chode soochaghachatai chu kyidyetseli chu tanegha; ayilon atane tane chue yaooyaooli, kootoo yuhchininiye ate kochi soochunetyi Matgha keotichne oochune chu.
29090100a3	KAHCHU toowe yehti, Kwa hli anaghaisii tahkine chode natehyane atu koozetse nio-olyezi, naooghatyitsi ooli ate Nagha Tgha kyeyi khoonao-ozit ate mehnatsutsutti yu.
29090200b4	Edzetaiti dzine kloe Jesus Peter chu, James chu, John chu hlyekeghatechlon, kwa hlilon otsighatyesha khis tsi ohtye nataghisatti sahte ooghatyi: kahchu yakaitghaityeh achu meotati.
290903005e	Kahchu makestue mesaniti takulli kye yas etye; atuline chode tike hahtye takulli awolene ooli.
290904004f	Kahchu klohnaaghityetl Elias chu Moses chu: kahchu inchiooghatatyech Jesus chu.
29090500a5	Kahchu Peter otyesta, toowehchu yehti Jesus tsi, Metihi, chode itli gha oochu: inkai taodatyedi kwa aootlihi; ehlaiti nuni gha, ehlaiti Moses gha, ehlaiti Elias gha.
2909060038	Atu ti kehe atu ataotihi ihe; ohtye oonighanintyetl ihe.
2909070064	Koos inchi ghililon: kahchu sa ooghatitsuklon yatsi, toowe otieh, Tai la se Chue menusli: Soozehtso.
2909080051	Intyizon, aoonetye ookaghanehtha, atuline otehchi kiya-i, Jesus zon kooyehkatech.
2909090073	Khis chi chyesta ghatestyetlyu, yanaootatich atuline tataeonti ooli ohwehtyi, teze Chue niiya ate zon mazetse otsi.
29090a004b	Ayi zake kaghaghatalon, ayi yea tane zetse achatya oontye toon ghlaghatati.
29090b0054	Kahchu yehoo gha kiyehti, atesklesne yehoo gha koohatya oontya Elias hatse naoojezi?
29090c00b4	Kahchu ateyatetlalon, yatatio yu, Kwa hli Elias hatse niya, atghe chu ooli sookah nioonila; kahchu takehnichatinkles akehe teze Chue ihe, natlon ooli kaootoohanu, kahchu menachule.
29090d007b	Ahwole suni anaghaisii aoontye, Elias kwa hli nooja, akooghati sikooh kooyekechatihtihch, takehnichatinkles akehe atanewoh.
29090e006b	Kahchu yaotatichne wohniya tsi, tane natlone yehkyatich chu yailon, adesklesne chu, taoontya tookooyetilon.
29090f004f	Kwete atghe kiya-ichi, atghe kaooghalilon, kahchu kichiodehsut yilaghinchutlon.
2909100027	Kahchu adesklesne tsi, Taoontya nayeti?
290911006b	Ehlaiti chu tane natlodi otsi ateyatetla toowechu yehti, Metihi nananihtyi sachue ayehi atsinde saititakli;
29091200c8	Kahchu oolita yihchut assiti koohoontye yayaghinchil: maza tsi oohwoos ooli chu, maghoo natazutsun chu, toontyiyazighai chu: kahchu taoontya kooyesi mawotintichne ghakitoohai gha; kwa hli kooyandatla.
29091300a0	Ateyatetlalon ahwole toowe ehti ihe, Naghai naghaje toontooe assine, taisa tsi otsi naghai aoostya aoontye, taisa tsi otsia naghatagha ooslya aoontye? Sananaha.
2909140083	Kahchu kiyananiooh: ya-inchi kwete atsinde kooghoontye yayaghinchil; kahchu tike nadsut, kahchu yatatatyech maza tsi wohoos hailyi.
2909150066	Taoontya yatgha tsi ehti taisa toh otsi kooh hoontyontya? Toowe yehti tsito ali toh otsi kooh hoontye.
2909160086	Oontlon chu tsichataintyi tyenayehtyech ahoo yu, chahteayuliassi: ahwole oolita aotunatlihlon ate, ahoohchunaya, kahchu ahachinootyeh.
290917004d	Jesus toowe yehti, Aha koodinti ate, atghazi ooli nakeotoonezi ayi aha kooti.
2909180085	Kahchu kwete ayi tsito tatgha tsi otyesta, toowehchu ehti manatu ooli, Naghaghintai, kwa hwe a koosti; oochinootyeh atu a koodestihi.
29091900cd	Jesus wa-ichi tane yuhchiinhlaghatelyu, atsinde metselihi tsighotye, toowe yehtie, Nuni naza oontooehi najih oontooe ahoo yu atsinde nali, ohtye anesii, yuhchihadiya matsun tsi, atu chu mazi kahchu taooya.
29091a0090	Kahchu atsinde otyesta, kwete chu yayaghinchil, kahchu yatsun tsi ghotyesha: kahchu tane zetse etyelon; ayiwola natlone, Tehtsut ghatya aoontye.
29091b0044	Ahwole Jesus yila inchut, kahchu tahyatihtyih; kahchu tsitike nesta.
29091c0062	Kootoo kooyachi nito kwa, yaotatichne sahti wahtila yehtilon, Yehoo gha naghai atu nanitun oontye?
29091d006a	Kahchu toowe yehti, Haoontyedi atu ghatyeh ooli ihe ghachatayach, neaghasuchuli zon atu atsutsits ihe chu.
29091e005f	Ieti otsi achughatestyetl, Galilee chu kyechoghatestyetl; koohchu kootilon atuline atawo-otihi.
29091f00a3	Atai yaotatich ihe yaotatichne, toowehchu yehti, Teze Chue tsataghinsut tane tgha, kahchu kizoohelassi; kahchu tsazehai ate, kahchu tsitike nawataizi taiti dzinee.
2909200051	Ahwole atu ooghatitsukoo ayi zake, kahchu taoontya kiyutekhai ooianh kyeghanejit.
290921006f	Kahchu yuhchidesha Capernaum: nito kwa oota ati otye taoontya yehtilon, Yea khama ootahtyechii atghunni otichi?
2909220073	Aghoo atu yachutyehlon: aghatai hahte atghunni otichi hoonchati inchi sooghatatyechlon, mea otehchi chatinchai kha.
29092300aa	Kachu nesta, keneti onketi matgha tyechi yehti, kahchu toowe yehti, Ooline haladi tooshai ate, ayi zon hli haistlachi ayuhezi, kahchu tane gha aoonetye gha keo-otechassi.
290924005d	Kahchu tsito niyatihtyi, kahchu tane kuzze nayenihti: kahchu yakoone yinchut tsi toowe yehti,
2909250092	Mea so niyatuhtyeloo ehlaiti ayi etye tsito sindizi kehchi, suni nisatintyi: mea so nisatuhtyeloo, atu suni nisatintyi, ahwole ayi yuhchisatyehai.
29092600a1	Kahchu John ateyatetlalon, toowe ehtie, Meti, ghityii ehlaiti atsinde metselihi hayateha nindizi ihe, atu chu naghaketayeh: kahchu nanitun, atu naghaketayeh ihe.
2909270080	Jesus toowe ehti koole, Atu nanaghahun, atuline keoosahch akehe keo-oahchassi sindizi ihe, kwete ketseli hakehe sachuohooteissi.
290928002c	Kahchu ayi atu chahte anahilai naghachinati.
2909290097	Mea so chu naghaooalu ehlaiti tsa taismanni tu woton tsindizi ihe, Christ ezon manatunne aghli, kwa hli anaghaisii, atu tayatooalassi machitikechalihi.
29092a00b1	Kahchu ooline chahteayile assine ehlaiti tidi natsutli aha sooti, otehchi ootaizi atunewoh mehnachahtune kazze tsye ma koos echaghesklu ate, tyechunnityeh ate tu chok ticha tsi.
29092b00bc	Kahchu nila chahtontye ate, hlyenihul: otaihchi oochu nuni gha kweghoya tsaghatati achaghilihi ihe, nila onketi aghoo kochi otsitiya iyu aoontye khoon metselihi tsi, khoon atu nanatsaisti:
29092c0030	Nootya atu taikyehti, khoon chu atu nanatsaisti.
29092d00b8	Kahchu nakye chahtontye ate, hlyenihul: otaihchi oochu nuni gha kweghoya tsaghatati achaghilihi ihe, nakye onketi aghoo ghotsinachatutyeissi khoon metselihi tsi, khoon atu nanatsaisti:
29092e002f	Noota atu taikyehti, khoon chu atu nanatsaisti.
29092f00bc	Kahchu natai nihe atu oochu ookaitghai ate, hanehchul: otaihchi nawotaizi Nagha Tgha tike tsi oowooeissi natai ehlaiti ate, natai onketi aghoo ate otsinachatuhtyelassi khoon metselihi tsi:
2909300030	Nootya atu taikyehti, khoon chu atu nanatsaisti.
2909310065	Aitye tane sootakun natghachulelassi khoon ihe, tsichatullihi assi chu sootakun ihe matghaachulehesi.
2909320098	Sootakun oochu: ahwole sootakun natuetah sootakun matghachilihi, tyeha kyehea sootakun matgha awahhliha? Sootakun kyatihch, kahchu oochu eotine klahtyi.
290a0100af	KAHCHU iiti otsi niiya, kahchu yuhchiklodesha Judea ti otaihchi Jordan natyechi: kahchu tane yinkhatyesha; kahchu tane ootanaun akehe kooh otye keeoach ahli taneghaotatyechoo.
290a020072	Kahchu Phariseene yechitestyetl kahchu taoontya yehti, Oochu la teze tatsiyue yechanaolohu aotezi? kikaotyehunooh.
290a030044	Kahchu ateyatetlalon toowehchu yehtilon Tyeha kehe anaghehtya Moses?
290a040074	Kahchu toowe ghati, Moses hatyeh kha syeklah takehnichatinklessi o-ochatihtyehi adusklesse, kahchu oonchatoohtyellu.
290a05006a	Kahchu Jesus ateyatetlakahchu toowe yehti, Naghadzye natsut akehe ayi ihe naghatsi achateskleslon tidi sa.
290a060041	Ahwole hatseto otsi tike ooli toh Nagha Tgha teze oola tsege chu.
290a07003d	Ayi otsi teze tatgha echeli to chu kahchu tatsiyue kah awoti;
290a08006c	Kahchu kooh chu onkeghatatye kootsun ehlatootyesi: atu otaihchi onkyeghatutyesi ahwole kootsun ehlatootyesi.
290a09003b	Oo ayi Nagha Tgha tsayaghehtichii, atuline inchake niyulel.
290a0a0042	Kahchu nito kwa oota yaotatichne taoontya yehti kwaka inhligi tsi.
290a0b006a	Kahchu toowe yehti, Ooline assine tatsiyue odehtyetine achune chu makahtueh akoochaile ate, soocha keoach.
290a0c0048	Tsege chu tatsiyue odehtye, kahchu makahtueh achilai ate, soocha keoach.
290a0d0062	Kahchu kiyananihtyi tsito yechihai, yekatootihi; yaotatichne yachuootatyech ayi naghanihtyisi ihe.
290a0e00bb	Ahwole Jesus wa-ichi, ohtye atu minihtike ooghilelon, kahchu toowe yehti, Ghateh kooyasahlah tsito yechihai sachaghatutyeli, kahchu atu nanahahun: ayi ihe nao-oaizi Nagha Tgha kyeyih tsi.
290a0f006a	Kwa hli anaghaisii. Ooline atu niyatiooti Nagha Tgha kyeyih yechinekehchi atu Nagha Tgha kahchi koowoyezi.
290a100051	Kahchu yakoone ihe niyatintyih, kahchu yakatihtich, kahchu oochu yachi indityesa.
