0100000014	1 Мојсијева
040a1600b9	Затим је кренула застава Јефремовог табора по својим војскама, на челу са Елисамом, сином Амијудовим.
040a170073	Над војском Манасијиног племена био је Гамалило, син Фадасуров
040a180076	Над војском Венијаминовог племена био је Авидан, син Гадеонијев.
040a190107	Онда је, као пратећа стража свих табора, кренула застава Дановог табора, по својим војскама. Над њиховом војском био је Ахијезер, син Амисадајев.
040a1a0068	Над војском Асировог племена био је Фагаило, син Ехранов.
040a1b006c	Над војском Нефталимовог племена био је Ахиреј, син Енанов.
040a1c0088	То је био ред по коме су Израиљци путовали, кад су кретали по својим четама.
040a1d0158	Мојсије рече своме тасту Ховаву, сину Рагуила Мадијанца: „Путујемо на место за које је Господ рекао: ’Вама ћу га дати.’ Пођи с нама и чинићемо ти добро, јер је Господ обећао добро Израиљу.“
040a1e0086	Он му одговори: „Нећу поћи, него ћу се вратити у своју земљу и у свој род.“
040a1f00dd	Мојсије му рече: „Молим те, немој да нас оставиш; ти, наиме, знаш где да се утаборимо у пустињи, па ћеш нам бити попут очију.
040a200094	Ако пођеш с нама, што год добро Господ учинио нама, исто добро ћемо учинити теби.“
040a2100f8	Тако су са Горе Господње кренули на тродневни пут. Испред њих је ишао Ковчег Господњег савеза та три дана пута, да им нађе место за одмор.
040a220070	Облак Господњи је дању био над њима кад би полазили из табора.
040a2300f4	Кад је Ковчег полазио, Мојсије је говорио: „Устани, Господе, нека се разиђу твоји душмани! Нека се разбеже пред тобом они што те мрзе!“
040a24008c	А кад се заустављао, говорио је: „Врати се, Господе, [међу] Израиљеве хиљаде!“
040b010148	Међутим, народ је почео да гунђа у Господње уши ради свога злопаћења. Кад је то Господ чуо, распалио се његов гнев: плануо је Господњи огањ међу њима, па је прождро један крај табора.
040b02008b	Тада је народ завапио к Мојсију. Мојсије се помолио Господу и огањ се угасио.
040b030079	Тако се то место прозвало Тавера, јер је тамо плануо огањ Господњи.
040b0400d6	Али светину међу њима је спопала жудња, па су Израиљци поново почели да јадикују и говоре: „Ко ће нас нахранити месом?
040b0500aa	Сећамо се како смо у Египту забадава јели рибу, па краставце, диње, празилук, и црни и бели лук.
040b060072	Сада нам је душа у носу, а ништа друго не видимо осим ове мане!“
040b070070	Мана је била као зрно коријандра, а изгледала је као бделијум.
040b080123	Народ је ишао около и купио је, а затим су је млели на жрвњима, или је мрвили у авану, и кували у лонцу. Од тога су правили колаче, који су имали укус уљаних колача.
040b090067	Када би у току ноћи роса пала на табор, на њу би пала мана.
040b0a00e7	Мојсије је чуо да народ јадикује – свака породица на улазу свог шатора. Тада се Господ силно разгневио, а Мојсије се озловољио.
040b0b00f3	Мојсије рече Господу: „Зашто злопатиш свога слугу? Зашто ми ниси исказао наклоност, него си натоварио на мене терет свег овог народа?
040b0c013b	Јесам ли ја зачео сав овај народ? Јесам ли их ја родио, кад ми кажеш: ’Носи их у своме наручју, као што дојиља носи одојче’, у земљу коју си уз заклетву обећао њиховим прецима?
040b0d0093	Одакле ми месо за сав овај народ, јер ми вапе говорећи: ’Дај нам месо да једемо!’?
040b0e0071	Не могу сам да носим сав овај народ, јер је то претешко за мене.
040b0f00ea	Ако ћеш овако да поступаш са мном, боље је да ме одмах убијеш. А ако сам стекао наклоност пред тобом, не дај да гледам своју муку.“
040b100164	Господ рече Мојсију: „Окупи ми седамдесет људи од израиљских старешина за које знаш да су старешине народа и његови надгледници. Затим их доведи пред Шатор од састанка и постави их тамо са собом.
040b11012b	Тада ћу сићи и говорити тамо с тобом, па ћу узети од Духа који је на теби и ставити га на њих. Тако ће заједно са тобом носити терет народа, па га нећеш више носити сам.
040b120160	А народу реци: ’Посветите се за сутра, па ћете јести месо, јер кукате у Господње уши и говорите: „Ко ће нас нахранити месом? Било нам је боље у Египту.“ Господ ће вам дати месо, па ћете се најести.
040b130076	И нећете јести само дан или два, ни пет, ни десет ни двадесет дана,
040b140146	него читав месец, док вам не изађе на нос, те вам постане одвратно, јер сте презрели Господа који је међу вама, и кукали пред њим говорећи: „Због чега смо то излазили из Египта?“’“
040b1500ec	Мојсије рече на то: „Ја сам међу народом који броји шест стотина хиљада пешака, а ти кажеш: ’Даћу им меса, па ће јести месец дана!’
040b1600f7	Да се закољу и стада оваца и крда говеда, да ли би то било довољно за њих? Чак и да се све рибе извуку из мора, да ли би им то било довољно?“
040b1700f3	Господ одговори Мојсију: „Зар је рука Господња тако кратка? Сада ћеш видети хоће ли се испунити моја реч коју сам ти рекао, или неће.“
040b1800d3	Мојсије изађе и пренесе народу речи Господње. Затим је окупио седамдесет старешина народа и поставио их око Шатора.
040b190176	И Господ се спустио у облаку и говорио са њим. Потом је узео нешто од Духа који је био на њему и ставио га на седамдесет старешина. Кад је Дух починуо на њима, почели су да пророкују, али нису више то поновили.
040b1a014b	А у табору су остала два човека. Један се звао Елдад, а други Модад. На њих се спустио Дух. Они су били међу пописаним старешинама, али нису отишли у Шатор, него су пророковали у табору.
040b1b0086	Тада неки момак отрчи и јави Мојсију: „Елдад и Модад пророкују у табору!“
040b1c00b4	Исус Навин, Мојсијев помоћник, један од његових момака, рече: „Мојсије, господару мој, забрани им!“
040b1d0101	Али Мојсије му рече: „Зар си завидан ради мене? Е, кад би сви у народу Господњем постали пророци! Кад би само Господ ставио свога Духа на њих!“
040b1e006b	Потом се Мојсије са израиљским старешинама вратио у табор.
040b1f0140	Господ је учинио да дуне ветар, који је донео препелице с мора и разасуо их по табору, на дан хода с једне стране табора и на дан хода с друге стране табора, на два лакта од земље.
040b200122	Народ је устао, па је купио препелице сав дан и сву ноћ, и сав наредни дан. Онај који је најмање скупио имао је десет хомера. Затим су их разасули свуда по табору.
040b2100f3	Док им је месо још било у зубима – било је још несажвакано – плану гнев Господњи на народ, и Господ удари народ веома великим помором.
040b22009c	Зато се то место прозвало Киврот-Атава, јер су тамо сахранили народ који се полакомио.
040b230075	Из Киврот-Атаве народ је кренуо у Асирот и утаборио се у Асироту.
040c0100ca	Марија и Арон су почели да говоре против Мојсија због кушанске жене коју је оженио; јер је узео за жену Кушанку.
040c0200b4	Рекли су: „Зар је Господ говорио само преко Мојсија? Није ли говорио и преко нас?“ Господ је то чуо.
040c030078	А Мојсије је био веома понизан човек, најпонизнији човек на земљи.
040c0400b2	Господ одмах рече Мојсију, Арону и Марији: „Дођите, вас троје, у Шатор од састанка!“ Њих троје оду.
040c0500b7	Господ сиђе у стубу од облака, па стаде на улаз од Шатора и позва: „Ароне и Марија!“ Они ступе напред.
040c0600d3	Господ рече: „Чујте моје речи: кад се међу вама нађе пророк Господњи, ја му се објављујем у виђењу и говорим му у сну.
040c070083	Али са мојим слугом Мојсијем није тако; он је веран Богу над целим домом.
040c08010e	Ја му проговарам лицем у лице, у збиљи, а не у загонеткама; он гледа обличје Господње. Како се, онда, не бојите да говорите против мога слуге Мојсија?“
040c090048	Господ плану својим гневом на њих и оде.
040c0a00dc	Када се облак подигао са Шатора, а оно, Марија огубавела, [бела] као снег. Арон се окренуо према Марији, кад гле, она губава.
040c0b00c9	Тада Арон рече Мојсију: „Молим те, мој господару, немој нас казнити за грех који смо починили у својој лудости!
040c0c00ae	Не дај да она буде као мртво дете, које изађе из мајчине утробе с већ напола распаднутим телом!“
040c0d0081	Тада је Мојсије завапио Господу и рекао: „О, Боже, молим те, исцели је!“
040c0e0137	Господ рече Мојсију: „Да јој је отац пљунуо у лице, не би ли носила своју срамоту седам дана? Нека буде одвојена изван табора седам дана, а онда нека опет буде прикључена.“
040c0f00cd	Тако је Марија била одвојена изван табора седам дана. Народ није полазио док Марија није била поново прикључена.
040c100084	После тога је народ отишао из Асирота, и утаборио се у Фаранској пустињи.
040d010025	Господ рече Мојсију:
040d02010f	„Пошаљи људе да извиде хананску земљу, коју дајем Израиљцима. Из сваког отачког племена пошаљи по једног човека. Нека сваки од њих буде њихов кнез.“
040d0300bc	Тако их је Мојсије послао из Фаранске пустиње по Господњој заповеди. Сви су они били главари Израиљаца.
040d040071	Ово су њихова имена: из Рувимовог племена: Самуја, син Захуров;
040d050048	из Симеуновог племена: Сафат, син Сурин;
040d06004a	из Јудиног племена: Халев, син Јефонијин;
040d07004a	из Исахаровог племена: Игал, син Јосифов;
040d08004c	из Јефремовог племена: Осија, син Навинов;
040d090056	из Венијаминовог племена: Фалтије, син Рафујев;
040d0a004c	из Завулоновог племена: Гудило, син Судин;
040d0b0075	из Јосифовог племена (из Манасијиног племена): Гадије, син Сусин;
040d0c0046	из Дановог племена: Амило, син Гамалин;
040d0d0049	из Асировог племена: Сатур син Михаилов;
040d0e0054	из Нефталимовог племена: Навија, син Вофсијев;
040d0f0048	из Гадовог племена: Гудило, син Макијев.
040d1000be	То су имена људи које је Мојсије послао да извиде земљу. А Мојсије је прозвао Осију, сина Навиновог, Исус.
040d1100c1	Кад их је послао да извиде хананску земљу, Мојсије им је рекао: „Идите горе у Негев, па се успните на горје!
040d1200a7	Извидите каква је земља, да ли је народ који живи у њој јак или слаб, има ли их мало или много.
040d1300b1	Да ли је земља у којој живе добра или лоша? Да ли су градови у којима живе неограђени или утврђени?
040d1400f9	Да ли је земља плодна или неплодна? Има ли у њој дрвећа или нема? Будите храбри и донесите од плодова земље.“ А било је време раног грожђа.
040d150081	Тада су отишли и извидели земљу од пустиње Цин до Реова, код Лево-Амата.
040d160110	Попели су се у Негев и дошли у Хеврон, где су живели Енакови потомци Ахиман, Сесај и Талмај. (Хеврон је био изграђен седам година пре египатског Соана.)
040d1700e6	Кад су дошли до потока Есхола, одсекли су лозу с једним гроздом, који су двојица носила на мотки, а понели су и нарова и смокава.
040d180089	То место се прозвало поток Есхол због грозда који су тамо Израиљци одсекли.
040d190061	Из извиђања земље су се вратили после четрдесет дана.
040d1a0133	По повратку су отишли к Мојсију, Арону и свој израиљској заједници у Кадис у Фаранској пустињи, и донели извештај њима и свој заједници, а показали су им и плодове земље.
040d1b00c6	Испричали су му: „Отишли смо у земљу у коју си нас послао, и заиста у њој теку мед и млеко. Ово су њени плодови!
040d1c00c5	Али народ који живи у земљи је моћан, а градови су утврђени и веома велики. Тамо смо видели и Енакове потомке.
040d1d00bb	У Негеву живе Амаличани, а у горју живе Хетити, Јевусејци и Аморејци. Хананци живе уз море и уз Јордан.“
040d1e00bf	Тада Халев утиша народ пред Мојсијем и рече: „Хајде, пођимо горе и освојимо је, јер је можемо савладати!“
040d1f00af	Али људи који су отишли горе с њим рекоше: „Не можемо ићи горе на онај народ, јер је јачи од нас!“
040d200191	Тако су међу Израиљцима раширили неповољан извештај о земљи коју су извиђали, говорећи: „Земља кроз коју смо прошли да је извидимо је земља која прождире своје становнике, а сав народ који смо видели у њој је горостасан!
040d2100e8	Тамо смо видели и Нефилиме – Енаковце дивовског порекла. Чинило нам се да смо према њима као скакавци, а тако се и њима чинило.“
040e010089	На то се сва заједница узбунила и ударила у вику; и народ је плакао оне ноћи.
040e0200e0	Сви су Израиљци гунђали против Мојсија и Арона; сва им је заједница говорила: „Е, да смо само помрли у Египту, или у пустињи!
040e0300f3	Зашто нас Господ води у ову земљу? Да погинемо од мача, а наше жене и деца да постану робље? Није ли боље за нас да се вратимо у Египат?“
040e040088	Тада рекоше један другом: „Хајде да поставимо вођу и вратимо се у Египат!“
040e050071	Мојсије и Арон падоше ничице пред свом израиљском заједницом.
040e0600d3	Тада су Исус, син Навинов, и Халев, син Јефонијин, који су били међу онима што су уходили земљу, раздерали своју одећу
040e0700bd	и рекли свој израиљској заједници: „Земља кроз коју смо прошли да је извидимо изванредно је лепа земља!
040e0800be	Ако будемо угодни Господу, он ће нас увести у ову земљу и дати нам је. То је земља у којој теку мед и млеко.
040e090109	Само се не буните против Господа. Не бојте се народа земље, јер су за нас као залогај хлеба; њих нема ко да заштити, а с нама је Господ. Не бојте се!“
040e0a00e4	Међутим, сва је заједница претила да ће их каменовати. Тада се слава Господња указала свим Израиљцима код Шатора од састанка.
040e0b00f2	Господ рече Мојсију: „Докле ће ме презирати овај народ? Докле ће одбијати да ми верују упркос свих знакова које сам учинио међу њима?
040e0c0093	Ударићу их помором и затрти их, а од тебе ћу учинити народ већи и моћнији од њих.“
040e0d00ac	Али Мојсије рече Господу: „Кад то чују Египћани између којих си извео овај народ својом силом,
040e0e019b	они ће то рећи становницима ове земље. А они су чули да си ти, Господе, усред овога народа; да им се ти, Господе, указујеш лицем у лице, и да твој облак стоји над њима; да идеш пред њима, дању у стубу од облака, а ноћу у стубу од огња.
040e0f0097	Ако побијеш овај народ до последњег, онда ће народи, који су чули за твоје име, рећи:
040e1000c7	’Господ није могао да доведе овај народ у земљу коју им је уз заклетву обећао, па их је зато побио у пустињи.’
040e11007b	А сад, Господе, нека се покаже твоја сила, као што си обећао, рекавши:
040e120157	’Господ је спор на срџбу, богат милошћу, опрашта кривицу и преступ, али кривца не оставља некажњена, него кажњава неправду отаца на њиховој деци и унуцима све до трећег и четвртог колена.’
040e1300b6	Опрости кривицу овом народу по великој твојој милости, као што си му опраштао од Египта па до сада.“
040e140046	Господ рече: „Опраштам по твојој речи.
040e15006f	Али, тако ми живота, и тако слава Господња испунила сву земљу,
040e160116	ни један од људи који су видели моју славу и знакове које сам учинио у Египту и у пустињи, а који су ме искушавали десет пута и били непослушни моме гласу,
040e1700c8	неће видети земљу коју сам уз заклетву обећао њиховим оцима. Ни један од тих што су ме презрели неће је видети.
040e180131	А свога слугу Халева – зато што је другачијег духа и зато што се потпуно поуздао у мене – њега ћу одвести у земљу у коју је отишао, и његови ће је потомци добити у посед.
040e1900af	Пошто Амаличани и Хананци живе у долини, сутра се вратите и идите у пустињу према Црвеном мору.“
040e1a003e	Затим Господ рече Мојсију и Арону:
040e1b00c2	„Докле ће ова опака заједница да гунђа против мене? Чуо сам приговоре Израиљаца, који гунђају против мене.
040e1c00a8	Реци им: ’Тако ми мога живота – говори Господ – учинићу вам оно што сте ми рекли на моје уши.
040e1d0108	Ваша ће мртва тела попадати по овој пустињи, сви ви који сте уведени у разне пописе, од двадесет година па навише, ви који сте гунђали против мене;
040e1e0111	ни један од вас неће ући у земљу за коју сам се уз подигнуту руку заклео да ћу вас населити у њој, осим Халева, сина Јефонијиног и Исуса, сина Навиновог.
040e1f00c2	Ипак, вашу децу, за коју сте рекли да ће постати робље, њих ћу увести да упознају земљу коју сте ви презрели.
040e200053	А ваша мртва тела ће попадати по овој пустињи.
040e210105	Ваша деца ће бити пастири у пустињи четрдесет година и испаштати због вашег неверства, док ваша тела до последњег не пропадају мртва у пустињи.
040e220144	Испаштаћете своје кривице четрдесет година, према броју дана – четрдесет дана током којих сте извиђали земљу, за сваки дан по годину. Тако ћете знати шта значи противити ми се.’
040e23010d	То сам ја, Господ, рекао, и ја ћу то јамачно учинити свој овој опакој заједници која се уротила против мене. У овој пустињи ће скончати; ту ће помрети.
040e24010e	А људи које је Мојсије послао да извиде земљу, и који су се вратили и изазвали сву заједницу да гунђа против њега доневши неповољан извештај о земљи,
040e2500a5	исти ти људи који су донели неповољан извештај о земљи, помрли су од пошасти пред Господом.
040e2600b8	Од тих људи који су ишли да извиде земљу, преживели су само Исус, син Навинов, и Халев, син Јефонијин.“
040e270098	Кад је Мојсије изговорио ове речи свем израиљском народу, народ се веома ожалостио.
040e2800f3	Али у рано јутро они устану и почну да се пењу на врх горја, говорећи: „Згрешили смо, али ево, идемо на место о коме је Господ говорио.“
040e29007f	Мојсије им рече: „Зашто преступате заповест Господњу? То неће успети.
040e2a009f	Не пењите се, јер Господ није међу вама; иначе ћете бити потучени од својих непријатеља!
040e2b00e7	Наиме, испред вас су Амаличани и Хананци, па ћете изгинути од мача. Одвратили сте се од Господа, и зато Господ неће бити с вама.“
040e2c00d2	Али они пркосно наставише да се пењу на врх горја, иако ни Мојсије, ни Ковчег Господњег савеза, нису пошли из табора.
040e2d00a7	Тада су сишли Амаличани и Хананци који су живели у горју, и потукли их, гонећи их све до Орме.
040f010025	Господ рече Мојсију:
040f020098	„Говори Израиљцима. Реци им: ’Кад уђете у земљу коју вам дајем да се у њој населите,
040f03016b	па будете хтели да принесете паљену жртву Господу од крупне или ситне стоке на угодан мирис Господу, било жртву свеспалницу или жртву ради испуњења завета, или добровољну жртву, или у време празника,
040f0400d7	онај ко приноси принос Господу, нека принесе и житну жртву, једну десетину ефе брашна умешеног са четвртином хина уља.
040f0500e0	За свако јагње које се приноси на жртву свеспалницу или неку другу жртву, принеси и четвртину хина вина за жртву изливницу.
040f0600a7	За овна, принеси житну жртву од две десетине ефе брашна умешеног с једном трећином хина уља,
040f07008d	а за жртву изливницу принеси једну трећину хина вина на угодан мирис Господу.
040f0800bb	Кад приносиш Господу јунца на жртву свеспалницу, било као жртву за испуњење завета, или као жртву мира,
040f090098	уз јунца принеси и житну жртву од три десетине ефе брашна замешеног с пола хина уља.
040f0a0079	За жртву изливницу принеси пола хина вина на угодан мирис Господу.
040f0b00a1	Тако треба учинити са сваким волом и овном, и са сваким живинчетом, јагњетом или јаретом.
040f0c0082	Колико год да их принесете, тако учините са сваким, колико год да их има.
040f0d00ab	Нека свако ко је рођен у земљи поступи овако кад приноси паљену жртву на угодан мирис Господу.
040f0e0165	Ако се странац досели к вама, или се трајно настани међу вама, и хоће да принесе паљену жртву на угодни мирис Господу, нека је принесе онако како је ви приносите. Иста је уредба и за вас и за странца.
040f0f0096	То је трајна уредба за ваше нараштаје. И ви и странци бићете једнаки пред Господом.
040f10008e	Исти закон и исти пропис важиће и за вас и за странца који борави међу вама.’“
040f110025	Господ рече Мојсију:
040f120081	„Говори Израиљцима. Реци им: ’Кад будете ушли у земљу у коју вас водим,
040f130062	и будете јели хлеб те земље, принесите принос Господу.
040f1400ac	Од првине теста принесите принос у виду колача; принесите га као што се приноси принос с гумна.
040f15007c	Приносите Господу принос од првине теста од нараштаја до нараштаја.
040f16009e	Али ако нехотице згрешите, па не извршите све ове заповести које је Господ дао Мојсију;
040f1700d2	све што вам је Господ заповедио преко Мојсија, од дана када вам је Господ дао заповест за све ваше нараштаје, до сад,
040f1801ba	уколико је учињено нехотице, без знања заједнице, нека сва заједница принесе од крупне стоке једног јунца као жртву свеспалницу на угодан мирис Господу, заједно са житном жртвом и жртвом изливницом, по пропису, и једног јарца за жртву за грех.
040f190181	Свештеник нека изврши обред откупљења за сву израиљску заједницу и биће им опроштено; грех, наиме, није био учињен намерно, а они су принели своју жртву – паљену жртву Господу – и жртву за грех ради своје грешке.
040f1a00d9	Тако ће бити опроштено свој израиљској заједници и сваком странцу који је међу њима, јер је сав народ нехотице згрешио.
040f1b00a3	Ако неко нехотице згреши, нека принесе једно женско јаре од годину дана као жртву за грех.
040f1c0138	Затим нека свештеник изврши обред откупљења пред Господом за онога ко је нехотице згрешио, јер је ненамерно згрешио; кад изврши обред откупљења за њега, биће му опроштено.
040f1d00cb	Било да се ради о Израиљцу рођеном у земљи или о странцу међу њима, исти закон важи за сваког ко нехотице згреши.
040f1e00cc	Ако неко из пркоса увреди Господа, било да је рођен у земљи или је странац, нека се такав истреби из свога народа.
040f1f00db	Пошто је презрео Господњу реч и прекршио његову заповест, нека се такав човек истреби; његова кривица остаће на њему.’“
040f200099	Док су Израиљци били у пустињи, нашли су човека који је скупљао грање на суботњи дан.
040f21009a	Они који су га нашли да скупља грање одвели су га пред Мојсија, Арона и сву заједницу.
040f22008a	Ставили су га под стражу, јер још није било јасно како треба поступити с њим.
040f2300bc	Господ рече Мојсију: „Нека се човек свакако погуби. Нека га сва заједница заспе камењем изван табора.“
040f2400c5	Тада га је сва заједница извела изван табора и засула га камењем, те је умро, као што је Господ рекао Мојсију.
040f250025	Господ рече Мојсију:
040f260110	„Говори Израиљцима. Реци им нека праве ресе на скутима своје одеће, од нараштаја до нараштаја, а на ресу сваког скута нека привезују љубичасту врпцу.
040f270116	Имаћете ресу да се, кад је видите, сетите свих Господњих заповести и вршите их, како не бисте следили своје срце и своје очи, које вас наводе на неверство.
040f280095	Тада ћете се сећати свих мојих заповести и вршити их, па ћете бити свети свом Богу.
040f2900a8	Ја сам Господ, Бог ваш, који сам вас извео из Египта, да вам будем Бог. Ја сам Господ, Бог ваш!“
04100100c7	А Кореј, син Исаров, син Катов, син Левијев, Датан и Авирон, синови Елијавови, и Авнан, син Фалетов, син Рувимов,
04100200f9	се побунише против Мојсија. С њима је било и две стотине педесет Израиљаца, кнезова заједнице, угледних људи, које је изабрала заједница.
0410030136	Окупе се они против Мојсија и Арона и кажу им: „Превршили сте меру! Сва је заједница света, сваки од њих, а Господ је међу њима. Ви се постављате изнад Господње заједнице!“
0410040041	Кад је Мојсије то чуо, пао је ничице.
041005015b	Затим је рекао Кореју и свој његовој заједници: „Ујутро ће Господ обзнанити ко је његов и ко је свет, и коме допушта да ступи пред њега. Онај кога изабере, томе ће допустити да ступа пред њега.
0410060071	Нека Кореј и сва његова заједница ураде ово: узмите кадионице,
041007010d	па сутра у њих ставите ватру, а на њу ставите кад пред Господом. Човек кога Господ изабере, тај ће бити свет. Ви сте превршили меру, синови Левијеви!“
041008005e	Затим Мојсије рече Кореју: „Чујте, синови Левијеви!
0410090166	Зар вам је мало што вас је Бог Израиљев издвојио из све Израиљеве заједнице и допустио да ступате пред њега, да обављате службу у Господњем Пребивалишту, и да стојите пред заједницом и служите јој?
04100a00dd	Он је дозволио теби и свој твојој браћи са тобом, синовима Левијевим, да ступате пред њега, а ви још тражите и свештенство.
04100b00b2	Стога сте се ти и твоја заједница удружили против Господа; јер ко је Арон да гунђате против њега?“
04100c00b9	Затим је Мојсије послао да позову Датана и Авирона, сина Елијавовог. Они рекоше: „Ми нећемо доћи горе.
04100d00ed	Није ли довољно што си нас извео из земље у којој теку мед и млеко да нас помориш у пустињи, него још хоћеш и да господариш над нама?
04100e012c	Осим тога, ниси нас довео у земљу у којој теку мед и млеко, и ниси нам дао у посед њиве и винограде. Шта хоћеш? Да преведеш ове људе жедне преко воде? Нећемо доћи горе.“
04100f00ee	Мојсије се врло наљути и рече Господу: „Не обазири се на њихове приносе. Од њих нисам узео ни магарца, нити сам наудио коме од њих.“
04101000be	А Кореју Мојсије рече: „Појавите се пред Господом, ти и твоја заједница. Будите сутра овде ти, они и Арон.
041011011a	Нека сваки узме своју кадионицу и у њу стави кад, и принесе своју кадионицу пред Господа, две стотине педесет кадионица. Ти и Арон узмите своје кадионице.“
04101200fb	Сваки човек је узео своју кадионицу и у њу ставио ватру и положио на њу кад. Затим су стали на улаз Шатора од састанка са Мојсијем и Ароном.
04101300be	Кад је Кореј окупио сву заједницу на улаз Шатора од састанка, појавила се слава Господња свој заједници.
041014003c	Тада Господ рече Мојсију и Арону:
0410150063	„Одвојте се од ове заједнице, да их докрајчим за час.“
04101600fa	Али они падоше на земљу и рекоше: „О, Боже духова свих створења, зар ћеш се разгневити на сву заједницу зато што је један човек сагрешио?“
0410170033	Господ рече Мојсију и Арону:
041018008e	„Реци заједници: ’Одступите од Корејевих, Датанових, и Авиронових шатора.’“
0410190088	Мојсије устане и оде к Датану и Авирону; пратили су га израиљске старешине.
04101a00f4	Тада је рекао заједници: „Одступите од шатора ових опаких људи, и не дирајте ништа што им припада, да не изгинете због њихових греха.“
04101b0111	Тада су одступили од шатора Кореја, Датана и Авирона. А Авирон и Датан су изашли и стали на улаз својих шатора са својим женама, синовима и малом децом.
04101c00cd	Тада Мојсије рече: „Овако ћете знати да ме је Господ послао да учиним сва ова дела, и да их не чиним од своје воље.
04101d00be	Ако ови људи умру као што сви људи умиру, те их задеси оно што задеси све људе, онда ме Господ није послао.
04101e0143	Али ако Господ учини нешто невиђено: ако земља отвори своје ждрело и прогута и њих и све што је њихово, па живи сиђу у Свет мртвих, тада ћете знати да су ти људи презрели Господа.“
04101f0066	Чим је изговорио све ове речи, расцепи се земља под њима;
04102000d1	земља је отворила своје ждрело и прогутала и њих и њихове домове, са свим Корејевим људима и свом њиховом имовином.
04102100ba	Тако су и они и све њихово живи сишли у Свет мртвих; земља се затворила над њима, па су нестали из збора.
04102200cf	Сав се Израиљ, који је био око њих, разбежао кад је чуо њихове крике, говорећи: „Бежимо, да и нас не прогута земља!“
04102300a6	Тада је плануо огањ од Господа и прождро оних две стотине педесет људи, који су принели кад.
