010000000b	1 Mooseksen
0114010070	Niin Abraham vaelsi sieltä etelään päin, ja asui Kadeksen ja Surrin vaiheella: ja oli muukalainen Gerarissa.
011402008d	Ja Abraham sanoi emännästänsä Saarasta: hän on minun sisareni. Niin Abimelek Gerarin kuningas lähetti ja antoi noutaa Saaran tykönsä.
01140300b3	Mutta Jumala tuli Abimelekin tykö yöllä unessa: ja sanoi hänelle: katso, sinun pitää kuoleman sen vaimon tähden, jonkas ottanut olet; sillä hän on yhden miehen aviovaimo.
0114040062	Mutta Abimelek ei ollut ryhtynyt häneen, ja sanoi: Herra tahdotkos myös surmata hurskaan kansan?
01140500af	Eikö hän sanonut minulle: hän on minun sisareni, ja hän myös itse sanoi: hän on minun veljeni: yksivakaisella sydämellä ja viattomilla käsillä olen minä sen tehnyt.
01140600e5	Ja Jumala sanoi hänelle unessa: minä myös tiedän, ettäs sydämes yksivakaisuudessa sen tehnyt olet. Sentähden minä myös estin sinun, ettes rikkoisi minua vastaan; jonka tähden en minä sallinut sinua ryhtymään häneen.
01140700f2	Niin anna nyt miehelle hänen emäntänsä jälleen; sillä hän on propheta: ja hän on rukoileva sinun edestäs, ettäs saat elää. Mutta jos et sinä anna häntä jälleen, niin tiedä, ettäs totisesti kuolet, ja kaikki mitä sinulla on.
0114080094	Niin Abimelek nousi varhain aamulla, ja kutsui kaikki palveliansa, ja puhui kaikki nämät sanat heidän kuultensa: ja miehet pelkäsivät suuresti.
01140900fe	Ja Abimelek kutsui Abrahamin, ja sanoi hänelle: mitäs meille teit? ja mitä minä olen rikkonut sinua vastaan, ettäs saattaisit minulle ja minun valtakunnalleni niin suuren rikoksen? sinä olet tehnyt minua vastaan niitä töitä joita ei sovi tehdä.
01140a0048	Ja Abimelek sanoi vielä Abrahamille: mitäs näit, ettäs tämän teit?
01140b0084	Abraham sanoi: minä ajattelin: kukaties ei tässä paikassa ole yhtään Jumalan pelkoa: ja he surmaavat minun, emäntäni tähden.
01140c0080	Ja hän on tosin minun sisareni: sillä hän on minun isäni tytär, vaan ei äitini tytär: ja minä otin hänen emännäkseni.
01140d00dd	Koska Jumala laski minun kulkemaan isäni huoneesta, sanoin minä hänelle: tämä on sinun lempes, jonka sinun minua kohtaan pitää tekemän: kuhunka paikkaan ikänänsä me tulemme, sano minusta: hän on minun veljeni.
01140e0090	Niin Abimelek otti lampaita, ja karjaa, ja palvelioita, ja piikoja, ja antoi Abrahamille: ja antoi hänelle jälleen Saaran hänen emäntänsä.
01140f0060	Ja Abimelek sanoi: katso, minun maani on altis sinun edessäs: asu kussa sinulle parhain kelpaa.
0114100100	Ja sanoi Saaralle: katso, minä olen antanut veljelles tuhannen hopiapenninkiä, katso, ne pitää oleman sinulle silmäin peitteeksi, kaikkein edessä, jotka sinun kanssas ovat, ja kaikkein muiden edessä. Ja niin vahvistettiin (hänen nuhteettomuutensa).
0114110077	Ja Abraham rukoili Jumalaa: ja Jumala paransi Abimelekin, ja hänen emäntänsä, ja hänen piikansa, ja ne siittivät.
0114120069	Sillä Herra oli peräti sulkenut kaikki kohdut Abimelekin huoneessa, Saaran Abrahamin emännän tähden.
0115010063	Ja Herra etsei Saaraa, niinkuin hän sanonut oli: ja Herra teki Saaralle niinkuin hän puhunut oli.
011502007d	Ja Saara tuli raskaaksi, ja synnytti Abrahamille pojan hänen vanhuudessansa; sillä ajalla kuin Jumala hänelle sanonut oli.
011503006e	Ja Abraham kutsui poikansa nimen, joka hänelle syntynyt oli, ja jonka Saara hänelle synnyttänyt oli, Isaak.
011504006a	Ja Abraham ympärileikkasi poikansa Isaakin kahdeksan päiväisenä: niinkuin Jumala hänen käskenyt oli.
0115050050	Ja Abraham oli sadan ajastaikainen, koska Isaak hänen poikansa hänelle syntyi.
0115060060	Ja Saara sanoi: Jumala on tehnyt minulle nauron: kuka ikänä sen saa kuulla, hän nauraa minua.
011507008e	Ja sanoi vielä: kuka olis taitanut sanoa Abrahamille: Saara on lapsia imettävä; sillä minä olen synnyttänyt pojan hänen vanhuudessansa.
011508006a	Ja lapsi kasvoi ja vieroitettiin: ja Abraham teki suuren pidon sinä päivänä, jona Isaak vieroitettiin.
0115090060	Ja Saara näki Egyptiläisen Hagarin pojan, jonka se Abrahamille synnyttänyt oli, pilkkaajaksi.
01150a0087	Ja sanoi Abrahamille: aja ulos tämä palkkavaimo poikinensa: sillä palkkavaimon pojan ei pidä perimän minun poikani Isaakin kanssa.
01150b004e	Ja tämä sana oli Abrahamin mielestä sangen karvas, hänen poikansa tähden.
01150c00be	Mutta Jumala sanoi Abrahamille: älä ota sitä pahakses pojasta ja palkkapiiastas: kaikki mitä Saara sinulle sanoo, niin kuule häntä: sillä Isaakissa pitää sinulle siemen kutsuttaman.
01150d0050	Minä teen myös piikas pojan (suureksi) kansaksi; että hän sinun siemenes on.
01150e00de	Niin nousi Abraham aamulla varhain, ja otti leipiä ja vesileilin; ja antoi Hagarille, ja pani hänen selkäänsä, ja (antoi hänelle) pojan, ja laski hänen menemään. Ja hän meni matkaansa, ja eksyi BerSaban korvessa.
01150f003f	Koska vesi oli loppunut leilistä, heitti hän pojan puun alle.
01151000c0	Ja meni pois, ja istui hänen kohdallensa taamma, liki joutsen kantamalle; sillä hän sanoi: en minä voi nähdä pojan kuolemaa. Ja hän istui hänen kohdallensa, korotti äänensä ja itki.
01151100bd	Ja Jumala kuuli pojan äänen, ja Jumalan enkeli huusi Hagaria taivaasta, ja sanoi hänelle: mikä sinun on, Hagar? älä pelkää; sillä Jumala on kuullut pojan äänen, kussa hän makaa.
0115120058	Nouse, ota poika, ja tue häntä kädelläs: sillä minä teen hänen suureksi kansaksi.
0115130080	Ja Jumala avasi hänen silmänsä, että hän näki vesikaivon; niin hän meni ja täytti leilin vedellä, ja antoi pojan juoda.
011514005e	Ja Jumala oli pojan kanssa, ja hän kasvoi; ja asui korvessa, ja tuli tarkaksi joutsimieheksi.
0115150055	Ja asui Paranin korvessa; ja hänen äitinsä otti hänelle emännän Egyptin maalta.
0115160088	Sillä ajalla puhui Abimelek ja hänen sotapäämiehensä Phikol Abrahamille, sanoen: Jumala on sinun kanssas kaikissa mitä sinä teet.
0115170102	Niin vanno nyt minulle tässä Jumalan kautta, ettes ole minulle, ja minun pojalleni, ja poikanipojalle petollinen; vaan sen laupiuden jälkeen, jonka minä tein sinun kanssas, tee sinä myös minun kanssani, ja sen maan kanssa, jossa sinä olet muukalainen.
0115180021	Niin sanoi Abraham: minä vannon.
011519006f	Ja Abraham nuhteli Abimelekiä, sen vesikaivon tähden, kun Abimelekin palveliat olivat väkivallalla ottaneet.
01151a0096	Ja Abimelek sanoi: en ole minä tietänyt kuka sen teki; etkä sinä ilmoittanut minulle; enkä minä sitä ole ennen kuullut, kuin tänä päivänä.
01151b0069	Niin otti Abraham lampaita ja karjaa, ja antoi Abimelekille; ja he tekivät molemmat liiton keskenänsä.
01151c003a	Ja Abraham asetti seitsemän karitsaa laumasta erinänsä.
01151d0061	Ja Abimelek sanoi Abrahamille: mihinkä ne seitsemän karitsaa, jotkas olet asettanut erinänsä?
01151e0093	Hän vastasi: nämät seitsemän karitsaa pitää sinun ottaman minun kädestäni, todistukseksi minulle, että minä olen tämän kaivon kaivanut.
01151f005a	Sentähden kutsui hän sen sian BerSaba: sillä siinä he molemmat vannoivat keskenänsä.
0115200083	Ja niin he tekivät liiton BerSabassa. Ja Abimelek nousi ja Phikol hänen sotapäämiehensä, ja palasivat Philistealaisten maalle.
011521005e	Ja Abraham istutti puita BerSabassa; ja saarnasi siinä Herran ijankaikkisen Jumalan nimestä.
0115220038	Ja oli muukalainen Philistealaisten maalla kauvan aikaa.
011601007e	Ja koska se oli tapahtunut, koetteli Jumala Abrahamia, ja sanoi hänelle: Abraham. Ja hän vastasi: Katso, tässä minä olen.
01160200ba	Ja hän sanoi: ota nyt Isaak sinun ainoa poikas, jotas rakastat, ja mene Morian maalle; ja uhraa häntä siellä polttouhriksi yhdellä niistä vuorista, jonka minä sinulle sanova olen.
01160300e5	Niin Abraham nousi varhain aamulla, ja valjasti aasinsa, ja otti kaksi palveliaansa kanssansa, ja poikansa Isaakin; ja halkoili puita polttouhriin, ja valmisti itsensä, ja meni sille paikalle, minkä Jumala oli hänelle sanonut.
011604004d	Kolmantena päivänä nosti Abraham silmänsä, ja näki sen paikan taampana.
01160500bb	Silloin Abraham sanoi palvelioillensa: olkaat te tässä itseksenne aasin tykönä; mutta minä ja poika käymme tuonne. Ja koska me olemme rukoilleet, niin me palajamme teidän tykönne.
011606009c	Ja Abraham otti polttouhrin halvot, ja sälytti poikansa Isaakin selkään, vaan itse hän otti tulen ja veitsen käteensä; ja he kävivät molemmat ynnä.
01160700bf	Niin sanoi Isaak isällensä Abrahamille: minun isäni. Hän vastasi: katso, tässä minä olen, poikani. Ja hän sanoi: katso, tässä on tuli ja halvot; mutta kussa on lammas polttouhriksi?
0116080072	Abraham vastasi: JUmala on edeskatsova itsellensä lampaan polttouhriksi, poikani. Ja he kävivät molemmat ynnä.
01160900ba	Ja kuin he tulivat sille paikalle, josta Jumala oli hänelle sanonut, teki Abraham siihen alttarin, ja pani halvot; ja sitoi poikansa Isaakin, ja pani hänen alttarille halkoin päälle.
01160a0043	Ja ojensi kätensä, ja sivalsi veitsen, teurastaaksensa poikaansa.
01160b0067	Niin Herran enkeli huusi häntä taivaasta, sanoen: Abraham, Abraham. Hän vastasi: tässä minä olen.
01160c00c0	Hän sanoi: älä satuta kättäs poikaan, älä myös hänelle mitään tee: sillä nyt minä tiedän, että sinä pelkäät Jumalaa, ja et ole säästänyt ainokaista poikaas minun tähteni.
01160d00b6	Niin Abraham nosti silmänsä, ja äkkäsi oinaan takanansa, sarvista sekaantuneena tihkiään pensastoon. Niin Abraham meni, ja otti oinaan ja uhrasi polttouhriksi poikansa edestä.
01160e0077	Ja Abraham nimitti sen paikan, Herra on edeskatsova: josta vielä tänäpänä sanotaan, Herran vuorella edeskatsotaan.
01160f003b	Mutta Herran enkeli huusi Abrahamia toistamiseen taivaasta.
0116100077	Ja sanoi: Minä olen vannonut itse kauttani, sanoo Herra: ettäs tämän teit, ja et säästänyt sinun ainoaa poikaas;
01161100b7	Niin minä suuresti siunaan sinun, ja runsaasti lisään sinun siemenes niinkuin taivaan tähdet, ja niinkuin sannan meren reunalla. Ja sinun siemenes on perivä vihollistensa portit.
0116120078	Ja sinun siemenessäs pitää kaikki kansat maan päällä siunatuksi tuleman, ettäs minun äänelleni kuuliainen olit.
0116130074	Sitte palasi Abraham palveliainsa tykö, ja he nousivat, ja ynnä matkustivat BerSabaan. Ja Abraham asui BerSabassa.
011614008a	Ja koska nämät olivat tapahtuneet, ilmoitettiin Abrahamille sanoen: katso, Milka on myös synnyttänyt poikia sinun veljelles Nahorille.
0116150048	Esikoisensa Utsin, ja Butsin hänen veljensä, ja Kemuelin Aramin isän.
011616003e	Ja Kesedin ja Hasonin, ja Pildaksen ja Jedlaphen, ja Betuelin.
011617005b	Mutta Betuel siitti Rebekan. Nämät kahdeksan synnytti Milka Nahorille Abrahamin veljelle.
0116180059	Mutta hänen jalkavaimonsa, Rehuma nimeltä, synnytti Teban, Gahamin, Tehaksen ja Maakan.
0117010063	Ja Saaran elinaika oli sata ja seitsemänkolmattakymmentä ajastaikaa: ne olivat Saaran ikävuodet.
011702007f	Ja Saara kuoli Arban kaupungissa, joka (on) Hebron Kanaanin maalla. Niin tuli Abraham murehtimaan Saaraa ja itkemään häntä.
0117030044	Sitte nousi hän kuolleensa tyköä; ja puhui Hetin lapsille sanoen:
01170400ad	Minä olen muukalainen ja kuitenkin asuvainen teidän tykönänne, antakaat minulle perintöhauta teidän tykönänne, haudatakseni minun kuolleeni, joka on minun edessäni.
0117050038	Niin vastasivat Hetin lapset Abrahamia, sanoen hänelle:
01170600cc	Kuule meitä, rakas herra: sinä olet Jumalan ruhtinas meidän seassamme, hautaa sinun kuollees meidän parhaisiin hautoihimme: ei yksikään meistä sinua kiellä hautaamasta kuolluttas hänen hautaansa.
011707005e	Niin Abraham nousi ja kumarsi itsensä maan kansan edessä, (nimittäin) Hetin lasten edessä.
01170800bf	Ja hän puhui heille, sanoen: jos teidän mielenne on, että minä hautaan minun kuolleeni, joka minun edessäni on; niin kuulkaat minua, ja rukoilkaat minun edestäni Ephronia Zoarin poikaa.
01170900a5	Että hän antais minulle Makpelan luolan, joka hänellä on, vainionsa perällä: täyden hinnan edestä antakaan sen minulle teidän keskellänne perintöhaudaksi.
01170a00b5	Sillä Ephron asui Hetin lasten seassa. Niin vastasi Ephron Hetiläinen Abrahamia, Hetin poikain kuullen, kaikkein sisälle ja ulos käyväisten hänen kaupunkinsa portista, sanoen:
01170b00b8	Ei, minun herrani, vaan kuule minua; vainion minä annan sinulle, ja luolan, joka siinä on, annan minä sinulle: minun kansani lasten nähden annan minä sen sinulle; hautaa kuollees.
01170c0024	Abraham kumarsi maan kansan edessä.
01170d00a4	Ja puhui Ephronille maan kansan kuullen, sanoen: jos sinä minua kuulet: minä annan rahan vainion edestä, ota se minulta, ja minä hautaan minun kuolleeni siihen.
01170e002a	Ephron vastasi Abrahamia, sanoen hänelle:
01170f0085	Minun herrani, kuule minua: maa maksaa neljäsataa sikliä hopiaa; vaan mitä se on minun ja sinun välilläs? hautaa sinun kuollees.
0117100091	Abraham kuuli Ephronia, ja punnitsi hänelle rahan, jonka hän nimittänyt oli Hetin lasten kuullen: neljäsataa sikliä hopiaa, käypää rahaa.
01171100bd	Ja niin vahvistettiin Ephronin vainio, joka Makpelassa on Mamren kohdalla, sekä pelto että luola joka siinä on, ja kaikki puut siinä vainiossa, jotka ympäri kaikissa sen rajoissa ovat.
011712008b	(Kaikki ne tulivat) Abrahamille omaisuudeksi Hetin lasten nähden: kaikkein (nähden), jotka sisällekävivät hänen kaupunkinsa portista.
0117130087	Ja sitte hautasi Abraham emäntänsä Saaran siihen luolaan, joka oli Makpelan vainiossa Mamren kohdalla; se on Hebron Kanaanin maalla:
0117140067	Niin vahvistettiin siis vainio ja luola, joka siinä oli, Abrahamille perintöhaudaksi, Hetin lapsilta.
0118010056	Ja Abraham oli vanha ja joutunut ijälliseksi: ja Herra oli siunannut hänen kaikissa.
0118020085	Niin sanoi Abraham vanhimmalle huoneensa palvelialle, joka kaikki hallitsi, mitä hänellä oli: laske nyt kätes minun kupeeni alle.
011803009b	Ja minä vannotan sinua Herran taivaan ja maan Jumalan kautta; ettes ota emäntää minun pojalleni Kanaanealaisten tyttäristä, joiden seassa minä asun.
011804005f	Vaan mene minun isäni maalle ja minun sukuni tykö; ja ota minun pojalleni Isaakille emäntä.
01180500b9	Ja palvelia sanoi: jos niin tapahtuis, ettei vaimo tahtoisi seurata minua tähän maahan: pitääkö minun kumminkin viemän jällensä sinun poikas sille maalle, jostas lähtenyt olet?
0118060052	Abraham sanoi hänelle: kavahda sinuas, ettes vie minun poikaani sinne jällensä.
0118070116	Herra taivaan Jumala, joka minun otti isäni huoneesta ja syntymä-maaltani, ja joka minun kanssani puhui, ja myös vannoi minulle, sanoen: sinun siemenelles minä annan tämän maan: hän lähettää enkelinsä sinun edelläs, ettäs ottaisit minun pojalleni emännän sieltä.
0118080088	Jos ei vaimo tahtoisi seurata sinua, niin sinä olet vapaa tästä minun valastani; ainoastansa älä vie minun poikaani sinne jälleen.
0118090055	Niin laski palvelia kätensä herransa Abrahamin kupeen alle; ja vannoi hänelle sen.
01180a00ae	Niin otti palvelia kymmenen kamelia herransa kameleista, ja läksi matkaan, ja otti myötänsä kaikkinaisesta herransa tavarasta: ja vaelsi Mesopotamiaan Nahorin kaupunkiin.
01180b009e	Ja hän antoi kamelein laskea polvillensa ulkona kaupungista vesikaivon tykönä; ehtoopuolella, jolla ajalla vaimoväen tapa oli lähteä vettä ammuntamaan.
01180c0094	Ja sanoi: Herra, minun herrani Abrahamin Jumala, anna minun kohdata tänäpänä (herrani morsiamen); ja tee laupius minun herrani Abrahamin kanssa.
01180d0087	Katso, minä seison tässä vesikaivon tykönä: ja heidän tyttärensä, jotka asuvat tässä kaupungissa, tulevat vettä ammuntamaan.
01180e0108	Jos joku piika tulee, jolle minä sanon: kallista tänne vesiastias juodakseni, ja hän sanoo: juo, minä juotan myös sinun kamelis: että hän on se, jonkas olet edeskatsonut palvelialles Isaakille, ja siitä ymmärtäisin tehnees laupiuden minun herrani kanssa.
01180f00b0	Ja ennenkuin hän lakkasi puhumasta, katso, Rebekka tuli, joka syntynyt oli Betuelille, Milkan, Abrahamin veljen Nahorin emännän pojalle. Ja hänellä vesiastiansa olallansa.
01181000a3	Ja piika oli sangen ihana nähdä, ja vielä neitsy, ja ei yksikään mies ollut häneen ryhtynyt: hän meni alas kaivon tykö, ja täytti astiansa, ja tuli ylös.
011811005a	Niin palvelia juoksi häntä vastaan, ja sanoi: annas minun juoda vähä vettä astiastas.
0118120073	Hän sanoi: juo minun herrani: ja hän kiiruusti laski alas vesiastiansa kätensä päälle, ja antoi hänen juoda.
0118130084	Ja kuin hän oli antanut hänen juoda, sanoi hän: minä myös ammunnan vettä kameleilles, niinkauvan että he kaikki saavat juoda.
011814007d	Ja hän kaasi kohta veden astiastansa ruuheen, ja juoksi taas kaivolle ammuntamaan: ja ammunsi kaikille hänen kameleillensa.
0118150080	Mutta mies ihmetteli häntä: ja oli ääneti, ja tahtoi tietää, jos Herra oli tehnyt hänen matkansa onnelliseksi, taikka ei.
01181600c4	Ja koska kaikki kamelit olivat juoneet, antoi mies hänelle kulta-otsalehden, joka painoi puolen sikliä: niin myös kaksi rannerengasta hänen käsiinsä, jotka painoivat kymmenen sikliä kultaa.
0118170067	Ja sanoi: kenenkäs tytär olet? sanos minulle se: onko isäs huoneessa siaa meidän yötä ollaksemme?
011818005e	Hän sanoi hänelle: minä olen Betuelin, Milkan pojan, tytär, jonka hän synnytti Nahorille.
0118190069	Ja hän vielä sanoi hänelle: on myös olkia ja karjan ruokaa kyllä meillä: ja myös siaa yötä olla.
01181a0029	Ja mies kumarsi maahan ja rukoili Herraa:
01181b00cf	Ja sanoi: kiitetty olkoon Herra, minun herrani Abrahamin Jumala, joka ei ottanut pois laupiuttansa ja totuuttansa minun herraltani: minua on Herra johdattanut tällä tiellä, minun herrani veljen huoneesen.
01181c0040	Niin piika juoksi ja ilmoitti nämät asiat äitinsä huoneessa.
01181d0059	Oli myös Rebekallla veli, jonka nimi oli Laban: ja Laban juoksi miehen tykö lähteelle.
01181e00df	Sillä koska hän näki otsalehden ja rannerenkaat sisarensa käsissä, ja kuuli sisarensa Rebekan puheet, sanovan: näin on mies puhunut minulle; tuli hän miehen tykö, ja katso, hän seisoi kamelein tykönä lähteellä.
01181f0079	Ja sanoi: tule sisälle, sinä Herran siunattu, mitäs seisot ulkona? minä olen huoneen valmistanut, ja sian kameleille.
01182000ad	Niin meni mies huoneesen, ja riisui kamelit: ja hän antoi olkia ja ruokaa kameleille, ja vettä pestä hänen jalkojansa, ja miesten jalkoja, jotka hänen kanssansa olivat.
0118210085	Sitte pantiin ruokaa hänen eteensä: mutta hän sanoi: en minä syö ennenkuin minä olen puhunut minun asiani. He vastasivat: puhu.
011822002a	Hän sanoi: minä olen Abrahamin palvelia.
01182300b3	Ja Herra on runsaasti siunannut minun herrani, ja hän on suureksi tullut, ja on antanut hänelle lampaita ja karjaa, hopiaa ja kultaa, palvelioita ja piikoja, kameleja ja aaseja.
011824009a	Niin myös Saara minun herrani emäntä on synnyttänyt minun herralleni pojan, vanhalla ijällänsä: hänelle on hän antanut kaikki mitä hänellä on.
0118250092	Ja minun herrani vannotti minua, sanoen: ei sinun pidä ottaman minun pojalleni emäntää Kanaanealaisten tyttäristä, joiden maalla minä asun.
0118260063	Vaan mene minun isäni huoneesen, ja minun sukuni tykö; ja ota (sieltä) minun pojalleni emäntä.
0118270052	Mutta minä sanoin minun herralleni: taitais tapahtua, ettei vaimo seuraisi minua?
01182800d5	Niin hän sanoi minulle: Herra, jonka edessä minä vaellan, lähettää enkelinsä sinun kanssas, joka tekee sinun matkas onnelliseksi, ottamaan minun pojalleni emäntä minun suvustani ja minun isäni huoneesta.
011829008b	Silloin sinä tulet vapaaksi minun valastani, koskas tulet minun sukuni tykö: ja jos ei he anna sinulle, niin sinä olet vapaa valasatani.
01182a00a5	Niin tulin minä tänäpänä lähteelle, ja sanoin: Herra, minun herrani Abrahamin Jumala, jos sinä olet tehnyt minun matkani onnelliseksi, jota minä nyt vaellan.
01182b00a8	Katso, niin seison minä tässä vesilähteen tykönä: koska yksi piika tulee vettä ammuntamaan, ja minä sanon hänelle: annas minulle vähä vettä juoda astiastas:
01182c008c	Ja hän sanoo minulle: juo sinä, minä ammunnan myös sinun kameleilles: se on se vaimo, jonka Herra on edeskatsonut minun herrani pojalle.
01182d00c4	En minä vielä päässyt puhumasta sydämessäni, katso, niin Rebekka tuli, ja hänen vesiastiansa hänen olallansa, astui alas lähteelle ja ammunsi: ja minä sanoin hänelle: annas minun juoda.
01182e008c	Ja hän riensi ja laski vesiastian olaltansa alas, ja sanoi: juo, minä juotan myös kamelis. Niin minä join, ja hän juotti myös kamelit.
01182f00e8	Ja minä kysyin häneltä, ja sanoin: kenekä tytär sinä olet? hän vastasi: minä olen Betuelin tytär, Nahorin pojan, jonka Milka hänelle synnytti. Niin minä panin otsalehden hänen otsaansa, ja rannerenkaat hänen käsiinsä:
01183000c5	Ja kumarsin itseni maahan ja rukoilin Herraa: ja kiitin Herraa, minun herrani Abrahamin Jumalaa, joka minun oli johdattanut oikiaa tietä, ottamaan hänen pojallensa minun herrani veljen tytärtä.
01183100d5	Ja nyt, jos te olette ne, jotka osotatte minun herralleni laupiuden ja totuuden, niin sanokaat minulle: ja jos ei, niin sanokaat myös minulle, että minä kääntäisin itseni oikialle taikka vasemmalle puolelle.
011832008b	Niin vastasi Laban ja Betuel, ja sanoivat: tämä asia on tullut Herralta; sentähden emme taida sinua vastaan puhua, pahaa taikka hyvää.
0118330072	Siinä on Rebekka edessäs, ota häntä ja mene, ja olkaan sinun herras pojan emäntä, niinkuin Herra on sanonut.
0118340054	Ja koska Abrahamin palvelia kuuli heidän sanansa; kumarsi hän maahan Herran eteen.
0118350093	Ja palvelia toi hopia- ja kultakalut, ja vaatteet, ja antoi Rebekalle: vaan hänen veljellensä ja äidillensä antoi hän (muita) kalleita kaluja.
01183600ba	Niin he söivät ja joivat, hän ja miehet, jotka hänen kanssansa olivat, ja siellä pitivät yötä: ja he nousivat aamulla varhain: ja hän sanoi: päästäkäät minua herrani tykö.
0118370083	Mutta hänen veljensä ja äitinsä sanoivat: olkaan piika meidän tykönämme edes kymmenenkin päivää: sitte sinä saat mennä.
0118380098	Niin sanoi hän heille: älkäät viivyttäkö minua: sillä Herra on tehnyt minun matkani onnelliseksi: laskekaat minua menemään minun herrani tykö.
0118390046	Niin he sanoivat: kutsukaamme piika, ja kysykäämme mitä hän sanoo.
01183a006b	Ja he kutsuivat Rebekan, ja sanoivat hänelle: tahdotkos mennä tämän miehen kanssa? hän vastasi: menen.
01183b008b	Niin he laskivat sisarensa Rebekan menemään, ja hänen imettäjänsä, Abrahamin palvelian kanssa; ja ne jotka hänen seurassansa olivat.
01183c00a0	Ja he siunasivat Rebekkaa ja sanoivat hänelle: sinä olet meidän sisaremme, lisäänny tuhannen tuhanteen; ja sinun siemenes omistakoon vihamiestensä portit.
01183d0088	Niin Rebekka nousi piikoinensa, ja istuivat kamelein päälle, ja seurasivat sitä miestä. Ja palvelia otti Rebekan, ja meni matkaansa.
01183e0075	Mutta Isaak palasi siltä kaivolta, joka kutsuttiin sen elävän, joka minun näkee: sillä hän asui etelän maalla.
01183f0073	Ja oli lähtenyt rukoilemaan kedolle ehtoopuolella: ja nosti silmänsä, ja näki, ja katso, kamelit lähestyivät.
011840005b	Ja Rebekka nosti silmänsä ja näki Isaakin: ja pudotti itsensä maahan kamelin päältä:
01184100a0	Ja sanoi palvelialle: mikä mies tämä on, joka kedolla käy meitä vastaan? palvelia vastasi: se on minun herrani: niin hän otti vaatteen ja peitti itsensä.
0118420046	Ja palvelia jutteli Isaakille kaiken asian, kuin hän oli toimittanut.
0118430090	Ja Isaak vei hänen äitinsä Saaran majaan: ja otti Rebekan emännäksensä, ja rakasti häntä: ja niin Isaak lohdutettiin äitinsä jälkeen.
011901002f	Ja Abraham taas otti emännän nimeltä Ketura.
0119020051	Hän synnytti hänelle Simran ja Joksan, ja Medan ja Midian, ja Jesbakin ja Suan.
0119030058	Mutta Joksan siitti Seban ja Dedanin. Dedanin lapset olivat: Asserim, Letusin ja Luumim.
011904005f	Midianin lapset olivat: Epha, Epher, Hanok, Abida, ja Eldaa: nämät kaikki ovat Keturan pojat.
0119050036	Ja Abraham antoi kaikki mitä hänellä oli Iisakille.
01190600b2	Mutta niille lapsille, jotka jalkavaimoista olivat, antoi hän lahjoja, ja lähetti heidät pois poikansa Isaakin tyköä, vielä eläissänsä, idän puoleen, itäiselle maalle.
011907005d	Ja tämä on Abrahamin elinaika, kuin hän eli: sata ja viisikahdeksattakymmentä ajastaikaa.
011908007f	Ja hän tuli riutuneeksi, ja kuoli levollisassa ijässä, vanhana ja elämästä kyllänsä saanut: ja koottiin kansansa tykö.
0119090084	Ja hänen poikansa Isaak ja Ismael hautasivat hänen Makpelan luolaan: Ephronin Hetiläisen Zoarin pojan vainiossa, Mamren kohdalle:
01190a0072	Sille kedolle, jonka Abraham oli ostanut Hetin lapsilta: siihen on Abraham haudattu, ja Saara hänen emäntänsä.
01190b0086	Ja Abrahamin kuoleman jälkeen siunasi Jumala hänen poikansa Isaakin: Ja Isaak asui sen elävän, joka minun näkee, kaivon tykönä.
01190c0068	Mutta nämät ovat Ismaelin Abrahamin pojan sukukunnat, jonka Hagar Egyptiläinen Saaran piika synnytti.
01190d0089	Ja nämä ovat Ismaelin poikain nimet, heidän nimeinsä ja sukukuntainsa jälkeen: Ismaelin esikoinen oli Nebaot, Kedar, Abdeel, Mibsam,
01190e0012	Misma, Duma, Masa,
01190f0024	Hadar, Tema, Jetur, Naphis ja Kedma.
0119100099	Nämät ovat Ismaelin lapset, ja nämät heidän nimensä, heidän kylissänsä ja kaupungeissansa: kaksitoistakymmentä ruhtinasta heidän kansoissansa.
011911008d	Ja tämä on Ismaelin ikä: sata ja seitsemänneljättäkymmentä ajastaikaa: ja hän tuli riutuneeksi, ja kuoli, ja koottiin kansansa tykö.
011912009d	Mutta he asuivat Hevilasta hamaan Surriin asti, joka on Egyptin kohdalla Assyriaan mentäissä. Kaikkein hänen veljeinsä kohdalle lankesi (hänen arpansa).
011913004b	Ja nämät ovat Isaakin Abrahamin pojan sukukunnat: Abraham siitti Isaakin.
01191400a8	Ja Isaak oli neljänkymmenen ajastaikainen, koska hän otti Rebekan Betuelin Syrialaisen tyttären Mesopotamiasta, Labanin syrialaisen sisaren, itsellensä emännäksi.
0119150095	Ja Isaak rukoili Herraa emäntänsä edestä; sillä hän oli hedelmätöin, ja Herra kuuli häntä: niin Rebekka hänen emäntänsä tuli raskaaksi.
01191600a6	Ja lapset sysäsivät toinen toistansa hänen kohdussansa. Niin hän sanoi: jos näin piti käymän, miksi minä olen (raskaaksi tullut?) ja meni kysymään Herralta.
01191700af	Ja Herra sanoi hänelle: kaksi kansaa ovat sinun kohdussas, ja kahtalainen väki erkanee sinun ruumiistas: mutta toinen kansa voittaa toisen, ja suurempi palvelee vähempää.
0119180048	Koska aika tuli synnyttää; katso, kaksoiset olivat hänen kohdussansa.
0119190071	Ensimäinen joka tuli ulos, oli ruskia ja karvainen niinkuin vaate: sentähden kutsuivat he hänen nimensä Esau.
