0100000009	Yaritilix
012c2100a4	Xunga ⱨazir ɵtünüp ⱪalay, mǝnki kǝminiliri u yigitning ornida hojamning ⱪexida ⱪul bolup tursam, u yigit ⱪerindaxliri bilǝn billǝ ⱪaytip kǝtsǝ!
012c2200a8	Qünki yigit mǝn bilǝn bolmisa, mǝn ⱪandaⱪmu atamning ⱪexiƣa baralaymǝn? Atamƣa xundaⱪ azab-oⱪubǝtning qüxüxini kɵzüm kɵrgüqi bolmisun! — dedi.
012d010151	Yüsüp ɵz yenida turƣanlarning aldida ɵzini tutalmay: — Ⱨǝmmǝ adǝm aldimdin qiⱪiriwetilsun! dǝp warⱪiridi. Xuning bilǝn Yüsüp ɵzini ⱪerindaxliriƣa axkara ⱪilƣanda uning ⱪexida ⱨeqkim bolmidi. U ⱪattiⱪ yiƣlap kǝtti; misirliⱪlar uni anglidi, Pirǝwnning ordisikilǝrmu buningdin [tezla] hǝwǝr tapti.
012d0300b8	Yüsüp ⱪerindaxliriƣa: — Mǝn Yüsüp bolimǝn! Atam ⱨazir ⱨayatmu?! — dǝp soridi. Əmma ⱪerindaxliri uningƣa ⱪarap ⱨoduⱪup ketip, ⱨeq jawab berǝlmǝy ⱪaldi.
012d0400bd	Lekin Yüsüp ularni: — Ⱪeni, manga yeⱪin kelinglar, dǝp qaⱪiridi. Ular yeⱪin kǝldi, u yǝnǝ: — Mǝn silǝrning ininglar, yǝni silǝr Misirƣa setiwǝtkǝn Yüsüp bolimǝn.
012d0500cb	Əmdi meni muxu yǝrgǝ setiwǝtkininglar üqün azablanmanglar, ɵzünglarni ǝyibkǝ buyrumanglar; qünki Huda adǝmlǝrning ⱨayatini saⱪlap ⱪelix üqün meni silǝrdin burun bu yǝrgǝ ǝwǝtti.
012d060085	Qünki ⱨazir zemindiki aqarqiliⱪⱪa ikki yil boldi; lekin tehi yǝnǝ bǝx yilƣiqǝ ⱨeq terilƣumu bolmaydu, ormimu bolmaydu.
012d0700bd	Xuning üqün silǝrgǝ dunyada bir ⱪaldini saⱪlap ⱪelix üqün, uluƣ bir nijatliⱪ kɵrsitip, silǝrning tirik ⱪutuluxunglar üqün Huda meni silǝrdin burun bu yǝrgǝ ǝwǝtti.
012d0800d8	Xundaⱪ bolƣanikǝn, meni muxu yǝrgǝ ǝwǝtküqi silǝr ǝmǝs, bǝlki Hudadur. U meni Pirǝwngǝ atining ornida ⱪilip, uning pütkül ɵyigǝ hoja ⱪilip tiklǝp, pütkül zeminƣa bax wǝzir ⱪilip ⱪoydi.
012d0900b2	Əmdi tezdin atamning ⱪexiƣa berip, uningƣa: — Sening oƣlung Yüsüp: «Huda meni pütkül Misirƣa hoja ⱪilip ⱪoydi. Sǝn ⱨayal ⱪilmay, mening ⱪeximƣa kǝlgin;
012d0a00af	sǝn Goxǝn yurtida turisǝn; xuning bilǝn sǝn ɵzüng, oƣulliring, nǝwriliring, ⱪoyliring, kaliliring wǝ ⱨǝmmǝ tǝǝlluⱪatliring bilǝn manga yeⱪin turisilǝr.
012d0b00b1	Ɵzüng, ailǝng wǝ ⱨǝmmǝ tǝǝlluⱪatingni namratliⱪ besiwalmisun dǝp mǝn seni xu yǝrdǝ baⱪimǝn; qünki yǝnǝ bǝx yil aqarqiliⱪ bardur», dedi, — dǝnglar.
012d0c008a	— Mana silǝrning kɵzliringlar wǝ inim Binyaminning kɵzliri silǝrgǝ gǝp ⱪiliwatⱪan mening ɵz aƣzim ikǝnlikini kɵrüwatidu.
012d0d00a2	Atamƣa mening Misirdiki bu barliⱪ xan-xǝripim ⱨǝmdǝ silǝrning barliⱪ kɵrgininglar toƣrisida eytip, atamni tezdin bu yǝrgǝ elip kelinglar, — dedi.
012d0e007f	Xuning bilǝn u ɵzini Binyaminƣa etip uning boyniƣa girǝ selip yiƣlap kǝtti; Binyaminmu uning boyniƣa yɵlinip yiƣlidi.
012d0f0089	Andin Yüsüp barliⱪ ⱪerindxalirini sɵyüp, ularni bir-birlǝp ⱪuqaⱪlap yiƣlidi. Andin ⱪerindxaliri uning bilǝn paranglaxti.
012d100098	Yüsüpning ⱪerindxaliri kǝldi, degǝn hǝwǝr Pirǝwnning ordisiƣa yǝtküzüldi; bu Pirǝwn wǝ hizmǝtkarlirining nǝziridǝ ⱪutluⱪ ix boldi.
012d11008d	Pirǝwn Yüsüpkǝ: — Ⱪerindaxliringƣa: — «Silǝr ǝmdi mundaⱪ ⱪilinglar; ulaƣliringlarƣa yük artip, Ⱪanaan zeminiƣa berip,
012d1200c3	atanglar wǝ jǝmǝtinglarni elip mening ⱪeximƣa kelinglar; mǝn Misir zeminidin ǝng esil yǝrlǝrni silǝrgǝ berǝy; silǝr bu zemindin qiⱪⱪan nazu-nemǝtlǝrdin yǝysilǝr» — degin.
012d1300bf	Sanga bolƣan ǝmrim xuki, sǝn ularƣa: «Baliliringlar wǝ ayalliringlarni elix üqün Misir zeminidin ⱨarwilarni elip beringlar. Xuningdǝk atanglarnimu bu yǝrgǝ yǝtküzüp kelinglar.
012d14008d	Pütkül Misir zeminidin ǝng esil jaylar silǝrningki bolƣaqⱪa, ɵz sǝrǝmjanliringlarƣa karinglar bolmisun» dǝp buyruƣin, — dedi.
012d150093	Xuning bilǝn Israilning oƣulliri xundaⱪ ⱪildi; Yüsüp Pirǝwnning buyruⱪi boyiqǝ ularƣa ⱨarwilarni berip, yoli üqünmu ozuⱪ bǝrdi.
012d16007c	Ularning ⱨǝrbirigǝ bir ⱪur kiyim bǝrdi; lekin Binyaminƣa bolsa u üq yüz kümüx tǝnggǝ, bǝx ⱪur kiyim bǝrdi.
012d1700bc	U atisiƣimu xu ⱨǝdiyǝlǝrni, yǝni Misirning esil mǝⱨsulatliri artilƣan on ⱨangga exǝk ⱨǝmdǝ axliⱪ, nan wǝ atisiƣa yol tǝyyarliⱪi artilƣan on mada exǝkni ǝwǝtti.
012d180075	Andin u ⱪerindaxlirini yolƣa selip, ularƣa: — Yolda jedǝllǝxmǝnglar, dǝp jekilidi. Ular yolƣa rawan boldi.
012d19004c	Ular Misirdin qiⱪip, Ⱪanaan zeminiƣa atisi Yaⱪupning ⱪexiƣa berip,
012d1a00d9	uningƣa Yüsüp ɵzlirigǝ eytⱪan gǝplǝrni yǝtküzüp: «Yüsüp tehi ⱨayat ikǝn! U pütkül Misir zeminiƣa bax wǝzir ikǝn!» dedi. Əmma u ularƣa ixǝnmǝy, yüriki ⱪetip ⱨoxidin ketǝy dǝp ⱪaldi.
012d1b00d5	Lekin ular Yüsüpning ɵzlirigǝ eytⱪan barliⱪ sɵzlirini uningƣa degǝndǝ, xundaⱪla Yüsüpning ɵzini elip kelixkǝ ǝwǝtkǝn ⱨarwilarnimu kɵrgǝndǝ, ularning atisi Yaⱪupning roⱨiƣa jan kirdi.
012d1c007f	Israil xuning bilǝn: — Əmdi arminim yoⱪ! Oƣlum Yüsüp tehi ⱨayattur! Mǝn ɵlmǝstǝ berip uni kɵrüwalay, — dedi.
012e01009f	Xuning bilǝn Israil barliⱪ tǝǝlluⱪatini elip yolƣa qiⱪip, Bǝǝr-Xebaƣa kǝldi. U xu yǝrdǝ atisi Isⱨaⱪning Hudasiƣa ⱪurbanliⱪlarni sundi.
012e020076	Keqisi Huda alamǝt kɵrünüxlǝrdǝ Israilƣa: — Yaⱪup, Yaⱪup! dewidi, u jawab berip: — Mana mǝn! — dedi.
012e030094	U: — Atangning Tǝngrisi bolƣan Huda Mǝndurmǝn. Sǝn Misirƣa berixtin ⱪorⱪmiƣin, qünki Mǝn seni xu yǝrdǝ uluƣ bir ⱪowm ⱪilimǝn.
012e0400af	Mǝn sening bilǝn Misirƣa billǝ barimǝn wǝ Mǝn Ɵzüm jǝzmǝn yǝnǝ seni xu yǝrdin yandurup kelimǝn. Yüsüp ɵz ⱪoli bilǝn sening kɵzüngni yumduridu, — dedi.
012e0500af	Andin Yaⱪup Bǝǝr-Xebadin yolƣa qiⱪti; Israilning oƣulliri atisi Yaⱪup wǝ ularning bala-qaⱪilirini Pirǝwn uni epkelix üqün ǝwǝtkǝn ⱨarwilarƣa olturƣuzup,
012e06011f	qarpayliri bilǝn Ⱪanaan zeminida tapⱪan tǝǝlluⱪatlirini elip mangdi. Bu tǝriⱪidǝ Yaⱪup bilǝn barliⱪ ǝwladliri Misirƣa kǝldi; oƣullirini, oƣul nǝwrilirini, ⱪizlirini, ⱪiz nǝwrilirini yiƣip, nǝsillirining ⱨǝmmisini ɵzi bilǝn billǝ elip Misirƣa kǝldi.
012e080078	Israilning oƣulliri, yǝni Yaⱪupning Misirƣa kǝlgǝn ǝwladliri tɵwǝndikiqǝ: — Yaⱪupning tunji oƣli Rubǝn;
012e09003c	Rubǝnning oƣulliri Ⱨanoh, Pallu, Ⱨǝzron bilǝn Karmi.
012e0a0068	Ximeonning oƣulliri: — Yǝmuǝl, Yamin, Oⱨad, Yaⱪin, Zoⱨar wǝ Ⱪanaaniy ayaldin bolƣan Saul.
012e0b0036	Lawiyning oƣulliri: — Gǝrxon, Koⱨat wǝ Mǝrari.
012e0c00bb	Yǝⱨudaning oƣulliri: — Ər, Onan, Xǝlaⱨ, Pǝrǝz wǝ Zǝraⱨ. Əmma Ər wǝ Onan Ⱪanaanning zeminida ɵlüp kǝtkǝnidi. Pǝrǝzning oƣulliri Ⱨǝzron bilǝn Ⱨamullar idi.
012e0d0038	Issakarning oƣulliri: — Tola, Puaⱨ, Yob wǝ Ximron.
012e0e003a	Zǝbulunning oƣulliri: — Sǝrǝd, Elon wǝ Jaⱨliyǝl.
012e0f00bd	Bular Leyaⱨning Yaⱪupⱪa Padan-Aramda tuƣup bǝrgǝn oƣul-ǝwladliri idi; u yǝnǝ ⱪizi Dinaⱨni tuƣup bǝrdi. Buning bu oƣul-ⱪiz pǝrzǝntliri jǝmiy bolup ottuz üq jan idi.
012e10004c	Gadning oƣulliri: — Zifion, Ⱨaggi, Xuni, Əzbon, Eri, Arodi wǝ Arǝli.
012e110093	Axirning oƣulliri: — Yimnaⱨ, Yixwaⱨ, Yixwi wǝ Beriyaⱨ. Ularning singlisi Seraⱨ idi; Beriyaⱨning oƣulliri Ⱨǝbǝr wǝ Malkiǝl idi.
012e120091	Bular bolsa Laban ⱪizi Leyaⱨⱪa dedǝk boluxⱪa bǝrgǝn Zilpaⱨning Yaⱪupⱪa tuƣup bǝrgǝn oƣulliri bolup, jǝmiy on altǝ jan idi.
012e13003f	Yaⱪupning ayali Raⱨilǝning oƣulliri Yüsüp wǝ Binyamin.
012e140095	Yüsüpkǝ Misir zeminida tɵrǝlgǝn oƣulliri Manassǝⱨ wǝ Əfraim; bularni Ondiki kaⱨin Potifiraⱨning ⱪizi Asinat uningƣa tuƣup bǝrdi.
012e150069	Binyaminning oƣulliri: — Belaⱨ, Bǝkǝr, Axbǝl, Gera, Naaman, Eⱨi, Rox, Muppim, Ⱨuppim wǝ Ard.
012e16005f	Bular Raⱨilǝning Yaⱪupⱪa tuƣup bǝrgǝn oƣul-ǝwladliri bolup, jǝmiy on tɵt jan idi.
012e17001b	Danning oƣli: — Ⱨuxim.
012e180041	Naftalining oƣulliri: — Yaⱨziǝl, Guni, Yǝzǝr wǝ Xillǝm.
012e190094	Bular Laban ⱪizi Raⱨilǝgǝ dedǝk boluxⱪa bǝrgǝn Bilⱨaⱨning Yaⱪupⱪa tuƣup bǝrgǝn oƣul-ǝwladliri bolup, jǝmiy yǝttǝ jan idi.
012e1a0085	Yaⱪupning kelinliridin baxⱪa, Yaⱪupning puxtidin bolƣan, uning bilǝn birgǝ Misirƣa kǝlgǝnlǝr jǝmiy atmix altǝ jan idi.
012e1b007f	Yüsüpning Misirda tuƣulƣan oƣulliri ikki idi. Yaⱪupning jǝmǝtidin bolup, Misirƣa kǝlgǝnlǝr jǝmiy yǝtmix jan idi.
012e1c00a9	Yaⱪup Yüsüptin kɵrsǝtmǝ elip, ɵzlirini Goxǝngǝ baxlap berixⱪa Yǝⱨudani Yüsüpning ⱪexiƣa ǝwǝtti. Xundaⱪ ⱪilip ular Goxǝn yurtiƣa kelip qüxti.
012e1d00d6	Yüsüp ɵzining wǝzirlik ⱨarwisini ⱪatⱪuzup, atisi Israilning aldiƣa Goxǝngǝ qiⱪti. U ɵzini uning aldiƣa ⱨazir ⱪilip atisiƣa ɵzini etip boyniƣa girǝ selip ⱪuqaⱪlap, uzundin uzun yiƣlidi.
012e1e0077	Israil Yüsüpkǝ: Mǝn sening yüzüngni kɵrüp, tirik ikǝnlikingni bildim; ǝmdi ɵlsǝmmu arminim yoⱪ, — dedi.
012e1f00de	Andin Yüsüp ⱪerindaxliri wǝ atisining ɵydikilirigǝ mundaⱪ dedi: — Mǝn ⱨazir qiⱪip Pirǝwngǝ hǝwǝr berip: «Ⱪanaan zeminida olturƣan ⱪerindaxlirim, xundaⱪla atamning ɵyidikilǝr ⱪeximƣa kǝldi;
012e200096	bu adǝmlǝr padiqilar bolup, mal beⱪix bilǝn xuƣullinip kǝlgǝn, ⱪoy-kaliliri, xundaⱪla barliⱪ mal-mülüklirini elip kǝldi» dǝp eytay.
012e21006f	Xundaⱪ boliduki, Pirǝwn silǝrni qaⱪiridu; xu qaƣda u silǝrdin: «Nemǝ oⱪitinglar bar?» dǝp sorisa,
012e2200fa	silǝr jawab berip: — Kǝminiliri kiqikimizdin tartip ata-bowilirimizƣa ohxax pada beⱪip kǝlgǝnmiz, — dǝnglar. Xundaⱪ desǝnglar Goxǝn yurtida olturup ⱪalisilǝr; qünki padiqilarning ⱨǝmmisi misirliⱪlar arisida kɵzgǝ ilinmaydu.
012f0100e1	Yüsüp Pirǝwnning ⱪexiƣa kelip: — Atam bilǝn ⱪerindaxlirim ⱪoy-kaliliri, xundaⱪla ⱨǝmmǝ mal-mülüklirini billǝ elip Ⱪanaan zeminidin kǝldi. Mana, ular ⱨazir Goxǝn yurtiƣa qüxti, dǝp hǝwǝr berip,
012f020052	ⱪerindaxlirining iqidin bǝxǝylǝnni elip, Pirǝwnning aldiƣa ⱨazir ⱪildi.
012f0300b2	Pirǝwn uning ⱪerindaxliridin: — Nemǝ oⱪitinglar bar, dǝp soriwidi, ular Pirǝwngǝ jawab berip: — Kǝminiliri ata-bowilirimizƣa ohxax mal baⱪⱪuqilarmiz, — dedi.
012f040143	Andin ular Pirǝwngǝ iltimas ⱪilip: — Ⱪanaan zeminida ⱪattiⱪ ⱪǝⱨǝtqilik bolƣaqⱪa, kǝminilirining ⱪoylirimizni baⱪidiƣanƣa yaylaⱪmu yoⱪ; xunga bu zeminda musapir bolup turuxⱪa kǝlduⱪ; janabliridin tǝlǝp ⱪilimizki, kǝminilirining Goxǝn yurtida turuxiƣa ijazǝt bǝrgǝyla, — dedi.
012f050046	Pirǝwn Yüsüpkǝ: — Atang wǝ ⱪerindaxliring ⱪexingƣa kǝldi;
012f06011a	mana Misir zemini sening aldingda turuptu; atang wǝ ⱪerindaxliringni zeminning ǝng esil yeridǝ olturƣuzƣin; ular Goxǝn yurtida makan ⱪilsun. Xuningdǝk, ǝgǝr sǝn ularning iqidiki ⱪabil kixilǝrni bilsǝng, bularni mening qarpaylirimƣa nazarǝtqi ⱪilƣin, — dedi.
012f070074	Keyin, Yüsüp atisi Yaⱪupni elip, Pirǝwnning aldiƣa ⱨazir ⱪildi; Yaⱪup Pirǝwngǝ bǝht-bǝrikǝt tilidi.
012f08005a	Andin Pirǝwn Yaⱪuptin: — Ɵmrüngning yil-künliri nǝqqigǝ yǝtti? — dǝp soridi.
012f0900f8	Yaⱪup Pirǝwngǝ jawab berip: — Musapirliⱪ sǝpirimning künliri bir yüz ottuz yilƣa yǝtti; ɵmrümning künliri az ⱨǝm japa-muxǝⱪⱪǝtlik bolup, ata-bowilirimning musapirliⱪ ɵmür sǝpirining künlirigǝ tehi yǝtmidi, — dedi.
012f0a0050	Xuning bilǝn Yaⱪup Pirǝwngǝ bǝht-bǝrikǝt tilǝp, aldidin qiⱪip kǝtti.
012f0b00cc	Xuning bilǝn Yüsüp atisi bilǝn ⱪerindaxlirini Misir zeminida olturaⱪlaxturup ⱪoydi; Pirǝwnning buyruƣinidǝk ularƣa zeminning ǝng esil yeridin, yǝni Ramsǝs degǝn yurttin tǝwǝlik bǝrdi.
012f0c0095	Yüsüp atisi, ⱪerindaxliri, xundaⱪla atisining ⱨǝmmǝ ɵydikilirini bala-qaⱪilirining sanliriƣa ⱪarap axliⱪ bilǝn tǝminlǝp baⱪti.
012f0d00a7	Əmma aqarqiliⱪ ⱪattiⱪ eƣir bolƣaqⱪa, zeminning ⱨeq yeridǝ ozuⱪ-tülük tepilmidi; Misir zemini bilǝn Ⱪanaan zemini aqarqiliⱪtin haraplixip kǝtti.
012f0e0099	Yüsüp axliⱪ setip Misir zemini bilǝn Ⱪanaan zeminidiki barliⱪ pulni yiƣiwaldi. Andin Yüsüp bu pulni Pirǝwnning ordisiƣa yǝtküzüp bǝrdi.
012f0f00dd	Əmma Misir zemini bilǝn Ⱪanaan zeminidiki Pul tügǝp kǝtkǝndǝ misirliⱪlarning ⱨǝmmisi Yüsüpning aldiƣa kelip: — Bizgǝ nan bǝrgǝyla! Pul tügǝp kǝtkini üqün silining aldilirida ɵlimizmu? — dedi.
012f10009e	Yüsüp jawabǝn: — Pulunglar ⱪalmiƣan bolsa, qarpayliringlarni elip kelip bǝrsǝnglar, mǝn malliringlariƣa ozuⱪ-tülük tegixip berimǝn, — dedi.
012f1100f4	Buning bilǝn ular qarpaylirini Yüsüpning ⱪexiƣa elip kǝlgili turdi; Yüsüp ularning atliri, ⱪoy padiliri, kala padiliri wǝ exǝklirining orniƣa ozuⱪ-tülük bǝrdi; xu yili mallirining orniƣa ularƣa ozuⱪ-tülük berip baⱪti.
012f120103	U yil ayaƣlixip, ular ikkinqi yili uning ⱪexiƣa kelip uningƣa: — Biz hojimizdin ⱨeqnemini yoxurmaymiz; pulimiz tügidi, qarpay mal padilirimiz bolsa hojimizning ilkidǝ, hojimizning aldida tǝnlirimiz bilǝn yerimizdin baxⱪa ⱨeqnǝrsǝ ⱪalmidi.
012f13013a	Nemixⱪa kɵz aldilirida biz ⱨǝm yerimizmu ɵlüp kǝtsun? Əmdi sili ɵzimiz wǝ yerimizni ozuⱪ-tülükkǝ tegixip eliwalƣayla; ɵzimiz wǝ yerimiz Pirǝwnning bolup, uningƣa ⱪul bolayli. Biz ɵlüp kǝtmǝy, tirik turuximiz, yerimizmu wǝyran bolmasliⱪi üqün bizgǝ uruⱪ-tülük bǝrgǝyla, dedi.
012f1400ea	Bu tǝriⱪidǝ Yüsüp Misirning pütkül terilƣu yerini Pirǝwn üqün setiwaldi; qünki aqarqiliⱪ ⱪattiⱪ bolƣaqⱪa, misirliⱪlarning ⱨǝrbiri ɵz etizini setip bǝrdi. Xuning bilǝn yǝr-zemin Pirǝwnning bolup ⱪaldi.
012f150065	Yüsüp hǝlⱪni Misirning bu qetidin yǝnǝ bir qetigiqǝ ⱨǝrⱪaysi xǝⱨǝrlǝrgǝ kɵqürdi.
012f1600c7	Pǝⱪǝt kaⱨinlarning yerini u almidi; qünki kaⱨinlarƣa Pirǝwn tǝripidin alaⱨidǝ tǝminat berilgǝqkǝ, ular Pirǝwn tǝripidin tǝminlǝngǝn ülüxini yǝp, ɵz yǝrlirini satmiƣanidi.
012f170096	Yüsüp hǝlⱪⱪǝ: — Mana, mǝn bügün ɵzünglar bilǝn yǝrliringlarni Pirǝwn üqün setiwaldim. Mana silǝrgǝ uruⱪ! Əmdi yǝr teringlar.
012f180106	Əmdi xundaⱪ ⱪilisilǝrki, qiⱪⱪan ⱨosuldin bǝxtin birini Pirǝwngǝ berip, ⱪalƣan tɵt ⱪismini ɵzünglarƣa elip ⱪelinglar; u uruⱪluⱪ ⱨǝmdǝ ɵzünglarƣa, jümlidin ɵyüngdikilǝrgǝ wǝ kiqik baliliringlarƣa ozuⱪ bolsun, — dedi.
012f190094	Ular jawabǝn: — Sili jenimizni ⱪutⱪuzdila. Hojimizning nǝziridǝ iltipat tapⱪan bolsaⱪla, Pirǝwnning ⱪulliri bolup turayli, — dedi.
012f1a00ef	Xuning bilǝn Yüsüp: — «Ⱨosulning bǝxtin biri Pirǝwngǝ berilsun» dǝp bu ixni bügüngǝ ⱪǝdǝr Misir zemini üqün ⱪanun-bǝlgilimǝ ⱪildi. Pǝⱪǝt kaⱨinlarning yerila buning sirtida bolup, Pirǝwngǝ tǝwǝ bolmidi.
012f1b0076	Israillar Misir zeminida, Goxǝn ɵlkisidǝ olturaⱪlaxti; ular xu jayda yǝr-zeminlik bolup, awup, tolimu kɵpǝydi.
012f1c0088	Yaⱪup Misir zeminida on yǝttǝ yil ɵmür kɵrdi; buning bilǝn Yaⱪupning ɵmür künliri bir yüz ⱪiriⱪ yǝttǝ yilƣa yǝtti.
012f1d00fa	Israilning künliri sǝkratⱪa yeⱪinlaxⱪanda, oƣli Yüsüpni qaⱪirtip, uningƣa: — Əgǝr nǝziringdǝ iltipat tapⱪan bolsam, ⱪolungni yotamning astiƣa ⱪoyup, manga xapaǝt wǝ sadaⱪǝtlikni kɵrsitip, meni Misirda dǝpnǝ ⱪilma;
012f1e00bb	bǝlki mǝn ata-bowilirim bilǝn yatidiƣan waⱪtimda meni Misirdin elip ketip, ularning gɵristaniƣa dǝpnǝ ⱪilƣin, dedi. U jawab berip: — Mǝn eytⱪiningdǝk ⱪilay, — dedi.
012f1f009d	Yaⱪup uningƣa: — Manga ⱪǝsǝm ⱪilip bǝrgin, — dedi. U uningƣa ⱪǝsǝm ⱪilip bǝrdi; andin Israil karwatning bax tǝripidǝ sǝjdǝ ⱪildi.
013001009a	Bu ixlardin keyin birsi Yüsüpkǝ: — Mana atang kesǝl bolup ⱪaptu, dǝp hǝwǝr bǝrdi. U ikki oƣli Manassǝⱨ bilǝn Əfraimni billǝ elip bardi.
0130020084	Birsi Yaⱪupⱪa: — Mana oƣlung Yüsüp ⱪexingƣa keliwatidu, dǝp hǝwǝr beriwidi, Israil küqǝp ⱪopup kariwatta olturdi.
013003007d	Yaⱪup Yüsüpkǝ: — Ⱨǝmmigǝ Ⱪadir Tǝngri manga Ⱪanaan zeminidiki Luz degǝn jayda ayan bolup, meni bǝrikǝtlǝp
01300400d0	manga: Mana, Mǝn sening nǝslingni kɵpǝytip, seni intayin zor awutimǝn, sǝndin bir türküm hǝlⱪ qiⱪirimǝn; bu zeminni sǝndin keyinki nǝslinggǝ ǝbǝdiy miras ⱪilip berimǝn, dǝp eytⱪanidi.
01300500d5	Əmdi mǝn Misirƣa kelixtin ilgiri sanga Misir zeminida tuƣulƣan ikki oƣlung mening ⱨesablinidu; Əfraim bilǝn Manassǝⱨ bolsa, huddi Rubǝn bilǝn Ximeonƣa ohxax, ⱨǝr ikkisi mening oƣullirim bolidu.
013006007d	Ulardin keyin tapⱪan baliliring ɵzüngning bolidu; ular kǝlgüsidǝ mirasⱪa erixkǝndǝ akilirining nami astida bolidu.
01300700f5	Manga kǝlsǝk, Padandin keliwatⱪinimda Raⱨilǝ Ⱪanaan zeminida yol üstidǝ Əfratⱪa az ⱪalƣanda meni taxlap ɵlüp kǝtti. Mǝn uni xu yǝrdǝ, yǝni Əfratⱪa (yǝni Bǝyt-Lǝⱨǝmgǝ) baridiƣan yolda dǝpnǝ ⱪildim, — dedi.
0130080051	Andin Israil Yüsüpning oƣulliriƣa ⱪarap: — Bular kimdur, — dǝp soridi.
01300900bd	Yüsüp atisiƣa jawabǝn: — Bular bolsa Huda manga bu yǝrdǝ bǝrgǝn oƣullirimdur, — dedi. U: — Ularni aldimƣa yeⱪin kǝltürgin, mǝn ularƣa bǝht-bǝrikǝt tilǝy, — dedi.
01300a00a8	Əmdi Israilning kɵzliri ⱪeriliⱪidin ƣuwalixip [yahxi] kɵrǝlmǝytti. Xunga Yüsüp ularni uning aldiƣa yeⱪinraⱪ kǝltürdi; u ularni sɵyüp ⱪuqaⱪlidi.
01300b00a7	Andin Israil Yüsüpkǝ: — Mǝn sening yüzüngni kɵrǝlǝymǝn dǝp ⱨeq oylimiƣanidim; lekin Huda meni sening baliliringnimu kɵrüxkǝ nesip ⱪildi, — dedi.
01300c006a	Yüsüp balilarni [Yaⱪupning] tizlirining ariliⱪidin elip, yüzini yǝrgǝ tǝgküzüp tǝzim ⱪildi.
01300d00e3	Andin Yüsüp bu ikkiylǝnni Israilning aldiƣa yeⱪin elip kelip, Əfraimni ong ⱪoli bilǝn tutup Israilning sol ⱪoliƣa udullap turƣuzdi; Manassǝⱨni sol ⱪoli bilǝn tutup Israilning ong ⱪoliƣa udullap turƣuzdi.
01300e00ca	Lekin Israil ong ⱪolini uzitip, kǝnji balisi Əfraimning bexiƣa ⱪoydi, sol ⱪolini Manassǝⱨning bexiƣa ⱪoydi. Manassǝⱨ tunjisi bolsimu, u ikki ⱪolini ⱪayqilap tutup xundaⱪ ⱪoydi.
01300f00c6	U Yüsüpkǝ bǝht-bǝrikǝt tilǝp: — Atilirim Ibraⱨim bilǝn Isⱨaⱪ Huda dǝp bilip yüzi aldida mangƣan, meni pütkül ɵmrümdǝ bu küngiqǝ padiqidǝk yetǝklǝp beⱪip kǝlgǝn Huda,
01301000f1	Manga ⱨǝmjǝmǝt bolup meni ⱨǝmmǝ bala-ⱪazadin ⱪutⱪuzƣan Pǝrixtǝ bu ikki oƣulni bǝrikǝtlisun; ular mening ismim wǝ atilirim bolƣan Ibraⱨim wǝ Isⱨaⱪning isimliri bilǝn atilip, yǝr yüzidǝ kɵp awuƣay! — dedi.
01301100c5	Yüsüp atisining ong ⱪolini Əfraimning bexiƣa ⱪoyƣinini kɵrüp kɵnglidǝ hapa boldi; xunga u atisining ⱪolini tutup, Əfraimning bexidin elip Manassǝⱨning bexiƣa yɵtkimǝkqi bolup,
013012007a	atisiƣa: — Əy ata, bundaⱪ ⱪilmiƣin; qünki mana, tunjisi budur; ong ⱪolungni uning bexiƣa ⱪoyƣin! — dedi.
01301300f6	Lekin atisi rǝt ⱪilip: — Bilimǝn, i oƣlum, bilimǝn; uningdinmu bir ⱪowm qiⱪip, ɵzimu uluƣ bolidu, ǝmma dǝrⱨǝⱪiⱪǝt uning inisi uningdin tehimu uluƣ bolidu; uning nǝslidin naⱨayiti kɵp ⱪowmlar pǝyda bolidu, — dedi.
01301400fd	Xuning bilǝn xu küni u bu ikkisini bǝrikǝtlǝp: — Kǝlgüsidǝ Israillar bǝht-bǝrikǝt tiligǝndǝ: «Huda seni Əfraim bilǝn Manassǝⱨdǝk uluƣ ⱪilsun!» dǝydiƣan bolidu, dedi. Bu tǝriⱪidǝ u Əfraimni Manassǝⱨtin üstün ⱪoydi.
013015009b	Andin Israil Yüsüpkǝ yǝnǝ: — Mana, mǝn ɵlimǝn; lekin Huda silǝr bilǝn billǝ bolup, silǝrni ata-bowiliringlarning zeminiƣa ⱪayturup baridu.
013016009f	Mǝn sanga ⱪerindaxliringningkidin bir ülüx yǝrni artuⱪ bǝrdim; xu yǝrni ɵzüm ⱪiliq wǝ oⱪyayim bilǝn Amoriylarning ⱪolidin tartiwalƣanidim.
01310100b1	Andin Yaⱪup oƣullirini qaⱪirip ularƣa mundaⱪ dedi: — [Ⱨǝmminglar] jǝm bolunglar, mǝn silǝrgǝ keyinki künlǝrdǝ silǝr yoluⱪidiƣan ixlarni eytip berǝy: —
013102005b	Yiƣilip kelip anglanglar, i Yaⱪupning oƣulliri; Atanglar Israilƣa ⱪulaⱪ selinglar.
0131030092	Əy Rubǝn, sǝn mening tunji oƣlumsǝn, Küq-ⱪudritimsǝn, Küqüm bar waⱪtimning tunji mewisidursǝn, Salapǝt wǝ ⱪudrǝttǝ aldi iding,
