0100000009	1 Mosebok
090b0d005b	Saul sade: På denna dagen skall ingen dö; ty Herren hafver i dag gjort salighet i Israel.
090b0e005a	Samuel sade till folket: Kommer, låter oss gå till Gilgal, och der förnya Konungariket.
090b0f00c2	Så drog allt folket till Gilgal, och gjorde der Saul till Konung för Herranom i Gilgal, och offrade tackoffer inför Herranom. Och Saul med alla Israels män fröjdade sig der ganska storliga.
090c010089	Då sade Samuel till hela Israel: Si, jag hafver hört edra röst uti allt det I mig sagt hafven, och hafver gjort en Konung öfver eder.
090c0200b8	Och si, der går nu edar Konung för eder; men jag är gammal och grå vorden, och mine söner äro när eder, och jag hafver gångit för eder, ifrå min ungdom allt intill denna dag.
090c030132	Si, här är jag: Svarer mig inför Herranom och hans smorda, om jag någons mans oxa eller åsna tagit hafver? Om jag hafver någrom gjort öfvervåld och orätt? Om jag någon undertryckt hafver? Om jag af någons mans hand hafver tagit gåfvor, och hållit det hemliga? Så vill jag gifva eder det igen.
090c040087	De sade: Du hafver intet öfvervåld eller orätt gjort oss, ej heller någon undertryckt; ej heller af någons mans hand något tagit.
090c050087	Han sade till dem: Herren och hans smorde vare vittne emot eder i dag, att i intet hafven funnit i mine hand. De sade: Ja, vare vittne.
090c060072	Och Samuel sade till folket: Ja, Herren, som Mose och Aaron gjort hafver, och förde edra fäder utur Egypti land.
090c07008a	Så går nu fram, att jag må döma eder för Herranom, öfver all Herrans rättfärdighet, som han med eder och edra fäder gjort hafver.
090c0800b3	Då Jacob var kommen in uti Egypten, ropade edra fäder till Herran. Och Herren sände Mose och Aaron, att de skulle föra edra fäder utur Egypten, och lät bo dem på detta rum.
090c0900b8	Men när de förgåto Herran sin Gud, sålde han dem under Sisera våld, höfvitsmansens i Hazor, och uti de Philisteers våld, och uti de Moabiters Konungs våld; de stridde emot dem.
090c0a00bc	Och de ropade till Herran, och sade: Vi hafve syndat, att vi hafve öfvergifvit Herran, och tjent Baalim och Astaroth; men frälsa oss nu ifrå våra fiendars hand, så vilje vi tjena dig.
090c0b0091	Då sände Herren JerubBaal, Bedan, Jephthah och Samuel, och frälste eder utur edra fiendars händer, allt omkring, och lät eder bo tryggeliga.
090c0c00ac	När I då sågen att Nahas, Ammons barnas Konung, Kom emot eder, saden I till mig: Icke du, utan en Konung skall råda öfver oss; ändock Herren edar Gud var edar Konung.
090c0d0072	Nu, här hafven I edar Konung, den I utvalt och begärat hafven; ty, si, Herren hafver satt en Konung öfver eder.
090c0e00be	Om I nu frukten Herran, och tjenen honom, och hören hans röst, och icke ären Herrans mun ohörige, så skolen både I och edar Konung, som öfver eder råder, efterfölja Herran edar Gud.
090c0f0077	Om I icke hören Herrans röst, utan ären Herrans mun ohörige, så skall Herrans hand vara emot eder och edra fäder.
090c100057	Går också nu fram, och ser det stora ärende, som Herren göra skall för edor ögon.
090c1100d0	Är icke nu hveteanden? Dock vill jag åkalla Herran, att han skall låta dundra och regna, att I skolen förnimma och se det stora onda, som I för Herrans ögon gjort hafven, att I hafven bedts eder Konung.
090c12008a	Och då Samuel åkallade Herran, lät Herren den samma dagen dundra och regna; då fruktade allt folket Herran och Samuel ganska storliga;
090c1300a6	Och sade alle till Samuel: Bed för dina tjenare Herran din Gud, att vi icke dö; ty öfver alla våra synder hafve vi ock gjort detta onda, att vi beddes oss Konung.
090c1400a3	Och Samuel sade till folket: Frukter eder intet, I hafven sannerliga gjort allt det onda; dock träder icke af ifrå Herranom, utan tjener Herranom af allo hjerta.
090c150080	Och viker icke efter fåfängelig ting; ty det gagnar eder intet, och kan intet hjelpa eder, efter det en fåfängelig ting är.
090c16008f	Förty Herren öfvergifver icke sitt folk, för sitt stora Namns skull; ty Herren hafver begynt till att göra eder sig sjelfvom till ett folk.
090c170094	Vare ock fjerran ifrå mig, att jag så skulle synda emot Herran, att jag skulle aflåta bedja för eder, och lära eder den goda och rätta vägen.
090c180078	Allenast frukter Herran, och tjener honom troliga af allo hjerta; förty I hafven sett huru stor ting han gör med eder.
090c19004a	Men om I gören det ondt är, så skolen både I och edar Konung förgås.
090d01004d	Saul hade varit Konung ett år; och som han tu år hade rådit öfver Israel,
090d0200d2	Utvalde han sig tretusend män utur Israel; tutusend voro med Saul i Michmas, och uppå berget BethEl, och ett tusend med Jonathan i Gibea BenJamins; men det andra folket lät han gå, hvar och en i sina hyddo.
090d0300b1	Och Jonathan slog de Philisteer i deras lägre, som i Gibea var; det kom för de Philisteer. Och Saul lät blåsa i basunen öfver hela landet, och säga: I Ebreer, hörer till.
090d04009f	Och hela Israel hörde sägas: Saul hafver slagit de Philisteers lägre; ty Israel luktade illa för de Philisteer, och allt folket ropades till Saul i Gilgal.
090d0500e3	Då församlade sig de Philisteer till att strida med Israel, tretiotusend vagnar, sextusend resenärer, och eljest folk så mycket som sanden i hafsstrandene; och de drogo upp, och lägrade sig i Michmas, östan för BethAven.
090d060094	Då de män af Israel sågo, att de i nöd voro, ty folket var förskräckt, krupo de uti kulor, och klyfter, och klippor, och i hål, och i gropar.
090d070094	Och de Ebreer drogo öfver Jordan in uti Gads land och Gileads; men Saul var ännu i Gilgal, och allt folket, som följde honom, vardt förtvifladt.
090d08008c	Då förbidde han i sju dagar, den tiden som Samuel förelagt hade; och efter Samuel icke kom till Gilgal, skingrade sig folket ifrå honom.
090d090057	Då sade Saul: Bärer mig hit bränneoffer och tackoffer; och han offrade bränneoffer.
090d0a0071	Och som han hade fullkomnat bränneoffret, si, då kom Samuel; då gick Saul ut emot honom, till att helsa honom.
090d0b00b2	Men Samuel sade: Hvad hafver du gjort? Saul svarade: Jag såg att folket förskingrade sig ifrå mig, och du kom icke i rättom tid, och de Philisteer voro församlade i Michmas.
090d0c009a	Då sade jag: Nu komma de Philisteer hitneder till mig i Gilgal, och jag hafver icke bedit Herrans ansigte; då vågade jag det, och offrade bränneoffer.
090d0d00b6	Men Samuel sade till Saul: Du hafver gjort dårliga, och icke hållit Herrans dins Guds bud, som han dig budit hafver; ty Herren hade stadfäst ditt rike öfver Israel till evig tid.
090d0e00c8	Men nu skall ditt rike icke blifva ståndandes. Herren hafver sökt sig en man efter sitt hjerta, honom hafver Herren budit att vara en Förste öfver hans folk; ty du hafver icke hållit Herrans bud.
090d0f0086	Och Samuel stod upp, och gick ifrå Gilgal upp till Gibea BenJamins. Men Saul talde det folk, som när honom var, vid sexhundrad män.
090d10008b	Och Saul med hans son Jonathan, och det folk som när honom var, blefvo uppå BenJamins hög; men de Philisteer hade lägrat sig i Michmas.
090d110088	Och utu de Philisteers lägre drogo tre hopar till att förhärja landet. Den ene vände sig inpå den vägen till Ophra uti Sauls land;
090d120088	Den andre vände sig inpå den vägen till BethHoron; den tredje vände sig på den vägen, som drager åt den dalen Zeboim vid öknena.
090d130077	Och ingen smed vardt funnen i hela Israels land; förty de Philisteer tänkte, de Ebreer måtte göra svärd och spjut.
090d140076	Ty måste hela Israel fara neder till de Philisteer, om någor ville låta hvässa sin plogbill, hacko, yxa eller lia;
090d150062	Och när eggen på liarna, hackorna, gafflarna och yxarna, vardt slö, och uddarna vordo stubbote.
090d160096	Då nu stridsdagen kom, vardt intet svärd eller spjut funnet i hela folkens hand, som var med Saul och Jonathan; utan Saul och hans son hade värjor.
090d170030	Och de Philisteers lägre drog fram vid Michmas.
090e0100cb	Det begaf sig i den tiden, att Jonathan, Sauls son, sade till sin dräng, som hans värjo bar: Kom, låt oss gå utöfver till de Philisteers lägre, som deruppe är; och han sade sinom fader intet till.
090e020086	Men Saul blef ytterst i Gibea under ett granatträ, som i förstadenom var; och det folk, som när honom var, var vid sexhundrad män.
090e0300b0	Och Ahia, Achitobs son, Icabods broders, Pinehas sons, Eli sons, var Herrans Prest i Silo, och drog lifkjortelen uppå; folket visste icke heller, att Jonathan var bortgången.
090e0400c8	Och i vägenom, der Jonathan sökte efter att gå öfver till de Philisteers lägre, voro två branta klippor, den ena på denna sidone, och den andra på hinsidone; den ena het Bozez, den andra Sene.
090e05004c	Och den ena var norrut ifrå Michmas, och den andra var söderut ifrå Gaba.
090e0600e6	Och Jonathan sade till sin vapnedragare: Kom, låt oss gå utöfver till dessa oomskornas lägre; tilläfventyrs varder Herren något uträttandes genom oss; förty det är icke Herranom tungt hjelpa genom många, eller genom få.
090e07007f	Då svarade honom hans vapnedragare: Gör allt det i dino hjerta är; gack åstad, si, jag är med dig såsom ditt hjerta vill.
090e080053	Jonathan sade: Nu väl, när vi komme ditöfver till det folket, och de få se oss;
090e090083	Om de då säga: Står qvare, tilldess vi komme till eder; så vilje vi blifva ståndande i vårt rum, och icke stiga upp till dem.
090e0a00a3	Men om de säga: Kommer hitupp till oss; så vilje vi stiga upp till dem; så hafver Herren gifvit dem oss i våra händer; och det skall oss vara för ett tecken.
090e0b0084	Då nu de Philisteers lägre fingo se dem båda, sade de Philisteer: Si, de Ebreer äro utkrupne utu hålen, der de sig gömt hafva.
090e0c00e1	Och männerna i lägret svarade Jonathan och hans vapnedragare, och sade: Kommer hitupp till oss, vi vilje väl lära eder. Då sade Jonathan till sin vapnedragare: Träd efter mig, Herren hafver gifvit dem i Israels händer.
090e0d00a7	Och Jonathan klef med händer och fötter uppföre, och hans vapnedragare efter honom. Då föllo de neder för Jonathan, och hans vapnedragare slog allt ihjäl efter;
090e0e009f	Så att första slagtningen, som Jonathan och hans vapnedragare gjorde, var vid tjugu män, på en halfvan åker vid pass, som ett par oxars dagsplöjning är.
090e0f00d2	Och en rädsel kom på markene i lägret, och på hela folket i lägrena; och de som utsände voro till att förhärja, dem kom ock rädsel uppå, och landet skalf dervid; ty det var en förskräckelse af Gudi.
090e10006c	Och Sauls väktare i Gibea BenJamins fingo se, att hopen skingrades, och lupo hit och dit, och vordo slagne.
090e1100ab	Saul sade till folket, som när honom var: Räkner, och ser till, hvilken af oss är bortgången; och då de räknade, si, då var Jonathan och hans vapnedragare icke der.
090e12005d	Då sade Saul till Ahia: Bär fram Guds ark; ty Guds ark var på den tiden när Israels barn.
090e130095	Och som Saul ännu talade med Prestenom, förökade sig sorlet och löpandet uti de Philisteers lägre. Och Saul sade till Presten: Tag dina hand af.
090e140099	Och Saul ropade, och allt folket, som med honom var, och kommo i stridena; och si, då gick hvars och ens svärd emot den andra, och var ett mägta sorl.
090e1500b0	Och de Ebreer, som tillförene hade varit när de Philisteer, och hade varit uppdragne med dem i lägret allt omkring, gåfvo sig intill Israel, som voro med Saul och Jonathan.
090e160097	Och alle män af Israel, som sig förgömt hade på Ephraims berg, då de hörde att de Philisteer flydde, följde de efter med de andra till stridena.
090e170053	Alltså halp då Herren Israel på den tiden, och slaget stod allt intill BethAven.
090e1800db	Och då Israels män försmäktade på den dagen, besvor Saul folket, och sade: Förbannad vare hvar och en, som bröd äter intill aftonen, att jag må hämnas på mina fiendar. Så smakade ock allt folket intet bröd.
090e19003e	Och hela landet kom i skogen, och der låg hannog på markene.
090e1a008c	Då folket kom in i skogen, si, då flöt der hannog; men ingen lät honom med handene komma till sin mun; ty folket fruktade sig för eden.
090e1b00de	Men Jonathan hade icke hört, att hans fader hade besvorit folket; och räckte sin staf ut, som han hade i sine hand, och doppade med ändanom i hannogskakona, och vände sina hand till sin mun; så vordo hans ögon frisk.
090e1c00a3	Då svarade en af folkena, och sade: Din fader hafver besvorit folket, och sagt: Förbannad vare hvar och en, som något äter i dag. Och folket var förtröttadt.
090e1d0099	Då sade Jonathan: Min fader hafver bedröfvat landet; ser, huru min ögon äro frisk vordne deraf, att jag af denna hannogen något litet smakat hafver.
090e1e007e	Hade folket i dag ätit af sina fiendars rof, som de funnit hafva, så hade ock slagtningen vordit större emot de Philisteer.
090e1f006b	Och de slogo på den dagen de Philisteer, ifrå Michmas allt intill Ajalon; och folket vardt ganska trött.
090e200074	Och folket vände sig till bytet, och togo får, fä och kalfvar, och slagtade på jordene, och åto det med blodet.
090e210093	Så vardt Saul förkunnadt: Si, folket hafver syndat emot Herran, och ätit blod. Han sade: I hafven illa gjort; välter hit till mig en stor sten.
090e220131	Och Saul sade ytterligare: Går ut ibland folket, och säger dem, att hvar och en hafve sin oxa och sitt får till mig, och slagter det här, att I mågen äta, och icke synda emot Herranom med det blodätandet. Så drog allt folket fram, hvar och en sin oxa i sine hand, om nattena, och slagtade det der.
090e230059	Och Saul byggde Herranom ett altare; det är det första altare, som han byggde Herranom.
090e2400eb	Och Saul sade: Låt oss draga ned efter de Philisteer i natt, och beröfva dem, tilldess i morgon ljust varder, att vi ingen af dem låte öfverblifva. De svarade: Gör allt det dig täckes. Men Presten sade: Låt oss gå hit till Gud.
090e250095	Och Saul frågade Gud: Skall jag draga ned efter de Philisteer, och vill du gifva dem uti Israels händer? Men han svarade honom på den tiden intet.
090e26007d	Då sade Saul: Låt gå hitfram all hörn af folket; och förfarer, och tillser, när hvilkom denna synden är på denna tid.
090e270090	Ty så visst som Herren Israels hjelpare lefver, om det än vore min son Jonathan, så skall han dö. Och ingen svarade honom utaf hela folkena.
090e280099	Och han sade till hela Israel: Varer I på den sidon; jag och min son Jonathan vilje vara på desso sidone. Folket sade till Saul: Gör hvad dig täckes.
090e29007b	Och Saul sade till Herran Israels Gud: Gör det rätt är. Då råkade det på Jonathan och Saul; och folket gick qvitt ut.
090e2a0050	Saul sade: Kaster öfver mig och min son Jonathan. Då råkade det på Jonathan.
090e2b00c6	Och Saul sade till Jonathan: Säg mig, hvad hafver du gjort? Jonathan lät honom förståt, och sade: Jag smakade litet hannog med stafven, som jag i mine hand hade; och si, derföre måste jag dö.
090e2c0049	Då sade Saul: Gud göre mig det och det; Jonathan, du måste döden dö.
090e2d0125	Men folket sade till Saul: Skulle Jonathan dö, den en så stor salighet gjort hafver i Israel? Bort det! Så visst som Herren lefver, icke ett hår af hans hufvud skall falla på jordena; förty Gud hafver i dag gjort det igenom honom. Alltså friade folket Jonathan, att han icke dö måste.
090e2e004d	Så drog Saul upp ifrå de Philisteer; och de Philisteer drogo till sitt rum.
090e2f00ea	Men då Saul hade tagit riket in öfver Israel, stridde han emot alla sina fiendar allt omkring; emot de Moabiter, emot Ammons barn, emot de Edomeer, emot Zoba Konungar, emot de Philisteer; och hvart han vände sig, der straffade han.
090e300074	Och han församlade en här, och slog de Amalekiter; och friade Israel ifrån allas deras hand, som dem förtryckte.
090e310084	Och Saul hade söner, Jonathan, Isvi, MalchiSua. Och hans två döttrar heto alltså: den förstfödda Merob, och den yngsta Michal.
090e32006f	Och Sauls hustru het Ahinoam, Ahimaaz dotter; och hans härhöfvitsman het Abner, Ners son, Sauls faderbroders.
090e33003f	Men Kis var Sauls fader, och Ner, Abners fader, var Abiels son.
090e34008b	Och ett mägtigt örlig var emot de Philisteer, så länge Saul lefde; och hvar Saul såg en doglig och stridsam man, den tog han till sig.
090f010092	Men Samuel sade till Saul: Herren sände mig, att jag skulle smörja dig till Konung öfver hans folk Israel; så hör nu röstena af Herrans ord.
090f02008f	Så säger Herren Zebaoth: Jag hafver tänkt uppå hvad Amalek gjorde Israel, och huru han låg i vägen för honom, då han drog utur Egypten.
090f0300c1	Så drag nu åstad, och slå de Amalekiter, och gif dem tillspillo med allt det de hafva; skona dem intet, utan dräp både man och qvinno, barn, och dem som dia, fä och får, camel och åsna.
090f04006f	Saul lät detta komma för folket, och talde dem i Telaim, tuhundradtusend fotfolk, och tiotusend män af Juda.
090f05004e	Och då Saul kom till de Amalekiters stad, satte han ett bakhåll vid bäcken;
090f0600f7	Och lät säga de Keniter: Går edra färde, och gifver eder ifrå de Amalekiter, att jag icke utrotar eder med dem; förty I gjorden barmhertighet med all Israels barn, då de drogo utur Egypten. Alltså gåfvo de Keniter sig ifrå de Amalekiter.
090f070053	Då slog Saul de Amalekiter, allt ifrå Hevila intill Sur, som ligger för Egypten;
090f080062	Och grep Agag, de Amalekiters Konung, lefvande; och allt folket gaf han tillspillo med svärdsegg.
090f0900d3	Men Saul och folket skonade Agag, och hvad god får och fä var, och väl fett, och lamb, och allt det godt var, och ville icke låtat tillspillo; men det som slemt var, och intet dogde, det läto de tillspillo.
090f0a002d	Då skedde Herrans ord till Samuel, och sade:
090f0b00b5	Mig ångrar, att jag hafver gjort Saul till Konung; ty han hafver vändt sig ifrå mig, och icke fullkomnat min ord. Dess vardt Samuel vred; och ropade till Herran den hela nattena.
090f0c00d3	Och Samuel stod bittida upp, att han skulle om morgonen möta Saul; och honom vardt sagdt, att Saul var kommen till Carmel, och reste sig upp ett segertecken, och var omkringdragen, och kommen neder till Gilgal.
090f0d0072	Som nu Samuel kom till Saul, sade Saul till honom: Välsignad vare du Herranom! Jag hafver fullkomnat Herrans ord.
090f0e005d	Samuel svarade: Hvad är då det rop af får i min öron, och det rop af fä, som jag hörer?
090f0f00ab	Saul sade: Utaf de Amalekiter hafva de tagit det; förty folket skonade det bästa får och fä, för Herrans dins Guds offers skull; det andra hafve vi låtit tillspillo.
090f100077	Men Samuel svarade Saul: Städ till, att jag säger dig, hvad Herren hafver talat med mig i denna natt. Han sade: Säg.
090f110099	Samuel sade: Är det icke så, då du liten vast för din ögon, vardt du ett hufvud i Israels slägter, och Herren smorde dig till Konung öfver Israel?
090f120094	Och Herren sände dig på vägen, och sade: Far bort, och förgör de syndare, de Amalekiter, och strid emot dem, tilldess du gör en ända på dem.
090f130067	Hvi hafver du icke lydt Herrans röst; utan vändt dig till rof, och illa handlat inför Herrans ögon?
090f1400c9	Då sade Saul till Samuel: Hafver jag dock lydt Herrans röst, och hafver dragit den vägen, som Herren mig sändt hafver; jag hafver fört hit Agag, de Amalekiters Konung, och förgjort de Amalekiter.
090f15007c	Men folket hafver tagit af rofvet får och fä, det bästa af de spillgifno, till att offra det Herranom dinom Gud i Gilgal.
090f1600d0	Men Samuel sade: Menar du att Herren hafver lust till offer och bränneoffer, såsom dertill, att man lyder Herrans röst? Si, lydnad är bättre än offer, och höra till är bättre än det feta af vädrar.
090f1700c6	Förty olydnad är en trolldomssynd, och gensträfvighet är ett afguderi och afgudadyrkan; så, efter du hafver förkastat Herrans ord, hafver han ock förkastat dig; att du icke skall vara Konung.
090f18009a	Då sade Saul till Samuel: Jag hafver syndat, att jag hafver öfvergångit Herrans befallning och din ord; ty jag fruktade folket, och hörde deras röst.
090f190059	Och nu förlåt mig den synden, och vänd tillbaka med mig, att jag må tillbedja Herran.
090f1a00ac	Samuel sade till Saul: Jag vänder intet om med dig; ty du hafver förkastat Herrans ord, och Herren hafver ock förkastat dig, att du icke skall vara Konung öfver Israel.
090f1b0075	Och som Samuel vände sig om, till att gå sina färde, fattade han honom i hans kjortels flik, och hon refs sönder.
090f1c008c	Då sade Samuel till honom: Herren hafver i denna dag rifvit Israels Konungarike ifrå dig, och gifvit dinom nästa, den bättre är än du.
090f1d007a	Ljuger icke heller Hjelten i Israel, eller låter sig ångra; ty han är ingen menniska, att han sig något ångra låter.
090f1e00ad	Men han sade: Jag hafver syndat; så gör mig dock du den ärona inför de äldsta af mitt folk, och för Israel, och vänd om med mig, att jag må tillbedja Herran din Gud.
090f1f0048	Så vände då Samuel om, och följde Saul, så att Saul tillbad Herran.
090f2000b1	Och Samuel sade: Låt komma fram för mig Agag, de Amalekiters Konung; och Agag gick dristeliga fram till honom. Och Agag sade: Alltså måste man fördrifva dödsens bitterhet.
090f2100b0	Samuel sade: Såsom ditt svärd hafver gjort qvinnor barnlös, så skall ock din moder blifva barnlös ibland qvinnor. Så högg Samuel Agag i stycker inför Herranom i Gilgal.
090f220050	Och Samuel gick bort till Ramath; men Saul drog upp till sitt hus i Gibea Sauls.
090f2300b7	Och Samuel såg Saul intet mer intilldess han blef död; dock likväl sörjde Samuel för Sauls skull, att Herren hade ångrat sig, att han hade gjort honom till Konung öfver Israel.
091001012d	Och Herren sade till Samuel: Huru länge vill du sörja för Sauls skull, den jag förkastat hafver, så att han icke skall vara Konung öfver Israel? Uppfyll ditt horn med oljo, och gack åstad; jag vill sända dig till den BethLehemiten Isai; förty af hans söner hafver jag försett mig en Konung.
09100200ac	Samuel sade: Huru skulle jag gå dit? Saul får det veta, och slår mig ihjäl. Herren sade: Tag en kalf af fät till dig, och säg: Jag är kommen till att offra Herranom;
0910030077	Och du skall kalla Isai till offret; då vill jag visa dig hvad du göra skall, att du der smörjer den jag dig säger.
09100400ad	Samuel gjorde såsom Herren honom sagt hade, och kom till BethLehem; då förskräcktes de äldste i stadenom, och gingo emot honom, och sade: Är det frid, medan du kommer?
09100500a2	Han sade: Ja, jag är kommen till att offra Herranom; helger eder, och kommer med mig till offret. Och han helgade Isai och hans söner, och böd dem till offret.
091006005e	Då de nu kommo in, såg han på Eliab, och tänkte: Visst är för Herranom här hans smorde.
09100700e0	Men Herren sade till Samuel: Se intet på hans skapnad, eller hans stora person; jag hafver förkastat honom, förty det går icke efter som en menniska ser. En menniska ser det för ögonen är, men Herren ser till hjertat.
0910080073	Då kallade Isai AbiNadab, och lät honom gå fram för Samuel; och han sade: Denna hafver Herren ock intet utvalt.
0910090051	Då lät Isai gå fram Samma; men han sade: Denna hafver Herren ock intet utvalt.
09100a0071	Då lät Isai gå sina sju söner fram för Samuel; men Samuel sade till Isai: Herren hafver ingen af dem utvalt.
09100b00e7	Och Samuel sade till Isai: Äro nu här piltarna? Han sade: Det är ännu en den minste igen, och si, han vaktar får. Då sade Samuel till Isai: Sänd bort, och låt hemta honom; ty vi skole icke sätta oss, förra än han kommer.
09100c009e	Då sände han åstad, och lät hemta honom. Och han var brunaktig, med fager ögon och dägelig skapnad. Och Herren sade: Upp, och smörj honom; den är det.
09100d00b7	Då tog Samuel sitt oljohorn, och smorde honom midt ibland hans bröder. Och Herrans Ande kom öfver David, ifrå den dagen, och allt sedan; och Samuel stod upp, och gick till Ramath.
09100e004a	Och Herrans Ande vek ifrå Saul, och en ond ande af Herranom qvalde honom.
09100f0045	Då sade Sauls tjenare till honom: Si, en ond ande af Gudi qväl dig.
09101000e4	Vår herre säge sina tjenare som för honom stå, att de söka en man, som kan på harpo och strängaspel; på det att, när den onde Guds anden kommer öfver dig, må han spela med sine hand, att det må varda bättre med dig.
091011006f	Då sade Saul till sina tjenare: Ser efter en man, som är god på strängaspel, och hafver honom hit till mig.
09101200d5	Då svarade en af tjenarena, och sade: Si, jag hafver sett en Isai son, den BethLehemitens; han kan på strängaspel, en dogelig man, och stridsam, och förståndig i saker, och dägelig, och Herren är med honom.
0910130067	Då sände Saul båd till Isai, och lät säga honom: Sänd din son David till mig, som är med fåren.
0910140077	Så tog Isai en åsna, med bröd, och en lägel vin, och ett kid af getterna, och sände till Saul med sinom son David.
091015006f	Så kom David till Saul, och gick fram för honom; och han vardt honom ganska kär, och blef hans vapnedragare.
091016007a	Och Saul sände till Isai, och lät säga honom: Låt David blifva inför mig; ty han hafver funnit ynnest för min ögon.
09101700ba	När nu den Guds anden kom öfver Saul, så tog David harpona, och spelade med sine hand; så kom Saul till sig igen, och det vardt bättre med honom, och den onde anden vek ifrå honom.
0911010094	De Philisteer församlade sina härar till strid, och kommo tillhopa i Socho i Juda, och lägrade sig emellan Socho och Aseka, vid ändan af Dammin.
0911020077	Men Saul och Israels män komma tillhopa, och lägrade sig i ekdalenom, och skickade sig till strid emot de Philisteer.
0911030083	Och de Philisteer stodo på ett berg på hinsidon, och de Israeliter på ett berg på denna sidone, så att en del var emellan dem.
091104007f	Då kom framträdandes utu de Philisteers lägre en man, en kämpe, benämnd Goliath af Gath, sex alnar och en tvärhand lång;
0911050079	Och hade en kopparhjelm på sitt hufvud, och ett fjällpansar uppå; och vigten på pansaret var femtusend siklar koppar;
091106004a	Och hade kopparbenvapen uppå sin ben, och en kopparsköld på sina axlar;
0911070096	Och skaftet på hans spjut var såsom ett väfträ, och jernet på hans spjut höll sexhundrad siklar jern; och hans vapnedragare gick framför honom.
09110800e2	Och han stod och ropade till Israels slagorden, och sade till dem: Hvi ären I utdragne till att skicka eder till strid? Är icke jag en Philisteer, och I ären Sauls tjenare? Väljer en ut af eder, som går hitneder till mig.
09110900ae	Kan han strida emot mig, och slår mig, så vilje vi vara edra tjenare; varder ock jag hans öfverman, och slår honom, så skolen I vara våra tjenare, och skolen tjena oss.
09110a007f	Och Philisteen sade: Jag hafver i denna dag gjort Israels här en skam; låter mig få en, och låter oss strida med hvarannan.
09110b0067	Då Saul och hela Israel hörde dessa Philisteens ord, förskräckte de sig, och fruktade sig storliga.
09110c00a1	Men David var en Ephratisk mans son, af BethLehem Juda, som het Isai; han hade åtta söner, och var en gammal man i Sauls tid, och var ålderstigen ibland män.
09110d009e	Och de tre äldste Isai söner voro dragne med Saul till stridena; och var detta deras namn: Eliab den förstfödde, AbiNadab den andre, och Samma den tredje.
09110e0055	Men David var den yngste. Då nu de tre äldste voro utdragne med Saul till stridena,
09110f004d	Gick David åter hem ifrå Saul, till att vakta sins faders får i BethLehem.
0911100055	Men den Philisteen trädde fram både morgon och afton, och stod der i fyratio dagar.
091111008e	Och Isai sade till sin son David: Tag åt dina bröder detta epha af torkad ax, och dessa tio bröd, och löp bort i hären till dina bröder;
0911120086	Och dessa tio blöta ostar, och få höfvitsmannenom; och besök dina bröder, om dem väl går, och tag vara uppå hvad de säga dig.
0911130059	Men Saul, och de, och alle Israels män voro i ekdalenom, och stridde emot de Philisteer.
09111400e8	Då stod David bittida upp om morgonen, och befallde fåren herdanom; lade uppå sig, och gick åstad, såsom Isai honom budit hade, och kom till vagnborgena; och hären var utdragen, och hade skickat sig, och de skriade i stridene.
091115004c	Ty Israel hade skickat sig; så voro ock de Philisteer redo emot deras här.
0911160073	Då lät David det han bar i tygvaktarens händer, och lopp bort i spetsen, och gick bort och helsade sina bröder.
09111700b7	Och vid han nu talade med dem, si, då trädde den kämpen fram, som het Goliath, den Philisteen af Gath, utu de Philisteers här, och talade såsom tillförene; och David hörde det.
091118005d	Men hvar man i Israel, då han den mannen såg, flydde för honom, och fruktade sig storliga.
0911190116	Och hvar man i Israel sade: Hafven I icke sett denna mannen, som uppgången är? Ty han är uppgången till att tala försmädelse emot Israel; och den honom slår, honom vill Konungen göra mycket rik, och gifva honom sina dotter; och vill göra hans faders hus fritt i Israel.
09111a00e2	Då sade David till männerna, som när honom stodo: Hvad skall man gifva honom, som slår denna Philisteen, och vänder denna skammen ifrån Israel? Ty hvad är denna oomskorne Philisteen, som försmäder lefvandes Guds här?
09111b0055	Då sade folket honom såsom tillförene: Det skall man gifva honom, som honom slår.
09111c012a	Och Eliab hans äldste broder hörde att han talade med männerna, och vardt vred på David, och sade: Hvi äst du hitneder kommen? Och hvi hafver du öfvergifvit de få fåren i öknene? Jag känner väl dina öfverdådighet, och dins hjertas ondsko; ty du äst hitned kommen till att se stridena.
09111d0043	David sade: Hvad hafver jag då nu gjort? Är det mig icke befaldt?
09111e0078	Och vände sig om till en annan, och sade såsom han hade sagt tillförene; då svarade honom folket såsom tillförene.
09111f005c	Och då de hörde de ord, som David sade, förkunnade de det Saul; och han lät hemta honom.
0911200084	Och David sade till Saul: Ingens mans hjerta gifve sig för den sakens skull; din tjenare skall gå bort, och strida med Philisteen.
091121009a	Saul sade till David: Du kan icke gå bort emot denna Philisteen, och strida med honom; ty du äst en yngling, och han är en stridsman ifrå hans ungdom.
091122008a	Men David sade till Saul: Din tjenare vaktade sins faders får, och då der kom ett lejon och en björn, och tog bort ett får af hjorden;
091123009e	Då följde han efter, och slog honom, och tog det utu hans mun; och då han reste sig upp emot mig, tog jag honom i skägget, och slog honom, och drap honom.
091124009e	Så hafver din tjenare slagit både lejon och björn. Så må nu denne oomskorne Philisteen vara såsom endera; ty han hafver försmädat lefvandes Guds här.
09112500b4	Och David sade: Herren, som mig frälste ifrå lejonet, och ifrå björnen, han frälsar mig ock ifrå denna Philisteen. Och Saul sade till David: Gack åstad, Herren vare med dig.
