0100000009	Ïïjjïn
01181000a9	Aŋ Rïpga a ṭuul ŋerconḍe kuckon, aŋ a päjjïdïnï koownu ti, aŋ ike mor kücï oon. Ike kaaccä ïñï wäl yeene küümgede kä piik, aŋ ḍuukin woo ŋuca.
011811007c	Aŋ kiingon bänjin ti ike ti kä bïraŋ, aŋ kiinne ogo, “Kura iñja ika mätcä piik kä ḍeewaŋ wäl yüünü ti.”
011812006e	Aŋ ike jaajjin ogo, “Mätcä, mügdo yeeni.” Aŋ oja wäl ïmmene ïñï kä bïraŋ, aŋ iññe mätcin.
011813007d	Aŋ wääna iññeeda kä mätcenee piik ye, jaajjin ogo, “Kälämgä yüükü bi määtkä piik cäänna ke yääŋene.”
011814008b	Aŋ kä bïraŋ piik wäl yeeke ṭüljene kuun jï, aŋ bülcïn ŋäjäk jïïdük ŋüücïdï piik, aŋ kälämgä muure puukkene piik.
0118150082	I daamgä kiingon a daamgon i batta jääyïdï woo jiikkalaŋ, ukcedee kä gïtï naana wään yeene ḍääkkene daa Pïṭo ye.
01181600ad	Aŋ wääna kälämgä ḍaŋŋene kä maaṇṇä piik ye, ike ääcin woo juma yen tiilgä ke tiikinni mäyken yek tiilgä kä yewwe yek ïnke ḍuuggen aŋ iññeeda kä.
0118170092	Aŋ taaññe ogo, “Ïkï agä ṭul ŋaani?” “Kura nüütkaa, wääc cääyge nänṭä yaana nïïnon kä wïïrïn jïñe yaanni ti ye?”
0118180063	Aŋ ike luugi Rïpga ogo, “Ika agä ṭul Batüwïïl yaana giitä kä Maalka ke Nahüür ina.”
01181900b2	Aŋ ŋuccin jaajjin ogo, “Ikoon cäygon kä pïïroni ke beelgä ïwïn yaaka amgä kälämgä ye ḍiräk, ke nänṭä yen wilgä yaana nïïne kä wïïrïn tiññaŋ ye.”
01181a0038	Aŋ kiingon ḍüŋŋü, aŋ mälcin ñaalok Pïṭo ti,
01181b00eb	aŋ jaajjin ogo, “Ŋüülkïn ḍükcï Pïṭo ti, Jooŋ yen mügdo yeeni Abrayiim. Pïṭo nüütïn woo biilin yaana batta düüñïdï ye, ke luggin mügdo yeeni ti. Aŋ ike ika üüŋjana ti kä ba' mügdo yeeni mä yeeke ti.”
01181c0063	Aŋ Rïpga lüüṇṇü paa ba' meen, aŋ me nüütkene kä waak'a näŋŋä ḍuuggen ye muureen.
01181d005d	Aŋ Rïpga cääyge määden battä me ogo Laabaan, buurcin woo jïïn wic pärjïdï ke oon.
01181e00ea	Kä yaana yuṭṭee kä juma käwen umdonḍe ti ke tiikinni ïnke ḍuuggen ti, aŋ tiiŋŋee kä Rïpga päkee kä jiik'a kiinene daa kä oon ye. Aŋ ike kaaccä woo oon ookcede, aŋ kaññe yudit ke kälämgä jïïn ti kä cokal.
01181f00a0	Aŋ kiini Laabaan ogo, “Äätä, ïkï yaana agä ŋüülkïnï kä Pïṭo ye. Ïkï yuddu woo winni ina? Ïkï tutkeneni än ke nänṭä yen kälämgä.”
01182000c8	Aŋ oon attä ti än ti, aŋ waak duudi me ïñï kälämgä ŋätin, aŋ kälämgä iñi me pïïroni ke beelgä ïwïn, aŋ oon icki me piik ke m'aka ike kïïtkätä kälämgä ye, lukene kïïgen.
01182100d5	Aŋ amma äbi me woo yuuti me ñomgen ti. Aŋ kiingon yen Abrayiim jaajjin ogo, “Ika batta ämjädä amma ke jiik yaaka äätänä kä ye nüütke kä woo.” Aŋ kiini Laabaan ogo, “Ee ŋeraŋ, nüütkoon.”
0118220031	Aŋ nüütkene ogo, “Ika agä kiingon Abrayiim.
01182300ca	Aŋ Pïṭo mügdo yeeni ŋüülkene kä yäw, aŋ ike wäättä aŋŋa ceeggon. Iñi Pïṭo ḍiik ke däk ke tiilgä gälkä ke tiilgä, ke kiinkä oogen ke määngen ke kälämgä ke tüürüŋŋï.
0118240090	Aŋ Caarra iŋ mügdo yeeni, ike mügdo yeeni gitkene woo oonle i ike a ṭiin, aŋ mügdo yeeni waak yeeke iññeeda kä muure yaaka mügde ye.
011825009f	Aŋ mügdo yeeni ika daljana lïïttä. Ike jaajjin ogo, ‘Ŋana minneni yeeni kujgudu tïïrïn yek mä Kanaan ti, yaaka ikki ika cääyä waadgen ti yaakki.
0118260053	Atä än yen wäyo ti aŋ äntüke yeeni ti, aŋ minneni yeeni kujgu iiŋ wïca.’
011827006b	Aŋ mügdo yeeni taaññä ogo, ‘Aŋ naana ṭuul batta ṭäkï äätin ke ika ŋommañ yaanni ti ye?’
01182800d4	Aŋ ika luuŋŋa ogo, ‘Pïṭo yaana ika äätä ñome ti ye, bi tüccï malak yeene ke ïkï, aŋ wään yüünü bi ḍaage, aŋ nuŋko bi minneni yeeni käñgeeda kä iiŋ mä yeeki ti, äntüke wäyo ti ye.
01182900be	Aŋ naana ïkï atä mä yeeki ti ye, ḍoŋü bi latï woo kä lïïttäŋ yeeni, naana daa cäänna ïkï ṭïïgïnï kä iññä iiŋ ye, ḍoŋü bi latï woo kä lïïttäŋ yeeni.’
01182a00ad	“Aŋ tiññaŋ wääna äätänä kä jïïn ti ye, ika mälcänä ñaalok ogo, ‘Ay, Pïṭo, Jooŋ yen mügdo yeeni, Abrayiim, kura wään yeeni yaanni ḍääkkaa kä.
01182b00d1	Yuuru, ika inni yuddu jïïn taaŋ yaanni. Aŋ gin'a ṭäkkä ye inni. Naana ṭuul yaŋkalaŋ kääjin woo tïpï piik ye, bi kiinä ogo, “Kura iñja woo piik kä ḍeewaŋ wäl yüünü ti mätcä kä.”
01182c00a5	Aŋ naana ika kiinna ogo, “Mätcä, aŋ kälämgä yüükü bi puukku cäänna ye,” dalä ken wäätï a yaana wagi Pïṭo a iŋ minneni yen mügdo yeeni ye.’
01182d00d8	“Aŋ i ika batta mor ḍagä kä mallä joni ti, oja Rïpga kääjin woo ke wäl piik yeene büüye ti. Aŋ ike kaaccä ïñï wäl yeene küümgede kä piik, aŋ ike kiinnä ogo, ‘Kura iñja piik mätcä kä.’
01182e00bf	Aŋ kä bïraŋ aŋŋi, wäl yeene immene ïñï aŋ jaajjin ogo, ‘Uŋgo mätcä, aŋ kälämgä yüükü bi puukku cäänna.’ Aŋ wääna mätcänä kä ye, kälämgä puukkene cäänna.
01182f00da	“Aŋ ike taaññä ogo, ‘Ïkï agä ṭul ŋaani?’ Aŋ ika luuŋŋa ogo, ‘Ika agä ṭul Batüwïïl yaana giitä kä Nahüür ke Maalka ina.’ Aŋ iiŋkänä juma umdonḍe ti, ke tiikinni ïnke ḍuuggen ti.
0118300107	Aŋ ika ḍüŋjünü ïñï aŋ ika mälcänä ñaalok Pïṭo ti. Aŋ Pïṭo maaŋŋä, Jooŋ yen mügdo yeeni Abrayiim, yaana ika nüüdana päy yaana wodaŋ ye ti, ke käñga kä ṭuul yen ṭul mügdo yeeni määden, yaana bi a iŋ minneni mügdo yeeni ye.
01183100ad	Aŋ nüütka naana ikee mügdo yeeni bi nüütke woo biilin yaana batta düüñïdï ye ke luggin, aŋ naana a ba'ay ye, i nüütka dale ika atä nänṭä yaŋkalaŋ ti.”
011832006a	Aŋ luugi Laabaan ke Batüwïïl ogo, “Nääŋkä yaakki ätä Pïṭo ti, baati jiik'a jääyon woo ye.
011833007d	Rïpga inana, koowu aŋ ate kä, aŋ dalä ike wäätï a iŋ minneni mügdo yüünü, bata yaana jaajjene kä Pïṭo ye.”
0118340084	Aŋ wääna kiingon yen Abrayiim tiiŋŋee kä jiik yeeken ye, ike ḍüŋjïn ïñï ŋomgu gïtï, aŋ mälcin ñaalok Pïṭo ti.
01183500bb	Aŋ kiingon ääcin woo waak wïlkïtïn a naŋgin kä tiilgä gälkä ke tiilgä, ke buruŋgu, aŋ iññe Rïpga. Aŋ cäänna määden ke meen iññe wakkä yaaka weel yeenen caraŋ ye.
01183600d1	Aŋ ike ke ook yaaka äätene ye, ämmä aŋ mättä aŋ nïngïn wïca. Aŋ wääna juwene ñaalok kä tïṇṇäŋänä ye, kiingon yen Abrayiim jaajjin ogo, “Tiiŋga, dale ika ḍukcu mügdo yeeni ti.”
0118370077	Aŋ määden ke meen jaajjin ogo, “Dalä por Rïpga cääjjï nïïnkä kä caay ke ikoon, aŋ wäättan ike atï.”
0118380075	Aŋ kiinne ogo, “Ŋana ika koora kä, Pïṭo wään yeeni ḍaaŋŋe. Tiiŋga dale ika ḍukcu mügdo yeeni ti.”
011839003e	Aŋ iken jaajjin ogo, “Dale ṭuul bärkïn, aŋ taacïn.”
01183a0079	Aŋ Rïpga bärki, aŋ taaji ogo, “Ïkï gïmmädä ikee ate ke oon yaanni?” Aŋ luuŋŋe ogo, “Ee, ika bi atä.”
01183b0069	Aŋ käwen Rïpga tuci ke kiingon yaana ike pïrï ye, ke kiingon yen Abrayiim, ke m'aka äätene kä ye.
01183c00bd	Aŋ Rïpga ŋüülkï, aŋ kiini ogo, “Käwo, ïkï wäätci agä miy yen me ḍiirken caykä mäyken kä caykäcaayni! Aŋ dalä kaaynä yüükü bänkä yek ädäŋŋi yeeken peecä.”
01183d0085	Aŋ Rïpga ke kiinkä yeeke määngen taappä kälämgä, aŋ oon baati ŋäc. Aŋ kiingon yen Abrayiim Rïpga koowne aŋ attene kä.
01183e0074	Aŋ Icaak yaana cääy Najïp ina, ḍuku Bïïr Lahaayi Rooy, aŋ aŋan ogo, Jïïn M'ana a Üdon Ika Yoodda ye ti.
01183f00ac	Aŋ ääŋkalaŋ ti biigin ti aŋŋi, Icaak attä yiil jï, aŋ laay i jone jaay jiikkalaŋ, aŋ wääna wiñe ääreneeda kä ñaalok ye, ike yurcin kälämgä äätïdï.
0118400085	Aŋ Rïpga cäänna wääna wiñe ääreneeda kä ñaalok ye, Icaak yooṭṭe, aŋ ike kuuyin ïñï kalman yeene ŋäc kä bïraŋ.
01184100c6	Aŋ kiingon taaññe ogo, “A oon yaana wali ye ïya yiil jï äätïdï ïkïïn päägïdïn yaanja?” Aŋ luugi kiingon ogo, “A mügdo yeeni.” Aŋ ike burŋu yeene koowne aŋ waŋge kümme.
0118420033	Aŋ kiingon Icaak päkkene waak'a naŋŋe ye muure.
011843008c	Aŋ Icaak Rïpga äbene keeñ yen meen Caarra jï, aŋ wäättä aŋŋa iiŋe. Aŋ bilgene, aŋ Icaak jone lüynü kä ike kä tüwnü meen.
0119010044	Aŋ Abrayiim ḍiññä iiŋ yaŋkalaŋ ŋuca battä me ogo Katuura.
011902004e	Aŋ ike gitki Jumraan ke Yakcaan ke Midaan ke Mïdïyaan ke Ïcbaak aŋ Cüwa.
011903006d	Yakcaan ken a wäy yen Cïïba ke Diidaan. Aŋ kaaynä yek Diidaan a mä Acüür ke mä Litüüc ke mä Liim.
0119040074	Aŋ merkä oogen yek Mïdïyaan a Ipa ke Eper ke Anook ke Abida aŋ Elda. Iken yaakca muureen a kaaynä yek Katuura.
0119050034	Abrayiim waak yeeke muure yädi minneni yeene Icaak.
01190600a5	I ike batta mor tüw, merkä yeeke yaaka giide kiinkä yeeke määngen ti ye, pääggene iñdinni. Aŋ piirre gïtï ke Icaak, aŋ iken tucce woo baan ti kä ñomuk.
0119070044	Aŋ Abrayiim yuunge muure yaaka cääynee kä ŋommañ wic ye a 175.
011908009d	Aŋ ike wääkcin woo wääktäŋ tüwnü aŋ tüwnü, i yuunge a ḍïïrïnï a yääŋon kä cäwdä ŋommañ wic, aŋ ike cooṭi me ti dänkä yurge ti.
011909008e	Aŋ merkä yeeke Icaak ke Icämayiil ike jïgï ṭuum yaana Makapeela jï ye, cokulaŋ ti Mamar, yiil yen Aproon minneni Cuwaar yen mä Haat.
01190a005a	Aŋ yiil yaana kiyi Abrayiim mä Haat ti ina, ken jïgene daa kä me iken ke iiŋe Caarra.
01190b00b3	Aŋ wääna Abrayiim tüwnee kä ye, minneni yeene Icaak ŋüülkï Jooŋ. Aŋ Icaak cääynä kä cokal Bïïr Lahaayi Rooy, aŋ aŋan ogo, Jïïn M'ana a Üdon Ika Yoodda ye ti.
01190c0076	A perrä kaaynä yek Icämayiil minneni Abrayiim, yaana giide Haajir kiingon yen Caarra yaana a yen mä Macïr ina ti.
01190d00bd	A merkä oogen yek Icämayiil yäṇtäŋgenen ikki, aŋ a pergin a ïïjgïnï kä kaygon ti ke m'ana düüñïdï ye ti. Nabïyüüt ken a kaygon aŋ bäätcete Kedar ke Adbeel ke Mibcaam
01190e001c	ke Micma ke Düüma ke Maaca
01190f0035	ke Haddaat ke Tiima ke Yatuur ke Naapïc aŋ Kedeema.
01191000ac	A merkä oogen yek Icämayiil ikki, aŋ a yäṇtäŋŋi yek yätïnï yaaka äärgä tüggen kä caay witken kä yewwe ye, ke nänk'a cääyene kä ye, ke keeññi yeeken.
0119110090	Aŋ Icämayiil cääynä ŋommañ wic yuunge 137. Aŋ ike wääkcin woo wääktäŋ tüwnü aŋ tüwnü, aŋ ike cooṭi me ti dänkä yurge ti.
01191200ad	Aŋ kaaynä yeeke cääjjin Hawela attä ke Cüür kä cokal Macïr ñome ti, bata gin'a ïkï üŋjüdü Acüür ye. Aŋ iken cäygin muure kä puudin gïtï ke mä yeeken.
0119130065	Wakkä yaakki a yaaka näŋŋä ḍuuggen Icaak ti minneni Abrayiim ti ye. Aŋ Abrayiim gittä Icaak.
01191400b4	Aŋ Icaak yuunge caykä kä ŋan wääna kuññee kä Rïpga ṭul Batüwïïl yaana a män Araam ina, aŋ ike baanne battä me ogo Padaan Araam aŋ ike a Laabaan mä Araam käwen.
011915008c	Aŋ Icaak mälcin ñaalok Pïṭo ti kä yaana iiŋe agee kä burŋu ye. Aŋ mallä yen Icaak luugi Pïṭo aŋ iiŋe Rïpga laaccä yuunku.
01191600bd	Aŋ merkälen yaaka kä yewwe jïñe ti ye yoken yuuku, aŋ attä tääccïdï Pïṭo ti kä yuuŋŋu merkä yoken. Aŋ tääccin ogo, “Nääŋkä yaakki näŋit ḍuuggen ika ti ina?”
01191700f2	Aŋ kiini Pïṭo ogo, “Merkä yaaka jïñü ti yaakka bi wäätï a ṭoŋ kä yew. Aŋ me yüükü yaaka kä yew jïñü ti yaakka bi piirtit, aŋ ṭoŋ yaŋkalaŋ bi meken borgu kä teynä, aŋ kaygon yüünü määdenle bi ñuugele.”
0119180067	Aŋ wääna nïïnnä yen giidä yeene ḍäägenee kä ye, yore kaññe cäyge yuunku oogen jïñe ti.
0119190060	Aŋ yaana ïïjgene giidene woo ye, tïdaŋ aŋ yore a jiik bata gaan, aŋ äkki me ogo Ïïcü.
01191a00bf	Aŋ yuungon yaŋkalaŋ giidi me i määden Ïïcü agee kä mükon kä ŋubdonḍe. Aŋ äkki me ogo Yaagüüp. Aŋ wääna yuunku giidene daa kä me ye i Icaak yuunge caykä kä ḍüügük.
01191b00a1	Aŋ wääna merkä pïïrene ñaalok ye, Ïïcü wäättä aŋŋi män keñ laay woo luummuk, i määden Yaagüüp a män ŋïïbbïn cääy paa keeññi gïtï.
01191c008c	Aŋ Icaak a Ïïcü ken bilge nääŋka ämee kä yäŋgä waak luum jïñe yaaka äbätä Ïïcü ye, aŋ Rïpga a Yaagüüp ken daa bilge.
01191d0081	Aŋ ääŋkalaŋ ti wina Yaagüüp cääpï yüückü, aŋ käägi ti Ïïcü ätä woo luummuk a bägon kuckon aŋ näkä käñ.
01191e00ca	Aŋ Ïïcü Yaagüüp kiinne ogo, “Ika tüwü kä käñ! Kura iñja yüückü tïtkä kä ḍeewaŋ!” A yaana Ïïcü äkkene daa me yäṇtäŋ yaŋkalaŋ ogo, Ïdoom ye, nüütï ogo “tïdda.”
01191f0049	Aŋ luugi Yaagüüp ogo, “Ee, por kaykïtïn yüünü yääjgaa kä.”
0119200069	Aŋ Ïïcü jaajjin ogo, “Yuuru, ika tüwü kä käñ. Aŋ ŋerrä kaykïtïn yeeni a ŋaaka ika ti?”
0119210079	Aŋ kiini Yaagüüp ogo, “Por ïïjjä lïïtkaa.” Aŋ Ïïcü lïïttä, ogo kaykïtïn yeene yääjgedee Yaagüüp.
01192200a4	Aŋ Yaagüüp Ïïcü iññe bïggï ke yüückü piiken. Aŋ ike ämmä aŋ mättä, aŋ wäättana juwin attä. Aŋ aŋan Ïïcü ñääynä kä kaykïtïn yeene.
011a0100b5	Aŋ käñ yaŋkalaŋ ŋuca äätin baan jï bata yaana näŋŋä ḍoŋe nïïnkä Abrayiim ti ina. Aŋ Icaak attä yätkä Abimaliik yen mä Palactïïn yaana cääy Jaraar ina ti.
011a02008d	Aŋ Pïṭo üükïn woo Icaak ti aŋ kiinne ogo, “Ŋana ïkï atä ïñï Macïr. Cääyä baan yaana bi kiinenii kä ogo cääyjey ko ye.
011a0300e6	Cääyä baan yaanni ti ïkï agä boorgon, aŋ ika bi ke ïkï aŋ ïkï bi ŋüülkeni. Aŋ bänkä yaakki bi iñenii kä muure ïkï ke kaaynä yüükü, aŋ ika lïïttäŋŋi bi ḍaagä yaana lïïtkänä wääc Abrayiim ye.
011a0400cc	Aŋ kaaynä yüükü bi naŋä ḍirä kä yaac bata kiṭṭäni yek polloŋ jïñe, aŋ bänkä yaakki muure bi iñä daa kä. Aŋ kä päy kaaynä yüükü ṭoŋ muure bi a ŋüülkïnï ŋommañ wic.
011a05007f	Kä yaana Abrayiim tiiŋgana kä jiik yaaka ṭäkkä ike ti ye aŋ tïïcee kä iininni yeeki, ke nüüṇṇüni yeeki ye.”
011a06002e	Aŋ Icaak cääjjin baan battä me ogo Jaraar.
011a070104	Aŋ wääna taajene daa kä ook yek baan yaanja kä iiŋe ye, i ike jaajjin ogo, “A käwo.” I booc kä jaajjin ogo, “A iiŋ yeeni.” Ike ḍüücï ogo, “ike bi nägjï ḍok mä baan yaanna, ogo iiŋe Rïpga, kä yaana ŋeree kä ŋer kä yaac ye.”
011a0800c1	Aŋ wääna Icaak cääynee kä wïca nïïnkä kä ḍiräk ye, Abimaliik yätkä yen mä Palactïïn däämjin ïñï kä käälle yen än gunne aŋ Icaak yooṭṭe iiŋe Rïpga ñääjgede.
011a0900d5	Aŋ Abimaliik Icaak bärkene aŋ kiinne ogo, “Ay, Rïpga ina a ïïŋü yaanna! Ïkï jaayä ogo käwic ina?” Aŋ luugi Icaak ogo, “Ika booju, ika ḍuucu ogo mäŋkalaŋ ika bi nägjada ḍok aŋ koowje.”
011a0a00b2	Aŋ Abimaliik jaajjin ogo, “A ŋaaka ina näŋgonoon kä aŋan yaanna? Aŋ naana yoku por mäŋkalaŋ ïïŋü nïïnne ye, ikoon yoku ickonoon ḍuuggin nääŋkä yaackä.”
011a0b0067	Aŋ Abimaliik me muure kolle ogo, “M'ana bi täpï yok men yaanni ke iiŋe ye tüwnü bi yoore ti.”
011a0c00b7	Aŋ baan yaanja ti Icaak pïïttä käwkä, aŋ yun yaanna ti ike iṭṭä cuukulli päk 100 ḍiräk kä käwkä yaaka pïïṇṇe ye, nääŋka ike ŋüülkene daa kä Pïṭo ye.
011a0d0057	Aŋ ike wäättä aŋŋa ceeggon mooye kä yaac, aŋ waak yeeke üüttïn kä ḍiirin.
011a0e0057	Aŋ ike cäygene ḍiik ke däk ke kiinkä kä ḍiräk aŋ mämgi jï mä Palactïïn.
011a0f007f	Aŋ jïïdgä piik muure yaaka küüñï kiinkä wäyen nïïnkä yek wäyen Abrayiim ti ye, cïkï mä Palactïïn kä ŋomgu.
011a100055	Aŋ Icaak kiini Abimaliik ogo, “Aŋgä yorü ikoon ti. Ikoon borroon kä teynä.”
011a11007b	Aŋ Icaak aŋgin yore wïca, aŋ attä keeññi yeeke ṭeljene ïñï Ḍääñgon Jaraar jï, aŋ cääjjin ïñï wïca.
011a1200e8	Aŋ Icaak jïïdgä ḍuukke gomme yaaka küüñï me nïïnkä yek wäyen Abrayiim ti ye. Kä yaana cïkene daa mä Palactïïn wääna wäyen tüwnee kä ye. Aŋ äkkene kä yäṇtäŋgenen yaaka äkkene daa kä wäyen ñomuk ye.
011a13007b	Aŋ kiinkä Icaak küññü jïïn Ḍääñgon Jaraar jï, aŋ jïïn waŋe yaana yiiŋä kä piik ŋerkä ye kañi wïca.
011a1400b7	Aŋ kaaydoni yek mä Jaraar äätin aŋ büültïn ke kaaydoni yek Icaak, aŋ jayok ogo, “Piik a yooko!” Aŋ Icaak jïïn äkkene ogo Icik nääŋka iken büültene kä ke ike ye.
011a1500a0	Aŋ kaaydoni Icaak ŋuccin küññü jïïn yaŋkalaŋ, aŋ iken ŋuccin büültïn wïca jïïn yaanja ti. Aŋ äkki Icaak ogo Cittina nüütï ogo ätkïtïn.
011a1600fd	Ike nänṭä yaanja bäkkene wic aŋ ŋuccin küññü jïïn yaŋkalaŋ wïca, aŋ baati m'ana ŋuca agene kä büültïnï kä ye. Aŋ äkki Icaak ogo Rabuut, aŋ jaajjin ogo, “Pïṭo ikoon iññon nänṭä, aŋ ikoon bi ḍiiron ŋommañ wic.”
011a170037	Aŋ Icaak wina daljene ïñï aŋ baŋŋä Bïïrcïba.
011a1800fb	Aŋ wïïrïn jïñe yaanja ti Pïṭo üükïn woo ike ti, aŋ ike kiini ogo, “Ika agä Jooŋ yen wääc Abrayiim. Ŋana ïkï booju, ika ke ïkï, ïkï bi ŋüülkeni aŋ kaaynä yüükü bi naŋä ḍiirä kä waan yen kiingon yeeni Abrayiim.”
011a19008e	Aŋ Icaak bättä tambal wïca, aŋ Pïṭo maaŋŋe. Aŋ keeñ yeene ṭeljene ïñï wïca, aŋ kiinkä yeeke küñjïn ïñï jïïn wïca.
011a1a00ab	Aŋ ääŋkalaŋ ti wina yätkä Abimaliik äätin ike ti ke Ahüjaat yaana ike nüütü kä nääŋkä yaaka bilti ye, ke Paykool ḍuuŋgon kääygä yeene ätä Jaraar.
011a1b006e	Aŋ tääckiti Icaak ogo, “Ikee äätede ika ti ina? I ina ika putka jï, aŋ ika ñooṭṭa woo yaanna.”
011a1c00a5	Aŋ iken luukcin ogo, “Yoorron kä ŋer Pïṭo ke ïkï. Aŋ ikoon jaajjonon ogo yoku lïïttäŋ bilto ti waadgo ti, ke ïkï. Ïkïïn ḍüccïn jiik ḍoocin.
011a1d00fe	Lïïtä ogo ikoon batta bi näŋgonda nääŋkä yaackä, bata yaana batta agini näŋgïnï kä nääŋkä yaackä ina, a nääŋkä ŋerkä ken näŋkiti kä kamat. Aŋ ïkï tucini woo kä ŋïïbbïn. Aŋ yooru yaana ŋüülkïnï kä Pïṭo ye.”
011a1e003f	Aŋ iken tutki Icaak ammani jon ñamme, aŋ ämmä aŋ mättä.
011a1f007e	Aŋ kä tïṇṇäŋänä iken murjin ïñï mäŋkalaŋ daa menen lïïtkede, aŋ iici Icaak aŋ iken attä kä ŋïïbbïn.
011a200099	Aŋ äŋ jïñe yaanja ti kiinkä yek Icaak äätin ike nüütkï kä jïïn yaana küüñï a kïcconḍe ye, aŋ kiini ogo, “Ikoon käññon piik!”
011a21008f	Aŋ Icaak jïïn äkkene ogo Cïba. Aŋ ke tiññaŋ baan yaanja wäättana battä me ogo Bïïrcïba, aŋ aŋan ogo, “Jïïn Lïïttäŋ.”
011a2200ac	Aŋ Ïïcü wääna yuunge aŋŋene caykä kä ŋan ye, ḍiññä määngä kä yew tïïrïn mä Haat ti, määnge a Yahudïït ṭul Beerï, aŋ Bacamaat ṭul Eylüün.
011a230034	Aŋ a iken ken ääcin jon yiñe Icaak ke Rïpga ti.
011b0100a9	Icaak daandin aŋ waŋge bunnu batta ŋuca yüṭï, aŋ minneni yeene mooye Ïïcü bärkene ti, aŋ kiinne ogo, “Minneni yeeni!” Aŋ ike luugi ogo, “Ika inni.”
011b020050	Aŋ Icaak jaajjin ogo, “Ika ḍuuŋdunu, aŋ nïïnnä yeeni yen tüwnü kuju.
011b030053	Kaay yüünü koowu ke cäwgälen, aŋ atä woo kiñuk aŋ näkkaa gin luum jïñe.
011b040077	Aŋ tutkaa ginäämkä yaana ñabaŋ bilgä ye, aŋ ickaa kä dalä amä nuŋko ŋüülkenii i batta mor ika tüwü.”
011b0500a3	Aŋ wääna Icaak jaaynee ke minneni yeene Ïïcü ye, i tiŋtä Rïpga. Aŋ wääna Ïïcü attee kä woo luummuk kiñee kä waak luum jïñe aŋ äbedeeda ti ye,
011b06005f	i Rïpga minneni yeene Yaagüüp kiinne ogo, “Wääc tiiŋŋä määdic Ïïcü kiiṇde ogo,
011b07008d	‘Ickaa gin luum jïñe, aŋ näŋgaa kä ginäämkä yaana ñabaŋ ye amä nuŋko ŋüülkenii Pïṭo ñome ti, i ika batta mor tüwü.’
011b08003d	Minneni yeeni jiik yeeki tiiŋä bata yaana kiindenii kä ye.
011b09008c	Atä kaacci ḍiik gïtï aŋ ickaa woo jüülonilen kä yew yaaka a caagin ye, dalä näŋgä wääc, a ginäämkä yaana ñabaŋ bilge ye.
011b0a004d	Aŋ ickä wääc dalä ame nuŋko bi ŋüülkey kä, i ike batta mor tüw.”
011b0b0060	Aŋ Yaagüüp meen Rïpga luuŋŋe ogo, “Määdo Ïïcü yore jüülaŋ, aŋ ika yori yïlaŋ.
011b0c0087	Aŋ naana por ika tapa yok wäyo ye? Ika bi yoora ogo ike maldooŋïngïn. Aŋ ike ika batta bi ŋüülka, bi ṭääkcï ika tuuma.”
011b0d008a	Aŋ kiini meen ogo, “Dalä tuummu ḍïmjï ika ti, minneni yeeni! Näŋjä bata yaana kiinnenii ye. Atä aŋ jüülonilen ickaa kä.”
011b0e0083	Aŋ ike attä aŋ jüülonilen koowne aŋ ickene meen. Aŋ meen tuttu ginäämkä yaana ñabaŋ ye, bata yaana bilgänä wäyen ye.
011b0f0090	Aŋ Rïpga kuññu buruŋgu ŋerkä yek minneni yeene mooye Ïïcü, yaaka äräk baanne ye, aŋ iiŋkene minneni yeene ḍeerconḍe Yaagüüp.
011b100063	Aŋ kümme ïnke ti ke bugge ti, ke nänṭä ḍoŋe yaana yïdälaŋ ye kä gäykä jüülonilen.
011b11005d	Aŋ ike ginäämkä yaana ñabaŋ ke bïggï yaaka tooṇṇe ye iññe Yaagüüp ïṇte ti.
011b1200a4	Aŋ Yaagüüp attä äräk wäyen ti, aŋ jaajjin ogo, “Wäyo.” Aŋ wäyen luukcin ogo, “Haa, minneni yeeni. Ïkï agä Ïïcü halla ïkï agä Yaagüüp?”
011b1300c6	Aŋ Yaagüüp luukcin wäyen ti ogo, “Ika agä Ïïcü kaygon yüünü. Ika näŋŋä bata yaana kiinnaa kä ye. Juwu ñaalok aŋ yäŋŋä gin luum jïñe yeeni amä, nuŋko ŋüülkaa kä ye.”
011b14008b	Aŋ taaji Icaak ogo, “Kaññi ogoo kä bïraŋ aŋŋi minneni yeeni?” Aŋ luuŋŋe ogo, “Pïṭo yüünü Jooŋ ika yüükkana ti.”
011b15008b	Aŋ Icaak Yaagüüp kiinne ogo, “Wüükü ti kä cokal dalä ïkï tabeni yok, aŋ ooku gïtï naana a ïkï Ïïcü minneni yeeni ye.”
011b16008d	Aŋ Yaagüüp wükcïn ti wäyen ti, aŋ tabi yok Icaak. Aŋ ike jaajjin ogo, “Poŋ a poŋ Yaagüüp, aŋ ïnkä ke buggu a yek Ïïcü.”
011b17009b	Aŋ batta agee kä ookon gïtï nääŋka ïnke ke bugge jüüle kä jüül bata määden Ïïcü ye. Aŋ Icaak yore tootte ṭäkï Yaagüüp ŋüülkede.
011b180065	Aŋ taaññe ogo, “A gïtken ïkï agä minneni yeeni Ïïcü?” Aŋ luuŋŋe ogo, “Ee a ika.”
011b1900de	Aŋ Icaak jaajjin ogo, “Yäŋŋä gin luum jïñe yüünü äckaa kä dalä amä, minneni yeeni. Nuŋko ïkï bi iñenii kä ŋüülkïn yeeni ye.” Aŋ äckene daa Yaagüüp aŋ amme. Aŋ äckene määk aŋ maaṇṇe.
011b1a0058	Aŋ kiini wäyen Icaak ogo, “Äätä ti kä cokal minneni yeeni, aŋ muckaa gimgin.”
