0100000007	Jenesis
0a021b00d0	Joap kamaghɨn oregha a ikara, “Ikiavɨra Itir Godɨn ziamɨn kɨ guizbangɨra nɨ mɨgei, nɨ ti akar kamɨn na mɨkemezir puvatɨzɨ, nan gumaziba ian agɨntɨgha ghua gurum mɨzaraghan otoghan koghai.”
0a021c00ae	Joap akar kam mɨkemegha gɨvagha, sɨgham givia Israelian agɨntɨghan uan mɨdorozir gumazibar anogoroke. Ezɨ me ua Israelian agɨntɨghɨzir puvatɨgha mɨdorozim agɨfa.
0a021d00db	Ezɨ Apner uan adarazi ko me danganir kam ategha Jordanɨn danganir zarimɨn uaghiri. Egha me dɨmagarimɨn danganir zarir kamɨn ghua Jordanɨn Fanem abigha vongɨn ghua, amɨmzaraghan aruer arɨzimɨn Mahanaimɨn oto.
0a021e00bf	Apner uan mɨdorozir gumaziba ko ghuegha gɨvazɨma, Joap uan mɨdorozir gumaziba akuvagha me medi. A me mengegha kamaghɨn fo, 19plan mɨdorozir gumaziba ariaghire. Ezɨ Asahel uaghan areme.
0a021f006b	Dughiar kamɨn, Devitɨn adarazi Benjaminɨn 360plan gumazibav soghezɨ me ariaghire, kar Apnerɨn adarasi.
0a022000c3	Ezɨ Joap uan gumaziba ko, me Asahelɨn kuam inigha ghua Betlehemɨn nguibamɨn, an afeziam afazir danganimɨn anefa. Me anefagha dɨmagarimɨn uamategha ghua Hebronɨn otivima, amɨnim bar tira.
0a030100b8	Dughiar kamɨn gɨn, mɨdorozim dughiar bar ruarimɨn Devit ko Solɨn adarazir tongɨn iti. Devitɨn adarazi bar gavgavigha ghuavanaga Solɨn adarazigh amima, me bar amɨragha uaghiri.
0a0302008f	Devit Hebron aperagha 6plan otarir kaba ini. Men ziabar kara: Amnon, an otarir ivariam, an amebam Ahinoam, a Jesrilɨn nguibar ekiamɨn amizim.
0a030300e9	Amnonɨn gɨrara irim, Kileap, an amebam Abigel, a Karmelian amizim. Abigel faragha Nabalɨn ike, ezɨ Nabal aremezɨ, Devit a inigha an iti. Ezɨ otarir mɨkezim, Apsalom, an amebam Maka, Maka kantri Gesurɨn Atrivim Talmain guivim.
0a0304005f	Namba 4ɨn otarim, Adoniya, an amebam Hagit. Otarir namba 5ɨn ziam, Sefatia, an amebam Abital.
0a03050066	Ezɨ otarir namba 6, Itream, an amebam Ekla, a Devitɨn amuim. Devit Hebronɨn ikiava otarir kaba ini.
0a0306008c	Solɨn adarazi ko Devitɨn adarazir mɨdorozir gumaziba uariv sogha ghuavɨra itima, Apner a Solɨn adarazir gumazir ekiamɨn otivasava ami.
0a030700bd	Ezɨ dughiar mamɨn, Isboset kamaghɨn akar mam Apner gasa ghaze, “Nɨ nan afeziam Solɨn amuir dozim koma akui. Amizir kamɨn ziam Rispa, a Aian guivim. Nɨ tizim bagha kamaghɨn ami?”
0a030801a4	Apner akar kam baregha atara bar osemegha ghaze, “Nɨ ghaze, kɨ ti nɨn afiar gumazim? Egha nɨ ghaze, kɨ ti Judabar akurvasi? Puvatɨ. Nɨ nɨghnɨgh. Dughiar nɨn afeziam Sol atrivimɨn ikia iza datɨrɨghɨn, kɨ a ko an aveghbuaba ko an namakabar gɨn zui. Egha kɨ uaghan nɨ ataghizɨ, Devit nɨ inigha nɨ gasɨghasɨghizir puvatɨ. Ezɨ nɨ datɨrɨghɨn amizir kam bagha akam na gasi, kar pura bizir kɨnim.
0a030901f6	Ikiavɨra Itir God, Devit bagha Akar Gavgavir mam akɨrigha ghaze, Devit Solɨn adarazi batueghtɨma, me Israelian atrivibar ikian kogham. Ikiavɨra Itir God ghaze, a uabɨ Devit damightɨ a Israelia ko Judabar atrivimɨn ikɨva, kantrin kam bar a gativagham. Eghtɨ Devit kantrin kamɨn atrivimɨn ikɨ, egh Danɨn anabamɨn nguazimɨn ikegh mangɨ nguibar ekiam Berseban tugham. God Devit bagha dɨkɨrɨzir Akar Gavgavir kam bagh, kɨ Devitɨn akuraghan koghtɨ, God na mɨsueghtɨ kɨ aremegham.”
0a030b0045	Kamaghɨn, Isboset oregha bar Apnerɨn atiatigha, ua mɨgeir puvatɨ.
0a030c00d1	Ezɨ Apner zuamɨra Devit bagha akam amaga ghaze, “Tinara kantrin kam gativagham? Kɨ kamaghsua, nɨ na ko akar gavgavim akɨrightɨ, kɨ nɨn akuragh, Israelia damightɨ me bar nɨn gumazamizibara ikiam.”
0a030d00ea	Ezɨ Devit kamaghɨn Apner bagha akam amada, “Nɨn akaba bar dera. Kɨ kamaghsua, nɨ faragh bizir kam na koma anekɨrigh. Bizir kam kamakɨn, nɨ Solɨn guivim Mikal, na bagh a inigh izɨ. Puvatɨghtɨ, kɨ ua nɨn ganan kogham.”
0a030e00e4	Egha Devit gɨn Isboset bagha akam amaga ghaze, “Kɨ kamaghɨn ifonge, nɨ nan amuim Mikal na bagh anemadaghtɨ a uamategh izɨ. A guizbangɨra nan amuim. Kɨ fomɨra 100plan Filistiabar mɨkarzir mogomebar inibar a givese.”
0a030f008c	Ezɨ Isboset kamaghɨn oregha gumazir maba amangizɨma, me ghua Laisɨn otarim Paltiel, a Mikalɨn pam, me ada Mikal inigha Devit bagha ize.
0a031000ed	Me Mikal inigha Devit bagha zuir dughiamɨn, Paltiel aziava Mikalɨn gɨn zui. Me ghua Bahurimɨn nguibar ekiamɨn otogha, Apner kamaghɨn Paltiel mɨgei, “Nɨ uamategh uan dɨpenimɨn mangɨ.” Ezɨ Paltiel an akam baregha uamatenge.
0a031100c9	Me tɨghar Devit bagh mangamin dughiamɨn, Apner Israelian gumazir dapaniba bagha ghugha me mɨgɨa ghaze, “Ia oragh. Faragha zuir dughiar avɨribar ia bar ifongegha ghaze, Devit en atrivimɨn ikiam.
0a0312012c	Ia datɨrɨghɨn dɨkavigh mangɨ a damightɨ, an atrivimɨn otivam. Ia Ikiavɨra Itir God amizir akar kam gɨnɨghnɨgh. A kamaghɨn mɨkeme, ‘Nan ingangarir gumazim Devit, kɨ ingangarim a danightɨma, a Filistiaba ko apanir igharazibar dafarimɨn, nan gumazamiziba Israelia, a ua me iniam.’”
0a031300a0	Egha Apner uaghan uabɨ ghua Benjaminɨn adaraziv keme. Egha gɨn uamategha Hebronɨn ghugha, Benjaminia ko Israelia damuasa ifongezir bizibar gun Devit mɨgei.
0a03140066	Apner uan gumazir 20pla ko me ghua Hebronɨn Devit batozir dughiamɨn, Devit me bagha isar ekiam gami.
0a03150182	Ezɨ Apner gɨn kamaghɨn Devit mɨgei, “Nɨ na ateghtɨ, kɨ mangɨva Israelia bar me inigh izɨtɨ, me nɨn apengan ikɨsɨ nɨ ko akar gavgavim akɨram. Eghtɨ nɨ ifongezɨ moghɨn, nɨ kantrin kamɨn danganiba bar dar atrivimɨn ikiam.” Ezɨ Devit uan adaraziv gɨa ghaze, ia arazir kuratamɨn Apner damuan markɨ. Egha a Apner amadazɨma, a navir amɨrizim sara uamategha ghu.
0a031600f3	Apner Hebronɨn itir dughiamɨn, Joap ko Devitɨn mɨdorozir gumaziba itir puvatɨ. Me ghua apanibav sosi. Ezɨ Devit Apner amadazɨ a ghuzɨma, an gɨrara Joapɨn adarazi me uan apanibav suegha, me da inizir biziba inigha uam Hebronɨn otifi.
0a031700d6	Ezɨ Joap ko an gɨn zuir mɨdorozir gumaziba bar Hebron otivigha, Joap kamaghɨn oraki, Apner iza Atrivim Devitɨn gani, ezɨ Devit Apnerɨn mɨsoghan gumazibar anogoregha anemadazɨma, a navir amɨrizim sara ghu.
0a03180098	Kamagh amizɨ, Joap ghua atrivimɨn gara an mɨgɨa ghaze, “Me ghaze, Apner iza nɨ batozɨma nɨ anetaghizɨma, a uamategha navir amɨrizim sara ghu.
0a031900f8	Nɨ ti Nerɨn otarim Apnerɨn arazibagh fozir puvatɨ? A nɨ gifara nɨn ganasa izi. A nɨn akurvaghasa izir puvatɨ. A nɨn danganir nɨ aruiba ko, nɨ amir biziba, a modogh bar dar gan da asavsuighasa ize, egh a uamategh izɨ nɨ ko mɨsogham.”
0a031a00f4	Joap mɨgɨrɨgɨar kam gamigha uamategha ghu. A ua Apner inigh izasa gumaziba amadazɨ, me an gɨntɨgha an gɨn ghue. Gumazir kaba ghua Siran mozirpamɨn a batogha, uam a inigha izi. Dughiar kamɨn, Devit bizir Joap amir kam gɨfozir puvatɨ.
0a031b0122	Apner iza Hebronɨn otozir dughiamɨn, Joap a inigha ghua nguibar ekiamɨn tiar akamɨn, a ko tugha nɨmɨra a ko mɨkɨmasa. Egha aning tughav itir dughiar kamɨn, Joap uan afuam inigha Apnerɨn navim bɨrazɨma an areme. Joap uan dozim Asahelɨn ovevem ikarvagha, Apner bɨrazɨ an areme.
0a031c00e2	Me gɨn bizir kamɨn gun Devitɨn mɨkemezɨ, a ghaze, “Ikiavɨra Itir God fo, kɨ Apnerɨn suiragha a mɨsoghezɨ an aremezir puvatɨ. Nan gumazamiziba uaghan osɨmtɨzitam an itir puvatɨ. Joap uabɨra, kar an osɨmtɨzim.
0a031d01ad	Kamagh amizɨ, an ghuzim Joapɨn dapanim girɨva, an afeziamɨn dɨpenimɨn itir darazi sara bar me giram. Kɨ kamaghɨn ifonge, Joapɨn dɨpenimɨn aven itir gumaziba zurazurara, men tarazi gɨn lepan arɨmariam ikɨtɨ, men tarazi duar kurar mɨdir puvatɨziba ikɨtɨ, men tarazi amizibar ingangaribar amuam, eghtɨ men tarazi apaniba mɨdorozibar me mɨsoghtɨma me arɨghirɨtɨ, men tarazi zurazurara daghebar otevegham.”
0a031e00d2	Arazir kamɨn, Apner faragha Gibeonɨn mɨdorozimɨn aven Joap ko Abisain dozim, Asahel mɨsoghezɨ an areme. Kamaghɨn amizɨ, Joap ko Abisai aning uan dozimɨn ovevem ikarvagha, Apnerɨn mɨsoghezɨ an areme.
0a031f016d	Ezɨ Devit kamaghɨn Joap uan mɨdorozir gumaziba ko me mɨgei, “Ia uan korotiaba abighɨva, azirakar korotiabar aghuigh, egh ia Apner bagh azi.” Me Hebronɨn anefa. Dughiar me Apnerɨn kuam inigha gumazir kuaba afir danganimɨn zuima, Devit Apnerɨn akuriamɨn gɨrara zui. Devit gumazamiziba ko me mozimɨn boroghɨn tuivighav ikia, bar moghɨra puvɨram azi.
0a03210076	Egha Devit Apner bagha azirakar igiar kam bange: “Apner gumazir onganim puvatɨ. A tizim bagha pura kamaghɨn areme?
0a032200c8	Me an suemning ko dafarimning ikezir puvatɨ, me a gifaragha a mɨsoghezɨ an areme, me gumazir kurabagh ami moghɨn, me a gami.” Devit ighiar kam gamigha gɨvazɨ, gumazamiziba uam Apner bagha azi.
0a03230129	Bizir kabar gɨn, gumazamiziba Devit mɨgɨa ghaze, aruem ikiavɨra iti, nɨ daghetam amɨ. Ezɨ an aghuagha akar gavgavir mamɨn me mɨgɨa ghaze, “Kɨ daghetam ameghan kogh ikɨ mangɨ guaratɨzimɨn tugham. Aruem tɨghar magɨrɨtɨ kɨ daghetam ameghtɨ, God na mɨsueghtɨ kɨ aremegham.”
0a0324009c	Ezɨ gumazamiziba atrivimɨn akar kam baregha, men naviba amɨrazɨ me bar akonge. Guizbangɨra, me atrivim amir biziba bar dar ganigha da bagha bar akonge.
0a032500b0	Devitɨn adarazi ko Israelian gumazamiziba bar, Devit aruer kamɨn amizir bizibagh fo, Atrivim Devit, Apnerɨn mɨsoghezɨ aremezir gumazim, an a ko navir vamɨra itir puvatɨ.
0a03260097	Ezɨ atrivim kamaghɨn uan ingangarir gumazibav gɨa ghaze, “Ia oragh. Datɨrɨghɨn, e Israelia en faragha zuir gumazir gavgavir mam aremegha gɨfa.
0a0327011b	Guizbangɨra, Ikiavɨra Itir God na mɨsevezɨ, kɨ atrivimɨn oto. Ezɨ kɨ uabɨ gavgaviba puvatɨ. Kɨ Seruian otarimningɨn arazir kuram ikarvaghan ibura. Aning bar gavgafi. Ezɨ Ikiavɨra Itir God uabɨ aning amizir arazir kurar kam ikarvaghsɨ, ivezir kuram aning danɨngam.”
0a040100ab	Ezɨ Solɨn otarim Isboset kamaghɨn oraki, me Hebronɨn nguibar ekiamɨn Apner mɨsoghezɨ an areme, ezɨ a dɨgavir kuram gamigha bar oseme. Ezɨ Israelia bar atiatingi.
0a04020174	Ezɨ Isbosetɨn mɨdorozir gumazir pumuning, aning mɨdorozir gumazibar dapanimɨn ikia ghua apaniba ko mɨsosi. Aningɨn ziamning, Bana ko Rekap, aning Rimonɨn otarimning. Rimon, a Berotɨn nguibar ekiamɨn gumazir mam. Gumazamiziba Benjaminɨn adarazi bagha Berotɨn nguibar ekiam ginaba, kamaghɨn amizɨ, gumazir kamning aning Benjaminɨn anabamɨn adarazir aven iti.
0a04030081	Guizɨn Berotɨn gumazamiziba, me faragha aregha, datɨrɨghɨn pura nguibar igharazibar gumazibar mɨn Gitaimɨn nguibamɨn iti.
0a040401b7	Solɨn otarim Jonatan, an otarir vamɨra iti, an ziam Mefiboset. Mefiboset 5plan azeniba itima, Sol ko Jonatan areme. Dughiar kamɨn, Jesrilɨn nguibar ekiamɨn gumaziba, me Jonatanɨn adarazi bagha akam amaga ghaze, Jonatanɨn apaniba a mɨsoghezɨma an areme. Ezɨ an adarazi akar kam baraki, ezɨ amizir Mefibosetɨn garim a inigha arav ghu. Amizim pamtemɨn ivemarima, Mefiboset degiaghirɨ, egha datɨrɨghɨn an dagarimning an ikufi.
0a040500b0	Dughiar mamɨn, aveghbuamning Rekap ko Bana, aning Isboset bagha ghua, aruer arɨzimɨn an dɨpenimɨn oto. Dughiar kamɨn, Isboset avughsava uan akuir mɨsiamɨn irɨghav iti.
0a04060148	Aning Isboset mɨsoghasa witba iniamin abazim gamua a gatɨn, an akuir danganimɨn aven ghua garima, a uan mɨsiamɨn akui. Aning mɨdorozir sabamɨn an navim bɨrazɨma an areme. Ezɨ aning an fɨrim atugha garima, gumaziba puvatɨzɨ, aning an dapanim inigha ghu. Aning dɨmagarimɨn Jordanɨn Fanemɨn danganir zarimɨn ghua,
0a04080168	amɨmzaraghan Hebronɨn nguibar ekiamɨn oto. Egha Isbosetɨn dapanim inigha ghua Devitɨn akagha, kamaghɨn atrivim mɨgei, “Atrivim, nɨ kagh gan. Nɨn apanim Sol, an otarim Isbosetɨn dapanim kara. Sol fomɨra nɨ mɨsueghtɨ nɨ aremeghasa tuaviba buri, kamaghɨn amizɨ, Ikiavɨra Itir God nɨn akurvagha Sol uan boriba ko men arazir kuraba ikarvasi.”
0a040900c1	Ezɨ Devit kamaghɨn aningɨn akam ikaragha ghaze, “Ikiavɨra Itir God zurara ikia, an arazir kurar kamaghɨn garibar aven ua na ini. Ezɨ an ziamɨn kɨ kamaghɨn guizbangɨra gua mɨkɨmam.
0a040a0129	Dughiar kɨ Siklakɨn nguibamɨn itimɨn, gumazir mam iza na batogha ghaze, Sol aremegha gɨfa. A ghaze, kɨ ti an akam gakuegham. Ezɨ puvatɨ. Kɨ mɨdorozir gumazibav kemezɨ me an suiragha, a mɨsoghezɨma an areme. Kar mati, akar kurar a na bagha inigha izezimɨn ivezir kuram kɨ a ganɨngi.
0a040b0112	Ezɨ gua datɨrɨghɨn pura gumazir kɨnir uan dɨpenim gakuim mɨsoghezɨma an areme. Gua gumazir bar kuramning. Gua ghaze, kɨ ti gua ateghtɨma gua ikiam? Bar puvatɨ. Kɨ gua amizir arazir kurar kam ikarvaghsɨ gua gasɨghasightɨ, gua ua nguazir kamɨn ikian kogham.”
0a040c0178	Egha Devit akar gavgavim uan mɨdorozir gumazibagh anɨga ghaze, me Rekap ko Bana aning mɨsueghtɨ aning aremegh. Ezɨ mɨdorozir gumaziba aning mɨsuegha, aningɨn sueroghofariba aghoregha da inigha ghua Hebronɨn dɨpar akarer mamɨn boroghɨn da agui. Egha Isbosetɨn dapanim, mɨdorozir gumaziba a inigha ghua Hebronɨn kuaba afir danganimɨn, Apnerɨn mozir kamra anefa.
0a050100c3	Ezɨ bizir kamɨn gɨn, Israelian anababa vaghvagha dar gumazir dapaniba bar iza Hebronɨn nguibamɨn Devitɨn gara, kamaghɨn a mɨgei, “Nɨ oragh. E bar inivafɨzir vamɨra ko ghuzir vamɨra.
0a050200fa	Sol fomɨra en atrivimɨn itima, nɨ mɨdorozibar Israelia e bagha en mɨdorozir gumazibar faragha zui. Ezɨ Ikiavɨra Itir God nɨ mɨgɨa ghaze, nɨ sipsipbagh eghuvir gumazimɨn mɨn ikɨ, en gumazamizibagh ativagham. Egh en atrivimɨn otogham.”
0a0503011d	Kamaghɨn amizɨ, Israelian gumazir dapaniba iza, Hebronɨn nguibamɨn otogha, Atrivim Devitɨn bighan uari akuvazɨ, a Ikiavɨra Itir Godɨn damazimɨn akar dɨkɨrɨzir gavgavir mam me ko a gami. Ezɨ me borem isa an dapanim ginga, maghɨram anemɨsevezɨ a Israelian atrivimɨn oto.
0a0504004e	Devit 30plan azeniba ikia atrivimɨn oto. Egha 40plan azenibar atrivimɨn iti.
0a050500b0	Devit 7plan azeniba ko 6plan iakɨnibar, Hebronɨn Judabar atrivimɨn ike. Egha 33plan azenibar Jerusalemɨn nguibar ekiamɨn Israelia ko Judaba, uaghara me gativagha men gari.
0a0506015e	Dughiar mamɨn, Atrivim Devit uan mɨdorozir gumaziba ko ghua Jerusalem iniasa mɨsosi. Jerusalem a Jebusian nguibamra. Jebusia ghaze, Devit men nguibam inian kogham, egha me dɨbovir akabar a mɨgɨa ghaze, “Ia bar en nguibar ekiamɨn aven izan kogham. Gumazir damazir okavɨrɨziba ko suer amɨraziba, me pura izɨ ia izamin tuavim apɨrigham.”
0a050700e7	Ezɨ puvatɨ, men akaba pura magh ire, Devit uan mɨdorozir gumaziba ko ghua me mɨsogha men nguibar ekiar dɨvazir gavgavim itim ini. Nguibar ekiar kamɨn ziam Saion. Ezɨ gɨn gumazamiziba a dɨbora ghaze, Devitɨn Nguibar Ekiam.
0a05080201	Dughiar Devit nguibar ekiar kam inizimɨn, a kamaghɨn uan mɨdorozir gumazibav gɨa ghaze, “E nguibar ekiar kam inisɨva, tuavir dɨrɨzir Jebusia dɨpam iniasa aruimɨn aven mangɨva nguibar ekiamɨn otogham. Egh e damazir okavɨrɨziba ko suer kuraba ko mɨsogham. Gumazir kamagh gariba, me nan apanibar mɨn iti.” Gumazamiziba datɨrɨghɨn Devitɨn akam gɨnɨghnɨghavɨra ikia kamaghɨn mɨgɨa ghaze, “Damazir okavɨrɨziba ko suer amɨraziba Ikiavɨra Itir Godɨn Dɨpenimɨn aven mangan kogham.”
0a05090167	Kamaghɨn amizɨ, Devit gɨn ghua Saionɨn nguibar ekiar gavgavir kam gapera. Egha a ziam a gatɨgha ghaze, Devitɨn Nguibar Ekiam. Egha Devit mɨkemezɨma, ingangarir gumaziba nguibar ekiamɨn dɨpenir avɨribar ingarizɨ da nguibar ekiam azui. Me danganir konir nguaziba akunizimɨn, dɨpeniba faraghavɨra azenan dar ingara, egha nguibar ekiamɨn aven izi.
0a050a0091	Ikiavɨra Itir Godɨn Gavgaviba Bar Itim Devit ko itima, bizir kam bangɨn, Devit atrivir gavgavimɨn ikia ghua bar ekevegha ikia mamaghɨra iti.
0a050b0122	Tairɨn nguibar ekiamɨn Atrivim Hiram, a uan gavmanɨn ingangarir gumazir dapaniba Devit bagha me amada. A uaghan Atrivim Devitɨn dɨpenimɨn ingarasa, temer sidaba ko, dɨpenibar ingarir gumaziba ko gumazir dagɨabar ingariba, a me amangi. Ezɨ me Devit bagha atrivir dɨpenimɨn ingari.
0a050c0104	Devit bizir kabar gari, da a bagha izima a kamaghɨn fo, Ikiavɨra Itir God guizbangɨra Israelian atrivimɨn ikiasa a ginaba. A uaghan kamaghɨn fo, Ikiavɨra Itir God uan gumazamiziba bar men akurvaghasa, kamaghɨn amizɨ, a kantri Israel gamima, a bar dera.
0a050d00cf	Devit Hebron ategha iza Jerusalem gaperazir dughiamɨn, an amuir igharazir maba uam ada inigha dar iti, a uaghan amuir dozir maba uaghan dar iti. Ezɨ an amuir kaba, Jerusalemɨn otariba ko guivir maba bate.
0a050e0036	An otaribar ziabar kara: Samua, Sobap, Natan, Solomon,
0a050f001c	Iphar, Elisua, Nefek, Jafia,
0a0510001c	Elisama, Eliada ko Elifelet.
0a051100da	Filistiaba kamaghɨn oraki, Israelia Devit amɨsevezɨma a men atrivimɨn oto. Ezɨ Filistiaba mangɨ me mɨsogh Devitɨn suighasa zui. Me bizir kam damuasa amima Devit fogha, uan danganir mogomer gavgavimɨn uaghirɨ.
0a05120052	Filistiaba iza Refaimɨn danganir zarimɨn otogha tintinibar ghuegha mongegha iti.
0a05130130	Ezɨ Devit kamaghɨn Ikiavɨra Itir Godɨn azara, “Kɨ mangɨva Filistian kabav sogham o? Kɨ mangɨ me ko mɨsoghtɨ, nɨ me isɨ na dafarim darɨgham o?” Ezɨ Ikiavɨra Itir God kamaghɨn a ikaragha ghaze, “Are, nɨ mangɨ. Kɨ me isɨ nɨn dafarim datɨghtɨ, nɨ mɨdorozimɨn me abɨragham.”
0a0514013b	Ezɨ Devit ghua Filistiabav sogha me abɨragha kamaghɨn mɨgei, “Ikiavɨra Itir God mati aperiam otogha, pamtemɨn ivemara nan damazimɨn nan apaniba abɨagharigha me gasɨghasɨki.” Kamaghɨn amizɨ, me danganir kam dɨbora ghaze, “Ikiavɨra Itir God Aperiamɨn Mɨn Pamten Ivemara Apaniba Abɨagharɨsi.”
0a05150074	Ezɨ Filistiaba uan marvir guaba ategha are. Ezɨ Devit uan mɨdorozir gumaziba ko men marvir guar kaba inigha ghue.
0a0516005b	Ezɨ Filistiaba gɨn ua izegha, Refaimɨn danganir zarimɨn tintinibar uari aghamsigha iti.
0a05170134	Ezɨ Devit kamaghɨn Ikiavɨra Itir Godɨn azara, “Kɨ manmaghɨn damuam?” Ezɨ Ikiavɨra Itir God kamaghɨn a ikaragha ghaze, “Ia me mɨsoghsɨ mangɨva, men guabar moghɨn mangan markɨ. Ia modogh men gɨrakɨrangɨn moghɨn mangɨ, egh temer balsamba tuivighav iti naghɨn, mɨsoghsɨvɨra gan ikɨ.
0a051800e0	Ia oraghtɨma nɨgɨnim mati, gumaziba temer kabar ghuabagh isɨn daruam. Eghtɨ ia fogh suam, kɨ uabɨ Filistiabav soghsɨ ian faragh mangam. Ia nɨgɨnir kam baraghamin dughiamɨn, ia maghɨra ivemar mangɨ me mɨsogh.”
0a051900c3	Ezɨ Devit Ikiavɨra Itir God a mɨkemezɨ moghɨram amigha, Filistiabar agɨragha bar me mɨsuagharɨki. Israelia me mɨsogha Gibeonɨn nguibar ekiamɨn ikegha ghua Geserɨn nguibar ekiamɨn tu.
0a0601007c	Ezɨ Devit deraghavɨra mɨsozir gumazir bar aghuiba uam me akufa. Israelian mɨdorozir gumazir kaba, men dɨbobonim 30,000.
0a0602015b	Devit me inigha Godɨn Akar Dɨkɨrɨzir Gavgavimɨn Boksiam iniasa Judan nguazimɨn itir nguibam Balan zui. Me Boksiar kam mɨgɨa ghaze, Ikiavɨra Itir Godɨn Gavgaviba Bar Itim, kar an Akar Dɨkɨrɨzir Gavgavimɨn Boksiam. Boksiar kam, enselɨn bar gavgavir pumuningɨn nedazimning, a gisɨn ikia mati, Ikiavɨra Itir Godɨn atrivir dabirabim.
0a0603015e	Ezɨ Devit uan mɨdorozir gumaziba ko ghua Balan nguibar ekiamɨn otogha, mɨghsɨar dozir mam a gisɨn Abinadapɨn dɨpenimɨn ghue. Egha me Godɨn Akar Dɨkɨrɨzir Gavgavimɨn Boksiam inigh mangasa, karisɨn igiar mam inigha Boksiar kam isa a gisɨn anetɨ. Ezɨ Abinadapɨn otarimning, Usa ko Ahio, aning karisɨn igiar kamɨn akua tuavimɨn zui.
0a0604001f	Ezɨ Ahio karisɨn faragha zui.
0a060500e7	Ezɨ Devit Israelia ko me bar moghɨra ghuava, Ikiavɨra Itir Godɨn damazimɨn bar akongegha pamtem ighiabagh amua, ararer aghuim gamua an ziam fe. Me gitaba ko buaba, tambarinba ko dɨbɨarir ararer guar avɨriba inigha dav sosi.
0a0606011d	Me ghua gumazir mamɨn nguazir asɨzimɨn oto, gumazir kamɨn ziam Nakon. Kar me witɨn ovɨzibar iniba kua dar dagheba isir danganim. Danganir kamɨn bulmakauba daghdazima, Akar Dɨkɨrɨzir Gavgavimɨn Boksiam irasava ami. Kamaghɨn amizɨ, Usa uan agharim amadagha Boksiamɨn suira.
0a060700ec	Usa ghaze, Akar Dɨkɨrɨzir Gavgavimɨn Boksiam ti pura bizim, egha an suira. Kamaghɨn amizɨ, Ikiavɨra Itir God bar puvɨra Usan anɨngaghegha atara a mɨsoghezɨ, an Akar Dɨkɨrɨzir Gavgavimɨn Boksiamɨn mɨriam naghɨram areme.
0a060800e5	Devit garima, Ikiavɨra Itir God uan anɨngagharim Usa gingezɨ an areme. Ezɨ Devit bar God baseme. Egha me danganir kam dɨbora ghaze, God uan anɨngagharim Usa ginge, egha datɨrɨghɨn me uaghan kamaghɨra a dɨboravɨra iti.
0a06090099	Devit datɨrɨghɨn Ikiavɨra Itir Godɨn atiatigha ghaze, “Manmaghsu, Ikiavɨra Itir Godɨn Akar Dɨkɨrɨzir Gavgavimɨn Boksiam izɨ na ko ikiam?”
0a060a00c4	Kamaghɨn amizɨ, Devit Boksiam inigh Devitɨn Nguibar Ekiamɨn mangan aghuagha, a inigha Jerusalemɨn zuir tuavim ategha ghua, Getɨn nguibar ekiamɨn gumazir mam, Obetidomɨn dɨpenimɨn anetɨ.
0a060b0090	Ezɨ Boksiam 3plan iakɨnibar Obetidomɨn dɨpenimɨn iti. Ezɨ dughiar kamɨn, Ikiavɨra Itir God bar deraghavɨra Obetidom ko an adarazi gami.
0a060c017c	Ezɨ Atrivim Devit gɨn kamaghɨn oraki, Akar Dɨkɨrɨzir Gavgavimɨn Boksiam Obetidom ko itima, Ikiavɨra Itir God, Obetidom ko an adarazi ko an biziba bar, deraghavɨra me gami. Kamaghɨn amizɨ, Devit uamategha Obetidomɨn dɨpenimɨn ghugha, Godɨn Akar Dɨkɨrɨzir Gavgavimɨn Boksiam inigh ua Devitɨn Nguibar Ekiamɨn izasava ami. Bizir kam bagha gumazamiziba bar akonge.
0a060d00d2	Gumaziba dɨkavigha Boksiam inigha uan sueba 6plan dughiabar da akura ghua tuifi, ezɨ Devit Ikiavɨra Itir God bagha ofa gami. A bulmakaun apurir mam ko bulmakaun igiar mɨkarzim sara itir mam inigha ofa gami.
0a060e00cd	Egha Devit ofa gamir gumazimɨn korotiar otevir azenan azuir dirir mam arugha, an sazimning uabɨ gike. Egha ziar ekiam Ikiavɨra Itir God ganɨga, an damazimɨn ighiabagh amua pamtem uabɨ fa uabɨ akuri.
0a060f00a6	Me Akar Dɨkɨrɨzir Gavgavimɨn Boksiam atera Jerusalemɨn zuima, Devit Israelia ko me bar moghɨra arazir kamram amua, bar akongegha pamtemɨn diava sɨghabagh ivi.
0a0610018f	Me Akar Dɨkɨrɨzir Gavgavimɨn Boksiam atera Devitɨn Nguibar Ekiamɨn aven izir dughiamɨn, Solɨn guivim Mikal winduan tughav ikia men gari. A uan pam Atrivim Devitɨn garima, a ighiabagh amuava Ikiavɨra Itir Godɨn damazimɨn tintinibar uabɨ fakurava, Ikiavɨra Itir Godɨn ziam fe. Devit amir arazir kam, Mikal bar a gifongezir puvatɨ, kamaghɨn amizɨ a navir kuram Devitɨn ikia a baseme.
0a061100c0	Ezɨ me Ikiavɨra Itir Godɨn Boksiam isava, Devit a bagha ingarizir purirpenimɨn aven anetɨ. Egha Devit ofan bar isia mɨghɨriba ko, gumazamiziba God ko navir vamɨran ikiamin ofabagh ami.
0a0612008e	Devit ofabagh amigha gɨvagha, kamaghɨn gumazamizibav gei, “Ikiavɨra Itir Godɨn Gavgaviba Bar Itim, a uan ziamɨn deraghvɨra ia damu.”
