2800000007	MÀTAY
281c0e0072	Kya isàkal naa kuvɛrnɔ̈ɔ̈r kan'yöb ya, bi ikyer ayun'kwaam mpem ntɔn bɛ làkɔ̈ɔ̈n abwà u ndaa.»
281c0f009d	Ba bàwɛl ngim ayin, waa bàläb ndaa yanswà baswɛŋ amfum a angaŋ anà andweer. Làsaŋ a ndaa ayi làkyàpää akà Ayudà tii ŋàbawà.
281c10004a	Alɔŋki bàkwem aŋimwɛy bàkyen Ngalilɛ, udu a mɔŋ kaswɛŋ Yɛsu.
281c11005a	Mpal bun'mɛn ba, laa bun'kömà ba. Wɛɛ bumwɛy uboo aba bàkyey anki naa awà nde.
281c12006b	Yɛsu kàsin tsütsü apà ba, waa kàtɛn naa: «Ikɔ̈b kyanswà bàkyan'pà u du anà u mɛɛn.
281c130083	Làkyen akà in'sɛŋ myanswà, labuul alɔŋki, ladümà kà ikɔb a Taa, anà kyà Mwan, anà kyà Dweelà In'kyɛɛl,
281c140087	anà lalɔŋ mukyer ndaa yanswà kàlaswɛŋ mɛ. Wɛɛ akà mɛ, mɛ in'wà anà bɛ ilä byanswà tii u ntsüü a mɛɛn.»
2900000007	MALAKƆ
2901010040	Nsɛmà a Làsaŋ Aŋàbwaŋ là Yɛsu Klistɔ, Mwan a Nzam:
2901020078	Uboo a un'kaan a ŋangɔɔm Yɛsay bàsön naa: «Le, mɛ an'tɔm un'kyeey amɛ kusà a ngye ntɔn mulɔn mbwo angye.
290103005f	Ndaa mwɛy yàmusà in'kwɛŋ u nsye a ipɔl: Làlɔ̈n mbwo a Mwol, làsuub myäy ande.»
290104008e	Apan Ywan Un'düümà kàkàmɛnà u nsye a ipɔl, muyilɔŋ baar mubuul mpem anà muwal ndüümà, ntɔn badwääl nkul a man'be.
290105008e	-Itiir a Yuday kyanswà anà baar a Yɛlusàlɛm banswà bàkyeenà akà nde, bàkyeyà man'be aba, waa nde kàfadümà u Yɔrdan.
29010600ab	Ywan kàkäl aŋàbwaar ipfɛy a in'kà a ntsür bàfàbel naa shamo anà un'kab a iban a ntsür kyàŋàkwam u lɔŋ ande. Nde kàdyee mpay anà bwey a nsye.
290107008f	Nde kàkyäänà naa: «Mbuur kàman'söön u ngwal wàmuyà ungö a mɛ. Mɛ in'kwo anki munye ntɔn mutsuuŋ in'siŋ a idyaar ande.
2901080058	Mɛ, mɛ kàladümà kan'dà, wɛɛ nde, nde ayàladümà u Dweelà Inkyɛɛl.»
2901090062	Yàmɛnà naa kà ilä abin Yɛsu kàfü Nasàlɛr u Ngalilɛ. Ywan kun'dümà u Yɔrdan.
29010a0069	Pa kàtoo nde kan'dà, nde kàmɛn du làmudubà. Dweelà kàyàtyà udu a nde asànaa nkokà.
29010b0065	Ndaa yàfü du, yàtɛn naa: «Ngye awà Mwan amɛ wà nkween. Mpem amɛ yanswà ye amu ngye.»
29010c0035	Kà imbürà, Dweelà kun'siinà u nsye a ipɔl.
29010d0070	Kwo, Satanà kun'lwɛb ilä an'kwem an'nà. Nde kàkälà anà ntsür a ndwaŋ, akyeey bun'syäälà.
29010e007f	Ungö bàyälà ba Ywan, Yɛsu kàkyen Ngalilɛ. Kwo nde kàkyäänà Làsaŋ Aŋàbwaŋ là Nzam anà mutɛn naa:
29010f0077	«Taaŋ lan'kwo, Imwol a Nzam kyan'tol tsütsü. Làbuul mpem abɛ! Làsi làkwikilà amu Làsaŋ Aŋàbwaŋ!»
29011000be	Umpal kàkäl nde mulyäŋ kà un'kɔɔl a ɛwà a Ngalilɛ, nde kàmɛn Simɔn anà Andrɛ, un'tɔŋ a Simɔn, bàmutɔɔm an'kwen aba kà ɛwà: ba bàkäl alɔ̈ɔ̈b a nsö.
2901110055	Yɛsu kàtɛn a ba naa: «Yàlan'läb, waa mɛ in'yàlabuul alɔ̈ɔ̈b a baar.»
2901120035	Apan sye, ba bàsàwɛy an'kwen aba, waa bun'läb.
290113007a	Kàsin nde ikye, nde kàmɛn Zyak mwan a Zebeday anà un'tɔŋ ande Ywan. Ba bàkäl uboo a bwaar aba mulɔn an'kwen.
2901140069	Apan sye, nde waa kabel. Ba bàsàwɛy taaràba Zebeday uboo a bwaar anà baar a isal, waa bun'läb.
290115008c	Yɛsu anà alɔŋki ande ban'bilà u Kapɛrnawum. Apan sye, ilä a saba, nde kàbilà u ndwà a nköŋ a Ayudà, waa kàlɔɔŋà.
290116008f	Baar bàkäl mubem an'lɔɔŋ ande, ntɔn nde kàlɔɔŋà asànaa mbuur awe anà ikɔ̈b, wɛɛ kà asànaa alɔɔŋ a in'kɔɔn anki.
2901170073	Kyekà uboo a ndwà a nköŋ a Ayudà akun, mbuur mwey kàkäl anà dweelà a làbe, nde kàsi in'kwɛŋ:
29011800a0	«Yɛsu, un'nsi Nasàlɛr, ininà ngye akwen akà bi? Nkye ngye ayi ntɔn muböŋ bi? Mɛ in'kyàyöb naa ngye awà nà: ngye awà Ŋun'kyeel a Nzam!»
2901190043	Yɛsu kun'swɛŋ a ngwal naa: «Kal a duu! Too uboo a mbuur wà!»
29011a0050	Dweelà a làbe waa làtoo, lun'nini, làmuyisà un'kwɛŋ a kölàköl.
29011b00c2	Baar banswà bàkäl mubem, waa bàsyeelà mbaaŋ ba a ba naa: «Ndaa nà ayi? An'lɔɔŋ akün màŋàyɔl a ikɔ̈b! Nde wàmuswaŋ an'dweelà an'be a ngwal, ma sye màmukun'wem!»
29011c004d	Làsaŋ a nde làpää agyägyä kà itiir a nsi a Ngalilɛ kyanswà.
29011d006d	Pa bàtoo ba u ndwà a nköŋ a Ayudà, ba bàkyen anà Zyak anà Ywan u ndwà a Simɔn anà Andrɛ.
29011e008c	Kyekà ukwà a Simɔn wun'kaar kàkäl aŋàbɔ̈ɔ̈n ntɔn nde kàkäl anà làbwey a mpye. Apan sye, ba bàsam Yɛsu ntɔn nde.
29011f007c	Nde kàsin tsütsü, kun'käär u kɔɔ, waa kun'mbaar. Làbwey a mpye waa làtoo, nde waa kàsɛmà mukasyääl.
290120007c	Làsisye, ungö a miinà a taaŋ, ba bun'twäälà baar an'kyal banswà anà baar bàkäl anà an'dweelà an'be.
2901210029	Bul lanswà làyàköŋ u munàmbwo.
29012200c1	Yɛsu kàkɔɔr baar mbɔɔn bàkäl anà an'kyal a ifà ifà. Nde kàtwey sye insɔŋà mbɔɔn. Nde kàwɛy anki mbwo akà insɔŋà musà ndaa. Ntɔn mya, mya myàkyun'yöbà.
2901230065	Ututu tutu, Yɛsu kàsubà nde, kàtoo u ndwà, waa kàkyen u mpey. Akun nde kàkäl muyamà.
2901240040	Simɔn anà baar bamwey bàkäl anà nde bàkyer akun'leŋ.
290125004a	Utaaŋ bun'mɛn ba, ba bàtɛn a nde naa: «Baar banswà bàmuyaleŋ.»
2901260094	Yɛsu kafuur naa: «Tsweenà ikal asin, kan'bul a tsütsü, ntɔn mɛ in'kàkyään sye Làsaŋ Aŋàbwaŋ kwo. Mɛ, mɛ kàtoo ntɔn la.»
2901270070	Nde waa kàyilyaaŋà u Ngalilɛ wanswà mulɔŋ uboo a ndwà a nköŋ a Ayudà anà muböŋ insɔŋà.
290128008b	Yàmɛnà naa ŋukyal a bay mwɛy kàsin apà nde, kàbü an'köm, waa kàtɛn naa: «Kya ngye akyàkwen, ngye an'kwo an'pöŋ.»
2901290065	Yɛsu kun'wɛm ngyɛb mbɔɔn, kàsɛn kɔɔ, kun'bä, waa kàtɛn naa: «Mɛ an'kwen, pɔŋà!»
29012a0039	Umbalà mwɛy bay waa làlwomà, nde waa kàpɔŋà.
29012b0021	Apan, Yɛsu kun'fuur ndwà ande,
29012c00d7	ungö mukun'pà nswɛɛŋ yi: «Twon an'sam ndaa ayi akà mbuur mwɛy. Wɛɛ ngye, kyɛn kamɛnà akà ngaŋ, waa akàpà an'kab a mpööŋ asànaa kàlɔ̈m Mɔsɛ, ntɔn mukaswaŋ naa ngye an'kɔrà.»
29012d0119	Pa kàkyen nde, nde kàsɛmà mukyään u ndaa a ngwal anà mupay làsaŋ a ndaa ayi. Kyakin Yɛsu kàmɛn anki mbwo mukàmɛnà u mii a baar banswà kan'bul an'köl an'köl, wɛɛ nde kàkälà u nsà, u mpey. Waa baar bàfwee mper anà mper, bàyee akà nde.
290201005d	Ungö a ilä, Yɛsu kàfurà Kapernawum. Làsaŋ làpää naa nde kàkäl u ndwà.
29020200aa	Baar mbɔɔn bàyàköŋ paa. Akà ikal kyàkäl anki, itàkal tsütsü a munàmbwo a ndwà. Ikal kyàfàkal anki, itàkal u nsà. Nde kakyäänà Ndaa.
290203002e	Apan, baar bun'twääl mbuur aŋàkwɛkà.
29020400ca	Wɛɛ ba bàkwe anki mukun'twaal kà ikal kàkäl nde ntɔn baar bàkäl mbɔɔn, ba bàmɛn nsyä udu a ikal kàkäl nde, waa bàpfuul mun ntɔn mutyeey ipɔy kàkäl mbuur aŋàkwɛkà.
2902050084	Mpal kàmɛn Yɛsu làkwikilà aba, nde kàtɛn a mbuur aŋàkwɛkà naa: «Mwan amɛ, mɛ amadwääl nkul a man'be angye.»
2902060055	Alɔɔŋ a in'kɔɔn amwɛy bàkäl aŋàbwaay paa, bàmuyweerà u mpem aba naa:
2902070087	«Ntɔn nkye mbuur wà kan'tɛn nde abwɛy? Nde wàmubɛy Nzam. Nà kan'kwo mudwa nkul a man'be isàkal naa kà Nzam mpɛl anki?»
29020800a8	Abà kàyöb nde unsà dweelà ande ndaa bayweerà ba uboo a ba ŋakwo, Yɛsu kàtɛn a ba naa: «Ntɔn nkye làbà bɛ anà an'kyän atub amà u mpem abɛ?
290209009b	Undiir nà akɔ̈ɔ̈n mpay mutɛn akà mbuur aŋàkwɛkà: "Bàmadwääl nkul a man'be angye", lɛɛ mutɛn naa: "Mbarà, sɛn ipɔy angye, kyen"?
29020a009b	Abun, ntɔn bɛ làyöb naa Mwan a mbuur wɛ anà ikɔ̈b mudwääl baar nkul a man'be u mɛɛn pà.» Apan, nde kàtɛn a mbuur aŋàkwɛkà naa:
29020b003f	«Mɛ amaswaŋ, mbarà, sɛn ipɔy angye, kyen ndwà angye!»
29020c00df	Baal awà waa kàmbarà, apan sye nde kàsɛn ipɔy ande, waa kàtoo u mii a baar banswà. Apan ba banswà bàmɛn ndaa yubem, waa bàsyäŋà Nzam, bàtɛɛnà naa: «Bi ŋàtàman anki abà akà ikikye!»
29020d0073	Yɛsu kàfàkyà kà un'kɔɔl a ɛwà. Un'sɛŋ a baar wanswà kàkyeenà akà nde, waa nde kalɔɔŋà.
29020e00b2	Umpal kàkäl nde mulyaŋ, nde kàmɛn Lɛvi, mwan a Alfɛ, kan'bwaay kà ikàl bàfàfur itɛr, waa kàtɛn a nde naa: «Yan'läb!» Nde waa kàmbarà, waa kun'läb.
29020f00c1	Ungö apan Yɛsu kàkàdyà u ndwà a Lɛvi. Afüür a itɛr mbɔɔn anà baar abe bàdyee mɛsà mwɛy anà nde, anà alɔŋki ande sye. Ntɔn baar abe bàkäl mbɔɔn muyun'lab.
29021000ed	Uboo a alɔɔŋ a in'kɔɔn bàkäl anà Amfarisi. Mpal bàmɛn ba naa Yɛsu akadyaa ikal imwɛy anà baar abà banswà, ba bàtɛn a alɔŋki ande naa: «Abà aben? Ntɔn nkye udyaa nde anà afüür a itɛr anà baar abe?»
29021100c0	Yɛsu kàwem nde abwey, nde kàtɛn a ba naa: «Kà baar abye anà ngwal u ndür anki abye anà mfun a un'ngaŋ, wɛɛ aŋakyal. Mɛ kàyi anki mubel baar a balàbal, wɛɛ baar abe.»
29021200d7	Ilä mwɛy alɔŋki a Ywan anà Amfarisi bàkäl mukin mbɔr. Ba bàyàtɛn a Yɛsu naa: «Ntɔn nkye bi alɔŋki a Ywan anà alɔŋki a Amfarisi ifàkin mbɔr, wɛɛ alɔŋki angye mbɔr bàfàkin anki?»
29021300b8	Yɛsu kafuur naa: «Nkye baar ban'bel kà un'kyɔm atà bɔr ban'kwo mukin mbɔr umpal awà un'tɛɛl a bɔr paa? Umpal awà un'tɛɛl a bɔr anà ba, ba bàkwo anki mukin mbɔr.
290214006f	Wɛɛ ilä ikyer asàyà, umpal bàsàlwom ba un'tɛɛl a bɔr uboo a ba, ba bàsàkin mbɔr ilä akin.
29021500b2	«Akà mbuur mwɛy ukwe anki mubaay ikaam a ipfɛy akün udu a ipfɛy aŋànün, naa tɛy, ikaam akün ban'kwɛy iyànaan yar a ipfɛy aŋanün, tuun waa làyàyàmà.
29021600d9	Akà mbuur mwɛy ukwe anki musà man akün u mbeen aŋanün, naa tɛy, man akün laa ipfuul ma mbeen aŋanün, laa ipää ma: man anà mbeen sye waa ikyà bwà. Aay, akà man akün, mbeen sye yàkün!»
2902170093	Yàmɛnà naa ilä a saba mwɛy, Yɛsu kàkäl mulyaaŋ uboo a an'ywaŋ a blɛ. Alɔŋki ande bàsɛmà mubwo imfà u mbwo bayikyeenà ba.
2902180056	Amfarisi bàtɛɛnà a nde naa: «Ler ndaa bàkyerà ba ilä a saba! Yà ikin.»
29021900ae	Waa nde kafuur naa: «Nkye bɛ làtäŋ anki akà ikikye ndaa kàkyer David umpal kàkäl nde u làkɔɔŋ anà kàwem nde ngyal, nde anà baar bàkäl anà nde?
29021a00e2	Aben, umpal kàkäl Abyatar undweer a angaŋ, kàbilà nde u ndwà a Nzam, kàwɛl nde mampà bàfàpà ibɔɔn, kàdi nde ma anà kàpɛ nde baar bàkäl anà nde, itàkal naa ma angaŋ mpɛl bàfàdyà?»
29021b0062	Apan, Yɛsu kàtɛɛnà a ba naa: «Saba bàkyer ntɔn mbuur, wɛɛ kà mbuur anki ntɔn saba.
29021c0038	Kyakin, Mwan a mbuur wà nkum itàkal sye wà saba.»
2903010077	Ungö, Yɛsu kàfàbilà u ndwà a nköŋ a Ayudà. Uboo kwo kàkäl anà baal mwɛy wàŋàkwɛkà kɔɔ.
290302006a	Baar bàkäl musey Yɛsu ntɔn muyöb naa nkye nde akyer un'kɔɔr ilä a saba, ntɔn ba bun'füün.
2903030050	Nde waa kàtɛn a baal aŋàkwɛkà kɔɔ naa: «Mbarà! yà uboboo pà.»
29030400a4	Apan nde kàtɛn a ba naa: «Nkye bàkyàpà mbwo ilä a saba mukyer yàŋàbwaŋ lɛɛ yà ube, mutswà mɔ̈ɔ̈ lɛɛ mudwa?» Wɛɛ ba bàkäl a kul.
29030500a9	Kyakin Yɛsu kaler nde intwɛn, kawem nde ngyɛb sye ntɔn mpem ambe aba, waa kàtɛn a baal awun naa: «Sɛn kɔɔ a ngye.» Nde waa kàsɛn la, la waa làkɔɔrà.
2903060063	Pa bàtoo Amfarisi, laa bàkàköŋ ba anà baar a Ɛlɔdi ntɔn ba bàleŋ mbwo mudwa Yɛsu.
2903070090	Yɛsu kàkyen u mpey anà alɔŋki ande kà un'kɔɔl a ɛwà. Un'kàbɔ a baar bàfü Yɛlusàlɛm anà itiir a nsi a Ngalilɛ, Yuday,
2903080085	Idumɛ, u sim a ngyäl a Yɔrdan, Tir anà Sidɔn, bàyi akà Yɛsu ntɔn bàwem ba làsaŋ a indiir byanswà kàkyerà nde.
2903090073	Nde kàswɛŋ alɔŋki ande naa ba bun'lɔ̈ɔ̈n bwaar làmwɛy ntɔn baar bàkɔɔn akun'sà un'süküün.
29030a006e	Ntɔn kàkɔɔrà nde baar mbɔɔn, baar banswà bàkäl anà mpay u ndür bun'bweelà ntɔn mukun'ba.
29030b0086	Apan sye an'dweelà an'be, mpal mun'mɛnà ma, ma mun'bweelà kà in'kɔl, waa bun'syee in'kwɛŋ naa: «Ngye awà Mwan a Nzam!»
29030c003c	Wɛɛ nde katsüŋ a ngwal naa ba bàkɔ̈ɔ̈n un'mɛɛy.
29030d0056	Ungö, Yɛsu kàbeenà udu a mɔŋ, kàbel baar kàkwen nde. Ba bàyi apà nde.
29030e005c	Nde kàkyer itsuŋ a baar kwem aŋiyweel ntɔn muyikal anà nde anà mukatɔm mukàlɔŋ
29030f0022	anà ikɔ̈b muböŋ insɔŋà.
2903100049	Le, Bàkwem Aŋiyweel ba abà: Simɔn, Yɛsu kun'pɛ ikɔb a Petɔlà,
290311007d	Zyak, mwan a Zebeday anà un'tɔŋ ande Ywan. Nde ba kapɛ ikɔb a Bwanɛrgɛsi, iswaŋà naa «baar abà asànaa idum»,
290312005f	Andrɛ, Filipo, Bàtɛlàmay, Màtay, Tuma, Zyak mwan a Alfɛ, Tadɛ, Simɔn mbuur a mankay,
2903130037	anà Yudas Iskalyɔt, nde awun sye mbuur kun'yälà.
290314007c	Ungö apan Yɛsu kàyi u ndwà mwɛy. Un'sɛŋ a baar kàfàkàköŋ kwo, lalan ba bàsàkwo anki itàkal mudyà.
2903150069	Mpal bàwem baar a ywar ande abwɛy, ba bàyi mukun'lwom, ntɔn ba bàtɛɛnà naa: «Nde kan'yiŋ!»
29031600af	Alɔɔŋ a in'kɔɔn bàyàtyà fà Yɛlusàlɛm bàtɛɛnà naa: «Bɛlzebul wà uboo ande!» Anà sye naa: «Nde insɔŋà ayibɔ̈ŋ u mbwo a mfum a insɔŋà!»
2903170062	Apan Yɛsu waa kabel, waa kàtɛn a ba unsà nsim naa: «Nkye Satanà kan'kwo uböŋ Satanà?
2903180057	Isàkal naa imwol mwɛy kyàŋàkaabà anà kya ŋakwo, imwol akin ifàtsim anki.
2903190056	Isàkal naa ywar mwɛy làŋàkaabà anà la ŋakwo, ywar alan làfàtsim anki.
29031a0060	Kya Satanà usànwan anà nde ŋakwo, nde wàŋàkaabà, nde utsim anki, yànde yan'wà.
29031b00f3	«Akà mbuur mwey ukwe anki mubilà u ndwà a ŋangwal anà ugyɔɔr indiir ande, isàkal naa nde ŋàtun'bäm anki ŋangwal awun in'siŋ. Manà nde kàmubäm in'siŋ, apan laa ugyɔɔr nde indiir byanswà abyà uboo a ndwà ande.
29031c0088	Ndandaa mɛ alàkyään, baan a baar bàkyer asadwääl nkul a ndaa aba yanswà: man'be anà mbɛɛy mbɔɔn isàtoo u mun aba.
29031d0081	Wɛɛ mbuur asàbɛy Dweelà In'kyɛɛl, nde bàsun'dwääl anki nkul akà ikikye. Ntɔn ube ande bà bàmbul a in'tye.»
29031e005e	Yɛsu kàtɛɛnà nde abwɛy ntɔn ba bàtɛɛnà naa: «Nde we anà dweelà a làbe.»
29031f005c	Ngwän anà atɔŋ a Yɛsu bàyi anà bàmbär u nsà, waa bàtöm mbuur mukun'bel.
2903200096	Un'sɛŋ a baar kàkäl aŋàbwaay apà ande. Waa bàtɛn a nde naa: «Le, ngwa anà atɔŋ angye babaal anà bakaar bàmukaleŋà u nsà.»
2903210033	Nde kafuur naa: «Maa anà atɔŋ amɛ bànà?»
290322006a	Apan, nde kàler baar bàkäl aŋàbwaay apà nde, waa kàtɛn naa: «Làler maa anà atɔŋ amɛ!
2903230074	Mbuur wanswà afàsyääl ukwen a Nzam, nde wà un'tɔŋ amɛ wàbaal, un'tɔŋ amɛ wà un'kaar anà maa.»
29040100f6	Yɛsu kàfàsɛmà mulɔŋ kà un'kɔɔl a ɛwà. Un'sɛŋ a baar mbɔɔn kàköŋ tsütsü apà nde, lalan kàbilà nde u bwaar, la làkäl udu a an'dà, waa kàbwaay. Baar banswà bàkäl u mɛɛn, usà ntsü akà an'dà.
2904020062	Nde ba kalɔɔŋà indiir mbɔɔn unsà nsim. Nde kàtɛɛnà a ba unsà an'lɔɔŋ ande naa:
290403002a	«Làwem. Le, un'köön kàtoo mukɔn.
2904040061	Umpal kàyimwaŋà nde, yar a mbɛŋ làmwɛy làbü u mbwo: nɛn waa yàyi, waa yàdi ya.
290405009d	Yar lumwɛy làbü kà ikal kyàkäl anà in'kul, mɛɛn a mbɔɔn màkäl anki. La làtoo agyàgyà ntɔn mɛɛn màkäl anki mbɔɔn u ngyɛl.
2904060057	Mpal kàbalà mwäänà, laa làkuŋà la, waa làyöm ntɔn ukɔɔn in'swɛy.
2904070066	Lumwɛy làbü uboo a nsyeenà. Nsyeenà yàyɛl ya, ya waa yun'fwee, la waa mpa làtwey mbɛŋ.
29040800a5	Mbɛŋ yumwɛy yàbü uboo a mɛɛn aŋàbwaŋ, waa yàmɛn, yàyɛl, yàbör mbɛŋ mbɔɔn: imwɛy an'kwem an'tär, imwɛy an'kwem an'syaam, imwɛy nkam.»
2904090044	Nde kàtɛɛnà naa: «Wɛy mbuur awe anà an'tsü awem, uwem!»
29040a0062	Mpal kàkäl Yɛsu u mpey, baar bàyun'labà anà Bàkwem Aŋiyweel, bun'fuulà ntɔn nsim.
29040b009b	Nde kàtɛɛnà a ba naa: «Akà bɛ, ngyee a Imwol a Nzam bàkyàlapà. Wɛɛ akà baar abà u nsà, indiir byanswà byàfàlyaŋ unsà nsim,
29040c00bf	ntɔn abun, "itàkal naa ba bàkyer aleerà, ba bàkɔɔn aman, itàkal naa ba bàkyer aweemà, ba bàkɔɔn ayöb, manà ba bàyàbuul mpem anà bàyadwääl un'pi a nkul!"»
29040d0069	Nde kàfàtɛn a ba naa: «Bɛ, bɛ làyöb anki nsim ayi! Abun bɛ làyàyöb aben nsim yanswà?
29040e001c	"Un'köön" kan'kɔn Ndaa.
29040f007b	Le, baar abà u mbwo, kà ikal bàkön Ndaa: mpal bàwem ba, Satanà abwà ayà, waa ulwom Ndaa bàkön uboo aba.
2904100066	Bumwɛy bakön udu a nkɔŋ: bà baar, mpal bàfàwem ba Ndaa, ba bàbwà awal ya unsà un'sak.
290411008d	Wɛɛ uboo a ba in'swɛy myatɛy, ba bà baar a ansɔŋà: isàkal naa lingyoomà lan'yà itàkal nkwaaŋ ntɔn Ndaa, laa bàbwà ba.
2904120039	Bumwɛy bakön uboo a nsyeenà: bà baar bàwem Ndaa,
290413008d	wɛɛ nkyän a mɛɛn, untaam a in'naaŋ anà ngyal a indiir asin asin byàbilà bya, laa iküünà bya Ndaa, ya waa mpa ibɔr mbɛŋ.
29041400ae	Bumwɛy bakön u mɛɛn aŋàbwaŋ. Ba bà baar bàfàwem Ndaa, bàfàwal ya, waa bàfàbɔr mbɛŋ: imwɛy an'kwem an'tär, imwɛy an'kwem an'syaam, imwɛy nkam.»
29041500a3	Yɛsu kàtɛn a ba naa: «Nkye mwinà afàyà ntɔn musà ungyɛl a kantin itàkal ungyɛl a itäb? Nkye kà ntɔn mutɔl udu a ikɔlà a un'te a wa anki?
290416007a	Ntɔn undiir mwɛy wàŋàyee watɛy mpa usàmɛnà u mii, ndaa mwɛy yànkuu yatɛy mpa isàmɛnà u mwäänà.
290417002b	Wɛy mbuur awe anà an'tsü awem, uwem!»
29041800cf	Nde waa kàfàtɛn a ba naa: «Làkäl kà igyɛɛŋ ntɔn ndaa làkaweemà bɛ. Làsii làsyäälà bɛ musi, làsii nsil alan bàsàsyääl akà bɛ, la làsàkal aŋàkwɛy ntɔn bɛ.
2904190094	Ntɔn bàsàpà akà mbuur awɛ anà undiir, wɛɛ akà mbuur mpa awe anà undiir, bàsàlwom itàkal undiir ufàsi nde mukal anà wa.»
29041a0060	Nde kàfàtɛn a ba naa: «Imwol a Nzam kyà asànaa mbuur mwɛy kan'mwaŋ nkɔɔn u mɛɛn.
29041b0091	Nde utàkal aŋàbɔ̈ɔ̈n, utàkal wàŋàwiyà, mpib anà mwäänà, nkɔɔn yan'mɛn anà yan'yɛl, nde uyöb anki naa yà aben.
29041c006c	Mɛɛn ma ŋakwo màfàtàtwey bite, ungö imfà, ungö apan mbɛŋ aŋàkɔlà yan'yööl imfà.
29041d003e	Pa isöŋ mbɛŋ, ba bàsà impye, ntɔn la paŋà abwo.»
29041e007d	Yɛsu kàfàtɛn naa: «Ininà bi kan'kwo musi a Imwol a Nzam, itàkal naa nsim nà bi kan'kwo mutà ntɔn muswaŋ kya?
29041f0073	Kya kyà asànaa imbɛŋ ikikye bàkön u mɛɛn. Kya kyan'söön ukye uboo a mbɛŋ yanswà ayà u mɛɛn.
29042000a9	Wɛɛ isàkal naa ban'kɔn kya, kya kyan'laar, kyan'bulà aŋàsöön ndon yanswà uboo a làpaŋ, waa isà an'kɔkà. Apan, nɛn a du waa iyàtɔŋ an'yaab.»
2904210074	Yà u mbwo a nsim mbɔɔn a tub ayi nde kàkyäänà Ndaa, ntɔn baar bàkäl kà isii ban'kwo ba mukun'wem.
2904220078	Nde kàyäämà anki anà ba ukɔɔn asyääl nsim, wɛɛ nde kàbuulà ya yanswà akà alɔŋki ande u mpey.
2904230058	Ilä nsil kya, làsisye, Yɛsu kàtɛn a alɔŋki ande naa: «Tsweenà bi isabà.»
2904240077	Ba bàsàwɛy un'sɛŋ a baar, waa bun'syen uboo a bwaar kàkäl nde, an'bwaar asin màkäl tsütsü apà nde.
2904250059	Ikül laa kyàyi kya. Ibɔ a an'dà byàbilà uboo a bwaar, waa byàyöölà la.
29042600bc	Wɛɛ akà nde, nde kàkäl aŋàbɔ̈ɔ̈n kà ita a bwaar, un'tswe udu a ibɔm. Alɔŋki ande bun'wiy, waa bàsi in'kwɛŋ: «Un'lɔɔŋ, nkye ngye ube amanà anki naa bi ikü?»
290427009d	Yɛsu waa kàsubà, kàŋän ikül, waa kàtɛn a ɛwà naa: «Kal akul! Bäm mun!» Ikül laa kyàkwamà kya, duu a kölàköl waa làbilà.
290428006c	Apan nde kàtɛn a ba naa: «Ntɔn nkye làbà bɛ mutɛɛr? Nkye bɛ ŋàtàsà anki làkwikilà?»
2904290083	Matɛɛr mawɛl ma, ba waa bàtɛɛnà ba a ba naa: «Abà nde wà nà, waa itàkal ikül anà ɛwà byàmukun'weemà?»
290501004f	Ungö apan ba bàkɔlà u sim lumwɛy là ɛwà, u nsi a Bàngɛlàsà.
290502007b	Pa kàtoo Yɛsu u bwaar, baal mwɛy wàŋàyɔl a an'dweelà an'be kàyàtoo kà an'dii, waa kàyàbwey anà nde.
290503005f	Nde kàfabwaayà kà an'dii. Akà mbuur mwɛy kàfàkwo anki mukun'bäm itàkal dwaaŋ.
2905040096	Ntɔn mbalà mbɔɔn ba bàfun'bäämà iswɛɛy anà dwaaŋ, wɛɛ nde kàtsüülà mya. Akà mbuur mwɛy kàkwe anki mukun'kyäämà.
290505009d	Taaŋ lanswà, mpib anà mwäänà, nde kàkäl muyità nsay uboo a an'dii anà u myɔŋ, wàmuyikuub in'kwɛŋ anà muyikàkaam ndür a in'kul.
2905060058	Umpal kàmɛn nde Yɛsu ukwɛl, nde kàkyen ntiin, waa kàbü an'köm kusà a nde,
290507009b	waa kàkuub in'kwɛŋ anà mutɛn naa: «Ininà akà mɛ anà ngye, Yɛsu, Mwan a Nzam a Dudu? Mɛ amabɔɔn kà ikɔb a Nzam, twon aman'pà mpay!»
2905080052	Ntɔn Yɛsu kàtɛɛnà a nde naa: «Dweelà a làbe, too unsà mbuur wà!»
290509006f	Nde kun'fuul naa: «Ikɔb angye nà?» Nde kun'fuur naa: «Ikɔb a mɛ "Un'kàbɔ", ntɔn bi ibà mbɔɔn.»
29050a004a	Nde waa kun'bɔ̈ɔ̈nà mbɔɔn, ntɔn nde ukɔɔn akaböŋ u nsi ayin.
29050b0063	Kyekà, mper akà mɔŋ, làkäl anà làböl a kölàköl là ngul làkäl muyidyà.
29050c005b	An'dweelà an'be màbɔ̈ɔ̈n Yɛsu naa: «Itöm uboo a ngul ntɔn bi ibilà amu ya!»
29050d00ad	Yɛsu kapɛ mbwo. Apan laa màtoo ma, màbilà ma uboo a ngul, làböl, fà iköl a mɔŋ, làkàbwà kà ɛwà. Ya yàkäl isii a nsaab yweel, waa làminà.
29050e0082	Aseey a ngul batiin ba, ba bàkàpay làsaŋ uboo a bul anà kà itsuŋ a ndwà. Apan baar waa bàyi muman ndaa yàlyaaŋ.
