2800000005	Matye
29021100c8	Yiisu bu agyughu obo, ályele bo ndiri: «Ka oli baara ba bali nsiili baakakala a nzala a ngaa-libughu o, lo babyele. Me ka aangyi mu ota baara ba bali nsumu mbili o, lo mu ota banga-a-masumu mbili.»
29021200d7	Etsughu emõ, binduono bi Dzã ya ba-Faridzyẽ bákakuru nswele mu bala. Baara báyafwulu Yiisu ti: «Binduono bi Dzã ya bibi ba-Faridzyẽ biikakuru nswele mu bala, lo mu emakye binduono bi we ka biikasa obo o?»
29021300cb	Yiisu ábvuhulu bo ti: «Bandughu ba baghala wu aakie bakughu okuru nswele mu bala mu matala maala wu aakie li nkini ya bo? Matala mwohono ma baakala bo ya wu aakie, bo ka bakughu okuru nswele mu bala o.
290214006a	Bitsughu sa bigya biili sa bamaha wu aakie. Mu obo, mu bitsughu bibye bo sa akala bakuru nswele mu bala».
29021500b9	«Ka oli a mbwuru wu aakabaama mupa a eko wu munyaghara ŋa yulu a enkuru ki ekulu o. Amana osa obo, mupa a eko wu munyaghara sa akaghala wu mukulu ya dzunu sa likala li libvulu bunene.
29021600f1	Ya ka oli a mbwuru wu aakalo bviini li linyaghara munsa manduru mama mu bibaana bi banyama ma makulu o. Kala pele, bviini sa libulu manduru ya nde sa apfihili bviini ya manduru. Bviini li linyaghara bafaana olo lo mu manduru ma manyaghara.»
290217007c	Mu etsughu etsyini kii sabate, Yiisu ákaluru munsa manseghe ma bele ya binduono bi nde bíkabuluka binsia mu nzili-a-nzili.
2902180092	Mu obo, ba-Faridzyẽ bályele Yiisu ndiri: «Mu emakye binduono bi we bili mu okagyighili ndagha yiili ka bágwi muswa mu etsughu kii sabate o?»
2902190089	Yiisu ábvuhulu bo bu: «Be nkini áli litaã ndagha yi ósi Dabvide ŋa ákeghele nde ya ófuru nde nzala, nde ya baara ba báli ya nde?
29021a00e6	Bunu-abo nde ásomo munsa nzo a Nzaami mu matala ma óli Abyatare mukwuru a bangaa ba Nzaami. Nde áli mampa ma bágwi Nzaami mukaba, maala yini a bangaa ba Nzaami bali a muswa mu odza mo. Nde ágwi mo si kundaa ba báli ya nde?»
29021b006a	Ya Yiisu áfirilyele bo ndiri: «Bási sabate mu nkooro a mbwuru, lo ka bási mbwuru mu nkooro a sabate o.
29021c002a	Mu obo Mwana a mbwuru li mfumu a sabate.»
2903010063	Yiisu áfiriyisomo mu nzo a lisamana a ba-Dzwife. Omo óli ya baghala mutsyini wu óneŋene kwogho.
2903020076	Baara bákatala Yiisu mu omono kala ti nde ákaadzuhu nde mu etsughu kii sabate mpaala babagha ndagha yi baafwunu nde.
2903030066	Mu obo Yiisu ályele kundaa baghala wu óneŋene kwogho ti: «Temene ŋa, ŋa kara li baara bwohono!»
29030400a6	Ŋa mbihi oŋo nde áfwulu bo ti: «Nki ndagha bágwi muswa mu etsughu kii sabate? Osa bubwe bwunu we osa bubi, obvwuhu bwunu we odzwa?» Lo bo ka bátsughu ndagha o.
29030500d1	Mu obo, Yiisu átala bo bwohono ya nkehe, ya ámono nyiĩ yi alagha mu nkooro a mikolo ngyi mi bo ya ályele baghala munde ti: «Labala kwogho e we!» Nde álabala kye ya kwogho e nde ébvughuru bu éli nsomo.
2903060069	Bu basaapala, ba-Faridzyẽ bábvuŋunu ya baara baba emvuŋunu ki Erode mu osagha mayele ma baadzwa nde.
2903070095	Yiisu ágyene ku bele a mubu wu a Ngalile ya binduono bi nde. Mpwumu a baara yi nene yínama nde. Yo yífi ku bitsulu bi mansie bibi Ngalile ya Yude,
2903080102	ku bvulu lili Yerusaleme, ku etsulu e nsie kii Idume, ku mala mama mu ngulu a nzala yi a Dzurudẽ, ya ku bitsulu bi mansie bibi ku bele a mabvulu mama ku Tire ya Sidõ. Mpwumu a baara yi nene bu yigyughu mandagha mwohono ma ákagyili nde, yígyi kundaa nde.
2903090065	Nde ályele kundaa binduono bi nde bitwulu nde bwara, mu kuulu mpwumu a baara yinyaã osa nde mpiŋi.
29030a0075	Mu kuulu, buulu Yiisu ákadzuhu baara balagha, babyele bwohono bákagyighiri mu nyuru a nde ya bákasagha obyeme nde.
29030b0079	Ŋa ókamono nde mifulu mi mibi, mye míkabwa mu nsie ŋa nkulu nde ya míkakehe engubu ti: «We, we li Mwana a Nzaami!»
29030c0048	Lo nde ákatswa mye mukele mu ebaghala mpaala minyaã olyele nde na ali.
29030d006a	Ŋa mbihi oŋo, Yiisu ákumu ku yulu a munguo. Nde áti babo ba ásuolo nde mbili ya bo bágyi kundaa nde.
29030e008d	Nde ásuolo kwumu ya buolo ŋa kara li bo ya ágwi bo nkwumu yi a bantumu mpaala bakala ya nde ya mpaala nde agweghe bo bayiluo Nsia yi Mbwe.
29030f002e	Nde ágwi bo lileene lili obyi mifulu mi mibi.
2903100052	Ba me bantumu kwumu ya buolo ba ásuolo nde: Simõ wu ágwi nde nkwumu yi a Piere,
290311007e	baana ba Nzebede: Dzake ya Dzã mbwee a nde. Yiisu ágwi bo nkwumu yi a Bowanerengese, yidzyi olyele ti «baana ba nganzele»,
2903120054	Andere, Filipe, Baretelemi, Matye, Toma, Dzake mwana a Alafe, Tade, Simõ musi kana,
290313002c	ya Yuda Isikaryote munde wu áatyeghe Yiisu.
2903140082	Ŋa mbihi oŋo Yiisu ábvughuru ku nzo ya mpwumu a baara yífiribvuŋunu, mu obo Yiisu ya binduono bi nde ka bábagha bu baadza o.
2903150092	Badzighi ba Yiisu bu bagyughu obo, bágyi mu oyasyimi nde, mu kuulu bo bákalyele: «Nde ka li mu ofirikasoolo mandagha ma ali mu okagyighili o.»
2903160097	Baluo-mikyene ba báfi ku Yerusaleme bákalyele ti: Nde li a «Beledzebule. Me mu lileene li mfumu a mifulu mi mibi nde ali mu okabyi mifulu mi mibi.»
290317005e	Yiisu áti bo mbili ya ábwi obili ya bo mu mankumu: «Bunu-abo Satana akughu ofiribyi Satana?
2903180055	Kala ti baara ba empu emõ bakaghaba mu odzwana mvulu bo-a-bo, empu ekye ka egyili o.
290319004a	Ya kala ti baara ba dzumu limõ badzwana bo-a-bo, dzumu lilo ka ligyili o.
29031a0070	Mu obo kala ti Satana temene nsumu ya ndeme, nde li wu aakaghaba ya nde ka kughu ogyili o, lileene li nde liifi.
29031b00cc	Ka oli a mbwuru wu kughu osomo mu nzo a mbwuru nga-a-mpini ya gwolo bilogho bi nde, kala ti ka tswama kuru nde misyi o. Kala ti nde kuru nde misyi, nde kughu obiri bilogho byehene bi bili munsa nzo a nde.
29031c0076	Mu engaŋma me ndyele be ti: Nzaami sa asa mandagha mwohono ma osa baara kolokolo, ngu okala masumu ngu okala otsaala.
29031d0087	Lo nswe mbwuru wu aatsaala Mufulu a Ngili si okala ka bunu, ka kughu obagha kolokolo o. Nde li a ebili mu lisumu lili mibvu ya mibvu.»
29031e0043	Yiisu ábili obo mu kuulu bo bákalyele ti nde li a mufulu wu mubi.
29031f006c	Ŋa mbihi oŋo ngughu ya bambwee ba Yiisu báyato. Bo báli ku mbala ya bágweghe mbwuru mu oyita nde mbili.
29032000a2	Mpwumu a baara yíbwi nsini ya yísi Yiisu ŋa kara, ya bályele nde ndiri: «Ngughu a we, bambwee ba we ya bankele ba we bali ku mbala, bo bali mu okasagha we».
2903210057	Yiisu ábvuhulu ndiri: «Nande li ngughu ya bana bali banaana bwunu we bambwee ba me?»
2903220058	Bu atala baara ba bási nde ŋa kara, nde ályele ti: «Ba me bangughu ya bambwee ba me.
290323006c	Mu kuulu, nswe munde wu aasa waa li Nzaami, munde me naana bwunu we mbwee a me, nkele a me ya ngughu a me.»
29040100e0	Yiisu áfirikaluo ŋa mukogho a mubu. Mpwumu a baara yi alagha yíyabvuŋunu ŋa bele a nde. Mu obo nde ásomo munsa bwara ba búli mu madza ma mubu ya ábwi nsini omo. Mpwumu a baara yíbwi nsini ŋa nsie mu mukogho a mubu.
2904020062	Nde ákaluo bo mandagha malagha mu mankumu. Kunsa mandagha ma ákaluo nde, nde ákalyele bo ndiri:
2904030040	«Ligyughu! Etsughu nga-emõ, mukunu mutsyini ápala mu oyikunu.
2904040068	Mu matala ma ákanyahala nde nsia, ndaama a nsia yíbwi mu mukogho a nzili. Baŋmini bágyi ya báli yo.
290405008c	Ndaama yinke yíbwi ŋa ebini ki éli a mameẽ, ŋaala nsie ka yili a mubighi o. Mburu yímene mu maswa-maswa, mu kuulu nsie áli yi asala.
2904060050	Lo mwiĩ bu abala, mye mídzighi ya míkee mu kuulu misumunu ka míli a midza o.
2904070065	Nsia yinke yíbwi kunsa mingaama, ya mingaama bu mikulu mísi yo mpiŋi ya yo yíkwono oburu bimburu.
29040800b1	Lo ndaama a nsia yinke yíbwi mu nsie yi mbwe. Yo yímene, yíkulu ya yíburu mburu. Miti mi mike miburu mburu makwumu-matere, yinke mburu makwumu-masemene, yinke mburu nkama».
2904090054	Ŋa mbihi oŋo Yiisu ályele ti: «Nyaã munde wu li a matswi mu ogyughu, agyughu!»
29040a0078	Mu matala ma ágyene nde mu libee, babo ba bádzyi nde emõ ya ba Kwumu ya buolo bábwi ofwulu nde mu mi mitala mankumu.
29040b0084	Nde ályele bo ti: «Kundaa be baagwa mansweghe ma Empu e Nzaami, lo kundaa baara baba ku mbala mandagha mwohono okaluru mu mankumu,
29040c00c2	mu efaana kiili, “ngu okala ti bapana mihi, bo ka bamono elogho o, ngu okala ti bo bagyighili ogyughu, lo bo ndagha obaghala we, kala pele sa bagyiŋi mayele ya Nzaami sa asa bo kolokolo.”»
29040d0078	Yiisu áfirilyele bo ti: «Kala ti be ka liibaghala nkumu yi o, lo bunu-abo be likughu obaghala mankumu mwohono ma make?
29040e0020	Mukunu aakakunu Ndagha a Nzaami.
29040f008e	Ba bali mu mukogho a nzili me babo baala mu bo baakakunu Ndagha a Nzaami, lo ŋa baakagyughu bo yo, Satana aakayamaha Ndagha yi baakunu mu bo.
290410006d	Babo ba baakunu mu bibini bi bili a mameẽ, me babo baala bu bagyughu Ndagha a Nzaami, basaakihi yo mu esee,
29041100a2	lo ka bali a midza mu bomo o. Bo baakasa kana yini a mu mana matala. Ŋa ookagya mpara bwunu we kimini mu nkooro a Ndagha a Nzaami, oŋo bo ka baafirikasa kana o.
2904120049	Babake ba baakunu kunsa mingaama, me babo ba baakagyughu Ndagha a Nzaami,
2904130097	lo minyoõ mi nsie, ntono a busini bubu mpya ya nzala bilogho bibike bu yisomo mu mikolo mi bo, biikasa Ndagha a Nzaami mpiŋi ya yo ka yiburu mburu o.
29041400bf	Babake ba bákunu mu nsie yimbwe, babo me ba baakagyughu Ndagha a Nzaami, bo baakakihi yo ya baakaburu mburu: Mumõ mburu makwumu-matere, wu muke mburu makwumu-masemene, mukimi mburu nkama.»
2904150081	Yiisu áfirilyele bo ti: «Baakatwulu mwindi kunsa nkuru, bwunu we ku nsini a mbughu? Ka ŋa yulu a ebini ki baakatwulu mwindi o?
290416004f	Mu kuulu, ka oli a ndagha si mõ yi ensweghe yi aagwene omoŋono ŋa otsyeme o.
2904170031	Kala ti mbwuru li a matswi mu ogyughu, agyughu.»
29041800a5	Yiisu áfirilyele bo ti: «Lisa mayele mu mi liikagyughu be. Eteese ki liikateese be bambaala, me mu kyini ekye si akala baateese be, ya sa bafiribwehe be bi biluru.
2904190081	Mu kuulu, kundaa munde wu li a elogho, sa bafirigwa nde, lo kundaa munde wu gwene a elogho, sa bamaha nde si ekye ki ali a nde.»
29041a0058	Yiisu áfirilyele ti: «Emfumu e Nzaami efaana a mburu yi onyahala baghala munsa nseghe.
29041b0088	Ngu okala ti yoŋomo, ngu okala ti nde kahala mihi, mwiĩ ya mpyibi, mburu yiikalughubu ya yiikakulu, lo nde ka aakagyahaba bunu-a-bo o.
29041c007d	Nsie yiikamyehẽ mburu yomo. Nsomo musumunu aakapala, ŋa mbihi oŋo ensia ya ŋa nseele bele li ligyighili ogyele mu ensia.
29041d0065	Ya mburu bu yiisaagyele, batsyiri yo mu mukpere wu a furunu mu kuulu matala mama otolo mburu maato».
29041e0071	Yiisu áfirilyele ndiri: «Nki efaana likughu ogwolo mu mi mitala Emfumu e Nzaami? Mu nki nkumu likughu osuo kye?
29041f0075	Kye efaana a liburu li mutaade liili ŋa baakakunu lo mu nsie, lo liluru osala mu mburu yohono yili ŋa busu bu nsie.
290420009c	Lo, kala bakunu lo, limene ya liluru miswoho myehene mutele ya lipaha mampala ma manene. Mu obo baŋmini ba mayulu baakatwu manzo ma bo mu mampala ma nde.»
2904210065	Me mu mankumu malagha mama bu Yiisu ákaluo baara Ndagha a Nzaami bwunu a bu bákughu bo ogyughu nde.
2904220073	Nde ákabili ya bo yini a mu mankumu, lo nde ákabaala binduono bi nde mankumu mwohono ŋa áli nde ngasighi ya bo.
2904230074	Etsughu kyini ekye mu nkonkolo, Yiisu ályele kundaa binduono bi nde ti: «Litswe lisaghaba ku ngulu a mubu yinke».
290424007c	Bu bamana obvurulu mpwumu a baara, binduono bi Yiisu bígyene ya nde mu bwara mu áli nde. Óli si ya mabwara makimi ya nde.
290425005d	Efulu kii mpini ébwi ofulu ya mampo ma madza mákabwa mu bwara ya bwara búkalwulu mu madza.
29042600b9	Yiisu ákayoŋomo ku masini ma bwara ya ásiili mutswi mu tsulu li biko. Binduono bísiili nde ya bílyele ti: «Muluo, bihi lili mu okapfighili ya we ka li mu okamono mukolo mpara o?»
290427007a	Yiisu bu asighili, áfyẽ efulu ya ályele madza ma mubu ti: «Dzuunu! Kala pii!» Efulu éfi, ya edzuunu ki enene égyi.
290428005c	Ya nde ályele kundaa bo ti: «Mu emakye be lili a nzalamweẽ? Be nkini ka lili a kana o?»
290429007a	Enkwughu ki enene ésughuru bo ya bákabili bo-a-bo ti: «Nde nande ali, mbwuru wu, wuulu efulu ya mubu biikagyughu nde?»
290501005d	Yiisu ya binduono bi nde báto ku ngulu yinke yi a mubu mu etsulu e nsie ki ba-Ngerasenyeẽ.
290502006e	Yiisu bu asaapala mu bwara, baghala mutsyini wu áali a mufulu wu mubi ápala kunsa mampyeme ya áyabwana nde.
2905030065	Nde kunsa mampyeme ákakala ya ka óli a mbwuru wu áakughu ofirikuru nde misyi o, ngu okala basyene.
29050400b3	Mu kuulu, mansa malagha bákatwulu nde myili kunsa edzu ya bákakuru nde mu basyene, lo nde ákabulu edzu ya ákatsyiri basyene. Ya ka óli a mbwuru nga-a-mpini mu odzarala nde o.
2905050092	Matala mwohono, mpyibi ya mwiĩ, nde áli kunsa mampyeme ya ku yulu a minguo. Nde ákabulukehe bingubu ya ákabuludzwaha nyuru a ndeme mu mameẽ.
2905060042	Nde átaala Yiisu, áyabara, ákunu mabuo mu nsie ŋa nkulu a nde,
29050700a6	ya ákehe engubu ti: «Yiisu, Mwana a Nzaami, Nzaami wu a Ensoõ-yulu, nki ndagha li ŋa kara li bihi a we? Me mbuono we mu nkwumu a Nzaami, ka mwehẽ me kimini o!»
2905080057	Nde ábili obo mu kuulu Yiisu ákalyele nde ti: «Mufulu wu mubi, pala mu baghala wu!»
290509006f	Yiisu áfwulu nde ti: «Nkwumu a we na?» Nde ábvuhulu ti: «Nkwumu a me Mpwumu, mu kuulu bihi balagha lili.»
29050a0052	Ya nde ábuono Yiisu ku olagha ti nde anyaã ogweghe mifulu mi mibi ku nsie nkimi.
29050b0055	Ankoho, óli a mukaã a bangubulu wu munene ŋa bele a munguo ba báli mu okabuludza.
29050c005e	Mifulu mi mibi míbuono Yiisu ti: «Gweghe bihi mu bangubulu banii, nyaã bihi lisomo mu bo.»
29050d00dd	Nde ágwi bo muswa ya mifulu mi mibi mípala, míyisomo munsa bangubulu ya bangubulu bwohono básughu ku nsie a munguo ya báyibwa mu mubu. Bo áli bakughu oto mapfwunu-muolo, ya bangubulu bwohono bákpi mu madza ma mubu.
29050e0076	Baara ba bákakebe bangubulu bábara ya báyitsala nsia kunsa bvulu ya mu mala, ya baara báyitala nki ndagha áaluru.
29050f00b3	Bo báyato kundaa Yiisu ya bo bámono baghala wu áali a mpwumu a mifulu mi mibi, wu áabwi nsini, wu áalaha binkuru ya wu áali a embwuru e nde kyehene. Bo bábagha nzalamweẽ.
2905100070	Baara ba bámono mandagha ma máluru bályele bo mi míbwi mu baghala wu áali a mifulu mi mibi ya mu bangubulu.
2905110042	Mu obo, bo bábwi obuono Yiisu mpaala amara mu etsulu e nsie e bo.
2905120067	Mu matala ma ókasomo Yiisu munsa bwara, baghala wu áali a mifulu mi mibi ábuono nde mu okala ya nde.
29051300b1	Lo Yiisu ka ágwi nde muswa o ya ályele nde ndiri: «Gye ku nzo a we, kundaa baara ba we ya lyele bo mandagha mwohono ma oogyighili Mfumu mu we, bunu-abo nde aamono we nyiĩ.»
2905140094	Nde ágyene ya ábaana otsala nsia a mandagha mwohono ma ogyighili nde Yiisu mu etsulu e nsie ki baakata Mabvulu-kwumu, ya baara bwohono bákiŋimi.
2905150075	Yiisu áfiribvughuru ku ngulu a mubu yinke mu bwara, ya mpwumu a baara yíyabvuŋunu ŋa áli nde ŋa mukogho a mubu.
290516007c	Mfumu a nzo a lisamana a ba-Dzwife mumõ, nkwumu a nde Dzayiruse, áyato. Bu amono Yiisu, nde ábwi ŋa nsie a myili mi nde,
2905170087	ya ábuono nde ku olagha ti: «Mwana a me wu asala wu mukaha li kunsa lipfu. Gya, naã nde myaã mpaala nde abvwughu ya akala mweẽ!»
290518004f	Yiisu ágyene ya nde. Mpwumu a baara yi nene yínama nde ya yíkasa nde mpiŋi.
2905190075	Ankoho óli a mukaha mutsyini ŋa nsa baara babo wu áali a ebyele kii okapala makili ki ési bamvulu kwumu ya buolo.
29051a0093	Nde ámono mpara yi alagha ŋa myaã mi bangaa-libughu balagha, ya ámana nzi a nde yohono wene a omono bubwe, ŋa yulu a yini a mpara yíikabvulu.
29051b0060	Bu agyughu bákabili mu Yiisu, nde ágyi ŋa nsa baara, ŋa mbihi a nde ya ábyeme enkuru e nde.
29051c0051	Mu kuulu nde ákalyele ti: «Kala me mbyeme yini a enkuru e nde, me sa ndzughu.»
29051d006c	Ŋaana oŋo, makili ma mákapala nde mákaŋama, ya nde ámono mu nyuru a nde ti ádzughu mu bubyele bu nde.
29051e0080	Yiisu ásoolo ŋaana oŋo ti lileene lípala mu nde. Nde ákaghala ŋa nsa baara ya áfwulu ti: «Nande aabyeme binkuru bi me?»
29051f008f	Binduono bi nde bílyele nde ndiri: «We li mu okamono mpwumu a baara ba bali mu okasa we mpiŋi, ya we firifwulu ti: “Nande aabyeme me?”»
2905200043	Lo Yiisu átala ŋa kara li baara mu omono mbwuru wu áabyeeme nde.
290521007d	Mukaha bu agyahaba mi míbwi mu nde, ábwi oteghere mu nzalamweẽ, ábwi ŋa myili mi Yiisu ya ályele nde engaŋma kyehene.
2905220080	Lo Yiisu ályele nde ndiri: «Mwana a me wu mukaha, kana li we liibvwuhu we. Gye mu edzuunu, nyaã we dzughu mu bubyele bu we.»
29052300be	Yiisu áli nkini mu okabili ŋa óyato baara ba báfi ku nzo a mfumu a nzo a lisamana a ba-Dzwife, ba bályele ndiri: «Mwana a we aakpi. Mu emakye we aafirisa Muluo enkwili mu mwana a we?»
2905240086	Lo Yiisu wu áagyughu mandagha mamo ályele kundaa mfumu a nzo a lisamana a ba-Dzwife ti: «Ka kala a nzalamweẽ o, sa yini a kana.»
290525006a	Ya nde ka ákihi ti baara bagye nzili mõ ya nde o, kala ti ka yini a Piere, Dzake, ya Dzã mbwee a Dzake.
290526008d	Bu bato ŋa nzo a mfumu a nzo a lisamana a ba-Dzwife, Yiisu ámono mpwumu a baara yi áali kunsa kyaã. Baara bákalili ya bákakehe bingubu.
2905270080	Bu asomo munsa nzo, nde ályele bo ti: «Kyaã ki kii ema ya bilili bi bii ema? Mwana ka aakpi o, lo nde ogyoŋomo aagyoŋomo.»
290528007b	Bo bákasebe nde. Bu apaha baara bwohono ku mbala, Yiisu ágwolo taara ya ngughu, ya ba báli ya nde, ásomo ku óli mwana.
2905290074	Nde ákwara mwana mu kwogho ya ályele nde ndiri: «Talita kume», mbaala ti, «Mutughu, me ndyele we ti: Sighili!»
29052a006b	Ŋaana oŋo, mutughu átemene ya ábwi odzyara. Nde áli a bamvulu kwumu ya buolo. Bo bákiŋimi ku olagha.
29052b0075	Yiisu átswi bo mikele mu kuulu mbwuru si mutsyini anyaã osoolo ndagha oyo, ya nde ályele bo bagwa mutughu bi-odza.
290601004d	Yiisu ámara oŋo ya ágyene ku bvulu li nde, ya binduono bi nde bínama nde.
29060200fb	Etsughu kii sabate bu eto, nde ábwi oluo mu nzo a lisamana a ba-Dzwife. Baara balagha ba bákagyughu nde bákiŋimi ya bályele ndiri: «Mbwuru wu mandagha ma kunu-ako aabagha mo? Nande aagwi nde munzeele wu ya bimaã bi ali mu okasa mu myaã mi nde?
290603009c	Nde ka li munkomo-manzo o, mwana a Mari, naana a Dzake, Yose, Yude ya Simõ? Ya bankele ba nde ka ŋa bali o, ŋa kara li bihi?» Bo ka bási kana mu nde o.
290604008e	Lo Yiisu ákalyele bo ndiri: «Yini a mu nsie a nde baakabihi ogwa mubighili budziri, ŋa kara li baara ba dzumu li ndeme ya baba nzo a nde.»
290605007f	Oko nde ka ákughu osa emaã si etsyini o, nde yini a ndaama a babyele ádzuhu, babo ba ánaã nde myaã ŋa yulu mitswi mi bo.
2906060086	Yiisu ákiŋimi mu kuulu bo ka báli a kana o. Ŋa mbihi oŋo, Yiisu ákabulugye mu mala ma máli be-bele ya Nadzarete ya ákabululuo.
290607007c	Bu ati bantumu ba nde kwumu ya buolo mbili, ábwi ogweghe bo bagye buolo-buolo ya ágwi bo lileene lili obyi mifulu mi mibi.
2906080088	Átswi bo mukele ti banyaã obiri elogho si emõ, ngu okala limpa, ngu okala empogholo bwunu we nzi mu muswele kala ka yini a mukaana o.
2906090059	Lo nde ályele bo ti: «Lilaha bikoghoro mu myili ya ka lilaha binkuru bi bila byele o.»
29060a0075	Yiisu áfirilyele bo ti: «Ŋa akala liisomo be munsa nzo nga-mõ, likala omo tee mu matala ma akala liimara be oŋo.
29060b00a8	Ya kala ti mu ebini nga-emõ baara babihi obwana be bwunu we ogyughu be, mu matala ma liimara be oŋo, likubulu lifufunu li myili mi be, obo sa osuo bumpughulu mu bo.»
29060c0044	Binduono bígyene ya bítsala nsia ti baara báfaana ogyiŋi mayele.
29060d0054	Bye bíkabyi mifulu mi mibi kyele, bíkakili babyele balagha maala ya bíkadzuhu bo.
29060e00d2	Mukogho Erode ágyughu mi ókasa Yiisu. Mu kuulu nkwumu a Yiisu yíkadzumu nsia ya baara bákalyele ti: «Mbwuru wu Dzã Muboghoro aasighili ŋa kara li ba bákpi. Me mu obo nde ali a lileene mu okasa bimaã.»
29060f0073	Babake bákalyele ti: «Munde Eli.» Bakimi bákalyele ti: «Nde li mubighili ti anga mumõ mu mibighili mi bihi.»
2906100081	Lo Erode bu agyughu mandagha mamo, ályele ti: «Dzã wu aantumu me ti bakehe nde bolo, me nde aasighili ŋa kara li ba bákpi!»
2906110097	Mu kuulu, Erode ndeme áli aagweghe baara bayisyimi Dzã ya balo nde mu boloko, mu nkooro a Erodyade mukala a Filipe mwana a taara a nde, wu ákie nde.
290612005f	Mu kuulu Dzã ákalyele Erode ti: «We ka li a muswa mu ogwolo mukala a mwana a taara a we o.»
2906130047	Erodyade áli a mbele a Dzã ya ákasagha odzwa nde. Lo ka ákakughu o,
29061400d3	mu kuulu Erode áli a nzalamweẽ a Dzã, bu ábaghala ti Dzã áli mbwuru wu a nsumu ya wu a ngili. Mu obo Erode ákakala nde. Ŋa ákagyughu nde Dzã, bitsimi bi nde bíkagwimi, lo nde ákagyughu Dzã ya esee.
29061500ef	Lo Erodyade ábagha mpeene yi odzwa Dzã etsughu ki ósi Erode malagha mama ndibili a mweẽ a etsughu ki báburu nde. Erode áti mbili mu oyadza basala ba nde baba budziri, bamfumu ba bambumbulu ya bansughu baba etsulu e nsie kii Ngalile.
29061600f4	Mwana a Erodyade wu mukaha áyasomo munsa mu bákadza malagha ya ákakini. Makini ma nde mágwi Erode ya baara ba ágwi nde mpighi esee. Mu obo mukogho ályele kundaa mutughu mukaha ndiri: «Luomo me nswe elogho ki dzyi we, me sa ngwa we kye.»
290617005a	Nde álaba mukihi: «Ki aaluomo we me, me sa ngwa we kye, ngu okala ti epa ki empu e me.»
290618007e	Mutughu mukaha ápala ya áfwulu ngughu a nde: «Emakye me aanduomo?» Ngughu a nde ábvuhulu ti: «Mutswi a Dzã Muboghoro.»
290619008a	Mutughu mukaha ábvughuru maswa-maswa kundaa mukogho ya ályele nde ndiri: «Me ndzyi we gwa me mutswi a Dzã Muboghoro mu ndoŋõ lili.»
29061a006f	Mukogho ányoõ ku olagha, lo mu nkooro a mikihi mi álaba ŋa nkulu ba bákadza, nde ka áli a bu ofiribihi o.
29061b007a	Ŋaana oŋo nde ábiŋini nkyele mutsyini ya litumu lili ogya a nde mutswi a Dzã. Nkyele áyikehe Dzã bolo munsa boloko,
29061c006e	ya áyabiri mutswi a nde mu ndoŋõ. Nde ágwi mutswi kundaa mutughu ya mutughu ágwi nde kundaa ngughu a nde.
29061d005b	Binduono bi Dzã bu bigyughu ndagha oyo, bíyagwolo ebyimi e nde ya bálo kye kunsa mpyeme.
29061e0062	Bu bayabvuŋunu kundaa Yiisu, bantumu bályele nde mandagha mwohono ma bágyighili ya ma baluo bo.
29061f00b7	Yiisu ályele bo ndiri: «Liyatswe mu libee, ku ebini ki egwene a baara, ya limagwumu.» Mu kuulu baara balagha báakagya ya báakabvughuru, ya bo ka bákabagha si matala mama odza o.
2906200048	Mu obo bo básomo mu bwara mu ogye ku libee, ku ebini ki egwene a baara.
29062100a4	Baara balagha bámono bo mu okagye ya básoolo bo. Mu obo, bo bákafa mu mabvulu mwohono mu myili, bábvuŋunu ya bátswama oyito ku okagye Yiisu ya bantumu ba nde.
29062200bb	Yiisu bu apala mu bwara, ámono mpwumu a baara yi nene ya nde ámono bo nyiĩ, mu kuulu bo báli ti anga bindoomo bi bigwene a munkaala-bibuolo. Mu obo nde ábwi oluo bo mandagha malagha.
2906230073	Buulu bwihi ali ayi ku ogyili, binduono bi Yiisu bíyalyele nde ti: «Ebini ki ka eli a baara o, ya bwihi buugyili.
290624006e	Bvurulu baara ba ku mala ma bo mpaala bayiswumu bi-odza mu mala ma masala ya ma manene ma mali bitaa-taa bi.»
29062500ad	Lo Yiisu ábvuhulu bo ti: «Be beme, ligwa bo bi-odza!» Bo bályele nde ndiri: «We dzyi ti bihi liyiswumu mampa ma makughu mu nkama-gyolo yi a denye ya bihi ligwa bo mo?»
290626008f	Yiisu áfwulu bo ti: «Mampa kpe be lili a mo? Ligye limatala.» Bu bayitala, bályele nde ndiri: «Mampa mataana ya banswi buolo lili a bye.»
290627005e	Mu obo, Yiisu ágwi bo litumu mu obwihi baara nsini mu yulu a nsele yi a maŋeẽ mu mampwumu.
290628004c	Baara bábwi-nsini mu miluo mini baara nkama, mi mike baara makwumu-mataana.
29062900e3	Nde bu agwolo mampa mataana mamo ya banswi buolo babo, átala ku yulu ya ábvurulu matuono. Ŋa mbihi oŋo, ákehe mampa ya ágwi mo kundaa binduono bi nde mpaala bo bakaba mo. Yiisu ákaba si banswi buolo kundaa baara bwohono.
29062a0025	Baara bwohono báli ya bágyughuru ya
29062b005f	binduono bítolo bitsulu bi mampa ya bibi banswi bi bísyili. Bo báluhu bitubu kwumu ya byele.
29062c0036	Baara ba báli mampa báli babaghala mapfwunu mataana.
29062d00b9	Ŋaana oŋo, Yiisu ásini binduono bi nde mu osomo mu bwara ya mu otswama ku ngulu yinke yi a mubu, ku nkolo yi a bvulu lili Betesayida, edzighi ki aabvurulu ndeme baara ku manzo ma bo.
29062e003e	Mu obo nde ásihi bo ya ágyene ku yulu a munguo mu oyisamana.
