2800000007	Mataayi
281b070076	Pe vakapuling'hana, vakatoola indalama sila vakaghula umughunda ughwa m'bumba fijigha kuuti mwe vanyisilaghe avahesia.
281b08004b	Fye nambe umughunda ughuo nambe lino,”ghutambulua mughunda ghwa Danda.”
281b0900cd	Mu uluo likava likwilanisivue ilisio lino um'bili uYeremia alyalembile kuuti,”Valyatolile indalama ifijigho fitatu, sino a Vaisilaeli valyiting'hiine kuuti indalama isio sikwiline kughulila umuunhu ujuo.
281b0a0049	Vakaghulila umughunda ghwa m'bumba fivigha ndavule alyandaghiile u Mutwa.
281b0b009a	Pepano u Yesu akiima pa vuhighi pa ntwa u Pilato. Untwa akamposia akati,”Asi, uve veeve ntwa ghwa Vayahudi?”U Yesu akamwamula akati,”Uve ujovile.”
281b0c0079	Pe avavaha va vatekesi na vagoyo vakatengula kujova si nyinga isa kumpelela u Yesu ahighue neke umwene naakamula kimonga.
281b0d005b	Pepano untwa akamposia akati,”Ghwe naghupulika isi sooni sino vikwoleka kuuti uhokile?”
281b0e0043	U Yesu naalyamwamwile kimonga. Apuo untwa u Pilato akadegha kyongo.
281b0f006b	Lwale lwiho kwa ntwa pa kyimike ikya Pasaka kukun'dindulila unkungua jumo juno avaanhu vilonda kuuti ahume.
281b100086	Unsiki ughuo mu ndinde mwe alyale unkungua jumonga juno akatambuluagha Balaba. Unkungua ujuo alyakagulike fiijo vwimila uvuhosi vwake.
281b1100a3	Lino avaanhu ye vakong'hanile, u Pilato akavamposia akati,”Asi, mu vakungua vavili ava, u Balaba nu Yesu juno viiti ghwe Kilisite mulonda nivadindulile veeni?”
281b120096	U Pilato alyavaposisie uluo ulwakuuva alyakagwile kuutiavavaha va Vayahudi valyale ni kivini nu Yesu, fye nambe valyantwalile kwa mwene kuuti ahighue.
281b1300e2	U Pilato ye ikalile pa kitengo kyake ikya vuhighi, un'dala ghwake akasung'ha imhola kwa mwene akati,”Nungam'bombelaghe uluviivi lumonga umuunhu ujuo umugholofu, ulwakuva pakilo nihangajiike kyongo mu njosi vwimila umwene.”
281b140085	Neke avavaha va vatekesi na vagoyo vakavahonga avaanhu kuuti vansuume u Pilato an'dindule u Balaba na kukumhigha u Yesu kuuti abadue.
281b150084	U Pilato akavaposia kange akati,”Ghwe veeni juno mulonda nin'dindulile mu vakungua vavili ava?”Vakamwamula vakati,”UBalaba.”
281b160092	U Pilato akavamposiankange akati, Pe nim'bombe kiki u Yesu juno viiti ghwe Kilisite?”Avaanhu vooni vakoova vakati,”Unkomelele pa kikivekano”
281b170087	U Pilato akavamposia kange akati,”Umuunhu uju avombile luviivibluki?”Aveene vakaghina kukwova viuti,”Unkomelele pa kikovekano.”
281b180120	U Pilato ye akagwile kuuti naangandule uvulamusi vwa vaanhu kange vatengwile, ilyovo akatoola amalenga akoogha amavokonghaake pamaaso gha vaanhu, vooni kuvonia kuuti umwene namwale mu nkole ughuo. Akavavula akati,”Une nili nsila nkole vwimila kufua kwa umuunhu uju. Uluo lwinu jumue.”
281b19006a	Avaanhu voonivakamwamula vakati,”Unkole ughwa kum'buda umuunhu ujuo ghuvisaghe ghwitu na vaana viitu.”
281b1a0076	Pe pano u Pilato akan'dindulila uBalaba, neke akalaghila kuuti u Yesu akopue ni mijeledi na kukomelelua pa kikovekano.
281b1b0098	Pepano avasikali va ntwa u Pilato vakatwala u Yesu mu luviika lwa nyumba ja ntwa, pe ikipugha kyoni ikya vasikali kikakong'hona, kikansyungutila u Yesu.
281b1c004a	Vakamfuula amenda ghaake, vakafwasia isopeka indangali, ndavule ija kitwa.
281b1d00ea	Pe vakatenda ingeela ija mifua, vakafwasia ku mutu, neke vakaviika ulukwegho mu luvoko lwake ulwa ndio avonekaghe hwene ntwa. Pepano vakafughama pamaaso ghaake vikum'benapula na kukunnenela viiti,”Kamwene ghwe Ntwa ghwa Vayahudi?”
281b1e0053	Pe vakafuunyila amati, Vakatoola ulukwegho lula mu luvoko lwake, vakantova ku mutu.
281b1f0070	Ye vannennile, vakamfuula isopeka jila, vakafwasia amenda ghaake. Pepano vakantwala kukunkomelela pa kikovekano.
281b2000aa	Ye vali mu sila viluta, vakatang'hana nu muunhu jumonga juno akatambuluagha Simoni, umhuma mu likaaja ilya Kileene. Avasikali vakamwumilisia kupinda ikikovekano kya Yesu.
281b21004d	Ye vafikile pano pakatambuluagha Goligota, kwe kuuti,”Ling'ala lya Mutu,”
281b220068	Vakampeela uluhuuje uluhasing'hanie nu nkota ughwa kusilisia uvuvafi. Neke ye avonjile, akakaana kunyua.
281b2300f1	Vakankomelela pa kikovekano, pe vakaviika ulusodolelo kuuti amenda gha Yesu atoole veeni. Likavombeka enendiki neke likwilanisivue ilisio lino lilyajovilue nu m'bili kuuti, Vaghaviine amenda ghango, vasodolile mulwa kutoola isopeka jango.”
281b24002b	Pe vakikala palapala kuuti vamulolelelaghe.
281b250053	Pa kikovekano ku mutu ghwake vakakomelela,”UJU GHWE YESU, UNTWA GHWA VAYAHUDi.”
281b26009a	Unsiki ghughuo avaanhu avange vavili vano valyale vahijivabudi vakakomelelua palikimo nu Yesu, jumonga akava ulubale lwake ulwa kundio, ujunge kung'highi.
281b27004f	Avaanhu vano vakava vikila pala vakasukaniagha amatu ghaake, vikumuligha viiti,
281b28009f	Uve ghwe juno ghwatisagha ghulimemula inyumba inyimike ija Nguluve neke ghujenga ifighono fitatu, nave uli Mwana ghwa Nguluve, Ghupoke, ghwke pa kikovekano!”
281b290078	Voope avavaha va vatekesi na vavulanisi va ndaghilo isa Moose palikimo na vagoyo avange vakamwovelelagha vakatisagha,”
281b2a0084	Avapokaghava avange, lino ikunua kukupoka jujuo! Asi, naghwe ntwa ghwa Vaisilaeli, lino iike pa kikovekano, neke na jusue tumwitike.
281b2b0062	U mwene ikumhuviila ubNguluve, iiti Mwana ghwa Nguluve, lino nave u Nguluve amughanile, ampoke.”
281b2c0047	Nava vahijivabudi vanovvakomelilue palikimo nu Yesu, voope vakamuligha.
281b2d0074	Kutenguala akavalilo aka ntanda pamwisi, ing'hisi jikakupiika iisi jooni kuhanga kufika akavalilo aka budika lubale.
281b2e00a8	Unsiki ughwa kavalilo aka budika lubale ndiiki u Yesu akakoola fiijo akati, Eloi, Eloi, lamacsabakitani? kwe kuuti,”Nguluve ghwango, Nguluve ghwango ongo undekile?”
281b2f0077	Avaanhu vamonga vano valyimile pala ye vapulike u Yesu ijova amasio aghuo vakati,”Uju ikunkemeela um'bili u Eliya.”
281b3000a9	Unsiki ghuoghuo umuunhu jumonga mu veene akaluta luvilo akatoola ikyenda, akasuvika mu luhuje ulukali akakiviika mu lulaasi akam'besekesia u Yesubpa mulomo kuuti amiime.
281b310054	Neke avange vala vakati,”Uleke kukumpeela tulole nave u Eliya ikwisa kukumpoka,”
281b32002b	Pe u Yesu akakoola fiijo kange, akakunguka.
281b3300ab	Nakalingi, umwenda ghuno ghulyaghavilue pavili inyumba inyimike ija Nguluve, ghukademuka pavili kuhuma kukyanya kiufika paasi. Iisi jikasukanika na manhalavue ghakabajuka.
281b34003d	Imbiipa sikasyiluka, avimike vinga vano valyafwile vakasyuka.
281b350074	Pa mbele u Yesu ye asyukile, avimike avuo vakingila mu likaaja ilyimike ilya Yelusalemu, vakavoneka ku vaanhu vinga.
281b3600d6	Pe um'baha ghwa vasikali palikimo na vala vano valyale vikumulolellela u Yesu ye vavwene iisi jisukanika ni singi sino sikahumiile pala, vakoghopa kyongo, vakati,”Kyang'hani umuunhu uju akaale Mwana ghwa Nguluve.
281b3700af	“Ye sivombike isi sooni, pwevalyale avakijuuva vinga vano valyimile patali padebe vilola. Avakijuuva avuo ve vano vakam'bingilile u Yesu kuhuma ku Galilaya na kukutengelela.
281b380090	Mu vakijuuva avuo, mwealyale uMaliya umhuma mu likaaja ilya Magidala, uMaliya ung'hina ghwa Yakovo nu Yosefu palikimo nu un'dala ghwa Sebedaayi.
281b3900a6	Ye jifikile ivwilile, akiisa umuunhu jumonga ummofu, ilitavua lyake alyale ghwe Yosefu, umhuma mu likaaja ilya Alimataya. Umuunhu ujuo alyale m'bulanisivua ghwa Yesu.
281b3a0079	U Yosefu akaluta kwa Pilato kusuuma umfimba ghwa Yesu. U Pilato akavavuula avasikali vaake liiuuti vampeele umfimba ghula
281b3b0069	Pepano u Yosefu akaluta akatoola umfimba ghwa Yesu akaghuniengelela nu mwenda ughwa kusyilila, um'balafu.
281b3c0087	Pe akaghuviika mu mbiipa jaake imia jino alyabughwile mu linhalavue, akabilukisia ilivue ilikome pa mulyango ghwa mbiipa akavuka iluta.
281b3d006c	Unsiki ughuo u Maliya umhuma mu likaaja ilya Magidala nu Maliya ujunge valikalile pala valungiime ku mbiipa.
281b3e0067	Ikighono ikya vuvili kino kyale kya sabati, avavaha va vatekesi na vafalisayi vakakong'hana kwa Pilato.
281b3f008c	Pe vakam'bula vakati,”Ghwe ntwa, tukumbuka kuuti unsyangi jula ye mwumi, akajovile kuuti, Fingakile ifighono fitatu kuhuma nifua nisyuka.'
281b400119	Lino, tusuuma avavuule avasikali vaako valolelelaghe imbiipa kuhanga ikighono ikya vutatu, tungaleke kuvomba ulu, avavulanisivua vaake ndepoonu viluta kuhiija um'bili ghwake neke vavasyange avaanhu kuuti asyukile. Nave luvembeke uluo, uvudesi uvuo vuuva vuviivi kukila uvwa kwanda.
281b410064	U Pilato akavamula akati,”Mutoole avasikali. Mulute mulolelelaghe imbiipa ku ngufu siinu sooni.”
281b42009a	Pepano vakaluta ku mbiipa, vakaviika ikivalilo pa livue kuuti napwengavisaghe umunhu ughwa kuvungulusia. Pe vakavaleka pala avasikali kuuti valolelelaghe.
281c0100ac	Ikighono ikya Sabati kikakila. Lino ye kuhenga, ikighono ikya kwasia mu mulungu, u Maliya umhuma mu likaaja ilya Magidala palikimo nu Maliya ujunge vakaluta kulola imbiipa.
281c020099	Nakalingi, kikahumila ikinsenyeena ikivaha, Unyamhola ghwa Mutwa akiika kuhuma kukyanya, akaveela pa mbiipa akabilukisia ilivue lila kulubale, akikalila.
281c030069	Unyamhola ujuo alyale ivalatika hwene lumuli lwa fula, amenda ghaake ghalyale mavalafu ghivalatika fiijo.
281c040062	Avasikali vano vakalolelelagha imbiipa, vakoghopa na kutetema kyongo kuhanga vakava hwene vafwile.
281c0500a3	Neke unyamhola jula akavavuula avakijuuva vala akati,”Muleke pikwoghopa nikagwile kuuti mukumulonda uYesu juno vakankomelile pa kikovekeno. Napwale apa, asyukile
281c06003a	ndavule alyale ikuvavuula. Mwise mulole pano vakam'bikile.
281c0700af	Lino mulute ng'aning'hani muvavuule avavulanisivua vaake kuuti,'Asyukile kuhuma ku vafue. Kange alongwile ku Galilaya, ukuo muluta mukum'bona.'Mukumbukaghe sino nivavulile.”
281c0800ae	Avakijuuva vala vakavuuka ng'aning'hani pa mbiipa pala, vajiighe nu ludwesi kumo vali nu lukeelo ulukome. Vakava viluta luvilo kukuvavuula avavulanisivua va Yesu imhola jila.
281c0900a3	Ye viluta, nakalingi u Yesu akatang'hana navo, akati,”Mwe! Mughonile!”Pe avakijuuva vala vakaveela kwa Yesu vakafughama, vakankola amaghulu ghaake vakamwimika.
281c0a0083	Pe u Yesu akavavuula akati,”Muleke pikwoghopa. Mulute muvavuule avavulanisivua vango valute ku Galilaya, ukuo kwe kuno vikumbona.
281c0b00b7	Avakijuuva vala ye vali mu sila viluta, avasikali vamonga mu vano vakalolelelagha imbiipa, vakaluta kuvavaha va vatekesi mu likaaja ilya Yelusalemu, vakavavuula sooni sino sivombiike.
281c0c0093	Pepano avavaha va vatekesi vala palikimo na vagoyo avange vakakong'hana. Vakapuling'hana na kukuvafunda avasikali vala vakavapeela indalama nyinga.
281c0d007a	Vakavavula vakati,”Umue mutisaghe,'Avavulanisivua vaake visile pakilo, vahiijile umfimba ghwa Yesu usue ye tughonelile.'
281c0e005f	U Pilato angapulike imhola ijio usue tujova nu mwene kuhanga luvoneke kuuti namuli nu nkole.”
281c0f00b4	Pe avasikali vala vakupila indalama sila na kujova ku vaanhu ndavule vavulilue na vavahaha vala. Imhola isio sikakwila imbale sooni isa Vayahudi, kange vajiighe vipanga nambe lino.
281c10006a	Pambele avavulanisivua va Yesu kijigho na jumo vakaluta ku Galilaya, pa kidunda kino u Yesu alyavalaghile.
281c11005d	Ye vamwaghile, vakamwimika, neke avavulanisivua vamonga vakava ni nganingani kuuti ghwe Yesu.
281c120068	Pepano u Yesu akaveela, akavavuula akati,”U Nguluve amheliile uvutavulilua vwoni, kukyanya na pa iisi.
281c13009d	Lino, mulutaghe muvalungikaghe avaanhu mu iisi sooni, vaave vavulanisivua vango, muvofughaghe mu litavua ilya Nhaata, ni lya Mwanaake ni lya Nhepo u Mwimike.
281c140080	Muvavulanisyaghe kuvingilila sooni sino nivavulile umue. Une niiva palikimo numue ifighono fyoni, kuhanga uvusililo vwa iisi.”
2900000006	Malika
2901010034	Imhola inofu ija Yesu kilisite, uMwana ghwa Nguluve.
290102008e	Ndavule lilembilue mukitabu kya m'bili u Isaya, “Lolagha nikunsuung'ha unyamhola ghwango akulongolele, ujuo ghwe ikuling'anisiagha isila.”
290103007f	Ilisio lya muunhu nipilikika kuhuma ku lihaka liiti, munnosekesyaghe u Mutwa u Nguluve isila na kuling'hania muno kya ilila”.
290104006d	Pepano u Yohana u mwofughi akatengula ku pilisia ku lihaka, kuuti avaanhu valataghe inyivi save nakuwofughua.
2901050076	Avaanhu kuhuma mulikaja lya Yerusalemu na mukighavo kyoni ikya Yudea, vakalutagha kwa Yohana, vakalatagha inyivi save.
290106007a	UYohana akafwalagha umwenda ghuno ghutendilie nulwaghe lwa ngamia akipinyagha nulukova munsana, na kulia imhaasi nu vwuki.
290107009f	Akapulisyagha akatisagha, kwale jumo ikwisa mumbele mulyune unya ngufu kukila une, juno naninoghile nambe kuva m'banda ughwa kuhudula utukova twa filatu twake.
290108004c	Une nikuvofugha na malenga, neke umwene ikuvofughagha nu Mhepo u Mwimike.”
29010900a5	Lulya humile mufighono ifio ulwakuuti u Yesu Kilisite alisile kuhuma ku Nazaret ija ku Galilaya, akaluka kwa Yohanani na kukwofugua nu mwene mukikogha ikya Yolidani.
29010a0074	Ye ofughue unsiki ghughuo akahuma mumalenga, akavona uvulanga vudinduka, na ju Mhepo hwene ng'hunda akiika pa mwene.
29010b005b	Pe ilisio likahuma kukyanya likati, “Uve veve mwanango mughanike. Nikukelile fijo uve.”
29010c003d	Kange nakalingi u Mhepo akamulongosia u Yesu kuluta kulihaka.
29010d007a	Akikalagha ifighono fijigho fine, agheluagha nu setano. Alyale nifikanhu ifnge ifya mulisoli, navanyamhola vakan'tangagha.
29010e005c	pa mbele u Yohani ye akolilue, u Yesu akalika ku galilaya ipulisia imhola inofu ija Nguluve,
29010f007e	akatisagha, “Unsiki ghwa ghufikile, kange uvu twa vwa Nguluve vulipipi. Mulataghe na kukwitika inyivi siinu mu livangili”.
2901100083	Yeakilila mulubale mu lisumba lya Galilaya, akabona u Simoni nu ANdeleeya vitagha inyavu save mulisumba, ulwakuva valyale valovaji.
2901110051	U Yesu akavavula, “Mwise, mumbingililaghe, nikuvavika kuva valovi va vaanhu.”
2901120036	Unsiki ghughuo vakasileka inyavu save vakam'bingilila.
2901130091	Unsiki u Yesu ye aghendile akasiki padabe, akam'bona u Yakobo mwawa ghwa Zebedayo nhu Yohani vanyalukolo vake; valyale mu ngalava vitenda inyavu.
2901140073	Voope akavakemela vakamuleka uvise ghwave u Sebedayi mun'akte mu ngalava palikimo navavombi vaake, vakam'bingilila.
2901150054	Ye vafikile ku Kapelaumu, ikighono kya Sabati, vakingila mu sinagogi na kuvulanisia.
290116007a	Vakadegha imbulanisio ja mwene, ulwakuva alyale ivulanisia hwene muunhu nya vutavulilua nakavulanisiagha ndavule avalembi.
2901170058	Unsinki ghughuo umuunhu alyale mu sinagogi jivanave alyale nilipepo ililamafu, akakoola,
290118008f	akati, “Tulini kikibikya kuvomba nuve, Yesu ghwa Nasaleti? Ghwisile kukututipula? Tukagule uliveni? Uve ulimwimike ghwemwene ghwa Nguluve!”
2901190059	U Yesu akalihwetukila ili pepo ililamafu akati, “kimihe huma mun'kate mwamuunhu uju!”
29011a006a	Nili pepo ililamafu likamughwisia pasi na kuhuma mun'kate mwamwene unsiki ghuno akakolala kulisio ilivaha.
29011b008c	Avaanhu vooni vakadegha, kange vakaposesania vene, “Senyiki isi? Isi se mbulanisio imia inyavutavulilua? Idagha amapepo ghope ghikunda!”
29011c0047	Imhola sa Yesu sikakwila ng'hani ng'hani mukighavo kyoni ikya Galilaya.
29011d0075	Ng'haning'hani ye vahumile kunji mu sinagogi, vakingile mu nyumba ija Simoni nu ndeleeya Vyalyale u Yakobo nu Yohani.
29011e0071	Lino un'kwive ghwa Simoni alyaghonelile alyale n'tamu ghwa homa, ng'haning'ani vakam'bula u Yesu imhola sa mwene.
29011f0060	Ye afikile, akan'kolo nuluvoko, akamwinula, ihoma jikabuka kwa mwene, akategula kukuvatengelela.
2901200065	vwilile unsiki ilijuva ye lisemile, vakamuletela avatamu vooni vano valyale vivavua, na vanya mapepo.
2901210033	Ilikaja lyoni valyakong'anile palikimo pa mulyango.
290122009f	Alya vasosisie vinga vano valyale ninamu avanyanamu sino sili papinga na pidagha amapepo minga, looli nakaghalekelagha amapepo ghajove ulwakuva ghalya manyile.
2901230068	Alyasimuike kujighe kuhenga, unsiki ghuno ghukakyale kuhenga; akaluta pamonga pasyefu pe akifunya kukuo.
290124002b	U Simoni navanine vakatengula kuku mulonda.
2901250040	Ye vamwaghile vakam'bula vakati, “Avaanhu vooni vikukulonda”
290126007d	Akavamula akati, “Tuvuke kufisina ifinge, mu fikaja fino fisyunguta, kwope nipilisie kange. Ulwakuva lwelino nisile apa.”
290127005b	Akaluta imbale sooni isa mukighavo ikya Galilaya, ipilisia mu masinagogi na kudaga amapepo.
2901280072	Unyabuba jumonga akisa kwa mwene. Akampelepesia; akafughama akati, “Nave ukelile kukumbalasia, nisuma umbalasie.
2901290065	Vwimila vwa lusungu, u Yesu akagholosia uluvoko lwamwene aka mwabasia, akati, “Nikeela, Uvalale.”
29012a0040	Unsiki ghughuo ibuba jikabuka mu m'bili ghwake, pe akavalasivua.
29012b0031	U Yesu akan'kaana akaati lutagha ng'hani ng'hani,
29012c00a7	Akam'bula akaati, “Nungam'bulaghe nambe muunhu imola isi, ulwene ulute ghuhufie kwa n'tekesi, uhumie ilitekelo ndavule alyalaghile u Moose, vuve vwolesi kuvanave.”
29012d0106	Looli akaluta na pikum'bula kila muunhu na pipulisia ilisio kukila u Yesu lukampela u Yesu kukunua kukwingila mu makaja pa vuvalafu. Akavisagha kunji ku makaja kuvusyefu kuvusila vaanhu kwope ukuo avaanhu ifipugha fyooni kuhuma imbale soni vakalutagha kwa mwene.
2902010059	Ye agomuike ku Kaperinaumu ye fikilile ifighono fidebe, lukapulikika kuuti alyale kukaja.
290202007d	Avaanhu viinga vakakong'hana pala napapakava apakukila kange, najila jino jilyale pa mulyango u Yesuvakajova ilisio kuvanave.
2902030064	Kange avaanhubvamo valisile kwa mwene vano vamuletile umuunhu unya liteela; avaanhu vane vampindile.
29020400b5	Unsiki yevakunilue kukuntwala vwila vwa lipugha lya vaanhu, pe vakatuvula vakantosia kukyanya ku dari ye vatuvuile, vakikisia ikitanda kino umuunhu untamu juno liteela alakighonile.
290205005b	Ya aluvwene ulwitiko lwave, u Yesu akati kwa ntamu, “Mwanango, upyanilue inyivi saako.”
2902060048	Looli mu valembi vamo vano vakikalile pala vakiposiagha munumbula saave,
290207006f	“Anoghile ndani kujova anala? Ipyanila! Ghwe veeni kupyanila inyivi nakwale ujunge kukila u Nguluve mwene?”
290208007c	Kange u Yesu akakagula mu numbula sa mwene kino akale isagha muvamo va vanave. Akavavula, “Nakiki musagha mu numbula sinu?
2902090074	Luhugu luliku kukum'buula unya liteela, upyanilue inyivi sako' nambe kuuti, 'Ima, veghala ikitanda kyako, ulutaghe?'
29020a0079	Lino mukagule kuuti umwana ghwa Adamu alinuvutavulilua uvwa kupyanila inyivi mu iisi, pe alwa m'bulile unya liteela jula,
29020b0038	“Nikukuvula juve, ima, tola ilitefu lyako, vujagha.”
29020c00af	Unsiki ghughuo akima akaveghala ilitefu lyake akavuka ivuja avaanhu vano pevalyale vaka degha kyongo, kange vakamughiniagha u Nguluve, vakaati “isi se natusivwene lusiku.”
29020d0062	Akaluta kange mulubale mulisumbe, ilipugha lya vaanhu likalutagha kwa mwene, pe akavavulanisiagha.
29020e008e	Ye ighenfa akamwagha u lawi nswambe ghwa Alfayo ikalile pano isongekesia isongo akambula akati “Um'bingililaghe.” Akima na pikum'bingilila
29020f00bf	Pambele u Yesu ye vilavuka ikyakulia munyuma ja lawi, avasongesia songo vinga na vahosi valikalile vivanga nu Yesu palikimo navavulanisivua vake, ulwakuva valyale vinga voope vakam'bingilila.
29021000da	Unsiki avalembi, vano valyale Vafalisayo, yevamwaghile u Yesu ihanga navaaanhuvava nyanyivi nava songesia songo, vaka vavula ava vulanisivua vake vakaati, “Nakiki ihanga nava songesia songo na vaanhu ava nyanyivi?”
29021100e4	U Yesu ye apulike akavavula akati, “Avaanhu avanya vwumi mum'bili navufumbua kuluta kwa mughanga; looli avatamu vevano va mfumbilue. Nanilyakisisie kukuvakemela vano vikuvona vagholofu, looli vano vitang'hinie kuuva vahosi.”
29021200f9	Avavulanisivua va Yohani nAva Farisayo valyale nu lwiho ulwa kuvuhila kulia. Pe avaanhu vamonga vakisagha kwa mwene ni pikum'buula, “Kiki avavulanisivua vaako navivingilila ulwiho ulwa kuvuhila kulia, ndavule avavulanisivua va Yohan nava Farisayo?
29021300ba	U Yesu akavamula, vano vaghongolilue pavutolani vulu vali nu n'tola n'dala navangavuhile kulia mu lwakufunya? Pa uluo nave untola n'dala alipalikimo numue namughanilue kubuhila kulia.”
2902140066	Looli filiva fikisa ifighono fino untolan'dala ilivusivua, apuo pepano vilivuhila kulia mulwa kufunya.
29021500ad	Nakwale umuunhu juno ihona ikigamba ikipia mu mwenda unkuulu, nave avombe uluo ikigamba kilekeng'ana nu mwenda, ikipia kibanduka mukikuulu, pe uvudemule vukwongelela kyongo.
29021600c8	Nakwale umuunhu juno ivika uluhuje ulupia mu nyambe ing'huulu, nave fye vavombe uluo, uluhuje lupusula inyambe kange fyoni fivili uluhuje ni nyambe visova. Looli vika uluhuje ulupia mu nyambe imia.”
290217006c	Mukighonobikya sabati uyesu alyakilile mumaghunga ghamo, navavulanisivua vamo vakatolagha amasoje gha ngano.
290218006c	Avafalisayo vakam'bulagha, “Lolagha, kiki vivomba lunonalunoghile mundaghilo isa mukighono ikyabSabati?”
2902190084	Akavamula, “Namwembila ndavule u Daudi vule alyavombile ye alimuvunoghelua vwa njala umwene palikimo na vaanhu vano alyale navope?
29021a0105	Ndavule alyalutile mu nyumba ija Nguluve unsiki ghuno u Abiathari alyale n'tekesi m'baha akalia unkate ghuno ghulyale pavulongolo ghuno naghukanoghile mundaghilo sa muunhu ghweni kuli ulwene vatekesi vene kange akavapela vaamo vano valyale palikimo nu mwene?”
29021b0061	U Yesu akajova, “isabati jivikilue kuku n'tanga umuunhu, jeeje umuunhu kuva n'kami ghwa Sabati.
29021c0036	Kwekuuti, Mwana ghwa Adamu ghwe Mutwa, naku sabati.”
2903010053	Kange akingila munkate mu sinagogi mula mwe alyale umuunhu juno uluvoko lulyafwile.
2903020074	Mwevalyale vamo valyale vikumwuvila kuuti nave kya ikunsosia umuunhu jula mu kighino kya Sabati vantwale pa vuhighi.
290303004f	U Yesu akam'bula unyaluvoko luno lufwile akati, “Ima pakate palipugha ili.”
290304009b	Pe akavavula avaanhu, “Asi, luliku luno lunoghile mukighono ikya Sabatinambe ku vomba imbivim; kupoka u vwumi nambe ku buda?” Looli navakamula kimonga.
29030500b5	Akavalola ni ng'halasi, akasukunala vwimila vwa vusiiki vwa numbula save, kange akam'buula umuunhu jula, “Gholosia uluvoko lwako” Akagholosia u Yesu akansosia uluvoko lwa mwene.
2903060052	Ava Farisayo vakahuma kunji pe vakava vipiling'ana nhu Herode vule kya vikum'buda.
2903070087	Pe u Yesu, navavulanisivua vaake, vakaluta ku lisumbe, nililigha ilivaha ilya vaanhu vukam'bingilila kuhuma ku Yerusalemu na kuvuyahudi
29030800bb	kuhuma ku Yerusalemu na kuhuma ku Idumaya na kuvulongolo ku Yorodani na kumbale isa ku Tiro ni Sidoni, ilipugja likome, pono alyapulika ifiinu fyooni fino alya ivomba, valisile kwa mwene.
290309008f	Pe akavavula avavulanisivua vaake kuuti vaveghelesie ingalava indebe vwimila vwa mwene lwakuuti ilipugha lya vaanhu, ulwakuuti navangampitaghe.
29030a0072	Ulwakuva alya sosisie vinga, ulwakuuti umuunhu ghweni unya mumuko alyale nuvunoghelua vwa kum'bona neke amwabasie.
29030b0089	pooni imhepo indamafu pano vakamwaghagha, vakaghwisaka pasi na pilila pamaghulu gha mwene, vakatisagha, “uve uli Mwana ghwa Nguluve”.
29030c0036	Akaghadalikilagha kuuti naghangampulisiaghe akagulike.
29030d004e	Akatogha pakyanya pa kidunda, akavakemela vano alighanile, vakaluta kwa mwene.
29030e0074	Akavasalula kijigho na vavili (akavatambula vasung'ua), ulwakuuti vave palikimo nu mwene alwakuti avomole kupulisia,
29030f0027	kuuti uvutavulilua uvwa kudaga amapepo.
2903100048	Akavasalula kange kijigho na vavili: U Simono juno akantambulagha Petro,
2903110080	U Yakobo nswambe ghwa Zebedayo, nu Yohani nyalukolo ghwa Yakobo, alkapeelilue ilitavua lya Bonagesi, avuo ve, vaana va lugulumo,
2903120067	nu Ndeleeya, Filipo, Bartholomayo, Mathayo, tomaso Yakobo mwana ghwa Alfayo, Thadayo, SimoniMukananayo,
2903130027	nhu Yuda Iskariote, juno alya mwohiile.
290314005c	Pe akaluta ku nyumba, nilipugha lya vaanhu vakisa palikimo kange, vakakunua nakulia u nkate.
2903150063	Ikikolo kya mwene yevapulike imhola ijio, vakaluta kukun'kola, vakaati, “Ahasiling'ine uluhala”
29031600a6	Voope avalembi vano valisile kuhuma ku Yerusalemu vakatisagha, “U Yesu ali nili pepo lywa Beelzebuli,” ilipepo ili lyelino likumpeela ingufu isakudaga amapepo”.
2903170060	Uyesu akavakemelile kwamwene nakujova navope kuhwanikisio, “ndaponi usetano idaghw kwa setano?
2903180033	Nave uvutua vughavana vwene uvutwa uvuo navu ngime.
2903190044	Nave inyumba jingaghaving'hane jeene, inyumba ijio najivwesia jiime.
29031a0068	Nave usetano angagalung'hane mwene na kughavinga'ana, nangavwesie kukwima, iva afikile kuvusililo vwake.
29031b009e	Looli nakwale nambe umuunhughweni nangingile munyumba ja muunhu unyangufu kughoma ifiini fyake looli tasi ankunge unyanyumba, neke aghome ifiinu fyake fyooni.
29031c0060	Kyang'haani ni kuvavula, inyivi sooni isa vaanha va vaanhu nalavasaghila, namaligho ghave ghoni,
29031d0080	looli umuunhu juno ikumuligha u Mhepo u Mwimike ujuo u Nguluve nalansaghila lusiku, ujuo iiva nu nkole ughwa kuvusila kusila”.
29031e0042	U Yesu akajova ilio ulwakuva akatile, “Alinilipepo ililamafu”.
29031f0063	Kange u ng'ina navanyalukolo va mwene vakisa na vakiima panji. Vakansung'haa umuunhu, kuku nkemela.
2903200079	Nikipugha kya vaanhu vano vakikalile pipi naghwope vakam'buula, “umama ghwako navanunavo valipanji, vikukulonda uve”.
2903210038	Akavamula akati, “Umama navanuna vaango ve vaveeni?”
290322006e	Akavasyetukila avaanhu vooni vano valikalile vakansungutile, akaati, “Lolagha ava ghwe mama navanuna vaango!
290323007f	Umuunhu ghweni juno ivomba isa vughane vwa Nguluve, umuunhu ujuo ghwe nuna kange kwe lumbu ghwango ghwango, nu mama ghwango”.
