010000000b	Ittẹwọr
021b140097	“Ben anọng p'Israẹl bi, bẹ atzima ana p'atto bi ttaan pa bẹ amyan k'achiduk p'oliv p'anang iyaan, ifha atwikkaang am-ayeni k'ogbe kpenamkpen.
021b15013a	K'irukhabe s'iwobh k'iyaan-iyaan kw'ekpekhe ch'ewobh k'itzitzikha s'Ẹkkọhbhi ch'Echekhi, Aarọn ọmaana va pẹ p'ijinọng am-ohok atwikkaang mba ayeni k'itzitzikha s'Ọvaar Ibinọkpaabyi, ttẹwọr k'ẹchọhkha maa ewu ehobha. Ndọhna nna nde s'anọng p'Israẹl maa opyiri k'igbọ s'íkwu k'ororo.
021c0100be	“Yeri agbaanakka Aarọn, ọmaana va pẹ p'ijinọng p'ade Nadab, ọmaana Abihu, ọmaana Ẹleyaza, ttara Itamar k'ottem kw'anọng p'Israẹl, ifha bẹ asi ọtzọhm f'afọhnẹja.
021c02005b	Khum nnya s'awurada anang agbaanakka Aarọn, ifha kẹ ọkhaama ikpokpobha ttara abarada.
021c0300bb	Ben ajinọng biphyir p'asi emengkka, pa kaam nkk'ekkoji ch'itzọhmbọhk-dema nna nnanga bi, bẹ akhum nnya anang Aarọn, k'ẹbọhk-nana chẹ, ifha osi ọtzọhm f'ọfọhnẹja.
021c04014a	Ma wọ ode nnya sa bẹ ákhum, ẹbarakpa ch'ittemmọma, ọmaana ẹphọd, ọmaana ọnọhma kw'okhum mbọhk, ọmaana ọnọhma-baba, ọmaana ẹbarakpa ch'eho ọdadabh, ttara odikpa kw'erin. Bẹ akhum nnya nna s'awurada anang agbaanakka Aarọn, ọmaana va pẹ p'ijinọng, ifha bẹ asi ọtzọhm f'afọhnẹja.
021c050088	Tte bẹ atzima ndik sa gol, ọmaana sa nde blu, ọmaana sa ngor-ihiho, ọmaana sa ngor-izizi, ttara ndik nkkakka sa bẹ ayokh-oyok.
021c0600a4	“Tte amengkkakkaa otzima ndik sa gol, ọmaana sa nde blu, ọmaana sa ngor-ihiho, ọmaana sa ngor-izizi, ttara ndik nkkakka sa bẹ ayokh-oyok, okhum ẹphọd.
021c07006a	Ch'ẹ́khaama mbarakpa mfa ka mbabaang, pa bẹ akhum araakha ka nyọhnga sẹ mfa, ifha ẹbọkha ayok.
021c0800de	Odikpa kwẹ kwa bẹ átzima emengkka ayok, óde odem wani ttara ẹphọd nda, bẹ ayokh-ẹ ttara ndik sa gol, ọmaana sa nde blu, ọmaana sa ngor-ihiho, ọmaana sa ngor-izizi, ttara ndik nkkakka sa bẹ ayokh-oyok.
021c09004c	“Tzọkha atza afa p'oniks, akkẹr che pa va p'Israẹl p'ijinọng mẹ.
021c0a007b	Kkẹr che azadani k'ọtza wani, abira akkẹr che mbonggo azadani k'ọtza nwonggo, kkẹr che mba atzor k'igbọ sabẹ.
021c0b0097	Kkẹr che pa va p'Israẹl p'ijinọng m'atza mba afa, mach'ira omengkkakkaa ọkkẹr ọttọhk k'atza. Bẹ gol akhọri ammakpabem p'atza mba afa,
021c0c00c7	abira akpa bẹ k'abarakpa mba pa mbabaang s'ẹphọd, mach'atza p'ojima anang va p'Israẹl p'ijinọng. Aarọn om-otzima che mba ka mbabaang sẹ mach'ojima k'itzitzikha s'Ọvaar Ibinọkpaabyi.
021c0d002c	Bẹ gol akhọri ammakpabem p'atza mba afa,
021c0e0043	ọmaana mgbakkọhbh mfa sa gol mach'edik, agbana sẹ k'atza mba.
021c0f0103	“Khum ẹbarakpa ch'ittemmọma ch'ochibhi kw'Ibinọkpaabyi ororor, kw'ode ọtzọhm f'omengkkakkaa. Tzima ndik sa gol, ọmaana sa nde blu, ọmaana sa ngor-ihiho, ọmaana sa ngor-izizi, ttara ndik nkkakka sa bẹ ayokh-oyok, akhum chẹ mach'ẹphọd.
021c100082	Éde akhubha anna, idikha anyọhng chẹ ọnyọhnga, adum pẹ ọmaana ẹkpa chẹ áde mbenga-mbọhk, ayom ẹbọhkpattem.
021c11007b	Bẹ adik anna p'atza p'ajibh-ojibh mẹ. M'odik kw'ocheden, ábẹ ọtza kwa ruby, ọmaana kwa topaz, ttara kwa bẹryl,
021c12005c	k'odik kw'ottong afa bẹ ọtza kwa tọkwọis, ọmaana kwa saphira, ttara kw'ẹmẹral;
021c130055	k'odik kw'ottong attaan bẹ ọtza kwa jasin, ọmaana kw'agate, ttara kw'amẹtist,
021c14007e	k'odik kw'ottong anna bẹ ọtza kwa krisolita, ọmaana kw'oniks, ttara kwa jasper. Bẹ gol akhọri ammakpabem p'atza mba.
021c1500a7	Bẹ áde atza jobh obhiri afa, kpenamkpen otzera che cha nnwa wani kw'Israẹl kw'ijinọng, kpenamkpen obe mach'ẹkhọhkha, ttara che ch'efonamma dani ch'Israẹl.
021c16003d	“Tzima gol kwa bẹ ayokh-oyok mach'edik, asi mgbakkọhbh.
021c170059	Tzima gol asi ariring afa, atzima akpa bẹ ka nyọhnga s'ẹbarakpa nda ch'ittemmọma.
021c18005b	Kpa mgbakkọhbh nna mfa sa gol k'ariring mba pa nyọhnga s'ẹbarakpa nda ch'ittemmọma,
021c190073	abira akpa aho mbonggo afa pa mgbakkọhbh k'atza mba afa, amaana k'abarakpa pa mbabaang, k'itzitzikha s'ẹphọd.
021c1a0078	Si ariring pa gol afa, agbana bẹ ka nyọhnga nnonggo mfa k'ẹtzaanga kw'ẹbarakpa ch'ittemmọma abaanga ẹphọd.
021c1b00b0	Biri tzima gol asi ariring afa, agbana bẹ k'irekhirek kw'abarakpa pa mbabaang k'itzitzikha s'ẹphọd, ọbaanga ibe sa bẹ atzọhng k'ebir-ebir kwa mkpansin kw'ẹphọd.
021c1c00a9	Tzima edik blu, akpa ariring p'ẹbarakpa ch'ittemmọma ọmaana ariring p'ẹphọd, agbana ka mkpansin, ifha ẹbarakpa ch'ittemmọma eningi ẹ́wọkhi k'ẹphọd.
021c1d0109	“K'ogbe kpenamkpen kw'Aarọn ọ́nwa k'Ibe s'Awurada, óm-otzima che pa va p'Israẹl p'ijinọng m'ittemmọma sẹ, pa bẹ abẹ k'ẹbarakpa ch'ittemmọma ch'ochibhi kw'Ibinọkpaabyi ororor, mach'ojima kw'ochina ororo k'itzitzikha s'Ọvaar Ibinọkpaabyi.
021c1e0156	Biri bẹ ose kw'Urim ọmaana Tumim k'ẹbarakpa ch'ittemmọma, ifha bẹ am-afha awobha m'ittemmọma s'Aarọn, k'ogbe kpenamkpen kw'oyini Ọvaar Ibinọkpaabyi k'itzitzikha. Mẹ wọ, Aarọn óm-otzima ekpo mbya k'ittemmọma sẹ, obe k'ọphaangi kw'achibhi osisi, k'eho ch'anọng p'Israẹl, k'itzitzikha s'Ọvaar Ibinọkpaabyi.
021c1f0044	“Tzima ibara s'ide blu biphyir akhum ọnọhma-baba kw'ẹphọd,
021c200080	ahok ọmma k'ottem kw'ókhe eho. Bẹ abhọri ọmma nwa kw'eho ẹmma, mach'ẹnọhma-khokhora, ifha chẹ eningi ẹjaakhi.
021c2100e9	Tzima ndik sa nde blu, ọmaana sa ngor-ihiho, ọmaana sa ngor-izizi, ayok aduk pa pomegranet, agbana akkaningkka pa gol k'ottem kwabẹ. Tzima ndik nna abhọri ẹmma ch'inọhmakhuma nna, ttara akkaningkka pa gol k'ottem kwabẹ.
021c22006d	Akkaningkka mba pa gol, ọmaana apomegrenet awobha ayok k'ottem, akhọri ẹbaramma ch'ọnọhma-baba nwa.
021c2300f3	Aarọn ọkhaambi ọfọra chẹ k'ogbe kw'ọsi ọtzọhm f'ọfọhnẹja. Bẹ ábhaanga amọng p'akkaningkka mba, k'ogbe kw'odim k'Ibe s'Awurada k'itzitzikha s'Ọvaar Ibinọkpaabyi, ọmaana k'ogbe kw'óyin k'iyaan, ifha oningi ópe.
021c24007a	“Tzima gol ọkkakka asi ẹchachaangkpa, akkẹr mẹ mach'ẹkhọhkha bi, AWURADA AWOBH ANANG ỌVAAR IBINỌKPAABYI.
021c25006f	Atzima edik blu akpẹ-ẹ amaana k'ibara s'eho ọdadabh; ch'éwobha k'itzitzikha s'ibara nna s'eho ọdadabh.
021c260130	Chẹ éwobha Aarọn k'itzitzikha-ttem, Aarọn ọ́tzọkha oponga-pyibha kw'owobh ka nnanga s'awurada s'anọng p'Israẹl atte ọbọhk anang-m, odem kpenamkpen kwa nnanga sabẹ nde. Mando kw'echina ororo ewobha Aarọn m'itzitzikha-ttem, ifha Ọvaar Ibinọkpaabyi ókhera ọtzọkha nnanga nna.
021c2700c9	“Tzima ndik nkkakka sa bẹ ayokh-oyok ayok ọnọhma-baba nwa, abira atzima ndik nkkakka sa bẹ ayokh-oyok ayok ibara nna s'eho ọdadabh. Tte odikpa kw'erin óde ọtzọhmbọhk f'odokh-ọbara.
021c280093	Biri khum ọnọhma-baba, ọmaana ẹbarakpadik, ttara abarakpa p'eho anang va p'Aarọn p'ijinọng, ifha bẹ akhaama ikpokpobha ttara abarada.
021c2900c3	Akk'agbaanakka Aarọn ọmaana va pẹ p'ijinọng nnya nna afọra, abyengi bẹ ana k'eho, abira anana bẹ ọbọhk k'eho. Si bẹ awur, ifha bẹ afha asi ọtzọhm f'afọhnẹja anang-m.
021c2a007c	“Tzima ndik sa bẹ ayokh-oyok akhum akpokhuma p'ẹtzaanga, p'afona k'erin apyiri ka ndaak, pa bẹ am-atzima abubha for.
021c2b014a	Aarọn ọmaana va pẹ p'ijinọng akhaambi, afọra pyẹ k'ogbe kpenamkpen kwa bẹ adim k'irukhabe, obiro ode bi bẹ areng achina k'ijafọhnibe bi, bẹ asi ọtzọhm k'Ibe s'Awurada, ifha bẹ aningi oponga-pyibha atzọk, abira ape. “Ma wọ ode ndọhna sa ńwobha nnang Aarọn, ọmaana va pa va pẹ, maa ogbe ode.
021d0100a7	“Ma wọ ode odik kw'ási, ifha asi bẹ awur, ifha bẹ afha asi ọtzọhm f'afọhnẹja. Tzọkha ọbhaamnwa-dim, ọmaana arukhimaan-dim afa p'ani ekhem atzim.
021d0200b7	Biri tzima abubuma akkakka pa wit, asi brẹd kwa bẹ ani yist akhe, ttara ekpo ẹkkaanga-pyẹ pya bẹ akhe ana, ttara brẹd kwa bẹ ani yist akhe, bẹ abira ayaang ana p'oliv.
021d03005a	Yikha pyẹ k'ikhiriba atzima akwu, ọmaana ẹbhaam nduma, ttara arukhimaan-dim mba afa.
021d040076	An-atzima Aarọn, ọmaana va pẹ p'ijinọng abira akwu k'ẹhọhmma ch'irukhabe nna, atzima asi agbobhi bẹ for.
021d050105	Tzọkha nnya nna afọra Aarọn, ọmaana ọnọhma-baba, ọmaana ọnọhma kw'okhum mbọhk kw'ẹphọd, ọmaana ẹphọd ọkhaam, ttara ẹbarakpa ch'ittemmọma. Akpẹ-ẹ mkpansin kwa bẹ atzim emengkka ayok, atzima abọkha ẹphọd nda m'erin.
021d060075	Dabh-ẹ ẹbarakpa ch'eho ọdadabh m'eho, abira afọr-ẹ ikpo s'awuruda amaana m'ẹbarakpa nda ch'eho ọdadabh.
021d070043	Atzọkha ana pa bẹ am-abyengi ọnọng k'eho, abyeng-ẹ k'eho.
021d08003c	Atzima va pẹ p'ijinọng akwu, afọra bẹ anọhma-baba,
021d0900ed	abira adabh bẹ abarakpa p'eho ọdadabh. Akpa Aarọn ọmaana va pẹ p'ijinọng ẹbarakpadik. Ndọhna nna s'ọfọhnẹja ńde sabẹ, maa ogbe ode. M'eden nda dọ ch'ánana Aarọn, ọmaana va pẹ p'ijinọng ọbọhk k'eho.
021d0a0074	“Tzima ọbhaamdim akwu k'itzitzikha s'irukhabe nna, Aarọn ọmaana va pẹ p'ijinọng ánan-ẹ mbọhk k'eho.
021d0b005e	Yẹk ọbhaamdim nwa ẹdọhngi m'itzitzikha s'Ọvaar Ibinọkpaabyi, m'ọmma kw'irukhabe.
021d0c009d	Tzima ẹnọhna chọ, agberi izi rani s'ọbhaamdim nwa, achọkhi k'abhik p'ijafọhnibe, abira atzọkha izi s'irikhi abyengi m'orin kw'ijafọhnibe nna.
021d0d0085	Atzọkha iyaak biphyir s'ibhọri abhọri, ọmaana s'ibubh anaang, ttara iyaak s'ibubh ndọdọri, akwọmi pyẹ m'ijafọhnibe.
021d0e00a6	Yina, tzima ekpon akwọmi ayara p'ọbhaamdim nwa, ọmaana ẹkpakpa chẹ, ttara afu k'iyaan-iyaan s'ibhingabe. Ma wọ ode ẹnanga ch'ẹkhọngkwuri ogbogbobhi.
021d0f0074	“Kọ tzọkha erukhimaan-dim dani ma mbuma afa, Aarọn, ọmaana va pẹ p'ijinọng ánana chẹ mbọhk k'eho.
021d10006c	Yẹk erukhimaan-dim nda ẹdọhngi, atzọkha izi sẹ apyakhi k'akhaan-akhaan biphyir p'ijafọhnibe nna.
021d110087	Jọhkhi erukhimaan-dim nda k'abir-ibiri, abira agbobhi abhọri pẹ, ọmaana mmo, atzọkha eho attara, ọmaana abiri-biri mbonggo.
021d1200e0	An-akwọmi erukhimaan-dim nda biphyir m'ijafọhnibe nna. Ma wọ ode ẹnanga ẹkwọmichẹ anang Ọvaar Ibinọkpaabyi, ch'ẹdaami eruk, ebere ede ẹnanga cha bẹ areng k'ekpon akwọmi anang Ọvaar Ibinọkpaabyi.
021d130068	“Kọ tzọkha erukhimaan-dim ndongo, Aarọn ọmaana va pẹ p'ijinọng ánana chẹ mbọhk k'eho.
021d140112	Yẹk chẹ ẹdọhngi, atzọkha izi rani sẹ abọra k'atzọhngkpa p'odimbọhk kw'Aarọn, ọmaana pa va pẹ p'ijinọng, ọmaana ka nnọhnadim s'adimbọhk pabẹ, ọmaana ka nnọhnadim s'adimmo pabẹ. An-apyakhi izi k'akhaan-akhaan biphyir p'ijafọhnibe nna.
021d150123	Biri tzọkha izi rani k'ijafọhnibe, attara k'ana pa bẹ am-abyengi ọnọng k'eho apyakhi Aarọn, ọmaana ka nnya sẹ, abira apyakhi va pẹ p'ijinọng, ọmaana ka nnya sabẹ. Mẹ wọ, kẹ ọmaana va pẹ p'ijinọng, ọmaana nnya sabẹ án-ade anọng pa bẹ akk'asa awur.
021d1600e7	“Kọ tzọkha iyaak s'erukhimaan-dim nda, ọmaana iyaak s'ẹsara, ọmaana iyaak s'ibubh abhọri, ọmaana s'ibubh anaang, ọmaana iyaak sa ndọdọri, ttara ọtzaak kw'odimmo. Ma wọ ode erukhimaan-dim ch'ẹbọhk-nana.
021d1700c5	M'ikhiriba nna sa brẹd kwa bẹ ani yist akhe, s'iwobh m'itzitzikha s'Ọvaar Ibinọkpaabyi, kọ tzọkha brẹd wani, wani kw'ọdọhni-ọdọhni kwa bẹ akhe ana, ttara wani kw'oyor-oyori.
021d1800a3	Kọ tzọkha pyẹ biphyir akhe Aarọn, ọmaana va pẹ p'ijinọng ka mbọhk, awokhi pyẹ mach'ẹnanga ch'ẹbar-odik k'itzitzikha s'Ọvaar Ibinọkpaabyi.
021d1900ce	An-atzọkha pyẹ ka mbọhk sabẹ, akwọmi k'ijafọhnibe, ttara ẹnanga ẹkwọmichẹ, ch'ẹdaami Ọvaar Ibinọkpaabyi eruk, ẹnanga cha bẹ areng k'ekpon akwọmi anang Ọvaar Ibinọkpaabyi.
021d1a00a9	K'ogbe kw'akk'ẹba ch'erukhumaan-dim nda atzima asi ẹbọhk-nana ch'Aarọn, mach'ẹnanga ch'ẹbar-odik k'itzitzikha s'Ọvaar Ibinọkpaabyi, ch'éde ekkema chọ.
021d1b00b1	“Kọ tzọkha nden nna s'erukhimaan-dim ch'ẹbọhk-nana, s'Aarọn ọmaana va pẹ p'ijinọng, aba p'ira bẹ awokhi, ọmaana ọtzaak kw'ira bẹ anangi, asi sẹ nwur.
021d1c00e3	Ma wọ ode ekkema cha anọng p'Israẹl am-anang Aarọn ọmaana va pẹ p'ijinọng k'ogbe kpenamkpen. Ma wọ ode ọtzabha kw'anọng p'Israẹl am-asi anang Ọvaar Ibinọkpaabyi, kw'ofona k'ẹnanga chabẹ ch'odidiri.
021d1d0088	“Nnya s'awurada s'Aarọn ngaam va pa va pẹ, ifha bẹ afha abyengi bẹ ana k'eho, ọmaana bi bẹ abira anana bẹ mbọhk k'eho.
021d1e00a2	Nnwa kw'ijinọng kw'ọtzọk ewobha ch'otte mach'ọfọhnẹja, okwu bi okwu osi ọtzọhm k'irukhabe k'Ibe s'Awurada, ọm-ọfọra nnya nna k'iwu izenamfa.
021d1f0051	“Kọ tzọkha erukhimaan-dim ch'ẹbọhk-nana, awọhn chẹ m'ibe s'awurada.
021d200094	M'ẹhọhmma ch'irukhabe, Aarọn ọmaana va pẹ p'ijinọng awobha mẹ achi nden s'erukhimaan-dim nda, ọmaana brẹd kw'owobh m'ikhiriba nna.
021d2100b8	Bẹ áchi nnanga nna s'egbobhi ch'ephyokhi, cha bẹ asi k'ẹbọhk-nana chabẹ, ọmaana owuwur kwabẹ. Yina, ọnọng ọdọdọk oningi pyẹ ochi, okhuri bi, pyẹ ewur-owur.
021d22008f	Kpenamkpen f'ohobh ewu, ode etzen, obiro ode brẹd, bọng kwọmi chẹ k'ekpon, ọnọng kọ̀khaambi ochi fẹ, okhuri bi, fẹ owur-owur.
021d230082	“Si odik kpenamkpen kwa nkk'ndọhna anang Aarọn ọmaana va pẹ p'ijinọng, atzima iwu izenamfa anana bẹ ọbọhk k'eho.
021d2400be	Ewu kpenamkpen tzima ọbhaamdim asi ẹjafọhni, ch'ede mach'ẹnanga ch'ẹkhọngkwuri ogbogbobhi. Gbobhi ephyok atzima asi ijafọhnibe iwur, abira abyengi sẹ ana, ifha asi sẹ iwur.
021d2500b1	Tzima iwu izenamfa agbobhi ephyok ch'ijafọhnibe, abira asi sẹ iwur. Mẹ wọ, ijafọhnibe nna in-ide ibe s'awurada, ọttọhk kpenamkpen f'ọttọhmi sẹ ón-owur-owur.
021d260065	“Ma wọ ode ẹnanga ch'am-anang k'ijafọhnibe k'ewu kpenamkpen, arukhimaanva afa p'ade cho wani.
021d270035	Nang wani k'ekpebha, abira anang wani k'ẹchọhkha.
021d2800c3	K'ocheden-rukhimaan-nwa, yoma ogbobhimbọhk wani k'agbobhimbọhk jobh p'abubuma pa wit, attara ẹna-gbomma dani ch'ana p'olive, ọmaana etzuk-gbomma dani atzima mach'ẹnanga ch'etzuk-byengi.
021d2900e8	Kọ tzima orukhimaan-nwa nwonggo asi ẹjafọhni k'ẹchọhkha, ttara ẹnanga ch'abọkpa, ọmaana ẹnanga ch'etzuk-byengi mach'ira asi k'ekpebha, ch'ẹdaami eruk, cha bẹ areng k'ekpon akwọmi anang Ọvaar Ibinọkpaabyi.
021d2a00ce	“Igbọ s'ikwu k'ororo im-isi ẹnanga ẹkwọmichẹ nda k'ogbe kpenamkpen, k'ẹhọhmma ch'irukhabe, k'itzitzikha s'Ọvaar Ibinọkpaabyi. Mẹ wọ kwa kaam ńgebh-ọ, mbiri mgbaak atzim nnang-ọ;
021d2b005a	mẹ wọ kwa kaam mbiri ńgebha anọng p'Israẹl, ńdima abarada paam nsi ibe nna iwur.
021d2c00a3	“Mẹ wọ, kaam ńsi irukhabe nna ọmaana ijafọhnibe nna iwur, mbiri ńsi Aarọn ọmaana va pẹ p'ijinọng awur, ifha bẹ asi ọtzọhm f'afọhnẹja.
021d2d0058	Mẹ wọ, kaam ńwobha k'ottem kw'anọng p'Israẹl, mbiri nde Ibinọkpaabyi kwabẹ.
021d2e00cc	Bẹ áronga bi, kaam wọ nde Ọvaar Ibinọkpaabyi, kw'ode Ibinọkpaabyi kwabẹ, kw'otzim bẹ obina k'Ijip, ifha nnuk ttara bẹ. Kaam wọ nde Ọvaar Ibinọkpaabyi, kw'ode Ibinọkpaabyi kwabẹ.
021e010052	“Bọng dima mgbaakha s'akasiya asi ijafọhnibe sa bọng am-akwọmi insẹns.
021e0200c0	Si sẹ ikhaama akhubha anna. Adum pẹ ọmaana ẹkpa chẹ áde ebenga-mbọhk kw'ode ẹtzọkhi ọmaana igbokha, ebe chẹ éde ndọkhi nttaan, abhik pẹ afona m'ẹgbaakha nduma dani.
021e03008f	Tzima gol ọkkakka abubha ebir-ebir kwẹ, ọmaana akhaan-akhaan pẹ biphyir, ttara abhik. Abira atzima gol abhọri ammakpabem pẹ akhori.
021e0400c1	Tzima gol asi ariring afa, akhe bẹ akkeri ayok itzitzikha m'ijafọhnibe nna, k'irekh-irek kw'ammakpabem mba pa gol, ifha bẹ abọkha mkpọmmachi sa bẹ am-atzima atzini ijafọhnibe nna.
021e050044	Tzima mgbaakha s'akasiya asi mkpọmmachi, atzima gol abhọri sẹ.
021e0600d1	Hok ijafọhnibe nna k'itzitzikha s'ekpekhe ch'ewobh k'itzitzikha s'Ẹkkọhbhi ch'Echekhi, k'itzitzikha s'ẹkkọhbhikpa ch'ephyokhi ch'ewobh k'ebir-ebir kw'Ẹkkọhbhi ch'Echekhi, kẹ da kaam ńgebh-ọ.
021e07008e	“K'ekpebha kpenamkpen, Aarọn ọkhaambi ọkwọmi insẹns kw'ọdaami eruk m'ijafọhnibe nna, k'ogbe kw'ọm-ọtza okkeri attwikkaang.
021e0800cc	Kẹ ọkhaambi obiro ọkwọmi insẹns, mada oyeni attwikkaang k'ẹchọhkha, mẹ wọ, insẹns ákwọmi k'ogbe kpenamkpen k'itzitzikha s'Ọvaar Ibinọkpaabyi, maa apyiri k'igbọ s'ikwu k'ororo.
021e0900bc	Bọng insẹns adọdọk kàtzima akwu m'ijafọhnibe nna, ode ẹnanga ẹkwọmichẹ kpenamkpen, obiro ode ẹnanga ch'abọkpa o, ode etzuk-byengi o, bọng m'ijafọhnibe nna kàsi.
021e0a0137	Aarọn om-osi ẹjafọhni nda ch'ephyokhi ogbe wani ka cho, k'abhik p'ijafọhnibẹ nna. Kẹ ọkhaambi otzima izi s'etzen osi ẹjafọhni nda ch'ephyokhi cha cho, ch'éde ẹnanga ch'ẹkhọngkwuri ogbogbobhi, ch'igbọ s'ikwu k'ororo. Ẹjafọhni nda ede ch'ewur-owur ẹnang Ọvaar Ibinọkpaabyi.”
021e0b0032	Mẹ wọ, Ọvaar Ibinọkpaabyi oben Mosẹs bi,
021e0c00ea	“Mada atzọkha obhik kw'anọng p'Israẹl, ọnọng kpenamkpen ọkhaambi osi ẹtzabha ch'ebhekha ch'akpen pẹ ọnang Ọvaar Ibinọkpaabyi, mada bẹ abhikh-ẹ. Mẹ wọ, itzama s'ítto ikhebha bẹ kíde, mada abhik bẹ.
021e0d00df	Ọnọng kpenamkpen kwa bẹ akk'abhikha, ọnang ishẹkẹl-bhakha otzor ka shẹkẹl kw'ọhọhm kw'awurada, kw'ọdọhbhi opyiri agẹra ẹrọbh. Ishẹkẹl-bhakha nna ide ẹnanga ẹnang Ọvaar Ibinọkpaabyi.
021e0e006d	Anọng biphyir pa bẹ akk'abhikha p'ade cho ẹrọbh obhir-obhiri, ánang Ọvaar Ibinọkpaabyi ẹnanga.
021e0f00c2	Mada bọng ási ẹnanga ch'ephyokhi anang Ọvaar Ibinọkpaabyi, tte akkọkkaa aningi anangi ayongi ishẹkẹl-bhakha, agbogbora aningi abira anang f'ọkhar ọyọhnga ishẹkẹl-bhakha.
021e10011f	Kọ tzọkha ọtzabha kw'ẹjafọhni ch'ephyokhi k'anọng p'Israẹl, atzima asi ọtzọhm f'irukhabe s'Ọvaar Ibinọkpaabyi. Odik nwa ode ojima ọnang anọng p'Israẹl k'itzitzikha s'Ọvaar Ibinọkpaabyi, obiro óde ẹjafọhni ch'ephyokhi ọnang for sabọng ọkhaam.”
021e110032	Mẹ wọ, Ọvaar Ibinọkpaabyi oben Mosẹs bi,
021e1200b3	“Tzima brons asi ọkwakkama kwa mbọhk ttara mmo ogbogbobhi, abira atzima brons asi ẹnana chẹ. Kẹ asi m'ọkwakkama nwa, aber-ẹ k'ottem kw'irukhabe ttara ijafọhnibe.
021e13006b	Tte Aarọn ọmaana va pẹ p'ijinọng agbobhi mbọhk, ọmaana mmo sabẹ, ttara asi p'ọkwakkama nwa.
021e1400f7	K'ogbe kpenamkpen kwa bẹ adim m'irukhabe nna, bẹ ágbobhi mbọhk ọmaana mmo, ifha bẹ aningi ápe. Bẹ abira asi mando k'ogbe kwa bẹ arenga afora ijafọhnibe nna bi, bẹ atza asi ẹnanga ch'ọchattọhk anang Ọvaar Ibinọkpaabyi.
021e1500c4	Bẹ ágbobhi mbọhk, ọmaana mmo sabẹ, ifha bẹ aningi ápe. Ọphaangi nwa owobha ọnang Aarọn, ọmaana va pẹ p'ijinọng, ttara va pa va pẹ, maa apyiri k'igbọ s'íkwu k'ororo.”
021e160032	Mẹ wọ, Ọvaar Ibinọkpaabyi oben Mosẹs bi,
021e17011d	“Tzọkha adem mba p'ekpo ọkkakka py'em-esi ọttọhk ọdaam eruk: mach'ashẹkẹl ẹnọhna obhiri arọbh azen pa myrrh kw'ode asi-asi, ọmaana ashẹkẹl arọbh jobh obhiri afa obhiri jobh pa sinamọn, ọmaana ashẹkẹl arọbh jobh obhiri afa obhiri jobh pa kalamus,
021e180097	ọmaana ashẹkẹl ẹnọhna obhiri arọbh azen pa kasiya. Bẹ biphyir atzor k'ẹnanga ch'ọhọhm kw'awurada, ttara ẹna-gbomma ch'ana p'oliv.
021e1900a6	Kọ tzima pyẹ asi ana p'ẹbọhk-nana ch'awurada, p'adaami eruk, ọtzọhmbọhk f'osi-ekpo py'ẹm-ẹdaam eruk, osi. Bẹ áde ana p'ẹbọhk-nana ch'awurada.
021e1a0046	Mẹ wọ, byengi bẹ k'irukhabe, ọmaana k'Ẹkkọhbhi ch'Echekhi,
021e1b0085	ọmaana k'okpokkoro ttara ekpo py'ẹnan mẹ biphyir, ettwikkaang-chi ttara ekpo pyẹ biphyir, ọmaana k'ijafọhnibe s'insẹns,
021e1c0074	ọmaana ijafọhnibe s'ẹnanga ẹkwọmichẹ ttara ekpo pyẹ biphyir, ọmaana ọkwakkama ttara ẹnana chẹ.
021e1d006f	Kọ ási pyẹ ewur, ifha pyẹ en-edo ewur-owur, ọttọhk kpenamkpen f'ọtọhmi pyẹ, fẹ on-owur-owur.
021e1e0063	“Kọ si Aarọn ọmaana va pẹ p'ijinọng awur, ifha bẹ afha asi ọtzọhm f'afọhnẹja.
021e1f0076	Gbaak anọng p'Israẹl bi, ‘Ana mba ade ana paam p'ẹbọhk-nana ch'awurada, maa apyiri k'igbọ s'íkwu k'ororo.
021e2000b0	Ọnọng ana mba ka for kàbyengi, ana adọdọk kabira asi m'eden nda ch'asi mba, okhuri bi, ana mba ade ana p'awurada, bọng abira atzọkha bẹ bi, be ade ana p'awurada.
021e2100bf	Ọnọng kpenamkpen kw'on-osi ana p'adaami eruk macha mba, ode bi, ọnọng on-obiro obyengi ọnọng ọdọdọk ana mba kw'oyongi ọfọhnẹja, bẹ akhaambi akhubh-ẹ k'obhon.’”
021e2200b7	Mẹ wọ, Ọvaar Ibinọkpaabyi oben Mosẹs bi, “Tzọkha ekpo py'em-esi ekpo ẹdaam eruk macha resin, onicha, ọmaana galbanum, ttara insẹns ọkkakka, ayoma pyẹ mbengana,
021e230098	abhuna pyẹ atzima asi insẹns, ode ọtzọhmbọhk f'osi-ekpo py'ẹdaami eruk. Insẹns nwa ode abubuma, ode ọkkakka kwẹ, obiro ode kw'awurada.
021e2400ab	Tzọkha byani akhok k'abubuma, atzọkha abera k'itzitzikha s'Ẹkkọhbhi ch'Echekhi, k'irukhabe, kẹ da kaam ńgebh-ọ. Sẹ íde ibe s'in-ido iwur-owur inang bọng.
021e250084	Kọ insẹns ọdọdọk manda wani m'eden nda kàsi anang for sọ. Kọ re bẹ mach'ana p'awurada anang Ọvaar Ibinọkpaabyi.
021e260076	Ọnọng manda wani kw'osi ana p'akheri mba, ifha ọbhaanga eruk-daamada chẹ, bẹ akhaambi akhubh-ẹ k'obhon.”
021f01002b	Iwa Ọvaar Ibinọkpaabyi oben Mosẹs bi,
