010000000b	Murhondêro
0504180058	bulya Nyamubâho, Nyamuzinda wâwe abà muliro ntakanjirwa, anabà Nyamuzinda wa luhali.
05041900d8	Amango mwabà mwamaburha abâna munakola mugwêrhe abinjikulu, amango mwabà mukola muli nsiku mw’eco cihugo, erhi mwakakola amaligo mukajira enshusho mbinje, kwo kukola ebigayisize Nyamubâho n’okumujira burhè,
05041a00d9	lêro igulu n’amalunga go gâmpumira omu kasheba gamuyagîrize olwo lusiku: murharhamihungumuke muli eco cihugo mwajiyanka mpu cibè cinyu obu mwayikira Yordani. Murhashingemo nsiku inga, kuhungumuka mwanahungumuka.
05041b0088	Nyamubâho àmushandabanya omu mashanja n’abâsigala muli mwe barhabè banga. Omu karhî k’amashanja emunda Nyamubâho amulukîriza.
05041c00a6	Mukolaga mugendikolerayo banyamuzinda bàjiragwa n’enfune z’omuntu, àbabinjagwa omu murhi erhi omu ibuye, oku barhabona barhanayumva kwo barhalya barhanabayirwa.
05041d008f	Wabà oli eyo munda onalongereze Nyamubâho Nyamuzinda wâwe, wanamubona erhi wakamulonza n’omurhima gwâwe gwoshi n’omûkâ gwâwe gwoshi.
05041e008a	Omu maganya gâwe, ebi binwa byakuhikakwo, cikwône omu nsiku nzinda washubîrira Nyamubâho, Nyamuzinda wâwe, onayumvîrhize izù lyâge
05041f009a	bulya Nyamubâho Nyamuzinda wâwe abâ Nyamuzinda wa lukogo, arhakulekêrere arhanakushâbe; arhayibagire omulagi alaganyagya basho anaguhirakwo endahiro.
05042000c5	Orhangidôsa ensiku za mîra, ezakushokoleraga kurhenga olusiku Nyamuzinda alemaga omuntu hano igulu: kurhengera kuli cikwi ciguma emalunga kuhika oku cindi, ka hakola habîre akanwa kali nk’aka?
0504210082	Ka hali olubaga lukola luyumvîrhe izù lya Nyamuzinda ozîne lyaderhera omu karhî k’omuliro nk’oku wayumvagya lwanabulilama?
0504220126	Ka hali owundi nyamuzinda okola ôyishire alilonza ishanja omu karhî k’erindi ajira eby’okurhangula, ebimanyîso, ebisômerîne anatula entambala n’enfune nzihun’okuboko kula­mbûle ajira eby’okuyôbohya nka kulya Nyamubâho Nyamuzinda winyu àmujiriraga e Mîsiri, erhi mwanasinza?
0504230077	We wahirwe okubona ebyo byoshi kuderha mpu omanye oku Nyamubâho ye Nyamuzinda w’okuli na ntà wundi aha nyuma zâge.
05042400ae	Kurhengera emalunga, akuyumvîsa izù lyâge mpu akuyigîrize, na kunôla igulu akuyêreka omuliro gwâge munene wanayumva ebinwa byâge kurhengera omu kâgarhî k’omuliro.
050425009f	Kubà ali azigîre basho, n’okubà acîshozire iburha lyâbo enyuma zâbo, kwarhumire akurhenza e Mîsiri anakuyêrekana okubâho kwâge n’obuhashe bwâge.
05042600a5	Amashanja manene na mazibu kukulusha, agalibirhakwo omu masù gâwe, mpu lyo akuhisa omu cihugo câbo, anakuhè co mpu ociyîmemwo nk’oku binaciyôsire kuhika ene.
0504270091	Okwaninage omanye ene onakazikurhimanya omu murhima gwâwe: Nyamubâho, ye Nyamuzinda oku nkuba enyanya na hano nshi oku igulu, yêne ntà wundi.
05042800bd	Olange amarhegeko gâge n’engeso zâge nkurhegesire ene, nti lyo obêrwa woyo na bagala bâwe, lyo munalamira omu cihugo Nyamubâho Nyamuzinda wâwe akuhîre mpu cibè câwe ensiku zoshi.
050429005d	Oku bundi Mûsa acîshoga mirhundu isharhu ishiriza lya Yordani, e bushoshôkero bw’izûba.
05042a00e0	Eyo mirhundu yo omwîsi wamâyîrha akayâkiremwo, òwamayîrha mwene wâbo buzira bulonza bubî, amuyîrhe arhanali mugwerhekwo nshombo ndebe: ago mango, erhi akayâkira muli murhundu muguma mw’eyo, anaciza ogwâge mûka.
05042b006c	Eyo mirhundu yeyi: kuli Bene-Rubeni, Beseri, omu irungu, omu irango kuli Bene-Menashè, Golani, omu Bashani.
05042c002b	Lwo lushika Mûsa ahàga bene Israheli olu,
05042d005d	Gagâla amahugûlo, amarhegeko n’engeso Mûsa ahàga Bene Israheli erhi barhenga e Mîsiri,
05042e00cf	ishiriza lya Yordani, omu lubanda luli hôfi na Beti-Peori; omu cihugo ca Sihoni, mwâmi muamoriti, akarhwabwâmi kâge erhi kali e Heshiboni: Mûsa na Bene Israheli bâli bamuhimire erhi barhenga e Mîsiri.
05042f009d	Banali bayansire ecihugo câge, n’ecihugo ca Ogu, mwâmi w’e Bashani, bombi bali bâmi bamoriti babaga ishiriza lya Yordani, e bushoshôkero bw’izûba,
050430007a	kurhengera kuli Aroweri oli oku lubibi luli enyanya z’omugezi gwa Arnoni, kuhika oku ntondo ya Sioni yerigi Hermoni oyo,
0504310039	na kuli Araba yoshi, ishiriza lya Yordani ebushoshôkero.
0505010093	Mûsa ahamagala Israheli yêshi, ababwîra erhi: Yumva Israheli amarhegeko n’engeso nakubwirira omu kurhwiri; mugayîge mugalange lyo mugashimba.
0505020053	Nyamubâho, Nyamuzinda wîrhu àfundisire endagâno yâge haguma nîrhu oku Horebu.
050503007d	Arhali bo na balarha Nyamubâho afundikaga eyo ndagâno, ci haguma nîrhu rhwe rhucizîne, oku rhunali aha olw’ene rhweshi.
050504004a	Nyamubâho amushambâza masù omu masù oku ntondo omu karhî k’omuliro.
05050500b1	Nâni ago mango erhi nyimanzire aha karhî ka Nyamubâho na ninyu, nti mmumanyîse ebinwa byâge, mwâli muyôbohire omuliro kwarhuma murhasôkera oku ntondo. Aderha obwo, erhi:
0505060066	«Nie Nyamubâho, Nyamuzinda wâwe, nie nakurhenzagya omu cihugo c’e Mîsiri, omu nyumpa wali mujà.
0505070035	“Orhâbè n’abandi ba nyamuzinda aha nyuma zâni.
050508009b	Orhahîraga okajira ehy’obûko nshusho mbinje, nshusho y’ebiri emalunga enyanya, ey’ebiri idako hano nshi, erhi ebiri omu mîshi idako ly’igulu”.
05050900ef	“Orhahîraga okaharâmya ezo nshusho erhi okuzikolera. Bulya niono Nyamubâho Nyamuzinda wâwe mbà Nyamuzinda wa mitula. Obubî bw’ababusi nnambuhanire abâna bâbo, n’abinjikulu n’abinjikulûza bâbo, nka bali bantu banshomba”.
05050a006d	“Cikwône nnambabalire bantu bihumbi n’ebihumbi nka bali bantu bansîma banashimba amarhegeko gâni”».
05050b0080	«Orhalahire izîno lya Nyamubâho, Nyamuzinda wâwe ebirà, bulya Nyamubâho arhakaleka buhana owalahira izîno lyâge ebîrà.
05050c005a	“Olusiku lwa Sabato okazilukuza nk’oku Nyamubâho, Nyamuzinda wâwe anakurhegekaga”.
05050d0043	“Wakazikola miregerege ndarhu onajire obushanja bwâwe bwoshi”.
05050e018e	“Ci olusiku lwa kali nda, luli lusiku lwa Sabato, lusiku lwa Nyamubâho, Nyamuzinda wâwe: ntà mukolo wajira olwo lusiku, ôli we, ôli mugala wâwe, ôli mwâli wâwe, ôli mwambali wâwe, ôli mwambali-kazi wâwe, ôli enkafu yâwe, ôli endogomi yâwe, erhi cintu câwe cirebe, ciru n’ecigolo cihânzire aha mwâwe, na ntyo mwambali na mwambali kazi wâwe nabo banarhamûka akâwe wêne”.
05050f00e7	“Okazikengera oku wali mujà omu cihugo c’e Mîsiri, na Nyamubâho, Nyamuzinda wâwe akurhenzayo n’okuboko kuzibuzibu, kuboko kulambûle, kwo kwarhumire Nyamubâho, Nyamuzinda wâwe akurhegeka mpu okazikenga olwa Sabato”».
05051000ad	«Okazikenga sho na nyoko nka kulya Nyamubâho Nyamuzinda wâwe akurhegekaga, ly’olama nsiku nyinji onabone omugisho mwa cirya cihugo Nyamubâho Nyamuzinda wâwe akuhà».
0505110016	«Orhahîra okaniga».
0505120017	«Orhahîra okahusha».
0505130017	«Orhahîra okazimba».
0505140029	«Orhahîra okabêshera omulungu wâwe».
05051500ed	«Orhahîra okacifinja mukà mulungu wâwe. Orhahîra okacîfinja enyumpa ya mulungu wâwe, nîsi erhi ishwa lyâge, erhi mwambali wâge erhi omwambalikazi, nîsi erhi nkâfu yâge, erhi ndogomi yâge erhi kandi kantu ka mulungu wâwe».
05051600df	Byo binwa Nyamubâho abwîraga endêko yinyu yoshi oku ntondo ebyo, abiderha n’izù linene, omu karhî k’omuliro, omu citù n’omwizimya: orhanayûshulagakwo bici; abiyandika kuli nnambi ibirhi za mabuye anazimpêreza.
05051700c5	«Erhi nyumva izù lyarhenga omwôla karhî k’omwizimya, oku n’entondo yoshi yagulumira muliro, mwoyo mweshi oku munali barhambo b’emilala, haguma n’abagula binyu, mwanaciyisha emunda nali,
05051800e6	“mwambwìra, mpu: Nyamubâho, Nyamuzinda wîrhu amarhuyêreka irenge n’obukulu bwâge, rhwamâyumva izù lyâge omu karhî k’omuliro; mpu nêci ene rhwamaja rhwabona oku Nyamubâho anaderhêza omuntu n’omuntu agalilama”.
05051900ba	“Cikwône lêro, cici cankarhumaga rhwafà? Câbà nêci oyu nyandumà w’omuliro anarhusingônola, n’erhi rhwankashubikayumva izù lya Nyamubâho, Nyamuzinda wîrhu, rhwanahera”.
05051a0082	“Ka hali ojira omubiri okola oyumvîrhe akîrhu izù lya Nyamuzinda ozîne lyaderhera omu karhî k’omuliro akanabulilama?”»
05051b00af	Woyo, ojeyo oyumve ngasi oku Nyamubâho, Nyamuzinda wîrhu akaderha, obuliyisha orhubwîre ngasi oku Nyamubâho, Nyamuzinda wîrhu akubwîzire; rhwayumvîrhizakwo rhunakujire.
05051c0080	Nyamubâho ayumva oku mudesire anambwîra, erhi: «Nayumvîrhe ebinwa by’olu lubaga». Oku bakubwîzire kwoshi kunali kwinjà.
05051d0098	Omurhima gwâbo gurhankarhangiyôrha guli ntyôla: gukazinkenga gunashimbe amarhegeko gâni lyo babona amasîma garhahwa, bône haguma n’abâna bâbo.
05051e0038	Ogende obabwîre, erhi: «Mushubire omu bihando binyu».
05051f0078	Cikwône wêhe, obêre ahâla hôfi nâni, nakubwîra amarhegeko goshi, olushika n’engeso wabayigîriza nabo bazikole.
0505200071	Mulangage munakulikire nk’oku Nyamubâho, Nyamuzinda winyu ànamurhegekaga. Murhahabukire ekulyo erhi ekulembe.
050521008d	Mushongêze enjira Nyamubâho, Nyamuzinda winyu anamuyêrekaga lyo mubona akalamo; mwabona omugisho n’akalamo mw’eci cihugo mwâjirhôla.
05060100a1	Eyôla yo mihigo n’amarhegeko n’engeso Nyamubâho Nyamuzinda winyu antegekaga mpu mmumanyîse, mpu mukazigashimba hano mubà mwahisire omu cihugo mwajiyanka.
050602010e	Ntyôla, erhi wakakazirhînya Nyamubâho, Nyamuzinda wâwe, ensiku z’akalamo kâwe zoshi, erhi wakanashimba amarhegeko gâge goshi, n’ebinwa byâge nk’oku nkurhegesire ene, wanalama akalamo kalîrî, w’oyo na mugala wâwe n’omwâna wâwe n’omwinjikulu wâwe.
05060300d4	Israheli, orhakarhangiyumva, okulanga n’okushimba ago marhegeko ly’obona omugisho onayôloloke nka kulya anaderhaga Nyamubâho, Nyamuzinda wa basho, hano ojà muli cirya cihugo cihululamwo amarhà n’obûci.
0506040044	Yumva wâni Israheli: Nyamubâho Nyamuzinda wîrhu yêne Nyamubâho.
0506050072	Ozigire Nyamubâho, Nyamuzinda wâwe n’omurhima gwâwe gwoshi, n’omûka gwâwe gwoshi, n’emisî yâwe yoshi.
050606003a	Ebyôla binwa nkurhegesire ene bisêre omu murhima gwâwe.
050607009a	Obibwîrize bagala bâwe, obaganîrirebyo nk’otamîre omu mwâwe erhi amango odwîrhe walambagira omu njira, amango ogwîshîre erhi amango oyîmanzire;
0506080050	obishwêkere oku nfune zâwe nka kakengêzo n’oku malanga gâwe nk’ishembwa.
0506090031	Obiyandike oku mitungo y’enyumpa n’oku lumvi.
05060a00bb	Amango Nyamubâho Nyamuzinda abà amakuhisa muli cirya cihugo alaganyagya basho, Abrahamu, Izaki na Yakôbo mpu abahà, mw’erya mirhundu minene eyera bwenêne arhanali aha yayûbakagwa,
05060b00d7	omu nyumpa ziyunjwîre binjà bya ngasi lubero, arhanali we waziyunjuzagyabyo, hôfi n’amaliba orhali aha gahumbagwa, hôfi n’emizâbîbu n’emizêti orhali aha karhwêragwa, amango wabà wamalya wamanayigurha,
05060c0061	orhahîra okayibagira Nyamubâho wakukûlaga omu cihugo c’e Mîsiri, omu nyumpa wàlimwo mujà.
05060d0052	Orhînye Nyamubâho, Nyamuzinda wâwe, okazimukolera onakazicigasha izîno lyâge.
05060e0053	Orhahîra okashimba abandi banyamuzinda, omu banyamuzinda b’amashanja gakugosire,
05060f00ae	bulyâla abà Nyamuzinda wa luhali Nyamubâho Nyamuzinda wâwe ôbà omu karhî kâwe. Omanye oburhè bwâge bwakanakuzukira atulumukirwe obone bwamakuherêrekeza hano igulu.
050610004e	Orhahîra okarhangula Nyamubâho, Nyamuzinda wâwe, nka kulya wajiraga e Masa.
050611005d	Oshimbe amarhegeko ga Nyamubâho, Nyamuzinda wâwe, na birya binwa na galya mahano àkuhâga.
0506120098	Okazijira ebishingânîne n’ebiyinjihire omu masù ga Nyamubâho, lyo oyumva obusîme onayanke cirya cihugo cinjà-cinjà Nyamubâho alahiriraga basho
0506130050	mpu akabà arhahulusizi abashombanyi bâwe wanasinza! Ye wakuderhaga Nyamubâho.
0506140094	Amango mugala wâwe akakudôsa erhi: «Ebîra binwa, aga marhegeko n’ezîra ngeso Nyamubâho, Nyamuzinda wîrhu àmurhegekaga kwo kuderha kurhi»?
050615009d	Wanamubwîra erhi: «Rhwàli bajà ba Faraoni mwâmi w’e Mîsiri e Mîsiri, lêro Nyamubâho arhukula eyo munda e Mîsiri n’obuhashe bw’okuboko kwâge.
05061600a2	Nyamubâho ajirira omu masù gîrhu ebimanyîso n’ebirhangâzo binene by’okuyôbohya, akolera Mîsiri, Faraoni mwâmi w’e Mîsiri n’enyumpa yâge yoshi!»
0506170064	Rhwêhe arhurhenza cyo munda mpu arhuheke mwa cirya cihugo alaganyagya balarhà mpu àrhushobôzaco.
05061800be	Nyamubâho arhurhegesire mpu rhushimbe ago marhegeko goshi, lyo rhurhînya Nyamubâho, Nyamuzinda wîrhu, rhukaziyôrha rhuli n’obusîme rhunabone akalamo nk’oku binayôsire kuhik’ene.
05061900a0	«Obushinganyanya bwîrhu bw’obu: okulanga bwinjà n’okushimba aga marhegeko goshi, embere za Nyamubâho, Nyamuzinda wîrhu, nk’oku yêne arhurhegesire.»
05070100f9	Amango Nyamubâho, Nyamuzinda wâwe abà amakuhisa muli eci cihugo wagendiyanka, n’amango wâbà wamakungush amashanja manji: Abahititi, Abagirgashi, Abamoriti, Abanyakanani, Abaperizi, Abahiviti, n’Abayebuseni, mashanja nda na mazibu kululusha,
0507020089	Nyamubâho, Nyamuzinda akufumbikabo obahime onabakolere akalîbala. Orhaderhaga mpu wanywâna mwe nabo, nîsi erhi mpu wababêra obwonjo!
0507030093	Orhahîraga okakoma obumanina mweshi nabo: mwâli wâwe orhamugabiraga mugala w’ab’eyo; na mugala wâwe orhamusheberaga mwâli w’ab’eyôla.
05070400af	Bulya mugala wâwe banamurheba mpu arhanshimbaga; anakolera abandi banyamuzinda n’oburhè bwa Nyamubâho wânabona bwamakuzûkira atulumukirwe amuherêrekeze mwo kano kanya.
05070500e9	Cikwône, alaga oku mwabajirira: mujè mwashâba empêrero zâbo, mujè mwavunyungula amabuye g’okuhêrera bàgwikaga, mujè mwakundula emirhi bàgwikaga mpu bakarherekêreraho na zirya nshusho zâbo bàbinjaga onazidûlike muliro.
05070600b2	Bulyâla woyo, oli lubaga lwarherekîrwe Nyamubâho Nyamuzinda wâwe. We Nyamubâho Nyamuzinda wâwe àcîshozire mpu obè we lwâge lubaga omu mashanja goshi ganabà hano igulu.
0507070099	Nyamubâho àcishwêkîre kuli mwe anacimwîshoga: arhali mpu kulya kubà mwaluzire mwarhalûka agandi mashanja goshi, ciru mwe banyi omu mashanja goshi,
05070800f4	ci kurhonya Nyamubâho amurhonya, n’okulonza okusêza omulagi alaganyagya basho. Kwo kwarhumire Nyamubâho, Nyamuzinda wâwe akulîkûza n’okuboko kwâge kuzibu, akurhenza omu nyumpa y’obujà n’omu nfune za Faraoni mwâmi w’e Mîsiri.
05070900ef	Okolaga wamanya oku Nyamubâho, Nyamuzinda wâwe ye Nyamuzinda w’okuli, ye Nyamuzinda mutabêsha ye bîkirira endagâno yâge n’obuzigire bwâge kuhika oku iburha lya kali cihumbi abîkira abantu bamuzigira banashimba amarhegeko gâge.
05070a007e	Cikwône abamushomba, anabahane omu magala gâbo. Arhimang’iherêrekeza ngasi omushomba, bunali buhane bwâgo bwâgo amuhà.
05070b0050	Olangage ebinwa n’amarhegeko n’engeso zâni nkurhegesire ene, onazishimbage.
05070c009a	Mango wâbà wayumvîrhe aga marhegeko, okagalanga n’okugashimba, naye Nyamubâho Nyamuzinda wâwe àkubikira endagâno n’oburhonyi alaganyagya basho.
05070d010b	Akusîma anakugishe oyôloloke; agisha emburho y’omu nda yâwe n’emburho y’omu ishwa lyâwe, engano yâwe, idivayi lihyâhya lyâwe, amavurha gâwe, emyêzi enkafu zâwe zirimwo, n’abânabuzi b’ebibuzi byâwe, muli cirya cihugo alaganyagya basho mpu abahà.
05070e0075	Wabà mugishe kulusha agandi mashanja goshi, emwâwe erhakabà ngumba ya mulume erhi ya mukazi erhi omu bintu byâwe.
05070f00a7	Nyamubâho akucinga oku ngasi bulwâla, arhakurhumire ciru n’obuguma muli galya mahanya wabwîne arhumira ab’e Mîsiri, ci abakushomba boshi, bo anagahengulirakwo.
05071000c4	Okolaga wamalîra ago mashanja Nyamubâho, Nyamuzinda wâwe akuhebire omu nfune goshi. Isù lyâwe lirhabâga lya bwonjo kulibo, orhanakolera nyamuzinda bâbo: ogwo gwakanabà murhego bakurhezire.
050711006b	Okolaga waderha emurhima gwâwe erhi aga mashanja gamabà manji kundusha, kurhi nakahasha nagahulusa wâni?
0507120082	Orhabarhînyaga: okengêre kulya Nyamubâho, Nyamuzinda wâwe akoleraga Faraoni mwâmi w’e Mîsiri n’ecihugo ca Mîsiri coshi:
05071300e1	galya marhangulo manene amasù gâwe gaciboneraga, birya bimanyîso n’ebirhangâzo, kulya kuboko kulambûle Nyamubâho Nyamuzinda wâwe akuhulusagyamwo; ntyo kwo Nyamubâho, Nyamuzinda wâwe akolera ago mashanja oyôbohire.
0507140080	Kali ciru Nyamubâho, Nyamuzinda wâwe arhuma enyisimbo zimalîre abakaderha mpu bacînaniriza erhi mpu bacîfulika balekibonwa.
050715007b	Orhadirhimanaga embere zâbo, bulya Nyamubâho, Nyamuzinda wâwe ali ekarhî kâwe. Ye Nyamuzinda mukulu n’owokuyôbohwa.
05071600b0	Hinyi-hinyi Nyamubâho Nyamuzinda wâwe ajà ahungumula ago mashanja embere zâwe. Nâwe wêne orhakabagukumulira oku liguma, kuderha mpu eby’erubala byankanaluga bikulibuze.
0507170056	Nyamubâho, Nyamuzinda wâwe akufumbikabo boshi, abashakanya kuhika boshi bahungumuke.
050718009a	Akufumbika n’abâmi bâbo, oherêrekcze amazîno gâbo hanôla idako ly’amalunga harhajire owaderha mpu ahagaza embere zâwe, kuhika boshi obamalîre.
05071900ff	Enshusho bàbinjaga mpu banyamuzinda bâbo, mukazizikweba ecîko; orhayâgalagwa n’amasholo nîsi erhi n’amarhale baziyambisire; erhi wakaderha mpu wacîyankirago, wanagwa omu murhego; bulyâla ebyo byoshi, Nyamubâho, Nyamuzinda wâwe arhabikwirirwa.
05071a00a8	Orhahîraga okahêka ebyo byakobwa omu mwâwe, byakanarhuma wabà nyamakobwa akabyo. Okwânîne obilole nka by’eciguzi birya by’okushologosa bulya biri bihehêrere.
05080100a5	Aga marhegeko mmuhîre ene, mugalange bwinjà goshi, mugashimbe lyo mulama, muyôloloke munaje muli cirya cihugo Nyamubâho alaganyagya basho, muciyanke cibè cinyu.
05080200f6	Okazikengera zirya njira zoshi Nyamubâho, Nyamuzinda wâwe akugezagyamwo omu irungu myâka makumi anni, mpu lyo akujira mwîrhohye, akurhangule anamanye eciri omu ndubi y’omurhima gwâwe: mpu alole erhi walanga erhi orhalange amarhegeko gâge.
05080300d8	Akujizire mwîrhohye, akuyumvîsa ishali akuhà amanna walya n’obwo orhagayishi na basho barhagayishi; kulonza okukumanyîsa oku omuntu arhalama na mugati gwône, ci alama na ngasi hirhenga omu kanwa ka Nyamuzinda.
0508040064	Omwambalo wali oyambîrhe gurhakoyaga mw’eyo myâka makumi anni, n’okugulu kwâwe kurharhundaga.
0508050068	Oyumvagye obwo oku Nyamubâho, Nyamuzinda wâwe kwo akuhanûla kula omushamuka anahanûla omwâna wâge.
0508060061	Onalangage amarhegeko ga Nyamubâho, Nyamuzinda wâwe omu kushimba enjira zâge n’okumurhînya.
05080700ab	Bulya Nyamubâho akola akuhêka omu cihugo cinjà bwenêne, cihugo cilugamwo enshalalo n’enshôko, amîshi ganakazifuguka kurhenga ekuzimu omu rhubanda n’omu birhondo.
05080800a0	Cihugo ciyêramwo engano; engano y’obwânwa n’ey’omushûshu, omuzâbîbu n’omuzêti n’amakomamanga, cihugo ca mirhi ya mizêti, ca mavurha n’obûci,
0508090083	Mw’eco cihugo orhalye mugati mushundano, orhabulemwo kantu. Cihugo cirimwo amarhale cinali cihugo wahumbamwo amarhale oku ntondo.
05080a0061	Walya oyîgurhe onavuge Nyamubâho, Nyamuzinda wâwe omunkwa muli ecôla cihugo cinjà àkuhîre.
05080b008d	Orhahîraga okayibagira Nyamubâho, Nyamuzinda wâwe, omu kubula bwashimba ebinwa byâge, amarhegeko gâge n’engeso zâge nkurhegesire ene.
05080c0056	Amango wâbà wamalya wanayigurha, wamâyûbaka onakola odekerìre omu nyumpa nyinjà,
05080d00a7	n’amango wabona ebintu byâwe binyinyi n’ebinênènè byamayôloloka, onakola ogwêrhe nfaranga nyinji, masholo garhali manyi, n’ebirugu byâwe hyoshi byamaluga,
05080e009f	omanye omuhimbo gwakanakuja emurhima. Ago mango omanye wakayibagira Nyamubâho, Nyamuzinda wâwe wakurhenzagya omu cihugo c’e Mîsiri, omu nyumpa y’obujà.
05080f00ad	Ye wakugezagyamwo oyûla côbohwa na nakagali w’irungu, hantu ha nyôrha harhanabà mîshi, ha njoka n’amahiri, yêne ye wakurhengezagya amîshi omu ibuye lizibu-lizibu.
0508100095	Ye wakuyikulizagya omu irungu n’amâna, biryo basho barhayishi, kuderha mpu akujire mwîrhohye, mpu arhangikurhangula abulikujirira ebinja wâsima.
050811006f	Omanyage wakaderha omu murhima gwâwe erhi: misî yâni na buzibu bwa maboko gâni byampisagya kuli obu bugale.
05081200ac	Okazikengêra Nyamubâho, Nyamuzinda wâwe: ye wakuhâga emisî erhuma wabona obwo bugale bwoshi; kwo àkenzire ntyo erya ndagâno àlaganyagya basho, kw’okûla biri ene.
05081300a6	Amango wanayibagîre Nyamubâho, Nyamuzinda wâwe, okashimba abandi banyamuzinda b’obwîhambe, okabarhumikira erhi okabaharâmya, nkukomêrîze oku wanaherêrekera.
050814009c	Ak’agôla mashanja Nyamubâho âherêrekeza omu masù ginyu, ninyu kwo mwanahêrerekera, ebwa kubula bwayumvîrhiza izù lya Nyamubâho, Nyamuzinda winyu.
05090100c7	Yumva Israheli. Woyo okolaga wayikira Yordani ene, okola wagendiyîmûla amashanja manene na mazibu kukulusha, okolawayanka emirhundu minene, miyûbakire n’ebyôgo byâyo bihisire omu nkuba-karhî.
050902007c	Libà ishanja linene, banabà balî-balî ba-Anakimu. Obayishi, wayumvîrhe babaderha, mpu: «Ndi wakahagalika ba-Anakimu?»
05090300cb	Omanyage ene oku Nyamubâho, Nyamuzinda wâwe ye wakushokolera nka muliro-ntakanjirwa, yêne ye wabamalîra, yêne ye wakuhimirabo; wabanyaga onabaherêrekeze oku irindo nka kulya Nyamubâho àkubwiraga.
05090400fc	Amango Nyamubâho, Nyamuzinda wâwe abahiva wanasinza, orhaderhaga omu murhima, erhi: «Bushinganyanya bwâni bwarhumire Nyamubâho ampisa eci cihugo omu ikumi ly’eminwe», n’obwo Nyamubâho ahivire ago mashanja wanasinza erhi bubî bwâbo burhuma.
0509050116	Arhali bugula bwâwe, arhali bushinganyanya bw’omurhima gwâwe burhumire washobôla ecihugo câbo, ci bubî bwâbo bwarhumire Nyamubâho, Nyamuzinda wâwe anyaga aga mashanja n’okukushobôza; haligi n’okulonza okukenga akanwa alaganyagya basho, Abrahamu, Izaki na Yakôbo.
05090600ad	Omanyage ene oku arhali bugula bwâwe burhumire Nyamubâho, Nyamuzinda wâwe akuhà ecîra cihugo cinjà ntya mpu cibè câwe: bulyâlya ôbà lubaga lwa cikanyi cirhagomba.
05090700cd	Okengêre, orhayîbagiraga Nyamubâho, Nyamuzinda wâwe n’oku wamujirisize burhè omu irungu. Kurhenga amango mwarhengaga omu cihugo c’e Mîsiri, kuhika ahâla mwahika, murhahwa murhagomera Nyamuzinda.
0509080045	Aha Horebu mwagayisa Nyamubâho, amulubira bwenêne kulinzimumalîra.
05090900e0	Nali nsôkîre oku ntondo nti ngendihâbwa enambi z’amabuye, zo nambi z’endagâno Nyamubâho àfundikaga ninyu. Nayôrha oku ntondo miregerege makumi anni na madufu makumi anni, buzira kukoza omugati erhi amîshi ekanwa.
05090a00d4	Nyamubâho ampà zirya nambi z’amabuye, oku zinali ibirhi; zàli nyandike n’omunwe gwa Nyamuzinda, zànalikwo ebinwa Nyamubâho ambwîriraga omu karhî k’omuliro, kw’erya ntondo, olusiku lw’embuganâno.
05090b0083	Enyuma za miregerege makumi anni na madufu makumi anni, Nyamubâho ampà ezo nambi z’amabuye zombi, zo zirya nambi z’endagâno.
05090c00db	Nyamubâho ambwîra erhi: «Yimuka oyandagale duba orhenge hano, bulyâlya olubaga warhenzagya e Mîsiri, lwakozire amaligo. Barharhamirirhenga omu njira nabayerekaga, bacîtulîre enshusho y’ecûma carhenga ecîko».
05090d005e	Oku bundi Nyamubâho ambwîra erhi: «Nabwîne lula lubaga, luli lubaga lwa cikanyi cirhagomba
05090e007a	“Oleke nduhererhe, nzaze izîno lyâbo idako ly’amalunga, nabà we njira ishanja lizibu na linene kulusha elîra”».
05090f0081	Oku bundi obwôla nabunguluka, narhenga kuli erya ntondo nasiga edwîrhe yahya; nali nfumbasire zirya nambi ibirhi z’endagâno.
05091000b6	Nalola nabona oku mwâli erhi mwamagayisa Nyamubâho, Nyamuzinda winyu; mwâli mwamatula akanina k’ecûma carhenga ecîko: murharhamagirhenga omu njira Nyamubâho ali amurhegesire.
0509110060	Zirya nambi oku ziri ihirhi, nazigwârha n’amaboko gombi, nazirhimba oku idaho erhi mwanabona.
050912010b	Oku bundi nacîha oku idaho, embere za Nyamubâho, nk’oku nanajiraga burhanzi, nashinga miregerege makumi anni na madufu makumi anni ntakoza omugati erhi mîshi ekanwa, najira ntyo erhi amaligo mwakolaga garhuma, aga mwagayisagyamwo Nyamubâho n’okumujira burhè.
050913009c	Nêci bwo nali nyôbohire bulya burhè na gulya mungo àli àmugwêrhekwo, kuhika alinda ahiga mpu akola amuherêrekeza. Ago mango kandi Nyamubâho anyumva.
0509140065	Aroni naye Nyamubâho àli amukalihire bwenêne alonzimuheza; kandi ago mango nasengerera Aroni naye.
050915009d	Nayanka cirya câha cinyu mwâli mutuzire, kalya kanina, nakayanka nakayôca, nakavungunyula koshi nakajira muyonga nagukwêba omu mugezi gwahona oku ntondo.
050916004c	Aha Tabera, n’aha Masa n’aha Kibroti-Hatawa, mwajira Nnâmahanga burhè.
05091700fd	Na galya mango Nyamubâho alonzagya okumurhenza e Kadesi-Barnea, bulyâla amubwîra, erhi: «Musoke mugendirhôla cirya cihugo mmuhîre», mwacinungushulira eryôla irhegeko lya Nyamubâho, Nyamuzinda winyu murhamuyêmêraga murhanayumvagya izù lyâge.
0509180039	Muyôrha mugomera Nyamubâho kurhenga olusiku amumanyaga.
