0200000003	Nfa
0219250055	Nəm apitila pa̱ fangshat, te chwong oza̱ ka̱ apəpal na aghan atak kà̱ mpipyal.
021926004b	Te mɓəmɓəmɓəmɓəm ká̱ asu apər á yà ká̱ azənariya anəna̱n.
0219270081	Nəm apitila aga idari ká̱ nkpaktak oga iya̱m inok va̱ ta̱ ká̱ azənariya anəna̱n ava iɗəɗək ìsəm pa̱ ishatɗing.
0219280076	Nak ishi ká̱, na u nəm oza̱ á yà pa̱ dakdak á mal ká̱ ala̱ka̱n wa nva mmá nyám a ɓu ka̱ apal aɓam.”
021a0100f4	“Nəm aghal aYawe ká̱ atani pa̱ gba̱pchi ava mmá lok ká̱ alinin anəna̱n, aga ndəng izər ìvyau, ká̱ ndəng nrəzang pa̱ gà̱r, ká̱ ndəng nrəzang. Nəm oza̱ á yà ká̱ ala̱ka̱n oga akerup ka̱ atak aghan anəm uga inok.
021a020091	Nwang atani va̱ ta á yà ashar ìsəm pa̱ ineɗing ama̱n pa̱ parəm, mbəbal ashar pa̱ kpa̱ɗing. Nkpaktak oga atani va̱ ta á mal izər.
021a030058	Gwang oga atani pa̱ tukun á yà pa̱ zəng, te gwang aɓo aga tukun á yà pa̱ zəng.
021a0400ad	Nəm oga mɓol ká̱ afini ndəng izər ivyau kà̱ nkur arangchwang aga ǹggəshi oga atani va̱ ta. Wa nnà ta kpa nəm oga mɓol kà̱ nkur azəngtəng arangchwang atani.
021a0500cb	Nəm oga mɓol ìsəm pa̱ ìtukun ka̱ izər atani azəngtəng, kang ɓù nəm oga mɓol ìsəm pa̱ ìtukun kà̱ nkùr aranchwang atani azəngtəng. Oga mɓol va̱ ta á mal ikwoksok ká̱ owan oza̱.
021a0600b5	Nəm oga iya̱m iga nzùzong ìsəm pa̱ ìtukun ká̱ azənariya, te gwang oga atani aga aparəm va̱ ta ka̱ anung zəngtəng ka̱ atak nzùzong, na aghal aYawe á yà pa̱ zəng.
021a07005e	“Kà̱p atani pa̱ gba̱pchi ama̱n pa̱ zəng ká̱ akpap íɓəl ka̱kul nkuk aghal aYawe.
021a0800b4	Nwang nza̱ atani nggo á yà ashar ìsəm pa̱ ineɗing ama̱n pa tuka̱n kang mbəbal ashar pa̱ kpa̱ɗing. Nkpaktak atani aga agba̱pchi ama̱n pa̱ zəng va̱ ta á mal izər.
021a0900a5	Gwang atani pa̱ tukun ka̱ anung zəngtəng, kang atani aga kpa̱ɗing ka̱ anung zəngtəng. Te kup atani aga akpa̱ɗing va̱ ta pa̱ mparəm á gún mpyal aghal.
021a0a009c	Nəm oga mɓol ìsəm pa̱ ìtukun ka̱ aranchwang atani azəngtəng, kang ɓù nəm oga mɓol ìsəm pa̱ ìtukun kà̱ nkùr aranchwang atani azəngtəng.
021a0b00cc	Nəm oga iya̱m iga nzùzong ìsəm pa̱ ìtukun ká̱ acham arəzang, te mwak oga iya̱m iga nzùzong va̱ ta ka̱ ashe oga mɓol kang ɓù gwang aghal va̱ ta ka̱ anung zəngtəng na á yà pa̱ zəng.
021a0c0049	Te aɓo atani ava̱ le ka̱ apal aghal te i zong kà̱ nsəm aghal aYawe.
021a0d00ca	Ashar pa̱ zəng ká̱ aɓuɓo kà̱ ngba̱k nro kang ashar pa̱ zəng ká̱ aɓuɓo kà̱ ngba̱k nzəngtəng. Oga aɓo ngwang atani aghal va̱ le te i zong kà̱ oga ngba̱k aghal aYawe na á gún na.
021a0e0097	Nəm iya̱m iga nggún apal aghal ká̱ awá pa̱ parəm, iro ka̱ awá inagám va mmá ɓán ka̱ ǹzazí, kang iro iga nggugún kà̱ awá anəna̱n.
021a0f003f	“Kyen oga ndar aghal aYawe ngga akun akasiya aga nsat nzwang.
021a10007d	Nza̱ nzəngtəng nggo ngwuwang á yà ashar pa̱ gba̱pchi ama̱n pa̱ tukun, mbəbal á yà ashar pa̱ parəm ka̱ aɓuɓo.
021a11009b	Nza̱ ndar nggo te, á yà ká̱ ǹcà nggang pa̱ mparəm ka̱kul nggwang oza̱ ka̱ anung zəngtəng. Wa nnà ta ɓu kyen nkpaktak oga ndar aghal áYawe.
021a120055	Kyen oga ndar aghal áYawe va̱ ta ìsəm pa̱ iparəm ka̱kul ngba̱k ngga nkwandal.
021a13012a	Te nəm oga atak mmùmwak ká̱ aazurfa ìsəm pa̱ ineɗing ka̱ avəng oga ndar ngga ìsəm pa̱ iparəm va̱ ta. Atak mmùmwak pa̱ mparəm ka̱ akum ndar ǹggəshi ka̱kul oga ncà nggangcà nggang, kang atak mmùmwak pa̱ mparəm ka̱ akum ndar ngga ngbəbak ka̱kul oga ncà nggangcà nggang.
021a14005c	Nggba̱k ngga mpal aghal áYawe va̱ ta, wa nnà ta kpa oga ndar á yà ìsəm pa̱ iparəm,
021a1500bf	nzəng ká̱ atak mmwàk oza̱ ngga aazurfa ìsəm pa̱ ineɗing. Oga atak mmùmwak pa̱ mparəm ka̱ akum ndar ǹggəshi, kang oga atak mmùmwak pa̱ mparəm ka̱ akum ndar ngga ngbəgba̱k.
021a16004e	Te kyen ndar aghal áYawe pa̱ nkpa̱ɗing ka̱kul ngba̱k ngga asa̱l ǹsəm.
021a170048	Kyen oga ndar pa̱ mparəm ka̱kul oga nggúlyanggú nsəm aghal áYawe.
021a18009b	Ɓak oza̱ ka̱ akum á ɓa á chu apal na á yà ka̱ ashe nkalbang pa̱ nzəng. Wa nnà ta i yà ńkpaktak oza̱, oza̱ i yà nggúlyanggú pa̱ mparəm.
021a1900f6	Te ndar á yà pa̱ nna̱nne ká̱ oga atak mmwàk oza̱ ngga aazurfa pa̱ gba̱pchi ama̱n pa̱ kpa̱ɗing. Oga atak mmùmwak á yà pa̱ parəm ka̱ akum ndar ǹggəshi kang oga atak mmùmwak ì yà pa̱ mparəm ka̱ akum ndar ngga ngbəgba̱k.
021a1a0064	“Kyen oga ndar nnárnàr ngga akun akasiya pa̱ ntukun ka̱kul oga ndar ngga ngba̱k aghal áYawe,
021a1b009d	ká̱ ndar nnárnàr pa̱ ntukun ka̱kul ndar ngga ngba̱k nzəngtəng, kang ká̱ nro pa̱ ntukun ka̱kul ndar ngga ngba̱k ngga asa̱l ǹsəm aghal áYawe.
021a1c0054	Ndar nnárnàr ngga ishimshe oga ndar i gantal kà̱ nkùr nro i ga i cú nkùr nro.
021a1d00ba	Te ɓam oga ndar va̱ ta ká̱ azənariya, kang ɓù nəm oga nkalɓankalɓang ká̱ azənariyá na á kpán oga ndar nnárnàr va̱ ta. Ɓam oga ndar nnárnàr va̱ ta ká̱ azənariya.
021a1e0051	Pak aghal áYawe va̱ ta pa̱ dakdak wa nva mmá nyám a ɓu ka̱ apal aɓàm á.
021a1f00f3	“Nəm atani aga nkap afu ǹzhi aga ndəng ìzər ivyau, ka̱ ndəng nrəzang pa̱ gà̱r, ká̱ ndəng nrəzang, ká̱ alinin anəna̱n. Nəm ká̱ ala̱ka̱n oga akerup ka̱ atak aghan anəm uga inok u va̱ a nyi nchicà pa̱ gənggəng á.
021a2000ab	Zong atani va̱ ta ka̱ apal ǹdar akún akasiya ava mmá ɓam ká̱ azənariya, ká̱ iya̱m iga nzùzong iga azənariya ka̱ apal atak mmùmwak aga aneɗing aga aazurfa.
021a2100b9	Zong atani va̱ ta ka̱ akum oga iya̱m iga nzùzong, te tar ká̱ akwati aga nsar nnap-nlà ká̱ nsəsəm. Atani va̱ ta i kap ishimshe Atak Ayə́ryər ká̱ Atak Ayə́ryər ava ji.
021a220060	Nak anung aga nkuk akwati ka̱ apal akwati aga nsar nnap-nlà ka̱ ashe atak ayəryə́r ava ji.
021a23009d	Yal atebəl kà̱ mpyal atani aga nkap afu ǹzhi ka̱ asa̱l mpal aghal áYawe, te yal apitila aga idari á mal ìkwoksok ká̱ atebəl ka̱ asa̱l nkwandal.
021a2400c4	“Nəm atani aga anung asa̱l aghal áYawe ká̱ afini aga ndəng izər ìvyau, ká̱ ndəng nrəzang pa̱ ga̱r, ká̱ ndəng nrəzang, ká̱ alinin anəna̱n ava mmá lok ɓyen pa̱ gənggəng.
021a2500c5	Kyen oga ndar akún akasiya pa̱ ntukun te ɓam ká̱ azənariya ka̱kul atani va̱ ta. Iya̱m iga nzong oza̱ á yà iga azənariya, te nəm atak mmwàk óza̱ pa̱ ntukun ká̱ acham arəzang.”
021b0100ed	UYawe la uMusa pa̱, “Nəm atak nshì iya̱m awop aga asu, mbəbal ashar pa̱ fangshat ká̱ aɓuɓo, ngwuwang ashar pa̱ fangshat ká̱ aɓuɓo. Atak nshì iya̱m awop va̱ ta á mal izər, te mməmak ashar pa̱ neɗing ká̱ aɓuɓo.
021b0200ac	Nəm agbəshi á na kà̱ nggulyanggugulyanggu ngga nneɗing, na oga agbəshi va̱ ta ká̱ atak nshì iya̱m awop á yà iya̱m zəngtəng. Ɓam na ká̱ acham arə́zang.
021b030099	Nəm oga asu nchwang, ká̱ ashefər, ká̱ asu, ká̱ ìga̱pchi ìga ifáng, ká̱ asu apər. Nəm nkpaktak iya̱m inok va̱ ta ká̱ acham arə́zang.
021b040088	Pàntal oga acham arə́zang á na wa alariya, te nəm oga nkalɓang ngga acham arə́zang kà̱ nza̱ nggúlyanggú ngga nneɗing nggo.
021b050077	Pá alariya va̱ ta ka̱ akum alə̀gər atak nshì iya̱m awop, ná á yà kà̱ nkap ishimshe atak nshì iya̱m awop.
021b060069	Nəm oga nkpá nggang ká̱ akún akasiya ka̱kul atak nshì iya̱m awop, te ɓam ká̱ acham arə́zang.
021b07008f	Mwàk oga nkpá nggang va̱ ta ka̱ ashe nkalɓang, na oza̱ á yà ka̱ ngba̱k ngga mparəm ka̱ izər atak nshì iya̱m awop ka̱kul nyiyar.
021b080089	Nəm atak nshì iya̱m awop va̱ ta á yà awong ká̱ akún abalbal. Nəm na pa̱ dakdak wa nva mmá nyám a ɓu ka̱ apal aɓàm á.”
021b090087	“Nəm agəla̱n aghal aYawe. Nggba̱k nkwandal á yà ashar igba̱l ká̱ ìsəm pa̱ ìtukun, te atani á yà anəna̱n nlok alinin,
021b0a00d1	Ká̱ oga ndar ngga acham arə́zang ìsəm pa̱ iparəm, ká̱ oga atak mmumwak aga acham arə́zang ìsəm pa̱ iparəm, kang ká̱ iya̱m iga nzuzong ká̱ iga nrəran ká̱ izər ndáng á yà iga aazurfa.
021b0b0139	Asa̱l mpal agəla̱n va̱ ta ngwuwang á yà ashar igba̱l ká̱ ìsəm pa̱ ìtukun na kpa, kang i yà ká̱ atani, ká̱ ndar ngga acham arə́zang ìsəm pa̱ iparəm, ká̱ atak mmumwak aga acham arə́zang ìsəm pa̱ iparəm, kang ká̱ iya̱m iga nzuzong ká̱ atak nrəran ká̱ izər ndáng iga aazurfa.
021b0c00ac	Mbal atani ka̱kul agəla̱n ka̱ asa̱l ntar alum á yà ashar ìsəm pa̱ ifangshat ama̱n pa̱ tukun, ká̱ ndar pa̱ ngba̱pchi ká̱ atak mmwàk oza̱ pa̱ ngba̱pchi.
021b0d0067	Ka̱ asa̱l nfa alum agəla̱n te, mbəbal á yà ashar ìsəm pa̱ ifangshat ama̱n pa̱ tukun na kpa.
021b0e00a6	Nwang atani á yà ashar ìsəm parəm ama̱n pa̱ parəm ká̱ aɓuɓo kà̱ ngba̱k anung asa̱l, ká̱ oga ndar pa̱ nshatɗing ká̱ atak mmumwak pa̱ nshatɗing.
021b0f00ae	Te ngwang atani kà̱ ngba̱k nzəngtəng á yà ashar ìsəm pa̱ iparəm ama̱n pa̱ parəm ka̱ aɓuɓo, ká̱ oga ndar pa̱ nshatɗing ká̱ atak mmumwak pa̱ nshatɗing.
021b100111	Nwang atani aga anung asa̱l agəla̱n va̱ ta á yà ashar ìsəm pa̱ ishatɗing ava mmá lok ɓyen pa̱ gənggəng ká̱ afini alinin aga ndəng izər ivyau, ká̱ nrəzang pa̱ ga̱r, ká̱ nrəzang. Á yà ká̱ oga ndar pa̱ nneɗing ká̱ atak mmumwak pa̱ nneɗing.
021b110091	Nkpaktak oga ndar va̱ ka̱ ashe agəla̱n te, á yà ká̱ iya̱m iga nrəran ká̱ nzuzong iga aazurfa, ká̱ atak mmumwak ngga acham arəzang.
021b120101	Nwang agəla̱n va̱ ta á yà ashar igba̱l ka̱ ìsəm pa̱ ìtukun, mbəbal ashar ìsəm pa̱ ifangshat ama̱n pa̱ tukun, mməmak ashar pa̱ fangshat ka̱ aɓuɓo, ká̱ atani aga nlok ká̱ afini alinin anəna̱n, ká̱ atak mmumwak aga acham arəzang.
021b1300a3	Nkpaktak oga iya̱m inok aghal aYawe ka̱kul nza̱ inok nggo, ká̱ nkpaktak oga avan akun aga nrán aghal ká̱ oga avan akun agəla̱n á yà aga acham arəzang.
021b14007d	“Nak oIsa̱rila á ɓa ká̱ mmì mpyet nnəna̱n a ɓu ka̱kul apər, na apitila va̱ ta á yà kà̱ nnrì pa̱ ɗəkər.
021b150149	Ka̱ ashe Aghal Mɓut kà̱ nsəm atani ava kà̱ mpyal akwati aga nsar nnap-nlà te, uHaruna ká̱ ovan wò á nak ishi ká̱ apitila va̱ ta á yà kà̱ nrí pa̱ ɗəkər kà̱ mpyal aYawe á ɓàn ká̱ arurong á ga á chu ìpin. Nva̱ ta̱ á yà nnap nnəm ngga mbyet mbyet óIsa̱rila ka̱ ashe nkpaktak nlwàk oza̱.”
021c0100bf	“Ɓa ká̱ ùgənang ɓu uHaruna ká̱ ovəvan onunggwan ka̱ ashe oIsa̱rila á yà nzəng ká̱ ɓu, uNadap ká̱ uAbihu, uEleazar ká̱ uItama na ó nəm inok onəm oga mpyal awop á mi.
021c02004f	Dán ílukwán íyə́ryər ugənnang ɓu uHaruna ka̱kul ìzhàn ká̱ iɓyen.
021c03009f	Là nkpaktak onəm oga nnyi inok awo ova n yə́l oza̱ ká̱ aghan na oza̱ á dán ílukwán iga nggar uHaruna ka̱kul nnəm inok anəm uga mpyal awop á mi.
021c040124	Oga ilukwan va ta̱ oza̱ i dán, ìya ìlukwan ìkwoksok, ìlukwan ìkwoksok, ìlukwan iwángwang, ìlukwan iga ashe, iya̱m ishi, ká̱ ngbat. Oza̱ á dán ílukwán iyə́ryər va̱ ta̱ ugənang ɓu uHaruna ká̱ ovəvan onunggwan na oza̱ á nəm inok onəm oga ǹshi iya̱m awop á mi.
021c050090	Oza̱ á nəm ká̱ azənariya, ká̱ afini aga ndəng ízər ivyau, ká̱ nrəzang pa̱ gà̱r, ká̱ nrəzang, kang ká̱ alinin anəna̱n.”
021c0600be	“Oza̱ á dán ìlukwan ìkwoksok va̱ ta, á lok ká̱ afini azənariya aga ndəng ízər ivyau, ká̱ nrəzang pa̱ gà̱r, ká̱ nrəzang, ká̱ alinin anəna̱n, inok ánəm uga aghan.
021c07005a	Á yà ká̱ ngbat agar pa̱ mparəm ka̱ aranchwangranchwang aga aparəm ka̱kul nrəran.
021c0800b9	Nggbat ìlukwan ikwoksokkwoksok nloklok á yà nnəm nzəngtəng ká̱ afini azənariya aga ndəng ízər ivyau, ká̱ nrəzang pa̱ gà̱r, ká̱ nrəzang, kang ká̱ alinin anəna̱n.
021c090052	Wur ipáng iza̱mza̱m pa̱ iparəm te gyok aɗin ovan aIsa̱rila ka̱ apal oza̱.
021c0a0077	Aɗin á yà pa̱ kpa̱dəng ka̱ apal ipáng iro kang pa̱ kpa̱dəng ka̱ apal izəngtəng ka̱ atak inəmgbak oza̱.
021c0b00aa	Gyok aɗin ovan áIsa̱rila ka̱ apal ipáng iga iparəm va̱ ta wa nva̱ unəm uga nkpà ipáng i gyok asitam. Mwak oza̱ ka̱ ashe iya̱m iga nkpəkpán iga azənariya.
021c0c00db	Ɓam oga ipáng iga iparəm va̱ ta ka̱ apal ngbat agar ìlukwan ìkwoksok wa ipáng iga nrəng ká̱ ovan áIsa̱rila. UHaruna á zong oga aɗin va̱ ta ka̱ apal agar wò kà̱ mpyal aYawe ka̱kul nrəng ká̱ oza̱.
021c0d002a	Nəm iya̱m iga nkpəkpán iga azənariya,
021c0e00a0	ká̱ oga nzwar mmyarmyar pa̱ mparəm ngga azənariya anəna̱n. Te ran oga nzwar mmyarmyar va̱ ta ka̱ izər iya̱m iga nkpəkpán iga azənariya va̱ ta.”
021c0f00e1	“Te dán mpuluk ka̱kul nva̱n nnap, inok ánəm uga aghan. Nəm wa ìlukwan ìkwoksok ká̱ azənariya, ká̱ afini aga ndəng izər ivyau, ká̱ nrəzang pa̱ gà̱r, ká̱ nrəzang, kang ká̱ alinin amyarmyar anəna̱n.
021c100054	Mma kùp te á mal izər, ngwuwang ká̱ mbəbal á yà mbal awo nza̱ ngba̱k nggo.
021c1100c0	Te dàt oga ipáng inəna̱n va̱ ta ǹzhi pa̱ nneɗing ka̱ pəpal. Ndàt nggəshi á yà ipáng irəzang va i ya atak pa̱ halakhalak, ká̱ iva̱ wa ndəng ilur, ká̱ iga ndəng ilyanggu.
021c120064	Ndàt ngga mparəm á yà ipáng va ká̱ nrezang, ká̱ iva̱ ikamkam, ká̱ iva̱ fəfər wa apye.
021c13007a	Ndàt ngga nshatɗing á yà ká̱ ipáng iga ndəng ishan, ká̱ iva̱ wa ndəng agba̱k, ká̱ iva̱ irezang pa̱ ga̱r.
021c1400ad	Ndàt ngga nneɗing á yà ká̱ ipáng iga ndəng izər ivyau, ká̱ ipáng iza̱mza̱m, ká̱ iga ndəng ipəpa. Mwak oza̱ ka̱ ashe iya̱m iga nkpəkpán iga azənariya.
021c1500f6	Ípang iga igba̱pchi ama̱n pa̱ parəm va̱ ta ámal ka̱ anung aɗin ovan áIsa̱rila oga ogba̱pchi ama̱n pa̱ parəm. Nza̱ ipáng nggo te, mmá gyok aɗin akum pa̱ zəng ka̱ izəzər ka̱ ashe aga agba̱pchi ama̱n pa̱ parəm wa asitam.
021c16004c	“Myar oga nzwar ngga azənariya anəna̱n ka̱kul ìya ìlukwan ìkwoksok.
021c170070	Te nəm nkalɓang azənariya pa̱ mparəm, mwak ka̱ nggulyanggu ngga mparəm ngga apal ìya ìlukwan ìkwoksok.
021c18007d	Mwak nzwar azənariya ngga mparəm va̱ ta ká̱ izər nkalɓang ngga mparəm va̱ kà̱ nggulyanggu ìya ìlukwan ìkwoksok.
021c19008a	Te mwak ìjili nzwar ngga mparəm va̱ ta kà̱ izər iya̱m iga nkpəkpán iga azənariya. Mwak ka̱ mpyal ngbat agar ìlukwan ìkwoksok.
021c1a008f	Nəm oga nkalɓang azənariya pa̱ mparəm kà̱ɗi, te mwak oza̱ ka̱ ashe ka̱ avəng nggulyanggu ngga mparəm ngga ìya ìlukwan ìkwoksok.
021c1b00a4	Nəm nkalɓang nkak kà̱ɗi ngga zənariya pa̱ mparəm, te mwak oza̱ ka̱ akum ngbat agar ìlukwan ìkwoksok ká̱ nzwar kà̱ mpipyal á dat ka̱ atak ngugwang.
021c1c00f2	Te ran nkalɓang ngga izər ìya ìlukwan ìkwoksok ká̱ izər nkalbang ngga izər ìlukwan ìkwoksok ká̱ asang aga ndəng izər ivyau, á yà ka̱ apal ngbat ìlukwan ìkwoksok ka̱kul na á kpán ìya ìlukwan ìkwoksok kang a yok ka̱t.
021c1d00cd	Te uHaruna i yar aɗin ovan aIsa̱rila ka̱ apal ìya ìlukwan ìkwoksok ngga nva̱n nnap kà̱ ìkwoksok wò, awalang va̱ uza̱ i tar Atak Ayə́ryər ka̱kul nva̱n nnap kà̱ mpyal aYawe pa̱ ɗəkər.
021c1e010b	Nak aUrim ká̱ aTummim ka̱ ashe ìya ìlukwan ìkwoksok iga nva̱n nnap. Oza̱ á yà kà̱ ìkwoksok aHaruna awalang va̱ uza̱ i tar mpyal aYawe. Wa nnà ta uHaruna i yar oga iya̱m va̱ ta pa̱ ɗəkər ka̱kul nva̱n nnap ka̱ apal oIsa̱rila kà̱ mpyal aYawe.
021c1f0051	Dán ìlukwan iwángwang iga avəng ìlukwan ìkwoksok á yà ndəng izər ivyau.
021c200057	Á yà ká̱ atak mpa ishi kà̱ ishimsheshimshe, lok ishishak ka̱kul kang acha ka̱t.
021c2100ce	Ka̱ anunung ka̱ avəng te, nəm oga awar ìkúmkúm iga ndəng izər ivyau, ká̱ nrəzang pa̱ ga̱r, ká̱ nrəzang a gang anunung aga avəvəng ká̱ oga iɓa̱ngga̱ng azənariya kà̱ ishimshe oza̱.
021c2200a5	Dàt oza̱, awar ìkúmkúm i le te iɓa̱ngga̱ng azənariya, i le te awar ìkúmkúm, i le te iɓa̱ngga̱ng azənariya, wa nnà ta á ga agang avəvəng pa̱ lat.
021c2300e8	UHaruna i pá ìlukwan iwángwang va̱ ta̱ awalang va̱ uza̱ kà̱ nnəm inok, kang mí yà kà̱ nfe nnənap nva̱ngva̱ uza̱ tar ashe atak ayəyər kà̱ mpyal aYawe ká̱ nva̱ngva̱ uza̱ i fa, ka̱kul kang uza̱ a kú ka̱t.
021c240060	“Nəm achuchwal aga azənariya anəna̱n, te gyok na wa nggyok asitam, ‘Unəna̱n ûYawe.’
021c250061	Te ran ka̱ izər iya̱m ishi ká̱ asang aga ndəng izər ivyau, á yà kà̱ mpyal iya̱m ishi.
021c260102	Á yà kà̱ isu uHaruna, kang uHaruna i yar nkpaktak mpat ka̱ atak nná oga iya̱m inana inəna̱n va̱ oIsa̱rila gar ka̱ ashe imwa oza̱ inəna̱n. Á yà kà̱ isu aHaruna pa̱ ɗəkər ka̱kul na iya̱m inana á yà iya̱m ikángkáng ka̱ atak aYawe.
021c270094	Dán ìlukwan iga ashe ká̱ afini alinin anəna̱n, lok iya̱m ishi ká̱ afini alinin anəna̱n, te Kà̱p ngbat á yà inok ánəm uga nzəza̱m.
021c280077	Dán ílukwan iga ashe, kà̱p oga ngbat ká̱ oga iya̱m ishi óvan aHaruna. Dán oza̱ ka̱kul ìɓyen ká̱ ìzhàn.
021c2900c1	Nva̱ngva̱ u mwak ilukwan va̱ ta̱ chit ûHaruna ugənang ɓu ka̱ ovəvan onunggwan, te gor oza̱, nak awo óza̱, na oza̱ á yà o gargar kang oza̱ i nəm inok onəm oga mpyal awop á mi.
021c2a0057	Dán iya̱m aɗək iga afini alinin iva ikùr ka̱ isong ka̱kul ndàng imaləng oza̱.
021c2b0140	UHaruna ka̱ ovan wò onunggwan a mwak awalang va̱ oza̱ kà̱ ntáng ashe Aghal Mɓut, ka̱t te oza̱ ɓa atak nshì iya̱m awop pa̱ o nəm inok ka̱ ashe atak ayəyər, na kang oza̱ á ɓa ká̱ mpat ishi oza̱ akú ka̱t. Iya̱m va̱ ta̱ á yà nnap nnəm ngga mbyet mbyet ka̱ atak aHaruna ka̱ akum ìjili jili.
021d0100b7	“Iya̱m va ta̱ ɓu nəm oza̱ na á gar oza̱ ka̱kul na oza̱ á yà onəm oga ǹshi iya̱m awop mi. Kpán iya inà inunggwan ká̱ inagam pa̱ iparəm iva yà ká̱ mbyèt ka̱t,
021d0200e2	ká̱ nzəngkəng ngga ǹyà ká̱ annyer ka̱t, ká̱ awoina va yà ká̱ annyer ka̱t ká̱ mmì, ká̱ nzəngkəng ndatdat ngga ǹyà ká̱ anyer ka̱t va mmá ɓəl ká̱ mmì. Nəm oza̱ ká̱ mmá̱k izangzəng ǹyalyal.
021d030084	Nak oza̱ ka̱ ashe nkatəp kang ɓu ɓa ká̱ ka̱ ashe nkatəp va̱ ta, ɓa ká̱ inà inunggwan ka̱ ínagam iga iparəm va̱ ta.
021d040064	Ɓa ká̱ uHaruna ká̱ ovəvan onunggwan ka̱ anung asa̱l Aghal Mɓut, te nàl oza̱ ká̱ ndəng.
021d050072	Te mwak ilukwan uHaruna, iga ashe, iwangwang, iga ìkwoksok, ka̱ mpuluk, kang ɓu kpán aɗək á na ká̱ ngbat.
021d060062	Pá iya̱m ishi á na ká̱ ishishi, te ɓam achuchwal ayə́ryər va̱ ta ka̱ izər iya̱m ishi.
021d070030	Yar mmì ngga nggor, zuk á na ka̱ ishi gar na.
021d080045	Kà̱ nvəva̱ng te ɓa ká̱ ovəvan, mwak ílukwan iga ashe óza̱,
021d0900b5	Kpán aɗək ûHaruna ká̱ ovan wò ká̱ ngbàt kang ɓu mwak iya̱m ishi óza̱, te inok mpyal awop i yà nji oza̱ mbyet mbyet. Asa̱l va ta̱ ɓu gar uHaruna ká̱ ovan wò.”
021d0a007b	Te ɓa ká̱ iya inà inunggwan ka̱ anung asa̱l Aghal Mɓut, te uHaruna ká̱ ovan wò i nak awo oza̱ ka̱ apal ishishi.
021d0b0052	Te pà iya inà inunggwan va̱ ta kà̱ mpyal aYawe ka̱ anung asa̱l Aghal Mɓut.
021d0c00ac	Dok nchə̀r iya inà inunggwan va̱ ta ká̱ ifang ɓu na u ɓàp kà̱ oga nggungung atak nshì iya̱m awop, te tar aɓuɓo pa̱ kpaktak ka̱ akum atak nshì iya̱m awop.
021d0d00a1	Wur nkpaktak mpip va̱ gún oga iya̱mfu ka̱ nvəngva̱ ka̱ izər anì, ka̱ oga arusok aga aparəm ká̱ mpip oza̱, te shì ka̱ apal atak nshì iya̱m awop.
021d0e0095	Te wur izhé iya inà inunggwan va̱ ta ká̱ awuwa ká̱ oga iya̱mfu, shì oza̱ ka̱ apər kà̱ nsəm apa̱k, iya̱m inana nnap mɓá̱ngɓa̱ng.
021d0f006a	“Te kpán ìnagam pa̱ izəng, na uHaruna ka̱ ovan wò á nak awo oza̱ ka̱ apal ishi ìnagam va̱ ta.
021d10005c	Pà ìnagam va̱ ta, te dok nchəchər sháng kà̱ nkpaktak ngba̱k atak nshì iya̱m awop.
021d11007e	Te nyat ìnagam va̱ ta, nàl iya̱mfufu ká̱ oga mbwangbwangbwángbwáng, te gwang oza̱ ka̱ ìnyatnyat va̱ ká̱ ishishi.
021d1200a9	Te shì nkpaktak ìnagam va̱ ta ka̱ apal atak nshì iya̱m awop. Iya̱m inana iga nshì pa̱ ɗwot ûYawe, inəngnəng ichángchàng, iya̱m inana iga nshì ûYawe.”
021d13006a	“Te kpán ìnagam izəngtəng na uHaruna ká̱ ovan wò á nak awo oza̱ ka̱ apal ishi ìnagam va̱ ta.
021d14011a	Pà ìnagam va̱ ta te dok nchəchər na u ɓàp ka̱ apal arwangchwang achwang aga awóri aHaruna ka̱ ovəvan onunggwan. Dok kà̱ ífang inunggwan iga awóri, ká̱ ífang inunggwan iga shar ari oza̱. Te shang aɓo nchə̀r va̱ ta kà̱ nkpaktak ngba̱k atak nshì iya̱m awop.
021d1500f2	Dok nchə̀r va̱ ka̱ apal atak nshì iya̱m awop, ká̱ mmì ngga nggar, te shang ka̱ apal aHaruna ká̱ ìlukwanlukwan, ká̱ ovəvan onunggwan ká̱ ìlukwan oza̱. Uza̱ ká̱ ovəvan onunggwan ká̱ ílukwan oza̱ i yà oyə́ryər.”
021d1600ac	Wur mpip ìnagam va̱ ta, mpip aswal, ká̱ ngga iya̱mfu, ká̱ ngga anì, ká̱ arusok aga aparəm ká̱ mpip oza̱, ká̱ isong iga awóri, ka̱kul ìnagam iga nnak awo.
021d1700c7	Yar mɓit nzəngkəng, ká̱ awoina pa̱ zəng ava mmá nəm ká̱ mmì, ká̱ nzəngkəng ndatdat pa̱ nzəng a fa ka̱ ashe nkatəp nzəngkəng va ngga ǹyà ká̱ anyer ka̱t va ká̱ mpyal aYawe.
021d18007b	Nak nkpaktak oga iya̱m va̱ ta̱ ka̱ ashe awo aHaruna ká̱ ovəvan, na oza̱ á gha̱p, iya̱m inana iga ǹyegye ûYawe.
021d1900a3	Ka̱m ka̱ awo oza̱, te shì ka̱ apal atak nshì iya̱m awop, iya̱m inana inəngnəng ichángchàng kà̱ mpyal aYawe. Iya̱m inana iga nshì pa̱ ɗwot ûYawe.
021d1a0075	Yar ǹjat ìnagam iga nnak awo ûHaruna, te gha̱p wa iya̱m inana iga ǹyegye kà̱ mpyal aYawe, na á yà ǹji ɓu.
