2b00000004	John
2b0e180082	Whoever doesn’t sincerely love me doesn’t keep my words. The word which you hear isn’t mine, but the Father’s who sent me.
2b0e190036	“I’ve told you these things while living with you,
2b0e1a0096	but the Counselor, the Holy Spirit, who the Father will send in my name, will teach you everything, and bring to your remembrance all that I told you.
2b0e1b0094	I leave peace with you. I give you my peace. I don’t give to you as the world gives. Don’t let your heart be troubled, neither let it be afraid.
2b0e1c00c7	You have heard me tell you, ‘I am going away and coming back to you.’ If you sincerely loved me, you would rejoice because I said, ‘I am going to the Father,’ for my Father is greater than I.
2b0e1d0051	Now I have told you before it happens, that when it does happen, you may believe.
2b0e1e0064	I won’t talk much longer with you, for the ruler of this world is coming. He has no power over me,
2b0e1f0088	but the world must learn that I sincerely love the Father and that I do exactly what my Father has commanded me. “Come on. Let’s go.
2b0f010035	“I am the true vine, and my Father is the gardener.
2b0f020088	He takes away every branch in me that doesn’t bear fruit, and He prunes every branch that bears fruit, so that it may bear more fruit.
2b0f03004d	You are already pruned clean because of the words which I have spoken to you.
2b0f040091	Live in me, as I live in you. As the branch can’t bear fruit of itself, unless it lives in the vine, so neither can you, unless you live in me.
2b0f050084	I am the vine, and you are the branches. Whoever lives in me, and I in them, bears much fruit; for apart from me you can do nothing.
2b0f060092	Anyone who doesn’t live in me is thrown away as a branch, and dries up. The dried up branches are gathered up, thrown into the fire, and burned.
2b0f070060	If you live in me, and my words live in you, ask whatever you want, and it will be done for you.
2b0f08005f	My Father is glorified by this, that you bear much fruit, so you will prove to be my disciples.
2b0f090073	“Just as the Father has sincerely loved me, I have also sincerely loved you. Continue to live in my sincere love.
2b0f0a00a4	If you keep my commandments, you will continue to live in my sincere love; just as I have kept my Father’s commandments, and continue to live in His sincere love.
2b0f0b005c	I have told you these things, that my joy may be in you, and that your joy may be made full.
2b0f0c0060	This is my commandment, that you sincerely love one another, just as I have sincerely loved you.
2b0f0d005d	No one has greater sincere love than this, than to lay down one’s life for one’s friends.
2b0f0e0034	You are my friends if you do whatever I command you.
2b0f0f00cf	I don’t call you servants any longer, because a servant doesn’t know what the master is doing; but I have called you friends, because I have made known to you everything that I have heard from my Father.
2b0f1000c3	You didn’t choose me, but I chose you and appointed you, so that you should go and bear fruit, and so that your fruit should remain, that whatever you ask the Father in my name He may give you.
2b0f110038	I command you this, that you sincerely love one another.
2b0f120045	“If the world hates you, know that it hated me before it hated you.
2b0f1300a0	If you belonged to the world, the world would love its own. Because you aren’t the world’s, but I chose you out of the world, therefore the world hates you.
2b0f1400b6	Remember that I told you, ‘A servant isn’t greater than his master.’ If they persecuted me, they will also persecute you. If they obeyed my teaching, they will also obey yours.
2b0f150074	The world will do all these things to you, however, for My name’s sake, because they don’t know Him who sent me.
2b0f160069	If I hadn’t come and spoken to them, they would have no sin, but now they have no excuse for their sin.
2b0f170026	Whoever hates me also hates my Father.
2b0f180093	If I hadn’t done the works which no one else did among them, they would have no sin; but now they have seen and also hated both me and my Father.
2b0f19005f	This was to fulfill the word that is written in their Law, ‘They hated me without a cause.’
2b0f1a008a	When the Counselor comes, who I will send to you from the Father, the Spirit of Truth who proceeds from the Father, He will testify of me.
2b0f1b0048	You will also testify, because you have been with me from the beginning.
2b10010047	“I have told you these things so that you may be kept from stumbling.
2b10020080	They will put you out of the synagogues. Indeed, the time is coming that whoever kills you will think that they are serving God.
2b10030050	They will do these things to you because they haven’t known the Father nor me.
2b100400b2	I have told you these things, so that when the time comes, you may remember that I told you about them. I didn’t tell you these things at the beginning, because I was with you.
2b10050059	“Now I am going to Him who sent me, yet none of you asks me, ‘Where are you going?’
2b1006004c	Instead, because I have told you these things, sorrow has filled your heart.
2b100700b2	Nevertheless, I tell you the truth: it’s to your advantage that I go away; because if I don’t go away, the Counselor won’t come to you; but if I go, I will send Him to you.
2b1008005a	When He has come, He will convict the world of sin, and of righteousness, and of judgment:
2b1009002b	of sin, because they don’t believe in me;
2b100a0043	of righteousness, because I go to my Father and you see me no more;
2b100b003b	and of judgment, because the ruler of this world is judged.
2b100c0047	“I still have many things to tell you, but you can’t bear them now.
2b100d00b0	However, when the Spirit of truth has come, He will guide you into all truth. He won’t speak on His own, but whatever He hears He will speak. He will announce things to come.
2b100e0050	He will glorify me, because He will take from what is mine and reveal it to you.
2b100f0074	Everything that the Father has is mine. That is why I said that He will take from what is mine and reveal it to you.
2b1010007d	“In a little while, you won’t see me; and in a little while longer, you will see me again, because I go to the Father.”
2b101100e0	Then some of Jesus’ disciples said among themselves, “What does He mean by, ‘In a little while, and you won’t see me; and in a little while longer, you will see me, again;’ and, ‘because I go to the Father’?”
2b1012006b	They kept asking, “What does He mean by ‘a little while’? We don’t understand what He is saying.”
2b101300d7	Now Jesus knew that they wanted to ask Him, and He said to them, “Are you asking yourselves about what I said, ‘In a little while, and you won’t see me; and in a little while longer, you will see me, again’?
2b1014008f	Most assuredly, I tell you that you will weep and mourn, but the world will rejoice. You will be sad, but your sadness will be turned into joy.
2b101500b0	A woman in labor is in pain because her time has come; but as soon as she has given birth to the baby, she forgets the agony, for joy that a child has been born into the world.
2b10160087	Therefore you have sorrow now, too, but I will see you again, and your heart will rejoice, and nobody will take your joy away from you.
2b1017007c	“In that day you will ask me nothing. Most assuredly, I tell you, whatever you ask the Father in My name He will give you.
2b10180062	Until now you have asked nothing in my name. Ask, and you will receive, that your joy may be full.
2b101900b3	“I’ve told you these things in figures of speech, but the time is coming when I will no longer speak to you in figures of speech, but I will tell you plainly about the Father.
2b101a005b	In that day you will ask in my name. I don’t tell you that I’ll ask the Father for you,
2b101b006e	because the Father Himself loves you, because you have loved me, and have believed that I came forth from God.
2b101c0074	I came forth from the Father and have come into the world. Again, I am leaving the world and going to the Father.”
2b101d005e	His disciples said to Him, “See, now You are speaking plainly, and not in figures of speech!
2b101e0086	Now we are sure that You know everything, and don’t need anyone to question You. By this we believe that You came forth from God.”
2b101f002b	Jesus answered them, “Do you now believe?
2b102000b3	The time is coming, and indeed, has now come, that you will be scattered, each to his own home, and you will leave me all alone. Yet I am not alone, because the Father is with me.
2b1021008e	I have told you these things so that you may have peace in me. You will have trouble in the world, but cheer up! I have overcome the world.”
2b11010098	After Jesus said these things, He looked toward Heaven, and said: “Father, the time has come. Glorify Your Son, so that Your Son may also glorify You,
2b11020072	as You have given Him authority over all flesh, that He should give eternal life to as many as You have given Him.
2b11030064	This is eternal life, that they may know You, the only true God, and Jesus Christ who You have sent.
2b1104005a	I have glorified You on the Earth. I have finished the work which You have given me to do.
2b1105006f	Now, O Father, glorify me together with Yourself, with the glory which I had with You before the world existed.
2b11060092	“I have revealed Your name to the people You’ve given me out of the world. They were Yours. You gave them to me, and they have kept Your word.
2b1107003f	Now they know that everything You’ve given me comes from You,
2b110800b8	for I have spoken to them the words You’ve given me. They have received Your words, and have come to know for certain that I came forth from You. They have believed that You sent me.
2b11090078	It is for them I pray. I’m not praying for the world, but for those who You’ve given me, because they belong to You.
2b110a0042	All of mine are Yours, and Yours are mine. I am glorified in them.
2b110b00ba	Now I am no longer in the world, but these are in the world. I am coming to You. Holy Father, keep through Your name those who You’ve given me, that they may be one just as we are one.
2b110c00c0	I kept them in Your name while I was with them in the world. I have kept the people You gave me; and none of them is lost except the son of perdition, so that the Scripture might be fulfilled.
2b110d0074	Now I am coming to You, and I speak these things in the world, so that they may have my joy fulfilled in themselves.
2b110e0086	I have given them Your word. The world has hated them because they don’t belong to the world, just as I don’t belong to the world.
2b110f006b	I don’t pray that You should take them out of the world, but that You should keep them from the evil one.
2b11100048	They don’t belong to the world, just as I don’t belong to the world.
2b11110030	Sanctify them by Your truth. Your word is truth.
2b1112003f	As You sent me into the world, I have sent them into the world.
2b11130054	I sanctify myself for their sakes, so that they may also be sanctified by the truth.
2b11140063	“I don’t pray for these alone, but also for those who will believe in me through their message,
2b1115009a	that they all may be one, as You, Father, are in me, and I in You. I pray that they also may be one in Us, so that the world may believe that You sent me.
2b11160057	I have given them the glory which You gave me, that they may be one just as we are one:
2b111700a8	I in them and You in me. May they be brought to complete unity to let the world know that You sent me and have sincerely loved them even as You have sincerely loved me.
2b111800be	Father, I desire that those You gave me may also be with me where I am, that they may see my glory which You’ve given me; because You sincerely loved me before the foundation of the world.
2b1119007c	O righteous Father! The world hasn’t known You, but I have always known You, and these have come to know that You sent me.
2b111a00a7	I have declared to them Your name, and will continue to declare it, so that the sincere love with which You sincerely loved me may be in them, and I may be in them.”
2b12010099	When Jesus had said these things, He went with His disciples across the Kidron ravine, where there was a garden, into which He and His disciples entered.
2b1202006c	Now Judas, who was betraying Him, also knew the place, because Jesus had often met there with His disciples.
2b1203008f	Then Judas, leading a detachment of soldiers and officers from the chief priests and Pharisees, came there with lanterns, torches, and weapons.
2b12040079	Therefore Jesus, knowing everything that would happen to Him, went forward and asked them, “Who are you looking for?”
2b12050073	They answered, “Jesus of Nazareth.” Jesus told them, “I AM.” Judas, who betrayed Him, also stood with them.
2b12060049	Now when He told them, “I AM,” they drew back and fell to the ground.
2b1207005c	Then He asked them again, “Who are you looking for?” They said, “Jesus of Nazareth.”
2b12080062	Jesus answered, “I told you that I AM. So, if you are looking for me, let these go their way,”
2b12090063	that the saying might be fulfilled which He spoke, “I have lost none of those who You gave me.”
2b120a008e	Then Simon Peter, having a sword, drew it and struck the high priest’s servant, and cut off his right ear. The servant’s name was Malchus.
2b120b0073	So Jesus told Peter, “Put your sword into its sheath! Shouldn’t I drink the cup that my Father has given me?”
2b120c0070	Then the detachment of soldiers and their commander and the officers of the Jews arrested Jesus and tied Him up.
2b120d006e	They led Him away to Annas first, because he was the father-in-law of Caiaphas, who was high priest that year.
2b120e0062	It was Caiaphas who advised the Jews that it was expedient that one man should die for the people.
2b120f009d	Simon Peter was following Jesus, and so was another disciple. Since the high priest knew that disciple, he entered with Jesus into the high priest’s court,
2b121000aa	but Peter was standing just outside the door. So the other disciple, who the high priest knew, went out and spoke to the woman who guarded the door, and brought Peter in.
2b1211008c	Then the maidservant who kept the door asked Peter, “You aren’t one of this man’s disciples, too, are you?” He said, “I am not.”
2b121200af	Because it was cold, the servants and the officers were standing there warming themselves, having made a charcoal fire. Peter was also with them, standing and warming himself.
2b12130046	Then the high priest asked Jesus about His disciples and His doctrine.
2b121400a7	Jesus answered him, “I have spoken openly to the world. I always taught in synagogues, and in the temple, where all the Jews come together. I said nothing in secret.
2b12150070	Why do you ask me? Ask those who have heard me to tell you what I told them. They certainly know what I said.”
2b1216009a	When He had said these things, one of the officers who stood by hit Jesus with the palm of his hand, saying, “Is that how you answer the high priest?”
2b1217007a	Jesus answered him, “If I have spoken evil, testify about the evil, but if I have spoken honestly, why do you hit me?”
2b1218003f	Then Annas sent Him, still bound, to Caiaphas, the high priest.
2b121900a0	Now Simon Peter stood and warmed himself. Therefore they asked him, “You aren’t one of His disciples, too, are you?” He denied it, saying, “I am not!”
2b121a008d	One of the servants of the high priest, a relative of the man whose ear Peter cut off, said, “Didn’t I see you in the garden with Him?”
2b121b003d	Peter then denied it again, and immediately a rooster crowed.
2b121c00cf	Then they led Jesus from Caiaphas to the Praetorium. It was early morning. They themselves didn’t go into the Praetorium, so that they wouldn’t be defiled, and so that they might eat the Passover supper.
2b121d0057	So Pilate came out to them and asked, “What charges do you bring against this man?”
2b121e0060	They answered, “If this man wasn’t a criminal, we wouldn’t have handed him over to you.”
2b121f00a2	Then Pilate told them, “You take Him and judge Him according to your Law.” Therefore the Jews said to him, “It’s illegal for us to put anyone to death.”
2b1220007b	This happened so that the words would be fulfilled which Jesus had spoken indicating the kind of death he was going to die.
2b1221006d	Then Pilate went back into the Praetorium, summoned Jesus, and asked Him, “Are You the King of the Jews?”
2b12220065	Jesus answered, “Are you speaking for yourself about this, or did others tell you this about me?”
2b12230081	Pilate answered, “I’m not a Jew, am I? Your own nation and the chief priests have delivered You to me. What have You done?”
2b122400e7	Jesus answered, “My kingdom doesn’t belong to this world. If my kingdom did belong to this world, then my servants would be fighting to keep me from being delivered up to the Jews; but as it is, my kingdom isn’t from here.”
2b1225010b	Pilate therefore asked Him, “So You are a king?” Jesus answered, “You are right in saying that I am a king. For this I have been born, and for this I have come into the world, to testify about the truth. Everyone who belongs to the truth listens to my voice.”
2b1226008a	“What is truth?” Pilate asked. After asking this, he went out again to the Jews and said, “I find no basis for a charge against Him,
2b1227009b	but you have a custom that I should release someone to you at the Passover. Therefore you decide: do you want me to release the King of the Jews to you?”
2b12280060	Then they all shouted back, saying, “Not this man, but Barabbas!” Now Barabbas was a robber.
2b1301002b	Then Pilate took Jesus and had him flogged.
2b13020063	The soldiers twisted thorns into a crown and put it on His head, and they put a purple robe on Him.
2b1303005f	They kept coming up to Him, saying, “Hail, King of the Jews!” and slapping Him on the face.
2b1304009a	Pilate then went out again, and told the Jews, “Look, I’m bringing Him out to you, that you may know that I find no basis for a charge against Him.”
2b1305007b	Then Jesus came out, wearing the crown of thorns and the purple robe, and Pilate said to them, “Look! Here is the man!”
2b130600c1	When the chief priests and officers saw Him, they shouted “Crucify Him! Crucify Him!” Pilate told them, “You take Him and crucify Him, because I find no basis for a charge against Him.”
2b1307007b	The Jews answered him, “We have a law, and according to our law He ought to die, because He claimed to be God’s Son.”
2b13080030	When Pilate heard this, he was even more afraid,
2b1309006c	and went back into the Praetorium, and asked Jesus, “Where are You from?” But Jesus didn’t answer him.
2b130a0094	Pilate therefore asked him, “Do you refuse to speak to me? Don’t you know that I have authority to release you, and authority to crucify you?”
2b130b00ab	Jesus answered, “You would have no authority at all against me unless it had been given you from above. Therefore the one who delivered me to you has the greater sin.”
2b130c00b2	From then on, Pilate tried to release Him, but the Jews shouted, “If you let this man go, you aren’t Caesar’s friend. Whoever makes himself a king speaks against Caesar.”
2b130d00a5	Therefore when Pilate heard these words, he brought Jesus out, and sat down on the judgment seat at a place called “The Pavement,” but in Hebrew, “Gabbatha.”
2b130e0085	Now it was the day of preparation for the Passover. It was about the sixth hour. Pilate told the Jews, “Look! Here is your King!”
2b130f00ba	They therefore shouted, “Away with Him! Away with Him! Crucify Him!” Pilate asked them, “Shall I crucify your King?” The chief priests answered, “We have no king but Caesar!”
2b13100059	Then Pilate delivered Jesus to them to be crucified. So they took Jesus and led Him away.
2b13110070	And He, bearing His cross, went out to a place called the Place of a Skull, which is called in Hebrew, Golgotha.
2b13120060	There they crucified Him, and two others with Him, one on either side, with Jesus in the center.
2b13130073	Now Pilate wrote a notice, and put it on the cross. The notice said: “JESUS OF NAZARETH, THE KING OF THE JEWS.”
2b13140096	Then many of the Jews read this notice, because the place where Jesus was crucified was near the city, and it was written in Hebrew, Greek, and Latin.
2b1315009a	Therefore the chief priests of the Jews told Pilate, “Don’t write, ‘The King of the Jews,’ but, ‘He said, “I am the King of the Jews.”’”
2b1316003b	Pilate answered, “What I have written, I have written.”
2b131700bd	When the soldiers had crucified Jesus, they split His garments into four parts, to each soldier a part, including the tunic. Now the tunic was without seam, woven from the top in one piece.
2b13180108	Therefore they said to one another, “Let’s not tear it, but cast lots to see whose it will be,” that the Scripture might be fulfilled which says: “They divided my garments among them, And for my clothing they cast lots.” So the soldiers did these things.
2b13190070	Now Jesus’ mother, His mother’s sister, Mary the wife of Clopas, and Mary Magdalene stood by Jesus’ cross.
2b131a008c	Therefore when Jesus saw His mother, and the disciple who He sincerely loved standing by, He told His mother, “Woman, here is your son!”
2b131b006f	Then He told the disciple, “Here is your mother!” From that hour, that disciple took her into his own home.
2b131c0085	After this, Jesus, knowing that everything was now accomplished, so that the Scripture might be fulfilled, said, “I’m thirsty!”
2b131d0084	A jar full of vinegar was standing there, so they put a sponge full of the vinegar on a hyssop stalk, and lifted it up to His mouth.
2b131e0074	When Jesus had received the vinegar, He said, “It is finished!” Then, He bowed His head, and gave up His spirit.
2b131f00ed	Because it was the Preparation Day, the Jews asked Pilate for the prisoners’ legs to be broken, and that they might be taken away, so that the bodies wouldn’t stay on the cross on the Sabbath (because that Sabbath was a special one).
2b1320006d	Then the soldiers came and broke the legs of the first man and of the other man who was crucified with Jesus,
2b1321005b	but when they came to Jesus and saw that He was already dead, they didn’t break His legs.
2b13220065	Instead, one of the soldiers pierced His side with a spear, and immediately blood and water came out.
2b1323007b	He who saw it has testified, and his testimony is true; and he knows that he is telling the truth, so that you may believe.
2b1324006d	These things were done so that the Scripture should be fulfilled, “Not one of His bones shall be broken.”
2b13250045	Another Scripture says, “They will look on Him who they pierced.”
2b132600dc	After this, Joseph of Arimathea, being a disciple of Jesus, but secretly, for fear of the Jews, asked Pilate if he could take the body of Jesus away; and Pilate gave him permission. So he came and took the body of Jesus.
2b13270081	Nicodemus, who at first came to Jesus by night, also came, bringing about a hundred Roman pounds of a mixture of myrrh and aloes.
2b13280077	So they took the body of Jesus, and wrapped it in strips of linen with the spices, as is the burial custom of the Jews.
2b13290079	In the place where He was crucified, there was a garden, and in the garden a new tomb, in which no one had yet been laid.
2b132a005e	Because of the Jewish Preparation Day, and because the tomb was nearby, they laid Jesus there.
2b14010097	On the first day of the week, Mary Magdalene came to the tomb early, while it was still dark, and saw that the stone had been taken away from the tomb.
2b140200c4	Then she ran and came to Simon Peter, and to the other disciple, who Jesus loved, and told them, “They’ve taken the Lord away, out of the tomb, and we don’t know where they’ve laid Him!”
2b14030047	Then Peter and the other disciple went out, and were going to the tomb.
2b14040057	They both ran together, and the other disciple outran Peter and came to the tomb first.
2b1405005c	Stooping down and looking in, He saw the strips of linen lying there, but he didn’t go in.
2b14060065	Then Simon Peter came, following him, and went into the tomb. He saw the strips of linen lying there,
2b14070081	and the handkerchief that had been around His head, not lying with the strips of linen, but folded together in a place by itself.
2b1408005b	Then the other disciple, who came to the tomb first, also went in, and he saw and believed.
2b14090055	For they still didn’t know the Scripture, that Jesus must rise again from the dead.
2b140a0030	Then the disciples went back to their own homes,
2b140b0064	but Mary stood outside by the tomb, weeping. As she wept, she stooped down and looked into the tomb.
2b140c0076	She saw two angels in white sitting where the body of Jesus had been lying, one at the head and the other at the feet.
2b140d00a2	Then they asked her, “Woman, why are you weeping?” She answered them, “Because they have taken away my Lord, and I don’t know where they have laid Him.”
2b140e0074	Now when she had said this, she turned around and saw Jesus standing there, but she didn’t know that it was Jesus.
2b140f00e3	Jesus asked her, “Woman, why are you weeping? Who are you looking for?” She, supposing Him to be the gardener, said to Him, “Sir, if You have carried Him away, tell me where You’ve laid Him, and I will take Him away.”
2b14100062	Jesus said to her, “Mary!” She turned and said to him, “Rhabbouni!” (which means Teacher).
2b141100cd	Jesus said to her, “Don’t touch me, because I haven’t yet ascended to my Father; but go to my brothers and tell them, ‘I am ascending to my Father and your Father, and to my God and your God.’”
2b1412006d	Mary Magdalene came and told the disciples that she had seen the Lord, and that He had told her these things.
2b141300db	Then, that same first day of the week, at evening, although the doors were locked where the disciples were assembled (for fear of the Jews), Jesus came and stood in their midst. He said to them, “Peace be with you.”
2b14140071	When He had said this, He showed them His hands and His side. Then the disciples rejoiced when they saw the Lord.
2b1415005f	So Jesus said to them again, “Peace be with you! As the Father has sent me, so I send you.”
2b14160058	When he had said this, he breathed on them and said to them, “Receive the Holy Spirit.
2b1417006c	If you forgive the sins of any, they are forgiven them. If you retain the sins of any, they are retained.”
2b14180053	Now Thomas, called the Twin, one of the twelve, wasn’t with them when Jesus came.
2b141900ee	Therefore the other disciples were telling him, “We have seen the Lord!” But he told them, “Unless I see the imprint of the nails in His hands, put my finger into the nail prints, and put my hand into His side, I won’t believe.”
2b141a00af	After eight days, His disciples were again inside, and Thomas with them. Jesus came, the doors having been locked, and stood in their midst, and said, “Peace be with you.”
2b141b0095	Then He told Thomas, “Put your finger here, and see my hands. Reach your hand here, and put it into my side. Don’t be doubting, but believing.”
2b141c002e	Thomas answered Him, “My Lord and my God!”
2b141d0086	Jesus told him, “Thomas, you have believed because you have seen me. Blessed are those who haven’t seen, and yet have believed.”
2b141e0073	Truly, Jesus also performed many other signs in the presence of the disciples, which aren’t written in this book,
2b141f008f	but these have been written so that you may believe that Jesus is the Christ, God’s Son; and so that believing you may have life in His name.
2b15010080	After these things, Jesus showed Himself to the disciples again, at the Sea of Tiberias. He showed Himself in the following way.
2b15020086	Simon Peter, Thomas called the Twin, Nathanael of Cana in Galilee, the sons of Zebedee, and two others of His disciples were together.
2b150300b8	Simon Peter told them, “I’m going fishing.” They said to him, “We’ll go with you, too.” They went out immediately and got into the boat, and that night they caught nothing.
2b1504006b	Now when the morning had come, Jesus stood on the shore, but the disciples didn’t know that it was Jesus.
2b1505006b	Therefore Jesus asked them, “Children, you don’t have any fish, do you?” “No,” they answered Him.
2b150600c0	He told them, “Cast the net on the right-hand side of the boat, and you’ll find some.” So, they cast the net, and then they were unable to haul it in because of the great number of fish.
2b150700db	Therefore that disciple who Jesus sincerely loved told Peter, “It’s the Lord!” So when Simon Peter heard that it was the Lord, he put his outer garment on (for he had taken it off), and threw himself into the sea.
2b15080090	The other disciples came in the little boat, for they weren’t far from land, but about two hundred cubits away, dragging the net full of fish.
2b15090065	So when they came ashore, they saw a charcoal fire already burning, with fish and bread placed on it.
2b150a0043	Jesus told them, “Bring some of the fish that you just caught.”
2b150b0090	Simon Peter went up and dragged the net to land, full of one hundred fifty-three large fish. Although there were so many, the net wasn’t torn.
2b150c008d	Jesus said to them, “Come and eat breakfast.” Yet none of the disciples dared ask Him, “Who are You?” They knew that it was the Lord.
2b150d004e	Jesus then came and took the bread and gave it to them, and likewise the fish.
2b150e0068	This is now the third time that Jesus showed Himself to His disciples after He was raised from the dead.
2b150f00d8	When they had eaten breakfast, Jesus asked Simon Peter, “Simon, son of Jonah, do you sincerely love me more than these?” He answered, “Yes, Lord. You know that I love You.” “Feed my lambs,” Jesus replied.
2b151000ad	He asked him a second time, “Simon, son of Jonah, do you sincerely love me?” He answered, “Yes, Lord. You know that I love You.” “Shepherd my sheep,” He replied.
2b151100fc	He asked the third time, “Simon, son of Jonah, do you love me?” Peter was grieved because He asked him the third time, “Do you love me?” He answered, “Lord, You know everything. You know that I love You.” “Feed My sheep,” Jesus replied.
2b151200eb	“Most assuredly, I tell you, when you were younger, you dressed yourself and walked where you wanted to; but when you are old, you will stretch out your hands, and another will dress you and carry you where you don’t want to go.”
2b1513007d	He said this to indicate what kind of death he would glorify God with. When He had said this, He told Peter, “Follow me!”
2b151400d6	Then Peter, turning around, saw a disciple following. This was the disciple who Jesus sincerely loved, the one who had also leaned on Jesus’ breast at the supper and asked, “Lord, who is going to betray You?”
2b1515004a	Peter therefore, seeing him, asked Jesus, “Lord, what about this man?”
2b1516005f	Jesus answered, “If I want him to remain until I come, what is that to you? You follow me!”
2b151700dd	Because of this answer, the rumor spread among the brothers that this disciple wouldn’t die, but Jesus didn’t tell him that he wouldn’t die, but only, “If I want him to remain until I come, what is that to you?”
2b15180076	This is the disciple who testifies about these things, and who wrote these things. We know that his testimony is true.
2b151900b6	There are also many other things that Jesus did, which if they were written one by one, I suppose that even the world itself couldn’t contain the books that would be written. Amen.
3e00000006	1 John
3e010100b6	We declare to you that which was from the beginning, which we have heard, which we have seen with our eyes, which we watched, and our hands have touched, concerning the Word of life.
3e0102008c	The life was revealed, and we have seen, and testify, and declare to you this eternal life which was with the Father and was revealed to us.
3e010300a7	That which we have seen and heard we declare to you, that you may also have fellowship with us. Truly our fellowship is with the Father and with His Son, Jesus Christ.
3e0104003a	We write these things to you so that your joy may be full.
3e01050078	This is the message which we have heard from Him and declare to you: that God is light and in Him is no darkness at all.
3e01060065	If we say that we have fellowship with Him, but walk in darkness, we lie and don’t do what is true.
3e0107009a	But if we walk in the light, as He is in the light, we have fellowship with one another, and the blood of Jesus Christ, His Son, cleanses us from all sin.
3e01080057	If we say that we don’t sin, we are deceiving ourselves, and the truth isn’t in us.
3e01090081	If we admit to our sins, He is faithful and with righteous justice forgives us our sins and cleanses us from all unrighteousness.
3e010a0055	If we claim that we haven’t sinned, we call Him a liar, and His word isn’t in us.
3e020100a1	My little children, I am writing these things to you so that you won’t sin. If anyone sins, we have an Intercessor with the Father, the righteous Jesus Christ.
3e0202006f	He Himself is the atoning sacrifice for our sins; and not for ours only, but also for those of the whole world.
3e0203004f	This is how we know that we have come to know Him: if we keep His commandments.
3e0204007d	The one who says, “I have come to know Him,” and doesn’t keep His commandments is a liar, and the truth isn’t in him.
3e02050072	But whoever keeps His word has the sincere love of God truly perfected in him. By this we know that we are in Him:
3e02060048	whoever claims to live in Jesus ought to walk in the same way He walked.
3e020700b5	Brothers and sisters, I’m not writing a new commandment to you, but an old commandment which you have had from the beginning. The old commandment is the word which you have heard.
3e02080099	Yet, I am writing a new commandment to you, which is true in Him and in you, because the darkness is passing away, and the true light is already shining.
3e02090056	Whoever claims to be in the light but hates a brother or sister, is still in darkness.
3e020a0070	Whoever sincerely loves his brothers and sisters lives in the light, and there is no cause for stumbling in him.
3e020b009c	But whoever hates a brother or sister is in darkness and walks in darkness, and doesn’t know where he is going, because the darkness has blinded his eyes.
3e020c0056	I write to you, little children, because your sins are forgiven for His name’s sake.
3e020d00d5	I write to you, fathers, because you have known Him who is from the beginning. I write to you, young men, because you have overcome the evil one. I write to you, little children, because you have known the Father.
3e020e00d7	I have written to you, fathers, because you have known Him who is from the beginning. I have written to you, young men, because you are strong, and the word of God lives in you, and you have overcome the wicked one.
3e020f0090	Don’t sincerely love the world or the things in the world. If anyone sincerely loves the world, the sincere love of the Father isn’t in him.
3e02100098	For everything that is in the world - the lust of the flesh, the lust of the eyes, and the pride of life - isn’t the Father’s, but is the world’s.
3e02110059	The world and its lusts are passing away, but whoever does the will of God stays forever.
3e021200a8	Little children, we are in the end times. As you have heard the antichrist is coming, even now many antichrists have come. By this we know that we are in the end times.
3e021300cf	They went out from us, but they didn’t belong to us. For if they had belonged to us, they would have continued with us. Instead, they went out so that it might be revealed that none of them belonged to us.
3e02140048	But you have an anointing from the Holy One, and you all know the truth.
3e0215008a	I write to you, not because you don’t know the truth, but because you do know it, and because you know that no lie belongs to the truth.
3e0216006f	Who is a liar? Whoever denies that Jesus is the Christ. Whoever denies the Father and the Son is an antichrist.
3e0217006a	Whoever denies the Son doesn’t have the Father either. Whoever acknowledges the Son also has the Father.
3e021800a7	Therefore, let that which you heard from the beginning live in you. If what you heard from the beginning lives in you, you also will live in the Son and in the Father.
3e0219003e	This is the promise that He has promised to us - eternal life.
3e021a004d	I have written these things to you about those who are trying to deceive you.
3e021b00ea	As for you, the anointing that you received from Him lives in you, and you have no need for anyone to teach you. Yet as His anointing teaches you about all things, and is true and not a lie; just as it has taught you, you live in Him.
3e021c0087	Now, little children, live in Him, so that when He appears, we may have confidence and not shrink away from Him in shame at His coming.
3e021d006a	If you know that He is righteous, then know that everyone who also practices righteousness is born of Him.
3e0301009a	See how great a sincere love the Father has given us, that we should be called children of God! Because the world didn’t know Him, it doesn’t know us.
3e030200ab	Beloved, now we are children of God, and it hasn’t yet appeared what we will be. We know that when He appears we will be like Him, because we will see Him just as He is.
3e0303004d	Everyone who has this hope fixed on Him purifies himself, just as He is pure.
3e0304004a	Everyone who practices sin also practices lawlessness. Sin is lawlessness.
3e03050044	You know that He appeared to take away sins. There is no sin in Him.
3e03060048	No one who lives in Him sins. No one who sins has seen Him or knows Him.
3e0307007c	Little children, don’t let anybody deceive you. The one who practices righteousness is righteous, just as He is righteous.
3e030800b4	The one who practices sin is the Devil’s, because the Devil has sinned from the beginning. The Son of God appeared for this purpose, that He might destroy the works of the Devil.
3e03090082	No one who is born of God practices sin, because God’s seed lives in him. He can’t continue to sin, because he is born of God.
3e030a00cc	By this the children of God and the children of the Devil are obvious: anyone who doesn’t practice righteousness is not God’s, and neither is anyone who doesn’t sincerely love his brother or sister.
3e030b006a	For this is the message that you have heard from the beginning, that we should sincerely love one another.
